
[00:00:00.000 --> 00:00:07.640]   Good morning, everybody.
[00:05:19.320 --> 00:05:23.600]   They want the engagement to end.
[00:05:23.600 --> 00:05:25.680]   They want it done.
[00:05:25.680 --> 00:05:28.120]   They don't want to plan a wedding anymore.
[00:05:28.120 --> 00:05:30.600]   They just want to be married.
[00:05:30.600 --> 00:05:36.040]   I haven't met a single person who wants to stay engaged forever.
[00:05:36.040 --> 00:05:39.960]   The Christian life on this side of eternity is very similar to an engagement.
[00:05:39.960 --> 00:05:46.240]   A pledge has been made, but it has not yet been actualized or consummated.
[00:05:46.240 --> 00:05:51.680]   We now belong to the Lord, but are not quite yet with the Lord.
[00:05:51.680 --> 00:05:57.160]   We have access to the bridegroom, and we are called to grow in the knowledge of him.
[00:05:57.160 --> 00:06:01.100]   But for now, this knowledge is in part, and not yet in full.
[00:06:01.100 --> 00:06:06.080]   So just as there is an already-but-not-yet tension in an engagement period, the same
[00:06:06.080 --> 00:06:09.000]   is true of the Christian life.
[00:06:09.000 --> 00:06:15.820]   I've been memorizing through Titus and chewing on the book of Titus for the last few months.
[00:06:15.820 --> 00:06:21.080]   And the more I recite this book in my head, the more I meditate on these verses, the more
[00:06:21.080 --> 00:06:27.240]   my mind keeps picturing an engaged couple preparing for a wedding.
[00:06:27.240 --> 00:06:32.540]   I see many guiding principles in the book of Titus that parallel a Christian engagement.
[00:06:32.540 --> 00:06:38.320]   The central figure in the book of Titus is the bridegroom, Christ Jesus, and the church
[00:06:38.320 --> 00:06:42.400]   looks forward to the coming of the bridegroom.
[00:06:42.400 --> 00:06:49.120]   And the church faithfully stewards this engagement period in which she finds herself.
[00:06:49.120 --> 00:06:53.720]   There are instructions detailing how she is to conduct herself while she waits.
[00:06:53.720 --> 00:06:56.600]   And that is the heartbeat of Titus.
[00:06:56.600 --> 00:07:01.760]   So for a legitimate few seconds, I actually was contemplating naming our Bible study series
[00:07:01.760 --> 00:07:04.160]   Rules of Engagement.
[00:07:04.160 --> 00:07:08.040]   But I just ended up with the more conservative life in the Father's house, so you guys wouldn't
[00:07:08.040 --> 00:07:10.940]   be shocked or freaked out or confused.
[00:07:10.940 --> 00:07:16.460]   But keep this engagement imagery in mind, and hopefully you too will come to observe
[00:07:16.460 --> 00:07:19.200]   and appreciate the similarities.
[00:07:19.200 --> 00:07:22.800]   So I read the first five verses of Titus a few moments ago, and the sermon today will
[00:07:22.800 --> 00:07:25.560]   be a preview to the study.
[00:07:25.560 --> 00:07:28.960]   And today's sermon outline is as follows.
[00:07:28.960 --> 00:07:33.920]   First I'm going to start with the premise of the letter, chapters 1, verses 2 and 3.
[00:07:33.920 --> 00:07:34.920]   Okay?
[00:07:34.920 --> 00:07:39.120]   Chapter 1, verse 2 and 3, it's the premise.
[00:07:39.120 --> 00:07:43.140]   And then we're going to be looking at the practice of the letter, how it's meant to
[00:07:43.140 --> 00:07:45.720]   be applied.
[00:07:45.720 --> 00:07:50.480]   And then I'm going to backtrack, and in verse 1 we're going to look at the purpose of the
[00:07:50.480 --> 00:07:51.580]   letter.
[00:07:51.580 --> 00:07:54.320]   The premise, practice, and purpose.
[00:07:54.320 --> 00:07:57.340]   And now I'm guessing that the order of this outline is already rubbing some of you the
[00:07:57.340 --> 00:07:58.340]   wrong way.
[00:07:58.340 --> 00:08:01.780]   Some of you guys were more anal, because I'm doing the 1 at the end.
[00:08:01.780 --> 00:08:06.820]   And in your inductive study, the order of the points is going to be different.
[00:08:06.820 --> 00:08:10.140]   If I were teaching this as a Bible study, the order would be different.
[00:08:10.140 --> 00:08:11.140]   Okay?
[00:08:11.140 --> 00:08:16.100]   But because I'll be spending the bulk of my time on verse 1 this morning, this is how
[00:08:16.100 --> 00:08:17.100]   I've organized it.
[00:08:17.100 --> 00:08:21.220]   So hopefully this will make more sense as we move through the text and the message.
[00:08:21.220 --> 00:08:27.220]   The premise of the epistle to Titus, the practice of the epistle to Titus, and then we're going
[00:08:27.220 --> 00:08:28.580]   to be talking about the purpose.
[00:08:28.580 --> 00:08:29.580]   Okay?
[00:08:29.580 --> 00:08:34.520]   So the premise of the letter, verses 2 and 3, verse 2 starts grammatically mid-sentence.
[00:08:34.520 --> 00:08:38.060]   So in order to avoid further aggravating you, I'm going to just read from verse 1.
[00:08:38.060 --> 00:08:39.060]   All right?
[00:08:39.060 --> 00:08:41.820]   So let me read the three opening verses again for you.
[00:08:41.820 --> 00:08:47.140]   "Paul, a bondservant of God and an apostle of Jesus Christ, for the faith of those chosen
[00:08:47.140 --> 00:08:52.060]   to God and the knowledge of the truth, which is according to godliness, in the hope of
[00:08:52.060 --> 00:08:58.940]   eternal life, which God, who cannot lie, promised long ages ago, but at the proper time manifested
[00:08:58.940 --> 00:09:03.960]   even his word in the proclamation with which I was entrusted, according to the commandment
[00:09:03.960 --> 00:09:08.580]   of God our Savior, in the hope of eternal life."
[00:09:08.580 --> 00:09:13.860]   So here in the opening verses, the apostle Paul says that he has been preaching because
[00:09:13.860 --> 00:09:16.180]   there's a future hope.
[00:09:16.180 --> 00:09:19.700]   He's been commanded to preach because of this future hope.
[00:09:19.700 --> 00:09:26.600]   The bridegroom will return and that those chosen of God will be betrothed to him forever.
[00:09:26.600 --> 00:09:28.940]   And this is guaranteed.
[00:09:28.940 --> 00:09:33.840]   God has promised this and God always makes good on his promises.
[00:09:33.840 --> 00:09:39.060]   So when I proposed to my wife Becky about 15 and a half years ago, I wrote a song and
[00:09:39.060 --> 00:09:41.020]   I proposed to her in the song.
[00:09:41.020 --> 00:09:46.660]   And I'm going to read a very, very cheesy line for you in this dumb song.
[00:09:46.660 --> 00:09:47.660]   Okay?
[00:09:47.660 --> 00:09:51.380]   "I'll make all your dreams come true.
[00:09:51.380 --> 00:09:55.780]   I'll cook, clean, do the dishes, and diapers too."
[00:09:55.780 --> 00:09:57.380]   That was a line.
[00:09:57.380 --> 00:09:58.380]   Okay?
[00:09:58.380 --> 00:10:01.380]   And I set myself up for failure.
[00:10:01.380 --> 00:10:05.640]   So when you go, you know, when guys go down on a knee and do their little speech before
[00:10:05.640 --> 00:10:09.820]   their proposal, we say all kinds of stuff.
[00:10:09.820 --> 00:10:15.020]   And we say fluffy things and make all kinds of lofty promises and we are doing our best
[00:10:15.020 --> 00:10:22.320]   to be sincere, but some of the stuff we say doesn't quite work out.
[00:10:22.320 --> 00:10:27.200]   Human promises are all too often broken, even with the best of intentions.
[00:10:27.200 --> 00:10:31.120]   And human engagements can be broken.
[00:10:31.120 --> 00:10:39.600]   But when God makes a pledge or a promise, he speaks absolute and certain truth.
[00:10:39.600 --> 00:10:42.440]   So he makes good on what he says.
[00:10:42.440 --> 00:10:43.720]   He always has.
[00:10:43.720 --> 00:10:45.460]   He always will.
[00:10:45.460 --> 00:10:52.920]   He is all-powerful and he cannot and does not lie.
[00:10:52.920 --> 00:10:55.800]   When he says, he does.
[00:10:55.800 --> 00:10:59.760]   So Ephesians 1, 13 to 14 says that we were sealed in him with the Holy Spirit of promise
[00:10:59.760 --> 00:11:03.880]   and he is a pledge, a guarantee of our inheritance.
[00:11:03.880 --> 00:11:07.160]   So eternal life awaits.
[00:11:07.160 --> 00:11:10.200]   Eternal life is guaranteed.
[00:11:10.200 --> 00:11:12.440]   And what is eternal life?
[00:11:12.440 --> 00:11:18.560]   The Bible defines it as an eternity spent growing in intimate knowledge of Jesus Christ.
[00:11:18.560 --> 00:11:27.320]   If your picture of eternity has no Jesus, chances are you don't have the Spirit of God
[00:11:27.320 --> 00:11:30.080]   leading your heart.
[00:11:30.080 --> 00:11:36.320]   Eternal life is focused on a growing intimate knowledge of Jesus Christ.
[00:11:36.320 --> 00:11:43.680]   John 17, 3 reads, "This is eternal life, that they may know you, the only true God
[00:11:43.680 --> 00:11:46.560]   and Jesus Christ whom you have sent."
[00:11:46.560 --> 00:11:50.480]   So I met my wife, Becky, in 1999.
[00:11:50.480 --> 00:11:53.200]   We started dating in 2003.
[00:11:53.200 --> 00:11:55.120]   We got married in 2007.
[00:11:55.120 --> 00:11:58.400]   So we became husband and wife in 2007.
[00:11:58.400 --> 00:12:03.680]   But our relationship began long before that.
[00:12:03.680 --> 00:12:08.360]   Eternal life does not begin when your heart stops beating and you physically expire.
[00:12:08.360 --> 00:12:12.880]   For the Christian, it starts at the moment when God opens the eyes of an unbeliever,
[00:12:12.880 --> 00:12:16.520]   changes his heart of stone into a heart of flesh, and the person puts his faith in the
[00:12:16.520 --> 00:12:18.400]   saving work of Christ.
[00:12:18.400 --> 00:12:21.440]   And there is a growing love.
[00:12:21.440 --> 00:12:27.360]   There is a promise of a betrothal, and an eternal relationship has begun.
[00:12:27.360 --> 00:12:30.760]   So eternal life is knowing God.
[00:12:30.760 --> 00:12:35.640]   And this knowledge of God begins on this side of the heavenly wedding feast.
[00:12:35.640 --> 00:12:41.080]   So eternal life for you and me has already begun.
[00:12:41.080 --> 00:12:45.800]   And for fuller context, I'm going to read verses 17, or chapter 17, verses 1 through
[00:12:45.800 --> 00:12:46.800]   4.
[00:12:46.800 --> 00:12:52.440]   "Jesus spoke these things, and lifting up his eyes to heaven, he said, 'Father, the
[00:12:52.440 --> 00:12:54.840]   hour has come.
[00:12:54.840 --> 00:12:59.080]   Glorify your Son that the Son may glorify you.
[00:12:59.080 --> 00:13:03.760]   Even as you gave him authority over all flesh, that to all whom you have given him he may
[00:13:03.760 --> 00:13:06.280]   give eternal life.
[00:13:06.280 --> 00:13:10.960]   This is eternal life, that they may know you, the only true God, and Jesus Christ whom you
[00:13:10.960 --> 00:13:12.880]   have sent.
[00:13:12.880 --> 00:13:19.860]   I glorify you on the earth, having accomplished the work which you have given me to do.'"
[00:13:19.860 --> 00:13:22.320]   This is the last recorded prayer.
[00:13:22.320 --> 00:13:26.480]   Jesus prays before his trial and eventual crucifixion.
[00:13:26.480 --> 00:13:31.380]   So what was that work, past tense, that Jesus accomplished on the earth?
[00:13:31.380 --> 00:13:37.860]   It was to give sinful man access to holy God through the cross.
[00:13:37.860 --> 00:13:43.780]   So the earth and this life on earth still remains in judgment.
[00:13:43.780 --> 00:13:45.580]   It is still corrupted.
[00:13:45.580 --> 00:13:51.820]   It still stands condemned, but access to the knowledge of God has now been granted and
[00:13:51.820 --> 00:13:57.340]   initiated and the bride of Christ now waits with eager expectation for the bridegroom's
[00:13:57.340 --> 00:13:58.720]   return.
[00:13:58.720 --> 00:14:02.300]   So eternal life is already, but not yet.
[00:14:02.300 --> 00:14:06.420]   The engagement ceremony is past.
[00:14:06.420 --> 00:14:11.040]   But the wedding for the bride of Christ is still future.
[00:14:11.040 --> 00:14:14.020]   So what are the contents of Titus founded upon?
[00:14:14.020 --> 00:14:16.700]   What is the premise of the book of Titus?
[00:14:16.700 --> 00:14:17.700]   J.P.
[00:14:17.700 --> 00:14:25.460]   Green writes, "Confident expectation based on the promise of the unlying God."
[00:14:25.460 --> 00:14:32.280]   There's going to be a wedding, y'all, is what he's saying, is guaranteed.
[00:14:32.280 --> 00:14:36.620]   So the church is now eagerly waiting for the great wedding feast.
[00:14:36.620 --> 00:14:42.560]   And if you want a description of this wedding feast, look at Revelation 19.
[00:14:42.560 --> 00:14:47.860]   But for now, at present, the church is in this already, but not yet engagement, tension,
[00:14:47.860 --> 00:14:50.020]   and struggle.
[00:14:50.020 --> 00:14:53.540]   But while she waits, she has work to do.
[00:14:53.540 --> 00:14:56.000]   So the promise is the premise.
[00:14:56.000 --> 00:15:01.400]   The promise of eternal life is the premise on which this church exists.
[00:15:01.400 --> 00:15:06.100]   The promise of eternal life is the premise on which Paul is commanded to preach.
[00:15:06.100 --> 00:15:12.340]   And the promise is the premise for which Titus finds himself in Crete.
[00:15:12.340 --> 00:15:15.100]   So which brings us to our second point.
[00:15:15.100 --> 00:15:18.900]   The premise is the promise, okay?
[00:15:18.900 --> 00:15:23.380]   So here is the expected practice of the letter.
[00:15:23.380 --> 00:15:24.380]   The practice of the letter.
[00:15:24.380 --> 00:15:27.620]   So what was Paul's expectation of Titus?
[00:15:27.620 --> 00:15:29.660]   What were his expectations of the churches in Crete?
[00:15:29.660 --> 00:15:33.060]   And what are the Lord's expectations of a church like ours?
[00:15:33.060 --> 00:15:38.140]   Okay, I'm going to read verses four and five again for you.
[00:15:38.140 --> 00:15:43.780]   To Titus, my true child in a common faith, grace and peace from God the Father and Christ
[00:15:43.780 --> 00:15:46.380]   Jesus our Savior.
[00:15:46.380 --> 00:15:52.560]   For this reason I left you in Crete, that you would set in order what remains and appoint
[00:15:52.560 --> 00:15:55.740]   elders in every city as I directed you.
[00:15:55.740 --> 00:16:01.180]   So for this reason, okay, Paul left Titus in Crete.
[00:16:01.180 --> 00:16:04.500]   There is an expected application.
[00:16:04.500 --> 00:16:10.540]   The this and for this reason is the premise that we just looked at in verses two and three.
[00:16:10.540 --> 00:16:15.620]   The practice begins in verse five and continues throughout the rest of the letter with very
[00:16:15.620 --> 00:16:21.200]   specific instructions for the church, the bride of Christ.
[00:16:21.200 --> 00:16:25.500]   So the all-important engagement period has been initiated.
[00:16:25.500 --> 00:16:27.420]   There will be a wedding feast.
[00:16:27.420 --> 00:16:29.300]   All are invited.
[00:16:29.300 --> 00:16:33.500]   Proper wedding garments have been supplied already by the bridegroom.
[00:16:33.500 --> 00:16:40.140]   And a seat at the table is guaranteed for all who are dressed in those garments.
[00:16:40.140 --> 00:16:45.340]   So what is this bride to do while she waits?
[00:16:45.340 --> 00:16:47.980]   Beautify herself.
[00:16:47.980 --> 00:16:50.660]   We are to build up the church.
[00:16:50.660 --> 00:16:52.820]   That's the practice.
[00:16:52.820 --> 00:17:00.400]   So Titus was to do his best to build the church in the way God would want it built.
[00:17:00.400 --> 00:17:04.380]   And the specifics we'll see in the rest of the letter.
[00:17:04.380 --> 00:17:07.740]   God's way of doing life in God's church.
[00:17:07.740 --> 00:17:10.780]   Leaders leading the way God would have them lead.
[00:17:10.780 --> 00:17:16.300]   Older men in the church conducting themselves in ways that are appropriate.
[00:17:16.300 --> 00:17:20.180]   Younger men and women behaving properly in God's church.
[00:17:20.180 --> 00:17:25.420]   Non-slaves being exemplary in God's church.
[00:17:25.420 --> 00:17:28.260]   What to drive out of God's church.
[00:17:28.260 --> 00:17:31.920]   What to defend God's church from.
[00:17:31.920 --> 00:17:38.120]   And how God's church is to interact with the outside pagan world.
[00:17:38.120 --> 00:17:41.580]   So the church of God is very important.
[00:17:41.580 --> 00:17:45.320]   It's the primary vehicle through which the invitations to the kingdom of God are going
[00:17:45.320 --> 00:17:47.540]   to go out.
[00:17:47.540 --> 00:17:51.920]   It's the means through which disciples of Jesus will be made and grown.
[00:17:51.920 --> 00:17:58.340]   And the building of God's church was the priority for Jesus' early followers.
[00:17:58.340 --> 00:18:03.180]   So if you guys think through how did the early apostles, how did the apostles, what did they
[00:18:03.180 --> 00:18:04.180]   engage in?
[00:18:04.180 --> 00:18:08.880]   Did the 12 of them make 12 disciples and instruct them to make 12 disciples more in some kind
[00:18:08.880 --> 00:18:11.020]   of like multi-level pyramid strategy?
[00:18:11.020 --> 00:18:12.020]   No.
[00:18:12.020 --> 00:18:17.780]   They all folked, they went all in on the church.
[00:18:17.780 --> 00:18:19.540]   They built churches.
[00:18:19.540 --> 00:18:21.780]   They poured all their energies into the churches.
[00:18:21.780 --> 00:18:22.780]   Why?
[00:18:22.780 --> 00:18:28.420]   First Timothy 3.15, the latter part reads, "I write so that you will know how one ought
[00:18:28.420 --> 00:18:33.740]   to conduct himself in the household of God, which is the church of the living God, the
[00:18:33.740 --> 00:18:37.460]   pillar and support of the truth."
[00:18:37.460 --> 00:18:41.260]   So the church of the living God is the pillar and support of the truth.
[00:18:41.260 --> 00:18:44.820]   The ESV translate this buttress.
[00:18:44.820 --> 00:18:48.300]   The King James translates it like ground.
[00:18:48.300 --> 00:18:52.820]   The dynamic translations like the NIV will call it a foundation.
[00:18:52.820 --> 00:18:56.600]   So the church is the pillar and foundation of the truth.
[00:18:56.600 --> 00:19:03.300]   It's the platform through which the truth of God is magnified and displayed.
[00:19:03.300 --> 00:19:08.840]   And because the church of God is going to be on full display for the world, what she
[00:19:08.840 --> 00:19:18.180]   puts on display needs to be reflective of the bridegroom to whom she is pledged.
[00:19:18.180 --> 00:19:24.620]   And the two things that are being put on display are one, the teaching of the church, and two,
[00:19:24.620 --> 00:19:27.060]   the deeds of the church.
[00:19:27.060 --> 00:19:28.380]   Teaching and deeds.
[00:19:28.380 --> 00:19:32.980]   Paul had similar instructions for Timothy, that he was to watch his doctrine and his
[00:19:32.980 --> 00:19:34.840]   life closely.
[00:19:34.840 --> 00:19:37.220]   Teaching and deeds.
[00:19:37.220 --> 00:19:44.580]   So in Titus 1 through 5 and following, Paul starts with instructions for church leaders,
[00:19:44.580 --> 00:19:49.100]   for elders, and that's how you get those little sections of qualifications.
[00:19:49.100 --> 00:19:54.660]   The elders of the church are to be at the very front, modeling correct teaching and
[00:19:54.660 --> 00:19:59.280]   correct behavior for the rest of the church to see.
[00:19:59.280 --> 00:20:04.520]   So verse 9 of Titus 1 emphasizes that the leaders of the church need to hold fast the
[00:20:04.520 --> 00:20:08.380]   faithful word which is in accordance with the teaching.
[00:20:08.380 --> 00:20:13.880]   So church leaders need to make sure that their doctrine is sound, that they are teaching
[00:20:13.880 --> 00:20:16.060]   accurately.
[00:20:16.060 --> 00:20:24.820]   And as an aside, and that's why our church stresses expository verse-by-verse preaching.
[00:20:24.820 --> 00:20:31.000]   The culture around us doesn't tell us what we preach and teach.
[00:20:31.000 --> 00:20:38.820]   The affairs of the world, national crises, don't dictate what we teach and preach.
[00:20:38.820 --> 00:20:43.900]   The scriptures dictate what we preach and teach, and because God's word is living and
[00:20:43.900 --> 00:20:50.180]   active, when we preach accurately from the scriptures, the spirit of God will go forth
[00:20:50.180 --> 00:20:56.180]   from this pulpit and instruct and feed and guide his people into all truth, we read in
[00:20:56.180 --> 00:20:57.980]   John 16, 13.
[00:20:57.980 --> 00:21:01.240]   And his word will not return void.
[00:21:01.240 --> 00:21:07.200]   So teaching is the first important practice for the church while she awaits the bridegroom's
[00:21:07.200 --> 00:21:08.880]   return.
[00:21:08.880 --> 00:21:12.320]   And through that teaching, the invitations come.
[00:21:12.320 --> 00:21:19.160]   The second practice involves the church's deeds, her good works.
[00:21:19.160 --> 00:21:24.400]   The apostle Paul writes at length to Titus about the importance of the deeds of the church
[00:21:24.400 --> 00:21:26.240]   and her members.
[00:21:26.240 --> 00:21:30.020]   So this is emphasized again and again.
[00:21:30.020 --> 00:21:34.780]   Godliness is to be measurable.
[00:21:34.780 --> 00:21:36.940]   Godliness is to be measurable.
[00:21:36.940 --> 00:21:45.500]   The doctrine of God in and of itself is beautiful, but it needs to be adorned, cosmeo, by the
[00:21:45.500 --> 00:21:46.500]   members of the church.
[00:21:46.500 --> 00:21:53.300]   And we get the word cosmetic from this word cosmeo, to adorn.
[00:21:53.300 --> 00:21:59.380]   A beautiful woman without makeup, she's still beautiful.
[00:21:59.380 --> 00:22:02.580]   I guess, follow me?
[00:22:02.580 --> 00:22:03.580]   Okay.
[00:22:03.580 --> 00:22:11.020]   But when you apply the proper cosmetics on an already beautiful woman, she becomes next
[00:22:11.020 --> 00:22:16.140]   level radiant and she catches the eye of everybody.
[00:22:16.140 --> 00:22:21.280]   So the doctrines of God are beautiful in and of themselves, but how much more radiant would
[00:22:21.280 --> 00:22:26.420]   they be when the church adorns itself with godly deeds?
[00:22:26.420 --> 00:22:32.380]   So the church, Titus is hearing, needs to be characterized by good deeds.
[00:22:32.380 --> 00:22:33.940]   Why?
[00:22:33.940 --> 00:22:37.820]   Because the church is on display for all the world to see.
[00:22:37.820 --> 00:22:41.980]   The church's faith must lead to visible good works.
[00:22:41.980 --> 00:22:47.100]   Good deeds or good works, if you're using the ESV, are repeated again and again and
[00:22:47.100 --> 00:22:48.460]   again and again in Titus.
[00:22:48.460 --> 00:22:51.000]   And I just compiled a list for you here.
[00:22:51.000 --> 00:22:55.880]   116, by their deeds they deny him, worthless for any good deed.
[00:22:55.880 --> 00:22:58.320]   27, example of good deeds.
[00:22:58.320 --> 00:23:01.000]   214, redeem us from every lawless deed.
[00:23:01.000 --> 00:23:04.080]   214, a people zealous for good deeds.
[00:23:04.080 --> 00:23:07.440]   311, be ready for every good deed.
[00:23:07.440 --> 00:23:10.520]   315, he saved us not on the basis of deeds.
[00:23:10.520 --> 00:23:13.720]   318, careful to engage in good deeds.
[00:23:13.720 --> 00:23:18.440]   314, at the end of the letter, just in case Titus didn't catch it, Paul writes it again.
[00:23:18.440 --> 00:23:25.360]   Our people must also learn to engage in good deeds.
[00:23:25.360 --> 00:23:28.640]   You know what happens when church members are properly adorning themselves and accurately
[00:23:28.640 --> 00:23:31.600]   displaying the glory of God?
[00:23:31.600 --> 00:23:34.560]   Opponents are put to shame.
[00:23:34.560 --> 00:23:40.560]   Blaspheming and ridiculing mouths are silenced.
[00:23:40.560 --> 00:23:45.520]   All they can say is, "You guys are weird."
[00:23:45.520 --> 00:23:55.560]   Titus 2.7.8, "In all things, show yourself to be an example of good deeds, with purity
[00:23:55.560 --> 00:24:03.360]   in doctrine, dignified, sound in speech which is beyond reproach, so that the opponent will
[00:24:03.360 --> 00:24:08.300]   be put to shame, having nothing bad to say about us."
[00:24:08.300 --> 00:24:12.340]   So over the next three months, we will be diving into a deep study of how God would
[00:24:12.340 --> 00:24:15.080]   have us build this church.
[00:24:15.080 --> 00:24:19.600]   And may this study produce in our church many good deeds for his glory.
[00:24:19.600 --> 00:24:20.920]   Amen?
[00:24:20.920 --> 00:24:24.800]   So we looked at the premise of the letter, the promise.
[00:24:24.800 --> 00:24:26.060]   That was the premise.
[00:24:26.060 --> 00:24:31.800]   We noted the practice or application of this premise is to focus, go all in on the building
[00:24:31.800 --> 00:24:35.440]   up of his church.
[00:24:35.440 --> 00:24:39.280]   What is the purpose of the letter?
[00:24:39.280 --> 00:24:44.080]   And we'll see it in the opening verse, the greeting and introduction to Titus.
