
[00:00:00.000 --> 00:00:04.000]   [audio cuts out]
[00:04:30.600 --> 00:04:37.200]   many of them convicted of their desire to share with the church their personal experience.
[00:04:37.200 --> 00:04:43.800]   So we're going to hear their personal testimonies, and I hope that we'd all be encouraged and challenged by that.
[00:04:43.800 --> 00:04:50.000]   Let's take a moment to pray for them, and then we'll start with their testimonies.
[00:04:50.000 --> 00:04:56.000]   Father God, we pray, Lord, that you would grant to us strength in the inner being.
[00:04:56.000 --> 00:05:01.400]   God, through your spirit, through your truth, and through your powerful presence,
[00:05:01.400 --> 00:05:06.800]   and we ask God that as they come up, Lord, would you use their words to inspire?
[00:05:06.800 --> 00:05:11.400]   Would you use their words to encourage and refresh all the saints in this room?
[00:05:11.400 --> 00:05:19.200]   But what's more, God, we pray that as your Holy Spirit and your work is being done in their lives,
[00:05:19.200 --> 00:05:27.800]   would your work be magnified, and God, would people be able to see that you truly are real, and God, that you're active?
[00:05:27.800 --> 00:05:30.400]   Father, we thank you in Christ's name, amen.
[00:05:30.400 --> 00:05:35.200]   Let's give a warm welcome to our first sister who's getting baptized, Melissa.
[00:05:35.200 --> 00:05:43.000]   [applause]
[00:05:43.000 --> 00:05:49.400]   Hi, BCC brothers and sisters and guests. My name is Melissa Barless, and I've been coming to Berean for almost four years,
[00:05:49.400 --> 00:05:55.200]   and I'm part of the family ministry, married to Mark for three and a half years, and having our first child in July.
[00:05:55.200 --> 00:06:00.000]   So for the past 14 or so years, I've always believed that I was already baptized.
[00:06:00.000 --> 00:06:07.400]   I grew up in a moral home, went to a Christian Baptist church, and was introduced to Jesus at a VBS when I was six years old.
[00:06:07.400 --> 00:06:12.400]   My parents weren't Christian, but they thought that attending church would be morally good for my sister and me,
[00:06:12.400 --> 00:06:19.400]   and I always believed that the Bible and all the stories in the Bible were true, as true as anything I learned in history class.
[00:06:19.400 --> 00:06:24.000]   And maybe that was the issue. I saw sin, God, Jesus, and his resurrection as fact,
[00:06:24.000 --> 00:06:28.200]   but I never felt the weight of that truth, and it didn't show in my life that I knew that truth.
[00:06:28.200 --> 00:06:36.400]   However, because I believed all parts of the gospel, I never seriously questioned my faith or my subsequent baptism eight years later in middle school.
[00:06:36.400 --> 00:06:41.600]   So when I started college, I wanted to join small groups in the campus ministry at school, CCM,
[00:06:41.600 --> 00:06:44.800]   but for the application, it asked us to explain the gospel.
[00:06:44.800 --> 00:06:49.000]   So even though I considered myself Christian, I couldn't articulate the gospel,
[00:06:49.000 --> 00:06:53.000]   and I ended up asking my roommate what she wrote, and I copied her answer.
[00:06:53.000 --> 00:06:56.800]   So that should have been a good indicator that I wasn't saved,
[00:06:56.800 --> 00:07:03.700]   but my pride continued to obscure any logical reasoning, and I told myself I was saved, I was just learning and growing.
[00:07:03.700 --> 00:07:09.300]   So college was a time where the pieces of the gospel came together, and they finally meant something personally to me.
[00:07:09.300 --> 00:07:14.800]   So while previously I understood all the facts of the gospel, including the fact that Jesus was God,
[00:07:14.800 --> 00:07:22.200]   I didn't understand how any one person's sacrifice in death for someone they love was any different than Christ's.
[00:07:22.200 --> 00:07:26.000]   So I saw Jesus just as a man who gave his life to save others,
[00:07:26.000 --> 00:07:30.900]   but I never connected the fact that he's God, proven by his resurrection,
[00:07:30.900 --> 00:07:37.000]   who emptied himself by taking the form of a servant, being born in the likeness of men,
[00:07:37.000 --> 00:07:42.000]   and being found in human form, he humbled himself by becoming obedient to the point of death,
[00:07:42.000 --> 00:07:45.200]   even death on a cross, Philippians 2, 7 to 8.
[00:07:45.200 --> 00:07:50.400]   So instead of justly punishing me, he did the exact opposite and died the death I deserved.
[00:07:50.400 --> 00:07:55.800]   So this made all the difference. Once I realized his deity, it changed how I saw his sacrifice.
[00:07:55.800 --> 00:08:00.700]   It held infinitely more weight because in addition to just human sacrifice in death,
[00:08:00.700 --> 00:08:04.800]   he received the Father's wrath and was separated from him undeservingly.
[00:08:04.800 --> 00:08:10.200]   So my only response was to praise him, repent of my sins, and devote my life to him in obedience.
[00:08:10.200 --> 00:08:13.500]   And these changes began to trickle outwardly, and my friends and family,
[00:08:13.500 --> 00:08:17.500]   people who knew me best, were starting to notice and comment too.
[00:08:17.500 --> 00:08:24.000]   So Mark, my husband, he would continuously ask me if I was sure I was saved before I was baptized at that young age.
[00:08:24.000 --> 00:08:29.900]   But my pride, fear of public speaking, embarrassment from the possibility of telling everyone I was wrong,
[00:08:29.900 --> 00:08:34.400]   and just the fact that I really, really, really did not want to get baptized again,
[00:08:34.400 --> 00:08:40.100]   convinced me and helped me convince others that my baptism and early conversion were genuine.
[00:08:40.100 --> 00:08:46.900]   I watched others get re-baptized time and time again, and I would squash that doubt that maybe my baptism wasn't true.
[00:08:46.900 --> 00:08:52.500]   So several weeks ago, there was one night where I just couldn't sleep because I was so convicted of this sin.
[00:08:52.500 --> 00:08:58.700]   The fact that I lied to others, myself, God, about my baptism was finally revealed to me at full force.
[00:08:58.700 --> 00:09:03.500]   I saw that I put my selfishness, comfort, and pride above proclaiming my faith,
[00:09:03.500 --> 00:09:05.300]   and I was very ashamed of this sin.
[00:09:05.300 --> 00:09:09.000]   I didn't want God to think I was ashamed of him or ashamed of my faith,
[00:09:09.000 --> 00:09:12.500]   and I knew I had to be baptized, this time as a true believer.
[00:09:12.500 --> 00:09:17.000]   Of course, I didn't want to base my decisions off a late-night conviction and feelings alone,
[00:09:17.000 --> 00:09:23.900]   but as I prayed on it and meditated on it, the conviction stuck, and I repented, and the guilt began to fade.
[00:09:23.900 --> 00:09:25.800]   He's just so gracious.
[00:09:25.800 --> 00:09:29.000]   So evidences of grace in my life are so numerous.
[00:09:29.000 --> 00:09:34.600]   It can be seen from the beginning when he used my non-Christian parents to introduce me to the gospel and to church,
[00:09:34.600 --> 00:09:39.800]   planting that seed of faith, to college, where he revealed the whole truth and gap in my life,
[00:09:39.800 --> 00:09:43.600]   all the way to the present, where he continuously reveals the sin in my heart,
[00:09:43.600 --> 00:09:47.000]   helping me to grow and confess my pride and sin to you today.
[00:09:47.000 --> 00:09:49.800]   So basically, it can be summed by this one verse.
[00:09:49.800 --> 00:09:55.200]   "But now in Christ Jesus, you who once were far off have been brought near by the blood of Christ,
[00:09:55.200 --> 00:10:01.800]   for he himself is our peace, who has made us both one, and has broken down in his flesh the dividing wall of hostility."
[00:10:01.800 --> 00:10:04.200]   Ephesians 2, 13-14.
[00:10:04.200 --> 00:10:09.600]   So my only possible response is to praise and proclaim his glorious and gracious name all the days of my life.
[00:10:09.600 --> 00:10:10.600]   Thank you.
[00:10:10.600 --> 00:10:19.600]   [applause]
[00:10:20.600 --> 00:10:32.600]   [water pouring]
[00:10:32.600 --> 00:10:37.400]   Melissa, do you understand that by going into the water, uniting with Christ in his death,
[00:10:37.400 --> 00:10:39.600]   you come out united with him in his resurrection?
[00:10:39.600 --> 00:10:40.600]   Thank you.
[00:10:40.600 --> 00:10:43.600]   [water pouring]
[00:10:43.600 --> 00:10:49.600]   I'll tell you the name of the Father, the name of the Son, and the Holy Spirit.
[00:10:49.600 --> 00:10:52.600]   [water pouring]
[00:10:52.600 --> 00:11:12.600]   [applause]
[00:11:12.600 --> 00:11:17.600]   Hi. My name is Michael Tice, and I'm a freshman in college.
[00:11:17.600 --> 00:11:21.600]   And I guess here's my testimony.
[00:11:21.600 --> 00:11:24.600]   So where to start?
[00:11:24.600 --> 00:11:31.600]   I guess throughout my life, people consider me as a Christian because I believe in a God.
[00:11:31.600 --> 00:11:38.600]   And I guess I never really considered myself a true Christian.
[00:11:38.600 --> 00:11:42.600]   I went to church in sixth, seventh, and eighth grade about.
[00:11:42.600 --> 00:11:44.600]   I went to Saddleback and Lake Forest.
[00:11:44.600 --> 00:11:49.600]   And I kind of would go--like, my parents would draw me off, and then they'd go and run their errands after,
[00:11:49.600 --> 00:11:52.600]   while I was at church, because they weren't Christian.
[00:11:52.600 --> 00:11:54.600]   And I didn't really like it.
[00:11:54.600 --> 00:11:58.600]   Like, there was a huge church, and there was a ton of people there.
[00:11:58.600 --> 00:12:03.600]   But I'd kind of meet someone new each week, and then I wouldn't really ever see them again,
[00:12:03.600 --> 00:12:04.600]   which was kind of weird for me.
[00:12:04.600 --> 00:12:05.600]   I didn't get to learn much.
[00:12:05.600 --> 00:12:11.600]   I just had that simple belief that there's a God and there's a heaven, and if I'm good, then I'll go to heaven.
[00:12:11.600 --> 00:12:18.600]   And I guess I didn't really like it, so I stopped going about eighth grade, end of eighth grade.
[00:12:18.600 --> 00:12:25.600]   And then high school came, and I started hitting a rough patch, I guess.
[00:12:25.600 --> 00:12:30.600]   Sophomore year, junior year, my parents were fighting a lot, and they were wanting to get divorced for a while.
[00:12:30.600 --> 00:12:35.600]   And this was old news for me, because since I was 11, they've always been like that.
[00:12:35.600 --> 00:12:39.600]   And they always kind of put me in the middle, so I kind of worked as a mediator for them.
[00:12:39.600 --> 00:12:43.600]   They would kind of come to me and tell me their problems about each other.
[00:12:43.600 --> 00:12:46.600]   And as an 11-year-old, that was really hard for me.
[00:12:46.600 --> 00:12:53.600]   I became really, like, jaded to the whole meaning of love and just how--what a marriage was supposed to be.
[00:12:53.600 --> 00:13:00.600]   And it really affected my relationships on after that with friends and family.
[00:13:00.600 --> 00:13:03.600]   And I was never really a great kid, to be honest.
[00:13:03.600 --> 00:13:09.600]   I kind of fought with my family a lot, and I didn't really listen to them, because mainly I didn't know what was best for me.
[00:13:09.600 --> 00:13:23.600]   But I think throughout high school, I just--I looked towards worldly things for comfort, and it was really just a hard time for me.
[00:13:23.600 --> 00:13:31.600]   So I guess junior year, my friend Nick, he actually invited me out to Power of Prayer, which was a Christian club at our school.
[00:13:31.600 --> 00:13:34.600]   And I went once, and I never went again.
[00:13:34.600 --> 00:13:40.600]   But honestly, it kind of stuck with me, and senior year came around, and I had more free time.
[00:13:40.600 --> 00:13:42.600]   I kind of started going out more.
[00:13:42.600 --> 00:13:44.600]   I met Jeremy there also.
[00:13:44.600 --> 00:13:48.600]   And I got--there I kind of started getting bits and pieces of the gospel.
[00:13:48.600 --> 00:13:55.600]   And I think that kind of helped me understand more of what I had learned previously.
[00:13:55.600 --> 00:14:00.600]   Yeah, so I tried--eventually I started looking out for a church to go to.
[00:14:00.600 --> 00:14:03.600]   And summer came around, and I visited Breanne, and I really liked it.
[00:14:03.600 --> 00:14:06.600]   It was a very welcoming community, and I enjoyed it.
[00:14:06.600 --> 00:14:11.600]   So, yeah, during summer, though, my grandpa actually passed away.
[00:14:11.600 --> 00:14:21.600]   And I think that was really hard for my family, just because he was--I was on my mom's side, and he was the last remaining relative in the country for us.
[00:14:21.600 --> 00:14:27.600]   And, yeah, I think that really affected us.
[00:14:27.600 --> 00:14:36.600]   That night, like, that night going to the hospital, I couldn't really get there in time to say goodbye.
[00:14:36.600 --> 00:14:39.600]   He was already on life support by the time I got there.
[00:14:39.600 --> 00:14:51.600]   But I think standing there and seeing his chest being powered by the machine was--the presence of death was extremely prominent at that time.
[00:14:51.600 --> 00:14:56.600]   And it really convicted me of how I've been throughout my life.
[00:14:56.600 --> 00:15:03.600]   And knowing bits and pieces of the gospel throughout our prayer, and I kind of realized how sinful I was.
[00:15:03.600 --> 00:15:07.600]   And I was just extremely convicted to want to save my parents and my family.
[00:15:07.600 --> 00:15:14.600]   And I just got this desperate need to repent.
[00:15:14.600 --> 00:15:21.600]   And that night I went home, and almost immediately I went to my room and just cried and repented to God.
[00:15:21.600 --> 00:15:36.600]   And I think after realizing how much of a sinner I was, and I deserve no better than that, I tried really hard to convince my parents to start coming out to church.
[00:15:36.600 --> 00:15:41.600]   And to this day, I actually--I finally convinced my brother to start going to church.
[00:15:41.600 --> 00:15:45.600]   He goes to the old church I used to go to, Irvine Baptist.
[00:15:45.600 --> 00:15:50.600]   And, yeah, he's there. He has some friends, but he's kind of still, like, learning.
[00:15:50.600 --> 00:16:03.600]   My family and my mom and dad--I don't think they're here today, but--they were kind of against me spending so much time at church and getting baptized in general.
[00:16:03.600 --> 00:16:06.600]   So it took me a long time to get around to this.
[00:16:06.600 --> 00:16:10.600]   But there's actually a verse that--I was studying through Matthews.
[00:16:10.600 --> 00:16:14.600]   And Matthews 10, 34 through 37 really convicted me.
[00:16:14.600 --> 00:16:19.600]   And it says, "Think not that I came to send peace on the earth. I came not to send peace but a sword.
[00:16:19.600 --> 00:16:25.600]   For I came to set a man at variance against his father, and a daughter against her mother, and a daughter-in-law against her mother-in-law.
[00:16:25.600 --> 00:16:28.600]   And a man's foes shall be they of his own household.
[00:16:28.600 --> 00:16:32.600]   He that loveth father, mother more than me, is not worthy of me.
[00:16:32.600 --> 00:16:35.600]   And he that loveth son or daughter more than me is not worthy of me."
[00:16:35.600 --> 00:16:40.600]   And upon reading that, I decided and I realized how important it really was for me to get baptized.
[00:16:40.600 --> 00:16:46.600]   And that--and I'll still be praying every day for my parents to come to church.
[00:16:46.600 --> 00:16:55.600]   And since I became Christian, I became--I've realized just, you know, I'm still not perfect.
[00:16:55.600 --> 00:16:57.600]   And I still struggle with sin.
[00:16:57.600 --> 00:17:00.600]   But I've realized that on our own, we can't do anything about it.
[00:17:00.600 --> 00:17:03.600]   But with God's help, we have a much better chance.
[00:17:03.600 --> 00:17:09.600]   And with God, like, there is so much more to come.
[00:17:09.600 --> 00:17:12.600]   And I feel that now that I'm Christian, I'm no longer suffocating my sin.
[00:17:12.600 --> 00:17:20.600]   But as a growing Christian, I just hope to continue to walk with my sinful life in the past
[00:17:20.600 --> 00:17:22.600]   and just live my new life in the Lord.
[00:17:22.600 --> 00:17:23.600]   So, thank you.
[00:17:23.600 --> 00:17:34.600]   [applause]
[00:17:34.600 --> 00:17:47.600]   [pause]
[00:17:47.600 --> 00:17:48.600]   >> All right, Mike.
[00:17:48.600 --> 00:17:51.600]   You understand that by going into the water, uniting with Christ in His death,
[00:17:51.600 --> 00:17:53.600]   and you come out uniting with Christ in His resurrection.
[00:17:53.600 --> 00:17:54.600]   >> Amen.
[00:17:54.600 --> 00:17:59.600]   >> Baptize you in the name of the Father, in the name of the Son, and the Holy Spirit.
[00:17:59.600 --> 00:18:01.600]   [pause]
[00:18:01.600 --> 00:18:25.600]   [applause]
[00:18:25.600 --> 00:18:27.600]   >> Hi.
[00:18:27.600 --> 00:18:30.600]   My name is Sarah Kim, and I've been coming to Berean for about two years.
[00:18:30.600 --> 00:18:33.600]   And this is my testimony.
[00:18:33.600 --> 00:18:36.600]   My family and I moved to America when I was about six years old.
[00:18:36.600 --> 00:18:38.600]   And assimilating to a new country was difficult.
[00:18:38.600 --> 00:18:43.600]   But my parents did their very best to raise my brother and me in a loving Christian home.
[00:18:43.600 --> 00:18:48.600]   They taught us about Jesus and all the stories in the Bible and prayed for us almost every night.
[00:18:48.600 --> 00:18:51.600]   So, growing up, I had no problem believing what my parents taught me.
[00:18:51.600 --> 00:18:56.600]   It was when I started high school that I started to question God's existence and my own faith.
[00:18:56.600 --> 00:19:00.600]   I learned that not all my friends believed in God, even though many of them went to church.
[00:19:00.600 --> 00:19:03.600]   With this new perspective, I stopped respecting my parents,
[00:19:03.600 --> 00:19:05.600]   assuming that they didn't understand the American culture,
[00:19:05.600 --> 00:19:10.600]   and that they chose to depend on God for them to survive in this strange foreign country.
[00:19:10.600 --> 00:19:13.600]   Consequently, God became of little importance to me.
[00:19:13.600 --> 00:19:18.600]   I paved my path to destruction by idolizing my reputation and my friends instead,
[00:19:18.600 --> 00:19:20.600]   and lived a duplicitous life.
[00:19:20.600 --> 00:19:26.600]   I drank, smoked, experimented with drugs, shoplifted, and even got in trouble with the police multiple times.
[00:19:26.600 --> 00:19:29.600]   All the while, I kept my grades up and went to church on Sundays.
[00:19:29.600 --> 00:19:35.600]   I became extremely prideful of my identity while I constantly sought after the approval of man.
[00:19:35.600 --> 00:19:40.600]   My heart was even more hardened towards God once I started college and my parents moved back to Korea.
[00:19:40.600 --> 00:19:45.600]   I stopped going to church. I partied without any reservation and to keep up with my lifestyle,
[00:19:45.600 --> 00:19:48.600]   I took prescription pills to help me study.
[00:19:48.600 --> 00:19:53.600]   By junior year of college, my habitat evolved into an addiction.
[00:19:53.600 --> 00:19:59.600]   I found myself taking substances almost daily to get me through the day.
[00:19:59.600 --> 00:20:04.600]   I isolated myself from people and lost interest in everything.
[00:20:04.600 --> 00:20:10.600]   As a direct consequence, I fell deep into depression and anxiety to a point where I questioned taking my life.
[00:20:13.600 --> 00:20:18.600]   However, through these circumstances, God revealed to me that I was in dire need of a savior.
[00:20:18.600 --> 00:20:24.600]   I went to Korea with my brother the summer before my senior year of college.
[00:20:24.600 --> 00:20:29.600]   I remember this one particular bus ride home when my brother shared with me what it meant to be a Christian,
[00:20:29.600 --> 00:20:34.600]   why we worshiped God, and even what God's purpose was in marriage.
[00:20:34.600 --> 00:20:40.600]   This was one of the first times I learned something about God that made sense to me and I wanted to know more.
[00:20:40.600 --> 00:20:46.600]   When I came back from Korea, I started attending a local church as my curiosity and knowledge of God grew more and more,
[00:20:46.600 --> 00:20:49.600]   yet still struggling with the idea of His existence.
[00:20:49.600 --> 00:20:55.600]   On one particular Sunday morning on my way to church, I remember praying a simple but earnest prayer.
[00:20:55.600 --> 00:21:01.600]   I asked God to help my unbelief and by God's grace, by the end of service I came out of church believing.
[00:21:01.600 --> 00:21:04.600]   In particular, my eyes were opened in two ways.
[00:21:04.600 --> 00:21:08.600]   First, I acknowledged the existence of a God who answers prayers.
[00:21:08.600 --> 00:21:11.600]   Second, I saw the hope that was promised with His acknowledgement.
[00:21:11.600 --> 00:21:15.600]   A verse that comes to mind is Jeremiah 29 11.
[00:21:15.600 --> 00:21:22.600]   "For I know the plans I have for you," declares the Lord,
[00:21:22.600 --> 00:21:26.600]   "plans to prosper you and not to harm you, plans to give you hope and a future."
[00:21:26.600 --> 00:21:32.600]   That day I found hope and a future in Him that allowed me to let go of my guilt and shame that I kept hidden.
[00:21:32.600 --> 00:21:38.600]   And day by day He restored me, a broken, guilty sinner, and provided me with the strength to stay clean.
[00:21:38.600 --> 00:21:43.600]   The recovery process was long and if not one of the most difficult trials I had to endure,
[00:21:43.600 --> 00:21:52.600]   but through it God removed everything that I idolized to teach me that there is nothing in life more desirable and satisfying than Christ Himself.
[00:21:52.600 --> 00:21:57.600]   And in time I saw the significance of the gospel, of how I did nothing to deserve His grace,
[00:21:57.600 --> 00:22:01.600]   for Him to rescue me from my sins, but because He had chosen to love me,
[00:22:01.600 --> 00:22:05.600]   He sent His only Son to take my place so that I can be restored and made renewed.
[00:22:05.600 --> 00:22:13.600]   Corinthians 5 16 says, "If anyone is in Christ, he is a new creation. The old has passed away; behold, the new has come."
[00:22:13.600 --> 00:22:20.600]   I am still a sinner in every way, but because God is so good and faithful, I know that my salvation is secure.
[00:22:20.600 --> 00:22:27.600]   I've come to experience that no matter how far my heart wanders, His grace extends even farther,
[00:22:27.600 --> 00:22:30.600]   and He causes all things to happen for His goodness and glory.
[00:22:30.600 --> 00:22:34.600]   A verse I would like to close with is Psalms 62 1-2.
[00:22:34.600 --> 00:22:38.600]   "Truly my soul finds rest in God; my salvation comes from Him.
[00:22:38.600 --> 00:22:43.600]   Truly He is my rock and my salvation; He is my fortress; I will never be shaken."
[00:22:43.600 --> 00:22:44.600]   Thank you.
[00:22:44.600 --> 00:22:58.600]   [applause]
[00:22:58.600 --> 00:23:02.600]   Okay, Sarah, do you understand that by going into the water, uniting with Christ in His death,
[00:23:02.600 --> 00:23:05.600]   you cannot unite with Christ in His resurrection?
[00:23:05.600 --> 00:23:06.600]   Amen.
[00:23:06.600 --> 00:23:11.600]   That's how you name the Father, the Son, and the Holy Spirit.
[00:23:11.600 --> 00:23:35.600]   [applause]
[00:23:35.600 --> 00:23:39.600]   Hello, my name is Abraham Ho.
[00:23:39.600 --> 00:23:42.600]   I started off life in a Christian family.
[00:23:42.600 --> 00:23:47.600]   I accepted Jesus Christ in seventh grade at Great Light Korean Church,
[00:23:47.600 --> 00:23:51.600]   in the middle high school ministry led by Pastor Ben Cha.
[00:23:51.600 --> 00:23:55.600]   Soon after, I was convinced that I was destined to be a pastor.
[00:23:55.600 --> 00:23:59.600]   In eighth grade, I started leading my first Bible study in school.
[00:23:59.600 --> 00:24:06.600]   At ninth grade, I was one of the leaders in my high school ministry, the youngest, but totally dedicated.
[00:24:06.600 --> 00:24:08.600]   The pattern continued throughout high school.
[00:24:08.600 --> 00:24:12.600]   Our family moved to another church near the end of my ninth grade year.
[00:24:12.600 --> 00:24:17.600]   By this time, its youth ministry was pastored by a different Peter Kim.
[00:24:17.600 --> 00:24:23.600]   I broke my ankle during our first retreat, which somehow led to my parents buying me my first guitar.
[00:24:23.600 --> 00:24:29.600]   I took to it like a fish to water. Shortly after I recovered through prayer,
[00:24:29.600 --> 00:24:33.600]   I helped start a student praise band in my church.
[00:24:33.600 --> 00:24:36.600]   This was when I first began to feel that leadership was my calling.
[00:24:36.600 --> 00:24:39.600]   I led praise every Friday and Sunday.
[00:24:39.600 --> 00:24:43.600]   I took over the Christian club at my school, and its membership increased dramatically.
[00:24:43.600 --> 00:24:46.600]   I led the school's only Bible study.
[00:24:46.600 --> 00:24:49.600]   I began the school's weekly worship and prayer meeting.
[00:24:49.600 --> 00:24:52.600]   It was fun, rewarding, and wonderful.
[00:24:52.600 --> 00:24:58.600]   And somewhere along the way, I can remember dedicating all of my future's life work to God.
[00:24:58.600 --> 00:25:02.600]   But there was something else I did not tell my friends in church and school.
[00:25:02.600 --> 00:25:05.600]   I was struggling and being attacked left and right.
[00:25:05.600 --> 00:25:09.600]   I was going through adolescence, which no child leaves unscarred in one way or another.
[00:25:09.600 --> 00:25:15.600]   But more prominent than this in my memory was that I was constantly being attacked spiritually.
[00:25:15.600 --> 00:25:19.600]   Beginning my junior year, I began to experience major sleep paralysis.
[00:25:19.600 --> 00:25:25.600]   What seemed like demons visited me two to three times per week, giving me different visions of horror.
[00:25:25.600 --> 00:25:31.600]   Although I eventually learned to endure, even enjoy, such demonic experiences,
[00:25:31.600 --> 00:25:35.600]   they continued until I made a decision.
[00:25:35.600 --> 00:25:39.600]   I relate to you all of this, not because I'm proud of my high school years,
[00:25:39.600 --> 00:25:44.600]   but to demonstrate the complete change of heart and mind I experienced in the years following.
[00:25:44.600 --> 00:25:49.600]   With no small amount of prayer, I had decided to go to Reed College,
[00:25:49.600 --> 00:25:55.600]   then considered the most liberal of all American schools, for the simple purpose of testing my faith.
[00:25:55.600 --> 00:26:00.600]   With this decision, I dropped all of my responsibilities one by one.
[00:26:00.600 --> 00:26:03.600]   I felt relieved. I felt free.
[00:26:03.600 --> 00:26:06.600]   And when I began to relinquish my roles in church and school,
[00:26:06.600 --> 00:26:11.600]   my demonic encounters began to decrease, eventually to disappear.
[00:26:11.600 --> 00:26:16.600]   Reed College was incredibly overwhelming for a young believer such as myself.
[00:26:16.600 --> 00:26:23.600]   It was jarring, and led into the next phase of my life, a haze of indifference and hedonism.
[00:26:23.600 --> 00:26:28.600]   I began a downward spiral. I even called it "enlightened hedonism."
