
[00:00:00.000 --> 00:00:02.740]   (audio cuts out)
[00:02:19.340 --> 00:02:21.700]   and the spirit of our God.
[00:02:21.700 --> 00:02:22.540]   Okay?
[00:02:22.540 --> 00:02:26.020]   So we're looking at this passage here
[00:02:26.020 --> 00:02:27.620]   and we're looking at the first segment.
[00:02:27.620 --> 00:02:30.860]   Remember I said that when you look at your Bibles,
[00:02:30.860 --> 00:02:33.580]   you can kinda see where the break-in thought
[00:02:33.580 --> 00:02:37.260]   of the writer was by looking at the verse numbers.
[00:02:37.260 --> 00:02:40.540]   And if it's bold, you're seeing a kind of paragraph indent,
[00:02:40.540 --> 00:02:42.100]   so to speak.
[00:02:42.100 --> 00:02:44.600]   And so let's tackle the first paragraph together.
[00:02:44.600 --> 00:02:48.500]   And in the first six verses,
[00:02:48.500 --> 00:02:51.500]   I asked you this question originally.
[00:02:51.500 --> 00:02:55.140]   Identify what the Corinthians were doing wrong.
[00:02:55.140 --> 00:02:57.120]   Well, it's really, really obvious,
[00:02:57.120 --> 00:03:01.860]   but in this current context,
[00:03:01.860 --> 00:03:05.260]   the simple thing is the Christians
[00:03:05.260 --> 00:03:08.940]   in the Corinthians church, they were suing each other
[00:03:08.940 --> 00:03:11.700]   or taking each other to the court of law
[00:03:11.700 --> 00:03:13.580]   and having the court of law decide between them
[00:03:13.580 --> 00:03:16.860]   when there were disagreements, right?
[00:03:16.860 --> 00:03:18.600]   But I ask you this question.
[00:03:18.600 --> 00:03:23.160]   When Apostle Paul sees this wrong behavior,
[00:03:23.160 --> 00:03:24.340]   what is his tone?
[00:03:24.340 --> 00:03:33.680]   What observations do you make of how Apostle Paul feels
[00:03:33.680 --> 00:03:36.140]   and thinks about what they're doing?
[00:03:36.140 --> 00:03:38.520]   Anyone?
[00:03:38.520 --> 00:03:43.000]   Again, I know sometimes I ask obvious questions
[00:03:43.000 --> 00:03:44.540]   that are just right there in the text,
[00:03:44.540 --> 00:03:48.100]   but we wanna be good, I guess,
[00:03:49.100 --> 00:03:51.140]   observance of what's going on.
[00:03:51.140 --> 00:03:52.300]   What?
[00:03:52.300 --> 00:03:53.980]   It's shameful, okay?
[00:03:53.980 --> 00:03:55.660]   He's thinking it's shameful.
[00:03:55.660 --> 00:03:57.580]   What else?
[00:03:57.580 --> 00:04:01.900]   Kind of foolish.
[00:04:01.900 --> 00:04:04.900]   How does he personally, do you think he feel about this?
[00:04:04.900 --> 00:04:13.420]   Angered and indignant, okay?
[00:04:13.420 --> 00:04:17.060]   This is kind of like funny because, you know,
[00:04:17.060 --> 00:04:19.940]   in more common like lingo lately,
[00:04:19.940 --> 00:04:21.380]   it's actually not something more recent,
[00:04:21.380 --> 00:04:23.100]   but from a while ago, you know,
[00:04:23.100 --> 00:04:25.660]   people would use this term like, how dare you?
[00:04:25.660 --> 00:04:28.420]   You know, they do something, you're like, how dare you?
[00:04:28.420 --> 00:04:32.260]   You know, and I find that to be something of an indicator
[00:04:32.260 --> 00:04:34.920]   of how he feels about it, right?
[00:04:34.920 --> 00:04:39.500]   If you think about this idea of how dare you
[00:04:39.500 --> 00:04:42.580]   and what kind of context you use that,
[00:04:42.580 --> 00:04:45.780]   Apostle Paul doesn't see this as a small problem, does he?
[00:04:46.780 --> 00:04:51.780]   Rather, that kind of behavior is so far, far beyond
[00:04:51.780 --> 00:04:53.340]   what he thinks is acceptable.
[00:04:53.340 --> 00:04:55.260]   He's like, how dare you?
[00:04:55.260 --> 00:04:57.040]   And I want you to just jot down
[00:04:57.040 --> 00:04:59.340]   something really interesting about that term.
[00:04:59.340 --> 00:05:04.180]   It's because he asks in this way about, you know,
[00:05:04.180 --> 00:05:07.060]   dare, who basically dares to go to the law
[00:05:07.060 --> 00:05:09.940]   before the unrighteous and not before the saints.
[00:05:09.940 --> 00:05:12.060]   But that term dares really interests,
[00:05:12.060 --> 00:05:14.180]   like almost hard to translate
[00:05:14.180 --> 00:05:17.260]   because it's used in many contexts as bold faced
[00:05:17.260 --> 00:05:20.000]   or in a good way, super courageous.
[00:05:20.000 --> 00:05:22.820]   Really interesting, right?
[00:05:22.820 --> 00:05:25.980]   So the way he's talking about it is he's almost like,
[00:05:25.980 --> 00:05:30.220]   oh my goodness, you know, not only are you doing it,
[00:05:30.220 --> 00:05:32.640]   but you're like brazen, you're bold,
[00:05:32.640 --> 00:05:35.660]   you're like doing it with a sense of gusto.
[00:05:35.660 --> 00:05:38.580]   How dare you, you know?
[00:05:38.580 --> 00:05:41.260]   Like that's the kind of tone I see with Apostle Paul.
[00:05:41.260 --> 00:05:43.140]   What more, what's more when someone said,
[00:05:43.140 --> 00:05:44.780]   yeah, is he getting indignant?
[00:05:44.780 --> 00:05:46.620]   I think he is.
[00:05:46.620 --> 00:05:51.620]   Because you read the passage and the way he comes off
[00:05:51.620 --> 00:05:54.400]   is just like, well, don't you know
[00:05:54.400 --> 00:05:56.540]   that the saints will judge?
[00:05:56.540 --> 00:05:59.620]   And then he asks in verse three, don't you know?
[00:05:59.620 --> 00:06:01.380]   Right?
[00:06:01.380 --> 00:06:05.360]   When you hear his tone then, as we're reading it,
[00:06:05.360 --> 00:06:06.740]   we're not listening to him audibly,
[00:06:06.740 --> 00:06:09.140]   but you can kind of guess how he feels
[00:06:09.140 --> 00:06:12.380]   about this particular sin and error in the church
[00:06:12.380 --> 00:06:16.460]   of Christians taking each other to the courts, right?
[00:06:16.460 --> 00:06:20.180]   I just wanna highlight the fact that there has been already
[00:06:20.180 --> 00:06:23.940]   multiple things happening in the church, right?
[00:06:23.940 --> 00:06:26.500]   Everything from pride, everything from selfishness
[00:06:26.500 --> 00:06:27.960]   to then immorality.
[00:06:27.960 --> 00:06:31.260]   And there's a sense in which with each one,
[00:06:31.260 --> 00:06:34.860]   it's not a small deal, you know?
[00:06:34.860 --> 00:06:39.860]   So we see Apostle Paul trying to express to them
[00:06:41.060 --> 00:06:43.980]   this isn't something that you should be taking lightly.
[00:06:43.980 --> 00:06:46.080]   This is something I need to address now.
[00:06:46.080 --> 00:06:50.800]   But in so doing, my next question to you was,
[00:06:50.800 --> 00:06:52.980]   in verses two through four,
[00:06:52.980 --> 00:06:56.020]   what is Paul trying to remind them of?
[00:06:56.020 --> 00:06:58.780]   How is he broadening their life perspective?
[00:06:58.780 --> 00:07:01.540]   (mouse clicking)
[00:07:01.540 --> 00:07:18.300]   Okay, that they're going to be judges themselves, right?
[00:07:18.300 --> 00:07:21.300]   So, jot that in there.
[00:07:21.300 --> 00:07:23.180]   How is he broadening their perspective?
[00:07:23.180 --> 00:07:25.420]   He's reminding them this truth,
[00:07:25.420 --> 00:07:27.740]   they are going to be judges.
[00:07:27.740 --> 00:07:29.840]   That's really interesting.
[00:07:29.840 --> 00:07:32.540]   We take a moment now to think about this a little bit.
[00:07:32.540 --> 00:07:35.420]   And the scripture teaches us
[00:07:35.420 --> 00:07:40.940]   that for those who are in Christ, we are heirs with Christ.
[00:07:40.940 --> 00:07:45.940]   That is a repeated theme in the Bible, right?
[00:07:45.940 --> 00:07:49.580]   Now, to be heirs then with Christ,
[00:07:49.580 --> 00:07:52.760]   we are also going to reign with Christ.
[00:07:52.760 --> 00:07:55.340]   To tell you honestly, I don't know the details
[00:07:55.340 --> 00:07:59.020]   of specifically what's that going to look like.
[00:07:59.020 --> 00:08:00.660]   But the fact of the matter is,
[00:08:00.660 --> 00:08:03.140]   even in this passage, Apostle Paul says
[00:08:03.140 --> 00:08:04.420]   that we are going to reign.
[00:08:04.420 --> 00:08:07.020]   Who are we going to reign over in this passage,
[00:08:07.020 --> 00:08:09.180]   just by way of simple observation?
[00:08:09.180 --> 00:08:10.740]   Who are we going to reign over?
[00:08:10.740 --> 00:08:16.840]   Just yell it out.
[00:08:16.840 --> 00:08:20.980]   (laughs)
[00:08:20.980 --> 00:08:21.820]   What?
[00:08:21.820 --> 00:08:23.460]   (laughs)
[00:08:23.460 --> 00:08:24.300]   What?
[00:08:24.300 --> 00:08:25.980]   The world, what else?
[00:08:25.980 --> 00:08:28.420]   Angels too.
[00:08:28.420 --> 00:08:31.660]   So combination of that, it's just kinda like,
[00:08:31.660 --> 00:08:33.840]   I don't know the details of what it's going to mean
[00:08:33.840 --> 00:08:36.860]   for us as individuals, as redeemed in Christ,
[00:08:36.860 --> 00:08:40.380]   to share in his authority and reign with Christ.
[00:08:40.380 --> 00:08:41.460]   But the fact of the matter is,
[00:08:41.460 --> 00:08:45.220]   the dominion of which we are going to reign is expansive.
[00:08:45.220 --> 00:08:47.820]   Not only is it going to be the world to come,
[00:08:47.820 --> 00:08:50.640]   but it's going to be even divine creatures,
[00:08:50.640 --> 00:08:52.500]   angels, who are sinless.
[00:08:53.500 --> 00:08:54.860]   Whoa.
[00:08:54.860 --> 00:08:56.460]   Have you ever thought about that?
[00:08:56.460 --> 00:08:59.100]   And I think that's something really interesting
[00:08:59.100 --> 00:09:02.620]   to think about, because there's a sense in which
[00:09:02.620 --> 00:09:06.480]   the scriptures expects us to live
[00:09:06.480 --> 00:09:08.740]   in that forward-thinking mentality.
[00:09:08.740 --> 00:09:12.220]   This is who we are and going to be, right?
[00:09:12.220 --> 00:09:15.280]   Sometimes it is a humble thing for us
[00:09:15.280 --> 00:09:18.360]   to have a perspective like, we are lowly sinners.
[00:09:18.360 --> 00:09:19.340]   Is that true?
[00:09:19.340 --> 00:09:20.700]   Yes.
[00:09:20.700 --> 00:09:24.020]   We are marred, we're depraved, we're fallen,
[00:09:24.020 --> 00:09:27.660]   we're in the world, we're finite, all this kinda stuff.
[00:09:27.660 --> 00:09:29.180]   Is that all true?
[00:09:29.180 --> 00:09:30.840]   Yes.
[00:09:30.840 --> 00:09:34.100]   But I don't think it's a humble thing to remain there.
[00:09:34.100 --> 00:09:37.220]   Scripture oftentimes expects us to live
[00:09:37.220 --> 00:09:41.820]   with a forward, like future reality perspective.
[00:09:41.820 --> 00:09:44.820]   And that's what I mean by how is Apostle Paul
[00:09:44.820 --> 00:09:46.780]   enlightening their life perspective?
[00:09:46.780 --> 00:09:48.660]   Enlightening your life perspective is,
[00:09:48.660 --> 00:09:52.380]   from here, you move forward to royalty.
[00:09:52.380 --> 00:09:54.720]   Have you ever thought about that?
[00:09:54.720 --> 00:09:57.940]   From here, you move forward to positions of authority.
[00:09:57.940 --> 00:10:03.200]   From here, you move forward to God's servants
[00:10:03.200 --> 00:10:06.940]   in his kingdom, overseeing, exercising dominion
[00:10:06.940 --> 00:10:10.240]   like he expected Adam to do pre-fall.
[00:10:10.240 --> 00:10:12.620]   Ever thought about that?
[00:10:12.620 --> 00:10:14.660]   That's really, really interesting.
[00:10:14.660 --> 00:10:18.220]   Because of that, there's going to be a basis
[00:10:18.220 --> 00:10:20.820]   by which Apostle Paul now reasons with the church
[00:10:20.820 --> 00:10:23.820]   in saying, so what in the world are you doing
[00:10:23.820 --> 00:10:25.660]   going to human courts?
[00:10:25.660 --> 00:10:29.820]   And you kinda see the connection.
[00:10:29.820 --> 00:10:34.660]   He's saying, you are people that God has now begun
[00:10:34.660 --> 00:10:37.380]   to sanctify to the point in which he's gonna glorify
[00:10:37.380 --> 00:10:38.780]   you to positions of authority.
[00:10:38.780 --> 00:10:43.780]   And here you are now, deferring judgment to pagans.
[00:10:44.780 --> 00:10:46.860]   What is that all about?
[00:10:46.860 --> 00:10:50.780]   And so you almost now see his rationale
[00:10:50.780 --> 00:10:52.320]   as to why he's so appalled.
[00:10:52.320 --> 00:10:56.700]   But I wanna ask you this question.
[00:10:56.700 --> 00:11:00.180]   So in seeing his rationale, from verses two
[00:11:00.180 --> 00:11:03.640]   down to verse, let's say about six,
[00:11:03.640 --> 00:11:06.040]   what are the negative results?
[00:11:06.040 --> 00:11:10.840]   Wow, sorry for the, again, another grammatical
[00:11:10.840 --> 00:11:11.740]   awesomeness right there.
[00:11:11.740 --> 00:11:13.660]   What negative, oh, actually, that makes sense.
[00:11:13.660 --> 00:11:15.260]   What negative things result from Christians
[00:11:15.260 --> 00:11:17.660]   taking Christians to secular courts?
[00:11:17.660 --> 00:11:19.540]   Okay, all right.
[00:11:19.540 --> 00:11:23.300]   So what negative things result from Christians
[00:11:23.300 --> 00:11:26.100]   taking other Christians to secular courts?
[00:11:26.100 --> 00:11:28.460]   From your observation of this passage,
[00:11:28.460 --> 00:11:29.700]   what things do you see?
[00:11:29.700 --> 00:11:42.420]   A bad witness.
[00:11:42.420 --> 00:11:44.460]   I think you guys should write that in there.
[00:11:44.460 --> 00:11:47.020]   Bad witness.
[00:11:47.020 --> 00:11:49.620]   Can we take a look at verse five and six?
[00:11:49.620 --> 00:11:53.400]   He says, I say this to your shame.
[00:11:53.400 --> 00:11:59.460]   Shame has the connotation of you looking
[00:11:59.460 --> 00:12:01.700]   idiotic before people.
[00:12:01.700 --> 00:12:04.540]   Shame has with it idea of reputation.
[00:12:04.540 --> 00:12:09.060]   Shame has the idea of evaluation from the community, okay?
[00:12:09.060 --> 00:12:11.680]   And what he goes on to say is, is it so
[00:12:11.680 --> 00:12:14.140]   that there is not among you one wise man
[00:12:14.140 --> 00:12:16.940]   who will be able to decide between his brethren?
[00:12:16.940 --> 00:12:19.020]   But brother goes to law with his brother,
[00:12:19.020 --> 00:12:21.500]   and that before unbelievers?
[00:12:21.500 --> 00:12:24.260]   There's that other aspect, before unbelievers?
[00:12:24.260 --> 00:12:27.540]   Think about this for a moment.
[00:12:27.540 --> 00:12:30.260]   So you have a bad witness.
[00:12:30.260 --> 00:12:33.980]   Essentially, you disgrace the church, okay?
[00:12:33.980 --> 00:12:36.620]   You disgrace the believers.
[00:12:36.620 --> 00:12:39.180]   If you think about what he's saying there,
[00:12:39.180 --> 00:12:43.040]   he is talking about when two people who are believers
[00:12:43.040 --> 00:12:46.520]   take it to the world in this fashion,
[00:12:46.520 --> 00:12:48.980]   what are they showing the unbelievers about them?
[00:12:48.980 --> 00:12:54.720]   That we're willing to see our own brother
[00:12:54.720 --> 00:12:57.520]   either go to jail in that day and age,
[00:12:57.520 --> 00:12:58.960]   be punished physically.
[00:12:58.960 --> 00:13:04.880]   I'm willing to see my brethren have their lives ruined.
[00:13:04.880 --> 00:13:08.480]   Financially, I'm willing to rip whatever is in their hand
[00:13:08.480 --> 00:13:10.440]   from them through legal process.
[00:13:10.440 --> 00:13:14.380]   They're willing to air their arrogance and carnality
[00:13:14.380 --> 00:13:15.820]   and greed in front of people.
[00:13:15.820 --> 00:13:18.460]   That's shameful, is it not?
[00:13:18.460 --> 00:13:21.820]   That's disgracing the community of God.
[00:13:21.820 --> 00:13:23.220]   And Apostle Paul has this in there.
[00:13:23.220 --> 00:13:25.900]   It's like what you show is that in your community,
[00:13:25.900 --> 00:13:28.460]   guess what, there's not one single wise person.
[00:13:28.460 --> 00:13:33.340]   I wanna share with you an interesting historical fact.
[00:13:33.340 --> 00:13:36.980]   Is that historically, the Jews had
[00:13:36.980 --> 00:13:39.120]   their own governing system, right?
[00:13:39.120 --> 00:13:41.600]   Ever since the days of Moses,
[00:13:41.600 --> 00:13:44.040]   there was a governing system amongst the Jews.
[00:13:44.040 --> 00:13:48.040]   And so if you recall the scenario with Jesus Christ,
[00:13:48.040 --> 00:13:50.240]   where was Jesus Christ taken first?
[00:13:50.240 --> 00:13:52.140]   The Roman courts or the Jewish courts?
[00:13:52.140 --> 00:13:54.440]   The Jewish courts.
[00:13:54.440 --> 00:13:55.280]   Why?
[00:13:55.280 --> 00:13:56.720]   Because they had every legal right
[00:13:56.720 --> 00:13:59.120]   and it was their process to do that.
[00:13:59.120 --> 00:14:01.940]   Not only that, but historically, the Jewish community,
[00:14:01.940 --> 00:14:04.000]   they found it to be something blasphemous
[00:14:04.000 --> 00:14:06.720]   to take their court issues to the secular courts.
[00:14:06.720 --> 00:14:07.560]   Why?
[00:14:07.560 --> 00:14:12.560]   Because that would be giving authority to who?
[00:14:12.560 --> 00:14:15.320]   The God-forsaken Gentiles.
[00:14:15.320 --> 00:14:16.160]   Okay?
[00:14:16.160 --> 00:14:18.480]   The Jewish community had that attitude.
[00:14:18.480 --> 00:14:20.800]   Now the thing about it is, what's really interesting is,
[00:14:20.800 --> 00:14:24.080]   the Roman government, the empire of the Roman nation,
[00:14:24.080 --> 00:14:26.500]   obviously ruled over the Jews,
[00:14:26.500 --> 00:14:29.420]   but they allowed the Jews to maintain that authority.
[00:14:29.420 --> 00:14:31.760]   So the only thing the Jews could not do
[00:14:31.760 --> 00:14:33.640]   was execute somebody.
[00:14:33.640 --> 00:14:35.000]   They could beat them.
[00:14:35.000 --> 00:14:36.400]   They could consider them blasphemous.
[00:14:36.400 --> 00:14:37.520]   They can consider them unworthy.
[00:14:37.520 --> 00:14:38.520]   They can consider them unclean.
[00:14:38.520 --> 00:14:39.840]   They can consider them all these kind of stuff.
[00:14:39.840 --> 00:14:41.440]   The only thing they couldn't do is execute,
[00:14:41.440 --> 00:14:43.680]   and that is why with Christ, they judged him first
[00:14:43.680 --> 00:14:47.260]   on their hearing and then took him to Pilate to execute.
[00:14:47.260 --> 00:14:48.680]   Does that make sense?
[00:14:48.680 --> 00:14:50.160]   Okay.
[00:14:50.160 --> 00:14:55.160]   Now, I bring that up because then in the eyes of the Romans,
[00:14:55.160 --> 00:15:02.600]   for petty issues, money, for backbiting,
[00:15:02.600 --> 00:15:04.200]   for trying to sue each other,
[00:15:04.200 --> 00:15:05.360]   they bring it to the Roman courts.
[00:15:05.360 --> 00:15:08.140]   How do you think the pagans would see that culture?
[00:15:08.140 --> 00:15:11.360]   They would look at them and scoff.
[00:15:11.360 --> 00:15:12.420]   Bunch of idiots.
[00:15:12.420 --> 00:15:14.240]   You know?
[00:15:14.240 --> 00:15:16.800]   You guys call yourself holy people.
[00:15:16.800 --> 00:15:18.520]   Chosen, eh?
[00:15:18.520 --> 00:15:20.180]   I would imagine that's how the Romans
[00:15:20.180 --> 00:15:21.600]   would look at the people.
[00:15:21.600 --> 00:15:23.320]   The Romans at the time looked at the Christians
[00:15:23.320 --> 00:15:25.900]   the same way they looked at the Jews.
[00:15:25.900 --> 00:15:28.120]   They weren't like, oh, these are holy men.
[00:15:28.120 --> 00:15:30.040]   They looked down upon them,
[00:15:30.040 --> 00:15:32.800]   and they allowed them to operate in their own little circles
[00:15:32.800 --> 00:15:34.840]   and for them to come to the Roman courts
[00:15:34.840 --> 00:15:36.640]   in order to settle their business.
[00:15:36.640 --> 00:15:39.160]   Like, what the heck is wrong with you guys?
[00:15:39.160 --> 00:15:43.240]   Apostle Paul's like, is not one wise person,
[00:15:43.240 --> 00:15:45.640]   one godly individual who's sober-minded
[00:15:45.640 --> 00:15:47.300]   and can resolve this,
[00:15:47.300 --> 00:15:49.860]   that you would take this to the courts?
[00:15:49.860 --> 00:15:52.080]   Duh!
[00:15:52.080 --> 00:15:53.000]   Right?
[00:15:53.000 --> 00:15:54.480]   What else do you guys see?
[00:15:54.480 --> 00:15:57.420]   In the verses from verses two to six,
[00:15:57.420 --> 00:16:00.200]   what other negative results come
[00:16:00.200 --> 00:16:02.720]   when a Christian takes another Christian to court?
[00:16:03.560 --> 00:16:08.560]   - They're not following Jesus' first instruction
[00:16:08.560 --> 00:16:10.960]   for the church, first of all.
[00:16:10.960 --> 00:16:11.800]   - Okay.
[00:16:11.800 --> 00:16:13.160]   - Matthew 18, verse 20.
[00:16:13.160 --> 00:16:16.560]   Bringing your brother,
[00:16:16.560 --> 00:16:19.680]   going to your brother and bringing him to the church.
[00:16:19.680 --> 00:16:20.520]   - Okay.
[00:16:20.520 --> 00:16:21.720]   - First instruction.
[00:16:21.720 --> 00:16:22.560]   - Good.
[00:16:22.560 --> 00:16:25.040]   So, he says, basically,
[00:16:25.040 --> 00:16:29.280]   you're not doing the process that Jesus Christ taught
[00:16:29.280 --> 00:16:31.160]   in giving authority to the church.
[00:16:31.160 --> 00:16:32.560]   The whole process of church discipline,
[00:16:32.560 --> 00:16:33.600]   like if there was an issue,
[00:16:33.600 --> 00:16:36.560]   you guys should have brought the two brothers together,
[00:16:36.560 --> 00:16:38.720]   then brought another Christian individual.
[00:16:38.720 --> 00:16:41.040]   If that didn't work, you should have brought the church.
[00:16:41.040 --> 00:16:41.880]   Okay?
[00:16:41.880 --> 00:16:44.320]   So, right as number two, you undermine the church.
[00:16:44.320 --> 00:16:47.600]   You disrespect the church.
[00:16:47.600 --> 00:16:48.440]   Okay?
[00:16:48.440 --> 00:16:52.740]   So, if you think about this,
[00:16:52.740 --> 00:16:56.840]   look at verse four and what it says in verse four.
[00:16:56.840 --> 00:16:58.240]   In verse four, he says,
[00:16:58.240 --> 00:17:01.280]   so if you have law courts dealing with matters of this life,
[00:17:01.280 --> 00:17:04.600]   and he says, do you appoint them as judges
[00:17:04.600 --> 00:17:08.800]   who are of no account in the church?
[00:17:08.800 --> 00:17:09.880]   Right?
[00:17:09.880 --> 00:17:10.880]   What does that mean?
[00:17:10.880 --> 00:17:16.240]   Basically, these secular judges, they have no account.
[00:17:16.240 --> 00:17:19.920]   They don't have weight in the church.
[00:17:19.920 --> 00:17:22.640]   How are you all of a sudden giving them the authority
[00:17:22.640 --> 00:17:25.480]   to judge issues within the church?
[00:17:25.480 --> 00:17:26.320]   Right?
[00:17:26.320 --> 00:17:28.320]   And so, what you do is you disrespect the church.
[00:17:28.320 --> 00:17:30.160]   You undermine the authority of the church.
[00:17:30.160 --> 00:17:32.480]   You didn't even try going to the church.
[00:17:32.480 --> 00:17:34.600]   That means your perspective about the church
[00:17:34.600 --> 00:17:36.720]   is really, really small.
[00:17:36.720 --> 00:17:38.640]   Does that make sense?
[00:17:38.640 --> 00:17:43.040]   So, in that way, the negative result
[00:17:43.040 --> 00:17:45.320]   of going and taking your Christian brother
[00:17:45.320 --> 00:17:49.560]   to the secular courts, you actually, in so doing,
[00:17:49.560 --> 00:17:52.120]   indirectly undermine the church already.
[00:17:52.120 --> 00:17:54.720]   And you undermine, as Tito said,
[00:17:54.720 --> 00:17:57.920]   the process and authority by which God gave to the church.
[00:17:57.920 --> 00:17:59.880]   Does that make sense?
[00:18:00.480 --> 00:18:01.920]   Okay, what's another thing?
[00:18:01.920 --> 00:18:05.960]   Yes?
[00:18:05.960 --> 00:18:09.160]   - You end up being judged by ungodly standards.
[00:18:09.160 --> 00:18:10.560]   - Okay.
[00:18:10.560 --> 00:18:14.000]   You end up being judged by ungodly standards, good.
[00:18:14.000 --> 00:18:16.680]   I'm gonna have us think about that a little bit.
[00:18:16.680 --> 00:18:21.160]   Because the whole idea is, the flip side is,
[00:18:21.160 --> 00:18:24.400]   you're supposed to be judged by godly standards,
[00:18:24.400 --> 00:18:26.000]   Christ standards.
[00:18:26.000 --> 00:18:29.680]   So, place that as number three or whatnot,
[00:18:29.680 --> 00:18:35.120]   is you make God's standards incompetent.
[00:18:35.120 --> 00:18:42.320]   I like that a lot, and what Mitchell said,
[00:18:42.320 --> 00:18:47.320]   is you, in so doing, you are putting on case,
[00:18:47.320 --> 00:18:53.240]   like, if God has called us to love, to forgive,
[00:18:53.240 --> 00:18:55.360]   and then you completely bypass that
[00:18:55.360 --> 00:18:58.080]   to go here now to the secular courts,
[00:18:58.080 --> 00:19:00.840]   now you're functioning off of their standards,
[00:19:00.840 --> 00:19:03.800]   and in so doing, is what we would typically,
[00:19:03.800 --> 00:19:06.080]   in our Christian walk, now find
[00:19:06.080 --> 00:19:09.240]   as our everyday battle as a Christian.
[00:19:09.240 --> 00:19:12.600]   Do we operate under God's standards or their standards?
[00:19:12.600 --> 00:19:17.080]   And that is actually just a battle
[00:19:17.080 --> 00:19:19.280]   of everyday Christian life.
[00:19:19.280 --> 00:19:21.720]   And sometimes, when you decide,
[00:19:21.720 --> 00:19:25.040]   I'm gonna operate under the definitions of the world,
[00:19:25.040 --> 00:19:26.560]   there's when everything goes awry.
[00:19:26.560 --> 00:19:29.280]   Everything else goes like haywire, right?
[00:19:29.280 --> 00:19:31.080]   And not only that, when you do that,
[00:19:31.080 --> 00:19:34.360]   you point to God's standards and say,
[00:19:34.360 --> 00:19:36.120]   that was insufficient.
[00:19:36.120 --> 00:19:39.440]   Either it was erroneous because it could never be met,
