
[00:00:00.000 --> 00:00:04.240]   [AUDIO OUT]
[00:01:57.920 --> 00:01:59.760]   And basically, he was shunned by his family,
[00:01:59.760 --> 00:02:01.280]   took his young children.
[00:02:01.280 --> 00:02:03.440]   At the time, he had two kids, a three-year-old
[00:02:03.440 --> 00:02:04.560]   and a one-year-old.
[00:02:04.560 --> 00:02:06.440]   Then eventually, he had two more kids.
[00:02:06.440 --> 00:02:07.980]   And basically, for the last 40 years,
[00:02:07.980 --> 00:02:09.840]   he's been traveling from village to village
[00:02:09.840 --> 00:02:11.160]   sharing the gospel.
[00:02:11.160 --> 00:02:12.480]   Last year, when I talked to him, he
[00:02:12.480 --> 00:02:15.360]   told me that there was a period when he was so depressed
[00:02:15.360 --> 00:02:17.520]   because he couldn't take care of his kids.
[00:02:17.520 --> 00:02:19.920]   And there were times when they would walk into villages,
[00:02:19.920 --> 00:02:21.880]   and people were hostile.
[00:02:21.880 --> 00:02:23.720]   They don't have time to walk back out.
[00:02:23.720 --> 00:02:25.220]   So a lot of times, they would just
[00:02:25.220 --> 00:02:26.560]   be sleeping out in the fields.
[00:02:26.560 --> 00:02:28.920]   And again, I heard this from the kids.
[00:02:28.920 --> 00:02:31.800]   They said they remember this when they were little kids, just
[00:02:31.800 --> 00:02:32.800]   walking into villages.
[00:02:32.800 --> 00:02:35.600]   And a lot of times, he didn't have enough food
[00:02:35.600 --> 00:02:37.040]   to feed their children.
[00:02:37.040 --> 00:02:39.440]   And he said there was a period when he was so depressed
[00:02:39.440 --> 00:02:42.320]   about it that he was thinking about taking his life.
[00:02:42.320 --> 00:02:45.480]   And he thought that maybe if he wasn't around,
[00:02:45.480 --> 00:02:47.200]   that his family would have an easier life.
[00:02:47.200 --> 00:02:50.080]   But because God so burdened him for the gospel,
[00:02:50.080 --> 00:02:52.480]   that he saw his family suffering.
[00:02:52.480 --> 00:02:55.880]   And so for the last 40 years, in the midst of all of this,
[00:02:55.880 --> 00:02:57.600]   he's been walking from village to village.
[00:02:57.600 --> 00:03:00.000]   And every testimony that we heard,
[00:03:00.000 --> 00:03:03.960]   eventually, it was linked to this pastor, this one pastor.
[00:03:03.960 --> 00:03:05.560]   He's in his mid-60s.
[00:03:05.560 --> 00:03:08.120]   And he said, oh, they came in and shared the gospel.
[00:03:08.120 --> 00:03:10.760]   And initially, I thought, what's this crazy guy doing?
[00:03:10.760 --> 00:03:13.400]   And then he was persistent.
[00:03:13.400 --> 00:03:15.520]   And so each one of them came to Christ.
[00:03:15.520 --> 00:03:19.440]   And now they have a network of 32 pastors.
[00:03:19.440 --> 00:03:21.760]   And they oversee about three churches.
[00:03:21.760 --> 00:03:24.360]   And they told me they have about 80 to 85 churches
[00:03:24.360 --> 00:03:25.720]   that they've planted.
[00:03:25.720 --> 00:03:28.920]   And I asked them, what is the size
[00:03:28.920 --> 00:03:30.400]   and how many members they have?
[00:03:30.400 --> 00:03:33.320]   And they have over about 2,000 people and growing.
[00:03:33.320 --> 00:03:34.760]   That if you put them all together--
[00:03:34.760 --> 00:03:37.360]   so each one of these churches have anywhere from 30
[00:03:37.360 --> 00:03:39.600]   to Pastor Matthew's church.
[00:03:39.600 --> 00:03:40.600]   That was the original one.
[00:03:40.600 --> 00:03:43.560]   It held over a couple hundred people in that one.
[00:03:43.560 --> 00:03:46.000]   And again, they're doing ministry.
[00:03:46.000 --> 00:03:50.200]   And they're in the midst of much persecution.
[00:03:50.200 --> 00:03:53.240]   When we first decided to go in, it was simply an opportunity.
[00:03:53.240 --> 00:03:54.480]   I was curious.
[00:03:54.480 --> 00:03:56.520]   And I knew the area that we were going into
[00:03:56.520 --> 00:03:59.120]   was maybe not safe, because they don't have
[00:03:59.120 --> 00:04:00.880]   a lot of foreigners in that area.
[00:04:00.880 --> 00:04:03.240]   But I felt like God opened the door,
[00:04:03.240 --> 00:04:06.120]   kind of like how we first got into China.
[00:04:06.120 --> 00:04:07.360]   God opened the door.
[00:04:07.360 --> 00:04:11.120]   And I thought, well, if God opened the door,
[00:04:11.120 --> 00:04:13.200]   let's go in and see what God's going to do.
[00:04:13.200 --> 00:04:15.160]   And that's kind of how we started out in India,
[00:04:15.160 --> 00:04:17.640]   wanting to go and check out the ministry.
[00:04:17.640 --> 00:04:19.540]   And that was last year.
[00:04:19.540 --> 00:04:21.200]   So last year, we kind of broke ground.
[00:04:21.200 --> 00:04:23.160]   I was a little bit nervous, because we didn't
[00:04:23.160 --> 00:04:24.360]   know where we were going.
[00:04:24.360 --> 00:04:27.440]   And I think every single one of us who went last year,
[00:04:27.440 --> 00:04:30.960]   that initial road to get to this place kind of, I think,
[00:04:30.960 --> 00:04:31.840]   surprised all of us.
[00:04:31.840 --> 00:04:33.380]   We knew we were going to the boonies,
[00:04:33.380 --> 00:04:36.120]   but this was literally the remotest part of the world.
[00:04:36.120 --> 00:04:38.200]   And we got there.
[00:04:38.200 --> 00:04:40.200]   We broke ground, spent some time with the pastor.
[00:04:40.200 --> 00:04:42.600]   We were all very encouraged.
[00:04:42.600 --> 00:04:45.280]   This year, for me, was a little bit different,
[00:04:45.280 --> 00:04:47.920]   because already, again, the ground was broken.
[00:04:47.920 --> 00:04:51.600]   Nothing that we did this year was new or surprising to me.
[00:04:51.600 --> 00:04:54.820]   And I know a few of the other people that went last year
[00:04:54.820 --> 00:04:56.640]   could say the same thing.
[00:04:56.640 --> 00:04:59.080]   The biggest difference for me this year versus last year
[00:04:59.080 --> 00:05:04.640]   was I felt like I made a lasting connection with these pastors.
[00:05:04.640 --> 00:05:06.580]   A lot of the same familiar faces,
[00:05:06.580 --> 00:05:09.400]   and being able to hear the testimonies,
[00:05:09.400 --> 00:05:13.920]   and spending time with them, that they're not just projects.
[00:05:13.920 --> 00:05:15.840]   They're not just people out in China.
[00:05:15.840 --> 00:05:17.960]   But they've really become friends.
[00:05:17.960 --> 00:05:20.440]   And so now the ministry in China is not simply
[00:05:20.440 --> 00:05:22.440]   that doors open, so we're going in.
[00:05:22.440 --> 00:05:24.400]   But it's become a lot more personal.
[00:05:24.400 --> 00:05:26.280]   So when I think about persecution in India,
[00:05:26.280 --> 00:05:29.400]   I'm not thinking about some random faces.
[00:05:29.400 --> 00:05:32.760]   I'm thinking specifically about these pastors.
[00:05:32.760 --> 00:05:36.120]   Pastor Saki, the guy that I had initial contact with,
[00:05:36.120 --> 00:05:39.800]   last year he kept us away from his little village,
[00:05:39.800 --> 00:05:41.440]   because-- well, it's not little.
[00:05:41.440 --> 00:05:43.480]   There's a lot of people there.
[00:05:43.480 --> 00:05:45.680]   Because last year, while we were there,
[00:05:45.680 --> 00:05:47.640]   the militant Hindus actually were
[00:05:47.640 --> 00:05:51.120]   getting organized to weed out Christians in his area.
[00:05:51.120 --> 00:05:53.800]   So when I asked him about his place, and he said,
[00:05:53.800 --> 00:05:57.000]   he deliberately tried to keep us away from there,
[00:05:57.000 --> 00:05:59.040]   because it wasn't safe at that time.
[00:05:59.040 --> 00:06:00.760]   So this year, when we got there, I
[00:06:00.760 --> 00:06:02.840]   asked him what's the first village we're going to.
[00:06:02.840 --> 00:06:04.680]   And he said he was going to take us to his hometown.
[00:06:04.680 --> 00:06:06.120]   And the first thing I thought was,
[00:06:06.120 --> 00:06:08.680]   I thought you didn't want us to go there last year.
[00:06:08.680 --> 00:06:11.840]   And he said, last year, specifically because they
[00:06:11.840 --> 00:06:12.920]   were having that meeting.
[00:06:12.920 --> 00:06:16.680]   And it's still not safe, but they just
[00:06:16.680 --> 00:06:18.400]   weren't having that meeting this year.
[00:06:18.400 --> 00:06:20.100]   And so we were able to go to his village.
[00:06:20.100 --> 00:06:22.920]   We were able to go and visit his home.
[00:06:22.920 --> 00:06:27.600]   And he told us that in that particular area where he lives,
[00:06:27.600 --> 00:06:30.360]   the hostility toward Christians is concentrated.
[00:06:30.360 --> 00:06:35.440]   And he told us that that area, they
[00:06:35.440 --> 00:06:37.320]   can't walk around with Bibles in their hands,
[00:06:37.320 --> 00:06:39.240]   because once they're identified as Christians,
[00:06:39.240 --> 00:06:40.400]   they get targeted.
[00:06:40.400 --> 00:06:42.040]   So they have to kind of stay low.
[00:06:42.040 --> 00:06:43.720]   And then what really was heartbreaking
[00:06:43.720 --> 00:06:46.760]   was he told us about what it's like for their children.
[00:06:46.760 --> 00:06:48.480]   And he said that he has one daughter.
[00:06:48.480 --> 00:06:50.880]   And he said that when he goes to school,
[00:06:50.880 --> 00:06:53.000]   sometimes to win over their friends because
[00:06:53.000 --> 00:06:56.520]   of the hostility, he said he gave candy or chocolate
[00:06:56.520 --> 00:06:58.080]   to pass out to their friends.
[00:06:58.080 --> 00:07:01.160]   And some of the friends told him that their parents said,
[00:07:01.160 --> 00:07:03.320]   don't even receive chocolate from these Christians.
[00:07:03.320 --> 00:07:05.080]   We don't want anything to do with them.
[00:07:05.080 --> 00:07:06.680]   And so they have Hindu friends, but they
[00:07:06.680 --> 00:07:08.320]   would try to go over to their friend's house.
[00:07:08.320 --> 00:07:10.660]   And the parents won't allow them to come into the house.
[00:07:10.660 --> 00:07:13.840]   So he has to stay outside while their Hindu friends go in
[00:07:13.840 --> 00:07:15.080]   and out of their homes.
[00:07:15.080 --> 00:07:16.760]   And saying that is very, very difficult.
[00:07:16.760 --> 00:07:20.380]   And he told me that his wife understands
[00:07:20.380 --> 00:07:23.360]   because she's an adult. But he said the hardest part of it
[00:07:23.360 --> 00:07:25.040]   is his daughter.
[00:07:25.040 --> 00:07:27.040]   He's away from home a lot because he's
[00:07:27.040 --> 00:07:28.160]   going to village to village.
[00:07:28.160 --> 00:07:30.040]   And those of you who've been there before,
[00:07:30.040 --> 00:07:32.040]   you know that going to village is not like here,
[00:07:32.040 --> 00:07:34.400]   where you just hop in a car, go, and then come back.
[00:07:34.400 --> 00:07:36.880]   Making a commitment to go there is either all day
[00:07:36.880 --> 00:07:39.680]   or sometimes several day commitment to go and come back.
[00:07:39.680 --> 00:07:42.340]   And so oftentimes, he's not there.
[00:07:42.340 --> 00:07:44.100]   And financially, there's no support.
[00:07:44.100 --> 00:07:47.500]   So his wife has to work at night to get some support.
[00:07:47.500 --> 00:07:49.740]   And they're barely surviving with that.
[00:07:49.740 --> 00:07:53.720]   But in the midst of all of this, they're spreading the gospel.
[00:07:53.720 --> 00:07:55.720]   People are coming to Christ.
[00:07:55.720 --> 00:07:57.620]   They're having a hard time feeding their kids.
[00:07:57.620 --> 00:07:59.780]   But they're committed to the gospel cause.
[00:07:59.780 --> 00:08:02.480]   Pastor Matthew has full-blown diabetes,
[00:08:02.480 --> 00:08:04.720]   but he doesn't have enough money for medication.
[00:08:04.720 --> 00:08:07.780]   So obviously, we gave him some so that he can buy medication.
[00:08:07.780 --> 00:08:09.520]   But despite all of that, he's still
[00:08:09.520 --> 00:08:12.680]   going from village to village, even now, sharing the gospel.
[00:08:12.680 --> 00:08:18.320]   Oftentimes, people talk about how you had a heart for India,
[00:08:18.320 --> 00:08:19.720]   or you had a heart for China.
[00:08:19.720 --> 00:08:21.240]   And all of that is great.
[00:08:21.240 --> 00:08:24.720]   And it's great that God gives us heart for certain things.
[00:08:24.720 --> 00:08:28.400]   But the Great Commission is not a theology to be studied.
[00:08:28.400 --> 00:08:31.320]   It is a commandment to be obeyed.
[00:08:31.320 --> 00:08:35.280]   We don't wait for God to stir our hearts to obey.
[00:08:35.280 --> 00:08:37.400]   Obedience is something we do, whether we
[00:08:37.400 --> 00:08:39.120]   feel like it or not.
[00:08:39.120 --> 00:08:40.640]   A lot of times, our heart doesn't
[00:08:40.640 --> 00:08:43.720]   follow because we're not obeying.
[00:08:43.720 --> 00:08:47.680]   God will give you the heart when you obey, not before you obey.
[00:08:47.680 --> 00:08:49.760]   And there are times when God will stir you up
[00:08:49.760 --> 00:08:52.400]   to give you the energy to go before you go.
[00:08:52.400 --> 00:08:55.440]   But oftentimes, the heart and compassion--
[00:08:55.440 --> 00:08:56.960]   people say that all the time.
[00:08:56.960 --> 00:08:59.680]   How do we pray for people that we don't know?
[00:08:59.680 --> 00:09:02.280]   How do we have compassion for people we don't know?
[00:09:02.280 --> 00:09:04.480]   Well, get to know them.
[00:09:04.480 --> 00:09:05.320]   Get to know them.
[00:09:05.320 --> 00:09:07.520]   And God will give you a heart.
[00:09:07.520 --> 00:09:12.080]   The Great Commission is vital in our personal relationship
[00:09:12.080 --> 00:09:13.000]   with God.
[00:09:13.000 --> 00:09:14.360]   It's not like God saved you.
[00:09:14.360 --> 00:09:15.920]   Now you have a personal relationship.
[00:09:15.920 --> 00:09:19.080]   And here is all these other things that I should be doing.
[00:09:19.080 --> 00:09:22.600]   And if I don't, it doesn't really matter that much.
[00:09:22.600 --> 00:09:27.040]   We don't realize in the West how intimately
[00:09:27.040 --> 00:09:29.320]   the Great Commission is directly linked
[00:09:29.320 --> 00:09:33.400]   to your personal relationship with Jesus Christ.
[00:09:33.400 --> 00:09:38.320]   The Great Commission is linked to following Jesus.
[00:09:38.320 --> 00:09:39.960]   Typically, when we say--
[00:09:39.960 --> 00:09:42.040]   we all say we're followers of Jesus Christ,
[00:09:42.040 --> 00:09:44.120]   followers of Jesus Christ.
[00:09:44.120 --> 00:09:50.280]   If I asked you to follow me, just follow me,
[00:09:50.280 --> 00:09:52.440]   what's the first thing that you're going to ask me?
[00:09:52.440 --> 00:09:57.480]   Where are you going?
[00:09:57.480 --> 00:09:59.640]   That's what you're going to ask, right?
[00:09:59.640 --> 00:10:03.960]   Unless you're like, OK, where do I go?
[00:10:03.960 --> 00:10:07.040]   The first thing you're going to ask is, where are you going?
[00:10:07.040 --> 00:10:09.880]   When Jesus called his disciples to follow him,
[00:10:09.880 --> 00:10:14.320]   he specifically said, I will make you fishers of men.
[00:10:14.320 --> 00:10:15.920]   The scripture says in Luke 19.10,
[00:10:15.920 --> 00:10:19.240]   "For the Son of Man came to seek and save the lost."
[00:10:19.240 --> 00:10:20.360]   That's where he's going.
[00:10:20.360 --> 00:10:22.920]   He's going to the lost to save them.
[00:10:22.920 --> 00:10:25.720]   1 Timothy 1.15, it says, "It is a trustworthy statement
[00:10:25.720 --> 00:10:29.080]   deserving full acceptance that Christ Jesus came into the world
[00:10:29.080 --> 00:10:33.720]   to save sinners, among whom I am the foremost."
[00:10:33.720 --> 00:10:35.720]   That this is who Jesus is.
[00:10:35.720 --> 00:10:37.440]   This is what he came to do.
[00:10:37.440 --> 00:10:40.160]   And this is why he called the disciples.
[00:10:40.160 --> 00:10:42.120]   This is not new in the New Testament.
[00:10:42.120 --> 00:10:43.660]   We see it all over the Old Testament.
[00:10:43.660 --> 00:10:46.800]   Ezekiel 34.16, "The Lord says to the nation of Israel,
[00:10:46.800 --> 00:10:47.880]   I will seek the lost.
[00:10:47.880 --> 00:10:49.640]   I will bring back the strayed.
[00:10:49.640 --> 00:10:51.400]   I will bind up the injured.
[00:10:51.400 --> 00:10:54.600]   And I will strengthen the weak."
[00:10:54.600 --> 00:10:59.060]   See, for a Christian, the Great Commission is not an option.
[00:10:59.060 --> 00:11:03.280]   If we follow Jesus, meaning if we are genuinely
[00:11:03.280 --> 00:11:08.240]   following Jesus, we have to be going where he is going.
[00:11:08.240 --> 00:11:11.160]   We have to be doing what he is doing.
[00:11:11.160 --> 00:11:15.560]   We cannot say with any kind of consistency
[00:11:15.560 --> 00:11:17.280]   that we are followers of Jesus
[00:11:17.280 --> 00:11:20.000]   if we're not following where he is going.
[00:11:20.000 --> 00:11:23.000]   That's why Apostle Paul says in 1 Corinthians 9.16,
[00:11:23.000 --> 00:11:26.160]   "Woe to me if I do not preach the gospel."
[00:11:26.160 --> 00:11:27.660]   Woe to me.
[00:11:27.660 --> 00:11:30.320]   Because preaching the gospel is directly linked
[00:11:30.320 --> 00:11:33.240]   to his relationship with Jesus Christ.
[00:11:33.240 --> 00:11:35.880]   You know the Great Commission, the last commandment,
[00:11:35.880 --> 00:11:39.120]   the Great Commission that Jesus gave to his disciples.
[00:11:39.120 --> 00:11:40.800]   He says, "All authority in heaven and earth
[00:11:40.800 --> 00:11:41.640]   has been given to me.
[00:11:41.640 --> 00:11:43.880]   Therefore, go make disciples."
[00:11:43.880 --> 00:11:45.660]   And he concludes the Great Commission by saying,
[00:11:45.660 --> 00:11:48.960]   "Lo, I am with you to the end of the age."
[00:11:48.960 --> 00:11:53.680]   His promise to be with us is linked to the Great Commission.
[00:11:53.680 --> 00:11:55.840]   He didn't simply say, "I'm gonna be with you
[00:11:55.840 --> 00:11:58.320]   because raising children is difficult.
[00:11:58.320 --> 00:12:00.420]   I'm gonna be with you because it's lonely
[00:12:00.420 --> 00:12:02.140]   living in this fallen world."
[00:12:02.140 --> 00:12:04.260]   He said, "I'm gonna be with you,"
[00:12:04.260 --> 00:12:06.980]   one, in the context of sharing the gospel,
[00:12:06.980 --> 00:12:09.460]   taking the gospel to the remotest part of the world,
[00:12:09.460 --> 00:12:11.140]   to the light into darkness.
[00:12:11.140 --> 00:12:13.940]   He said, "Do not fear when persecution come
[00:12:13.940 --> 00:12:16.540]   because I will be with you."
[00:12:16.540 --> 00:12:19.500]   He was not in the context of comforting
[00:12:19.500 --> 00:12:21.380]   the natural difficulties of living
[00:12:21.380 --> 00:12:23.780]   in a sinful and fallen world.
[00:12:23.780 --> 00:12:26.240]   Not that our God doesn't care about that.
[00:12:26.240 --> 00:12:31.160]   Not that God doesn't give us comfort for those things.
[00:12:31.160 --> 00:12:36.120]   But his primary promise of his presence in our lives,
[00:12:36.120 --> 00:12:39.840]   to be courageous because I will be with you.
[00:12:39.840 --> 00:12:43.640]   For a Christian who is disengaged with the Great Commission
[00:12:43.640 --> 00:12:48.020]   cannot understand the comfort of his presence in our lives.
[00:12:50.720 --> 00:12:53.800]   In, Paul says, in Romans 1, 14 to 15,
[00:12:53.800 --> 00:12:59.200]   "I am under obligation both to the Greeks
[00:12:59.200 --> 00:13:01.440]   and to the barbarians, and both to the wise
[00:13:01.440 --> 00:13:03.160]   and to the foolish."
[00:13:03.160 --> 00:13:05.880]   We have a tendency, again, in our generation,
[00:13:05.880 --> 00:13:09.180]   you know, whenever something becomes difficult,
[00:13:09.180 --> 00:13:12.720]   we have a tendency to change our theology.
[00:13:12.720 --> 00:13:15.200]   That when the challenge of living a Christian life
[00:13:15.200 --> 00:13:17.960]   becomes too difficult, the easiest thing to do
[00:13:17.960 --> 00:13:20.520]   is to change our theology to accommodate
[00:13:20.520 --> 00:13:22.800]   whatever life that we choose.
[00:13:22.800 --> 00:13:24.280]   Following Christ is too difficult.
[00:13:24.280 --> 00:13:25.840]   The cross is too hard.
[00:13:25.840 --> 00:13:27.960]   The commandments are too burdensome.
[00:13:27.960 --> 00:13:31.480]   So we shift our theology and make it easier.
[00:13:31.480 --> 00:13:35.400]   But see, Apostle Paul talked about preaching the gospel
[00:13:35.400 --> 00:13:37.520]   as an obligation.
[00:13:37.520 --> 00:13:39.880]   And we have a tendency to think that any talk
[00:13:39.880 --> 00:13:42.760]   of obligation is legalism.
[00:13:42.760 --> 00:13:44.200]   And we have to take that obligation.
[00:13:44.200 --> 00:13:46.240]   No, we have to be compelled.
[00:13:46.240 --> 00:13:49.680]   Paul here says, "I am obligated by the gospel
[00:13:49.680 --> 00:13:52.280]   of Jesus Christ to preach to Greeks and barbarians."
[00:13:52.280 --> 00:13:55.000]   But immediately, when we think of obligation,
[00:13:55.000 --> 00:13:56.200]   we think of drudgery.
[00:13:56.200 --> 00:13:59.200]   We think of doing something we don't want to do.
[00:13:59.200 --> 00:14:02.920]   But Paul says in verse 15, "So because of this obligation,
[00:14:02.920 --> 00:14:05.840]   I am eager to preach the gospel to you also
[00:14:05.840 --> 00:14:07.760]   who are in Rome."
[00:14:07.760 --> 00:14:10.280]   Some of the greatest joys in our life
[00:14:10.280 --> 00:14:14.000]   comes along with it, the greatest obligation.
[00:14:14.000 --> 00:14:18.080]   Every parent in this room, the greatest burden
[00:14:18.080 --> 00:14:20.400]   in your life are your children.
[00:14:20.400 --> 00:14:22.800]   Because they take the most time.
[00:14:22.800 --> 00:14:24.760]   They require the most money.
[00:14:24.760 --> 00:14:27.000]   They take whatever leisure time you have
[00:14:27.000 --> 00:14:29.880]   and they suck the life out of you, right?
[00:14:29.880 --> 00:14:32.200]   The greatest obligation in your life is your children.
[00:14:32.200 --> 00:14:34.200]   There's nothing more important, not your work,
[00:14:34.200 --> 00:14:36.680]   not even your own health, than your own kids.
[00:14:36.680 --> 00:14:39.200]   You are obligated to your children.
[00:14:39.200 --> 00:14:42.800]   But ask any parent in the room, what is the greatest joy?
[00:14:42.800 --> 00:14:44.920]   It's also their children.
[00:14:44.920 --> 00:14:47.520]   The greatest satisfaction, the greatest joy
[00:14:47.520 --> 00:14:50.000]   comes also from their kids.
[00:14:50.000 --> 00:14:53.920]   See, obligation and joy are not two exclusive things.
[00:14:53.920 --> 00:14:57.000]   The scripture says in Psalm 34, seven,
[00:14:57.000 --> 00:14:59.360]   "Delight yourself in the Lord and he will give you
[00:14:59.360 --> 00:15:01.440]   the desires of your heart."
[00:15:01.440 --> 00:15:04.520]   That when Christ becomes our delight,
[00:15:04.520 --> 00:15:08.400]   our satisfaction, our joy also comes with him.
[00:15:08.400 --> 00:15:12.600]   The greatest desire and the greatest joy
[00:15:12.600 --> 00:15:15.360]   comes with the greatest obligation.
[00:15:15.360 --> 00:15:17.920]   There is no obligation greater
[00:15:17.920 --> 00:15:20.840]   than preaching the gospel to the lost.
[00:15:20.840 --> 00:15:22.760]   There's no greater obligation.
[00:15:22.760 --> 00:15:24.680]   And that is not something that you have
[00:15:24.680 --> 00:15:27.520]   to even read the scripture to say.
[00:15:27.520 --> 00:15:29.160]   I don't have to exposit a text,
[00:15:29.160 --> 00:15:30.440]   and I don't have to go through
[00:15:30.440 --> 00:15:32.480]   the meta-narrative of scripture.
[00:15:32.480 --> 00:15:36.360]   All we have to do is have common sense.
[00:15:36.360 --> 00:15:40.640]   If you have the only cure for a lost world
[00:15:40.640 --> 00:15:45.200]   in their dark sin, if you know that if they die,
[00:15:45.200 --> 00:15:47.160]   that there's judgment waiting for them,
[00:15:47.160 --> 00:15:50.160]   and you know the only answer is Jesus Christ,
[00:15:50.160 --> 00:15:51.880]   you don't need exposition of scripture
[00:15:51.880 --> 00:15:55.000]   to tell you that that is our obligation.
[00:15:55.000 --> 00:15:58.040]   It is our obligation to have the gospel.
[00:15:58.040 --> 00:15:59.920]   It is the obligation of every Christian
[00:15:59.920 --> 00:16:02.160]   that knows and confesses this truth.
[00:16:02.160 --> 00:16:06.680]   And yet the scripture clearly says
[00:16:06.680 --> 00:16:10.800]   that this is the greatest and the most wonderful commandment.
[00:16:10.800 --> 00:16:13.340]   Ask anybody who's ever experienced
[00:16:13.340 --> 00:16:16.560]   and truly given their life for this cause
[00:16:16.560 --> 00:16:18.940]   where the source of greatest joy is.
[00:16:18.940 --> 00:16:22.560]   It's in seeing people come to Christ
[00:16:22.560 --> 00:16:27.380]   that we were able to spend even just a week purposefully.
[00:16:27.380 --> 00:16:31.160]   Because let's be honest,
[00:16:31.160 --> 00:16:33.540]   how many weeks can you think of in 2015
[00:16:33.540 --> 00:16:37.000]   that you were absolutely spent doing God's work?
[00:16:37.000 --> 00:16:39.280]   I mean, maybe bits and pieces here.
[00:16:39.280 --> 00:16:41.720]   So every single one of us on this trip,
[00:16:41.720 --> 00:16:43.740]   and again, I know many of you have experienced
[00:16:43.740 --> 00:16:45.760]   the same thing in different trips,
[00:16:45.760 --> 00:16:50.240]   that's a whole week's worth of our time, energy, and money
[00:16:50.240 --> 00:16:54.380]   was spent in a strange place, people we've never met,
[00:16:54.380 --> 00:16:58.240]   maybe possibly risking some persecution,
[00:16:58.240 --> 00:17:03.240]   but at the end of the day, fully satisfied, fully joyful,
[00:17:03.240 --> 00:17:06.860]   because God was able to use us
[00:17:06.860 --> 00:17:09.360]   in a small way to preach the gospel.
[00:17:10.560 --> 00:17:15.360]   See, our greatest joy also comes from our greatest obligation
[00:17:15.360 --> 00:17:18.440]   and if you continue to neglect your obligation,
[00:17:18.440 --> 00:17:21.760]   you also continue to push away the greatest source of joy
[00:17:21.760 --> 00:17:23.520]   that God has placed in your life.
[00:17:23.520 --> 00:17:27.240]   Our personal relationship with the Holy Spirit
[00:17:27.240 --> 00:17:30.280]   is directly linked to the Great Commission.
[00:17:30.280 --> 00:17:31.920]   Every once in a while, somebody will come in and say,
[00:17:31.920 --> 00:17:33.740]   "Oh, you know, this church is all about the Bible,
[00:17:33.740 --> 00:17:36.000]   "but it's not about the Holy Spirit."
[00:17:36.000 --> 00:17:38.520]   And when they say that, what they're saying is
