
[00:00:00.000 --> 00:00:05.280]   All right.
[00:07:25.900 --> 00:07:35.700]   Because that is the inevitable end of the sinner, that we want to kill him.
[00:07:35.700 --> 00:07:43.320]   And on this Tuesday morning, Jesus and the disciples wake up in Bethany and they head
[00:07:43.320 --> 00:07:45.240]   back to Jerusalem and the temple.
[00:07:45.240 --> 00:07:49.240]   And on the way to Jerusalem, they see the withered tree, the fig tree that we heard
[00:07:49.240 --> 00:07:51.200]   about yesterday.
[00:07:51.200 --> 00:07:54.520]   And they're reminded of what happens to trees that don't produce fruit.
[00:07:54.520 --> 00:07:59.440]   We can't go into that too much, but that was describing the nation.
[00:07:59.440 --> 00:08:03.160]   And upon reaching the temple in Jerusalem, this is what it says in Matthew chapter 21
[00:08:03.160 --> 00:08:04.160]   verse 23.
[00:08:04.160 --> 00:08:05.160]   We have it written up for you.
[00:08:05.160 --> 00:08:09.760]   It says, "When Jesus entered the temple, the chief priests and the elders of the people
[00:08:09.760 --> 00:08:11.840]   came to him while he was teaching."
[00:08:11.840 --> 00:08:17.000]   And so Jesus, he sees while he's teaching, inside of the temple, these religious leaders
[00:08:17.000 --> 00:08:21.320]   are coming and he knows exactly why they're coming.
[00:08:21.320 --> 00:08:26.560]   They're ready to ensnare and trap him today on this Tuesday, especially after what he
[00:08:26.560 --> 00:08:30.040]   did yesterday.
[00:08:30.040 --> 00:08:31.920]   Think about what happens.
[00:08:31.920 --> 00:08:35.520]   Sometimes when you get a good night of sleep, sometimes it helps you to let the emotions
[00:08:35.520 --> 00:08:36.920]   subside.
[00:08:36.920 --> 00:08:40.360]   Sometimes it helps you to rile up even more.
[00:08:40.360 --> 00:08:43.120]   And they're riled up.
[00:08:43.120 --> 00:08:48.040]   And they're seeking blood.
[00:08:48.040 --> 00:08:55.680]   Jesus is a great threat to them, to their desires for their worldly kingdom.
[00:08:55.680 --> 00:09:02.560]   And if God is the means they need to go through to obtain their kingdom, then so be it.
[00:09:02.560 --> 00:09:05.240]   They want what they want.
[00:09:05.240 --> 00:09:09.880]   God and his kingdom is not their end here.
[00:09:09.880 --> 00:09:13.440]   Their own kingdom is their end.
[00:09:13.440 --> 00:09:21.120]   They attach God's name to it, but it's their own kingdom, their own desire and will.
[00:09:21.120 --> 00:09:25.320]   And you see it immediately in their very first exchange.
[00:09:25.320 --> 00:09:30.320]   In Matthew chapter 21, verse 23, they ask a question of Jesus and they ask, "By what
[00:09:30.320 --> 00:09:34.640]   authority are you doing these things and who gave you this authority?"
[00:09:34.640 --> 00:09:38.800]   Now anyone with a mustard seed, just a small amount of faith should be able to look at
[00:09:38.800 --> 00:09:44.720]   what Jesus was doing and connect the dots.
[00:09:44.720 --> 00:09:47.620]   They ought to know by whose authority Jesus comes.
[00:09:47.620 --> 00:09:52.520]   This is the Messiah.
[00:09:52.520 --> 00:09:58.240]   But because they don't like the message, because they don't like the fact that when he says
[00:09:58.240 --> 00:10:03.400]   he is the king, it is not the type of king they were thinking of, the king that would
[00:10:03.400 --> 00:10:10.240]   bring about my kingdom, but his.
[00:10:10.240 --> 00:10:16.480]   The fact that he's saying he is the Lord, he is the master, what happens is they refuse
[00:10:16.480 --> 00:10:21.000]   to submit.
[00:10:21.000 --> 00:10:23.000]   They don't bow the knee.
[00:10:23.000 --> 00:10:24.680]   And so they ask a question.
[00:10:24.680 --> 00:10:25.680]   That's not really a question.
[00:10:25.680 --> 00:10:30.440]   They ask, "By whose authority do you come?"
[00:10:30.440 --> 00:10:36.600]   The true answer will never satisfy them.
[00:10:36.600 --> 00:10:38.680]   So Jesus says to them, "I'm not going to tell you."
[00:10:38.680 --> 00:10:43.400]   Why?
[00:10:43.400 --> 00:10:49.840]   Because you already know, but you refuse to believe.
[00:10:49.840 --> 00:10:53.880]   And so he says in Matthew 21, 27, "Neither will I tell you by what authority I do these
[00:10:53.880 --> 00:10:54.880]   things."
[00:10:54.880 --> 00:11:00.160]   And this is recognizable to us today because it's always been like this with sinful man.
[00:11:00.160 --> 00:11:01.160]   Always.
[00:11:01.160 --> 00:11:03.880]   It's never changed.
[00:11:03.880 --> 00:11:11.400]   God has always been used as a means to the end of the sinful man.
[00:11:11.400 --> 00:11:15.480]   Rather than submit to his authority, we ask him to bend to my authority.
[00:11:15.480 --> 00:11:19.840]   So we ask, "By whose authority do you come?"
[00:11:19.840 --> 00:11:21.940]   Think of the ridiculousness of that.
[00:11:21.940 --> 00:11:29.560]   As Jesus, the creator, stands before his people, and the people are asking him, "By whose authority
[00:11:29.560 --> 00:11:31.880]   do you come?"
[00:11:31.880 --> 00:11:37.800]   It's astonishing.
[00:11:37.800 --> 00:11:42.660]   We understand this because we will pray to God, we will worship God, but only as much
[00:11:42.660 --> 00:11:47.360]   as it is to establish my own kingdom.
[00:11:47.360 --> 00:11:51.360]   The Lord's prayer for us is, "Our Father in heaven, hallowed be my name.
[00:11:51.360 --> 00:11:52.480]   Make my kingdom come.
[00:11:52.480 --> 00:11:53.480]   Make my will be done."
[00:11:53.480 --> 00:11:57.880]   That's how we actually pray.
[00:11:57.880 --> 00:12:00.480]   And this is what was happening with the Israelite leaders.
[00:12:00.480 --> 00:12:05.080]   And Jesus came to show that he had enough of this.
[00:12:05.080 --> 00:12:10.000]   Before he goes to the cross, this Tuesday is when Jesus makes his clearest rebuke against
[00:12:10.000 --> 00:12:11.840]   these leaders.
[00:12:11.840 --> 00:12:16.680]   Jesus goes into many parables to begin to describe to them in increasing clarity who
[00:12:16.680 --> 00:12:19.080]   they are.
[00:12:19.080 --> 00:12:20.640]   And we'll focus on just two parables.
[00:12:20.640 --> 00:12:21.640]   Here's the first.
[00:12:21.640 --> 00:12:23.240]   The vineyard landowner.
[00:12:23.240 --> 00:12:24.520]   This is the first parable.
[00:12:24.520 --> 00:12:29.040]   Jesus tells this parable of a vineyard landowner who goes on a journey.
[00:12:29.040 --> 00:12:32.640]   And before he leaves, he rented it out to people who would keep the land and to pay
[00:12:32.640 --> 00:12:35.760]   him his share.
[00:12:35.760 --> 00:12:41.000]   But what he would do is he would send these slaves to these renters, to these people who
[00:12:41.000 --> 00:12:48.000]   are renting the land to collect from the produce that they were gathering from.
[00:12:48.000 --> 00:12:55.360]   But with every slave he sends to receive some of the produce of his vineyard, it says, "They
[00:12:55.360 --> 00:12:59.920]   beat them and they kill them."
[00:12:59.920 --> 00:13:01.400]   He says.
[00:13:01.400 --> 00:13:04.040]   He sends a slave and they beat them and kill them.
[00:13:04.040 --> 00:13:06.280]   He sends another one and he beats them and kills them.
[00:13:06.280 --> 00:13:09.120]   He sends another one and he beats them and kills them.
[00:13:09.120 --> 00:13:14.640]   Slave after slave after slave after slave.
[00:13:14.640 --> 00:13:18.080]   Kill.
[00:13:18.080 --> 00:13:22.480]   Stand in awe at the incredible nature of the patience of this landowner.
[00:13:22.480 --> 00:13:25.200]   It's almost mind-blowing.
[00:13:25.200 --> 00:13:28.760]   How many slaves are you going to send?
[00:13:28.760 --> 00:13:30.120]   He just keeps killing them.
[00:13:30.120 --> 00:13:31.120]   What do you do?
[00:13:31.120 --> 00:13:36.000]   This man's patience is incredible here, right?
[00:13:36.000 --> 00:13:38.840]   That doesn't end.
[00:13:38.840 --> 00:13:43.240]   He says, "Maybe if I send my own son, they will listen."
[00:13:43.240 --> 00:13:46.080]   This isn't foolishness.
[00:13:46.080 --> 00:13:55.480]   This is incredible patience and love and graciousness, kindness.
[00:13:55.480 --> 00:13:57.120]   He sends his very own son.
[00:13:57.120 --> 00:14:02.320]   This means, by the way, that this is the inheritor.
[00:14:02.320 --> 00:14:10.680]   If the landowner is sending his own son, this is the very man who is one day going to inherit
[00:14:10.680 --> 00:14:20.440]   all of it.
[00:14:20.440 --> 00:14:25.720]   And a sinful heart is laid bare of these religious leaders.
[00:14:25.720 --> 00:14:28.920]   Here it is in one statement, the sinful man's heart and intent.
[00:14:28.920 --> 00:14:35.920]   In verse 38 of chapter 21, they say, they scheme together, all these people, "This
[00:14:35.920 --> 00:14:37.560]   is the heir.
[00:14:37.560 --> 00:14:42.280]   Come, let us kill him."
[00:14:42.280 --> 00:14:43.280]   And what?
[00:14:43.280 --> 00:14:47.360]   He sees his inheritance.
[00:14:47.360 --> 00:14:54.040]   Jesus is telling them this parable because he knows.
[00:14:54.040 --> 00:14:56.920]   He knows through and through what's going on in their hearts.
[00:14:56.920 --> 00:15:01.200]   And when Jesus asked the Jewish leaders what the landowner will do when they kill this
[00:15:01.200 --> 00:15:05.960]   son, which they do, they kill the son so that they can have the inheritance, which doesn't
[00:15:05.960 --> 00:15:10.200]   even make sense.
[00:15:10.200 --> 00:15:17.360]   It's almost eerie how well the religious leaders are able to answer what the landowner is going
[00:15:17.360 --> 00:15:19.240]   to do.
[00:15:19.240 --> 00:15:25.000]   In verse 41, just three verses after, the religious leader said to him, "He, the landowner,
[00:15:25.000 --> 00:15:29.680]   will bring those wretches to a wretched end and will rent out the vineyard to other vine
[00:15:29.680 --> 00:15:35.160]   growers who will pay in the proceeds at the proper season."
[00:15:35.160 --> 00:15:40.440]   And then in verse 45, it says, "When the chief priests and the Pharisees heard his
[00:15:40.440 --> 00:15:44.760]   parables, they understood."
[00:15:44.760 --> 00:15:49.040]   They understood that he was talking about them.
[00:15:49.040 --> 00:15:53.360]   Now, there's many more parables, but here's another one, okay?
[00:15:53.360 --> 00:15:56.240]   The wedding feast is the second and last parable we're going to go into.
[00:15:56.240 --> 00:15:57.840]   Jesus goes on to tell another parable.
[00:15:57.840 --> 00:16:00.600]   A king holds a wedding feast for his son.
[00:16:00.600 --> 00:16:03.920]   And so now we've moved from a landowner to what?
[00:16:03.920 --> 00:16:07.120]   A king.
[00:16:07.120 --> 00:16:10.400]   Matthew is all about the kingdom and the king.
[00:16:10.400 --> 00:16:13.240]   Now we're getting increasing clarity here.
[00:16:13.240 --> 00:16:18.960]   Now the parable's about a king and he's holding a wedding feast for his son.
[00:16:18.960 --> 00:16:23.040]   And he sends his slaves out to call those who have been invited to the wedding feast.
[00:16:23.040 --> 00:16:25.300]   But the people are unwilling to come.
[00:16:25.300 --> 00:16:29.040]   And so again, the king sends other slaves with more information.
[00:16:29.040 --> 00:16:32.240]   By the way, if you haven't caught on yet, these slaves, these servants that are being
[00:16:32.240 --> 00:16:38.200]   sent out are alluding to the prophets of old, sent to the nation of Israel.
[00:16:38.200 --> 00:16:42.000]   And in Matthew chapter 22, verse 4, it says, "Tell those who have been invited, 'Behold,
[00:16:42.000 --> 00:16:43.560]   I have prepared my dinner.
[00:16:43.560 --> 00:16:48.260]   My oxen and my fattened livestock are all butchered and everything is ready.
[00:16:48.260 --> 00:16:49.260]   Come to the wedding feast.
[00:16:49.260 --> 00:16:50.260]   It's to enjoy.'"
[00:16:50.260 --> 00:16:54.600]   But without going into the text itself, let me just explain to you.
[00:16:54.600 --> 00:17:01.440]   But those invited pay no attention because they don't care about the king.
[00:17:01.440 --> 00:17:04.440]   Instead, this is what Jesus says.
[00:17:04.440 --> 00:17:06.120]   He describes them, okay?
[00:17:06.120 --> 00:17:10.360]   He says, "Number one, one owned a farm.
[00:17:10.360 --> 00:17:14.120]   Number two, one owned a business.
[00:17:14.120 --> 00:17:20.820]   And they said, 'I have this to tend to, so I cannot come.'"
[00:17:20.820 --> 00:17:25.100]   And thirdly, anyone else that's remaining, "Seize the slaves," and here it is again,
[00:17:25.100 --> 00:17:26.100]   "they killed them."
[00:17:26.100 --> 00:17:31.380]   Kill.
[00:17:31.380 --> 00:17:34.140]   They want their own life according to their own terms.
[00:17:34.140 --> 00:17:35.900]   They don't care about the kingdom of the king.
[00:17:35.900 --> 00:17:38.100]   They care about their very own kingdom.
[00:17:38.100 --> 00:17:42.580]   They actually want nothing to do with God, nothing to do with him.
[00:17:42.580 --> 00:17:44.260]   They want to live their own lives.
[00:17:44.260 --> 00:17:49.660]   And remember that all these things are describing these Jewish leaders, the most religious people
[00:17:49.660 --> 00:17:50.660]   in Israel.
[00:17:50.660 --> 00:18:00.260]   And he's speaking to them in the temple in Jerusalem.
[00:18:00.260 --> 00:18:04.060]   But this is what they're willing to do because they honor God with the lips.
[00:18:04.060 --> 00:18:08.420]   They say with their lips that they love God and they worship God, but they don't really.
[00:18:08.420 --> 00:18:11.180]   They actually want to live their own lives.
[00:18:11.180 --> 00:18:12.720]   They want their own kingdom.
[00:18:12.720 --> 00:18:17.500]   And so when the Messiah comes and he does not say he's going to deliver to them what
[00:18:17.500 --> 00:18:20.860]   they want, they turn.
[00:18:20.860 --> 00:18:24.300]   Do they just turn a blind eye?
[00:18:24.300 --> 00:18:25.300]   No.
[00:18:25.300 --> 00:18:26.860]   They seethe.
[00:18:26.860 --> 00:18:31.380]   They want him dead.
[00:18:31.380 --> 00:18:33.620]   That's what's happening on this Tuesday.
[00:18:33.620 --> 00:18:46.980]   But Jesus knows and he's taking painstaking time to explain to them what they are.
[00:18:46.980 --> 00:18:54.060]   You might see all this rebuke, but rebuke done by the sinless man, the son of God.
[00:18:54.060 --> 00:18:55.980]   And this is love, I think.
[00:18:55.980 --> 00:18:58.380]   This is grace.
[00:18:58.380 --> 00:19:02.260]   Showing that this is who you are.
[00:19:02.260 --> 00:19:04.980]   Do you not see it?
[00:19:04.980 --> 00:19:12.140]   They say, "Lord, Lord, did we not do all these things in your name?"
[00:19:12.140 --> 00:19:16.500]   One day Jesus will stare them back in the eye, unflinching, and say, "I never knew
[00:19:16.500 --> 00:19:18.980]   you."
[00:19:18.980 --> 00:19:22.340]   The kingdom is reserved for those who love the Lord and live for him.
[00:19:22.340 --> 00:19:28.420]   The kingdom does not house people who live for their own glory.
[00:19:28.420 --> 00:19:29.420]   And so what is the result?
[00:19:29.420 --> 00:19:35.580]   The king in this parable sends his armies, destroys the murderers, and sets their city
[00:19:35.580 --> 00:19:38.660]   on fire.
[00:19:38.660 --> 00:19:41.920]   And then the king sends his slaves to the main highways, inviting anyone who would come
[00:19:41.920 --> 00:19:43.100]   into the wedding.
[00:19:43.100 --> 00:19:44.800]   Those previously uninvited.
[00:19:44.800 --> 00:19:47.660]   The kingdom is reserved for those of faith.
[00:19:47.660 --> 00:19:49.980]   It does not matter what you look like on the outside.
[00:19:49.980 --> 00:19:53.820]   The kingdom is for those who have placed their faith in God and give their lives over to
[00:19:53.820 --> 00:19:54.820]   God.
[00:19:54.820 --> 00:19:57.820]   It's for the ones who have traded in all things for the king.
[00:19:57.820 --> 00:20:07.780]   It's not for those who put up a religious show, but it's for those who live for him.
[00:20:07.780 --> 00:20:12.300]   So he's been teaching all day at this temple, and he concludes, after a full day's work
[00:20:12.300 --> 00:20:17.260]   done, Jesus caps it all off, as if there were any question as to the message to stay in
[00:20:17.260 --> 00:20:18.460]   Matthew chapter 23.
[00:20:18.460 --> 00:20:22.500]   Let me read to us verse 2-7.
[00:20:22.500 --> 00:20:26.460]   The scribes and the Pharisees have seated themselves in the chair of Moses.
[00:20:26.460 --> 00:20:30.260]   Remember all that they tell you, do and observe, but do not do according to their deeds.
[00:20:30.260 --> 00:20:32.100]   For they say things and do not do them.
[00:20:32.100 --> 00:20:35.700]   They tie up heavy burdens and lay them on men's shoulders, but they themselves are unwilling
[00:20:35.700 --> 00:20:38.140]   to move them with so much as a finger.
[00:20:38.140 --> 00:20:40.540]   But they do all their deeds to be noticed by men.
[00:20:40.540 --> 00:20:43.660]   For they broaden their phylacteries and lengthen the tassels of their garments.
[00:20:43.660 --> 00:20:47.300]   They love the places of honor at banquets and the chief seats in the synagogues, and
[00:20:47.300 --> 00:20:50.900]   respectful greetings in the marketplaces, and being called rabbi by men.
[00:20:50.900 --> 00:20:54.980]   And when I hear these words of Jesus, all I can hear is, "Their kingdom, their kingdom,
[00:20:54.980 --> 00:20:56.860]   their kingdom."
[00:20:56.860 --> 00:20:58.260]   That's all I can hear in that.
[00:20:58.260 --> 00:21:03.100]   And so what he does is pronounces, "Woe!" which is an exclamation of grief.
[00:21:03.100 --> 00:21:07.620]   And you can think of it like this, "Woe!"s mean how greatly one will suffer.
[00:21:07.620 --> 00:21:11.140]   When he says, pronounces a "Woe!" is what terrible pain will come.
[00:21:11.140 --> 00:21:13.700]   It means how horrible it will be.
[00:21:13.700 --> 00:21:16.020]   And he says, "Woe to the scribes and Pharisees."
[00:21:16.020 --> 00:21:17.820]   He says it seven times.
[00:21:17.820 --> 00:21:19.540]   "Woe!" in verse 13.
[00:21:19.540 --> 00:21:21.700]   "Woe to the scribes and Pharisees, hypocrites!"
[00:21:21.700 --> 00:21:22.700]   In verse 14.
[00:21:22.700 --> 00:21:24.540]   "Woe to the scribes and Pharisees, hypocrites!"
[00:21:24.540 --> 00:21:25.540]   In verse 15.
[00:21:25.540 --> 00:21:27.260]   "Woe to you, scribes and Pharisees, hypocrites!"
[00:21:27.260 --> 00:21:28.260]   Verse 16.
[00:21:28.260 --> 00:21:29.260]   "Woe to you, blind guides!"
[00:21:29.260 --> 00:21:30.260]   Verse 23.
[00:21:30.260 --> 00:21:32.020]   "Woe to you, scribes and Pharisees, hypocrites!"
[00:21:32.020 --> 00:21:33.020]   Verse 25.
[00:21:33.020 --> 00:21:34.020]   Verse 27.
[00:21:34.020 --> 00:21:35.020]   Verse 29.
[00:21:35.020 --> 00:21:36.020]   Verbatim.
[00:21:36.020 --> 00:21:37.020]   "Woe to you, scribes and Pharisees, hypocrites!"
[00:21:37.020 --> 00:21:40.300]   He's saying how horrible it will be for you.
[00:21:40.300 --> 00:21:45.740]   The judgment is being stored, and Jesus is making it clear that the proud and arrogant,
[00:21:45.740 --> 00:21:47.100]   you are not victims.
[00:21:47.100 --> 00:21:52.060]   This will be just recompense for your sin.
[00:21:52.060 --> 00:21:55.620]   They are hard-hearted people who are bringing judgment upon themselves.
[00:21:55.620 --> 00:21:59.220]   He has spent this time exposing who they are and what their heart is like.
[00:21:59.220 --> 00:22:03.420]   They have proud and arrogant hearts that do not submit to Jesus as he's saying this, Jesus
[00:22:03.420 --> 00:22:15.000]   is standing before them, preaching his heart out, filled with desire.
[00:22:15.000 --> 00:22:20.720]   The King that has come, and all they want is for Jesus to fit their own agenda.
[00:22:20.720 --> 00:22:25.220]   And now, because he does not fulfill that, they want to eliminate the threat, and so
[00:22:25.220 --> 00:22:28.700]   they go and scheme.
[00:22:28.700 --> 00:22:31.540]   It is intentional.
[00:22:31.540 --> 00:22:36.460]   God has been patient in his desire to extend his grace and mercy for years and years and
[00:22:36.460 --> 00:22:38.860]   years.
[00:22:38.860 --> 00:22:43.580]   And so in verse 34, he says, "Therefore," this is right after all the woes, "Woe, woe,
[00:22:43.580 --> 00:22:49.820]   woe, woe, woe to all of you," he says, "Therefore, therefore," the only therefore in this whole
[00:22:49.820 --> 00:22:50.820]   passage, okay?
[00:22:50.820 --> 00:22:57.420]   He says, "Therefore, behold, I am sending you prophets and wise men, scribes, some of
[00:22:57.420 --> 00:23:01.460]   them you will kill and crucify, some of them you will scourge in your synagogues and persecute
[00:23:01.460 --> 00:23:05.300]   from city to city, so that upon you may fall the guilt of all the righteous bloodshed on
[00:23:05.300 --> 00:23:08.500]   earth, from the blood of righteous Abel to the blood of Zechariah."
[00:23:08.500 --> 00:23:14.820]   The Jewish Bible started with Genesis, ended with 2 Chronicles, and these were the front
[00:23:14.820 --> 00:23:20.380]   and the end, the bookends of prophets that were given, that you will kill them all.
[00:23:20.380 --> 00:23:25.220]   In verse 37, he cries out, "Jerusalem, Jerusalem, who kills the prophets and stones those who
[00:23:25.220 --> 00:23:26.220]   are sent to her?
[00:23:26.220 --> 00:23:30.240]   How often I wanted to gather your children together the way a hen gathers her chicks
[00:23:30.240 --> 00:23:32.700]   under her wings, and you were unwilling.
[00:23:32.700 --> 00:23:35.100]   Behold, your house is being left to you desolate."
[00:23:35.100 --> 00:23:38.820]   See, Jesus' heart is filled here.
[00:23:38.820 --> 00:23:43.940]   He's not mean.
