
[00:00:00.000 --> 00:00:02.160]   (silence)
[00:05:20.720 --> 00:05:24.100]   He says, "To me, the very least of all saints,
[00:05:24.100 --> 00:05:26.800]   "this grace was given, to preach to the Gentiles
[00:05:26.800 --> 00:05:29.080]   "the unfathomable riches of Christ,
[00:05:29.080 --> 00:05:31.400]   "and to bring to light what is the administration
[00:05:31.400 --> 00:05:34.420]   "of the mystery, which for ages has been hidden in God,
[00:05:34.420 --> 00:05:39.180]   "who created all things, so that the manifold wisdom of God
[00:05:39.180 --> 00:05:41.280]   "might now be made known through the church
[00:05:41.280 --> 00:05:44.400]   "to the rulers and the authorities in the heavenly places.
[00:05:44.400 --> 00:05:47.480]   "This was in accordance with the eternal purpose
[00:05:47.480 --> 00:05:50.320]   "which he carried out in Christ Jesus our Lord,
[00:05:50.320 --> 00:05:54.060]   "in whom we have boldness and confident access
[00:05:54.060 --> 00:05:55.660]   "through faith in him.
[00:05:55.660 --> 00:05:57.940]   "Therefore, I ask you not to lose heart
[00:05:57.940 --> 00:06:00.200]   "at my tribulations on your behalf,
[00:06:00.200 --> 00:06:01.660]   "for they are your glory."
[00:06:01.660 --> 00:06:04.900]   So as we take a look at that,
[00:06:04.900 --> 00:06:08.420]   I want to give you an essentially an overview structure,
[00:06:08.420 --> 00:06:12.080]   'cause essentially we need to see that overview, right?
[00:06:12.080 --> 00:06:17.080]   And what you see here, again, I mentioned
[00:06:17.080 --> 00:06:23.000]   that verse two to 13, two to 14, you could arguably say,
[00:06:23.000 --> 00:06:26.420]   is a parenthetical pause to take a moment
[00:06:26.420 --> 00:06:28.880]   to think about what has been said.
[00:06:28.880 --> 00:06:31.960]   He says at the beginning portion of this passage,
[00:06:31.960 --> 00:06:33.960]   "For this reason," right?
[00:06:33.960 --> 00:06:35.560]   And when he says, "For this reason,"
[00:06:35.600 --> 00:06:38.600]   he is talking about all the incredible truth
[00:06:38.600 --> 00:06:42.420]   that he has already expounded on and explained so far.
[00:06:42.420 --> 00:06:44.220]   So far, he's been telling us
[00:06:44.220 --> 00:06:48.160]   that the gospel that has been given to us is so rich,
[00:06:48.160 --> 00:06:50.980]   that the blessings of God are so many.
[00:06:50.980 --> 00:06:52.760]   It's been lavished upon us.
[00:06:52.760 --> 00:06:56.500]   And what's more, those blessings has such intentionality,
[00:06:56.500 --> 00:06:59.300]   but also a meticulous plan to it,
[00:06:59.300 --> 00:07:02.540]   to the degree that God is causing us to be built up
[00:07:02.540 --> 00:07:05.880]   into a unique house, a dwelling place of God.
[00:07:05.880 --> 00:07:09.680]   And therefore, he says, he's praying for us.
[00:07:09.680 --> 00:07:11.640]   Now, after saying that,
[00:07:11.640 --> 00:07:14.520]   within this parenthetical statement,
[00:07:14.520 --> 00:07:18.080]   essentially he says, "If then indeed,
[00:07:18.080 --> 00:07:20.660]   "you've heard the stewardship of God's grace,
[00:07:20.660 --> 00:07:23.880]   "which was given to me for you."
[00:07:23.880 --> 00:07:25.760]   Essentially what he's doing then is,
[00:07:25.760 --> 00:07:27.920]   he's taking a moment to pause.
[00:07:27.920 --> 00:07:30.920]   And what he's expecting is that we, the hearers,
[00:07:30.920 --> 00:07:33.640]   and the church that is his immediate audience,
[00:07:33.640 --> 00:07:36.800]   as a matter of fact, actually heard and understand.
[00:07:36.800 --> 00:07:39.700]   And so I highlight for you those specific statements
[00:07:39.700 --> 00:07:42.640]   in verse two, "If indeed you have heard,"
[00:07:42.640 --> 00:07:45.240]   and what's more, verse four, "By referring to this,"
[00:07:45.240 --> 00:07:46.600]   he's saying, "By saying this,
[00:07:46.600 --> 00:07:49.360]   "when you read, you can understand."
[00:07:49.360 --> 00:07:51.680]   Okay, I wanna take a moment to reflect
[00:07:51.680 --> 00:07:53.760]   and meditate on that a little bit.
[00:07:53.760 --> 00:07:57.640]   Because sometimes there is a need for us to pause
[00:07:57.640 --> 00:08:01.340]   and ask, do I really understand what he's saying?
[00:08:01.340 --> 00:08:05.080]   Do I sufficiently, I know I'm not gonna understand
[00:08:05.080 --> 00:08:08.400]   everything, but do I sufficiently appreciate?
[00:08:08.400 --> 00:08:10.440]   Am I impacted, am I actually moved
[00:08:10.440 --> 00:08:11.680]   by what he's been saying?
[00:08:11.680 --> 00:08:15.320]   Because that is exactly what he's doing, is it not?
[00:08:15.320 --> 00:08:18.460]   When he challenges the hearer, essentially,
[00:08:18.460 --> 00:08:20.540]   by saying, "If you actually heard,
[00:08:20.540 --> 00:08:23.800]   "and by saying this, that you might read and understand."
[00:08:23.800 --> 00:08:26.640]   And so what's really interesting is,
[00:08:26.640 --> 00:08:29.040]   he says, "If you understand this mystery."
[00:08:29.040 --> 00:08:33.200]   And what I see in this passage is Apostle Paul
[00:08:33.200 --> 00:08:36.000]   essentially doing a quick stack up.
[00:08:36.000 --> 00:08:37.600]   And the reason why I say it's a stack up
[00:08:37.600 --> 00:08:39.640]   is because there are a couple of statements
[00:08:39.640 --> 00:08:41.600]   just to stack up on each other.
[00:08:41.600 --> 00:08:44.600]   If you really heard the stewardship of God's grace,
[00:08:44.600 --> 00:08:46.760]   which was given to me for you,
[00:08:46.760 --> 00:08:49.640]   this revelation that was made known to,
[00:08:49.640 --> 00:08:51.280]   sorry, that by revelation,
[00:08:51.280 --> 00:08:53.280]   there was made known to me the revelation.
[00:08:53.280 --> 00:08:54.840]   I wrote this before.
[00:08:54.840 --> 00:08:57.120]   By referring to this, I know you should be able
[00:08:57.120 --> 00:08:58.640]   to read and to understand.
[00:08:58.640 --> 00:09:00.560]   And so essentially, there's a stack up,
[00:09:00.560 --> 00:09:05.040]   this kind of like repeated, same kind of message,
[00:09:05.040 --> 00:09:07.800]   a statement that perhaps doesn't need to be repeated,
[00:09:07.800 --> 00:09:10.360]   but he does so for the sake of effect.
[00:09:10.360 --> 00:09:13.440]   Do you actually understand what I'm saying to you?
[00:09:13.440 --> 00:09:16.720]   Okay, so let's take a moment just from the get-go
[00:09:16.720 --> 00:09:19.040]   to meditate upon that, because I believe
[00:09:19.040 --> 00:09:22.200]   this is the purpose why Apostle Paul
[00:09:22.200 --> 00:09:24.440]   takes a parenthetical pause.
[00:09:24.440 --> 00:09:26.840]   That's what he's actually trying to do.
[00:09:26.840 --> 00:09:28.840]   Do you understand?
[00:09:28.840 --> 00:09:29.760]   Right?
[00:09:29.760 --> 00:09:32.440]   I mean, for us too, we can actually say
[00:09:32.440 --> 00:09:35.000]   that in many ways, we hear,
[00:09:35.000 --> 00:09:38.880]   especially the gospel being expounded in many ways,
[00:09:38.880 --> 00:09:41.960]   different facets of the gospel being highlighted to us.
[00:09:41.960 --> 00:09:43.160]   And is it always the case
[00:09:43.160 --> 00:09:45.240]   that we understand on first hearing?
[00:09:45.240 --> 00:09:47.400]   Is it always the case that we actually receive it
[00:09:47.400 --> 00:09:49.480]   and appreciate it as we ought to?
[00:09:49.480 --> 00:09:50.720]   Probably not.
[00:09:50.720 --> 00:09:54.800]   So actually, it's good for us to take a moment to pause
[00:09:54.800 --> 00:09:57.040]   and ask the question, do I really understand
[00:09:57.040 --> 00:10:00.480]   and receive everything that we've been saying?
[00:10:00.480 --> 00:10:02.920]   And now take a moment to think about this.
[00:10:02.920 --> 00:10:05.160]   Earlier, I did a quick review,
[00:10:05.160 --> 00:10:06.400]   but my question to you is,
[00:10:06.400 --> 00:10:11.400]   are you able to really meditate, chew on,
[00:10:11.400 --> 00:10:15.360]   and have that kind of thought reverberating in your minds
[00:10:15.360 --> 00:10:17.040]   about all the things that was already taught us
[00:10:17.040 --> 00:10:18.720]   in chapter one and two?
[00:10:18.720 --> 00:10:21.480]   So far, we've had so much teaching.
[00:10:21.480 --> 00:10:23.640]   We've had eight weeks of teaching
[00:10:23.640 --> 00:10:25.560]   on the incredible blessings of God
[00:10:25.560 --> 00:10:27.160]   that has come through Christ,
[00:10:27.160 --> 00:10:28.600]   that everything is in Him.
[00:10:28.600 --> 00:10:31.440]   To me, they were like mind-blowing moments.
[00:10:31.440 --> 00:10:34.360]   If you actually took time to sit and then think,
[00:10:34.360 --> 00:10:37.840]   to think about how intentional God is with His love,
[00:10:37.840 --> 00:10:40.120]   that none of this is by happenstance.
[00:10:40.120 --> 00:10:41.840]   None of this is by us saying,
[00:10:41.840 --> 00:10:44.080]   God, I have this great idea.
[00:10:44.080 --> 00:10:45.800]   If you could only do this for me,
[00:10:45.800 --> 00:10:47.800]   then it would be really great.
[00:10:47.800 --> 00:10:49.880]   Well, that's not how it's working, is it?
[00:10:49.880 --> 00:10:52.880]   From before we were born,
[00:10:52.880 --> 00:10:55.680]   God had designed His salvation,
[00:10:55.680 --> 00:10:58.440]   and His redemption has been meticulously unfolded
[00:10:58.440 --> 00:11:00.360]   throughout the passing of time.
[00:11:00.360 --> 00:11:01.880]   And what's more, we studied
[00:11:01.880 --> 00:11:06.320]   how God lavishly exercised His power towards us,
[00:11:06.320 --> 00:11:09.640]   His grace towards us, His strength towards us,
[00:11:09.640 --> 00:11:12.720]   and ultimately that He would unite us with Christ
[00:11:12.720 --> 00:11:16.480]   so that in Christ, we would die in our sin,
[00:11:16.480 --> 00:11:20.560]   we would die in our bondage, and we'd be made alive.
[00:11:20.560 --> 00:11:22.320]   We studied how we were so dead,
[00:11:22.320 --> 00:11:23.720]   and yet, and we were also,
[00:11:23.720 --> 00:11:26.640]   because of that deadness, relationally so far,
[00:11:26.640 --> 00:11:28.200]   but in the great mercies of God,
[00:11:28.200 --> 00:11:31.080]   He's made us alive and He's brought us together.
[00:11:31.080 --> 00:11:33.880]   Now, I'm repeating certain things again myself,
[00:11:33.880 --> 00:11:38.160]   but my question is, if after hearing all that stuff,
[00:11:38.160 --> 00:11:41.880]   let's say that our hearts have this little bit
[00:11:41.880 --> 00:11:45.840]   of a shrugs mentality.
[00:11:45.840 --> 00:11:48.000]   Let's say our minds aren't actually,
[00:11:48.000 --> 00:11:49.680]   I mean, it's not so much that your mind
[00:11:49.680 --> 00:11:52.440]   has to be blown every single time,
[00:11:52.440 --> 00:11:54.640]   but shouldn't there be a stirring?
[00:11:54.640 --> 00:11:56.760]   Shouldn't there be an appreciation?
[00:11:56.760 --> 00:12:00.200]   Shouldn't there be a wonder of like, whoa, right?
[00:12:00.200 --> 00:12:01.120]   A bare minimum.
[00:12:01.120 --> 00:12:04.560]   But if there is perhaps a sentiment where we say,
[00:12:04.560 --> 00:12:07.560]   "And you have access to God,
[00:12:07.560 --> 00:12:12.560]   "and you kind of, okay, heard that, I get it,"
[00:12:12.560 --> 00:12:15.200]   then perhaps we don't understand.
[00:12:15.600 --> 00:12:18.240]   Then perhaps we don't actually get it.
[00:12:18.240 --> 00:12:20.000]   And the thing about it is,
[00:12:20.000 --> 00:12:23.400]   I think this is a good moment to check our hearts,
[00:12:23.400 --> 00:12:26.240]   because I don't think Apostle Paul is just pointing
[00:12:26.240 --> 00:12:29.400]   at our ears and asking the question, "Did you hear me?"
[00:12:29.400 --> 00:12:32.920]   Like, for example, when we were young,
[00:12:32.920 --> 00:12:36.240]   and our parents looked at us and said, "Did you hear me?"
[00:12:36.240 --> 00:12:37.720]   I'm pretty sure they weren't asking
[00:12:37.720 --> 00:12:39.520]   if our ears are defective,
[00:12:39.520 --> 00:12:41.960]   if our ear drums were hurt, right?
[00:12:41.960 --> 00:12:42.920]   'Cause the fact of the matter is,
[00:12:42.920 --> 00:12:45.040]   there are so many reasons why sometimes
[00:12:45.040 --> 00:12:46.600]   we actually don't hear.
[00:12:46.600 --> 00:12:51.280]   Again, like children, sometimes we just simply don't hear
[00:12:51.280 --> 00:12:53.040]   because we're absolutely preoccupied
[00:12:53.040 --> 00:12:54.920]   with the stuff that we're doing.
[00:12:54.920 --> 00:12:57.440]   And as a matter of fact, perhaps we might have even said,
[00:12:57.440 --> 00:12:59.720]   someone yelled a command to us,
[00:12:59.720 --> 00:13:00.880]   someone called for our name,
[00:13:00.880 --> 00:13:01.720]   and was like, "You know what?
[00:13:01.720 --> 00:13:03.120]   "Sorry, I was too busy.
[00:13:03.120 --> 00:13:05.280]   "I was caught up in my own thing."
[00:13:05.280 --> 00:13:07.760]   Is that, for us, where we are?
[00:13:07.760 --> 00:13:10.320]   Perhaps sometimes we might hear something else,
[00:13:10.320 --> 00:13:12.240]   but before responding, we look around,
[00:13:12.240 --> 00:13:14.480]   are other people responding?
[00:13:14.480 --> 00:13:16.200]   And maybe that's us.
[00:13:16.200 --> 00:13:18.880]   We're always playing the safe card,
[00:13:18.880 --> 00:13:19.720]   and looking to see,
[00:13:19.720 --> 00:13:22.800]   are other people taking this really seriously?
[00:13:22.800 --> 00:13:26.560]   This idea that because you were absolutely dead,
[00:13:26.560 --> 00:13:29.160]   your life is completely belonging to Christ,
[00:13:29.160 --> 00:13:30.800]   and you owe everything to Him,
[00:13:30.800 --> 00:13:34.280]   and that you are now a slave of God Almighty?
[00:13:34.280 --> 00:13:37.760]   Let's see if other people do that first, right?
[00:13:37.760 --> 00:13:39.320]   I mean, if you ever have had siblings,
[00:13:39.320 --> 00:13:40.160]   sometimes you do that.
[00:13:40.160 --> 00:13:43.960]   Like, let's see if my older brother will go first, right?
[00:13:43.960 --> 00:13:46.760]   Sometimes we just don't think it's important.
[00:13:46.760 --> 00:13:49.200]   We have other pressing matters.
[00:13:49.200 --> 00:13:53.240]   Those are all like worldview issues.
[00:13:53.240 --> 00:13:55.120]   Those are all heart issues.
[00:13:55.120 --> 00:13:57.480]   And we want to make this a point for us,
[00:13:57.480 --> 00:13:59.840]   that if he's taking a parenthetical moment,
[00:13:59.840 --> 00:14:01.840]   a pause in his, as he's saying,
[00:14:01.840 --> 00:14:04.240]   "I'm praying, I'm working for you.
[00:14:04.240 --> 00:14:07.240]   "I'm a servant of this cause to bring you into the church,
[00:14:07.240 --> 00:14:10.920]   "and cause you to be one unto God."
[00:14:10.920 --> 00:14:12.880]   And he's like, "Wait, I need to make sure.
[00:14:12.880 --> 00:14:14.640]   "Did you hear me?"
[00:14:14.640 --> 00:14:17.040]   And let's ask the question, did I hear God?
[00:14:17.040 --> 00:14:19.040]   Chapters one through two,
[00:14:19.040 --> 00:14:22.200]   did I really appreciate everything that has been said?
[00:14:22.200 --> 00:14:26.560]   Or is there a weird, strange, perhaps hardened heart
[00:14:26.560 --> 00:14:28.880]   that says, "It's the big deal.
[00:14:28.880 --> 00:14:30.920]   "I've heard that a thousand times.
[00:14:30.920 --> 00:14:32.240]   "How does that help me?
[00:14:32.240 --> 00:14:33.760]   "Whoop-de-doo."
[00:14:33.760 --> 00:14:34.960]   And if we're thinking that way,
[00:14:34.960 --> 00:14:38.680]   we absolutely have to check our hearts.
[00:14:38.680 --> 00:14:42.400]   Why, if we actually believe we were the scum of the earth,
[00:14:42.400 --> 00:14:44.640]   destined for wrath and to be burned,
[00:14:44.640 --> 00:14:46.880]   and yet we were invited into the household of God,
[00:14:46.880 --> 00:14:48.960]   why does that not affect me?
[00:14:48.960 --> 00:14:51.640]   Why does that not make my heart all the more thirsty
[00:14:51.640 --> 00:14:54.040]   for this great love that God has?
[00:14:54.040 --> 00:14:55.480]   What's going on?
[00:14:55.480 --> 00:14:57.440]   Now, this really matters.
[00:14:57.440 --> 00:14:59.200]   This really matters.
[00:14:59.200 --> 00:15:01.480]   Not just because of for us,
[00:15:01.480 --> 00:15:05.480]   because I think that if what God is doing here
[00:15:05.480 --> 00:15:09.160]   is properly understood as Apostle Paul is understanding it,
[00:15:09.160 --> 00:15:11.400]   then there is absolute good reason
[00:15:11.400 --> 00:15:14.640]   why Apostle Paul is making sure that we understand.
[00:15:14.640 --> 00:15:16.360]   Because if we don't get it,
[00:15:16.360 --> 00:15:19.040]   then we may be offending God.
[00:15:19.040 --> 00:15:21.080]   We may be offending God.
[00:15:21.080 --> 00:15:26.080]   Sometimes our world, our personal view of self,
[00:15:26.080 --> 00:15:29.680]   and our view of the world is so narcissistic.
[00:15:29.680 --> 00:15:32.760]   It's so focused, we have no idea what we're doing to God.
[00:15:32.760 --> 00:15:33.920]   It's like that when we're kids.
[00:15:33.920 --> 00:15:35.080]   Sometimes we say things,
[00:15:35.080 --> 00:15:37.080]   we have no idea how it hurts our parents,
[00:15:37.080 --> 00:15:38.960]   has no idea how it hurts our spouses,
[00:15:38.960 --> 00:15:40.800]   has no idea how it hurts our friends.
[00:15:40.800 --> 00:15:44.200]   It could be like that with us and God.
[00:15:44.200 --> 00:15:47.040]   That relationally, if God is revealing to us
[00:15:47.040 --> 00:15:49.760]   so far in chapters one and two,
[00:15:49.760 --> 00:15:52.680]   how much he has poured out in his strength,
[00:15:52.680 --> 00:15:55.640]   in his love, and in his power to love us.
[00:15:55.640 --> 00:15:57.720]   And yet, if any bit of that
[00:15:57.720 --> 00:15:59.560]   just completely goes over our heads,
[00:15:59.560 --> 00:16:02.800]   it completely goes in one ear and out the other,
[00:16:02.800 --> 00:16:07.000]   and we shrug, think about how offensive that could be.
[00:16:07.000 --> 00:16:08.960]   And the way I wanna describe it is
[00:16:08.960 --> 00:16:12.480]   that what we see in verses two through seven so far,
[00:16:12.480 --> 00:16:13.840]   and in this section,
[00:16:13.840 --> 00:16:17.160]   is going to be an incredible revelation of God.
[00:16:17.160 --> 00:16:18.400]   The way I like to put it is,
[00:16:18.400 --> 00:16:21.000]   there is a reveal party of God.
[00:16:21.000 --> 00:16:24.400]   There is a reveal party of God.
[00:16:24.400 --> 00:16:28.240]   And at this party, it is our job,
[00:16:28.240 --> 00:16:30.280]   it is also the respectful thing,
[00:16:30.280 --> 00:16:32.880]   it is the appropriate manner and behavior
[00:16:32.880 --> 00:16:35.960]   to be all ears, to be all attentive,
[00:16:35.960 --> 00:16:38.200]   and be moved by what he's revealing.
[00:16:38.200 --> 00:16:40.080]   Think about this, if you were at a,
[00:16:40.080 --> 00:16:43.360]   nowadays it's really cool to do all kinds of reveal parties,
[00:16:43.360 --> 00:16:44.920]   engagement parties,
[00:16:44.920 --> 00:16:47.600]   but imagine if you were at this special reveal party
[00:16:47.600 --> 00:16:51.360]   of the king, when they're about to have a baby, right?
[00:16:51.360 --> 00:16:52.320]   They're about to have a baby
[00:16:52.320 --> 00:16:54.240]   and they're gonna reveal the gender.
[00:16:54.240 --> 00:16:55.840]   They have this kind of pageantry,
[00:16:55.840 --> 00:16:57.720]   they have some decorations,
[00:16:57.720 --> 00:17:00.160]   they have snacks and desserts and refreshments,
[00:17:00.160 --> 00:17:01.480]   and special people are there,
[00:17:01.480 --> 00:17:03.200]   special honored guests are there.
[00:17:03.200 --> 00:17:05.120]   And they're about to call in everybody and say,
[00:17:05.120 --> 00:17:07.040]   "Hey, everybody, I know you're just hanging out
[00:17:07.040 --> 00:17:09.120]   "with each other now, but come together.
[00:17:09.120 --> 00:17:12.000]   "We're going to have the reveal.
[00:17:12.000 --> 00:17:13.760]   "What's the gender of the baby?"
[00:17:13.760 --> 00:17:15.840]   And they're gonna pop massive balloons
[00:17:15.840 --> 00:17:19.440]   and see the powder come out in different colors, right?
[00:17:19.440 --> 00:17:21.280]   But imagine if you were so narcissistic
[00:17:21.280 --> 00:17:24.240]   and you were saying, "Meh, why am I even here?"
[00:17:24.240 --> 00:17:25.080]   Right?
[00:17:25.080 --> 00:17:27.200]   And imagine if you just said, "You know, I'm so thirsty.
[00:17:27.200 --> 00:17:28.520]   "Where's the cooler?
[00:17:28.520 --> 00:17:29.760]   "Where are the drinks?
[00:17:29.760 --> 00:17:31.520]   "How does that even help me get my drink?"
[00:17:31.520 --> 00:17:32.760]   Right?
[00:17:32.760 --> 00:17:36.240]   It just shows you your mind is not in the right place.
[00:17:36.240 --> 00:17:38.720]   Just shows you you're completely out of touch
