
[00:00:00.000 --> 00:00:04.000]   2 Timothy chapter 2.
[00:03:49.000 --> 00:03:51.000]   Right?
[00:03:51.000 --> 00:04:02.000]   So, I wanted to start off with that because really, I do feel this sense, you know, this is a later point but I want to bring it up right now.
[00:04:02.000 --> 00:04:15.000]   It is common in our Western Christian culture that if you've been a Christian for, what, 10, 15 years, that for some odd reason you, like, lose the passion.
[00:04:15.000 --> 00:04:17.000]   You know?
[00:04:17.000 --> 00:04:31.000]   For some odd reason, rather than growing step by step in greater desire, greater thirst, more hunger, it's just commonplace where it's, no, actually they become tired, weary.
[00:04:31.000 --> 00:04:37.000]   They become, you know, not so active, not so passionate, not so, whatever it may be.
[00:04:37.000 --> 00:04:41.000]   And that's completely opposite to what the Scripture expects.
[00:04:41.000 --> 00:04:47.000]   That's completely opposite to what the Scripture is trying to push, inspire, and motivate us to do.
[00:04:47.000 --> 00:04:48.000]   Right?
[00:04:48.000 --> 00:04:57.000]   And so we really have to, as a generation maybe, as a culture on the Western side, I don't know what it, to put a finger on it, I don't know exactly what it is.
[00:04:57.000 --> 00:04:59.000]   But that is actually a huge problem.
[00:04:59.000 --> 00:05:07.000]   Why is it that Christians, after year after year, rather than progressively growing, you see a diminishing of their passion?
[00:05:07.000 --> 00:05:09.000]   That should not be the case.
[00:05:09.000 --> 00:05:14.000]   So, that's one of the reasons why I want to start off with the motivation.
[00:05:14.000 --> 00:05:19.000]   Today I hope more than just like a theological exercise of, "Oh, this is what sanctification is."
[00:05:19.000 --> 00:05:30.000]   I wanted it to be an element in which, yeah, I never want to see a Christian think, "I am mature now because I've got a couple things settled.
[00:05:30.000 --> 00:05:33.000]   I no longer drink or smoke or cuss.
[00:05:33.000 --> 00:05:36.000]   I come to church faithfully, I'm done."
[00:05:36.000 --> 00:05:39.000]   And they just come, attending every Sunday thinking they're done.
[00:05:39.000 --> 00:05:42.000]   That is not the Christian life.
[00:05:42.000 --> 00:05:43.000]   Right?
[00:05:43.000 --> 00:05:49.000]   And I, you know, because I, again, have seen different cultures and different churches where there's plenty of people.
[00:05:49.000 --> 00:05:54.000]   And the sad part about it is, I see some of my parents' generation where they think like that.
[00:05:54.000 --> 00:05:57.000]   We've got our work settled, we've got our job, you know, situated.
[00:05:57.000 --> 00:05:59.000]   We've got our family situated.
[00:05:59.000 --> 00:06:01.000]   And then now we've got our church life situated.
[00:06:01.000 --> 00:06:05.000]   And I like to live this kind of coasting life.
[00:06:05.000 --> 00:06:11.000]   But that is not the kind of, like, push and desire that the Scripture is communicating to us.
[00:06:11.000 --> 00:06:18.000]   The passages that we just read in 1 Thessalonians and 2 Peter is more on the lines of, "Excel all the more."
[00:06:18.000 --> 00:06:24.000]   You have every single reason to pursue greater holiness, to pursue greater sanctification.
[00:06:24.000 --> 00:06:27.000]   And that's the message that we're hearing today.
[00:06:27.000 --> 00:06:34.000]   But we do have to define what sanctification is because in our day there also has been some confusion.
[00:06:34.000 --> 00:06:36.000]   Okay?
[00:06:36.000 --> 00:06:42.000]   Definitely just thinking about the sanctification-wise, as we're thinking about the process of salvation,
[00:06:42.000 --> 00:06:50.000]   we're coming across a point in what's about the salvation experience where we talked about how God starts everything from election.
[00:06:50.000 --> 00:06:57.000]   We talked about how God is the one who, you know, gives the gospel call, the effectual call.
[00:06:57.000 --> 00:07:01.000]   He's the one who regenerates so that you can receive that call, you know.
[00:07:01.000 --> 00:07:04.000]   And then He's the one who positionally justifies and so forth.
[00:07:04.000 --> 00:07:07.000]   And these are all things that God does on His part.
[00:07:07.000 --> 00:07:14.000]   And then we talked about conversion in which we have then also the role of repenting and turning in faith.
[00:07:14.000 --> 00:07:20.000]   And then we also have the adoption that God again gives us the right to become children of God.
[00:07:20.000 --> 00:07:25.000]   And here you can almost say, "Is the application process of all that?"
[00:07:25.000 --> 00:07:27.000]   Is the application process.
[00:07:27.000 --> 00:07:33.000]   And if we want to have like a more legitimate or I guess concise definition of sanctification,
[00:07:33.000 --> 00:07:36.000]   sanctification is a progressive work of God and man.
[00:07:36.000 --> 00:07:37.000]   Okay?
[00:07:37.000 --> 00:07:43.000]   It's a cooperative work that makes us more and more free from sin and like Christ in our actual living.
[00:07:43.000 --> 00:07:45.000]   Okay?
[00:07:45.000 --> 00:07:52.000]   So the whole idea is if you want to put it in a simple way, the definition of sanctification is just growing in the likeness of Christ.
[00:07:52.000 --> 00:07:53.000]   Okay?
[00:07:53.000 --> 00:07:55.000]   Growing in the likeness of Christ.
[00:07:55.000 --> 00:08:04.000]   However, to give it a little more detail, basically we summarize that this is both the work of God with the cooperative work of man.
[00:08:04.000 --> 00:08:05.000]   Okay?
[00:08:05.000 --> 00:08:13.000]   And it's a progressive enterprise that we are becoming more and more free from sin and that we're growing more and more like Christ.
[00:08:13.000 --> 00:08:14.000]   Okay?
[00:08:14.000 --> 00:08:20.000]   And this idea of being, becoming more and more like Christ is seen on some of these passages that you have listed there.
[00:08:20.000 --> 00:08:21.000]   I'm not going to read all of them.
[00:08:21.000 --> 00:08:22.000]   Just a couple sampling.
[00:08:22.000 --> 00:08:32.000]   Colossians chapter 10 verse 17 says, "But put on the new self who is being renewed to a true knowledge according," notice this,
[00:08:32.000 --> 00:08:34.000]   "to the image of the one who created him."
[00:08:34.000 --> 00:08:35.000]   Okay?
[00:08:35.000 --> 00:08:45.000]   So this idea of sanctification doesn't simply have this idea of like, hey, here are the guidelines from scripture, here are the rules and this is what you do.
[00:08:45.000 --> 00:08:49.000]   It has more of a conformity to the will, conformity to the person of God.
[00:08:49.000 --> 00:08:55.000]   And so if you guys remember in Ephesians chapter 5 verse 1 it says, "Therefore be imitators of God."
[00:08:55.000 --> 00:08:59.000]   That is the goal, that is the trajectory of sanctification.
[00:08:59.000 --> 00:09:00.000]   Okay?
[00:09:00.000 --> 00:09:03.000]   That's how you want to concisely think of sanctification.
[00:09:03.000 --> 00:09:15.000]   1 Peter chapter 1 verse 13 through 17 says, "Therefore prepare your minds for action, keep sober in the spirit, fix your hope completely on the grace to be brought to you at the revelation of Jesus Christ.
[00:09:15.000 --> 00:09:27.000]   As obedient children, do not conform to the former lusts which are yours and ignorance, but like the Holy One who called you, be holy yourselves also in all your behavior.
[00:09:27.000 --> 00:09:30.000]   Because it is written, 'You shall be holy for I am holy.'
[00:09:30.000 --> 00:09:40.000]   If you address as Father the one who impartially judges according to each one's work, conduct yourselves in fear during your time of your stay on earth."
[00:09:40.000 --> 00:09:41.000]   Okay?
[00:09:41.000 --> 00:09:42.000]   What a powerful passage.
[00:09:42.000 --> 00:09:46.000]   But these two passages, Colossians 1 Peter really summarizes sanctification for us.
[00:09:46.000 --> 00:09:51.000]   You are no longer conforming to the patterns of the previous world which were yours in ignorance.
[00:09:51.000 --> 00:09:53.000]   You're just dumb, you didn't know better, you know?
[00:09:53.000 --> 00:09:57.000]   But now, you need to be conforming into the likeness of your Father.
[00:09:57.000 --> 00:10:01.000]   You basically need to follow, if you are a child of God, you need to follow suit.
[00:10:01.000 --> 00:10:03.000]   That's what we talked about last week.
[00:10:03.000 --> 00:10:04.000]   Okay?
[00:10:04.000 --> 00:10:11.000]   Now the reason why I said it is good for us to define these things is because people do get confused about sanctification.
[00:10:11.000 --> 00:10:13.000]   And justification.
[00:10:13.000 --> 00:10:18.000]   People do get confused when they start talking about, okay, so is sanctification like all God?
[00:10:18.000 --> 00:10:21.000]   Is sanctification all us?
[00:10:21.000 --> 00:10:29.000]   And there have been in modern days when someone would say, "Hey man, you need to basically try harder."
[00:10:29.000 --> 00:10:30.000]   You know?
[00:10:30.000 --> 00:10:33.000]   And it's like, "Whoa! That sounds so legalistic.
[00:10:33.000 --> 00:10:36.000]   Whoa, it's only by the grace of God.
[00:10:36.000 --> 00:10:38.000]   Sanctification happens only by the Gospel.
[00:10:38.000 --> 00:10:41.000]   But what does that all mean?
[00:10:41.000 --> 00:10:43.000]   What does that all mean?
[00:10:43.000 --> 00:10:49.000]   So, it's good for us to define that sanctification is both a cooperative work of God and man.
[00:10:49.000 --> 00:10:52.000]   Progressing towards greater likeness to God.
[00:10:52.000 --> 00:10:55.000]   Progressing towards greater likeness to Christ.
[00:10:55.000 --> 00:10:56.000]   Right?
[00:10:56.000 --> 00:10:58.000]   And so this is a progressive thing.
[00:10:58.000 --> 00:10:59.000]   It's not instantaneous.
[00:10:59.000 --> 00:11:03.000]   And so if you look at the chart, there is a difference between justification and sanctification.
[00:11:03.000 --> 00:11:07.000]   That sometimes when people, again, in their common language and the way that they talk,
[00:11:07.000 --> 00:11:12.000]   and the way that they try to describe their salvation and what not, they get a bit confused.
[00:11:12.000 --> 00:11:14.000]   But we want to differentiate the two.
[00:11:14.000 --> 00:11:15.000]   Okay?
[00:11:15.000 --> 00:11:17.000]   Justification, again, is the legal standing.
[00:11:17.000 --> 00:11:20.000]   It's a once for all thing.
[00:11:20.000 --> 00:11:25.000]   And justification is absolutely all God.
[00:11:25.000 --> 00:11:26.000]   There is no cooperative work.
[00:11:26.000 --> 00:11:29.000]   It's just all God's doing.
[00:11:29.000 --> 00:11:35.000]   Whereas, sanctification is the internal condition continuing throughout our entire lives, but
[00:11:35.000 --> 00:11:39.000]   we cooperate with God in this work.
[00:11:39.000 --> 00:11:40.000]   Okay?
[00:11:40.000 --> 00:11:44.000]   Now, a lot of people might have problems in thinking about that.
[00:11:44.000 --> 00:11:48.000]   So, later we're going to discuss what does it mean for us to cooperate.
[00:11:48.000 --> 00:11:50.000]   But, not in justification.
[00:11:50.000 --> 00:11:53.000]   So, if I said, "Hey, in our salvation we cooperate."
[00:11:53.000 --> 00:11:54.000]   People would be like, "Huh?"
[00:11:54.000 --> 00:11:55.000]   You know?
[00:11:55.000 --> 00:11:58.000]   That sounds like you're doing works in grace or what not.
[00:11:58.000 --> 00:12:02.000]   But remember, salvation is inclusive of all of this, of sanctification and what not.
[00:12:02.000 --> 00:12:08.000]   So, the idea that there is an interplay of our work in God's grace is true.
[00:12:08.000 --> 00:12:13.000]   How we reconcile, we're not going to exhaustively reconcile, but we see it working here specifically
[00:12:13.000 --> 00:12:15.000]   through our sanctification.
[00:12:15.000 --> 00:12:16.000]   Okay?
[00:12:16.000 --> 00:12:19.000]   Any questions about that so far?
[00:12:19.000 --> 00:12:20.000]   Alright.
[00:12:20.000 --> 00:12:22.000]   I'm going to press four.
[00:12:22.000 --> 00:12:28.000]   I'm going to do a brief segment on the stages of sanctification as we think about, you know,
[00:12:28.000 --> 00:12:30.000]   again, our growing process.
[00:12:30.000 --> 00:12:36.000]   And these are important for us to learn because it has high impact and application for us.
[00:12:36.000 --> 00:12:37.000]   Okay?
[00:12:37.000 --> 00:12:40.000]   So, let's think about this a little bit.
[00:12:40.000 --> 00:12:42.000]   The stages of sanctification.
[00:12:42.000 --> 00:12:47.000]   Sanctification has a definite beginning and sanctification increases and sanctification
[00:12:47.000 --> 00:12:49.000]   is also perfected.
[00:12:49.000 --> 00:12:50.000]   Okay?
[00:12:50.000 --> 00:12:51.000]   It's perfected.
[00:12:51.000 --> 00:12:53.000]   It begins that regeneration.
[00:12:53.000 --> 00:12:58.000]   There is an initial step in which we can say that you are sanctified as in one time in
[00:12:58.000 --> 00:13:00.000]   a moment you are sanctified.
[00:13:00.000 --> 00:13:03.000]   There is a moment when you break.
[00:13:03.000 --> 00:13:08.000]   There's a moment, again, a turning point when you break from ruling patterns of sin and
[00:13:08.000 --> 00:13:12.000]   you turn over to the love and you turn over to the righteousness of God.
[00:13:12.000 --> 00:13:13.000]   Okay?
[00:13:13.000 --> 00:13:17.000]   You're no longer dominated by sin, rather you're dominated by the righteousness of God.
[00:13:17.000 --> 00:13:22.000]   And so in Romans chapter six, let's go there because it's an important passage that talks
[00:13:22.000 --> 00:13:23.000]   about this.
[00:13:23.000 --> 00:13:25.000]   Romans chapter six.
[00:13:25.000 --> 00:13:26.000]   Okay?
[00:13:26.000 --> 00:13:35.000]   Starting from verse 10, this is what it says.
[00:13:35.000 --> 00:13:42.000]   It says, "For the death that he died, he died to sin once for all, but the life that he
[00:13:42.000 --> 00:13:44.000]   lives, he lives to God.
[00:13:44.000 --> 00:13:50.000]   Even so, consider yourselves to be dead to sin, but alive to God in Christ Jesus.
[00:13:50.000 --> 00:13:56.000]   Therefore, do not let sin reign in your mortal bodies so that you obey its lusts and do not
[00:13:56.000 --> 00:14:00.000]   go on presenting the members of your body to sin as instruments of unrighteousness,
[00:14:00.000 --> 00:14:06.000]   but present yourselves to God as those alive from the dead and your members as instruments
[00:14:06.000 --> 00:14:07.000]   of righteousness to God.
[00:14:07.000 --> 00:14:11.000]   For sin shall not be your master, be a master over you.
[00:14:11.000 --> 00:14:14.000]   For you are not under the law, but under grace.
[00:14:14.000 --> 00:14:19.000]   What then shall we send because we are not under the law, but under grace may never be.
[00:14:19.000 --> 00:14:23.000]   Do you not know that when you present yourselves to someone as slave for obedience, you are
[00:14:23.000 --> 00:14:29.000]   slaves of that one whom you obey, either of sin resulting in death or of obedience resulting
[00:14:29.000 --> 00:14:30.000]   in righteousness.
[00:14:30.000 --> 00:14:34.000]   But thanks be to God that though you were slaves of sin, you became obedient from the
[00:14:34.000 --> 00:14:39.000]   heart to that form of teaching to which you were committed and having been freed from
[00:14:39.000 --> 00:14:45.000]   sin, you became slaves of righteousness and speaking in human terms because I, because
[00:14:45.000 --> 00:14:49.000]   of the weakness of your flesh for just as you're presenting your members as slaves to
[00:14:49.000 --> 00:14:53.000]   impurity and to the lawlessness resulting in full of honest.
[00:14:53.000 --> 00:14:58.000]   So now present your members as slaves to righteousness resulting in sanctification.
[00:14:58.000 --> 00:15:01.000]   For when you were slaves of sin, you were free in regard to righteousness.
[00:15:01.000 --> 00:15:06.000]   Therefore, what benefit were, uh, were you then deriving from the things of which you
[00:15:06.000 --> 00:15:07.000]   are now ashamed?
[00:15:07.000 --> 00:15:16.000]   Okay, so this entire passage is talking about this beginning sanctification in relation
[00:15:16.000 --> 00:15:20.000]   to, and it's using the analogy of slavery.
[00:15:20.000 --> 00:15:25.000]   This beginning portion was a transition and breaking point where you went from a slave
[00:15:25.000 --> 00:15:31.000]   to now free or in other words, slave of sin to a slave of righteousness.
[00:15:31.000 --> 00:15:32.000]   Right?
[00:15:32.000 --> 00:15:37.000]   And so he motivates you and says, so now present your bodies no longer as slaves don't come
[00:15:37.000 --> 00:15:39.000]   in like a slave of sin.
[00:15:39.000 --> 00:15:46.000]   And so when we think about that, this, this kind of breaking point is, is, um, uh, I guess
[00:15:46.000 --> 00:15:51.000]   taught in scripture through various metaphors and various spiritual truths that are realities
[00:15:51.000 --> 00:15:52.000]   for us.
[00:15:52.000 --> 00:15:59.000]   For example, ceremonial case ceremonially we are, we were unholy, but now we are holy.
[00:15:59.000 --> 00:16:01.000]   We were unsacred, right?
[00:16:01.000 --> 00:16:05.000]   We were dirty and stained, but now we were made consecrated and holy.
[00:16:05.000 --> 00:16:07.000]   That's what scripture says.
[00:16:07.000 --> 00:16:08.000]   We were diseased.
[00:16:08.000 --> 00:16:14.000]   We were wretchedly diseased, but now we've been made what whole and healthy.
[00:16:14.000 --> 00:16:16.000]   We were of a wicked father.
[00:16:16.000 --> 00:16:22.000]   We were children of wrath and we learned the last time, but now we have a holy father,
[00:16:22.000 --> 00:16:23.000]   right?
[00:16:23.000 --> 00:16:29.000]   And so all of these passages that we read, quote to the fact that your sanctification
[00:16:29.000 --> 00:16:32.000]   had a very distinct beginning.
[00:16:32.000 --> 00:16:41.000]   Now my way of application, if there are times when, when you come across somebody and you're
[00:16:41.000 --> 00:16:47.000]   talking with them and you're seeing just no fruit of redemption and you're just seeing
[00:16:47.000 --> 00:16:52.000]   no sanctification in your lives, what you're looking for then is a beginning.
[00:16:52.000 --> 00:16:56.000]   If they tell you, I feel bound, I can't help myself.
[00:16:56.000 --> 00:17:02.000]   If they tell you that they have never had this kind of turning point and perspective,
[00:17:02.000 --> 00:17:09.000]   I used to see those sins like so tasty and so desirable, but now I don't.
[00:17:09.000 --> 00:17:14.000]   If they never say that, it's like, you know, I always struggled and I kind of always struggled
[00:17:14.000 --> 00:17:18.000]   and I always was in church and just the story goes on.
[00:17:18.000 --> 00:17:20.000]   It's like, but where was the beginning?
[00:17:20.000 --> 00:17:23.000]   You know, you see what I'm getting at?
[00:17:23.000 --> 00:17:30.000]   For us as believers, let me encourage you that this teaching teaches us that we as believers
[00:17:30.000 --> 00:17:33.000]   should never say, I am bound by sin.
[00:17:33.000 --> 00:17:36.000]   We as believers should never say, I have no power.
[00:17:36.000 --> 00:17:37.000]   I am dominating.
[00:17:37.000 --> 00:17:39.000]   I have no control.
[00:17:39.000 --> 00:17:40.000]   Why?
[00:17:40.000 --> 00:17:41.000]   Because God has placed us.
[00:17:41.000 --> 00:17:43.000]   God has positioned us.
[00:17:43.000 --> 00:17:49.000]   God has initiated and empowered us and thrusted us into sanctification from the beginning.
[00:17:49.000 --> 00:17:51.000]   That's what I'm saying.
[00:17:51.000 --> 00:17:52.000]   Okay?
[00:17:52.000 --> 00:17:57.000]   So this teaches us again about both how we are to evaluate even our own hearts when we
[00:17:57.000 --> 00:18:00.000]   think about the power of sin in our lives.
[00:18:00.000 --> 00:18:05.000]   But as we go on, we always know that sanctification should be steadily increasing.
[00:18:05.000 --> 00:18:06.000]   Okay?
[00:18:06.000 --> 00:18:09.000]   It should be ever increasing through our lives.
[00:18:09.000 --> 00:18:10.000]   Okay?
[00:18:10.000 --> 00:18:14.000]   We have been changed, but we're going to grow in various degrees.
[00:18:14.000 --> 00:18:18.000]   Here's a passage from 2 Corinthians 3, verse 18.
[00:18:18.000 --> 00:18:24.000]   "We all are being changed into His likeness from one degree of glory to another."
[00:18:24.000 --> 00:18:26.000]   Do you see that?
[00:18:26.000 --> 00:18:30.000]   There is this progressive sanctification that occurs.
[00:18:30.000 --> 00:18:32.000]   We have this already, but not yet.
[00:18:32.000 --> 00:18:35.000]   We're called saints, but we're living up to it.
[00:18:35.000 --> 00:18:37.000]   We're growing into the calling that we received.
[00:18:37.000 --> 00:18:43.000]   We're being prepared and we're being, you know, getting ready for the life and eternity
[00:18:43.000 --> 00:18:46.000]   and holiness and purity that God has for us.
[00:18:46.000 --> 00:18:49.000]   So there is a progression that's supposed to occur.
[00:18:49.000 --> 00:18:53.000]   Here's a passage from Philippians 3, verse 13-14.
[00:18:53.000 --> 00:18:59.000]   "Forgetting what lies behind and straining forward to what lies ahead, I press on toward
[00:18:59.000 --> 00:19:04.000]   the goal for the prize of the upward call of God in Christ Jesus."
[00:19:04.000 --> 00:19:05.000]   Right?
[00:19:05.000 --> 00:19:08.000]   And now I want to challenge us with this verse.
[00:19:08.000 --> 00:19:19.000]   If you go in your Bibles to Hebrews 5, verse 11-14.
[00:19:19.000 --> 00:19:25.000]   This is one of those convicting passages where it's not so much encouraging, but it's sobering.
[00:19:25.000 --> 00:19:26.000]   Okay?
[00:19:26.000 --> 00:19:27.000]   It's sobering.
[00:19:27.000 --> 00:19:30.000]   And this is what the Word of God says, starting from verse 11.
[00:19:30.000 --> 00:19:32.000]   "Concerning Him, we have much to say."
[00:19:32.000 --> 00:19:35.000]   That is Jesus Christ Christ, who kills the dead.
[00:19:35.000 --> 00:19:36.000]   Okay?
[00:19:36.000 --> 00:19:39.000]   "It is hard to explain, though, since you have become dull of hearing.
[00:19:39.000 --> 00:19:44.000]   For though by this time you ought to be teachers, you have need again for someone to teach you
[00:19:44.000 --> 00:19:47.000]   the elementary principles of the oracles of God.
[00:19:47.000 --> 00:19:50.000]   And you have come to need milk and not solid food.
[00:19:50.000 --> 00:19:54.000]   For everyone who partakes only of milk is not accustomed to the word of righteousness,
[00:19:54.000 --> 00:19:57.000]   for he is an infant."
[00:19:57.000 --> 00:20:01.000]   Now, I want you guys, if you guys highlight your Bibles right now, this number, verse 14,
[00:20:01.000 --> 00:20:02.000]   is really important.
[00:20:02.000 --> 00:20:08.000]   It says, "But solid food is for the mature, who because of practice have their senses
[00:20:08.000 --> 00:20:12.000]   trained to discern good and evil."
[00:20:12.000 --> 00:20:13.000]   Okay?
[00:20:13.000 --> 00:20:17.000]   How does this passage describe the mature person?
[00:20:17.000 --> 00:20:20.000]   How does this passage describe the mature individual?
[00:20:20.000 --> 00:20:25.000]   He is a person who not just only takes in a bunch of theology, he's not someone who's
[00:20:25.000 --> 00:20:29.000]   just an attender at the church, adding on one sermon to another.
[00:20:29.000 --> 00:20:35.000]   It says, "Through practice, through application, through discerning right and wrong, through
[00:20:35.000 --> 00:20:39.000]   putting it into play and saying, 'Oh gosh, that is so true, and oh my goodness, I see
[00:20:39.000 --> 00:20:44.000]   the wickedness in the world,' and he is putting into play all that he is learning,
[00:20:44.000 --> 00:20:47.000]   he is able to discern even greater things."
[00:20:47.000 --> 00:20:49.000]   He is mature, right?
[00:20:49.000 --> 00:20:54.000]   But notice the sobering statement of this verse.
[00:20:54.000 --> 00:20:57.000]   "By this time you ought to be teachers."
[00:20:57.000 --> 00:20:58.000]   Right?
[00:20:58.000 --> 00:21:01.000]   But you have need of someone to baby you.
[00:21:01.000 --> 00:21:03.000]   And what is that?
[00:21:03.000 --> 00:21:07.000]   See, by application, I want to challenge everyone here.
[00:21:07.000 --> 00:21:10.000]   Okay?
[00:21:10.000 --> 00:21:15.000]   Have you lately increased your vision?
[00:21:15.000 --> 00:21:18.000]   The image you have of yourself.
[00:21:18.000 --> 00:21:22.000]   Perhaps how sold out you can be for Christ.
[00:21:22.000 --> 00:21:26.000]   How much exertion of energy, how much time, how much finances.
[00:21:26.000 --> 00:21:30.000]   Have you increased your vision of who you could be?
[00:21:30.000 --> 00:21:33.000]   By the power of Christ, by the power of the Spirit.
[00:21:33.000 --> 00:21:39.000]   I know I almost sound like one of those self-help guys right now, but this much is true.
[00:21:39.000 --> 00:21:42.000]   We as Christians cannot be stagnant.
[00:21:42.000 --> 00:21:43.000]   Right?
[00:21:43.000 --> 00:21:45.000]   That much is very true.
[00:21:45.000 --> 00:21:50.000]   You as a believer in Christ cannot be stagnant.
[00:21:50.000 --> 00:21:56.000]   You see, as you guys, you know, I've preached a couple of times and I've shared my testimony that
[00:21:56.000 --> 00:22:06.000]   when I was not a Christian, I was a vulgar, pagan, very prideful, very selfish, very worldly man.
[00:22:06.000 --> 00:22:09.000]   Now, I don't share that to boast about my sins.
[00:22:09.000 --> 00:22:12.000]   I share that because there was a flaw in my thinking.
[00:22:12.000 --> 00:22:17.000]   I thought sanctification meant running away from vulgar sins.
[00:22:17.000 --> 00:22:23.000]   So I dropped smoking and drinking and drugs and, you know, dating and whatever, dating non-Christians or whatever.
[00:22:23.000 --> 00:22:26.000]   And I dropped those things.
[00:22:26.000 --> 00:22:30.000]   That is such a minuscule vision of sanctification.
[00:22:30.000 --> 00:22:37.000]   If you right now feel like I'm good because I don't get upset, you feel like I'm good because I don't drink,
[00:22:37.000 --> 00:22:44.000]   I don't party it up, I don't go out and do this stuff, that is such a minuscule view of sanctification.
[00:22:44.000 --> 00:22:46.000]   Right?
[00:22:46.000 --> 00:22:52.000]   We as Christians need to have a great vision that we want to be honoring the Lord, pleasing the Lord in all things,
[00:22:52.000 --> 00:22:56.000]   that we might be giving Him greater thanks, greater glory, and that is your sanctification.
[00:22:56.000 --> 00:22:58.000]   All the more excelling.
[00:22:58.000 --> 00:23:01.000]   Do you love? Great, then love more.
[00:23:01.000 --> 00:23:02.000]   Right?
[00:23:02.000 --> 00:23:08.000]   Are you able to teach? Then great, teach like you're teaching the oracles of God with passion.
[00:23:08.000 --> 00:23:11.000]   Serve. Are you one of serving heart?
[00:23:11.000 --> 00:23:17.000]   Serve with great eagerness, serve with no complaints, serve with no grumbling, but joy.
[00:23:17.000 --> 00:23:23.000]   Scripture is challenging us. Do you have a greater vision of your sanctification in your life?
