
[00:00:00.000 --> 00:00:29.960]   No other love, no other gods before you. Give me an undivided heart, that I may fear your name. Give me an undivided heart.
[00:07:44.120 --> 00:07:46.120]   [silence]
[00:07:46.120 --> 00:07:48.120]   [silence]
[00:07:48.120 --> 00:07:50.120]   [silence]
[00:07:50.120 --> 00:07:52.120]   [silence]
[00:07:52.120 --> 00:07:54.120]   [silence]
[00:07:54.120 --> 00:07:56.120]   [silence]
[00:07:56.120 --> 00:07:58.120]   [silence]
[00:07:58.120 --> 00:08:00.120]   [silence]
[00:08:00.120 --> 00:08:02.120]   [silence]
[00:08:02.120 --> 00:08:04.120]   [silence]
[00:08:04.120 --> 00:08:06.120]   [silence]
[00:08:06.120 --> 00:08:08.120]   [silence]
[00:08:08.120 --> 00:08:10.120]   [silence]
[00:08:10.120 --> 00:08:12.120]   [silence]
[00:08:12.120 --> 00:08:14.120]   [silence]
[00:08:14.120 --> 00:08:16.120]   [silence]
[00:08:16.120 --> 00:08:18.120]   [silence]
[00:08:18.120 --> 00:08:20.120]   [silence]
[00:08:20.120 --> 00:08:22.120]   [silence]
[00:08:22.120 --> 00:08:24.120]   [silence]
[00:08:24.120 --> 00:08:26.120]   [silence]
[00:08:26.120 --> 00:08:28.120]   [silence]
[00:08:28.120 --> 00:08:30.120]   [silence]
[00:08:30.120 --> 00:08:32.120]   [silence]
[00:08:32.120 --> 00:08:34.120]   [silence]
[00:08:34.120 --> 00:08:36.120]   [silence]
[00:08:36.120 --> 00:08:38.120]   [silence]
[00:08:38.120 --> 00:08:40.120]   [silence]
[00:08:40.120 --> 00:08:42.120]   [silence]
[00:08:42.120 --> 00:08:44.120]   [silence]
[00:08:44.120 --> 00:08:46.120]   [silence]
[00:08:46.120 --> 00:08:48.120]   [silence]
[00:08:48.120 --> 00:08:50.120]   [silence]
[00:08:50.120 --> 00:08:52.120]   [silence]
[00:08:52.120 --> 00:08:54.120]   [silence]
[00:08:54.120 --> 00:08:56.120]   [silence]
[00:08:56.120 --> 00:08:58.120]   [silence]
[00:08:58.120 --> 00:09:00.120]   [silence]
[00:09:00.120 --> 00:09:02.120]   [silence]
[00:09:02.120 --> 00:09:04.120]   [silence]
[00:09:04.120 --> 00:09:06.120]   [silence]
[00:09:06.120 --> 00:09:08.120]   [silence]
[00:09:08.120 --> 00:09:10.120]   [silence]
[00:09:10.120 --> 00:09:12.120]   [silence]
[00:09:12.120 --> 00:09:14.120]   [silence]
[00:09:14.120 --> 00:09:16.120]   [silence]
[00:09:16.120 --> 00:09:18.120]   [silence]
[00:09:18.120 --> 00:09:20.120]   [silence]
[00:09:20.120 --> 00:09:22.120]   [silence]
[00:09:22.120 --> 00:09:24.120]   [silence]
[00:09:24.120 --> 00:09:26.120]   [silence]
[00:09:26.120 --> 00:09:28.120]   [silence]
[00:09:28.120 --> 00:09:30.120]   [silence]
[00:09:30.120 --> 00:09:32.120]   [silence]
[00:09:32.120 --> 00:09:34.120]   [silence]
[00:09:34.120 --> 00:09:36.120]   [silence]
[00:09:36.120 --> 00:09:38.120]   [silence]
[00:09:38.120 --> 00:09:40.120]   [silence]
[00:09:40.120 --> 00:09:42.120]   [silence]
[00:09:42.120 --> 00:09:44.120]   [silence]
[00:09:44.120 --> 00:09:46.120]   [silence]
[00:09:46.120 --> 00:09:48.120]   [silence]
[00:09:48.120 --> 00:09:50.120]   [silence]
[00:09:50.120 --> 00:09:52.120]   [silence]
[00:09:52.120 --> 00:09:54.120]   [silence]
[00:09:54.120 --> 00:09:56.120]   [silence]
[00:09:56.120 --> 00:09:58.120]   [silence]
[00:09:58.120 --> 00:10:00.120]   [silence]
[00:10:00.120 --> 00:10:02.120]   [silence]
[00:10:02.120 --> 00:10:04.120]   [silence]
[00:10:04.120 --> 00:10:06.120]   [silence]
[00:10:06.120 --> 00:10:08.120]   [silence]
[00:10:08.120 --> 00:10:10.120]   [silence]
[00:10:10.120 --> 00:10:12.120]   [silence]
[00:10:12.120 --> 00:10:14.120]   [silence]
[00:10:14.120 --> 00:10:16.120]   [silence]
[00:10:16.120 --> 00:10:18.120]   [silence]
[00:10:18.120 --> 00:10:20.120]   [silence]
[00:10:20.120 --> 00:10:22.120]   [silence]
[00:10:22.120 --> 00:10:24.120]   [silence]
[00:10:24.120 --> 00:10:26.120]   [silence]
[00:10:26.120 --> 00:10:28.120]   [silence]
[00:10:28.120 --> 00:10:30.120]   [silence]
[00:10:30.120 --> 00:10:32.120]   [silence]
[00:10:32.120 --> 00:10:34.120]   [silence]
[00:10:34.120 --> 00:10:36.120]   [silence]
[00:10:36.120 --> 00:10:38.120]   [silence]
[00:10:38.120 --> 00:10:40.120]   [silence]
[00:10:40.120 --> 00:10:42.120]   [silence]
[00:10:42.120 --> 00:10:44.120]   [silence]
[00:10:44.120 --> 00:10:46.120]   [silence]
[00:10:46.120 --> 00:10:48.120]   [silence]
[00:10:48.120 --> 00:10:50.120]   [silence]
[00:10:50.120 --> 00:10:52.120]   [silence]
[00:10:52.120 --> 00:10:54.120]   [silence]
[00:10:54.120 --> 00:10:56.120]   [silence]
[00:10:56.120 --> 00:10:58.120]   [silence]
[00:10:58.120 --> 00:11:00.120]   [silence]
[00:11:00.120 --> 00:11:02.120]   [silence]
[00:11:02.120 --> 00:11:04.120]   [silence]
[00:11:04.120 --> 00:11:06.120]   [silence]
[00:11:06.120 --> 00:11:08.120]   [silence]
[00:11:08.120 --> 00:11:10.120]   [silence]
[00:11:10.120 --> 00:11:12.120]   [silence]
[00:11:12.120 --> 00:11:14.120]   [silence]
[00:11:14.120 --> 00:11:16.120]   [silence]
[00:11:16.120 --> 00:11:18.120]   [silence]
[00:11:18.120 --> 00:11:20.120]   [silence]
[00:11:20.120 --> 00:11:22.120]   [silence]
[00:11:22.120 --> 00:11:24.120]   [silence]
[00:11:24.120 --> 00:11:26.120]   [silence]
[00:11:26.120 --> 00:11:28.120]   [silence]
[00:11:28.120 --> 00:11:30.120]   [silence]
[00:11:30.120 --> 00:11:32.120]   [silence]
[00:11:32.120 --> 00:11:34.120]   [silence]
[00:11:34.120 --> 00:11:36.120]   [silence]
[00:11:36.120 --> 00:11:38.120]   [silence]
[00:11:38.120 --> 00:11:40.120]   [silence]
[00:11:40.120 --> 00:11:42.120]   [silence]
[00:11:42.120 --> 00:11:44.120]   [silence]
[00:11:44.120 --> 00:11:46.120]   [silence]
[00:11:46.120 --> 00:11:48.120]   [silence]
[00:11:48.120 --> 00:11:50.120]   [silence]
[00:11:50.120 --> 00:11:52.120]   [silence]
[00:11:52.120 --> 00:11:54.120]   [silence]
[00:11:54.120 --> 00:11:56.120]   [silence]
[00:11:56.120 --> 00:11:58.120]   [silence]
[00:11:58.120 --> 00:12:00.120]   [silence]
[00:12:00.120 --> 00:12:02.120]   [silence]
[00:12:02.120 --> 00:12:04.120]   [silence]
[00:12:04.120 --> 00:12:06.120]   [silence]
[00:12:06.120 --> 00:12:08.120]   [silence]
[00:12:08.120 --> 00:12:10.120]   [silence]
[00:12:10.120 --> 00:12:12.120]   [silence]
[00:12:12.120 --> 00:12:14.120]   [silence]
[00:12:14.120 --> 00:12:16.120]   [silence]
[00:12:16.120 --> 00:12:18.120]   [silence]
[00:12:18.120 --> 00:12:20.120]   [silence]
[00:12:20.120 --> 00:12:22.120]   [silence]
[00:12:22.120 --> 00:12:24.120]   [silence]
[00:12:24.120 --> 00:12:26.120]   [silence]
[00:12:26.120 --> 00:12:28.120]   [silence]
[00:12:28.120 --> 00:12:30.120]   [silence]
[00:12:30.120 --> 00:12:32.120]   [silence]
[00:12:32.120 --> 00:12:34.120]   [silence]
[00:12:34.120 --> 00:12:36.120]   [silence]
[00:12:36.120 --> 00:12:38.120]   [silence]
[00:12:38.120 --> 00:12:40.120]   [silence]
[00:12:40.120 --> 00:12:42.120]   [silence]
[00:12:42.120 --> 00:12:44.120]   [silence]
[00:12:44.120 --> 00:12:46.120]   [silence]
[00:12:46.120 --> 00:12:48.120]   [silence]
[00:12:48.120 --> 00:12:50.120]   [silence]
[00:12:50.120 --> 00:12:52.120]   [silence]
[00:12:52.120 --> 00:12:54.120]   [silence]
[00:12:54.120 --> 00:12:56.120]   [silence]
[00:12:56.120 --> 00:12:58.120]   [silence]
[00:12:58.120 --> 00:13:00.120]   [silence]
[00:13:00.120 --> 00:13:02.120]   [silence]
[00:13:02.120 --> 00:13:04.120]   [silence]
[00:13:04.120 --> 00:13:06.120]   [silence]
[00:13:06.120 --> 00:13:08.120]   [silence]
[00:13:08.120 --> 00:13:10.120]   [silence]
[00:13:10.120 --> 00:13:12.120]   [silence]
[00:13:12.120 --> 00:13:14.120]   [silence]
[00:13:14.120 --> 00:13:16.120]   [silence]
[00:13:16.120 --> 00:13:18.120]   [silence]
[00:13:18.120 --> 00:13:20.120]   [silence]
[00:13:20.120 --> 00:13:22.120]   [silence]
[00:13:22.120 --> 00:13:24.120]   [silence]
[00:13:24.120 --> 00:13:26.120]   [silence]
[00:13:26.120 --> 00:13:28.120]   [silence]
[00:13:28.120 --> 00:13:30.120]   [silence]
[00:13:30.120 --> 00:13:32.120]   [silence]
[00:13:32.120 --> 00:13:34.120]   [silence]
[00:13:34.120 --> 00:13:36.120]   [silence]
[00:13:36.120 --> 00:13:38.120]   [silence]
[00:13:38.120 --> 00:13:40.120]   [silence]
[00:13:40.120 --> 00:13:42.120]   [silence]
[00:13:42.120 --> 00:13:44.120]   [silence]
[00:13:44.120 --> 00:13:46.120]   [silence]
[00:13:46.120 --> 00:13:48.120]   [silence]
[00:13:48.120 --> 00:13:50.120]   [silence]
[00:13:50.120 --> 00:13:52.120]   [silence]
[00:13:52.120 --> 00:13:54.120]   [silence]
[00:13:54.120 --> 00:13:56.120]   [silence]
[00:13:56.120 --> 00:13:58.120]   [silence]
[00:13:58.120 --> 00:14:00.120]   [silence]
[00:14:00.120 --> 00:14:02.120]   [silence]
[00:14:02.120 --> 00:14:04.120]   [silence]
[00:14:04.120 --> 00:14:06.120]   [silence]
[00:14:06.120 --> 00:14:08.120]   [silence]
[00:14:08.120 --> 00:14:10.120]   [silence]
[00:14:10.120 --> 00:14:12.120]   [silence]
[00:14:12.120 --> 00:14:14.120]   [silence]
[00:14:14.120 --> 00:14:16.120]   [silence]
[00:14:16.120 --> 00:14:18.120]   [silence]
[00:14:18.120 --> 00:14:20.120]   [silence]
[00:14:20.120 --> 00:14:22.120]   [silence]
[00:14:22.120 --> 00:14:24.120]   [silence]
[00:14:24.120 --> 00:14:26.120]   [silence]
[00:14:26.120 --> 00:14:28.120]   [silence]
[00:14:28.120 --> 00:14:30.120]   [silence]
[00:14:30.120 --> 00:14:32.120]   [silence]
[00:14:32.120 --> 00:14:34.120]   [silence]
[00:14:34.120 --> 00:14:36.120]   [silence]
[00:14:36.120 --> 00:14:38.120]   [silence]
[00:14:38.120 --> 00:14:40.120]   [silence]
[00:14:40.120 --> 00:14:42.120]   [silence]
[00:14:42.120 --> 00:14:44.120]   [silence]
[00:14:44.120 --> 00:14:46.120]   [silence]
[00:14:46.120 --> 00:14:48.120]   [silence]
[00:14:48.120 --> 00:14:50.120]   [silence]
[00:14:50.120 --> 00:14:52.120]   [silence]
[00:14:52.120 --> 00:14:54.120]   [silence]
[00:14:54.120 --> 00:14:56.120]   [silence]
[00:14:56.120 --> 00:14:58.120]   [silence]
[00:14:58.120 --> 00:15:00.120]   [silence]
[00:15:00.120 --> 00:15:02.120]   [silence]
[00:15:02.120 --> 00:15:04.120]   [silence]
[00:15:04.120 --> 00:15:06.120]   [silence]
[00:15:06.120 --> 00:15:08.120]   [silence]
[00:15:08.120 --> 00:15:10.120]   [silence]
[00:15:10.120 --> 00:15:12.120]   [silence]
[00:15:12.120 --> 00:15:14.120]   [silence]
[00:15:14.120 --> 00:15:16.120]   [silence]
[00:15:16.120 --> 00:15:18.120]   [silence]
[00:15:18.120 --> 00:15:20.120]   [silence]
[00:15:20.120 --> 00:15:22.120]   [silence]
[00:15:22.120 --> 00:15:24.120]   [silence]
[00:15:24.120 --> 00:15:26.120]   [silence]
[00:15:26.120 --> 00:15:28.120]   [silence]
[00:15:28.120 --> 00:15:30.120]   [silence]
[00:15:30.120 --> 00:15:32.120]   [silence]
[00:15:32.120 --> 00:15:34.120]   [silence]
[00:15:34.120 --> 00:15:36.120]   [silence]
[00:15:36.120 --> 00:15:38.120]   [silence]
[00:15:38.120 --> 00:15:40.120]   [silence]
[00:15:40.120 --> 00:15:42.120]   [silence]
[00:15:42.120 --> 00:15:44.120]   [silence]
[00:15:44.120 --> 00:15:46.120]   [silence]
[00:15:46.120 --> 00:15:48.120]   [silence]
[00:15:48.120 --> 00:15:50.120]   [silence]
[00:15:50.120 --> 00:15:52.120]   [silence]
[00:15:52.120 --> 00:15:54.120]   [silence]
[00:15:54.120 --> 00:15:56.120]   [silence]
[00:15:56.120 --> 00:15:58.120]   [silence]
[00:15:58.120 --> 00:16:00.120]   [silence]
[00:16:00.120 --> 00:16:02.120]   [silence]
[00:16:02.120 --> 00:16:04.120]   [silence]
[00:16:04.120 --> 00:16:06.120]   [silence]
[00:16:06.120 --> 00:16:08.120]   [silence]
[00:16:08.120 --> 00:16:10.120]   [silence]
[00:16:10.120 --> 00:16:12.120]   [silence]
[00:16:12.120 --> 00:16:14.120]   [silence]
[00:16:14.120 --> 00:16:16.120]   [silence]
[00:16:16.120 --> 00:16:18.120]   [silence]
[00:16:18.120 --> 00:16:20.120]   [silence]
[00:16:20.120 --> 00:16:22.120]   [silence]
[00:16:22.120 --> 00:16:24.120]   [silence]
[00:16:24.120 --> 00:16:26.120]   [silence]
[00:16:26.120 --> 00:16:28.120]   [silence]
[00:16:28.120 --> 00:16:30.120]   [silence]
[00:16:30.120 --> 00:16:32.120]   [silence]
[00:16:32.120 --> 00:16:34.120]   [silence]
[00:16:34.120 --> 00:16:36.120]   [silence]
[00:16:36.120 --> 00:16:38.120]   [silence]
[00:16:38.120 --> 00:16:40.120]   [silence]
[00:16:40.120 --> 00:16:42.120]   [silence]
[00:16:42.120 --> 00:16:44.120]   [silence]
[00:16:44.120 --> 00:16:46.120]   [silence]
[00:16:46.120 --> 00:16:48.120]   [silence]
[00:16:48.120 --> 00:16:50.120]   [silence]
[00:16:50.120 --> 00:16:52.120]   [silence]
[00:16:52.120 --> 00:16:54.120]   [silence]
[00:16:54.120 --> 00:16:56.120]   [silence]
[00:16:56.120 --> 00:16:58.120]   [silence]
[00:16:58.120 --> 00:17:00.120]   [silence]
[00:17:00.120 --> 00:17:02.120]   [silence]
[00:17:02.120 --> 00:17:04.120]   [silence]
[00:17:04.120 --> 00:17:06.120]   [silence]
[00:17:06.120 --> 00:17:08.120]   [silence]
[00:17:08.120 --> 00:17:10.120]   [silence]
[00:17:10.120 --> 00:17:12.120]   [silence]
[00:17:12.120 --> 00:17:14.120]   [silence]
[00:17:14.120 --> 00:17:16.120]   [silence]
[00:17:16.120 --> 00:17:18.120]   [silence]
[00:17:18.120 --> 00:17:20.120]   [silence]
[00:17:20.120 --> 00:17:22.120]   [silence]
[00:17:22.120 --> 00:17:24.120]   [silence]
[00:17:24.120 --> 00:17:26.120]   [silence]
[00:17:26.120 --> 00:17:28.120]   [silence]
[00:17:28.120 --> 00:17:30.120]   [silence]
[00:17:30.120 --> 00:17:32.120]   [silence]
[00:17:32.120 --> 00:17:34.120]   [silence]
[00:17:34.120 --> 00:17:36.120]   [silence]
[00:17:36.120 --> 00:17:38.120]   [silence]
[00:17:38.120 --> 00:17:40.120]   [silence]
[00:17:40.120 --> 00:17:42.120]   [silence]
[00:17:42.120 --> 00:17:44.120]   [silence]
[00:17:44.120 --> 00:17:46.120]   [silence]
[00:17:46.120 --> 00:17:48.120]   [silence]
[00:17:48.120 --> 00:17:50.120]   [silence]
[00:17:50.120 --> 00:17:52.120]   [silence]
[00:17:52.120 --> 00:17:54.120]   [silence]
[00:17:54.120 --> 00:17:56.120]   [silence]
[00:17:56.120 --> 00:17:58.120]   [silence]
[00:17:58.120 --> 00:18:00.120]   [silence]
[00:18:00.120 --> 00:18:02.120]   [silence]
[00:18:02.120 --> 00:18:04.120]   [silence]
[00:18:04.120 --> 00:18:06.120]   [silence]
[00:18:06.120 --> 00:18:08.120]   [silence]
[00:18:08.120 --> 00:18:10.120]   [silence]
[00:18:10.120 --> 00:18:12.120]   [silence]
[00:18:12.120 --> 00:18:14.120]   [silence]
[00:18:14.120 --> 00:18:16.120]   [silence]
[00:18:16.120 --> 00:18:18.120]   [silence]
[00:18:18.120 --> 00:18:20.120]   [silence]
[00:18:20.120 --> 00:18:22.120]   [silence]
[00:18:22.120 --> 00:18:24.120]   [silence]
[00:18:24.120 --> 00:18:26.120]   [silence]
[00:18:26.120 --> 00:18:28.120]   [silence]
[00:18:28.120 --> 00:18:30.120]   [silence]
[00:18:30.120 --> 00:18:32.120]   [silence]
[00:18:32.120 --> 00:18:34.120]   [silence]
[00:18:34.120 --> 00:18:36.120]   [silence]
[00:18:36.120 --> 00:18:38.120]   [silence]
[00:18:38.120 --> 00:18:40.120]   [silence]
[00:18:40.120 --> 00:18:42.120]   [silence]
[00:18:42.120 --> 00:18:44.120]   [silence]
[00:18:44.120 --> 00:18:46.120]   [silence]
[00:18:46.120 --> 00:18:48.120]   [silence]
[00:18:48.120 --> 00:18:50.120]   [silence]
[00:18:50.120 --> 00:18:52.120]   [silence]
[00:18:52.120 --> 00:18:54.120]   [silence]
[00:18:54.120 --> 00:18:56.120]   [silence]
[00:18:56.120 --> 00:18:58.120]   [silence]
[00:18:58.120 --> 00:19:00.120]   [silence]
[00:19:00.120 --> 00:19:02.120]   [silence]
[00:19:02.120 --> 00:19:04.120]   [silence]
[00:19:04.120 --> 00:19:06.120]   [silence]
[00:19:06.120 --> 00:19:08.120]   [silence]
[00:19:08.120 --> 00:19:10.120]   [silence]
[00:19:10.120 --> 00:19:12.120]   [silence]
[00:19:12.120 --> 00:19:14.120]   [silence]
[00:19:14.120 --> 00:19:16.120]   [silence]
[00:19:16.120 --> 00:19:18.120]   [silence]
[00:19:18.120 --> 00:19:20.120]   [silence]
[00:19:20.120 --> 00:19:22.120]   [silence]
[00:19:22.120 --> 00:19:24.120]   [silence]
[00:19:24.120 --> 00:19:26.120]   [silence]
[00:19:26.120 --> 00:19:28.120]   [silence]
[00:19:28.120 --> 00:19:30.120]   [silence]
[00:19:30.120 --> 00:19:32.120]   [silence]
[00:19:32.120 --> 00:19:34.120]   [silence]
[00:19:34.120 --> 00:19:36.120]   [silence]
[00:19:36.120 --> 00:19:38.120]   [silence]
