
[00:00:00.000 --> 00:00:07.000]   [ Applause ]
[00:04:55.000 --> 00:05:00.000]   Clinton and Donald Trump, but a fracturing of America happened,
[00:05:00.000 --> 00:05:04.000]   and we saw that, and it continues.
[00:05:04.000 --> 00:05:08.000]   We saw a great divide within an entire nation and with people.
[00:05:08.000 --> 00:05:13.000]   This is disunity, and we know that there's disunity everywhere.
[00:05:13.000 --> 00:05:15.000]   You see it amongst nations.
[00:05:15.000 --> 00:05:18.000]   Even today there's technically still a war going on in North Korea and South
[00:05:18.000 --> 00:05:21.000]   Korea.
[00:05:21.000 --> 00:05:25.000]   Since 1953 when the war ended, only seven times have there been an
[00:05:25.000 --> 00:05:29.000]   opportunity for family members from North and South to be able to see each
[00:05:29.000 --> 00:05:33.000]   other, and you can see the tangible effects of disunity and what might
[00:05:33.000 --> 00:05:35.000]   happen.
[00:05:35.000 --> 00:05:36.000]   And there are other wars going on today.
[00:05:36.000 --> 00:05:38.000]   There's the war in Afghanistan.
[00:05:38.000 --> 00:05:40.000]   There's a civil war in Iraq.
[00:05:40.000 --> 00:05:43.000]   There's the Boko Haram insurgency, a Syrian civil war.
[00:05:43.000 --> 00:05:46.000]   There's the Kurdish-Turkish conflict.
[00:05:46.000 --> 00:05:49.000]   There's the Libyan crisis, and there's a lot of stuff going on, and we can
[00:05:49.000 --> 00:05:55.000]   see that there is disunity, conflict everywhere.
[00:05:55.000 --> 00:05:58.000]   You see it amongst people and governments.
[00:05:58.000 --> 00:06:02.000]   You see it on college campuses.
[00:06:02.000 --> 00:06:06.000]   Recently there was the whole Black Lives Matter movement that brought
[00:06:06.000 --> 00:06:10.000]   about division, institutionalized law enforcement and a black community, a
[00:06:10.000 --> 00:06:14.000]   conflict that has drawn in all races.
[00:06:14.000 --> 00:06:17.000]   There's disunity everywhere.
[00:06:17.000 --> 00:06:21.000]   We hear of mass shootings, stabbings, explosions, even right here in
[00:06:21.000 --> 00:06:24.000]   America.
[00:06:24.000 --> 00:06:26.000]   There's disunity in our schools.
[00:06:26.000 --> 00:06:28.000]   We see fights break out.
[00:06:28.000 --> 00:06:31.000]   We see people clawing through each other to get to the top.
[00:06:31.000 --> 00:06:38.000]   We see people gossiping and slandering and hating and killing in that way.
[00:06:38.000 --> 00:06:43.000]   We see it in our workplaces, between employer and employee, between
[00:06:43.000 --> 00:06:46.000]   employees and employees.
[00:06:46.000 --> 00:06:49.000]   We see disunity everywhere, even in our families.
[00:06:49.000 --> 00:06:55.000]   Doors slammed and faces yelling and crying, misunderstandings, silent
[00:06:55.000 --> 00:06:59.000]   treatments, divorces, tense holiday gatherings.
[00:06:59.000 --> 00:07:03.000]   This is actually why this has been on my mind, because the holidays just
[00:07:03.000 --> 00:07:06.000]   passed, but there's nothing like a holiday to show the disunity between a
[00:07:06.000 --> 00:07:09.000]   family, right?
[00:07:09.000 --> 00:07:12.000]   People playing favorites, saying mean things to one another, things that
[00:07:12.000 --> 00:07:14.000]   are hurtful.
[00:07:14.000 --> 00:07:17.000]   A disunity that might also fly under the radar.
[00:07:17.000 --> 00:07:19.000]   They're not always apparent, but it's always present.
[00:07:19.000 --> 00:07:24.000]   You go into any room with any group of people, and you're going to see
[00:07:24.000 --> 00:07:32.000]   immediate disunity, division, scoping eyes, observation, constantly looking
[00:07:32.000 --> 00:07:35.000]   and bringing about division.
[00:07:35.000 --> 00:07:40.000]   And so it is that you'll also find disunity within the church.
[00:07:40.000 --> 00:07:44.000]   Now, there's something about disunity that feels wrong, and there's
[00:07:44.000 --> 00:07:49.000]   something about unity that just feels right.
[00:07:49.000 --> 00:07:52.000]   So where did all this disunity come from?
[00:07:52.000 --> 00:07:55.000]   Why do we partake in this kind of thing?
[00:07:55.000 --> 00:07:59.000]   Well, it came from the very beginning when sin entered into the world, when
[00:07:59.000 --> 00:08:02.000]   Adam and Eve made the decision to eat of the fruit of the knowledge -- tree
[00:08:02.000 --> 00:08:04.000]   of the knowledge of good and evil.
[00:08:04.000 --> 00:08:07.000]   And immediately, as soon as they did that, there came a division between
[00:08:07.000 --> 00:08:10.000]   God and humanity.
[00:08:10.000 --> 00:08:13.000]   And because of that, there became a division between man and woman, or
[00:08:13.000 --> 00:08:15.000]   Adam and Eve.
[00:08:15.000 --> 00:08:19.000]   And that division, it wasn't just a slow, you know, gradual division type
[00:08:19.000 --> 00:08:21.000]   of thing.
[00:08:21.000 --> 00:08:25.000]   It ramped up really fast, to the point where by the first set of kids,
[00:08:25.000 --> 00:08:29.000]   they're killing each other in Cain and Abel.
[00:08:29.000 --> 00:08:32.000]   This conflict, then, isn't rooted in disagreement.
[00:08:32.000 --> 00:08:37.000]   This unity isn't rooted in differing ideas.
[00:08:37.000 --> 00:08:43.000]   This unity is actually rooted in this idea of sin.
[00:08:43.000 --> 00:08:47.000]   The problem always has been and always will be sin.
[00:08:47.000 --> 00:08:50.000]   That is what's going to bring about conflict.
[00:08:50.000 --> 00:08:55.000]   Two people, two sides proclaiming that they are right in a given situation,
[00:08:55.000 --> 00:08:59.000]   essentially proclaiming that my glory is of the utmost importance in this
[00:08:59.000 --> 00:09:05.000]   situation when I'm arguing with you, fighting, clawing, killing to get it,
[00:09:05.000 --> 00:09:11.000]   building, towering relational walls between one another.
[00:09:11.000 --> 00:09:13.000]   Now, unity is what we're meant for.
[00:09:13.000 --> 00:09:15.000]   It feels right.
[00:09:15.000 --> 00:09:20.000]   This unity feels wrong because it is not how God made things to be.
[00:09:20.000 --> 00:09:24.000]   Now, in this passage we read from in chapter 2, verse 11 through 18,
[00:09:24.000 --> 00:09:28.000]   we see that the division, that this division and conflict and fighting that
[00:09:28.000 --> 00:09:33.000]   we're talking about must not be found in the household of God.
[00:09:33.000 --> 00:09:38.000]   It must not be found in the church.
[00:09:38.000 --> 00:09:45.000]   And it must not be found not just in the church, but in the believer.
[00:09:45.000 --> 00:09:49.000]   Christians are to look radically different.
[00:09:49.000 --> 00:09:53.000]   A Christian dealing with disunity should show a depth of theology and
[00:09:53.000 --> 00:09:57.000]   doctrine that changes the way we live and preaches the gospel by how we
[00:09:57.000 --> 00:10:01.000]   respond to division and clashing and disunity.
[00:10:01.000 --> 00:10:06.000]   Christians are stable and rock steady in a world filled with strife.
[00:10:06.000 --> 00:10:11.000]   And the answer all goes back to our understanding of the Bible,
[00:10:11.000 --> 00:10:13.000]   our understanding of the gospel.
[00:10:13.000 --> 00:10:17.000]   And that's what we see in Ephesians chapter 2, verse 11 through 22,
[00:10:17.000 --> 00:10:21.000]   which actually kind of mimics Ephesians chapter 2, verse 1 through 10.
[00:10:21.000 --> 00:10:24.000]   Now, a lot of us know Ephesians chapter 2, verse 1 through 10,
[00:10:24.000 --> 00:10:27.000]   and we understand, you know, for by grace we have been saved through faith,
[00:10:27.000 --> 00:10:28.000]   where we're coming from.
[00:10:28.000 --> 00:10:32.000]   This passage in verse 11 through 18, it has a little bit of that.
[00:10:32.000 --> 00:10:38.000]   Like, remember who you once were and remember the grace of God in your life.
[00:10:38.000 --> 00:10:40.000]   So we're going to be going through just a few main points.
[00:10:40.000 --> 00:10:42.000]   The first is this.
[00:10:42.000 --> 00:10:48.000]   The first point is that we were far from God.
[00:10:48.000 --> 00:10:51.000]   If you could look down with me at verse 11, Ephesians chapter 2, verse 11,
[00:10:51.000 --> 00:10:56.000]   it says, "Therefore, remember that at one time you Gentiles in the flesh,
[00:10:56.000 --> 00:10:59.000]   called the uncircumcision by what is called the circumcision,
[00:10:59.000 --> 00:11:03.000]   which is made in the flesh by hands, remember that you were at that time
[00:11:03.000 --> 00:11:07.000]   separated from Christ, alienated from the commonwealth of Israel
[00:11:07.000 --> 00:11:10.000]   and strangers to the covenants of promise, having no hope and without God
[00:11:10.000 --> 00:11:13.000]   in the world."
[00:11:13.000 --> 00:11:15.000]   Now, he singles out a group of people here called the Gentiles,
[00:11:15.000 --> 00:11:17.000]   and this is Paul writing this letter.
[00:11:17.000 --> 00:11:20.000]   And because this is in Ephesus, which is a port city,
[00:11:20.000 --> 00:11:25.000]   there are a lot of different cultures that kind of mingle
[00:11:25.000 --> 00:11:28.000]   and migrate into this area.
[00:11:28.000 --> 00:11:31.000]   And so you're going to find a lot of Gentiles.
[00:11:31.000 --> 00:11:35.000]   And with the Greek influence here, there is a God that's being worshipped here
[00:11:35.000 --> 00:11:37.000]   called Artemis.
[00:11:37.000 --> 00:11:42.000]   And in this city, there is a great fascination with magic and the occult.
[00:11:42.000 --> 00:11:45.000]   This was a city that is far from God.
[00:11:45.000 --> 00:11:53.000]   This is a city full of as pagan as you could get.
[00:11:53.000 --> 00:11:57.000]   But because of the diaspora of the Jews, there were both Jews and Gentiles
[00:11:57.000 --> 00:12:01.000]   in the church.
[00:12:01.000 --> 00:12:04.000]   But even though both the Jew and the Gentile might be a believer in the church,
[00:12:04.000 --> 00:12:10.000]   there was perpetual infighting within the church in matters of superiority
[00:12:10.000 --> 00:12:16.000]   and hierarchy still being a very relevant issue to them.
[00:12:16.000 --> 00:12:19.000]   These Gentiles, which Paul is directly addressing them,
[00:12:19.000 --> 00:12:22.000]   he reminds them of something.
[00:12:22.000 --> 00:12:27.000]   He reminds specifically this group, the Gentiles, that you were in the flesh.
[00:12:27.000 --> 00:12:29.000]   And he says, "Remember," and he doesn't say it just once.
[00:12:29.000 --> 00:12:32.000]   He says it twice.
[00:12:32.000 --> 00:12:34.000]   "Don't forget.
[00:12:34.000 --> 00:12:36.000]   Don't forget where you used to be.
[00:12:36.000 --> 00:12:38.000]   Don't forget who you used to be.
[00:12:38.000 --> 00:12:42.000]   Don't forget the darkness you lived in and how scary and terrifying of a place that was.
[00:12:42.000 --> 00:12:45.000]   Don't forget the fact that you were destined for hell.
[00:12:45.000 --> 00:12:49.000]   Don't forget how you were so hopeless in your life.
[00:12:49.000 --> 00:12:55.000]   Don't forget where you came from."
[00:12:55.000 --> 00:12:58.000]   He's saying, "Don't forget that you have a new hope."
[00:12:58.000 --> 00:13:02.000]   And at this point, all the Jews are kind of nodding their heads
[00:13:02.000 --> 00:13:04.000]   because Paul is addressing who?
[00:13:04.000 --> 00:13:06.000]   The Gentiles.
[00:13:06.000 --> 00:13:08.000]   Paul is addressing the Gentiles and saying,
[00:13:08.000 --> 00:13:13.000]   "Remember all of these different things that you are not."
[00:13:13.000 --> 00:13:15.000]   We're going to go through those in just a moment.
[00:13:15.000 --> 00:13:18.000]   "Remember this list of things that shows how far you were from God."
[00:13:18.000 --> 00:13:21.000]   And here's the Jew believer looking at this and saying,
[00:13:21.000 --> 00:13:27.000]   "Yeah, you remember, Gentiles."
[00:13:27.000 --> 00:13:31.000]   It's inherent in these Jews, built into them to feel the division
[00:13:31.000 --> 00:13:34.000]   between them and their Gentile brothers and sisters.
[00:13:34.000 --> 00:13:39.000]   And for the Gentiles, this is a stinging reminder that they are not the original,
[00:13:39.000 --> 00:13:41.000]   historical people of God.
[00:13:41.000 --> 00:13:45.000]   So Jews are saying, "Yeah, don't forget that."
[00:13:45.000 --> 00:13:47.000]   Because in their understanding, though they knew there were sinners,
[00:13:47.000 --> 00:13:50.000]   these Jewish believers,
[00:13:50.000 --> 00:13:55.000]   just as though they knew that they needed the grace of God, just like the Gentiles,
[00:13:55.000 --> 00:14:00.000]   they still had built into them, but we're a little bit better than them.
[00:14:00.000 --> 00:14:04.000]   We're a little bit more blessed than these Gentiles.
[00:14:04.000 --> 00:14:09.000]   We're a little bit of more worth than these Gentiles.
[00:14:09.000 --> 00:14:15.000]   We were closer to God than these guys.
[00:14:15.000 --> 00:14:17.000]   And that's human.
[00:14:17.000 --> 00:14:21.000]   We like to look at someone and say, "I'm not as bad as that guy.
[00:14:21.000 --> 00:14:26.000]   I still have something a little bit better to offer than that person."
[00:14:26.000 --> 00:14:29.000]   And in this statement, as Paul is addressing the Gentiles,
[00:14:29.000 --> 00:14:32.000]   he calls out this term.
[00:14:32.000 --> 00:14:36.000]   This term is "uncircumcision."
[00:14:36.000 --> 00:14:38.000]   And we're not going to do a deep study on this one,
[00:14:38.000 --> 00:14:40.000]   but there's a reason why this term is being used.
[00:14:40.000 --> 00:14:46.000]   Gentiles being called to uncircumcision was actually a Jewish ethnic slur
[00:14:46.000 --> 00:14:51.000]   given to the Gentile.
[00:14:51.000 --> 00:14:55.000]   This is something a Jew would say with a sneer on their face, saying,
[00:14:55.000 --> 00:14:59.000]   "Ah, you uncircumcised people."
[00:14:59.000 --> 00:15:02.000]   If you know the story of David and Goliath,
[00:15:02.000 --> 00:15:06.000]   when he wants to insult Goliath to his face, he doesn't go up--
[00:15:06.000 --> 00:15:10.000]   this is 700 years back--he doesn't just go up to Goliath and go like,
[00:15:10.000 --> 00:15:13.000]   "You Philistine dog," or anything like that.
[00:15:13.000 --> 00:15:14.000]   You know what he calls him?
[00:15:14.000 --> 00:15:18.000]   He calls him, "You uncircumcised Philistine."
[00:15:18.000 --> 00:15:24.000]   This was an insult.
[00:15:24.000 --> 00:15:27.000]   This is a term that has hundreds of years of conflict
[00:15:27.000 --> 00:15:30.000]   and divide behind it between Jew and Gentile.
[00:15:30.000 --> 00:15:34.000]   Circumcision was the precious covenant God gave to Abraham in Genesis 17.
[00:15:34.000 --> 00:15:38.000]   To stamp his mark on his people Israel, he would stamp them with this.
[00:15:38.000 --> 00:15:40.000]   This is what separated Israel from every other nation
[00:15:40.000 --> 00:15:44.000]   and what made them so specially blessed.
[00:15:44.000 --> 00:15:48.000]   And this idea of being part of the circumcision versus the uncircumcision
[00:15:48.000 --> 00:15:53.000]   was still a disunifying issue in the Ephesian church.
[00:15:53.000 --> 00:15:57.000]   So as much as you might find disunity in society and in the world,
[00:15:57.000 --> 00:16:03.000]   the church was not above the temptation of disunity.
[00:16:03.000 --> 00:16:07.000]   To allow external factors to dictate the movement of the church,
[00:16:07.000 --> 00:16:11.000]   here's how a Jew might view the Gentile.
[00:16:11.000 --> 00:16:12.000]   This is from William Barclay.
[00:16:12.000 --> 00:16:16.000]   He says, "The Jew had an immense contempt for the Gentile.
[00:16:16.000 --> 00:16:22.000]   The Gentiles," said the Jews, "were created by God to be fuel for the fires of hell.
[00:16:22.000 --> 00:16:26.000]   God," they said, "loves only Israel of all the nations that he had made.
[00:16:26.000 --> 00:16:31.000]   It was not even lawful to render help to a Gentile mother in her hour of sorest need,
[00:16:31.000 --> 00:16:36.000]   for that would simply be to bring another Gentile into the world.
[00:16:36.000 --> 00:16:40.000]   Until Christ came, the Gentiles were an object of contempt to the Jews.
[00:16:40.000 --> 00:16:42.000]   The barrier between them was absolute.
[00:16:42.000 --> 00:16:47.000]   It was a Jewish boy married a Gentile girl, or if a Jewish girl married a Gentile boy,
[00:16:47.000 --> 00:16:50.000]   the funeral of that Jewish boy or girl was carried out.
[00:16:50.000 --> 00:16:57.000]   Such contact with the Gentile was the equivalent of death."
[00:16:57.000 --> 00:17:04.000]   Christian or not, this is the type of sentiment between the Jew and the Gentile.
[00:17:04.000 --> 00:17:07.000]   And they carried this into the church.
[00:17:07.000 --> 00:17:10.000]   And Paul begins to list out, "Remember who you were."
[00:17:10.000 --> 00:17:12.000]   And we're going to go through a quick five things,
[00:17:12.000 --> 00:17:17.000]   if you look down at the passage that we just read in verse 11 and 12.
[00:17:17.000 --> 00:17:19.000]   And the first is this, "Separated from Christ."
[00:17:19.000 --> 00:17:24.000]   Separated from Christ isn't just a little separation.
[00:17:24.000 --> 00:17:27.000]   This word just means completely apart.
[00:17:27.000 --> 00:17:31.000]   You were completely apart from Christ.
[00:17:31.000 --> 00:17:40.000]   There was no relational hope of salvation from a Messiah.
[00:17:40.000 --> 00:17:46.000]   There was a deep void between the Gentile and God.
[00:17:46.000 --> 00:17:51.000]   The second thing he says is that they were alienated from the commonwealth of Israel.
[00:17:51.000 --> 00:17:53.000]   And that's exactly what it sounds like.
[00:17:53.000 --> 00:17:56.000]   You were aliens.
[00:17:56.000 --> 00:17:59.000]   You were different.
[00:17:59.000 --> 00:18:01.000]   Completely different.
[00:18:01.000 --> 00:18:05.000]   Commonwealth literally means citizenship.
[00:18:05.000 --> 00:18:07.000]   You were of a different nation.
[00:18:07.000 --> 00:18:08.000]   You were not of us.
[00:18:08.000 --> 00:18:10.000]   You were of something else.
[00:18:10.000 --> 00:18:12.000]   You were not of the kingdom of God.
[00:18:12.000 --> 00:18:15.000]   You were of the kingdom of the world.
[00:18:15.000 --> 00:18:17.000]   And there's a big divide here that he's trying to show.
[00:18:17.000 --> 00:18:20.000]   If you watch the Olympics, the Winter Olympics are coming out,
[00:18:20.000 --> 00:18:28.000]   and you're not going to see like a German Olympic athlete
[00:18:28.000 --> 00:18:31.000]   all of a sudden decide they're going to play for like America.
[00:18:31.000 --> 00:18:35.000]   There's loyalty there, and there's divisions, and it's done in the sense of harmony,
[00:18:35.000 --> 00:18:38.000]   but there are divisions, different nations.
[00:18:38.000 --> 00:18:42.000]   He's saying you are alienated from the commonwealth, from the citizenship of Israel.
[00:18:42.000 --> 00:18:47.000]   Thirdly, he says you are strangers to the covenants of promise.
[00:18:47.000 --> 00:18:49.000]   Foreign.
[00:18:49.000 --> 00:18:55.000]   You are not having the promises of Israel.
[00:18:55.000 --> 00:18:59.000]   Covenants were the way that God made the promises to Israel.
[00:18:59.000 --> 00:19:02.000]   So basically, if he did not make a covenant with Israel,
[00:19:02.000 --> 00:19:06.000]   there would be none of his promises for Israel.
[00:19:06.000 --> 00:19:09.000]   He gave covenants to people like Abraham, Jacob, and David,
[00:19:09.000 --> 00:19:18.000]   and covenants are the way that God made the promises of the future Messiah that's coming to save Israel.
[00:19:18.000 --> 00:19:21.000]   Paul was saying, "Remember, Gentiles, you were strangers to the covenant of promise.
[00:19:21.000 --> 00:19:26.000]   You didn't even have the hope of the Messiah."
[00:19:26.000 --> 00:19:33.000]   Fourthly, he says, "No hope. You had no hope in your life."
[00:19:33.000 --> 00:19:37.000]   Some of you guys might relate very recently too,
[00:19:37.000 --> 00:19:41.000]   but for me, I became a believer, I mean it was years ago, but I remember it so vividly,
[00:19:41.000 --> 00:19:45.000]   what it was like to live without hope.
[00:19:45.000 --> 00:19:52.000]   As a proclaiming atheist, I remember thinking about my life and thinking,
[00:19:52.000 --> 00:19:58.000]   "Okay, well, if this is true, if I cease to exist, then what about tomorrow?
[00:19:58.000 --> 00:20:00.000]   How am I supposed to live?"
[00:20:00.000 --> 00:20:05.000]   As I would think through this concept of what it would look like,
[00:20:05.000 --> 00:20:11.000]   the hopelessness and darkness and despair that that brings,
[00:20:11.000 --> 00:20:13.000]   that was for the Gentile.
[00:20:13.000 --> 00:20:17.000]   They had no hope.
[00:20:17.000 --> 00:20:22.000]   These Gentiles were most likely pagan before,
[00:20:22.000 --> 00:20:26.000]   and so they believed one of two things, either that they would cease to exist,
[00:20:26.000 --> 00:20:28.000]   or that their souls would wander for eternity.
[00:20:28.000 --> 00:20:32.000]   Can you imagine that, just believing that and trying to go to sleep at night,
[00:20:32.000 --> 00:20:35.000]   and waking up the next day and trying to live your life?
[00:20:35.000 --> 00:20:39.000]   There's just no hope. Paul is reminding them, "You had no hope."
[00:20:39.000 --> 00:20:45.000]   Fifthly, if it's going to get any worse, he says, "You are without God in the world."
[00:20:45.000 --> 00:20:47.000]   Now, this is heavier than it seems.
[00:20:47.000 --> 00:20:53.000]   This was a polytheistic culture, and they worshipped thousands, myriads of different gods.
[00:20:53.000 --> 00:20:59.000]   To say that they would give their lives to God and sacrifice to these gods and all this kind of thing,
[00:20:59.000 --> 00:21:03.000]   and for Paul to say, "You worship all these things, this is so sad,"
[00:21:03.000 --> 00:21:07.000]   and yet you are without God in the world.
[00:21:07.000 --> 00:21:10.000]   It's a sad picture.
[00:21:10.000 --> 00:21:13.000]   Paul says, "Gentiles, remember that this is who you were.
[00:21:13.000 --> 00:21:16.000]   You were far from God.
[00:21:16.000 --> 00:21:21.000]   You were light years from God, an astronomical divide from God.
[00:21:21.000 --> 00:21:26.000]   You had no hope. You were not even close to Israel.
[00:21:26.000 --> 00:21:34.000]   There was nothing for you.
[00:21:34.000 --> 00:21:40.000]   This is who the Gentiles were. These Gentiles should hang their heads in shame."
[00:21:40.000 --> 00:21:42.000]   And yet Paul is spinning this in a positive light.
[00:21:42.000 --> 00:21:47.000]   Paul tells them, "Remember that this is who you were." This is past tense.
[00:21:47.000 --> 00:21:50.000]   So if you look back at Ephesians 2, verses 1 through 3,
[00:21:50.000 --> 00:21:55.000]   it's a reminder that this is just a reminder of the gospel, right?
[00:21:55.000 --> 00:21:58.000]   "And you were dead in the trespasses and sins in which you once walked,
[00:21:58.000 --> 00:22:01.000]   following the course of this world, following the prince of the power of the air,
[00:22:01.000 --> 00:22:04.000]   the spirit that is now at work in the sons of disobedience,
[00:22:04.000 --> 00:22:07.000]   among whom we all once lived in the passions of our flesh,
[00:22:07.000 --> 00:22:10.000]   carrying out the desires of the body and the mind,
[00:22:10.000 --> 00:22:14.000]   and were by nature children of wrath like the rest of mankind."
[00:22:14.000 --> 00:22:15.000]   And here it is.
[00:22:15.000 --> 00:22:23.000]   "But God, even when we were dead in our trespasses, made us alive together with Christ."
[00:22:23.000 --> 00:22:29.000]   Now what's cool here is that in Ephesians 2, verses 1 through 3, it is given to the church.
[00:22:29.000 --> 00:22:37.000]   In Ephesians 2, verses 11 through 13, he is specifically addressing Gentiles.
[00:22:37.000 --> 00:22:41.000]   And in verse 4, this "But God, even when we were dead in our trespasses,
[00:22:41.000 --> 00:22:45.000]   he made us alive together with Christ."
[00:22:45.000 --> 00:22:50.000]   And then he's focusing in on these Gentiles.
[00:22:50.000 --> 00:22:54.000]   "And now with the fall there came a division between us and God, and us and one another."
[00:22:54.000 --> 00:22:58.000]   And before we can address us and one another and the application of this sermon,
[00:22:58.000 --> 00:23:01.000]   is that we need to address this divide between us and God.
[00:23:01.000 --> 00:23:04.000]   And he says then, verse 13, that we are now unified with God.
[00:23:04.000 --> 00:23:05.000]   And this is our second point today.
[00:23:05.000 --> 00:23:07.000]   We are unified with God.
[00:23:07.000 --> 00:23:10.000]   Look down with me at Ephesians 2, verse 13.
[00:23:10.000 --> 00:23:14.000]   It says, "But now in Christ Jesus, you who once were far off,
[00:23:14.000 --> 00:23:18.000]   have been brought near by the blood of Christ."
[00:23:18.000 --> 00:23:22.000]   Still talking to the Gentiles.
[00:23:22.000 --> 00:23:28.000]   "You who are far away have been brought near."
[00:23:28.000 --> 00:23:35.000]   And those first two words again, "But now" show up, just as in Ephesians 4.
[00:23:35.000 --> 00:23:41.000]   God inserts himself and injects himself and intercedes.
[00:23:41.000 --> 00:23:43.000]   And through Christ, through Jesus,
[00:23:43.000 --> 00:23:48.000]   "You who once were far off have been brought near by Christ's blood."
[00:23:48.000 --> 00:23:50.000]   This is his blood.
[00:23:50.000 --> 00:23:52.000]   This is what his death did.
[00:23:52.000 --> 00:23:55.000]   His death did something miraculous.
[00:23:55.000 --> 00:23:59.000]   His death, it wasn't just God saying, "Come.
[00:23:59.000 --> 00:24:02.000]   Here's peace. Just walk over to me.
[00:24:02.000 --> 00:24:04.000]   I forgive.
[00:24:04.000 --> 00:24:05.000]   I give you kindness and compassion.
[00:24:05.000 --> 00:24:06.000]   Just come."
[00:24:06.000 --> 00:24:07.000]   And we come groveling over.
[00:24:07.000 --> 00:24:08.000]   No, no.
[00:24:08.000 --> 00:24:11.000]   This is something amazing and miraculous
[00:24:11.000 --> 00:24:17.000]   because what was able to bridge that divide was the blood of Christ.
[00:24:17.000 --> 00:24:20.000]   It drew forward Gentiles who were separated from Christ.
[00:24:20.000 --> 00:24:24.000]   It brought hope to the hopeless people.
[00:24:24.000 --> 00:24:27.000]   To these Gentiles who are alienated from the commonwealth of Israel,
