
[00:00:00.000 --> 00:00:04.000]   [no audio]
[00:05:08.000 --> 00:05:12.000]   I want you to see this is what's going to happen, and I want you to know why it's happening.
[00:05:12.000 --> 00:05:16.000]   Okay?
[00:05:16.000 --> 00:05:20.000]   His judgment that he's talking about here, obviously
[00:05:20.000 --> 00:05:24.000]   every judgment of God is harsh, but the judgment that he brings in chapter 34,
[00:05:24.000 --> 00:05:28.000]   he describes himself as someone who is
[00:05:28.000 --> 00:05:32.000]   enraged. R.C. Sproul,
[00:05:32.000 --> 00:05:36.000]   I think it's in his book, Holiness of God.
[00:05:36.000 --> 00:05:40.000]   He describes the wrath of God in the Greek, the word is
[00:05:40.000 --> 00:05:44.000]   "orgay." And the word "orgay" is the word where we
[00:05:44.000 --> 00:05:48.000]   get the New Testament word, or the English word, "orgy."
[00:05:48.000 --> 00:05:52.000]   And the word "orgy" basically means an unbridled, unadulterated
[00:05:52.000 --> 00:05:56.000]   just lust.
[00:05:56.000 --> 00:06:00.000]   Right? Emotion, and there is no filter, it's just kind of
[00:06:00.000 --> 00:06:04.000]   letting your flesh just have it. And R.C. Sproul describes that word
[00:06:04.000 --> 00:06:08.000]   "orgay," and that's the word that's described to describe
[00:06:08.000 --> 00:06:12.000]   the wrath of God is being revealed in the New Testament. And so when God talks
[00:06:12.000 --> 00:06:16.000]   about the wrath of God, just like he gives love,
[00:06:16.000 --> 00:06:20.000]   and he gives love to the fullest, his love is beyond what you and I will ever comprehend.
[00:06:20.000 --> 00:06:24.000]   Right? To give his only begotten son. Well his wrath
[00:06:24.000 --> 00:06:28.000]   is just as intense. Right? His wrath is unlike any
[00:06:28.000 --> 00:06:32.000]   other kind of wrath that we've ever seen. And so that's why
[00:06:32.000 --> 00:06:36.000]   again, we say it over and over again when we talk about the cross, the cross is a perfect
[00:06:36.000 --> 00:06:40.000]   union of the intense wrath of God being satisfied
[00:06:40.000 --> 00:06:44.000]   by the intense love of God. But if you take
[00:06:44.000 --> 00:06:48.000]   either side, you don't have the cross. If you minimize
[00:06:48.000 --> 00:06:52.000]   the wrath of God, it's like did the Son of God really have to be
[00:06:52.000 --> 00:06:56.000]   put on the cross? Right? Because if you don't understand the wrath of
[00:06:56.000 --> 00:07:00.000]   God, you won't understand why only Christ could satisfy
[00:07:00.000 --> 00:07:04.000]   the wrath of God. So one of the questions again I asked about that is when we
[00:07:04.000 --> 00:07:08.000]   study about the wrath of God, we have a tendency to kind of
[00:07:08.000 --> 00:07:12.000]   skim over the wrath and get to the cross, and get to His grace. But again
[00:07:12.000 --> 00:07:16.000]   if you skim over His wrath and you don't fully understand that God is a
[00:07:16.000 --> 00:07:20.000]   jealous God, and then we come through certain parts of the Bible
[00:07:20.000 --> 00:07:24.000]   in the Old Testament where it is hard for us to understand. We go up to the New Testament
[00:07:24.000 --> 00:07:28.000]   where He wipes out a third of the earth, a judgment of hell fire
[00:07:28.000 --> 00:07:32.000]   that is going to be forever. And it's just kind of hard to understand because the
[00:07:32.000 --> 00:07:36.000]   picture that we've created about God doesn't fit hell.
[00:07:36.000 --> 00:07:40.000]   But the picture that we've created about God doesn't fit hell because that's the
[00:07:40.000 --> 00:07:44.000]   God that we've created in our culture. The God of the Bible fits the Bible
[00:07:44.000 --> 00:07:48.000]   because it's in the Bible. Or fits hell because it's in the Bible. Right?
[00:07:48.000 --> 00:07:52.000]   So we have to ask ourselves, like the things that disturb us, things that
[00:07:52.000 --> 00:07:56.000]   don't make sense to us, is that because the Bible
[00:07:56.000 --> 00:08:00.000]   is causing us to create this conflict? Or is it because the
[00:08:00.000 --> 00:08:04.000]   God that I've imaged, the image I have in my head doesn't fit
[00:08:04.000 --> 00:08:08.000]   what I'm reading? Right? And if we're not careful we'll read
[00:08:08.000 --> 00:08:12.000]   through it and just kind of, "Oh it doesn't make sense. I don't understand it." So we just kind of skim over it.
[00:08:12.000 --> 00:08:16.000]   Right? Never really diving into it. Never wrestling with it. You just kind of like,
[00:08:16.000 --> 00:08:20.000]   "Well this is who He is and we're satisfied with that." Right? And I think that's dangerous
[00:08:20.000 --> 00:08:24.000]   because there is so much emphasis about the wrath of God,
[00:08:24.000 --> 00:08:28.000]   about His jealousy, about His holiness, that if we just skim over it and
[00:08:28.000 --> 00:08:32.000]   just have a vague understanding of that, you're not going to have
[00:08:32.000 --> 00:08:36.000]   a clear picture of the cross either. Like why
[00:08:36.000 --> 00:08:40.000]   was Jesus the only one? Why was the Son of God the only one who was able
[00:08:40.000 --> 00:08:44.000]   to satisfy the wrath of God? Right? Again,
[00:08:44.000 --> 00:08:48.000]   He's described here as someone who was enraged. His wrath has been filled to the brim.
[00:08:48.000 --> 00:08:52.000]   Right? So He's not simply talking about, "Hey you committed this
[00:08:52.000 --> 00:08:56.000]   particular sin and I'm going to punish you for this." He's talking about all
[00:08:56.000 --> 00:09:00.000]   the wrath combined. It's just kind of gotten to the point where He's no longer holding
[00:09:00.000 --> 00:09:04.000]   back. He's going to just release His anger
[00:09:04.000 --> 00:09:08.000]   upon the nations. Right? So if you look at the
[00:09:08.000 --> 00:09:12.000]   description of all of this, He's not—it's beyond
[00:09:12.000 --> 00:09:16.000]   just like a momentary judgment. Right?
[00:09:16.000 --> 00:09:20.000]   In verse 6 and 7,
[00:09:20.000 --> 00:09:24.000]   what does it mean? The Lord has a sword. It is stated in blood. It is
[00:09:24.000 --> 00:09:28.000]   gorged with fat, with the blood of lambs and goats, with the fat of the donkeys or kidneys of
[00:09:28.000 --> 00:09:32.000]   rams. What is this imagery about this animals and sacrifices
[00:09:32.000 --> 00:09:36.000]   and what does that have to do with the wrath of God?
[00:09:36.000 --> 00:09:40.000]   Anybody?
[00:09:40.000 --> 00:09:44.000]   Any kind of—like wrestled with that? He's talking about judgment
[00:09:44.000 --> 00:09:48.000]   that's coming. So what is verse 6 and 7?
[00:09:48.000 --> 00:09:52.000]   How is that related to His wrath?
[00:09:52.000 --> 00:09:56.000]   [inaudible]
[00:09:56.000 --> 00:10:00.000]   [inaudible]
[00:10:00.000 --> 00:10:04.000]   [inaudible]
[00:10:04.000 --> 00:10:08.000]   [inaudible]
[00:10:08.000 --> 00:10:12.000]   [inaudible]
[00:10:12.000 --> 00:10:16.000]   If you look at verse 6 and 7, this is not just talking about any animals. He's talking about
[00:10:16.000 --> 00:10:20.000]   sacrifices. Right? He said all these sacrifices are being made because
[00:10:20.000 --> 00:10:24.000]   why are they being made? Why were they necessary? Because of sin.
[00:10:24.000 --> 00:10:28.000]   So He's saying the wrath of God is coming just like there
[00:10:28.000 --> 00:10:32.000]   was a need for the wrath of God to be appeased by the slaughter of these
[00:10:32.000 --> 00:10:36.000]   animals. Now God's judgment is coming because of this sin. Right?
[00:10:36.000 --> 00:10:40.000]   So as animals were sacrifices that needed to be
[00:10:40.000 --> 00:10:44.000]   given because of the sins of God's people, judgment is coming as a result of sins of the
[00:10:44.000 --> 00:10:48.000]   nations. Right? So if you look at this,
[00:10:48.000 --> 00:10:52.000]   basically—He may not be saying this, but basically the only
[00:10:52.000 --> 00:10:56.000]   way that you can appease the wrath of God is by the blood sacrifice
[00:10:56.000 --> 00:11:00.000]   or by receiving the wrath of God. Right?
[00:11:00.000 --> 00:11:04.000]   He said the nation of Israel was given
[00:11:04.000 --> 00:11:08.000]   opportunity by faith when they sacrificed these things where the
[00:11:08.000 --> 00:11:12.000]   wrath of God is being appeased, ultimately obviously by the blood of Christ. Right?
[00:11:12.000 --> 00:11:16.000]   But He says that wrath, that whatever is not
[00:11:16.000 --> 00:11:20.000]   placed on Christ is going to come upon the nations.
[00:11:20.000 --> 00:11:24.000]   Right?
[00:11:24.000 --> 00:11:28.000]   Again, I mentioned
[00:11:28.000 --> 00:11:32.000]   this again, and you guys can talk about this later, but this question
[00:11:32.000 --> 00:11:36.000]   basically is where all throughout Isaiah up to this point,
[00:11:36.000 --> 00:11:40.000]   where Isaiah has been vacillating between God's judgment, His restoration,
[00:11:40.000 --> 00:11:44.000]   judgment and restoration. Right? And in fact, you can probably summarize the whole Bible
[00:11:44.000 --> 00:11:48.000]   as these two themes. Judgment coming because of sin,
[00:11:48.000 --> 00:11:52.000]   but God having mercy for these sinners. But His mercy isn't just,
[00:11:52.000 --> 00:11:56.000]   "You know what? I'm just going to forgive all of you." It's those who come to repent.
[00:11:56.000 --> 00:12:00.000]   Those who receive the cleansing blood of Christ. Right? And He vacillates
[00:12:00.000 --> 00:12:04.000]   back and forth. And as I mentioned before, if you minimize the wrath
[00:12:04.000 --> 00:12:08.000]   of God, you will minimize the grace of God. Right?
[00:12:08.000 --> 00:12:12.000]   If you don't talk about hell, heaven isn't going to be
[00:12:12.000 --> 00:12:16.000]   as accurate. Right? Because it's in contrast.
[00:12:16.000 --> 00:12:20.000]   Right? His love and His anger. His grace.
[00:12:20.000 --> 00:12:24.000]   Right? And His judgment. They have to be understood
[00:12:24.000 --> 00:12:28.000]   side by side. Right?
[00:12:28.000 --> 00:12:32.000]   You can't say, "Oh, that building is really tall." But it's really tall
[00:12:32.000 --> 00:12:36.000]   in comparison to what? To the other buildings. Right?
[00:12:36.000 --> 00:12:40.000]   You put that in Grand Canyon, it doesn't look that big. Right? But in comparison to other buildings
[00:12:40.000 --> 00:12:44.000]   it's big. So His grace is always coupled in comparison
[00:12:44.000 --> 00:12:48.000]   with His wrath, and vice versa. Right? Because that's how the Bible
[00:12:48.000 --> 00:12:52.000]   revealed it.
[00:12:52.000 --> 00:12:56.000]   Who or what is God's judgment directed towards?
[00:12:56.000 --> 00:13:00.000]   He says, "All those who went against Zion." So Zion, obviously,
[00:13:00.000 --> 00:13:04.000]   the immediate context is talking about Israel. But in the larger context
[00:13:04.000 --> 00:13:08.000]   when we talk about the judgment of God, including the Gentiles, it's His church. It's His kingdom.
[00:13:08.000 --> 00:13:12.000]   Right? So again, this wrath is not
[00:13:12.000 --> 00:13:16.000]   simply against one nation. Even though Assyria is
[00:13:16.000 --> 00:13:20.000]   in the picture, again, we said that the larger application is
[00:13:20.000 --> 00:13:24.000]   to the whole world. So it seems like the
[00:13:24.000 --> 00:13:28.000]   greater application is the end times.
[00:13:28.000 --> 00:13:32.000]   And Edom, in verse 9, is the focus of the judgment. Right?
[00:13:32.000 --> 00:13:36.000]   Edom is a sister nation to Israel,
[00:13:36.000 --> 00:13:40.000]   but it has hated Israel more than any other nation.
[00:13:40.000 --> 00:13:44.000]   In fact, I think it's probably true that
[00:13:44.000 --> 00:13:48.000]   the worst enemies were at one point good friends.
[00:13:48.000 --> 00:13:52.000]   Right? And something went wrong. You don't have enemies that are
[00:13:52.000 --> 00:13:56.000]   far away. Right? Typically. Because they don't know you. There's not
[00:13:56.000 --> 00:14:00.000]   enough interaction to hate each other. Usually enemies are people who are close by. And so
[00:14:00.000 --> 00:14:04.000]   the Edomites were kind of like sister nation to Israel. And they
[00:14:04.000 --> 00:14:08.000]   were the constant antagonists to the nation of Israel.
[00:14:08.000 --> 00:14:12.000]   So oftentimes Edom is mentioned to represent all the nations
[00:14:12.000 --> 00:14:16.000]   that went against Israel. Okay?
[00:14:16.000 --> 00:14:20.000]   What is
[00:14:20.000 --> 00:14:24.000]   the duration of the judgment and what is its significance?
[00:14:24.000 --> 00:14:28.000]   The punishment is severe. It is nonstop. It is
[00:14:28.000 --> 00:14:32.000]   night and day. Again, this is not just a slap on the
[00:14:32.000 --> 00:14:36.000]   hand. And it sounds a lot like the white throne judgment
[00:14:36.000 --> 00:14:40.000]   of Revelations. Once the judgment happens, that is
[00:14:40.000 --> 00:14:44.000]   the final judgment. It is not a momentary judgment and
[00:14:44.000 --> 00:14:48.000]   then restoration. This judgment that he's talking about is everlasting.
[00:14:48.000 --> 00:14:52.000]   It is permanent and it's forever.
[00:14:52.000 --> 00:14:56.000]   [pause]
[00:14:56.000 --> 00:15:00.000]   Verse 13
[00:15:00.000 --> 00:15:04.000]   and 17. What does the gathering of different animals
[00:15:04.000 --> 00:15:08.000]   by the Spirit have to do with God's judgment? Again, as it
[00:15:08.000 --> 00:15:12.000]   states in verse 11, a plumb line is a way to measure for accuracy. This description of the
[00:15:12.000 --> 00:15:16.000]   animals is a measurement of emptiness. So let's
[00:15:16.000 --> 00:15:20.000]   look at verse 11. It says, "But the hawk and the porcupine
[00:15:20.000 --> 00:15:24.000]   shall possess it, the owl and the raven shall dwell in it. He shall stretch the line of
[00:15:24.000 --> 00:15:28.000]   the confusion over it, and the plumb line of emptiness."
[00:15:28.000 --> 00:15:32.000]   In other words, he's describing, like the judgment is so thorough that these
[00:15:32.000 --> 00:15:36.000]   animals can just kind of roam free. Because there's no human.
[00:15:36.000 --> 00:15:40.000]   Right?
[00:15:40.000 --> 00:15:44.000]   So Israel, again, is described as a
[00:15:44.000 --> 00:15:48.000]   field that's not cultivated where there's wild animals and they're just roaming
[00:15:48.000 --> 00:15:52.000]   around but there's no human to cultivate it.
[00:15:52.000 --> 00:15:56.000]   Immediately I think about the Garden of Eden after Adam and Eve is
[00:15:56.000 --> 00:16:00.000]   forsaken. Adam and Eve was created
[00:16:00.000 --> 00:16:04.000]   to be caretakers of the land and because of the sin
[00:16:04.000 --> 00:16:08.000]   they're cast out and is no longer taken care of. And that's the kind of picture that I see where
[00:16:08.000 --> 00:16:12.000]   God's creation is intact but the caretakers are not there. Because of
[00:16:12.000 --> 00:16:16.000]   judgment. So again, over and over
[00:16:16.000 --> 00:16:20.000]   again, chapter 34 is talking about the severity
[00:16:20.000 --> 00:16:24.000]   and the intensity of God's wrath and His anger.
[00:16:24.000 --> 00:16:28.000]   And He's making sure that He's not just angry. He's
[00:16:28.000 --> 00:16:32.000]   burning in anger. He's enraged. Right?
[00:16:32.000 --> 00:16:36.000]   He's not simply looking at the world and, you know, again, oftentimes we see
[00:16:36.000 --> 00:16:40.000]   a picture of God only, and I'm not saying this is not accurate or it's not true,
[00:16:40.000 --> 00:16:44.000]   we only see a picture of God as the prodigal son's father.
[00:16:44.000 --> 00:16:48.000]   Right? Who's just waiting, waiting for sinners to come,
[00:16:48.000 --> 00:16:52.000]   waiting for sinners to come. But the Bible also describes a God who is
[00:16:52.000 --> 00:16:56.000]   enraged in anger. Right? Again, this is not just me.
[00:16:56.000 --> 00:17:00.000]   Read the scripture. The scripture describes God who is
[00:17:00.000 --> 00:17:04.000]   holding back His wrath but when the time of grace is
[00:17:04.000 --> 00:17:08.000]   finished and He allows Himself and He says, "Okay, there's nothing holding Him
[00:17:08.000 --> 00:17:12.000]   back anymore." He said, "The wrath of God is going to be revealed." Like ultimately
[00:17:12.000 --> 00:17:16.000]   with nothing holding Him back. Right? And so at the very end
[00:17:16.000 --> 00:17:20.000]   when He comes, He's not only coming to save and redeem
[00:17:20.000 --> 00:17:24.000]   mankind, He's coming where as the cross absorbed
[00:17:24.000 --> 00:17:28.000]   the sin of mankind, that wrath, that whatever was not placed on Jesus is going
[00:17:28.000 --> 00:17:32.000]   to be upon mankind. Right? And that's also a
[00:17:32.000 --> 00:17:36.000]   picture of the Bible. It's not just a picture of the
[00:17:36.000 --> 00:17:40.000]   father, prodigal son, just waiting, waiting, waiting. He's also
[00:17:40.000 --> 00:17:44.000]   that same God who wiped out the earth. Right?
[00:17:44.000 --> 00:17:48.000]   And only eight people remained. Right? He said, "That's that
[00:17:48.000 --> 00:17:52.000]   same God. The same God who came and just wiped out Jericho."
[00:17:52.000 --> 00:17:56.000]   Right? These people are under ban because they're all going to be under judgment.
[00:17:56.000 --> 00:18:00.000]   The same God who created hell. He created
[00:18:00.000 --> 00:18:04.000]   hell. And that God is the God who is
[00:18:04.000 --> 00:18:08.000]   coming. Right? And again, I think that's why if you've never read
[00:18:08.000 --> 00:18:12.000]   the book "Holiness of God" I strongly encourage you to read it because when we have
[00:18:12.000 --> 00:18:16.000]   a skewed perspective or imperfect perspective
[00:18:16.000 --> 00:18:20.000]   of who He is, right, because our generation
[00:18:20.000 --> 00:18:24.000]   or I don't know, then even His grace isn't
[00:18:24.000 --> 00:18:28.000]   going to seem amazing. It's just going to be grace.
[00:18:28.000 --> 00:18:32.000]   Right? I think it's extremely important for us that we have an accurate picture
[00:18:32.000 --> 00:18:36.000]   of how the Bible describes God. And chapter 34
[00:18:36.000 --> 00:18:40.000]   makes sure that we get that. We get that. Okay?
[00:18:40.000 --> 00:18:44.000]   Okay.
[00:18:44.000 --> 00:18:48.000]   We're not going to go through this right now for the sake of time because I want to get through all of it.
[00:18:48.000 --> 00:18:52.000]   Chapter 34 is about the wrath. Chapter 35
[00:18:52.000 --> 00:18:56.000]   is about restoration. So those of you guys, hopefully you read through,
[00:18:56.000 --> 00:19:00.000]   you know that chapter 36 through 39 is about history, specific
[00:19:00.000 --> 00:19:04.000]   history. Right? So chapter 1 through 35 is
[00:19:04.000 --> 00:19:08.000]   about judgment and then again, vacillates back
[00:19:08.000 --> 00:19:12.000]   and forth to restoration. So He ends with promise of restoration.
[00:19:12.000 --> 00:19:16.000]   Right? What is the promise, what is
[00:19:16.000 --> 00:19:20.000]   promised from the coming of the Lord? First it says vengeance.
[00:19:20.000 --> 00:19:24.000]   So the first thing that we think of
[00:19:24.000 --> 00:19:28.000]   is wrath.
[00:19:28.000 --> 00:19:32.000]   I think every Christian, there should be a tension. There should be
[00:19:32.000 --> 00:19:36.000]   a tension when we think about His second coming. Because as much
[00:19:36.000 --> 00:19:40.000]   as second coming means our life and it is our glory,
[00:19:40.000 --> 00:19:44.000]   it means judgment for mankind. Right? It means judgment
[00:19:44.000 --> 00:19:48.000]   for people that we may care about, our co-workers. It means judgment to
[00:19:48.000 --> 00:19:52.000]   everyone who does not confess Christ. Right? So I think
[00:19:52.000 --> 00:19:56.000]   every Christian, in one sense, we ought to be longing for Him and that should
[00:19:56.000 --> 00:20:00.000]   affect the way that we live. But there also ought to be a sense
[00:20:00.000 --> 00:20:04.000]   of dread. Because when He comes,
[00:20:04.000 --> 00:20:08.000]   He says He's going to come in His full vengeance. Right?
[00:20:08.000 --> 00:20:12.000]   I think there's a reason why when Paul was going out and he's saying
[00:20:12.000 --> 00:20:16.000]   he prays that the gospel may spread rapidly.
[00:20:16.000 --> 00:20:20.000]   You know, he knows the sovereignty of God. He knows that God is completely
[00:20:20.000 --> 00:20:24.000]   in control. But at the same time, he knows the consequence
[00:20:24.000 --> 00:20:28.000]   of not knowing Christ. Right? He knows the consequence of when He does
[00:20:28.000 --> 00:20:32.000]   come. So humanly speaking, there's a sense of urgency. He wasn't just living
[00:20:32.000 --> 00:20:36.000]   casually. He lived so that the gospel may spread to the remotest
[00:20:36.000 --> 00:20:40.000]   part of the world as fast as it can. It's not like, "Oh, God is sovereign, so therefore
[00:20:40.000 --> 00:20:44.000]   let's not worry about tomorrow." Right? He's the one who teaches about the sovereignty
[00:20:44.000 --> 00:20:48.000]   of God and yet He lives every single day. Right? With that sense of urgency.
[00:20:48.000 --> 00:20:52.000]   And I think this has something to do with it. Right? Knowing that His coming
[00:20:52.000 --> 00:20:56.000]   isn't just Santa Claus coming to pass out candy. He's going to come in
[00:20:56.000 --> 00:21:00.000]   His full glory. And His full glory always means grace and judgment at the same
[00:21:00.000 --> 00:21:04.000]   time. Right? If He doesn't come in His judgment, that's
[00:21:04.000 --> 00:21:08.000]   not His full glory. His full glory means every part of who He is is going to be glorified.
[00:21:08.000 --> 00:21:12.000]   Right? His grace and His wrath.
[00:21:12.000 --> 00:21:16.000]   He will also come to save.
[00:21:16.000 --> 00:21:20.000]   Right? Open the eyes of the blind and the ears of the deaf.
[00:21:20.000 --> 00:21:24.000]   Lame shall walk and leap like a deer.
[00:21:24.000 --> 00:21:28.000]   Tongue of the mute shall sing
[00:21:28.000 --> 00:21:32.000]   for joy. So if you notice all of this, that it's not just they see.
[00:21:32.000 --> 00:21:36.000]   Right? It's not just that they hear. It's that lame aren't just going to walk.
[00:21:36.000 --> 00:21:40.000]   They're going to leap for joy like a deer. Right? People who couldn't talk and all of a
[00:21:40.000 --> 00:21:44.000]   sudden, you know, they're talking. He said, "No, they're going to be singing for joy."
[00:21:44.000 --> 00:21:48.000]   So just as vengeance is intense, His wrath is intense,
[00:21:48.000 --> 00:21:52.000]   so is His restoration. Right?
[00:21:52.000 --> 00:21:56.000]   So when we say that God is a jealous God, that every part of Him is intense,
[00:21:56.000 --> 00:22:00.000]   right? Just as salvation is intense, so is judgment.
[00:22:00.000 --> 00:22:14.000]   What do you think the highway called the way of holiness is in reference to?
[00:22:14.000 --> 00:22:18.000]   Okay.
[00:22:18.000 --> 00:22:22.000]   I want you to think about what highway, like when you think of highway,
[00:22:22.000 --> 00:22:26.000]   what do you immediately think of?
[00:22:26.000 --> 00:22:30.000]   I mean, the only reference we have is highway.
[00:22:30.000 --> 00:22:34.000]   Right? If you thought of something else, I don't know where
[00:22:34.000 --> 00:22:38.000]   you're from, but the only highway that I know of is
[00:22:38.000 --> 00:22:42.000]   five, the freeway. I was thinking about other numbers.
[00:22:42.000 --> 00:22:46.000]   I can't think of anything. Just five. Right?
[00:22:46.000 --> 00:22:50.000]   We think about that, but think about at that time when they said
[00:22:50.000 --> 00:22:54.000]   highway, what they would have meant, because obviously they didn't have cars. Right?
