
[00:00:00.000 --> 00:00:11.400]   Okay, hello everybody.
[00:06:21.480 --> 00:06:26.840]   go out and serve, go out and love, go out and say that I am going to choose to be a
[00:06:26.840 --> 00:06:31.220]   part of the body and encourage others and in that you will be encouraged.
[00:06:31.220 --> 00:06:36.880]   So that was that.
[00:06:36.880 --> 00:06:45.560]   Now, as we were singing that last song, I was kind of thinking through, even just theologically,
[00:06:45.560 --> 00:06:53.080]   and as we're coming to this understanding of what it means to come and behold Him.
[00:06:53.080 --> 00:06:54.920]   Why do we sing that?
[00:06:54.920 --> 00:07:01.200]   What is the purpose of beholding God?
[00:07:01.200 --> 00:07:09.880]   And it came to my mind because I was talking to someone this week who was saying that they
[00:07:09.880 --> 00:07:11.640]   were having a hard time reading Scripture.
[00:07:11.640 --> 00:07:17.080]   It just wasn't so sweet these days.
[00:07:17.080 --> 00:07:21.400]   And as we were talking, one of the questions I asked this person was, you know, like what
[00:07:21.400 --> 00:07:22.800]   is the point of Scripture?
[00:07:22.800 --> 00:07:25.360]   Why is it that we're commanded to read it?
[00:07:25.360 --> 00:07:29.280]   And what is it about Scripture that changes our hearts?
[00:07:29.280 --> 00:07:31.160]   And the answer was telling.
[00:07:31.160 --> 00:07:36.640]   And this was actually one of my old church members, and we're just catching up via Facebook
[00:07:36.640 --> 00:07:37.640]   and stuff.
[00:07:37.640 --> 00:07:40.000]   And what they said was striking.
[00:07:40.000 --> 00:07:44.440]   And I think it's striking because I myself fall into this.
[00:07:44.440 --> 00:07:53.000]   It's because they said it's because it tells God's commandments, what He wants of us.
[00:07:53.000 --> 00:07:56.520]   And as I was thinking about that, I was like, man, is that the first thing that I think
[00:07:56.520 --> 00:07:57.520]   about?
[00:07:57.520 --> 00:07:59.720]   And I think so.
[00:07:59.720 --> 00:08:01.960]   It helps us because it instructs us.
[00:08:01.960 --> 00:08:04.040]   And there is an element of that.
[00:08:04.040 --> 00:08:08.920]   But more than that, we have this understanding that even the law of God, though they are
[00:08:08.920 --> 00:08:15.480]   a list of commandments, what the law of God was supposed to do was to show who God is.
[00:08:15.480 --> 00:08:16.480]   It's a picture.
[00:08:16.480 --> 00:08:19.640]   It's drawing a picture of who He is.
[00:08:19.640 --> 00:08:24.760]   And basically when He says like, you know, do not steal, He's saying do not steal because
[00:08:24.760 --> 00:08:27.520]   I am one who does not steal.
[00:08:27.520 --> 00:08:31.600]   And there's this idea of not just looking to the law, a list of things that are given,
[00:08:31.600 --> 00:08:37.500]   but that this is painting a picture, all of scripture is painting a picture of God.
[00:08:37.500 --> 00:08:41.920]   And scripture itself is causing us to behold Him.
[00:08:41.920 --> 00:08:44.240]   And that's where worship stems from.
[00:08:44.240 --> 00:08:48.880]   Not knowing the Christian things to do and the fact that we need to read the Bible at
[00:08:48.880 --> 00:08:52.400]   the very least so that when small group goes around, I can say I read the Bible, you know,
[00:08:52.400 --> 00:08:53.400]   things like that.
[00:08:53.400 --> 00:08:55.200]   That's not what we're driven by.
[00:08:55.200 --> 00:08:57.720]   That's not what's going to give us life in scripture.
[00:08:57.720 --> 00:09:03.160]   It's as we read it, we look at it and we're like, oh my gosh.
[00:09:03.160 --> 00:09:07.840]   And we come to our small group and we're like, dude, let me tell you who God is.
[00:09:07.840 --> 00:09:10.440]   I found out a little bit more about Him.
[00:09:10.440 --> 00:09:11.880]   And that's what we're sharing about.
[00:09:11.880 --> 00:09:14.880]   We're sharing about who He is and how great He is.
[00:09:14.880 --> 00:09:18.160]   And in that place, you know what's cool?
[00:09:18.160 --> 00:09:22.080]   Worship becomes spontaneous.
[00:09:22.080 --> 00:09:24.280]   It's you just can't keep it in.
[00:09:24.280 --> 00:09:26.960]   You're like, He is so good.
[00:09:26.960 --> 00:09:29.920]   And you're driven to pray to God.
[00:09:29.920 --> 00:09:30.920]   Thank you.
[00:09:30.920 --> 00:09:36.280]   You know, that's when thank you comes out before any of the requests that we have.
[00:09:36.280 --> 00:09:40.800]   And thank you comes out before any of the venting that we're doing before our God.
[00:09:40.800 --> 00:09:45.400]   We just have a mindset of, man, the beautiful God that we serve.
[00:09:45.400 --> 00:09:51.280]   So with that said, can we come before this God and realize that we are not praying to
[00:09:51.280 --> 00:09:52.280]   open air.
[00:09:52.280 --> 00:09:54.280]   We're not just thinking words in our minds.
[00:09:54.280 --> 00:09:56.560]   We are speaking to our God.
[00:09:56.560 --> 00:10:01.520]   So let's pray together.
[00:10:01.520 --> 00:10:16.280]   Oh God, I sometimes can't believe that you are here in our presence now.
[00:10:16.280 --> 00:10:20.000]   And that you are listening to us.
[00:10:20.000 --> 00:10:23.840]   You are so close.
[00:10:23.840 --> 00:10:34.800]   A God so great and one that we proclaim and exalt as majestic and glorious would be so
[00:10:34.800 --> 00:10:35.800]   close to us.
[00:10:35.800 --> 00:10:41.040]   And Father, thank you that we can pray in this manner then.
[00:10:41.040 --> 00:10:49.520]   Thank you, God, that sinful people have audience with the King, with the God of the universe.
[00:10:49.520 --> 00:10:54.640]   God, who are we?
[00:10:54.640 --> 00:11:06.960]   And Father, in this place, we almost so boldly ask of you, our Father, to give us what we
[00:11:06.960 --> 00:11:10.520]   demand of you.
[00:11:10.520 --> 00:11:13.880]   We demand, God, more of you.
[00:11:13.880 --> 00:11:15.280]   That we want to know you more.
[00:11:15.280 --> 00:11:18.860]   That we want to see you in the pages of Scripture.
[00:11:18.860 --> 00:11:22.920]   That we want it to be something that is beyond studying text.
[00:11:22.920 --> 00:11:30.720]   Father, that as we study, regardless of the skill of the preacher or the teacher, that
[00:11:30.720 --> 00:11:37.240]   your word would be the way by which the Spirit would illuminate our eyes.
[00:11:37.240 --> 00:11:41.240]   That the things of this world would not be the things that we consider beautiful and
[00:11:41.240 --> 00:11:43.360]   desirable and attractive.
[00:11:43.360 --> 00:11:48.440]   But Father, all things fade away as shadow.
[00:11:48.440 --> 00:11:51.560]   And God, we see you.
[00:11:51.560 --> 00:11:54.880]   So God, thank you that in Revelation we can see this.
[00:11:54.880 --> 00:12:00.960]   And we pray, Father, that as we leave these Bible studies, always we are exalting you.
[00:12:00.960 --> 00:12:05.840]   In Jesus' name we pray, amen.
[00:12:05.840 --> 00:12:06.840]   Okay.
[00:12:06.840 --> 00:12:12.040]   Well, Revelation 13, today is going to be a little bit different.
[00:12:12.040 --> 00:12:17.800]   And my formatting is beginning to, for these worksheets, are beginning to get more and
[00:12:17.800 --> 00:12:21.400]   more like just squished together.
[00:12:21.400 --> 00:12:24.280]   It's getting hard.
[00:12:24.280 --> 00:12:27.960]   And today, we're going to be doing something a little bit different than we've been doing
[00:12:27.960 --> 00:12:29.440]   up until this point.
[00:12:29.440 --> 00:12:35.480]   And the reason is because we have to have a better scriptural understanding of the Antichrist.
[00:12:35.480 --> 00:12:37.440]   So that's the first thing we're going to be going through today.
[00:12:37.440 --> 00:12:40.840]   A scriptural run-through of who the Antichrist is.
[00:12:40.840 --> 00:12:44.280]   Because we've talked about the Antichrist.
[00:12:44.280 --> 00:12:49.440]   And a lot of today's text in chapter 13 is going to be dealing with this Antichrist.
[00:12:49.440 --> 00:12:53.640]   Before we get into that, though, we have to address discussion question number three from
[00:12:53.640 --> 00:12:54.640]   last week.
[00:12:54.640 --> 00:12:59.600]   Because that was the one I got literally, I think over 15 people came up and asked the
[00:12:59.600 --> 00:13:00.600]   same question.
[00:13:00.600 --> 00:13:01.600]   Okay?
[00:13:01.600 --> 00:13:05.480]   Like, how do we discern whether something is of demonic activity or not?
[00:13:05.480 --> 00:13:09.940]   And I heard everyone, there were a lot of groups that were arguing, and people broke
[00:13:09.940 --> 00:13:12.840]   friendships because of the arguments and stuff.
[00:13:12.840 --> 00:13:13.840]   You don't have to.
[00:13:13.840 --> 00:13:18.560]   That was actually a trick question.
[00:13:18.560 --> 00:13:22.080]   The point of that question was to kind of paint this picture of the fact that we're
[00:13:22.080 --> 00:13:25.800]   not supposed to look for demonic activity under every rock.
[00:13:25.800 --> 00:13:30.280]   So it's not like, you know, I got into a car accident.
[00:13:30.280 --> 00:13:32.240]   That was a demon.
[00:13:32.240 --> 00:13:34.560]   You know, it's not like that kind of thing.
[00:13:34.560 --> 00:13:41.500]   However, the idea of this is, is that though we're not able to know for sure whether something
[00:13:41.500 --> 00:13:46.700]   is of, like, demonic activity or whether this is a test of God or whether it's just a coincidental
[00:13:46.700 --> 00:13:53.500]   thing, which by the way, we're not going to go into it, but what is coincidence, right?
[00:13:53.500 --> 00:13:57.220]   Rather than these kinds of things, we're going to be talking, we're talking about this as
[00:13:57.220 --> 00:14:05.780]   an idea of having a spiritual lens as to how we see things, broad point of view, in broad
[00:14:05.780 --> 00:14:06.960]   strokes.
[00:14:06.960 --> 00:14:13.380]   So when we see things, how quick are we to be vigilant of the fact that we are residing
[00:14:13.380 --> 00:14:15.960]   in spiritual warfare?
[00:14:15.960 --> 00:14:20.340]   So that is, it's almost like a backdrop, rather than trying to figure out the nitty-gritty.
[00:14:20.340 --> 00:14:22.380]   Do you guys understand what I'm saying?
[00:14:22.380 --> 00:14:26.940]   So rather than scientifically trying to pick out what was of demonic origin or not, we're
[00:14:26.940 --> 00:14:32.180]   saying, as we look at things, we go, "Huh, why did that happen?"
[00:14:32.180 --> 00:14:34.820]   You know, or, "Oh, that's interesting.
[00:14:34.820 --> 00:14:35.820]   I wonder why."
[00:14:35.820 --> 00:14:42.940]   You know, we're so quick, especially in the Western world, when something happens, to
[00:14:42.940 --> 00:14:45.980]   attribute it to, like, our rationality, right?
[00:14:45.980 --> 00:14:47.500]   We're just quick to do that.
[00:14:47.500 --> 00:14:54.100]   And so instead of being so quick to jump into that kind of viewpoint, we want to be prayerfully
[00:14:54.100 --> 00:14:56.580]   always on guard.
[00:14:56.580 --> 00:14:58.720]   So that's what that means.
[00:14:58.720 --> 00:15:04.980]   We weren't able to get into Ephesians 5 and 6 last week, but in Ephesians 6, when it's
[00:15:04.980 --> 00:15:10.740]   talking about the whole armor of God, every armor piece is a defensive armament.
[00:15:10.740 --> 00:15:15.880]   Do you guys remember the one offensive piece of armor?
[00:15:15.880 --> 00:15:16.880]   The sword.
[00:15:16.880 --> 00:15:19.300]   And what was the sword?
[00:15:19.300 --> 00:15:20.300]   The word.
[00:15:20.300 --> 00:15:21.300]   Okay.
[00:15:21.300 --> 00:15:22.940]   And that's really telling.
[00:15:22.940 --> 00:15:28.820]   Because in that, if you want to be spiritually keen and aware, and you want to go into battle
[00:15:28.820 --> 00:15:31.620]   spiritually, you cannot always be on the defensive.
[00:15:31.620 --> 00:15:36.500]   And the only way to be on the offensive, then, is through the word of God.
[00:15:36.500 --> 00:15:42.300]   So I had a friend who used to do this, and it was, like, the cheesiest thing, but it
[00:15:42.300 --> 00:15:43.980]   really worked for me.
[00:15:43.980 --> 00:15:48.700]   Like, anytime, like, we would...and he got this from one of our, like, Christian heroes
[00:15:48.700 --> 00:15:55.700]   of the faith, but whenever we would pass each other at UCSD, back in college, he would go,
[00:15:55.700 --> 00:15:56.700]   "On guard!"
[00:15:56.700 --> 00:16:00.700]   And every time, I'd be like, "Dude, stop!"
[00:16:00.700 --> 00:16:04.740]   Oh, man, it was so embarrassing, because people would be around me.
[00:16:04.740 --> 00:16:05.740]   He'd go, "On guard!"
[00:16:05.740 --> 00:16:07.300]   And he'd be looking straight at me.
[00:16:07.300 --> 00:16:14.060]   And what he was basically saying is, like, you know, like, "On guard, like, are you ready?"
[00:16:14.060 --> 00:16:15.220]   With scripture.
[00:16:15.220 --> 00:16:21.580]   And so what he had said was, "Whenever I say 'on guard,' think of a memory verse."
[00:16:21.580 --> 00:16:22.580]   So he'd say, "On guard!"
[00:16:22.580 --> 00:16:28.580]   I'd be like, "Oh, dang it, oh, John 3, 6, 7..."
[00:16:28.580 --> 00:16:36.100]   All that to say, when you guys ask each other, "How has your scripture reading been?"
[00:16:36.100 --> 00:16:38.560]   It's not a Christian exercise, you know?
[00:16:38.560 --> 00:16:41.540]   It's not just like, "Hey, how have you been doing your scripture reading?"
[00:16:41.540 --> 00:16:42.540]   "Just because."
[00:16:42.540 --> 00:16:44.660]   Or like, "Oh, I've been doing pretty well."
[00:16:44.660 --> 00:16:46.860]   Or like, "Oh, I haven't been doing that well."
[00:16:46.860 --> 00:16:49.540]   Or, you know, that's how we tend to react, right?
[00:16:49.540 --> 00:16:54.100]   But for real, this understanding of we are always in scripture together, meditating on
[00:16:54.100 --> 00:16:57.260]   it together, that we will sharpen each other with it.
[00:16:57.260 --> 00:17:01.220]   That if we're talking, rather than saying, like, "Have you been reading?"
[00:17:01.220 --> 00:17:03.740]   Ask, "What have you been learning?"
[00:17:03.740 --> 00:17:06.780]   And then, if you're the other person, tell them!
[00:17:06.780 --> 00:17:08.620]   Tell them what you've been learning!
[00:17:08.620 --> 00:17:16.780]   So if you've been in John, tell them, "Today, I read John 14, and I learned this."
[00:17:16.780 --> 00:17:20.660]   And then, say, even go deeper than that.
[00:17:20.660 --> 00:17:22.500]   Go like, "Hey, when did you read that?
[00:17:22.500 --> 00:17:25.100]   Was that three weeks ago, or was that today?"
[00:17:25.100 --> 00:17:28.860]   Sometimes we'll take one thing we learn, and we'll kind of walk around with it, and then
[00:17:28.860 --> 00:17:30.980]   when someone asks you, "What have you been learning?"
[00:17:30.980 --> 00:17:33.860]   We'll pull out the one thing from that one day.
[00:17:33.860 --> 00:17:37.440]   But rather than that, always be on guard in scripture.
[00:17:37.440 --> 00:17:43.020]   And as we do this, hopefully we can become a ministry and a church that is always on
[00:17:43.020 --> 00:17:45.180]   guard.
[00:17:45.180 --> 00:17:49.060]   That we can pull these things out and push each other.
[00:17:49.060 --> 00:17:50.060]   Memorize scripture together.
[00:17:50.060 --> 00:17:54.980]   Sorry I'm taking so much time right now, but memorize scripture with one another.
[00:17:54.980 --> 00:18:01.660]   Get together in groups and say, "Hey, do you want to memorize through Philippians chapter
[00:18:01.660 --> 00:18:02.660]   2?"
[00:18:02.660 --> 00:18:04.100]   And then say, "Yeah, I want to memorize."
[00:18:04.100 --> 00:18:08.120]   If you say that to someone, most people are not going to say no.
[00:18:08.120 --> 00:18:10.200]   If they say no, there's something wrong with them.
[00:18:10.200 --> 00:18:12.840]   So say, "Hey, do you want to memorize through this together?"
[00:18:12.840 --> 00:18:14.520]   And wait for them to say yes.
[00:18:14.520 --> 00:18:17.120]   And then go through the chapter together.
[00:18:17.120 --> 00:18:19.240]   Read through it, and then memorize it together.
[00:18:19.240 --> 00:18:22.440]   These are some of the best things you could do.
[00:18:22.440 --> 00:18:26.200]   Not just go get boba and things like that, which are cool, but we want to grow in the
[00:18:26.200 --> 00:18:27.200]   faith together.
[00:18:27.200 --> 00:18:32.160]   Anyway, let's talk about the Antichrist.
[00:18:32.160 --> 00:18:34.280]   A scriptural run through the Antichrist.
[00:18:34.280 --> 00:18:42.840]   Well, if you could turn your Bibles to Daniel chapter 2.
[00:18:42.840 --> 00:18:43.840]   Please turn there.
[00:18:43.840 --> 00:18:46.240]   I don't have it up for you.
[00:18:46.240 --> 00:18:50.720]   So all of Roman numeral 1, you're going to have to flip through scripture with me.
[00:18:50.720 --> 00:18:56.240]   Daniel chapter 2, verse 31.
[00:18:56.240 --> 00:19:04.680]   Now, Revelation, a lot of it, you need to have a firm grip of some of the more eschatological
[00:19:04.680 --> 00:19:10.680]   texts in the Old Testament, like Daniel, Zechariah, Ezekiel, and so on and so forth.
[00:19:10.680 --> 00:19:18.200]   Daniel is probably one of the most important books you need to know when it comes to Revelation.
[00:19:18.200 --> 00:19:23.960]   And this is going to provide a backdrop for us as we think about how the church was reading
[00:19:23.960 --> 00:19:29.280]   the book of Revelation from the time it was written.
[00:19:29.280 --> 00:19:30.280]   Chapter 2, verse 31.
[00:19:30.280 --> 00:19:35.460]   It says, "You saw, O king, and behold, a great image.
[00:19:35.460 --> 00:19:39.820]   This image, mighty and of exceeding brightness, stood before you, and its appearance was frightening.
[00:19:39.820 --> 00:19:44.160]   The head of this image was a fine gold, its chest and arms of silver, its middle and thighs
[00:19:44.160 --> 00:19:50.560]   of bronze, its legs of iron, and its feet partly of iron and partly of clay."
[00:19:50.560 --> 00:19:54.440]   And then after this, if you continue to read through, all the way through verse 45, you're
[00:19:54.440 --> 00:19:59.840]   going to see that this stone comes and breaks it down, and that this stone is going to be
[00:19:59.840 --> 00:20:04.720]   something that becomes a great mountain, if you look at verse 35, and it fills the whole
[00:20:04.720 --> 00:20:05.720]   earth.
[00:20:05.720 --> 00:20:11.240]   And this was a dream, right, given to King Nebuchadnezzar, and Daniel is interpreting
[00:20:11.240 --> 00:20:12.240]   it for him.
[00:20:12.240 --> 00:20:15.600]   So if you look at verse 36, it says, "This was the dream.
[00:20:15.600 --> 00:20:19.520]   Now we will tell you, the king of its interpretation, 'You, O king, the king of kings, to whom
[00:20:19.520 --> 00:20:22.920]   the God of heaven has given the kingdom, the power, and the might, and the glory, and into
[00:20:22.920 --> 00:20:26.720]   whose hands he has given, wherever they dwell, the children of man, the beasts of the fields,
[00:20:26.720 --> 00:20:32.280]   and the birds of the heavens, making you rule over them all, you are the head of gold.
[00:20:32.280 --> 00:20:36.680]   Another kingdom inferior to you shall arise after you, and yet a third kingdom of bronze,
[00:20:36.680 --> 00:20:37.840]   which shall rule over all the earth.
[00:20:37.840 --> 00:20:40.760]   And there shall be a fourth kingdom, strong as iron, because iron breaks to pieces and
[00:20:40.760 --> 00:20:44.480]   shatters all things, and like iron that crushes, it shall break and crush all these.
[00:20:44.480 --> 00:20:47.920]   And you shall saw the feet and toes partly of potter's clay, and partly of iron, and
[00:20:47.920 --> 00:20:49.520]   shall be a divided kingdom.
[00:20:49.520 --> 00:20:53.160]   But some of the firmness of iron shall be in it, just as you saw iron mixed with the
[00:20:53.160 --> 00:20:54.160]   soft clay.
[00:20:54.160 --> 00:20:57.700]   And as the toes of the feet were partly iron and partly clay, so the kingdom shall be partly
[00:20:57.700 --> 00:20:58.700]   strong and partly brittle."
[00:20:58.700 --> 00:21:02.280]   And it continues.
[00:21:02.280 --> 00:21:08.080]   So there's this image of this statue, and I have it written out for you here.
[00:21:08.080 --> 00:21:09.600]   We could pass through the intro today.
[00:21:09.600 --> 00:21:11.800]   Yeah, let's go through this one.
[00:21:11.800 --> 00:21:13.320]   Oh, man.
[00:21:13.320 --> 00:21:17.880]   All right, Daniel 2.31 to 4.45, and this is what we see, right?
[00:21:17.880 --> 00:21:19.000]   The gold head.
[00:21:19.000 --> 00:21:20.480]   He says, "This is you, O king."
[00:21:20.480 --> 00:21:21.480]   So this is Babylon.
[00:21:21.480 --> 00:21:24.200]   Nebuchadnezzar was the king of Babylon.
[00:21:24.200 --> 00:21:25.760]   He's talking about a kingdom that comes after.
[00:21:25.760 --> 00:21:28.440]   Did you guys see that?
[00:21:28.440 --> 00:21:31.480]   What's the kingdom that comes after Babylon?
[00:21:31.480 --> 00:21:32.480]   Medo-Persia.
[00:21:32.480 --> 00:21:37.040]   Okay, so it's Persia, but there was Media and Persia, and it became kind of a unified
[00:21:37.040 --> 00:21:38.520]   kingdom.
[00:21:38.520 --> 00:21:41.080]   And so Medo-Persia, that was the silver chest and arms.
[00:21:41.080 --> 00:21:43.080]   And he says, "Another kingdom's going to rise after."
[00:21:43.080 --> 00:21:45.080]   Do you guys know what that is?
[00:21:45.080 --> 00:21:46.080]   Greece.
[00:21:46.080 --> 00:21:48.520]   Okay, now, hopefully this stuff is starting to stick.
[00:21:48.520 --> 00:21:50.360]   We've gone through this multiple times.
[00:21:50.360 --> 00:21:56.600]   And lastly, probably the one of most importance for today's study is going to be the legs
[00:21:56.600 --> 00:21:59.680]   and the feet and the toes.
[00:21:59.680 --> 00:22:00.680]   It's going to be Rome.
