
[00:00:00.000 --> 00:00:07.320]   Good evening, Church family.
[00:03:16.960 --> 00:03:21.960]   We're supposed to be regularly putting a sign, the kind of ignorance, the kind of stubborn
[00:03:21.960 --> 00:03:27.440]   callousness that we have, and to be regularly putting on the likeness of God, right?
[00:03:27.440 --> 00:03:29.160]   That is something that we're regularly engaged with.
[00:03:29.160 --> 00:03:33.240]   And so one of the challenges that I gave in the previous study was that we as believers,
[00:03:33.240 --> 00:03:36.480]   we are always changing in that we're always maturing.
[00:03:36.480 --> 00:03:42.660]   And the scripture's admonition to us was that we're supposed to be changing in every aspect
[00:03:42.660 --> 00:03:43.660]   unto Christ.
[00:03:43.660 --> 00:03:44.660]   Okay?
[00:03:44.660 --> 00:03:45.960]   Every aspect unto Christ.
[00:03:45.960 --> 00:03:48.140]   So we're going to be ever growing.
[00:03:48.140 --> 00:03:51.100]   Tonight there's a continuation of the application.
[00:03:51.100 --> 00:03:56.980]   The application that we are supposed to be seeing the ramifications of the gospel applied
[00:03:56.980 --> 00:03:58.500]   into our lives.
[00:03:58.500 --> 00:04:03.580]   And for that, we go to this passage, chapter five, verse one through six, which says, "Therefore
[00:04:03.580 --> 00:04:09.060]   be imitators of God as beloved children, and walk in love just as Christ also loved you
[00:04:09.060 --> 00:04:15.980]   and gave himself up for us, an offering and a sacrifice to God as a fragrant aroma.
[00:04:15.980 --> 00:04:21.100]   But immorality or any impurity or greed must not even be named among you as is proper among
[00:04:21.100 --> 00:04:22.460]   saints.
[00:04:22.460 --> 00:04:27.660]   And there must be no filthiness and silly talk or coarse jesting, which are not fitting,
[00:04:27.660 --> 00:04:29.660]   but rather giving of thanks.
[00:04:29.660 --> 00:04:34.620]   For this you know with certainty that no immoral or impure person or covetous man who is an
[00:04:34.620 --> 00:04:39.040]   idolater has an inheritance in the kingdom of Christ and God.
[00:04:39.040 --> 00:04:42.700]   Let no one deceive you with empty words for because of these things, the wrath of God
[00:04:42.700 --> 00:04:45.700]   comes upon the sons of disobedience."
[00:04:45.700 --> 00:04:47.140]   Okay?
[00:04:47.140 --> 00:04:53.300]   Now this passage, I think breaks down nicely into three sections and it's two verses each.
[00:04:53.300 --> 00:04:57.700]   We're going to begin with the first section, which I like to call the commands.
[00:04:57.700 --> 00:05:03.940]   So Paul clearly gives us two emphatic commands in this first portion of the passage.
[00:05:03.940 --> 00:05:08.420]   Let's read it again and says, "Therefore be imitators of God as beloved children, and
[00:05:08.420 --> 00:05:14.220]   walk in love just as Christ also loved you and gave himself up for us, an offering and
[00:05:14.220 --> 00:05:17.340]   a sacrifice to God as a fragrant aroma."
[00:05:17.340 --> 00:05:18.840]   Okay?
[00:05:18.840 --> 00:05:24.060]   When you look at that passage to be truthful, the commands aren't necessarily confusing.
[00:05:24.060 --> 00:05:25.900]   Neither are they hard to incorporate.
[00:05:25.900 --> 00:05:27.500]   They're pretty clear.
[00:05:27.500 --> 00:05:29.420]   And I just want to give a tip of advice.
[00:05:29.420 --> 00:05:33.780]   I know sometimes when you think about Bible study, if you're doing everything about outlining,
[00:05:33.780 --> 00:05:37.660]   observations, asking questions, then you do word studies.
[00:05:37.660 --> 00:05:42.060]   And then you do X, Y, and Z, like the interpretation and then your own applications.
[00:05:42.060 --> 00:05:45.700]   You don't have all the time in the world to do all of it.
[00:05:45.700 --> 00:05:46.700]   Okay?
[00:05:46.700 --> 00:05:50.780]   So a lot of times what I do is I read the passage first, just run through and then start
[00:05:50.780 --> 00:05:54.620]   kind of deciding, is this a passage where I have to do a lot of word studies because
[00:05:54.620 --> 00:06:00.220]   there are unique words or words that aren't so commonly seen?
[00:06:00.220 --> 00:06:05.140]   What's more, other times like this when there's clear commands, what I like to do is actually
[00:06:05.140 --> 00:06:07.060]   take time to meditate.
[00:06:07.060 --> 00:06:09.540]   I want to give you an example of that.
[00:06:09.540 --> 00:06:14.020]   For example, if I'm just simply doing my devotions, I would take the first top two verses as opposed
[00:06:14.020 --> 00:06:18.540]   to all six, and then I would start asking immediately questions about what I understand
[00:06:18.540 --> 00:06:20.100]   about this.
[00:06:20.100 --> 00:06:24.140]   For example, in an interpretive way, you would ask the question, "Therefore be imitators,"
[00:06:24.140 --> 00:06:27.060]   and you would ask, "What does it mean to imitate?"
[00:06:27.060 --> 00:06:29.540]   What's the Greek word for that or something like that?
[00:06:29.540 --> 00:06:32.980]   But another way you can do it by meditation is asking, "Is this the way I'm thinking
[00:06:32.980 --> 00:06:35.180]   about my life circumstances?"
[00:06:35.180 --> 00:06:40.300]   A lot of times when we look at a life circumstance, let's say difficulty, stress, or hardship,
[00:06:40.300 --> 00:06:43.980]   I'm more so asking the question, "How do I get out?"
[00:06:43.980 --> 00:06:47.220]   Am I asking the question, "How do I be like God in this?
[00:06:47.220 --> 00:06:49.580]   How do I be godly?"
[00:06:49.580 --> 00:06:52.500]   What's more, as beloved children, meditate.
[00:06:52.500 --> 00:06:56.580]   What difference does it make that I'm a child of God in this expectation to imitate God?
[00:06:56.580 --> 00:06:57.980]   What difference does it make?
[00:06:57.980 --> 00:07:00.980]   As opposed to saying, "Imitate God as a slave.
[00:07:00.980 --> 00:07:04.500]   Imitate God as somebody who was once far and now close."
[00:07:04.500 --> 00:07:06.660]   What difference does that make for me?
[00:07:06.660 --> 00:07:08.780]   What's more, to walk in love.
[00:07:08.780 --> 00:07:14.820]   I have to ask myself, in my current concept of God's expectation for me to be loving,
[00:07:14.820 --> 00:07:17.100]   what is the picture?
[00:07:17.100 --> 00:07:18.740]   What is a specific example?
[00:07:18.740 --> 00:07:23.940]   What's more, I have to ask myself the question, "Am I walking in love according to all the
[00:07:23.940 --> 00:07:29.540]   stuff that I've learned in Ephesians, or is my normal pattern of life marked by fear?
[00:07:29.540 --> 00:07:30.940]   I'm walking in suspicion.
[00:07:30.940 --> 00:07:32.540]   I'm walking in doubt.
[00:07:32.540 --> 00:07:36.940]   Maybe I'm even walking in self-righteousness or even hatred."
[00:07:36.940 --> 00:07:40.980]   Another question, "Just as Christ also loved you and gave himself up for us, it's very
[00:07:40.980 --> 00:07:43.980]   clear really quickly that Jesus is the example and the model."
[00:07:43.980 --> 00:07:44.980]   Yes.
[00:07:44.980 --> 00:07:50.020]   But what is a case example of a specific application of this?
[00:07:50.020 --> 00:07:53.580]   Another one, "An offering and sacrifice to God as a fragrant aroma.
[00:07:53.580 --> 00:07:57.340]   Meditate, how is God seeing my actions?
[00:07:57.340 --> 00:08:02.900]   If my actions follow Christ's model, how is he seeing me?"
[00:08:02.900 --> 00:08:05.300]   Those are all questions to be really reflected.
[00:08:05.300 --> 00:08:07.540]   I'd recommend just journaling all that.
[00:08:07.540 --> 00:08:08.540]   Okay?
[00:08:08.540 --> 00:08:12.300]   Now, for our purposes, we're going to tackle the main commandments and ask the question,
[00:08:12.300 --> 00:08:13.300]   "What are they?"
[00:08:13.300 --> 00:08:16.500]   And the two of them I've already highlighted for you there.
[00:08:16.500 --> 00:08:19.940]   Let's tackle the first about being imitators of God.
[00:08:19.940 --> 00:08:27.180]   Now, in terms of the term, I'll identify that the Greek word is to essentially mimic.
[00:08:27.180 --> 00:08:32.820]   And we are talking about, in the Greek, it's used sometimes of impersonating an individual.
[00:08:32.820 --> 00:08:39.460]   So an actor who is not necessarily pretending, but behaving and mimicking another person.
[00:08:39.460 --> 00:08:44.580]   So when you think about this, we have to ask the question, just simply, "Okay, I am supposed
[00:08:44.580 --> 00:08:48.900]   to actually reflect God in many different ways."
[00:08:48.900 --> 00:08:55.900]   And so by way of meditation, you should be thinking about, "Okay, if I am thinking about
[00:08:55.900 --> 00:09:00.580]   being like God, do I have the categories in my head, whether it be stressful moments or
[00:09:00.580 --> 00:09:06.100]   circumstances of my life, that I want to be walking according to his pattern?
[00:09:06.100 --> 00:09:10.060]   That I'm walking according to the things that I already understand and know about him, his
[00:09:10.060 --> 00:09:11.580]   character traits?"
[00:09:11.580 --> 00:09:16.020]   You see, to us, we believe that God is an incredibly consistent individual.
[00:09:16.020 --> 00:09:17.500]   So consistent, he's predictable.
[00:09:17.500 --> 00:09:19.580]   What do I mean?
[00:09:19.580 --> 00:09:21.660]   You guys recall Jonah.
[00:09:21.660 --> 00:09:24.940]   Jonah knew that God was so predictable.
[00:09:24.940 --> 00:09:30.460]   He said, "If I go into that city of the Ninevites and I preach judgment and they repent, I know
[00:09:30.460 --> 00:09:31.460]   what's going to happen.
[00:09:31.460 --> 00:09:35.900]   I knew it," he said, "you're going to show mercy."
[00:09:35.900 --> 00:09:41.600]   In that way, do we know enough about the patterns of God and his character that I can also be
[00:09:41.600 --> 00:09:43.500]   consistent in that fashion?
[00:09:43.500 --> 00:09:49.500]   I need to be like him in his pattern of faithfulness, his truthfulness, his love, and so on.
[00:09:49.500 --> 00:09:54.540]   Now the emphatic commandment and expectation is there, but there's something also interesting
[00:09:54.540 --> 00:09:58.220]   to observe, which is, he says, "As beloved children."
[00:09:58.220 --> 00:10:00.000]   What is this?
[00:10:00.000 --> 00:10:04.140]   As I looked at it, I observed that this is an incredible motivation for us to be imitators
[00:10:04.140 --> 00:10:06.220]   of God.
[00:10:06.220 --> 00:10:10.860]   Now you could think of this and say, "No, our child relationship, that relationship
[00:10:10.860 --> 00:10:13.580]   is the foundation by which we imitate God."
[00:10:13.580 --> 00:10:19.140]   True, but when you think about what it is that children do, we realize it's an incredible
[00:10:19.140 --> 00:10:20.140]   motivation.
[00:10:20.140 --> 00:10:25.700]   I want to show you a passage from 1 John 3 that talks so much about the connection between
[00:10:25.700 --> 00:10:30.820]   our relationship as children and then also then our mimicking God's character.
[00:10:30.820 --> 00:10:33.500]   So here, let me take a moment to read to us this passage.
[00:10:33.500 --> 00:10:39.100]   "Beloved, now we are children of God, and it has not yet, oh sorry, not appeared as
[00:10:39.100 --> 00:10:40.940]   yet what we will be.
[00:10:40.940 --> 00:10:45.580]   We know that when he appears, we will be like him because we see him, we will see him just
[00:10:45.580 --> 00:10:46.980]   as he is.
[00:10:46.980 --> 00:10:53.260]   And everyone who has this hope fixed on him purifies himself just as he is pure.
[00:10:53.260 --> 00:10:56.700]   Little children, make sure no one deceives you.
[00:10:56.700 --> 00:11:01.640]   The one who practices righteousness is righteous just as he is righteous.
[00:11:01.640 --> 00:11:06.740]   The one who practices sin is of the devil, for the devil has sinned from the beginning.
[00:11:06.740 --> 00:11:10.800]   The Son of God appeared for this purpose to destroy the works of the devil.
[00:11:10.800 --> 00:11:16.420]   No one who is born of God practices sin because his seed abides in him, and he cannot sin
[00:11:16.420 --> 00:11:18.940]   because he is born of God.
[00:11:18.940 --> 00:11:22.700]   By this, the children of God and the children of the devil are obvious.
[00:11:22.700 --> 00:11:27.140]   Anyone who does not practice righteousness is not of God, nor the one who does not love
[00:11:27.140 --> 00:11:28.680]   his brother.
[00:11:28.680 --> 00:11:32.880]   For this is the message which you have heard from the beginning, that we should love one
[00:11:32.880 --> 00:11:35.000]   another."
[00:11:35.000 --> 00:11:41.020]   That there is an incredible motivation for you to have this mentality, "I need to be
[00:11:41.020 --> 00:11:42.020]   like God."
[00:11:42.020 --> 00:11:43.020]   Why?
[00:11:43.020 --> 00:11:45.240]   Because you're of him, you're his child.
[00:11:45.240 --> 00:11:49.080]   The identity that you are his, you reflect him.
[00:11:49.080 --> 00:11:52.280]   Essentially, it's like you look like him.
[00:11:52.280 --> 00:11:54.920]   No, that's gotta be his son.
[00:11:54.920 --> 00:11:55.920]   Look at it.
[00:11:55.920 --> 00:11:59.520]   God has nose, God has ears, God has eyes.
[00:11:59.520 --> 00:12:03.960]   Our reflection of God shows us who we are.
[00:12:03.960 --> 00:12:08.800]   So with that thinking, I want you to just to think about the connections there.
[00:12:08.800 --> 00:12:11.040]   What a privilege.
[00:12:11.040 --> 00:12:14.680]   What a unique privilege to be called son of God.
[00:12:14.680 --> 00:12:18.120]   So essentially, God has already established that foundation.
[00:12:18.120 --> 00:12:22.840]   God has already given us that motivation, given us the entire context by which we're
[00:12:22.840 --> 00:12:28.080]   supposed to be then walking according to his pattern, to his model, to everything that
[00:12:28.080 --> 00:12:30.320]   he's shown us about himself.
[00:12:30.320 --> 00:12:35.480]   And I just want to say that's something to us like a massive privilege.
[00:12:35.480 --> 00:12:44.040]   For God to want us to be like him, to emulate him, that to us is a massive grace to us.
[00:12:44.040 --> 00:12:48.520]   And we should have an attitude of thankfulness as we think about that.
[00:12:48.520 --> 00:12:54.760]   But again, in way of meditation on that, is this the way you're thinking intentionally?
[00:12:54.760 --> 00:13:00.520]   Meaning when was the last time you were specifically in a scenario and you intentionally thought,
[00:13:00.520 --> 00:13:01.600]   you know what?
[00:13:01.600 --> 00:13:04.080]   I need to be more like God here.
[00:13:04.080 --> 00:13:06.320]   I need to be more like my father.
[00:13:06.320 --> 00:13:08.240]   And that's the challenge I want to give to you.
[00:13:08.240 --> 00:13:13.800]   Again, within specific moments of stress, hardship, or difficulty, it is in our fleshly
[00:13:13.800 --> 00:13:18.320]   nature to say, how do I best escape this?
[00:13:18.320 --> 00:13:20.280]   How do I eliminate the threat?
[00:13:20.280 --> 00:13:25.320]   That's just a typical rationale of somebody living in this world.
[00:13:25.320 --> 00:13:29.560]   But for us who know the father, the passage in John tells us that we need to be thinking
[00:13:29.560 --> 00:13:30.560]   differently.
[00:13:30.560 --> 00:13:35.000]   What's more, the passage commands us to walk in love.
[00:13:35.000 --> 00:13:42.200]   Essentially, a primary way by which we reflect God and show his character is by loving.
[00:13:42.200 --> 00:13:47.220]   And so much so, remember the scriptures in 1 John teach us that if you're not loving,
[00:13:47.220 --> 00:13:49.080]   that means you probably haven't seen God.
[00:13:49.080 --> 00:13:53.240]   You probably don't know God because he is love.
[00:13:53.240 --> 00:13:54.280]   It goes hand in hand.
[00:13:54.280 --> 00:14:00.080]   If we've seen him, if we've actually experienced him, then we would also then emulate.
[00:14:00.080 --> 00:14:03.340]   But what's more, I want to challenge us by doing this.
[00:14:03.340 --> 00:14:08.520]   In the book of Ephesians especially, we have seen so many aspects of God's love.
[00:14:08.520 --> 00:14:13.080]   And if we're saying we're supposed to be walking in that, and we're supposed to be imitating
[00:14:13.080 --> 00:14:17.880]   that, do you recall, are you able to put a picture to the kind of love we're supposed
[00:14:17.880 --> 00:14:20.800]   to express?
[00:14:20.800 --> 00:14:22.720]   Really briefly, you don't have to write all these down.
[00:14:22.720 --> 00:14:25.600]   Maybe even just jot down the things that I've bolded for you here.
[00:14:25.600 --> 00:14:31.380]   Number one, remember that in chapter one, Apostle Paul said, "God has blessed you with
[00:14:31.380 --> 00:14:35.080]   every spiritual blessing in the heavenlies in Christ."
[00:14:35.080 --> 00:14:36.480]   He's lavished us.
[00:14:36.480 --> 00:14:43.120]   But what's more, in chapter one, Apostle Paul taught us that God's love is so purposeful.
[00:14:43.120 --> 00:14:47.720]   It's so intentional and it's so personal.
[00:14:47.720 --> 00:14:50.280]   God is not just generally saying, "I pray for you all.
[00:14:50.280 --> 00:14:51.280]   I have good thoughts.
[00:14:51.280 --> 00:14:53.520]   Sending my thoughts your way."
[00:14:53.520 --> 00:14:56.640]   His plan is so meticulous.
[00:14:56.640 --> 00:15:03.520]   It's so intentional and wanting our good, and wanting us also to experience his glory.
[00:15:03.520 --> 00:15:06.560]   And then it's tied with also his wisdom.
[00:15:06.560 --> 00:15:08.620]   It's tied with his insight.
[00:15:08.620 --> 00:15:11.240]   It's not just, "You know, I'm just going to give you, give you, give you, whether it hurts
[00:15:11.240 --> 00:15:13.320]   you or not, whether you get fat or whatever it may be.
[00:15:13.320 --> 00:15:14.960]   I'm just going to shove it in your mouth."
[00:15:14.960 --> 00:15:16.320]   That's not what he's doing, is it?
[00:15:16.320 --> 00:15:19.240]   It's in accordance with all of his wisdom.
[00:15:19.240 --> 00:15:21.000]   It's in accordance with all of his strength.
[00:15:21.000 --> 00:15:22.920]   It's in accordance with all of his might.
[00:15:22.920 --> 00:15:27.600]   What's more, chapter two taught us that although we were dead in our transgressions and sins,
[00:15:27.600 --> 00:15:31.400]   he was so rich in his mercy.
[00:15:31.400 --> 00:15:36.160]   The chapter two in Ephesians is so beautiful in how it contrasts.
[00:15:36.160 --> 00:15:40.600]   There was such darkness and you walked accordance to this, but he was so rich in his mercy.
[00:15:40.600 --> 00:15:42.960]   What's more, it says, "You were so far.
[00:15:42.960 --> 00:15:43.960]   You were so far.
[00:15:43.960 --> 00:15:44.960]   You had no hope.
[00:15:44.960 --> 00:15:45.960]   You had no God.
[00:15:45.960 --> 00:15:50.080]   You were separated from the commonwealth of Israel, but he has brought you near."
[00:15:50.080 --> 00:15:55.760]   What's more, in chapter three, scripture says that he has shared his promise with us.
[00:15:55.760 --> 00:15:58.560]   God has shared his inheritance.
[00:15:58.560 --> 00:15:59.800]   It was a mystery, he says.
[00:15:59.800 --> 00:16:04.640]   And this mystery, people did not understand, but it's being revealed that we, the Gentiles,
[00:16:04.640 --> 00:16:09.700]   get to be fellow heirs, fellow partakers of the promise.
[00:16:09.700 --> 00:16:11.560]   That is so crazy.
[00:16:11.560 --> 00:16:14.720]   What generosity of God's love.
[00:16:14.720 --> 00:16:18.040]   What's more, chapter four says that we ought to be humble.
[00:16:18.040 --> 00:16:20.840]   Our love should be unifying.
[00:16:20.840 --> 00:16:25.380]   Scripture commands us that we are designed to be a household of God and our love for
[00:16:25.380 --> 00:16:30.660]   one another should pretty much draw us together in Christ.
[00:16:30.660 --> 00:16:34.880]   And then chapter four ends by saying, "Be kind to one another, tenderhearted, forgiving
[00:16:34.880 --> 00:16:39.360]   each other, just as God in Christ also has forgiven you."
[00:16:39.360 --> 00:16:42.960]   It is a forgiving kind of love.
[00:16:42.960 --> 00:16:47.240]   Now within this passage, it shows us more.
[00:16:47.240 --> 00:16:56.460]   It shows us more in the expectation set by Christ's model, which also is to us the motivation.
[00:16:56.460 --> 00:17:01.080]   That this love that Christ showed to us is incredibly sacrificial.
[00:17:01.080 --> 00:17:03.400]   Jesus has shed his blood.
[00:17:03.400 --> 00:17:07.200]   Jesus sacrificed his life voluntarily.
[00:17:07.200 --> 00:17:14.880]   See, I think in our day, we, you know, just by force of habit, use the love, use the term
[00:17:14.880 --> 00:17:20.360]   love very flippantly as things pertaining to the things that just make us happy.
[00:17:20.360 --> 00:17:26.000]   And that's not bad because love has with it the thought of things that are satisfying,
[00:17:26.000 --> 00:17:27.760]   things that are so delightful.
[00:17:27.760 --> 00:17:31.920]   And so the things that really bring joy to our heart, we say, "I love that."
[00:17:31.920 --> 00:17:34.900]   But the thing is, we say stuff like, "I love food.
[00:17:34.900 --> 00:17:37.000]   I love material things.
[00:17:37.000 --> 00:17:38.000]   I love to be here.
[00:17:38.000 --> 00:17:39.000]   I love to be there."
[00:17:39.000 --> 00:17:43.360]   And all of those things are not wicked and sinful because there is within things that
[00:17:43.360 --> 00:17:46.960]   we love, things that bring us pleasure.
[00:17:46.960 --> 00:17:55.040]   But here, Christ's love transcends because his love leads him to bear cost, to bear a
[00:17:55.040 --> 00:17:59.900]   burden all for our benefit, all for our good.
[00:17:59.900 --> 00:18:06.640]   And so within that, scripture says he is challenging us to do a kind of love that is sacrificial
[00:18:06.640 --> 00:18:13.960]   like his, which ultimately becomes an offering and a sacrifice to God as a flagrant Roma.
[00:18:13.960 --> 00:18:16.340]   We're thinking about motivations here.
[00:18:16.340 --> 00:18:20.400]   And one of the greatest motivations that we have for doing anything is that it pleases
[00:18:20.400 --> 00:18:21.560]   our Father.
[00:18:21.560 --> 00:18:23.320]   It pleases our God.
[00:18:23.320 --> 00:18:26.640]   Think about how illustrative and descriptive this is.
[00:18:26.640 --> 00:18:33.440]   That when God sees us empowered by the sacrificial love of Christ, being strengthened to be able
[00:18:33.440 --> 00:18:39.280]   to love beyond reason, beyond just logistics and practicalities and to sacrifice things,
[00:18:39.280 --> 00:18:45.360]   time, energy, money, whatever it may be, to love other people.
[00:18:45.360 --> 00:18:48.480]   God sees that as a pleasant aroma.
[00:18:48.480 --> 00:18:53.560]   Now I was thinking of like analogies for this, but I didn't know if it was appropriate because
[00:18:53.560 --> 00:19:01.760]   I'm trying to picture God being pleased by his children loving one another, loving others.
[00:19:01.760 --> 00:19:05.320]   I can't use just the analogy that I thought was of like coffee.
[00:19:05.320 --> 00:19:09.600]   Like when I smell coffee, it's just, even the smell wakes me up.
[00:19:09.600 --> 00:19:11.680]   It doesn't do justice.
[00:19:11.680 --> 00:19:14.280]   It doesn't compare.
[00:19:14.280 --> 00:19:19.720]   Probably best way to think about it is when you're a parent and you see your siblings,
[00:19:19.720 --> 00:19:23.400]   what frustrates you is not, "Oh, you didn't do your chores."
[00:19:23.400 --> 00:19:29.160]   When the siblings fight, when brother and brother hurt each other, it's enraging.
[00:19:29.160 --> 00:19:30.840]   How dare you?
[00:19:30.840 --> 00:19:37.080]   But when they are taking care of each other, when a child is trying to actually help the
[00:19:37.080 --> 00:19:41.400]   other person, maybe even say, "Oh, here, you take this first," right?
[00:19:41.400 --> 00:19:44.160]   You just, it brings you joy.
[00:19:44.160 --> 00:19:45.760]   It doesn't necessarily do anything for you.
[00:19:45.760 --> 00:19:49.600]   You're not like receiving the benefit of that, but it just brings you joy.
[00:19:49.600 --> 00:19:50.600]   That's our father.
[00:19:50.600 --> 00:19:53.520]   A father seeing the children love one another.
[00:19:53.520 --> 00:19:54.880]   All right.
[00:19:54.880 --> 00:19:58.820]   We spent some extra time on that and let's move to point number two.
[00:19:58.820 --> 00:20:03.720]   Point number two, if the first two verses was the command, the next two verses, verses
[00:20:03.720 --> 00:20:06.480]   three and four is the rationale, right?
[00:20:06.480 --> 00:20:11.720]   And what he tells us is you need to behave that way because that's appropriate for you.
[00:20:11.720 --> 00:20:17.320]   But the other things of the world, immorality, impurity, and greed, these, it is absolutely
[00:20:17.320 --> 00:20:18.320]   inappropriate.
[00:20:18.320 --> 00:20:22.600]   And so I've entitled it, "It Doesn't Fit At All."
[00:20:22.600 --> 00:20:27.720]   What he says is, "But immorality or any impurity or greed must not even be named among you
[00:20:27.720 --> 00:20:30.080]   as is proper among saints.
[00:20:30.080 --> 00:20:34.800]   There must be no filthiness and silly talk or coarse jesting, which are not fitting,
[00:20:34.800 --> 00:20:37.320]   but rather giving of thanks."
[00:20:37.320 --> 00:20:43.080]   What I'd like to highlight for you by way of observation first is not the contents of
[00:20:43.080 --> 00:20:48.120]   the immoral stuff, but actually the strength of the prohibition.
[00:20:48.120 --> 00:20:50.760]   What I mean by that is, look how emphatic this is.
[00:20:50.760 --> 00:20:56.680]   He says, "Of these things, they must not even be named among you."
[00:20:56.680 --> 00:20:59.680]   That's really strong, as is proper among saints.
[00:20:59.680 --> 00:21:02.520]   So essentially saying this is not proper for the saints.
[00:21:02.520 --> 00:21:07.000]   He says, "There must be no filthiness and silly talk or coarse jesting, which is not
[00:21:07.000 --> 00:21:08.000]   fitting."
[00:21:08.000 --> 00:21:09.000]   It doesn't fit.
[00:21:09.000 --> 00:21:16.320]   I like the way NIV says, it says, "But among you, there must not even be a hint of sexual
[00:21:16.320 --> 00:21:17.320]   immorality."
[00:21:17.320 --> 00:21:18.320]   Right?
[00:21:18.320 --> 00:21:22.640]   "Your name and this stuff shouldn't even be in the same sentence.
[00:21:22.640 --> 00:21:26.280]   It shouldn't be mentioned among you guys," essentially what it's saying.
[00:21:26.280 --> 00:21:33.240]   And so when we look at this strong exhortation, the strong commandment, we have to appreciate
[00:21:33.240 --> 00:21:36.680]   this extreme measure, so to speak.
