
[00:00:00.000 --> 00:00:01.360]   All right, welcome.
[00:19:31.340 --> 00:19:32.840]   If I say give yourselves a hand.
[00:19:32.840 --> 00:19:34.580]   (audience laughs)
[00:19:34.580 --> 00:19:39.580]   All right, 2000 to 1500, you have Genesis, Exodus,
[00:19:39.580 --> 00:19:43.180]   Leviticus, Numbers, and Deuteronomy, okay?
[00:19:43.180 --> 00:19:45.180]   Genesis, Exodus, Leviticus, Numbers, Deuteronomy,
[00:19:45.180 --> 00:19:47.660]   no problems there because usually when you start
[00:19:47.660 --> 00:19:51.020]   reading your Bible, these get read up until you get
[00:19:51.020 --> 00:19:53.660]   to Numbers and Deuteronomy and then they get skimmed.
[00:19:53.660 --> 00:19:55.260]   And then by the time you get to Joshua,
[00:19:55.260 --> 00:19:58.540]   then they get forgotten a lot of times, right?
[00:19:58.540 --> 00:20:00.740]   I've probably read the book of Genesis more than any
[00:20:00.740 --> 00:20:02.740]   other book in my whole life.
[00:20:02.740 --> 00:20:05.380]   And I'm sure that's not uncommon, okay?
[00:20:05.380 --> 00:20:07.140]   'Cause Genesis is fun.
[00:20:07.140 --> 00:20:12.140]   Exodus is halfway fun and then it starts getting confusing.
[00:20:12.140 --> 00:20:14.660]   All right, but those five books, we're not gonna spend
[00:20:14.660 --> 00:20:17.900]   too much time, but with each of the 39 books of the Bible
[00:20:17.900 --> 00:20:21.260]   during the next six weeks, I'm gonna give you a key
[00:20:21.260 --> 00:20:25.100]   to remember the main theme for each book.
[00:20:25.100 --> 00:20:27.700]   So that when you actually go to study it on your own,
[00:20:27.700 --> 00:20:29.940]   it's not a daunting task.
[00:20:29.940 --> 00:20:31.440]   What do you see in the middle?
[00:20:31.440 --> 00:20:36.340]   A big N, right?
[00:20:36.340 --> 00:20:42.260]   So the key to remember Genesis is big N-ings, okay?
[00:20:42.260 --> 00:20:46.660]   Big N-ings.
[00:20:46.660 --> 00:20:49.780]   And this isn't just about the cosmos,
[00:20:49.780 --> 00:20:53.700]   but who was the first audience that received
[00:20:53.700 --> 00:20:55.560]   the book of Genesis, do you guys know?
[00:20:56.940 --> 00:21:01.460]   The people in the wilderness, because who wrote this book?
[00:21:01.460 --> 00:21:03.580]   Moses, he gave it to the people in the wilderness.
[00:21:03.580 --> 00:21:06.120]   After the wilderness, he was gone, all right?
[00:21:06.120 --> 00:21:08.440]   So they probably were wondering,
[00:21:08.440 --> 00:21:10.860]   where did we all come from?
[00:21:10.860 --> 00:21:12.220]   How did we end up here?
[00:21:12.220 --> 00:21:13.740]   'Cause everybody's under 40 years old,
[00:21:13.740 --> 00:21:14.700]   except for three people.
[00:21:14.700 --> 00:21:16.380]   How in the world did we end up here
[00:21:16.380 --> 00:21:21.180]   and we're all our elderly people, except you three, okay?
[00:21:21.180 --> 00:21:24.620]   So you are tracing backward in Genesis.
[00:21:24.620 --> 00:21:26.720]   The most ink is devoted to Joseph,
[00:21:26.720 --> 00:21:28.940]   because that answers the question,
[00:21:28.940 --> 00:21:31.860]   how did we get here, into this wilderness, right?
[00:21:31.860 --> 00:21:35.860]   And then you go back and farther and farther,
[00:21:35.860 --> 00:21:37.240]   and then you get the creation account,
[00:21:37.240 --> 00:21:40.000]   which is only like two chapters, okay?
[00:21:40.000 --> 00:21:41.620]   The more ink in the Old Testament
[00:21:41.620 --> 00:21:44.220]   that's devoted to a section or a theme,
[00:21:44.220 --> 00:21:47.420]   the more it is important, so kinda keep that in mind.
[00:21:47.420 --> 00:21:52.420]   So Joseph's story is probably the main theme
[00:21:52.420 --> 00:21:56.500]   or purpose for the book of Genesis, not creation.
[00:21:56.500 --> 00:21:59.220]   Even though you can get creation-related things
[00:21:59.220 --> 00:22:01.260]   from the book of Genesis, but it's about beginnings.
[00:22:01.260 --> 00:22:02.540]   The beginnings of the people of God,
[00:22:02.540 --> 00:22:06.700]   the beginnings of the universe, okay?
[00:22:06.700 --> 00:22:10.780]   So the first verse says, "In the beginning, God created."
[00:22:10.780 --> 00:22:13.920]   So Genesis is no problem because you guys all know, okay?
[00:22:13.920 --> 00:22:18.920]   But as we track through Malachi, Zephaniah, Zechariah,
[00:22:18.920 --> 00:22:21.780]   these pictures are gonna start to help, okay?
[00:22:21.780 --> 00:22:22.940]   But we're gonna do eight today.
[00:22:22.940 --> 00:22:27.060]   The second one, what's this picture of?
[00:22:27.060 --> 00:22:31.380]   Exit from, what's in the background?
[00:22:31.380 --> 00:22:39.040]   Pyramids, camels, Egypt, okay?
[00:22:39.040 --> 00:22:42.980]   So no problem, exit from Egypt is what
[00:22:42.980 --> 00:22:45.220]   the book of Exodus is mainly about.
[00:22:51.040 --> 00:22:56.040]   The next book, what's this guy got on his hands?
[00:22:56.040 --> 00:23:04.240]   On one hand, he has money, not chicken, he has food,
[00:23:04.240 --> 00:23:07.880]   okay, he has food and money, okay?
[00:23:07.880 --> 00:23:12.720]   Think feasts and offerings, all right?
[00:23:12.720 --> 00:23:16.760]   The big question for Leviticus is how does a sinful man
[00:23:16.760 --> 00:23:20.480]   relate to a holy God and what is prescribed
[00:23:20.480 --> 00:23:23.200]   are a lot of feasts and offerings.
[00:23:23.200 --> 00:23:26.680]   So the guy's getting his left foot kissed, all right?
[00:23:26.680 --> 00:23:31.160]   So that's how you remember Leviticus, left foot kiss.
[00:23:31.160 --> 00:23:33.720]   Leviticus, okay?
[00:23:33.720 --> 00:23:37.080]   Sounds a little bit profane, left foot kiss, all right?
[00:23:37.080 --> 00:23:39.000]   And then you'll remember feasts and offerings,
[00:23:39.000 --> 00:23:41.640]   how does sinful man relate to holy God?
[00:23:41.640 --> 00:23:48.320]   The next book is numbers.
[00:23:49.800 --> 00:23:51.500]   And what are these numbers doing?
[00:23:51.500 --> 00:23:58.200]   They are wandering, are they wandering in a mall?
[00:23:58.200 --> 00:24:01.660]   Are they wandering in the ocean?
[00:24:01.660 --> 00:24:02.920]   Where are they wandering?
[00:24:02.920 --> 00:24:06.200]   In wilderness, okay?
[00:24:06.200 --> 00:24:11.200]   The book of Numbers is about wanderings, okay?
[00:24:11.200 --> 00:24:14.360]   So what you wanna write down is numbers
[00:24:14.360 --> 00:24:17.100]   wandering in the wilderness.
[00:24:19.500 --> 00:24:21.300]   Numbers wandering in the wilderness.
[00:24:21.300 --> 00:24:30.140]   And then there's a duet here, running on a me.
[00:24:30.140 --> 00:24:32.560]   You guys get that?
[00:24:32.560 --> 00:24:33.400]   (mimics drum roll)
[00:24:33.400 --> 00:24:35.900]   Okay, duet run on me.
[00:24:35.900 --> 00:24:38.160]   Okay, that's how you remember duet run on me.
[00:24:38.160 --> 00:24:42.900]   And it says second law, okay?
[00:24:42.900 --> 00:24:46.860]   There are no two laws, but it's a second generation
[00:24:47.980 --> 00:24:49.860]   of those who receive the law, okay?
[00:24:49.860 --> 00:24:52.980]   So the key you wanna write down is duet run on me
[00:24:52.980 --> 00:24:56.860]   and the law of God to the second generation.
[00:24:56.860 --> 00:25:04.820]   Everybody that left Exodus, or everyone that left Egypt
[00:25:04.820 --> 00:25:08.780]   with the exception of three people are currently dead.
[00:25:08.780 --> 00:25:15.340]   Joshua is alive, Caleb is alive, Moses is alive.
[00:25:17.180 --> 00:25:22.180]   Everyone else over 40, gone, dead, okay?
[00:25:22.180 --> 00:25:26.740]   There is some overlap between numbers and duet run on me.
[00:25:26.740 --> 00:25:30.400]   If you read it, it kinda seems like it should be one book.
[00:25:30.400 --> 00:25:31.220]   All right?
[00:25:31.220 --> 00:25:35.240]   The book of Numbers, to remember it simply is this.
[00:25:35.240 --> 00:25:39.660]   It's basically like the number of people
[00:25:39.660 --> 00:25:43.340]   wandering in the wilderness, and why are they wandering?
[00:25:43.340 --> 00:25:44.860]   The book of Numbers basically says
[00:25:44.860 --> 00:25:49.500]   they are wandering because of their sin, okay?
[00:25:49.500 --> 00:25:52.220]   Duet run on me is written right before they enter
[00:25:52.220 --> 00:25:54.780]   into the promised land like a contract.
[00:25:54.780 --> 00:25:59.380]   Now, all of your people died, so I am Yahweh.
[00:25:59.380 --> 00:26:01.460]   If you obey me, these are the blessings.
[00:26:01.460 --> 00:26:04.700]   If you disobey me, these are the curses.
[00:26:04.700 --> 00:26:07.620]   So it's written like a contract, the book of duet run on me.
[00:26:07.620 --> 00:26:09.540]   It talks about things about how many horses
[00:26:09.540 --> 00:26:12.900]   a king should have, if there should even be a king.
[00:26:12.900 --> 00:26:15.580]   It even says in the day you ask for a king,
[00:26:15.580 --> 00:26:17.500]   this is what kind of king you need to have.
[00:26:17.500 --> 00:26:22.140]   Duet run on me has a contract between man and God, okay?
[00:26:22.140 --> 00:26:23.460]   To the second generation.
[00:26:23.460 --> 00:26:26.540]   But in the book of duet run on me, what's interesting is
[00:26:26.540 --> 00:26:30.140]   the reason for the Israelites wandering is not their sin.
[00:26:30.140 --> 00:26:32.220]   The Bible says in duet run on me eight,
[00:26:32.220 --> 00:26:33.860]   the reason the people of God are wandering
[00:26:33.860 --> 00:26:36.660]   is because God's putting them to test.
[00:26:36.660 --> 00:26:38.220]   So if you only read the book of Numbers,
[00:26:38.220 --> 00:26:40.020]   you're like, dude, Israel sucks.
[00:26:40.020 --> 00:26:41.020]   But if you're looking at duet run on me,
[00:26:41.020 --> 00:26:42.480]   It's like, dude, God sucks
[00:26:42.480 --> 00:26:45.780]   'cause he just threw them into the wilderness like that.
[00:26:45.780 --> 00:26:48.660]   If numbers is the fact,
[00:26:48.660 --> 00:26:51.760]   Deuteronomy serves as a commentary
[00:26:51.760 --> 00:26:54.680]   from God's perspective on the facts.
[00:26:54.680 --> 00:26:57.360]   Nod your head if that makes sense.
[00:26:57.360 --> 00:27:00.860]   This is what we're gonna do.
[00:27:00.860 --> 00:27:02.320]   We're gonna do a quick review.
[00:27:02.320 --> 00:27:05.760]   Five, 12, five, five, 12,
[00:27:05.760 --> 00:27:08.020]   five, 12, five, five, 12.
[00:27:08.020 --> 00:27:09.320]   First five is what?
[00:27:10.320 --> 00:27:14.320]   Pentateuch, 12, history,
[00:27:14.320 --> 00:27:17.980]   and then the next five?
[00:27:17.980 --> 00:27:22.560]   Poetry, five, major prophets, 12, minor prophets.
[00:27:22.560 --> 00:27:24.520]   And what's the long way to think,
[00:27:24.520 --> 00:27:26.060]   big picture of the Old Testament?
[00:27:26.060 --> 00:27:29.080]   I am Dr. Jesus, 2,000.
[00:27:29.080 --> 00:27:31.020]   Abraham, 1,500.
[00:27:31.020 --> 00:27:32.620]   Moses, 1,000.
[00:27:32.620 --> 00:27:34.620]   David, 500.
[00:27:34.620 --> 00:27:36.820]   Returns, and zero?
[00:27:36.820 --> 00:27:38.160]   Jesus, okay.
[00:27:38.160 --> 00:27:39.780]   What's the book of Genesis about?
[00:27:39.780 --> 00:27:43.160]   Beginnings, exit us.
[00:27:43.160 --> 00:27:46.320]   Egypt, exit from Egypt.
[00:27:46.320 --> 00:27:48.560]   Leviticus, left foot kiss.
[00:27:48.560 --> 00:27:52.120]   Feast and offerings, okay.
[00:27:52.120 --> 00:27:57.120]   Numbers, wilderness wandering,
[00:27:57.120 --> 00:27:59.760]   Deuteronomy, Deuteronomy.
[00:27:59.760 --> 00:28:04.180]   God's word to the second generation.
[00:28:04.180 --> 00:28:05.180]   Easy enough?
[00:28:05.180 --> 00:28:09.720]   Now, find a partner and go over these questions.
[00:28:09.720 --> 00:28:12.060]   I'm gonna give you three minutes, all right?
[00:28:12.060 --> 00:28:15.520]   Find a partner, and you're gonna switch partners.
[00:28:15.520 --> 00:28:18.360]   So if you're like, dude, this person on my left is nice.
[00:28:18.360 --> 00:28:19.360]   I don't like this person.
[00:28:19.360 --> 00:28:21.780]   You're gonna have to hit up both eventually, all right?
[00:28:21.780 --> 00:28:24.520]   So find a partner and review.
[00:28:24.520 --> 00:28:25.360]   Review.
[00:28:25.360 --> 00:28:39.360]   I hear the cheers, I like it.
[00:28:40.360 --> 00:28:42.600]   (coughing)
[00:28:42.600 --> 00:28:45.760]   (audience chattering)
[00:28:45.760 --> 00:28:48.920]   (audience chattering)
[00:28:48.920 --> 00:28:52.080]   (audience chattering)
[00:28:52.080 --> 00:28:55.240]   (audience chattering)
[00:28:55.240 --> 00:28:58.400]   (audience chattering)
[00:28:58.400 --> 00:29:01.560]   (audience chattering)
[00:29:01.560 --> 00:29:19.820]   (audience chattering)
[00:29:19.820 --> 00:29:22.980]   (audience chattering)
[00:29:22.980 --> 00:29:26.140]   (audience chattering)
[00:29:51.200 --> 00:29:54.120]   I'm gonna give you one more minute.
[00:29:54.120 --> 00:30:09.960]   30 more seconds, 30 more seconds.
[00:30:09.960 --> 00:30:17.160]   If your partner made a mistake,
[00:30:17.160 --> 00:30:20.560]   call 'em out on it and let me know who they are
[00:30:20.560 --> 00:30:22.400]   so we can shame them.
[00:30:22.400 --> 00:30:23.400]   I am Asian.
[00:30:23.400 --> 00:30:26.960]   (audience chattering)
[00:30:26.960 --> 00:30:29.200]   All right, 10 more seconds.
[00:30:29.200 --> 00:30:38.640]   All right.
[00:30:38.640 --> 00:30:41.900]   2,000 to 1,500 is pretty easy
[00:30:41.900 --> 00:30:48.560]   because it's just mostly the five books of Moses, okay?
[00:30:50.160 --> 00:30:53.500]   1,500 to 1,000 is also pretty easy
[00:30:53.500 --> 00:30:55.200]   because there's not much in there
[00:30:55.200 --> 00:30:58.760]   that you necessarily need to remember, all right?
[00:30:58.760 --> 00:31:01.320]   Now, there's a little bit of an offensive thing there.
[00:31:01.320 --> 00:31:04.240]   It's a yo mama joke, all right?
[00:31:04.240 --> 00:31:07.160]   Now, we don't endorse yo mama jokes
[00:31:07.160 --> 00:31:10.520]   'cause usually they're not nice,
[00:31:10.520 --> 00:31:14.260]   but usually they're said in jest, right?
[00:31:14.260 --> 00:31:18.360]   So the next key that I want you guys to remember is
[00:31:18.360 --> 00:31:20.200]   1,500 Mount JK, okay?
[00:31:20.200 --> 00:31:22.540]   What's MT mean?
[00:31:22.540 --> 00:31:25.960]   Usually MT stands for Mountain,
[00:31:25.960 --> 00:31:28.040]   and what's JK stand for?
[00:31:28.040 --> 00:31:29.080]   Just kidding, all right?
[00:31:29.080 --> 00:31:31.120]   You millennials, here we go.
[00:31:31.120 --> 00:31:33.840]   1,500 Mount JK, got it?
[00:31:33.840 --> 00:31:38.120]   5, 12, 5, 5, 12, 5, 12, 5, 5, 12.
[00:31:38.120 --> 00:31:42.760]   I am Dr. Jesus, Mount JK, okay?
[00:31:42.760 --> 00:31:43.760]   The Mount JK
[00:31:44.000 --> 00:31:44.840]   is the J.
[00:31:44.840 --> 00:31:51.420]   M stands for Moses 'cause we're starting at 1,500.
[00:31:51.420 --> 00:31:55.440]   The T, tribes.
[00:31:55.440 --> 00:31:56.960]   That's all you need to remember.
[00:31:56.960 --> 00:32:00.280]   The division of the tribes, life in the tribes,
[00:32:00.280 --> 00:32:05.040]   tribal conflict, tribal warfare, tribes, okay?
[00:32:05.040 --> 00:32:09.000]   And then the J is judges.
[00:32:09.000 --> 00:32:11.920]   And these judges are the ones leading the tribes,
[00:32:11.920 --> 00:32:13.640]   but that's the next thing you need to remember.
[00:32:13.640 --> 00:32:17.840]   Tribes and then judges, and then kings,
[00:32:17.840 --> 00:32:20.000]   and that's all you need to remember, really,
[00:32:20.000 --> 00:32:21.520]   from 1,500 to 1,000.
[00:32:21.520 --> 00:32:25.440]   So you've got Genesis, Exodus, Leviticus, Numbers,
[00:32:25.440 --> 00:32:30.200]   Deuteronomy, and then you have Moses is your marker,
[00:32:30.200 --> 00:32:31.800]   and then there's a time of judges
[00:32:31.800 --> 00:32:34.200]   that lasts for about 400 years,
[00:32:34.200 --> 00:32:38.000]   and there's tribes in there until you get to the kings.
[00:32:38.000 --> 00:32:41.720]   And from the kings on, it's 50% of your Bible.
[00:32:41.720 --> 00:32:45.160]   From the first appearance of Saul, the king,
[00:32:45.160 --> 00:32:47.960]   to Malachi is half your Bible.
[00:32:47.960 --> 00:32:49.880]   So we will get there, okay?
[00:32:49.880 --> 00:32:52.740]   So what's the way to remember 1,500 to 1,000?
[00:32:52.740 --> 00:32:57.600]   Your mama is so dumb that she tried to climb up Mountain
[00:32:57.600 --> 00:33:00.760]   Dew, okay?
[00:33:00.760 --> 00:33:04.180]   But just think Mountain JK, okay?
[00:33:04.180 --> 00:33:05.960]   So think of that your mama joke.
[00:33:05.960 --> 00:33:08.960]   Don't use it, okay, just think of that
[00:33:08.960 --> 00:33:12.040]   just to help you remember this to the glory of God, all right?
[00:33:12.040 --> 00:33:16.120]   So 1,500, you have Moses, but after Moses,
[00:33:16.120 --> 00:33:18.240]   you really only need to concern yourself
[00:33:18.240 --> 00:33:22.680]   with the tribes and then who?
[00:33:22.680 --> 00:33:27.680]   Judges until you get to the last judge/first king, Saul.
[00:33:27.680 --> 00:33:34.080]   Saul was not really like a king.
[00:33:34.080 --> 00:33:37.320]   He ruled like a judge, okay?
[00:33:37.320 --> 00:33:41.120]   So that was Israel's choice for a king,
[00:33:41.120 --> 00:33:46.000]   but they wanted a nice judge, and he was tall, he's handsome
[00:33:46.000 --> 00:33:50.200]   but God's first choice for a real spiritual king was David,
[00:33:50.200 --> 00:33:51.680]   and we'll get there, okay?
[00:33:51.680 --> 00:33:56.680]   So Mount JK, Moses, tribes, judges, kings.
[00:33:56.680 --> 00:34:05.680]   So basically from 2,000 to 1,000,
[00:34:05.680 --> 00:34:10.680]   from Abraham to David, you can kind of be like,
[00:34:10.680 --> 00:34:15.760]   okay, these are the things that are going on.
[00:34:15.760 --> 00:34:17.480]   I don't need to worry about the details,
[00:34:17.480 --> 00:34:20.400]   but this is the theme, okay?
[00:34:20.400 --> 00:34:22.120]   So, so far so good?
[00:34:22.120 --> 00:34:23.820]   Easy to remember?
[00:34:23.820 --> 00:34:25.720]   This is the book of Joshua.
[00:34:25.720 --> 00:34:30.280]   Just remember General Joshua.
[00:34:34.320 --> 00:34:35.760]   And what's he standing over?
[00:34:35.760 --> 00:34:36.800]   What's he conquering?
[00:34:36.800 --> 00:34:40.520]   That's Jericho, actually, okay, all the walls.
[00:34:40.520 --> 00:34:44.080]   Joshua bought the battle of Jericho, Jericho, right?
[00:34:44.080 --> 00:34:47.720]   So it's Jericho, he's squishing on it, okay?
[00:34:47.720 --> 00:34:52.720]   So Joshua is general, and after they conquer,
[00:34:52.720 --> 00:34:56.640]   they break up into tribes, and then they get land.
[00:34:56.640 --> 00:34:59.040]   You guys, that's easy to follow enough, right?
[00:34:59.040 --> 00:35:04.040]   Okay, so you just wanna remember General Joshua
[00:35:04.160 --> 00:35:05.480]   and conquest.
[00:35:05.480 --> 00:35:11.800]   How did the Israelites get their land?
[00:35:11.800 --> 00:35:12.720]   How are they divided?
[00:35:12.720 --> 00:35:13.840]   What were the barrier marks?
[00:35:13.840 --> 00:35:15.080]   What were the borders?
[00:35:15.080 --> 00:35:16.680]   That's all you really need to know.
[00:35:16.680 --> 00:35:20.080]   Where do these tribes dwell?
[00:35:20.080 --> 00:35:28.120]   Joshua is 10 years only, but it's 24 chapters.
[00:35:28.120 --> 00:35:31.720]   So it's 10 years, but it's 24 chapters.
[00:35:31.720 --> 00:35:34.560]   So there's a fast, action-paced,
[00:35:34.560 --> 00:35:38.620]   action-packed book is Joshua, 10 years.
[00:35:38.620 --> 00:35:40.320]   The book of Judges, on the other hand,
[00:35:40.320 --> 00:35:45.040]   is 21 chapters, but it's 400 years, okay?
[00:35:45.040 --> 00:35:47.760]   So you're going from extremely specific in Joshua
[00:35:47.760 --> 00:35:50.160]   to extremely redundant, repetitive,
[00:35:50.160 --> 00:35:53.360]   and general and broad in Judges.
[00:35:53.360 --> 00:35:55.320]   So Judges, you have cycles.
[00:35:55.320 --> 00:35:59.200]   And you have a judge on a cycle.
[00:35:59.200 --> 00:36:01.200]   Easy to remember.
[00:36:01.720 --> 00:36:03.400]   Judges on cycles.
[00:36:03.400 --> 00:36:09.040]   Now for you ladies and your married men,
[00:36:09.040 --> 00:36:10.880]   cycles is a negative word, okay?
[00:36:10.880 --> 00:36:15.360]   So just remember it as a negative word, cycles, okay?
[00:36:15.360 --> 00:36:19.320]   Joshua was 24 chapters in how many years?
[00:36:19.320 --> 00:36:20.240]   10.
[00:36:20.240 --> 00:36:24.920]   Judges is 21 chapters in 400 years.
[00:36:24.920 --> 00:36:28.740]   So that's 40 times the number of years that have passed,
[00:36:28.740 --> 00:36:33.420]   but less ink, okay?
[00:36:33.420 --> 00:36:37.540]   So Judges, you just wanna remember Judges on a cycle, cycles.
[00:36:37.540 --> 00:36:43.300]   So 1500 to 1000, you remember Moses,
[00:36:43.300 --> 00:36:45.700]   and then Mount JK.
[00:36:45.700 --> 00:36:49.300]   Tribes, and then Judges.
[00:36:49.300 --> 00:36:51.180]   Kings.
[00:36:51.180 --> 00:36:53.420]   What are these cycles?
[00:36:53.420 --> 00:36:56.340]   The fourth key is five Rs.
[00:36:57.060 --> 00:37:00.060]   And there's a logical procession,
[00:37:00.060 --> 00:37:03.060]   logical continuance in this five Rs,
[00:37:03.060 --> 00:37:04.300]   so it's not gonna be hard to remember,
[00:37:04.300 --> 00:37:08.500]   but there are five R words that you need to remember.
[00:37:08.500 --> 00:37:11.020]   The first one is rest.
[00:37:11.020 --> 00:37:13.300]   Rest.
[00:37:13.300 --> 00:37:21.100]   The second R is relapse.
[00:37:21.100 --> 00:37:25.100]   You're chilling, and then you find yourself
[00:37:25.100 --> 00:37:28.340]   in a bad situation, and then you fall into sin again.
[00:37:28.340 --> 00:37:29.980]   Relapse.
[00:37:29.980 --> 00:37:33.420]   The third R, ruin.
[00:37:33.420 --> 00:37:37.580]   Relapse leads to ruin, usually,
[00:37:37.580 --> 00:37:39.660]   for any kind of an addict, right?
[00:37:39.660 --> 00:37:40.500]   Ruin.
[00:37:40.500 --> 00:37:45.020]   But usually people who are broken,
[00:37:45.020 --> 00:37:48.620]   and like humbled, and discouraged,
[00:37:48.620 --> 00:37:51.740]   and want change, what do they do?
[00:37:51.740 --> 00:37:53.820]   They repent, repentance.
[00:37:54.820 --> 00:37:59.820]   And then God raises up a judge to restoration, number five.
[00:37:59.820 --> 00:38:04.740]   So rest.
[00:38:04.740 --> 00:38:08.900]   Relapse.
[00:38:08.900 --> 00:38:11.020]   Ruin.
[00:38:11.020 --> 00:38:14.300]   Repentance.
[00:38:14.300 --> 00:38:16.500]   And restoration.
[00:38:16.500 --> 00:38:21.340]   For 400 years, again, and again, and again,
[00:38:21.340 --> 00:38:23.620]   they're doing fine, and then they fall into idolatry,
[00:38:23.620 --> 00:38:26.740]   and then they get ruined, and then they are conquered
[00:38:26.740 --> 00:38:30.380]   and oppressed by the Midianites, by the Philistines,
[00:38:30.380 --> 00:38:34.820]   and then they repent, and then God raises up a judge.
[00:38:34.820 --> 00:38:38.300]   And the judges are from all kinds of tribes, okay?
[00:38:38.300 --> 00:38:41.380]   So you have judges from Benjamin,
[00:38:41.380 --> 00:38:44.660]   there are judges from Manasseh,
[00:38:44.660 --> 00:38:48.500]   there's judges from Ephraim, there are judges from Reuben.
[00:38:48.500 --> 00:38:53.220]   The judges just seemingly just pop up, okay?
[00:38:53.220 --> 00:38:58.220]   So when they're at rest, they forget God, and what happens?
[00:38:58.220 --> 00:39:01.620]   They relapse into their idolatrous ways,
[00:39:01.620 --> 00:39:04.460]   that idolatry leads to their ruin,
[00:39:04.460 --> 00:39:07.660]   then they repent, and they go, "Lord, we have forgotten you,"
[00:39:07.660 --> 00:39:10.260]   and then God raises up a judge, and they're restored.
[00:39:10.260 --> 00:39:18.260]   And you'll see this phrase in the book of Judges
[00:39:18.260 --> 00:39:21.300]   repeated at least four times.
[00:39:22.500 --> 00:39:26.340]   "In those days, Israel had no king.
[00:39:26.340 --> 00:39:28.380]   "Everyone did as he saw fit."
[00:39:28.380 --> 00:39:30.980]   Judges 17, six, Judges 21, 25,
[00:39:30.980 --> 00:39:33.460]   it's mentioned in Judges 18 and Judges 19.
[00:39:33.460 --> 00:39:36.540]   "In those days, Israel had no king.
[00:39:36.540 --> 00:39:38.340]   "Everyone did as they saw fit."
[00:39:38.340 --> 00:39:41.580]   Judges 17, six, Judges 21, 25, okay?
[00:39:41.580 --> 00:39:44.780]   So Genesis was about what?
[00:39:44.780 --> 00:39:50.380]   Genesis is beginnings.
[00:39:50.380 --> 00:39:55.020]   Exodus, exiting from Egypt, Leviticus,
[00:39:55.020 --> 00:39:58.980]   feast and offerings, numbers,
[00:39:58.980 --> 00:40:01.060]   wilderness wanderings, Deu Adronami,
[00:40:01.060 --> 00:40:05.380]   second generation, the law of God of the second generation,
[00:40:05.380 --> 00:40:10.380]   Joshua, conquest, how many years?
[00:40:10.380 --> 00:40:12.020]   Only 10.
[00:40:12.020 --> 00:40:13.860]   Judges, how many years?
[00:40:13.860 --> 00:40:15.900]   400, but all you need to remember
[00:40:15.900 --> 00:40:17.980]   are these cycles for these 400 years,
[00:40:17.980 --> 00:40:19.540]   because in those days, Israel had no king,
[00:40:19.540 --> 00:40:21.100]   everyone did as they saw fit.
[00:40:21.100 --> 00:40:25.820]   They went from rest to relapse to ruin
[00:40:25.820 --> 00:40:28.380]   to repentance to restoration,
[00:40:28.380 --> 00:40:30.700]   again and again and again and again and again.
[00:40:30.700 --> 00:40:34.820]   But there is an interesting story
[00:40:34.820 --> 00:40:36.660]   that happens in the time of Judges
[00:40:36.660 --> 00:40:40.300]   that's based mostly on a woman who's a foreigner.
[00:40:40.300 --> 00:40:42.860]   You guys know who that is?
[00:40:42.860 --> 00:40:44.860]   The book of Ruth.
[00:40:44.860 --> 00:40:48.700]   Book on a roof, okay?
[00:40:49.700 --> 00:40:50.820]   So just think Ruth.
[00:40:50.820 --> 00:40:55.620]   It's a love story that happens in this time of Judges.
[00:40:55.620 --> 00:40:58.940]   Oh, you can't see?
[00:40:58.940 --> 00:41:00.060]   Is my head in the way?
[00:41:00.060 --> 00:41:03.140]   Ruth.
[00:41:03.140 --> 00:41:10.620]   Here we go, how many books in the Old Testament?
[00:41:10.620 --> 00:41:13.980]   39, how many books in the New?
[00:41:13.980 --> 00:41:16.500]   27, chronological or genre?
[00:41:17.500 --> 00:41:20.660]   Genre, 512, 5512.
[00:41:20.660 --> 00:41:22.700]   Pentateuch?
[00:41:22.700 --> 00:41:29.220]   History, poetry, major, minor.
[00:41:29.220 --> 00:41:31.220]   Easy enough to remember.
[00:41:31.220 --> 00:41:36.220]   Abraham, 1500 is Moses, 1000 is David,
[00:41:36.220 --> 00:41:40.020]   500 is returns, three, okay?
[00:41:40.020 --> 00:41:42.300]   Zero is Jesus.
[00:41:42.300 --> 00:41:44.020]   Let's start from 2000 to 1500.
[00:41:44.020 --> 00:41:45.100]   What's Genesis about?
[00:41:45.100 --> 00:41:46.700]   Beginnings, Exodus.
[00:41:47.700 --> 00:41:50.420]   Exiting Egypt, Leviticus.
[00:41:50.420 --> 00:41:53.260]   Feast and offerings, numbers, wilderness wanderings,
[00:41:53.260 --> 00:41:54.180]   Deuteronomy.
[00:41:54.180 --> 00:41:58.740]   Good, you've got 2000 to 1500 to set, no problem.
[00:41:58.740 --> 00:42:00.980]   A through M, no worries.
[00:42:00.980 --> 00:42:04.580]   M through D, you've got Mount JK, okay?
[00:42:04.580 --> 00:42:08.620]   Moses, tribes, Judges, kings,
[00:42:08.620 --> 00:42:10.300]   and you have three books in there.
[00:42:10.300 --> 00:42:16.380]   Joshua is about conquest and the tribes, okay?
[00:42:16.860 --> 00:42:18.980]   10 years, 24 chapters.
[00:42:18.980 --> 00:42:22.780]   Judges is about cycles.
[00:42:22.780 --> 00:42:25.900]   400 years, 21 chapters,
[00:42:25.900 --> 00:42:29.740]   and these cycles involve rest,
[00:42:29.740 --> 00:42:35.340]   relapse, ruin, repentance, restoration,
[00:42:35.340 --> 00:42:38.460]   and in that is a story about God's promise
