
[00:00:00.000 --> 00:00:18.480]   [MUSIC PLAYING]
[00:05:06.760 --> 00:05:10.200]   And now you're left with these two really bad stats.
[00:05:10.200 --> 00:05:13.420]   The first one is, in primary care specifically,
[00:05:13.420 --> 00:05:17.460]   the average NPS for a provider is three.
[00:05:17.460 --> 00:05:20.260]   That is so embarrassing.
[00:05:20.260 --> 00:05:22.740]   Number two, 96% of patient complaints
[00:05:22.740 --> 00:05:24.220]   are about the service itself.
[00:05:24.220 --> 00:05:26.420]   Only 4% are about the care delivered.
[00:05:26.420 --> 00:05:30.700]   So patients are really noticing how bad the customer service is.
[00:05:30.700 --> 00:05:34.100]   And yet, to go back to our earlier point,
[00:05:34.100 --> 00:05:35.940]   patients have this sort of Stockholm syndrome
[00:05:35.940 --> 00:05:37.980]   when it comes to going to the doctor specifically.
[00:05:37.980 --> 00:05:39.820]   We'll request a non-talkative Uber
[00:05:39.820 --> 00:05:41.980]   because we don't feel like chatting with the driver,
[00:05:41.980 --> 00:05:44.620]   or we'll leave a very scathing Yelp review for a restaurant.
[00:05:44.620 --> 00:05:47.220]   But when it comes to this service,
[00:05:47.220 --> 00:05:49.340]   even though we're not an easy to please generation,
[00:05:49.340 --> 00:05:50.940]   we become very submissive.
[00:05:50.940 --> 00:05:52.420]   And it's the most important service
[00:05:52.420 --> 00:05:54.340]   across any service industry.
[00:05:54.340 --> 00:05:55.540]   So this is not a good thing.
[00:05:55.540 --> 00:05:56.580]   Why is this happening?
[00:05:56.580 --> 00:05:58.180]   And why should we care that we're
[00:05:58.180 --> 00:06:01.240]   having such a bad time at the doctor's office?
[00:06:01.240 --> 00:06:05.260]   It's because bad service is bad for our health.
[00:06:05.260 --> 00:06:07.500]   So good medicine is a partnership
[00:06:07.500 --> 00:06:09.940]   between a patient who's coming in with real information
[00:06:09.940 --> 00:06:12.140]   on how they're feeling and then a physician who's
[00:06:12.140 --> 00:06:14.820]   coming in with real expertise to bring to that information.
[00:06:14.820 --> 00:06:15.820]   And they work together.
[00:06:15.820 --> 00:06:18.620]   But if the patient is feeling very anxious and exhausted
[00:06:18.620 --> 00:06:22.220]   and the doctor is feeling very rushed and dismissive,
[00:06:22.220 --> 00:06:25.540]   you're left with losing a bunch of really important information
[00:06:25.540 --> 00:06:27.820]   that you need to make nuanced diagnostic and treatment
[00:06:27.820 --> 00:06:28.940]   plans.
[00:06:28.940 --> 00:06:30.620]   So to give you an example, doctors
[00:06:30.620 --> 00:06:33.900]   are far more likely to prescribe antibiotics in the afternoon
[00:06:33.900 --> 00:06:36.180]   than they are in the morning for the same patient
[00:06:36.180 --> 00:06:38.620]   with the same issues because they're just running late
[00:06:38.620 --> 00:06:40.460]   and they're dealing with decision fatigue.
[00:06:40.460 --> 00:06:42.220]   If you leave with anything from this talk,
[00:06:42.220 --> 00:06:45.220]   it should be to make morning appointments.
[00:06:45.220 --> 00:06:48.100]   And then patients, on the other hand, know all of this.
[00:06:48.100 --> 00:06:49.340]   And they've felt this before.
[00:06:49.340 --> 00:06:50.940]   And so what many of them end up doing
[00:06:50.940 --> 00:06:52.860]   is deferring treatment altogether.
[00:06:52.860 --> 00:06:54.460]   So patients feel like it's a hassle.
[00:06:54.460 --> 00:06:56.060]   They're not getting anything out of it.
[00:06:56.060 --> 00:06:57.920]   They will just text their med school friend.
[00:06:57.920 --> 00:07:00.660]   Health care has a patient buy-in problem
[00:07:00.660 --> 00:07:02.500]   because they've made the experience of going
[00:07:02.500 --> 00:07:05.320]   to the doctor's office so bad that we only
[00:07:05.320 --> 00:07:07.220]   go when we absolutely have to go.
[00:07:07.220 --> 00:07:09.740]   And what do we lose when we go when we only absolutely
[00:07:09.740 --> 00:07:10.860]   have to go?
[00:07:10.860 --> 00:07:12.540]   Preventive care.
[00:07:12.540 --> 00:07:14.620]   And preventive care is really the reason
[00:07:14.620 --> 00:07:16.920]   it's so bad that we're not going to the doctor's office.
[00:07:16.920 --> 00:07:19.620]   We lose out on going when things are early.
[00:07:19.620 --> 00:07:22.960]   We lose out on all the upstream, life-saving, cost-saving
[00:07:22.960 --> 00:07:25.260]   benefits of prevention.
[00:07:25.260 --> 00:07:27.620]   So I'm going to hit you with three stats on that.
[00:07:27.620 --> 00:07:29.940]   The first one is 40% of annual deaths
[00:07:29.940 --> 00:07:32.500]   caused by the top five causes of death in the US
[00:07:32.500 --> 00:07:36.260]   are preventable with good preventive care.
[00:07:36.260 --> 00:07:38.560]   According to the CDC, for whatever that's worth to you,
[00:07:38.560 --> 00:07:40.540]   avoidable chronic disease accounts
[00:07:40.540 --> 00:07:44.300]   for 75% of our health care spend.
[00:07:44.300 --> 00:07:46.260]   And finally, on the other hand, patients
[00:07:46.260 --> 00:07:48.260]   with a PCP, a primary care doctor,
[00:07:48.260 --> 00:07:51.300]   spend 33% less on health care overall
[00:07:51.300 --> 00:07:54.620]   because they're front-loading that spend toward prevention.
[00:07:54.620 --> 00:07:57.060]   So bad service is bad for our health.
[00:07:57.060 --> 00:07:58.380]   What can we do about it?
[00:07:58.380 --> 00:08:00.260]   The good news is this.
[00:08:00.260 --> 00:08:02.420]   We are starting to see more and more practices
[00:08:02.420 --> 00:08:05.020]   shift towards models that incentivize physicians to care
[00:08:05.020 --> 00:08:06.460]   about good customer service.
[00:08:06.460 --> 00:08:08.380]   So there are two models we can use here
[00:08:08.380 --> 00:08:11.660]   to change the compensation model to allow physicians
[00:08:11.660 --> 00:08:14.660]   to have time and space to think about service.
[00:08:14.660 --> 00:08:17.180]   So the first one is direct-to-consumer.
[00:08:17.180 --> 00:08:19.860]   So that's making the patient the customer again
[00:08:19.860 --> 00:08:21.500]   in this scenario.
[00:08:21.500 --> 00:08:24.780]   And the second one is leveraging value-based care models,
[00:08:24.780 --> 00:08:29.780]   where the insurers are reimbursing based on quality
[00:08:29.780 --> 00:08:31.020]   instead of over volume.
[00:08:31.020 --> 00:08:33.380]   And so in that case, the insurer is still the customer,
[00:08:33.380 --> 00:08:37.180]   but we're now rewarding a different outcome here.
[00:08:37.180 --> 00:08:40.820]   So those are the two options that we can leverage.
[00:08:40.820 --> 00:08:45.060]   But as we can see, we have the tools that we need.
[00:08:45.060 --> 00:08:47.940]   It's really now about shifting norms in the health care
[00:08:47.940 --> 00:08:48.460]   industry.
[00:08:48.460 --> 00:08:52.340]   And the industry is very clunky, and it's red tapey,
[00:08:52.340 --> 00:08:54.220]   and it's sort of crotchety at times.
[00:08:54.220 --> 00:08:56.180]   And so the change might feel a little bit slower
[00:08:56.180 --> 00:08:57.700]   than it does in other industries.
[00:08:57.700 --> 00:09:00.580]   But we're starting to see more and more companies push back.
[00:09:00.580 --> 00:09:04.020]   And as they push back, patient expectations change.
[00:09:04.020 --> 00:09:06.260]   We start to expect more out of our health care.
[00:09:06.260 --> 00:09:08.380]   And now we're starting to treat health care the way
[00:09:08.380 --> 00:09:10.460]   we treat any other service that we interact with.
[00:09:10.460 --> 00:09:14.020]   And we start to say goodbye to that Stockholm syndrome era.
[00:09:14.020 --> 00:09:15.980]   But as we move towards these models that
[00:09:15.980 --> 00:09:17.560]   change the incentives for physicians,
[00:09:17.560 --> 00:09:19.460]   we still need a framework to think about, OK,
[00:09:19.460 --> 00:09:21.180]   how do we get that good customer service?
[00:09:21.180 --> 00:09:22.940]   How do we actually get the patient buy-in?
[00:09:22.940 --> 00:09:25.660]   How do we get people to want to go back to the doctor's office?
[00:09:25.660 --> 00:09:27.540]   Because doctors and hospital administrators
[00:09:27.540 --> 00:09:29.060]   are not used to thinking about this.
[00:09:29.060 --> 00:09:31.660]   They're not used to training on customer service or bedside
[00:09:31.660 --> 00:09:32.580]   manner.
[00:09:32.580 --> 00:09:34.380]   So we need to look to another industry, which
[00:09:34.380 --> 00:09:36.460]   is the hospitality industry.
[00:09:36.460 --> 00:09:39.260]   So I brought you on this journey here today to tell you,
[00:09:39.260 --> 00:09:41.780]   we need to be stealing from the hospitality industry.
[00:09:41.780 --> 00:09:44.340]   They have figured this out already.
[00:09:44.340 --> 00:09:46.180]   They know how to treat people like people.
[00:09:46.180 --> 00:09:48.180]   They know how to provide human-to-human service,
[00:09:48.180 --> 00:09:52.660]   which is ultimately today what health care still is.
[00:09:52.660 --> 00:09:56.260]   So I really think this definition of hospitality
[00:09:56.260 --> 00:09:57.900]   from Danny Meyer is really great.
[00:09:57.900 --> 00:10:02.580]   Esteemed restaurateur, my other relationship hall pass.
[00:10:02.580 --> 00:10:05.500]   Hospitality is present when something happens for you.
[00:10:05.500 --> 00:10:09.100]   It is absent when something happens to you.
[00:10:09.100 --> 00:10:11.820]   So we want health care that happens for patients and not
[00:10:11.820 --> 00:10:14.140]   to patients, really Michelin-worthy,
[00:10:14.140 --> 00:10:17.100]   or at least very effusive Yelp review-worthy health care.
[00:10:17.100 --> 00:10:18.740]   And I want to share a few ideas on how
[00:10:18.740 --> 00:10:20.940]   I think we can get there.
[00:10:20.940 --> 00:10:23.300]   I'm the co-founder of a primary care membership
[00:10:23.300 --> 00:10:25.340]   service called the Landby.
[00:10:25.340 --> 00:10:27.660]   And we do what we call a health care hospitality
[00:10:27.660 --> 00:10:30.420]   training with all of our team members, all of our providers.
[00:10:30.420 --> 00:10:32.220]   And I want to share a few central tenets
[00:10:32.220 --> 00:10:33.900]   from that training with you that I
[00:10:33.900 --> 00:10:36.940]   think are the ones that can be applied into any practice.
[00:10:36.940 --> 00:10:39.500]   They can be implemented at very low cost
[00:10:39.500 --> 00:10:41.660]   and can really start to shift the norms
[00:10:41.660 --> 00:10:43.820]   and shift the culture, which is what we need.
[00:10:43.820 --> 00:10:47.180]   Some of these may seem obvious, but they're not in health care.
[00:10:47.180 --> 00:10:48.100]   So here we go.
[00:10:48.100 --> 00:10:49.300]   These are my top five.
[00:10:49.300 --> 00:10:51.500]   Number one, follow the golden rule.
[00:10:51.500 --> 00:10:54.380]   Patients are entrusting us with their most precious resource,
[00:10:54.380 --> 00:10:55.420]   which is their health.
[00:10:55.420 --> 00:10:56.820]   Treat them the way you would want
[00:10:56.820 --> 00:10:58.320]   to be treated at the doctor or you'd
[00:10:58.320 --> 00:11:00.860]   want your family to be treated.
[00:11:00.860 --> 00:11:02.700]   Number two, set clear expectations.
[00:11:02.700 --> 00:11:04.020]   This is not a subway track.
[00:11:04.020 --> 00:11:05.900]   Nobody wins when we hold information
[00:11:05.900 --> 00:11:08.940]   like running a few minutes late to ourselves.
[00:11:08.940 --> 00:11:13.100]   Number three, be a good, active, empathetic listener.
[00:11:13.100 --> 00:11:14.900]   Ask good questions to get good clues.
[00:11:14.900 --> 00:11:17.280]   Treat every case like it's a medical investigation.
[00:11:17.280 --> 00:11:19.320]   If someone didn't think something was important,
[00:11:19.320 --> 00:11:21.740]   they wouldn't have brought it up with us.
[00:11:21.740 --> 00:11:24.580]   Another Danny Meyer line, be an agent, not a gatekeeper.
[00:11:24.580 --> 00:11:26.380]   So an agent lets people in.
[00:11:26.380 --> 00:11:28.660]   A gatekeeper builds up barriers to keep people out.
[00:11:28.660 --> 00:11:30.620]   We don't want to be that kind of practice.
[00:11:30.620 --> 00:11:32.860]   If a patient has a good reason to be asking
[00:11:32.860 --> 00:11:34.940]   you to break one of our rules and there's
[00:11:34.940 --> 00:11:37.220]   an easy way to break it within the bounds of the law,
[00:11:37.220 --> 00:11:40.220]   then just break it.
[00:11:40.220 --> 00:11:43.300]   Finally, for extra credit, surprise and delight.
[00:11:43.300 --> 00:11:46.220]   How can we make this the best interaction of a patient's day
[00:11:46.220 --> 00:11:48.620]   even if they're going through something really challenging?
[00:11:48.620 --> 00:11:52.180]   I think that's the fun puzzle of applying hospitality
[00:11:52.180 --> 00:11:54.060]   into the health care context is finding a way
[00:11:54.060 --> 00:11:54.900]   to bridge that gap.
[00:11:54.900 --> 00:11:56.900]   How can we remember something about someone
[00:11:56.900 --> 00:11:59.780]   and make them feel seen and make them feel like, yeah,
[00:11:59.780 --> 00:12:03.660]   I want to come back to the doctor's office?
[00:12:03.660 --> 00:12:05.780]   All right, I don't have a super punchy ending here,
[00:12:05.780 --> 00:12:09.380]   so I'm just going to wrap this up with health care
[00:12:09.380 --> 00:12:11.780]   hospitality treats patients the way
[00:12:11.780 --> 00:12:13.300]   they deserve to be treated.
[00:12:13.300 --> 00:12:15.040]   We're all patients at some point.
[00:12:15.040 --> 00:12:16.640]   And when that point comes, the stakes
[00:12:16.640 --> 00:12:19.000]   will feel inherently high, too high
[00:12:19.000 --> 00:12:20.340]   to get worse service than you would
[00:12:20.340 --> 00:12:21.500]   at your favorite restaurant.
[00:12:21.500 --> 00:12:22.000]   Thank you.
[00:12:22.000 --> 00:12:25.460]   [APPLAUSE]
[00:12:25.460 --> 00:12:32.300]   I think the thing that struck me about our dysfunctional system
[00:12:32.300 --> 00:12:35.260]   is the Bill Gurley quote and then what you're doing.
[00:12:35.260 --> 00:12:37.100]   There is no customer.
[00:12:37.100 --> 00:12:40.660]   And how does that change over time in America?
[00:12:40.660 --> 00:12:44.500]   I know what you're doing with your company is part of it.
[00:12:44.500 --> 00:12:47.660]   So how do we change that in Americans' perception?
[00:12:47.660 --> 00:12:49.820]   Because I got my knee done, and I
[00:12:49.820 --> 00:12:51.100]   didn't know how much it cost.
[00:12:51.100 --> 00:12:53.500]   And then I found out just cleaning out my meniscus
[00:12:53.500 --> 00:12:55.460]   was $60,000, and that was like--
[00:12:55.460 --> 00:12:56.340]   How much?
[00:12:56.340 --> 00:12:59.660]   $60,000 10 years ago for a meniscus surgery in New York.
[00:12:59.660 --> 00:13:02.060]   And then somebody said, that should cost like $10,000.
[00:13:02.060 --> 00:13:03.460]   And there's no menu.
[00:13:03.460 --> 00:13:05.180]   So we're going to a restaurant.
[00:13:05.180 --> 00:13:07.180]   You know when you go to the restaurant in Italy,
[00:13:07.180 --> 00:13:09.460]   like the ones you go to, and there's no--
[00:13:09.460 --> 00:13:10.180]   Prices?
[00:13:10.180 --> 00:13:11.140]   Yeah.
[00:13:11.140 --> 00:13:12.640]   That's when you know you're fucked.
[00:13:12.640 --> 00:13:13.500]   I love those.
[00:13:13.500 --> 00:13:15.060]   Yeah, you love it.
[00:13:15.060 --> 00:13:17.660]   Then you hand me the check.
[00:13:17.660 --> 00:13:20.460]   We were in Vegas that time.
[00:13:20.460 --> 00:13:25.500]   So how do Americans start changing
[00:13:25.500 --> 00:13:27.220]   how they perceive this?
[00:13:27.220 --> 00:13:29.060]   I think that's part of the problem, is it not?
[00:13:29.060 --> 00:13:31.380]   Definitely part of the problem is that we all are kind of just
[00:13:31.380 --> 00:13:33.720]   OK with it and assume that this is this industry where we're
[00:13:33.720 --> 00:13:35.760]   not supposed to know the prices until afterwards.
[00:13:35.760 --> 00:13:37.540]   No other industry works this way.
[00:13:37.540 --> 00:13:39.980]   We don't put up with it anywhere else.
[00:13:39.980 --> 00:13:41.660]   And so I think direct-to-consumer models
[00:13:41.660 --> 00:13:44.300]   play a huge role in getting patients to think,
[00:13:44.300 --> 00:13:46.040]   oh, I can treat this like other services.
[00:13:46.040 --> 00:13:48.420]   It's not like we're not annoying consumers in other ways.
[00:13:48.420 --> 00:13:49.060]   We already are.
[00:13:49.060 --> 00:13:52.060]   And so we just need to apply that same annoying attitude
[00:13:52.060 --> 00:13:53.820]   to health care.
[00:13:53.820 --> 00:13:56.460]   And then by leveraging direct-to-consumer models,
[00:13:56.460 --> 00:13:58.820]   part of this is getting on higher deductible plans.
[00:13:58.820 --> 00:14:02.460]   So we start to treat our dollars more like normal dollars,
[00:14:02.460 --> 00:14:04.340]   putting money into HSAs and FSAs.
[00:14:04.340 --> 00:14:05.860]   It gets us to start thinking more
[00:14:05.860 --> 00:14:07.980]   like a traditional customer and think about where
[00:14:07.980 --> 00:14:09.020]   we're spending our money.
[00:14:09.340 --> 00:14:12.740]   We see that a little bit with direct-to-consumer drug
[00:14:12.740 --> 00:14:16.300]   companies, HIMSS, HERRS, GetRome,
[00:14:16.300 --> 00:14:20.740]   and all the stuff that Freeberg uses to get ready for battle.
[00:14:20.740 --> 00:14:21.740]   David, nice to meet you.
[00:14:21.740 --> 00:14:22.240]   Yeah, hey.
[00:14:22.240 --> 00:14:22.740]   How are you?
[00:14:22.740 --> 00:14:23.240]   Good.
[00:14:23.240 --> 00:14:25.180]   [LAUGHTER]
[00:14:25.180 --> 00:14:26.140]   Your hair looks great.
[00:14:26.140 --> 00:14:29.460]   To prepare for war.
[00:14:29.460 --> 00:14:30.540]   Those are a start, right?
[00:14:30.540 --> 00:14:31.020]   People are now--
[00:14:31.020 --> 00:14:31.020]   Take care.
[00:14:31.020 --> 00:14:32.220]   I'm just saying nice things from now on.
[00:14:32.220 --> 00:14:32.720]   Come on.
[00:14:32.720 --> 00:14:33.820]   I love it.
[00:14:33.820 --> 00:14:35.980]   But this is part of it that people are saying,
[00:14:35.980 --> 00:14:37.860]   it's so dysfunctional to go to the doctor.
[00:14:37.860 --> 00:14:40.180]   It's so dysfunctional to deal with my insurance company.
[00:14:40.180 --> 00:14:42.500]   For certain things, I'm just going
[00:14:42.500 --> 00:14:44.820]   to go on a website and order.
[00:14:44.820 --> 00:14:45.580]   Yep.
[00:14:45.580 --> 00:14:47.460]   That is part of the frustration, right?
[00:14:47.460 --> 00:14:47.900]   Yeah.
[00:14:47.900 --> 00:14:48.180]   Yeah.
[00:14:48.180 --> 00:14:49.460]   That gives you a little taste of it.
[00:14:49.460 --> 00:14:51.580]   And then, alternatively, if you don't want to go to the doctor,
[00:14:51.580 --> 00:14:53.000]   you'll go to Urgent Care, which has
[00:14:53.000 --> 00:14:55.020]   much more of an easy pricing menu in many cases
[00:14:55.020 --> 00:14:55.900]   that you can look at.
[00:14:55.900 --> 00:14:57.900]   So again, we're starting to get a taste of it.
[00:14:57.900 --> 00:14:59.780]   And I think patient expectations will change
[00:14:59.780 --> 00:15:02.380]   and doctors will have to follow suit.
[00:15:02.380 --> 00:15:05.620]   We tend to index the quality of American health care
[00:15:05.620 --> 00:15:09.220]   when you look at the average life expectancy.
[00:15:09.220 --> 00:15:10.380]   First, you do men, women.
[00:15:10.380 --> 00:15:12.800]   And then, you look at white men versus black men
[00:15:12.800 --> 00:15:16.420]   versus brown men, white women versus black women, et cetera.
[00:15:16.420 --> 00:15:19.420]   And white men have always sort of been the standard bearer.
[00:15:19.420 --> 00:15:21.720]   And then, this odd thing has happened over the last three
[00:15:21.720 --> 00:15:23.580]   or four years where their life expectancy has
[00:15:23.580 --> 00:15:26.020]   started to get worse and worse as our percentage
[00:15:26.020 --> 00:15:28.700]   share of health care expenses, as a percentage of GDP,
[00:15:28.700 --> 00:15:29.980]   have gone up.
[00:15:29.980 --> 00:15:32.300]   And everybody gets up in arms because they're like, well,
[00:15:32.300 --> 00:15:33.360]   wait a minute.
[00:15:33.360 --> 00:15:36.420]   Something is clearly so structurally broken
[00:15:36.420 --> 00:15:39.820]   that we're spending 15%, 20%, 30% a year,
[00:15:39.820 --> 00:15:41.180]   increasing every year.
[00:15:41.180 --> 00:15:44.220]   And we're dying now under the age of 80.
[00:15:44.220 --> 00:15:48.540]   This thing should be a thing where we're living to 100.
