
[00:00:00.000 --> 00:00:11.200]   Good evening, everybody.
[00:03:08.920 --> 00:03:14.240]   And then he picks back up his thought in verse 14 and says, "For this reason I bow my knees
[00:03:14.240 --> 00:03:18.760]   before the Father, from whom every family in heaven and on earth derives its name."
[00:03:18.760 --> 00:03:29.840]   And so, as we take a look at this, we wrestle with Apostle Paul's thought whenever we study
[00:03:29.840 --> 00:03:37.120]   the Bible because in a very methodical and I would say an intricate way, he strings together
[00:03:37.120 --> 00:03:38.120]   many thoughts.
[00:03:38.120 --> 00:03:44.520]   And what I'm going to say is, Apostle Paul then has been saying that leading up to this,
[00:03:44.520 --> 00:03:51.120]   there is a rationale, a motive as to why he is praying this for the church, for the people.
[00:03:51.120 --> 00:03:55.760]   And one of the things I just want to quickly mention is, every single one of us, at some
[00:03:55.760 --> 00:03:57.800]   seasons we can wrestle in prayer.
[00:03:57.800 --> 00:04:01.880]   Some seasons, because of certain needs, we are fervent in prayer.
[00:04:01.880 --> 00:04:04.120]   Other seasons, we struggle.
[00:04:04.120 --> 00:04:09.560]   And perhaps it's difficult to pray, namely because prayer in and of itself is a difficult
[00:04:09.560 --> 00:04:15.720]   discipline, and sometimes it's difficult to pray because maybe we've experienced disappointment.
[00:04:15.720 --> 00:04:22.240]   But sometimes, it's difficult for us to pray, we struggle with it, because we're not reminded
[00:04:22.240 --> 00:04:25.040]   as to the grand purpose as to why.
[00:04:25.040 --> 00:04:29.960]   I think if we were more encouraged as to the reason why we pray, then perhaps more so we
[00:04:29.960 --> 00:04:31.760]   would pray all the more regularly.
[00:04:31.760 --> 00:04:35.360]   Now, as we think about this, I have a couple questions for you.
[00:04:35.360 --> 00:04:36.720]   Could it be questions?
[00:04:36.720 --> 00:04:40.200]   What are the possible rationales as to why Apostle Paul is praying?
[00:04:40.200 --> 00:04:42.560]   What is the reason that he is talking about?
[00:04:42.560 --> 00:04:49.480]   Could it be that in verse 13, in our previous section, Apostle Paul mentioned that he wants
[00:04:49.480 --> 00:04:54.360]   to encourage the church because he doesn't want them to be disheartened by his tribulation,
[00:04:54.360 --> 00:04:57.000]   specifically the fact that he's in jail.
[00:04:57.000 --> 00:05:00.800]   So when you think about this, Apostle Paul perhaps could be saying, "I really want you
[00:05:00.800 --> 00:05:05.720]   to understand that God does love you, and although with your eyes you see persecution
[00:05:05.720 --> 00:05:10.440]   coming, you see me in jail, although all this horrible stuff is happening, trust me, God
[00:05:10.440 --> 00:05:11.440]   really loves you.
[00:05:11.440 --> 00:05:13.560]   I want you to know that."
[00:05:13.560 --> 00:05:18.160]   So there are some people, some commentators, who think that Apostle Paul is pointing to
[00:05:18.160 --> 00:05:21.080]   the fact that the church may be discouraged.
[00:05:21.080 --> 00:05:26.400]   And for us, if we received something of an exhortation, like "Follow me as I follow Christ,"
[00:05:26.400 --> 00:05:31.800]   or "Obey what I say, but the person who's speaking to you is in jail," it could be disheartening.
[00:05:31.800 --> 00:05:35.520]   As a matter of fact, it could lend to a little bit of suspicion, like, "What's actually
[00:05:35.520 --> 00:05:36.520]   happening?"
[00:05:36.520 --> 00:05:37.520]   Right?
[00:05:37.520 --> 00:05:44.000]   Now, I don't think this is the case, namely because when Apostle Paul states this reason,
[00:05:44.000 --> 00:05:48.360]   he goes above and beyond that parenthetical section in verses 12 to 13.
[00:05:48.360 --> 00:05:50.200]   I'm sorry, verses 2 to 13.
[00:05:50.200 --> 00:05:53.320]   But rather, he says, "For this reason," at the beginning of the chapter, pointing to
[00:05:53.320 --> 00:05:54.880]   something before.
[00:05:54.880 --> 00:05:59.220]   A second potential is Paul's love for the church.
[00:05:59.220 --> 00:06:05.700]   If we're looking at chapter 2, we recall that the church as it's being built, Apostle Paul
[00:06:05.700 --> 00:06:09.820]   in his description of the gospel in chapter 2 moved from personal salvation, moving from
[00:06:09.820 --> 00:06:15.860]   death to life, to what that means as a ramification, that we all are made one.
[00:06:15.860 --> 00:06:20.540]   That the dividing walls of animosity and enmity has been done away with, and so the church
[00:06:20.540 --> 00:06:21.540]   is built.
[00:06:21.540 --> 00:06:26.100]   And we described how God loves that church as its own household, and therefore, Apostle
[00:06:26.100 --> 00:06:29.860]   Paul, he essentially depicts in many ways his own love for the church.
[00:06:29.860 --> 00:06:33.340]   So is his love for the church the reason why he's praying?
[00:06:33.340 --> 00:06:34.340]   Could be.
[00:06:34.340 --> 00:06:38.740]   Although I think his love for the church is always shown, I think there's more to be said
[00:06:38.740 --> 00:06:40.260]   here.
[00:06:40.260 --> 00:06:47.060]   I think what Apostle Paul is pointing to is what he's been pointing to the whole time.
[00:06:47.060 --> 00:06:53.500]   And that is, Apostle Paul has been communicating that his great privilege, his grace to me,
[00:06:53.500 --> 00:07:00.860]   the "Wow, I cannot believe I am a part of this stewardship, this responsibility," is
[00:07:00.860 --> 00:07:06.900]   his main point of what God has been doing in his intent and purpose.
[00:07:06.900 --> 00:07:12.300]   Apostle Paul has been revealing to us God's intention, not just from yesterday, not just
[00:07:12.300 --> 00:07:16.620]   from a generation ago, and not just from the time of the patriarchs.
[00:07:16.620 --> 00:07:21.460]   Apostle Paul has been showing to us God's heart and intention since God has created
[00:07:21.460 --> 00:07:22.940]   the world.
[00:07:22.940 --> 00:07:24.580]   And that is incredibly magnificent.
[00:07:24.580 --> 00:07:32.460]   And so when you think about that, we have Apostle Paul pointing to the great plan and
[00:07:32.460 --> 00:07:34.260]   mystery of God.
[00:07:34.260 --> 00:07:38.380]   On other portions of the book of Ephesians, he described it as the administration.
[00:07:38.380 --> 00:07:42.140]   He described it as the unfolding plan, right?
[00:07:42.140 --> 00:07:45.940]   And so what I'd like to do with you in a brief moment now is to walk through several passages
[00:07:45.940 --> 00:07:50.060]   together, and you have those passages on your packet, but you can walk through with me on
[00:07:50.060 --> 00:07:55.660]   your Bibles so that you can highlight those things and just make a note of how often Apostle
[00:07:55.660 --> 00:08:00.420]   Paul points to this in his thought, in his flow of thought.
[00:08:00.420 --> 00:08:06.460]   So in the immediate context, in Ephesians chapter 3, verse 11, Apostle Paul talks about
[00:08:06.460 --> 00:08:08.860]   this great mystery.
[00:08:08.860 --> 00:08:14.000]   And in establishing this great mystery, he specifically talks about what God is doing
[00:08:14.000 --> 00:08:20.520]   to draw individuals to be one underneath Christ, that even Gentiles will be saved through the
[00:08:20.520 --> 00:08:21.820]   name of Christ.
[00:08:21.820 --> 00:08:27.160]   But then what he says is this was in accordance with the eternal purpose which he carried
[00:08:27.160 --> 00:08:29.580]   out in Christ Jesus our Lord.
[00:08:29.580 --> 00:08:32.260]   So there's our concept, the purpose of the Lord.
[00:08:32.260 --> 00:08:37.220]   Here's another passage in Ephesians chapter 3, verses 9 through 10.
[00:08:37.220 --> 00:08:40.760]   Right before that, he says, "And to bring to light what is the administration of the
[00:08:40.760 --> 00:08:45.040]   mystery which for ages has been hidden in God who created all things," and look at
[00:08:45.040 --> 00:08:51.660]   this, "so that the manifold wisdom of God might now be made known through the church
[00:08:51.660 --> 00:08:54.860]   to the rulers and the authorities in the heavenly places."
[00:08:54.860 --> 00:09:01.440]   Piecing it together, we know that God is working to showcase his glory, his great and grand
[00:09:01.440 --> 00:09:02.440]   wisdom.
[00:09:02.440 --> 00:09:07.160]   The redemptive plan that God is doing, yes, it's massive, it's multifaceted, but all
[00:09:07.160 --> 00:09:13.960]   that goes to show the grandeur of God's glory and his wisdom to accomplish salvation.
[00:09:13.960 --> 00:09:19.360]   And prior to that, remember on chapter 2, there was so much that we could glean.
[00:09:19.360 --> 00:09:25.700]   In chapter 2, verses 1 through 6 at the beginning, Apostle Paul describes our incredible salvation
[00:09:25.700 --> 00:09:27.240]   in the mercy of God.
[00:09:27.240 --> 00:09:32.160]   We go from those who are absolutely dead in transgressions to those who are made alive
[00:09:32.160 --> 00:09:34.400]   in Christ, right?
[00:09:34.400 --> 00:09:39.160]   But look at what he says right after he says that in verses 1 through 6, in verse 7 he
[00:09:39.160 --> 00:09:46.440]   says, "So that in the ages to come, he might show the surpassing riches of his grace in
[00:09:46.440 --> 00:09:48.840]   kindness towards us in Christ Jesus."
[00:09:48.840 --> 00:09:57.280]   So what God is doing in his intent and plan is to showcase his mercies to the universe.
[00:09:57.280 --> 00:10:03.320]   And what's more, we go all the way back to chapter 1, and in chapter 1, we saw so much
[00:10:03.320 --> 00:10:05.960]   of God's intention and plan.
[00:10:05.960 --> 00:10:11.720]   For example, verses 4 through 6 of chapter 1 says, "Just as he chose us in him before
[00:10:11.720 --> 00:10:16.080]   the foundation of the world, that we would be holy and blameless before him."
[00:10:16.080 --> 00:10:22.000]   So one aspect of it, yes, God's intention was to redeem us as his own possession.
[00:10:22.000 --> 00:10:26.600]   In love he predestined us to adoptions as sons through Jesus Christ to himself, according
[00:10:26.600 --> 00:10:33.120]   to the kind intention of his will, to the praise of the glory of his grace.
[00:10:33.120 --> 00:10:35.720]   So there you have God's intention and purpose.
[00:10:35.720 --> 00:10:40.640]   His redemptive plan, which is magnificent, which is a great mystery, which is a showcase
[00:10:40.640 --> 00:10:47.200]   of grand wisdom and mercy, but all that to praise and glory of his name.
[00:10:47.200 --> 00:10:52.600]   What's more, in verse 11 through 12 he says, "Also we have obtained an inheritance, having
[00:10:52.600 --> 00:10:56.720]   been predestined according to his purpose, who works all things after the counsel of
[00:10:56.720 --> 00:11:01.240]   his will, to the end that we who were the first to hope in Christ would be to the praise
[00:11:01.240 --> 00:11:03.640]   of his glory."
[00:11:03.640 --> 00:11:06.400]   There we have the same thoughts again.
[00:11:06.400 --> 00:11:10.360]   And then in the next section it says, "In him you also, after listening to the message
[00:11:10.360 --> 00:11:15.080]   of truth, the gospel of your salvation, having also believed, you were sealed in him with
[00:11:15.080 --> 00:11:19.760]   the Holy Spirit of promise, who is given as a pledge of our inheritance, with a view to
[00:11:19.760 --> 00:11:25.240]   the redemption of God's own possession, to the praise of his glory."
[00:11:25.240 --> 00:11:31.800]   So if you look in chapter 1, chapter 2, chapter 3, there was a consistent theme that Apostle
[00:11:31.800 --> 00:11:37.760]   Paul was looking at, that God has a masterful plan of salvation, but all of that was for
[00:11:37.760 --> 00:11:39.680]   his glory.
[00:11:39.680 --> 00:11:45.920]   And what's incredible is he says in verse 15, "So for this reason," this constant thought
[00:11:45.920 --> 00:11:50.960]   of this "for this reason," why he's writing to the church, why he's praying for the church,
[00:11:50.960 --> 00:11:56.520]   why he is teaching, and why he is doing his ministry, it has never left his mind.
[00:11:56.520 --> 00:11:58.000]   It's always been there.
[00:11:58.000 --> 00:12:03.680]   And so in thinking about God's grand intention and work from long ago, he sees the faith
[00:12:03.680 --> 00:12:08.720]   happening or existing within the church, and then he connects the dot essentially and says,
[00:12:08.720 --> 00:12:13.960]   "I'm praying for you because clearly God has applied and is working in you."
[00:12:13.960 --> 00:12:18.500]   And so he says, "I too, having heard of the faith in the Lord Jesus which exists among
[00:12:18.500 --> 00:12:22.600]   you and your love for all the saints, I do not cease giving thanks to you while making
[00:12:22.600 --> 00:12:24.720]   mention of you in my prayers."
[00:12:24.720 --> 00:12:30.040]   And what he prays here is so similar to our passage that we're studying today.
[00:12:30.040 --> 00:12:34.400]   Essentially he says that "God of our Lord Jesus Christ, the Father of glory, may give
[00:12:34.400 --> 00:12:38.000]   you a spirit of wisdom and revelation in the knowledge of him.
[00:12:38.000 --> 00:12:41.760]   I pray that the eyes of your heart may be enlightened so that you will know what is
[00:12:41.760 --> 00:12:46.440]   the hope of his calling, what are the riches of the glory of his inheritance in the saints,
[00:12:46.440 --> 00:12:50.680]   and what is the surpassing greatness of his power toward us who believe.
[00:12:50.680 --> 00:12:55.480]   These are in accordance with the working of the strength of his might."
[00:12:55.480 --> 00:13:04.880]   So essentially this reason of God's intended purpose of executing his redemption, but all
[00:13:04.880 --> 00:13:07.640]   that to his grand glory.
[00:13:07.640 --> 00:13:09.280]   That is what he's thinking about.
[00:13:09.280 --> 00:13:11.360]   He's thinking about God's plans.
[00:13:11.360 --> 00:13:13.480]   He's thinking about God's will.
[00:13:13.480 --> 00:13:22.320]   And so let's take a moment just to pause and meditate on this a little bit.
[00:13:22.320 --> 00:13:32.560]   If we pause and meditate, we again at some times, we pray for certain seasons.
[00:13:32.560 --> 00:13:38.760]   And if we were to really think about our dedication to the glory and purpose of God, I believe
[00:13:38.760 --> 00:13:44.400]   we would then have a transcending motive.
[00:13:44.400 --> 00:13:46.600]   We would have a timeless motive.
[00:13:46.600 --> 00:13:50.840]   We would have an ever-present motive to continue to pray.
[00:13:50.840 --> 00:13:56.520]   And if you think about it, when we are only, if let's say our prayers are lopsided, and
[00:13:56.520 --> 00:14:00.160]   we are only praying for the things that are temporal, we're only praying for the things
[00:14:00.160 --> 00:14:05.680]   that are circumstantial, the things that are physical, then no wonder we don't pray often.
[00:14:05.680 --> 00:14:10.720]   Because if I'm just praying for my class, for example, to go well and finish well, then
[00:14:10.720 --> 00:14:13.120]   once that class ends, then what?
[00:14:13.120 --> 00:14:15.200]   Then it's just on to the next thing, right?
[00:14:15.200 --> 00:14:17.760]   But do I care about the next thing as much?
[00:14:17.760 --> 00:14:22.000]   If I'm just praying for relief for circumstances, then what?
[00:14:22.000 --> 00:14:23.560]   If the relief comes?
[00:14:23.560 --> 00:14:28.560]   The fact of the matter is some of these things that we work for in terms of working for provision,
[00:14:28.560 --> 00:14:34.760]   working for grades, working for money, some of those things don't even necessarily require,
[00:14:34.760 --> 00:14:35.760]   right?
[00:14:35.760 --> 00:14:40.440]   Doesn't necessarily require like a mass miracle to happen.
[00:14:40.440 --> 00:14:43.520]   A lot of it is you reap what you sow.
[00:14:43.520 --> 00:14:47.840]   And so all I'm trying to point out is this, not that God is not intricately involved in
[00:14:47.840 --> 00:14:52.180]   the daily provision of our daily necessities, because he is.
[00:14:52.180 --> 00:14:56.560]   Not that God does not care for our daily bread, because he does.
[00:14:56.560 --> 00:15:03.760]   But the fact of the matter is if the content of our prayers is not in tune with the grand
[00:15:03.760 --> 00:15:07.520]   purpose of God, it's going to lose motivation.
[00:15:07.520 --> 00:15:09.600]   It's going to lose steam.
[00:15:09.600 --> 00:15:14.480]   And so there's this question for you, what is it that you typically pray for?
[00:15:14.480 --> 00:15:20.320]   For Paul, he is seeing the masterful plan of God, and when he sees faith, he realizes
[00:15:20.320 --> 00:15:22.640]   then how it connects.
[00:15:22.640 --> 00:15:26.680]   And so I would hope that you would have your eyes open to see that even more.
[00:15:26.680 --> 00:15:32.240]   When you see certain things, you should have a framework to put, you know, they kind of
[00:15:32.240 --> 00:15:37.680]   talk about having some kind of grid or a structure so that you can hang stuff on, which totally
[00:15:37.680 --> 00:15:38.840]   makes sense.
[00:15:38.840 --> 00:15:42.560]   We see the grand, we've been given the privilege of seeing the grand masterful plan of God
[00:15:42.560 --> 00:15:47.600]   in redemption, and then that should cause us then to ask ourselves, how does this fit?
[00:15:47.600 --> 00:15:52.080]   And if we see it fit, we should be praying for those things.
[00:15:52.080 --> 00:15:57.560]   And so this, I do believe, is why Apostle Paul prays, and I think it was important enough
[00:15:57.560 --> 00:15:59.440]   to spend that kind of time on it.
[00:15:59.440 --> 00:16:03.720]   What's more, I think because he was thinking about that, that's why Apostle Paul, when
[00:16:03.720 --> 00:16:07.920]   he says, "For this reason," that is the reason for his prayer, but also that's the reason
[00:16:07.920 --> 00:16:10.640]   for the doxology.
[00:16:10.640 --> 00:16:12.120]   I have a blank for you there.
[00:16:12.120 --> 00:16:16.120]   The reason for the prayer and the doxology.
[00:16:16.120 --> 00:16:17.560]   What do I mean by that?
[00:16:17.560 --> 00:16:22.400]   What's really interesting is, as he begins with, "For this reason," and points back multiple
[00:16:22.400 --> 00:16:28.600]   times to the will, the intention, and the purpose of God, he also concludes this section
[00:16:28.600 --> 00:16:34.080]   and this first part, the first half, with this amazing doxology.
[00:16:34.080 --> 00:16:39.840]   And within this doxology, he says, "Now to him who is able to do far more abundantly
[00:16:39.840 --> 00:16:45.200]   beyond all that we ask or think according to the power that works within us.
[00:16:45.200 --> 00:16:52.160]   To him be the glory in the church and in Christ Jesus to all generations forever and ever.
[00:16:52.160 --> 00:16:53.160]   Amen."
[00:16:53.160 --> 00:16:54.160]   Okay?
[00:16:54.160 --> 00:16:55.160]   Now, I think he's going the wrong way.
[00:16:55.160 --> 00:17:00.840]   That first part of it in verse 20, one might be thinking like, "Hmm, we're just supposed
[00:17:00.840 --> 00:17:02.520]   to expect a ton from God."
[00:17:02.520 --> 00:17:03.520]   No.
[00:17:03.520 --> 00:17:09.040]   I think Apostle Paul is looking at God's intention and plan and looking at the people and just
[00:17:09.040 --> 00:17:11.120]   wanting the church to know.
[00:17:11.120 --> 00:17:16.760]   I want you to know God's amazing plan for you.
[00:17:16.760 --> 00:17:23.000]   Because lest you forget, God is not just trying to make you a winner in Orange County.
[00:17:23.000 --> 00:17:28.560]   That would be an incredibly, incredibly small plan if it was God's plan.
[00:17:28.560 --> 00:17:33.560]   God says, "I'm going to make you holy and blameless and present you before me in all
[00:17:33.560 --> 00:17:38.720]   eternity, completely clean, righteous.
[00:17:38.720 --> 00:17:41.720]   You're going to be glorified."
[00:17:41.720 --> 00:17:47.400]   And so, Apostle Paul, when he says, "God is able to do far more than what you're thinking,"
[00:17:47.400 --> 00:17:50.200]   I think he has a lot more in his mind than what we're thinking.
[00:17:50.200 --> 00:17:51.200]   That's my point.
[00:17:51.200 --> 00:17:55.240]   I think Apostle Paul is thinking to great grandeur.
[00:17:55.240 --> 00:18:00.880]   The thing about it is other gospel writers and other apostles speak the same way.
[00:18:00.880 --> 00:18:04.280]   "Man, if you only knew what God has in store."
[00:18:04.280 --> 00:18:08.720]   This is kind of like the 1 Peter, I think it's 2 Peter chapter 3 passage where a lot
[00:18:08.720 --> 00:18:11.480]   of people, he was like, "Some will say, 'What gives?
[00:18:11.480 --> 00:18:12.760]   Where is the coming?
[00:18:12.760 --> 00:18:15.080]   Since our father's past, it's been the same thing.'"
[00:18:15.080 --> 00:18:25.040]   And Apostle Peter is like, "Oh man, only if you knew what God counts as brevity and time.
[00:18:25.040 --> 00:18:28.840]   Only if you knew what was in store of what God is going to do."
[00:18:28.840 --> 00:18:33.080]   In the same way, that to Apostle Paul is his doxology.
[00:18:33.080 --> 00:18:39.320]   If you actually knew and thought about all that God is intending and planning, praise.
[00:18:39.320 --> 00:18:41.800]   Praise be to God and the church.
[00:18:41.800 --> 00:18:44.520]   And likewise, here's an interesting thought.
[00:18:44.520 --> 00:18:45.880]   There's this other verse in verse 15.
[00:18:45.880 --> 00:18:49.920]   I'm going to just briefly mention it because it's a little confusing.
[00:18:49.920 --> 00:18:54.680]   So Apostle Paul in the beginning of this prayer, he says, "For this reason I bow my knees before
[00:18:54.680 --> 00:19:00.600]   the Father, from whom every family in heaven and on earth derives its name."
[00:19:00.600 --> 00:19:05.160]   Now, because of for the sake of time, there is an appendix.
[00:19:05.160 --> 00:19:11.480]   There is an appendix of why I think it means what I'm about to say.
[00:19:11.480 --> 00:19:15.960]   I believe when he says, "From whom every family in heaven and on earth derives its name," he's
[00:19:15.960 --> 00:19:19.640]   not talking about every single family in existence.
[00:19:19.640 --> 00:19:23.440]   I think he's talking about every saint across time.
[00:19:23.440 --> 00:19:27.960]   Those who are in heaven already and those who are on earth.
[00:19:27.960 --> 00:19:33.040]   And what I'm thinking is when Apostle Paul is thinking about the Father, ones who have
[00:19:33.040 --> 00:19:37.600]   a relationship like that, what is he thinking about?
[00:19:37.600 --> 00:19:42.400]   He is thinking about how God has already worked.
[00:19:42.400 --> 00:19:46.280]   When you think about the church, you're thinking about, "Wow.
[00:19:46.280 --> 00:19:47.440]   Look at the hand of God.
[00:19:47.440 --> 00:19:49.780]   Look what God is creating."
[00:19:49.780 --> 00:19:52.220]   Because that's what the church is supposed to show.
[00:19:52.220 --> 00:19:53.220]   We are the handiwork.
[00:19:53.220 --> 00:19:55.760]   We're the workmanship.
[00:19:55.760 --> 00:20:00.000]   When you think about saved individuals, you're looking at spiritually transformed people
[00:20:00.000 --> 00:20:02.640]   by the power of God, by the Spirit of God.
[00:20:02.640 --> 00:20:09.200]   And so again, I believe Apostle Paul's mind is just wrapped up in God's incredible intention,
[00:20:09.200 --> 00:20:11.440]   purpose, and glory.
[00:20:11.440 --> 00:20:13.600]   Question to you.
[00:20:13.600 --> 00:20:22.300]   If your mind also is not aware of God's glory, God's plan, God's purposes, you will always
[00:20:22.300 --> 00:20:24.720]   be out of touch with reality.
[00:20:24.720 --> 00:20:29.480]   What's more, you're going to have a very hard time making sense of your life.
[00:20:29.480 --> 00:20:32.880]   What's more, you're going to be complaining.
[00:20:32.880 --> 00:20:37.560]   What's more, you're going to be devastated and despair.
[00:20:37.560 --> 00:20:44.600]   If our hearts as believers are not wowed, not only wowed, but then submissive to, not
[00:20:44.600 --> 00:20:50.680]   only submissive to, but devoted to the great cause of the glory of God, we are losing track
[00:20:50.680 --> 00:20:56.880]   of what our God, our Father is doing in this time.
[00:20:56.880 --> 00:20:58.480]   Why now?
[00:20:58.480 --> 00:20:59.480]   Why this?
[00:20:59.480 --> 00:21:00.480]   Why everything?
[00:21:00.480 --> 00:21:01.640]   Right?
[00:21:01.640 --> 00:21:08.400]   And so again, maybe we're talking a bit too overly philosophical or theoretical, but as
[00:21:08.400 --> 00:21:15.080]   we see the example of Apostle Paul, this he points to as a reason why he prays and what's
[00:21:15.080 --> 00:21:17.720]   more as a reason why he writes in this way.
[00:21:17.720 --> 00:21:18.720]   Okay?
[00:21:18.720 --> 00:21:23.440]   This has an exhortation for us if we're struggling with how to pray more in line with God's will,
[00:21:23.440 --> 00:21:25.520]   Apostle Paul gives us his example here.
[00:21:25.520 --> 00:21:30.320]   Okay, moving to number two, which we're going to take a little bit of less time on because
[00:21:30.320 --> 00:21:32.920]   I just want to do an overview and sequence.
[00:21:32.920 --> 00:21:33.920]   Okay?
[00:21:33.920 --> 00:21:37.120]   So what I mean by that is let's take a look at this passage and what I'm going to do is
[00:21:37.120 --> 00:21:42.980]   just a quick pop, pop, pop, pop, pop, comment on each of the different points of prayer
[00:21:42.980 --> 00:21:44.440]   to give you the overview.
[00:21:44.440 --> 00:21:45.440]   Right?
[00:21:45.440 --> 00:21:49.960]   And just as a quick tip, remember it's so important to look at the repetitions and see
[00:21:49.960 --> 00:21:53.380]   how he uses certain phrases to introduce his prayers.
[00:21:53.380 --> 00:21:57.760]   So I noticed he uses the term that and then he introduces a prayer.
[00:21:57.760 --> 00:22:03.560]   So there is that he would grant you to be strengthened with power and the next phrase
[00:22:03.560 --> 00:22:08.960]   is I moved according to his riches, according to the riches of his glory because it modifies
[00:22:08.960 --> 00:22:13.960]   or describes the strengthening that it would be in accordance with the riches of God.
[00:22:13.960 --> 00:22:19.640]   Through his spirit in the inner man so that Christ may dwell in your hearts through faith
[00:22:19.640 --> 00:22:22.740]   and that you may be able to comprehend.
[00:22:22.740 --> 00:22:25.560]   So this would be one lump kind of prayer.
[00:22:25.560 --> 00:22:29.000]   You're supposed to comprehend with the rest of the saints.
[00:22:29.000 --> 00:22:30.000]   Okay?
[00:22:30.000 --> 00:22:31.760]   Again, he's thinking all the saints.
[00:22:31.760 --> 00:22:32.760]   What is the breath?
[00:22:32.760 --> 00:22:33.760]   What is the length?
[00:22:33.760 --> 00:22:34.760]   What is the height and the depth?
[00:22:34.760 --> 00:22:36.640]   I'm not sure exactly which way it has to go.
[00:22:36.640 --> 00:22:41.160]   And he says and to know the love of Christ which surpasses knowledge, being rooted and
[00:22:41.160 --> 00:22:46.400]   grounded in love that you may be filled up to all the fullness of God.
[00:22:46.400 --> 00:22:50.600]   By way of summary for you, here are the terms just as a quick summary.
[00:22:50.600 --> 00:22:51.600]   Right?
[00:22:51.600 --> 00:22:56.000]   The number one thing that he says is that God would grant strength with power.
[00:22:56.000 --> 00:23:02.440]   And then it moves to so that Christ may dwell in your heart and that you may know Christ's
[00:23:02.440 --> 00:23:03.440]   love.
[00:23:03.440 --> 00:23:09.600]   I set this apart as a separate prayer because being rooted and grounded in love is a participle
[00:23:09.600 --> 00:23:14.040]   meaning this is what you're supposed to be as you know the love of God.
[00:23:14.040 --> 00:23:17.880]   But I think what he's thinking, he's thinking progression, right?
[00:23:17.880 --> 00:23:24.000]   That as you know the depth of Christ's love, you are going to be rooted and grounded, unshakable
[00:23:24.000 --> 00:23:25.520]   in the love of Christ.
[00:23:25.520 --> 00:23:31.120]   And what's more, it's going to culminate to being filled with the fullness of God.
