
[00:00:00.000 --> 00:00:03.160]   (audience chattering)
[00:05:33.620 --> 00:05:41.620]   Hello, hello, everybody.
[00:05:41.620 --> 00:05:43.620]   Let's take our seats,
[00:05:43.620 --> 00:05:47.620]   and we'll get started with worship in just 30 seconds.
[00:05:47.620 --> 00:05:51.620]   (audience chattering continues)
[00:05:52.620 --> 00:05:56.620]   (audience chattering continues)
[00:05:56.620 --> 00:06:07.620]   Okay, everyone, please join with me in a word of prayer.
[00:06:07.620 --> 00:06:11.620]   Our God and Father, we are so grateful to you.
[00:06:11.620 --> 00:06:15.620]   Thank you, God, for all that you provide into our lives.
[00:06:15.620 --> 00:06:17.620]   Lord, your fatherly provision,
[00:06:17.620 --> 00:06:19.620]   your instruction for us daily,
[00:06:19.620 --> 00:06:22.620]   and, God, just the simple fact that you sustain us in Christ.
[00:06:22.620 --> 00:06:24.620]   And, Lord, we are always grateful
[00:06:24.620 --> 00:06:26.620]   for the privilege of coming together as a church.
[00:06:26.620 --> 00:06:28.620]   We're grateful, God, for the body.
[00:06:28.620 --> 00:06:30.620]   Lord, we know this is all part of your plan.
[00:06:30.620 --> 00:06:32.620]   Lord, it's your grace,
[00:06:32.620 --> 00:06:35.620]   your ordained body that we've come together.
[00:06:35.620 --> 00:06:38.620]   And we pray that when we come together in faith,
[00:06:38.620 --> 00:06:40.620]   looking to you, desiring to learn
[00:06:40.620 --> 00:06:42.620]   and grow into the image of Christ,
[00:06:42.620 --> 00:06:45.620]   that all this would be honoring and pleasing in your sight.
[00:06:45.620 --> 00:06:46.620]   We thank you, Lord.
[00:06:46.620 --> 00:06:47.620]   It's in Christ's name we pray.
[00:06:47.620 --> 00:06:48.620]   Amen.
[00:06:48.620 --> 00:06:53.620]   (gentle music)
[00:06:53.620 --> 00:07:09.620]   ♪ This life is an altar ♪
[00:07:09.620 --> 00:07:13.620]   ♪ This life is an altar ♪
[00:07:13.620 --> 00:07:17.620]   ♪ I want to offer my soul ♪
[00:07:17.620 --> 00:07:22.620]   ♪ My mind and strength ♪
[00:07:22.620 --> 00:07:27.620]   ♪ Cleansed by your mercy ♪
[00:07:27.620 --> 00:07:31.620]   ♪ To live a life worthy of the one ♪
[00:07:31.620 --> 00:07:36.620]   ♪ Who called my name ♪
[00:07:36.620 --> 00:07:40.620]   ♪ Jesus, be glorified ♪
[00:07:40.620 --> 00:07:44.620]   ♪ Jesus, be magnified ♪
[00:07:44.620 --> 00:07:49.620]   ♪ Let me be a pleasing sacrifice ♪
[00:07:49.620 --> 00:07:54.620]   ♪ Jesus, be glorified ♪
[00:07:54.620 --> 00:07:58.620]   ♪ Jesus, be magnified ♪
[00:07:58.620 --> 00:08:01.620]   ♪ Here on the altar ♪
[00:08:01.620 --> 00:08:05.620]   ♪ My life is in offering ♪
[00:08:06.620 --> 00:08:11.620]   (gentle music)
[00:08:11.620 --> 00:08:20.620]   ♪ How could I not love you ♪
[00:08:20.620 --> 00:08:23.620]   ♪ How could I not love you ♪
[00:08:23.620 --> 00:08:25.620]   ♪ You authored my rescue ♪
[00:08:25.620 --> 00:08:30.620]   ♪ You raised me up from death to life ♪
[00:08:34.620 --> 00:08:38.620]   ♪ Your spirit is in me ♪
[00:08:38.620 --> 00:08:40.620]   ♪ Revealing your glory ♪
[00:08:40.620 --> 00:08:45.620]   ♪ Oh, what joy as I give my life ♪
[00:08:45.620 --> 00:08:50.620]   ♪ Jesus, be glorified ♪
[00:08:50.620 --> 00:08:54.620]   ♪ Jesus, be magnified ♪
[00:08:54.620 --> 00:08:59.620]   ♪ Let me be a pleasing sacrifice ♪
[00:09:01.620 --> 00:09:05.620]   ♪ Jesus, be glorified ♪
[00:09:05.620 --> 00:09:08.620]   ♪ Jesus, be magnified ♪
[00:09:08.620 --> 00:09:12.620]   ♪ Here on the altar ♪
[00:09:12.620 --> 00:09:16.620]   ♪ My life is in offering ♪
[00:09:16.620 --> 00:09:21.620]   (gentle music)
[00:09:30.620 --> 00:09:34.620]   ♪ I choose to lose my life, Lord ♪
[00:09:34.620 --> 00:09:37.620]   ♪ And find it in you ♪
[00:09:37.620 --> 00:09:41.620]   ♪ I choose to lose my life, Lord ♪
[00:09:41.620 --> 00:09:45.620]   ♪ And find it in you ♪
[00:09:45.620 --> 00:09:48.620]   ♪ I choose to lose my life, Lord ♪
[00:09:48.620 --> 00:09:52.620]   ♪ And find it in you ♪
[00:09:52.620 --> 00:09:55.620]   ♪ I choose to lose my life, Lord ♪
[00:09:55.620 --> 00:10:00.620]   ♪ And find it in you ♪
[00:10:00.620 --> 00:10:06.620]   ♪ Jesus, be glorified ♪
[00:10:06.620 --> 00:10:10.620]   ♪ Jesus, be magnified ♪
[00:10:10.620 --> 00:10:15.620]   ♪ Let me be a pleasing sacrifice ♪
[00:10:15.620 --> 00:10:21.620]   ♪ Jesus, be glorified ♪
[00:10:21.620 --> 00:10:25.620]   ♪ Jesus, be magnified ♪
[00:10:25.620 --> 00:10:28.620]   ♪ Here on the altar ♪
[00:10:28.620 --> 00:10:32.620]   ♪ My life is in offering ♪
[00:10:32.620 --> 00:10:37.620]   (gentle music)
[00:10:37.620 --> 00:10:45.620]   ♪ Show me nothing of our efforts ♪
[00:10:45.620 --> 00:10:50.620]   ♪ Show me nothing of our efforts ♪
[00:10:51.620 --> 00:10:56.620]   ♪ Stand, no legacy survive ♪
[00:10:56.620 --> 00:11:03.620]   ♪ Unless the Lord does raise the house in vain ♪
[00:11:03.620 --> 00:11:12.620]   ♪ Its builders strive ♪
[00:11:12.620 --> 00:11:17.620]   ♪ To you who boast tomorrow's gain ♪
[00:11:19.620 --> 00:11:24.620]   ♪ Tell me, what is your life ♪
[00:11:24.620 --> 00:11:31.620]   ♪ Amidst the vanishes at dawn ♪
[00:11:31.620 --> 00:11:38.620]   ♪ All glory be to Christ ♪
[00:11:38.620 --> 00:11:40.620]   ♪ All glory ♪
[00:11:40.620 --> 00:11:45.620]   ♪ All glory be to Christ, our King ♪
[00:11:47.620 --> 00:11:52.620]   ♪ All glory be to Christ ♪
[00:11:52.620 --> 00:11:59.620]   ♪ His rule and reign we'll ever sing ♪
[00:11:59.620 --> 00:12:06.620]   ♪ All glory be to Christ ♪
[00:12:06.620 --> 00:12:12.620]   ♪ His will be done ♪
[00:12:12.620 --> 00:12:15.620]   ♪ His will be done ♪
[00:12:15.620 --> 00:12:18.620]   ♪ His kingdom come ♪
[00:12:18.620 --> 00:12:23.620]   ♪ On earth as it is above ♪
[00:12:23.620 --> 00:12:30.620]   ♪ Who is himself our daily bread ♪
[00:12:30.620 --> 00:12:37.620]   ♪ Praise him, Lord ♪
[00:12:37.620 --> 00:12:44.620]   ♪ Living water satisfied ♪
[00:12:45.620 --> 00:12:50.620]   ♪ But thirsty without price ♪
[00:12:50.620 --> 00:12:57.620]   ♪ We'll take a cup of kindness yet ♪
[00:12:57.620 --> 00:13:04.620]   ♪ All glory be to Christ ♪
[00:13:04.620 --> 00:13:11.620]   ♪ All glory be to Christ, our King ♪
[00:13:13.620 --> 00:13:18.620]   ♪ All glory be to Christ ♪
[00:13:18.620 --> 00:13:25.620]   ♪ His rule and reign we'll ever sing ♪
[00:13:25.620 --> 00:13:32.620]   ♪ All glory be to Christ ♪
[00:13:32.620 --> 00:13:38.620]   ♪ And on the day ♪
[00:13:38.620 --> 00:13:43.620]   ♪ The great I am ♪
[00:13:43.620 --> 00:13:48.620]   ♪ The faithful and the true ♪
[00:13:48.620 --> 00:13:55.620]   ♪ The lamb who was for sinners slain ♪
[00:13:55.620 --> 00:14:02.620]   ♪ Is making his name ♪
[00:14:04.620 --> 00:14:09.620]   ♪ Oh Lord, our God shall live with us ♪
[00:14:09.620 --> 00:14:16.620]   ♪ In heaven our steadfast light ♪
[00:14:16.620 --> 00:14:23.620]   ♪ And we shall e'er his people be ♪
[00:14:23.620 --> 00:14:30.620]   ♪ All glory be to Christ ♪
[00:14:31.620 --> 00:14:36.620]   ♪ All glory be to Christ, our King ♪
[00:14:36.620 --> 00:14:43.620]   ♪ All glory be to Christ ♪
[00:14:43.620 --> 00:14:50.620]   ♪ His rule and reign we'll ever sing ♪
[00:14:50.620 --> 00:14:57.620]   ♪ All glory be to Christ ♪
[00:14:59.620 --> 00:15:04.620]   ♪ All glory be to Christ, our King ♪
[00:15:04.620 --> 00:15:11.620]   ♪ All glory be to Christ ♪
[00:15:11.620 --> 00:15:18.620]   ♪ His rule and reign we'll ever sing ♪
[00:15:18.620 --> 00:15:24.120]   ♪ All glory be to Christ ♪
[00:15:24.120 --> 00:15:27.620]   Let's pray.
[00:15:28.620 --> 00:15:30.620]   Heavenly Father, God, we thank you
[00:15:30.620 --> 00:15:33.620]   for every good gift that you've given to us.
[00:15:33.620 --> 00:15:35.620]   We thank you for every breath.
[00:15:35.620 --> 00:15:39.620]   God, I pray that you wouldn't waste these breaths
[00:15:39.620 --> 00:15:41.620]   that you've given to us by living for ourselves.
[00:15:41.620 --> 00:15:44.620]   But Lord, I pray that you'd help us to live by your spirit.
[00:15:44.620 --> 00:15:47.620]   God, I pray that as we read from your word tonight
[00:15:47.620 --> 00:15:49.620]   that you would continue to convict us
[00:15:49.620 --> 00:15:52.620]   and help us to understand what you have in store for us.
[00:15:52.620 --> 00:15:54.620]   In Jesus' name we pray, amen.
[00:15:55.620 --> 00:15:58.620]   We'll start our table discussions now and reconvene at eight.
[00:15:58.620 --> 00:16:09.620]   (laughing)
[00:16:09.620 --> 00:16:12.620]   (chattering)
[00:16:12.620 --> 00:16:14.620]   (laughing)
[00:16:14.620 --> 00:16:16.620]   Wait, what happened?
[00:16:16.620 --> 00:16:19.620]   (chattering)
[00:16:20.620 --> 00:16:21.620]   Oh.
[00:16:21.620 --> 00:16:24.620]   (chattering)
[00:16:24.620 --> 00:16:40.620]   (laughing)
[00:16:40.620 --> 00:16:43.620]   (chattering)
[00:16:43.620 --> 00:16:46.620]   (laughing)
[00:16:47.620 --> 00:16:50.620]   (chattering)
[00:16:50.620 --> 00:17:03.620]   (chattering)
[00:17:03.620 --> 00:17:06.620]   (laughing)
[00:17:06.620 --> 00:17:09.620]   (chattering)
[00:17:09.620 --> 00:17:12.620]   (laughing)
[00:17:12.620 --> 00:17:15.620]   (chattering)
[00:17:15.620 --> 00:17:18.620]   (chattering)
[00:17:18.620 --> 00:17:21.620]   (audience laughing)
[00:17:21.620 --> 00:17:24.620]   (audience laughing)
[00:17:24.620 --> 00:17:27.620]   (audience laughing)
[00:17:27.620 --> 00:17:30.620]   (audience laughing)
[00:17:30.620 --> 00:17:33.620]   (audience laughing)
[00:17:33.620 --> 00:17:36.620]   (audience laughing)
[00:17:36.620 --> 00:17:39.620]   (audience laughing)
[00:17:39.620 --> 00:17:42.620]   (audience laughing)
[00:17:42.620 --> 00:17:45.620]   (audience laughing)
[00:17:45.620 --> 00:17:48.620]   (audience laughing)
[00:17:48.620 --> 00:17:51.620]   (audience laughing)
[00:17:51.620 --> 00:17:54.620]   (audience laughing)
[00:17:54.620 --> 00:17:57.620]   (audience laughing)
[00:17:57.620 --> 00:18:00.620]   (audience laughing)
[00:18:00.620 --> 00:18:03.620]   (audience laughing)
[00:18:03.620 --> 00:18:06.620]   (audience laughing)
[00:18:06.620 --> 00:18:09.620]   (audience laughing)
[00:18:09.620 --> 00:18:16.620]   (audience laughing)
[00:18:16.620 --> 00:18:22.620]   (audience laughing)
[00:18:22.620 --> 00:18:28.620]   (audience laughing)
[00:18:28.620 --> 00:18:33.620]   (audience laughing)
[00:18:33.620 --> 00:18:36.620]   (audience laughing)
[00:18:36.620 --> 00:18:43.620]   (audience laughing)
[00:18:43.620 --> 00:18:48.620]   (audience laughing)
[00:18:48.620 --> 00:18:53.620]   (audience laughing)
[00:18:53.620 --> 00:19:00.620]   (audience laughing)
[00:19:00.620 --> 00:19:03.620]   (audience laughing)
[00:19:03.620 --> 00:19:10.620]   (audience laughing)
[00:19:10.620 --> 00:19:18.620]   (audience laughing)
[00:19:18.620 --> 00:19:25.620]   (audience laughing)
[00:19:25.620 --> 00:19:28.620]   (audience laughing)
[00:19:28.620 --> 00:19:39.620]   (audience laughing)
[00:19:39.620 --> 00:19:52.620]   (audience laughing)
[00:19:52.620 --> 00:19:55.620]   (audience laughing)
[00:19:55.620 --> 00:20:15.620]   (audience laughing)
[00:20:15.620 --> 00:20:18.620]   (audience laughing)
[00:20:18.620 --> 00:20:34.620]   (audience laughing)
[00:20:35.620 --> 00:20:38.620]   (audience laughing)
[00:20:38.620 --> 00:20:58.620]   (audience laughing)
[00:20:58.620 --> 00:21:01.620]   (audience laughing)
[00:21:01.620 --> 00:21:24.620]   (audience laughing)
[00:21:24.620 --> 00:21:27.620]   (audience laughing)
[00:21:27.620 --> 00:21:38.620]   (audience laughing)
[00:21:38.620 --> 00:21:45.620]   (audience laughing)
[00:21:45.620 --> 00:21:48.620]   (audience laughing)
[00:21:48.620 --> 00:22:10.620]   (audience laughing)
[00:22:10.620 --> 00:22:13.620]   (audience laughing)
[00:22:13.620 --> 00:22:30.620]   (audience laughing)
[00:22:30.620 --> 00:22:33.620]   (audience laughing)
[00:22:33.620 --> 00:22:49.620]   (audience laughing)
[00:22:49.620 --> 00:22:56.620]   (audience laughing)
[00:22:56.620 --> 00:22:59.620]   (audience laughing)
[00:22:59.620 --> 00:23:14.620]   (audience laughing)
[00:23:14.620 --> 00:23:17.620]   (audience laughing)
[00:23:43.620 --> 00:23:46.620]   (audience laughing)
[00:23:47.620 --> 00:23:50.620]   (audience laughing)
[00:23:50.620 --> 00:24:05.620]   (audience laughing)
[00:24:05.620 --> 00:24:08.620]   (audience laughing)
[00:24:08.620 --> 00:24:11.620]   (audience laughing)
[00:24:11.620 --> 00:24:14.620]   (audience laughing)
[00:24:14.620 --> 00:24:17.620]   (audience laughing)
[00:24:17.620 --> 00:24:20.620]   (audience laughing)
[00:24:21.620 --> 00:24:24.620]   (audience laughing)
[00:24:49.620 --> 00:24:52.620]   (audience laughing)
[00:24:52.620 --> 00:25:08.620]   (audience laughing)
[00:25:08.620 --> 00:25:11.620]   (audience laughing)
[00:25:11.620 --> 00:25:35.620]   (audience laughing)
[00:25:36.620 --> 00:25:39.620]   (audience laughing)
[00:25:39.620 --> 00:25:53.620]   (audience laughing)
[00:25:53.620 --> 00:25:56.620]   (audience laughing)
[00:25:56.620 --> 00:26:15.620]   (audience laughing)
[00:26:15.620 --> 00:26:18.620]   (audience laughing)
[00:26:19.620 --> 00:26:22.620]   (audience laughing)
[00:26:46.620 --> 00:26:49.620]   (audience laughing)
[00:26:49.620 --> 00:27:08.620]   (audience laughing)
[00:27:08.620 --> 00:27:11.620]   (audience laughing)
[00:27:11.620 --> 00:27:14.620]   (audience laughing)
[00:27:14.620 --> 00:27:17.620]   (audience laughing)
[00:27:18.620 --> 00:27:21.620]   (audience laughing)
[00:27:21.620 --> 00:27:24.620]   (audience laughing)
[00:27:24.620 --> 00:27:49.620]   (audience laughing)
[00:27:49.620 --> 00:27:52.620]   (audience laughing)
[00:27:52.620 --> 00:27:55.620]   (audience laughing)
[00:27:56.620 --> 00:27:59.620]   (audience laughing)
[00:28:00.620 --> 00:28:03.620]   (audience laughing)
[00:28:04.620 --> 00:28:07.620]   (audience laughing)
[00:28:07.620 --> 00:28:10.620]   (audience laughing)
[00:28:10.620 --> 00:28:13.620]   (audience laughing)
[00:28:13.620 --> 00:28:16.620]   (audience laughing)
[00:28:17.620 --> 00:28:20.620]   (audience laughing)
[00:28:20.620 --> 00:28:44.620]   (audience laughing)
[00:28:44.620 --> 00:28:47.620]   (audience laughing)
[00:28:47.620 --> 00:28:50.620]   (audience laughing)
[00:28:50.620 --> 00:28:53.620]   (audience laughing)
[00:28:53.620 --> 00:28:56.620]   (audience laughing)
[00:28:56.620 --> 00:28:59.620]   (audience laughing)
[00:28:59.620 --> 00:29:02.620]   (audience laughing)
[00:29:02.620 --> 00:29:05.620]   (audience laughing)
[00:29:05.620 --> 00:29:08.620]   (audience laughing)
[00:29:08.620 --> 00:29:25.620]   (audience laughing)
[00:29:25.620 --> 00:29:34.620]   (audience laughing)
[00:29:34.620 --> 00:29:37.620]   (audience laughing)
[00:29:37.620 --> 00:29:45.620]   (audience laughing)
[00:29:45.620 --> 00:29:58.620]   (audience laughing)
[00:29:58.620 --> 00:30:01.620]   (audience laughing)
[00:30:01.620 --> 00:30:04.620]   (audience laughing)
[00:30:04.620 --> 00:30:07.620]   (audience laughing)
[00:30:07.620 --> 00:30:10.620]   (audience laughing)
[00:30:10.620 --> 00:30:13.620]   (audience laughing)
[00:30:14.620 --> 00:30:17.620]   (audience laughing)
[00:30:17.620 --> 00:30:20.620]   (audience laughing)
[00:30:20.620 --> 00:30:23.620]   (audience laughing)
[00:30:23.620 --> 00:30:26.620]   (audience laughing)
[00:30:27.620 --> 00:30:30.620]   (audience laughing)
[00:30:30.620 --> 00:30:33.620]   (audience laughing)
[00:30:33.620 --> 00:30:36.620]   (audience laughing)
[00:30:36.620 --> 00:30:39.620]   (audience laughing)
[00:30:39.620 --> 00:30:42.620]   (audience laughing)
[00:30:42.620 --> 00:30:45.620]   (audience laughing)
[00:30:45.620 --> 00:30:48.620]   (audience laughing)
[00:31:13.620 --> 00:31:16.620]   (audience laughing)
[00:31:16.620 --> 00:31:19.620]   (audience laughing)
[00:31:19.620 --> 00:31:22.620]   (audience laughing)
[00:31:22.620 --> 00:31:25.620]   (audience laughing)
[00:31:26.620 --> 00:31:29.620]   (audience laughing)
[00:31:29.620 --> 00:31:34.620]   (audience laughing)
[00:31:34.620 --> 00:31:41.620]   (audience laughing)
[00:31:41.620 --> 00:31:47.620]   (audience laughing)
[00:31:47.620 --> 00:31:54.620]   (audience laughing)
[00:31:54.620 --> 00:31:57.620]   (audience laughing)
[00:31:57.620 --> 00:32:18.620]   (audience laughing)
[00:32:18.620 --> 00:32:21.620]   (audience laughing)
[00:32:21.620 --> 00:32:24.620]   (audience laughing)
[00:32:24.620 --> 00:32:27.620]   (audience laughing)
[00:32:27.620 --> 00:32:30.620]   (audience laughing)
[00:32:30.620 --> 00:32:33.620]   (audience laughing)
[00:32:33.620 --> 00:32:36.620]   (audience laughing)
[00:32:36.620 --> 00:32:39.620]   (audience laughing)
[00:32:39.620 --> 00:32:42.620]   (audience laughing)
[00:32:42.620 --> 00:32:45.620]   (audience laughing)
[00:32:45.620 --> 00:32:48.620]   (audience laughing)
[00:32:48.620 --> 00:33:02.620]   (audience laughing)
[00:33:13.620 --> 00:33:16.620]   (audience laughing)
[00:33:16.620 --> 00:33:19.620]   (audience laughing)
[00:33:19.620 --> 00:33:22.620]   (audience laughing)
[00:33:22.620 --> 00:33:27.620]   (audience laughing)
[00:33:27.620 --> 00:33:33.620]   (audience laughing)
[00:33:33.620 --> 00:33:39.620]   (audience laughing)
[00:33:39.620 --> 00:33:46.620]   (audience laughing)
[00:33:47.620 --> 00:33:50.620]   (audience laughing)
[00:33:50.620 --> 00:34:00.620]   (audience laughing)
[00:34:00.620 --> 00:34:03.620]   (audience laughing)
[00:34:03.620 --> 00:34:24.620]   (audience laughing)
[00:34:25.620 --> 00:34:28.620]   (audience laughing)
[00:34:28.620 --> 00:34:45.620]   (audience laughing)
[00:34:51.620 --> 00:34:54.620]   (audience laughing)
[00:34:54.620 --> 00:35:08.620]   (audience laughing)
[00:35:09.620 --> 00:35:12.620]   (audience laughing)
[00:35:12.620 --> 00:35:15.620]   (audience laughing)
[00:35:15.620 --> 00:35:18.620]   (audience laughing)
[00:35:18.620 --> 00:35:21.620]   (audience laughing)
[00:35:21.620 --> 00:35:24.620]   (audience laughing)
[00:35:24.620 --> 00:35:27.620]   (audience laughing)
[00:35:27.620 --> 00:35:30.620]   (audience laughing)
[00:35:54.620 --> 00:35:57.620]   (audience laughing)
[00:35:57.620 --> 00:36:09.620]   (audience laughing)
[00:36:09.620 --> 00:36:12.620]   (audience laughing)
[00:36:12.620 --> 00:36:28.620]   (audience laughing)
[00:36:28.620 --> 00:36:31.620]   (audience laughing)
[00:36:31.620 --> 00:36:34.620]   (audience laughing)
[00:36:34.620 --> 00:36:37.620]   (audience laughing)
[00:36:37.620 --> 00:36:40.620]   (audience laughing)
[00:36:40.620 --> 00:36:43.620]   (audience laughing)
[00:36:44.620 --> 00:36:47.620]   (audience laughing)
[00:37:12.620 --> 00:37:15.620]   (audience laughing)
[00:37:15.620 --> 00:37:18.620]   (audience laughing)
[00:37:19.620 --> 00:37:22.620]   (audience laughing)
[00:37:23.620 --> 00:37:26.620]   (audience laughing)
[00:37:26.620 --> 00:37:29.620]   (audience laughing)
[00:37:30.620 --> 00:37:33.620]   (audience laughing)
[00:37:33.620 --> 00:37:36.620]   (audience laughing)
[00:37:36.620 --> 00:37:39.620]   (audience laughing)
[00:37:39.620 --> 00:37:42.620]   (audience laughing)
[00:37:42.620 --> 00:37:45.620]   (audience laughing)
[00:37:45.620 --> 00:37:48.620]   (audience laughing)
[00:37:48.620 --> 00:37:51.620]   (audience laughing)
[00:37:51.620 --> 00:37:54.620]   (audience laughing)
[00:37:54.620 --> 00:37:57.620]   (audience laughing)
[00:37:57.620 --> 00:38:00.620]   (audience laughing)
[00:38:00.620 --> 00:38:03.620]   (audience laughing)
[00:38:04.620 --> 00:38:07.620]   (audience laughing)
[00:38:07.620 --> 00:38:10.620]   (audience laughing)
[00:38:10.620 --> 00:38:13.620]   (audience laughing)
[00:38:13.620 --> 00:38:16.620]   (audience laughing)
[00:38:16.620 --> 00:38:19.620]   (audience laughing)
[00:38:19.620 --> 00:38:22.620]   (audience laughing)
[00:38:22.620 --> 00:38:25.620]   (audience laughing)
[00:38:25.620 --> 00:38:28.620]   (audience laughing)
[00:38:28.620 --> 00:38:31.620]   (audience laughing)
[00:38:31.620 --> 00:38:34.620]   (audience laughing)
[00:38:34.620 --> 00:38:37.620]   (audience laughing)
[00:38:37.620 --> 00:38:40.620]   (audience laughing)
[00:38:40.620 --> 00:38:43.620]   (audience laughing)
[00:38:43.620 --> 00:38:46.620]   (audience laughing)
[00:38:46.620 --> 00:38:49.620]   (audience laughing)
[00:38:49.620 --> 00:38:52.620]   (audience laughing)
[00:39:16.620 --> 00:39:19.620]   (audience laughing)
[00:39:19.620 --> 00:39:22.620]   (audience laughing)
[00:39:22.620 --> 00:39:25.620]   (audience laughing)
[00:39:25.620 --> 00:39:28.620]   (audience laughing)
[00:39:28.620 --> 00:39:31.620]   (audience laughing)
[00:39:32.620 --> 00:39:35.620]   (audience laughing)
[00:39:35.620 --> 00:39:38.620]   (audience laughing)
[00:39:38.620 --> 00:39:41.620]   (audience laughing)
[00:39:41.620 --> 00:39:44.620]   (audience laughing)
[00:39:44.620 --> 00:39:47.620]   (audience laughing)
[00:39:47.620 --> 00:39:50.620]   (audience laughing)
[00:39:50.620 --> 00:39:53.620]   (audience laughing)
[00:39:53.620 --> 00:39:56.620]   (audience laughing)
[00:39:56.620 --> 00:39:59.620]   (audience laughing)
[00:39:59.620 --> 00:40:02.620]   (audience laughing)
[00:40:03.620 --> 00:40:06.620]   (audience laughing)
[00:40:06.620 --> 00:40:13.620]   (audience laughing)
[00:40:13.620 --> 00:40:19.620]   (audience laughing)
[00:40:19.620 --> 00:40:25.620]   (audience laughing)
[00:40:25.620 --> 00:40:28.620]   (audience laughing)
[00:40:28.620 --> 00:40:31.620]   (audience laughing)
[00:40:31.620 --> 00:40:34.620]   (audience laughing)
[00:40:34.620 --> 00:40:37.620]   (audience laughing)
[00:40:37.620 --> 00:40:40.620]   (audience laughing)
[00:40:40.620 --> 00:41:06.620]   (audience laughing)
[00:41:06.620 --> 00:41:09.620]   (audience laughing)
[00:41:09.620 --> 00:41:12.620]   (audience laughing)
[00:41:12.620 --> 00:41:15.620]   (audience laughing)
[00:41:15.620 --> 00:41:18.620]   (audience laughing)
[00:41:18.620 --> 00:41:21.620]   (audience laughing)
