
[00:00:00.000 --> 00:00:04.000]   (Pause)
[00:02:24.000 --> 00:02:27.000]   is because I don't think the secular knows what to do with this.
[00:02:27.000 --> 00:02:31.000]   Because it's a unique holiday that was set apart for worship,
[00:02:31.000 --> 00:02:34.000]   to give thanks to God for what God has done.
[00:02:34.000 --> 00:02:37.000]   And I think it's important for us as Christians that,
[00:02:37.000 --> 00:02:39.000]   again, not just once a year,
[00:02:39.000 --> 00:02:42.000]   but celebrating Thanksgiving is a reminder to us
[00:02:42.000 --> 00:02:46.000]   that this is something that we ought to be doing regularly, all the time.
[00:02:46.000 --> 00:02:49.000]   You know, before we even jump into that,
[00:02:49.000 --> 00:02:51.000]   I want to get some stuff off my chest,
[00:02:51.000 --> 00:02:53.000]   because before we get into Thanksgiving,
[00:02:53.000 --> 00:02:57.000]   I want to share with you some of the things that's been bothering me.
[00:02:57.000 --> 00:03:00.000]   Just this week, I got new neighbors,
[00:03:00.000 --> 00:03:04.000]   we're living in a cul-de-sac, and before they moved in,
[00:03:04.000 --> 00:03:07.000]   we had the reign of parking in our cul-de-sac.
[00:03:07.000 --> 00:03:10.000]   And so we're able to park anywhere we want,
[00:03:10.000 --> 00:03:14.000]   and all of a sudden, this--it looked like some kind of daycare center moved in,
[00:03:14.000 --> 00:03:17.000]   because they got all kinds of cars sitting outside.
[00:03:17.000 --> 00:03:21.000]   Now, whenever we park, we have to maneuver with them, you know?
[00:03:21.000 --> 00:03:23.000]   So we have to have a strategy.
[00:03:23.000 --> 00:03:27.000]   When you come home, park your car, make sure you park on the street first.
[00:03:27.000 --> 00:03:30.000]   So we're going to dominate this, and then park.
[00:03:30.000 --> 00:03:32.000]   So every time I come out, I check the city,
[00:03:32.000 --> 00:03:35.000]   it was like, "Oh, my gosh, they got like five cars out here."
[00:03:35.000 --> 00:03:38.000]   Anyway, I'm getting some of that off my chest.
[00:03:38.000 --> 00:03:40.000]   Ever since the pandemic--some of you guys know,
[00:03:40.000 --> 00:03:44.000]   we live right by the train station, and then behind there's like a walkway.
[00:03:44.000 --> 00:03:48.000]   And usually it's not used well, but ever since the pandemic,
[00:03:48.000 --> 00:03:51.000]   people have been exercising there, hanging out there,
[00:03:51.000 --> 00:03:54.000]   the teenagers are riding their skateboards up and down,
[00:03:54.000 --> 00:03:56.000]   and so it's always busy.
[00:03:56.000 --> 00:03:59.000]   So every morning, I'm doing quiet time reading the Bible,
[00:03:59.000 --> 00:04:01.000]   and I hear them yelling and screaming.
[00:04:01.000 --> 00:04:04.000]   Anyway, I'm getting some of that off my chest, okay?
[00:04:04.000 --> 00:04:07.000]   So this is what's been going on in my life.
[00:04:07.000 --> 00:04:11.000]   This week, I was driving from--
[00:04:11.000 --> 00:04:15.000]   I went to Carl's Jr. to pick a hamburger for lunch,
[00:04:15.000 --> 00:04:20.000]   and I asked them to give me extra lettuce on my Famous Star,
[00:04:20.000 --> 00:04:24.000]   and by the time I got back, instead of giving me extra lettuce,
[00:04:24.000 --> 00:04:27.000]   they gave me a lettuce wrap.
[00:04:27.000 --> 00:04:29.000]   I've never eaten lettuce wrap before.
[00:04:29.000 --> 00:04:33.000]   I was thinking, "If I wanted salad, I would have ordered salad," right?
[00:04:33.000 --> 00:04:38.000]   And so that same day, I was coming back from Carl's Jr.,
[00:04:38.000 --> 00:04:42.000]   it was like a right turn right off of coming into, I think, Red Hill in--
[00:04:42.000 --> 00:04:46.000]   what is that? Red Hill in Maine?
[00:04:46.000 --> 00:04:49.000]   And I'm making a right turn, but you know one of those people
[00:04:49.000 --> 00:04:52.000]   that always--they're intending to go straight,
[00:04:52.000 --> 00:04:54.000]   but they park right in the middle?
[00:04:54.000 --> 00:04:57.000]   You know what I'm talking about? You guys know what I'm talking about.
[00:04:57.000 --> 00:04:59.000]   You know how frustrating that is?
[00:04:59.000 --> 00:05:01.000]   They're not trying to make a right turn, they're going to go straight,
[00:05:01.000 --> 00:05:03.000]   and they're taking up both lanes.
[00:05:03.000 --> 00:05:06.000]   So this guy, I was about to make a right turn, and then he wouldn't budge.
[00:05:06.000 --> 00:05:09.000]   So I said, "Okay, I'm a pastor, so I better..."
[00:05:09.000 --> 00:05:13.000]   So I just sat there waiting for the red light to turn,
[00:05:13.000 --> 00:05:16.000]   but he looked, and we made eye contact,
[00:05:16.000 --> 00:05:19.000]   and the first thing I see, his middle finger goes up.
[00:05:19.000 --> 00:05:21.000]   And I said, "What did I do?"
[00:05:21.000 --> 00:05:25.000]   And he said, "Yeah, I don't have a pleasant resting face."
[00:05:25.000 --> 00:05:29.000]   So maybe he looked at me, and he thought I was angry,
[00:05:29.000 --> 00:05:31.000]   and he just flipped me off, he's like, "Wow."
[00:05:31.000 --> 00:05:36.000]   And that's with the lettuce wrap in the car, which I didn't know.
[00:05:36.000 --> 00:05:39.000]   And then here's the worst.
[00:05:39.000 --> 00:05:43.000]   So I've been trying to deal with something that's been going on with Amazon.
[00:05:43.000 --> 00:05:48.000]   They said that I owed back taxes for something that happened on Amazon,
[00:05:48.000 --> 00:05:51.000]   and so I've been on the phone with them for the last three days,
[00:05:51.000 --> 00:05:55.000]   for hours and hours, and I've talked to them over ten people,
[00:05:55.000 --> 00:05:58.000]   and I've been trying to contact them through the phone, through the Internet,
[00:05:58.000 --> 00:06:03.000]   I've gone to Amazon.com, and the only time they give any kind of response
[00:06:03.000 --> 00:06:05.000]   is if I put something on Amazon.
[00:06:05.000 --> 00:06:09.000]   So I was on the phone that day with Amazon, going back and forth
[00:06:09.000 --> 00:06:13.000]   to the callers in India, to America, back and forth, back and forth,
[00:06:13.000 --> 00:06:18.000]   and then I just was so tired, and I was on the phone for about two hours,
[00:06:18.000 --> 00:06:20.000]   and during the two hours, there's long breaks in between,
[00:06:20.000 --> 00:06:23.000]   so I said, "Wait a second, let me look this up, let me look this up."
[00:06:23.000 --> 00:06:27.000]   And I've already gone through hours of this, and this is the ninth or tenth person,
[00:06:27.000 --> 00:06:31.000]   so as I was grumbling inside, I was preparing this sermon
[00:06:31.000 --> 00:06:34.000]   about not grumbling.
[00:06:34.000 --> 00:06:40.000]   So I just wanted to get this off my chest, because when I think about Thanksgiving,
[00:06:40.000 --> 00:06:42.000]   it's like, what are you thankful for?
[00:06:42.000 --> 00:06:45.000]   Every year during Thanksgiving, what are you thankful for?
[00:06:45.000 --> 00:06:48.000]   Thank you for the family, thank you for this job, thank you for salvation.
[00:06:48.000 --> 00:06:51.000]   And we have this road thing that we go through,
[00:06:51.000 --> 00:06:53.000]   it's like, "Oh, I should be thankful for that."
[00:06:53.000 --> 00:06:55.000]   So what's bothering you?
[00:06:55.000 --> 00:06:58.000]   That's a much easier question to answer.
[00:06:58.000 --> 00:07:00.000]   What's bothering you?
[00:07:00.000 --> 00:07:03.000]   For most people, it doesn't really take long.
[00:07:03.000 --> 00:07:06.000]   We have to force ourselves, like, "I'm going to be thankful, I'm going to be thankful."
[00:07:06.000 --> 00:07:11.000]   But what's bothering us is like always sitting at the tip of our tongue,
[00:07:11.000 --> 00:07:15.000]   and the application, right, we always have to apply,
[00:07:15.000 --> 00:07:18.000]   say, "Oh, I'm going to be more positive, I'm going to be more thankful."
[00:07:18.000 --> 00:07:21.000]   But our heart condition naturally is to grumble.
[00:07:21.000 --> 00:07:25.000]   Our natural condition is naturally to grumble.
[00:07:25.000 --> 00:07:28.000]   Today's sermon is about grumbling.
[00:07:28.000 --> 00:07:30.000]   The opposite of Thanksgiving, it's about grumbling.
[00:07:30.000 --> 00:07:33.000]   So I'm going to be grumbling about grumbling this morning.
[00:07:33.000 --> 00:07:35.000]   So the text that we're looking at,
[00:07:35.000 --> 00:07:39.000]   Apostle Paul is writing, even though he's writing this letter of joy,
[00:07:39.000 --> 00:07:42.000]   if you study Philippians well enough,
[00:07:42.000 --> 00:07:45.000]   you know that at the end of Philippians, he's asking,
[00:07:45.000 --> 00:07:48.000]   because there's a division that's taking place between these two prominent sisters.
[00:07:48.000 --> 00:07:51.000]   He's saying, "Hey, can you guys please help them out?"
[00:07:51.000 --> 00:07:55.000]   And obviously that theme of division in this church,
[00:07:55.000 --> 00:07:58.000]   if you restudy the book of Philippians,
[00:07:58.000 --> 00:08:01.000]   even though there's a larger theme of rejoicing the Lord,
[00:08:01.000 --> 00:08:03.000]   but the reason why he keeps reminding them to rejoice
[00:08:03.000 --> 00:08:07.000]   is because there's an underlying division that's taking place in the church.
[00:08:07.000 --> 00:08:10.000]   And if you go back and study Philippians,
[00:08:10.000 --> 00:08:14.000]   you'll see that that's kind of what he's touching upon,
[00:08:14.000 --> 00:08:16.000]   and then he brings the main point at the end.
[00:08:16.000 --> 00:08:18.000]   "Please help these sisters to get along."
[00:08:18.000 --> 00:08:21.000]   That's why he writes Philippians chapter 1, chapter 2,
[00:08:21.000 --> 00:08:25.000]   "Don't be selfish, look up for other people, consider them better than yourselves,
[00:08:25.000 --> 00:08:26.000]   and have the attitude of Jesus."
[00:08:26.000 --> 00:08:29.000]   All that is written, not randomly,
[00:08:29.000 --> 00:08:32.000]   not just so that we can understand Christianity,
[00:08:32.000 --> 00:08:37.000]   it's because there was an underlying division taking place in the church.
[00:08:37.000 --> 00:08:41.000]   And it is in that context, after he says, "Look at the example of Jesus Christ,"
[00:08:41.000 --> 00:08:43.000]   and then he says in verse 14,
[00:08:43.000 --> 00:08:47.000]   "Do all things without grumbling or disputing."
[00:08:47.000 --> 00:08:50.000]   And the reason why he's saying that is because that was the underlying reason
[00:08:50.000 --> 00:08:53.000]   why there was division in the church.
[00:08:53.000 --> 00:08:55.000]   "Do all things without grumbling or disputing."
[00:08:55.000 --> 00:09:00.000]   The word for grumbling, another word is murmuring.
[00:09:00.000 --> 00:09:04.000]   All the times grumbling is just, "Ugh!"
[00:09:04.000 --> 00:09:06.000]   You know, you don't like something, and if you're an extrovert,
[00:09:06.000 --> 00:09:08.000]   you'll articulate what you don't like.
[00:09:08.000 --> 00:09:11.000]   "I don't like this because of that. I don't like this because of that."
[00:09:11.000 --> 00:09:14.000]   If you're an introvert, there's, "Ugh!"
[00:09:14.000 --> 00:09:17.000]   And that's the sound that you hear internally.
[00:09:17.000 --> 00:09:19.000]   "Ugh!"
[00:09:19.000 --> 00:09:22.000]   You don't like something, it's, "Hmm."
[00:09:22.000 --> 00:09:24.000]   So that's what this means.
[00:09:24.000 --> 00:09:25.000]   "Do not grumble or murmur."
[00:09:25.000 --> 00:09:32.000]   1 Peter 4:9, "Be hospitable to one another without complaint."
[00:09:32.000 --> 00:09:35.000]   If you're complaining, why would you be hospitable?
[00:09:35.000 --> 00:09:39.000]   See, he's talking about Christians who are trying to live their Christian life,
[00:09:39.000 --> 00:09:42.000]   but they're doing it grudgingly.
[00:09:42.000 --> 00:09:45.000]   That's why he says, "Be hospitable without complaining."
[00:09:45.000 --> 00:09:49.000]   Do what you're supposed to do without murmuring.
[00:09:49.000 --> 00:09:52.000]   Israelites, the 40 years out in the desert,
[00:09:52.000 --> 00:09:56.000]   if there's one characteristic about the Israelites that's highlighted,
[00:09:56.000 --> 00:09:57.000]   is their grumbling.
[00:09:57.000 --> 00:10:00.000]   They had problems with idolatry.
[00:10:00.000 --> 00:10:02.000]   They had all kinds of problems during the 40 years.
[00:10:02.000 --> 00:10:05.000]   In fact, they got into, one tribe, the Simeonites,
[00:10:05.000 --> 00:10:09.000]   got into idolatry and sexual immorality.
[00:10:09.000 --> 00:10:13.000]   Half of their tribes get wiped out out of judgment of God.
[00:10:13.000 --> 00:10:19.000]   But instead, the primary sin that is pointed out in 1 Corinthians 10, 10-11,
[00:10:19.000 --> 00:10:22.000]   is that they were constantly grumbling.
[00:10:22.000 --> 00:10:26.000]   And it was their grumbling that led to the judgment of God.
[00:10:26.000 --> 00:10:30.000]   When we think about grumbling, usually if we have all the list of sins
[00:10:30.000 --> 00:10:34.000]   that we should be concerned about, sexual immorality, murder, slander,
[00:10:34.000 --> 00:10:38.000]   you've got a bunch of things that we would think are highlighted.
[00:10:38.000 --> 00:10:42.000]   We wouldn't think murmuring or grumbling to be one of those things
[00:10:42.000 --> 00:10:45.000]   that we should put on the top of the list.
[00:10:45.000 --> 00:10:50.000]   Yet, when the Bible warns us about why the judgment came to the nation of Israel,
[00:10:50.000 --> 00:10:55.000]   one of the primary sins that he points out is that they were constantly grumbling.
[00:10:55.000 --> 00:10:59.000]   In fact, the history of Israel starts with them grumbling.
[00:10:59.000 --> 00:11:02.000]   Where is God? Why were they enslaved?
[00:11:02.000 --> 00:11:05.000]   And they were crying out, and God had mercy on them.
[00:11:05.000 --> 00:11:09.000]   So he sends Moses. Moses challenges Pharaoh with the miracles.
[00:11:09.000 --> 00:11:12.000]   And because of that, Moses doesn't immediately respond.
[00:11:12.000 --> 00:11:14.000]   And so he makes it even harder for the slaves.
[00:11:14.000 --> 00:11:17.000]   And then they start murmuring and grumbling about that.
[00:11:17.000 --> 00:11:21.000]   When God delivers them and takes them to the Red Sea, it's like, "Whoa, we're trapped.
[00:11:21.000 --> 00:11:24.000]   Why did he do all of that to bring us out here to kill us?"
[00:11:24.000 --> 00:11:27.000]   And they started grumbling. So God opens up the sea, and they go to the other side.
[00:11:27.000 --> 00:11:31.000]   They sing and celebrate. Soon as they get to the other side, Moses goes up to the mountain.
[00:11:31.000 --> 00:11:35.000]   And he's taking so long. He came out here to abandon us?
[00:11:35.000 --> 00:11:37.000]   So they make the golden calf. They start worshiping God.
[00:11:37.000 --> 00:11:40.000]   He divides the whole community in half.
[00:11:40.000 --> 00:11:43.000]   And then you would think they learned their lesson.
[00:11:43.000 --> 00:11:47.000]   Soon after—we're talking about days—they walk out into the desert.
[00:11:47.000 --> 00:11:53.000]   It's like, "I'm so thirsty. Why did he bring us out here so that we could die of thirst?"
[00:11:53.000 --> 00:11:56.000]   So they started grumbling. And then so God gives them water.
[00:11:56.000 --> 00:11:59.000]   And then they move out a little bit further. It's like, "That's it? Water?
[00:11:59.000 --> 00:12:03.000]   What about food? We're going to die out here."
[00:12:03.000 --> 00:12:08.000]   So God gives them miraculous bread, manna, from heaven, literally falling down from heaven.
[00:12:08.000 --> 00:12:13.000]   And they start eating that. And then soon after that, they're like, "That's it? Bread?
[00:12:13.000 --> 00:12:16.000]   What about some protein?"
[00:12:16.000 --> 00:12:20.000]   And they start murmuring and complaining about that. So God gives them quail.
[00:12:20.000 --> 00:12:25.000]   Then after that, it's like, "Okay, we got meat. We got bread. We got miraculous water."
[00:12:25.000 --> 00:12:31.000]   And God's in our midst. And this cycle happened all along the 40 years.
[00:12:31.000 --> 00:12:35.000]   Constantly grumbling and complaining.
[00:12:35.000 --> 00:12:42.000]   And the Bible teaches us that that was at the root of what caused them to seek idleship.
[00:12:42.000 --> 00:12:44.000]   That's a word.
[00:12:44.000 --> 00:12:48.000]   It's the constant grumbling and complaining and murmuring
[00:12:48.000 --> 00:12:52.000]   that caused them to be discontent and covet what other people had
[00:12:52.000 --> 00:12:55.000]   that leads to other sins.
[00:12:55.000 --> 00:12:58.000]   And the Bible says the reason why there's murder is because there's coveting.
[00:12:58.000 --> 00:13:02.000]   And because the coveting comes from murmuring.
[00:13:02.000 --> 00:13:05.000]   Because they're constantly discontent.
[00:13:05.000 --> 00:13:11.000]   In Proverbs 23, 6-7, "Do not eat the bread of a selfish man or desire his delicacy."
[00:13:11.000 --> 00:13:14.000]   Even when he's being generous.
[00:13:14.000 --> 00:13:18.000]   He says, "For as he thinks within himself, so he is."
[00:13:18.000 --> 00:13:22.000]   He says to you, "Eat and drink, but his heart is not with you."
[00:13:22.000 --> 00:13:27.000]   "You will vomit up the more so you have eaten and waste your compliments."
[00:13:27.000 --> 00:13:31.000]   He said even if a man who's constantly grumbling in his heart, he has a selfishness in his heart,
[00:13:31.000 --> 00:13:34.000]   and even when he is being generous, he said, "Don't eat it."
[00:13:34.000 --> 00:13:39.000]   Because that's not really a gift. It's going to turn out where you're going to end up vomiting.
[00:13:39.000 --> 00:13:43.000]   So when an individual is constantly murmuring and complaining,
[00:13:43.000 --> 00:13:46.000]   it rises up to other sins.
[00:13:46.000 --> 00:13:49.000]   Even his generosity says to question that.
[00:13:49.000 --> 00:13:56.000]   See, an individual who's constantly murmuring, it leads to disputing.
[00:13:56.000 --> 00:14:01.000]   The word disputing in NIV is questioning, dialoguing. That's the literal word for that.
[00:14:01.000 --> 00:14:08.000]   Where an individual who is constantly discontent begins to question everything.
[00:14:08.000 --> 00:14:11.000]   And there's a difference between asking questions and questioning.
[00:14:11.000 --> 00:14:15.000]   Asking questions is trying to figure out what is going on, why is this happening,
[00:14:15.000 --> 00:14:20.000]   and questioning is, "I know what's right, why are you doing it that way?"
[00:14:20.000 --> 00:14:26.000]   And when an individual is constantly questioning, there is no real answer, unless you submit to me.
[00:14:26.000 --> 00:14:29.000]   In Psalm 1 verse 1 it says,
[00:14:29.000 --> 00:14:34.000]   "How blessed is the man who does not walk in the counsel of the wicked, nor stand in the path of sinners,
[00:14:34.000 --> 00:14:36.000]   nor sit in the seat of scoffers."
[00:14:36.000 --> 00:14:42.000]   Do you notice how he says an individual who is walking according to the principles of this world,
[00:14:42.000 --> 00:14:45.000]   he will eventually be identified with the sinners, stand in the way of sinners,
[00:14:45.000 --> 00:14:49.000]   and then he will sit in the seat of scoffers.
[00:14:49.000 --> 00:14:54.000]   Who's constantly questioning, murmuring, questioning.
[00:14:54.000 --> 00:15:00.000]   In Isaiah 49 verse 5, this constantly murmuring and questioning eventually rises up to God,
[00:15:00.000 --> 00:15:03.000]   because your circumstance, ultimately God is sovereign.
[00:15:03.000 --> 00:15:07.000]   So if God is sovereign, why is he allowing this to happen?
[00:15:07.000 --> 00:15:10.000]   Why are they the way that they are?
[00:15:10.000 --> 00:15:15.000]   How come these things are happening, and when we begin to question that, who are we questioning?
[00:15:15.000 --> 00:15:19.000]   The only person who has any control over that, and it eventually rises up to God.
[00:15:19.000 --> 00:15:24.000]   Isaiah 45 verse 9, "Woe to the one who quarrels with his maker,
[00:15:24.000 --> 00:15:27.000]   and earthenware, vessel among the vessels of earth.
[00:15:27.000 --> 00:15:31.000]   Will the clay say to the potter, 'What are you doing?'
[00:15:31.000 --> 00:15:35.000]   Or the thing you are making say, 'He has no hands.'"
[00:15:35.000 --> 00:15:40.000]   Much of the complaining and murmuring that happens in our heart is ultimately questioning,
[00:15:40.000 --> 00:15:43.000]   why is God doing this?
[00:15:43.000 --> 00:15:45.000]   Why did God allow this?
[00:15:45.000 --> 00:15:49.000]   Why did God put that guy in my life, or this person in my life?
[00:15:49.000 --> 00:15:51.000]   Why is he doing this?
[00:15:51.000 --> 00:15:53.000]   Because we don't understand.
[00:15:53.000 --> 00:15:57.000]   So therefore, we're not asking, we're questioning.
[00:15:57.000 --> 00:16:01.000]   Sinclair Ferguson, the professor at Westminster Seminary says this,
[00:16:01.000 --> 00:16:09.000]   "A complaining or arguing spirit is an expression of ingratitude to God's providence."
[00:16:09.000 --> 00:16:15.000]   Everybody knows how to be happy when God does what we want.
[00:16:15.000 --> 00:16:20.000]   I want this, I want that, and when he answers my prayer, God is awesome, he's great.
[00:16:20.000 --> 00:16:24.000]   But when it doesn't fit what we think has to happen,
[00:16:24.000 --> 00:16:28.000]   he says it's an expression of ingratitude toward God's providence,
[00:16:28.000 --> 00:16:32.000]   and lovelessness and pride toward others.
[00:16:32.000 --> 00:16:34.000]   It is a denial of grace.
[00:16:34.000 --> 00:16:39.000]   It is working against salvation rather than working salvation into every aspect of our lives.
[00:16:39.000 --> 00:16:41.000]   He said all of this.
[00:16:41.000 --> 00:16:46.000]   Again, we wouldn't normally think of murmuring and asking questions and disputing
[00:16:46.000 --> 00:16:49.000]   as a rebellion against God.
[00:16:49.000 --> 00:16:53.000]   But the Bible says that when we question the providence of God,
[00:16:53.000 --> 00:16:55.000]   that's exactly what we're doing.
[00:16:55.000 --> 00:16:58.000]   We're asking God, ultimately, to question God.
[00:16:58.000 --> 00:17:01.000]   Why are you doing this?
[00:17:01.000 --> 00:17:04.000]   Even when God asked Adam, "Why did you do that?"
[00:17:04.000 --> 00:17:07.000]   He said, "Well, why did you put the woman here?"
[00:17:07.000 --> 00:17:12.000]   So ultimately it's your fault.
[00:17:12.000 --> 00:17:17.000]   He says we ought not to do anything without grumbling or disputing.
[00:17:17.000 --> 00:17:21.000]   Because ultimately, that's what identifies as a Christian.
[00:17:21.000 --> 00:17:28.000]   Forgiving, thankfulness is exactly what you and I have been called to be.
[00:17:28.000 --> 00:17:33.000]   In verse 15, it says, "So that you will prove yourselves to be blameless and innocent,
[00:17:33.000 --> 00:17:37.000]   children of God above reproach in the midst of a crooked and perverse generation
[00:17:37.000 --> 00:17:41.000]   among whom you appear as lights in the world."
[00:17:41.000 --> 00:17:46.000]   The Bible describes our rebellion against God as not acknowledging him
[00:17:46.000 --> 00:17:48.000]   or giving thanks as our creator.
[00:17:48.000 --> 00:17:51.000]   It says in verse 121, "For even though they knew God,
[00:17:51.000 --> 00:17:56.000]   they did not honor him as God or give thanks.
[00:17:56.000 --> 00:18:01.000]   But they became futile in their speculations, and foolish heart was darkened.
[00:18:01.000 --> 00:18:03.000]   And professing to be wise, they became fools,
[00:18:03.000 --> 00:18:08.000]   exchanging the glory of the incorruptible God and an image in the form of corruptible men
[00:18:08.000 --> 00:18:11.000]   and of birds and of four-footed animals and crawling creatures."
[00:18:11.000 --> 00:18:17.000]   You notice here that the downward spiral of mankind's rebellion
[00:18:17.000 --> 00:18:24.000]   begins by not acknowledging and honoring God or giving thanks.
[00:18:24.000 --> 00:18:29.000]   They chose to give thanks to the created things rather than the creator.
[00:18:29.000 --> 00:18:33.000]   You know, oftentimes when the Bible introduces God,
[00:18:33.000 --> 00:18:37.000]   they don't start with, "He saved us."
[00:18:37.000 --> 00:18:41.000]   Usually when God is introduced, He's introduced as our creator.
[00:18:41.000 --> 00:18:47.000]   So even before we get to the cross, the fact that He created us,
[00:18:47.000 --> 00:18:50.000]   our natural relationship between the creation and the creator
[00:18:50.000 --> 00:18:53.000]   is to acknowledge our creator and to give thanks to him.
[00:18:53.000 --> 00:18:59.000]   Even before we get to the cross, the cross is that that creator that gave us breath,
[00:18:59.000 --> 00:19:02.000]   the very reason why you and I are here,
[00:19:02.000 --> 00:19:05.000]   you and I are even able to think and have conversation,
[00:19:05.000 --> 00:19:09.000]   that Yahweh is our creator.
[00:19:09.000 --> 00:19:15.000]   And that creator happens to love us and gave His only begotten son.
[00:19:15.000 --> 00:19:18.000]   So He says everything that we need to know,
[00:19:18.000 --> 00:19:22.000]   He revealed Himself as the creator has been given to us
[00:19:22.000 --> 00:19:26.000]   and mankind rather worship the creation rather than the creator.
[00:19:26.000 --> 00:19:28.000]   And as a result of that, what happened?
[00:19:28.000 --> 00:19:31.000]   They became futile in their speculation.
[00:19:31.000 --> 00:19:35.000]   Speculation meaning their thinking, in their contemplation.
[00:19:35.000 --> 00:19:41.000]   Because when an individual has a heart that is murmuring and grumbling and complaining,
[00:19:41.000 --> 00:19:44.000]   he says it affects the way that they think.
[00:19:44.000 --> 00:19:47.000]   Their whole perspective is affected.
[00:19:47.000 --> 00:19:50.000]   And their foolish heart became darkened.
[00:19:50.000 --> 00:19:54.000]   Because of their wrong thinking, their hearts became darkened.
[00:19:54.000 --> 00:19:57.000]   They professed to be wise but they became fools.
[00:19:57.000 --> 00:20:00.000]   You ever meet somebody who's constantly murmuring and complaining
[00:20:00.000 --> 00:20:03.000]   and their primary thing is, "You don't know!"
[00:20:03.000 --> 00:20:06.000]   "You don't know what I know!" "You don't think the way I think!"
[00:20:06.000 --> 00:20:09.000]   Well, the Bible says the reason why people don't think the way you think
[00:20:09.000 --> 00:20:14.000]   may be because in your constant murmuring and grumbling,
[00:20:14.000 --> 00:20:18.000]   just as the scripture says, it has affected your perspective.
[00:20:18.000 --> 00:20:21.000]   And your perspective has affected your heart.
[00:20:21.000 --> 00:20:26.000]   And because your heart was darkened and your speculation had become futile,
[00:20:26.000 --> 00:20:30.000]   it says you think you're wise because you know something that other people don't know,
[00:20:30.000 --> 00:20:33.000]   but in reality, you're the one who became a fool.
[00:20:33.000 --> 00:20:40.000]   And it's that all of this downward spiral came because you refused to acknowledge and give thanks to God.
[00:20:40.000 --> 00:20:46.000]   If you want to fit into this world, just be a good grumbler.
[00:20:46.000 --> 00:20:48.000]   If you want to really fit in, right?
[00:20:48.000 --> 00:20:53.000]   Because the world is more united on things that they hate.
[00:20:53.000 --> 00:20:56.000]   You know, we try to have fellowships like what we love.
[00:20:56.000 --> 00:21:00.000]   You want to see a tight-knit group who's passionate about something?
[00:21:00.000 --> 00:21:03.000]   It's usually about what they hate.
