
[00:00:00.000 --> 00:00:05.880]   Good morning, church family.
[00:04:12.700 --> 00:04:15.900]   in his death, and when you come out, you're uniting with his resurrected life?
[00:04:15.900 --> 00:04:16.900]   >> Yes.
[00:04:16.900 --> 00:04:20.900]   >> And I baptize you in the name of the Father, the Son, and the Holy Spirit.
[00:04:20.900 --> 00:04:21.900]   [applause]
[00:04:21.900 --> 00:04:21.900]   >> Thank you.
[00:04:22.900 --> 00:04:22.900]   [applause]
[00:04:23.900 --> 00:04:23.900]   [applause]
[00:04:24.900 --> 00:04:24.900]   [applause]
[00:04:24.900 --> 00:04:28.260]   [APPLAUSE]
[00:04:28.260 --> 00:04:30.100]   [APPLAUSE]

