
[00:00:00.000 --> 00:00:02.580]   (gentle music)
[00:10:13.460 --> 00:10:21.460]   All glory be to Christ!
[00:10:21.460 --> 00:10:27.460]   When on the day the great I Am,
[00:10:27.460 --> 00:10:32.460]   The faithful and the true,
[00:10:32.460 --> 00:10:37.960]   The Lamb who was for sinners slain,
[00:10:37.960 --> 00:10:43.460]   Is made equal to the Son of God.
[00:10:43.460 --> 00:10:48.460]   Behold, our God shall live with us,
[00:10:48.460 --> 00:10:53.960]   And be our steadfast light,
[00:10:53.960 --> 00:10:58.960]   And we shall e'er His faithful be,
[00:10:58.960 --> 00:11:04.460]   All glory be to Christ!
[00:11:04.460 --> 00:11:09.960]   All glory be to Christ our King!
[00:11:09.960 --> 00:11:14.960]   All glory be to Christ!
[00:11:14.960 --> 00:11:20.460]   His rule and reign we'll ever sing,
[00:11:20.460 --> 00:11:25.960]   All glory be to Christ!
[00:11:25.960 --> 00:11:31.460]   All glory be to Christ our King!
[00:11:31.460 --> 00:11:37.460]   All glory be to Christ!
[00:11:37.460 --> 00:11:43.460]   His rule and reign we'll ever sing,
[00:11:43.460 --> 00:11:50.460]   All glory be to Christ!
[00:11:50.460 --> 00:11:55.460]   All glory be to Christ!
[00:11:56.460 --> 00:11:59.460]   Hi, good morning. Welcome to Berean Community Church.
[00:11:59.460 --> 00:12:02.460]   For those of you who are visiting us,
[00:12:02.460 --> 00:12:06.460]   we have a welcome table. As you were coming in from the street,
[00:12:06.460 --> 00:12:10.460]   you probably ran into our welcome table. Maybe you've seen it, didn't see it.
[00:12:10.460 --> 00:12:15.460]   But we encourage you to visit that table, and if you have any questions about the church,
[00:12:15.460 --> 00:12:19.460]   our welcome team will be able to kind of direct you toward the right people and answer some of the questions for you.
[00:12:19.460 --> 00:12:24.460]   And especially along with that, our college ministry,
[00:12:24.460 --> 00:12:28.460]   those of you who are collegians who are visiting us for the first time,
[00:12:28.460 --> 00:12:33.460]   for the next maybe about a month or two, we're going to be having a separate college welcome table set up.
[00:12:33.460 --> 00:12:38.460]   And so right along where the welcome table is, Pastor Nate and some of the college staff
[00:12:38.460 --> 00:12:43.460]   and members, core members of the church in the college department is going to be in that area.
[00:12:43.460 --> 00:12:47.460]   So if you go visit there, they have separate activities.
[00:12:47.460 --> 00:12:52.460]   They have events that are going on throughout the week, and so they'll be able to give you more information about that.
[00:12:52.460 --> 00:12:57.460]   If you visit that table after service.
[00:12:57.460 --> 00:13:03.460]   Seeds nursery. So starting from today, if you have a child between the age of one and four,
[00:13:03.460 --> 00:13:08.460]   in our seeds ministry, we've only had the seeds ministry in the second service,
[00:13:08.460 --> 00:13:13.460]   but starting from today, the first service is also open to seeds ministry.
[00:13:13.460 --> 00:13:18.460]   If you have a child from one through four and you want them to, you want to come to the first service,
[00:13:18.460 --> 00:13:23.460]   so that is open for you. And the only thing that they've asked me to request is if you are a regular member here,
[00:13:23.460 --> 00:13:27.460]   if you're visiting here only once or twice, obviously it's not going to be relevant to you,
[00:13:27.460 --> 00:13:33.460]   but if you're coming every week and you choose to go to that, that they're asking you to commit to it.
[00:13:33.460 --> 00:13:37.460]   Not to say that if you for some reason have to go that week and you're not welcome to come to that,
[00:13:37.460 --> 00:13:44.460]   but if you are going to come regularly, and the reason why they're asking that is so that they may have enough people.
[00:13:44.460 --> 00:13:50.460]   They can staff with enough people to watch and run the program over there for first service.
[00:13:50.460 --> 00:13:55.460]   So if you are planning to do that, it is starting today and obviously you've already missed it.
[00:13:55.460 --> 00:14:00.460]   So if you are planning to do that starting from next week, it will be available for the first service.
[00:14:00.460 --> 00:14:06.460]   All church praise and prayer, that's scheduled for September 17th, just to mark on your calendar.
[00:14:06.460 --> 00:14:17.460]   And also, along with that, we have an ACBC mini conference that's coming up in October.
[00:14:17.460 --> 00:14:22.460]   So October 15th, 16th, it's a little bit away from now, but we want you to put that on your calendar
[00:14:22.460 --> 00:14:27.460]   in case you're making events around our Bible study schedule. So that's a Friday and Saturday.
[00:14:27.460 --> 00:14:34.460]   So basically, this is going to be open to all collegians, to singles, to married, to the whole church.
[00:14:34.460 --> 00:14:41.460]   And so as we came back from our summer retreat, encouraging and being blessed by the biblical counseling messages
[00:14:41.460 --> 00:14:45.460]   that we received, we want to continue to encourage our church to be equipped.
[00:14:45.460 --> 00:14:50.460]   And maybe some of you would be interested in getting biblical counseling certificates
[00:14:50.460 --> 00:14:55.460]   and continue to pursue how to encourage other people, to disciple other people with God's word.
[00:14:55.460 --> 00:15:02.460]   And so that session that we're doing is really to kind of equip the church and to encourage our church to go down that path.
[00:15:02.460 --> 00:15:08.460]   And so registration for that is going to start soon. And so just keep an eye out.
[00:15:08.460 --> 00:15:13.460]   But we just want you to just save the date for that week. So it's 15th and 16th of October.
[00:15:13.460 --> 00:15:18.460]   OK, so that week we won't be having normal Bible study because of that. All right.
[00:15:18.460 --> 00:15:24.460]   Membership class, our membership class, the next session is starting on September 26th.
[00:15:24.460 --> 00:15:30.460]   We are going to start having it in the youth room. So the new youth room is open.
[00:15:30.460 --> 00:15:35.460]   That next door, they were meeting in the corner in the cafe, but they're moved into starting from today.
[00:15:35.460 --> 00:15:39.460]   They moved into the new youth area, which is at the very end of the building.
[00:15:39.460 --> 00:15:45.460]   So if you have children who are youth or you need to tell your kids to find their way there,
[00:15:45.460 --> 00:15:50.460]   so they're no longer meeting in the same place in the corner. It's actually at the exact opposite at the other corner.
[00:15:50.460 --> 00:15:54.460]   So they have to walk. There's no entrance on this side right now.
[00:15:54.460 --> 00:15:57.460]   So you'd have to go to the other side of the parking lot, go to the end of the building.
[00:15:57.460 --> 00:16:03.460]   And you when you run into the trash can, you're there. OK, so basically you're going to hit the trash and then you turn left.
[00:16:03.460 --> 00:16:07.460]   And that's the entrance to the youth room. OK, so they're going to have some kind of sign there.
[00:16:07.460 --> 00:16:13.460]   But if you have children that age or if you know and somebody asks you where the youth room is,
[00:16:13.460 --> 00:16:16.460]   just tell them to go to the other side to the building and the entrance will be there.
[00:16:16.460 --> 00:16:19.460]   That's starting today. And that's where the new membership class is going to start.
[00:16:19.460 --> 00:16:25.460]   Start taking place on 26th. When if you're signed up for the membership class,
[00:16:25.460 --> 00:16:31.460]   that's where it's going to be starting at nine o'clock. OK, and then along with that, starting today,
[00:16:31.460 --> 00:16:36.460]   the equipping classes are going to continue. So Elder James is teaching the theology class,
[00:16:36.460 --> 00:16:42.460]   and that's going to be taking place up in this Sprouts room.
[00:16:42.460 --> 00:16:50.460]   OK, upstairs. And so our former cafe. So that's where you want to go if you want to take that class at 2 p.m.
[00:16:50.460 --> 00:16:55.460]   So grab your lunch, finish it and then come to that class at 2 p.m.
[00:16:55.460 --> 00:17:00.460]   And then Pastor Mark about spiritual maturity. That class is taking place in this room at 2 p.m.
[00:17:00.460 --> 00:17:07.460]   OK, so one's here and then one's upstairs. OK, and then finally, we have one last push for BBA.
[00:17:07.460 --> 00:17:12.460]   So if you are a Borean Basketball Association, so if you if you're planning to play and you haven't signed up,
[00:17:12.460 --> 00:17:17.460]   there is a sign up table outside at the entrance to the cafe to the right of it.
[00:17:17.460 --> 00:17:21.460]   We're going to have some people manning that table. So go and please sign up for that.
[00:17:21.460 --> 00:17:29.460]   I was told that the WBBA is they are planning to have it. And actually, Hamamoto, she's here somewhere in the room.
[00:17:29.460 --> 00:17:34.460]   She's the point person. So you might want to tell her that you are also interested in playing.
[00:17:34.460 --> 00:17:37.460]   And I think they're going to be playing while the guys are playing.
[00:17:37.460 --> 00:17:44.460]   And then I've been hearing rumors that there's going to be a SBBA, senior BBA.
[00:17:44.460 --> 00:17:52.460]   And if you are interested and if if you happen to be old, they're not old, right?
[00:17:52.460 --> 00:17:58.460]   Older don't show up. We don't want 30 year old showing up and saying like, oh, my back hurts.
[00:17:58.460 --> 00:18:06.460]   You want to be the Michael Jordan of the senior league? No. OK, so I hear it's going to be maybe half court.
[00:18:06.460 --> 00:18:12.460]   There's going to be a lot of a lot of stretching, some playing.
[00:18:12.460 --> 00:18:18.460]   So if you are interested in playing in that in that league, I'm not sure if it's confirmed.
[00:18:18.460 --> 00:18:22.460]   So I think Elder Phillip is going to be the the head person for that.
[00:18:22.460 --> 00:18:27.460]   If you're interested, let him know. OK. All right. So let me take a minute to pray for our offering.
[00:18:27.460 --> 00:18:31.460]   And again, if you have a physical offering, there's a basket in the back that you can give it to.
[00:18:31.460 --> 00:18:38.460]   Otherwise, we'll give you a few minutes to give it electronically. Let's pray.
[00:18:38.460 --> 00:18:43.460]   Heavenly Father, we thank you so much for all the blessings that you've given us in our life.
[00:18:43.460 --> 00:18:52.460]   Help us not to take for granted what you have given, that we would truly be able to worship you in spirit and in truth in every way.
[00:18:52.460 --> 00:18:57.460]   Whatever distractions that we brought into this room, help us, Lord God, through the praise,
[00:18:57.460 --> 00:19:02.460]   through the worship, that our hearts may be given to you fully.
[00:19:02.460 --> 00:19:08.460]   Lord, give us soft hearts, open ears, Lord God, that we may be attentive to what you have to say to us.
[00:19:08.460 --> 00:19:14.460]   May your name be praised this morning and even the giving that we give may be multiplied for your use.
[00:19:14.460 --> 00:19:16.460]   In Jesus name we pray. Amen.
[00:19:17.460 --> 00:19:19.460]   [music]
[00:19:20.460 --> 00:19:22.460]   [music]
[00:19:22.460 --> 00:19:24.460]   [music]
[00:19:24.460 --> 00:19:26.460]   [music]
[00:19:27.460 --> 00:19:29.460]   [music]
[00:19:30.460 --> 00:19:32.460]   [music]
[00:19:33.460 --> 00:19:35.460]   [music]
[00:19:36.460 --> 00:19:38.460]   [music]
[00:19:39.460 --> 00:19:41.460]   [music]
[00:19:41.460 --> 00:19:45.460]   [music]
[00:19:45.460 --> 00:19:48.460]   [music]
[00:19:48.460 --> 00:19:51.460]   [music]
[00:19:51.460 --> 00:19:54.460]   [music]
[00:19:54.460 --> 00:19:57.460]   [music]
[00:19:57.460 --> 00:20:00.460]   [music]
[00:20:00.460 --> 00:20:03.460]   [music]
[00:20:03.460 --> 00:20:06.460]   [music]
[00:20:07.460 --> 00:20:23.440]   [ Music ]
[00:20:23.440 --> 00:20:26.320]   Church family, let's all rise together as we sing this first song.
[00:20:26.320 --> 00:20:27.300]   This is "Amazing Grace."
[00:20:27.300 --> 00:20:46.300]   [ Music ]
[00:20:46.300 --> 00:20:47.300]   >> Who breaks the power?
[00:20:47.800 --> 00:20:59.800]   Of sin and darkness, whose love is mighty and so much stronger.
[00:20:59.800 --> 00:21:04.800]   The King of glory, the King above all kings.
[00:21:04.800 --> 00:21:09.300]   [ Music ]
[00:21:09.300 --> 00:21:13.800]   Who shakes the whole earth with holy thunder?
[00:21:13.800 --> 00:21:18.800]   Who leaves us breathless in awe and wonder?
[00:21:18.800 --> 00:21:24.800]   The King of glory, the King above all kings.
[00:21:24.800 --> 00:21:29.800]   This is amazing grace.
[00:21:29.800 --> 00:21:34.800]   This is unfailing love.
[00:21:34.800 --> 00:21:39.800]   That you would take my place.
[00:21:39.800 --> 00:21:44.800]   That you would bear my cross.
[00:21:44.800 --> 00:21:49.800]   You would lay down your life.
[00:21:49.800 --> 00:21:55.800]   That I would be set free.
[00:21:55.800 --> 00:22:02.800]   Oh, Jesus, I sing for all that you've done for me.
[00:22:02.800 --> 00:22:09.800]   [ Music ]
[00:22:09.800 --> 00:22:10.800]   Sing it out.
[00:22:10.800 --> 00:22:12.800]   Who brings our chaos?
[00:22:12.800 --> 00:22:17.800]   Who brings our chaos back into order?
[00:22:17.800 --> 00:22:22.800]   Who makes the orphan a son and daughter?
[00:22:22.800 --> 00:22:27.800]   The King of glory, the King above all kings.
[00:22:27.800 --> 00:22:31.800]   [ Music ]
[00:22:32.300 --> 00:22:36.800]   Who rules the nations with truth and justice?
[00:22:36.800 --> 00:22:41.800]   Shines like the sun in all of its brilliance.
[00:22:41.800 --> 00:22:46.800]   The King of glory, the King above all kings.
[00:22:46.800 --> 00:22:53.800]   Oh, this is amazing grace.
[00:22:53.800 --> 00:22:58.800]   This is unfailing love.
[00:22:58.800 --> 00:23:03.300]   That you would take my place.
[00:23:03.300 --> 00:23:08.300]   That you would bear my cross.
[00:23:08.300 --> 00:23:13.300]   You would lay down your life.
[00:23:13.300 --> 00:23:19.300]   That I would be set free.
[00:23:19.300 --> 00:23:27.300]   Oh, Jesus, I sing for all that you've done for me.
[00:23:27.300 --> 00:23:29.800]   [ Music ]
[00:23:29.800 --> 00:23:34.800]   Worthy is the lamb who was slain.
[00:23:34.800 --> 00:23:39.800]   Worthy is the king who conquered the grave.
[00:23:39.800 --> 00:23:44.800]   Worthy is the lamb who was slain.
[00:23:44.800 --> 00:23:49.800]   Worthy is the king who conquers the grave.
[00:23:49.800 --> 00:23:54.800]   Worthy is the lamb who was slain.
[00:23:54.800 --> 00:23:59.800]   Worthy is the king who conquered the grave.
[00:23:59.800 --> 00:24:02.800]   Worthy is the lamb who was slain.
[00:24:02.800 --> 00:24:07.300]   Worthy, worthy, worthy.
[00:24:07.300 --> 00:24:12.300]   This is amazing grace.
[00:24:12.300 --> 00:24:16.800]   This is unfailing love.
[00:24:16.800 --> 00:24:21.800]   That you would take my place.
[00:24:21.800 --> 00:24:26.800]   That you would bear my cross.
[00:24:26.800 --> 00:24:31.800]   You would lay down your life.
[00:24:31.800 --> 00:24:37.800]   That I would be set free.
[00:24:37.800 --> 00:24:43.800]   Oh, Jesus, I sing for all that you've done for me.
[00:24:43.800 --> 00:24:45.800]   [ Music ]
[00:24:45.800 --> 00:24:55.800]   [ Music ]
[00:24:55.800 --> 00:25:10.800]   [ Music ]
[00:25:10.800 --> 00:25:15.800]   Purify my heart.
[00:25:15.800 --> 00:25:24.800]   Let me be as gold and precious silver.
[00:25:24.800 --> 00:25:29.800]   Purify my heart.
[00:25:29.800 --> 00:25:34.800]   Let me be as gold.
[00:25:34.800 --> 00:25:40.800]   Pure gold.
[00:25:40.800 --> 00:25:44.800]   Refiner's fire.
[00:25:44.800 --> 00:25:50.800]   My heart's one desire.
[00:25:50.800 --> 00:25:58.800]   Is to be holy.
[00:25:58.800 --> 00:26:03.800]   Set apart for you, Lord.
[00:26:03.800 --> 00:26:11.800]   I choose to be holy.
[00:26:11.800 --> 00:26:18.800]   Set apart for you, my master.
[00:26:18.800 --> 00:26:23.800]   Ready to do your will.
[00:26:23.800 --> 00:26:28.800]   [ Music ]
[00:26:28.800 --> 00:26:33.800]   Purify my heart.
[00:26:33.800 --> 00:26:38.800]   Cleanse me from within.
[00:26:38.800 --> 00:26:42.800]   And make me holy.
[00:26:42.800 --> 00:26:47.800]   Purify my heart.
[00:26:47.800 --> 00:26:52.800]   Cleanse me from myself.
[00:26:52.800 --> 00:26:55.800]   Deep within.
[00:26:55.800 --> 00:27:01.800]   Refiner's fire.
[00:27:01.800 --> 00:27:07.800]   My heart's one desire.
[00:27:07.800 --> 00:27:15.800]   Is to be holy.
[00:27:15.800 --> 00:27:21.800]   Set apart for you, Lord.
[00:27:21.800 --> 00:27:29.800]   I choose to be holy.
[00:27:29.800 --> 00:27:36.800]   Set apart for you, my master.
[00:27:36.800 --> 00:27:42.800]   Ready to do your will.
[00:27:42.800 --> 00:27:46.800]   Sing it one more time, refiner's fire.
[00:27:46.800 --> 00:27:52.800]   My heart's one desire.
[00:27:52.800 --> 00:27:59.800]   Is to be holy.
[00:27:59.800 --> 00:28:06.800]   Set apart for you, Lord.
[00:28:06.800 --> 00:28:13.800]   I choose to be holy.
[00:28:13.800 --> 00:28:21.800]   Set apart for you, my master.
[00:28:21.800 --> 00:28:29.800]   Ready to do your will.
[00:28:29.800 --> 00:28:32.800]   >> Amen, you may be seated.
[00:28:32.800 --> 00:28:37.800]   [ Applause ]
[00:28:37.800 --> 00:28:51.800]   >> If you can turn your Bibles with me to Hebrews chapter 12, verse 25 through 29.
[00:28:51.800 --> 00:28:58.800]   Hebrews chapter 12, verse 25 through 29.
[00:28:58.800 --> 00:29:04.800]   Reading out of the NASB, see to it that you do not refuse him who is speaking.
[00:29:04.800 --> 00:29:12.800]   For those who did not escape when they refused him who warned them on earth, much less will we escape who turn away from him who warns from heaven.
[00:29:12.800 --> 00:29:20.800]   And his voice shook the earth then, but now he has promised saying, yet once more I will shake not only the earth, but also the heaven.
[00:29:20.800 --> 00:29:29.800]   This expression, yet once more, denotes the removing of those things which can be shaken as of created things so that those things which cannot be shaken may remain.
[00:29:29.800 --> 00:29:38.800]   Therefore, since we receive a kingdom which cannot be shaken, let us show gratitude by which we may offer to God an acceptable service with reverence and awe.
[00:29:38.800 --> 00:29:40.800]   For our God is a consuming fire.
[00:29:40.800 --> 00:29:43.800]   Let's pray.
[00:29:43.800 --> 00:29:47.800]   Heavenly Father, we pray for guidance.
[00:29:47.800 --> 00:29:51.800]   We pray that power of your word would convict and guide us.
[00:29:51.800 --> 00:29:57.800]   Renew us, strengthen us, Lord God, that we may live worthy lives of the gospel that you've given.
[00:29:57.800 --> 00:30:00.800]   So we pray for your direction, your Holy Spirit to lead.
[00:30:00.800 --> 00:30:01.800]   In Jesus' name we pray.
[00:30:01.800 --> 00:30:04.800]   Amen.
[00:30:04.800 --> 00:30:12.800]   Okay, we're going to continue on from what we started last week where we talked about what a proper response to the gospel of Jesus Christ is.
[00:30:12.800 --> 00:30:23.800]   When we say because of God's grace, if we have a wrong understanding of the gospel and the grace, we can easily think because of grace, it doesn't matter what I do.
[00:30:23.800 --> 00:30:33.800]   That we have Christian liberty in Christ, so however I live, even though I ought to live this way, but there isn't any consequence anymore because God has covered us with his blood.
[00:30:33.800 --> 00:30:42.800]   If we have a superficial understanding and possibly an understanding of cheap grace, we may easily apply it that way.
[00:30:42.800 --> 00:30:50.800]   But as grace is grace, the Bible tells us that there is consequence if we refuse this grace.
[00:30:50.800 --> 00:30:53.800]   And that's what he says in verse 25, chapter 12, we just read.
[00:30:53.800 --> 00:30:58.800]   It says, "See to it that you do not refuse him who is speaking.
[00:30:58.800 --> 00:31:08.800]   For if those who did not escape when they refused him who warned them on earth, much less will we escape who turn away from him who warns from heaven."
[00:31:08.800 --> 00:31:16.800]   If God said everything that he said to the old covenant people and they didn't respond in a way that they ought to have and there were serious consequences,
[00:31:16.800 --> 00:31:23.800]   how much more, when it's not just a glimpse of him, it was not just a theophany, but God himself speaking from heaven,
[00:31:23.800 --> 00:31:26.800]   that we just say, "Oh, okay, that's what he says, that's what he believes."
[00:31:26.800 --> 00:31:30.800]   And we just continue to go on living our life any way that we want.
[00:31:30.800 --> 00:31:33.800]   That's exactly what he was trying to address in the book of Hebrews.
[00:31:33.800 --> 00:31:38.800]   And that's why I think the book of Hebrews is so relevant to us today.
[00:31:38.800 --> 00:31:41.800]   Because he's not wrestling with any particular doctrine.
[00:31:41.800 --> 00:31:47.800]   There wasn't anything that he was saying that this is the problem, that you guys are guilty of idolatry.
[00:31:47.800 --> 00:31:49.800]   You guys are guilty of this and that.
[00:31:49.800 --> 00:31:55.800]   He said the main problem with the audience of the Hebrews was they were just drifting.
[00:31:55.800 --> 00:31:58.800]   They weren't passionately pursuing Christ anymore.
[00:31:58.800 --> 00:32:00.800]   He wasn't supreme anymore.
[00:32:00.800 --> 00:32:01.800]   They've lost their first love.
[00:32:01.800 --> 00:32:07.800]   And he said, "How can we escape if we simply neglect such a great salvation?"
[00:32:07.800 --> 00:32:12.800]   That's why I think this is so relevant to us in our generation where you and I practice our Christianity,
[00:32:12.800 --> 00:32:16.800]   because this is our primary challenge.
[00:32:16.800 --> 00:32:21.800]   Hearing the gospel, and we become so inoculated by the truth,
[00:32:21.800 --> 00:32:27.800]   where it's just kind of, you know, I just signed off on it, and then the rest of my life I just kind of live like everybody else.
[00:32:27.800 --> 00:32:30.800]   He said, "See to it that you do not refuse him."
[00:32:30.800 --> 00:32:32.800]   What does it mean to refuse him?
[00:32:32.800 --> 00:32:35.800]   You don't have to shake your hand and say, "You know what? I don't believe in God.
[00:32:35.800 --> 00:32:39.800]   I'm an atheist, and I'm going to worship idols."
[00:32:39.800 --> 00:32:41.800]   You don't need to do that.
[00:32:41.800 --> 00:32:45.800]   In fact, that's not what he's addressing in the book of Hebrews.
[00:32:45.800 --> 00:32:53.800]   To refuse him, first and foremost, is simply to remain willfully ignorant of the truth.
[00:32:53.800 --> 00:32:54.800]   Willfully ignorant.
[00:32:54.800 --> 00:32:56.800]   Not ignorant because you haven't been taught.
[00:32:56.800 --> 00:32:58.800]   Not ignorant because you haven't had access.
[00:32:58.800 --> 00:33:02.800]   But simply ignorant because you just weren't interested.
[00:33:02.800 --> 00:33:06.800]   Most people in our generation has no idea what the Bible says.
[00:33:06.800 --> 00:33:10.800]   They can tell what the latest album is dropping, and what the latest trend is,
[00:33:10.800 --> 00:33:14.800]   and what athlete has what percentage, and what batting average,
[00:33:14.800 --> 00:33:20.800]   and they know all of this stuff, but they say, "Turn to the book of Hebrews.
[00:33:20.800 --> 00:33:23.800]   Turn to a certain passage in the Bible."
[00:33:23.800 --> 00:33:28.800]   And after 10, 15, 20, 30 years of being a Christian, they still don't know.
[00:33:28.800 --> 00:33:30.800]   And it's not because they haven't been taught.
[00:33:30.800 --> 00:33:32.800]   It just wasn't important enough for them to pursue.
[00:33:32.800 --> 00:33:37.800]   So we can refuse him by willfully being ignorant of God's Word.
[00:33:37.800 --> 00:33:42.800]   We can be willfully ignorant by studying the Word of God and not applying it.
[00:33:42.800 --> 00:33:46.800]   Like it says in the book of James, you're constantly hearing but not doing.
[00:33:46.800 --> 00:33:49.800]   Faith without deeds is dead faith.
[00:33:49.800 --> 00:33:52.800]   This is straight from the Bible.
[00:33:52.800 --> 00:33:55.800]   It means nothing if you just profess, and all that is is a profession,
[00:33:55.800 --> 00:33:57.800]   and there's no deeds that follow.
[00:33:57.800 --> 00:34:03.800]   So we can refuse him by studying and not applying what the Bible has to say.
[00:34:03.800 --> 00:34:07.800]   Thirdly, you can refuse him by studying what the Bible says
[00:34:07.800 --> 00:34:10.800]   and picking and choosing what you want to apply
[00:34:10.800 --> 00:34:13.800]   and then certain things that you don't want to apply.
[00:34:13.800 --> 00:34:18.800]   So partial obedience, obedience only to the things that I want to obey
[00:34:18.800 --> 00:34:21.800]   and the things that I don't want to obey, I just kind of keep at bay and say,
[00:34:21.800 --> 00:34:25.800]   "You know what? God understands. We're saved by grace anyway."
[00:34:25.800 --> 00:34:29.800]   We can refuse him in that way, and in every way, every one of the things that I've mentioned,
[00:34:29.800 --> 00:34:34.800]   the Bible mentions that that is a form of refusing God.
[00:34:34.800 --> 00:34:38.800]   In 2 Timothy 3, 5, and 7, it says that in the end times,
