
[00:00:00.000 --> 00:00:04.000]   [no audio]
[00:02:56.000 --> 00:03:00.000]   is essential in the Christian life. That a Christian that is
[00:03:00.000 --> 00:03:04.000]   not thankful is an oxymoron. It is something that
[00:03:04.000 --> 00:03:08.000]   has at the core something has deeply gone
[00:03:08.000 --> 00:03:12.000]   wrong if a Christian and Thanksgiving are
[00:03:12.000 --> 00:03:16.000]   those two terms don't go hand in hand. So, what I want to do is look at
[00:03:16.000 --> 00:03:20.000]   four separate things that the Bible teaches. Again, today is a topical sermon
[00:03:20.000 --> 00:03:24.000]   on this subject, and then we'll jump back into Romans next week.
[00:03:24.000 --> 00:03:28.000]   The first thing that we see in Luke chapter 17, 11-19,
[00:03:28.000 --> 00:03:32.000]   the passage that we just read, I think most of you
[00:03:32.000 --> 00:03:36.000]   are probably familiar with this story. You had the ten
[00:03:36.000 --> 00:03:40.000]   lepers. And again, those of you guys who know
[00:03:40.000 --> 00:03:44.000]   about what it was like to be a leper at that time, that you were labeled
[00:03:44.000 --> 00:03:48.000]   not only physically unclean, but spiritually unclean. So, it was required
[00:03:48.000 --> 00:03:52.000]   by the Mosaic Law to keep a certain distance. One, for health
[00:03:52.000 --> 00:03:56.000]   reasons, because they didn't want other people to get infected. But also for spiritual reasons.
[00:03:56.000 --> 00:04:00.000]   They felt that they were an outcast. They had to live
[00:04:00.000 --> 00:04:04.000]   outside the gate. And so everywhere they went they had to actually scream out,
[00:04:04.000 --> 00:04:08.000]   "Unclean! Unclean!" so that they don't make anybody unclean by being
[00:04:08.000 --> 00:04:12.000]   near the region. And this is the reason why when they hear
[00:04:12.000 --> 00:04:16.000]   about Jesus that they from a distance are yelling out to Jesus,
[00:04:16.000 --> 00:04:20.000]   "Have mercy on us! Have mercy on us!" By the time that Luke
[00:04:20.000 --> 00:04:24.000]   writes Luke chapter 17, Jesus' fame has already spread. He's already
[00:04:24.000 --> 00:04:28.000]   performed many miracles. So, if these lepers had any chance of
[00:04:28.000 --> 00:04:32.000]   getting healed, it's to get Jesus' attention.
[00:04:32.000 --> 00:04:36.000]   So, the passage that we look at they cry out to Him, Jesus has mercy on
[00:04:36.000 --> 00:04:40.000]   them. And so He tells them to go show yourself to the priests.
[00:04:40.000 --> 00:04:44.000]   And the reason why He tells them to do that, by Mosaic Law, if
[00:04:44.000 --> 00:04:48.000]   a healing takes place, by whatever means,
[00:04:48.000 --> 00:04:52.000]   if the leprosy does get cleansed, the first person that needed
[00:04:52.000 --> 00:04:56.000]   to acknowledge that was the priest. Because they were the guardians of the temple.
[00:04:56.000 --> 00:05:00.000]   And the religious community. So, the priest basically
[00:05:00.000 --> 00:05:04.000]   had to do a thorough examination. And then they had to go through a cleansing ritual.
[00:05:04.000 --> 00:05:08.000]   And then they would declare Him clean. And so to be declared
[00:05:08.000 --> 00:05:12.000]   clean by the priest basically meant not only were you physically clean, but
[00:05:12.000 --> 00:05:16.000]   you're able to now enter back into society. That you don't need to live outside
[00:05:16.000 --> 00:05:20.000]   the camp. You can go back home, or wherever your home may be.
[00:05:20.000 --> 00:05:24.000]   So, that's why Jesus is saying that go show
[00:05:24.000 --> 00:05:28.000]   yourself to the priest. And the story goes that on the way that they are going there
[00:05:28.000 --> 00:05:32.000]   the miracle takes place and they get cleansed.
[00:05:32.000 --> 00:05:36.000]   But the point of this story is not simply about their miracle. Because
[00:05:36.000 --> 00:05:40.000]   out of the ten it says that only one of them when they
[00:05:40.000 --> 00:05:44.000]   recognized that they were clean, they turned around to go give
[00:05:44.000 --> 00:05:48.000]   thanks to Jesus. And it is pointed out that
[00:05:48.000 --> 00:05:52.000]   this man was a Samaritan. Not the nine Jews who were privileged
[00:05:52.000 --> 00:05:56.000]   by His law and His presence and God's protection upon them, but
[00:05:56.000 --> 00:06:00.000]   the Samaritan who was outside of the blessing of the nation
[00:06:00.000 --> 00:06:04.000]   of Israel. That He's the one of all people that returns to give thanks.
[00:06:04.000 --> 00:06:08.000]   But here's the part I want you to pay attention to. Starting from verse 17.
[00:06:08.000 --> 00:06:12.000]   Jesus answered him, "Were not ten cleansed?
[00:06:12.000 --> 00:06:16.000]   Where are the nine? Was no one found to return and give praise to God
[00:06:16.000 --> 00:06:20.000]   except this foreigner?" And he said to him, "Rise and go your way.
[00:06:20.000 --> 00:06:24.000]   Your faith has made you well." Let me stop right there.
[00:06:24.000 --> 00:06:28.000]   What does Jesus mean when He says your faith has made you well?
[00:06:28.000 --> 00:06:32.000]   They all got cleansed. All ten of them got
[00:06:32.000 --> 00:06:36.000]   cleansed. But yet He singles out this one man and says your faith
[00:06:36.000 --> 00:06:40.000]   is different than the others. And the distinction was that He was the only
[00:06:40.000 --> 00:06:44.000]   one who returned and recognized the healer which was Jesus.
[00:06:44.000 --> 00:06:48.000]   So when He says your faith has made you well
[00:06:48.000 --> 00:06:52.000]   there is a distinction between His wellness and the other nine.
[00:06:52.000 --> 00:06:56.000]   Clearly He's making a distinction because He's separating His faith
[00:06:56.000 --> 00:07:00.000]   versus the others. When we take a closer examination
[00:07:00.000 --> 00:07:04.000]   on the meaning of the word that He uses for well, here's
[00:07:04.000 --> 00:07:08.000]   other ways that this word, "sodzo" is the Greek word
[00:07:08.000 --> 00:07:12.000]   that is translated for well. This is how it's translated in other passages.
[00:07:12.000 --> 00:07:16.000]   To deliver. To make whole. Sorry.
[00:07:16.000 --> 00:07:20.000]   To make whole. To preserve safe from
[00:07:20.000 --> 00:07:24.000]   danger, loss, destruction, or to save.
[00:07:24.000 --> 00:07:28.000]   If you look at the context
[00:07:28.000 --> 00:07:32.000]   of how this passage really ought to be understood. Because
[00:07:32.000 --> 00:07:36.000]   He can't be simply talking about physical healing because they were all physically
[00:07:36.000 --> 00:07:40.000]   healed. So when He says your faith has made you well
[00:07:40.000 --> 00:07:44.000]   He seems to be talking about an
[00:07:44.000 --> 00:07:48.000]   inner healing. A spiritual healing. In other words, out of
[00:07:48.000 --> 00:07:52.000]   the ten who were saved, only one was saved. Only one.
[00:07:52.000 --> 00:07:56.000]   And the distinction between the nine and the one
[00:07:56.000 --> 00:08:00.000]   is that one returned to give thanks.
[00:08:00.000 --> 00:08:04.000]   Now, you may look at that and say, well, that seems like a harsh
[00:08:04.000 --> 00:08:08.000]   line to draw just because one recognized and he returned to give thanks and the other nine
[00:08:08.000 --> 00:08:12.000]   did not and they went out celebrating and forgot about Jesus.
[00:08:12.000 --> 00:08:16.000]   But when you look at the context of the scripture and in the Bible
[00:08:16.000 --> 00:08:20.000]   and specifically in the book of Romans, how man's rebellion is
[00:08:20.000 --> 00:08:24.000]   described. I think it will make better sense to us what Jesus was saying here.
[00:08:24.000 --> 00:08:28.000]   In Romans chapter 121, it says, "For although they knew God, they did not
[00:08:28.000 --> 00:08:32.000]   honor Him as God or give thanks to Him, but they became futile in
[00:08:32.000 --> 00:08:36.000]   their thinking and their foolish hearts were darkened."
[00:08:36.000 --> 00:08:40.000]   You see how Paul describes the rebellion of man? That they would not
[00:08:40.000 --> 00:08:44.000]   recognize God and give honor to Him or give thanks
[00:08:44.000 --> 00:08:48.000]   to Him. And in Romans chapter 121 it pretty much
[00:08:48.000 --> 00:08:52.000]   summarizes the sin of mankind. That His
[00:08:52.000 --> 00:08:56.000]   desire is to elevate Himself
[00:08:56.000 --> 00:09:00.000]   rather than God. And to give thanks to
[00:09:00.000 --> 00:09:04.000]   Him. The first principle that I want us
[00:09:04.000 --> 00:09:08.000]   to recognize is thanksgiving is an essential part of our salvation.
[00:09:08.000 --> 00:09:12.000]   Thanksgiving is the essential part of our salvation.
[00:09:12.000 --> 00:09:16.000]   It is what identifies a Christian and a non-Christian. At least that's how the Bible
[00:09:16.000 --> 00:09:20.000]   describes it. The Bible describes a Christian as one who recognizes
[00:09:20.000 --> 00:09:24.000]   God and gives honor and is thankful to Him. A non-Christian is one who
[00:09:24.000 --> 00:09:28.000]   does not recognize Him, does not give honor and glory to Him.
[00:09:28.000 --> 00:09:32.000]   So again to put it in a neat package basically a Christian is
[00:09:32.000 --> 00:09:36.000]   identified by his thankfulness.
[00:09:36.000 --> 00:09:40.000]   You know years ago I remember reading a story, the testimony of
[00:09:40.000 --> 00:09:44.000]   Pastor Chuck Smith of Calvary Chapel and it really stuck with me.
[00:09:44.000 --> 00:09:48.000]   And I remember he said that in the beginning of the Church
[00:09:48.000 --> 00:09:52.000]   that the Church was beginning to thrive and they decided to buy this Church property
[00:09:52.000 --> 00:09:56.000]   because of the growing number of people coming. And they got
[00:09:56.000 --> 00:10:00.000]   into a mortgage situation and the payment for the mortgage was coming up and they were
[00:10:00.000 --> 00:10:04.000]   short of the money. So he began to pray before God that the Lord would
[00:10:04.000 --> 00:10:08.000]   provide for these things. And one day he said he got a phone call
[00:10:08.000 --> 00:10:12.000]   from an individual promising Chuck Smith the
[00:10:12.000 --> 00:10:16.000]   exact amount that he needed for the payment. And so in his
[00:10:16.000 --> 00:10:20.000]   testimony he gives how elated he was that that person somehow miraculously
[00:10:20.000 --> 00:10:24.000]   God would convict him to give him the exact amount of money that he needed
[00:10:24.000 --> 00:10:28.000]   to pay off this bill. And in the midst of his celebration
[00:10:28.000 --> 00:10:32.000]   he took a step back and realized that his celebration
[00:10:32.000 --> 00:10:36.000]   was off base. And the reason why he says that is
[00:10:36.000 --> 00:10:40.000]   because he found more comfort in the promise of that man
[00:10:40.000 --> 00:10:44.000]   than in God's promises. And in his testimony he shares
[00:10:44.000 --> 00:10:48.000]   how in his own heart God revealed how closely
[00:10:48.000 --> 00:10:52.000]   he was dependent upon man's promises. See he still didn't have the cash.
[00:10:52.000 --> 00:10:56.000]   That man did not give the money. The money was not in the
[00:10:56.000 --> 00:11:00.000]   bank. But because the man promised that I'm going to give you
[00:11:00.000 --> 00:11:04.000]   sometime in the future if you need it I'm going to give it to you. That he felt more peace with that
[00:11:04.000 --> 00:11:08.000]   than his ability to come before the Lord in prayer.
[00:11:08.000 --> 00:11:12.000]   See at the core of man's rebellion against God is a refusal
[00:11:12.000 --> 00:11:16.000]   to acknowledge our Sovereign God.
[00:11:16.000 --> 00:11:20.000]   See in 1 Peter 1 24-25 it says,
[00:11:20.000 --> 00:11:24.000]   "All flesh is like grass, and all its glory, like the flower of the
[00:11:24.000 --> 00:11:28.000]   grass, will wither, and the flower will fail.
[00:11:28.000 --> 00:11:32.000]   But the word of the Lord remains forever, and the
[00:11:32.000 --> 00:11:36.000]   word is the good news that was preached to you."
[00:11:36.000 --> 00:11:40.000]   You know if anything the longer I live the more I am
[00:11:40.000 --> 00:11:44.000]   absolutely certain that nothing is for certain.
[00:11:44.000 --> 00:11:48.000]   If that makes any sense.
[00:11:48.000 --> 00:11:52.000]   Like everything, family, friendships,
[00:11:52.000 --> 00:11:56.000]   organizations, even churches they come and they go.
[00:11:56.000 --> 00:12:00.000]   Anything that you have confidence in whether it's finances or works
[00:12:00.000 --> 00:12:04.000]   things that you think are going to be permanent for the rest of your life is never
[00:12:04.000 --> 00:12:08.000]   really permanent. Just like Peter says in this passage,
[00:12:08.000 --> 00:12:12.000]   "All flesh, all flesh." He's not just talking about flesh or
[00:12:12.000 --> 00:12:16.000]   physical flesh even though obviously that's a big part of it. Everything that is
[00:12:16.000 --> 00:12:20.000]   physical, everything that you can sense with your senses
[00:12:20.000 --> 00:12:24.000]   will eventually fade. The only thing that lasts forever is His Word.
[00:12:24.000 --> 00:12:28.000]   See the rebellion of mankind
[00:12:28.000 --> 00:12:32.000]   where He says, "We chose not to give glory to the Creator
[00:12:32.000 --> 00:12:36.000]   rather we created things and gave glory to the image that
[00:12:36.000 --> 00:12:40.000]   we created for ourselves." That's at the core of human rebellion.
[00:12:40.000 --> 00:12:44.000]   Not recognizing God as God.
[00:12:44.000 --> 00:12:48.000]   I remember years ago
[00:12:48.000 --> 00:12:52.000]   I was a part of this ministry back in college and that ministry happened to be thriving.
[00:12:52.000 --> 00:12:56.000]   I wasn't leading it I was just a member. But it happened to be thriving and I remember
[00:12:56.000 --> 00:13:00.000]   a friend of mine who was also a Bible major at that time wanted to have
[00:13:00.000 --> 00:13:04.000]   lunch with me because he wanted to ask about that ministry.
[00:13:04.000 --> 00:13:08.000]   And so he's a pastor so he wanted to know what we're doing and how the ministry
[00:13:08.000 --> 00:13:12.000]   is being fruitful so that it can be applied in his ministry. And I remember having lunch with him
[00:13:12.000 --> 00:13:16.000]   and he asked me, "Peter what are you guys doing that seem to be working?"
[00:13:16.000 --> 00:13:20.000]   And I said, "You know I can't pinpoint any one particular thing
[00:13:20.000 --> 00:13:24.000]   because I see this system in a lot of places."
[00:13:24.000 --> 00:13:28.000]   But I can tell you again this is just from my observation
[00:13:28.000 --> 00:13:32.000]   what I see a difference between these guys and what I've experienced
[00:13:32.000 --> 00:13:36.000]   previously. These guys actually practice what they preach.
[00:13:36.000 --> 00:13:40.000]   And he said, "What do you mean?" Well they actually pray.
[00:13:40.000 --> 00:13:44.000]   They actually witness. They actually
[00:13:44.000 --> 00:13:48.000]   read the Bible and memorize scripture and they actually do these things.
[00:13:48.000 --> 00:13:52.000]   They don't just talk about it. And I remember telling him, "If you're asking me
[00:13:52.000 --> 00:13:56.000]   what I'm observing that is different is that's what's different.
[00:13:56.000 --> 00:14:00.000]   They're actually practicing and doing these things. They're not just talking. It's not just a doctrinal statement
[00:14:00.000 --> 00:14:04.000]   that they have. It's not just on paper." And I remember his response to me was
[00:14:04.000 --> 00:14:08.000]   "Peter, I'm a pastor. You're a Bible major. I'm a Bible major. We know this
[00:14:08.000 --> 00:14:12.000]   but what is working? Like what is working?"
[00:14:12.000 --> 00:14:16.000]   And I said, "Well I can tell you what they're doing but I see the same thing in other
[00:14:16.000 --> 00:14:20.000]   churches that aren't working. So if you're asking for a system I can
[00:14:20.000 --> 00:14:24.000]   tell you what they're doing but I don't really think that's the thing because I was a part
[00:14:24.000 --> 00:14:28.000]   of another ministry who practiced the exact same thing and it wasn't working."
[00:14:28.000 --> 00:14:32.000]   But he just could not get over it. He's like, "Peter, if you don't want to share just don't
[00:14:32.000 --> 00:14:36.000]   share, okay?" But I remember coming out of that so frustrated
[00:14:36.000 --> 00:14:40.000]   because at the core of who we are, even when the
[00:14:40.000 --> 00:14:44.000]   churches grow, we automatically have a
[00:14:44.000 --> 00:14:48.000]   tendency to see, well what system? What system is working?
[00:14:48.000 --> 00:14:52.000]   Who's doing it? And that's what we want to practice.
[00:14:52.000 --> 00:14:56.000]   That's what we want to copy. So you have a church that grows. Everybody's going over there and it's like
[00:14:56.000 --> 00:15:00.000]   oh that's how they're organized. That's how they do this. That's how they do that. And then they just kind of package
[00:15:00.000 --> 00:15:04.000]   that and then try to recreate that in other places. At the core of that
[00:15:04.000 --> 00:15:08.000]   at the core of that, aren't we giving
[00:15:08.000 --> 00:15:12.000]   credit to creation rather than the Creator? Of course we acknowledge God.
[00:15:12.000 --> 00:15:16.000]   We sing songs. We have doctrinal stuff. Of course we read the Bible but what are you doing
[00:15:16.000 --> 00:15:20.000]   really? Right? See there's a reason
[00:15:20.000 --> 00:15:24.000]   why in everything that God has done in the Old Testament and New Testament
[00:15:24.000 --> 00:15:28.000]   He goes exactly against the wisdom of man. Because if God
[00:15:28.000 --> 00:15:32.000]   is seeking His glory, one, He's not going to use people who are going to
[00:15:32.000 --> 00:15:36.000]   be in the middle and say, "I did it." He's not going to place
[00:15:36.000 --> 00:15:40.000]   people in positions when things happen and they bare fruit, "Oh because that guy was smart."
[00:15:40.000 --> 00:15:44.000]   Or "It's because he was organized this way." And then we end up giving credit
[00:15:44.000 --> 00:15:48.000]   to other things rather than God. Okay we give some credit to God but it has to be
[00:15:48.000 --> 00:15:52.000]   some other system. Some other things that are going on. There's a reason why He
[00:15:52.000 --> 00:15:56.000]   uses uneducated people. Why He chooses the worst of sinners.
[00:15:56.000 --> 00:16:00.000]   Because ultimately it's to take our eyes off of creation
[00:16:00.000 --> 00:16:04.000]   and to look at the Creator. Because if at the core
[00:16:04.000 --> 00:16:08.000]   of man's sin and core of his rebellion is a refusal to honor
[00:16:08.000 --> 00:16:12.000]   God and to give thanks to Him, isn't that what He
[00:16:12.000 --> 00:16:16.000]   is pursuing? Isn't that why He saves
[00:16:16.000 --> 00:16:20.000]   us? So that we can recognize who He is? Isn't that what repentance is?
[00:16:20.000 --> 00:16:24.000]   Repentance isn't simply, "You know I lied the other day
[00:16:24.000 --> 00:16:28.000]   so I repent of that. You know I lost it in my heart, I repent
[00:16:28.000 --> 00:16:32.000]   it of that." Justification happens not because you recognize
[00:16:32.000 --> 00:16:36.000]   certain sins in your life. A particular sin in your life.
[00:16:36.000 --> 00:16:40.000]   Justification, salvation happens when we recognize our whole
[00:16:40.000 --> 00:16:44.000]   trajectory of life was wrong. Even when we did
[00:16:44.000 --> 00:16:48.000]   good, it was for my glory. Even when we feed the poor.
[00:16:48.000 --> 00:16:52.000]   Even when we love our families, it was for me. So it wasn't
[00:16:52.000 --> 00:16:56.000]   just about one particular thing or several particular things. It's about
[00:16:56.000 --> 00:17:00.000]   who I was that I repent of. See
[00:17:00.000 --> 00:17:04.000]   I gave glory to creation rather than the Creator.
[00:17:04.000 --> 00:17:08.000]   So the first principle that we see,
[00:17:08.000 --> 00:17:12.000]   thanksgiving is an essential part of what it means to be a Christian.
[00:17:12.000 --> 00:17:16.000]   That's the identifying mark of a Christian and a non-Christian.
[00:17:16.000 --> 00:17:20.000]   Everything else, like grass, withers.
[00:17:20.000 --> 00:17:24.000]   Second principle that we see is that the opposite
[00:17:24.000 --> 00:17:28.000]   of thanksgiving, we often see it in bitterness and grumbling.
[00:17:28.000 --> 00:17:32.000]   You know what is the opposite of thanksgiving?
[00:17:32.000 --> 00:17:36.000]   Non-thanksgiving. Yes, that's not opposite.
[00:17:36.000 --> 00:17:40.000]   Typically what squashes a thankful heart is bitterness
[00:17:40.000 --> 00:17:44.000]   and grumbling. Hebrews chapter 12 verse 15, "See to it
[00:17:44.000 --> 00:17:48.000]   that no one fails to obtain the grace of God, that no root of bitterness
[00:17:48.000 --> 00:17:52.000]   springs up and causes trouble, and by it many become
[00:17:52.000 --> 00:17:56.000]   defiled." We see over and over again in
[00:17:56.000 --> 00:18:00.000]   Israel's history that what kept tripping them up
[00:18:00.000 --> 00:18:04.000]   despite all the privileges that they had, despite everything that
[00:18:04.000 --> 00:18:08.000]   the miracles that they provided, that God shown them, and the
[00:18:08.000 --> 00:18:12.000]   victories that they were able to experience by the power of God, despite all of that,
[00:18:12.000 --> 00:18:16.000]   what kept tripping them up? Well, 1 Corinthians 10, 9-10
[00:18:16.000 --> 00:18:20.000]   it says, "We must not put Christ to the test as some of them did," them talking
[00:18:20.000 --> 00:18:24.000]   about the Israelites, "and were destroyed by serpents, nor grumble
[00:18:24.000 --> 00:18:28.000]   as some of them did and were destroyed by the destroyer."
[00:18:28.000 --> 00:18:32.000]   The reason why they were grumbling is because they didn't believe in God.
[00:18:32.000 --> 00:18:36.000]   And at the end of the day,
[00:18:36.000 --> 00:18:40.000]   that's how God describes grumbling. It's because you didn't trust me.
[00:18:40.000 --> 00:18:44.000]   You looked at your circumstance and you trusted it rather than me.
[00:18:44.000 --> 00:18:48.000]   See, grumbling in the Israelites,
[00:18:48.000 --> 00:18:52.000]   I mean when we look at it, you know, a lot of times you read the Old Testament and people
[00:18:52.000 --> 00:18:56.000]   say, "Oh, God is so harsh and He's so judgmental." Right?
[00:18:56.000 --> 00:19:00.000]   Until you understand the context, go read the Old Testament carefully,
[00:19:00.000 --> 00:19:04.000]   especially the history of Israel. See if God comes out
[00:19:04.000 --> 00:19:08.000]   seeking or seeming vengeful.
[00:19:08.000 --> 00:19:12.000]   He does not. If anything, you probably
[00:19:12.000 --> 00:19:16.000]   my guess is you'll be thinking the same thing I'm thinking.
[00:19:16.000 --> 00:19:20.000]   Why do these people still exist? Right?
[00:19:20.000 --> 00:19:24.000]   Why does a holy God put up with these people? That's probably what's going to enter your mind if you read it
[00:19:24.000 --> 00:19:28.000]   consistently. The whole nation of Israel begins
[00:19:28.000 --> 00:19:32.000]   because they become slaves in Egypt.
[00:19:32.000 --> 00:19:36.000]   And obviously they're coming and crying out before God because they're
[00:19:36.000 --> 00:19:40.000]   being mistreated. They're in agony. They can't raise
[00:19:40.000 --> 00:19:44.000]   their children and they're back breaking work from sunup to sundown.
[00:19:44.000 --> 00:19:48.000]   And they're crying out to God. God says He hears their suffering
[00:19:48.000 --> 00:19:52.000]   and He has compassion on them. So He raises a servant, Moses,
[00:19:52.000 --> 00:19:56.000]   and He tells them to go, "Let my people go that they may come out and worship me."
[00:19:56.000 --> 00:20:00.000]   So the whole reason why the nation of Israel even existed, why they even
[00:20:00.000 --> 00:20:04.000]   started, because He had compassion. He heard their prayer.
[00:20:04.000 --> 00:20:08.000]   But as soon, as soon as they come into some trouble,
[00:20:08.000 --> 00:20:12.000]   the grumbling begins. In Exodus chapter 14,
[00:20:12.000 --> 00:20:16.000]   11-12, as they're escaping, they're at the Red Sea
[00:20:16.000 --> 00:20:20.000]   and they can't cross. The Egyptian army is
[00:20:20.000 --> 00:20:24.000]   coming and they look, they think that they're going to get wiped out. So the
[00:20:24.000 --> 00:20:28.000]   grumbling begins. Exodus 14, 11. They said to Moses,
[00:20:28.000 --> 00:20:32.000]   "Is it because there are no graves in Egypt that you have taken us away to die
[00:20:32.000 --> 00:20:36.000]   in the wilderness?" Dramatic. "What have you done
[00:20:36.000 --> 00:20:40.000]   to us in bringing us out of Egypt? Is it not this
[00:20:40.000 --> 00:20:44.000]   what we said to you in Egypt? Leave us alone that we may serve the Egyptians
[00:20:44.000 --> 00:20:48.000]   for it would have been better for us to serve the Egyptians than to die in the wilderness."
[00:20:48.000 --> 00:20:52.000]   Have you ever read the Old Testament? Did you ever hear that before?
[00:20:52.000 --> 00:20:56.000]   If they did say it they must have been murmuring it, because
[00:20:56.000 --> 00:21:00.000]   it's not mentioned. All I know is that when
[00:21:00.000 --> 00:21:04.000]   what I read is when God shows up and He delivers a miraculously,
[00:21:04.000 --> 00:21:08.000]   there is a celebration going on. Right? There is a parade going on. They are marching
[00:21:08.000 --> 00:21:12.000]   out, "Yes, we are no longer slaves." Right? That's the last
[00:21:12.000 --> 00:21:16.000]   scene that we see until they get to the Red Sea. And as soon as they see the Red Sea
[00:21:16.000 --> 00:21:20.000]   and they see the army coming, they are like, "Why did you bring us out here?
[00:21:20.000 --> 00:21:24.000]   It wasn't that bad in Egypt.
[00:21:24.000 --> 00:21:28.000]   Why did you just let us die over there and just bring us out here?"
[00:21:28.000 --> 00:21:32.000]   It doesn't stop there. God performs a miracle. He opens
[00:21:32.000 --> 00:21:36.000]   up the Red Sea. They are able to cross and God delivers them. And then
[00:21:36.000 --> 00:21:40.000]   praise God. We have an awesome God. And then they walk
[00:21:40.000 --> 00:21:44.000]   onto the desert. Water. Water.
[00:21:44.000 --> 00:21:48.000]   As soon as they get a little bit thirsty they start grumbling about water. Exodus chapter
[00:21:48.000 --> 00:21:52.000]   15, 23. When they came to Marah they could not drink the water
[00:21:52.000 --> 00:21:56.000]   of Marah because it was bitter. Therefore it was named Marah. And the people
[00:21:56.000 --> 00:22:00.000]   of Israel grumbled against Moses saying, "What shall we drink?"
[00:22:00.000 --> 00:22:04.000]   And they started complaining about not having enough water.
[00:22:04.000 --> 00:22:08.000]   "Why did you deliver us from Egypt? They had water there."
[00:22:08.000 --> 00:22:12.000]   It doesn't stop there. And then they get a little bit hungry. Food.
[00:22:12.000 --> 00:22:16.000]   Exodus chapter 16, 2. And the whole congregation of the people of Israel
[00:22:16.000 --> 00:22:20.000]   grumbled against Moses and Aaron in the wilderness. And the people of Israel said to them,
[00:22:20.000 --> 00:22:24.000]   "Would that we had died by the hand of the Lord in the land of Egypt.
[00:22:24.000 --> 00:22:28.000]   We sat by the meat pots and ate bread to the full. For you have brought us
[00:22:28.000 --> 00:22:32.000]   out into this wilderness to kill this whole assembly with hunger."
[00:22:32.000 --> 00:22:36.000]   So it wasn't, if it wasn't for danger, if it wasn't for water, now
[00:22:36.000 --> 00:22:40.000]   it's food. And then God gives them manna.
