
[00:00:00.000 --> 00:00:11.360]   - Good morning, everyone.
[00:02:40.160 --> 00:02:42.540]   me to a CCM meeting the following night.
[00:02:42.540 --> 00:02:46.440]   It was through the parachurch that I first heard of Breein, and I was immediately challenged
[00:02:46.440 --> 00:02:50.720]   as I interacted with Christ-centered college students who lived out their faith.
[00:02:50.720 --> 00:02:54.440]   As I began attending Breein regularly and learning more about Christianity through inductive
[00:02:54.440 --> 00:02:58.520]   Bible studies and Sunday services, God began to convict me to read the word and give me
[00:02:58.520 --> 00:03:01.520]   a renewed understanding on who Jesus Christ was.
[00:03:01.520 --> 00:03:05.120]   I began to grow in my faith even throughout the pandemic, learning about God's divine
[00:03:05.120 --> 00:03:10.120]   holiness as well as the riches of his divine mercy and grace in the gospel.
[00:03:10.120 --> 00:03:13.960]   I was convicted by the weight of sin, which are transgressions against the holy God who
[00:03:13.960 --> 00:03:17.160]   commands us to walk in the light as he himself does.
[00:03:17.160 --> 00:03:20.320]   Christ's death and resurrection atone for these transgressions, and for this we must
[00:03:20.320 --> 00:03:24.440]   confess our sins as he is faithful and cleanses us from all unrighteousness.
[00:03:24.440 --> 00:03:29.280]   As I contemplated this new truth, I was continuously humbled by the knowledge of God's love.
[00:03:29.280 --> 00:03:33.240]   Even though God knows the true depths of my sin, he still gave up his son to pay the penalty
[00:03:33.240 --> 00:03:36.680]   for my sin so I can be reconciled and have peace with him.
[00:03:36.680 --> 00:03:40.440]   There is no amount of work or service I could do to earn my salvation, and it was only by
[00:03:40.440 --> 00:03:42.240]   his grace through faith.
[00:03:42.240 --> 00:03:46.160]   And because of this new knowledge, I now have a desire to worship him, love him, and follow
[00:03:46.160 --> 00:03:47.460]   him.
[00:03:47.460 --> 00:03:50.840]   Although I tried to push God away numerous times throughout my life, looking back I can
[00:03:50.840 --> 00:03:55.280]   truly see his loving kindness to the encouraging brothers and sisters I met over the past year,
[00:03:55.280 --> 00:03:59.320]   who continuously spur me on to grow more in the knowledge of the Savior who died on the
[00:03:59.320 --> 00:04:03.080]   cross and now calls me to follow him.
[00:04:03.080 --> 00:04:06.960]   My decision to be baptized 10 years later comes with a new understanding of Jesus' death
[00:04:06.960 --> 00:04:12.920]   and resurrection, as well as my new confidence in affirming his lordship over my life.
[00:04:12.920 --> 00:04:17.360]   A verse that is especially encouraging to me is Galatians 2.20.
[00:04:17.360 --> 00:04:21.000]   I have been crucified with Christ, and it is no longer I who live, but Christ lives
[00:04:21.000 --> 00:04:22.000]   in me.
[00:04:22.000 --> 00:04:25.920]   And the life which I now live in the flesh, I live by faith in the Son of God, who loved
[00:04:25.920 --> 00:04:27.640]   me and gave himself up for me.
[00:04:27.640 --> 00:04:28.640]   Thank you.
[00:04:28.640 --> 00:04:35.640]   [applause]
[00:04:35.640 --> 00:04:42.640]   [inaudible]
[00:04:42.640 --> 00:04:49.640]   [applause]
[00:04:50.640 --> 00:04:57.640]   [inaudible]
[00:04:57.640 --> 00:05:03.640]   [inaudible]
[00:05:03.640 --> 00:05:08.640]   [applause]

