
[00:00:00.000 --> 00:00:02.460]   ♪ Once composed ♪
[00:02:30.900 --> 00:02:34.980]   ♪ Bids me come and die ♪
[00:02:34.980 --> 00:02:37.660]   ♪ And find that I ♪
[00:02:37.660 --> 00:02:40.420]   ♪ May truly live ♪
[00:02:40.420 --> 00:02:43.100]   - You can move to the next clip.
[00:02:43.100 --> 00:02:48.900]   Oh yeah.
[00:02:48.900 --> 00:02:51.140]   (laughing)
[00:02:51.140 --> 00:02:55.560]   (soft music)
[00:02:55.560 --> 00:03:08.900]   ♪ Love so amazing ♪
[00:03:08.900 --> 00:03:13.380]   - Good morning, church family.
[00:03:13.380 --> 00:03:14.740]   Happy Lord's Day.
[00:03:14.740 --> 00:03:17.180]   As a reminder, the lyrics to the praise songs
[00:03:17.180 --> 00:03:19.420]   will be on the Brewery app.
[00:03:19.420 --> 00:03:21.020]   So with that, we'll get started.
[00:03:21.020 --> 00:03:24.440]   (soft music)
[00:03:24.440 --> 00:03:31.020]   ♪ All that I am ♪
[00:03:31.020 --> 00:03:34.460]   ♪ All that I am ♪
[00:03:34.460 --> 00:03:38.020]   ♪ All that I have ♪
[00:03:38.020 --> 00:03:42.460]   ♪ I lay them down before you ♪
[00:03:42.460 --> 00:03:45.140]   ♪ All of ♪
[00:03:45.140 --> 00:03:48.580]   ♪ All my regrets ♪
[00:03:48.580 --> 00:03:51.700]   ♪ All my acclaim ♪
[00:03:51.700 --> 00:03:54.820]   ♪ The joy and the pain ♪
[00:03:54.820 --> 00:03:59.820]   ♪ I'm making them yours ♪
[00:03:59.820 --> 00:04:06.060]   ♪ Lord, I offer my life to you ♪
[00:04:06.060 --> 00:04:09.340]   ♪ Everything I do ♪
[00:04:09.340 --> 00:04:11.940]   ♪ You do ♪
[00:04:11.940 --> 00:04:15.100]   ♪ So for your glory ♪
[00:04:15.100 --> 00:04:20.100]   ♪ Lord, I offer my days to you ♪
[00:04:20.100 --> 00:04:25.260]   ♪ Lifting my praise to you ♪
[00:04:25.260 --> 00:04:30.460]   ♪ As a pleasing sacrifice ♪
[00:04:30.460 --> 00:04:36.060]   ♪ Lord, I offer you my life ♪
[00:04:40.740 --> 00:04:45.740]   ♪ The best things in the past ♪
[00:04:45.740 --> 00:04:49.380]   ♪ I've seen ♪
[00:04:49.380 --> 00:04:54.380]   ♪ Wishes and dreams that are yet to come true ♪
[00:04:54.380 --> 00:04:59.500]   ♪ All of my hopes ♪
[00:04:59.500 --> 00:05:02.740]   ♪ All of my plans ♪
[00:05:02.740 --> 00:05:05.460]   ♪ I write in my book ♪
[00:05:05.460 --> 00:05:09.780]   ♪ All of this is to you ♪
[00:05:09.780 --> 00:05:11.460]   ♪ Lord, I offer you ♪
[00:05:11.460 --> 00:05:16.460]   ♪ Lord, I offer my life to you ♪
[00:05:16.460 --> 00:05:21.620]   ♪ Everything I do ♪
[00:05:21.620 --> 00:05:24.980]   ♪ Use it for your glory ♪
[00:05:24.980 --> 00:05:29.980]   ♪ Lord, I offer my days to you ♪
[00:05:29.980 --> 00:05:35.140]   ♪ Lifting my praise to you ♪
[00:05:35.180 --> 00:05:40.180]   ♪ As a pleasing sacrifice ♪
[00:05:40.180 --> 00:05:43.940]   ♪ Lord, I offer you ♪
[00:05:43.940 --> 00:05:45.220]   ♪ Lord, I offer you ♪
[00:05:45.220 --> 00:05:50.220]   ♪ Lord, I offer my life to you ♪
[00:05:50.220 --> 00:05:55.300]   ♪ Everything I do ♪
[00:05:55.300 --> 00:05:58.580]   ♪ Use it for your glory ♪
[00:05:58.580 --> 00:06:03.580]   ♪ Lord, I offer my days to you ♪
[00:06:03.660 --> 00:06:08.660]   ♪ Lifting my praise to you ♪
[00:06:08.660 --> 00:06:13.700]   ♪ As a pleasing sacrifice ♪
[00:06:13.700 --> 00:06:19.020]   ♪ Lord, I offer you my life ♪
[00:06:19.020 --> 00:06:32.540]   - All right, good morning, Breen Community Church.
[00:06:32.540 --> 00:06:34.900]   The weather has cooled down significantly.
[00:06:34.900 --> 00:06:40.100]   This morning it was like a 84,
[00:06:40.100 --> 00:06:42.540]   actually 82 and the humidity was 80
[00:06:42.540 --> 00:06:45.420]   and now it's 80, 65.
[00:06:45.420 --> 00:06:47.740]   So it's gonna get cold.
[00:06:47.740 --> 00:06:49.940]   All right, I gotta, let me start.
[00:06:49.940 --> 00:06:53.620]   Oh, here it is.
[00:06:53.620 --> 00:06:55.980]   Okay, so I'm gonna start with the happy birthday.
[00:06:55.980 --> 00:06:58.420]   So Maddie Lowe, okay, online,
[00:06:58.420 --> 00:07:02.220]   she's turning eight this week, so happy birthday.
[00:07:02.220 --> 00:07:04.580]   And then Gracie Kwok, she's only one,
[00:07:04.580 --> 00:07:06.380]   I can't believe one year has gone by already.
[00:07:06.380 --> 00:07:09.100]   So happy birthday to you, even if you don't understand.
[00:07:09.100 --> 00:07:11.140]   All right, happy birthday to you.
[00:07:11.140 --> 00:07:13.500]   We have just a few announcements before we get started.
[00:07:13.500 --> 00:07:16.580]   First of all, our weekday Bible study,
[00:07:16.580 --> 00:07:18.980]   a home group weekday Bible study is gonna start
[00:07:18.980 --> 00:07:20.540]   not this week, but next week.
[00:07:20.540 --> 00:07:21.780]   So if you haven't signed up for that,
[00:07:21.780 --> 00:07:23.540]   please sign up as soon as you can.
[00:07:23.540 --> 00:07:25.180]   We've already made small groups,
[00:07:25.180 --> 00:07:27.700]   but if you would need to be added to the groups,
[00:07:27.700 --> 00:07:28.700]   please do so.
[00:07:28.700 --> 00:07:30.100]   Even if you are part of the home group
[00:07:30.100 --> 00:07:32.940]   and it's kind of assumed that you're gonna be participating
[00:07:32.940 --> 00:07:34.500]   in that, please sign up for that
[00:07:34.500 --> 00:07:36.500]   because we wanna make sure that there's plenty of room
[00:07:36.500 --> 00:07:39.260]   to be able to direct you towards certain places.
[00:07:39.260 --> 00:07:44.260]   The other thing is we have the outreach event
[00:07:44.260 --> 00:07:45.500]   that's gospel night that's happening
[00:07:45.500 --> 00:07:48.100]   this coming Saturday at 4 p.m.
[00:07:48.100 --> 00:07:50.660]   We actually have quite a few people who have signed up.
[00:07:50.660 --> 00:07:53.620]   And so I think one of the benefits of doing it online,
[00:07:53.620 --> 00:07:55.380]   there's more people who are able to come
[00:07:55.380 --> 00:07:56.580]   as a result of that.
[00:07:56.580 --> 00:07:57.940]   So even if you're not coming,
[00:07:57.940 --> 00:08:00.300]   please continue to keep them in your prayer.
[00:08:00.300 --> 00:08:03.700]   As the Bible says, it's the Holy Spirit that convicts
[00:08:03.700 --> 00:08:06.660]   and opens the eyes of sinners
[00:08:06.660 --> 00:08:08.980]   to be able to see the truth of the gospel.
[00:08:08.980 --> 00:08:11.260]   And so we really need the whole church
[00:08:11.260 --> 00:08:12.500]   to be praying for this Saturday,
[00:08:12.500 --> 00:08:14.260]   the event's at 4 p.m.
[00:08:14.260 --> 00:08:16.940]   And so if you're bringing friends again to keep praying,
[00:08:16.940 --> 00:08:19.260]   but even if you're not coming, please keep that in mind.
[00:08:19.260 --> 00:08:22.620]   And every day as you guys are taking time to pray,
[00:08:22.620 --> 00:08:24.740]   to remember that, that again,
[00:08:24.740 --> 00:08:26.180]   that everyone who's participating,
[00:08:26.660 --> 00:08:28.540]   that the gospel message will be clear.
[00:08:28.540 --> 00:08:31.300]   Those who are presenting, the pastors and the elders
[00:08:31.300 --> 00:08:33.740]   who are presenting that and leading that,
[00:08:33.740 --> 00:08:35.500]   that God will give them wisdom and grace.
[00:08:35.500 --> 00:08:37.780]   And again, that it would be a very fruitful time
[00:08:37.780 --> 00:08:38.820]   this coming Saturday.
[00:08:38.820 --> 00:08:42.060]   All right, look at that.
[00:08:42.060 --> 00:08:43.460]   You feel the wind?
[00:08:43.460 --> 00:08:44.860]   I feel it.
[00:08:44.860 --> 00:08:46.260]   Thank you.
[00:08:46.260 --> 00:08:47.900]   All right, so we're gonna pray.
[00:08:47.900 --> 00:08:50.780]   And then again, get an opportunity to give
[00:08:50.780 --> 00:08:53.340]   and then our physical offering is in the back corner.
[00:08:53.340 --> 00:08:55.860]   So please, if you're gonna do that, do that afterwards.
[00:08:55.860 --> 00:08:56.980]   All right, let's pray.
[00:08:56.980 --> 00:09:01.860]   Gracious Father, we thank you for this morning.
[00:09:01.860 --> 00:09:03.740]   We thank you for the privilege that we have
[00:09:03.740 --> 00:09:06.220]   to be able to come and worship you.
[00:09:06.220 --> 00:09:08.660]   Help us, Lord God, to have a thankful heart
[00:09:08.660 --> 00:09:10.620]   that even in this hot sun,
[00:09:10.620 --> 00:09:14.500]   the privilege that we have to be able to gather.
[00:09:14.500 --> 00:09:16.580]   And we know that there are many brothers and sisters
[00:09:16.580 --> 00:09:18.580]   around the world, Lord God, who risk health
[00:09:18.580 --> 00:09:22.340]   and sometimes even their lives to fellowship together,
[00:09:22.340 --> 00:09:24.820]   to worship in spirit and in truth.
[00:09:24.820 --> 00:09:28.260]   So we pray, Father God, that you would give us focus,
[00:09:28.260 --> 00:09:30.820]   that you give us courage to live the conviction
[00:09:30.820 --> 00:09:32.380]   that you've given us.
[00:09:32.380 --> 00:09:34.780]   And even in our giving, help us to do it in a manner
[00:09:34.780 --> 00:09:36.820]   that honors you as an act of worship.
[00:09:36.820 --> 00:09:38.860]   May it be multiplied for your use.
[00:09:38.860 --> 00:09:41.140]   In Jesus' name we pray, amen.
[00:09:41.140 --> 00:09:44.220]   (gentle piano music)
[00:09:44.340 --> 00:09:48.260]   (gentle piano music continues)
[00:09:48.260 --> 00:09:52.180]   (gentle piano music continues)
[00:09:53.180 --> 00:09:57.180]   (gentle piano music continues)
[00:09:57.180 --> 00:10:01.100]   (gentle piano music continues)
[00:10:25.460 --> 00:10:29.380]   - Let's all rise as we sing these next phrases.
[00:10:29.380 --> 00:10:33.300]   (upbeat music)
[00:10:33.300 --> 00:10:45.980]   ♪ Oh Lord, I pray ♪
[00:10:45.980 --> 00:10:50.220]   ♪ When I in awe of someone there ♪
[00:10:50.220 --> 00:10:55.220]   ♪ Consider all the words that I've said ♪
[00:10:55.260 --> 00:10:58.820]   ♪ And stand in ♪
[00:10:58.820 --> 00:11:02.740]   ♪ I see the stars ♪
[00:11:02.740 --> 00:11:06.980]   ♪ I hear the rolling thunder ♪
[00:11:06.980 --> 00:11:10.060]   ♪ The loud, new howls ♪
[00:11:10.060 --> 00:11:15.060]   ♪ The universe displays the things ♪
[00:11:15.060 --> 00:11:20.220]   ♪ It seems my soul, my Savior, God, to Thee ♪
[00:11:23.580 --> 00:11:27.740]   ♪ How great Thou art ♪
[00:11:27.740 --> 00:11:31.940]   ♪ How great Thou art ♪
[00:11:31.940 --> 00:11:36.940]   ♪ It seems my soul, my Savior, God, to Thee ♪
[00:11:36.940 --> 00:11:44.500]   ♪ How great Thou art ♪
[00:11:44.500 --> 00:11:47.500]   ♪ How great Thou art ♪
[00:11:51.620 --> 00:11:53.140]   - One more time, one more time, sing.
[00:11:53.140 --> 00:11:57.060]   ♪ And when I think ♪
[00:11:57.060 --> 00:12:01.140]   ♪ That God, His Son, must perish ♪
[00:12:01.140 --> 00:12:04.260]   ♪ Sent Him to die ♪
[00:12:04.260 --> 00:12:09.260]   ♪ I scarce can take it ♪
[00:12:09.260 --> 00:12:13.580]   ♪ That on that cross ♪
[00:12:13.580 --> 00:12:17.780]   ♪ My burden gladly bearing ♪
[00:12:17.780 --> 00:12:20.820]   ♪ Be bled and die ♪
[00:12:20.820 --> 00:12:25.820]   ♪ To take away my sin ♪
[00:12:25.820 --> 00:12:31.020]   ♪ It seems my soul, my Savior, God, to Thee ♪
[00:12:31.020 --> 00:12:38.460]   ♪ How great Thou art ♪
[00:12:38.460 --> 00:12:42.660]   ♪ How great Thou art ♪
[00:12:42.660 --> 00:12:47.660]   ♪ It seems my soul, my Savior, God, to Thee ♪
[00:12:48.660 --> 00:12:53.660]   ♪ How great Thou art ♪
[00:12:53.660 --> 00:12:58.660]   ♪ How great Thou art ♪
[00:12:58.660 --> 00:13:05.660]   ♪ When Christ shall come ♪
[00:13:05.660 --> 00:13:09.660]   ♪ With a shout of affirmation ♪
[00:13:09.660 --> 00:13:12.660]   ♪ And take me home ♪
[00:13:12.660 --> 00:13:17.660]   ♪ What joy shall fill my heart ♪
[00:13:17.660 --> 00:13:22.660]   ♪ And I shall bow ♪
[00:13:22.660 --> 00:13:26.660]   ♪ With humble adoration ♪
[00:13:26.660 --> 00:13:29.660]   ♪ And there proclaim ♪
[00:13:29.660 --> 00:13:33.660]   ♪ My God, how great Thou art ♪
[00:13:33.660 --> 00:13:34.660]   - Let's sing.
[00:13:34.660 --> 00:13:39.660]   ♪ It seems my soul, my Savior, God, to Thee ♪
[00:13:39.660 --> 00:13:44.660]   ♪ How great Thou art ♪
[00:13:44.660 --> 00:13:49.660]   ♪ How great Thou art ♪
[00:13:49.660 --> 00:13:54.660]   ♪ It seems my soul, my Savior, God, to Thee ♪
[00:13:54.660 --> 00:14:02.660]   ♪ How great Thou art ♪
[00:14:02.660 --> 00:14:05.660]   ♪ How great Thou art ♪
[00:14:05.660 --> 00:14:09.660]   ♪ How great Thou art ♪
[00:14:09.660 --> 00:14:13.660]   ♪ How great Thou art ♪
[00:14:13.660 --> 00:14:16.660]   ♪ How great Thou art ♪
[00:14:16.660 --> 00:14:29.240]   (gentle music)
[00:14:30.240 --> 00:14:32.820]   (gentle music)
[00:14:32.820 --> 00:14:39.820]   (gentle music)
[00:14:39.820 --> 00:14:42.400]   (gentle music)
[00:14:42.400 --> 00:14:44.980]   (gentle music)
[00:14:44.980 --> 00:14:47.560]   (gentle music)
[00:14:48.560 --> 00:14:51.140]   (gentle music)
[00:14:51.140 --> 00:15:00.140]   (gentle music)
[00:15:00.140 --> 00:15:11.140]   (gentle music)
[00:15:11.140 --> 00:15:13.720]   (gentle music)
[00:15:13.720 --> 00:15:28.720]   (gentle music)
[00:15:28.720 --> 00:15:31.300]   (gentle music)
[00:15:31.300 --> 00:15:41.300]   (gentle music)
[00:15:41.300 --> 00:15:51.300]   (gentle music)
[00:15:51.300 --> 00:15:53.880]   (gentle music)
[00:15:53.880 --> 00:16:03.880]   (gentle music)
[00:16:03.880 --> 00:16:15.880]   (gentle music)
[00:16:15.880 --> 00:16:18.460]   (gentle music)
[00:16:18.460 --> 00:16:28.460]   (gentle music)
[00:16:28.460 --> 00:16:38.460]   (gentle music)
[00:16:38.460 --> 00:16:41.040]   (gentle music)
[00:16:41.040 --> 00:16:51.040]   (gentle music)
[00:16:51.040 --> 00:17:03.040]   (gentle music)
[00:17:03.040 --> 00:17:05.620]   (gentle music)
[00:17:05.620 --> 00:17:15.620]   (gentle music)
[00:17:15.620 --> 00:17:25.620]   (gentle music)
[00:17:25.620 --> 00:17:28.200]   (gentle music)
[00:17:28.200 --> 00:17:41.200]   (gentle music)
[00:17:41.200 --> 00:17:50.200]   (gentle music)
[00:17:51.200 --> 00:17:56.200]   ♪ Christ in power resurrected ♪
[00:17:56.200 --> 00:18:00.200]   ♪ As He will be when He comes ♪
[00:18:00.200 --> 00:18:04.780]   (gentle music)
[00:18:04.780 --> 00:18:16.280]   - Amen, you may be seated.
[00:18:18.200 --> 00:18:23.200]   Okay, if you can turn your Bibles to Hebrews 10:19,
[00:18:23.200 --> 00:18:27.200]   and we're gonna be reading to verse 25,
[00:18:27.200 --> 00:18:31.200]   but we're gonna be getting up to verse 23 today.
[00:18:31.200 --> 00:18:35.200]   Okay, Hebrews 10:19-25.
[00:18:35.200 --> 00:18:46.780]   All right, reading out of the NSV,
[00:18:46.780 --> 00:18:48.780]   "Therefore, brethren, since we have confidence
[00:18:48.780 --> 00:18:51.200]   "to enter the holy place by the blood of Jesus,
[00:18:51.200 --> 00:18:52.400]   "by a new and living way,
[00:18:52.400 --> 00:18:54.900]   "which He inaugurated for us through the veil,
[00:18:54.900 --> 00:18:56.200]   "that is His flesh,
[00:18:56.200 --> 00:18:59.200]   "and since we have a great priest over the house of God,
[00:18:59.200 --> 00:19:01.200]   "let us draw near with a sincere heart
[00:19:01.200 --> 00:19:02.700]   "in full assurance of faith,
[00:19:02.700 --> 00:19:06.200]   "having our hearts sprinkled clean from an evil conscience
[00:19:06.200 --> 00:19:08.900]   "and our bodies washed with pure water.
[00:19:08.900 --> 00:19:11.280]   "Let us hold fast a confession of our hope without wavering,
[00:19:11.280 --> 00:19:13.400]   "for He who promised is faithful.
[00:19:13.400 --> 00:19:15.400]   "And let us consider how to stimulate one another
[00:19:15.400 --> 00:19:16.700]   "to love and good deeds,
[00:19:16.700 --> 00:19:18.900]   "not forsaking our own assembling together,
[00:19:18.900 --> 00:19:20.500]   "as is the habit of some,
[00:19:20.500 --> 00:19:21.700]   "but encouraging one another,
[00:19:21.700 --> 00:19:25.200]   "and all the more, as you see the day drawing near."
[00:19:25.200 --> 00:19:26.400]   All right, let's pray.
[00:19:26.400 --> 00:19:29.900]   Heavenly Father, we thank You for Your goodness.
[00:19:29.900 --> 00:19:33.400]   We thank You for the privilege that we have to come
[00:19:33.400 --> 00:19:36.900]   and draw near to the throne of grace with confidence.
[00:19:36.900 --> 00:19:39.400]   I pray that Your word would have its effect on us.
[00:19:39.400 --> 00:19:41.400]   May it not return until it has accomplished
[00:19:41.400 --> 00:19:42.900]   the purpose that You have ordained.
[00:19:42.900 --> 00:19:44.900]   In Jesus' name we pray, amen.
[00:19:45.900 --> 00:19:46.900]   - Amen.
[00:19:46.900 --> 00:19:49.900]   - You know, today,
[00:19:49.900 --> 00:19:53.700]   if somebody says that they're Christian,
[00:19:53.700 --> 00:19:56.900]   the word Christian has been diluted to the point
[00:19:56.900 --> 00:20:00.900]   where you have to ask further questions.
[00:20:00.900 --> 00:20:01.900]   What kind of Christian?
[00:20:01.900 --> 00:20:02.900]   Do you believe the Bible?
[00:20:02.900 --> 00:20:05.400]   Do you believe in the resurrection of Jesus Christ?
[00:20:05.400 --> 00:20:07.700]   Do you believe that Christ is the only way?
[00:20:07.700 --> 00:20:09.400]   And you have to clarify that
[00:20:09.400 --> 00:20:12.400]   because more than 70% of the United States
[00:20:12.400 --> 00:20:14.700]   identify with Christianity.
[00:20:14.700 --> 00:20:15.900]   People say that they're Christian
[00:20:15.900 --> 00:20:18.400]   because they were born into a Christian home.
[00:20:18.400 --> 00:20:19.700]   People say that they're Christian
[00:20:19.700 --> 00:20:22.900]   because they admire Jesus as a great man.
[00:20:22.900 --> 00:20:25.200]   People will say that they're Christians
[00:20:25.200 --> 00:20:28.900]   simply because they're surrounded by other Christians.
[00:20:28.900 --> 00:20:30.700]   And so for whatever the reason,
[00:20:30.700 --> 00:20:34.900]   the term Christian itself isn't what it used to be.
[00:20:34.900 --> 00:20:36.200]   So you have to figure out
[00:20:36.200 --> 00:20:37.900]   like what specifically do they believe?
[00:20:37.900 --> 00:20:39.600]   And we find out that, you know,
[00:20:39.600 --> 00:20:41.200]   majority of people who claim to be Christians
[00:20:41.200 --> 00:20:42.900]   are not biblical Christians,
[00:20:42.900 --> 00:20:45.900]   because the Bible describes what a Christian is.
[00:20:45.900 --> 00:20:47.900]   Well, years ago, that was not the case.
[00:20:47.900 --> 00:20:51.400]   When the term Christian was first given to Christians,
[00:20:51.400 --> 00:20:55.900]   it was to identify clearly those who belong to Christ.
[00:20:55.900 --> 00:20:57.900]   And the word Christian literally just meant
[00:20:57.900 --> 00:20:59.900]   the little Christ.
[00:20:59.900 --> 00:21:03.400]   And so it was identifying people who are followers of Jesus.
[00:21:03.400 --> 00:21:04.900]   Now, prior to that,
[00:21:04.900 --> 00:21:07.400]   obviously you had people who said that they were Jews
[00:21:07.400 --> 00:21:09.400]   and they were, you know, were they part of the Essenes?
[00:21:09.400 --> 00:21:10.400]   Were they Sadducees?
[00:21:10.400 --> 00:21:11.900]   Were they Pharisees?
[00:21:11.900 --> 00:21:12.900]   Who are they?
[00:21:12.900 --> 00:21:14.900]   And so they had all these different distinctions
[00:21:14.900 --> 00:21:16.900]   of people who are theists, right?
[00:21:16.900 --> 00:21:18.900]   Now, well, you believe in many gods
[00:21:18.900 --> 00:21:20.400]   and I worship this God or that God.
[00:21:20.400 --> 00:21:23.900]   And so when they started calling Christians Christian,
[00:21:23.900 --> 00:21:26.400]   that term Christian identified everybody,
[00:21:26.400 --> 00:21:27.900]   no matter what background you came from,
[00:21:27.900 --> 00:21:30.900]   whether you were formerly an idol worshiper,
[00:21:30.900 --> 00:21:32.400]   whether you are a Jew
[00:21:32.400 --> 00:21:34.400]   and you worship the God of the Old Testament,
[00:21:34.400 --> 00:21:36.900]   but you had different views, different theology.
[00:21:36.900 --> 00:21:38.400]   So when they say he's a Christian,
[00:21:38.400 --> 00:21:39.900]   it was clear identity
[00:21:39.900 --> 00:21:42.400]   with the death and resurrection of Jesus Christ
[00:21:42.400 --> 00:21:45.400]   and that they were actually following him,
[00:21:45.400 --> 00:21:46.900]   that they were new creation.
[00:21:46.900 --> 00:21:49.900]   The old is gone, behold, the new has come.
[00:21:49.900 --> 00:21:53.400]   So the biblical understanding of a Christian
[00:21:53.400 --> 00:21:55.900]   is a Christian who's made a decision
[00:21:55.900 --> 00:21:58.900]   to be a follower of Jesus Christ,
[00:21:58.900 --> 00:22:00.900]   not simply an admirer,
[00:22:00.900 --> 00:22:02.900]   not simply somebody who says, you know what?
[00:22:02.900 --> 00:22:05.900]   I agree with these set of doctrines.
[00:22:05.900 --> 00:22:07.900]   The Bible makes that very clear.
[00:22:07.900 --> 00:22:10.900]   Even the demons believe who Jesus is.
[00:22:10.900 --> 00:22:12.900]   And because they know who Jesus is,
[00:22:12.900 --> 00:22:14.900]   they shudder, they fear.
[00:22:14.900 --> 00:22:18.900]   They fear God more than average theist in our generation
[00:22:18.900 --> 00:22:20.400]   because they know who he is.
[00:22:20.400 --> 00:22:21.900]   They know that judgment is coming.
[00:22:21.900 --> 00:22:25.900]   But in the book of James, it says that just identifying
[00:22:25.900 --> 00:22:28.400]   and say, well, we believe, we believe that there's one God.
[00:22:28.400 --> 00:22:31.400]   Good, even the demons believe that and they shudder.
[00:22:31.400 --> 00:22:33.900]   So the biblical understanding of a Christian
[00:22:33.900 --> 00:22:37.400]   is someone who not only embraces the doctrine,
[00:22:37.400 --> 00:22:40.400]   but has identified as a follower of Jesus Christ.
[00:22:40.400 --> 00:22:42.900]   Follower meaning that you have to go where he goes,
[00:22:42.900 --> 00:22:44.400]   you have to do what he does,
[00:22:44.400 --> 00:22:47.400]   and you actually follow his steps.
[00:22:47.400 --> 00:22:50.900]   All that the author of Hebrews has been teaching
[00:22:50.900 --> 00:22:52.400]   about Christology,
[00:22:52.400 --> 00:22:55.400]   all of it is really to bring us to this point
[00:22:55.400 --> 00:23:00.400]   so that the readers of Hebrews would change their behavior.
[00:23:00.400 --> 00:23:03.900]   Whatever that they were doing to cause him to drift,
[00:23:03.900 --> 00:23:06.900]   it wasn't simply because the author of Hebrews
[00:23:06.900 --> 00:23:08.400]   was concerned, he said, you know what, they took a test
[00:23:08.400 --> 00:23:11.900]   and they just didn't know how to answer these questions.
[00:23:11.900 --> 00:23:14.400]   You know, they didn't know how to answer Christology
[00:23:14.400 --> 00:23:15.400]   and about the identity of Jesus
[00:23:15.400 --> 00:23:17.400]   and how he fulfilled the tabernacle.
[00:23:17.400 --> 00:23:20.900]   And so the point of the letter to Hebrews
[00:23:20.900 --> 00:23:23.400]   wasn't simply to get the doctrine right.
[00:23:23.400 --> 00:23:25.400]   They needed to get the doctrine right
[00:23:25.400 --> 00:23:27.900]   so that they can change their behavior.
[00:23:27.900 --> 00:23:30.400]   And if you read the New Testament,
[00:23:30.400 --> 00:23:33.400]   all of the letters are written in that format.
[00:23:33.400 --> 00:23:35.900]   They would give us the correct doctrine
[00:23:35.900 --> 00:23:38.900]   and then it always leads to therefore.
[00:23:38.900 --> 00:23:41.900]   Therefore, this is how you ought to apply this.
[00:23:41.900 --> 00:23:44.400]   So you guys, you know, we just finished the study
[00:23:44.400 --> 00:23:46.900]   of the book of Ephesians chapter 1, 2, 3,
[00:23:46.900 --> 00:23:49.400]   basically is Christology about salvation.
[00:23:49.400 --> 00:23:53.400]   Chapter 4, 5, 6 was the application of that, right?
[00:23:53.400 --> 00:23:55.400]   Book of Romans, we finished a while back,
[00:23:55.400 --> 00:23:58.400]   chapter 1 through 11 is about soteriology,
[00:23:58.400 --> 00:24:00.900]   about, you know, study of the doctrine.
[00:24:00.900 --> 00:24:04.900]   And then chapter 12 and on is the application of that, right?
[00:24:04.900 --> 00:24:09.900]   And so book of Hebrews has heavily emphasized
[00:24:09.900 --> 00:24:13.400]   and in between it would give us these imperatives,
[00:24:13.400 --> 00:24:16.400]   but we're at a point where he's beginning to move away
[00:24:16.400 --> 00:24:18.900]   and maybe at the end part of Christology
[00:24:18.900 --> 00:24:20.900]   and then we're going to get into chapter 11
[00:24:20.900 --> 00:24:23.400]   as examples of people who are living by faith
[00:24:23.400 --> 00:24:24.900]   and then chapter 12 and on,
[00:24:24.900 --> 00:24:28.400]   he's going to just heavily emphasize what we ought to do.
[00:24:28.400 --> 00:24:30.900]   So we can say that this section,
[00:24:30.900 --> 00:24:32.400]   the text that we're looking at now,
[00:24:32.400 --> 00:24:34.400]   is the beginning of that, right?
[00:24:34.400 --> 00:24:37.400]   Is the beginning part of introduction to the imperative.
[00:24:37.400 --> 00:24:40.400]   Now that you have all the doctrines of Jesus,
