
[00:00:00.000 --> 00:00:02.980]   [MUSIC PLAYING]
[00:03:13.940 --> 00:03:23.940]   [SIDE CONVERSATION]
[00:03:39.940 --> 00:03:42.940]   [SIDE CONVERSATION]
[00:03:42.940 --> 00:03:45.940]   [SIDE CONVERSATION]
[00:03:45.940 --> 00:03:48.940]   [SIDE CONVERSATION]
[00:03:48.940 --> 00:03:51.940]   [SIDE CONVERSATION]
[00:03:51.940 --> 00:03:54.940]   [SIDE CONVERSATION]
[00:03:54.940 --> 00:03:57.940]   [SIDE CONVERSATION]
[00:03:57.940 --> 00:04:00.940]   [SIDE CONVERSATION]
[00:04:00.940 --> 00:04:03.940]   [SIDE CONVERSATION]
[00:04:03.940 --> 00:04:06.940]   [SIDE CONVERSATION]
[00:04:06.940 --> 00:04:09.940]   [SIDE CONVERSATION]
[00:04:09.940 --> 00:04:12.940]   [SIDE CONVERSATION]
[00:04:12.940 --> 00:04:15.940]   [SIDE CONVERSATION]
[00:04:15.940 --> 00:04:18.940]   [SIDE CONVERSATION]
[00:04:18.940 --> 00:04:21.940]   [SIDE CONVERSATION]
[00:04:21.940 --> 00:04:24.940]   [SIDE CONVERSATION]
[00:04:24.940 --> 00:04:27.940]   [SIDE CONVERSATION]
[00:04:27.940 --> 00:04:30.940]   [SIDE CONVERSATION]
[00:04:30.940 --> 00:04:33.940]   [SIDE CONVERSATION]
[00:04:33.940 --> 00:04:36.940]   [SIDE CONVERSATION]
[00:04:36.940 --> 00:04:39.940]   [SIDE CONVERSATION]
[00:04:39.940 --> 00:04:42.940]   [SIDE CONVERSATION]
[00:04:42.940 --> 00:04:45.940]   [SIDE CONVERSATION]
[00:04:45.940 --> 00:04:48.940]   [SIDE CONVERSATION]
[00:04:48.940 --> 00:04:51.940]   [SIDE CONVERSATION]
[00:04:51.940 --> 00:04:54.940]   [SIDE CONVERSATION]
[00:04:54.940 --> 00:04:57.940]   [SIDE CONVERSATION]
[00:04:57.940 --> 00:05:00.940]   [SIDE CONVERSATION]
[00:05:00.940 --> 00:05:03.940]   [SIDE CONVERSATION]
[00:05:03.940 --> 00:05:09.940]   [SIDE CONVERSATION]
[00:05:09.940 --> 00:05:21.940]   [SIDE CONVERSATION]
[00:05:29.940 --> 00:05:32.940]   [SIDE CONVERSATION]
[00:05:32.940 --> 00:05:49.940]   [SIDE CONVERSATION]
[00:05:49.940 --> 00:05:52.940]   [SIDE CONVERSATION]
[00:05:52.940 --> 00:06:09.940]   [SIDE CONVERSATION]
[00:06:09.940 --> 00:06:12.940]   [SIDE CONVERSATION]
[00:06:12.940 --> 00:06:15.940]   [SIDE CONVERSATION]
[00:06:15.940 --> 00:06:18.940]   [SIDE CONVERSATION]
[00:06:18.940 --> 00:06:21.940]   [SIDE CONVERSATION]
[00:06:22.940 --> 00:06:25.940]   [SIDE CONVERSATION]
[00:06:25.940 --> 00:06:28.940]   [SIDE CONVERSATION]
[00:06:28.940 --> 00:06:31.940]   [SIDE CONVERSATION]
[00:06:31.940 --> 00:06:34.940]   [SIDE CONVERSATION]
[00:06:34.940 --> 00:06:37.940]   [SIDE CONVERSATION]
[00:06:37.940 --> 00:06:40.940]   [SIDE CONVERSATION]
[00:06:40.940 --> 00:06:43.940]   [SIDE CONVERSATION]
[00:06:43.940 --> 00:06:46.940]   [SIDE CONVERSATION]
[00:06:46.940 --> 00:06:49.940]   [SIDE CONVERSATION]
[00:06:49.940 --> 00:06:52.940]   [SIDE CONVERSATION]
[00:06:52.940 --> 00:06:55.940]   [SIDE CONVERSATION]
[00:06:55.940 --> 00:06:58.940]   [SIDE CONVERSATION]
[00:06:58.940 --> 00:07:01.940]   [SIDE CONVERSATION]
[00:07:01.940 --> 00:07:18.940]   [SIDE CONVERSATION]
[00:07:18.940 --> 00:07:21.940]   [SIDE CONVERSATION]
[00:07:47.940 --> 00:07:50.940]   [SIDE CONVERSATION]
[00:07:50.940 --> 00:07:53.940]   [SIDE CONVERSATION]
[00:07:53.940 --> 00:07:56.940]   [SIDE CONVERSATION]
[00:07:56.940 --> 00:07:59.940]   [SIDE CONVERSATION]
[00:07:59.940 --> 00:08:02.940]   [SIDE CONVERSATION]
[00:08:02.940 --> 00:08:05.940]   [SIDE CONVERSATION]
[00:08:05.940 --> 00:08:08.940]   [SIDE CONVERSATION]
[00:08:08.940 --> 00:08:11.940]   [SIDE CONVERSATION]
[00:08:11.940 --> 00:08:14.940]   [SIDE CONVERSATION]
[00:08:14.940 --> 00:08:17.940]   [SIDE CONVERSATION]
[00:08:17.940 --> 00:08:20.940]   [SIDE CONVERSATION]
[00:08:20.940 --> 00:08:23.940]   [SIDE CONVERSATION]
[00:08:23.940 --> 00:08:26.940]   [SIDE CONVERSATION]
[00:08:26.940 --> 00:08:29.940]   [SIDE CONVERSATION]
[00:08:29.940 --> 00:08:32.940]   [SIDE CONVERSATION]
[00:08:32.940 --> 00:08:35.940]   [SIDE CONVERSATION]
[00:08:35.940 --> 00:08:38.940]   [SIDE CONVERSATION]
[00:08:38.940 --> 00:08:41.940]   [SIDE CONVERSATION]
[00:08:41.940 --> 00:08:58.940]   [SIDE CONVERSATION]
[00:08:58.940 --> 00:09:01.940]   [SIDE CONVERSATION]
[00:09:01.940 --> 00:09:18.940]   [SIDE CONVERSATION]
[00:09:18.940 --> 00:09:21.940]   [SIDE CONVERSATION]
[00:09:47.940 --> 00:09:50.940]   [SIDE CONVERSATION]
[00:09:50.940 --> 00:09:53.940]   [SIDE CONVERSATION]
[00:09:53.940 --> 00:09:56.940]   [SIDE CONVERSATION]
[00:09:56.940 --> 00:09:59.940]   [SIDE CONVERSATION]
[00:09:59.940 --> 00:10:02.940]   [SIDE CONVERSATION]
[00:10:02.940 --> 00:10:05.940]   [SIDE CONVERSATION]
[00:10:05.940 --> 00:10:08.940]   [SIDE CONVERSATION]
[00:10:08.940 --> 00:10:11.940]   [SIDE CONVERSATION]
[00:10:11.940 --> 00:10:14.940]   [SIDE CONVERSATION]
[00:10:14.940 --> 00:10:17.940]   [SIDE CONVERSATION]
[00:10:17.940 --> 00:10:20.940]   [SIDE CONVERSATION]
[00:10:20.940 --> 00:10:23.940]   [SIDE CONVERSATION]
[00:10:23.940 --> 00:10:26.940]   [SIDE CONVERSATION]
[00:10:26.940 --> 00:10:29.940]   [SIDE CONVERSATION]
[00:10:29.940 --> 00:10:32.940]   [SIDE CONVERSATION]
[00:10:32.940 --> 00:10:35.940]   [SIDE CONVERSATION]
[00:10:35.940 --> 00:10:38.940]   [SIDE CONVERSATION]
[00:10:38.940 --> 00:10:48.940]   [SIDE CONVERSATION]
[00:10:48.940 --> 00:10:58.940]   [SIDE CONVERSATION]
[00:10:58.940 --> 00:11:01.940]   [SIDE CONVERSATION]
[00:11:01.940 --> 00:11:21.940]   [SIDE CONVERSATION]
[00:11:21.940 --> 00:11:24.940]   [SIDE CONVERSATION]
[00:11:24.940 --> 00:11:46.940]   [SIDE CONVERSATION]
[00:11:46.940 --> 00:11:49.940]   [SIDE CONVERSATION]
[00:11:49.940 --> 00:12:11.940]   [SIDE CONVERSATION]
[00:12:11.940 --> 00:12:14.940]   [SIDE CONVERSATION]
[00:12:14.940 --> 00:12:17.940]   [SIDE CONVERSATION]
[00:12:17.940 --> 00:12:20.940]   [SIDE CONVERSATION]
[00:12:20.940 --> 00:12:23.940]   [SIDE CONVERSATION]
[00:12:23.940 --> 00:12:26.940]   [SIDE CONVERSATION]
[00:12:27.940 --> 00:12:30.940]   [SIDE CONVERSATION]
[00:12:30.940 --> 00:12:33.940]   [SIDE CONVERSATION]
[00:12:33.940 --> 00:12:36.940]   [SIDE CONVERSATION]
[00:12:36.940 --> 00:12:39.940]   [SIDE CONVERSATION]
[00:13:05.940 --> 00:13:08.940]   [SIDE CONVERSATION]
[00:13:08.940 --> 00:13:11.940]   [SIDE CONVERSATION]
[00:13:11.940 --> 00:13:14.940]   [SIDE CONVERSATION]
[00:13:14.940 --> 00:13:17.940]   [SIDE CONVERSATION]
[00:13:17.940 --> 00:13:20.940]   [SIDE CONVERSATION]
[00:13:20.940 --> 00:13:23.940]   [SIDE CONVERSATION]
[00:13:23.940 --> 00:13:26.940]   [SIDE CONVERSATION]
[00:13:26.940 --> 00:13:29.940]   [SIDE CONVERSATION]
[00:13:29.940 --> 00:13:32.940]   [SIDE CONVERSATION]
[00:13:32.940 --> 00:13:35.940]   [SIDE CONVERSATION]
[00:13:35.940 --> 00:13:38.940]   [SIDE CONVERSATION]
[00:13:38.940 --> 00:13:41.940]   [SIDE CONVERSATION]
[00:13:41.940 --> 00:13:44.940]   [SIDE CONVERSATION]
[00:13:44.940 --> 00:13:54.940]   [SIDE CONVERSATION]
[00:13:54.940 --> 00:14:04.940]   [SIDE CONVERSATION]
[00:14:04.940 --> 00:14:07.940]   [SIDE CONVERSATION]
[00:14:07.940 --> 00:14:24.940]   [SIDE CONVERSATION]
[00:14:24.940 --> 00:14:27.940]   [SIDE CONVERSATION]
[00:14:27.940 --> 00:14:30.940]   [SIDE CONVERSATION]
[00:14:30.940 --> 00:14:33.940]   [SIDE CONVERSATION]
[00:14:33.940 --> 00:14:36.940]   [SIDE CONVERSATION]
[00:14:36.940 --> 00:14:39.940]   [SIDE CONVERSATION]
[00:14:39.940 --> 00:14:42.940]   [SIDE CONVERSATION]
[00:14:42.940 --> 00:14:45.940]   [SIDE CONVERSATION]
[00:14:45.940 --> 00:14:48.940]   [SIDE CONVERSATION]
[00:14:48.940 --> 00:14:51.940]   [SIDE CONVERSATION]
[00:14:51.940 --> 00:14:54.940]   [SIDE CONVERSATION]
[00:14:54.940 --> 00:15:11.940]   [SIDE CONVERSATION]
[00:15:11.940 --> 00:15:14.940]   [SIDE CONVERSATION]
[00:15:38.940 --> 00:15:41.940]   [SIDE CONVERSATION]
[00:15:41.940 --> 00:15:44.940]   [SIDE CONVERSATION]
[00:15:44.940 --> 00:15:47.940]   [SIDE CONVERSATION]
[00:15:47.940 --> 00:15:50.940]   [SIDE CONVERSATION]
[00:15:50.940 --> 00:15:53.940]   [SIDE CONVERSATION]
[00:15:53.940 --> 00:15:56.940]   [SIDE CONVERSATION]
[00:15:56.940 --> 00:15:59.940]   [SIDE CONVERSATION]
[00:15:59.940 --> 00:16:02.940]   [SIDE CONVERSATION]
[00:16:02.940 --> 00:16:05.940]   [SIDE CONVERSATION]
[00:16:05.940 --> 00:16:08.940]   [SIDE CONVERSATION]
[00:16:08.940 --> 00:16:11.940]   [SIDE CONVERSATION]
[00:16:11.940 --> 00:16:14.940]   [SIDE CONVERSATION]
[00:16:14.940 --> 00:16:17.940]   [SIDE CONVERSATION]
[00:16:17.940 --> 00:16:20.940]   [SIDE CONVERSATION]
[00:16:46.940 --> 00:16:49.940]   [SIDE CONVERSATION]
[00:16:49.940 --> 00:16:52.940]   [SIDE CONVERSATION]
[00:16:52.940 --> 00:16:55.940]   [SIDE CONVERSATION]
[00:16:55.940 --> 00:16:58.940]   [SIDE CONVERSATION]
[00:16:58.940 --> 00:17:01.940]   [SIDE CONVERSATION]
[00:17:01.940 --> 00:17:04.940]   [SIDE CONVERSATION]
[00:17:04.940 --> 00:17:07.940]   [SIDE CONVERSATION]
[00:17:07.940 --> 00:17:10.940]   [SIDE CONVERSATION]
[00:17:10.940 --> 00:17:13.940]   [SIDE CONVERSATION]
[00:17:13.940 --> 00:17:16.940]   [SIDE CONVERSATION]
[00:17:16.940 --> 00:17:19.940]   [SIDE CONVERSATION]
[00:17:19.940 --> 00:17:22.940]   [SIDE CONVERSATION]
[00:17:22.940 --> 00:17:25.940]   [SIDE CONVERSATION]
[00:17:25.940 --> 00:17:28.940]   [SIDE CONVERSATION]
[00:17:28.940 --> 00:17:31.940]   [SIDE CONVERSATION]
[00:17:31.940 --> 00:17:34.940]   [SIDE CONVERSATION]
[00:17:34.940 --> 00:17:37.940]   [SIDE CONVERSATION]
[00:17:37.940 --> 00:17:40.940]   [SIDE CONVERSATION]
[00:17:40.940 --> 00:17:43.940]   [SIDE CONVERSATION]
[00:17:43.940 --> 00:17:46.940]   [SIDE CONVERSATION]
[00:17:46.940 --> 00:17:49.940]   [SIDE CONVERSATION]
[00:17:49.940 --> 00:17:52.940]   [SIDE CONVERSATION]
[00:17:52.940 --> 00:17:55.940]   [SIDE CONVERSATION]
[00:17:55.940 --> 00:17:58.940]   [SIDE CONVERSATION]
[00:17:58.940 --> 00:18:01.940]   [SIDE CONVERSATION]
[00:18:01.940 --> 00:18:04.940]   [SIDE CONVERSATION]
[00:18:04.940 --> 00:18:07.940]   [SIDE CONVERSATION]
[00:18:07.940 --> 00:18:10.940]   [SIDE CONVERSATION]
[00:18:10.940 --> 00:18:13.940]   [SIDE CONVERSATION]
[00:18:13.940 --> 00:18:19.940]   [SIDE CONVERSATION]
[00:18:19.940 --> 00:18:25.940]   [SIDE CONVERSATION]
[00:18:25.940 --> 00:18:33.940]   [SIDE CONVERSATION]
[00:18:38.940 --> 00:18:41.940]   [SIDE CONVERSATION]
[00:18:41.940 --> 00:18:51.940]   [SIDE CONVERSATION]
[00:18:51.940 --> 00:19:03.940]   [SIDE CONVERSATION]
[00:19:03.940 --> 00:19:06.940]   [SIDE CONVERSATION]
[00:19:06.940 --> 00:19:24.940]   [SIDE CONVERSATION]
[00:19:24.940 --> 00:19:27.940]   [SIDE CONVERSATION]
[00:19:27.940 --> 00:19:47.940]   [SIDE CONVERSATION]
[00:19:47.940 --> 00:19:50.940]   [SIDE CONVERSATION]
[00:19:50.940 --> 00:20:12.940]   [SIDE CONVERSATION]
[00:20:12.940 --> 00:20:15.940]   [SIDE CONVERSATION]
[00:20:15.940 --> 00:20:37.940]   [SIDE CONVERSATION]
[00:20:37.940 --> 00:20:40.940]   [SIDE CONVERSATION]
[00:21:06.940 --> 00:21:09.940]   [SIDE CONVERSATION]
[00:21:09.940 --> 00:21:12.940]   [SIDE CONVERSATION]
[00:21:12.940 --> 00:21:15.940]   [SIDE CONVERSATION]
[00:21:15.940 --> 00:21:18.940]   [SIDE CONVERSATION]
[00:21:18.940 --> 00:21:21.940]   [SIDE CONVERSATION]
[00:21:21.940 --> 00:21:24.940]   [SIDE CONVERSATION]
[00:21:50.940 --> 00:21:53.940]   [SIDE CONVERSATION]
[00:21:53.940 --> 00:21:56.940]   [SIDE CONVERSATION]
[00:21:56.940 --> 00:21:59.940]   [SIDE CONVERSATION]
[00:21:59.940 --> 00:22:02.940]   [SIDE CONVERSATION]
[00:22:02.940 --> 00:22:05.940]   [SIDE CONVERSATION]
[00:22:05.940 --> 00:22:08.940]   [SIDE CONVERSATION]
[00:22:08.940 --> 00:22:11.940]   [SIDE CONVERSATION]
[00:22:11.940 --> 00:22:14.940]   [SIDE CONVERSATION]
[00:22:14.940 --> 00:22:17.940]   [SIDE CONVERSATION]
[00:22:17.940 --> 00:22:39.940]   [SIDE CONVERSATION]
[00:22:39.940 --> 00:22:42.940]   [SIDE CONVERSATION]
[00:22:42.940 --> 00:23:04.940]   [SIDE CONVERSATION]
[00:23:04.940 --> 00:23:07.940]   [SIDE CONVERSATION]
[00:23:07.940 --> 00:23:10.940]   [SIDE CONVERSATION]
[00:23:10.940 --> 00:23:13.940]   [SIDE CONVERSATION]
[00:23:13.940 --> 00:23:16.940]   [SIDE CONVERSATION]
[00:23:16.940 --> 00:23:19.940]   [SIDE CONVERSATION]
[00:23:19.940 --> 00:23:22.940]   [SIDE CONVERSATION]
[00:23:22.940 --> 00:23:25.940]   [SIDE CONVERSATION]
[00:23:25.940 --> 00:23:28.940]   [SIDE CONVERSATION]
[00:23:54.940 --> 00:23:57.940]   [SIDE CONVERSATION]
[00:23:57.940 --> 00:24:00.940]   [SIDE CONVERSATION]
[00:24:00.940 --> 00:24:03.940]   [SIDE CONVERSATION]
[00:24:03.940 --> 00:24:06.940]   [SIDE CONVERSATION]
[00:24:06.940 --> 00:24:09.940]   [SIDE CONVERSATION]
[00:24:09.940 --> 00:24:12.940]   [SIDE CONVERSATION]
[00:24:12.940 --> 00:24:15.940]   [SIDE CONVERSATION]
[00:24:15.940 --> 00:24:35.940]   [SIDE CONVERSATION]
[00:24:35.940 --> 00:24:38.940]   [SIDE CONVERSATION]
[00:24:38.940 --> 00:24:41.940]   [SIDE CONVERSATION]
[00:24:41.940 --> 00:24:44.940]   [SIDE CONVERSATION]
[00:24:44.940 --> 00:24:47.940]   [SIDE CONVERSATION]
[00:24:47.940 --> 00:24:50.940]   [SIDE CONVERSATION]
[00:24:50.940 --> 00:24:53.940]   [SIDE CONVERSATION]
[00:24:53.940 --> 00:24:56.940]   [SIDE CONVERSATION]
[00:24:56.940 --> 00:24:59.940]   [SIDE CONVERSATION]
[00:24:59.940 --> 00:25:02.940]   [SIDE CONVERSATION]
[00:25:02.940 --> 00:25:05.940]   [SIDE CONVERSATION]
[00:25:05.940 --> 00:25:08.940]   [SIDE CONVERSATION]
[00:25:08.940 --> 00:25:11.940]   [SIDE CONVERSATION]
[00:25:36.940 --> 00:25:39.740]   Hello, everybody.
[00:25:39.740 --> 00:25:42.340]   We can go ahead and find our seats.
[00:25:42.340 --> 00:25:45.060]   We'll take a couple of minutes to pray
[00:25:45.060 --> 00:25:46.060]   to prepare for worship.
[00:25:46.060 --> 00:25:49.060]   [SIDE CONVERSATION]
[00:25:49.060 --> 00:26:13.340]   All right, let's pray.
[00:26:13.340 --> 00:26:15.100]   Dear Heavenly Father, we just thank you
[00:26:15.100 --> 00:26:16.380]   for bringing us here tonight.
[00:26:16.380 --> 00:26:20.620]   Thank you that we are able to meet as a body to worship you,
[00:26:20.620 --> 00:26:21.820]   to study your word together.
[00:26:21.820 --> 00:26:24.380]   We know that it's a privilege.
[00:26:24.380 --> 00:26:26.540]   Help us to come with worshipful hearts,
[00:26:26.540 --> 00:26:29.740]   with eagerness to just dive into your word tonight.
[00:26:29.740 --> 00:26:32.180]   I pray, Lord, that as we just go into a time of singing,
[00:26:32.180 --> 00:26:34.020]   I pray that these lyrics that we sing to you
[00:26:34.020 --> 00:26:37.300]   would be of a pleasing aroma and that you would just
[00:26:37.300 --> 00:26:38.860]   give us all strength.
[00:26:38.860 --> 00:26:40.900]   And yeah, just bless this time.
[00:26:40.900 --> 00:26:43.020]   Would you be honored in your name, and pray, amen.
[00:26:43.020 --> 00:26:46.020]   [SIDE CONVERSATION]
[00:26:46.020 --> 00:26:50.500]   [MUSIC - "HOW I LOVE THE VOICE OF JESUS"]
[00:27:06.500 --> 00:27:16.100]   How I love the voice of Jesus on the cross of Calvary.
[00:27:16.100 --> 00:27:20.980]   He declares his work is finished.
[00:27:20.980 --> 00:27:25.780]   He has spoken this hope to me.
[00:27:25.780 --> 00:27:30.980]   Though the sun at sea is shining,
[00:27:30.980 --> 00:27:36.260]   though the war appeared as lost, Christ
[00:27:36.260 --> 00:27:40.220]   had triumphed over evil.
[00:27:40.220 --> 00:27:44.100]   It was finished upon that cross.
[00:27:44.100 --> 00:27:57.660]   Now the curse, it has been broken.
[00:27:57.660 --> 00:28:02.260]   Jesus paid the price for me.
[00:28:02.260 --> 00:28:08.980]   For the pardon he has offered, great the welcome
[00:28:08.980 --> 00:28:11.700]   that I received.
[00:28:11.700 --> 00:28:21.060]   Lonely I approach my Father, clothed in Jesus' righteousness.
[00:28:21.060 --> 00:28:25.740]   There is no more guilt to carry.
[00:28:25.740 --> 00:28:29.540]   It was finished upon that cross.
[00:28:29.540 --> 00:28:33.020]   [MUSIC - "HOW I LOVE THE VOICE OF JESUS"]
[00:28:33.020 --> 00:28:52.500]   Death was once my great opponent.
[00:28:52.500 --> 00:28:57.420]   Fear once had a hold on me.
[00:28:57.420 --> 00:29:03.060]   But the Son who died to save us rose,
[00:29:03.060 --> 00:29:05.940]   that we would be free indeed.
[00:29:05.940 --> 00:29:15.540]   Death was once my great opponent.
[00:29:15.540 --> 00:29:20.340]   Fear once had a hold on me.
[00:29:20.340 --> 00:29:25.900]   But the Son who died to save us rose,
[00:29:25.900 --> 00:29:28.860]   that we would be free indeed.
[00:29:28.860 --> 00:29:34.340]   Yes, he rose, that we would be free indeed.
[00:29:34.340 --> 00:29:39.300]   Free from every plan of darkness,
[00:29:39.300 --> 00:29:43.780]   free to live and free to love.
[00:29:43.780 --> 00:29:48.260]   Death is dead and Christ is risen.
[00:29:48.260 --> 00:29:53.220]   It was finished upon that cross.
[00:29:53.220 --> 00:30:02.500]   Onward to eternal glory, to my Savior and my God.
[00:30:02.500 --> 00:30:06.980]   I rejoice in Jesus' victory.
[00:30:06.980 --> 00:30:11.940]   It was finished upon that cross.
[00:30:11.940 --> 00:30:16.420]   It was finished upon that cross.
[00:30:16.420 --> 00:30:20.420]   It was finished upon that cross.
[00:30:20.420 --> 00:30:23.900]   [MUSIC - "HOW I LOVE THE VOICE OF JESUS"]
[00:30:23.900 --> 00:30:45.820]   When the music fades and all is stripped away
[00:30:45.820 --> 00:30:58.700]   and I simply come, longing just to bring something that's
[00:30:58.700 --> 00:31:02.660]   worth, that will bless your heart.
[00:31:02.660 --> 00:31:14.260]   I'll bring you more than a song, for a song in itself
[00:31:14.260 --> 00:31:16.940]   is not what you have required.
[00:31:16.940 --> 00:31:29.020]   You search much deeper within through the way things appear.
[00:31:29.020 --> 00:31:32.220]   You're looking into my heart.
[00:31:32.220 --> 00:31:42.940]   I'm coming back to the heart of worship,
[00:31:42.940 --> 00:31:46.820]   and it's all about you.
[00:31:46.820 --> 00:31:51.100]   It's all about you, Jesus.
[00:31:51.100 --> 00:31:57.500]   I'm sorry, Lord, for the thing I've made it.
[00:31:57.500 --> 00:32:01.500]   And it's all about you.
[00:32:01.500 --> 00:32:04.260]   It's all about you, Jesus.
[00:32:10.260 --> 00:32:13.900]   King of endless worth.
[00:32:13.900 --> 00:32:21.780]   King of endless worth, no one could express how much
[00:32:21.780 --> 00:32:22.780]   you deserve.
[00:32:22.780 --> 00:32:34.180]   Though I'm weak and poor, all I have
[00:32:34.180 --> 00:32:38.060]   is yours, every single breath.
[00:32:38.060 --> 00:32:49.540]   I'll bring you more than a song, for a song in itself
[00:32:49.540 --> 00:32:52.500]   is not what you have required.
[00:32:52.500 --> 00:33:03.460]   You search much deeper within through the way things appear.
[00:33:03.940 --> 00:33:07.420]   You're looking into my heart.
[00:33:07.420 --> 00:33:17.900]   I'm coming back to the heart of worship,
[00:33:17.900 --> 00:33:21.860]   and it's all about you.
[00:33:21.860 --> 00:33:26.340]   It's all about you, Jesus.
[00:33:26.340 --> 00:33:32.820]   I'm sorry, Lord, for the thing I've made it.
[00:33:32.820 --> 00:33:36.740]   And it's all about you.
[00:33:36.740 --> 00:33:41.100]   It's all about you, Jesus.
[00:33:41.100 --> 00:33:47.500]   I'm coming back to the heart of worship,
[00:33:47.500 --> 00:33:51.500]   and it's all about you.
[00:33:51.500 --> 00:33:55.900]   It's all about you, Jesus.
[00:33:55.900 --> 00:34:02.340]   I'm sorry, Lord, for the thing I've made it.
[00:34:02.340 --> 00:34:06.340]   And it's all about you.
[00:34:06.340 --> 00:34:09.820]   It's all about you.
[00:34:09.820 --> 00:34:13.820]   It's all about you.
[00:34:13.820 --> 00:34:17.300]   It's all about you, Jesus.
[00:34:31.780 --> 00:34:32.280]   Hello.
[00:34:32.280 --> 00:34:32.780]   Hello.
[00:34:32.780 --> 00:34:33.780]   Good evening.
[00:34:33.780 --> 00:34:45.780]   Can we-- thank you, AV team.
[00:34:45.780 --> 00:34:49.140]   Just a couple of quick logistical things.
[00:34:49.140 --> 00:34:52.060]   It's pretty crowded in here, right?
[00:34:52.060 --> 00:34:55.660]   And some of your groups might have a little bit of difficulty
[00:34:55.660 --> 00:34:57.340]   hearing each other.
[00:34:57.340 --> 00:34:59.660]   So if that's the case, and you kind of
