
[00:00:00.000 --> 00:00:04.000]   Good morning, everybody.
[00:08:44.380 --> 00:08:52.620]   were that the aisles needed to be a certain size, a distance, and every seat in the sanctuary
[00:08:52.620 --> 00:08:56.100]   had to have a certain distance to an exit that goes directly outside.
[00:08:56.100 --> 00:08:58.340]   So they had all these rules that we had to follow.
[00:08:58.340 --> 00:09:01.580]   And I was able to understand all of that except for the interlocking of the chairs.
[00:09:01.580 --> 00:09:06.660]   I said, "If there's an emergency, wouldn't it be easier if the chairs didn't interlock
[00:09:06.660 --> 00:09:11.060]   and we're able to immediately move it and then everybody can run?"
[00:09:11.060 --> 00:09:14.880]   And he said, "That's exactly the reason why they need to interlock because according to
[00:09:14.880 --> 00:09:19.900]   their experience, when fire breaks out, people panic.
[00:09:19.900 --> 00:09:23.260]   And when they panic, they don't act irrationally.
[00:09:23.260 --> 00:09:26.380]   So they end up jumping over chairs.
[00:09:26.380 --> 00:09:29.140]   They're not going to get in a neat line and then march their way outside.
[00:09:29.140 --> 00:09:32.780]   So they're going to be pushing themselves and trying to get over the chairs.
[00:09:32.780 --> 00:09:36.640]   And in that process, what ends up happening is all the chairs that fall down and it blocks
[00:09:36.640 --> 00:09:43.700]   the entrances and more people die from the stampede than they do from the fire itself."
[00:09:43.700 --> 00:09:46.940]   That's natural human behavior.
[00:09:46.940 --> 00:09:52.700]   And so we're trying to be careful that we are not reacting to all the information that
[00:09:52.700 --> 00:09:53.700]   we are hearing.
[00:09:53.700 --> 00:09:56.980]   According to what we have heard, that we are still...
[00:09:56.980 --> 00:10:01.280]   It is still a low risk that's most likely going to move to a higher risk.
[00:10:01.280 --> 00:10:02.980]   If you go to Costco, it is still open.
[00:10:02.980 --> 00:10:04.460]   The City Hall is still open.
[00:10:04.460 --> 00:10:07.480]   Most of the restaurants are still open.
[00:10:07.480 --> 00:10:10.180]   And so Disneyland just closed.
[00:10:10.180 --> 00:10:12.560]   From what I heard yesterday, it closed.
[00:10:12.560 --> 00:10:16.420]   So slowly we are getting there, but we didn't want to make a...
[00:10:16.420 --> 00:10:21.520]   We didn't want to overreact and go from level two to level five because we wanted to make
[00:10:21.520 --> 00:10:25.580]   sure that we highly value what it is that you and I are doing.
[00:10:25.580 --> 00:10:30.140]   So we made it an option to have the families with small children in order to thin out the
[00:10:30.140 --> 00:10:37.380]   crowd and in order to protect the most vulnerable in our church, even though the risk for them
[00:10:37.380 --> 00:10:40.220]   is probably lower.
[00:10:40.220 --> 00:10:41.740]   For that purpose, we wanted to thin it out.
[00:10:41.740 --> 00:10:45.440]   The government said no gatherings of 250 or more.
[00:10:45.440 --> 00:10:50.380]   So we're trying to honor that by thinning the group out.
[00:10:50.380 --> 00:10:54.980]   And we're going to do our best to sanitize, keep our distance, not have food.
[00:10:54.980 --> 00:10:57.620]   All the stuff that we can go online, we will go online.
[00:10:57.620 --> 00:11:01.220]   All the stuff that we can't even do that, we will cancel for the time being.
[00:11:01.220 --> 00:11:03.540]   We don't know how long this is going to take.
[00:11:03.540 --> 00:11:04.540]   It might take a month.
[00:11:04.540 --> 00:11:06.260]   It might take two months.
[00:11:06.260 --> 00:11:10.940]   But my guess is in about a month, we will be much worse off than we are today.
[00:11:10.940 --> 00:11:16.500]   So our concern is if we go too quickly to the end part, we're going to be at that point
[00:11:16.500 --> 00:11:19.860]   from possibly two months, three months, four months and on.
[00:11:19.860 --> 00:11:23.780]   And so we want to be careful that we are taking proper steps, that we are not reacting to
[00:11:23.780 --> 00:11:25.260]   what's going on around us.
[00:11:25.260 --> 00:11:32.620]   There is tremendous pressure on all of us in the leadership to follow the herd and go.
[00:11:32.620 --> 00:11:36.900]   But we want to make sure that we are communicating properly.
[00:11:36.900 --> 00:11:44.060]   I want to start off by looking at this text in Mark chapter 4, 35 to 41.
[00:11:44.060 --> 00:11:48.060]   I'm going to be giving an overview of the book of Hebrews.
[00:11:48.060 --> 00:11:49.980]   And I told you that we're at chapter 7.
[00:11:49.980 --> 00:11:52.140]   We're going to be talking about Melchizedek.
[00:11:52.140 --> 00:11:56.020]   But I'm not sure if I'm going to be getting to the Melchizedek next week.
[00:11:56.020 --> 00:11:59.340]   And the reason why is because there are many people at home with their children having
[00:11:59.340 --> 00:12:00.740]   service together.
[00:12:00.740 --> 00:12:05.060]   And my guess is they have no idea who Melchizedek is.
[00:12:05.060 --> 00:12:10.860]   Unless you've done a fantastic job and they want to know the intricacies of the Trinity
[00:12:10.860 --> 00:12:14.720]   and Melchizedek right away.
[00:12:14.720 --> 00:12:16.840]   But my guess is most of your children will not be.
[00:12:16.840 --> 00:12:20.620]   So because we want to be sensitive to the families that are home watching the videos
[00:12:20.620 --> 00:12:26.740]   together that hopefully our services will be, you know, like it'll be relevant to them
[00:12:26.740 --> 00:12:27.740]   as well.
[00:12:27.740 --> 00:12:28.860]   So we want to be sensitive to that.
[00:12:28.860 --> 00:12:31.940]   No guarantee we could still be jumping into Melchizedek.
[00:12:31.940 --> 00:12:37.980]   But again, we might just wait a few more weeks and we'll see how things go.
[00:12:37.980 --> 00:12:39.920]   Mark chapter 4, 35.
[00:12:39.920 --> 00:12:46.020]   This is the scene where the disciples and Jesus are on the Sea of Galilee and Jesus
[00:12:46.020 --> 00:12:49.980]   is so fatigued and tired that he falls asleep on this boat.
[00:12:49.980 --> 00:12:55.860]   And while he is on the boat, a tremendous storm comes and they freak out.
[00:12:55.860 --> 00:12:57.740]   But I want to go over the text with you.
[00:12:57.740 --> 00:12:58.740]   It's verse 35.
[00:12:58.740 --> 00:13:03.260]   "On that day when evening came, he said to them, 'Let us go over to the other side.'
[00:13:03.260 --> 00:13:07.580]   Leaving the crowd, they took him along with them in a boat just as he was and other boats
[00:13:07.580 --> 00:13:09.020]   were with him.
[00:13:09.020 --> 00:13:13.700]   And there arose a fierce gale of wind and the waves were breaking over the boat so much
[00:13:13.700 --> 00:13:16.660]   so that the boat was already filling up."
[00:13:16.660 --> 00:13:19.660]   Let me stop right there.
[00:13:19.660 --> 00:13:26.340]   Before we jump to conclusion that these disciples are weak and that they were fearful, you have
[00:13:26.340 --> 00:13:29.340]   to realize that this is happening at the Sea of Galilee.
[00:13:29.340 --> 00:13:35.740]   Sea of Galilee is where Paul, John, Andrew, you know, those four brothers, this is their
[00:13:35.740 --> 00:13:36.740]   hometown.
[00:13:36.740 --> 00:13:39.780]   They are professional fishermen.
[00:13:39.780 --> 00:13:44.100]   And at that time, professional fishermen usually were inherited.
[00:13:44.100 --> 00:13:47.140]   Their job was usually inherited by their parents, probably maybe their grandparents.
[00:13:47.140 --> 00:13:50.100]   I don't know how many generations it goes.
[00:13:50.100 --> 00:13:53.300]   But these guys are lifelong fishermen.
[00:13:53.300 --> 00:13:57.700]   And this Sea of Galilee is where they did most of their work.
[00:13:57.700 --> 00:14:02.460]   So the fact that the storm came in and that they were afraid because the water was coming
[00:14:02.460 --> 00:14:07.500]   into the boat, it is understandable that they are freaking out.
[00:14:07.500 --> 00:14:12.220]   Because if anybody would know if this storm was going to lead to death or not, it would
[00:14:12.220 --> 00:14:13.760]   have been them.
[00:14:13.760 --> 00:14:17.940]   So the fact that they were freaking out and they were scared, and they looked to Jesus
[00:14:17.940 --> 00:14:23.480]   who happens to be sleeping at the end, at the stern.
[00:14:23.480 --> 00:14:27.580]   And stern is basically at the end of the boat.
[00:14:27.580 --> 00:14:31.500]   And most likely in a small boat, that's where the rudder was.
[00:14:31.500 --> 00:14:35.700]   The boat traditionally at that time, they said it's about probably about 30 feet and
[00:14:35.700 --> 00:14:37.140]   about 7 1/2 feet wide.
[00:14:37.140 --> 00:14:40.900]   So it wasn't a huge boat, just enough to fit the disciples and Jesus.
[00:14:40.900 --> 00:14:46.300]   And Jesus in the midst of the storm is sitting back there and he's sleeping.
[00:14:46.300 --> 00:14:51.300]   And they're freaking out and they go to Jesus, "Jesus, how can you do this?"
[00:14:51.300 --> 00:14:55.500]   Again, verse 38, "Jesus himself was in the stern, asleep in the cushion.
[00:14:55.500 --> 00:15:01.020]   And they woke him and said to him, 'Teacher, do you not care that we are perishing?'"
[00:15:01.020 --> 00:15:02.980]   Now they are saying this for two reasons.
[00:15:02.980 --> 00:15:06.340]   One, because Jesus is their leader.
[00:15:06.340 --> 00:15:10.780]   So they're asking their leader, "How can you be sleeping while we might die?"
[00:15:10.780 --> 00:15:13.180]   But the other reason is Jesus is at the stern.
[00:15:13.180 --> 00:15:15.740]   He may have been in control of the rudder.
[00:15:15.740 --> 00:15:18.180]   "What are you doing?
[00:15:18.180 --> 00:15:21.060]   We're about to die."
[00:15:21.060 --> 00:15:27.460]   But when Jesus wakes up from this, I mean, there isn't a meeting, there isn't like a
[00:15:27.460 --> 00:15:28.460]   teaching.
[00:15:28.460 --> 00:15:30.820]   He just gets up and he says, "Hush," verse 39.
[00:15:30.820 --> 00:15:34.380]   He rebuked the wind and he said to the sea, "Hush, be still."
[00:15:34.380 --> 00:15:39.240]   And the wind died down and it became perfectly calm.
[00:15:39.240 --> 00:15:41.540]   So there was no work being done.
[00:15:41.540 --> 00:15:44.620]   All Jesus did was, "Done."
[00:15:44.620 --> 00:15:47.300]   Instantaneously gone.
[00:15:47.300 --> 00:15:51.340]   Instead of apologizing to the disciples, "Oh, I was so tired."
[00:15:51.340 --> 00:15:56.620]   I mean, imagine how tired Jesus was that in the midst of a storm that may cause him to
[00:15:56.620 --> 00:16:01.860]   drown and everybody else is freaking out and Jesus is tired.
[00:16:01.860 --> 00:16:04.140]   That's how human he was.
[00:16:04.140 --> 00:16:05.140]   That's what his ministry looked like.
[00:16:05.140 --> 00:16:08.060]   And we get a glimpse into his humanity.
[00:16:08.060 --> 00:16:14.360]   But instead of apologizing, he turns the table around and he says, "Why are you afraid?
[00:16:14.360 --> 00:16:17.580]   Do you still have no faith?"
[00:16:17.580 --> 00:16:23.100]   Now again, humanly speaking, who wouldn't be afraid?
[00:16:23.100 --> 00:16:30.640]   I mean, these are professional fishermen in the Sea of Galilee, in their own boat.
[00:16:30.640 --> 00:16:33.900]   They know what they can handle, what they cannot handle.
[00:16:33.900 --> 00:16:38.280]   Really, this was a danger that they needed to deal with.
[00:16:38.280 --> 00:16:44.300]   But instead, Jesus says, "Why are you afraid?"
[00:16:44.300 --> 00:16:49.420]   Verse 41 says, "They became very much afraid and said to one another, 'Who then is this
[00:16:49.420 --> 00:16:53.300]   that even the wind and the sea obey him?'"
[00:16:53.300 --> 00:17:01.620]   See, what we see here and the reason why he turns it around and says to them and rebukes
[00:17:01.620 --> 00:17:03.240]   them, "Why were you afraid?
[00:17:03.240 --> 00:17:05.740]   Do you not have faith?"
[00:17:05.740 --> 00:17:11.020]   What he was asking was, "Do you not recognize who is at the rudder?"
[00:17:11.020 --> 00:17:12.580]   The problem was not the storm.
[00:17:12.580 --> 00:17:13.580]   The problem was not them.
[00:17:13.580 --> 00:17:15.900]   The problem was not the boat.
[00:17:15.900 --> 00:17:17.260]   This was no ordinary storm.
[00:17:17.260 --> 00:17:20.780]   This was no ordinary leader sitting at the rudder.
[00:17:20.780 --> 00:17:25.900]   So what they were questioning and what he was asking was, "In the midst of all of this,
[00:17:25.900 --> 00:17:28.060]   do you not know who I am?"
[00:17:28.060 --> 00:17:29.940]   That's what he was asking.
[00:17:29.940 --> 00:17:37.040]   The difference between this storm, the difference between this danger is that Jesus was in control.
[00:17:37.040 --> 00:17:40.840]   And that's why he turned the tables and he rebuked them.
[00:17:40.840 --> 00:17:49.480]   Now, when we're living in a time of peace, we can imagine, but the world is freaking
[00:17:49.480 --> 00:17:50.480]   out right now.
[00:17:50.480 --> 00:17:53.360]   I mean, there's all kinds of news.
[00:17:53.360 --> 00:17:59.160]   I mean, obviously, we have two very extreme responses and less and less people are responding
[00:17:59.160 --> 00:18:00.160]   on one end.
[00:18:00.160 --> 00:18:03.960]   We have one end that if we change anything, we're foolish.
[00:18:03.960 --> 00:18:06.520]   And I think less and less people feel that way.
[00:18:06.520 --> 00:18:11.800]   But we have a growing number of people that think that we're in the midst of Armageddon.
[00:18:11.800 --> 00:18:18.000]   That if we don't stockpile seven years of toilet paper, that you don't get enough Purell
[00:18:18.000 --> 00:18:23.200]   for the rest of your life, that you're never going to survive.
[00:18:23.200 --> 00:18:25.820]   We have that end.
[00:18:25.820 --> 00:18:31.200]   We have to be careful that in the midst, especially in the midst of turmoil, that we don't react
[00:18:31.200 --> 00:18:34.120]   like the rest of the world.
[00:18:34.120 --> 00:18:40.380]   Because our greatest fear should not be catching this disease.
[00:18:40.380 --> 00:18:45.620]   Our greatest fear should not be if you caught it, that you're going to die from it.
[00:18:45.620 --> 00:18:50.640]   If you notice that when Jesus wakes up and he calms the storm, the tremendous fear that
[00:18:50.640 --> 00:18:57.120]   they had of this storm turned into fear of who?
[00:18:57.120 --> 00:18:58.200]   Of Christ.
[00:18:58.200 --> 00:18:59.200]   Fear of God.
[00:18:59.200 --> 00:19:05.220]   And the Bible says that beginning of wisdom is fear of the Lord.
[00:19:05.220 --> 00:19:06.440]   Beginning of wisdom.
[00:19:06.440 --> 00:19:08.700]   We want to be wise.
[00:19:08.700 --> 00:19:10.640]   We want to be careful.
[00:19:10.640 --> 00:19:12.600]   We don't want to be naive.
[00:19:12.600 --> 00:19:15.920]   We want to take what's happening around the world.
[00:19:15.920 --> 00:19:21.160]   And we want to be wise in making sure that the fear of the Lord is the foundation upon
[00:19:21.160 --> 00:19:26.280]   which we are building and which we are making decisions.
[00:19:26.280 --> 00:19:31.740]   The book of Hebrews is written to a group of people who are in dire situation.
[00:19:31.740 --> 00:19:35.440]   It was written around 65 to 69 AD.
[00:19:35.440 --> 00:19:39.320]   Some of you guys who know Roman history know that the Christian persecution happened right
[00:19:39.320 --> 00:19:40.480]   around that time.
[00:19:40.480 --> 00:19:44.840]   All those things that you see on movies where Christians are taken to Colosseum and tigers,
[00:19:44.840 --> 00:19:47.400]   I mean lions are tearing them apart.
[00:19:47.400 --> 00:19:51.580]   This happened during that period, 65 to 69 AD.
[00:19:51.580 --> 00:19:56.280]   If you were with us in the study of the book of Romans, you know that Paul was captured
[00:19:56.280 --> 00:19:58.800]   in Jerusalem in AD 59.
[00:19:58.800 --> 00:20:04.600]   He was in Jerusalem for two years and then he was taken to Rome as a prisoner between
[00:20:04.600 --> 00:20:08.040]   AD 61 to AD 63.
[00:20:08.040 --> 00:20:13.240]   Meaning for that period of time, the Romans were the ones who were guarding Paul.
[00:20:13.240 --> 00:20:15.480]   Do you remember that?
[00:20:15.480 --> 00:20:20.680]   Paul came into Jerusalem to preach the gospel and the Jews were so angered they wanted to
[00:20:20.680 --> 00:20:21.840]   stone him to death.
[00:20:21.840 --> 00:20:25.400]   It was the Roman guards that came in to protect him.
[00:20:25.400 --> 00:20:31.480]   And under their protection, he was under house arrest and his friends were able to come.
[00:20:31.480 --> 00:20:34.240]   He was writing letters and he was preaching the gospel.
[00:20:34.240 --> 00:20:38.280]   So if you remember, as he was writing the book of Philippians, he says, "This has turned
[00:20:38.280 --> 00:20:40.320]   out for the spreading of the gospel."
[00:20:40.320 --> 00:20:44.600]   Other people are more emboldened because of his chains.
[00:20:44.600 --> 00:20:49.840]   But that was between AD 59 to AD 63.
[00:20:49.840 --> 00:20:55.720]   What these believers are experiencing now was much different.
[00:20:55.720 --> 00:21:01.520]   In fact, when the persecution initially came, they were very strong, just like in the book
[00:21:01.520 --> 00:21:03.520]   of Philippians.
[00:21:03.520 --> 00:21:07.080]   They were more emboldened to preach the gospel because the Romans were actually protecting
[00:21:07.080 --> 00:21:08.080]   them.
[00:21:08.080 --> 00:21:13.320]   By the time Paul writes 2 Timothy, the atmosphere has changed.
[00:21:13.320 --> 00:21:16.700]   The Nero's persecution had become intense.
[00:21:16.700 --> 00:21:20.760]   And that's the background behind the writing of the book of Hebrews.
[00:21:20.760 --> 00:21:26.840]   In fact, Tacitus, if you can put up the next section, Tacitus, who is a Roman official,
[00:21:26.840 --> 00:21:32.960]   and he's one of the most revered Roman historians, who was not a Christian.
[00:21:32.960 --> 00:21:38.200]   He was a contemporary of the emperor Nero, and he was writing his observation of what
[00:21:38.200 --> 00:21:39.480]   was going on with the Christians.
[00:21:39.480 --> 00:21:44.040]   And this gives us insight as to the intensity of the persecution that these Roman Christians
[00:21:44.040 --> 00:21:47.200]   were experiencing at this time.
[00:21:47.200 --> 00:21:52.560]   He says, "Yet no human effort, no princely largesse, nor offerings of the gods could
[00:21:52.560 --> 00:21:57.560]   make that infamous rumor disappear that Nero had somehow ordered the fire."
[00:21:57.560 --> 00:22:02.560]   It was a big fire that broke out in Rome, and in order to escape blame, he said that
[00:22:02.560 --> 00:22:04.280]   the Christians did it.
[00:22:04.280 --> 00:22:09.200]   And so Tacitus already was suspecting that maybe Nero did it himself.
[00:22:09.200 --> 00:22:13.560]   Therefore, in order to abolish that rumor, Nero falsely accused and executed with the
[00:22:13.560 --> 00:22:19.800]   most exquisite punishment those people called Christians, who were infamous for their abominations.
[00:22:19.800 --> 00:22:25.160]   The originator of the name, Christ, was executed as a criminal by procurator Pontius Pilate
[00:22:25.160 --> 00:22:26.880]   during the reign of Tiberius.
[00:22:26.880 --> 00:22:32.880]   And though repressed, this destructive superstition erupted again, not only through Judea, which
