
[00:00:00.000 --> 00:00:03.160]   (audience chattering)
[00:03:02.720 --> 00:03:05.400]   I put a line in the paragraph
[00:03:05.400 --> 00:03:08.360]   and started to outline, or I guess break down,
[00:03:08.360 --> 00:03:10.500]   the passage into two segments.
[00:03:10.500 --> 00:03:14.160]   The first segment being verses three through eight.
[00:03:14.160 --> 00:03:17.160]   And what I'm gonna do here is every aspect
[00:03:17.160 --> 00:03:20.480]   of what Apostle Paul feels in his heart,
[00:03:20.480 --> 00:03:23.880]   in every aspect of his attitude towards his church,
[00:03:23.880 --> 00:03:26.400]   I wanna make sure to highlight because clearly,
[00:03:26.400 --> 00:03:30.440]   he is expressing very vulnerably and openly
[00:03:30.440 --> 00:03:32.520]   how he feels about this church.
[00:03:32.520 --> 00:03:37.200]   So as I read this, I'm gonna highlight as I go.
[00:03:37.200 --> 00:03:39.000]   Apostle Paul says this.
[00:03:39.000 --> 00:03:43.040]   "I thank my God in all my remembrance of you."
[00:03:43.040 --> 00:03:46.440]   So clearly, he is having this,
[00:03:46.440 --> 00:03:49.440]   you know, I guess you can call it a nostalgic moment.
[00:03:49.440 --> 00:03:52.080]   But he is, again, either chained to a guard
[00:03:52.080 --> 00:03:54.400]   or he is in prison.
[00:03:54.400 --> 00:03:56.760]   And as he's thinking about them,
[00:03:56.760 --> 00:03:58.960]   he is incredibly grateful, right?
[00:03:58.960 --> 00:04:00.280]   He is very thankful.
[00:04:00.280 --> 00:04:03.640]   And then he says, "Always offering prayer with joy."
[00:04:03.640 --> 00:04:06.680]   So he is prayerful and joyful.
[00:04:06.680 --> 00:04:08.760]   "In my every prayer for you all,
[00:04:08.760 --> 00:04:10.800]   "in view of your participation in the gospel
[00:04:10.800 --> 00:04:12.920]   "from the first day until now."
[00:04:12.920 --> 00:04:15.860]   And then he says, "For I am confident."
[00:04:15.860 --> 00:04:18.720]   So Apostle Paul in his attitude has a great confidence
[00:04:18.720 --> 00:04:20.200]   of this very thing.
[00:04:20.200 --> 00:04:21.040]   What is that?
[00:04:21.040 --> 00:04:23.200]   "That he who began a good work in you
[00:04:23.200 --> 00:04:26.780]   "will perfect it until the day of Christ Jesus.
[00:04:26.780 --> 00:04:30.640]   "For it is only right for me to feel this way about you."
[00:04:30.640 --> 00:04:33.340]   So what he expresses is this feeling he has
[00:04:33.340 --> 00:04:36.440]   and what that is is I have you in my heart.
[00:04:36.440 --> 00:04:38.000]   "Since both in my imprisonment,
[00:04:38.000 --> 00:04:40.600]   "in the defense and confirmation of the gospel,
[00:04:40.600 --> 00:04:43.640]   "you are all partakers of grace with me.
[00:04:43.640 --> 00:04:46.780]   "For God is my witness how I long for you."
[00:04:46.780 --> 00:04:49.060]   So there he expresses his heart again,
[00:04:49.060 --> 00:04:52.900]   "With the affection of Jesus Christ."
[00:04:52.900 --> 00:04:57.900]   All right, now as we think about this then,
[00:04:57.900 --> 00:05:01.000]   what I highlighted is Apostle Paul's
[00:05:01.000 --> 00:05:02.620]   heart towards the church.
[00:05:02.620 --> 00:05:04.160]   And that's the first observation
[00:05:04.160 --> 00:05:06.580]   I wanna basically highlight to you.
[00:05:06.580 --> 00:05:08.740]   I'm gonna take a moment to write that down.
[00:05:12.540 --> 00:05:15.960]   Okay, so as we think about this though,
[00:05:15.960 --> 00:05:19.920]   I wanna highlight several aspects of what I notice here.
[00:05:19.920 --> 00:05:22.260]   Just so that we can really learn and glean
[00:05:22.260 --> 00:05:24.420]   from Apostle Paul's mentality,
[00:05:24.420 --> 00:05:27.780]   so that we would also follow in the same mentality.
[00:05:27.780 --> 00:05:32.660]   As I observe this, there is definitely this gratitude,
[00:05:32.660 --> 00:05:35.820]   there is a joy, there is a confidence,
[00:05:35.820 --> 00:05:37.740]   but what he highlights, right,
[00:05:37.740 --> 00:05:39.460]   is his feeling towards them.
[00:05:39.460 --> 00:05:41.460]   And he says, "I have you in my heart.
[00:05:41.460 --> 00:05:44.580]   "I long for you all with the affection of Christ."
[00:05:44.580 --> 00:05:47.500]   So there are a couple things I wanna highlight here, okay,
[00:05:47.500 --> 00:05:48.360]   are these.
[00:05:48.360 --> 00:05:51.860]   I wanna highlight those things.
[00:05:51.860 --> 00:05:54.180]   Now, we could actually spend a lot of time
[00:05:54.180 --> 00:05:56.060]   talking about all of those,
[00:05:56.060 --> 00:05:57.940]   whether it be the feelings of gratitude
[00:05:57.940 --> 00:06:00.220]   or the devotion in prayer, how, you know,
[00:06:00.220 --> 00:06:02.780]   we think about are there people in your life
[00:06:02.780 --> 00:06:04.480]   where you care for them so much
[00:06:04.480 --> 00:06:07.420]   that in terms of everyday prayer,
[00:06:07.420 --> 00:06:10.240]   like those are the individuals that come to mind, right?
[00:06:10.240 --> 00:06:12.060]   The people you love the most,
[00:06:12.060 --> 00:06:14.400]   most often it's probably your family members,
[00:06:14.400 --> 00:06:16.780]   maybe family members who aren't saved or whatnot,
[00:06:16.780 --> 00:06:18.300]   that you pray for often,
[00:06:18.300 --> 00:06:19.900]   that you pray for whenever you get a chance,
[00:06:19.900 --> 00:06:21.700]   when you think about someone to lift up to the Lord,
[00:06:21.700 --> 00:06:23.420]   that's who you go to, right?
[00:06:23.420 --> 00:06:26.240]   Now, as I think about that then,
[00:06:26.240 --> 00:06:28.060]   here's what I would like to say.
[00:06:28.060 --> 00:06:28.900]   Couple things.
[00:06:28.900 --> 00:06:32.780]   One, Apostle Paul has these interesting terminology
[00:06:32.780 --> 00:06:35.740]   where he says, "I long for you," right?
[00:06:35.740 --> 00:06:37.680]   He says, "I long for you."
[00:06:37.680 --> 00:06:40.420]   Now, I kind of mentioned to our group
[00:06:40.420 --> 00:06:42.860]   that's not normal dude talk, right?
[00:06:42.860 --> 00:06:44.180]   When a guy is writing to people,
[00:06:44.180 --> 00:06:47.020]   he doesn't say it like, "I long for you," okay?
[00:06:47.020 --> 00:06:49.580]   Now, it is exactly as that sounds.
[00:06:49.580 --> 00:06:51.820]   In other passages, for example,
[00:06:51.820 --> 00:06:54.280]   within the same book, chapter four, verse one,
[00:06:54.280 --> 00:06:56.300]   Apostle Paul says, "My brethren,
[00:06:56.300 --> 00:07:01.140]   "whom I long to see my joy and crown," right?
[00:07:01.140 --> 00:07:03.460]   He is literally talking about
[00:07:03.460 --> 00:07:05.620]   a strong longing to see somebody.
[00:07:05.620 --> 00:07:08.800]   He misses them, he wants to be in their presence.
[00:07:08.800 --> 00:07:10.780]   That's a really emphatic way of talking about
[00:07:10.780 --> 00:07:13.980]   how he feels about this church.
[00:07:13.980 --> 00:07:17.520]   What's more, he gets really descriptive.
[00:07:17.520 --> 00:07:20.140]   I would like to say he gets super emotional.
[00:07:20.140 --> 00:07:21.700]   Why am I saying that?
[00:07:21.700 --> 00:07:24.360]   Because there's an interesting terminology he uses.
[00:07:24.360 --> 00:07:26.240]   Not only does he say, "I long for you,"
[00:07:26.240 --> 00:07:30.200]   he says, "with the affection of Jesus Christ," okay?
[00:07:30.200 --> 00:07:32.960]   As you guys know, the Greek language
[00:07:32.960 --> 00:07:35.920]   is much more descriptive and also expansive
[00:07:35.920 --> 00:07:37.220]   than the English language.
[00:07:37.220 --> 00:07:39.400]   It has thousands more vocabularies,
[00:07:39.400 --> 00:07:42.880]   so there's different ways of articulating the same thought.
[00:07:42.880 --> 00:07:46.040]   What's very interesting is this idea of affection
[00:07:46.040 --> 00:07:50.680]   literally means the inside organs, the bowels,
[00:07:50.680 --> 00:07:55.520]   the kind of feels that moves the insides, right?
[00:07:55.520 --> 00:07:56.920]   If you were to think about a moment
[00:07:56.920 --> 00:07:58.360]   where there was such emotion,
[00:07:58.360 --> 00:08:01.580]   you literally had a physical response,
[00:08:01.580 --> 00:08:03.160]   whether you were breathing hard,
[00:08:03.160 --> 00:08:05.440]   whether you got hot and you started sweating,
[00:08:05.440 --> 00:08:07.800]   whether you felt like you were gonna vomit, right,
[00:08:07.800 --> 00:08:09.720]   and your stomach was about to turn,
[00:08:09.720 --> 00:08:11.260]   typically those are the feelings of like
[00:08:11.260 --> 00:08:13.000]   when you get shocked and scared
[00:08:13.000 --> 00:08:15.640]   and when you get moved because of something you saw.
[00:08:15.640 --> 00:08:20.400]   Here, Paul's talking about his affection,
[00:08:20.400 --> 00:08:22.800]   and then the term is, here, I actually have a
[00:08:22.800 --> 00:08:26.320]   excerpt, okay?
[00:08:26.320 --> 00:08:27.800]   It's an interesting term.
[00:08:27.800 --> 00:08:30.280]   It's splachnon, okay?
[00:08:30.280 --> 00:08:33.180]   It means the intestines bows, right?
[00:08:33.180 --> 00:08:36.060]   It is this visceral reaction to something.
[00:08:36.060 --> 00:08:37.500]   Now, as we think about that,
[00:08:37.500 --> 00:08:39.380]   I want us to take a moment to think about
[00:08:39.380 --> 00:08:42.480]   the way Apostle Paul is writing to his church.
[00:08:42.480 --> 00:08:46.860]   Man, when he says, when I think of you,
[00:08:46.860 --> 00:08:50.020]   I'm like joyful, I'm thankful.
[00:08:50.020 --> 00:08:52.900]   I want you to see how much he's heightening that.
[00:08:52.900 --> 00:08:54.980]   And then we ask ourselves immediately this question,
[00:08:54.980 --> 00:08:58.540]   oh man, are there people in our lives
[00:08:58.540 --> 00:09:01.820]   whom we want to bless and minister to
[00:09:01.820 --> 00:09:06.700]   where we have that kind of range of emotion, right?
[00:09:06.700 --> 00:09:09.200]   Now, let's take it another step, okay?
[00:09:09.200 --> 00:09:11.820]   If you take a moment to think about
[00:09:11.820 --> 00:09:14.100]   what the way Apostle Paul is describing this,
[00:09:14.100 --> 00:09:16.740]   he says not only does he feel this way,
[00:09:16.740 --> 00:09:20.520]   but he longs for them with the affection of Jesus Christ,
[00:09:20.520 --> 00:09:21.620]   of Christ Jesus.
[00:09:21.620 --> 00:09:25.020]   Now, if you're gonna say something like that,
[00:09:25.020 --> 00:09:26.820]   it's like I love you,
[00:09:26.820 --> 00:09:29.820]   now is he saying the same way Jesus does, right?
[00:09:29.820 --> 00:09:33.300]   That would be crazy because Jesus sacrificed himself.
[00:09:33.300 --> 00:09:35.580]   The depth of his love where he goes
[00:09:35.580 --> 00:09:37.820]   from the heights of heaven to the bottoms,
[00:09:37.820 --> 00:09:40.860]   the earth below, the creation that he made.
[00:09:40.860 --> 00:09:44.980]   How can anyone say I love you the same way, right?
[00:09:44.980 --> 00:09:47.060]   That would be pretty intense.
[00:09:47.060 --> 00:09:50.140]   Now, I don't have the opportunity to ask Apostle Paul,
[00:09:50.140 --> 00:09:52.140]   Paul, what did you mean, right?
[00:09:52.140 --> 00:09:54.900]   But very clearly, with the empowering love
[00:09:54.900 --> 00:09:57.220]   that he knows of Christ,
[00:09:57.220 --> 00:09:59.180]   with the kind of sacrificial,
[00:09:59.180 --> 00:10:01.260]   with the kind of brotherly,
[00:10:01.260 --> 00:10:02.940]   the kind of brotherly where he's willing
[00:10:02.940 --> 00:10:05.360]   to lay down his life for these individuals,
[00:10:05.360 --> 00:10:06.680]   could Apostle Paul say that?
[00:10:06.680 --> 00:10:07.980]   Absolutely.
[00:10:07.980 --> 00:10:09.580]   Think again about where he is.
[00:10:09.580 --> 00:10:12.780]   Apostle Paul loves these people
[00:10:12.780 --> 00:10:14.740]   with an incredible, incredible love,
[00:10:14.740 --> 00:10:17.580]   and then he heightens that even more, how?
[00:10:17.580 --> 00:10:21.480]   If you notice, he says, "For God is my witness," right?
[00:10:21.480 --> 00:10:24.260]   Have you guys ever done that?
[00:10:25.100 --> 00:10:26.340]   Nobody was questioning him.
[00:10:26.340 --> 00:10:27.180]   Nobody was sitting there like,
[00:10:27.180 --> 00:10:29.380]   "Paul, do you love us?"
[00:10:29.380 --> 00:10:31.880]   At least the Philippians weren't, maybe other people,
[00:10:31.880 --> 00:10:33.380]   but at least the Philippians weren't.
[00:10:33.380 --> 00:10:35.220]   The Philippians actually received this word
[00:10:35.220 --> 00:10:36.140]   from the beginning.
[00:10:36.140 --> 00:10:38.660]   The Philippians actually were really, really receptive
[00:10:38.660 --> 00:10:42.940]   to Apostle Paul, but he says to even heighten the degree
[00:10:42.940 --> 00:10:44.680]   and just expression of his love,
[00:10:44.680 --> 00:10:47.860]   "God is my witness," right?
[00:10:47.860 --> 00:10:50.980]   My conscience is absolutely clear.
[00:10:50.980 --> 00:10:52.420]   I absolutely love you.
[00:10:53.380 --> 00:10:56.900]   Now, not only then does he get emotional,
[00:10:56.900 --> 00:10:59.580]   not only does he long for them,
[00:10:59.580 --> 00:11:01.220]   in such descriptive ways,
[00:11:01.220 --> 00:11:06.220]   Apostle Paul's heart is deeply, deeply in care,
[00:11:06.220 --> 00:11:09.700]   concern, and love for these people.
[00:11:09.700 --> 00:11:12.900]   And as a quick way of just kind of challenging us,
[00:11:12.900 --> 00:11:17.900]   man, I was thinking, like, man, outside of my family,
[00:11:17.900 --> 00:11:21.580]   outside of my wife, my children,
[00:11:21.580 --> 00:11:23.540]   people who are blood relatives,
[00:11:23.540 --> 00:11:27.140]   do I love people in this fashion?
[00:11:27.140 --> 00:11:29.660]   Where I would devote that kind of extensive time,
[00:11:29.660 --> 00:11:32.100]   that kind of investment in prayer,
[00:11:32.100 --> 00:11:34.700]   where I wouldn't feel crazy awkward saying,
[00:11:34.700 --> 00:11:36.020]   "I miss you, man," you know?
[00:11:36.020 --> 00:11:38.580]   Like, "I wanna see you, it's been too long," you know?
[00:11:38.580 --> 00:11:43.340]   Like, am I in that kind of an expressive love
[00:11:43.340 --> 00:11:45.140]   to an individual that I could say all of that
[00:11:45.140 --> 00:11:48.140]   and be like, "God is my witness, I love you,
[00:11:48.140 --> 00:11:51.140]   "and look at the degree to which I wanna sacrifice for you."
[00:11:52.140 --> 00:11:54.620]   And the crazy thing about it is, yeah,
[00:11:54.620 --> 00:11:58.620]   this isn't like his literal children,
[00:11:58.620 --> 00:12:01.140]   these are full-grown adults.
[00:12:01.140 --> 00:12:03.940]   These aren't people that lived 30 years with him,
[00:12:03.940 --> 00:12:06.340]   these are people he spent a season with.
[00:12:06.340 --> 00:12:08.260]   These are people he spent a time with
[00:12:08.260 --> 00:12:10.020]   as he moved along, right?
[00:12:10.020 --> 00:12:14.180]   But remember, the power of the kind of love
[00:12:14.180 --> 00:12:16.300]   that we receive in the gospel,
[00:12:16.300 --> 00:12:20.180]   the kind of divine love we receive through Jesus Christ,
[00:12:20.180 --> 00:12:22.300]   it is so powerful, it is not confined
[00:12:22.300 --> 00:12:26.340]   just because we spent tons of quality time together.
[00:12:26.340 --> 00:12:29.060]   It is not confined just because we have all kinds
[00:12:29.060 --> 00:12:32.020]   of similarities and same ethnic group
[00:12:32.020 --> 00:12:34.780]   or same demographics and same all of this,
[00:12:34.780 --> 00:12:38.460]   it is superseding all of that, right?
[00:12:38.460 --> 00:12:40.500]   Can two believers come together
[00:12:40.500 --> 00:12:42.940]   and have incredible love for each other,
[00:12:42.940 --> 00:12:44.860]   even in a short amount of time?
[00:12:44.860 --> 00:12:46.860]   Absolutely.
[00:12:46.860 --> 00:12:49.580]   Can two believers come together
[00:12:49.580 --> 00:12:51.860]   and express this kind of love,
[00:12:51.860 --> 00:12:53.500]   even amongst full-grown men
[00:12:53.500 --> 00:12:55.660]   who never ever communicated this way?
[00:12:55.660 --> 00:12:59.020]   Absolutely, right?
[00:12:59.020 --> 00:13:01.460]   And I just wanna challenge every single one of you.
[00:13:01.460 --> 00:13:03.100]   Perhaps you come from backgrounds
[00:13:03.100 --> 00:13:05.660]   that don't practice love like this, you know?
[00:13:05.660 --> 00:13:08.740]   You never say stuff like, "I miss you,
[00:13:08.740 --> 00:13:10.900]   "I really wanna see you," right?
[00:13:10.900 --> 00:13:13.300]   Maybe you just never grew up that way,
[00:13:13.300 --> 00:13:15.540]   maybe you just never heard that in your home.
[00:13:16.700 --> 00:13:20.420]   But we're being challenged by Apostle Paul's love
[00:13:20.420 --> 00:13:23.260]   because this is the kind of love God desires
[00:13:23.260 --> 00:13:26.980]   every single one of us to show the people around us,
[00:13:26.980 --> 00:13:30.380]   especially those within our church, okay?
[00:13:30.380 --> 00:13:33.660]   So that's the first observation that I saw.
[00:13:33.660 --> 00:13:36.700]   Man, what an incredible kind of heart
[00:13:36.700 --> 00:13:39.620]   Apostle Paul has for this church.
[00:13:39.620 --> 00:13:43.300]   Okay, oh man, that went kinda long on that one.
[00:13:43.300 --> 00:13:45.780]   All right, observation number two.
[00:13:45.780 --> 00:13:47.900]   Okay, observation number two.
[00:13:47.900 --> 00:13:49.340]   We have to ask this question,
[00:13:49.340 --> 00:13:52.900]   okay, Apostle Paul describes his heart,
[00:13:52.900 --> 00:13:57.580]   but he also describes what he sees within the church, okay?
[00:13:57.580 --> 00:14:00.700]   So my main question really is,
[00:14:00.700 --> 00:14:03.300]   when Apostle Paul says, "I am so thankful
[00:14:03.300 --> 00:14:07.100]   "when I think of you," what is he thinking about?
[00:14:07.100 --> 00:14:10.180]   "I'm so joyous when I pray for you,"
[00:14:10.180 --> 00:14:11.900]   what was he thinking about?
[00:14:11.900 --> 00:14:13.140]   And he actually says, right?
[00:14:13.140 --> 00:14:14.780]   So I'm gonna read it again,
[00:14:14.780 --> 00:14:16.820]   it's really helpful practice for us
[00:14:16.820 --> 00:14:19.300]   to read the passage over and over again,
[00:14:19.300 --> 00:14:20.900]   to soak in it, right?
[00:14:20.900 --> 00:14:22.700]   And he says this, "I thank my God
[00:14:22.700 --> 00:14:24.900]   "in all my remembrance of you," okay?
[00:14:24.900 --> 00:14:26.380]   So he's just thinking about the church,
[00:14:26.380 --> 00:14:28.620]   and he says, "Always offering up prayers with joy
[00:14:28.620 --> 00:14:30.580]   "in my prayer for you all."
[00:14:30.580 --> 00:14:32.860]   He's thinking about the whole church,
[00:14:32.860 --> 00:14:35.180]   and then more specifically he says this,
[00:14:35.180 --> 00:14:40.180]   which is the giveaway, "In view of your participation," okay?
[00:14:40.180 --> 00:14:43.700]   So here is a highlight.
[00:14:43.700 --> 00:14:45.060]   Now what's more, it says, "In the gospel
[00:14:45.060 --> 00:14:46.940]   "from the first day until now,
[00:14:46.940 --> 00:14:49.500]   "I am confident in this very thing,"
[00:14:49.500 --> 00:14:51.580]   what is Apostle Paul thinking about?
[00:14:51.580 --> 00:14:53.820]   That there is a good work,
[00:14:53.820 --> 00:14:57.220]   that there is a process that Jesus Christ is working in you,
[00:14:57.220 --> 00:15:00.780]   and he will perfect it until the day of Christ Jesus.
[00:15:00.780 --> 00:15:02.580]   What's more, "It is only right for me
[00:15:02.580 --> 00:15:04.060]   "to feel this way about you all
[00:15:04.060 --> 00:15:06.900]   "because I have you in my heart since,
[00:15:06.900 --> 00:15:10.380]   "both in my imprisonment and in my defense
[00:15:10.380 --> 00:15:12.660]   "and the confirmation of the gospel,
[00:15:12.660 --> 00:15:16.180]   "you are all partakers of grace with me."
[00:15:16.180 --> 00:15:18.060]   So we ask this question,
[00:15:18.060 --> 00:15:22.340]   man, what is causing Apostle Paul to be super thankful?
[00:15:22.340 --> 00:15:26.700]   What is causing Apostle Paul to be super joyful, okay?
[00:15:26.700 --> 00:15:30.860]   And this is my observation too, okay?
[00:15:30.860 --> 00:15:34.100]   Whoops, I put a dot there,
[00:15:34.100 --> 00:15:35.620]   and then didn't really write it down,
[00:15:35.620 --> 00:15:37.100]   just for quick review.
[00:15:37.100 --> 00:15:40.340]   He said, "I long for you," which is one of the thing.
[00:15:40.340 --> 00:15:42.660]   The other thing is his affection,
[00:15:42.660 --> 00:15:48.300]   and then the last thing is of Christ, okay?
[00:15:48.300 --> 00:15:51.820]   But the observation too is what is he looking at,
[00:15:51.820 --> 00:15:54.740]   and very clearly and specifically he says
[00:15:54.740 --> 00:15:58.700]   it is the participation, right?
[00:15:58.700 --> 00:16:02.740]   It is being partakers of the same grace.
[00:16:02.740 --> 00:16:05.100]   This term is koinonia.
[00:16:05.100 --> 00:16:07.660]   This term is fellowship.
[00:16:07.660 --> 00:16:09.580]   When he's thinking about them,
[00:16:09.580 --> 00:16:11.660]   yes, he is absolutely confident
[00:16:11.660 --> 00:16:13.900]   that Jesus is working in them.
[00:16:13.900 --> 00:16:16.620]   Yes, he's absolutely confident that these individuals
[00:16:16.620 --> 00:16:19.980]   are in that faithful, believing process
[00:16:19.980 --> 00:16:22.700]   of being sanctified by Christ,
[00:16:22.700 --> 00:16:27.500]   but what he emphasizes is that there is a fellowship here.
[00:16:27.500 --> 00:16:30.940]   What he emphasizes is that there is a mutual participation
[00:16:30.940 --> 00:16:32.700]   in the gospel ministry,
[00:16:32.700 --> 00:16:37.700]   and what's crazy about that is he calls it grace, right?
[00:16:37.820 --> 00:16:41.580]   His perspective on what they're experiencing together
[00:16:41.580 --> 00:16:44.220]   is a grace toward all of them.
[00:16:44.220 --> 00:16:46.900]   Now, as we think about this then,
[00:16:46.900 --> 00:16:49.940]   I want us to think about this idea.
[00:16:49.940 --> 00:16:54.140]   Is there joy in church fellowship?
[00:16:54.140 --> 00:16:59.340]   Is there joy between the relationships that you have
[00:16:59.340 --> 00:17:02.740]   amongst fellow sisters and fellow brothers in Christ?
[00:17:02.740 --> 00:17:06.140]   Now, as we think about that question,
[00:17:06.140 --> 00:17:11.140]   we have to understand that this idea of a mutual feeling,
[00:17:11.140 --> 00:17:14.980]   like we're being blessed,
[00:17:14.980 --> 00:17:16.660]   is currently being experienced
[00:17:16.660 --> 00:17:18.300]   by Apostle Paul and the church.
[00:17:18.300 --> 00:17:19.540]   Why?
[00:17:19.540 --> 00:17:24.540]   Because they're participating in the gospel together, right?
[00:17:24.540 --> 00:17:26.340]   So as we think about this fellowship,
[00:17:26.340 --> 00:17:27.540]   we have to kind of think about
[00:17:27.540 --> 00:17:29.220]   our current state of fellowship
[00:17:29.220 --> 00:17:31.940]   and ask a really important question.
[00:17:31.940 --> 00:17:35.540]   Is the kind of fellowship that we're practicing
[00:17:35.540 --> 00:17:36.500]   watered down?
[00:17:36.500 --> 00:17:39.980]   Is the kind of fellowship that we're practicing
[00:17:39.980 --> 00:17:41.580]   a little distracted?
[00:17:41.580 --> 00:17:45.340]   Because if we have a distracted or watered down fellowship,
[00:17:45.340 --> 00:17:49.420]   that means that the degree and the range of joy,
[00:17:49.420 --> 00:17:51.580]   gratitude, and the mutual experience
[00:17:51.580 --> 00:17:54.020]   is also going to be watered down.
[00:17:54.020 --> 00:17:55.540]   What am I saying?
[00:17:55.540 --> 00:17:58.340]   Apostle Paul's gratitude and thankfulness and joy
[00:17:58.340 --> 00:17:59.820]   is up here right now, right?
[00:17:59.820 --> 00:18:01.980]   He's like, "Oh, I'm so thankful to God.
[00:18:01.980 --> 00:18:05.300]   "I am praying with joy all the time."
[00:18:05.300 --> 00:18:06.420]   Part of that is why.
[00:18:06.420 --> 00:18:10.300]   It's because of the kind of fellowship
[00:18:10.300 --> 00:18:13.060]   he's having with these brothers and sisters in Christ.
[00:18:13.060 --> 00:18:16.060]   Think about that.
[00:18:16.060 --> 00:18:17.940]   That means if within the church
[00:18:17.940 --> 00:18:20.700]   we're having watered down community time,
[00:18:20.700 --> 00:18:23.100]   where we're just here in the same place,
[00:18:23.100 --> 00:18:26.100]   but there isn't actually a investment
[00:18:26.100 --> 00:18:28.060]   in the gospel together,
[00:18:28.060 --> 00:18:33.060]   there isn't actually a mutual experience of fellowship,
[00:18:33.100 --> 00:18:35.700]   of working towards exalting Christ,
