
[00:00:00.000 --> 00:00:02.740]   (audio cuts out)
[00:02:07.600 --> 00:02:11.800]   And I thank you, Lord, that you discipline us at times.
[00:02:11.800 --> 00:02:14.600]   And Father, I pray that in every way we would desire
[00:02:14.600 --> 00:02:16.680]   to receive your word with gratefulness
[00:02:16.680 --> 00:02:18.400]   and to receive it with an eagerness
[00:02:18.400 --> 00:02:19.640]   to apply it into our lives.
[00:02:19.640 --> 00:02:21.840]   We thank you in Christ's name, amen.
[00:02:21.840 --> 00:02:22.680]   Okay.
[00:02:22.680 --> 00:02:27.680]   Now, by way of introducing this passage to us,
[00:02:27.680 --> 00:02:32.600]   you gotta imagine, you just noticed there,
[00:02:32.600 --> 00:02:34.760]   Apostle Paul did one of these things
[00:02:34.760 --> 00:02:39.760]   where he essentially addresses many different people.
[00:02:39.760 --> 00:02:41.480]   He addresses the single people.
[00:02:41.480 --> 00:02:43.040]   He addresses the married people.
[00:02:43.040 --> 00:02:45.760]   He addresses the divorced people, the widowed people,
[00:02:45.760 --> 00:02:47.680]   the married people with unbelieving husbands,
[00:02:47.680 --> 00:02:49.320]   the married wives with unbelieving,
[00:02:49.320 --> 00:02:51.640]   you know, I'm sorry, married husbands with unbelieving wives.
[00:02:51.640 --> 00:02:55.360]   He addresses all different types of scenarios, you know?
[00:02:55.360 --> 00:02:56.960]   And I find that really interesting
[00:02:56.960 --> 00:02:59.200]   because you can then imagine,
[00:02:59.200 --> 00:03:04.200]   just like it is a very confusing climate in our generation
[00:03:04.200 --> 00:03:06.000]   to begin a romantic relationship
[00:03:06.000 --> 00:03:08.020]   and ultimately get married,
[00:03:08.020 --> 00:03:09.760]   likewise, you can see that perhaps
[00:03:09.760 --> 00:03:13.800]   there was a lot of confusion in that time as well, okay?
[00:03:13.800 --> 00:03:16.300]   Now, talking about dating a little bit,
[00:03:16.300 --> 00:03:19.080]   a lot of people assume that I had
[00:03:19.080 --> 00:03:23.360]   an incredibly conservative perspective on dating,
[00:03:23.360 --> 00:03:25.400]   which I guess in many sense I do,
[00:03:25.400 --> 00:03:28.560]   but there was a huge movement where people wanted dating
[00:03:28.560 --> 00:03:30.840]   to look different than what it does now,
[00:03:30.840 --> 00:03:33.040]   so they started calling it courtship.
[00:03:33.040 --> 00:03:34.200]   Have you guys heard that?
[00:03:34.200 --> 00:03:37.320]   We shouldn't date, we should do courtship, you know?
[00:03:37.320 --> 00:03:38.720]   And the idea there was like,
[00:03:38.720 --> 00:03:41.840]   because we were so intent on marriage,
[00:03:41.840 --> 00:03:43.920]   the way you date is like, go talk to the father
[00:03:43.920 --> 00:03:46.320]   before you even talk to the girl, you know,
[00:03:46.320 --> 00:03:48.240]   basically apply, get permission,
[00:03:48.240 --> 00:03:51.280]   and then you're able to court this girl
[00:03:51.280 --> 00:03:53.920]   for the purpose intentionally for marriage.
[00:03:53.920 --> 00:03:56.080]   And I always clarify to people,
[00:03:56.080 --> 00:03:58.480]   I actually don't believe in courtship.
[00:03:58.480 --> 00:03:59.380]   And they're like, really?
[00:03:59.380 --> 00:04:01.660]   But you know, you believe that dating should be
[00:04:01.660 --> 00:04:03.840]   for the purpose of marriage, absolutely.
[00:04:03.840 --> 00:04:05.640]   You believe that you should remain pure
[00:04:05.640 --> 00:04:07.520]   and you shouldn't like date around and all this stuff,
[00:04:07.520 --> 00:04:09.320]   and I'm like, sure, sure, sure.
[00:04:09.320 --> 00:04:14.320]   But I love the fact that there is good analogy in life,
[00:04:14.320 --> 00:04:16.520]   which is fishing, okay?
[00:04:17.440 --> 00:04:18.520]   (audience laughing)
[00:04:18.520 --> 00:04:20.080]   You're fishing.
[00:04:20.080 --> 00:04:20.920]   And the thing about it is,
[00:04:20.920 --> 00:04:22.600]   sometimes you cast nets that are wide,
[00:04:22.600 --> 00:04:24.200]   sometimes you use little lures,
[00:04:24.200 --> 00:04:25.580]   sometimes you use little poppers,
[00:04:25.580 --> 00:04:27.400]   and sometimes you use huge, like,
[00:04:27.400 --> 00:04:30.240]   oceanic, huge, real, you know,
[00:04:30.240 --> 00:04:32.440]   so the idea there is, I think there is some wisdom
[00:04:32.440 --> 00:04:35.560]   in the idea that there isn't just one absolute way
[00:04:35.560 --> 00:04:37.240]   that you can big brush and say,
[00:04:37.240 --> 00:04:39.640]   everybody needs to date like this.
[00:04:39.640 --> 00:04:42.200]   Now, there are wrong things to do, okay?
[00:04:42.200 --> 00:04:46.080]   You shouldn't be fishing in the Santa Ana River,
[00:04:46.080 --> 00:04:49.000]   you shouldn't be fishing for poisonous fish.
[00:04:49.000 --> 00:04:52.600]   You should only be fishing for keepers.
[00:04:52.600 --> 00:04:54.640]   There are fish that are only good for throwing back,
[00:04:54.640 --> 00:04:56.860]   but you should be fishing for keepers.
[00:04:56.860 --> 00:04:59.700]   That's the kind of way that I like to advise people to fish.
[00:04:59.700 --> 00:05:00.540]   I mean, sorry, date.
[00:05:00.540 --> 00:05:03.960]   (audience laughing)
[00:05:03.960 --> 00:05:05.760]   Sometimes it's more highly important
[00:05:05.760 --> 00:05:08.860]   who you're searching for than how I do it.
[00:05:08.860 --> 00:05:11.880]   Now, obviously, there are clear things you shouldn't do,
[00:05:11.880 --> 00:05:14.280]   and we learned about that last week.
[00:05:14.280 --> 00:05:17.620]   Fornification is wrong in any circumstance.
[00:05:17.620 --> 00:05:19.120]   Joining yourself to an individual,
[00:05:19.120 --> 00:05:20.920]   no matter how much you say you love that person
[00:05:20.920 --> 00:05:24.280]   outside of marriage, is absolutely wrong, right?
[00:05:24.280 --> 00:05:26.360]   And joining yourself in even, like,
[00:05:26.360 --> 00:05:28.440]   emotional ties and physical ties,
[00:05:28.440 --> 00:05:30.560]   obviously, should be very, very much,
[00:05:30.560 --> 00:05:32.060]   you should approach that with caution.
[00:05:32.060 --> 00:05:35.740]   You should be honorable in everything you do, right?
[00:05:35.740 --> 00:05:38.600]   But in my personal perspective,
[00:05:38.600 --> 00:05:41.880]   depending on who you are, what your strengths are,
[00:05:41.880 --> 00:05:43.320]   and how you think, and where you are
[00:05:43.320 --> 00:05:45.160]   on your faith level, even,
[00:05:45.160 --> 00:05:46.920]   the things that you do, even in dating,
[00:05:46.920 --> 00:05:48.000]   is gonna be a little different.
[00:05:48.000 --> 00:05:50.680]   And depending on who you're trying to pursue,
[00:05:50.680 --> 00:05:52.560]   that'll also look a little different,
[00:05:52.560 --> 00:05:54.880]   and you have to leave room for that.
[00:05:54.880 --> 00:05:58.160]   So what's interesting is, I think about this scenario,
[00:05:58.160 --> 00:06:00.720]   and just as complicated as the dating environment
[00:06:00.720 --> 00:06:03.920]   in modern day is, you can imagine the dating environment,
[00:06:03.920 --> 00:06:05.480]   perhaps the relational environment back then
[00:06:05.480 --> 00:06:07.680]   was really complicated as well.
[00:06:07.680 --> 00:06:10.720]   And you had people of different persuasions.
[00:06:10.720 --> 00:06:12.480]   Some people would be like,
[00:06:12.480 --> 00:06:14.920]   okay, so like the good Asian parent,
[00:06:14.920 --> 00:06:18.320]   if you guys have ever suffered under that,
[00:06:18.320 --> 00:06:21.480]   you turn 25, before 25, it was just like,
[00:06:21.480 --> 00:06:22.880]   I want you to focus on school,
[00:06:22.880 --> 00:06:24.280]   I want you to focus on your career,
[00:06:24.280 --> 00:06:25.480]   and then you turn 25, it's like,
[00:06:25.480 --> 00:06:26.480]   why aren't you married,
[00:06:26.480 --> 00:06:28.620]   or what are you doing with your life, you know?
[00:06:28.620 --> 00:06:30.640]   You know what's really funny is the Jewish people
[00:06:30.640 --> 00:06:32.440]   thought the exact same way.
[00:06:32.440 --> 00:06:34.160]   I really think Jewish people and Asian people
[00:06:34.160 --> 00:06:35.960]   would have a lot in common.
[00:06:35.960 --> 00:06:40.200]   But because the Jewish culture was so much bound up in,
[00:06:40.200 --> 00:06:42.480]   God wants you to multiply.
[00:06:42.480 --> 00:06:45.020]   God has intended for you to be married.
[00:06:45.020 --> 00:06:46.880]   If you didn't get married, it almost was like,
[00:06:46.880 --> 00:06:49.640]   why are you being so rebellious, you know?
[00:06:49.640 --> 00:06:51.200]   Like, do you want to offend our family?
[00:06:51.200 --> 00:06:52.720]   What's going on with you?
[00:06:52.720 --> 00:06:54.440]   So there was this pressure.
[00:06:54.440 --> 00:06:55.920]   And isn't there pressure in our day?
[00:06:55.920 --> 00:06:56.960]   Yeah, there is.
[00:06:56.960 --> 00:06:59.200]   And then obviously there's other cultures that say,
[00:06:59.200 --> 00:07:00.800]   no, I don't wanna get married that early.
[00:07:00.800 --> 00:07:04.500]   I want to go find myself, find my freedoms,
[00:07:04.500 --> 00:07:06.680]   make something of myself, you know?
[00:07:06.680 --> 00:07:07.960]   And then there's other cultures,
[00:07:07.960 --> 00:07:12.200]   and you can imagine it's like, relationships.
[00:07:12.200 --> 00:07:13.040]   Who needs 'em?
[00:07:13.040 --> 00:07:14.240]   Or other cultures that might think,
[00:07:14.240 --> 00:07:17.820]   not only who needs 'em, but that's very sinful of you.
[00:07:17.820 --> 00:07:19.360]   Is that all you think about?
[00:07:19.360 --> 00:07:21.440]   You passionate, lustful, female,
[00:07:21.440 --> 00:07:24.560]   very base and fleshly person.
[00:07:24.560 --> 00:07:26.460]   You can imagine that, but there might be people
[00:07:26.460 --> 00:07:31.460]   who would say, it's holier for you to remain single, right?
[00:07:31.460 --> 00:07:35.400]   So very interesting mix, very interesting mix
[00:07:35.400 --> 00:07:37.520]   of different cultures that have joined together
[00:07:37.520 --> 00:07:40.840]   to make what is the culture of the Corinthian church.
[00:07:40.840 --> 00:07:43.320]   We're taking a look at this now,
[00:07:43.320 --> 00:07:46.320]   and we're only looking at verse one through seven,
[00:07:46.320 --> 00:07:48.280]   but again, if you look at the whole chapter,
[00:07:48.280 --> 00:07:50.160]   he's going to hit different scenarios,
[00:07:50.160 --> 00:07:52.720]   different circumstances, different people, okay?
[00:07:52.720 --> 00:07:57.840]   Let's take a look together at verses one through two.
[00:07:57.840 --> 00:08:00.440]   And in verses one through two, it says,
[00:08:00.440 --> 00:08:03.320]   now concerning the things about which you wrote,
[00:08:03.320 --> 00:08:06.800]   it is good for a man not to touch a woman.
[00:08:06.800 --> 00:08:08.680]   But because of immoralities,
[00:08:08.680 --> 00:08:10.640]   each man is to have his own wife,
[00:08:10.640 --> 00:08:13.200]   and each woman is to have her own husband.
[00:08:13.200 --> 00:08:16.480]   Okay, starting there, I wanna ask the easy question,
[00:08:16.480 --> 00:08:19.240]   what is Apostle Paul advocating in verse one?
[00:08:19.240 --> 00:08:20.460]   Just easy observation.
[00:08:20.460 --> 00:08:22.360]   Someone please raise their hand and tell me,
[00:08:22.360 --> 00:08:24.860]   what do you think Apostle Paul is advocating here?
[00:08:24.860 --> 00:08:31.200]   I'm sorry?
[00:08:31.200 --> 00:08:32.020]   - Get married.
[00:08:32.020 --> 00:08:33.800]   - Get married, okay.
[00:08:33.800 --> 00:08:35.680]   Verse one.
[00:08:35.680 --> 00:08:36.920]   - Get married.
[00:08:36.920 --> 00:08:38.000]   - Get married.
[00:08:38.000 --> 00:08:40.260]   (laughing)
[00:08:40.260 --> 00:08:48.200]   - So verse one, definitely not get married,
[00:08:48.200 --> 00:08:51.160]   but it's good for a man not to what?
[00:08:51.160 --> 00:08:52.000]   Touch a woman.
[00:08:52.000 --> 00:08:54.600]   So what is he really advocating in verse one?
[00:08:54.600 --> 00:08:55.960]   Someone, what did he say?
[00:08:55.960 --> 00:08:57.480]   - Intimacy, marriage.
[00:08:57.480 --> 00:09:00.360]   Intimacy, marriage.
[00:09:00.360 --> 00:09:01.840]   - Intimacy in marriage?
[00:09:01.840 --> 00:09:05.000]   But he's saying it is good.
[00:09:05.920 --> 00:09:07.720]   He's not advocating that.
[00:09:07.720 --> 00:09:10.160]   His questioners are.
[00:09:10.160 --> 00:09:11.000]   - Okay, okay, okay.
[00:09:11.000 --> 00:09:12.720]   - He's asking about a question.
[00:09:12.720 --> 00:09:16.040]   Hey, is it, in light of all the fornication in chapter six,
[00:09:16.040 --> 00:09:18.280]   should we then go to the other extreme?
[00:09:18.280 --> 00:09:19.640]   - Right.
[00:09:19.640 --> 00:09:21.760]   - Not even, the extreme of the husband
[00:09:21.760 --> 00:09:23.640]   can't even be with his wife?
[00:09:23.640 --> 00:09:24.480]   - Right.
[00:09:24.480 --> 00:09:25.600]   - That's the question they asked him.
[00:09:25.600 --> 00:09:26.440]   - Right, right.
[00:09:26.440 --> 00:09:28.320]   - And he says about what you wrote,
[00:09:28.320 --> 00:09:30.840]   so he's not saying married couple can't be together.
[00:09:30.840 --> 00:09:33.680]   - Good, good, okay.
[00:09:33.680 --> 00:09:35.760]   Just jumping so far ahead of me right now.
[00:09:35.760 --> 00:09:38.000]   (laughing)
[00:09:38.000 --> 00:09:39.680]   - That's all in verse one.
[00:09:39.680 --> 00:09:41.520]   - That's all, okay, it's true.
[00:09:41.520 --> 00:09:43.880]   All right, so did you guys hear what he said?
[00:09:43.880 --> 00:09:45.560]   Okay, what he said is this, is,
[00:09:45.560 --> 00:09:48.840]   remember here in chapter seven,
[00:09:48.840 --> 00:09:51.600]   you gotta think, this whole discussion
[00:09:51.600 --> 00:09:54.200]   is coming in the context of interaction
[00:09:54.200 --> 00:09:57.560]   with the church already asking questions, right?
[00:09:57.560 --> 00:09:59.040]   And so what Matthew is saying is,
[00:09:59.040 --> 00:10:00.840]   you can imagine that these people
[00:10:00.840 --> 00:10:02.320]   are saying stuff like, man,
[00:10:02.320 --> 00:10:05.800]   with all the stuff that's around us in our culture,
[00:10:05.800 --> 00:10:08.680]   the promiscuity and the sexual indulgences,
[00:10:08.680 --> 00:10:12.160]   we should not even, should we not even touch a woman at all?
[00:10:12.160 --> 00:10:16.680]   Okay, now he's saying that Apostle Paul
[00:10:16.680 --> 00:10:21.520]   is not advocating singleness, okay?
[00:10:21.520 --> 00:10:23.720]   Now, that will be the conclusion
[00:10:23.720 --> 00:10:28.400]   of all of chapter seven.
[00:10:29.680 --> 00:10:33.200]   So, there we go, we've just finished Bible study.
[00:10:33.200 --> 00:10:34.080]   (laughing)
[00:10:34.080 --> 00:10:35.800]   The conclusion is, so let me give it to you now
[00:10:35.800 --> 00:10:37.680]   because it is a good point.
[00:10:37.680 --> 00:10:39.320]   If you were to ask, what is Apostle Paul
[00:10:39.320 --> 00:10:41.600]   advocating in this chapter,
[00:10:41.600 --> 00:10:45.360]   is he advocating celibacy over marriage at all?
[00:10:45.360 --> 00:10:47.520]   No, but actually, as a matter of fact,
[00:10:47.520 --> 00:10:49.940]   is he even advocating marriage over celibacy?
[00:10:49.940 --> 00:10:53.000]   No, okay?
[00:10:53.000 --> 00:10:55.320]   Apostle Paul is not advocating and saying
[00:10:55.320 --> 00:10:58.120]   the condition of your life in terms of your relation,
[00:10:58.120 --> 00:11:01.840]   this is what needs to happen in every single person's life.
[00:11:01.840 --> 00:11:03.560]   That is not what he's doing.
[00:11:03.560 --> 00:11:06.280]   So, I guess I should have rephrased this question.
[00:11:06.280 --> 00:11:10.400]   What does it appear to be that Apostle Paul
[00:11:10.400 --> 00:11:12.120]   is advocating in verse one?
[00:11:12.120 --> 00:11:14.480]   In verse one, it appears as though
[00:11:14.480 --> 00:11:16.920]   Apostle Paul is saying, oh yeah,
[00:11:16.920 --> 00:11:19.520]   to not touch a woman is good.
[00:11:19.520 --> 00:11:22.560]   That is at least an evaluation question.
[00:11:22.560 --> 00:11:23.440]   What's good?
[00:11:23.440 --> 00:11:26.400]   It's good for a man not to touch a woman, right?
[00:11:26.400 --> 00:11:29.120]   And to say a man not to touch a woman
[00:11:29.120 --> 00:11:31.840]   is to say, I declare celibacy.
[00:11:31.840 --> 00:11:35.640]   I'm not gonna have a relationship with a woman, right?
[00:11:35.640 --> 00:11:37.520]   So that's verse one.
[00:11:37.520 --> 00:11:39.520]   But the harder question is,
[00:11:39.520 --> 00:11:41.840]   why is Apostle Paul writing this?
[00:11:41.840 --> 00:11:44.740]   And we've just talked about it in a moment here.
[00:11:44.740 --> 00:11:49.180]   There is great confusion, okay?
[00:11:49.180 --> 00:11:52.160]   The church is having a,
[00:11:52.160 --> 00:11:54.560]   really, an incredibly difficult time
[00:11:54.560 --> 00:11:57.400]   applying what Apostle Paul has been teaching them.
[00:11:57.400 --> 00:11:58.360]   It's like, you know?
[00:11:58.360 --> 00:11:59.320]   So you can just imagine.
[00:11:59.320 --> 00:12:01.120]   This happens to people all the time.
[00:12:01.120 --> 00:12:03.480]   We do extremes.
[00:12:03.480 --> 00:12:06.040]   It's like, hey, we should have,
[00:12:06.040 --> 00:12:07.320]   oh, please stand that way.
[00:12:07.320 --> 00:12:09.840]   We should have freedom because what we do,
[00:12:09.840 --> 00:12:11.760]   you know, in the flesh doesn't really matter.
[00:12:11.760 --> 00:12:12.920]   You go out this way.
[00:12:12.920 --> 00:12:14.680]   Apostle Paul tries to correct that and say,
[00:12:14.680 --> 00:12:15.700]   no, you don't have freedom.
[00:12:15.700 --> 00:12:18.420]   How dare you join yourself with, you know,
[00:12:18.420 --> 00:12:20.600]   promiscuous individuals, prostitutes,
[00:12:20.600 --> 00:12:21.840]   just for your gratification.
[00:12:21.840 --> 00:12:24.640]   It matters absolutely, incredibly a lot
[00:12:24.640 --> 00:12:26.540]   what you do in the flesh.
[00:12:26.540 --> 00:12:30.960]   Because you are, you are gonna have immortal bodies, okay?
[00:12:30.960 --> 00:12:34.320]   Now, the pendulum swing then is to go the other way
[00:12:34.320 --> 00:12:36.180]   and be like, okay, then with all these immoralities,
[00:12:36.180 --> 00:12:37.920]   then we're not gonna touch any woman.
[00:12:37.920 --> 00:12:39.240]   You know, and you can imagine in the vision,
[00:12:39.240 --> 00:12:41.480]   'cause is that how we apply?
[00:12:41.480 --> 00:12:42.600]   Is that what we're supposed to do?
[00:12:42.600 --> 00:12:44.540]   And we sometimes do that, you know?
[00:12:44.540 --> 00:12:48.000]   We sometimes exaggerate or pendulum swing,
[00:12:48.000 --> 00:12:49.500]   and you can imagine people doing that
[00:12:49.500 --> 00:12:52.400]   and perhaps even saying stuff like that.
[00:12:52.400 --> 00:12:55.180]   So, there is this great confusion.
[00:12:55.180 --> 00:12:57.720]   Now, I have a question for you guys
[00:12:57.720 --> 00:12:59.380]   that's a little bit more personal,
[00:12:59.380 --> 00:13:01.180]   and it's there underneath verse two.
[00:13:01.180 --> 00:13:04.860]   How do you make sense of this seemingly
[00:13:04.860 --> 00:13:08.060]   and incredibly practical reason for marriage?
[00:13:08.060 --> 00:13:09.600]   Does it sit well with you?
[00:13:09.600 --> 00:13:17.820]   Okay, Kim, because you shake your head
[00:13:17.820 --> 00:13:19.980]   and you're like, no. (laughs)
[00:13:19.980 --> 00:13:23.020]   So, tell me, I know part of it's a little bit obvious
[00:13:23.020 --> 00:13:25.420]   as to why, yeah, it might not sit well with us,
[00:13:25.420 --> 00:13:27.300]   but just kind of verbalize,
[00:13:27.300 --> 00:13:29.460]   how does it first sound to you,
[00:13:29.460 --> 00:13:31.360]   and why does it not sit well with you?
[00:13:31.360 --> 00:13:43.900]   Right.
[00:13:43.900 --> 00:13:46.320]   - That it's because of that,
[00:13:46.320 --> 00:13:48.660]   that's why we shake our head.
[00:13:48.660 --> 00:13:49.500]   - Okay.
[00:13:49.500 --> 00:13:51.180]   - That's why it doesn't sit well with me.
[00:13:51.180 --> 00:13:54.020]   I don't think God's in favor of just that.
[00:13:54.020 --> 00:13:56.220]   - Yeah, good, good, okay.
[00:13:56.220 --> 00:13:57.860]   Anybody wanna add anything else?
[00:13:57.860 --> 00:13:58.700]   Yes.
[00:13:58.700 --> 00:14:00.700]   - It's totally not spiritual enough.
[00:14:00.700 --> 00:14:01.700]   (laughs)
[00:14:01.700 --> 00:14:04.340]   - It's just not spiritual enough, okay?
[00:14:04.340 --> 00:14:05.580]   So good.
[00:14:05.580 --> 00:14:06.980]   Yeah, I mean, when you read this,
[00:14:06.980 --> 00:14:09.740]   it should initially kind of hit you as like,
[00:14:09.740 --> 00:14:13.220]   but that's odd, you know?
[00:14:13.220 --> 00:14:14.620]   Just like what Karen said,
[00:14:14.620 --> 00:14:17.220]   the purpose of marriage as, you know,
[00:14:17.220 --> 00:14:18.820]   ideally we would wanna practice it,
[00:14:18.820 --> 00:14:21.580]   it wouldn't be like, wow,
[00:14:21.580 --> 00:14:24.060]   I'm just burning with passion right now.
[00:14:24.060 --> 00:14:26.580]   And definitely I would never approach a woman,
[00:14:26.580 --> 00:14:28.500]   you know, when you're single and be like,
[00:14:28.500 --> 00:14:30.620]   I chose you because I just can't control myself.
[00:14:30.620 --> 00:14:34.140]   You know, like. (laughs)
[00:14:34.140 --> 00:14:37.820]   Do you wanna go out with me? (laughs)
[00:14:37.820 --> 00:14:40.740]   And also, obviously, it's just on a level
[00:14:40.740 --> 00:14:42.340]   of talking spiritually and fleshly,
[00:14:42.340 --> 00:14:44.500]   which just sounds too fleshly, you know?
[00:14:44.500 --> 00:14:48.820]   But as we think about this,
[00:14:48.820 --> 00:14:50.100]   as we think about this,
[00:14:50.100 --> 00:14:53.620]   I guess let's keep that there for a moment,
[00:14:53.620 --> 00:14:55.660]   'cause the more that we tackle this passage,
[00:14:55.660 --> 00:14:59.700]   we're gonna realize, yes, this is practical,
[00:14:59.700 --> 00:15:02.060]   but there is more, obviously, than meets the eye.
[00:15:02.060 --> 00:15:02.940]   Okay?
[00:15:02.940 --> 00:15:04.580]   All right, good.
[00:15:04.580 --> 00:15:07.340]   Any questions about section one, verses one and two?
[00:15:07.340 --> 00:15:10.460]   The introduction of the issue at hand
[00:15:10.460 --> 00:15:12.140]   in the church of confusion,
[00:15:12.140 --> 00:15:15.180]   celibacy, marriage, what do we do?
[00:15:15.180 --> 00:15:16.340]   Okay?
[00:15:16.340 --> 00:15:17.180]   All right.
[00:15:17.180 --> 00:15:19.820]   Moving forward.
[00:15:19.820 --> 00:15:21.420]   Verse three to five.
[00:15:21.420 --> 00:15:25.060]   Can I have somebody read this for me nice and loud?
[00:15:25.060 --> 00:15:25.900]   Yes.
[00:15:25.900 --> 00:15:34.700]   Yes, oh, okay, okay.
[00:15:34.700 --> 00:15:35.980]   You know, to tell you honestly,
[00:15:35.980 --> 00:15:39.500]   I think I placed that question poorly, too.
[00:15:39.500 --> 00:15:41.460]   This is a question that will arise as we study,
[00:15:41.460 --> 00:15:42.900]   so let's come back to it
[00:15:42.900 --> 00:15:44.980]   as we wrap up the study at the end, okay?
[00:15:44.980 --> 00:15:46.980]   All right.
[00:15:46.980 --> 00:15:52.060]   Verse three to five.
[00:15:52.060 --> 00:15:54.220]   At this table over here, can I have,
[00:15:54.220 --> 00:15:56.140]   Titus, can you read that for us?
[00:15:57.140 --> 00:15:58.220]   - Oh, yes, sir.
[00:15:58.220 --> 00:16:00.500]   The husband must fulfill his duty to his wife,
[00:16:00.500 --> 00:16:03.740]   and likewise also the wife to her husband.
[00:16:03.740 --> 00:16:06.260]   The wife does not have authority over her own body,
[00:16:06.260 --> 00:16:07.900]   but the husband, she does.
[00:16:07.900 --> 00:16:10.500]   And likewise, also the husband does not have authority
[00:16:10.500 --> 00:16:13.020]   over his own body, but the wife does.
[00:16:13.020 --> 00:16:15.620]   Stop defiling one another, except by agreement
[00:16:15.620 --> 00:16:18.540]   before a time so that you may devote yourselves
[00:16:18.540 --> 00:16:20.460]   to prayer and coming together again,
[00:16:20.460 --> 00:16:21.980]   so that saints will have mercy on you
[00:16:21.980 --> 00:16:24.860]   because of your lack of self.
[00:16:24.860 --> 00:16:26.660]   - Okay, good.
[00:16:26.660 --> 00:16:28.980]   So, let's do an exercise right now.
[00:16:28.980 --> 00:16:31.980]   We've got four questions underneath the observations.
[00:16:31.980 --> 00:16:35.620]   Remember, observations is like such an integral part.
[00:16:35.620 --> 00:16:37.380]   You know, all the steps that we've already rehearsed
[00:16:37.380 --> 00:16:39.700]   many times is an integral part of good Bible study.
[00:16:39.700 --> 00:16:40.980]   I ask you four questions.
[00:16:40.980 --> 00:16:44.340]   Can you guys just take time now to answer it on your own?
[00:16:44.340 --> 00:16:47.380]   How does it describe the responsibility of a man and woman?
[00:16:47.380 --> 00:16:50.260]   What is the reason why they have this responsibility?
[00:16:50.260 --> 00:16:52.980]   Under what circumstances can a couple refrain?
