
[00:00:00.000 --> 00:00:05.280]   [Intro]
[00:06:08.400 --> 00:06:15.920]   because we grandparents aren't always as wise and creative as we need to be in this
[00:06:15.920 --> 00:06:16.920]   regard.
[00:06:16.920 --> 00:06:24.400]   And if you can think of things that would bless your children from your parents, we
[00:06:24.400 --> 00:06:28.040]   would, I hope, be willing to hear.
[00:06:28.040 --> 00:06:34.880]   But I can't end, Tony, without another word to grandparents because of that phrase, "Spoil
[00:06:34.880 --> 00:06:35.880]   your grandkids."
[00:06:35.880 --> 00:06:42.320]   It is emphatically not our job to spoil our grandchildren.
[00:06:42.320 --> 00:06:43.320]   That's not funny.
[00:06:43.320 --> 00:06:45.240]   It's not funny.
[00:06:45.240 --> 00:06:51.760]   It's not our place to be lenient where the parents are strict.
[00:06:51.760 --> 00:07:03.120]   It is emphatically our role to reinforce with happy unity the parenting that our kids are
[00:07:03.120 --> 00:07:08.960]   trying to give their kids, our grandkids, assuming, of course, that it's safe and
[00:07:08.960 --> 00:07:10.820]   wholesome.
[00:07:10.820 --> 00:07:16.900]   There should be a united front—this would be beautiful—there should be a united front
[00:07:16.900 --> 00:07:22.280]   of biblical principle that the kids discern in parents and grandparents.
[00:07:22.280 --> 00:07:24.640]   They should see it as a tradition.
[00:07:24.640 --> 00:07:26.360]   There's a legacy here.
[00:07:26.360 --> 00:07:30.440]   These standards are coming down from generation to generation.
[00:07:30.440 --> 00:07:34.600]   I'm going to embrace them and use them someday.
[00:07:34.600 --> 00:07:41.560]   So let's be done with the notion that grandparents should spoil their grandkids.
[00:07:41.560 --> 00:07:43.380]   We shouldn't.
[00:07:43.380 --> 00:07:50.460]   We should bless them in every possible spiritual way that we can and shouldn't let material
[00:07:50.460 --> 00:07:53.960]   gifts get in the way of that goal.
[00:07:53.960 --> 00:07:56.560]   That is very helpful and eternally strategic perspective.
[00:07:56.560 --> 00:07:57.560]   Thank you, Pastor John.
[00:07:57.560 --> 00:08:00.240]   Well, it is time for us to break for the weekend.
[00:08:00.240 --> 00:08:01.920]   What a great week of questions.
[00:08:01.920 --> 00:08:06.280]   Thank you, listeners, for your participation in sending us great questions all week.
[00:08:06.280 --> 00:08:09.600]   You can look back on the episodes that we covered for the week and even browse the most
[00:08:09.600 --> 00:08:11.100]   popular episodes of all time.
[00:08:11.100 --> 00:08:17.000]   You can do that at our landing page at DesiringGod.org/AskPastorJohn.
[00:08:17.000 --> 00:08:18.480]   I'm your host, Tony Reinke.
[00:08:18.480 --> 00:08:19.480]   We will see you on Monday.
[00:08:19.480 --> 00:08:20.200]   Have a great weekend.
[00:08:20.200 --> 00:08:22.200]   [END]
[00:08:22.200 --> 00:08:24.200]   [END]
[00:08:24.200 --> 00:08:26.200]   [END]
[00:08:26.200 --> 00:08:36.200]   [BLANK_AUDIO]

