
[00:00:00.000 --> 00:00:07.560]   >> Well, good morning.
[00:04:23.920 --> 00:04:30.480]   So at times in the process, let me be honest, there are moments we felt abandoned like the
[00:04:30.480 --> 00:04:34.400]   ones that we were caring for.
[00:04:34.400 --> 00:04:38.600]   Then when those children were reunited with their birth families, we were simultaneously
[00:04:38.600 --> 00:04:45.440]   rejoicing as well as devastated that we had to let them go.
[00:04:45.440 --> 00:04:50.880]   However, we were more concerned what it would cost them to not be cared for than what it
[00:04:50.880 --> 00:04:54.600]   would cost us to care for them.
[00:04:54.600 --> 00:05:00.440]   It was devastating to lose them, but it was totally worth it to have the opportunity to
[00:05:00.440 --> 00:05:02.520]   love them.
[00:05:02.520 --> 00:05:14.200]   We had Ignacio for almost six months, and we wept for days after he left our home.
[00:05:14.200 --> 00:05:24.760]   Even saying his name is emotional for me, even almost a decade later.
[00:05:24.760 --> 00:05:30.840]   I remember falling into a season of depression, but through that the Lord was working in our
[00:05:30.840 --> 00:05:38.440]   hearts and I was reminded of something I knew in my head but did not remember in my heart,
[00:05:38.440 --> 00:05:44.520]   that the pursuit of adoption, like all godly parenting, is not about me.
[00:05:44.520 --> 00:05:49.360]   It is not about fulfilling the desires of dad and mom.
[00:05:49.360 --> 00:05:57.280]   It is about the glory of God and loving others, that Christ loves us.
[00:05:57.280 --> 00:06:02.200]   So we were happy to see their lives and homes become whole again.
[00:06:02.200 --> 00:06:08.360]   Therefore, it was a joy and is a joy to be a part of that.
[00:06:08.360 --> 00:06:14.040]   Right now, Kristen, as our precious daughter, is grace, undeserved grace beyond words.
[00:06:14.040 --> 00:06:21.000]   Some have said to us, well-intentioned, Kristen is so blessed to have you, but we don't ever
[00:06:21.000 --> 00:06:23.000]   think or feel that way.
[00:06:23.000 --> 00:06:25.360]   No, we are the blessed ones.
[00:06:25.360 --> 00:06:28.960]   We get to be her parents and her family.
[00:06:28.960 --> 00:06:33.160]   I get to be daily confronted with the things that are disease-ridden in my own soul, thus
[00:06:33.160 --> 00:06:37.480]   with my own need for God, my Father.
[00:06:37.480 --> 00:06:42.080]   I get to hold her in my arms as her daddy and point her to Jesus.
[00:06:42.080 --> 00:06:44.640]   We are the blessed ones.
[00:06:44.640 --> 00:06:50.240]   A second reason is super personal to me, is something that most people who meet me don't
[00:06:50.240 --> 00:06:54.640]   know, that I too was adopted.
[00:06:54.640 --> 00:06:58.600]   That might be a surprise to some, but it really shouldn't be.
[00:06:58.600 --> 00:07:01.800]   The thing is, I wasn't an orphan in the way that most people think.
[00:07:01.800 --> 00:07:07.240]   No, I was in a condition far more serious, horrible, and desperate.
[00:07:07.240 --> 00:07:13.040]   I was a total stranger, a willful outsider, a slave of sin, an enemy of God, a zealous,
[00:07:13.040 --> 00:07:18.480]   rebellious blasphemer, an object of the just wrath of God.
[00:07:18.480 --> 00:07:20.040]   I had no desire for Him.
[00:07:20.040 --> 00:07:25.320]   At times, I intentionally expressed my hatred for Him.
[00:07:25.320 --> 00:07:30.720]   At other times, I only mechanically conformed to people's expectations of what a good boy
[00:07:30.720 --> 00:07:32.520]   should be.
[00:07:32.520 --> 00:07:38.720]   But then, God mercifully, mercifully interfered, intervened.
[00:07:38.720 --> 00:07:43.520]   He intercepted me on the path that I had been on, and I heard the good news of God's grace
[00:07:43.520 --> 00:07:44.520]   in the gospel.
[00:07:44.520 --> 00:07:50.880]   And as I listened, God regenerated my flat-lined, dead heart to believe.
[00:07:50.880 --> 00:07:56.360]   He convicted me of my sinfulness, my cosmic treason, my spiritual bankruptcy, my utter
[00:07:56.360 --> 00:08:03.720]   inability to save myself, and I stopped running away from God, and I ran to Him.
[00:08:03.720 --> 00:08:09.520]   Up until my conversion, I hadn't ever known happiness like that my entire life.
[00:08:09.520 --> 00:08:15.020]   And so I wanted to tell people, I had to tell people what happened to me and for me and
[00:08:15.020 --> 00:08:23.000]   how God had loved me and how God still loves me, not because of me, but despite me.
[00:08:23.000 --> 00:08:29.640]   And so I did tell people, and though I was not conscious of it yet at the time, I was
[00:08:29.640 --> 00:08:37.480]   also welcomed to heaven's praises into a new family, where God the Creator, the righteous
[00:08:37.480 --> 00:08:45.840]   judge became instantly, eternally, and only my perfect Father.
[00:08:45.840 --> 00:08:51.000]   It's precisely because of the privileges of God's adoption of us in Christ that my wife,
[00:08:51.000 --> 00:08:56.960]   Sandy, and I were strongly compelled to pray, ponder, plan, and pursue adoption, even in
[00:08:56.960 --> 00:09:01.920]   our dating fellowship time, in our engagement, and into our marriage.
[00:09:01.920 --> 00:09:07.720]   It has only served to deepen our understanding of the gospel, fueled our zeal to be salt
[00:09:07.720 --> 00:09:18.800]   and light, and allowed us to know more intimately God's great love for us and His church.
[00:09:18.800 --> 00:09:24.360]   D. F. Packer in Knowing God wrote, "To be right with God the judge is a great thing,
[00:09:24.360 --> 00:09:29.040]   but to be loved and cared for by God the Father is greater."
[00:09:29.040 --> 00:09:34.120]   John Piper adds, "Adoption is not good news if it only puts us in God's family, but not
[00:09:34.120 --> 00:09:37.120]   also in His arms."
[00:09:37.120 --> 00:09:43.800]   Turn with me, if you would, to the eighth chapter of Romans, Romans chapter 8, Romans
[00:09:43.800 --> 00:09:49.280]   chapter 8, starting from verse 14, Romans chapter 8.
[00:09:49.280 --> 00:09:55.560]   Due to time, of course, this is not all that could be said biblically about adoption, nor
[00:09:55.560 --> 00:10:02.640]   will it be a full exposition as might normally occur with me, but more of a doctrinal application
[00:10:02.640 --> 00:10:06.120]   for us on this Orphan Sunday.
[00:10:06.120 --> 00:10:11.820]   Romans chapter 8, starting from verse 14.
[00:10:11.820 --> 00:10:15.720]   This is the word of the Lord, "For all who are being led by the Spirit of God, these
[00:10:15.720 --> 00:10:18.040]   are sons of God.
[00:10:18.040 --> 00:10:24.320]   For you have not received the spirit of slavery, leading to fear again, but you have received
[00:10:24.320 --> 00:10:30.840]   the spirit of adoption, as sons by which we cry out, 'Abba, Father.'"
[00:10:30.840 --> 00:10:35.980]   The Spirit Himself testifies with our spirit that we are children of God.
[00:10:35.980 --> 00:10:41.960]   And if children, heirs also, heirs of God and fellow heirs with Christ, if indeed we
[00:10:41.960 --> 00:10:47.620]   suffer with Him so that we may also be glorified with Him.
[00:10:47.620 --> 00:10:52.500]   Verse 18, "For I consider the sufferings of this present time are not worthy to be compared
[00:10:52.500 --> 00:10:55.700]   with the glory that is to be revealed to us.
[00:10:55.700 --> 00:11:02.480]   For the anxious longing of the creation waits eagerly for the revealing of the sons of God.
[00:11:02.480 --> 00:11:07.040]   For the creation was subjected to futility not willingly, but because of Him who subjected
[00:11:07.040 --> 00:11:13.360]   it in hope that the creation itself also will be set free from its slavery to corruption
[00:11:13.360 --> 00:11:18.960]   into the freedom of the glory of the children of God.
[00:11:18.960 --> 00:11:23.000]   For we know that the whole creation groans and suffers the pains of childbirth together
[00:11:23.000 --> 00:11:24.600]   until now.
[00:11:24.600 --> 00:11:29.800]   And not only this, but also we ourselves, having the first fruits of the Spirit, even
[00:11:29.800 --> 00:11:38.040]   we ourselves groan within ourselves, waiting eagerly, waiting eagerly for our adoption
[00:11:38.040 --> 00:11:42.080]   as sons, the redemption of our body.
[00:11:42.080 --> 00:11:44.280]   Will you join with me in prayer?
[00:11:44.280 --> 00:11:47.680]   Let's pray.
[00:11:47.680 --> 00:11:57.200]   Father, this is your word, and so not a word of it fails, and every syllable of it is true.
[00:11:57.200 --> 00:12:00.480]   We need it more than our necessary food.
[00:12:00.480 --> 00:12:05.360]   For we do not live on bread alone, but on every word that proceeds from you.
[00:12:05.360 --> 00:12:11.480]   Let us know the pure gold of its truth, the sweetness of its application, the need of
[00:12:11.480 --> 00:12:17.040]   humility to penetrate the obvious cracks of our latent self-righteousness.
[00:12:17.040 --> 00:12:20.640]   Renew our minds with the matchless joy of freshly understanding your sovereign mercy
[00:12:20.640 --> 00:12:25.200]   that your kindness leads us to repentance.
[00:12:25.200 --> 00:12:32.280]   In your grace, do that life abundant and everlasting.
[00:12:32.280 --> 00:12:37.900]   Give us eyes to see as your objective revelation bears on our hearts so that by the work of
[00:12:37.900 --> 00:12:46.640]   your Spirit we might submit ourselves exhaustively and exclusively to you, right now and not
[00:12:46.640 --> 00:12:48.480]   some tomorrow.
[00:12:48.480 --> 00:12:51.640]   Engrave in us that we are not our own, that we've been crucified with Christ and we no
[00:12:51.640 --> 00:12:55.840]   longer live, but Christ now lives in us.
[00:12:55.840 --> 00:13:00.800]   Awaken us to the fact that this life is short, that we have no business worshipping the idol
[00:13:00.800 --> 00:13:06.040]   of convenience, the idol of natural children or no children, the false gods of our own
[00:13:06.040 --> 00:13:08.200]   plans.
[00:13:08.200 --> 00:13:13.080]   To repent of such spiritual adultery, that our new identity is reason to prioritize true
[00:13:13.080 --> 00:13:18.760]   priorities to lay our treasures in heaven and not in our stuff.
[00:13:18.760 --> 00:13:26.120]   That we both ought to and that we now can walk in a manner worthy of the gospel.
[00:13:26.120 --> 00:13:30.400]   Overwhelm us by your greatness and grace into the white-hot affection of genuine worship
[00:13:30.400 --> 00:13:35.080]   and daily discipleship as we consider our own adoption.
[00:13:35.080 --> 00:13:36.160]   We give you homage.
[00:13:36.160 --> 00:13:39.080]   We bow beneath your good authority.
[00:13:39.080 --> 00:13:43.120]   Encourage your people greatly this morning.
[00:13:43.120 --> 00:13:49.720]   We entrust ourselves into your perfect, timely, and fatherly care this Lord's Day.
[00:13:49.720 --> 00:13:53.520]   In Jesus' name, for Jesus' sake we pray, amen.
[00:13:53.520 --> 00:14:02.760]   Can I get my water bottle?
[00:14:02.760 --> 00:14:10.600]   I don't think I'm used to preaching two services, so.
[00:14:10.600 --> 00:14:15.840]   All the more props to your pastors.
[00:14:15.840 --> 00:14:17.280]   Well three things today.
[00:14:17.280 --> 00:14:22.360]   Number one, I want us to see the gospel importance of our adoption.
[00:14:22.360 --> 00:14:24.820]   The gospel importance of our adoption.
[00:14:24.820 --> 00:14:26.720]   That we have been granted new freedom.
[00:14:26.720 --> 00:14:29.920]   We've been granted new freedom.
[00:14:29.920 --> 00:14:32.440]   The gospel importance of our adoption.
[00:14:32.440 --> 00:14:36.320]   Adoption is at the heart of the gospel.
[00:14:36.320 --> 00:14:40.080]   That we're saved by God, from God, to know God.
[00:14:40.080 --> 00:14:45.320]   That though we deserve punishment as rebels, we experience the greatest joy of all possible
[00:14:45.320 --> 00:14:47.160]   joys.
[00:14:47.160 --> 00:14:51.600]   Receiving the right to become children of God.
[00:14:51.600 --> 00:14:56.320]   He redeems us from slavery to sin and Satan from the broad road that leads to destruction.
[00:14:56.320 --> 00:15:00.840]   And he frees us, again not because of us, but despite us.
[00:15:00.840 --> 00:15:06.800]   Martin Lloyd-Jones once asked, "For some inexplicable reason, it is a doctrine, the
[00:15:06.800 --> 00:15:12.760]   doctrine of adoption, about which we very rarely hear about.
[00:15:12.760 --> 00:15:18.520]   When was the last time, if ever," he asked, "that you heard a sermon on the doctrine
[00:15:18.520 --> 00:15:19.520]   of adoption?"
[00:15:19.520 --> 00:15:20.520]   G.I.
[00:15:20.520 --> 00:15:22.080]   Packer went even further.
[00:15:22.080 --> 00:15:23.400]   I love what he wrote.
[00:15:23.400 --> 00:15:29.480]   He says, "If you want to judge how well a person understands Christianity, find out
[00:15:29.480 --> 00:15:34.720]   how much he makes of the thought of being God's child and having God as his father.
[00:15:34.720 --> 00:15:38.680]   If this is not the thought that prompts and controls his worship and prayers and his whole
[00:15:38.680 --> 00:15:45.200]   outlook on life, he says it means that he does not understand Christianity very well
[00:15:45.200 --> 00:15:47.880]   at all."
[00:15:47.880 --> 00:15:52.400]   Our adoption is vital, transforming truth.
[00:15:52.400 --> 00:15:57.800]   Paul declares in our text, in verses 14 to 15, "For all who are being led by the Spirit
[00:15:57.800 --> 00:16:01.600]   of God, these are sons of God, for yet not received the spirit of slavery leading to
[00:16:01.600 --> 00:16:02.600]   fear again."
[00:16:02.600 --> 00:16:08.800]   Now, one of the distinguishing marks of true believers in this letter to the Romans is
[00:16:08.800 --> 00:16:12.960]   that the Spirit of God lives in them and leads them.
[00:16:12.960 --> 00:16:17.600]   So a person is either controlled by the flesh or by the Spirit, Paul says, and he's a child
[00:16:17.600 --> 00:16:20.320]   of God or a child of Satan.
[00:16:20.320 --> 00:16:25.400]   Now we might not like to hear that, but the Bible says it's either one or the other.
[00:16:25.400 --> 00:16:30.960]   And by nature, the former is true and by grace alone, the latter becomes true.
[00:16:30.960 --> 00:16:35.360]   Romans 1, we know, states that everyone believes that God exists.
[00:16:35.360 --> 00:16:42.280]   So there are really genuinely, the actuality is there's really, there are no true atheists
[00:16:42.280 --> 00:16:44.640]   or agnostics.
[00:16:44.640 --> 00:16:49.120]   Rather man in his, natural man in his prideful independence instead chooses to suppress the
[00:16:49.120 --> 00:16:51.800]   truth in unrighteousness.
[00:16:51.800 --> 00:16:56.960]   Prefers to live in denial and lie to himself, trying to escape any notion of accountability,
[00:16:56.960 --> 00:17:03.880]   even while ironically holding everyone else but himself to account.
[00:17:03.880 --> 00:17:08.640]   Giving God the hand, he questions God's greatness and goodness only to exalt his own supposed
[00:17:08.640 --> 00:17:10.280]   greatness and goodness.
[00:17:10.280 --> 00:17:15.080]   And that's what we are seeing all around us in our society.
[00:17:15.080 --> 00:17:22.440]   Romans 3, 23 says, "We've all sinned," past tense, "and fall short," present tense, "of
[00:17:22.440 --> 00:17:25.920]   the glory of God."
[00:17:25.920 --> 00:17:33.600]   Romans 5, 6 adds that the sinner is not needing help, but is absolutely helpless.
[00:17:33.600 --> 00:17:39.760]   To be helpless apart from God is also to be hopeless apart from God.
[00:17:39.760 --> 00:17:44.460]   The late David Pallison said it well, "The core insanity of the human heart is that we
[00:17:44.460 --> 00:17:46.520]   violate the first great commandment."
[00:17:46.520 --> 00:17:54.640]   And he says this, "We will love anything except God unless our madness is checked by
[00:17:54.640 --> 00:17:55.640]   grace."
[00:17:55.640 --> 00:18:00.440]   But the good news is God has made a way in his love.
[00:18:00.440 --> 00:18:05.400]   From the moment of the fall, God promised in Genesis 3, 15, the proto-evangelium, a
[00:18:05.400 --> 00:18:08.840]   future seed who would crush the head of the serpent.
[00:18:08.840 --> 00:18:12.560]   That seed was the promised Messiah.
[00:18:12.560 --> 00:18:16.220]   And over and over again in the redemptive saga, the human lineage of the Messiah was
[00:18:16.220 --> 00:18:21.500]   on the verge of extinction against all odds, humanly speaking.
[00:18:21.500 --> 00:18:26.800]   But that line was sovereignly preserved all the way to our Lord Jesus.
[00:18:26.800 --> 00:18:28.940]   This sovereign rescue was no accident.
[00:18:28.940 --> 00:18:35.440]   This redemption was no plan B. Turn with me, if you will, to Ephesians chapter 1.
[00:18:35.440 --> 00:18:39.880]   Ephesians chapter 1, looking at verse 4.
[00:18:39.880 --> 00:18:44.080]   Ephesians chapter 1, verse 4.
[00:18:44.080 --> 00:18:50.200]   There it declares, Paul says, "He chose us in Him."
[00:18:50.200 --> 00:18:54.880]   Ephesians 1, verse 4, "He chose us in Him before the foundation of the world, that we
[00:18:54.880 --> 00:18:57.900]   will be holy and blameless before Him.
[00:18:57.900 --> 00:19:02.960]   In love He predestined us to," speak to me, what does it say?
[00:19:02.960 --> 00:19:03.960]   Adoption, right?
[00:19:03.960 --> 00:19:08.860]   "He predestined us to adoption as sons through Jesus Christ Himself according to the kind
[00:19:08.860 --> 00:19:13.340]   intention of His will, to the praise of the glory of His grace which He freely bestowed
[00:19:13.340 --> 00:19:15.040]   on us in the Beloved."
[00:19:15.040 --> 00:19:21.440]   Interestingly, John Stott comments on this text.
[00:19:21.440 --> 00:19:28.000]   He says, "He destined us for a higher dignity that even creation would bestow upon us.
[00:19:28.000 --> 00:19:32.840]   He intended to adopt us."
[00:19:32.840 --> 00:19:40.280]   We were loved long before we actually experienced God's love.
[00:19:40.280 --> 00:19:48.840]   Creation was loved in my family's heart long before she ever came into our lives physically.
[00:19:48.840 --> 00:19:52.680]   Romans 5, verse 8 says, "God demonstrates His own love for us in this, that while we
[00:19:52.680 --> 00:19:56.440]   are still sinners, Christ died for us."
[00:19:56.440 --> 00:20:01.200]   Galatians 4, verse 4-5 declares, "But when the fullness of the time came, God sent forth
[00:20:01.200 --> 00:20:11.640]   His Son, born of a woman, born under the law, so that purpose, so that He might redeem those
[00:20:11.640 --> 00:20:20.280]   who are under the law, that purpose, we might receive the adoption as sons."
[00:20:20.280 --> 00:20:26.560]   In other words, our redemption rests not in our choosing Him, but in His choosing us.
[00:20:26.560 --> 00:20:30.640]   Is that not a picture of what adoption looks like?
[00:20:30.640 --> 00:20:36.560]   Now not in a creeper way, but sometimes when my kids are asleep, I quietly go into their
[00:20:36.560 --> 00:20:45.540]   room and I watch them sleep peacefully and stare at them and admire them, right?
[00:20:45.540 --> 00:20:49.440]   And then I pray for them.
[00:20:49.440 --> 00:20:52.040]   My kids were here in the first service, so they're a little weird out when they heard
[00:20:52.040 --> 00:20:58.120]   that, but...
[00:20:58.120 --> 00:21:02.520]   And each of them is different and special.
[00:21:02.520 --> 00:21:07.200]   When I look at my daughter, Kristen, and I don't think a week doesn't go by where I think
[00:21:07.200 --> 00:21:14.480]   this, I look at her and I wonder how different her life might have been and how different
[00:21:14.480 --> 00:21:17.960]   my life might have been.
[00:21:17.960 --> 00:21:22.200]   Perhaps she might have perpetuated a generational cycle of dysfunction, sin, and heartache,
[00:21:22.200 --> 00:21:28.160]   private things I will not share, but of course I cannot know for sure.
[00:21:28.160 --> 00:21:32.680]   But her former heritage had been spiraling down long before she ever came into the world
[00:21:32.680 --> 00:21:36.920]   and it threatened to pull her underneath its waves.
[00:21:36.920 --> 00:21:42.240]   Today she is just our adorable daughter and Toby and Piper's younger sister, but like
[00:21:42.240 --> 00:21:45.860]   the rest of us, she is also a sinner.
[00:21:45.860 --> 00:21:53.600]   So sometimes she can be a very difficult person to live with, like her daddy.
[00:21:53.600 --> 00:21:59.160]   That makes me pause and ponder with gratitude, where would I be right now if my father in
[00:21:59.160 --> 00:22:04.280]   heaven didn't adopt me?
[00:22:04.280 --> 00:22:05.280]   I don't know.
[00:22:05.280 --> 00:22:09.920]   I think I would be in prison or dead or trying to make it rich and find my happiness and
[00:22:09.920 --> 00:22:15.100]   possessions and probably be miserable or I'd be deceived about my supposed happiness, which
[00:22:15.100 --> 00:22:18.180]   would be much worse.
[00:22:18.180 --> 00:22:24.320]   But I think of those possibilities as a man filled with deeply suppressed rage as a youth,
[00:22:24.320 --> 00:22:27.280]   momentarily erupting but always growing.
[00:22:27.280 --> 00:22:31.320]   I sometimes think apart from God's grace and intervention I would have eventually reaped
[00:22:31.320 --> 00:22:38.420]   the consequences of my violent heart and ended up dead or in prison.
[00:22:38.420 --> 00:22:41.920]   I didn't seek fights, but I welcomed them.
[00:22:41.920 --> 00:22:48.440]   I'd be far from his blessing, but that wasn't God's will.
[00:22:48.440 --> 00:22:53.480]   Romans 8.1, "Therefore there is now no condemnation for those who are in Christ Jesus.
[00:22:53.480 --> 00:22:55.320]   My debt is fully paid in Christ.
[00:22:55.320 --> 00:22:56.400]   I am justified.
[00:22:56.400 --> 00:22:58.080]   I have no criminal record.
[00:22:58.080 --> 00:23:05.440]   I've been adopted as one of his children and the Holy Spirit lives in me."
[00:23:05.440 --> 00:23:09.200]   Romans 8.28, many of us know that text.
[00:23:09.200 --> 00:23:10.200]   That is his totality.
[00:23:10.200 --> 00:23:18.240]   Let me remind us that it says, "All things are working together for," I'll put it personal
[00:23:18.240 --> 00:23:19.440]   for me, "my good.
[00:23:19.440 --> 00:23:24.160]   For I've been predestined, called, justified, and being sanctified will be glorified so
[00:23:24.160 --> 00:23:30.400]   that one day I will be as," the next verse says, verse 29, "be conformed to the image
[00:23:30.400 --> 00:23:33.620]   of his Son."
[00:23:33.620 --> 00:23:39.720]   So that as an adopted one, the last verse of this chapter, verse 39, "so that nothing
[00:23:39.720 --> 00:23:44.640]   will be able to separate me from the love of God."
[00:23:44.640 --> 00:23:50.160]   John MacArthur wrote, "The old life of the adopted person is completely obliterated.
[00:23:50.160 --> 00:23:52.560]   It is as if he was born the day he was adopted.
[00:23:52.560 --> 00:23:56.640]   He is like a new person who just started his life."
[00:23:56.640 --> 00:24:02.520]   Thomas Watson, in contemplating our adoption, weeped, "God has a son of his own and such
[00:24:02.520 --> 00:24:04.320]   a son."
[00:24:04.320 --> 00:24:07.160]   How wonderful God's love in adopting us.
[00:24:07.160 --> 00:24:15.040]   And Watson says this, "We needed a father but he did not need sons."
[00:24:15.040 --> 00:24:20.860]   Number two, want us to see the glorious identification in our adoption.
[00:24:20.860 --> 00:24:25.880]   The glorious identification in our adoption that we've been given new family.
[00:24:25.880 --> 00:24:26.880]   The glorious identification.
[00:24:26.880 --> 00:24:30.440]   We've been given new family.
[00:24:30.440 --> 00:24:36.000]   Romans 8, verse 15, "But you have received the spirit of adoption as sons by which we
[00:24:36.000 --> 00:24:39.360]   cry out, 'Abba, Father.'"
[00:24:39.360 --> 00:24:44.280]   It's an affectionate term but it's a reverential one nevertheless.
[00:24:44.280 --> 00:24:50.540]   I don't think daddy exactly captures it but there's a spirit of that.
[00:24:50.540 --> 00:24:54.160]   But there is affection, there is love.
[00:24:54.160 --> 00:24:58.880]   The spirit says, testifies with our spirit that we are children of God.
[00:24:58.880 --> 00:25:04.960]   Verse 16, "The humble request for forgiveness becomes the intimate confidence of belonging
[00:25:04.960 --> 00:25:11.160]   that we could affectionately say without any fear of rejection, 'Abba, Father.'"
[00:25:11.160 --> 00:25:15.440]   He approaches the throne of grace with confidence.
[00:25:15.440 --> 00:25:19.760]   There's no spirit of fear, no spirit of slavery, but the spirit of sonship, the spirit of acceptance
[00:25:19.760 --> 00:25:27.080]   and assurance, the spirit of intimate access, of really belonging that he's my father.
[00:25:27.080 --> 00:25:30.840]   There's an old story of a boy who was the son of the town's judge and his friends, they
[00:25:30.840 --> 00:25:38.320]   wanted to do something awful, namely to steal something from the local store.
[00:25:38.320 --> 00:25:40.160]   But he didn't want to do it.
[00:25:40.160 --> 00:25:45.840]   So his friends teased him saying, "You won't do it because you're afraid your father, the
[00:25:45.840 --> 00:25:48.840]   judge, will hurt you."
[00:25:48.840 --> 00:25:55.160]   Suddenly that devoted son responded, "I'm not afraid my father will hurt me, I'm afraid
[00:25:55.160 --> 00:25:56.160]   to hurt my father."
[00:25:56.160 --> 00:26:02.600]   See, that, that, that, beyond that response is the loving spirit of devoted sonship.
[00:26:02.600 --> 00:26:05.920]   That's the heart of all of us as believers, is it not?
[00:26:05.920 --> 00:26:10.640]   As adoptive parents, my wife and I have received all kinds of strange looks, to be honest.
[00:26:10.640 --> 00:26:16.200]   You know, they double take, you know, when my wife comes and they see our child doesn't
[00:26:16.200 --> 00:26:21.520]   look as Asian.
[00:26:21.520 --> 00:26:25.880]   And we've been asked all kinds of insensitive questions.
[00:26:25.880 --> 00:26:32.680]   I don't usually think it's out of any malice, which only reveals my own need for grace to
[00:26:32.680 --> 00:26:35.040]   respond with grace.
[00:26:35.040 --> 00:26:39.180]   It doesn't bother me now.
[00:26:39.180 --> 00:26:45.960]   But let me suggest it reveals a flawed understanding that many believers have about the gospel.
[00:26:45.960 --> 00:26:49.240]   Inevitably someone will say to us, "Oh, she's adopted?
[00:26:49.240 --> 00:26:50.720]   I thought so.
[00:26:50.720 --> 00:26:54.600]   So are those your real children?"
[00:26:54.600 --> 00:27:03.920]   To which Sandy and I will respond, "They're all our real children."
[00:27:03.920 --> 00:27:06.280]   That is to say, Kristen isn't a second-class child.
[00:27:06.280 --> 00:27:11.440]   She's fully our child, truly our daughter, truly belongs, equally beloved as our birth
[00:27:11.440 --> 00:27:13.680]   children, so we're fine.
