
[00:00:00.000 --> 00:00:05.000]   [ Silence ]
[00:03:22.840 --> 00:03:25.640]   And so the first thing I did is I went to India with him.
[00:03:25.640 --> 00:03:28.600]   To be honest, I didn't go to India
[00:03:28.600 --> 00:03:30.640]   for ministry purpose necessarily.
[00:03:30.640 --> 00:03:33.320]   I went to India to really connect with him
[00:03:33.320 --> 00:03:35.160]   and with the Southern Baptist.
[00:03:35.160 --> 00:03:38.320]   And I came back, seeing what was happening over there,
[00:03:38.320 --> 00:03:40.440]   and then that's how we got involved with India.
[00:03:40.440 --> 00:03:43.600]   And so since then, our involvement with the Southern Baptist
[00:03:43.600 --> 00:03:45.560]   is, it's still minimal,
[00:03:46.480 --> 00:03:50.760]   but he's always trying to get our church more involved
[00:03:50.760 --> 00:03:52.920]   because he wants to plant churches like us
[00:03:52.920 --> 00:03:55.200]   in Southern California.
[00:03:55.200 --> 00:03:58.120]   So whenever he sees somebody who's like-minded,
[00:03:58.120 --> 00:04:01.040]   he usually calls me and asks me to kind of mentor
[00:04:01.040 --> 00:04:03.200]   or meet with these pastors to help them.
[00:04:03.200 --> 00:04:07.280]   So there was a church down in Corona Del Mar,
[00:04:07.280 --> 00:04:09.200]   and he actually taught in, yeah.
[00:04:09.200 --> 00:04:12.760]   So Alex went and helped with the worship of that church.
[00:04:12.760 --> 00:04:16.360]   And so he used to be a professor at Masters at Southern,
[00:04:16.360 --> 00:04:19.920]   at Talbot, and so he's comes highly credentialed,
[00:04:19.920 --> 00:04:22.200]   and he wrote commentaries for Baker Commentary
[00:04:22.200 --> 00:04:23.920]   for First and Second Chronicles.
[00:04:23.920 --> 00:04:25.480]   And so like-minded brother,
[00:04:25.480 --> 00:04:28.880]   so we try to help him with the church planting.
[00:04:28.880 --> 00:04:30.280]   And so in that way,
[00:04:30.280 --> 00:04:33.280]   that's how I was involved with the denomination.
[00:04:33.280 --> 00:04:35.960]   And so even now, Southern Baptist,
[00:04:35.960 --> 00:04:39.000]   the way that they are organized is local church autonomy.
[00:04:39.000 --> 00:04:41.320]   So it's not like a typical Presbyterian church
[00:04:41.320 --> 00:04:43.160]   where you have the session,
[00:04:43.160 --> 00:04:45.200]   and you have all the elders meet together,
[00:04:45.200 --> 00:04:46.200]   and they vote for things,
[00:04:46.200 --> 00:04:48.080]   and it's kind of like Congress.
[00:04:48.080 --> 00:04:51.360]   So all the other churches are under this denominational head
[00:04:51.360 --> 00:04:56.240]   and then they give like annual dues to them
[00:04:56.240 --> 00:04:57.680]   based upon how many membership you have.
[00:04:57.680 --> 00:04:59.240]   Southern Baptist has none of that.
[00:04:59.240 --> 00:05:00.960]   Southern Baptist is local church autonomy.
[00:05:00.960 --> 00:05:04.640]   So it's the closest thing to being non-denominational.
[00:05:04.640 --> 00:05:06.240]   And so it's really voluntary.
[00:05:06.240 --> 00:05:08.680]   So if we feel like this is gonna be helpful,
[00:05:08.680 --> 00:05:09.920]   so we donate money,
[00:05:09.920 --> 00:05:12.160]   and then we kind of collectively do things together,
[00:05:12.160 --> 00:05:14.200]   but it's completely voluntary.
[00:05:14.200 --> 00:05:16.440]   So what we've been doing up to this point is
[00:05:16.440 --> 00:05:19.320]   because we've been helping out,
[00:05:19.320 --> 00:05:21.360]   or we've been kind of involved with the local chapter
[00:05:21.360 --> 00:05:24.440]   of the Southern Baptist because of Dr. Proud,
[00:05:24.440 --> 00:05:27.240]   we support the local chapter.
[00:05:27.240 --> 00:05:29.960]   So we give anywhere from 200 plus per month
[00:05:29.960 --> 00:05:33.760]   to our denomination locally to help like-minded churches
[00:05:33.760 --> 00:05:34.800]   getting planted.
[00:05:34.800 --> 00:05:36.400]   Okay, so even if they're not connected with us,
[00:05:36.400 --> 00:05:37.840]   we get involved with that.
[00:05:37.840 --> 00:05:41.400]   If there's any kind of like emergency relief,
[00:05:41.400 --> 00:05:43.080]   like a flood that happened in Katrina
[00:05:43.080 --> 00:05:44.520]   and all this other stuff,
[00:05:44.520 --> 00:05:47.480]   instead of just donating to just any group,
[00:05:47.480 --> 00:05:51.280]   we usually take offering or take a part of our finances
[00:05:51.280 --> 00:05:53.600]   and we donate it through that group.
[00:05:53.600 --> 00:05:56.240]   So at least we know that they're Christians who,
[00:05:56.240 --> 00:05:59.800]   at least in Bible, theology,
[00:05:59.800 --> 00:06:04.080]   they're in like-minded context in our denomination.
[00:06:04.080 --> 00:06:07.040]   And so Southern Baptist has a very elaborate program
[00:06:07.040 --> 00:06:09.560]   where they are able to respond to emergency.
[00:06:09.560 --> 00:06:12.640]   So they will go and find a Baptist church in that area
[00:06:12.640 --> 00:06:13.880]   and work through that church
[00:06:13.880 --> 00:06:15.920]   to help the people who've been hurt.
[00:06:15.920 --> 00:06:17.440]   That's also in Haiti.
[00:06:17.440 --> 00:06:19.880]   I mean, Southern Baptist is the largest denomination
[00:06:19.880 --> 00:06:20.840]   in the world.
[00:06:20.840 --> 00:06:24.360]   It's also the largest mission sending group in the world.
[00:06:24.360 --> 00:06:29.360]   So it's larger than any other mission organization worldwide.
[00:06:29.360 --> 00:06:31.640]   Most people don't know because it's denominational.
[00:06:31.640 --> 00:06:32.760]   So if you're not Southern Baptist,
[00:06:32.760 --> 00:06:34.560]   you probably are not aware of it.
[00:06:34.560 --> 00:06:37.280]   And so because of their mass network,
[00:06:37.280 --> 00:06:39.240]   anywhere in the world we wanna get into,
[00:06:39.240 --> 00:06:40.880]   all we have to do is call the denominations,
[00:06:40.880 --> 00:06:43.520]   do you know somebody there, and they'll connect us.
[00:06:43.520 --> 00:06:46.880]   So as you know, Harry is preparing to go out to China.
[00:06:46.880 --> 00:06:48.000]   And so we made contact
[00:06:48.000 --> 00:06:49.840]   with a Southern Baptist local guy there.
[00:06:49.840 --> 00:06:52.360]   And so Harry has already met up with him.
[00:06:52.360 --> 00:06:53.500]   And so he's gonna be the one
[00:06:53.500 --> 00:06:55.880]   who's gonna walk us through the town and show us,
[00:06:55.880 --> 00:06:57.840]   this is what's going on, these are the needs.
[00:06:57.840 --> 00:07:01.600]   And so Harry is not gonna be underneath that umbrella,
[00:07:01.600 --> 00:07:03.760]   but he's getting support from them
[00:07:03.760 --> 00:07:05.200]   to be able to initially get in.
[00:07:05.200 --> 00:07:06.480]   There's gonna be a community there,
[00:07:06.480 --> 00:07:09.240]   other missionaries who've kind of worked in that area
[00:07:09.240 --> 00:07:10.920]   so that he's not going in completely blind.
[00:07:10.920 --> 00:07:13.160]   So that's our involvement with the Southern Baptist,
[00:07:13.160 --> 00:07:15.120]   it's kind of mutual cooperation.
[00:07:15.120 --> 00:07:17.440]   And then because our pastor Alex,
[00:07:17.440 --> 00:07:21.160]   he's gonna be completely under the Southern Baptist,
[00:07:21.160 --> 00:07:22.760]   and he's gonna be under their care
[00:07:22.760 --> 00:07:25.920]   and under their accountability and under their support.
[00:07:25.920 --> 00:07:28.600]   So up to now, the way that we've been doing missions
[00:07:28.600 --> 00:07:31.360]   is we were raising up, we were raising up our missionaries
[00:07:31.360 --> 00:07:35.040]   and were directly connected under us.
[00:07:35.040 --> 00:07:37.320]   But we realized through the last four or five years
[00:07:37.320 --> 00:07:39.880]   of doing ministry out in China,
[00:07:39.880 --> 00:07:42.880]   it's too hard for us to support them from here,
[00:07:42.880 --> 00:07:44.600]   whether it's financial,
[00:07:44.600 --> 00:07:46.960]   whether it's spiritual or accountability.
[00:07:46.960 --> 00:07:49.000]   And so they need to have a community there
[00:07:49.000 --> 00:07:51.300]   and we're just too far removed.
[00:07:51.300 --> 00:07:54.280]   And so even though they are getting into a group
[00:07:54.280 --> 00:07:57.280]   where it's just kind of, with the Southern Baptist,
[00:07:57.280 --> 00:08:00.040]   they could be reformed, they can be charismatic,
[00:08:00.040 --> 00:08:02.880]   they could be seeker-friendly, they could be Calvinist,
[00:08:02.880 --> 00:08:04.320]   they're all over the place.
[00:08:04.320 --> 00:08:05.520]   But one thing that we do know
[00:08:05.520 --> 00:08:07.680]   is they do believe in the inerrancy of God's word,
[00:08:07.680 --> 00:08:11.560]   and they believe the doctrines are theologically sound.
[00:08:11.560 --> 00:08:13.800]   How they practice that is all over the place.
[00:08:13.800 --> 00:08:17.600]   The reason why I committed to the Southern Baptist
[00:08:17.600 --> 00:08:19.860]   is because when I studied the history
[00:08:19.860 --> 00:08:22.040]   of the Southern Baptist doctrine,
[00:08:22.040 --> 00:08:23.760]   I didn't know that when I was
[00:08:23.760 --> 00:08:27.280]   at the Southern Baptist Church in Irvine.
[00:08:27.280 --> 00:08:30.360]   But as I was preparing to figure out which denomination
[00:08:30.360 --> 00:08:33.680]   where I felt the most akin to in theology,
[00:08:33.680 --> 00:08:35.560]   I realized that the Southern Baptist
[00:08:35.560 --> 00:08:39.620]   historically traces itself back to Spurgeon.
[00:08:39.620 --> 00:08:42.320]   So Spurgeon, I think it was 1687,
[00:08:42.320 --> 00:08:46.680]   he basically refined, or I don't know,
[00:08:46.680 --> 00:08:48.240]   the right word for that is,
[00:08:48.240 --> 00:08:51.240]   he basically took the Westminster Confession, Catechism,
[00:08:51.240 --> 00:08:53.140]   and he's kind of adopted that
[00:08:53.140 --> 00:08:56.320]   into the Southern Baptist framework of thinking.
[00:08:56.320 --> 00:08:59.680]   So I would say 95% of that is probably similar
[00:08:59.680 --> 00:09:01.780]   to the Westminster Catechism,
[00:09:01.780 --> 00:09:04.240]   except for the baptism part, right?
[00:09:04.240 --> 00:09:07.640]   And so I felt like that's me, I'm a Reformed Baptist,
[00:09:07.640 --> 00:09:10.600]   if you were to ask specifically what you believe.
[00:09:10.600 --> 00:09:12.960]   So I didn't commit to the Southern Baptist
[00:09:12.960 --> 00:09:15.320]   because I looked at what's going on today
[00:09:15.320 --> 00:09:17.200]   and felt like I can relate to that.
[00:09:17.200 --> 00:09:19.720]   I did it more for historical purposes.
[00:09:19.720 --> 00:09:21.660]   But within the last 10 years,
[00:09:21.660 --> 00:09:26.780]   I've been ordained maybe about 18 years,
[00:09:26.780 --> 00:09:29.000]   but the last 10 years, there was a resurgence
[00:09:29.000 --> 00:09:31.440]   of Reformed theology within the Southern Baptist.
[00:09:31.440 --> 00:09:33.880]   So when I first became ordained, there was almost nothing.
[00:09:33.880 --> 00:09:36.720]   In fact, they were actually headed down the liberal path.
[00:09:36.720 --> 00:09:39.800]   The last 10 years, the Reformed portion
[00:09:39.800 --> 00:09:41.440]   of the Southern Baptist have been reviving
[00:09:41.440 --> 00:09:43.080]   and they're actually growing.
[00:09:43.080 --> 00:09:45.720]   And so more and more, there's other Southern Baptists
[00:09:45.720 --> 00:09:47.960]   that are meeting, or we're partnering with,
[00:09:47.960 --> 00:09:49.360]   and having fellowship with,
[00:09:49.360 --> 00:09:51.200]   and other churches are popping up
[00:09:51.200 --> 00:09:53.480]   that have very similar theology as us.
[00:09:53.480 --> 00:09:55.980]   A lot of that has to do with the Southern Seminary,
[00:09:55.980 --> 00:09:57.360]   with Al Mohler and that group
[00:09:57.360 --> 00:09:58.680]   that's kind of pushing that agenda.
[00:09:58.680 --> 00:10:02.480]   Al Mohler, David Platt, Mark Dever,
[00:10:02.480 --> 00:10:04.720]   these are the guys who are up in the forefront
[00:10:04.720 --> 00:10:08.320]   that we feel like we have a fellowship with.
[00:10:08.320 --> 00:10:10.360]   So that's the background of Southern Baptist.
[00:10:10.360 --> 00:10:13.900]   And then once Pastor Alex comes under that,
[00:10:13.900 --> 00:10:15.960]   our mission offering, at least a portion
[00:10:15.960 --> 00:10:17.240]   of our mission offering is gonna be sent
[00:10:17.240 --> 00:10:19.720]   to the Southern Baptist because they're supporting him,
[00:10:19.720 --> 00:10:21.120]   so we're gonna support them.
[00:10:21.120 --> 00:10:28.240]   This was asked by somebody who's coming
[00:10:28.240 --> 00:10:31.000]   to come to the next session,
[00:10:31.000 --> 00:10:32.920]   so I'm not gonna answer this.
[00:10:32.920 --> 00:10:40.720]   Our church, when it's asking the question,
[00:10:40.720 --> 00:10:42.680]   First Timothy three, is talking about
[00:10:42.680 --> 00:10:45.160]   the qualifications of an elder and deacon.
[00:10:45.160 --> 00:10:47.080]   If you look at First Timothy chapter two,
[00:10:47.080 --> 00:10:50.040]   at the end of it, it clearly spells out
[00:10:50.040 --> 00:10:53.320]   that women should not be leading or teaching.
[00:10:53.320 --> 00:10:56.840]   And so our church practices male leadership.
[00:10:56.840 --> 00:10:59.440]   So we do not have female elders in the church.
[00:10:59.440 --> 00:11:03.640]   I'm not gonna go too deep into this
[00:11:03.640 --> 00:11:06.260]   because it's gonna require a whole session
[00:11:06.260 --> 00:11:09.680]   for me to explain about that text.
[00:11:09.680 --> 00:11:11.240]   This is one of the texts, like when I first
[00:11:11.240 --> 00:11:15.680]   became, went to school and I was a Bible major,
[00:11:15.680 --> 00:11:18.040]   this is the first text that I wrestled over with
[00:11:18.040 --> 00:11:20.000]   because it didn't make any sense to me.
[00:11:20.000 --> 00:11:24.560]   I naturally tend to root for the underdog.
[00:11:25.480 --> 00:11:27.040]   And I felt, when I first came up to that,
[00:11:27.040 --> 00:11:29.000]   it's like, oh, how can this be fair?
[00:11:29.000 --> 00:11:30.160]   Why would it be?
[00:11:30.160 --> 00:11:34.280]   In fact, the first pastor that I admired
[00:11:34.280 --> 00:11:37.480]   and I actually traveled to hear was a female pastor.
[00:11:37.480 --> 00:11:39.000]   So I used to drive down to the valley
[00:11:39.000 --> 00:11:40.440]   just to listen to her.
[00:11:40.440 --> 00:11:43.000]   And then when I was doing a paper,
[00:11:43.000 --> 00:11:45.080]   and then initially I thought, okay,
[00:11:45.080 --> 00:11:46.920]   I'm gonna really study this to make sure
[00:11:46.920 --> 00:11:48.720]   that this is not just prejudice.
[00:11:48.720 --> 00:11:51.840]   And after studying and presenting the paper,
[00:11:51.840 --> 00:11:53.000]   I came to the conclusion like,
[00:11:53.000 --> 00:11:55.040]   this is clearly taught in the scripture.
[00:11:55.520 --> 00:11:56.960]   And then I had to reconcile, well,
[00:11:56.960 --> 00:11:59.360]   then how do I believe this?
[00:11:59.360 --> 00:12:00.560]   How do I practice this?
[00:12:00.560 --> 00:12:04.680]   Just to give you a short version
[00:12:04.680 --> 00:12:06.360]   of how I came to the conclusion
[00:12:06.360 --> 00:12:07.560]   of why this is being practiced.
[00:12:07.560 --> 00:12:11.560]   In the end, I had to learn to submit
[00:12:11.560 --> 00:12:15.840]   what my sense of fairness is with God's word.
[00:12:15.840 --> 00:12:18.520]   Because everything that I know to be fair
[00:12:18.520 --> 00:12:20.440]   has also been tainted by sin.
[00:12:20.440 --> 00:12:23.280]   And so I had a conversation recently
[00:12:23.280 --> 00:12:24.960]   with somebody who asked that same question
[00:12:24.960 --> 00:12:26.600]   about like, how can that be fair?
[00:12:26.600 --> 00:12:30.360]   Because we naturally think if men are in charge
[00:12:30.360 --> 00:12:33.080]   and women are in a submissive role,
[00:12:33.080 --> 00:12:35.760]   then how is that fair to the women,
[00:12:35.760 --> 00:12:39.400]   especially after all the years of suffrage
[00:12:39.400 --> 00:12:43.000]   and treating for fairness, equal pay,
[00:12:43.000 --> 00:12:46.360]   which all of these things are necessary things.
[00:12:46.360 --> 00:12:49.200]   And I think good things for the society.
[00:12:49.200 --> 00:12:51.320]   And when you come to a church,
[00:12:51.320 --> 00:12:55.560]   I mean, it just seems so backward to even say that, right?
[00:12:55.560 --> 00:12:59.040]   But the way that I've reconciled,
[00:12:59.040 --> 00:13:01.040]   that it made sense to me was,
[00:13:01.040 --> 00:13:04.040]   even in our culture,
[00:13:04.040 --> 00:13:05.720]   if somebody rich comes into the church
[00:13:05.720 --> 00:13:06.920]   and we treat him differently
[00:13:06.920 --> 00:13:09.080]   because he has a higher standing in society,
[00:13:09.080 --> 00:13:10.360]   'cause he makes more money,
[00:13:10.360 --> 00:13:11.880]   maybe he's better looking,
[00:13:11.880 --> 00:13:13.280]   or maybe he's achieved more,
[00:13:13.280 --> 00:13:14.640]   maybe he have better grades.
[00:13:14.640 --> 00:13:16.160]   I don't think anybody in the church
[00:13:16.160 --> 00:13:19.080]   would consider that fair, right?
[00:13:19.080 --> 00:13:20.920]   I think everybody, Christian or non-Christian,
[00:13:20.920 --> 00:13:22.520]   would automatically have a knee jerk reaction
[00:13:22.520 --> 00:13:23.800]   saying that's not right.
[00:13:23.800 --> 00:13:27.600]   We shouldn't treat people who have better things,
[00:13:27.600 --> 00:13:29.560]   or you have better grades, so you get better seat,
[00:13:29.560 --> 00:13:31.600]   or you're better looking, so we treat you better.
[00:13:31.600 --> 00:13:33.480]   We automatically think that that's wrong.
[00:13:33.480 --> 00:13:35.320]   A CEO of a large company comes
[00:13:35.320 --> 00:13:37.040]   and then he gets special treatment,
[00:13:37.040 --> 00:13:39.280]   we automatically say that's not right, right?
[00:13:39.280 --> 00:13:41.320]   Christian or non-Christian.
[00:13:41.320 --> 00:13:42.720]   So why do we automatically,
[00:13:42.720 --> 00:13:44.600]   when we say, when God says for men to lead
[00:13:44.600 --> 00:13:46.840]   and women to have a submissive role, right?
[00:13:46.840 --> 00:13:50.360]   Now how that plays out, I'll share in a minute, right?
[00:13:50.360 --> 00:13:52.720]   Why do we automatically have a knee jerk reaction
[00:13:52.720 --> 00:13:53.880]   as it being wrong?
[00:13:53.880 --> 00:13:57.720]   Is that a fallen nature that we're applying
[00:13:57.720 --> 00:13:59.920]   as how we understand good and bad?
[00:13:59.920 --> 00:14:01.800]   Or is that a kingdom principle?
[00:14:01.800 --> 00:14:05.520]   Because scripture says that in the kingdom of God,
[00:14:05.520 --> 00:14:08.680]   those who serve are the greatest in the kingdom of God,
[00:14:08.680 --> 00:14:09.520]   right?
[00:14:09.520 --> 00:14:13.600]   Because our ability to determine right and wrong,
[00:14:13.600 --> 00:14:15.800]   good or bad, was tainted by sin.
[00:14:15.800 --> 00:14:19.080]   And so our sinful nature looks at people
[00:14:19.080 --> 00:14:20.880]   who have more money, they're better.
[00:14:20.880 --> 00:14:23.600]   Our sinful nature thinks like if you're a CEO
[00:14:23.600 --> 00:14:26.440]   and you do great things, you should have special place,
[00:14:26.440 --> 00:14:27.280]   right?
[00:14:27.280 --> 00:14:28.120]   That's our sinful nature,
[00:14:28.120 --> 00:14:30.720]   that we recognize that we're fighting against.
[00:14:30.720 --> 00:14:32.440]   So when we have this knee jerk reaction
[00:14:32.440 --> 00:14:35.260]   against this hierarchy of men and women,
[00:14:35.260 --> 00:14:37.920]   is that coming from a kingdom mindset?
[00:14:37.920 --> 00:14:39.880]   Or is that coming from a world mindset?
[00:14:39.880 --> 00:14:43.800]   So I realized that, again, my sinful nature
[00:14:43.800 --> 00:14:46.000]   is fighting against that because that's,
[00:14:46.000 --> 00:14:50.120]   I'm learning fairness in the world that I live in, right?
[00:14:50.120 --> 00:14:53.040]   But if you look at the kingdom,
[00:14:53.040 --> 00:14:55.800]   God, the Father, the Son, and the Holy Spirit,
[00:14:55.800 --> 00:15:00.160]   there is a hierarchy in that God is the initiator,
[00:15:00.160 --> 00:15:03.240]   Jesus is the mediator, and then the Holy Spirit
[00:15:03.240 --> 00:15:05.240]   is the one who initiates, right?
[00:15:05.240 --> 00:15:07.460]   He's the one who kind of makes things happen.
[00:15:07.460 --> 00:15:11.420]   It would be blasphemous to think that any one of them
[00:15:11.420 --> 00:15:14.360]   are qualitatively less than the other.
[00:15:15.320 --> 00:15:18.040]   The Trinity is three in one, right?
[00:15:18.040 --> 00:15:22.760]   Three in nature and then three in personalities
[00:15:22.760 --> 00:15:24.920]   and the way that they function.
[00:15:24.920 --> 00:15:28.060]   So when we look at the perfect picture of the Trinity,
[00:15:28.060 --> 00:15:31.420]   where they are, each one of them are submitted,
[00:15:31.420 --> 00:15:33.560]   but yet glorifying the other,
[00:15:33.560 --> 00:15:37.200]   and never will we ever say that God is better
[00:15:37.200 --> 00:15:39.140]   than the Holy Spirit, you know?
[00:15:39.140 --> 00:15:40.800]   Because Jesus himself said, if you wanna,
[00:15:40.800 --> 00:15:43.720]   in the kingdom of God, in the way that he created
[00:15:43.720 --> 00:15:47.660]   his mindset, right, in the eternity that we're going to,
[00:15:47.660 --> 00:15:52.660]   that our idea of good and bad, great and least,
[00:15:52.660 --> 00:15:55.900]   is completely the opposite of what Satan
[00:15:55.900 --> 00:15:57.060]   is doing in this world.
[00:15:57.060 --> 00:15:59.920]   So when it comes to this hierarchy,
[00:15:59.920 --> 00:16:02.180]   God didn't say, you know, man is better than a woman.
[00:16:02.180 --> 00:16:04.120]   He just says that he created man,
[00:16:04.120 --> 00:16:06.680]   and then the women came along to be a suitable helper,
[00:16:06.680 --> 00:16:09.640]   and so they're playing different roles, right?
[00:16:09.640 --> 00:16:13.720]   So when you have a conflict, when Eve was created
[00:16:13.720 --> 00:16:16.240]   for the purpose of supporting her husband
[00:16:16.240 --> 00:16:18.520]   so that he could create, right?
[00:16:18.520 --> 00:16:21.320]   God said to be fruitful and multiply, he can't do it.
[00:16:21.320 --> 00:16:22.760]   He's completely helpless to be fruitful
[00:16:22.760 --> 00:16:24.860]   and multiply without her.
[00:16:24.860 --> 00:16:28.440]   So she came to help, but when sin came in, what happened?
[00:16:28.440 --> 00:16:30.880]   He says that your desire will be for your husband.
[00:16:30.880 --> 00:16:32.400]   In other words, you're gonna contend
[00:16:32.400 --> 00:16:34.440]   and fight against your husband.
[00:16:34.440 --> 00:16:36.520]   So instead of coming along and helping,
[00:16:36.520 --> 00:16:38.960]   she actually comes along and challenges him.
[00:16:38.960 --> 00:16:39.800]   That's what it says.
[00:16:39.800 --> 00:16:42.160]   It happened as a result of the fall.
[00:16:42.160 --> 00:16:45.320]   The man is gonna do the work, and at the end of the day,
[00:16:45.320 --> 00:16:46.720]   instead of producing fruits,
[00:16:46.720 --> 00:16:49.080]   it's gonna produce thorns and thistles.
[00:16:49.080 --> 00:16:51.300]   In other words, his work is going to be hard and difficult
[00:16:51.300 --> 00:16:53.580]   because of sin, right?
[00:16:53.580 --> 00:16:58.080]   So God created order in the family for the husband to lead
[00:16:58.080 --> 00:17:00.000]   and the wife to be supportive,
[00:17:00.000 --> 00:17:02.080]   and then the church is to reflect that.
[00:17:02.080 --> 00:17:05.680]   Now having said that, that's the principle
[00:17:05.680 --> 00:17:09.180]   that we see in scripture, and it makes perfect sense
[00:17:09.180 --> 00:17:11.460]   because you can't have two captains on a team,
[00:17:11.460 --> 00:17:13.880]   or they're just gonna go at it, right?
[00:17:13.880 --> 00:17:17.520]   How is that played out in the home?
[00:17:17.520 --> 00:17:21.800]   There are some homes where the woman's personality
