
[00:00:00.000 --> 00:00:07.000]   Genesis chapter 16.
[00:03:33.740 --> 00:03:36.620]   because I'm going to give you a land.
[00:03:36.620 --> 00:03:40.420]   I'm going to give you an amazing land, but more than that, I'm going to give you a son
[00:03:40.420 --> 00:03:44.140]   and people, and many descendants will be yours.
[00:03:44.140 --> 00:03:51.580]   Abraham, Abram, had that promise, he was already married, but even 10 years after, she was
[00:03:51.580 --> 00:03:52.580]   barren.
[00:03:52.580 --> 00:03:54.580]   So there was frustration in Sarai.
[00:03:54.580 --> 00:03:59.060]   She was wondering what's going on, didn't we receive the promise 10 years past, nothing
[00:03:59.060 --> 00:04:02.420]   is happening, so remember what she says, she has a brilliant idea.
[00:04:02.420 --> 00:04:06.900]   She says, "I've got this maidservant, why don't you have her be a surrogate mother and
[00:04:06.900 --> 00:04:09.060]   have a baby through her?"
[00:04:09.060 --> 00:04:13.700]   And like a dodo, Abram says, "Okay," and then he has a baby through this maidservant, and
[00:04:13.700 --> 00:04:16.260]   you would imagine what could happen there.
[00:04:16.260 --> 00:04:17.260]   A lot of strife.
[00:04:17.260 --> 00:04:23.580]   What ends up actually happening is, Hagar, the maidservant, she too is not a good character
[00:04:23.580 --> 00:04:26.700]   so far because she ends up getting a sense of pride.
[00:04:26.700 --> 00:04:31.100]   She looks at her master, who is Sarai, and says, "This is how you do it, this is how
[00:04:31.100 --> 00:04:35.860]   you have babies," you know, she's boasting, and then in the scriptures it says that she
[00:04:35.860 --> 00:04:42.300]   looked on her master with despise, okay, she was despicable in her eyes.
[00:04:42.300 --> 00:04:46.900]   And so Sarai, upset, all of a sudden looks at her husband, "Look what you did," and he's
[00:04:46.900 --> 00:04:50.460]   going, "What, what, I didn't do anything," he's like, "This is your fault, you know,
[00:04:50.460 --> 00:04:56.300]   judge between me and God, look what happened, ahhh," and then we pick up our story, okay?
[00:04:56.300 --> 00:05:04.860]   Verse 6, it says, "But Abram said to Sarai, 'Behold, your maid is yours in your power,
[00:05:04.860 --> 00:05:07.300]   do to her what is good in your sight.'
[00:05:07.300 --> 00:05:11.500]   So Sarai treated her harshly, and she fled from her presence."
[00:05:11.500 --> 00:05:13.740]   So Hagar flees into the wilderness.
[00:05:13.740 --> 00:05:18.420]   Verse 7, "Now the angel of the Lord found her by a spring of water in the wilderness,
[00:05:18.420 --> 00:05:20.380]   by the spring on the way ashore.
[00:05:20.380 --> 00:05:26.860]   He said, 'Hagar, Sarai's maid, where have you come from, and where are you going?'
[00:05:26.860 --> 00:05:30.220]   And she said, 'I am fleeing from the presence of my mistress Sarai.'
[00:05:30.220 --> 00:05:34.380]   Then the angel of the Lord said to her, 'Return to your mistress and submit yourself to her
[00:05:34.380 --> 00:05:35.380]   authority.'"
[00:05:35.380 --> 00:05:36.380]   Dang.
[00:05:36.380 --> 00:05:40.220]   Verse 10, "Moreover, the angel of the Lord said to her, 'I will greatly multiply your
[00:05:40.220 --> 00:05:44.180]   descendants so that they will be too many to count.'
[00:05:44.180 --> 00:05:48.540]   The angel of the Lord said to her further, 'Behold, you are with child, and you will
[00:05:48.540 --> 00:05:56.060]   bear a son, and you shall call his name Ishmael, because the Lord has given heed to your affliction.
[00:05:56.060 --> 00:06:00.740]   He will be a wild donkey of a man, his hand will be against everyone and everyone's hand
[00:06:00.740 --> 00:06:05.380]   will be against him, and he will live to the east of all his brothers.'
[00:06:05.380 --> 00:06:10.180]   Then she called on the name of the Lord who spoke to her, 'You are a God who sees.'
[00:06:10.180 --> 00:06:15.860]   For she said, 'Have I even remained alive here after seeing him?'
[00:06:15.860 --> 00:06:18.380]   Therefore the well has been called Bir Laharoi.
[00:06:18.380 --> 00:06:21.820]   Behold, it is between Kadesh and Bered.
[00:06:21.820 --> 00:06:28.620]   So Hagar bore Abram a son, and Abram called the name of his son, whom Hagar bore, Ishmael."
[00:06:28.620 --> 00:06:31.980]   Let's take a moment to pray that God will bless our time in the Word.
[00:06:31.980 --> 00:06:39.580]   Father God, we want to take a moment to pray that as we read Old Testament stories, help
[00:06:39.580 --> 00:06:43.220]   us to glean insights that would affect us.
[00:06:43.220 --> 00:06:47.020]   Mainly, help us to see who you are in this story.
[00:06:47.020 --> 00:06:53.020]   God, your character of mercy and love for all of us here, may our hearts be encouraged
[00:06:53.020 --> 00:06:55.200]   and lifted up by the reading of your Word.
[00:06:55.200 --> 00:06:57.740]   We also lift up the church at BMC.
[00:06:57.740 --> 00:07:01.340]   God, that your spirit and presence would be there.
[00:07:01.340 --> 00:07:04.220]   Lord, that that church would experience you.
[00:07:04.220 --> 00:07:08.780]   Lord God, we pray, Father Lord, that for Pastor Aaron and the family in the midst of time
[00:07:08.780 --> 00:07:14.580]   in which they suffer, would your presence ever be more clear.
[00:07:14.580 --> 00:07:18.940]   And God, we pray for Pastor Peter that as he ministers, as he preaches the Word and
[00:07:18.940 --> 00:07:21.740]   encourages, would you use them as your hand and feet.
[00:07:21.740 --> 00:07:25.240]   We thank you in Christ's name, Amen.
[00:07:25.240 --> 00:07:29.780]   So we read this story, and there's amazing stuff to be learned here.
[00:07:29.780 --> 00:07:34.540]   But the thing about it is, the multiple times that I read it, I read it as this is the pinnacle
[00:07:34.540 --> 00:07:39.500]   story of how God called us to faith, and then we botch it.
[00:07:39.500 --> 00:07:40.500]   Okay?
[00:07:40.500 --> 00:07:45.420]   Because Abraham, in many ways, was the father of faith, and he is to us an example of somebody
[00:07:45.420 --> 00:07:48.620]   who through faith is considered righteous.
[00:07:48.620 --> 00:07:53.720]   And we know that here in chapter 16, this is an epitome of a very typical prototype
[00:07:53.720 --> 00:07:57.940]   story of how they did not exercise faith.
[00:07:57.940 --> 00:08:02.100]   They exercised their own will and then made a mess of it.
[00:08:02.100 --> 00:08:06.140]   So, silly Abe, why did you listen to your wife?
[00:08:06.140 --> 00:08:07.520]   You know?
[00:08:07.520 --> 00:08:11.180]   And then you have silly Sarai, how come you couldn't wait?
[00:08:11.180 --> 00:08:16.860]   Why have this silly idea of having your maidservant do what God said he would eventually do for
[00:08:16.860 --> 00:08:17.860]   you?
[00:08:17.860 --> 00:08:19.420]   Yes, it's the time.
[00:08:19.420 --> 00:08:20.780]   Yes, it's all the waiting.
[00:08:20.780 --> 00:08:22.220]   Yes, it's all the frustration.
[00:08:22.220 --> 00:08:26.740]   Yes, Sarai probably received a lot of other ridicule and mocking.
[00:08:26.740 --> 00:08:31.300]   How come the wife of the patriarch isn't having children?
[00:08:31.300 --> 00:08:32.300]   Where's the promise?
[00:08:32.300 --> 00:08:33.300]   Where's all this?
[00:08:33.300 --> 00:08:38.060]   I bet you she was mocked, because even Hagar felt this sense of mockery towards her.
[00:08:38.060 --> 00:08:45.580]   And then, Hagar, you silly lady, if so, you know, they asked you to do this, why have
[00:08:45.580 --> 00:08:46.580]   this arrogance?
[00:08:46.580 --> 00:08:50.860]   And the reason why I highlight that is because this story typically is preached by way of
[00:08:50.860 --> 00:08:54.940]   saying they were asked to have faith, they failed to have faith, and then so here come
[00:08:54.940 --> 00:08:56.700]   the consequences.
[00:08:56.700 --> 00:08:57.700]   Many strife.
[00:08:57.700 --> 00:09:02.220]   Sarai and Abram are like fighting each other, you did this, and Abram's like, what did I
[00:09:02.220 --> 00:09:03.220]   do?
[00:09:03.220 --> 00:09:04.220]   You did this, you know?
[00:09:04.220 --> 00:09:07.580]   And then strife between Hagar and the master.
[00:09:07.580 --> 00:09:12.820]   Not only that, but Ishmael is born, and we know, if you guys know the story, that he
[00:09:12.820 --> 00:09:15.700]   is not the promised line.
[00:09:15.700 --> 00:09:21.260]   As a matter of fact, if you read Arabic traditions, so, you know, all the different religions
[00:09:21.260 --> 00:09:27.260]   around that Middle Eastern area, Islam, and the various religions that are associated
[00:09:27.260 --> 00:09:31.700]   with it, they trace their ancestry to Ishmael.
[00:09:31.700 --> 00:09:36.420]   The great prophet of Islam, Muhammad, he traces his ancestry to Ishmael.
[00:09:36.420 --> 00:09:40.300]   And so what you see is, not only are your consequences immediate, and your relationships
[00:09:40.300 --> 00:09:48.220]   are not all broken because of your lack of faith, you create a future genealogy of strife.
[00:09:48.220 --> 00:09:52.700]   A different nation to which the Israelites are gonna continue to fight.
[00:09:52.700 --> 00:09:55.220]   Ah, frustrated with your lack of faith.
[00:09:55.220 --> 00:09:58.740]   That's how typically the story is taught.
[00:09:58.740 --> 00:10:03.660]   But now when I read this story, I find something quite amazing, something altogether different,
[00:10:03.660 --> 00:10:05.020]   which is this.
[00:10:05.020 --> 00:10:10.340]   If you look at verse nine, an angel of the Lord appears.
[00:10:10.340 --> 00:10:13.140]   Or I guess verse seven, the angel of the Lord appears.
[00:10:13.140 --> 00:10:17.980]   And then in verse eight, he asks Hagar, Sarai's maid, where have you come and where are you
[00:10:17.980 --> 00:10:18.980]   going?
[00:10:18.980 --> 00:10:21.420]   Hagar is in the wilderness.
[00:10:21.420 --> 00:10:22.820]   She's wandering the wilderness.
[00:10:22.820 --> 00:10:27.800]   There's a sense in which she's essentially being cast out, and without somebody providing
[00:10:27.800 --> 00:10:33.820]   for her, a tribe or a clan, so to speak, a family, she has no chance of survival.
[00:10:33.820 --> 00:10:38.900]   She's literally in the desert, wandering to die.
[00:10:38.900 --> 00:10:42.420]   Angel of the Lord appears, where are you going?
[00:10:42.420 --> 00:10:43.420]   I'm just fleeing.
[00:10:43.420 --> 00:10:45.460]   That's what Hagar says.
[00:10:45.460 --> 00:10:49.500]   But then what's profound is starting from verse nine, the angel starts to speak to her,
[00:10:49.500 --> 00:10:52.660]   and then he first tells her a correction.
[00:10:52.660 --> 00:10:56.040]   Return to your mistress and submit yourself to her authority.
[00:10:56.040 --> 00:10:57.260]   Make it right.
[00:10:57.260 --> 00:11:01.380]   But then furthermore, verse 10, moreover the angel of the Lord said to her, I will greatly
[00:11:01.380 --> 00:11:05.900]   multiply your descendants so that they will be too many to count.
[00:11:05.900 --> 00:11:09.540]   Does that strike you as a bit unusual and shocking?
[00:11:09.540 --> 00:11:15.620]   To me it does because remember, Sarai is not a part of Abraham's family.
[00:11:15.620 --> 00:11:19.420]   Sarai is an Egyptian slave.
[00:11:19.420 --> 00:11:21.700]   She's an Egyptian slave.
[00:11:21.700 --> 00:11:24.580]   She's not part of that line.
[00:11:24.580 --> 00:11:28.140]   But then when he gives her a promise, like I'm going to greatly multiply you and your
[00:11:28.140 --> 00:11:31.660]   descendants will be so numerous you can't count it, what does that sound like?
[00:11:31.660 --> 00:11:36.220]   That sounds like the promise he gave his promised people, and more specifically his promised
[00:11:36.220 --> 00:11:39.460]   person, Abraham.
[00:11:39.460 --> 00:11:46.980]   So what I'm saying is, the focus of the story all of a sudden changes to, it's not simply
[00:11:46.980 --> 00:11:51.620]   that God is frustrated with the lack of trust of Abraham and Sarai.
[00:11:51.620 --> 00:11:57.540]   More so the focus of the story is on God intervening with his grace and mercy, promising stuff
[00:11:57.540 --> 00:11:58.980]   that wasn't even deserving.
[00:11:58.980 --> 00:12:03.860]   You see what I'm saying?
[00:12:03.860 --> 00:12:07.660]   And so if you look at this further, look at verse 11.
[00:12:07.660 --> 00:12:13.340]   The angel of the Lord spoke to her further, "Behold," okay, holds her attention, "you
[00:12:13.340 --> 00:12:16.820]   are with child, your child will bear a son and you shall call his name Ishmael."
[00:12:16.820 --> 00:12:20.100]   And in every single one of your Bibles, no matter what translation you have, you should
[00:12:20.100 --> 00:12:22.700]   probably have a little subscript or a little number.
[00:12:22.700 --> 00:12:27.260]   And it sometimes tells you what those Hebrew names mean.
[00:12:27.260 --> 00:12:31.180]   If you have a, again, like a reference Bible, it tells you.
[00:12:31.180 --> 00:12:37.260]   That name means God hears.
[00:12:37.260 --> 00:12:38.940]   God hears.
[00:12:38.940 --> 00:12:40.980]   So that's my first point for the sermon.
[00:12:40.980 --> 00:12:45.220]   A truth to encourage your hearts this morning.
[00:12:45.220 --> 00:12:47.940]   God hears.
[00:12:47.940 --> 00:12:51.140]   Sarai did not give that son a name.
[00:12:51.140 --> 00:12:52.980]   Abraham didn't give that son a name.
[00:12:52.980 --> 00:12:55.020]   Hagar did not give that son a name.
[00:12:55.020 --> 00:13:00.540]   God, through the angel, gave that son a name, which means God wanted to make a point for
[00:13:00.540 --> 00:13:02.140]   us to remember.
[00:13:02.140 --> 00:13:04.220]   Hagar is not gonna forget.
[00:13:04.220 --> 00:13:06.260]   I was wandering the desert, left to die.
[00:13:06.260 --> 00:13:07.260]   I was a servant.
[00:13:07.260 --> 00:13:09.100]   I mean, think about this for a moment.
[00:13:09.100 --> 00:13:14.100]   She was a servant asked to do something that even, yes, although in that day and age, that
[00:13:14.100 --> 00:13:15.260]   stuff kind of happened.
[00:13:15.260 --> 00:13:16.260]   Can you imagine?
[00:13:16.260 --> 00:13:21.380]   "You can't have children, so you're gonna do it."
[00:13:21.380 --> 00:13:22.380]   It's like, what?
[00:13:22.380 --> 00:13:25.420]   How do you ask someone to do that?
[00:13:25.420 --> 00:13:30.420]   You're gonna make me go through childbirth and labor and that son's not really even gonna
[00:13:30.420 --> 00:13:32.420]   be mine?
[00:13:32.420 --> 00:13:34.060]   Whoa.
[00:13:34.060 --> 00:13:38.100]   But even then, after that, she's mistreated and then she's cast out and left essentially
[00:13:38.100 --> 00:13:39.100]   to die.
[00:13:39.100 --> 00:13:43.460]   And then in that midst, God hears.
[00:13:43.460 --> 00:13:45.540]   That's point number one.
[00:13:45.540 --> 00:13:48.820]   That God is a God who hears.
[00:13:48.820 --> 00:13:54.580]   When I look out into this congregation this morning, with my eyes, I see a gathering of
[00:13:54.580 --> 00:13:58.860]   people well-dressed, prepared for service, which is good.
[00:13:58.860 --> 00:14:00.620]   You guys are presenting your best before God.
[00:14:00.620 --> 00:14:02.580]   You guys are in your Sunday best.
[00:14:02.580 --> 00:14:04.940]   You guys have combed your hair, all that kind of stuff.
[00:14:04.940 --> 00:14:05.940]   Save a few.
[00:14:05.940 --> 00:14:07.260]   I'm just kidding.
[00:14:07.260 --> 00:14:08.900]   But that's what I see with my eyes.
[00:14:08.900 --> 00:14:10.140]   I see this.
[00:14:10.140 --> 00:14:11.740]   And when I see this, I'm all encouraged.
[00:14:11.740 --> 00:14:12.740]   I feel great.
[00:14:12.740 --> 00:14:17.140]   I feel like, yeah, I'm with the household of God worshiping.
[00:14:17.140 --> 00:14:22.740]   But I know that people in here still internally struggle.
[00:14:22.740 --> 00:14:24.660]   Some of us struggle with our jobs.
[00:14:24.660 --> 00:14:26.380]   Some of us struggle financially.
[00:14:26.380 --> 00:14:29.060]   Some of us struggle in our marriages, relationships, families.
[00:14:29.060 --> 00:14:31.420]   Some of us struggle with our own sins and vices.
[00:14:31.420 --> 00:14:36.060]   Some of us struggle in so many different ways.
[00:14:36.060 --> 00:14:41.340]   The thing about it is, in the midst of that struggle, I want to encourage you this morning,
[00:14:41.340 --> 00:14:44.820]   God sees through everything.
[00:14:44.820 --> 00:14:47.060]   God has perfect knowledge.
[00:14:47.060 --> 00:14:49.220]   Can I point out something to you?
[00:14:49.220 --> 00:14:55.740]   That God saw us, had our situation and circumstance, a sense of desperation.
[00:14:55.740 --> 00:14:57.300]   God saw her fear.
[00:14:57.300 --> 00:14:58.300]   God saw her affliction.
[00:14:58.300 --> 00:15:02.420]   And so the passage says to us very clearly, I'm naming him Ishmael because the Lord has
[00:15:02.420 --> 00:15:04.260]   given heed to your affliction.
[00:15:04.260 --> 00:15:06.220]   Yes, amen.
[00:15:06.220 --> 00:15:08.980]   But God has a perfect knowledge of Hagar.
[00:15:08.980 --> 00:15:11.140]   He sees her unborn child.
[00:15:11.140 --> 00:15:12.780]   He sees their future.
[00:15:12.780 --> 00:15:16.620]   He understands her completely.
[00:15:16.620 --> 00:15:19.340]   I want to encourage you this morning.
[00:15:19.340 --> 00:15:23.500]   God sees through every circumstance.
[00:15:23.500 --> 00:15:30.860]   God sees through every pain, every affliction, every hurt, every moment of feeling isolation,
[00:15:30.860 --> 00:15:32.940]   every moment of desperation.
[00:15:32.940 --> 00:15:33.940]   God sees it.
[00:15:33.940 --> 00:15:39.060]   And I want our hearts to be encouraged with that truth this morning.
[00:15:39.060 --> 00:15:42.780]   But you know, there's even more, something just more profound about just simply that
[00:15:42.780 --> 00:15:43.780]   point.
[00:15:43.780 --> 00:15:44.780]   Okay, God hears.
[00:15:44.780 --> 00:15:50.140]   But the fact of the matter is, if I am honest, a lot of my suffering and the hardship and
[00:15:50.140 --> 00:15:53.980]   afflictions, it's self-imposed.
[00:15:53.980 --> 00:16:00.380]   In the sense that there are situations to which the affliction and the hurt that's in
[00:16:00.380 --> 00:16:02.860]   your life, you just have no control over.
[00:16:02.860 --> 00:16:05.060]   And so perhaps Hagar, she feels like that.
[00:16:05.060 --> 00:16:08.820]   That lady Sarai, my master, what a wicked lady.
[00:16:08.820 --> 00:16:11.740]   And she's sitting there thinking, she's making my life miserable.
[00:16:11.740 --> 00:16:12.740]   Okay?
[00:16:12.740 --> 00:16:17.660]   But Hagar also has to own up to the fact that her arrogance and pride cause a rift in the
[00:16:17.660 --> 00:16:18.660]   relationship.
[00:16:18.660 --> 00:16:23.220]   Sarai, she might be complaining, "Yeah, look what you did.
[00:16:23.220 --> 00:16:24.220]   Look at all this stuff."
[00:16:24.220 --> 00:16:26.740]   And Abraham could be sitting there like, "Hello?
[00:16:26.740 --> 00:16:28.300]   What did you expect?
[00:16:28.300 --> 00:16:31.500]   You literally had a maidservant replace you.
[00:16:31.500 --> 00:16:34.060]   What did you expect?"
[00:16:34.060 --> 00:16:35.700]   It's a lot like some of the complaints we have.
[00:16:35.700 --> 00:16:40.380]   It makes me think of in recent history, the last couple months, I've had a lot of expenditures
[00:16:40.380 --> 00:16:44.900]   from moving car things and repairs.
[00:16:44.900 --> 00:16:48.900]   Sometimes I complain, I'm like, "Oh, why is it so expensive?"
[00:16:48.900 --> 00:16:54.260]   And it's really expensive to get four new tires for a minivan.
[00:16:54.260 --> 00:16:55.740]   It's really expensive.
[00:16:55.740 --> 00:16:57.780]   And then on top of that, we needed brakes.
[00:16:57.780 --> 00:17:03.340]   So realizing, "Oh my gosh, having new brakes and pads and rotors for a minivan is crazy
[00:17:03.340 --> 00:17:04.340]   expensive."
[00:17:04.340 --> 00:17:06.500]   So I start to verbalize my expression of frustration.
[00:17:06.500 --> 00:17:11.700]   Like, "Oh my gosh, those auto mechanics, they're just ripping me off because I know how to
[00:17:11.700 --> 00:17:12.700]   do pads.
[00:17:12.700 --> 00:17:15.260]   It's much cheaper than that, but it's like this much money.
[00:17:15.260 --> 00:17:18.500]   And then tires, oh my gosh, I can't believe it's that much money.
[00:17:18.500 --> 00:17:21.220]   And I can sit here and complain and feel like, 'Woe is me.
[00:17:21.220 --> 00:17:23.060]   How am I going to afford all this?'"
[00:17:23.060 --> 00:17:28.260]   And then someone can look at me and be like, "But you like that minivan.
[00:17:28.260 --> 00:17:30.000]   You love that minivan.
[00:17:30.000 --> 00:17:31.000]   You bought that minivan."
[00:17:31.000 --> 00:17:32.000]   It's like, "I did.
[00:17:32.000 --> 00:17:33.000]   I love it."
[00:17:33.000 --> 00:17:37.500]   You guys know, I mean, some of you guys don't know, but I've been wanting a minivan since
[00:17:37.500 --> 00:17:38.500]   I was in high school.
[00:17:38.500 --> 00:17:41.980]   It's kind of like one of my life goals accomplished.
[00:17:41.980 --> 00:17:46.900]   But you get what I'm saying.
[00:17:46.900 --> 00:17:52.340]   Sometimes we feel like we're in a world of hurt, but looking at the scenario, it's due
[00:17:52.340 --> 00:17:54.020]   to our own devices.
[00:17:54.020 --> 00:17:56.380]   It's sometimes due to our reactions.
[00:17:56.380 --> 00:17:58.220]   It's sometimes due to our poor choices.
[00:17:58.220 --> 00:18:03.340]   And yes, it is sometimes due to, just like with Abram and Sarai, lack of faith.
[00:18:03.340 --> 00:18:04.340]   But not always.
[00:18:04.340 --> 00:18:08.660]   Why I bring that up?
[00:18:08.660 --> 00:18:15.000]   Because in this scenario, the consequences of the family rift and the consequences of
[00:18:15.000 --> 00:18:18.900]   being cast out, consequences, our fault.
[00:18:18.900 --> 00:18:23.100]   Nevertheless, God shows up.
[00:18:23.100 --> 00:18:24.580]   This is our God.
[00:18:24.580 --> 00:18:27.540]   Nevertheless, God hears.
[00:18:27.540 --> 00:18:30.060]   Do we read in the Bible, "You made a mess of it.
[00:18:30.060 --> 00:18:31.300]   I told you so.
[00:18:31.300 --> 00:18:33.540]   Now fix it.
[00:18:33.540 --> 00:18:36.420]   You better get that straight before you come to me."
[00:18:36.420 --> 00:18:38.100]   A lot of time, God says, "I'm your father.
[00:18:38.100 --> 00:18:40.800]   Why don't you ask me?"
[00:18:40.800 --> 00:18:41.800]   He sees it.
[00:18:41.800 --> 00:18:42.800]   He hears it.
[00:18:42.800 --> 00:18:43.800]   He knows it.
[00:18:43.800 --> 00:18:44.800]   He understands.
[00:18:44.800 --> 00:18:50.760]   Even when a lot of that pain and affliction is due to our own devices.
[00:18:50.760 --> 00:18:51.760]   This is our God.
[00:18:51.760 --> 00:18:53.460]   He is the one who hears.
[00:18:53.460 --> 00:18:57.580]   Now I want to just highlight to you how important this theme is in this passage, because it's
[00:18:57.580 --> 00:19:00.500]   just like shouting at me now when I read this.
[00:19:00.500 --> 00:19:02.060]   So take a look again at the chapter.
[00:19:02.060 --> 00:19:06.260]   It says again, "Behold, you're going to have this son, and God names him Ishmael."
[00:19:06.260 --> 00:19:10.940]   And God says, "Because the Lord has given heed to your affliction, God hears and sees
[00:19:10.940 --> 00:19:12.260]   what you're going through."
[00:19:12.260 --> 00:19:15.860]   And then her response, Haggad's response, go over to verse 13.
[00:19:15.860 --> 00:19:19.580]   It says, "Then she called on the name of the Lord."
[00:19:19.580 --> 00:19:22.940]   She says, "Called on the name of the Lord."
[00:19:22.940 --> 00:19:27.580]   Lord is cap and all caps because that's the name of Yahweh.
[00:19:27.580 --> 00:19:30.980]   But then it says, "She called on the name of the Lord who spoke to her.
[00:19:30.980 --> 00:19:34.980]   You are a God who sees."
[00:19:34.980 --> 00:19:37.300]   And that we have to pay attention to.
[00:19:37.300 --> 00:19:41.140]   Because in the Hebrew, it just simply reads, "You God see me."
[00:19:41.140 --> 00:19:43.860]   Or like, "You God see."
[00:19:43.860 --> 00:19:47.980]   But in that right center, there is a focus on God's name.
[00:19:47.980 --> 00:19:51.620]   And the name is El Roy.
[00:19:51.620 --> 00:19:53.660]   If you're taking notes, write that down.
[00:19:53.660 --> 00:19:56.940]   E-L-R-O-I.
[00:19:56.940 --> 00:19:59.660]   El Roy.
[00:19:59.660 --> 00:20:04.340]   She calls on the name of the Lord, Yahweh, and then she calls him something else.
[00:20:04.340 --> 00:20:05.980]   El Roy.
[00:20:05.980 --> 00:20:08.660]   Yahweh, El Roy.
[00:20:08.660 --> 00:20:09.660]   Why does she do that?
[00:20:09.660 --> 00:20:14.980]   Because she is emphasizing one point, one singular thing she's focused on in the midst
[00:20:14.980 --> 00:20:19.580]   of her pain, in the midst of her devastation and feeling desperate.
[00:20:19.580 --> 00:20:24.540]   She experiences God and then she calls him something, which is El Roy.
[00:20:24.540 --> 00:20:28.420]   And that El Roy simply means, "The God who sees."
