
[00:00:00.000 --> 00:00:04.000]   (silence)
[00:06:28.000 --> 00:06:32.000]   Am I being kind of careless
[00:06:32.000 --> 00:06:36.000]   in the way that I'm approaching or whatever in my life?
[00:06:36.000 --> 00:06:40.000]   And to meditate on this further, I have this question. What happens
[00:06:40.000 --> 00:06:44.000]   if I'm not asking the question and self-evaluating and asking
[00:06:44.000 --> 00:06:48.000]   the question, is what I am doing, why?
[00:06:48.000 --> 00:06:52.000]   And I want us to take a moment to think about that.
[00:06:52.000 --> 00:06:56.000]   If in your home, whether you're working on a project,
[00:06:56.000 --> 00:07:00.000]   whether you're trying to fix something, whether you're trying to build and then you get
[00:07:00.000 --> 00:07:04.000]   to the furniture and everything, if you're not careful, what ends up happening?
[00:07:04.000 --> 00:07:08.000]   A lot of times, what ends up happening is we hurt ourselves. We stub our own toes.
[00:07:08.000 --> 00:07:12.000]   We smash our thumbs. Or we hurt other people.
[00:07:12.000 --> 00:07:16.000]   Let's take a moment to think about this.
[00:07:16.000 --> 00:07:20.000]   If we're not careful, what ends up happening is that we end up wasting our time.
[00:07:20.000 --> 00:07:24.000]   If we're not careful to build our furniture in a specific way, or
[00:07:24.000 --> 00:07:28.000]   according to the instructions, you end up doing something and then you realize, like, "Oh!
[00:07:28.000 --> 00:07:32.000]   I missed that important part and now I gotta dismantle it."
[00:07:32.000 --> 00:07:36.000]   Well, that is a fasting scripture. It warns us, if we're not paying careful attention,
[00:07:36.000 --> 00:07:40.000]   we're putting together something that will not last, that needs to be done
[00:07:40.000 --> 00:07:44.000]   over again, or altogether scrapped, and it will not
[00:07:44.000 --> 00:07:48.000]   have the potential to apply. What is that? That's called
[00:07:48.000 --> 00:07:52.000]   "ending." That's called "wasting." What's more,
[00:07:52.000 --> 00:07:56.000]   in our day, if we're not careful right now, we can be
[00:07:56.000 --> 00:08:00.000]   really messing up all of our priorities. What do I mean?
[00:08:00.000 --> 00:08:04.000]   There are so many different priorities in our lives.
[00:08:04.000 --> 00:08:08.000]   There are responsibilities for family, job,
[00:08:08.000 --> 00:08:12.000]   church, personal, and the responsibilities continue
[00:08:12.000 --> 00:08:16.000]   to stack. And if we're not careful, what ends up happening is
[00:08:16.000 --> 00:08:20.000]   the various priorities that God has given us get turned upside down.
[00:08:20.000 --> 00:08:24.000]   The priorities that should be more spiritual, heavenly-like, more
[00:08:24.000 --> 00:08:28.000]   important, get split. And the priorities
[00:08:28.000 --> 00:08:32.000]   of the world, the priorities of this age, the priorities of next, whatever is
[00:08:32.000 --> 00:08:36.000]   urgent, those things have to take place. I think this is a
[00:08:36.000 --> 00:08:40.000]   big source of challenge for us, and for me too, personally.
[00:08:40.000 --> 00:08:44.000]   I feel like God has been teaching this, as a layman,
[00:08:44.000 --> 00:08:48.000]   through people in our church, through fellowship, that sometimes if we're not careful,
[00:08:48.000 --> 00:08:52.000]   we definitely lose sight of what's most valuable, what's
[00:08:52.000 --> 00:08:56.000]   most important. And I think this is the call that is most emphasized
[00:08:56.000 --> 00:09:00.000]   in the starting sentence, you need to be careful. For example, to me,
[00:09:00.000 --> 00:09:04.000]   you know, I think everybody these days, everybody has lots of
[00:09:04.000 --> 00:09:08.000]   messages to get through, everybody has lots of people to text, everybody has
[00:09:08.000 --> 00:09:12.000]   lots on their plate. But again, if you're not careful, what ends up happening is
[00:09:12.000 --> 00:09:16.000]   your goal gets distracted. There are times when literally
[00:09:16.000 --> 00:09:20.000]   my goal was, you know what, I just need to make sure by the end of the day, my box
[00:09:20.000 --> 00:09:24.000]   is empty, and I respond to everything. Or,
[00:09:24.000 --> 00:09:28.000]   on the flip side, if I have a bunch of tasks, you know what my goal is, just to make sure that all of those things
[00:09:28.000 --> 00:09:32.000]   get checked off. But then if I'm not being careful,
[00:09:32.000 --> 00:09:36.000]   I have to end up answering to God, essentially. Like, God, did I ever do
[00:09:36.000 --> 00:09:40.000]   what you wanted of me? Is everything
[00:09:40.000 --> 00:09:44.000]   equally the same? And I've been learning this, and I've been being challenged by this.
[00:09:44.000 --> 00:09:48.000]   Just from my own trying to get things done,
[00:09:48.000 --> 00:09:52.000]   just thinking about how effective,
[00:09:52.000 --> 00:09:56.000]   how am I totally actually accomplishing God's
[00:09:56.000 --> 00:10:00.000]   plan? How am I totally
[00:10:00.000 --> 00:10:04.000]   actually tending to the need of the day? What kind of fruit is this
[00:10:04.000 --> 00:10:08.000]   bearing? These are all very important questions. Why?
[00:10:08.000 --> 00:10:12.000]   Because He says, "When you do that, you are then a need-wise person."
[00:10:12.000 --> 00:10:16.000]   So we hear this challenge and this demand. Scripture says
[00:10:16.000 --> 00:10:20.000]   it all the time. Watch your writing and doctrine closely.
[00:10:20.000 --> 00:10:24.000]   Many other passages tell you, I'm not going to read this whole thing, but if you look at
[00:10:24.000 --> 00:10:28.000]   1 Corinthians chapter 2, the Apostle Paul talks a lot about there's a
[00:10:28.000 --> 00:10:32.000]   wisdom of the world, and there's a wisdom of God. And what needs to happen is that
[00:10:32.000 --> 00:10:36.000]   Christians need to understand the value of things. And he says,
[00:10:36.000 --> 00:10:40.000]   there are things in our lives that the world might see that this is important, and that's
[00:10:40.000 --> 00:10:44.000]   important. But he says, the spiritual things are spiritually
[00:10:44.000 --> 00:10:48.000]   great, I believe, because we have the mind of God.
[00:10:48.000 --> 00:10:52.000]   So, I spent a lot of time on this first one because it was very
[00:10:52.000 --> 00:10:56.000]   tight. We need to be paying much closer attention to what we are
[00:10:56.000 --> 00:11:00.000]   doing. In line with that,
[00:11:00.000 --> 00:11:04.000]   Apostle Paul challenges us with this next phrase,
[00:11:04.000 --> 00:11:08.000]   where he says, "Make the most of your time." And so the second
[00:11:08.000 --> 00:11:12.000]   commandment you see is, "Redeem the time."
[00:11:12.000 --> 00:11:16.000]   Now, by way of observation, this phrase begins with the hardest
[00:11:16.000 --> 00:11:20.000]   part. It is the I-N-G, ongoing statement.
[00:11:20.000 --> 00:11:24.000]   Making the most of your time. And so if you notice, I indented it
[00:11:24.000 --> 00:11:28.000]   to show you that it is a second or supporting
[00:11:28.000 --> 00:11:32.000]   idea of how we're supposed to be careful in our lives and our day.
[00:11:32.000 --> 00:11:36.000]   Now, by way of observation, I want to highlight this idea of
[00:11:36.000 --> 00:11:40.000]   making the most of our time. It is literally translated
[00:11:40.000 --> 00:11:44.000]   as offering you a "binding it all."
[00:11:44.000 --> 00:11:48.000]   So, if you look at this term in, let's say,
[00:11:48.000 --> 00:11:52.000]   other literature or other passages of Scripture, the idea is
[00:11:52.000 --> 00:11:56.000]   redemption, purchase. So actually, it is used in Christ
[00:11:56.000 --> 00:12:00.000]   when it talks about the dogmas that Christ fully purchased
[00:12:00.000 --> 00:12:04.000]   us. And what's more, in other literature, it is used
[00:12:04.000 --> 00:12:08.000]   of an individual by a slave in order to set them free.
[00:12:08.000 --> 00:12:12.000]   It is also used in moments when an individual
[00:12:12.000 --> 00:12:16.000]   is sold into whatever it may be, they buy it all out.
[00:12:16.000 --> 00:12:20.000]   And so I want you to take a moment to think about that when it comes
[00:12:20.000 --> 00:12:24.000]   to our use of time. This kind
[00:12:24.000 --> 00:12:28.000]   of mentality then for us is to maximize that time.
[00:12:28.000 --> 00:12:32.000]   This kind of mentality for us is to make sure that we try to squeeze every ounce
[00:12:32.000 --> 00:12:36.000]   of benefit from whatever we're doing. And now that's not to
[00:12:36.000 --> 00:12:40.000]   say, obviously, and you guys can discuss this in your groups, and I didn't think about
[00:12:40.000 --> 00:12:44.000]   it a minute ago, that's not to say that you have to be a machine and every
[00:12:44.000 --> 00:12:48.000]   waiting moment you should be doing nothing but free-preying abandonment.
[00:12:48.000 --> 00:12:52.000]   I wish you could! But there are moments of rest,
[00:12:52.000 --> 00:12:56.000]   there are moments of enjoying the company of your loved ones,
[00:12:56.000 --> 00:13:00.000]   there's a lot more. But let's take a moment to think
[00:13:00.000 --> 00:13:04.000]   about this idea because Scripture challenges us to do this on
[00:13:04.000 --> 00:13:08.000]   an everyday basis. Here, in Colossians, conduct yourself
[00:13:08.000 --> 00:13:12.000]   willingly towards the outside world, making the most of every opportunity.
[00:13:12.000 --> 00:13:16.000]   So here, we kind of get the sense of what you talk about.
[00:13:16.000 --> 00:13:20.000]   That when we have opportunity, are we actually making the most of it?
[00:13:20.000 --> 00:13:24.000]   Or again, are we just passing it first and we hold it?
[00:13:24.000 --> 00:13:28.000]   This is just a challenge for all of us. How good would it be to be attached
[00:13:28.000 --> 00:13:32.000]   to the opportunity that we have? Intentionality.
[00:13:32.000 --> 00:13:36.000]   In Scripture, it tells us when we're speaking words, those words should be both
[00:13:36.000 --> 00:13:40.000]   seasoned with salt and it should actually point beneath the knee of the hour.
[00:13:40.000 --> 00:13:44.000]   Wow. What a challenge. Intentional thinking.
[00:13:44.000 --> 00:13:48.000]   Careful attention. All that good stuff.
[00:13:48.000 --> 00:13:52.000]   What's more, relations. So then, while we have opportunity, let us
[00:13:52.000 --> 00:13:56.000]   do good to all people, especially to those who are a household of the
[00:13:56.000 --> 00:14:00.000]   Savior. There it is, it builds in with the Scripture
[00:14:00.000 --> 00:14:04.000]   definition for us. That as we have this chance to do good,
[00:14:04.000 --> 00:14:08.000]   we need to be making sure that there is good being.
[00:14:08.000 --> 00:14:12.000]   And I wanted to say, there's another observation we can highlight.
[00:14:12.000 --> 00:14:16.000]   Notice how when we go back to the passage, it says making the most of the time.
[00:14:16.000 --> 00:14:20.000]   That term for time doesn't just mean hours and minutes.
[00:14:20.000 --> 00:14:24.000]   Time is a set period of time. A lot of times,
[00:14:24.000 --> 00:14:28.000]   translated, it is a season. So in this moment, so to speak,
[00:14:28.000 --> 00:14:32.000]   we need to make sure we understand that we have
[00:14:32.000 --> 00:14:36.000]   obviously a limited amount, a set amount.
[00:14:36.000 --> 00:14:40.000]   Scripture says it's not like we have time for every single thing, but you need to make sure
[00:14:40.000 --> 00:14:44.000]   that you understand we have but a moment. And Scripture
[00:14:44.000 --> 00:14:48.000]   challenged us to see that we are transient beings. We are
[00:14:48.000 --> 00:14:52.000]   like papers and we need to be active in knowing that
[00:14:52.000 --> 00:14:56.000]   no, we don't have time to do every single thing, every single hobby that we would like to do.
[00:14:56.000 --> 00:15:00.000]   I just want to share another personal opinion.
[00:15:00.000 --> 00:15:04.000]   A lot of people know that I just love learning stuff.
[00:15:04.000 --> 00:15:08.000]   I'm not like necessarily a super ambitious person,
[00:15:08.000 --> 00:15:12.000]   but nonetheless, I just love learning. I like
[00:15:12.000 --> 00:15:16.000]   knowing how to do things. And so if you ask the question about
[00:15:16.000 --> 00:15:20.000]   my gift to them, some people have said, "You're kind of like a jack of all trades."
[00:15:20.000 --> 00:15:24.000]   And the other part of it is, "Absolutely, I'm not an alpha male."
[00:15:24.000 --> 00:15:28.000]   But it's true. If you have all these different
[00:15:28.000 --> 00:15:32.000]   interests, you can't be a bachelor. So what's funny is
[00:15:32.000 --> 00:15:36.000]   in terms of sports, when some people are like, "Let's get
[00:15:36.000 --> 00:15:40.000]   people to play tennis." I play tennis. I have tennis practice.
[00:15:40.000 --> 00:15:44.000]   I played tennis in high school. I played soccer. I'm a soccer ball.
[00:15:44.000 --> 00:15:48.000]   I even have a badminton set at home that I haven't touched in two years.
[00:15:48.000 --> 00:15:52.000]   Pretty much every sport you can think of, I have to be a good player. I have softball gloves.
[00:15:52.000 --> 00:15:56.000]   I have a baseball bat. I have a baseball glove that I haven't touched in a month.
[00:15:56.000 --> 00:16:00.000]   And I say that not to brag, I actually say that
[00:16:00.000 --> 00:16:04.000]   mostly to shame, because the majority of people don't get touched in like years.
[00:16:04.000 --> 00:16:08.000]   Now what's really interesting about this is I just want to say, I mean,
[00:16:08.000 --> 00:16:12.000]   is it wrong to have lots of hobbies? No.
[00:16:12.000 --> 00:16:16.000]   But I want you to think about this. And we're talking about the idea that you don't
[00:16:16.000 --> 00:16:20.000]   have time for this. And so those people who just
[00:16:20.000 --> 00:16:24.000]   want to go out and experience everything, and think about this even for parenting,
[00:16:24.000 --> 00:16:28.000]   "Do I want my child to experience everything that they possibly can?"
[00:16:28.000 --> 00:16:32.000]   And the answer is yes. I want them to know what it's like to go
[00:16:32.000 --> 00:16:36.000]   here and there and experience this sport, and that sport, and this sport.
[00:16:36.000 --> 00:16:40.000]   I'm talking about instruments. I'm going right now, like you, you know, we got a piano
[00:16:40.000 --> 00:16:44.000]   from somebody. Someone gave us ukuleles, and now we have that. We have
[00:16:44.000 --> 00:16:48.000]   a guitar at home. We have a flute. It's crazy to me.
[00:16:48.000 --> 00:16:52.000]   But now we have this privilege of having anything that we have.
[00:16:52.000 --> 00:16:56.000]   And yet we realize, "No, we don't have three hours
[00:16:56.000 --> 00:17:00.000]   for the guitar, three hours for the flute, three hours for the car,
[00:17:00.000 --> 00:17:04.000]   get me started on that. I have pieces of car that I don't have
[00:17:04.000 --> 00:17:08.000]   ever installed yet." I'm sure some of us would like that.
[00:17:08.000 --> 00:17:12.000]   And I want you to think about that, because King Solomon
[00:17:12.000 --> 00:17:16.000]   widely said, "All of man." He says, "I planted my vineyards
[00:17:16.000 --> 00:17:20.000]   I had to be dumb. I grew this, grew that. I bought this, bought that.
[00:17:20.000 --> 00:17:24.000]   I had slaves, I had servants. I had just about everything." In the end, man,
[00:17:24.000 --> 00:17:28.000]   what was it? And you know what's really interesting?
[00:17:28.000 --> 00:17:32.000]   I was going to compare it, because I was going to give a thirdly suggestion.
[00:17:32.000 --> 00:17:36.000]   Don't have 50 million hobbies. Have one that you're good at.
[00:17:36.000 --> 00:17:40.000]   Be good at it. And I was going to give that admonishment,
[00:17:40.000 --> 00:17:44.000]   but that too is actually worthy of it. And in the end,
[00:17:44.000 --> 00:17:48.000]   you know what's really cool right now? People right now
[00:17:48.000 --> 00:17:52.000]   on the internet, on Facebook, and thank you to those who coordinated it,
[00:17:52.000 --> 00:17:56.000]   they're using their skill, garnering interest,
[00:17:56.000 --> 00:18:00.000]   and using that as a means to support issues, to support
[00:18:00.000 --> 00:18:04.000]   the evaluator, to support these causes of adoption.
[00:18:04.000 --> 00:18:08.000]   That's a fun one. Excellent stuff.
[00:18:08.000 --> 00:18:12.000]   Way to add intentionality to what you're doing. That's a two-thumbs up right there.
[00:18:12.000 --> 00:18:16.000]   That was great stuff. Is it always that we have to do that
[00:18:16.000 --> 00:18:20.000]   all the time, do everything? Probably not. But should we be thinking about that?
[00:18:20.000 --> 00:18:24.000]   Absolutely yes. What a great challenge that has been
[00:18:24.000 --> 00:18:28.000]   an admonishment for us. That we take heed
[00:18:28.000 --> 00:18:32.000]   of the fact that our time is absolutely up. That we don't have
[00:18:32.000 --> 00:18:36.000]   all the time. And what's more, the rationale that this could give is actually
[00:18:36.000 --> 00:18:40.000]   that... I'm sorry.
[00:18:40.000 --> 00:18:44.000]   The days are actually even.
[00:18:44.000 --> 00:18:48.000]   Now I want you guys to, in your group, discuss what does it mean that the days are even?
[00:18:48.000 --> 00:18:52.000]   And how does that challenge the way that we think about what opportunities
[00:18:52.000 --> 00:18:56.000]   are actually happening? It is a very interesting
[00:18:56.000 --> 00:19:00.000]   and weird, I guess you could say,
[00:19:00.000 --> 00:19:04.000]   discussion that Satan has instilled, I think, in our generation.
[00:19:04.000 --> 00:19:08.000]   Opportunities before you. You've got
[00:19:08.000 --> 00:19:12.000]   all the opportunity in the world. The answer is yes and no.
[00:19:12.000 --> 00:19:16.000]   The answer is it's a balance game. We are absolutely privileged
[00:19:16.000 --> 00:19:20.000]   that we have such great, incredible freedoms like never before.
[00:19:20.000 --> 00:19:24.000]   The fact of the matter is you're not. You have limited time,
[00:19:24.000 --> 00:19:28.000]   limited opportunity, and you have to make sure you are not squandering
[00:19:28.000 --> 00:19:32.000]   and wasting your time. We're going to achieve this in response
[00:19:32.000 --> 00:19:36.000]   to us and to the Mass. Let's move forward to
[00:19:36.000 --> 00:19:40.000]   commandment number three.
[00:19:40.000 --> 00:19:44.000]   Commandment number three says, "So then, don't be fooled,
[00:19:44.000 --> 00:19:48.000]   but understand who the will of the Lord is."
[00:19:48.000 --> 00:19:52.000]   The commandment here, I just want to highlight that, obviously
[00:19:52.000 --> 00:19:56.000]   is not just to study the will and get to know
[00:19:56.000 --> 00:20:00.000]   the will, but the idea is that you would know the will and why
[00:20:00.000 --> 00:20:04.000]   you need to know the will. The wise
[00:20:04.000 --> 00:20:08.000]   individual understands God's intent,
[00:20:08.000 --> 00:20:12.000]   what God is up to. Here's the way I like to put it. The wise
[00:20:12.000 --> 00:20:16.000]   individual knows what is pleasing to God. We talked about this
[00:20:16.000 --> 00:20:20.000]   in previous weeks. The wise individual, the individual who's walking
[00:20:20.000 --> 00:20:24.000]   carefully, understands this pleases the Lord.
[00:20:24.000 --> 00:20:28.000]   You should be able to say, "This is what God is honored by.
[00:20:28.000 --> 00:20:32.000]   This is what God is pleased by." And you should be able to say, "I kind of
[00:20:32.000 --> 00:20:36.000]   got that stuff." These are the things that a good son
[00:20:36.000 --> 00:20:40.000]   understands. Father's Day is coming up soon.
[00:20:40.000 --> 00:20:44.000]   If you're thinking about a gift for your father, the first question
[00:20:44.000 --> 00:20:48.000]   you should be asking is, "What does he like?"
[00:20:48.000 --> 00:20:52.000]   If you're sitting there like, "I have a good handbook,
[00:20:52.000 --> 00:20:56.000]   and now we have a problem. We have a bigger problem
[00:20:56.000 --> 00:21:00.000]   than I need to buy a gift. Your problem is more so than I need to get
[00:21:00.000 --> 00:21:04.000]   rid of my problem." That's the point here.
[00:21:04.000 --> 00:21:08.000]   I would like to make another observation that
[00:21:08.000 --> 00:21:12.000]   the commandment is very clear. Do not be foolish. That part we've already talked about.
[00:21:12.000 --> 00:21:16.000]   Foolish individuals do not walk carefully, do not be attentive, do not be
[00:21:16.000 --> 00:21:20.000]   accurate, do not be precise,
[00:21:20.000 --> 00:21:24.000]   do not be a point in the knee. You just walk.
[00:21:24.000 --> 00:21:28.000]   Just walk and be kind of careless. Here is that
[00:21:28.000 --> 00:21:32.000]   I don't understand what the rule is. My personal belief
[00:21:32.000 --> 00:21:36.000]   of where this applies, and I've been thinking about this recently, is in men.
[00:21:36.000 --> 00:21:40.000]   Now a lot of people will say this, "You know what the key to marriage is?
[00:21:40.000 --> 00:21:44.000]   Good communication." When you have bad communication, that's when things go south.
[00:21:44.000 --> 00:21:48.000]   So people talk about how men are from Mars and women are from Venus.
[00:21:48.000 --> 00:21:52.000]   We talk two different alien languages. That didn't mean so.
[00:21:52.000 --> 00:21:56.000]   Men just communicate way different. We're not expressive. Sometimes
[00:21:56.000 --> 00:22:00.000]   we don't dig into meaning of words and all that kind of stuff.
[00:22:00.000 --> 00:22:04.000]   And sometimes we do. We just have a different way of expressing ourselves.
[00:22:04.000 --> 00:22:08.000]   Okay. I don't think that's true. Because I've literally
[00:22:08.000 --> 00:22:12.000]   seen people speak two different languages and yet still
[00:22:12.000 --> 00:22:16.000]   come together. You know what actually one of the main
[00:22:16.000 --> 00:22:20.000]   keys of self-awareness is? When individuals know
[00:22:20.000 --> 00:22:24.000]   what they need to adopt. They know their role.
[00:22:24.000 --> 00:22:28.000]   They know what they're supposed to do because they know this dishonors
[00:22:28.000 --> 00:22:32.000]   the role. You know what's super frustrating? When an individual has no idea
[00:22:32.000 --> 00:22:36.000]   what we just got and they just automatically assume, "Whatever makes me
[00:22:36.000 --> 00:22:40.000]   happy because the thoughts are just going to do whatever makes me happy." Do you know how much that
[00:22:40.000 --> 00:22:44.000]   ruins any institution? Not just marriage. Churches.
[00:22:44.000 --> 00:22:48.000]   Basketball teams. Jobs. Business teams. Whatever they need.
[00:22:48.000 --> 00:22:52.000]   When an individual has no idea of their God-given
[00:22:52.000 --> 00:22:56.000]   role or objective, all of a sudden
[00:22:56.000 --> 00:23:00.000]   it's all messed up. All of a sudden, when you go to a team
[00:23:00.000 --> 00:23:04.000]   it does not feel like God. And so what's more
[00:23:04.000 --> 00:23:08.000]   worse than that is not only an individual who does not feel like he's a God, but maybe
[00:23:08.000 --> 00:23:12.000]   an individual who knows what he's a God, but just doesn't disobey.
[00:23:12.000 --> 00:23:16.000]   I think scripture is very, very clear.
