
[00:00:00.000 --> 00:00:07.200]   All right.
[00:04:53.480 --> 00:04:54.720]   Some of you guys who are in the finance industry.
[00:04:54.720 --> 00:05:00.080]   I mean, the market just went crazy, and you were disappointed in other ways.
[00:05:00.080 --> 00:05:04.160]   Many of you who own businesses, and you're dependent on these businesses.
[00:05:04.160 --> 00:05:10.040]   I mean, what a bad time to be business owners right now, and again, we feel for you, and
[00:05:10.040 --> 00:05:13.600]   we'll see how this is going to end up.
[00:05:13.600 --> 00:05:17.120]   But again, even with the stimulus package, and I can't imagine the stress that you guys
[00:05:17.120 --> 00:05:18.120]   are in.
[00:05:18.120 --> 00:05:24.440]   There are actually several couples that I've known outside the church who have canceled
[00:05:24.440 --> 00:05:28.360]   their wedding because of this, and again, we have couples in our church.
[00:05:28.360 --> 00:05:33.000]   We have one who's already canceled their wedding, and then we have other couples who is coming
[00:05:33.000 --> 00:05:37.560]   up in the next couple months, and they are wrestling right now with whether they need
[00:05:37.560 --> 00:05:39.680]   to be moving it back.
[00:05:39.680 --> 00:05:43.960]   And so what a stressful time for many of you.
[00:05:43.960 --> 00:05:49.320]   In many ways, every single one of us has been affected, and I, you know, for me and my family,
[00:05:49.320 --> 00:05:50.920]   it's probably been the easiest.
[00:05:50.920 --> 00:05:55.600]   And again, as I've mentioned, there's been a good blessing to be able to spend more time
[00:05:55.600 --> 00:06:01.800]   with the children, but as I and many of us are waiting this out, I feel for a lot of
[00:06:01.800 --> 00:06:04.280]   you who are in the midst of a turmoil.
[00:06:04.280 --> 00:06:05.960]   And again, it's not just us.
[00:06:05.960 --> 00:06:08.720]   This is going on all over the world.
[00:06:08.720 --> 00:06:14.400]   In fact, this week, Tokyo had to finally come out and say that they're going to have to
[00:06:14.400 --> 00:06:17.640]   cancel or postpone the Olympics.
[00:06:17.640 --> 00:06:23.560]   And to understand the gravity of that, that has only happened three times before, and
[00:06:23.560 --> 00:06:30.280]   each of those times that an Olympic was canceled or postponed, it happened because of war,
[00:06:30.280 --> 00:06:33.320]   World War I and World War II.
[00:06:33.320 --> 00:06:40.340]   And interestingly, one of those times was also supposed to be held in Tokyo, and they
[00:06:40.340 --> 00:06:43.720]   also had to cancel it because of World War II.
[00:06:43.720 --> 00:06:48.960]   So I remember talking to a Japanese businessman just a couple weeks ago before all this started,
[00:06:48.960 --> 00:06:52.760]   how he was getting information from his company in Japan saying that, telling him that he
[00:06:52.760 --> 00:06:56.920]   may not be able to come home, and they were so worried because the Japanese economy was
[00:06:56.920 --> 00:07:02.320]   already struggling, and to postpone or to cancel this Olympic would have devastating
[00:07:02.320 --> 00:07:04.280]   effects upon their economy.
[00:07:04.280 --> 00:07:06.000]   Obviously, we're all hurting.
[00:07:06.000 --> 00:07:10.880]   Every country is hurting, but to have a country to pour billions and billions of dollars preparing
[00:07:10.880 --> 00:07:15.920]   for this, hotels being built, stadiums being built, especially in an economy that has already
[00:07:15.920 --> 00:07:21.880]   been struggling, and it was a very, very big decision they had to make.
[00:07:21.880 --> 00:07:27.040]   So what is going on right now, it is not about individual stuff that's going on.
[00:07:27.040 --> 00:07:31.240]   It's not just one family, one church, or even one country.
[00:07:31.240 --> 00:07:34.160]   This devastation is affecting everybody.
[00:07:34.160 --> 00:07:38.280]   And I've already shared online that I've been speaking to our Indian pastors, and even in
[00:07:38.280 --> 00:07:41.720]   the remote villages, it's getting around.
[00:07:41.720 --> 00:07:45.840]   So the government actually shut down even villages, that they're not allowed to go to
[00:07:45.840 --> 00:07:47.520]   school, they're not allowed to come out.
[00:07:47.520 --> 00:07:52.280]   And so they've actually put a hard timeline of one month that they can't come out.
[00:07:52.280 --> 00:07:56.880]   And so for us, we have online, we can still go to the supermarkets and pick up stuff,
[00:07:56.880 --> 00:08:00.480]   but imagine in the villages, if they can't come out, what kind of effects that they're
[00:08:00.480 --> 00:08:02.400]   going to be feeling after about a month.
[00:08:02.400 --> 00:08:06.620]   So this is affecting almost every human being alive.
[00:08:06.620 --> 00:08:13.040]   And so it requires us to pray, it requires us to really seek God.
[00:08:13.040 --> 00:08:17.840]   And I think that's why it's appropriate for us as Christians, that we really focus our
[00:08:17.840 --> 00:08:22.140]   attention during this time upon who Christ is.
[00:08:22.140 --> 00:08:27.560]   Right now, as the world is looking for answers, you know, who has the antivirus, what country
[00:08:27.560 --> 00:08:32.720]   is doing the best job, what hospitals are handling this virus well, what leaders are
[00:08:32.720 --> 00:08:36.840]   making the right decisions, and we are looking for all kinds of answers.
[00:08:36.840 --> 00:08:40.240]   And all of these things are necessary.
[00:08:40.240 --> 00:08:47.180]   But as Christians, we believe that the answer is ultimately found in Christ and Christ alone.
[00:08:47.180 --> 00:08:51.040]   There is no authority, the Bible says, that has been established that has not been established
[00:08:51.040 --> 00:08:52.040]   by God himself.
[00:08:52.040 --> 00:08:58.520]   So it would be severely short-sighted to simply think that if we had the right leaders, if
[00:08:58.520 --> 00:09:02.580]   we made the right decisions, if we had the right money allocated at the right place,
[00:09:02.580 --> 00:09:05.440]   that all this is just simply going to go away.
[00:09:05.440 --> 00:09:09.760]   To recognize that what is happening around the world right now is symptomatic of the
[00:09:09.760 --> 00:09:14.200]   warning that the Bible has been giving all this time, whether we are living in plenty
[00:09:14.200 --> 00:09:19.120]   or whether we are living in want, whether we are socializing with our friends, whether
[00:09:19.120 --> 00:09:24.480]   we are living in safety and abundance, the Bible warns us there is a spiritual reality
[00:09:24.480 --> 00:09:29.240]   behind all of that that causes us to seek Christ.
[00:09:29.240 --> 00:09:35.320]   You know, the good thing about all of this, even with all the tragedy, is that the facade
[00:09:35.320 --> 00:09:37.880]   has been taken away.
[00:09:37.880 --> 00:09:41.960]   And the reality of the situation of mankind has been revealed to the world.
[00:09:41.960 --> 00:09:45.040]   We are helpless.
[00:09:45.040 --> 00:09:50.520]   Even if we find a cure to this virus, even if the businesses go back and the stock market
[00:09:50.520 --> 00:09:56.760]   just skyrockets back into where it is, what you and I are experiencing now is something
[00:09:56.760 --> 00:10:03.240]   that the Bible has been warning from the beginning of human history, that all have sinned and
[00:10:03.240 --> 00:10:06.920]   fall short of the glory of God.
[00:10:06.920 --> 00:10:13.320]   And so it is now more than ever that you and I diligently seek the glory of God.
[00:10:13.320 --> 00:10:15.200]   And that's what these "I Am" statements are.
[00:10:15.200 --> 00:10:22.560]   The seven "I Am" statements is Christ connecting Himself to Exodus chapter 3 when Yahweh introduced
[00:10:22.560 --> 00:10:26.600]   Himself and says, "I Am that I Am has sent you."
[00:10:26.600 --> 00:10:28.640]   How do I introduce you?
[00:10:28.640 --> 00:10:29.640]   How can I go to Israel?
[00:10:29.640 --> 00:10:34.880]   How can I go to Pharaoh and say, "This tiny little nation is going to be delivered.
[00:10:34.880 --> 00:10:37.480]   Who do I say has sent me?"
[00:10:37.480 --> 00:10:39.960]   Tell them, "I Am has sent you."
[00:10:39.960 --> 00:10:42.600]   And so we talked about that last week.
[00:10:42.600 --> 00:10:48.560]   And so the connection today is it's clear that Jesus' "I Am" statement was not an inconsequential
[00:10:48.560 --> 00:10:49.560]   statement.
[00:10:49.560 --> 00:10:51.560]   It's just not the word to be.
[00:10:51.560 --> 00:10:56.400]   And He just happened to be using that in just an average sentence.
[00:10:56.400 --> 00:11:02.520]   In fact, in the Greek structure, the "I Am" statement is "ego-ai-me."
[00:11:02.520 --> 00:11:06.160]   And both words have similar meaning.
[00:11:06.160 --> 00:11:09.320]   The both words, the root word is "to be."
[00:11:09.320 --> 00:11:14.400]   So if you were to read it literally, Jesus actually says in Greek, "I Am, I Am."
[00:11:14.400 --> 00:11:15.800]   And it sounds redundant.
[00:11:15.800 --> 00:11:21.200]   But the reason why He does that is because in the Septuagint, the Greek translation of
[00:11:21.200 --> 00:11:28.480]   Exodus, that's exactly how that verse is translated, "ego-ai-me."
[00:11:28.480 --> 00:11:34.760]   So when Jesus says in the seven "I Am" statements, He is referring Himself to that same God that
[00:11:34.760 --> 00:11:37.880]   Moses met at the burning bush.
[00:11:37.880 --> 00:11:39.320]   Tell them, "I Am has sent me."
[00:11:39.320 --> 00:11:46.680]   So Jesus says in the seven distinct statements, "I Am the bread of life."
[00:11:46.680 --> 00:11:50.960]   These "I Am" statements are telling two things.
[00:11:50.960 --> 00:11:54.360]   One, clearly Jesus is God.
[00:11:54.360 --> 00:11:59.720]   In fact, one of the clearest places where Jesus identifies Himself as God is in chapter
[00:11:59.720 --> 00:12:00.720]   five.
[00:12:00.720 --> 00:12:02.360]   But we're not going to be studying that today.
[00:12:02.360 --> 00:12:08.400]   But after He lays that down, He continues on through the book of John, identifying Himself
[00:12:08.400 --> 00:12:11.360]   over and over and over and over again.
[00:12:11.360 --> 00:12:16.120]   So a Jew who was paying attention to Him closely would have clearly understood, even with just
[00:12:16.120 --> 00:12:21.320]   with one "I Am" statement, Jesus is not simply saying He's a prophet.
[00:12:21.320 --> 00:12:27.680]   Jesus is not simply saying that He's a rabbi or He's equal to the greatest of prophets
[00:12:27.680 --> 00:12:28.720]   in the Old Testament.
[00:12:28.720 --> 00:12:30.080]   He says He is above all of that.
[00:12:30.080 --> 00:12:32.600]   He says He is God Himself.
[00:12:32.600 --> 00:12:36.140]   That's the first thing that these "I Am" statements are clarifying for us.
[00:12:36.140 --> 00:12:41.680]   But the second thing that He says, along with that, every one of these "I Am" statements
[00:12:41.680 --> 00:12:45.920]   tears down Israel's hopes that they put on.
[00:12:45.920 --> 00:12:50.560]   Kind of the religiousness, how they were looking for the Messiah to come and what they imagined
[00:12:50.560 --> 00:12:52.040]   the Messiah to be.
[00:12:52.040 --> 00:12:55.040]   How they thought the Messiah was going to come and He was going to bring this golden
[00:12:55.040 --> 00:12:57.420]   era of peace.
[00:12:57.420 --> 00:13:00.000]   That they're going to overthrow the Roman government.
[00:13:00.000 --> 00:13:03.280]   They're going to have plenty of food.
[00:13:03.280 --> 00:13:07.000]   And Israel is going to be restored back to whatever glory that they were thinking in
[00:13:07.000 --> 00:13:08.660]   their head.
[00:13:08.660 --> 00:13:15.400]   Every one of these "I Am" statements are breaking down the false hopes of mankind and making
[00:13:15.400 --> 00:13:21.320]   it very clear that if you put your hope in anything else, that you will hunger again
[00:13:21.320 --> 00:13:23.960]   and you will thirst again.
[00:13:23.960 --> 00:13:29.000]   And that's why I think it's very relevant for us to study the "I Am" statements of Christ.
[00:13:29.000 --> 00:13:35.360]   Now that the outside facade of human history, you know, the curtain has been taken out and
[00:13:35.360 --> 00:13:41.000]   we see who we really are, in the end, we are helpless.
[00:13:41.000 --> 00:13:43.340]   We're absolutely helpless.
[00:13:43.340 --> 00:13:48.380]   That our leaders aren't going to make the perfect decision to make this go away.
[00:13:48.380 --> 00:13:50.420]   Some of us are going to get sick.
[00:13:50.420 --> 00:13:53.040]   Some of us may die from that.
[00:13:53.040 --> 00:13:58.300]   But whether we make it through this and some of us get hurt by this, one thing is absolutely
[00:13:58.300 --> 00:14:00.720]   crystal clear.
[00:14:00.720 --> 00:14:05.480]   We will all suffer on our way to death.
[00:14:05.480 --> 00:14:07.120]   One hundred percent.
[00:14:07.120 --> 00:14:08.800]   One hundred percent.
[00:14:08.800 --> 00:14:13.880]   The only difference between each individual is when this is going to happen.
[00:14:13.880 --> 00:14:18.460]   Will it happen when we're young or will it happen when we're old?
[00:14:18.460 --> 00:14:22.480]   But in the end, the Bible says, "Inasmuch it is appointed for all men to die once, after
[00:14:22.480 --> 00:14:24.780]   this comes judgment."
[00:14:24.780 --> 00:14:28.760]   Our hope is found in Christ, in Christ alone.
[00:14:28.760 --> 00:14:33.280]   The first statement, "I am the bread of life."
[00:14:33.280 --> 00:14:37.200]   In order to understand the statement that he says later on in this chapter, we need
[00:14:37.200 --> 00:14:39.080]   to understand the context.
[00:14:39.080 --> 00:14:43.680]   Because Jesus is not just speaking in open air, just talking to anybody.
[00:14:43.680 --> 00:14:52.000]   He's talking to 5,000 people who just ate the miraculous bread and the miraculous fish.
[00:14:52.000 --> 00:14:56.840]   There's only two miracles that are mentioned in the Gospels that are repeated in all four
[00:14:56.840 --> 00:14:57.840]   Gospels.
[00:14:57.840 --> 00:15:00.880]   Do you know what they are?
[00:15:00.880 --> 00:15:05.240]   This one and the other one is the resurrection of Christ.
[00:15:05.240 --> 00:15:09.800]   Those are the only two miracles that are repeated in all four Gospels.
[00:15:09.800 --> 00:15:13.480]   So that tells us the significance of this miracle.
[00:15:13.480 --> 00:15:16.520]   This was not one of many miracles.
[00:15:16.520 --> 00:15:24.400]   It happens to be a miracle where the rejection of Christ happens in this chapter.
[00:15:24.400 --> 00:15:28.680]   Usually when we think of rejection of Christ, we think about Christ coming in on Palm Sunday
[00:15:28.680 --> 00:15:31.120]   and then Him being crucified on the cross.
[00:15:31.120 --> 00:15:37.720]   Well, the rejection that happened in mass numbers really happens in this chapter.
[00:15:37.720 --> 00:15:43.560]   Up to this point, if you remember, every time He performs a miracle, He's concerned that
[00:15:43.560 --> 00:15:49.680]   His fame is going to spread all over and He would continue to tell the people who experience
[00:15:49.680 --> 00:15:52.440]   this miracle and saying, "Do not tell anybody yet.
[00:15:52.440 --> 00:15:53.440]   It is not time.
[00:15:53.440 --> 00:15:54.440]   It is not time."
[00:15:54.440 --> 00:15:58.200]   Well, that time has finally come.
[00:15:58.200 --> 00:16:05.640]   He deliberately performs this miracle to 5,000 adult male and most conservative commentaries
[00:16:05.640 --> 00:16:10.920]   will believe that somewhere between 15,000 to 20,000 people were with Him.
[00:16:10.920 --> 00:16:14.400]   So this was very, very public.
[00:16:14.400 --> 00:16:19.560]   And it took place in the area where He did majority of His miracles.
[00:16:19.560 --> 00:16:21.800]   This is about two and a half years into His ministry.
[00:16:21.800 --> 00:16:26.680]   It's about six months or less before He actually ends up going to Jerusalem.
[00:16:26.680 --> 00:16:33.360]   So He, after this happens, He's going to transition from His public ministry to His private ministry,
[00:16:33.360 --> 00:16:38.400]   primarily focused on His disciples, preparing them to go to the cross.
[00:16:38.400 --> 00:16:46.800]   So you can say that this is a turning point in His public ministry to His private ministry.
[00:16:46.800 --> 00:16:50.720]   So again, let's get to chapter 6.
[00:16:50.720 --> 00:16:54.440]   Again, I'm not going to go into the details of all of this because I want to give you
[00:16:54.440 --> 00:16:57.360]   a broad picture of what happens.
[00:16:57.360 --> 00:17:03.080]   Chapter 6, 14 through 15, it says, "Therefore, when the people saw the sign which He had
[00:17:03.080 --> 00:17:08.760]   performed, they said, 'This is truly the prophet who is to come into the world.'
[00:17:08.760 --> 00:17:13.120]   So Jesus, perceiving that they were intending to come and take Him by force to make Him
[00:17:13.120 --> 00:17:16.640]   king, withdrew again to the mountain by Himself alone."
[00:17:16.640 --> 00:17:21.240]   Understandable.
[00:17:21.240 --> 00:17:28.880]   Every single one of these people who actually ate the miraculous bread, ate the miraculous
[00:17:28.880 --> 00:17:32.060]   fish, they probably heard.
[00:17:32.060 --> 00:17:33.400]   Maybe they had a friend.
[00:17:33.400 --> 00:17:35.300]   Maybe they had a friend of a friend.
[00:17:35.300 --> 00:17:40.040]   Or maybe they just heard that in some remote village, Jesus was performing miracles and
[00:17:40.040 --> 00:17:44.800]   a blind man opened his eyes and a lame man was able to walk and He was able to calm the
[00:17:44.800 --> 00:17:45.800]   storm.
[00:17:45.800 --> 00:17:47.240]   And the storm has already spread.
[00:17:47.240 --> 00:17:52.760]   And maybe there's some scattered people in this room who are firsthand eyewitnesses.
[00:17:52.760 --> 00:17:59.080]   But after the eating of the 5,000, every single one of them was able to touch and eat and
[00:17:59.080 --> 00:18:01.400]   digest this miraculous food.
[00:18:01.400 --> 00:18:04.820]   In fact, Jesus wanted to make it very clear.
[00:18:04.820 --> 00:18:09.400]   After He performs a miracle, how many baskets were left over?
[00:18:09.400 --> 00:18:11.000]   Twelve.
[00:18:11.000 --> 00:18:14.960]   Now, why do you think there were 12 baskets?
[00:18:14.960 --> 00:18:18.640]   And who do you think were carrying them?
[00:18:18.640 --> 00:18:20.880]   The disciples.
[00:18:20.880 --> 00:18:25.280]   So Jesus was not just only making it clear to the multitudes.
[00:18:25.280 --> 00:18:29.680]   Can you imagine the disciples who collected enough to fill 12 baskets and each one of
[00:18:29.680 --> 00:18:31.200]   them carrying them?
[00:18:31.200 --> 00:18:34.320]   And so they probably were eating that for the next week or two.
[00:18:34.320 --> 00:18:42.120]   And every time they ate it, it was a reminder to them that they were eating something miraculous.
[00:18:42.120 --> 00:18:43.800]   It was time.
[00:18:43.800 --> 00:18:50.160]   Jesus was preparing to go to the cross and He was declaring who He is.
[00:18:50.160 --> 00:18:55.320]   But in the very same chapter, at the end of this chapter, these people who are so elated
[00:18:55.320 --> 00:19:00.160]   with Christ wanted to forcefully make Him king.
[00:19:00.160 --> 00:19:06.560]   In chapter 666, it says, "As a result of this, many of His disciples withdrew and were
[00:19:06.560 --> 00:19:09.520]   not walking with Him anymore."
[00:19:09.520 --> 00:19:17.360]   The same people who wanted to make Him king, just a few verses later in the same chapter,
[00:19:17.360 --> 00:19:21.720]   said that because of this, they were no longer walking with Christ.
[00:19:21.720 --> 00:19:23.840]   What is this?
[00:19:23.840 --> 00:19:28.360]   What happened in between the feeding of the 5,000 and the rejection of Christ?
[00:19:28.360 --> 00:19:36.840]   That is a really important question because this is the turning point of Jesus' ministry.
[00:19:36.840 --> 00:19:42.520]   The miracle that leads to the crowds wanting to make Jesus king, it says in verse 14 and
[00:19:42.520 --> 00:19:45.400]   15 again, "They saw the signs.
[00:19:45.400 --> 00:19:50.440]   When the people saw the sign which He had performed, they said, 'This is truly the
[00:19:50.440 --> 00:19:51.440]   prophet.'"
[00:19:51.440 --> 00:19:53.960]   Let me stop right there.
[00:19:53.960 --> 00:19:58.680]   Remember when Jesus asked the disciples, "Who do men say that I am?"
[00:19:58.680 --> 00:20:03.440]   And He said, "Some say you're Elijah, some say you're the prophet."
[00:20:03.440 --> 00:20:05.720]   And then He turns around and said, "Who do you say that I am?"
[00:20:05.720 --> 00:20:10.840]   And Jesus basically says, He's correcting them, "Well, who am I really?"
[00:20:10.840 --> 00:20:15.120]   And Peter says, "You are the Son, the Christ of the living God," or "the Christ, the Son
[00:20:15.120 --> 00:20:16.120]   of the living God."
[00:20:16.120 --> 00:20:24.680]   Well, these people saw the miracles of Christ and they knew He was not an ordinary man,
[00:20:24.680 --> 00:20:28.680]   but their faith did not come all the way.
[00:20:28.680 --> 00:20:29.680]   They were waiting for this prophet.
[00:20:29.680 --> 00:20:34.360]   They said, "He must be a prophet because a normal person can't be doing what He is doing."
[00:20:34.360 --> 00:20:38.960]   So no wonder they wanted to make Him king.
[00:20:38.960 --> 00:20:43.640]   They wanted to make Him king because who wouldn't want a king like this?
[00:20:43.640 --> 00:20:47.480]   In fact, the king that they had now, Herod, they considered him to be a traitor.
[00:20:47.480 --> 00:20:49.960]   In fact, they didn't even acknowledge him as king.
[00:20:49.960 --> 00:20:55.520]   So the fact that Christ comes and He's healing people and He's feeding people, who wouldn't
[00:20:55.520 --> 00:20:58.320]   want this as your king?
[00:20:58.320 --> 00:21:03.320]   John 26, Jesus sees that they want to make Him king.
[00:21:03.320 --> 00:21:07.280]   He knows that they had defected faith and He breaks away from them for a rest and they
[00:21:07.280 --> 00:21:09.680]   find out that He's not there.
[00:21:09.680 --> 00:21:13.640]   So they pack up their bags next morning and they cross to the other side of where Jesus
[00:21:13.640 --> 00:21:16.240]   is and they finally find Christ.
[00:21:16.240 --> 00:21:22.320]   And Jesus, when He sees them coming, instead of saying, "Good and faithful servant, man,
[00:21:22.320 --> 00:21:26.000]   you guys went through all of that and grabbed your children and sought after me and you're
[00:21:26.000 --> 00:21:27.760]   hungry, let me feed you."
[00:21:27.760 --> 00:21:34.680]   Again, instead, Jesus corrects them in verse 26, "He answered them and said, 'Truly, truly,
[00:21:34.680 --> 00:21:40.560]   I say to you, you seek me not because you saw signs, but because you ate of the loaves
[00:21:40.560 --> 00:21:41.560]   and were filled.'"
[00:21:41.560 --> 00:21:46.160]   In other words, your faith is defective.
[00:21:46.160 --> 00:21:52.160]   You're coming to me because you ate, not because you saw the signs.
[00:21:52.160 --> 00:21:54.280]   You see what He's doing here?
[00:21:54.280 --> 00:21:57.160]   Because in the previous verse, in verse 14, it says, "They were coming to Him because
[00:21:57.160 --> 00:21:58.160]   they saw the sign."
[00:21:58.160 --> 00:22:03.240]   Jesus says, "You're not coming to me because you saw the sign.
[00:22:03.240 --> 00:22:06.320]   You're coming to me because you ate bread."
[00:22:06.320 --> 00:22:07.320]   Which is it?
[00:22:07.320 --> 00:22:10.740]   It seems like a contradiction, right?
[00:22:10.740 --> 00:22:14.480]   The difference between what they were doing, what Jesus was saying that they weren't doing
[00:22:14.480 --> 00:22:20.520]   was they saw the sign as their final destination.
[00:22:20.520 --> 00:22:28.000]   Because the sign is there for the purpose of pointing to where you ought to go.
[00:22:28.000 --> 00:22:34.880]   So if you're driving on the road and the sign says, "To LA, 28 miles," you don't stop at
[00:22:34.880 --> 00:22:36.720]   that sign and say, "We've made it."
[00:22:36.720 --> 00:22:41.040]   Because the sign only points to where you're supposed to go.
[00:22:41.040 --> 00:22:46.960]   So every miracle that Jesus performed, ultimately, was performed for the purpose of pointing
[00:22:46.960 --> 00:22:50.440]   to Christ, to lead them to Christ.
[00:22:50.440 --> 00:22:55.200]   They saw the sign, they stopped at the sign because the sign was delicious.
[00:22:55.200 --> 00:23:01.360]   In other words, He's saying, "You came to me because you ate," not because you're following
[00:23:01.360 --> 00:23:06.600]   what the sign points to.
[00:23:06.600 --> 00:23:14.560]   We have to be careful that Jesus doesn't simply become the means to whatever goal that we
[00:23:14.560 --> 00:23:17.400]   have established in life.
[00:23:17.400 --> 00:23:23.640]   And this is where, as evangelical conservative Christians, we will look at the health and
[00:23:23.640 --> 00:23:26.960]   wealth gospel and say, "These guys are teaching false doctrines.
