
[00:00:00.000 --> 00:00:01.580]   - So good morning.
[00:01:46.240 --> 00:01:48.240]   as we were going through the covenants,
[00:01:48.240 --> 00:01:52.240]   the very practical nature of the covenant
[00:01:52.240 --> 00:01:55.240]   and the signing of that covenant by our members.
[00:01:55.240 --> 00:01:58.240]   And he mentioned, and he kind of reiterated
[00:01:58.240 --> 00:02:02.240]   that we want our church to adhere
[00:02:02.240 --> 00:02:04.240]   to what Paul encourages Timothy,
[00:02:04.240 --> 00:02:07.240]   to watch our life and doctrine well.
[00:02:07.240 --> 00:02:11.240]   So I get the privilege of getting to the very,
[00:02:11.240 --> 00:02:16.240]   very practical, your money, right?
[00:02:16.240 --> 00:02:19.240]   So let's jump into this covenant.
[00:02:19.240 --> 00:02:22.240]   So it's, in covenant number eight says,
[00:02:22.240 --> 00:02:26.240]   "I commit to tithing and giving financially
[00:02:26.240 --> 00:02:30.240]   "in accordance with Christ's lordship over my life."
[00:02:30.240 --> 00:02:31.240]   Let me read that again.
[00:02:31.240 --> 00:02:34.240]   "I commit to tithing and giving financially
[00:02:34.240 --> 00:02:37.240]   "in accordance with Christ's lordship over my life."
[00:02:37.240 --> 00:02:41.240]   So when we think about finances in general,
[00:02:41.240 --> 00:02:43.240]   we need to think rightly,
[00:02:43.240 --> 00:02:46.240]   and with the proper perspective.
[00:02:46.240 --> 00:02:51.240]   Finances permeates every day, most days of our life,
[00:02:51.240 --> 00:02:53.240]   how we spend our money.
[00:02:53.240 --> 00:02:56.240]   Maybe we eat out, maybe we're spending, paying bills.
[00:02:56.240 --> 00:02:59.240]   Obviously those things are permeating
[00:02:59.240 --> 00:03:01.240]   through our day to day.
[00:03:01.240 --> 00:03:04.240]   And how often are you self-reflecting
[00:03:04.240 --> 00:03:08.240]   or evaluating your thinking about finances and money
[00:03:08.240 --> 00:03:10.240]   and how you spend money, right?
[00:03:10.240 --> 00:03:14.240]   So unfortunately, we have heard in the church
[00:03:14.240 --> 00:03:18.240]   many stories of bad things, right?
[00:03:18.240 --> 00:03:20.240]   If you've been in the church, you know that
[00:03:20.240 --> 00:03:24.240]   we've heard the news over the years of theft,
[00:03:24.240 --> 00:03:28.240]   of embezzlement, of fraud,
[00:03:28.240 --> 00:03:31.240]   all of these things in the church.
[00:03:31.240 --> 00:03:33.240]   So your initial reaction might be,
[00:03:33.240 --> 00:03:37.240]   as you give, where's my money going?
[00:03:37.240 --> 00:03:40.240]   Where's my money going?
[00:03:40.240 --> 00:03:42.240]   Is it being used properly?
[00:03:42.240 --> 00:03:46.240]   And those are things that we should be intentional about
[00:03:46.240 --> 00:03:49.240]   and we should be thorough about.
[00:03:49.240 --> 00:03:52.240]   And as one of the elders,
[00:03:52.240 --> 00:03:56.240]   or the elder that handles our financials for our church,
[00:03:56.240 --> 00:03:59.240]   and for the most part, I'm very encouraged by our members
[00:03:59.240 --> 00:04:03.240]   that they adhere to this and give,
[00:04:03.240 --> 00:04:04.240]   and with intentionality.
[00:04:04.240 --> 00:04:07.240]   Not just because you signed a covenant to say,
[00:04:07.240 --> 00:04:09.240]   hey, I'm gonna tithe and give financially,
[00:04:09.240 --> 00:04:11.240]   'cause I signed it,
[00:04:11.240 --> 00:04:13.240]   but there's intentionality for the most part.
[00:04:13.240 --> 00:04:17.240]   So in terms of this topic,
[00:04:17.240 --> 00:04:20.240]   there shouldn't be anything new about
[00:04:20.240 --> 00:04:25.240]   the idea of giving for God's kingdom and for his church, right?
[00:04:25.240 --> 00:04:28.240]   And this message is not trying to milk you
[00:04:28.240 --> 00:04:30.240]   for more money or anything like that,
[00:04:30.240 --> 00:04:33.240]   so that's not the goal.
[00:04:33.240 --> 00:04:34.240]   If it ends up happening,
[00:04:34.240 --> 00:04:38.240]   then that was the spirit convicting you to give more, right?
[00:04:38.240 --> 00:04:43.240]   It's not me trying to milk you for that, okay?
[00:04:43.240 --> 00:04:46.240]   So what does the Bible say about money, right?
[00:04:46.240 --> 00:04:49.240]   As I was preparing this message,
[00:04:49.240 --> 00:04:51.240]   it came across, I was just overwhelmed.
[00:04:51.240 --> 00:04:55.240]   Overwhelmed with how much the Bible talks about finances
[00:04:55.240 --> 00:04:58.240]   and attitudes towards money.
[00:04:58.240 --> 00:05:00.240]   I can't do it in one message.
[00:05:00.240 --> 00:05:01.240]   There's no way.
[00:05:01.240 --> 00:05:05.240]   But I'm gonna try to touch upon some major points.
[00:05:05.240 --> 00:05:10.240]   So if you flip the next slide, just the Gospels, okay?
[00:05:10.240 --> 00:05:13.240]   So as I was studying, as I was preparing,
[00:05:13.240 --> 00:05:15.240]   there's probably about 38 to 40 parables
[00:05:15.240 --> 00:05:18.240]   that Jesus gives in his ministry.
[00:05:18.240 --> 00:05:22.240]   One out of three are talking about finances and money.
[00:05:22.240 --> 00:05:23.240]   Let's go through this.
[00:05:23.240 --> 00:05:28.240]   The hidden treasure, parable of the pearl of great price,
[00:05:28.240 --> 00:05:29.240]   the lost coin.
[00:05:29.240 --> 00:05:33.240]   And you should kind of have an idea what these are about, right?
[00:05:33.240 --> 00:05:37.240]   The talents, easy one, the prodigal son and money, right?
[00:05:37.240 --> 00:05:39.240]   He blows the money.
[00:05:39.240 --> 00:05:42.240]   The rich man and Lazarus.
[00:05:42.240 --> 00:05:44.240]   Caesar's taxes.
[00:05:44.240 --> 00:05:46.240]   The rich young ruler.
[00:05:46.240 --> 00:05:49.240]   The laborers in the vineyard.
[00:05:49.240 --> 00:05:55.240]   So there's many more, and that's just the Gospels, right?
[00:05:55.240 --> 00:06:02.240]   Money issues and money teaching is not ambiguous in Scripture.
[00:06:02.240 --> 00:06:06.240]   So as I was thinking through this,
[00:06:06.240 --> 00:06:10.240]   the idea of what are the most sensitive areas of discussion
[00:06:10.240 --> 00:06:12.240]   when you talk to people?
[00:06:12.240 --> 00:06:15.240]   What are the things that people say don't talk about
[00:06:15.240 --> 00:06:16.240]   with other people?
[00:06:16.240 --> 00:06:19.240]   I Googled it, of course.
[00:06:19.240 --> 00:06:23.240]   The three things not to discuss in polite company.
[00:06:23.240 --> 00:06:25.240]   Number one, religion, right?
[00:06:25.240 --> 00:06:28.240]   You've heard of these, religion.
[00:06:28.240 --> 00:06:31.240]   Number two, politics.
[00:06:31.240 --> 00:06:33.240]   And number three, money.
[00:06:33.240 --> 00:06:36.240]   So I get two of three that I get to talk about.
[00:06:36.240 --> 00:06:40.240]   I would argue number two touches religion.
[00:06:40.240 --> 00:06:42.240]   But we're not going to talk about politics, right?
[00:06:42.240 --> 00:06:46.240]   If you want to talk to me offline or away from the pulpit,
[00:06:46.240 --> 00:06:48.240]   I'll be happy to discuss those things with you.
[00:06:48.240 --> 00:06:52.240]   But I get to touch upon this sensitive issue of don't talk about this
[00:06:52.240 --> 00:06:53.240]   with other people.
[00:06:53.240 --> 00:06:57.240]   Money, religion, politics, all of these things.
[00:06:57.240 --> 00:06:59.240]   So if you follow along with the outline,
[00:06:59.240 --> 00:07:02.240]   I'm going to give it up front as our pastors have been doing.
[00:07:02.240 --> 00:07:05.240]   Number one, offerings and ties.
[00:07:05.240 --> 00:07:10.240]   Number two, obligation versus free will, the idea of lordship.
[00:07:10.240 --> 00:07:15.240]   And then the practical, the rubber meets the road.
[00:07:15.240 --> 00:07:20.240]   So as I was speaking to our pastors and Pastor Mark and I had a discussion,
[00:07:20.240 --> 00:07:23.240]   I think last week, about topical messages.
[00:07:23.240 --> 00:07:26.240]   Topical messages are difficult.
[00:07:26.240 --> 00:07:33.240]   We both agree that there's so much material out there to try to get a topic addressed.
[00:07:33.240 --> 00:07:39.240]   It's a lot easier sometimes to have a passage and dive into expository
[00:07:39.240 --> 00:07:43.240]   kind of exposition on that passage because you have a place to go.
[00:07:43.240 --> 00:07:46.240]   You can look at the passage through all angles.
[00:07:46.240 --> 00:07:48.240]   Topical is very big.
[00:07:48.240 --> 00:07:52.240]   So what I said was, "Well, okay, I'm going to do this.
[00:07:52.240 --> 00:07:55.240]   I'm going to exposit the covenant."
[00:07:55.240 --> 00:08:00.240]   It gives us a platform, at least for me, to jump off of.
[00:08:00.240 --> 00:08:02.240]   So it's broken down into two sections.
[00:08:02.240 --> 00:08:07.240]   I commit to tithing and giving financially in accordance with Christ's lordship
[00:08:07.240 --> 00:08:09.240]   over my life.
[00:08:09.240 --> 00:08:13.240]   Personal commitment, I commit.
[00:08:13.240 --> 00:08:16.240]   And built into that statement is the idea of motivation.
[00:08:16.240 --> 00:08:19.240]   In accordance with the lordship of Christ.
[00:08:19.240 --> 00:08:24.240]   So when we think about tithe, the Greek word is "masar," tenth.
[00:08:24.240 --> 00:08:25.240]   Literally tenth.
[00:08:25.240 --> 00:08:28.240]   So I looked up in the dictionary as well.
[00:08:28.240 --> 00:08:34.240]   The dictionary definition of tithe is the tenth part of agricultural produce
[00:08:34.240 --> 00:08:40.240]   or personal income set apart as an offering to God or for works of mercy
[00:08:40.240 --> 00:08:46.240]   or the same amount regarded as an obligation or tax for the support of the church,
[00:08:46.240 --> 00:08:49.240]   priesthood or the like.
[00:08:49.240 --> 00:08:54.240]   So when we put this into the covenant, well aware that the New Testament
[00:08:54.240 --> 00:08:57.240]   doesn't necessarily address tithe as the word, right?
[00:08:57.240 --> 00:09:00.240]   But the Old Testament required it.
[00:09:00.240 --> 00:09:05.240]   It was required in the law.
[00:09:05.240 --> 00:09:08.240]   So when we think as we go through the Old Testament,
[00:09:08.240 --> 00:09:13.240]   as we see that the tithe is ultimately a bare minimum of what the Old Testament
[00:09:13.240 --> 00:09:16.240]   believers were giving.
[00:09:16.240 --> 00:09:20.240]   So what I wanted to do is kind of a brief case study through the Old Testament
[00:09:20.240 --> 00:09:22.240]   sacrificial system.
[00:09:22.240 --> 00:09:26.240]   For those of you who were here during Leviticus study,
[00:09:26.240 --> 00:09:28.240]   we're going to touch upon some of the things you probably already learned.
[00:09:28.240 --> 00:09:34.240]   But if you turn to Deuteronomy 12, 4 through 7,
[00:09:34.240 --> 00:09:36.240]   it's up there for your reading if you don't have your Bible
[00:09:36.240 --> 00:09:43.240]   or you can't get there fast enough.
[00:09:43.240 --> 00:09:46.240]   And it says, "You shall not act like this."
[00:09:46.240 --> 00:09:49.240]   Okay, sorry, let me set this up.
[00:09:49.240 --> 00:09:51.240]   The first few verses of this passage,
[00:09:51.240 --> 00:09:55.240]   he's talking about the comparison between idol worshipers and other nations.
[00:09:55.240 --> 00:10:01.240]   So it picks up in verse 4, "You shall not act like this toward the Lord your God.
[00:10:01.240 --> 00:10:04.240]   But you shall seek the Lord at the place which the Lord your God will choose
[00:10:04.240 --> 00:10:09.240]   from all your tribes to establish his name there for his dwelling.
[00:10:09.240 --> 00:10:11.240]   And there you shall come.
[00:10:11.240 --> 00:10:15.240]   There you shall bring your burnt offerings, your sacrifices, your tithes,
[00:10:15.240 --> 00:10:19.240]   the contribution of your hand, your votive offerings, your freewill offerings,
[00:10:19.240 --> 00:10:22.240]   and the firstborn of your herd and of your flock.
[00:10:22.240 --> 00:10:25.240]   There also you and your household shall eat before the Lord your God
[00:10:25.240 --> 00:10:31.240]   and rejoice in all your understandings in which the Lord your God has blessed you."
[00:10:31.240 --> 00:10:37.240]   So there was this requirement as they approached God,
[00:10:37.240 --> 00:10:39.240]   God required offerings.
[00:10:39.240 --> 00:10:43.240]   So when were these offerings taken?
[00:10:43.240 --> 00:10:47.240]   Pretty much every gathering of the people of God, right?
[00:10:47.240 --> 00:10:50.240]   The festivals, the feasts, the announcements,
[00:10:50.240 --> 00:10:54.240]   they brought an offering before the Lord.
[00:10:54.240 --> 00:10:56.240]   What sort of offering was required?
[00:10:56.240 --> 00:10:59.240]   Something, you can't come empty-handed, right?
[00:10:59.240 --> 00:11:05.240]   So you bring an animal, some grain, a drink offering.
[00:11:05.240 --> 00:11:08.240]   The point is you don't come empty-handed before the Lord
[00:11:08.240 --> 00:11:12.240]   as you approach him in worship.
[00:11:12.240 --> 00:11:16.240]   So what typical sacrifice dominated the Old Testament system?
[00:11:16.240 --> 00:11:21.240]   I found this chart or this graphic, the five offerings.
[00:11:21.240 --> 00:11:26.240]   It's kind of a lot of there, a lot of things to read,
[00:11:26.240 --> 00:11:30.240]   the highlighted circles, right?
[00:11:30.240 --> 00:11:34.240]   The burnt offerings, sin offering, guilt or trespass,
[00:11:34.240 --> 00:11:37.240]   peace offering, meal offering.
[00:11:37.240 --> 00:11:40.240]   But I want to kind of focus on the blood atoning offerings,
[00:11:40.240 --> 00:11:44.240]   the burnt offerings, the sin and guilt.
[00:11:44.240 --> 00:11:48.240]   That was a gateway into appeasing God, right?
[00:11:48.240 --> 00:11:49.240]   That he's holy.
[00:11:49.240 --> 00:11:52.240]   Those had to be addressed first.
[00:11:52.240 --> 00:11:56.240]   And then we see the Thanksgiving and meal and picnic type of offerings, right?
[00:11:56.240 --> 00:11:59.240]   Where people would give out of Thanksgiving and appreciation,
[00:11:59.240 --> 00:12:03.240]   they would sit down with their families and have a meal together.
[00:12:03.240 --> 00:12:07.240]   So how does this principle apply to us today?
[00:12:07.240 --> 00:12:13.240]   So the most important sacrifice has been done, accomplished for us, right?
[00:12:13.240 --> 00:12:16.240]   Hebrews 7.26 talks about that.
[00:12:16.240 --> 00:12:18.240]   "For it was fitting for us to have such a high priest,
[00:12:18.240 --> 00:12:21.240]   holy, innocent, undefiled, separated from sinners
[00:12:21.240 --> 00:12:23.240]   and exalted above the heavens.
[00:12:23.240 --> 00:12:28.240]   Who does not need daily like those high priests to offer up sacrifices,
[00:12:28.240 --> 00:12:32.240]   first for his own sins and then for the sins of the people?"
[00:12:32.240 --> 00:12:37.240]   Because this he did once for all when he offered up himself.
[00:12:37.240 --> 00:12:40.240]   And for those of you who are going through the first John memory,
[00:12:40.240 --> 00:12:43.240]   and I'm so encouraged, side note,
[00:12:43.240 --> 00:12:45.240]   there's 100 people in our church going through this.
[00:12:45.240 --> 00:12:47.240]   That's awesome.
[00:12:47.240 --> 00:12:51.240]   But Chapter 2, he's atoning sacrifice for our sins,
[00:12:51.240 --> 00:12:54.240]   but not only for ours, but also for the whole world.
[00:12:54.240 --> 00:12:57.240]   And that's the NIV version.
[00:12:57.240 --> 00:13:00.240]   I've chosen to memorize the NIV version.
[00:13:00.240 --> 00:13:03.240]   So we'll leave it at that.
[00:13:03.240 --> 00:13:07.240]   So we're not required to bring an offering of an animal to shed blood
[00:13:07.240 --> 00:13:10.240]   and all that, like the Old Testament believers, right?
[00:13:10.240 --> 00:13:16.240]   But we have the privilege of bringing offerings of appreciation and thanksgiving.
[00:13:16.240 --> 00:13:19.240]   We don't need the blood sacrifice anymore.
[00:13:19.240 --> 00:13:21.240]   That's been atoned for.
[00:13:21.240 --> 00:13:27.240]   But we have the privilege to still come and bring offerings of appreciation and thanksgiving.
[00:13:27.240 --> 00:13:30.240]   So what is that offering?
[00:13:30.240 --> 00:13:32.240]   The New Testament's clear, right?
[00:13:32.240 --> 00:13:37.240]   That sacrifice and offering that we bring now is ourself.
[00:13:37.240 --> 00:13:41.240]   That's what this Scripture teaches, right, in Romans 12, 1 and 2.
[00:13:41.240 --> 00:13:47.240]   In light of the glorious gospel of Jesus Christ that Paul expounds for 11 chapters,
[00:13:47.240 --> 00:13:51.240]   Chapter 12, "Therefore I urge you, brethren, by the mercies of God,
[00:13:51.240 --> 00:13:57.240]   to present your bodies a living and holy sacrifice, acceptable to God,
[00:13:57.240 --> 00:13:59.240]   which is your spiritual service of worship.
[00:13:59.240 --> 00:14:02.240]   And do not be conformed to this world,
[00:14:02.240 --> 00:14:05.240]   but be transformed by the renewing of your mind
[00:14:05.240 --> 00:14:09.240]   so that you may prove what the will of God is,
[00:14:09.240 --> 00:14:13.240]   that which is good and acceptable and perfect."
[00:14:13.240 --> 00:14:19.240]   So the question is, what kind of offering sacrifice do you bring?
[00:14:19.240 --> 00:14:28.240]   What does presenting your bodies a living sacrifice mean when it comes to finances?
[00:14:28.240 --> 00:14:35.240]   So the obligation versus free will, the lordship side of this.
[00:14:35.240 --> 00:14:37.240]   The expectation is your whole life, right?
[00:14:37.240 --> 00:14:42.240]   Romans 12 talks about that. It's your whole life.
[00:14:42.240 --> 00:14:50.240]   Namely, as we think through the financial side of things, it's time and money, right?
[00:14:50.240 --> 00:14:57.240]   Pastor Nate last week touched upon this idea of do not forsake the meeting together
[00:14:57.240 --> 00:15:01.240]   and looking out for one another as he went through the one another's, right?
[00:15:01.240 --> 00:15:06.240]   All these aspects of looking out for the interests of others in time, right?
[00:15:06.240 --> 00:15:13.240]   That's where we can rubber meet the road in terms of how to apply that covenant.
[00:15:13.240 --> 00:15:19.240]   As well in this aspect, we need to think of the resources and the finances side of things.
[00:15:19.240 --> 00:15:26.240]   So let's kind of look through what we studied in Philippians chapter 4, verses 15 and 17.
[00:15:26.240 --> 00:15:33.240]   "You yourselves also know, Philippians, that at the first preaching of the gospel after I left Macedonia,
[00:15:33.240 --> 00:15:38.240]   no church shared with me in the matter of giving and receiving but you alone.
[00:15:38.240 --> 00:15:44.240]   For even in Thessalonica, you sent a gift more than once for my needs.
[00:15:44.240 --> 00:15:51.240]   Not that I seek the gift itself, but I seek for the profit which increases to your account."
[00:15:51.240 --> 00:15:58.240]   So giving allows us to profit an increase to our account.
[00:15:58.240 --> 00:16:08.240]   In other words, we are the beneficiaries as we participate in giving, in participation of gospel ministry and work.
[00:16:08.240 --> 00:16:15.240]   Acts 20, our brother Peter read that, "In everything I did, I showed you that by this kind of hard work,
[00:16:15.240 --> 00:16:20.240]   we must help the weak, remembering the words the Lord Jesus himself said.
[00:16:20.240 --> 00:16:24.240]   It is more blessed to give than to receive."
[00:16:24.240 --> 00:16:29.240]   The NIV talks about partnership and partnering, participation in the gospel.
[00:16:29.240 --> 00:16:36.240]   So another thought came to my mind, "Are you gospel-centered?"
[00:16:36.240 --> 00:16:41.240]   So when I say gospel-centered, maybe you're thinking of other things.
[00:16:41.240 --> 00:16:47.240]   Maybe gospel-centered isn't the normal kind of thought process of financial or resources.
[00:16:47.240 --> 00:16:52.240]   Maybe it brings some baggage because there's a lot of things that gospel-centeredness brought about
[00:16:52.240 --> 00:16:56.240]   in the church.
[00:16:56.240 --> 00:16:58.240]   But let's break it down. God-centered.
[00:16:58.240 --> 00:17:03.240]   Is your aim in your life for gospel purposes?
[00:17:03.240 --> 00:17:09.240]   Does gospel-centeredness mean that the gospel is the goal? Of course it does.
[00:17:09.240 --> 00:17:12.240]   So we talk about vision number one, right, at our church.
[00:17:12.240 --> 00:17:15.240]   We want to give God-centered worship, not man-centered.
[00:17:15.240 --> 00:17:18.240]   So what is God-centered worship then?
[00:17:18.240 --> 00:17:22.240]   Looking at everything through the prism of God, right?
[00:17:22.240 --> 00:17:26.240]   So when you think about God, what is God-centered about?
[00:17:26.240 --> 00:17:31.240]   Meaning God himself. He is gospel-centered.
[00:17:31.240 --> 00:17:35.240]   God-centeredness is gospel-centeredness.
[00:17:35.240 --> 00:17:38.240]   So everything needs to be applied.
[00:17:38.240 --> 00:17:44.240]   If we're going to use that term to identify ourselves with that we want to be gospel-centered,
[00:17:44.240 --> 00:17:48.240]   we want to be God-centered. Everything has to go through that prism.
[00:17:48.240 --> 00:17:54.240]   Your time and your finances as well.
[00:17:54.240 --> 00:18:00.240]   Philippians chapter 1, 3 through 5 says, "I thank my God in all my remembrance of you,
[00:18:00.240 --> 00:18:04.240]   always offering prayer with joy in my every prayer for you all,
[00:18:04.240 --> 00:18:10.240]   in view of your participation in the gospel from the first day until now."
[00:18:10.240 --> 00:18:22.240]   For context, Paul is using the Philippians as a model in Macedonia to encourage the Corinthians.
[00:18:22.240 --> 00:18:27.240]   If you look at 2 Corinthians chapter 8, he's referencing the Philippians.
[00:18:27.240 --> 00:18:35.240]   "Now brethren, we wish to make known to you the grace of God which has been given in the churches of Macedonia,
[00:18:35.240 --> 00:18:43.240]   that in a great ordeal of affliction, their abundance of joy and their deep poverty overflowed in the wealth of their liberality.
[00:18:43.240 --> 00:18:48.240]   For I testify that according to their ability and beyond their ability,
[00:18:48.240 --> 00:18:55.240]   they gave of their own accord, begging us with much urging for the favor of participation,"
[00:18:55.240 --> 00:18:58.240]   again that word, "in the support of the saints.
[00:18:58.240 --> 00:19:06.240]   And this, not as we had expected, but they first gave themselves to the Lord and to us by the will of God."
[00:19:06.240 --> 00:19:07.240]   What does that mean?
[00:19:07.240 --> 00:19:15.240]   So when we think about finances and resources, often we're thinking of investments,
[00:19:15.240 --> 00:19:27.240]   property investments, cash, credit cards, retirement planning, 401ks, mutual funds, index funds, Roth IRAs.
[00:19:27.240 --> 00:19:34.240]   But how does that relate to covenant number one, where Pastor Mark went through,
[00:19:34.240 --> 00:19:43.240]   "I confess Jesus Christ as my Lord and Savior."
[00:19:43.240 --> 00:19:50.240]   So when we think through the idea of practical illustrations, I want to give you one.
[00:19:50.240 --> 00:19:55.240]   God was gracious to give me one in practical life.
[00:19:55.240 --> 00:20:06.240]   So a few weeks back, as I was thinking through this, I was kind of living life, right?
[00:20:06.240 --> 00:20:10.240]   I left my house. I had two of my kids, CJ and Corbin, I think, with me.
[00:20:10.240 --> 00:20:14.240]   We were going to Costco to get some gas.
[00:20:14.240 --> 00:20:20.240]   So I left the house, and unfortunately, I left my wallet at home.
[00:20:20.240 --> 00:20:26.240]   So as I'm driving, as I'm getting on the freeway, I'm like, "Oh no, I left my wallet at home."
[00:20:26.240 --> 00:20:30.240]   Not a big deal in my mind, because Costco, you could do everything through your phone.
[00:20:30.240 --> 00:20:35.240]   So I wasn't going to turn back to get my wallet.
[00:20:35.240 --> 00:20:43.240]   My second son, whose name is Corbin, he says, in response to my comment, "I left my wallet at home,"
[00:20:43.240 --> 00:20:52.240]   he's like, "Appa," which means "Daddy" in Korean, "money is very important."
[00:20:52.240 --> 00:20:57.240]   And I'm driving, and I heard that, and I was like, "Yeah, it is. It is important."
[00:20:57.240 --> 00:21:03.240]   I chuckled about it, but as I'm thinking about financials and what I'm going to address with the church,
[00:21:03.240 --> 00:21:08.240]   I was like, "That's so true. Money is very important."
[00:21:08.240 --> 00:21:15.240]   The Bible talks so much about money and our attitudes towards it.
[00:21:15.240 --> 00:21:23.240]   Oh, and by the way, Corbin, if you don't know what Corbin means, it means "offering devoted to God."
[00:21:23.240 --> 00:21:27.240]   So interesting, and it didn't come from my first son, CJ, but Corbin.
[00:21:27.240 --> 00:21:35.240]   So God ordained illustration, I believe.
[00:21:35.240 --> 00:21:42.240]   So that thought came to me, more and more, the importance of money in light of Scripture.
[00:21:42.240 --> 00:21:45.240]   And like I said, I can't do it justice.
[00:21:45.240 --> 00:21:52.240]   These verses and these parables, we can sit down and go through all of them.
[00:21:52.240 --> 00:21:56.240]   But what is the motivation to give?
[00:21:56.240 --> 00:21:58.240]   Is it an obligation?
[00:21:58.240 --> 00:22:01.240]   Is it just out of our own accord?
[00:22:01.240 --> 00:22:06.240]   Is it the mindset of the definition of tithe, right?
[00:22:06.240 --> 00:22:09.240]   He talks about taxes to the church.
[00:22:09.240 --> 00:22:11.240]   I don't necessarily like that idea.
[00:22:11.240 --> 00:22:14.240]   Who likes the idea of taxes?
[00:22:14.240 --> 00:22:17.240]   Is that the mindset we should have in terms of church?
[00:22:17.240 --> 00:22:21.240]   That I have to give because they're going to go after me then.
[00:22:21.240 --> 00:22:26.240]   Not the civil government, but the church government's going to go after me.
[00:22:26.240 --> 00:22:29.240]   Wrong attitude.
[00:22:29.240 --> 00:22:40.240]   Don't view giving to the church as a tax that you would pay your property taxes or income taxes.
[00:22:40.240 --> 00:22:43.240]   It's gospel enterprise.
[00:22:43.240 --> 00:22:47.240]   It's for the gospel to go forth and move forward.
[00:22:47.240 --> 00:22:56.240]   Don't think I got to pay the minimum, as less as possible, to not get into trouble.
[00:22:56.240 --> 00:22:59.240]   Wrong attitude and perspective.
[00:22:59.240 --> 00:23:07.240]   2 Corinthians 9, 6 says, "Now this I say, he who sows sparingly will also reap sparingly,
[00:23:07.240 --> 00:23:12.240]   and he who sows bountifully will also reap bountifully."
[00:23:12.240 --> 00:23:18.240]   Each one must do just as he has purposed in his heart.
[00:23:18.240 --> 00:23:25.240]   Not grudgingly or under compulsion, for God loves a cheerful giver.
[00:23:25.240 --> 00:23:26.240]   We've heard that.
[00:23:26.240 --> 00:23:33.240]   We've heard offering prayers about desiring to be, having an attitude of cheerfulness.
[00:23:33.240 --> 00:23:34.240]   What does that mean?
[00:23:34.240 --> 00:23:38.240]   It literally just means non-reluctant giver.
[00:23:38.240 --> 00:23:42.240]   When we think of generosity, what does that mean?
[00:23:42.240 --> 00:23:45.240]   Give liberally like it isn't yours.
[00:23:45.240 --> 00:23:48.240]   Because it isn't, right?
[00:23:48.240 --> 00:23:52.240]   How much do you spend time thinking about money?
[00:23:52.240 --> 00:23:56.240]   Maybe you're in a career of finance.
[00:23:56.240 --> 00:23:59.240]   Probably you're thinking about money a lot.
[00:23:59.240 --> 00:24:03.240]   But for the most part, I think a lot of us do spend some time thinking about money.
[00:24:03.240 --> 00:24:05.240]   I don't have enough of it.
[00:24:05.240 --> 00:24:06.240]   I have debts.
[00:24:06.240 --> 00:24:07.240]   I have bills.
[00:24:07.240 --> 00:24:16.240]   I have this I want to save up for, or this college fund I got to think about my kids over.
[00:24:16.240 --> 00:24:18.240]   How much of time do you spend thinking?
[00:24:18.240 --> 00:24:23.240]   Remember we talked about the rubber meets the road time and money?
[00:24:23.240 --> 00:24:28.240]   How much of that time is spent thinking about your finances?
