
[00:00:00.000 --> 00:00:02.160]   (silence)
[00:01:42.280 --> 00:01:43.440]   as God is unique,
[00:01:43.440 --> 00:01:44.280]   and therefore,
[00:01:44.280 --> 00:01:46.500]   as the only one
[00:01:46.500 --> 00:01:49.240]   who truly has those character traits,
[00:01:49.240 --> 00:01:50.820]   He is priceless.
[00:01:50.820 --> 00:01:52.680]   There is this value innate with Him,
[00:01:52.680 --> 00:01:54.600]   which we would call glorious.
[00:01:54.600 --> 00:01:55.440]   Okay?
[00:01:55.440 --> 00:01:58.560]   And then He used this term that God is weighty.
[00:01:58.560 --> 00:02:00.240]   So just really quickly running down
[00:02:00.240 --> 00:02:01.960]   through some of these concepts,
[00:02:01.960 --> 00:02:04.360]   He is morally perfect.
[00:02:04.360 --> 00:02:06.400]   He is the standard of perfection.
[00:02:06.400 --> 00:02:08.680]   He is entirely unique.
[00:02:08.680 --> 00:02:10.840]   And He is glorious and weighty.
[00:02:10.840 --> 00:02:11.680]   Okay?
[00:02:11.680 --> 00:02:12.980]   Glorious and weighty.
[00:02:12.980 --> 00:02:14.600]   And those are concepts that,
[00:02:14.600 --> 00:02:15.480]   obviously,
[00:02:15.480 --> 00:02:18.040]   you and I are not going to exhaustively understand
[00:02:18.040 --> 00:02:18.880]   and be like,
[00:02:18.880 --> 00:02:20.960]   ah, that's exactly it.
[00:02:20.960 --> 00:02:22.440]   A lot of that is transcended,
[00:02:22.440 --> 00:02:24.400]   and it's just beyond us.
[00:02:24.400 --> 00:02:26.800]   But that causes us to just worship and be in awe
[00:02:26.800 --> 00:02:28.520]   of the fact that God is that holy.
[00:02:28.520 --> 00:02:30.240]   However, today,
[00:02:30.240 --> 00:02:32.800]   as we make our transition into the topic
[00:02:32.800 --> 00:02:34.840]   that we're gonna be learning about today,
[00:02:34.840 --> 00:02:37.240]   when God,
[00:02:37.240 --> 00:02:38.960]   in His holiness,
[00:02:38.960 --> 00:02:40.940]   essentially appears
[00:02:40.940 --> 00:02:42.880]   and is revealed to us,
[00:02:42.880 --> 00:02:44.840]   there is a reaction.
[00:02:44.840 --> 00:02:47.040]   Almost as two elements in chemistry,
[00:02:47.040 --> 00:02:48.400]   when, you know,
[00:02:48.400 --> 00:02:51.160]   introduced to each other would have a chemical reaction,
[00:02:51.160 --> 00:02:53.640]   there is a sense to which God in His holiness,
[00:02:53.640 --> 00:02:56.280]   as He appears and is present in this world,
[00:02:56.280 --> 00:02:58.320]   there is a reaction.
[00:02:58.320 --> 00:03:00.200]   And that's really what I'm gonna be focusing on
[00:03:00.200 --> 00:03:01.080]   today's lesson.
[00:03:01.080 --> 00:03:03.200]   The question primarily is,
[00:03:03.200 --> 00:03:07.560]   how does this holy God relate to mankind?
[00:03:07.560 --> 00:03:08.400]   Okay?
[00:03:08.400 --> 00:03:10.720]   How does this holy God relate to mankind?
[00:03:10.720 --> 00:03:12.960]   And the first thing I wanna say
[00:03:12.960 --> 00:03:13.920]   is this.
[00:03:13.920 --> 00:03:15.440]   That as our God relates to man,
[00:03:15.440 --> 00:03:17.160]   He is, first and foremost,
[00:03:17.160 --> 00:03:19.680]   as the scripture reveals it to us,
[00:03:19.680 --> 00:03:21.880]   repulsed by sin.
[00:03:21.880 --> 00:03:22.880]   Aw, man.
[00:03:22.880 --> 00:03:24.360]   I need 20 of these points for us to post
[00:03:24.360 --> 00:03:26.160]   to come up one by one.
[00:03:26.160 --> 00:03:27.760]   Now they're all up there.
[00:03:27.760 --> 00:03:29.160]   [laughing]
[00:03:29.160 --> 00:03:30.000]   Okay.
[00:03:30.000 --> 00:03:30.820]   Well, well, bam.
[00:03:30.820 --> 00:03:32.360]   There it is, okay?
[00:03:32.360 --> 00:03:34.400]   So here are gonna be my points.
[00:03:34.400 --> 00:03:36.960]   Now, I was trying to use my words carefully.
[00:03:36.960 --> 00:03:38.880]   I mean, we don't really use the word like,
[00:03:38.880 --> 00:03:41.200]   aw, you repulsed me, you know?
[00:03:41.200 --> 00:03:42.920]   But what do we mean by that?
[00:03:42.920 --> 00:03:44.360]   Is,
[00:03:44.360 --> 00:03:47.080]   as there was such an intense emphasis,
[00:03:47.080 --> 00:03:47.960]   okay, first and foremost,
[00:03:47.960 --> 00:03:51.120]   as there was such an intense emphasis of God's holiness
[00:03:51.120 --> 00:03:54.000]   in the scriptures of the Old Testament,
[00:03:54.000 --> 00:03:55.400]   when I look through the Old Testament,
[00:03:55.400 --> 00:03:57.720]   and particularly, there's gonna be some
[00:03:57.720 --> 00:03:59.800]   digging into the book of Leviticus,
[00:03:59.800 --> 00:04:03.240]   there has been a contrasting emphasis on sin.
[00:04:03.240 --> 00:04:06.680]   And for, again, we don't use the word often,
[00:04:06.680 --> 00:04:10.840]   but how sin is so repulsive to the Lord.
[00:04:10.840 --> 00:04:13.080]   I wanna begin by saying this.
[00:04:13.080 --> 00:04:15.760]   That the book of Leviticus, when you read it through,
[00:04:15.760 --> 00:04:19.080]   you will find that the word sin
[00:04:19.080 --> 00:04:20.720]   is used so many times,
[00:04:20.720 --> 00:04:24.360]   as a matter of fact, it's used 194 times.
[00:04:24.360 --> 00:04:26.240]   Can you imagine that?
[00:04:26.240 --> 00:04:29.000]   And there is this emphasis, not just on,
[00:04:29.000 --> 00:04:31.400]   you know, the general concept of sin,
[00:04:31.400 --> 00:04:34.840]   but there is an emphasis on the various kinds of sin.
[00:04:34.840 --> 00:04:35.680]   Okay?
[00:04:35.680 --> 00:04:37.240]   There's an emphasis on the various kinds of sin.
[00:04:37.240 --> 00:04:39.080]   What do I mean by that?
[00:04:39.080 --> 00:04:40.960]   In the book of Leviticus,
[00:04:40.960 --> 00:04:42.840]   God is not just generally saying,
[00:04:42.840 --> 00:04:46.640]   ah, there is this general concept of sin.
[00:04:46.640 --> 00:04:48.520]   He is almost meticulous,
[00:04:48.520 --> 00:04:51.360]   describing every category of sin.
[00:04:51.360 --> 00:04:53.680]   He describes various categories of sin,
[00:04:53.680 --> 00:04:57.080]   such as sins that are of being defiled,
[00:04:57.080 --> 00:05:00.200]   sins that are of uncleanness or blemishes.
[00:05:00.200 --> 00:05:01.880]   There are sins that are of the heart,
[00:05:01.880 --> 00:05:04.920]   such as wicked intent, evil,
[00:05:04.920 --> 00:05:08.320]   and then there are sins of rebellion and transgression.
[00:05:08.320 --> 00:05:10.240]   There are unintentional sins,
[00:05:10.240 --> 00:05:11.760]   there are intentional sins,
[00:05:11.760 --> 00:05:13.320]   there are weighty sins.
[00:05:13.320 --> 00:05:16.200]   I mean, he goes through the full gamut
[00:05:16.200 --> 00:05:18.440]   of all the different kinds of sins.
[00:05:18.440 --> 00:05:19.280]   Okay?
[00:05:19.280 --> 00:05:20.680]   And the reason why I think,
[00:05:20.680 --> 00:05:21.680]   you know, when you think about that,
[00:05:21.680 --> 00:05:24.360]   somebody, when somebody is starting to tell you
[00:05:24.360 --> 00:05:26.380]   and trying to define for you what something is,
[00:05:26.380 --> 00:05:27.760]   but they're able to tell you
[00:05:27.760 --> 00:05:31.040]   what that is in all its different contexts.
[00:05:31.040 --> 00:05:33.380]   Categorically tell you where all that fits.
[00:05:33.380 --> 00:05:37.040]   Now there's an emphasis on what that definition is.
[00:05:37.040 --> 00:05:37.960]   But what's more,
[00:05:37.960 --> 00:05:43.120]   there's an emphasis on everyone's sin.
[00:05:43.120 --> 00:05:43.960]   Okay?
[00:05:43.960 --> 00:05:45.840]   And what do I mean by that?
[00:05:45.840 --> 00:05:47.720]   For your devotional passages,
[00:05:47.720 --> 00:05:51.200]   I had you guys look at Leviticus chapter 16.
[00:05:51.200 --> 00:05:53.440]   And if you're able to quickly turn there
[00:05:53.440 --> 00:05:55.520]   to Leviticus chapter 16,
[00:05:55.520 --> 00:05:57.280]   I'm gonna read verses,
[00:05:57.280 --> 00:05:58.120]   let's see here.
[00:05:58.120 --> 00:06:00.040]   Give me one second,
[00:06:00.040 --> 00:06:01.520]   I wanna hit the right verse.
[00:06:01.520 --> 00:06:04.420]   Okay.
[00:06:04.420 --> 00:06:05.360]   Turner, with you?
[00:06:05.360 --> 00:06:14.600]   There's a really important verse here,
[00:06:14.600 --> 00:06:19.240]   starting from verse 16.
[00:06:19.240 --> 00:06:20.800]   Okay?
[00:06:20.800 --> 00:06:21.640]   It says this,
[00:06:21.640 --> 00:06:25.240]   "Thus he shall make atonement for the holy place
[00:06:25.240 --> 00:06:28.080]   "because of the uncleanness of the people of Israel
[00:06:28.080 --> 00:06:30.540]   "and because of their transgressions,
[00:06:30.540 --> 00:06:33.160]   "because of their transgressions, all their sins.
[00:06:33.160 --> 00:06:35.820]   "And so he shall do for the tent of meeting
[00:06:35.820 --> 00:06:37.520]   "which dwells with them in the midst
[00:06:37.520 --> 00:06:39.880]   "of their uncleanliness."
[00:06:39.880 --> 00:06:40.720]   Okay?
[00:06:40.720 --> 00:06:41.540]   And then verse seven says,
[00:06:41.540 --> 00:06:43.300]   "No one may be in the tent of meeting
[00:06:43.300 --> 00:06:45.160]   "from the time he enters to make atonement
[00:06:45.160 --> 00:06:47.620]   "in the holy place until he comes out
[00:06:47.620 --> 00:06:49.680]   "and has made atonement for himself,
[00:06:49.680 --> 00:06:53.040]   "for his house, and for all the assembly of Israel."
[00:06:53.040 --> 00:06:55.960]   Do you see that?
[00:06:55.960 --> 00:06:58.240]   What I'm highlighting there is this is,
[00:06:58.240 --> 00:07:01.000]   everyone from the priest himself,
[00:07:01.000 --> 00:07:02.640]   then his household,
[00:07:02.640 --> 00:07:05.080]   and then the whole nation.
[00:07:05.080 --> 00:07:06.720]   There is this concentric circle
[00:07:06.720 --> 00:07:08.440]   that continues to expound.
[00:07:08.440 --> 00:07:12.000]   And what he's talking about is from you, the holy guy,
[00:07:12.000 --> 00:07:13.980]   you know, the one anointed and set apart,
[00:07:13.980 --> 00:07:15.380]   to his whole extended family,
[00:07:15.380 --> 00:07:16.500]   and then to the nation.
[00:07:16.500 --> 00:07:18.540]   Everybody needs to be cleansed.
[00:07:18.540 --> 00:07:19.380]   Why?
[00:07:19.380 --> 00:07:22.660]   Because there is uncleanliness in all of you.
[00:07:22.660 --> 00:07:24.340]   And what's more, so there's a sense then
[00:07:24.340 --> 00:07:27.540]   which when I emphasize this idea of everybody's sin,
[00:07:27.540 --> 00:07:30.900]   think about how pervasive that sin is.
[00:07:30.900 --> 00:07:34.700]   That he says, even as he describes this tabernacle,
[00:07:34.700 --> 00:07:37.340]   the whole house must be cleansed.
[00:07:37.340 --> 00:07:38.900]   Okay?
[00:07:38.900 --> 00:07:40.940]   So, there is emphasis on,
[00:07:40.940 --> 00:07:43.960]   just by the fact that the number of time he talks about it,
[00:07:43.960 --> 00:07:46.000]   about the various kinds of sin,
[00:07:46.000 --> 00:07:48.880]   and how that sin is pervasive in everybody.
[00:07:48.880 --> 00:07:53.880]   And then, God describes that sin's effect everywhere.
[00:07:53.880 --> 00:07:55.320]   Okay?
[00:07:55.320 --> 00:07:56.640]   And we're gonna talk more about that,
[00:07:56.640 --> 00:07:58.920]   but I just want to make mention of this fact,
[00:07:58.920 --> 00:08:01.120]   that when you think of the book of Leviticus,
[00:08:01.120 --> 00:08:03.880]   what you'll find is just that there's so many rules
[00:08:03.880 --> 00:08:05.520]   and regulations, right?
[00:08:05.520 --> 00:08:08.240]   So typically, at the start of the new year,
[00:08:08.240 --> 00:08:09.840]   people say like, "I'm gonna read the Bible."
[00:08:09.840 --> 00:08:12.420]   They get through Genesis, you know, Exodus,
[00:08:12.420 --> 00:08:14.580]   and then when they get to Leviticus,
[00:08:14.580 --> 00:08:17.180]   it's just like, "What in the world?"
[00:08:17.180 --> 00:08:20.860]   And there's just tons of little laws and regulations
[00:08:20.860 --> 00:08:23.300]   that's very hard to come by.
[00:08:23.300 --> 00:08:27.180]   I want to help you categorize that by saying,
[00:08:27.180 --> 00:08:29.660]   sin's effect is so pervasive,
[00:08:29.660 --> 00:08:31.860]   it has affected everything.
[00:08:31.860 --> 00:08:34.220]   From the animals, from their house,
[00:08:34.220 --> 00:08:35.900]   from their tents of meeting.
[00:08:35.900 --> 00:08:38.980]   Sin's effect has been decaying the whole world,
[00:08:38.980 --> 00:08:42.800]   and so in Romans, it talks about how this entire generation
[00:08:42.800 --> 00:08:44.880]   and the world in its creation
[00:08:44.880 --> 00:08:47.140]   is groaning under this sin's decay.
[00:08:47.140 --> 00:08:51.400]   So, what I'm kind of presenting to you is,
[00:08:51.400 --> 00:08:53.960]   just as there was this emphasis
[00:08:53.960 --> 00:08:56.640]   on why we need to understand the holiness of God,
[00:08:56.640 --> 00:09:00.320]   we know that there has to be a contrasting emphasis
[00:09:00.320 --> 00:09:02.280]   of understanding our sin.
[00:09:02.280 --> 00:09:05.040]   And this is just reality, the spiritual reality
[00:09:05.040 --> 00:09:06.920]   that we're blind to and we don't know
[00:09:06.920 --> 00:09:08.320]   before we meet Christ,
[00:09:08.320 --> 00:09:10.200]   before we know the truth.
[00:09:10.200 --> 00:09:13.440]   But it's so vital that in contrast to God's glory,
[00:09:13.440 --> 00:09:16.420]   there is an understanding of the weight of sin.
[00:09:16.420 --> 00:09:21.180]   Now, the point that I made with this first section
[00:09:21.180 --> 00:09:23.800]   is not only that God is pointing out sin.
[00:09:23.800 --> 00:09:26.960]   All right, aw.
[00:09:26.960 --> 00:09:31.000]   Okay, is anybody back there?
[00:09:31.000 --> 00:09:34.600]   Okay, well, you're looking on as on your sheets, right?
[00:09:34.600 --> 00:09:35.440]   Maybe I'll,
[00:09:37.800 --> 00:09:39.840]   okay, yeah, I don't wanna distract us with that.
[00:09:39.840 --> 00:09:41.300]   So, as you're looking on on your sheets,
[00:09:41.300 --> 00:09:43.740]   maybe I'll just kinda go along here, okay?
[00:09:43.740 --> 00:09:46.640]   The point that I was making is not just the fact
[00:09:46.640 --> 00:09:50.120]   that God points sin and is like, there it is.
[00:09:50.120 --> 00:09:52.440]   The idea that I was trying to get us to think about
[00:09:52.440 --> 00:09:55.480]   is the fact that in God's presence,
[00:09:55.480 --> 00:09:57.680]   he is repulsed by sin.
[00:09:57.680 --> 00:10:00.320]   He rejects sin, right?
[00:10:00.320 --> 00:10:03.720]   Scripture says that he casts sin away.
[00:10:03.720 --> 00:10:06.560]   So, there's a passage in Leviticus, chapter 22.
[00:10:06.560 --> 00:10:07.400]   You don't have to turn there.
[00:10:07.400 --> 00:10:08.800]   I'll read this for us.
[00:10:08.800 --> 00:10:11.880]   Leviticus, chapter 22, starting from verse two to three,
[00:10:11.880 --> 00:10:13.020]   it says this.
[00:10:13.020 --> 00:10:15.440]   God commands and says, "Say to them,
[00:10:15.440 --> 00:10:17.380]   "if anyone of all your offsprings
[00:10:17.380 --> 00:10:19.920]   "throughout your generations," okay?
[00:10:19.920 --> 00:10:22.560]   So, not just anybody here,
[00:10:22.560 --> 00:10:26.080]   but everybody from here forward in all your generations,
[00:10:26.080 --> 00:10:28.880]   "approaches the holy things that the people of Israel
[00:10:28.880 --> 00:10:32.060]   "dedicate to the Lord while he has uncleanness,
[00:10:32.060 --> 00:10:34.940]   "that person shall be cut off from my presence.
[00:10:34.940 --> 00:10:36.640]   "I am the Lord."
[00:10:36.640 --> 00:10:40.740]   There is this automatic expulsion, right?
[00:10:40.740 --> 00:10:41.720]   There's a rejection.
[00:10:41.720 --> 00:10:44.020]   If there is uncleanness, there is reproach,
[00:10:44.020 --> 00:10:45.960]   there is disgust.
[00:10:45.960 --> 00:10:48.160]   And that's what I'm emphasizing.
[00:10:48.160 --> 00:10:49.460]   Can I say this?
[00:10:49.460 --> 00:10:51.000]   Maybe you've heard, you know,
[00:10:51.000 --> 00:10:54.560]   maybe you've heard like, oh, we're just dust of the ground.
[00:10:54.560 --> 00:10:55.400]   Right?
[00:10:55.400 --> 00:10:58.960]   Maybe you've heard we are low because we're sinners.
[00:10:58.960 --> 00:11:01.860]   But truthfully, from the Scriptures,
[00:11:01.860 --> 00:11:04.840]   we're worse than that, right?
[00:11:04.840 --> 00:11:08.440]   The way Scripture describes us through the words of God,
[00:11:08.440 --> 00:11:10.280]   God is trying to show them
[00:11:10.280 --> 00:11:13.480]   that there is this uncleanness like mold,
[00:11:13.480 --> 00:11:18.800]   like fungus, like dead carcasses.
[00:11:18.800 --> 00:11:20.560]   And sin is described in such a way
[00:11:20.560 --> 00:11:24.520]   where it is detestable, abominations.
[00:11:24.520 --> 00:11:27.560]   And the kind of words that are used is really shocking.
[00:11:27.560 --> 00:11:28.760]   It's really eye-opening.
[00:11:28.760 --> 00:11:31.280]   You know, there was a time
[00:11:31.280 --> 00:11:34.080]   when our church was doing Korean barbecues.
[00:11:34.080 --> 00:11:36.600]   You know, some of you guys who used to do that.
[00:11:36.600 --> 00:11:37.900]   It was hard work and stuff,
[00:11:37.900 --> 00:11:42.360]   and we used to make huge batches of rice and meat
[00:11:42.360 --> 00:11:43.200]   and stuff like that.
[00:11:43.200 --> 00:11:44.380]   And after each barbecue,
[00:11:44.380 --> 00:11:46.560]   we typically have a whole lot left over.
[00:11:46.560 --> 00:11:47.960]   What ended up happening is, you know,
[00:11:47.960 --> 00:11:50.480]   because at the time, when I was like a single guy,
[00:11:50.480 --> 00:11:53.360]   or whatever, we would take most of the leftovers home.
[00:11:53.360 --> 00:11:56.560]   One time, we brought home an entire cooler of rice.
[00:11:56.560 --> 00:11:58.520]   So imagine just like one of your big coolers,
[00:11:58.520 --> 00:12:00.920]   and it's just filled with rice.
[00:12:00.920 --> 00:12:03.320]   Sometimes you get lazy to clean that stuff.
[00:12:03.320 --> 00:12:05.800]   And there was this time when all of a sudden,
[00:12:05.800 --> 00:12:07.120]   like everybody in my apartment
[00:12:07.120 --> 00:12:09.040]   started to smell something funky.
[00:12:09.040 --> 00:12:11.040]   And we all kind of had, in the back of our minds,
[00:12:11.040 --> 00:12:13.800]   like, oh my God, we forgot to clean that stuff, right?
[00:12:13.800 --> 00:12:15.360]   So we got there and opened, and we're like,
[00:12:15.360 --> 00:12:16.640]   oh, what is that?
[00:12:16.640 --> 00:12:19.240]   'Cause it gets all colorful, right?
[00:12:19.240 --> 00:12:21.340]   I made a mistake because I left it open,
[00:12:21.340 --> 00:12:22.280]   and then I ran away.
[00:12:22.280 --> 00:12:25.800]   Within just like a day or two,
[00:12:25.800 --> 00:12:29.640]   it's crazy how vibrantly colorful rice can get.
[00:12:29.640 --> 00:12:32.880]   It's white, but if you guys have ever had rice mold,
[00:12:32.880 --> 00:12:35.120]   and it mold progressively,
[00:12:35.120 --> 00:12:37.120]   somebody's like nodding their head, okay?
[00:12:37.120 --> 00:12:38.240]   (audience laughing)
[00:12:38.240 --> 00:12:40.080]   When we think of mold, you typically think like,
[00:12:40.080 --> 00:12:41.440]   oh, it's the green mold.
[00:12:41.440 --> 00:12:42.800]   No, no, no, no, rice can mold,
[00:12:42.800 --> 00:12:44.800]   and then there'll be like pink stuff.
[00:12:44.800 --> 00:12:46.160]   There'll be black stuff.
[00:12:46.160 --> 00:12:48.680]   And then there's gonna be like fuzzy white stuff.
[00:12:48.680 --> 00:12:50.960]   And then it gets even worse and worse after that.
[00:12:50.960 --> 00:12:53.080]   And the thing about it is when we went outside,
[00:12:53.080 --> 00:12:56.000]   like the stench was so bad, we would smell it,
[00:12:56.000 --> 00:12:57.720]   and then be like, no, I can't clean it, man.
[00:12:57.720 --> 00:12:58.680]   And we'd run back inside,
[00:12:58.680 --> 00:13:01.680]   but we felt like the stench was like chasing us, you know?
[00:13:01.680 --> 00:13:05.000]   It's like following us outside and all that kind of stuff.
[00:13:05.000 --> 00:13:08.880]   It was so bad, we had to throw the entire cooler away.
[00:13:08.880 --> 00:13:09.840]   You know?
[00:13:09.840 --> 00:13:11.040]   It was so crazy.
[00:13:11.040 --> 00:13:14.080]   And the stuff that was growing inside,
[00:13:14.080 --> 00:13:16.160]   obviously, like there was like moving maggots,
[00:13:16.160 --> 00:13:17.800]   and it was just getting gross.
[00:13:17.800 --> 00:13:19.160]   (audience laughing)
[00:13:19.160 --> 00:13:21.840]   Now, I'm going at length to describe this to you
[00:13:21.840 --> 00:13:24.880]   because of this.
[00:13:24.880 --> 00:13:27.160]   God, through his command,
[00:13:27.160 --> 00:13:29.920]   he was teaching the nation.
[00:13:30.920 --> 00:13:32.240]   He was teaching them,
[00:13:32.240 --> 00:13:36.200]   I wanna give you rules about animals and dead carcasses.
[00:13:36.200 --> 00:13:39.520]   And I wanna show you what is unclean versus clean.
[00:13:39.520 --> 00:13:41.400]   I'm gonna show you based on animals
[00:13:41.400 --> 00:13:42.640]   and things with blemish
[00:13:42.640 --> 00:13:45.120]   to show you what's clean versus unclean.
[00:13:45.120 --> 00:13:48.360]   I wanna show you through rituals, sacrifice, drama,
[00:13:48.360 --> 00:13:50.640]   through the people, through the buildings.
[00:13:50.640 --> 00:13:53.720]   He would talk about examples such as this.
[00:13:53.720 --> 00:13:55.920]   There would be examples of animals,
[00:13:55.920 --> 00:13:57.680]   about different forms of animals.
[00:13:57.680 --> 00:13:59.440]   There'd be examples of gnats.
[00:13:59.440 --> 00:14:01.640]   There'd be examples of mold in the house.
[00:14:01.640 --> 00:14:03.480]   I wanna read you some of these things.
[00:14:03.480 --> 00:14:07.320]   In chapter 11, verse 44 to 45,
[00:14:07.320 --> 00:14:08.800]   again, for the sake of time, I'll read it for us.
[00:14:08.800 --> 00:14:11.240]   It says this, "I am the Lord your God."
[00:14:11.240 --> 00:14:13.280]   He begins with his character.
[00:14:13.280 --> 00:14:15.240]   He says, "Consecrate for yourself therefore,
[00:14:15.240 --> 00:14:17.920]   "and be holy because I am holy.
[00:14:17.920 --> 00:14:20.700]   "You shall not defile yourself with any swarming thing
[00:14:20.700 --> 00:14:22.080]   "that crawls on the ground,
[00:14:22.080 --> 00:14:24.740]   "for I am the Lord who brought you out of the land of Egypt
[00:14:24.740 --> 00:14:25.840]   "to be your God.
[00:14:25.840 --> 00:14:29.320]   "You shall therefore be holy for I am holy."
[00:14:30.320 --> 00:14:32.080]   And then he gives the example of a house
[00:14:32.080 --> 00:14:33.900]   when there's green or colorful mold
[00:14:33.900 --> 00:14:35.720]   that they scrape everything off,
[00:14:35.720 --> 00:14:37.440]   they throw it outside the camp,
[00:14:37.440 --> 00:14:39.480]   and then the priest comes over, takes blood,
[00:14:39.480 --> 00:14:42.200]   and then he anoints the house.
[00:14:42.200 --> 00:14:44.780]   What does an animal that swarms on the ground
[00:14:44.780 --> 00:14:46.700]   have to do with holiness?
[00:14:46.700 --> 00:14:49.600]   What does sprinkling blood on the walls
[00:14:49.600 --> 00:14:50.960]   have to do with mold?
[00:14:50.960 --> 00:14:53.560]   God is teaching them.
[00:14:53.560 --> 00:14:57.800]   This is what's holy, this is what's unholy.
[00:14:57.800 --> 00:15:00.840]   This is what's clean, this is what's unclean.
[00:15:00.840 --> 00:15:03.920]   And there must be a recognition by the people.
[00:15:03.920 --> 00:15:08.200]   There has to be an ability to distinguish.
[00:15:08.200 --> 00:15:12.040]   By those people who God calls as his people,
[00:15:12.040 --> 00:15:16.260]   they have to be able to tell what is clean versus unclean.
[00:15:16.260 --> 00:15:19.680]   There is a very pivotal passage
[00:15:19.680 --> 00:15:22.840]   that comes from Leviticus chapter 16, verse 10.
[00:15:22.840 --> 00:15:24.880]   You can jot that down.
[00:15:24.880 --> 00:15:27.120]   Jot that down as a passage reference.
[00:15:27.120 --> 00:15:28.960]   Leviticus chapter 16, verse 10,
[00:15:28.960 --> 00:15:32.360]   where God says to them,
[00:15:32.360 --> 00:15:36.740]   you are to distinguish between the holy and the common,
[00:15:36.740 --> 00:15:38.960]   between the unclean and the clean.
[00:15:38.960 --> 00:15:42.840]   Because I was preparing for this study tonight,
[00:15:42.840 --> 00:15:45.240]   that's why I preached what I preached on Sunday.
[00:15:45.240 --> 00:15:51.080]   I was so convicted that for people who say they know God,
[00:15:51.080 --> 00:15:55.400]   that means they have to have a light shine on them,
[00:15:55.400 --> 00:15:56.920]   that means they have to have truth,
[00:15:56.920 --> 00:15:59.520]   and the teaching of God given to them
[00:15:59.520 --> 00:16:02.200]   so that they can tell what's clean and unclean,
[00:16:02.200 --> 00:16:06.720]   so that they know the difference between left and right.
[00:16:06.720 --> 00:16:09.920]   And then there is this moment,
[00:16:09.920 --> 00:16:13.600]   and then there is this pivotal recognition,
[00:16:13.600 --> 00:16:15.060]   epiphany as you would put it.
[00:16:15.060 --> 00:16:20.040]   As God is teaching them through the rituals and sacrifices
[00:16:20.040 --> 00:16:21.800]   of what is clean and unclean,
[00:16:21.800 --> 00:16:24.920]   that the people would realize, I'm unclean.
[00:16:25.920 --> 00:16:28.000]   I'm detestable.
[00:16:28.000 --> 00:16:32.120]   Because if there's anything that these sacrifices
[00:16:32.120 --> 00:16:34.680]   are showing, that what cannot enter
[00:16:34.680 --> 00:16:36.640]   into the presence of God,
[00:16:36.640 --> 00:16:39.440]   it is anything that is unclean,
[00:16:39.440 --> 00:16:41.080]   but what's really been represented,
[00:16:41.080 --> 00:16:42.760]   what's really been covered with blood,
[00:16:42.760 --> 00:16:45.560]   what's really been going through the drama is them.
[00:16:45.560 --> 00:16:51.160]   And there has to be an oh my goodness,
[00:16:51.160 --> 00:16:53.280]   through all this God is showing us,
