
[00:00:00.000 --> 00:00:12.560]   If you can turn your Bibles to Romans chapter 8 verses 5 through 11, Romans chapter 8 verses 5
[00:02:37.640 --> 00:02:44.080]   justification by faith, and again, chapter 6, where he says, "Well, if it's justification by faith, isn't
[00:02:44.080 --> 00:02:50.880]   that going to lead to licentiousness?" There is no consequence for sin. If that's the case, then we
[00:02:50.880 --> 00:02:55.600]   can just do whatever we want. And of course, that's not what God desires, but if that is what happens,
[00:02:55.600 --> 00:03:02.360]   so what? I mean, genuine Christians aren't gonna say, "So what?" But in reality, that may actually
[00:03:02.360 --> 00:03:07.520]   happen, right? There's no consequence. So Paul says, "That is not the case at all, by no means."
[00:03:07.520 --> 00:03:14.120]   That doesn't happen because when we were crucified with Christ, our old self died, and we were renewed
[00:03:14.120 --> 00:03:21.200]   in Christ, we were united with Him. We were married, we were freed from the marriage of the previous,
[00:03:21.200 --> 00:03:27.120]   with the law, and now we are married to Christ. We're no longer enslaved to the law of sin, but
[00:03:27.120 --> 00:03:34.200]   now we're enslaved to righteousness. So therefore, he says, that is not what happens to a Christian.
[00:03:34.200 --> 00:03:40.240]   So it does not. A genuine justification by faith actually leads to genuine sanctification, genuine
[00:03:40.240 --> 00:03:45.880]   growth in his spiritual life. He says, "Then what is the purpose of the law?" Chapter 7. "It came in
[00:03:45.880 --> 00:03:50.880]   order to reveal sin, it came in order to stir up sin, and it came so that sin would become utterly
[00:03:50.880 --> 00:03:58.040]   sinful." To lead us to a point where Paul says in verse 24, chapter 7, "Woe is me! Oh, what a wretched
[00:03:58.040 --> 00:04:04.000]   man that I am! Who is going to deliver me from this body of sin?" And so he introduces Christ,
[00:04:04.000 --> 00:04:10.440]   and through Christ and His blood sacrifice, how we become renewed. So what we could not do, what the
[00:04:10.440 --> 00:04:15.480]   law could not do, we can by the sinful flesh. God did by sending His only begotten Son. And so the
[00:04:15.480 --> 00:04:21.720]   distinction between a Christian and a non-Christian is the Holy Spirit. So we said that God initiates
[00:04:21.720 --> 00:04:27.480]   salvation, Jesus Christ mediates salvation, and the Holy Spirit is the one who perpetuates, gives us
[00:04:27.480 --> 00:04:33.920]   the power so that now not only are we saved, we are being saved by the Holy Spirit, and that we
[00:04:33.920 --> 00:04:41.080]   will be saved ultimately. And that is in a nutshell how the Bible describes our salvation. So the
[00:04:41.080 --> 00:04:46.680]   distinction between a Christian and a non-Christian is the Holy Spirit. A non-Christian can declare to
[00:04:46.680 --> 00:04:54.560]   know God. A non-Christian can even say that Jesus Christ came and He died. Remember even the demons
[00:04:54.560 --> 00:04:59.040]   when they saw Jesus they bowed to the ground and said, "Son of God, have you come before your time
[00:04:59.040 --> 00:05:06.520]   to torture us?" Satan knew exactly what Jesus was doing so he enters into Judas and tries to
[00:05:06.520 --> 00:05:11.960]   prevent him from going. And then he influences Peter trying to get him not to go. So Satan was
[00:05:11.960 --> 00:05:17.520]   very aware of what Jesus was going to do. So the demons were not unaware. So James says, "If you
[00:05:17.520 --> 00:05:22.440]   have faith without deeds, it's dead faith. It is no different than these demons who declare these
[00:05:22.440 --> 00:05:27.320]   things. They believe in a God but it doesn't produce works." So the distinction between a
[00:05:27.320 --> 00:05:33.200]   Christian and a non-Christian is the Holy Spirit. Holy Spirit that regenerates, Holy Spirit that
[00:05:33.200 --> 00:05:44.240]   indwells, and Holy Spirit that empowers us. That is not disputed. There is a dispute between, in
[00:05:44.240 --> 00:05:49.800]   chapter 7, is that a Christian or a non-Christian? Now again depending on which era of commentary
[00:05:49.800 --> 00:05:54.880]   that you read you're gonna get different views. That could be up to interpretation. But what I
[00:05:54.880 --> 00:05:59.320]   just said about the power of the Holy Spirit, about a Christian having indwelling of the Holy
[00:05:59.320 --> 00:06:03.480]   Spirit, that is not disputed no matter what denomination, no matter what era of Christianity
[00:06:03.480 --> 00:06:10.880]   that you may read. But there's a tension. There are things that sometimes we say in the church
[00:06:10.880 --> 00:06:18.160]   and then there's a disconnect in the way that we live. And so after a while when you continue to
[00:06:18.160 --> 00:06:24.840]   live your life and you see this disconnect, there's a disconnect from the Bible and your life. And that
[00:06:24.840 --> 00:06:29.000]   disconnect is pretty obvious. And I think that the greatest of this disconnect is, I know what the
[00:06:29.000 --> 00:06:34.040]   Bible says, but I don't see this in my life. Nor do I see it in the life of majority of the Christians.
[00:06:34.040 --> 00:06:41.600]   I know some people, but majority of the Christians that I know, I don't see this. So because of this
[00:06:41.600 --> 00:06:47.800]   tension between here's what God says we ought to do, says who we are, and then what I'm experiencing,
[00:06:47.800 --> 00:06:53.160]   what I'm seeing, I would see it on television, people giving their lives. Every once in a while we see
[00:06:53.160 --> 00:06:58.040]   missionaries who are packing up their bags and doing crazy things for Christ. It's like, okay, I see it
[00:06:58.040 --> 00:07:05.120]   in them. But in our personal lives, that may not be the case. So different groups have come up with
[00:07:05.120 --> 00:07:11.600]   the solution to this. So the Pentecostals have said, maybe the reason why there's this disconnect,
[00:07:11.600 --> 00:07:17.640]   there's this gap between who we ought to be and who we are, is that we need a second baptism of the
[00:07:17.640 --> 00:07:23.640]   Holy Spirit. That you were baptized maybe when you became a Christian, or maybe you weren't baptized
[00:07:23.640 --> 00:07:28.560]   at all. And you really need to be baptized by the Holy Spirit. So there's two levels of Christians.
[00:07:28.560 --> 00:07:32.200]   There's Christians who are not filled with the Holy Spirit, and then there's Christians who are
[00:07:32.200 --> 00:07:39.200]   filled with the Holy Spirit. Now, years ago we were out in Balboa, and we were out witnessing,
[00:07:39.200 --> 00:07:42.960]   sharing the Gospel with people. And I ran into a group of people who believed that, Apostolic
[00:07:42.960 --> 00:07:49.600]   Pentecostals. And they believed that the evidence that you have this baptism with the Holy Spirit,
[00:07:49.600 --> 00:07:53.760]   that you need to speak in tongues. So we were going back and forth, opening up the Scripture,
[00:07:53.760 --> 00:07:57.200]   and they had this whole chart in the back of their trunk, and they were showing me all of this stuff.
[00:07:57.200 --> 00:08:02.560]   And then, you know, at the end, we said, "You know what? Let's just pray. Let's pray, because we're
[00:08:02.560 --> 00:08:06.800]   not getting anywhere." So I started praying with them, and it was surprising. As soon as I started
[00:08:06.800 --> 00:08:12.280]   praying, all of them, about 12, 13 of them who was out there, surrounded me. And all of a sudden,
[00:08:12.280 --> 00:08:17.360]   right in the middle of the Balboa, you know where the, what do you call it? The bridge.
[00:08:17.360 --> 00:08:23.520]   Pier. Pier, yeah, the pier. Right in the beginning of that pier, they surrounded me, and all 12 of them
[00:08:23.520 --> 00:08:30.040]   just started speaking in tongues. You know? And so I was praying, and I remember after the prayer,
[00:08:30.040 --> 00:08:33.920]   I was just looking up at them, and they said, "Did you get it? Did you get the tongues?"
[00:08:33.920 --> 00:08:38.960]   I was like, "No." You know? But with them, the distinguishing mark between a Christian and
[00:08:38.960 --> 00:08:42.320]   non-Christian is, do you speak tongues? Because if you don't speak tongues, that means you don't have
[00:08:42.320 --> 00:08:48.280]   the Holy Spirit. We have variations of that, even though, again, completely unbiblical. I'm not
[00:08:48.280 --> 00:08:53.000]   gonna get into arguing all of this. Maybe one of these days, when we have a systematic theology
[00:08:53.000 --> 00:08:58.040]   class, that we can get into more details of why that's not biblical. But we have variations of
[00:08:58.040 --> 00:09:04.120]   this. Some people will say, "Well, maybe people are immature, because there is a lack of
[00:09:04.120 --> 00:09:09.120]   organization, lack of discipleship. You haven't met the right person, and you're not doing certain
[00:09:09.120 --> 00:09:15.480]   things right." And so, maybe that's what it is. Maybe if we applied the right methodology. Maybe
[00:09:15.480 --> 00:09:21.960]   if we were organized differently, and then we were more relevant. But the problem with that
[00:09:21.960 --> 00:09:27.000]   is, if you go to church, to church, to church, to church, using different methodology, and different
[00:09:27.000 --> 00:09:36.320]   organization, you'll see that this struggle is consistent over denominations, over different
[00:09:36.320 --> 00:09:45.000]   groups, over campus ministries, over ages. Recently, we had a resurgence of Reformed Theology. And,
[00:09:45.000 --> 00:09:52.160]   again, getting us back to the Scripture, obviously, is a great thing. But it also led to this pseudo
[00:09:52.160 --> 00:09:57.880]   intellectualism. Thinking that if you have enough knowledge, and if you can quote enough things,
[00:09:57.880 --> 00:10:02.760]   and read enough books, that somehow that makes you mature. And so, that's how we're bridging the gap
[00:10:02.760 --> 00:10:10.200]   between a matured and non-mature person. This idea has taken even outside of the Christian circle,
[00:10:10.200 --> 00:10:14.280]   where people are so frustrated with this. Some of these cults say, "Maybe it's because you're at the
[00:10:14.280 --> 00:10:19.680]   wrong church, that you need to be baptized into the Church of Christ." So, that's the reason why
[00:10:19.680 --> 00:10:24.920]   you're not experiencing this abundant life, because you're at the wrong church. And so, you have to go
[00:10:24.920 --> 00:10:29.920]   to their church, and you have to be baptized. In fact, I spent almost a whole year with one of the
[00:10:29.920 --> 00:10:37.040]   leaders, or two of the guys, who are on campus at UCI. And the two guys who are there, the local
[00:10:37.040 --> 00:10:42.080]   church movement. You guys may or may not know, because they tend to change their name every once
[00:10:42.080 --> 00:10:46.800]   in a while. But basically, they were saying that, you know, there's two different groups of Christians.
[00:10:46.800 --> 00:10:51.880]   There's a regular Christian, and then Kingdom Christian. Kingdom Christian are people who belong
[00:10:51.880 --> 00:10:59.280]   to their church. So, those are the people who are saved in body, soul, and spirit. So, the regular
[00:10:59.280 --> 00:11:04.320]   Christians are Christians who are only saved body and soul, but not spirit. So, we spent a long time
[00:11:04.320 --> 00:11:10.040]   arguing and discussing over this. And so, but the tension of what caused them to get there is the
[00:11:10.040 --> 00:11:16.480]   same. Because they see what they see in the church, and what they see in the Scripture, it doesn't
[00:11:16.480 --> 00:11:24.960]   match. So, where is the sanctification, and how do we bridge this gap? We need to make sure, again,
[00:11:24.960 --> 00:11:30.920]   first and foremost, as we studied on Thursday, that whatever it is that we think to be true or
[00:11:30.920 --> 00:11:37.880]   false, doesn't come from my worldview, or what I think is right, or what makes the most sense to me.
[00:11:37.880 --> 00:11:44.000]   We have to make sure that it is coming from a careful study of the Word of God. Where does my
[00:11:44.000 --> 00:11:49.640]   thought come from? Where does my convictions come from? Obviously, it's clear we need to come to the
[00:11:49.640 --> 00:11:55.960]   Word of God. The difference between a Christian and a non-Christian, clearly, is the Holy Spirit.
[00:11:55.960 --> 00:12:03.160]   What the law could not do, God did by sending His Son, who walked in the Spirit, not according to
[00:12:03.160 --> 00:12:11.760]   the flesh. So, the two extreme ways to apply this, if the Holy Spirit is the answer, how do we apply
[00:12:11.760 --> 00:12:16.280]   this? So, you have one extreme where it says, "Just let go and let God." Since it's not me and the Holy
[00:12:16.280 --> 00:12:21.400]   Spirit, it kind of makes us a passive recipient, and we just kind of sit there, and then, "Well, the
[00:12:21.400 --> 00:12:26.440]   Holy Spirit's not doing anything, so what can I do?" That's not what the Bible teaches. In fact,
[00:12:26.440 --> 00:12:31.640]   there's imperative in the Scripture, "Be filled with the Spirit." Walk in the Spirit, right? To,
[00:12:31.640 --> 00:12:37.440]   all things to be done in the Spirit. So, these are imperatives, or things that we are taught to do.
[00:12:37.440 --> 00:12:43.720]   Do not grieve the Spirit. The other extreme is to think that, "Well, if it's the Holy Spirit, so
[00:12:43.720 --> 00:12:49.400]   somehow I can wield the Holy Spirit. That if I maybe just did certain things, quoted the certain
[00:12:49.400 --> 00:12:54.560]   verses, or prayed a certain way, that I can capture the power of the Holy Spirit and wield it toward
[00:12:54.560 --> 00:13:01.400]   a certain direction." Now, we see that mistake in Acts chapter 8, 17 to 20. If you remember a man
[00:13:01.400 --> 00:13:06.720]   named Simon, when he sees Peter praying for people, and the Holy Spirit comes upon them, remember what
[00:13:06.720 --> 00:13:11.640]   he does? He says, "Well, I have money. How much is it going to cost? How much can I give you, and can
[00:13:11.640 --> 00:13:16.040]   you give me this power?" And as a result of that, Peter gets angry, and he says, "Not only will you
[00:13:16.040 --> 00:13:20.480]   not receive this power, you're going to be judged for thinking that you're able to purchase this."
[00:13:20.480 --> 00:13:28.120]   And then another example we see in Acts chapter 19, the sons of Sceva, where Paul is going around,
[00:13:28.120 --> 00:13:33.840]   and he's doing tremendous amount of miracles. And so, he thinks that maybe he could also cast out
[00:13:33.840 --> 00:13:40.400]   demons. And then, so the sons of Sceva, these seven sons of Sceva, get in a room with this demon
[00:13:40.400 --> 00:13:46.520]   possessed man, and tries to cast out the demon. Remember what the demon says? "I know Paul, and I
[00:13:46.520 --> 00:13:55.320]   know Jesus, but who are you?" And then what happens, he says, "They overcome this man, and they strip him
[00:13:55.320 --> 00:14:02.320]   naked, and they run out screaming, wounded." So, what is the point of that? You can't wield the Holy
[00:14:02.320 --> 00:14:08.520]   Spirit. It was in their arrogance to think, "Maybe if we did this, oh, they can do it. Maybe I can do it."
[00:14:08.520 --> 00:14:13.720]   And as a result of that, they get overcome, and they get thoroughly humiliated. The Holy Spirit is
[00:14:13.720 --> 00:14:19.160]   not something for us to wield. No different than God Himself, for us to think that somehow,
[00:14:19.160 --> 00:14:27.000]   if we say the right magic words, God has to bend to our prayers. Which, again, a whole group of,
[00:14:27.000 --> 00:14:32.720]   there was a whole movement called the Word-Faith Movement that actually taught that. Then, if that's
[00:14:32.720 --> 00:14:37.560]   not the case, if we can't wield His power, if we're not to be passive, and just passive recipients,
[00:14:37.560 --> 00:14:42.360]   how do we engage this Holy Spirit? What does this power of the Holy Spirit look like in the life of
[00:14:42.360 --> 00:14:47.320]   a Christian? Some of you, I know, were probably wrestling with that and thinking, "Ok, now He's
[00:14:47.320 --> 00:14:51.760]   going to give us the answer, and we're going to fix this problem once and for all." Right? If that was
[00:14:51.760 --> 00:14:55.560]   the case, that would have happened a long time ago. Right? But I want to show you what the
[00:14:55.560 --> 00:15:05.280]   Scripture says. But first and foremost, we have to understand when we think of power, that that power
[00:15:05.280 --> 00:15:14.400]   that we're expecting and hoping for is the power described in the Bible. Not what you and I oftentimes
[00:15:14.400 --> 00:15:21.680]   equate with power. Because, again, in 2 Corinthians 12, 9, Jesus deliberately humbles Paul. And Paul
[00:15:21.680 --> 00:15:27.600]   says at the end of his struggle that, "When I am weak, He is powerful. He is strong." So He deliberately
[00:15:27.600 --> 00:15:33.560]   makes us weak in order to demonstrate His power. But I want to give you, I think, the most tangible,
[00:15:33.560 --> 00:15:41.240]   tangible evidence, or tangible demonstration of what God deems to be powerful. Turn your Bibles
[00:15:41.240 --> 00:15:50.440]   with me to 1 Kings chapter 19, 9-18. Elijah is a prophet during a period of probably one of the
[00:15:50.440 --> 00:15:58.960]   worst kings of Israel, Ahab. And his wife was even worse, Jezebel. There's an encounter that Elijah
[00:15:58.960 --> 00:16:06.720]   has with the idol worshippers, these priests. And over 400 of them encounter him. And they say, "Well,
[00:16:06.720 --> 00:16:12.560]   if it's your God or my God, let's see what happens." And God comes and consumes them with fire and they
[00:16:12.560 --> 00:16:22.440]   die. So you would think at the end a revival would break out. Nothing of the sort. After that event,
[00:16:22.440 --> 00:16:28.200]   when Jezebel hears from Ahab, Ahab comes running to his wife and tells his wife exactly what
[00:16:28.200 --> 00:16:33.240]   happened. Elijah, this troublemaker, he killed all our prophets. And then Jezebel's determined,
[00:16:33.240 --> 00:16:39.600]   "I'm gonna get this guy. We're gonna make sure he dies." She's just determined. She's not afraid of
[00:16:39.600 --> 00:16:46.520]   him at all. And then it's strange that Elijah, after seeing that kind of power from God, gets
[00:16:46.520 --> 00:16:53.480]   so discouraged, he runs off and hides into a cave. That's the setup. He's in a cave right now. He ran
[00:16:53.480 --> 00:16:59.040]   away because Jezebel said, "I'm gonna kill him." Right? Verse 9, "There he came to a cave and lodged
[00:16:59.040 --> 00:17:04.320]   in it. And behold, the word of the Lord came to him. And he said to him, 'What are you doing here,
[00:17:04.320 --> 00:17:10.320]   Elijah?'" Right? "And he said, 'I have been very jealous for the Lord, the God of hosts. For the
[00:17:10.320 --> 00:17:15.240]   people of Israel have forsaken your covenant, thrown down your altars, and killed your prophets
[00:17:15.240 --> 00:17:21.680]   with the sword. And I, even I, only am left, and they seek my life to take it away.'" You see the
[00:17:21.680 --> 00:17:28.320]   discouragement of Elijah was he expected a revival to break out. But instead of revival, they're
[00:17:28.320 --> 00:17:32.680]   determined to get him. And Jezebel and Ahab said, "We're gonna kill this guy." So he said, "I've done
[00:17:32.680 --> 00:17:38.120]   everything I could possibly do, but it's just not working. Not only is it not working, I'm the only
[00:17:38.120 --> 00:17:45.000]   prophet left. And I'm done. I don't know if I can keep doing this." So he's burnt out. He just saw
[00:17:45.000 --> 00:17:51.600]   the greatest power of God, and now he's hiding in a cave. Just a few days later, he's hiding
[00:17:51.600 --> 00:17:56.920]   in a cave. He said, "I'm burnt out. I'm tired. Lord, I don't want to do this anymore." And then he said,
[00:17:56.920 --> 00:18:03.800]   "Go out and stand on the mount before the Lord, and I will pass by." And behold, the Lord passes
[00:18:03.800 --> 00:18:10.080]   by. So he said, "I'm gonna show you. You're burnt out, and you need to have a fresh encounter with
[00:18:10.080 --> 00:18:18.560]   me." And so God says, "Go out and wait for me, and God's gonna pass by." And he says, "And a great and
[00:18:18.560 --> 00:18:23.840]   strong wind tore the mountains and broke into pieces the rocks before the Lord." Some of your
[00:18:23.840 --> 00:18:29.120]   translations actually says that it's a hurricane that came in, right? The language is it wasn't just
[00:18:29.120 --> 00:18:35.080]   a normal strong wind. It was a hurricane that came. Now, I want you to think to yourself, "Why does God
[00:18:35.080 --> 00:18:41.560]   do this?" Right? Why does God go through all this drama? Who created this wind? Did it just happen
[00:18:41.560 --> 00:18:47.800]   that when He stood out there, just randomly some wind went by? Who did it? God must have done it.
[00:18:47.800 --> 00:18:53.840]   Like a hurricane and an earthquake and fire all happened just randomly at the same time and said,
[00:18:53.840 --> 00:19:01.200]   "Oh, that wasn't me." Clearly it was God, right? But he said his clear presence wasn't there. Earthquake
[00:19:01.200 --> 00:19:07.280]   comes next, and you would think like, "Earthquake?" Right? We live in Southern California, so when we
[00:19:07.280 --> 00:19:11.440]   hear the word "earthquake," it's like, "Oh, okay. It's just another day." You know? But if you ever have
[00:19:11.440 --> 00:19:16.720]   friends or cousins that come from the East Coast or the Midwest, and the earth shakes for a
[00:19:16.720 --> 00:19:23.160]   little bit, they freak out. Right? So the earth shakes. Who did that? It wasn't a train that was going by.
[00:19:23.160 --> 00:19:29.680]   It wasn't a thunder. It was God Himself did it. But He said God wasn't there. Fire comes,
[00:19:29.680 --> 00:19:39.120]   but nowhere. Fire comes, and God's not there either. Right? Why does He go through all of this drama to
[00:19:39.120 --> 00:19:44.440]   demonstrate to Elijah that He's not there? So what happens next? God shows up, and He says, "What does
[00:19:44.440 --> 00:19:53.200]   He say?" At the end of verse 12, "And after the fire, the sound of a low whisper." And that's where He was.
[00:19:53.200 --> 00:20:03.880]   Not the hurricane, not the earthquake, and not the consuming fire, and all of these things in the
[00:20:03.880 --> 00:20:10.240]   past. God showed Himself in those things. But to Elijah specifically, He said He wasn't there. And
[00:20:10.240 --> 00:20:17.840]   He deliberately shows up as a whisperer. Why does He do that? Because Elijah just experienced this
[00:20:17.840 --> 00:20:26.320]   fire. He experienced the thunder. He experienced this tremendous power of God, and nothing happened.
[00:20:26.320 --> 00:20:37.000]   Even after all of that, these people aren't going to repent? "I quit!" That's where He was. That's why He
[00:20:37.000 --> 00:20:46.800]   was in the cave. "I quit!" And so God is trying to show Elijah that you're looking for maybe
[00:20:46.800 --> 00:20:52.240]   the fire wasn't big enough. Maybe if the thunder was louder. Maybe the earthquake was even bigger.
[00:20:52.240 --> 00:20:59.040]   And He's looking for this mighty power. And He says, "No." He comes in a gentle whisper, and then He
[00:20:59.040 --> 00:21:05.440]   says, "And when Elijah heard it, he wrapped his face in his cloak, just like any other man in the presence
[00:21:05.440 --> 00:21:13.640]   of His glory, recognizes his sin, and he wraps himself, and he hides. And behold, there came a
[00:21:13.640 --> 00:21:19.040]   voice to him and said, 'What are you doing here, Elijah?'" The second time asks him, right? "What are you
[00:21:19.040 --> 00:21:23.640]   doing here?" And he gives the same response, verse 14, "I've been very jealous for the Lord, the God of
[00:21:23.640 --> 00:21:28.440]   hosts, for the people of Israel. I've forsaken your covenant, thrown down your altars, and killed
[00:21:28.440 --> 00:21:34.040]   your prophets with the sword. And I, even I only, am left, and they seek my life to take it away." After
[00:21:34.040 --> 00:21:45.760]   all of that, nothing has changed. And they're still trying to kill me. And the response of God, it's
[00:21:45.760 --> 00:21:55.080]   almost comical, because there's no hoopla. There's no shaking. There's no miracle. He just says, and
[00:21:55.080 --> 00:22:01.160]   the Lord said to him, "Go back. Go return on your way to the wilderness in Damascus, and let me tell
[00:22:01.160 --> 00:22:06.840]   you what you're going to do. Go back. There's going to be some remnants. There's Elohim, and my
[00:22:06.840 --> 00:22:13.560]   people are here." He doesn't say, "The ground's going to shake, and thunder's going to happen." He just
[00:22:13.560 --> 00:22:24.040]   says, "Go back. Just keep doing what I'm telling you to do." Right? What was his point? God is powerful
[00:22:24.040 --> 00:22:34.680]   in the thunder, in the earthquake, in the fire, and in the whisper. See, our tendency is, when we think
[00:22:34.680 --> 00:22:40.200]   about the Holy Spirit and power, we're thinking about something to happen, revival. Like something to
[00:22:40.200 --> 00:22:45.400]   happen, something to shake me, like get me out. You know, I'm stuck. Get me out. I need a super
[00:22:45.400 --> 00:22:53.380]   truck. I need a plane. I need something. But it's the description that Paul gives of somebody who
[00:22:53.380 --> 00:23:02.520]   is saved and delivered from sin. It's just his mind. He says, "For those who live according to the flesh
[00:23:02.520 --> 00:23:06.760]   set their minds on the things of the flesh. But those who live according to the Spirit set their
[00:23:06.760 --> 00:23:11.480]   minds on the things of the Spirit." And he just describes, it's just your mind. Your mind is
[00:23:11.480 --> 00:23:18.040]   different between somebody who's in the Spirit and somebody who's living in the flesh. And again,
[00:23:18.040 --> 00:23:23.800]   one of the questions I ask is, "Is this describing what you ought to do or who you are?" It's clearly
[00:23:23.800 --> 00:23:28.120]   an indicative. This is not an imperative. He's describing a Christian and a non-Christian. So,
[00:23:28.120 --> 00:23:32.440]   the difference between a Christian and a non-Christian was, what's going on in your head?
[00:23:32.440 --> 00:23:40.560]   Right? It doesn't sound too dramatic. I mean, really? That's it? I know some of you guys were
[00:23:40.560 --> 00:23:45.920]   waiting all week to think, like, "What is he gonna say? What's the answer?" Like, "Give me the answer
[00:23:45.920 --> 00:23:52.840]   so that I can have sanctification." Well, I mean, it just seems so mundane. But I want to show you,
[00:23:52.840 --> 00:24:02.320]   oftentimes what we're looking for may be no different than what the Jews were looking for.
[00:24:02.320 --> 00:24:10.200]   Remember what he says? "The Jews asked for signs and the Greeks looked for wisdom, but we preached
[00:24:10.200 --> 00:24:17.960]   Christ crucified." And I'm gonna keep reading. He says, "But we preached Christ crucified, a stumbling
[00:24:17.960 --> 00:24:21.680]   block to Jews and a folly to the Gentiles, but to those who are called both Jews and Greeks,
[00:24:21.680 --> 00:24:27.240]   Christ, the power of God and the wisdom of God. For the foolishness of God is wiser than men,
[00:24:27.240 --> 00:24:34.160]   and the weakness of God is stronger than men." What you consider to be powerful, in God's eyes,
[00:24:34.160 --> 00:24:42.040]   is weakness. 1 Corinthians 1:18, "For the word of the cross is folly to those who are perishing,
[00:24:42.040 --> 00:24:48.240]   but to us who are being saved, it is the power of God." So, when we think about this power,
[00:24:48.240 --> 00:24:53.320]   the Holy Spirit, our first thing is something happening, something rumbling, something's gonna
[00:24:53.320 --> 00:24:59.720]   happen. But he says, "It's foolish. It's just so mundane. It's the preaching of the cross." In fact,
[00:24:59.720 --> 00:25:06.160]   there's two areas in the Bible where there's a concentration of the doctrine of the Holy Spirit,
[00:25:06.160 --> 00:25:14.000]   called pneumatology. Not pneumatology, pneumology, right? So, Chapter 8 is one of them, and then John
[00:25:14.000 --> 00:25:21.040]   Chapter 14, 15, 16 is the other. So, can you turn your Bibles to John Chapter 14? This is where Jesus
[00:25:21.040 --> 00:25:26.600]   prophesies and tells His disciples that the Holy Spirit is going to come. And He explains why the
[00:25:26.600 --> 00:25:37.080]   Holy Spirit is going to come. Verse 16, Chapter 14, verse 16. He says, "And I will ask the Father,
[00:25:37.080 --> 00:25:42.800]   and He will give you another Helper to be with you forever." Okay, so one, just remember that. He
[00:25:42.800 --> 00:25:46.840]   calls Him Helper, and then verse 26, again, He says, "But the Helper of the Holy Spirit,
[00:25:46.840 --> 00:25:51.120]   Helper of the Holy Spirit, whom the Father will send in My name, He will teach you all things."
[00:25:51.120 --> 00:25:56.320]   So, one, He's called the Helper. The purpose of the Holy Spirit coming is to help us. Help us what?
[00:25:56.320 --> 00:26:02.920]   To continue on, to continue to follow Him. Right? What is He going to do? "And even the Spirit of
[00:26:02.920 --> 00:26:07.760]   Truth," okay, He's called the Helper, He's called the Spirit of Truth, "whom the world cannot receive,
[00:26:07.760 --> 00:26:14.000]   because it neither sees Him nor knows Him. You know Him, for He dwells with you, and will be in
[00:26:14.000 --> 00:26:23.480]   you." And then, if you go further down in verse 26, He describes exactly why He is coming. Verse 26,
[00:26:23.480 --> 00:26:27.520]   He says, "But the Helper of the Holy Spirit, whom the Father will send in My name, He will teach you
[00:26:27.520 --> 00:26:33.240]   all things, and bring to your remembrance all that I have said to you." All right, stop right there.
