
[00:00:00.000 --> 00:00:00.840]   - Two.
[00:09:13.380 --> 00:09:18.060]   ♪ Cry out, sing holy ♪
[00:09:18.060 --> 00:09:22.660]   ♪ Forever a holy God ♪
[00:09:22.660 --> 00:09:26.660]   ♪ Come and worship the holy God ♪
[00:09:26.660 --> 00:09:39.980]   - Huh?
[00:09:45.540 --> 00:09:47.820]   - Is there like a cut at the last chorus?
[00:09:47.820 --> 00:09:48.660]   - Huh?
[00:09:48.660 --> 00:09:49.500]   - Cut at the last chorus?
[00:09:49.500 --> 00:09:50.660]   - No, just play through.
[00:09:50.660 --> 00:09:52.140]   And then you can cut for the outro.
[00:09:52.140 --> 00:09:53.560]   - Die, die outro.
[00:09:53.560 --> 00:09:58.820]   - Yeah, just try not to rush.
[00:09:58.820 --> 00:10:00.740]   'Cause I think every time we get towards the chorus,
[00:10:00.740 --> 00:10:01.740]   you start to rush.
[00:10:01.740 --> 00:10:06.700]   So it's probably like, you know, you're building up.
[00:10:06.700 --> 00:10:09.500]   - Yeah, I feel like it's probably the build,
[00:10:09.500 --> 00:10:11.140]   I get to get too excited.
[00:10:11.140 --> 00:10:13.780]   - Yeah, so just try to listen for me
[00:10:13.780 --> 00:10:14.940]   and try to stay with me.
[00:10:14.940 --> 00:10:18.600]   - Yeah, great, you're gonna find your time.
[00:10:18.600 --> 00:10:23.580]   - You can practice the intro, but I think we're done.
[00:10:23.580 --> 00:10:25.780]   We don't have time.
[00:10:25.780 --> 00:10:28.860]   (gentle piano music)
[00:10:28.860 --> 00:10:31.860]   (people chattering)
[00:10:31.860 --> 00:10:34.940]   (gentle piano music)
[00:10:34.940 --> 00:10:37.940]   (people chattering)
[00:10:37.940 --> 00:10:41.020]   (gentle piano music)
[00:10:41.020 --> 00:10:44.020]   (people chattering)
[00:10:44.020 --> 00:10:48.300]   (gentle piano music)
[00:10:48.300 --> 00:11:01.300]   (people chattering)
[00:11:01.300 --> 00:11:07.380]   (gentle piano music)
[00:11:07.380 --> 00:11:10.380]   (people chattering)
[00:11:10.380 --> 00:11:24.460]   (gentle piano music)
[00:11:24.460 --> 00:11:35.500]   - Adrian. - I'm the worst person ever.
[00:11:36.740 --> 00:11:39.820]   (gentle piano music)
[00:11:39.820 --> 00:11:50.100]   - All right, let's all take some time to quiet our hearts
[00:11:50.100 --> 00:11:52.820]   and prepare our hearts for worship.
[00:11:52.820 --> 00:11:55.900]   (gentle piano music)
[00:11:55.900 --> 00:11:58.900]   (people chattering)
[00:11:58.900 --> 00:12:01.980]   (gentle piano music)
[00:12:01.980 --> 00:12:04.980]   (people chattering)
[00:12:05.460 --> 00:12:08.540]   (gentle piano music)
[00:12:08.540 --> 00:12:11.540]   (people chattering)
[00:12:11.820 --> 00:12:14.900]   (gentle piano music)
[00:12:14.900 --> 00:12:17.900]   (people chattering)
[00:12:42.620 --> 00:12:44.460]   Heavenly Father, I just thank you
[00:12:44.460 --> 00:12:49.260]   for gathering us here tonight to study your word.
[00:12:49.260 --> 00:12:50.820]   Lord, I thank you that we can come here
[00:12:50.820 --> 00:12:54.860]   and just have this time to praise your name.
[00:12:54.860 --> 00:12:58.780]   Lord, to dive into the word, to be convicted by it,
[00:12:58.780 --> 00:13:03.180]   to be able to share and encourage others
[00:13:03.180 --> 00:13:05.180]   through our convictions in the word.
[00:13:05.180 --> 00:13:09.020]   Lord, I just pray that you would give us good studies tonight,
[00:13:10.300 --> 00:13:12.140]   help us to continue to worship you
[00:13:12.140 --> 00:13:16.420]   even as we continue through 1 Peter.
[00:13:16.420 --> 00:13:19.660]   Lord, and just teach us to be holy as you are holy, God.
[00:13:19.660 --> 00:13:22.180]   I thank you again for this time
[00:13:22.180 --> 00:13:24.740]   and for all this in Jesus' name, amen.
[00:13:24.740 --> 00:13:26.540]   Let's all stand for a time of praise.
[00:13:37.220 --> 00:13:40.300]   (gentle piano music)
[00:13:40.300 --> 00:13:56.540]   ♪ Who else commands all the hosts of heaven ♪
[00:13:56.540 --> 00:14:02.740]   ♪ Who else can make every king bow down ♪
[00:14:03.980 --> 00:14:08.980]   ♪ Who else can whisper in darkness troubles ♪
[00:14:08.980 --> 00:14:15.220]   ♪ Only a holy God ♪
[00:14:15.220 --> 00:14:22.780]   ♪ What are the beauty deep in such places ♪
[00:14:22.780 --> 00:14:29.060]   ♪ What are the splendor that shades the sun ♪
[00:14:30.420 --> 00:14:35.420]   ♪ What are the majesty rules with justice ♪
[00:14:35.420 --> 00:14:41.740]   ♪ Only a holy God ♪
[00:14:41.740 --> 00:14:49.020]   ♪ Come and behold him ♪
[00:14:49.020 --> 00:14:54.020]   ♪ The one and the only ♪
[00:14:54.020 --> 00:14:59.540]   ♪ Cry out, sing holy forevermore ♪
[00:14:59.580 --> 00:15:03.820]   ♪ Forever a holy God ♪
[00:15:03.820 --> 00:15:07.820]   ♪ Come and worship the holy God ♪
[00:15:07.820 --> 00:15:27.260]   ♪ What are the glory concerns like fire ♪
[00:15:28.420 --> 00:15:33.420]   ♪ What are the power can raise the dead ♪
[00:15:33.420 --> 00:15:39.660]   ♪ What are the enemies undefeated ♪
[00:15:39.660 --> 00:15:45.820]   ♪ Only a holy God ♪
[00:15:45.820 --> 00:15:52.820]   ♪ Come and behold him ♪
[00:15:52.820 --> 00:15:57.820]   ♪ The one and the only ♪
[00:15:58.180 --> 00:16:03.180]   ♪ Cry out, sing holy forevermore ♪
[00:16:03.180 --> 00:16:07.300]   ♪ A holy God ♪
[00:16:07.300 --> 00:16:12.300]   ♪ Come and worship the holy God ♪
[00:16:12.300 --> 00:16:17.580]   ♪ Come and behold him ♪
[00:16:17.580 --> 00:16:22.580]   ♪ The one and the only ♪
[00:16:22.580 --> 00:16:27.980]   ♪ Cry out, sing holy forevermore ♪
[00:16:28.020 --> 00:16:32.260]   ♪ Forever a holy God ♪
[00:16:32.260 --> 00:16:36.260]   ♪ Come and worship the holy God ♪
[00:16:36.260 --> 00:16:55.300]   ♪ Who else could rescue me from my fate ♪
[00:16:56.580 --> 00:17:01.580]   ♪ Who else would offer his only son ♪
[00:17:01.580 --> 00:17:07.900]   ♪ Who else invites me to call him father ♪
[00:17:07.900 --> 00:17:14.100]   ♪ Only a holy God ♪
[00:17:14.100 --> 00:17:19.140]   ♪ Only my holy God ♪
[00:17:19.140 --> 00:17:26.100]   ♪ Come and behold him ♪
[00:17:26.100 --> 00:17:31.100]   ♪ The one and the only ♪
[00:17:31.100 --> 00:17:36.420]   ♪ Cry out, sing holy forevermore ♪
[00:17:36.420 --> 00:17:40.580]   ♪ A holy God ♪
[00:17:40.580 --> 00:17:45.580]   ♪ Come and worship the holy God ♪
[00:17:45.580 --> 00:17:50.820]   ♪ Come and behold him ♪
[00:17:50.820 --> 00:17:55.820]   ♪ The one and the only ♪
[00:17:56.140 --> 00:18:01.140]   ♪ Cry out, sing holy forevermore ♪
[00:18:01.140 --> 00:18:05.220]   ♪ A holy God ♪
[00:18:05.220 --> 00:18:09.220]   ♪ Come and worship the holy God ♪
[00:18:09.220 --> 00:18:11.800]   (gentle music)
[00:18:11.800 --> 00:18:16.800]  ,
[00:18:16.800 --> 00:18:19.780]   [PIANO PLAYING]
[00:18:19.780 --> 00:18:38.760]   [PIANO PLAYING]
[00:18:45.240 --> 00:18:48.220]   Purify my heart.
[00:18:48.220 --> 00:18:52.720]   Purify my heart.
[00:18:52.720 --> 00:19:00.700]   Let me be as gold and flesh is silver.
[00:19:00.700 --> 00:19:05.200]   Purify my heart.
[00:19:05.200 --> 00:19:13.180]   Let me be as gold, pure gold.
[00:19:13.180 --> 00:19:16.660]   Refine, oh, shine.
[00:19:16.660 --> 00:19:30.120]   My heart's one desire is to be holy.
[00:19:30.120 --> 00:19:43.100]   Set apart for you, Lord, I choose to be holy.
[00:19:44.020 --> 00:19:55.500]   Set apart for you, my master, ready to do your will.
[00:19:55.500 --> 00:20:07.440]   Purify my heart.
[00:20:07.440 --> 00:20:15.920]   Cleanse me from within and make me holy.
[00:20:15.920 --> 00:20:20.920]   Purify my heart.
[00:20:20.920 --> 00:20:25.900]   Cleanse me from my sins.
[00:20:25.900 --> 00:20:32.380]   Deep within, we find respite.
[00:20:35.880 --> 00:20:46.360]   My heart's one desire is to be holy.
[00:20:46.360 --> 00:20:59.840]   Set apart for you, Lord, I choose to be holy.
[00:21:02.840 --> 00:21:13.320]   Set apart for you, my master, ready to do your will.
[00:21:13.320 --> 00:21:19.800]   Refiner's fire.
[00:21:23.300 --> 00:21:33.780]   My heart's one desire is to be holy.
[00:21:33.780 --> 00:21:47.260]   Set apart for you, Lord, I choose to be holy.
[00:21:50.260 --> 00:22:00.740]   Set apart for you, my master, ready to do your will.
[00:22:00.740 --> 00:22:07.220]   Ready to do your will.
[00:22:07.220 --> 00:22:09.220]   Ready to do your will.
[00:22:09.220 --> 00:22:23.220]   All right, good evening, everybody.
[00:22:23.220 --> 00:22:26.220]   Can I get the next slide?
[00:22:26.220 --> 00:22:33.220]   So, verse 13 we covered last week, but I figured in context,
[00:22:33.220 --> 00:22:37.220]   it would be good to just include that in our reading.
[00:22:37.220 --> 00:22:43.220]   So, let me read this for us and then go over the questions that
[00:22:43.220 --> 00:22:47.220]   I'd encourage you guys to discuss, and then we'll pray,
[00:22:47.220 --> 00:22:50.220]   and then we'll get our small group time ready to go.
[00:22:50.220 --> 00:22:53.220]   All right, here's 1 Peter 1, 13 to 19.
[00:22:53.220 --> 00:22:57.220]   "Therefore, prepare your minds for action.
[00:22:57.220 --> 00:22:59.220]   Keep sober in spirit.
[00:22:59.220 --> 00:23:02.220]   Fix your hope completely on the grace to be brought to you at
[00:23:02.220 --> 00:23:05.220]   the revelation of Jesus Christ.
[00:23:05.220 --> 00:23:08.220]   As obedient children, do not be conformed to the former lusts
[00:23:08.220 --> 00:23:11.220]   which were yours in your ignorance.
[00:23:11.220 --> 00:23:13.220]   But like the Holy One who called you,
[00:23:13.220 --> 00:23:17.220]   be holy yourselves also in all your behavior.
[00:23:17.220 --> 00:23:21.220]   Because it is written, 'You shall be holy, for I am holy.'
[00:23:21.220 --> 00:23:24.220]   If you address as Father the one who impartially judges
[00:23:24.220 --> 00:23:29.220]   according to each one's work, conduct yourselves in fear during
[00:23:29.220 --> 00:23:32.220]   the time of your stay on earth, knowing that you were not
[00:23:32.220 --> 00:23:36.220]   redeemed with perishable things like silver or gold from your
[00:23:36.220 --> 00:23:39.220]   futile way of life inherited from your forefathers,
[00:23:39.220 --> 00:23:42.220]   but with precious blood as of a lamb,
[00:23:42.220 --> 00:23:47.220]   unblemished and spotless, the blood of Christ."
[00:23:47.220 --> 00:23:49.220]   Next slide.
[00:23:49.220 --> 00:23:52.220]   So, number one and two you guys are used to doing,
[00:23:52.220 --> 00:23:55.220]   just the questions and the observations,
[00:23:55.220 --> 00:23:58.220]   but the third one is something you might spend the bulk of your
[00:23:58.220 --> 00:24:05.220]   time on, and that's what does it mean for a Christian to conduct
[00:24:05.220 --> 00:24:09.220]   his life on earth in fear?
[00:24:09.220 --> 00:24:12.220]   And so does this mean a Christian needs to worry about
[00:24:12.220 --> 00:24:15.220]   losing his salvation by committing a sin,
[00:24:15.220 --> 00:24:20.220]   maybe so grievous that something happens?
[00:24:20.220 --> 00:24:24.220]   Are we to fear like the judgment of the church,
[00:24:24.220 --> 00:24:26.220]   of man, of God?
[00:24:26.220 --> 00:24:32.220]   So that's going to come up, and so please do discuss that when
[00:24:32.220 --> 00:24:34.220]   you have some time.
[00:24:34.220 --> 00:24:36.220]   We're going to go until 820.
[00:24:36.220 --> 00:24:42.220]   Right now is 718, but let me pray and then we'll break up into
[00:24:42.220 --> 00:24:47.220]   our small group time.
[00:24:47.220 --> 00:24:57.220]   Lord, we learned last week that the whole point of human history
[00:24:57.220 --> 00:25:04.220]   and the whole point of creation really was just your glory and
[00:25:04.220 --> 00:25:09.220]   our being reconciled to you for your glory.
[00:25:09.220 --> 00:25:15.220]   And today we're learning what it means to live in response to
[00:25:15.220 --> 00:25:17.220]   these gospel truths.
[00:25:17.220 --> 00:25:21.220]   Help us to study well, help us to share well,
[00:25:21.220 --> 00:25:24.220]   and that this will not just puff us up,
[00:25:24.220 --> 00:25:28.220]   that this will not just be an academic endeavor,
[00:25:28.220 --> 00:25:32.220]   but Lord, as we study together, that you would cause us to feel
[00:25:32.220 --> 00:25:37.220]   more burdened to pursue Christ more passionately,
[00:25:37.220 --> 00:25:41.220]   that you would cause us to be more thankful that this salvation
[00:25:41.220 --> 00:25:47.220]   is not based on our works, that we would be humbled,
[00:25:47.220 --> 00:25:50.220]   that you would call us to be like you.
[00:25:50.220 --> 00:25:53.220]   So we pray for our small group leaders,
[00:25:53.220 --> 00:25:56.220]   that you would give them insight,
[00:25:56.220 --> 00:25:59.220]   that you would give them the ability to really lead and guide
[00:25:59.220 --> 00:26:01.220]   the discussion well.
[00:26:01.220 --> 00:26:07.220]   And I pray for all of us, especially for those who prepared
[00:26:07.220 --> 00:26:12.220]   a lot, that you would cause us to feel humble more than
[00:26:12.220 --> 00:26:16.220]   overexcited to share what we've gleaned.
[00:26:16.220 --> 00:26:19.220]   So Lord, would you receive the honor at this time,
[00:26:19.220 --> 00:26:24.220]   help us to use this as a fellowship where you are at the center.
[00:26:24.220 --> 00:26:27.220]   So we thank you, Lord God, for this evening,
[00:26:27.220 --> 00:26:31.220]   and we pray for your help to study and glean much.
[00:26:31.220 --> 00:26:33.220]   In Jesus' name we pray.
[00:26:33.220 --> 00:26:35.220]   So we'll see you at 820.
[00:26:36.220 --> 00:26:39.220]   [SIDE CONVERSATION]
[00:26:39.220 --> 00:26:42.220]   [SIDE CONVERSATION]
[00:26:42.220 --> 00:26:45.220]   [SIDE CONVERSATION]
[00:26:45.220 --> 00:26:48.220]   [SIDE CONVERSATION]
[00:26:48.220 --> 00:26:51.220]   [SIDE CONVERSATION]
[00:26:51.220 --> 00:26:54.220]   [SIDE CONVERSATION]
[00:26:54.220 --> 00:26:57.220]   [SIDE CONVERSATION]
[00:26:57.220 --> 00:27:00.220]   [SIDE CONVERSATION]
[00:27:00.220 --> 00:27:03.220]   [SIDE CONVERSATION]
[00:27:03.220 --> 00:27:06.220]   [SIDE CONVERSATION]
[00:27:06.220 --> 00:27:09.220]   [SIDE CONVERSATION]
[00:27:09.220 --> 00:27:12.220]   [SIDE CONVERSATION]
[00:27:12.220 --> 00:27:15.220]   [SIDE CONVERSATION]
[00:27:15.220 --> 00:27:18.220]   [SIDE CONVERSATION]
[00:27:18.220 --> 00:27:21.220]   [SIDE CONVERSATION]
[00:27:21.220 --> 00:27:24.220]   [SIDE CONVERSATION]
[00:27:24.220 --> 00:27:27.220]   [SIDE CONVERSATION]
[00:27:27.220 --> 00:27:30.220]   [SIDE CONVERSATION]
[00:27:30.220 --> 00:27:33.220]   [SIDE CONVERSATION]
[00:27:33.220 --> 00:27:36.220]   [SIDE CONVERSATION]
[00:27:36.220 --> 00:27:39.220]   [SIDE CONVERSATION]
[00:27:39.220 --> 00:27:42.220]   [SIDE CONVERSATION]
[00:27:42.220 --> 00:27:45.220]   [SIDE CONVERSATION]
[00:27:45.220 --> 00:27:48.220]   [SIDE CONVERSATION]
[00:27:48.220 --> 00:27:51.220]   [SIDE CONVERSATION]
[00:27:51.220 --> 00:27:54.220]   [SIDE CONVERSATION]
[00:27:54.220 --> 00:27:57.220]   [SIDE CONVERSATION]
[00:27:57.220 --> 00:28:00.220]   [SIDE CONVERSATION]
[00:28:00.220 --> 00:28:03.220]   [SIDE CONVERSATION]
[00:28:03.220 --> 00:28:06.220]   [SIDE CONVERSATION]
[00:28:06.220 --> 00:28:09.220]   [SIDE CONVERSATION]
[00:28:09.220 --> 00:28:12.220]   [SIDE CONVERSATION]
[00:28:12.220 --> 00:28:15.220]   [SIDE CONVERSATION]
[00:28:15.220 --> 00:28:18.220]   [SIDE CONVERSATION]
[00:28:18.220 --> 00:28:21.220]   [SIDE CONVERSATION]
[00:28:21.220 --> 00:28:27.220]   [SIDE CONVERSATION]
[00:28:27.220 --> 00:28:43.220]   [SIDE CONVERSATION]
[00:28:43.220 --> 00:28:46.220]   [SIDE CONVERSATION]
[00:28:46.220 --> 00:29:03.220]   [SIDE CONVERSATION]
[00:29:03.220 --> 00:29:06.220]   [SIDE CONVERSATION]
[00:29:06.220 --> 00:29:23.220]   [SIDE CONVERSATION]
[00:29:23.220 --> 00:29:26.220]   [SIDE CONVERSATION]
[00:29:26.220 --> 00:29:46.220]   [SIDE CONVERSATION]
[00:29:46.220 --> 00:29:49.220]   [SIDE CONVERSATION]
[00:29:49.220 --> 00:29:52.220]   [SIDE CONVERSATION]
[00:29:52.220 --> 00:29:55.220]   [SIDE CONVERSATION]
[00:29:55.220 --> 00:29:58.220]   [SIDE CONVERSATION]
[00:29:58.220 --> 00:30:01.220]   [SIDE CONVERSATION]
[00:30:01.220 --> 00:30:04.220]   [SIDE CONVERSATION]
[00:30:04.220 --> 00:30:07.220]   [SIDE CONVERSATION]
[00:30:07.220 --> 00:30:10.220]   [SIDE CONVERSATION]
[00:30:36.220 --> 00:30:39.220]   [SIDE CONVERSATION]
[00:30:39.220 --> 00:30:42.220]   [SIDE CONVERSATION]
[00:30:42.220 --> 00:30:45.220]   [SIDE CONVERSATION]
[00:30:45.220 --> 00:30:48.220]   [SIDE CONVERSATION]
[00:30:48.220 --> 00:30:51.220]   [SIDE CONVERSATION]
[00:30:51.220 --> 00:30:54.220]   [SIDE CONVERSATION]
[00:31:20.220 --> 00:31:23.220]   [SIDE CONVERSATION]
[00:31:23.220 --> 00:31:26.220]   [SIDE CONVERSATION]
[00:31:26.220 --> 00:31:29.220]   [SIDE CONVERSATION]
[00:31:29.220 --> 00:31:32.220]   [SIDE CONVERSATION]
[00:31:32.220 --> 00:31:35.220]   [SIDE CONVERSATION]
[00:31:35.220 --> 00:31:38.220]   [SIDE CONVERSATION]
[00:31:38.220 --> 00:31:41.220]   [SIDE CONVERSATION]
[00:31:41.220 --> 00:31:44.220]   [SIDE CONVERSATION]
[00:31:44.220 --> 00:31:47.220]   [SIDE CONVERSATION]
[00:31:47.220 --> 00:31:50.220]   [SIDE CONVERSATION]
[00:31:50.220 --> 00:31:53.220]   [SIDE CONVERSATION]
[00:31:53.220 --> 00:31:56.220]   [SIDE CONVERSATION]
[00:31:56.220 --> 00:31:59.220]   [SIDE CONVERSATION]
[00:31:59.220 --> 00:32:02.220]   [SIDE CONVERSATION]
[00:32:02.220 --> 00:32:05.220]   [SIDE CONVERSATION]
[00:32:05.220 --> 00:32:08.220]   [SIDE CONVERSATION]
[00:32:08.220 --> 00:32:11.220]   [SIDE CONVERSATION]
[00:32:11.220 --> 00:32:14.220]   [SIDE CONVERSATION]
[00:32:14.220 --> 00:32:17.220]   [SIDE CONVERSATION]
[00:32:17.220 --> 00:32:23.220]   [SIDE CONVERSATION]
[00:32:23.220 --> 00:32:29.220]   [SIDE CONVERSATION]
[00:32:29.220 --> 00:32:37.220]   [SIDE CONVERSATION]
[00:32:37.220 --> 00:32:40.220]   [SIDE CONVERSATION]
[00:32:40.220 --> 00:32:50.220]   [SIDE CONVERSATION]
[00:32:50.220 --> 00:33:02.220]   [SIDE CONVERSATION]
[00:33:02.220 --> 00:33:05.220]   [SIDE CONVERSATION]
[00:33:05.220 --> 00:33:23.220]   [SIDE CONVERSATION]
[00:33:23.220 --> 00:33:26.220]   [SIDE CONVERSATION]
[00:33:26.220 --> 00:33:36.220]   [SIDE CONVERSATION]
[00:33:36.220 --> 00:33:48.220]   [SIDE CONVERSATION]
[00:33:48.220 --> 00:33:51.220]   [SIDE CONVERSATION]
[00:33:51.220 --> 00:34:09.220]   [SIDE CONVERSATION]
[00:34:09.220 --> 00:34:12.220]   [SIDE CONVERSATION]
[00:34:12.220 --> 00:34:29.220]   [SIDE CONVERSATION]
[00:34:29.220 --> 00:34:32.220]   [SIDE CONVERSATION]
[00:34:32.220 --> 00:34:49.220]   [SIDE CONVERSATION]
[00:34:49.220 --> 00:34:52.220]   [SIDE CONVERSATION]
[00:34:52.220 --> 00:35:14.220]   [SIDE CONVERSATION]
[00:35:14.220 --> 00:35:17.220]   [SIDE CONVERSATION]
[00:35:17.220 --> 00:35:34.220]   [SIDE CONVERSATION]
[00:35:34.220 --> 00:35:37.220]   [SIDE CONVERSATION]
[00:35:37.220 --> 00:35:40.220]   [SIDE CONVERSATION]
[00:35:40.220 --> 00:35:43.220]   [SIDE CONVERSATION]
