
[00:00:00.000 --> 00:00:05.000]   [BLANK_AUDIO]
[00:04:10.760 --> 00:04:15.200]   Notice how in this graphic up here, there is no chain.
[00:04:15.200 --> 00:04:20.280]   And what I want to do is actually focus on this idea that we absolutely need to,
[00:04:20.280 --> 00:04:24.720]   yes, maintain and strengthen the linkage, the connection, and the chain
[00:04:24.720 --> 00:04:26.080]   that we have to Christ.
[00:04:26.080 --> 00:04:32.600]   Because yes, conceptually, we can all agree and confess Jesus Christ is a stronghold.
[00:04:32.600 --> 00:04:34.920]   But where are your chains?
[00:04:34.920 --> 00:04:38.960]   To what degree have you tied yourself to that stronghold?
[00:04:38.960 --> 00:04:41.480]   And what is the current status?
[00:04:41.480 --> 00:04:42.480]   Is it well-maintained?
[00:04:42.480 --> 00:04:43.920]   Is it strong?
[00:04:43.920 --> 00:04:47.400]   Or on the flip side, is it unclear?
[00:04:47.400 --> 00:04:49.200]   Is another photo for your class?
[00:04:49.200 --> 00:04:51.880]   Is it all rusty and worn down?
[00:04:51.880 --> 00:04:55.000]   I had a picture for you just a moment ago of this photo.
[00:04:55.000 --> 00:04:57.320]   And some random facts for you guys.
[00:04:57.320 --> 00:04:58.880]   This is a US ship.
[00:04:58.880 --> 00:05:01.680]   I think it's called the--
[00:05:01.680 --> 00:05:02.760]   I have it there.
[00:05:02.760 --> 00:05:05.360]   The US NIMIS.
[00:05:05.360 --> 00:05:11.240]   Cool fact is that their chain is so weak, it actually outweighs the anchor.
[00:05:11.240 --> 00:05:14.440]   An analogy-- don't try to think about the Christian spiritual analysis
[00:05:14.440 --> 00:05:15.280]   from there.
[00:05:15.280 --> 00:05:20.280]   What I'm saying is, how important is it to actually maintain that chain?
[00:05:20.280 --> 00:05:24.400]   You have these individuals who have a 60,000-pound anchor.
[00:05:24.400 --> 00:05:29.040]   But in terms of the chain, the whole of the chain that they have on the boat
[00:05:29.040 --> 00:05:32.760]   is 244,000 pounds of chain.
[00:05:32.760 --> 00:05:36.320]   And they have to maintain that because over time, it rusts.
[00:05:36.320 --> 00:05:43.120]   My question to you is, how strong is your family's link to Christ?
[00:05:43.120 --> 00:05:46.040]   To what degree have you given attention to these things?
[00:05:46.040 --> 00:05:48.560]   And so what I'd like to focus on in this sermon
[00:05:48.560 --> 00:05:54.120]   is the part of the identity, priority, and the activity of the family
[00:05:54.120 --> 00:05:57.280]   as links to the solid anchor that is Christ.
[00:05:58.280 --> 00:06:02.760]   The identity, the priority, and the activity of the family
[00:06:02.760 --> 00:06:07.240]   has served as links to the solid anchor that is Christ.
[00:06:07.240 --> 00:06:10.240]   So let me begin by saying this.
[00:06:10.240 --> 00:06:17.240]   A Christ-anchored family has a family identity tied to Christ.
[00:06:17.240 --> 00:06:21.720]   The Christ-anchored family has a family identity tied to Christ.
[00:06:21.720 --> 00:06:25.200]   Now, if you think about that, when we thought the term "identity,"
[00:06:25.200 --> 00:06:26.720]   it's a huge term.
[00:06:26.720 --> 00:06:28.680]   It's a little vague.
[00:06:28.680 --> 00:06:30.680]   And so we have to identify a little bit.
[00:06:30.680 --> 00:06:33.160]   And we actually have to define it.
[00:06:33.160 --> 00:06:36.160]   The best and simplest way to say it is identity
[00:06:36.160 --> 00:06:38.160]   is just talking about who you are as a whole.
[00:06:38.160 --> 00:06:41.160]   And that's why it's so broad.
[00:06:41.160 --> 00:06:45.640]   It's simply what describes and defines you.
[00:06:45.640 --> 00:06:50.120]   And so people can look to all sorts of things-- your purpose, your skill.
[00:06:50.120 --> 00:06:55.600]   And on a worldly level, that's how people typically identify themselves.
[00:06:55.600 --> 00:07:00.480]   They identify themselves by what they see.
[00:07:00.480 --> 00:07:04.480]   So when it comes to family, and not just you as an individual--
[00:07:04.480 --> 00:07:07.960]   you as an individual may be thinking about your skill set,
[00:07:07.960 --> 00:07:09.360]   your personal looks.
[00:07:09.360 --> 00:07:11.480]   Well, that translates to family, too.
[00:07:11.480 --> 00:07:15.000]   People are very concerned about family honor.
[00:07:15.000 --> 00:07:19.400]   People are very concerned about being a respectful family in the community.
[00:07:19.400 --> 00:07:23.800]   That's why certain individuals cannot, cannot bear the idea of having
[00:07:23.800 --> 00:07:26.400]   their children fail school.
[00:07:26.400 --> 00:07:27.760]   No way.
[00:07:27.760 --> 00:07:29.920]   Not my kid.
[00:07:29.920 --> 00:07:32.000]   What's more, do families--
[00:07:32.000 --> 00:07:35.960]   are they concerned just like an individual is about the produce,
[00:07:35.960 --> 00:07:40.160]   meaning what they can actually contribute to society?
[00:07:40.160 --> 00:07:42.640]   Do they care about family income?
[00:07:42.640 --> 00:07:43.440]   Yes, they do.
[00:07:43.440 --> 00:07:45.720]   Do they care about family possessions?
[00:07:45.720 --> 00:07:48.920]   Is home ownership not a struggle?
[00:07:48.920 --> 00:07:50.280]   Of course it is.
[00:07:50.280 --> 00:07:51.480]   Of course it is.
[00:07:51.480 --> 00:07:54.520]   The other day, me and a buddy were talking about that thing,
[00:07:54.520 --> 00:07:57.840]   and how that thing is a killer of time.
[00:07:57.840 --> 00:08:01.520]   If you guys have ever had that itch, and you wanted to live for homes,
[00:08:01.520 --> 00:08:04.200]   and next thing you know, you're on that thing, all of a sudden,
[00:08:04.200 --> 00:08:06.840]   you think, oh my goodness, it's been an hour.
[00:08:06.840 --> 00:08:08.440]   You've been searching for a long time.
[00:08:08.440 --> 00:08:08.940]   Why?
[00:08:08.940 --> 00:08:12.280]   Because your interest and your desire and longing is there.
[00:08:12.280 --> 00:08:14.920]   To look for homes, to look for own values,
[00:08:14.920 --> 00:08:18.000]   to look for things that could be answers for you.
[00:08:18.000 --> 00:08:19.640]   All I'm saying is this.
[00:08:19.640 --> 00:08:23.000]   All of those things are visible, tangible things.
[00:08:23.000 --> 00:08:23.500]   Why?
[00:08:23.500 --> 00:08:26.400]   Because this world operates by sight.
[00:08:26.400 --> 00:08:30.960]   Your identity is based on what you can see.
[00:08:30.960 --> 00:08:33.960]   But believers, we as Christians, our identity
[00:08:33.960 --> 00:08:39.120]   is 100% wrapped up in the unseen gift of God.
[00:08:39.120 --> 00:08:44.880]   God gives you an identity based on faith, and that identity, he says,
[00:08:44.880 --> 00:08:49.200]   is in the person of Jesus Christ, whom you do not see right now,
[00:08:49.200 --> 00:08:51.720]   but whom you love.
[00:08:51.720 --> 00:08:54.200]   And I have given him to you.
[00:08:54.200 --> 00:08:58.720]   And what's more, I'm going to complete that in the days to come.
[00:08:58.720 --> 00:09:03.200]   Now, Blankey turned your Bibles to 1 John 3, verse 2 to 3.
[00:09:03.200 --> 00:09:04.760]   Pastor Peter referenced it.
[00:09:04.760 --> 00:09:09.320]   It is a beautiful passage concerning your identity, which
[00:09:09.320 --> 00:09:12.560]   is already and yet to be fulfilled.
[00:09:12.560 --> 00:09:16.080]   So it's 1 John 3, verse 2 to 3.
[00:09:16.080 --> 00:09:17.560]   OK?
[00:09:17.560 --> 00:09:19.640]   In talking about our Christian identity,
[00:09:19.640 --> 00:09:21.680]   the way I've kind of briefly summarized it
[00:09:21.680 --> 00:09:24.520]   is that you have an identity given by God,
[00:09:24.520 --> 00:09:28.840]   given to you by faith, yet to be fully realized.
[00:09:28.840 --> 00:09:31.200]   Do you understand that?
[00:09:31.200 --> 00:09:34.520]   Pastor John says this, beloved, that we are children of God.
[00:09:34.520 --> 00:09:35.840]   That's an identity thing.
[00:09:35.840 --> 00:09:41.120]   You are, in terms of your essence, in terms of your relational being,
[00:09:41.120 --> 00:09:44.240]   in terms of your definition, you are a child of God.
[00:09:44.240 --> 00:09:47.640]   And it has not yet appeared as yet what we will be.
[00:09:47.640 --> 00:09:50.640]   We know that when He appears, we will be what?
[00:09:50.640 --> 00:09:51.680]   Like Him.
[00:09:51.680 --> 00:09:54.080]   Because we will see Him just as He is.
[00:09:54.080 --> 00:09:58.840]   And everyone who has this hope fixed on Him purifies himself,
[00:09:58.840 --> 00:10:01.040]   just as He is pure.
[00:10:01.040 --> 00:10:04.280]   So you bring those two things together in terms
[00:10:04.280 --> 00:10:07.240]   of what we've been studying and what we've been thinking about in terms
[00:10:07.240 --> 00:10:12.600]   of being this incredible hope, the hope of God's promise,
[00:10:12.600 --> 00:10:15.360]   the promise that you will be with me and you
[00:10:15.360 --> 00:10:20.720]   are able to enter into my presence forever because of Christ,
[00:10:20.720 --> 00:10:24.560]   and that this promise does not change because His oath never changes
[00:10:24.560 --> 00:10:27.680]   and because His word never changes, His character never changes,
[00:10:27.680 --> 00:10:30.400]   and He is not a God who lies.
[00:10:30.400 --> 00:10:34.720]   Now as we think about that, I ask you this question.
[00:10:34.720 --> 00:10:36.920]   Pastor Peter challenges us.
[00:10:36.920 --> 00:10:40.040]   God has given us a purpose.
[00:10:40.040 --> 00:10:43.800]   He's given us a vision of what our families should be.
[00:10:43.800 --> 00:10:49.800]   This world is constantly trying to look at themselves.
[00:10:49.800 --> 00:10:54.520]   They're staring at themselves in the mirror saying, who am I?
[00:10:54.520 --> 00:10:57.480]   And when they are able to produce, oh, I broke my leg
[00:10:57.480 --> 00:10:59.160]   and can't play basketball.
[00:10:59.160 --> 00:11:00.800]   Who am I?
[00:11:00.800 --> 00:11:02.800]   I lost my job and can't make money.
[00:11:02.800 --> 00:11:04.960]   Who am I?
[00:11:04.960 --> 00:11:07.960]   They're constantly looking at themselves and wondering, who am I?
[00:11:07.960 --> 00:11:08.840]   Who am I?
[00:11:08.840 --> 00:11:13.480]   But we as Christians are not operated by science.
[00:11:13.480 --> 00:11:18.280]   Now, as Pastor Peter said, we have been created by God.
[00:11:18.280 --> 00:11:19.520]   That's an identity statement.
[00:11:19.520 --> 00:11:20.720]   We've been created for God.
[00:11:20.720 --> 00:11:21.920]   That's an identity statement.
[00:11:21.920 --> 00:11:25.040]   And we are to love Him and serve Him.
[00:11:25.040 --> 00:11:29.040]   That we know is a vision also for our families.
[00:11:29.040 --> 00:11:33.920]   The main question for you then is, have you accepted that?
[00:11:33.920 --> 00:11:38.520]   Do you desire and long for that vision for your family
[00:11:38.520 --> 00:11:42.600]   where in 1 John he says, you are going to be like Him?
[00:11:42.600 --> 00:11:50.480]   God wants Christ's character in you as an individual and in your home?
[00:11:50.480 --> 00:11:53.040]   Is that the vision for your family?
[00:11:53.040 --> 00:11:58.640]   Have you not only accepted that, but have you desired it and longed for it?
[00:11:58.640 --> 00:12:02.800]   You see, in my mind-- I'm not going to go on about this for too long.
[00:12:02.800 --> 00:12:08.560]   But in my mind, when individuals struggle with an identity crisis,
[00:12:08.560 --> 00:12:12.360]   and they're sitting there thinking, oh my gosh, I don't know who I am.
[00:12:12.360 --> 00:12:16.480]   It's not really, really, I don't know who I am.
[00:12:16.480 --> 00:12:20.200]   If we were honest, the statement is, I don't like who I am.
[00:12:20.200 --> 00:12:21.320]   Let me repeat that.
[00:12:21.320 --> 00:12:25.440]   Identity crisis is not so much like, I have no clue who I am.
[00:12:25.440 --> 00:12:26.840]   I don't know what's wrong with me.
[00:12:26.840 --> 00:12:31.480]   I don't know what's my deal, so to speak, in life.
[00:12:31.480 --> 00:12:35.360]   If we were honest, the simple statement is, I don't like who I am.
[00:12:35.360 --> 00:12:38.120]   I don't like what I see in you.
[00:12:38.120 --> 00:12:39.360]   Well, guess what?
[00:12:39.360 --> 00:12:44.560]   It also could be that when God gives us His vision for our family,
[00:12:44.560 --> 00:12:49.280]   we can respond in a simple way where it's like, I see it,
[00:12:49.280 --> 00:12:53.040]   but I'm not sure I'm happy with that.
[00:12:53.040 --> 00:12:55.000]   I see your vision.
[00:12:55.000 --> 00:12:57.560]   I'm not sure I can take it.
[00:12:57.560 --> 00:13:00.720]   The application, first and foremost, has to be for us.
[00:13:00.720 --> 00:13:06.840]   Yes, I see a picture of what you want to do with me and my home.
[00:13:06.840 --> 00:13:10.720]   You desire this place to be a place of worship, a place of truth,
[00:13:10.720 --> 00:13:15.240]   a place of love, a place of joy, a place of glorifying God
[00:13:15.240 --> 00:13:17.720]   as our assembling Christ.
[00:13:17.720 --> 00:13:19.320]   Yes?
[00:13:19.320 --> 00:13:24.160]   For us, we have to be linked to that to be able to say, I want that.
[00:13:24.160 --> 00:13:25.800]   That is my express desire.
[00:13:25.800 --> 00:13:29.560]   I want what God has designed for my home.
[00:13:29.560 --> 00:13:31.640]   And that's where it's got to start.
[00:13:31.640 --> 00:13:34.320]   The application has to be, first and foremost, yes,
[00:13:34.320 --> 00:13:39.080]   that is the good design and identity, the characteristic, the expectation,
[00:13:39.080 --> 00:13:43.800]   the purpose that God has for me.
[00:13:43.800 --> 00:13:49.480]   And not, yes, I hear you, but first, let me have my home
[00:13:49.480 --> 00:13:54.040]   with three bedrooms, 2.5 baths, 2.5 kids, and three cars.
[00:13:54.040 --> 00:13:58.600]   This is sometimes the kind of vision that people have when they fantasize.
[00:13:58.600 --> 00:14:02.440]   Question to you is, what kind of a vision for your family
[00:14:02.440 --> 00:14:04.720]   are you fantasizing about?
[00:14:04.720 --> 00:14:06.600]   What do you desire?
[00:14:06.600 --> 00:14:10.360]   Have you adopted the picture of a family that God has already
[00:14:10.360 --> 00:14:11.440]   given us in scripture?
[00:14:11.440 --> 00:14:15.680]   Now, as we think about that, there's a second application
[00:14:15.680 --> 00:14:19.760]   that I actually wanted to focus on here, which is this.
[00:14:19.760 --> 00:14:22.880]   A clear identity of God's vision for your family
[00:14:22.880 --> 00:14:25.840]   will allow you to make clear explanation of God.
[00:14:25.840 --> 00:14:28.120]   I didn't know how to best phrase this in a summary way,
[00:14:28.120 --> 00:14:31.880]   but that's the first thing I wanted to say is, you have clear identity.
[00:14:31.880 --> 00:14:34.840]   This is a vision that God has for my family.
[00:14:34.840 --> 00:14:38.040]   And I just gave a rundown list of it.
[00:14:38.040 --> 00:14:40.400]   Because of the limitation of this sermon,
[00:14:40.400 --> 00:14:44.040]   I'm really talking about the linkage, but I do want to challenge you.
[00:14:44.040 --> 00:14:47.880]   If someone asks you, what is God's expectation for a biblical family,
[00:14:47.880 --> 00:14:50.160]   and your mind goes blank, then your first application
[00:14:50.160 --> 00:14:52.680]   is, I should have really stood in the scriptures and asked,
[00:14:52.680 --> 00:14:55.720]   what are the character traits of a godly family?
[00:14:55.720 --> 00:15:00.000]   But when you see that clear identity and vision for the family,
[00:15:00.000 --> 00:15:03.080]   then there should be a clear explanation of God.
[00:15:03.080 --> 00:15:04.120]   And this is what I mean.
[00:15:04.120 --> 00:15:10.120]   Please turn your Bible over to Deuteronomy 6, verses 7 through 9.
[00:15:10.120 --> 00:15:12.720]   Deuteronomy 6, verses 7 through 9.
[00:15:12.720 --> 00:15:14.680]   There's a corollary passage in Deuteronomy 4,
[00:15:14.680 --> 00:15:16.800]   but for the sake of time, we're going to skip it.
[00:15:16.800 --> 00:15:19.880]   We're turning now to Deuteronomy 6, verses 7 through 9.
[00:15:19.880 --> 00:15:23.640]   And this is that very famous, famous scenario
[00:15:23.640 --> 00:15:26.760]   where Moses brings all the people, God's people, together,
[00:15:26.760 --> 00:15:28.120]   and he is reviewing the law.
[00:15:28.120 --> 00:15:31.920]   He has chapter 6, verse 1, the whole great Shema.
[00:15:31.920 --> 00:15:34.160]   "Hear, O Israel, the Lord is one."
[00:15:34.160 --> 00:15:35.000]   Yes?
[00:15:35.000 --> 00:15:39.200]   Moses is going to teach everybody, this is God,
[00:15:39.200 --> 00:15:41.560]   and therefore, this should be you.
[00:15:41.560 --> 00:15:43.720]   And as he's doing that, this is what he says.
[00:15:43.720 --> 00:15:46.560]   "You shall teach them diligently to your sons,
[00:15:46.560 --> 00:15:49.160]   and shall talk of them when you sit in your house,
[00:15:49.160 --> 00:15:51.920]   and when you walk by the way, and when you lie down,
[00:15:51.920 --> 00:15:56.120]   when you rise up, you shall bind them as a sign on your hand,
[00:15:56.120 --> 00:15:58.640]   and they shall be as frontals on your forehead.
[00:15:58.640 --> 00:16:01.480]   You shall write them on the doorposts of your house,
[00:16:01.480 --> 00:16:04.360]   and on your gates."
[00:16:04.360 --> 00:16:06.560]   Observe.
[00:16:06.560 --> 00:16:11.440]   Because you are a chosen nation, with a great God,
[00:16:11.440 --> 00:16:14.320]   and with an amazing law from this great God,
[00:16:14.320 --> 00:16:16.640]   you are to be filled.
[00:16:16.640 --> 00:16:18.360]   I mean, if you observe that, what he's saying is,
[00:16:18.360 --> 00:16:20.520]   basically, you sit, and you write, and you're sleeping,
[00:16:20.520 --> 00:16:24.280]   all over your house, you are to be filled with God's truth.
[00:16:24.280 --> 00:16:28.040]   There should be a clear explanation in your home,
[00:16:28.040 --> 00:16:29.760]   this is God.
[00:16:29.760 --> 00:16:31.720]   I'm going to draw this out a little bit more.
[00:16:31.720 --> 00:16:32.560]   Oops, sorry.
[00:16:32.560 --> 00:16:36.840]   Please go to Psalm 78, verses one through eight.
[00:16:36.840 --> 00:16:39.080]   Psalm 78, verses one through eight.
[00:16:39.080 --> 00:16:41.400]   Please turn there, and we'll read together.
[00:16:41.400 --> 00:16:45.760]   Psalm 78, one through eight.
[00:16:45.760 --> 00:16:50.400]   So he says, "Listen, people, to my instruction,
[00:16:50.400 --> 00:16:52.880]   and climb your ears to the words of my mouth.
[00:16:52.880 --> 00:16:55.040]   I will open my mouth in a parable.
[00:16:55.040 --> 00:16:57.400]   I will utter dark sayings of old,
[00:16:57.400 --> 00:17:01.200]   which we have heard and known, and our fathers have told us.
[00:17:01.200 --> 00:17:03.880]   We will not conceal them from their children,
[00:17:03.880 --> 00:17:07.320]   but tell to the generation to come the praises of the Lord,
[00:17:07.320 --> 00:17:10.640]   and his strength, and his wondrous works that he has done.
[00:17:10.640 --> 00:17:13.320]   For he has got us a testimony in Jacob,
[00:17:13.320 --> 00:17:16.600]   and appointed a law in Israel, which he commanded our fathers
[00:17:16.600 --> 00:17:18.800]   that they should teach them to their children,
[00:17:18.800 --> 00:17:21.640]   that the generation to come might know even the children
[00:17:21.640 --> 00:17:24.840]   yet to be born, that they may arrive and tell them
[00:17:24.840 --> 00:17:27.600]   to their children that they should put their confidence
[00:17:27.600 --> 00:17:30.480]   in God, and not forget the works of God,
[00:17:30.480 --> 00:17:34.160]   but keep his commandments, and not be like their fathers,
[00:17:34.160 --> 00:17:36.560]   stubborn and rebellious generation,
[00:17:36.560 --> 00:17:39.760]   a generation that did not prepare its heart,
[00:17:39.760 --> 00:17:42.040]   and its spirit was not faithful to God."
[00:17:42.040 --> 00:17:46.280]   What I'm saying is, remember, my sermon here and now
[00:17:46.280 --> 00:17:51.280]   for our families is to ask, yes, you've identified
[00:17:51.280 --> 00:17:55.160]   Christ is the solution to sin, Christ is the solution
[00:17:55.160 --> 00:17:58.360]   to the tide and the storm, Christ is the solution
[00:17:58.360 --> 00:18:01.800]   to your drifting, but the question more specifically
[00:18:01.800 --> 00:18:03.640]   is where is your linkage?
[00:18:03.640 --> 00:18:05.920]   Where is your chain, right?
[00:18:05.920 --> 00:18:08.400]   And what I'm saying is, when your identity is clear,
[00:18:08.400 --> 00:18:11.880]   this is who I am in God, this is what he's done for me,
[00:18:11.880 --> 00:18:15.160]   this is what I'm supposed to do, in God's purpose for me,
[00:18:15.160 --> 00:18:18.800]   there should be a clear explanation, and this is God.
[00:18:18.800 --> 00:18:20.760]   Let me make it a little bit more specific.
[00:18:20.760 --> 00:18:22.520]   For those of you out there that have children,
[00:18:22.520 --> 00:18:24.600]   anytime you do something, when your children get
[00:18:24.600 --> 00:18:27.600]   to a certain age, they will ask you, "Why?"
[00:18:27.600 --> 00:18:32.280]   Hey everybody, get in the car, we're going to church.
[00:18:32.280 --> 00:18:34.960]   Why are we going to church?
[00:18:34.960 --> 00:18:38.120]   Do you respond typically with that kind of annoyance,
[00:18:38.120 --> 00:18:40.240]   or we're already five minutes late,
[00:18:40.240 --> 00:18:43.200]   get in the van right now, right?
[00:18:43.200 --> 00:18:44.200]   - He's like, "Why?"
[00:18:44.200 --> 00:18:46.680]   - "Oh, did you ask me why one more time?"
[00:18:46.680 --> 00:18:49.520]   You know, "How dare you ask me why?
[00:18:49.520 --> 00:18:51.080]   "Just do what I say!"
[00:18:51.080 --> 00:18:51.920]   Right?
[00:18:51.920 --> 00:18:53.880]   I'm pretty sure you don't use that voice.
[00:18:53.880 --> 00:18:57.720]   But when the children start asking why,
[00:18:57.720 --> 00:18:59.720]   it is, you know, it hits on our nerves.
[00:18:59.720 --> 00:19:04.480]   But think about this.
[00:19:04.480 --> 00:19:09.280]   We believers in Christ who have an identity in Christ,
[00:19:09.280 --> 00:19:13.000]   our linkage that's clean, that's maintained,
[00:19:13.000 --> 00:19:15.400]   always can answer the why.
[00:19:15.400 --> 00:19:18.120]   Why in the world do you go to church so often?
[00:19:18.120 --> 00:19:20.000]   Because we know we have the death,
[00:19:20.000 --> 00:19:21.840]   we have everything, we have everything.
[00:19:21.840 --> 00:19:23.320]   That would be a formal answer.
[00:19:23.320 --> 00:19:29.120]   Why are we not able to give the appropriate answers?
[00:19:29.120 --> 00:19:31.720]   Look, good question.
[00:19:31.720 --> 00:19:34.160]   Do you know how good God has been today?
[00:19:34.160 --> 00:19:36.640]   In my mind.
[00:19:36.640 --> 00:19:40.800]   Do you know how amazingly God has lavished his love?
[00:19:40.800 --> 00:19:42.520]   All the amazing, you know,
[00:19:42.520 --> 00:19:44.000]   when he started talking about the mosquito,
[00:19:44.000 --> 00:19:46.240]   I was like, "Oh my gosh."
[00:19:46.240 --> 00:19:47.080]   Right?
[00:19:47.080 --> 00:19:47.920]   Like, do you guys feel that?
[00:19:47.920 --> 00:19:48.760]   When he's in the past,
[00:19:48.760 --> 00:19:50.400]   we were talking about the mosquito.
[00:19:50.400 --> 00:19:54.240]   Like, he wanted to be one with the mosquito.
[00:19:54.240 --> 00:19:55.760]   (audience laughing)
[00:19:55.760 --> 00:19:57.320]   I just like, right?
[00:19:57.320 --> 00:19:58.720]   My mind was just going nuts.
[00:19:58.720 --> 00:20:06.680]   Can we, like, when I say your identity should be clear,
[00:20:06.680 --> 00:20:08.760]   you should have a very clear answer
[00:20:08.760 --> 00:20:11.000]   from your identity to your children.
[00:20:11.000 --> 00:20:14.200]   Do you know how good God has been today?
[00:20:14.200 --> 00:20:15.440]   We're gonna go because, man,
[00:20:15.440 --> 00:20:17.640]   we're gonna sing, "Thank you, Lord."
[00:20:17.640 --> 00:20:19.880]   And then if the children ask,
[00:20:19.880 --> 00:20:21.680]   "Good, how's it been good to you?"
[00:20:21.680 --> 00:20:23.920]   Then you're like, "Perfect, thank you, Lord."
[00:20:23.920 --> 00:20:25.560]   This is where I wanna teach the gospel.
[00:20:25.560 --> 00:20:27.720]   Now, you might be like, "Oh, okay,
[00:20:27.720 --> 00:20:29.680]   "you know, that doesn't happen all the time.
[00:20:29.680 --> 00:20:31.360]   "You know, you don't just preach the gospel
