
[00:00:00.000 --> 00:00:02.580]   (upbeat music)
[00:08:02.720 --> 00:08:07.400]   In other words, you've got to have something happen up here on the inside,
[00:08:07.400 --> 00:08:10.400]   some changed attitudes, some changed feelings,
[00:08:10.400 --> 00:08:14.080]   or when little decisions present alternatives,
[00:08:14.080 --> 00:08:18.920]   you won't know how to prove which one of those is the will of God.
[00:08:18.920 --> 00:08:23.560]   So the Bible is the input into that new mind,
[00:08:23.560 --> 00:08:29.240]   and the Spirit takes the Word and begins to shape our thinking, mold our emotions,
[00:08:29.240 --> 00:08:34.840]   so that even when there's no explicit command in Scripture for this decision you're facing,
[00:08:34.840 --> 00:08:40.600]   you weigh all the alternatives, and you're weighing those alternatives with the mind of Christ.
[00:08:40.600 --> 00:08:44.080]   Paul says, "We have the mind of Christ."
[00:08:44.080 --> 00:08:47.240]   And then when you make the decision, you look back,
[00:08:47.240 --> 00:08:50.760]   and you don't say, "My, what a smart fellow was I,"
[00:08:50.760 --> 00:08:55.760]   but rather you say, "Thank you for your Word that informed the principles of my life,
[00:08:55.760 --> 00:09:00.640]   and thank you for the Spirit that shaped my emotions and my priorities,
[00:09:00.640 --> 00:09:03.640]   so that I made this decision your way."
[00:09:03.640 --> 00:09:07.400]   And God then gets the credit for the leadership.
[00:09:07.400 --> 00:09:13.560]   Which means, personally for me, that I have been driven basically for all of life
[00:09:13.560 --> 00:09:21.240]   to meditate day and night on the Word and to pray continually that the Holy Spirit would work on me.
[00:09:21.240 --> 00:09:23.800]   You can't over-intellectualize the Bible,
[00:09:23.800 --> 00:09:27.480]   you can't over-spiritualize your private experience with God,
[00:09:27.480 --> 00:09:30.360]   it's both/and, not either/or.
[00:09:30.360 --> 00:09:34.040]   It has been in my experience, and I haven't found the two in conflict,
[00:09:34.040 --> 00:09:37.640]   but tremendous complements for guidance in life.
[00:09:37.640 --> 00:09:42.840]   Finding Guidance for Life, a helpful clip from an excellent early sermon on Psalm 23 titled
[00:09:42.840 --> 00:09:48.040]   "The Shepherd, the Host, and the Highway Patrol," preached on September 7, 1980,
[00:09:48.040 --> 00:09:52.680]   and available in its entirety online at DesiringGod.org.
[00:09:52.680 --> 00:09:56.680]   I found this clip as I'm just working my way through early Piper sermons,
[00:09:56.680 --> 00:10:00.840]   and if you find a clip from any of your, email it to me, give me your name, hometown,
[00:10:00.840 --> 00:10:04.280]   the sermon title, and timestamp of where the clip happens in the audio,
[00:10:04.280 --> 00:10:07.160]   and make a note of what stands out to you in it.
[00:10:07.160 --> 00:10:09.960]   Put the word "clip" in the subject line of an email and send it to me at
[00:10:09.960 --> 00:10:13.000]   AskPastorJohn@DesiringGod.org, that's an email address,
[00:10:13.000 --> 00:10:15.720]   AskPastorJohn@DesiringGod.org.
[00:10:15.720 --> 00:10:21.240]   We're in our 10th year on the podcast, we've covered a lot of topics,
[00:10:21.240 --> 00:10:23.240]   and that includes the topic of birth control,
[00:10:23.240 --> 00:10:30.200]   which we have talked about three times on the podcast, in APJs 230, 552, and 1347,
[00:10:30.200 --> 00:10:33.160]   but not in the last three years, and Friday we return to it,
[00:10:33.160 --> 00:10:35.400]   talking about permanent birth control options,
[00:10:35.400 --> 00:10:38.120]   a question from a Christian couple who says they're done having children.
[00:10:38.840 --> 00:10:42.280]   I'm your host Tony Rehnke, and we are rejoining the studio with Pastor John
[00:10:42.280 --> 00:10:44.760]   when he returns with us on Friday.
[00:10:44.760 --> 00:10:45.720]   We'll see you then.
[00:10:46.680 --> 00:10:46.760]   you
[00:10:47.560 --> 00:10:47.640]   you
[00:10:48.600 --> 00:10:48.680]   you
[00:10:49.480 --> 00:10:49.560]   you
[00:10:49.560 --> 00:10:49.640]   you
[00:10:50.600 --> 00:10:50.680]   you
[00:10:50.680 --> 00:10:50.760]   you
[00:10:51.480 --> 00:10:51.560]   you
[00:10:51.560 --> 00:11:01.560]   [BLANK_AUDIO]

