
[00:00:00.000 --> 00:00:04.000]   (Pause)
[00:01:36.660 --> 00:01:38.400]   there was a guy that I knew
[00:01:38.400 --> 00:01:40.160]   who was about 12 years ahead of me in marriage,
[00:01:40.160 --> 00:01:41.600]   and he asked me how my marriage was,
[00:01:41.600 --> 00:01:43.360]   and I told him, "Things are good."
[00:01:43.360 --> 00:01:46.300]   And I remember him not being satisfied with that answer,
[00:01:46.300 --> 00:01:48.560]   saying, "Peter, you have to really share,
[00:01:48.560 --> 00:01:49.600]   you know what I mean?
[00:01:49.600 --> 00:01:51.560]   What are the struggles that you're going through?"
[00:01:51.560 --> 00:01:53.300]   And I remember having that conversation,
[00:01:53.300 --> 00:01:55.800]   thinking, "Wow, is this how most people
[00:01:55.800 --> 00:01:56.900]   have been married for a while?
[00:01:56.900 --> 00:01:58.200]   Is this how they feel about marriage?"
[00:01:58.200 --> 00:02:01.000]   And sad to say, in our generation,
[00:02:01.000 --> 00:02:05.500]   people who've been married for more than a few years,
[00:02:05.500 --> 00:02:06.860]   don't have, again, generally,
[00:02:06.860 --> 00:02:08.000]   I'm not saying every single person,
[00:02:08.000 --> 00:02:11.060]   but generally speaking, don't have a high view of marriage.
[00:02:11.060 --> 00:02:13.000]   In fact, it's pretty strange.
[00:02:13.000 --> 00:02:16.060]   If you are in a workplace filled with non-Christians,
[00:02:16.060 --> 00:02:18.360]   and sad to say, sometimes even Christians,
[00:02:18.360 --> 00:02:21.960]   it's strange to talk about your wife in a positive light.
[00:02:21.960 --> 00:02:24.160]   It's one thing to talk about it here up in the pulpit,
[00:02:24.160 --> 00:02:26.260]   but when you're out on the streets or in the gym,
[00:02:26.260 --> 00:02:28.460]   and you're talking about, "Yeah, my wife is the best.
[00:02:28.460 --> 00:02:29.860]   She does this and that."
[00:02:29.860 --> 00:02:32.260]   And almost kind of like, "You're a weirdo."
[00:02:32.260 --> 00:02:36.360]   You expect men to be ripping on their wives,
[00:02:36.360 --> 00:02:38.320]   "Oh, that ball and chain, because of her,
[00:02:38.320 --> 00:02:39.760]   I can't do this and I can't do that."
[00:02:39.760 --> 00:02:42.460]   And you typically hear wives talking about their husbands
[00:02:42.460 --> 00:02:44.020]   like they're training monkeys.
[00:02:44.020 --> 00:02:45.560]   You know, they got to train them to do this,
[00:02:45.560 --> 00:02:46.760]   and train them to do that.
[00:02:46.760 --> 00:02:49.620]   And that's a typical language that you hear
[00:02:49.620 --> 00:02:53.000]   of people who've been married for a certain period of time.
[00:02:53.000 --> 00:02:56.700]   And it's sad, but that is the reality that we live in.
[00:02:56.700 --> 00:03:00.160]   And sometimes, I think part of the reason why that happens
[00:03:00.160 --> 00:03:02.960]   is, I think if you've been in a marriage for a while,
[00:03:02.960 --> 00:03:05.200]   you forget why you decided to get together.
[00:03:05.200 --> 00:03:06.720]   Nobody had a gun to your head and say,
[00:03:06.720 --> 00:03:08.420]   "You better marry this girl."
[00:03:08.420 --> 00:03:10.600]   Everybody gets married because they want to get married.
[00:03:10.600 --> 00:03:12.520]   In fact, a lot of people get married,
[00:03:12.520 --> 00:03:15.700]   despite the opposition from parents, from friends,
[00:03:15.700 --> 00:03:17.700]   because they wanted to.
[00:03:17.700 --> 00:03:20.760]   They wanted this more than anything else.
[00:03:20.760 --> 00:03:23.560]   If you remember, but for whatever the reason,
[00:03:23.560 --> 00:03:25.520]   time passes by and you forget about that,
[00:03:25.520 --> 00:03:26.960]   and then it becomes a burden.
[00:03:26.960 --> 00:03:30.620]   It's important for us, and that's why we have anniversaries,
[00:03:30.620 --> 00:03:33.580]   that's why we have different days that we set aside
[00:03:33.580 --> 00:03:37.060]   to remember the gift that God has given in our marriage.
[00:03:37.060 --> 00:03:39.720]   But I think this morning, my point is not talking
[00:03:39.720 --> 00:03:42.980]   about marriage, but a lot of times in our walk with God,
[00:03:42.980 --> 00:03:45.780]   our relationship with God is perceived the same way.
[00:03:45.780 --> 00:03:48.520]   When you see somebody on fire for God,
[00:03:48.520 --> 00:03:51.480]   we just assume they're a young Christian.
[00:03:51.480 --> 00:03:54.380]   They're young in faith or young in age,
[00:03:54.380 --> 00:03:56.820]   but rarely do you see somebody who's been walking
[00:03:56.820 --> 00:03:59.860]   with the Lord for 30, 40 years on fire for God.
[00:03:59.860 --> 00:04:01.560]   It's just strange.
[00:04:01.560 --> 00:04:03.580]   You expect people who've been in the church
[00:04:03.580 --> 00:04:08.520]   for a long time to be jaded, kind of lukewarm.
[00:04:08.520 --> 00:04:11.360]   And again, it's a very strange scene.
[00:04:11.360 --> 00:04:14.660]   And I think part of the reason why we do that
[00:04:14.660 --> 00:04:18.280]   is because sometimes Christianity in our walk with God
[00:04:18.280 --> 00:04:21.420]   becomes nothing more than things that we need to do.
[00:04:21.420 --> 00:04:25.160]   We have things we need to do at work, things to do at home,
[00:04:25.160 --> 00:04:27.920]   and then there's things we need to do at church.
[00:04:27.920 --> 00:04:30.380]   So sometimes you may be thinking that maybe
[00:04:30.380 --> 00:04:33.080]   if I didn't meet Christ, I would have less of a burden
[00:04:33.080 --> 00:04:35.660]   in life than maybe my secular friends.
[00:04:35.660 --> 00:04:40.260]   We've been talking about how Paul is trying to convince,
[00:04:40.260 --> 00:04:43.520]   as he is preaching the gospel here in Book of Romans,
[00:04:43.520 --> 00:04:46.060]   that every single person who has been united with Christ,
[00:04:46.060 --> 00:04:49.500]   first and foremost, have been united with his death.
[00:04:49.500 --> 00:04:52.400]   That as Jesus was crucified, we were crucified with him.
[00:04:52.400 --> 00:04:54.200]   And that's absolute truth.
[00:04:54.200 --> 00:04:57.600]   He says every Christian who genuinely confessed their faith
[00:04:57.600 --> 00:04:59.500]   has been crucified with Christ.
[00:04:59.500 --> 00:05:03.800]   But if the gospel stops there, it would be a tragedy.
[00:05:03.800 --> 00:05:06.760]   You know, a lot of times we think about Christian life
[00:05:06.760 --> 00:05:08.840]   as sacrifice, picking up the cross.
[00:05:08.840 --> 00:05:10.540]   He died, we need to suffer.
[00:05:10.540 --> 00:05:12.800]   We need to become the servant of all,
[00:05:12.800 --> 00:05:15.100]   consider others better than ourselves.
[00:05:15.100 --> 00:05:17.040]   And we think about all these commandments
[00:05:17.040 --> 00:05:19.660]   that are straight out of the Bible,
[00:05:19.660 --> 00:05:22.600]   but if we don't understand why these things are taught
[00:05:22.600 --> 00:05:25.400]   and what the purpose of these things are,
[00:05:25.400 --> 00:05:27.040]   and that's where we stopped.
[00:05:27.040 --> 00:05:31.900]   That all we do is to celebrate Christ crucified,
[00:05:31.900 --> 00:05:36.760]   not realizing or celebrating what happens after.
[00:05:36.760 --> 00:05:41.400]   He is buried, he is resurrected on the third day,
[00:05:41.400 --> 00:05:43.400]   and he is glorified.
[00:05:43.400 --> 00:05:45.860]   And then he tells his church that one day,
[00:05:45.860 --> 00:05:48.200]   the same will happen to us.
[00:05:48.200 --> 00:05:50.740]   That if we are united with Christ in his death,
[00:05:50.740 --> 00:05:54.800]   we will also be united with him in his life.
[00:05:54.800 --> 00:05:57.700]   But if we stop at the death and not recognize the life,
[00:05:57.700 --> 00:06:00.940]   that's when Christianity becomes a drudgery.
[00:06:00.940 --> 00:06:02.500]   Because we're not experiencing the life,
[00:06:02.500 --> 00:06:05.800]   all we're experiencing is sacrifice.
[00:06:05.800 --> 00:06:07.460]   See, the text that we're looking at this morning,
[00:06:07.460 --> 00:06:09.800]   verse 8, after he's established
[00:06:09.800 --> 00:06:12.360]   that we've clearly been crucified with Christ,
[00:06:12.360 --> 00:06:14.100]   starting from verse 8, he says,
[00:06:14.100 --> 00:06:15.900]   "The reason for this,
[00:06:15.900 --> 00:06:18.040]   "the reason why we were united with Christ in his death
[00:06:18.040 --> 00:06:21.600]   "is because we have been united with his resurrected life."
[00:06:21.600 --> 00:06:23.000]   So look with me in verse 8.
[00:06:23.000 --> 00:06:27.440]   Romans 6, 8 says, "Now, if we have died with Christ,
[00:06:27.440 --> 00:06:31.100]   "we believe that we will also live with him."
[00:06:31.100 --> 00:06:33.560]   So I wanna make this very clear.
[00:06:33.560 --> 00:06:35.840]   We're not at the imperatives yet.
[00:06:35.840 --> 00:06:37.940]   This is not a command.
[00:06:37.940 --> 00:06:41.800]   Paul has not given a single command up to this point.
[00:06:41.800 --> 00:06:44.300]   We're gonna get to that when he gets to verse 11.
[00:06:44.300 --> 00:06:45.500]   Starting from verse 11,
[00:06:45.500 --> 00:06:47.200]   he's gonna go to the imperatives,
[00:06:47.200 --> 00:06:48.160]   and he's gonna say,
[00:06:48.160 --> 00:06:51.160]   "Now that you know what it means to be a Christian,
[00:06:51.160 --> 00:06:53.460]   "now you ought to do this."
[00:06:53.460 --> 00:06:54.860]   So starting from verse 11,
[00:06:54.860 --> 00:06:57.260]   he's going to give imperatives, commandments.
[00:06:57.260 --> 00:06:58.740]   Therefore, this is how you ought to live.
[00:06:58.740 --> 00:07:01.660]   But up to that point, up to this point,
[00:07:01.660 --> 00:07:04.940]   he's just giving theological truths,
[00:07:04.940 --> 00:07:07.500]   that this is a fact.
[00:07:07.500 --> 00:07:08.400]   So when he says,
[00:07:08.400 --> 00:07:10.900]   "If we've truly been crucified with Christ,
[00:07:10.900 --> 00:07:12.600]   "we believe,"
[00:07:12.600 --> 00:07:15.600]   we believe that we will also live with him.
[00:07:15.600 --> 00:07:18.560]   He's stating a belief.
[00:07:18.560 --> 00:07:22.500]   The question that we need to ask in this is,
[00:07:22.500 --> 00:07:25.300]   is he talking about this belief that leads to life?
[00:07:25.300 --> 00:07:27.500]   Is he talking about that one day when we die,
[00:07:27.500 --> 00:07:29.640]   and we're gonna be resurrected with him in eternity,
[00:07:29.640 --> 00:07:30.860]   and we're gonna live?
[00:07:30.860 --> 00:07:32.760]   Or is he talking about living as in,
[00:07:32.760 --> 00:07:33.840]   because we died with him,
[00:07:33.840 --> 00:07:37.900]   we're able to live in a certain way today?
[00:07:37.900 --> 00:07:40.300]   I hope you understood what I was saying.
[00:07:40.300 --> 00:07:41.860]   Douglas Moo, who's the leading scholar
[00:07:41.860 --> 00:07:43.060]   in the book of Romans,
[00:07:43.060 --> 00:07:45.940]   this is how he describes that question.
[00:07:45.940 --> 00:07:48.000]   He says in his commentary,
[00:07:48.000 --> 00:07:50.300]   "This future life of the resurrection
[00:07:50.300 --> 00:07:53.600]   "casts its shadow into the believer's present experience,
[00:07:53.600 --> 00:07:55.500]   "and it's clear from the sequel
[00:07:55.500 --> 00:07:58.440]   "that Paul wants us to see the present implication
[00:07:58.440 --> 00:08:01.100]   "of this promise of future resurrection life."
[00:08:01.100 --> 00:08:03.240]   So some of you guys understood that.
[00:08:03.240 --> 00:08:05.340]   Some of you guys looking at me like, what?
[00:08:05.340 --> 00:08:07.460]   Let me put it in layman's terms.
[00:08:07.460 --> 00:08:09.020]   Basically what he's saying is,
[00:08:09.020 --> 00:08:12.800]   that promise of the future resurrection of Christ
[00:08:12.800 --> 00:08:15.600]   casts such a shadow in a Christian's life
[00:08:15.600 --> 00:08:18.580]   that it has no other way
[00:08:18.580 --> 00:08:20.980]   other than to make a radical impact
[00:08:20.980 --> 00:08:23.180]   in the life of the way that Christian lives.
[00:08:23.180 --> 00:08:26.140]   You didn't understand either.
[00:08:26.140 --> 00:08:32.020]   Basically, this hope of the resurrection
[00:08:32.020 --> 00:08:35.060]   makes a radical impact in your life.
[00:08:35.060 --> 00:08:38.680]   The hope that you have changes the way that you live.
[00:08:38.680 --> 00:08:41.500]   That's true in every other aspect of our lives.
[00:08:41.500 --> 00:08:44.260]   Some of you guys are trying to get into grad school.
[00:08:44.260 --> 00:08:46.740]   And as a result of that, you got a cheap job.
[00:08:46.740 --> 00:08:48.860]   You're getting minimum wage,
[00:08:48.860 --> 00:08:51.240]   and you're working 10, 20 hours, right?
[00:08:51.240 --> 00:08:53.340]   As an intern somewhere,
[00:08:53.340 --> 00:08:56.220]   and your other college friends who graduated college,
[00:08:56.220 --> 00:08:58.060]   and they're making 60, 70,000 a year,
[00:08:58.060 --> 00:08:59.340]   and you're making minimum wage,
[00:08:59.340 --> 00:09:01.540]   and the question is, why are you doing that?
[00:09:01.540 --> 00:09:05.380]   You're doing that to build up your resume
[00:09:05.380 --> 00:09:08.660]   in hopes that if you put in your time,
[00:09:08.660 --> 00:09:10.360]   that somehow that's gonna help you get into,
[00:09:10.360 --> 00:09:12.040]   whether it's med school or PA school,
[00:09:12.040 --> 00:09:13.600]   whatever that you're trying to get into.
[00:09:13.600 --> 00:09:16.440]   So that hope of getting into that school
[00:09:16.440 --> 00:09:19.320]   is causing you to make some sacrifices today.
[00:09:19.320 --> 00:09:22.400]   We do that in every other part of life.
[00:09:22.400 --> 00:09:26.340]   Some of you guys have a picture of what your body,
[00:09:26.340 --> 00:09:28.520]   you want your body to look like, right?
[00:09:28.520 --> 00:09:30.800]   You have a very, you watch certain commercials,
[00:09:30.800 --> 00:09:33.840]   and you go to the gym, you say, that's what I want.
[00:09:33.840 --> 00:09:36.360]   And so you're making sacrifices today.
[00:09:36.360 --> 00:09:38.280]   You're not eating pizza.
[00:09:38.280 --> 00:09:39.360]   Every time you go to Costco,
[00:09:39.360 --> 00:09:41.320]   you smell that hot dog, you run out.
[00:09:41.320 --> 00:09:43.920]   You're making some serious sacrifices in your life,
[00:09:43.920 --> 00:09:45.720]   and there's this desire that you have
[00:09:45.720 --> 00:09:48.680]   that you're not caving into.
[00:09:48.680 --> 00:09:49.720]   You're miserable.
[00:09:49.720 --> 00:09:53.560]   But you're willing to be miserable
[00:09:53.560 --> 00:09:56.860]   because of the hope of the new body.
[00:09:56.860 --> 00:10:00.300]   You're making all kinds of sacrifices.
[00:10:00.300 --> 00:10:02.920]   You're getting up early, you're going to the gym,
[00:10:02.920 --> 00:10:07.120]   and you're willing to bear with some of these sacrifices
[00:10:07.120 --> 00:10:09.340]   because of the hope that one day
[00:10:09.340 --> 00:10:11.400]   your body's gonna look different.
[00:10:11.400 --> 00:10:13.480]   We practice that in every other aspect of our life,
[00:10:13.480 --> 00:10:14.880]   and the greater the hope,
[00:10:14.880 --> 00:10:18.840]   the greater the impact that it has on our daily life.
[00:10:18.840 --> 00:10:22.920]   There is no greater hope that any Christian confesses
[00:10:22.920 --> 00:10:26.260]   than the hope of a new life in Christ.
[00:10:26.260 --> 00:10:28.440]   That death is not final.
[00:10:28.440 --> 00:10:30.520]   That one day we're gonna be in eternity
[00:10:30.520 --> 00:10:32.080]   with our Abba Father.
[00:10:32.920 --> 00:10:35.960]   And that hope changes us.
[00:10:35.960 --> 00:10:38.240]   It changes not just the way we think,
[00:10:38.240 --> 00:10:39.760]   not just the songs that we sing,
[00:10:39.760 --> 00:10:41.400]   not just the church that we attend.
[00:10:41.400 --> 00:10:44.000]   It changes every aspect of our lives.
[00:10:44.000 --> 00:10:46.880]   I think John says this even better.
[00:10:46.880 --> 00:10:48.360]   In 1 John 3, 2-3, it says,
[00:10:48.360 --> 00:10:50.320]   "Beloved, we are God's children now,
[00:10:50.320 --> 00:10:53.860]   "and what we will be has not yet appeared."
[00:10:53.860 --> 00:10:56.760]   The promises that God has made,
[00:10:56.760 --> 00:10:59.400]   we know it in our head, but we haven't really seen it yet.
[00:10:59.400 --> 00:11:01.240]   But we know that when He appears,
[00:11:01.240 --> 00:11:02.360]   "We shall be like Him,
[00:11:02.360 --> 00:11:04.560]   "because we shall see Him as He is."
[00:11:04.560 --> 00:11:07.200]   We've gotten a glimpse of what that eternal life
[00:11:07.200 --> 00:11:09.920]   will be like when we saw Christ.
[00:11:09.920 --> 00:11:12.280]   He says, "And everyone who thus hopes in Him
[00:11:12.280 --> 00:11:15.480]   "purifies himself as he is pure."
[00:11:15.480 --> 00:11:18.880]   So everyone who genuinely has this confession,
[00:11:18.880 --> 00:11:21.760]   genuinely is living with that hope,
[00:11:21.760 --> 00:11:24.160]   in other words, he says, it changes him.
[00:11:24.160 --> 00:11:26.120]   It sanctifies him.
[00:11:26.120 --> 00:11:27.400]   And that's what he means.
[00:11:27.400 --> 00:11:31.160]   Those who have been united with Christ in His death,
[00:11:31.160 --> 00:11:34.080]   believe that we will also be united with Him,
[00:11:34.080 --> 00:11:36.720]   therefore we will be changed.
[00:11:36.720 --> 00:11:38.120]   Now, why is he saying this?
[00:11:38.120 --> 00:11:41.840]   He's saying this because,
[00:11:41.840 --> 00:11:44.640]   remember, the context in which Paul is saying this is
[00:11:44.640 --> 00:11:47.840]   to answer the question that came up in verse one.
[00:11:47.840 --> 00:11:51.200]   Paul has been preaching in the Book of Romans
[00:11:51.200 --> 00:11:53.360]   that salvation is by grace alone.
[00:11:53.360 --> 00:11:54.920]   It is not by your good deeds.
[00:11:54.920 --> 00:11:58.640]   That if you are under the law, you'll be judged with the law.
[00:11:58.640 --> 00:12:00.720]   If you don't have the law, you'll be judged outside the law.
[00:12:00.720 --> 00:12:03.480]   But all have sinned and fall short of the glory of God.
[00:12:03.480 --> 00:12:07.240]   And salvation is by grace and by faith alone.
[00:12:07.240 --> 00:12:09.600]   So the natural question is, to a Jew,
[00:12:09.600 --> 00:12:14.600]   if that's the case, isn't that going to cause licentiousness?
[00:12:14.600 --> 00:12:17.320]   Isn't that going to cause people who say,
[00:12:17.320 --> 00:12:18.760]   you know what, one saved always saved,
[00:12:18.760 --> 00:12:21.720]   and he's gonna forgive sin, so it doesn't matter what I do.
[00:12:21.720 --> 00:12:24.320]   Well, Paul answers that question in verse one.
[00:12:24.320 --> 00:12:25.360]   What shall we say then?
[00:12:25.360 --> 00:12:29.000]   Are we to continue in sin that grace may abound?
[00:12:29.000 --> 00:12:33.640]   And the answer is, by no means, absolutely not.
[00:12:33.640 --> 00:12:36.520]   I know some of you guys may be thinking,
[00:12:36.520 --> 00:12:38.600]   it's like, hmm, that sounds good on paper,
[00:12:38.600 --> 00:12:40.000]   but that's not the reality.
[00:12:40.000 --> 00:12:44.320]   That sounds good on paper theologically.
[00:12:44.320 --> 00:12:47.000]   That makes a good sermon, but is that really the reality?
[00:12:47.000 --> 00:12:51.280]   Hasn't salvation by grace produced cheap grace?
[00:12:51.280 --> 00:12:54.960]   Hasn't salvation, if you look at the Jehovah Witnesses,
[00:12:54.960 --> 00:12:57.160]   and if you ask them, are you assured
[00:12:57.160 --> 00:12:58.000]   that you're gonna go to heaven?
[00:12:58.000 --> 00:12:59.600]   They say, no, they can't.
[00:12:59.600 --> 00:13:01.880]   I'm not sure if my work is good enough.
[00:13:01.880 --> 00:13:04.320]   Same thing with the Muslims.
[00:13:04.320 --> 00:13:05.600]   If you ask them, are you assured?
[00:13:05.600 --> 00:13:08.120]   They can't be, because they don't know.
[00:13:08.120 --> 00:13:10.880]   Once they die, if they're good, it's going to outweigh the bad.
[00:13:10.880 --> 00:13:13.120]   So they work hard.
[00:13:13.120 --> 00:13:14.480]   They pray.
[00:13:14.480 --> 00:13:15.840]   They fast.
[00:13:15.840 --> 00:13:17.560]   They go door to door and get rejected
[00:13:17.560 --> 00:13:20.280]   because they have to do this
[00:13:20.280 --> 00:13:23.240]   in order to have at least even a little bit of assurance
[00:13:23.240 --> 00:13:25.900]   that they may be, after they die, go to heaven.
[00:13:25.900 --> 00:13:30.900]   But if you give assurance of salvation to just everybody,
[00:13:30.900 --> 00:13:32.760]   if you just believe,
[00:13:32.760 --> 00:13:36.600]   isn't that going to produce licentiousness?
[00:13:36.600 --> 00:13:41.240]   Paul says, absolutely not.
[00:13:41.240 --> 00:13:42.160]   And here's why.
[00:13:42.160 --> 00:13:45.600]   If they have been truly crucified with Christ,
[00:13:45.600 --> 00:13:47.980]   so he's not talking about Christianity
[00:13:47.980 --> 00:13:51.440]   as you and I may know it in our generation, right?
[00:13:51.440 --> 00:13:53.840]   So I want you to get that out of your head.
[00:13:53.840 --> 00:13:55.820]   Don't just, what Paul is saying
[00:13:55.820 --> 00:13:58.860]   is not defending modern day Christianity.
[00:13:58.860 --> 00:14:00.840]   That's not what Paul is doing.
[00:14:00.840 --> 00:14:04.100]   Paul is defending genuine Christianity.
[00:14:04.100 --> 00:14:08.100]   He's defending genuine preaching of the gospel
[00:14:08.100 --> 00:14:09.620]   and genuine repentance.
[00:14:09.620 --> 00:14:10.940]   That's what he's defending.
[00:14:10.940 --> 00:14:12.660]   So don't just automatically sit there and think,
[00:14:12.660 --> 00:14:15.780]   oh, this is referring to us.
[00:14:15.780 --> 00:14:19.460]   It may be, but let's examine closely when he says that.
[00:14:19.460 --> 00:14:22.380]   If we have been truly crucified with Christ,
[00:14:22.380 --> 00:14:25.780]   we believe that we will also live with him
[00:14:25.780 --> 00:14:29.440]   because we have this groaning, according to Romans 8,
[00:14:29.440 --> 00:14:33.300]   that can't be satisfied in anything else but Christ.
[00:14:33.300 --> 00:14:34.360]   See, if you're a genuine believer,
[00:14:34.360 --> 00:14:36.080]   it says in Romans 8.22,
[00:14:36.080 --> 00:14:37.860]   "For we know that the whole creation
[00:14:37.860 --> 00:14:41.040]   "has been groaning together in pains of childbirth until now
[00:14:41.040 --> 00:14:43.680]   "ever since the fall."
[00:14:43.680 --> 00:14:46.500]   Everything that has been created, something went wrong.
[00:14:46.500 --> 00:14:47.800]   It's been under the dominion,
[00:14:47.800 --> 00:14:51.160]   this dark cloud of God's judgment.
[00:14:51.160 --> 00:14:52.880]   And it's been groaning, waiting
[00:14:52.880 --> 00:14:55.640]   for redemption to take place.
[00:14:55.640 --> 00:14:57.960]   But not only the creation, it says in verse 23,
[00:14:57.960 --> 00:15:01.000]   "But we ourselves, who have the firstfruits of the Spirit,
[00:15:01.000 --> 00:15:03.180]   "groan inwardly as we wait eagerly
[00:15:03.180 --> 00:15:04.800]   "for the adoption of sons."
[00:15:04.800 --> 00:15:10.320]   The Holy Spirit has been implanted, given us,
[00:15:10.320 --> 00:15:14.040]   and that Holy Spirit primarily is groaning inside of us,
[00:15:14.040 --> 00:15:17.640]   longing for the second coming of Christ.
[00:15:17.640 --> 00:15:18.760]   Now, some of you guys may say,
[00:15:18.760 --> 00:15:21.320]   wait a second, I thought we were already adopted.
[00:15:21.320 --> 00:15:25.360]   Why are we groaning to be awaited,
[00:15:25.360 --> 00:15:27.080]   to wait for him, his coming?
[00:15:27.080 --> 00:15:30.040]   It's kind of like a child who has been adopted,
[00:15:30.040 --> 00:15:31.000]   went through the papers,
[00:15:31.000 --> 00:15:35.240]   in every way is a child of the new father, new family.
[00:15:35.240 --> 00:15:37.280]   But they didn't come and pick him up yet.
[00:15:37.280 --> 00:15:40.800]   So in every way, that child has the benefit
[00:15:40.800 --> 00:15:44.320]   of being a child of this new family,
[00:15:44.320 --> 00:15:47.560]   but the parents haven't physically come and gotten her yet.
[00:15:47.560 --> 00:15:48.960]   And that's how it's described,
[00:15:48.960 --> 00:15:51.480]   that all of us, every genuine believer,
[00:15:51.480 --> 00:15:53.920]   who has confessed their faith in Christ,
[00:15:53.920 --> 00:15:55.720]   has become an adopted child of God.
[00:15:55.720 --> 00:15:57.640]   But the Bible says when he comes,
[00:15:57.640 --> 00:15:59.800]   he will take that into full fruition.
[00:15:59.800 --> 00:16:02.360]   We will be glorified as Christ is glorified.
[00:16:02.360 --> 00:16:03.920]   And until then,
[00:16:03.920 --> 00:16:09.880]   until then, there is a groaning in our hearts
[00:16:09.880 --> 00:16:13.520]   that cannot be satisfied until he comes.
[00:16:13.520 --> 00:16:18.080]   And it is that groaning that causes us to pursue him.
[00:16:18.080 --> 00:16:21.320]   It is that groaning that causes us to worship him.
[00:16:21.320 --> 00:16:24.080]   It is that groaning that changes our lives.
[00:16:24.080 --> 00:16:27.200]   1 Peter 1, 3, it says,
[00:16:27.200 --> 00:16:29.400]   "Blessed be the God and Father of our Lord Jesus Christ.
[00:16:29.400 --> 00:16:31.000]   "According to his great mercy,
[00:16:31.000 --> 00:16:33.800]   "he has caused us to be born again,
[00:16:33.800 --> 00:16:35.560]   "to a living hope through the resurrection
[00:16:35.560 --> 00:16:37.760]   "of Jesus Christ from the dead."
[00:16:37.760 --> 00:16:40.080]   So again, he's not saying you should do this,
[00:16:40.080 --> 00:16:42.480]   he's saying this is who you are, right?
[00:16:42.480 --> 00:16:45.160]   This is what a genuine Christian looks like.
[00:16:45.160 --> 00:16:48.840]   And this is the reason why a genuine confession of faith
[00:16:48.840 --> 00:16:51.760]   does not lead to licentiousness.
[00:16:51.760 --> 00:16:54.520]   It is to inherit, we have a living hope,
[00:16:54.520 --> 00:16:56.560]   to an inheritance that is imperishable,
[00:16:56.560 --> 00:17:00.040]   undefiled, unfading, kept in heaven for you,
[00:17:00.040 --> 00:17:02.800]   who by God's power are being guarded through faith
[00:17:02.800 --> 00:17:06.040]   for salvation, ready to be revealed in the last time.
[00:17:06.040 --> 00:17:09.600]   So a believer who has been crucified with Christ,
[00:17:09.600 --> 00:17:13.760]   we believe that we also will be resurrected with him.
[00:17:13.760 --> 00:17:16.040]   And that everything that you and I have hoped for
[00:17:16.040 --> 00:17:18.680]   before we met Christ is rubbish.
[00:17:18.680 --> 00:17:23.080]   In light of what we are waiting for.
[00:17:23.080 --> 00:17:26.880]   In light of the groaning that God has placed in our hearts,
[00:17:26.880 --> 00:17:31.520]   everything else that gets in the way is rubbish.
[00:17:31.520 --> 00:17:34.880]   Everything now is compared,
[00:17:34.880 --> 00:17:38.200]   well, if I do this, how does it affect that?
[00:17:39.520 --> 00:17:41.800]   And that's what Paul means here.
[00:17:41.800 --> 00:17:44.240]   Those who have genuinely been forgiven of their sins
[00:17:44.240 --> 00:17:47.640]   and repented and is united with Christ in his death
