
[00:00:00.000 --> 00:00:04.000]   [no audio]
[00:02:09.000 --> 00:02:13.000]   reminding them what this grace is for, why they needed grace,
[00:02:13.000 --> 00:02:17.000]   and why God needed to redeem them. And again,
[00:02:17.000 --> 00:02:21.000]   I think it's important for us, whenever we talk about grace, whenever we forget
[00:02:21.000 --> 00:02:25.000]   that God's primary gift isn't a great job
[00:02:25.000 --> 00:02:29.000]   or health or safety or comfort, but God's greatest
[00:02:29.000 --> 00:02:33.000]   gift is redemption from our sins, our joy in our life
[00:02:33.000 --> 00:02:37.000]   just goes up and down based upon whatever our circumstances may be.
[00:02:37.000 --> 00:02:41.000]   Our joy is solidly grounded upon the fact that he saved us
[00:02:41.000 --> 00:02:45.000]   from our own sins. And so I think that's why over and over again
[00:02:45.000 --> 00:02:49.000]   his primary theme is Christ our Redeemer, but what did
[00:02:49.000 --> 00:02:53.000]   he redeem us from? Their false worship. They redeemed us from
[00:02:53.000 --> 00:02:57.000]   confidence in Egypt, in other things.
[00:02:57.000 --> 00:03:01.000]   You know, coming to him or being blind. Over and over again.
[00:03:01.000 --> 00:03:05.000]   So he kind of reminds us of that. So we'll go through this section
[00:03:05.000 --> 00:03:09.000]   again just as God is prophesying about his Messiah
[00:03:09.000 --> 00:03:13.000]   coming. I apologize for the small letter.
[00:03:13.000 --> 00:03:17.000]   I used a different format and on my computer it looked huge.
[00:03:17.000 --> 00:03:21.000]   Okay, but it's not coming. Can you see?
[00:03:21.000 --> 00:03:25.000]   No? Okay. Alright. It looked big on my computer.
[00:03:25.000 --> 00:03:29.000]   Alright. So, who is my servant? I think it's pretty
[00:03:29.000 --> 00:03:33.000]   obvious. The servant that he's referring to is Jesus, the Messiah.
[00:03:33.000 --> 00:03:37.000]   This whole section in chapter 42 is about the coming of the Messiah.
[00:03:37.000 --> 00:03:41.000]   If you remember we talked about that in chapter 1 through 39
[00:03:41.000 --> 00:03:45.000]   that there was a lot of prophecies about Christ, but again the
[00:03:45.000 --> 00:03:49.000]   primary theme is that Israel will understand why judgment
[00:03:49.000 --> 00:03:53.000]   was coming upon them. Chapter 39 to chapter 40
[00:03:53.000 --> 00:03:57.000]   there is a huge gap, maybe about 150 years. And during those 150
[00:03:57.000 --> 00:04:01.000]   years the Assyrians fall, the Babylonians come in, the
[00:04:01.000 --> 00:04:05.000]   Babylonians fall, and then the Persians have come in. And King Cyrus
[00:04:05.000 --> 00:04:09.000]   gave them the permission to go back into Jerusalem and
[00:04:09.000 --> 00:04:13.000]   to reestablish Israel. So all of that has happened between chapter 39
[00:04:13.000 --> 00:04:17.000]   and chapter 40. And so chapter 40 to chapter 66
[00:04:17.000 --> 00:04:21.000]   the primary theme is Jesus our Redeemer.
[00:04:21.000 --> 00:04:25.000]   Now, it doesn't mean that--he doesn't talk about judgment. He still talks about judgment.
[00:04:25.000 --> 00:04:29.000]   He will every once in a while revert back and remind the nation of Israel
[00:04:29.000 --> 00:04:33.000]   why the Babylonians came and why the judgment came. But again
[00:04:33.000 --> 00:04:37.000]   you'll see a greater prophecy in chapter 40 through 66
[00:04:37.000 --> 00:04:41.000]   about Jesus. So again, right off the bat we see
[00:04:41.000 --> 00:04:45.000]   in chapter 42 that His prophecy about His servant, Jesus
[00:04:45.000 --> 00:04:49.000]   is coming. So if you look at
[00:04:49.000 --> 00:04:53.000]   chapter 42 verse 1 it says, "My chosen in whom my soul delights, I have put
[00:04:53.000 --> 00:04:57.000]   my Spirit upon him." And the Spirit is--most of your Bibles
[00:04:57.000 --> 00:05:01.000]   is capitalized "S" right? Right? Look at
[00:05:01.000 --> 00:05:05.000]   verse 1 of chapter 42. It's capitalized
[00:05:05.000 --> 00:05:09.000]   meaning that the interpreters believe that it is talking about the Holy Spirit. Why
[00:05:09.000 --> 00:05:13.000]   does Jesus need to have the Holy Spirit be placed upon Him
[00:05:13.000 --> 00:05:17.000]   when He is the second person of the Trinity?
[00:05:17.000 --> 00:05:25.000]   If my servant is in reference to Jesus
[00:05:25.000 --> 00:05:29.000]   and He is Christ, the second person of the Trinity, everything
[00:05:29.000 --> 00:05:33.000]   was created by Him and for Him, why does God say
[00:05:33.000 --> 00:05:37.000]   that I will place my Spirit upon Him?
[00:05:37.000 --> 00:05:41.000]   Because He's man. Right? 100% man.
[00:05:41.000 --> 00:05:45.000]   When does that happen in Jesus' life?
[00:05:45.000 --> 00:05:49.000]   At the baptism. He gets baptized, the Holy Spirit comes and descends upon Him.
[00:05:49.000 --> 00:05:53.000]   And again I think
[00:05:53.000 --> 00:05:57.000]   Dr. Proud, remember when he came here and he was talking about the life of Christ and he was
[00:05:57.000 --> 00:06:01.000]   preaching about the Gospel? How sometimes we kind of separate the life of
[00:06:01.000 --> 00:06:05.000]   Jesus because He's God? We can't possibly do that. But Jesus said, remember
[00:06:05.000 --> 00:06:09.000]   when I leave you will do even greater things? How can His
[00:06:09.000 --> 00:06:13.000]   disciples do even greater things? He says because the Holy Spirit is coming. And
[00:06:13.000 --> 00:06:17.000]   instead of just being upon them, the Holy Spirit is going to be indwelling them.
[00:06:17.000 --> 00:06:21.000]   Right? And so everything that Jesus did, He did as a
[00:06:21.000 --> 00:06:25.000]   man who had the Spirit of God upon Him. Right?
[00:06:25.000 --> 00:06:29.000]   So everything He did was an example for all mankind. Not just like, oh look at
[00:06:29.000 --> 00:06:33.000]   Jesus. That's why He suffers. That's why He cries. That's why He's tired.
[00:06:33.000 --> 00:06:37.000]   That's why He grieves. Because He put on humanity completely.
[00:06:37.000 --> 00:06:41.000]   He didn't just taste it. He didn't just kind of put on a mask.
[00:06:41.000 --> 00:06:45.000]   When He came and became a man, He became 100% man.
[00:06:45.000 --> 00:06:49.000]   So even in His weakness, He took on man's weakness.
[00:06:49.000 --> 00:06:53.000]   So that's why He says the Holy Spirit, He's going to send My
[00:06:53.000 --> 00:06:57.000]   servant because He came at, even though He was the second person of the
[00:06:57.000 --> 00:07:01.000]   Trinity, He came and put on the servant's body.
[00:07:01.000 --> 00:07:05.000]   Even the Son of Man did not come to be served but to serve and to give His life
[00:07:05.000 --> 00:07:09.000]   as a ransom for many. Right? And so it was a,
[00:07:09.000 --> 00:07:13.000]   He didn't just taste it. He completely became man.
[00:07:13.000 --> 00:07:17.000]   Right? Though Jesus was fully God, He came fully,
[00:07:17.000 --> 00:07:21.000]   became a full man, experienced all that man is able to experience.
[00:07:21.000 --> 00:07:25.000]   Okay? Just like we just talked about.
[00:07:25.000 --> 00:07:29.000]   He will bring not just grace but also justice through His sacrifice.
[00:07:29.000 --> 00:07:33.000]   You notice how in the first section when He talks about Jesus coming,
[00:07:33.000 --> 00:07:37.000]   He mentions three or four separate times in verse one, He will bring forth
[00:07:37.000 --> 00:07:41.000]   justice to the nations. Verse three, He will faithfully
[00:07:41.000 --> 00:07:45.000]   bring forth justice. Verse four, He will not grow faint or
[00:07:45.000 --> 00:07:49.000]   discouraged till He has established justice on earth. Okay?
[00:07:49.000 --> 00:07:53.000]   So if this is in reference to Jesus coming, we
[00:07:53.000 --> 00:07:57.000]   typically think of Jesus coming to bring salvation, redemption, grace, mercy,
[00:07:57.000 --> 00:08:01.000]   but here it's described as justice. Right? Why do you think it's
[00:08:01.000 --> 00:08:05.000]   described as justice?
[00:08:05.000 --> 00:08:09.000]   When's the last time you thought
[00:08:09.000 --> 00:08:13.000]   about the work of Christ as bringing justice?
[00:08:13.000 --> 00:08:17.000]   Because when we think of justice, we think of punishment. Right?
[00:08:17.000 --> 00:08:21.000]   Judgment.
[00:08:21.000 --> 00:08:25.000]   Mm-hmm?
[00:08:25.000 --> 00:08:29.000]   [inaudible]
[00:08:29.000 --> 00:08:33.000]   [inaudible]
[00:08:33.000 --> 00:08:37.000]   So for us to be...if He's going to come
[00:08:37.000 --> 00:08:41.000]   and put us in His grace, then
[00:08:41.000 --> 00:08:45.000]   punishment and justice come from Him. >>Right.
[00:08:45.000 --> 00:08:49.000]   I think we all know it, but we don't really
[00:08:49.000 --> 00:08:53.000]   think about it in that light until it's like we deliberately
[00:08:53.000 --> 00:08:57.000]   meditate on that. That the cross is justice and
[00:08:57.000 --> 00:09:01.000]   mercy all at the same time. And if you take one away, the other doesn't make any sense.
[00:09:01.000 --> 00:09:05.000]   But we tend to talk about it so much one-sidedly
[00:09:05.000 --> 00:09:09.000]   about the grace, about love, about forgiveness, that we forget that
[00:09:09.000 --> 00:09:13.000]   the whole purpose of the cross was to justify His wrath.
[00:09:13.000 --> 00:09:17.000]   Right? To propitiate His wrath. So, the reason
[00:09:17.000 --> 00:09:21.000]   why Jesus had to come was to compensate
[00:09:21.000 --> 00:09:25.000]   for what was broken. Right? The wrath that mankind rightfully
[00:09:25.000 --> 00:09:29.000]   deserved, Jesus absorbed it upon Himself. So, He came. So,
[00:09:29.000 --> 00:09:33.000]   the fullest display of His justice was at the cross.
[00:09:33.000 --> 00:09:37.000]   Right? Because every judgment that God
[00:09:37.000 --> 00:09:41.000]   had placed upon mankind and nation was for their sins.
[00:09:41.000 --> 00:09:45.000]   So, whatever, like even the flood that came and wiped
[00:09:45.000 --> 00:09:49.000]   out the earth, that was an expression of His wrath toward those people.
[00:09:49.000 --> 00:09:53.000]   They weren't paying for our sins. Only on the cross do you see
[00:09:53.000 --> 00:09:57.000]   complete justice. Right? For all
[00:09:57.000 --> 00:10:01.000]   our sins, past, present, and future. And so, the wrath of God
[00:10:01.000 --> 00:10:05.000]   that is revealed on the cross is much greater than any wrath that we've seen
[00:10:05.000 --> 00:10:09.000]   up to that point. Right? So, when He says He's come to
[00:10:09.000 --> 00:10:13.000]   bring justice, I think that's why it's tied in. If you remember, if you're
[00:10:13.000 --> 00:10:17.000]   studying through chapter 42 and 43, and again, like in between
[00:10:17.000 --> 00:10:21.000]   His expression of His love and redemption, He reminds them,
[00:10:21.000 --> 00:10:25.000]   right, "Despite I did all of this, you didn't come to me.
[00:10:25.000 --> 00:10:29.000]   You gave me false worship. You kept on turning to idols, because that's what you are
[00:10:29.000 --> 00:10:33.000]   deserving of this justice. But God had mercy on you. Right? Because I love
[00:10:33.000 --> 00:10:37.000]   you." And so, it's mixed in back and forth, back and forth. Right?
[00:10:37.000 --> 00:10:41.000]   So, I think it's important for us that when we think about the cross, that we think we always
[00:10:41.000 --> 00:10:45.000]   remember both sides. That He absorbed that wrath. And that
[00:10:45.000 --> 00:10:49.000]   is just as important as us understanding that that's also
[00:10:49.000 --> 00:10:53.000]   expression of His grace. But it's both. Right? Because what happens when we
[00:10:53.000 --> 00:10:57.000]   forget that that's an expression of His wrath?
[00:10:57.000 --> 00:11:01.000]   Yeah, I mean,
[00:11:01.000 --> 00:11:05.000]   it could easily become cheap grace. Right? It could easily become
[00:11:05.000 --> 00:11:09.000]   kind of like a grandfather passing out candy. Like, "Oh, you know,
[00:11:09.000 --> 00:11:13.000]   we love you. Here's some candy to eat." Not realizing exactly what it is that He did.
[00:11:13.000 --> 00:11:17.000]   Remember, again, Dr. Harris, when he talked about when the earth went dark
[00:11:17.000 --> 00:11:21.000]   and God actually shows up, because He had
[00:11:21.000 --> 00:11:25.000]   to place His wrath upon His Son. That scene that
[00:11:25.000 --> 00:11:29.000]   we needed, we should have been in that darkness.
[00:11:29.000 --> 00:11:33.000]   But it was an intimate scene between the Father and the Son. Because no one else
[00:11:33.000 --> 00:11:37.000]   could be in that when the covenant was being ratified, because the wrath was being absorbed by
[00:11:37.000 --> 00:11:41.000]   the Son. Right? So, without that aspect of it, grace isn't
[00:11:41.000 --> 00:11:45.000]   amazing. It's just like, "Ah, somebody remembered my birthday,
[00:11:45.000 --> 00:11:49.000]   and somebody loves me." And it just becomes cheap. Right?
[00:11:49.000 --> 00:11:53.000]   And I think when we recognize what it is that we have in Christ, that's
[00:11:53.000 --> 00:11:57.000]   a reasonable response. Like it says in Romans 12, 1. Right? Reasonable
[00:11:57.000 --> 00:12:01.000]   response in view of the mercy that we have in Christ. Right?
[00:12:01.000 --> 00:12:05.000]   He said,
[00:12:05.000 --> 00:12:09.000]   "When He carries this justice out," again, these are all linked together,
[00:12:09.000 --> 00:12:13.000]   "He will not cry out loud or lift up His voice," as also
[00:12:13.000 --> 00:12:17.000]   prophesied in Isaiah 53. So, what does that tell you? When He
[00:12:17.000 --> 00:12:21.000]   carries out His justice, He's not crying out.
[00:12:21.000 --> 00:12:25.000]   [pause]
[00:12:25.000 --> 00:12:29.000]   [inaudible]
[00:12:29.000 --> 00:12:33.000]   [inaudible]
[00:12:33.000 --> 00:12:37.000]   Right. It was voluntary. So, of course,
[00:12:37.000 --> 00:12:41.000]   He humanly cried out in agony. Right?
[00:12:41.000 --> 00:12:45.000]   [inaudible] "Why have you forsaken Me?" But when He says He didn't
[00:12:45.000 --> 00:12:49.000]   cry out, meaning that it was done voluntarily. He didn't try to fight and run
[00:12:49.000 --> 00:12:53.000]   away from it. He came and voluntarily laid down His life. Right?
[00:12:53.000 --> 00:12:57.000]   It's like Isaiah 53.7, "He was oppressed and He was afflicted, and yet
[00:12:57.000 --> 00:13:01.000]   He opened not His mouth, like a lamb that is led to the slaughter, and like
[00:13:01.000 --> 00:13:05.000]   a sheep that is before its shearers is silent. So He opened not
[00:13:05.000 --> 00:13:09.000]   His mouth." Right? And that's exactly what was prophesied. He's going to bring about
[00:13:09.000 --> 00:13:13.000]   justice voluntarily, and He will do it willingly.
[00:13:13.000 --> 00:13:17.000]   [pause]
[00:13:17.000 --> 00:13:21.000]   So, what does a bruised reed represent, and why
[00:13:21.000 --> 00:13:25.000]   does God promise not to break it? Who's the bruised reed
[00:13:25.000 --> 00:13:29.000]   and the flickering wick? Who's that?
[00:13:29.000 --> 00:13:33.000]   Israelites, right? Israel, God's people,
[00:13:33.000 --> 00:13:37.000]   in general. Right? What is a bruised reed?
[00:13:37.000 --> 00:13:41.000]   I mean, there's a bruised reed
[00:13:41.000 --> 00:13:45.000]   right there. Can you see it? Can you see it?
[00:13:45.000 --> 00:13:49.000]   It's just basically grass that's dried up and broken.
[00:13:49.000 --> 00:13:53.000]   Absolutely useless. Right?
[00:13:53.000 --> 00:13:57.000]   You're good for nothing. And who would think twice about tearing that out
[00:13:57.000 --> 00:14:01.000]   and using it as fire? Right? A burning wick.
[00:14:01.000 --> 00:14:05.000]   Here's that little piece of wick, and there's oil in here, and the thing that burns out.
[00:14:05.000 --> 00:14:09.000]   This thing burns out. What is this good for? You can't tie shoelaces. You can't
[00:14:09.000 --> 00:14:13.000]   use it as a--what is this thing good for? Right? So He uses two
[00:14:13.000 --> 00:14:17.000]   objects that are completely trash.
[00:14:17.000 --> 00:14:21.000]   Absolutely worth nothing. There's nothing you can salvage from this, but trash.
[00:14:21.000 --> 00:14:25.000]   Throw it in to be burned and getting rid of. And He says--so He
[00:14:25.000 --> 00:14:29.000]   uses this imagery. A bruised reed and a burning wick.
[00:14:29.000 --> 00:14:33.000]   He will not--what did He say? He will not forsake.
[00:14:33.000 --> 00:14:37.000]   He's talking about His people. This is the state of mankind in their sin.
[00:14:37.000 --> 00:14:41.000]   This is the state of Israel in their sin.
[00:14:41.000 --> 00:14:45.000]   Absolutely useless. Good for nothing. It's like salt without its flavor.
[00:14:45.000 --> 00:14:49.000]   Good for nothing other than to be trampled on the ground. And He says
[00:14:49.000 --> 00:14:53.000]   Jesus is going to come. He's going to bring about justice. And He's going to do
[00:14:53.000 --> 00:14:57.000]   it voluntarily, even for the least
[00:14:57.000 --> 00:15:01.000]   and the worthless, which is all of us in our sins.
[00:15:01.000 --> 00:15:05.000]   [shuffling]
[00:15:05.000 --> 00:15:34.880]   Oh did I go too fast?
[00:15:34.880 --> 00:15:38.520]   Done?
[00:15:38.520 --> 00:15:55.920]   Use your camera, take a picture.
[00:15:55.920 --> 00:16:00.920]   You guys done?
[00:16:00.920 --> 00:16:03.880]   Okay.
[00:16:03.880 --> 00:16:06.960]   So who will be a light for the nations and open eyes to the blind?
[00:16:06.960 --> 00:16:08.440]   Verse 6 and 7.
[00:16:08.440 --> 00:16:09.440]   Right?
[00:16:09.440 --> 00:16:15.200]   So I am the Lord, I have called you in righteousness, I will take you by the hand and keep you,
[00:16:15.200 --> 00:16:19.960]   I will give you as a covenant for the people, a light for the nations, to open the eyes
[00:16:19.960 --> 00:16:23.520]   that are blind, to bring out the prisoners from the dungeon.
[00:16:23.520 --> 00:16:24.520]   Right?
[00:16:24.520 --> 00:16:32.880]   It says the Lord is described as a creator in verse 5, but in 6 and 7, He's the caretaker.
[00:16:32.880 --> 00:16:43.120]   So this, this servant, so imagine like, now we know who Jesus is, like we're on this side
[00:16:43.120 --> 00:16:47.520]   of the covenant, we know who He is, we know how He talked, we know what He ate, we know
[00:16:47.520 --> 00:16:53.840]   His humanity, but imagine for a Jew, right, who doesn't have a clear picture of who Jesus
[00:16:53.840 --> 00:16:59.280]   is, and the only picture that they have of the Savior that's going to come is coming
[00:16:59.280 --> 00:17:01.040]   from passages like this.
[00:17:01.040 --> 00:17:02.040]   Right?
[00:17:02.040 --> 00:17:05.960]   So imagine in their head, they're thinking, He's going to send somebody, He's going to
[00:17:05.960 --> 00:17:10.520]   bring about justice, and this justice is going to free mankind from their sins, He's going
[00:17:10.520 --> 00:17:12.680]   to be the Redeemer, right?
[00:17:12.680 --> 00:17:17.160]   And He's going to be gentle and caring, because a bruised reed and burning wick He's not going
[00:17:17.160 --> 00:17:18.160]   to forsake, right?
[00:17:18.160 --> 00:17:24.360]   And He's going to come and He's going to care for them, you know, genuinely.
[00:17:24.360 --> 00:17:30.380]   So think about everything that is promised that's going to happen when this Messiah comes.
[00:17:30.380 --> 00:17:36.700]   So imagine the frenzy, so connect all of this, imagine the frenzy that the Jews must have
[00:17:36.700 --> 00:17:40.420]   had when Jesus was riding in on a donkey, right?
[00:17:40.420 --> 00:17:44.380]   So all of this stuff, that they, like could He be it, could He be it, and then finally
[00:17:44.380 --> 00:17:48.140]   they think He is it, and then think about the disappointment when He was crucified on
[00:17:48.140 --> 00:17:50.420]   the cross, okay?
[00:17:50.420 --> 00:17:54.020]   Not knowing that everything that He was saying was going to happen on the cross, that He
[00:17:54.020 --> 00:17:56.620]   was actually talking about the cross.
[00:17:56.620 --> 00:18:00.580]   But they were thinking, all this is going to happen, He's going to, imagine, so if you
[00:18:00.580 --> 00:18:05.340]   didn't understand the cross, how would you have interpreted all of this?
[00:18:05.340 --> 00:18:08.140]   More money, maybe?
[00:18:08.140 --> 00:18:10.220]   Conquer the Romans?
[00:18:10.220 --> 00:18:11.220]   Better health, right?
[00:18:11.220 --> 00:18:15.860]   I mean, if you didn't understand the cross, and you're thinking the Messiah is going to
[00:18:15.860 --> 00:18:19.260]   come and fulfill all of this, you probably would have thought that.
[00:18:19.260 --> 00:18:23.540]   If you're a fisherman, you're going to catch fish, you know, a boatload of fish every single
[00:18:23.540 --> 00:18:26.020]   time you go out, right?
[00:18:26.020 --> 00:18:30.300]   If you're a soldier, you're going to become the general, I mean, everybody probably projected
[00:18:30.300 --> 00:18:34.700]   what they thought that this meant, right?
[00:18:34.700 --> 00:18:37.820]   And even the disciples didn't understand it, because they thought, oh, when the Kingdom
[00:18:37.820 --> 00:18:42.260]   comes, when the Kingdom comes, since we're the closest to the Messiah, like, how are
[00:18:42.260 --> 00:18:44.440]   we going to benefit, to the left or to the right?
[00:18:44.440 --> 00:18:48.620]   And so when He went to the cross, even though Jesus clearly said, I'm going to the cross,
[00:18:48.620 --> 00:18:51.100]   they didn't understand it, right?
[00:18:51.100 --> 00:18:52.540]   They clearly didn't understand it.
[00:18:52.540 --> 00:18:58.020]   It wasn't until after He was resurrected, it's like, oh my gosh, even in death, right?
[00:18:58.020 --> 00:19:00.540]   Even in death.
[00:19:00.540 --> 00:19:06.820]   So again, I think this is so important, because even us on this side of the cross, we still
[00:19:06.820 --> 00:19:08.960]   think that.
[00:19:08.960 --> 00:19:13.620]   You know, the cross is something we hang on a church, and we think about, we meditate,
[00:19:13.620 --> 00:19:20.020]   we repeat verses to each other, but when do you really think about the cross as the hope,
[00:19:20.020 --> 00:19:23.700]   the fulfillment of all of this, right?
[00:19:23.700 --> 00:19:30.340]   When we feel like we're bruised, what was it?
[00:19:30.340 --> 00:19:32.140]   Read, right?
[00:19:32.140 --> 00:19:37.220]   Or burning wick, you know, sometimes you feel like that in life.
[00:19:37.220 --> 00:19:43.620]   Like when do we really turn to God and think the cross is the answer to that?
[00:19:43.620 --> 00:19:50.460]   Or do we turn to our friends or family or something, right?
[00:19:50.460 --> 00:19:51.460]   We do the same thing.
[00:19:51.460 --> 00:19:58.180]   We make the same mistake when we forget that all of this was to be fulfilled in Christ,
[00:19:58.180 --> 00:19:59.180]   right?
[00:19:59.180 --> 00:20:03.520]   That's why the Old Testament believers didn't clearly understand, but we have the benefit
[00:20:03.520 --> 00:20:07.860]   of looking back and saying, we know that Jesus is the fulfillment of all of this.
[00:20:07.860 --> 00:20:13.900]   So it's a constant reminder to us that our hope and all the answers, all the promises
[00:20:13.900 --> 00:20:17.060]   are fulfilled because of what Christ has done on the cross, right?
[00:20:17.060 --> 00:20:22.340]   And the moment we forget that is when we get frustrated.
[00:20:22.340 --> 00:20:25.580]   The servant will be the one giving the world a new covenant for the people, light to the
[00:20:25.580 --> 00:20:30.140]   nations.
[00:20:30.140 --> 00:20:35.700]   And then it says, God is jealous for His glory and will not share it with any idol or anything
[00:20:35.700 --> 00:20:38.260]   else, right?
[00:20:38.260 --> 00:20:42.100]   So remember, Jesus came and He says, when He's about to go to the cross, what does He
[00:20:42.100 --> 00:20:43.100]   say?
[00:20:43.100 --> 00:20:47.580]   It's time to glorify your son and for the son to glorify the father, right?
[00:20:47.580 --> 00:20:51.500]   And He said, I will share my glory with nobody else.
[00:20:51.500 --> 00:20:56.780]   So if the cross is where God is glorified the most, He said, I will not share, right,
[00:20:56.780 --> 00:20:58.860]   what He fulfilled on the cross with anything else.
[00:20:58.860 --> 00:21:05.060]   If we turn to anything else but the cross, right, we taint His glory.
[00:21:05.060 --> 00:21:10.340]   And He clearly says, He is jealously guarding His glory, right?
[00:21:10.340 --> 00:21:18.740]   So in other words, we can interpret that as He's jealously guarding the cross.
[00:21:18.740 --> 00:21:33.220]   Okay, this is one of the application questions I have.
[00:21:33.220 --> 00:21:37.860]   You guys can discuss this later.
[00:21:37.860 --> 00:21:38.860]   What is the cause of joy?
[00:21:38.860 --> 00:21:43.940]   So we move to verse 7, or 10 to 17, where the people break out into song.
[00:21:43.940 --> 00:21:49.860]   But what is the cause of this joy in singing in verse 10 through 12?
[00:21:49.860 --> 00:21:55.940]   Up to this point, it says the Lord restrained Himself, right, in responding to injustices.
[00:21:55.940 --> 00:21:59.500]   He's been observing and watching, but now finally, He's going to act.
[00:21:59.500 --> 00:22:03.500]   He's going to stir up His zeal.
[00:22:03.500 --> 00:22:07.360]   The Lord, in verse 13, the Lord goes out like a mighty man, like a man of war.
[00:22:07.360 --> 00:22:08.720]   He stirs up His zeal.
[00:22:08.720 --> 00:22:12.720]   He cries out, He shouts aloud, He shows Himself mighty against His foes.
[00:22:12.720 --> 00:22:17.900]   So people will know that God is acting, right?
[00:22:17.900 --> 00:22:21.760]   The devil, you know, when he works, he's always scheming.
[00:22:21.760 --> 00:22:24.700]   It's almost kind of like, you don't know he's there.
[00:22:24.700 --> 00:22:26.640]   When he's working, people are not paying attention.
[00:22:26.640 --> 00:22:29.560]   His name is not on the lips of the people.
[00:22:29.560 --> 00:22:34.960]   But when God works, He says He does nothing without proclaiming to His servants first,
[00:22:34.960 --> 00:22:36.080]   right?
[00:22:36.080 --> 00:22:40.960]   He said when He works, people know that God is coming, right?
[00:22:40.960 --> 00:22:41.960]   So He's in the light.
[00:22:41.960 --> 00:22:42.960]   He's not in darkness.
[00:22:42.960 --> 00:22:43.960]   He's not scheming.
[00:22:43.960 --> 00:22:47.160]   You know, He's not behind the scene, but He makes it very clear.
[00:22:47.160 --> 00:22:49.200]   So look at all the miracles that He performs.
[00:22:49.200 --> 00:22:54.640]   When He performs miracles, the end result is in, did God do that?
[00:22:54.640 --> 00:22:55.640]   Right?
[00:22:55.640 --> 00:23:00.960]   So even people who don't want to believe Him can't deny His miracles, right?
[00:23:00.960 --> 00:23:05.120]   So when God shows up, there is no ambiguity.
[00:23:05.120 --> 00:23:07.600]   That's basically what He says, right?
[00:23:07.600 --> 00:23:12.320]   He's going to declare it, because His whole purpose is to declare His glory.
[00:23:12.320 --> 00:23:15.200]   So He's not going to hide and give that glory to somebody else.
[00:23:15.200 --> 00:23:20.280]   When it happens, people will know that was Him, right?
[00:23:20.280 --> 00:23:22.680]   And I, again, let me go off track a little bit.
[00:23:22.680 --> 00:23:28.880]   That's why the church, when we rely upon our method, our scheming, and our intelligence,
[00:23:28.880 --> 00:23:31.720]   we kind of take away from His glory, right?
[00:23:31.720 --> 00:23:36.040]   We take away from His glory, because at the end, if we become successful, we're going
[00:23:36.040 --> 00:23:37.680]   to say we did it.
[00:23:37.680 --> 00:23:40.400]   In the name of Jesus, but we're going to say we did it, right?
[00:23:40.400 --> 00:23:45.000]   There's a reason why God chose the dumb, right?
[00:23:45.000 --> 00:23:46.680]   The foolish.
[00:23:46.680 --> 00:23:50.240]   Because and the worst of sinners.
