
[00:00:00.000 --> 00:00:02.340]   (no audio)
[00:03:01.780 --> 00:03:04.700]   So I was 19, that was a long time.
[00:03:05.540 --> 00:03:07.780]   (laughter)
[00:03:07.780 --> 00:03:09.940]   (chatter)
[00:03:09.940 --> 00:03:12.100]   (chatter)
[00:03:12.100 --> 00:03:14.260]   (chatter)
[00:03:14.260 --> 00:03:40.660]   - Heavenly Father, Lord, we thank you so much
[00:03:40.660 --> 00:03:44.160]   for the privilege of being able to serve
[00:03:44.160 --> 00:03:46.740]   the body of the brain, or dying.
[00:03:46.740 --> 00:03:50.220]   Really having a heart for our children,
[00:03:50.220 --> 00:03:52.980]   a desire, Lord, to see them grow,
[00:03:52.980 --> 00:03:55.900]   to come to this state of knowledge,
[00:03:55.900 --> 00:04:01.320]   and what your son did in our birth in particular.
[00:04:01.320 --> 00:04:05.060]   God, I pray that that will resonate with us
[00:04:05.060 --> 00:04:07.320]   more on a daily basis, God, that will shape
[00:04:07.320 --> 00:04:11.480]   who we are, and shape how we are doing ourselves.
[00:04:11.480 --> 00:04:15.560]   Our trajectory, really, for the rest of our lives.
[00:04:15.560 --> 00:04:18.000]   I pray that that would shape us, Lord,
[00:04:18.000 --> 00:04:20.120]   in our service to our church.
[00:04:20.120 --> 00:04:22.800]   Lord, that you would help it to be grounded
[00:04:22.800 --> 00:04:25.240]   in you and in your work.
[00:04:25.240 --> 00:04:28.200]   And Lord, I pray that as we cover safety,
[00:04:28.200 --> 00:04:31.760]   Lord, oftentimes it can seem like a logistical matter,
[00:04:31.760 --> 00:04:34.460]   but I pray, Lord, that you would help us, Lord,
[00:04:34.460 --> 00:04:38.920]   to really convey with the Spirit why we go over
[00:04:38.920 --> 00:04:41.800]   these principles, Lord, and how we desire
[00:04:41.800 --> 00:04:44.720]   to serve the body best, Lord, by instituting
[00:04:44.720 --> 00:04:45.920]   these policies, God.
[00:04:45.920 --> 00:04:48.240]   I pray that you would help us, Lord,
[00:04:48.240 --> 00:04:51.000]   to be a blessing to our church, Lord,
[00:04:51.000 --> 00:04:54.000]   in making sure that these policies are held
[00:04:54.000 --> 00:04:55.520]   and adhered to.
[00:04:55.520 --> 00:04:57.720]   And I pray, God, for all of the people here
[00:04:57.720 --> 00:05:00.400]   in this room who have hearts of service,
[00:05:00.400 --> 00:05:03.080]   or that they desire to be rendered in you.
[00:05:03.080 --> 00:05:06.260]   I pray that they would continue to walk low
[00:05:06.260 --> 00:05:10.500]   in you, God, that they would really do their best,
[00:05:10.500 --> 00:05:14.020]   Lord, in their walks, God, and to be intimate
[00:05:14.020 --> 00:05:16.660]   in hellish in you, so that that would bleed
[00:05:16.660 --> 00:05:18.460]   through their service, God, that the children
[00:05:18.460 --> 00:05:22.180]   would be able to see who they are, Lord,
[00:05:22.180 --> 00:05:24.700]   and how they desire the Lord to emulate them
[00:05:24.700 --> 00:05:25.540]   in whatever way.
[00:05:25.540 --> 00:05:27.620]   So, would you be with Val and yourself today
[00:05:27.620 --> 00:05:30.420]   as we present this, God, to them?
[00:05:30.420 --> 00:05:34.500]   I pray that you would be with us in Jesus' name.
[00:05:34.500 --> 00:05:39.200]   So, first, we just wanna thank all of you guys
[00:05:39.200 --> 00:05:42.600]   for coming, and we will try and get through it
[00:05:42.600 --> 00:05:46.280]   as quickly as we can, okay?
[00:05:46.280 --> 00:05:47.760]   The first thing we really wanna go through
[00:05:47.760 --> 00:05:50.280]   is just the stewardship of children,
[00:05:50.280 --> 00:05:53.840]   and all of us as volunteers have a particular
[00:05:53.840 --> 00:05:56.920]   responsibility for these kids.
[00:05:56.920 --> 00:06:00.820]   And, I mean, we have kids, but we really see them
[00:06:00.820 --> 00:06:04.100]   as gifts that God has entrusted to us,
[00:06:04.100 --> 00:06:07.300]   and we entrust those most precious gifts
[00:06:07.300 --> 00:06:10.700]   to you guys, who are volunteering with them,
[00:06:10.700 --> 00:06:12.420]   or maybe watching them.
[00:06:12.420 --> 00:06:14.900]   And so, it's really a ministry.
[00:06:14.900 --> 00:06:20.740]   The goal of having these children
[00:06:20.740 --> 00:06:23.060]   is that they would know Christ.
[00:06:23.060 --> 00:06:25.460]   That is the end goal for us as parents,
[00:06:25.460 --> 00:06:27.160]   and we hope that that is the end goal
[00:06:27.160 --> 00:06:29.680]   for you guys as volunteers,
[00:06:29.680 --> 00:06:31.720]   is that you would love our children
[00:06:31.720 --> 00:06:33.480]   just as Christ loves our children,
[00:06:33.480 --> 00:06:35.240]   just as we love our children,
[00:06:35.240 --> 00:06:38.160]   and that it's really setting an example for them
[00:06:38.160 --> 00:06:40.120]   of just being a Christian,
[00:06:40.120 --> 00:06:42.120]   of what a genuine Christian looks like,
[00:06:42.120 --> 00:06:43.600]   and whether that's playing with them,
[00:06:43.600 --> 00:06:46.160]   whether that's teaching them,
[00:06:46.160 --> 00:06:48.340]   and whatever context that you are,
[00:06:48.340 --> 00:06:50.920]   that is our goal, is that they would see Christ
[00:06:50.920 --> 00:06:53.540]   in genuine faith in each one of us.
[00:06:55.040 --> 00:06:56.660]   So that means it's not just like
[00:06:56.660 --> 00:06:58.020]   you're just babysitting them,
[00:06:58.020 --> 00:07:00.340]   but there is an overarching purpose
[00:07:00.340 --> 00:07:02.500]   as to why you're there.
[00:07:02.500 --> 00:07:05.660]   So it's ministering to the children, praying for them,
[00:07:05.660 --> 00:07:08.460]   supporting and encouraging us as parents,
[00:07:08.460 --> 00:07:12.260]   who are primarily responsible for their discipleship.
[00:07:12.260 --> 00:07:15.180]   So ultimately, it is our responsibility as parents,
[00:07:15.180 --> 00:07:17.500]   and you guys are really coming alongside
[00:07:17.500 --> 00:07:20.340]   and helping us in that goal,
[00:07:20.340 --> 00:07:23.540]   and so we really do appreciate that as parents.
[00:07:23.540 --> 00:07:24.980]   We hope that you don't ever feel like
[00:07:24.980 --> 00:07:27.380]   we just take babysitters or anyone
[00:07:27.380 --> 00:07:29.060]   who's working with our children for granted,
[00:07:29.060 --> 00:07:32.520]   but that is such an important thing for us as parents,
[00:07:32.520 --> 00:07:34.660]   to entrust you with them,
[00:07:34.660 --> 00:07:38.620]   and that is something we're working together for.
[00:07:38.620 --> 00:07:42.060]   And really seeing our children as worshipers
[00:07:42.060 --> 00:07:44.660]   with an eternal destiny, either heaven or hell,
[00:07:44.660 --> 00:07:48.680]   and that they are souls to be cared for,
[00:07:48.680 --> 00:07:51.500]   and that in the end, we want them to know Christ,
[00:07:51.500 --> 00:07:55.300]   we want them to be saved.
[00:07:55.300 --> 00:07:58.460]   So just really having that kind of perspective
[00:07:58.460 --> 00:08:01.780]   going into whatever service that you may have
[00:08:01.780 --> 00:08:05.820]   with our children, just want to put that on there first.
[00:08:05.820 --> 00:08:11.020]   Okay, so there are a lot of procedures
[00:08:11.020 --> 00:08:12.140]   that we're putting into place,
[00:08:12.140 --> 00:08:14.740]   just because there are just so many people
[00:08:14.740 --> 00:08:15.660]   that are volunteering.
[00:08:15.660 --> 00:08:16.880]   Like I'm looking at you guys,
[00:08:16.880 --> 00:08:19.100]   and I really don't know most of you guys,
[00:08:19.100 --> 00:08:21.460]   and you guys are the ones who are watching our kids.
[00:08:21.460 --> 00:08:24.940]   So in one sense, as a parent, that's really scary,
[00:08:24.940 --> 00:08:28.340]   because you guys are the ones interacting with them,
[00:08:28.340 --> 00:08:29.860]   but I don't know who you are.
[00:08:29.860 --> 00:08:33.500]   And so we're trying to put these procedures in place
[00:08:33.500 --> 00:08:35.700]   just to make things safer,
[00:08:35.700 --> 00:08:38.900]   just so that we know at least people are members,
[00:08:38.900 --> 00:08:41.780]   people know what kind of safety procedures
[00:08:41.780 --> 00:08:44.520]   across the board as a church that we have.
[00:08:44.520 --> 00:08:48.700]   So the basic general screening procedures,
[00:08:48.700 --> 00:08:50.180]   there are two types now.
[00:08:50.180 --> 00:08:54.380]   If you are a general, like one-time special events,
[00:08:54.380 --> 00:08:57.180]   which includes like one-day conferences,
[00:08:57.180 --> 00:09:01.220]   or our retreats, or VBS, family ministry events,
[00:09:01.220 --> 00:09:04.220]   Reformation Night, Bible study, babysitting,
[00:09:04.220 --> 00:09:05.740]   things like that, it's like one time,
[00:09:05.740 --> 00:09:07.220]   you're not doing it consistently,
[00:09:07.220 --> 00:09:10.140]   like seeds or sprouts or your staff number,
[00:09:10.140 --> 00:09:12.840]   then this is the general procedure now.
[00:09:12.840 --> 00:09:15.620]   You have to be a church member for at least one year,
[00:09:15.620 --> 00:09:18.000]   you have to fill out that general application
[00:09:18.000 --> 00:09:21.620]   that is online, and you have to attend the safety training,
[00:09:21.620 --> 00:09:24.780]   which we're still deciding how often you have to retake that
[00:09:24.780 --> 00:09:26.940]   but somewhere between three to five years.
[00:09:26.940 --> 00:09:32.260]   And the process is different than if you are a current
[00:09:32.260 --> 00:09:36.700]   SO staff teacher or volunteer, like in the ministry.
[00:09:36.700 --> 00:09:39.140]   So if you happen to already gone through the process
[00:09:39.140 --> 00:09:42.120]   of being a SO, like teacher or volunteer,
[00:09:42.120 --> 00:09:43.860]   then this is probably like,
[00:09:43.860 --> 00:09:46.300]   you were definitely already like in, right?
[00:09:46.300 --> 00:09:48.200]   But if you were the other way,
[00:09:48.200 --> 00:09:49.280]   it doesn't work the other way.
[00:09:49.280 --> 00:09:53.000]   So you would have to go through a more rigorous process.
[00:09:53.000 --> 00:09:57.920]   And that would be, you have to fill out, oh, oh, oh, okay.
[00:09:57.920 --> 00:10:00.080]   And this is just for in general,
[00:10:00.080 --> 00:10:03.060]   like there are kids, like youth group volunteers
[00:10:03.060 --> 00:10:06.080]   that will happen to join at certain times.
[00:10:06.080 --> 00:10:08.200]   So you as a volunteer should know, okay,
[00:10:08.200 --> 00:10:10.400]   if I happen to be like babysitting,
[00:10:10.400 --> 00:10:13.280]   and I know that this person is babysitting with me,
[00:10:13.280 --> 00:10:14.880]   either they are a church member,
[00:10:14.880 --> 00:10:19.260]   they have to have followed all those previous requirements.
[00:10:19.260 --> 00:10:20.940]   And if you know they haven't,
[00:10:20.940 --> 00:10:24.220]   they should not be with the kids, okay?
[00:10:24.220 --> 00:10:28.380]   So you cannot recruit them to babysit for Bible study
[00:10:28.380 --> 00:10:30.340]   or whatever it may be,
[00:10:30.340 --> 00:10:33.380]   unless you know that they meet these three requirements.
[00:10:33.380 --> 00:10:38.140]   And if you're not sure, then you should ask Pastor Mark,
[00:10:38.140 --> 00:10:41.620]   you can ask Jane now, you can ask me, you can ask Jen and I,
[00:10:41.620 --> 00:10:44.340]   because they have to have these requirements
[00:10:44.340 --> 00:10:47.120]   where they are not allowed to babysit children,
[00:10:47.120 --> 00:10:49.240]   they cannot be volunteering.
[00:10:49.240 --> 00:10:54.760]   The same goes for youth and youth group volunteers,
[00:10:54.760 --> 00:10:57.840]   and they have to fill out a permission form
[00:10:57.840 --> 00:11:01.760]   by their parents, and then they have to be supervised
[00:11:01.760 --> 00:11:03.320]   by an adult at all times.
[00:11:03.320 --> 00:11:05.400]   So if you have a youth group volunteer with you
[00:11:05.400 --> 00:11:08.740]   at Reformation Night or at BDS,
[00:11:08.740 --> 00:11:10.640]   they have to be with an adult.
[00:11:10.640 --> 00:11:12.660]   They can't be just by themselves.
[00:11:12.660 --> 00:11:16.440]   And especially for junior high or children junior high,
[00:11:16.440 --> 00:11:18.440]   they should have a parent with them.
[00:11:18.440 --> 00:11:21.440]   And they cannot have any kind of supervisory role,
[00:11:21.440 --> 00:11:24.520]   and they can't take any minors to the bathroom.
[00:11:24.520 --> 00:11:26.040]   So just so that you know that
[00:11:26.040 --> 00:11:27.640]   if you happen to be in that situation,
[00:11:27.640 --> 00:11:29.160]   and you're like, oh, they're in my team,
[00:11:29.160 --> 00:11:31.040]   like for food team, or they're in my team
[00:11:31.040 --> 00:11:33.000]   for like, we're playing a game,
[00:11:33.000 --> 00:11:34.640]   and they're like, oh, I'm gonna take this kid
[00:11:34.640 --> 00:11:37.760]   to the bathroom, they're not allowed to, okay?
[00:11:37.760 --> 00:11:39.260]   So just so that you know that.
[00:11:40.480 --> 00:11:43.740]   Then if you ever wanna become part of the SO staff,
[00:11:43.740 --> 00:11:47.140]   teacher, TA, or volunteers, you have to be a church member
[00:11:47.140 --> 00:11:51.380]   for one year, if they have a more rigorous application.
[00:11:51.380 --> 00:11:53.940]   You have to fill out a background authorization
[00:11:53.940 --> 00:11:57.420]   or reference check form, and have,
[00:11:57.420 --> 00:12:00.340]   and Officer Joe does all of the reference check,
[00:12:00.340 --> 00:12:02.700]   background checks, and he keeps them very safe
[00:12:02.700 --> 00:12:06.100]   and very secure, 'cause he's an officer.
[00:12:06.100 --> 00:12:09.820]   And there's a safety training,
[00:12:09.820 --> 00:12:14.540]   and there's CPR training for any nursery leads
[00:12:14.540 --> 00:12:18.020]   in any of the three areas.
[00:12:18.020 --> 00:12:21.940]   They also have to renew their commitment every year,
[00:12:21.940 --> 00:12:23.140]   update their application,
[00:12:23.140 --> 00:12:25.260]   and re-sign the background authorization form,
[00:12:25.260 --> 00:12:29.000]   so that if at any time we feel like there's something weird,
[00:12:29.000 --> 00:12:30.200]   that we can back her up.
[00:12:30.200 --> 00:12:33.660]   Okay, so that's just a final thing.
[00:12:33.660 --> 00:12:36.740]   (audience laughing)
[00:12:36.740 --> 00:12:41.020]   And just for your personal, you know, peace of mind,
[00:12:41.020 --> 00:12:44.420]   all information is confidential, nothing is disclosed.
[00:12:44.420 --> 00:12:46.980]   Nobody knows what's on those,
[00:12:46.980 --> 00:12:48.980]   except for who needs to know those things,
[00:12:48.980 --> 00:12:52.100]   and usually, unless Officer Joe sees something like that,
[00:12:52.100 --> 00:12:54.460]   like, okay, this is a concern,
[00:12:54.460 --> 00:12:57.980]   then he will tell the proper pastor or leader to,
[00:12:57.980 --> 00:12:59.940]   you know, to do their own care.
[00:12:59.940 --> 00:13:03.220]   Okay, so I'm gonna go into the children's health
[00:13:03.220 --> 00:13:04.060]   and background form.
[00:13:04.060 --> 00:13:06.260]   So this is a form, or a questionnaire,
[00:13:06.260 --> 00:13:11.260]   that we have all students within our ministry,
[00:13:11.260 --> 00:13:13.100]   within our SOAR ministries, right,
[00:13:13.100 --> 00:13:15.500]   that's seeds, sprouts, and vines, fill out.
[00:13:15.500 --> 00:13:17.620]   And it must be filled out either electronically
[00:13:17.620 --> 00:13:19.820]   or in paper form, okay?
[00:13:19.820 --> 00:13:24.060]   I think for seeds, we have it all in Google Docs.
[00:13:24.060 --> 00:13:26.340]   (audience laughing)
[00:13:26.340 --> 00:13:28.420]   Well, we transitioned to that right now.
[00:13:28.420 --> 00:13:31.060]   So the only times that we have it in paper form
[00:13:31.060 --> 00:13:33.940]   for our students now is if they're a newcomer
[00:13:33.940 --> 00:13:35.820]   or they're just a one-time visitor.
[00:13:35.820 --> 00:13:39.260]   And so that's how we keep them now.
[00:13:39.260 --> 00:13:41.220]   Now, it's really important that we know
[00:13:41.220 --> 00:13:42.660]   what's in these forms specific.
[00:13:42.660 --> 00:13:44.940]   I know, at least to our ministry,
[00:13:44.940 --> 00:13:46.980]   a little bit more stringently than others,
[00:13:46.980 --> 00:13:48.380]   because we need to know, okay,
[00:13:48.380 --> 00:13:50.420]   do they have any kind of allergies, right,
[00:13:50.420 --> 00:13:52.060]   food restrictions that are tied to that,
[00:13:52.060 --> 00:13:54.300]   any type of medical conditions, you know,
[00:13:54.300 --> 00:13:57.180]   that they may have where they can't, you know,
[00:13:57.180 --> 00:13:59.020]   play on the ground, they might get in their head,
[00:13:59.020 --> 00:14:00.540]   it's not good for them.
[00:14:00.540 --> 00:14:02.460]   You know, any kind of diaper preferences,
[00:14:02.460 --> 00:14:03.740]   you know, or bathroom preferences.
[00:14:03.740 --> 00:14:06.900]   Some parents will not let our volunteers
[00:14:06.900 --> 00:14:08.500]   take their child to the bathroom, and that's okay,
[00:14:08.500 --> 00:14:09.500]   because that is their preference.
[00:14:09.500 --> 00:14:11.460]   You know, we want to respect that.
[00:14:11.460 --> 00:14:14.020]   We can have their contact info if we should.
[00:14:14.020 --> 00:14:16.540]   We need to let them know, you know, about an emergency
[00:14:16.540 --> 00:14:17.820]   or anything that might have cropped up
[00:14:17.820 --> 00:14:20.300]   that they would probably want to know about.
[00:14:20.300 --> 00:14:21.900]   And we want to also make sure that
[00:14:21.900 --> 00:14:23.060]   if there's any discipline issues,
[00:14:23.060 --> 00:14:25.540]   some parents like to deal with the discipline directly
[00:14:25.540 --> 00:14:29.300]   rather than have a teacher or one of our volunteers
[00:14:29.300 --> 00:14:31.340]   to do that, and that's perfectly fine.
[00:14:31.340 --> 00:14:33.380]   You know, each family has their way of, you know,
[00:14:33.380 --> 00:14:34.940]   raising their children, we want to respect that.
[00:14:34.940 --> 00:14:37.180]   So it's really important, and you're gonna hear me say,
[00:14:37.180 --> 00:14:38.900]   if you guys are volunteering for seats,
[00:14:38.900 --> 00:14:40.260]   you'll hear me say all the time,
[00:14:40.260 --> 00:14:42.820]   check the sticker on the back, does it say it's okay?
[00:14:42.820 --> 00:14:45.620]   Did you check to see if there's any type of allergy to meat
[00:14:45.620 --> 00:14:47.980]   or egg or peanut butter, all those things.
[00:14:47.980 --> 00:14:49.260]   We keep all that in mind,
[00:14:49.260 --> 00:14:51.740]   even when they sit down at snack time,
[00:14:51.740 --> 00:14:53.300]   so they're away from people that might have
[00:14:53.300 --> 00:14:55.300]   a peanut butter and jelly sandwich, right?
[00:14:55.300 --> 00:14:56.940]   'Cause some parents don't know, right?
[00:14:56.940 --> 00:15:01.420]   And then that happens, so something to consider.
[00:15:01.420 --> 00:15:02.940]   - And something, if you're babysitting,
[00:15:02.940 --> 00:15:04.020]   'cause I know there's a lot of people
[00:15:04.020 --> 00:15:06.700]   who are babysitting this time around,
[00:15:06.700 --> 00:15:09.780]   if you're there, you should probably ask the parents
[00:15:09.780 --> 00:15:13.780]   or whoever to have them pack their own snack,
[00:15:13.780 --> 00:15:15.420]   or have someone post on their Facebook
[00:15:15.420 --> 00:15:18.300]   to pack their own snack so that you don't have any issues
[00:15:18.300 --> 00:15:21.100]   with this, like, allergy, like, what they can or can't eat,
[00:15:21.100 --> 00:15:23.980]   just like, each child has their own, like, stuff.
[00:15:23.980 --> 00:15:28.700]   - So arrival and departure procedures
[00:15:28.700 --> 00:15:32.060]   for our seats ministry, which is our nursery ministry,
[00:15:32.060 --> 00:15:34.180]   we have everything by electronic stickers,
[00:15:34.180 --> 00:15:35.900]   so whenever you see the kids come in,
[00:15:35.900 --> 00:15:37.020]   or you see the kids running around,
[00:15:37.020 --> 00:15:39.020]   sometimes they'll have this big white sticker on the back,
[00:15:39.020 --> 00:15:40.660]   right, that's impossible to take off.
[00:15:40.660 --> 00:15:42.700]   I know parents have told me they've laundered it,
[00:15:42.700 --> 00:15:45.940]   and it's like forever, per box, stickers, right?
[00:15:45.940 --> 00:15:47.580]   But we have that for them, and then Sprouts,
[00:15:47.580 --> 00:15:49.180]   they actually have to physically sign in,
[00:15:49.180 --> 00:15:51.980]   their children have to sign their children out as well.
[00:15:51.980 --> 00:15:54.100]   We do make sure that we check to ensure
[00:15:54.100 --> 00:15:55.140]   that we have that information,
[00:15:55.140 --> 00:15:57.140]   Sarah is really vigilant about making sure
[00:15:57.140 --> 00:15:58.660]   if there are any parents that have been coming out
[00:15:58.660 --> 00:16:00.220]   for a while and we haven't filled that out,
[00:16:00.220 --> 00:16:01.580]   we need to make sure that that's filled out
[00:16:01.580 --> 00:16:04.580]   so we know how to care for the child.
[00:16:04.580 --> 00:16:07.900]   It's also important that children are only released, right?
[00:16:07.900 --> 00:16:10.420]   On the sticker you'll see at the absolute bottom,
[00:16:10.420 --> 00:16:13.540]   and you'll see on the sign in and out sheet for Sprouts,
[00:16:13.540 --> 00:16:15.980]   who the child can be released to.
[00:16:15.980 --> 00:16:18.260]   So we're pretty hyper-vigilant about that,
[00:16:18.260 --> 00:16:21.100]   I think the only time we allow our leader
[00:16:21.100 --> 00:16:23.180]   to take them to their parent is if it's taking
[00:16:23.180 --> 00:16:25.460]   a really long time, we don't know what's going on,
[00:16:25.460 --> 00:16:27.100]   and it's only the head person,
[00:16:27.100 --> 00:16:29.180]   so it would either be Melissa Long, or it would be Sarah
[00:16:29.180 --> 00:16:31.620]   that would take the child directly to their parent
[00:16:31.620 --> 00:16:32.980]   if something should happen.
[00:16:32.980 --> 00:16:37.060]   A security camera, so in case you guys don't know,
[00:16:37.060 --> 00:16:41.220]   we have security cameras in the main sanctuary,
[00:16:41.220 --> 00:16:43.380]   we have them, one's right behind you,
[00:16:43.380 --> 00:16:47.660]   we have them recording 24/7 in our church,
[00:16:47.660 --> 00:16:50.380]   because this kind of came from our old office
[00:16:50.380 --> 00:16:53.380]   that pretty much had an open door all the time,
[00:16:53.380 --> 00:16:54.900]   and then we found that there were some people
[00:16:54.900 --> 00:16:55.900]   that weren't attending their trip
[00:16:55.900 --> 00:16:57.940]   that were coming in to use our restroom, right?
[00:16:57.940 --> 00:16:59.660]   And then suddenly certain things would go missing,
[00:16:59.660 --> 00:17:01.940]   so we put those in place just to make sure
[00:17:01.940 --> 00:17:03.900]   there wasn't any kind of vandalism or theft,
[00:17:03.900 --> 00:17:06.620]   but also mainly for the safety and security
[00:17:06.620 --> 00:17:07.620]   of our children, right?
[00:17:07.620 --> 00:17:09.060]   So you'll see them in the main sanctuary
[00:17:09.060 --> 00:17:11.180]   and also in the ministry areas.
[00:17:11.180 --> 00:17:16.580]   And then the healthy childhood policies,
[00:17:16.580 --> 00:17:19.380]   so we have this posted actually at the front
[00:17:19.380 --> 00:17:22.980]   of each ministry welcome area,
[00:17:22.980 --> 00:17:24.980]   and we do that just to notify parents
[00:17:24.980 --> 00:17:27.520]   that should you see that your child is sick,
[00:17:27.520 --> 00:17:28.820]   that we will let them know,
[00:17:28.820 --> 00:17:32.340]   or just to abide by that policy in general.
[00:17:32.340 --> 00:17:34.460]   So we always say, we wanna make sure
[00:17:34.460 --> 00:17:35.780]   that we let them know,
[00:17:35.780 --> 00:17:38.220]   because sometimes they have a lot of kids,
[00:17:38.220 --> 00:17:41.140]   and they may not always know the exact health condition
[00:17:41.140 --> 00:17:43.100]   of each child they have, right?
[00:17:43.100 --> 00:17:46.260]   So sometimes, I know for us in SEEDS at least,
[00:17:46.260 --> 00:17:48.620]   we'll see a child that has really bad runny nose,
[00:17:48.620 --> 00:17:51.180]   and we're not sure, but we check with the parent
[00:17:51.180 --> 00:17:52.420]   and we'll text them or we'll call them,
[00:17:52.420 --> 00:17:54.140]   be like, "Hey, do you know if they're okay?"
[00:17:54.140 --> 00:17:55.140]   Sometimes they have no idea,
[00:17:55.140 --> 00:17:57.340]   or they just pop a fever in SEEDS.
[00:17:57.340 --> 00:17:58.280]   That's happened.
[00:17:58.280 --> 00:18:01.040]   Or suddenly their kid is laying on the floor napping,
[00:18:01.040 --> 00:18:03.400]   and then we realize later they had hand, foot, mouth, right?
[00:18:03.400 --> 00:18:05.160]   And so this stuff happens, right?
[00:18:05.160 --> 00:18:07.200]   We don't know what they interact with outside
[00:18:07.200 --> 00:18:10.000]   in their environment when they're in the playground,
[00:18:10.000 --> 00:18:11.520]   or when they're interacting at daycare,
[00:18:11.520 --> 00:18:12.560]   or whatever might be the case.
[00:18:12.560 --> 00:18:15.040]   So that's stuff that we want you to look out for,
[00:18:15.040 --> 00:18:16.160]   and we want you to be able,
[00:18:16.160 --> 00:18:18.720]   not to feel like you can't tell the parent,
[00:18:18.720 --> 00:18:20.920]   'cause you don't wanna disturb their worship.
[00:18:20.920 --> 00:18:21.880]   There's that element too,
[00:18:21.880 --> 00:18:24.240]   but they're also gonna wanna know if their child's sick.
[00:18:24.240 --> 00:18:25.680]   They're gonna be like, "I have to worship.
[00:18:25.680 --> 00:18:27.380]   "Please tell me my child's sick later."
[00:18:27.380 --> 00:18:28.220]   You know what I mean?
[00:18:28.220 --> 00:18:29.040]   They're gonna wanna know that.
[00:18:29.040 --> 00:18:31.900]   So it's really important that you keep an ear out for that,
[00:18:31.900 --> 00:18:33.580]   that you have an eye out,
[00:18:33.580 --> 00:18:36.780]   and that you inform the parents as soon as possible.
[00:18:36.780 --> 00:18:38.500]   - Yeah, and you want to make sure
[00:18:38.500 --> 00:18:41.820]   if there is like, really like they're sick,
[00:18:41.820 --> 00:18:44.620]   like whatever context you're in, babysitting, whatever,
[00:18:44.620 --> 00:18:46.060]   and you see if it is sick,
[00:18:46.060 --> 00:18:48.100]   you need to tell the parent,
[00:18:48.100 --> 00:18:51.700]   because you don't want to infect everyone else that's there.
