
[00:00:00.000 --> 00:00:07.360]   Good morning again, everybody.
[00:02:43.180 --> 00:02:46.080]   Will he never be favorable again?
[00:02:46.080 --> 00:02:48.880]   Has his loving kindness ceased forever?
[00:02:48.880 --> 00:02:51.580]   Has his promise come to an end forever?
[00:02:51.580 --> 00:02:54.280]   Has God forgotten to be gracious?
[00:02:54.280 --> 00:02:57.080]   Or has he in anger withdrawn his compassion?"
[00:02:57.080 --> 00:02:58.080]   Salah.
[00:02:58.080 --> 00:03:00.080]   That means to stop and think.
[00:03:00.080 --> 00:03:06.280]   Those are some really expressive words of the sentiment that within the midst of suffering,
[00:03:06.280 --> 00:03:14.080]   your feeling is, "God probably either forgot about me or he withdrew his grace."
[00:03:14.080 --> 00:03:15.880]   That's a sentiment.
[00:03:15.880 --> 00:03:17.280]   And then it changes to verse 10.
[00:03:17.280 --> 00:03:23.080]   "Then I said, 'It is actually my grief that the right hand of the Most High has changed.
[00:03:23.080 --> 00:03:25.180]   I shall remember the deeds of the Lord.
[00:03:25.180 --> 00:03:28.080]   Surely I will remember your wonders of old.
[00:03:28.080 --> 00:03:31.780]   I will meditate on all your work and muse on your deeds.
[00:03:31.780 --> 00:03:34.380]   Your way, O God, is holy.
[00:03:34.380 --> 00:03:36.380]   What God is great like our God?
[00:03:36.380 --> 00:03:38.780]   You are the God who works wonders.
[00:03:38.780 --> 00:03:41.480]   You have made known your strength among the peoples.
[00:03:41.480 --> 00:03:45.880]   You have by your power redeemed your people, the sons of Jacob and Joseph.'"
[00:03:45.880 --> 00:03:47.680]   Salah.
[00:03:47.680 --> 00:03:52.680]   The fact of the matter is, A, you're going to experience incredible amounts of suffering.
[00:03:52.680 --> 00:03:55.980]   And even those of you who have experienced incredible amount of blessing in your life,
[00:03:55.980 --> 00:04:01.680]   where perhaps you've never had to deal with physical ailment, sickness in the family,
[00:04:01.680 --> 00:04:07.080]   or even things like being poor and not having enough.
[00:04:07.080 --> 00:04:13.580]   Even then, many people will testify to the fact that the blessing of the Lord becomes painful to you.
[00:04:13.580 --> 00:04:14.480]   Let me say that again.
[00:04:14.480 --> 00:04:16.880]   The blessings of the earth, not the Lord.
[00:04:16.880 --> 00:04:19.380]   Earthly blessings.
[00:04:19.380 --> 00:04:21.380]   Having lots of money.
[00:04:21.380 --> 00:04:22.680]   Burdensome.
[00:04:22.680 --> 00:04:23.680]   Right?
[00:04:23.680 --> 00:04:25.380]   Having lots of popularity.
[00:04:25.380 --> 00:04:27.280]   Burdensome.
[00:04:27.280 --> 00:04:32.980]   Things in the world, it just tends to disappoint.
[00:04:32.980 --> 00:04:36.980]   It tends to hurt in some odd way.
[00:04:36.980 --> 00:04:38.680]   So that's one side.
[00:04:38.680 --> 00:04:42.480]   But here and now, the passage is saying, the author is saying,
[00:04:42.480 --> 00:04:46.880]   "But I am going to make sure that I don't lean on my experience."
[00:04:46.880 --> 00:04:50.380]   Oh, look at my extensive experience.
[00:04:50.380 --> 00:04:51.380]   I am hopeless.
[00:04:51.380 --> 00:04:52.480]   Those people are hopeless.
[00:04:52.480 --> 00:04:54.380]   Everything is going to be as it is.
[00:04:54.380 --> 00:04:56.680]   Everything is for naught.
[00:04:56.680 --> 00:05:01.780]   No. He says, "What I'm going to do in this midst of the suffering is going to look
[00:05:01.780 --> 00:05:05.280]   on the long history of God's great work."
[00:05:05.280 --> 00:05:10.680]   And so Christians, one of the practices we regularly have is we look back, right?
[00:05:10.680 --> 00:05:14.280]   We look back on the incredible works of God.
[00:05:14.280 --> 00:05:19.380]   Incredible works of God in drawing the nation of Egypt out, the Great Exodus.
[00:05:19.380 --> 00:05:23.380]   Incredible miracles of God to protect and to preserve.
[00:05:23.380 --> 00:05:28.580]   Incredible works of God to win battles, to raise nations, to destroy nations,
[00:05:28.580 --> 00:05:30.380]   to deliver and redeem.
[00:05:30.380 --> 00:05:36.580]   Incredible works of Jesus to heal, to even raise from the dead.
[00:05:36.580 --> 00:05:42.480]   Does that mean history was sanitized of all suffering and pain?
[00:05:42.480 --> 00:05:43.380]   No.
[00:05:43.380 --> 00:05:47.380]   Mankind's history has still been riddled with all sorts of pain and suffering.
[00:05:47.380 --> 00:05:49.280]   But what we're talking about is this.
[00:05:49.280 --> 00:05:52.580]   It's an issue of faith.
[00:05:52.580 --> 00:05:57.980]   It's an issue of faith to not use just my experiences, just my eyes, and to doubt
[00:05:57.980 --> 00:06:03.080]   whether God is there or not, but to believe with our hearts that God is still nevertheless
[00:06:03.080 --> 00:06:11.180]   absolutely powerful and that he is absolutely present with that power.
[00:06:11.180 --> 00:06:18.480]   You see, I think many of us have the temptation to wonder, look at our lives,
[00:06:18.480 --> 00:06:26.080]   and to conclude either God must not care or God must not be powerful enough.
[00:06:26.080 --> 00:06:30.780]   Today we're going to be looking at a specific example in the life of Christ,
[00:06:30.780 --> 00:06:38.280]   in a life in the history of mankind, where Christ has proven to be both.
[00:06:38.280 --> 00:06:43.880]   To be so compassionate, to be there in the immediate presence of the most pressing
[00:06:43.880 --> 00:06:51.080]   needs of mankind, but also to exhibit incredible power, proving himself to be worthy of all praise.
[00:06:51.080 --> 00:06:53.980]   So let's take a moment now to turn to Matthew chapter 8.
[00:06:53.980 --> 00:06:57.380]   Okay, Matthew chapter 8.
[00:06:57.380 --> 00:07:02.280]   And in Matthew chapter 8, verses 1 and down, what happens is Jesus,
[00:07:02.280 --> 00:07:06.780]   he just had a mass of people follow him, hearing his great authoritative preaching,
[00:07:06.780 --> 00:07:08.980]   famously called the Sermon on the Mount.
[00:07:08.980 --> 00:07:12.880]   As he's coming down from the mountain, various people approach him.
[00:07:12.880 --> 00:07:20.080]   A leper, a centurion gentile, Peter's mother-in-law, and Jesus miraculously heals them.
[00:07:20.080 --> 00:07:21.580]   Boom, boom, boom.
[00:07:21.580 --> 00:07:27.180]   Let's take a moment to start reading here in Matthew chapter 8, verses 1 through 4.
[00:07:27.180 --> 00:07:30.880]   When Jesus came down from the mountain, large crowds followed him,
[00:07:30.880 --> 00:07:33.980]   and a leper came to him and bowed down before him and said,
[00:07:33.980 --> 00:07:38.780]   "Lord, if you are willing, you can make me clean."
[00:07:38.780 --> 00:07:44.680]   Jesus stretched out his hand and touched him, saying, "I am willing, be cleansed."
[00:07:44.680 --> 00:07:47.380]   And immediately his leprosy was cleansed.
[00:07:47.380 --> 00:07:54.180]   And Jesus said to him, "See that you tell nobody, but go, show yourself to the priest,
[00:07:54.180 --> 00:07:58.580]   and present the offering that Moses commanded as a testimony to them."
[00:07:58.580 --> 00:08:01.580]   Let's take a moment to pray.
[00:08:01.580 --> 00:08:05.680]   Our Heavenly Father, we thank you, God.
[00:08:05.680 --> 00:08:09.280]   We know that you are powerful. You are the creator of the world.
[00:08:09.280 --> 00:08:16.980]   We know, Father God, that perhaps recreating a limb, perhaps making a man whole again,
[00:08:16.980 --> 00:08:19.180]   those are nothing for you.
[00:08:19.180 --> 00:08:22.780]   But we also thank you, God, that that power you exhibit, you say,
[00:08:22.780 --> 00:08:28.380]   the power that you exhibit in Christ, you exhibit towards us in our salvation,
[00:08:28.380 --> 00:08:34.780]   God, in the redemption of our souls, in the healing, Father God, for us for eternity.
[00:08:34.780 --> 00:08:36.080]   And so, Lord, we thank you.
[00:08:36.080 --> 00:08:40.480]   Right now, as we look upon your word, I pray that God, through your spirit,
[00:08:40.480 --> 00:08:43.380]   your word would work mightily within our minds and within our hearts.
[00:08:43.380 --> 00:08:46.780]   We thank you in Christ's name. Amen.
[00:08:46.780 --> 00:08:51.880]   So, we read that short four verses, and as I was studying the passage,
[00:08:51.880 --> 00:08:56.980]   I just, at one moment, just prayed, like, "God, I wish you would have wrote more."
[00:08:56.980 --> 00:08:59.980]   This is an incredible story.
[00:08:59.980 --> 00:09:07.780]   We believe Jesus, with a touch and word, made a man who was so sickly,
[00:09:07.780 --> 00:09:12.180]   disease-infested, instantaneously clean.
[00:09:12.180 --> 00:09:13.880]   We believe that.
[00:09:13.880 --> 00:09:16.880]   We believe in the power of Christ. Amen.
[00:09:16.880 --> 00:09:21.980]   The world will be like, "Okay. Right? Sure.
[00:09:21.980 --> 00:09:25.280]   What else does he have to help me in my life?" Right?
[00:09:25.280 --> 00:09:30.980]   But what we're doing is camping down and realizing Christ exhibited such power
[00:09:30.980 --> 00:09:34.880]   that all he had to do was, again, in one short phrase,
[00:09:34.880 --> 00:09:38.380]   he touched him and he healed him. That was it.
[00:09:38.380 --> 00:09:41.980]   But what we're going to learn from this whole scenario is to look
[00:09:41.980 --> 00:09:46.180]   at the faith of the leper who believed in that power. Right?
[00:09:46.180 --> 00:09:50.580]   We're going to dissect and see the leper who came, approached Jesus,
[00:09:50.580 --> 00:09:54.180]   requested and asked and humbled himself before the Lord,
[00:09:54.180 --> 00:09:58.780]   what is contained in his mind and his heart that he would come to the Lord in this fashion?
[00:09:58.780 --> 00:10:04.280]   That's the question. What faith of the man who is the leper?
[00:10:04.280 --> 00:10:09.980]   Now, we've been doing this study in the book of Hebrews, talking about great faith.
[00:10:09.980 --> 00:10:14.480]   And we said that this faith that the people had, it wasn't just an intellectual assent.
[00:10:14.480 --> 00:10:19.280]   It was substantive. Right? It was substantive.
[00:10:19.280 --> 00:10:24.280]   The things that are unseen, exhibited in the faith of those godly individuals.
[00:10:24.280 --> 00:10:27.280]   And today, it's just kind of a mini version of that.
[00:10:27.280 --> 00:10:30.080]   And the individual here in Matthew chapter 8.
[00:10:30.080 --> 00:10:32.980]   The very first point I have for you then is this.
[00:10:32.980 --> 00:10:36.480]   This leper clearly believed the power of Christ
[00:10:36.480 --> 00:10:40.680]   and therefore risked great public shame. Okay?
[00:10:40.680 --> 00:10:45.880]   He clearly believed in the power of Christ and that's why he risked great public shame.
[00:10:45.880 --> 00:10:52.280]   The passage just simply starts with such a mundane way of saying the leper came and he bowed before him. Right?
[00:10:52.280 --> 00:10:59.180]   But in the other corollary passages, this story is recorded in both the Gospel of Mark and Luke as well.
[00:10:59.180 --> 00:11:02.080]   In the Gospel of Luke, the author describes it and says,
[00:11:02.080 --> 00:11:07.280]   "Behold, there was a man covered in leprosy."
[00:11:07.280 --> 00:11:08.980]   A little bit more descriptive.
[00:11:08.980 --> 00:11:13.380]   But you notice how there is that kind of almost superfluous way of saying,
[00:11:13.380 --> 00:11:15.480]   "Behold!" Right? Getting your attention.
[00:11:15.480 --> 00:11:18.280]   And rightly so. Why?
[00:11:18.280 --> 00:11:23.780]   Because a leper would never come into the crowd.
[00:11:23.780 --> 00:11:30.080]   You see, back in the old day, the leper had no authority,
[00:11:30.080 --> 00:11:36.280]   had no right, and actually a legal prohibition for him to enter into the crowd.
[00:11:36.280 --> 00:11:41.180]   When we study this passage, I hope you can do the whole mental picture with me.
[00:11:41.180 --> 00:11:44.680]   We said earlier that Jesus was teaching on the mount and there was a crowd.
[00:11:44.680 --> 00:11:46.980]   How big was that crowd?
[00:11:46.980 --> 00:11:52.280]   What it says earlier, prior to Matthew chapter 5, when the story begins of his discourse,
[00:11:52.280 --> 00:11:56.480]   is that people from regions all around came to him.
[00:11:56.480 --> 00:12:00.580]   So when we see a crowd like this for us, having a group this size is already big.
[00:12:00.580 --> 00:12:02.380]   This is about a hundred people in the room.
[00:12:02.380 --> 00:12:06.780]   Before pandemic, this room held 400 people. That was big.
[00:12:06.780 --> 00:12:10.580]   I mean, at that point, you couldn't even know the names of the people in the room.
[00:12:10.580 --> 00:12:14.880]   But when you think about scenarios like that, that was a hundredfold more than that.
[00:12:14.880 --> 00:12:18.780]   It was not uncommon for Jesus to feed. Remember the 5,000?
[00:12:18.780 --> 00:12:23.880]   It was not uncommon for Jesus to teach in masses well over 5,000 people,
[00:12:23.880 --> 00:12:27.780]   including if there were male, female, and even children.
[00:12:27.780 --> 00:12:30.080]   So you're talking about a massive group of people.
[00:12:30.080 --> 00:12:33.280]   And remember, there was such a stir.
[00:12:33.280 --> 00:12:35.780]   This could be the Messiah.
[00:12:35.780 --> 00:12:38.980]   We're talking about a huge group of people.
[00:12:38.980 --> 00:12:41.980]   So picture that, a massive group of people moving together,
[00:12:41.980 --> 00:12:45.480]   following Jesus as he's coming down the mountain.
[00:12:45.480 --> 00:12:47.980]   And the leper comes.
[00:12:47.980 --> 00:12:50.880]   I mean, I'm going to right now try to describe to you what the leper is,
[00:12:50.880 --> 00:12:53.180]   but right now we're in the middle of COVID.
[00:12:53.180 --> 00:12:57.380]   Imagine back in March when you started hearing of there was a disease
[00:12:57.380 --> 00:13:03.480]   that was spreading in China, in Wuhan, and people were dropping.
[00:13:03.480 --> 00:13:08.480]   There were stories and rumors of people having fever, coughs.
[00:13:08.480 --> 00:13:10.780]   Can you imagine being the individual?
[00:13:10.780 --> 00:13:14.780]   I'm from Wuhan. I have a severe fever.
[00:13:14.780 --> 00:13:19.180]   I have some symptoms of heavy coughing, heavy breathing.
[00:13:19.180 --> 00:13:21.080]   You couldn't force people to come near you.
[00:13:21.080 --> 00:13:23.780]   People would just run, okay?
[00:13:23.780 --> 00:13:25.680]   In many ways, that's how it was.
[00:13:25.680 --> 00:13:33.380]   For a leper, a leper was an individual so distinctly riddled with disease.
[00:13:33.380 --> 00:13:36.680]   The passage says he was covered in leprosy.
[00:13:36.680 --> 00:13:40.380]   Well, if you don't know, leprosy, the term itself,
[00:13:40.380 --> 00:13:43.580]   both in the Hebrew and the Greek, means scaly.
[00:13:43.580 --> 00:13:47.380]   Why? Because this disease attacked the flesh.
[00:13:47.380 --> 00:13:51.280]   People would have ulcers, boils, and sores.
[00:13:51.280 --> 00:13:52.780]   It would be discolored.
[00:13:52.780 --> 00:13:58.680]   Your skin on the face would look scaly like it was that of a reptile almost.
[00:13:58.680 --> 00:14:02.980]   I looked it up on Google and then regretted it, right?
[00:14:02.980 --> 00:14:04.780]   I was tempted to show you.
[00:14:04.780 --> 00:14:06.780]   I'm going to leave it to you.
[00:14:06.780 --> 00:14:08.980]   Go look it up sometime.
[00:14:08.980 --> 00:14:14.680]   The thing about it is, yes, I just, I'm thinking about it in terms of the devastation,
[00:14:14.680 --> 00:14:17.480]   but right now it's not common. You don't see it.
[00:14:17.480 --> 00:14:21.180]   But it is present in some of the more rural areas in certain countries.
[00:14:21.180 --> 00:14:23.880]   In the Philippines, there are cases.
[00:14:23.880 --> 00:14:25.580]   In India, there are cases.
[00:14:25.580 --> 00:14:28.780]   Right now, the cases are a lot lower, but it's still going on.
[00:14:28.780 --> 00:14:34.080]   And the thing about it is, in those scenarios, it is so difficult to treat
[00:14:34.080 --> 00:14:36.480]   because this disease affects every part of you.
[00:14:36.480 --> 00:14:37.880]   Let me go on.
[00:14:37.880 --> 00:14:40.280]   This disease not only affects the skin,
[00:14:40.280 --> 00:14:44.480]   it attacks the nervous system so that you cannot feel.
[00:14:44.480 --> 00:14:48.180]   And this disease was called the disease that mimics everything.
[00:14:48.180 --> 00:14:49.380]   Why?
[00:14:49.380 --> 00:14:54.480]   Because it's not so much that it had this kind of infection and bacteria like everything else,
[00:14:54.480 --> 00:14:56.980]   but what it is, is if you get a cut,
[00:14:56.980 --> 00:15:00.080]   can you imagine getting a cut and not being able to feel it?
[00:15:00.080 --> 00:15:03.180]   You would get infections because you wouldn't be able to treat it.
[00:15:03.180 --> 00:15:04.980]   Can you imagine not being able to feel?
[00:15:04.980 --> 00:15:08.580]   If you're using a tool and that tool is ripping into your skin,
[00:15:08.580 --> 00:15:10.380]   not being able to feel it?
[00:15:10.380 --> 00:15:12.680]   If you had certain pains, not being able to feel it?
[00:15:12.680 --> 00:15:16.680]   And so people would literally rub away certain parts of their skin
[00:15:16.680 --> 00:15:19.380]   because they couldn't feel it.
[00:15:19.380 --> 00:15:21.280]   It attacked the nervous system and the tendons
[00:15:21.280 --> 00:15:24.880]   so that your fingers and your extremities would be drawn in
[00:15:24.880 --> 00:15:28.580]   and people would have essentially claw-like hands.
[00:15:28.580 --> 00:15:30.480]   It would attack your bones and it would become brittle
[00:15:30.480 --> 00:15:37.880]   and individuals would lose pieces of their, again, their fingers and their toes.
[00:15:37.880 --> 00:15:42.580]   There's a lot of picture of people who have lost their noses, their ears.
[00:15:42.580 --> 00:15:46.980]   This would also attack the eyes and so many individuals after years would die of,
[00:15:46.980 --> 00:15:48.580]   I'm sorry, would go blind.
[00:15:48.580 --> 00:15:50.380]   It would attack the vocal cords.
[00:15:50.380 --> 00:15:53.880]   And so a long time ago there was this movie with Charlton Heston
[00:15:53.880 --> 00:15:55.480]   on Ten Commandments or even Ben-Hur.
[00:15:55.480 --> 00:15:58.280]   And within those movies there are people with leprosy
[00:15:58.280 --> 00:16:01.780]   and they would always have this incredibly raspy voice.
[00:16:01.780 --> 00:16:05.280]   That was because the disease would ravish their vocal cords.
[00:16:05.280 --> 00:16:08.280]   Why am I describing all of this to you?
[00:16:08.280 --> 00:16:14.780]   Because when the passage says, "Behold, there was a man covered in leprosy,"
[00:16:14.780 --> 00:16:23.180]   this individual was distinctly, apparently, obviously, to the naked eye, diseased.
[00:16:23.180 --> 00:16:28.280]   And to go beyond that, lepers were given these clothes that they would wear
[00:16:28.280 --> 00:16:31.380]   and they would have to yell out, "Unclean, unclean!"
[00:16:31.380 --> 00:16:36.580]   Did you know that the law within both tradition
[00:16:36.580 --> 00:16:40.380]   required a certain amount of distance between an individual and a leper?
[00:16:40.380 --> 00:16:42.280]   A leper had to keep that distance.
[00:16:42.280 --> 00:16:44.080]   And what's interesting, over tradition and time,
[00:16:44.080 --> 00:16:48.080]   they said a leper had to keep minimum six feet distance.
[00:16:48.080 --> 00:16:50.480]   So 1.2 meters, right?
[00:16:50.480 --> 00:16:53.680]   They had to. They had to keep that distance.
[00:16:53.680 --> 00:16:59.080]   And so what I'm saying is, you don't even almost have to say "Behold,"
[00:16:59.080 --> 00:17:03.480]   because in a massive crowd, to say that this man was a sticking-out sore thumb
[00:17:03.480 --> 00:17:05.880]   would be an understatement.
[00:17:05.880 --> 00:17:09.580]   You would imagine then the crowd moving and this individual coming to Jesus,
[00:17:09.580 --> 00:17:13.980]   and most likely the crowd would be like, "What are you doing?"
[00:17:13.980 --> 00:17:16.280]   I would imagine this certain individual saying,
[00:17:16.280 --> 00:17:21.880]   "No, there's other people who need to be healed. You stay back over there."
[00:17:21.880 --> 00:17:28.380]   When I say that this individual, because he believed Christ to be powerful enough to help him,
[00:17:28.380 --> 00:17:31.380]   he risked it all. He truly did.
[00:17:31.380 --> 00:17:35.180]   Because not only did he risk the shame of everybody saying, "Look at that leper!
[00:17:35.180 --> 00:17:37.980]   Watch out, watch out, watch out! Pulling the kids back!"
[00:17:37.980 --> 00:17:42.180]   You can imagine this. "Pulling the kids back! Don't go near him! Cover your mouth!"
[00:17:42.180 --> 00:17:44.980]   Did you know that they believed, and it was proven to be true,
[00:17:44.980 --> 00:17:49.380]   that leprosy was transmitted through droplets from the mouth and from the nose?
[00:17:49.380 --> 00:17:54.580]   And so they had this thing, you had to keep all distance.
[00:17:54.580 --> 00:17:58.780]   This individual risked everything because he was in risk of breaking the law.
[00:17:58.780 --> 00:18:03.380]   This individual risked everything because he was actually in risk of being stoned to death.
[00:18:03.380 --> 00:18:10.080]   Tradition had it that if you see a leper out of his place, walking down the street,
[00:18:10.080 --> 00:18:14.580]   you essentially had an unwritten code, you could stone him.
[00:18:14.580 --> 00:18:19.780]   And sadly to say, some of the first people to throw the first stone would be the priests,
[00:18:19.780 --> 00:18:23.480]   to show that person is unclean.
[00:18:23.480 --> 00:18:26.880]   You could see why that by the description of what leprosy is,
[00:18:26.880 --> 00:18:30.280]   it was used as a depiction of sin.
[00:18:30.280 --> 00:18:35.180]   That it desensitized you, that it killed you outside, inside.
[00:18:35.180 --> 00:18:40.880]   And biblically speaking, it caused you to be ceremonially unclean.
[00:18:40.880 --> 00:18:47.480]   This individual was radically dejected from the society.
[00:18:47.480 --> 00:18:55.780]   Why do I bring this stuff up? It's because all of this was obvious to everybody.
[00:18:55.780 --> 00:19:00.980]   But it required the faith that Christ could do something for him to come out.
[00:19:00.980 --> 00:19:06.280]   For him to not try to some in meager way to save face.
[00:19:06.280 --> 00:19:11.280]   Let me quickly turn it to us, sometimes our perpetual desire to save face
[00:19:11.280 --> 00:19:15.980]   prevents us from experiencing the power of God.
[00:19:15.980 --> 00:19:23.680]   Our feeble attempt to somehow self-preserve prevents us from going to the Lord, to draw near.
[00:19:23.680 --> 00:19:27.280]   You know Christ has come, you know he's drawn near,
[00:19:27.280 --> 00:19:31.180]   you know that he desires for all to come to him.
[00:19:31.180 --> 00:19:36.780]   But if this leper wallowed in the, "I am rejected by society, I know I am unclean,
[00:19:36.780 --> 00:19:40.480]   I know I am filthy, I know I am diseased,"
[00:19:40.480 --> 00:19:43.180]   then he would have just stayed in his camp.
[00:19:43.180 --> 00:19:45.980]   But my guess is if you picture the scene,
[00:19:45.980 --> 00:19:49.280]   maybe he was hiding out on the side of the crowds,
[00:19:49.280 --> 00:19:52.680]   maybe he was hiding behind a structure or a bush,
[00:19:52.680 --> 00:19:59.580]   I am guessing he heard the authoritative preaching of Jesus and said, "That man has power."
[00:19:59.580 --> 00:20:01.380]   He believed it.
[00:20:01.380 --> 00:20:09.180]   That would be the only rational line and reason for him to go and risk all of that,
[00:20:09.180 --> 00:20:13.180]   potentially being stoned by even the religious leaders.
[00:20:13.180 --> 00:20:15.680]   Now moving forward then to number two,
[00:20:15.680 --> 00:20:21.980]   the leper believed in the power of Christ and therefore humbled himself to worship.
[00:20:21.980 --> 00:20:25.180]   He believed, he must have believed in the power of Christ,
[00:20:25.180 --> 00:20:28.680]   because look at the way he worshipped.
[00:20:28.680 --> 00:20:34.680]   It says that the leper came and he bowed himself down before Jesus, right?
[00:20:34.680 --> 00:20:37.380]   That word for bow down is proskuneo.
[00:20:37.380 --> 00:20:42.380]   As you guys know, Greek, very just extensive language, has multiple terms.
[00:20:42.380 --> 00:20:45.580]   There's lots of terms for worship, adoration, and praise,
[00:20:45.580 --> 00:20:48.080]   but this specific term, if you've heard it before,
[00:20:48.080 --> 00:20:52.180]   proskuneo means to prostrate oneself, which means to bring low.
[00:20:52.180 --> 00:20:57.480]   So Mark chapter 1 verse 40, it says that he fell on his knees.
[00:20:57.480 --> 00:21:01.080]   Luke chapter 5, it says he fell to his face.
[00:21:01.080 --> 00:21:06.080]   The common practice of the day was that when you find somebody who is superior to you,
[00:21:06.080 --> 00:21:11.880]   you would come and then you would lower yourself and put your forehead to the ground.
[00:21:11.880 --> 00:21:16.280]   It is an act of saying, "I am unworthy to look at you in this fashion."
[00:21:16.280 --> 00:21:17.780]   This was an act of worship.
[00:21:17.780 --> 00:21:22.080]   Proskuneo was used predominantly as a means to show adoration.
[00:21:22.080 --> 00:21:27.580]   The way that it's used commonly is to actually like interpret it in another,
[00:21:27.580 --> 00:21:31.080]   I guess translate it in other works of literature, is to send a kiss.
[00:21:31.080 --> 00:21:37.580]   Not a romance, okay, it's not blowing a kiss, but like a kiss of homage.
[00:21:37.580 --> 00:21:40.780]   If I can paint a picture for you, sort of movie analogy.
[00:21:40.780 --> 00:21:45.280]   Have you guys seen those Italian mobster movies?
[00:21:45.280 --> 00:21:46.880]   You know what happens?
[00:21:46.880 --> 00:21:50.080]   It's the Don, right, Don Corleone.
[00:21:50.080 --> 00:21:51.880]   He comes and all he does is extend his hand.
[00:21:51.880 --> 00:21:53.680]   What do the people do?
[00:21:53.680 --> 00:21:57.780]   You've got grown men who lean down and, you know.
[00:21:57.780 --> 00:22:01.680]   Have you guys ever done that to somebody?
[00:22:01.680 --> 00:22:05.580]   If you've ever done that to anybody, that person receiving it would probably be like,
[00:22:05.580 --> 00:22:07.780]   "What are you doing? You mocking me?"
[00:22:07.780 --> 00:22:12.880]   Because it's so outlandish, it's so expressive in its show of homage.
[00:22:12.880 --> 00:22:16.080]   Back then when there was such hierarchy, people did that.
[00:22:16.080 --> 00:22:17.380]   But imagine this.
[00:22:17.380 --> 00:22:19.180]   It's not even a bow to kiss the hand.
[00:22:19.180 --> 00:22:25.880]   Now it's, "I'm going to go all the way down, falling on his face."
[00:22:25.880 --> 00:22:27.680]   What am I talking about here?
[00:22:27.680 --> 00:22:30.780]   Look at the leper's faith.
[00:22:30.780 --> 00:22:32.680]   He recognizes his inferiority.
[00:22:32.680 --> 00:22:38.280]   He recognizes Jesus' superiority and he goes down to the floor.
[00:22:38.280 --> 00:22:39.580]   Right?
[00:22:39.580 --> 00:22:42.080]   Contrast that.
[00:22:42.080 --> 00:22:46.280]   Contrast that with what the common day thought was about Jesus.
