
[00:00:00.000 --> 00:00:02.000]   (Applause)
[00:02:45.500 --> 00:02:49.500]   "I will lift up my eyes to the mountains,
[00:02:49.500 --> 00:02:52.000]   from where shall my help come?
[00:02:52.000 --> 00:02:55.500]   My help comes from the Lord, who made heaven and earth.
[00:02:55.500 --> 00:02:57.500]   He will not allow your foot to slip.
[00:02:57.500 --> 00:02:59.500]   He who keeps you will not slumber.
[00:02:59.500 --> 00:03:05.500]   Behold, he who keeps Israel will neither slumber nor sleep.
[00:03:05.500 --> 00:03:06.500]   The Lord is your keeper.
[00:03:06.500 --> 00:03:09.500]   The Lord is your shade on your right hand.
[00:03:09.500 --> 00:03:13.000]   The sun will not smite you by day, nor the moon by night.
[00:03:13.000 --> 00:03:16.000]   The Lord will protect you from all evil.
[00:03:16.000 --> 00:03:17.500]   He will keep your soul.
[00:03:17.500 --> 00:03:20.500]   The Lord will guard your going out and your coming in.
[00:03:20.500 --> 00:03:24.500]   From this time forth and forever."
[00:03:24.500 --> 00:03:27.500]   Let's pray for the Lord's blessing on our time.
[00:03:27.500 --> 00:03:34.000]   Heavenly Father, we want to thank you so much, God.
[00:03:34.000 --> 00:03:38.500]   Lord, we do see our time of worship as precious to us,
[00:03:38.500 --> 00:03:42.500]   but such a privilege to come to give you worship that you deserve.
[00:03:42.500 --> 00:03:46.500]   And we ask God, first and foremost, Lord, that you be pleased.
[00:03:46.500 --> 00:03:49.500]   God, we pray that you would grant us
[00:03:49.500 --> 00:03:53.000]   the sense of minds and humble hearts to listen and apply.
[00:03:53.000 --> 00:03:57.000]   And God, by having faith, it would be manifested into our lives.
[00:03:57.000 --> 00:03:59.500]   And by having faith into your word,
[00:03:59.500 --> 00:04:02.500]   it would be saturated and applied, Lord God,
[00:04:02.500 --> 00:04:05.000]   into our weeks and our lives, Lord.
[00:04:05.000 --> 00:04:07.000]   So we pray, Father God, for fruit.
[00:04:07.000 --> 00:04:08.500]   We pray for the working of your Spirit.
[00:04:08.500 --> 00:04:11.500]   It's in Christ's name we pray. Amen.
[00:04:11.500 --> 00:04:19.000]   When we read this psalm, the very first verse of the psalm says,
[00:04:19.000 --> 00:04:22.500]   "I will lift up my eyes to the mountains."
[00:04:22.500 --> 00:04:25.500]   Now, if I can give you guys a little bit of a backdrop,
[00:04:25.500 --> 00:04:28.500]   the psalms are called "Songs of Ascent"
[00:04:28.500 --> 00:04:33.000]   because they believe that the tribe, the nation, so to speak,
[00:04:33.000 --> 00:04:36.000]   was moving towards Jerusalem.
[00:04:36.000 --> 00:04:38.500]   So actually, physically, they were going from lowlands
[00:04:38.500 --> 00:04:40.000]   up into the mountain, Mount Zion.
[00:04:40.000 --> 00:04:44.000]   And in their journey, in their trek, they would sing these songs.
[00:04:44.000 --> 00:04:47.000]   But interestingly enough, the content of the songs would also move.
[00:04:47.000 --> 00:04:49.000]   It would move up.
[00:04:49.000 --> 00:04:52.500]   It would move from, a lot of times, a cry in despair.
[00:04:52.500 --> 00:04:54.500]   "I am troubled!"
[00:04:54.500 --> 00:04:57.500]   If you look at the first verse of chapter 120, it says,
[00:04:57.500 --> 00:05:00.000]   "In my trouble I cried out to the Lord."
[00:05:00.000 --> 00:05:01.500]   It begins that way.
[00:05:01.500 --> 00:05:05.000]   And if you notice, even in this psalm, it will start moving
[00:05:05.000 --> 00:05:06.500]   from one thought to the next,
[00:05:06.500 --> 00:05:10.000]   and it will build, ascending eventually to a praise
[00:05:10.000 --> 00:05:13.000]   and worshiping of the Lord.
[00:05:13.000 --> 00:05:15.500]   So just picture with me this psalm
[00:05:15.500 --> 00:05:21.500]   coming from a group of people who are moving and traveling in tents.
[00:05:21.500 --> 00:05:23.500]   And a lot of times, if you're moving and traveling
[00:05:23.500 --> 00:05:26.000]   and you're resting for the night, what ends up happening is this.
[00:05:26.000 --> 00:05:29.500]   You want to rest on high ground. Why? Because that's advantageous for you.
[00:05:29.500 --> 00:05:32.000]   You've got the bandits, you've got the valley,
[00:05:32.000 --> 00:05:35.000]   which is just so susceptible to any kind of raiding,
[00:05:35.000 --> 00:05:38.500]   whereas the mountaintops, it kind of provides a natural protection.
[00:05:38.500 --> 00:05:41.500]   And so, naturally, he says, in a time of need,
[00:05:41.500 --> 00:05:46.000]   as he says he's in trouble, he'll look up to the mountains.
[00:05:46.000 --> 00:05:48.000]   He'll look up.
[00:05:48.000 --> 00:05:51.500]   Interestingly enough, I want to, just from the very beginning,
[00:05:51.500 --> 00:05:54.000]   ask you a question.
[00:05:54.000 --> 00:05:57.500]   Are you guys looking for help?
[00:05:57.500 --> 00:05:59.500]   Are you guys even looking for help?
[00:05:59.500 --> 00:06:01.500]   What do I mean by that?
[00:06:01.500 --> 00:06:04.500]   You know, there are people who recognize that they need help in life,
[00:06:04.500 --> 00:06:07.000]   whether it be physical, whether it be daily needs,
[00:06:07.000 --> 00:06:09.000]   things that are common to every single individual,
[00:06:09.000 --> 00:06:12.000]   difficulties in life, but there are also spiritual needs
[00:06:12.000 --> 00:06:16.000]   and there are needs that are very, very severe.
[00:06:16.000 --> 00:06:21.000]   But oftentimes, we just have an extreme difficulty asking for help.
[00:06:21.000 --> 00:06:24.000]   And if you guys remember my previous sermon,
[00:06:24.000 --> 00:06:30.000]   I preached on a leper who was humble and knew that he was in a devastating position.
[00:06:30.000 --> 00:06:33.000]   And he asked for help. Why? Because he realized he needed it.
[00:06:33.000 --> 00:06:37.500]   Whereas an individual, perhaps like myself and perhaps in this generation,
[00:06:37.500 --> 00:06:43.000]   our self-confidence and self-dependence is just too prevalent.
[00:06:43.000 --> 00:06:46.000]   Because in all honesty, when I read the Psalms,
[00:06:46.000 --> 00:06:48.500]   I read of King David who's crying out to God,
[00:06:48.500 --> 00:06:53.000]   "Lord, there are enemies against me surrounding the nation.
[00:06:53.000 --> 00:06:56.000]   Their arrows and their spears are ready to attack."
[00:06:56.000 --> 00:07:00.000]   And I'm reading that and I'm like, "I don't relate to that.
[00:07:00.000 --> 00:07:04.000]   I don't feel like enemies are against me."
[00:07:04.000 --> 00:07:06.500]   And in terms of asking for help because they're traveling,
[00:07:06.500 --> 00:07:11.000]   they want help from the sun or help just in, you know, I don't know.
[00:07:11.000 --> 00:07:14.000]   It just seems too trivial to ask for God.
[00:07:14.000 --> 00:07:17.500]   Like, I'm not going to ask God for help because it's raining.
[00:07:17.500 --> 00:07:19.500]   Like, get an umbrella.
[00:07:19.500 --> 00:07:23.500]   I'm not going to ask God for help because I just need to eat today.
[00:07:23.500 --> 00:07:28.000]   You know? I just need to go and pop something in the microwave.
[00:07:28.000 --> 00:07:32.500]   Sometimes it's just either things seem too trivial
[00:07:32.500 --> 00:07:36.000]   or at other times, if it's because of my failure,
[00:07:36.000 --> 00:07:38.500]   I'm just too prideful to ask.
[00:07:38.500 --> 00:07:42.000]   For example, if I'm having difficulty reading the Bible,
[00:07:42.000 --> 00:07:45.500]   do you guys feel the need to ask God for help for that?
[00:07:45.500 --> 00:07:48.500]   In all honesty, if you're having difficulty with your daily devotion
[00:07:48.500 --> 00:07:50.500]   and daily giving of worship to God,
[00:07:50.500 --> 00:07:52.000]   would you ask God for help for that?
[00:07:52.000 --> 00:07:57.500]   When was the last time you asked for help in that kind of honest manner?
[00:07:57.500 --> 00:08:02.500]   My first question really is, in our generation, are you even looking for help?
[00:08:02.500 --> 00:08:06.500]   And when you are looking for help, where are you looking now?
[00:08:06.500 --> 00:08:10.000]   Are you looking up to the mountains and the general things that people generally look for?
[00:08:10.000 --> 00:08:12.000]   Because for us, generally it's this.
[00:08:12.000 --> 00:08:14.500]   I'm in some kind of frustrating bind,
[00:08:14.500 --> 00:08:18.000]   whether because I need financial money, financial struggles.
[00:08:18.000 --> 00:08:19.500]   I'm in some kind of help.
[00:08:19.500 --> 00:08:24.500]   Generally, we think the more set our life is in terms of pattern and finances,
[00:08:24.500 --> 00:08:26.000]   the better it will be.
[00:08:26.000 --> 00:08:29.500]   My question to you this morning, are you even looking for help?
[00:08:29.500 --> 00:08:34.500]   And if you are, where are you looking for that help?
[00:08:34.500 --> 00:08:38.500]   We read on here and it says this.
[00:08:38.500 --> 00:08:43.500]   "I will lift up my eyes to the mountains, from where shall my help come?"
[00:08:43.500 --> 00:08:46.000]   He's not really asking, like he doesn't know.
[00:08:46.000 --> 00:08:49.000]   Like, "Oh no, who's going to help me?"
[00:08:49.000 --> 00:08:51.500]   He's asking to make a point.
[00:08:51.500 --> 00:08:53.500]   And the point is this.
[00:08:53.500 --> 00:08:58.500]   "My help comes from the Lord who made heaven and earth."
[00:08:58.500 --> 00:09:00.500]   Do we look all over the world?
[00:09:00.500 --> 00:09:02.500]   Do we look all over to our family and friends?
[00:09:02.500 --> 00:09:06.500]   Do we look to a particular individual to help us?
[00:09:06.500 --> 00:09:10.500]   Or do we look to the Lord, believing He is fully capable
[00:09:10.500 --> 00:09:14.500]   and fully powerful enough to help you?
[00:09:14.500 --> 00:09:18.500]   Regardless of whether it's physical.
[00:09:18.500 --> 00:09:20.500]   There's nothing wrong with the Christian
[00:09:20.500 --> 00:09:25.500]   who finds himself in some kind of common bind or difficult situation,
[00:09:25.500 --> 00:09:27.500]   whether it be financial, health related, whatever,
[00:09:27.500 --> 00:09:31.500]   and seeking God's strength in that time.
[00:09:31.500 --> 00:09:33.500]   But I hope we're not doing that only then,
[00:09:33.500 --> 00:09:35.500]   but we're asking the Lord's help in every situation,
[00:09:35.500 --> 00:09:38.500]   whether it be your spiritual life, daily disciplines,
[00:09:38.500 --> 00:09:41.500]   or your own sins and struggles.
[00:09:41.500 --> 00:09:43.500]   But the first question we have to ask is,
[00:09:43.500 --> 00:09:46.500]   do we really believe God is capable to meet those needs?
[00:09:46.500 --> 00:09:49.500]   Because if we believed it, perhaps we would be going more often
[00:09:49.500 --> 00:09:54.500]   and more frequently and more fervently at the feet of the Lord.
[00:09:54.500 --> 00:09:57.500]   And so the psalmist is going to describe for us
[00:09:57.500 --> 00:09:59.500]   and answer that question,
[00:09:59.500 --> 00:10:01.500]   is the Lord capable?
[00:10:01.500 --> 00:10:05.500]   Is the Lord sufficient to meet all of those needs?
[00:10:05.500 --> 00:10:07.500]   And the very first thing he says is this,
[00:10:07.500 --> 00:10:12.500]   "My help comes from the Lord, who made the heaven and the earth."
[00:10:12.500 --> 00:10:17.500]   You want to know whether God is capable of meeting your needs?
[00:10:17.500 --> 00:10:21.500]   Let me remind you of the fact that God created the heavens and the earth.
[00:10:21.500 --> 00:10:23.500]   You know, Jesus Christ in His earthly ministry,
[00:10:23.500 --> 00:10:26.500]   if you remember, He was somewhat frustrated with people.
[00:10:26.500 --> 00:10:28.500]   He would do a miracle and people would be like,
[00:10:28.500 --> 00:10:30.500]   "Wow! Did you hear?"
[00:10:30.500 --> 00:10:33.500]   And they would be ecstatic, and they would be so infatuated with His miracles.
[00:10:33.500 --> 00:10:36.500]   "Show us more! Give us more!"
[00:10:36.500 --> 00:10:39.500]   And Jesus Christ is sitting there, sometimes frustrated.
[00:10:39.500 --> 00:10:43.500]   Are you so excited because of the miracles?
[00:10:43.500 --> 00:10:47.500]   Do you realize that I could call at any time
[00:10:47.500 --> 00:10:51.500]   and create out of nothing, ex nihilo?
[00:10:51.500 --> 00:10:53.500]   He created the heavens and the earth.
[00:10:53.500 --> 00:10:57.500]   You think He can't provide for your needs now?
[00:10:57.500 --> 00:10:59.500]   Out of nothing, poof! I can create.
[00:10:59.500 --> 00:11:02.500]   And you think I can't sustain you in your day?
[00:11:02.500 --> 00:11:07.500]   This psalmist is saying, "My help comes from the Creator."
[00:11:07.500 --> 00:11:10.500]   It's almost this question of, "Is He capable?"
[00:11:10.500 --> 00:11:14.500]   It's almost a, "Duh! Of course He's capable!"
[00:11:14.500 --> 00:11:17.500]   The universe He called into being.
[00:11:17.500 --> 00:11:22.500]   If I need something, if I am weary, if I am fatigued,
[00:11:22.500 --> 00:11:26.500]   the Lord who created our known world will come to help.
[00:11:26.500 --> 00:11:28.500]   That's the one who I'm calling upon.
[00:11:28.500 --> 00:11:31.500]   That's the one who I'm looking to.
[00:11:31.500 --> 00:11:35.500]   And so we move forward in asking this question,
[00:11:35.500 --> 00:11:38.500]   "Is the Lord able to help us?"
[00:11:38.500 --> 00:11:42.500]   "Is the Lord capable of sustaining us?"
[00:11:42.500 --> 00:11:44.500]   I'm going to restart reading from verse 1 again,
[00:11:44.500 --> 00:11:46.500]   just so that we can reiterate this passage.
[00:11:46.500 --> 00:11:49.500]   To have this effect of just resonating in your minds.
[00:11:49.500 --> 00:11:51.500]   Verse 1.
[00:11:51.500 --> 00:11:54.500]   "I will lift up my eyes to the mountains.
[00:11:54.500 --> 00:11:56.500]   From where shall my help come?
[00:11:56.500 --> 00:11:59.500]   My help comes from the Lord who made the heavens and the earth.
[00:11:59.500 --> 00:12:02.500]   He will not allow your foot to slip.
[00:12:02.500 --> 00:12:04.500]   He who keeps you will not slumber.
[00:12:04.500 --> 00:12:10.500]   Behold, He who keeps Israel will neither slumber nor sleep."
[00:12:10.500 --> 00:12:13.500]   Verse 2, verse 3 and 4, I would like to label,
[00:12:13.500 --> 00:12:16.500]   "The Lord keeps you like a shepherd."
[00:12:16.500 --> 00:12:18.500]   Look what He's saying here.
[00:12:18.500 --> 00:12:20.500]   And think about what a good shepherd would do.
[00:12:20.500 --> 00:12:23.500]   The good shepherd would constantly watch his flock
[00:12:23.500 --> 00:12:27.500]   and see if any one of the sheep is going astray.
[00:12:27.500 --> 00:12:29.500]   See if any one of the sheep, because they're always sitting there,
[00:12:29.500 --> 00:12:33.500]   grazing on the ground, blindly going off cliffs and so forth,
[00:12:33.500 --> 00:12:35.500]   whether their feet are going to slip.
[00:12:35.500 --> 00:12:39.500]   So the good shepherd, the great shepherd is watching.
[00:12:39.500 --> 00:12:42.500]   And our God is so good. Our God is so omniscient.
[00:12:42.500 --> 00:12:45.500]   Just because He's watching one sheep doesn't mean He's loose-eyed on the other.
[00:12:45.500 --> 00:12:48.500]   He watches every single thing.
[00:12:48.500 --> 00:12:54.500]   And I love that because, again, when I think of the ways in which I falter,
[00:12:54.500 --> 00:12:59.500]   because I'm not paying attention and there's distracting things all around me,
[00:12:59.500 --> 00:13:03.500]   I believe it in my spiritual walk and being sanctified as a Christian.
[00:13:03.500 --> 00:13:07.500]   Who is going to keep my feet from stumbling?
[00:13:07.500 --> 00:13:09.500]   Is it me?
[00:13:09.500 --> 00:13:11.500]   I don't think so.
[00:13:11.500 --> 00:13:14.500]   The scripture clearly says, "The Lord is watching as a good shepherd
[00:13:14.500 --> 00:13:17.500]   so that my feet will not slip."
[00:13:17.500 --> 00:13:19.500]   And when the scripture says, "He's going to keep,"
[00:13:19.500 --> 00:13:23.500]   it's often translated, again, as one who has a watchful eye,
[00:13:23.500 --> 00:13:26.500]   as one who is preserving by careful watching.
[00:13:26.500 --> 00:13:32.500]   A lot of times, actually, that verb shows up as a noun form, as a watchman.
[00:13:32.500 --> 00:13:36.500]   So He's watching you like a good shepherd.
[00:13:36.500 --> 00:13:40.500]   Let me give you an example. Use Yoshi.
[00:13:40.500 --> 00:13:43.500]   A lot of times I'll come home and Bea--
[00:13:43.500 --> 00:13:48.500]   Honestly, I have newfound respect for moms because I watch Bea and I'm like,
[00:13:48.500 --> 00:13:52.500]   "I could not do what you do all day long."
[00:13:52.500 --> 00:13:56.500]   If Josiah is fussy, she just has to take care of him.
[00:13:56.500 --> 00:14:00.500]   And at night, sometimes I want to help her, so I'll try to take care of him a little bit.
[00:14:00.500 --> 00:14:02.500]   It's a funny story, right? It's a little comedic.
[00:14:02.500 --> 00:14:05.500]   So I take him and I'm trying to console him and watch him and stuff.
[00:14:05.500 --> 00:14:07.500]   But it's nighttime, like 11 p.m. sometimes.
[00:14:07.500 --> 00:14:10.500]   He gets up at 9, 11, 2, and then 5.
[00:14:10.500 --> 00:14:12.500]   So we're up, right?
[00:14:12.500 --> 00:14:14.500]   And I'm standing there like, "Whoa."
[00:14:14.500 --> 00:14:16.500]   I'm falling asleep, like leaning over and kind of swaying.
[00:14:16.500 --> 00:14:19.500]   So she'll come by and be like, "Here, here, let me take him."
[00:14:19.500 --> 00:14:20.500]   So she'll take him.
[00:14:20.500 --> 00:14:22.500]   But I'm so sleepy, I don't really realize what I'm doing.
[00:14:22.500 --> 00:14:24.500]   I'm like, "Here, here, here."
[00:14:24.500 --> 00:14:28.500]   And then I still have the blanket in my arm.
[00:14:28.500 --> 00:14:31.500]   So I'll go out and I'll wake up.
[00:14:31.500 --> 00:14:33.500]   "Oh, my God, where's the baby?"
[00:14:33.500 --> 00:14:35.500]   And then I'll take the blanket and I'm looking around,
[00:14:35.500 --> 00:14:37.500]   looking around, and I drop the baby, right?
[00:14:37.500 --> 00:14:41.500]   And I'm like, "Bia's going to be so mad I dropped the baby."
[00:14:41.500 --> 00:14:42.500]   Oh, my goodness.
[00:14:42.500 --> 00:14:45.500]   You don't know how fast my heart's pumping at that time
[00:14:45.500 --> 00:14:48.500]   because I'm like, "I lost my baby," right?
[00:14:48.500 --> 00:14:51.500]   And the funny thing is, Bia has had those moments, too.
[00:14:51.500 --> 00:14:54.500]   I'm not sure she'll appreciate me sharing these stories.
[00:14:54.500 --> 00:14:57.500]   But plenty of times, she'll feel the baby.
[00:14:57.500 --> 00:15:00.500]   She'll already put him down, but she's so tired, she kind of forgets.
[00:15:00.500 --> 00:15:03.500]   And she actually would fall asleep with her arm like this.
[00:15:03.500 --> 00:15:06.500]   And then I'll see her wake up and she'll be like--
[00:15:06.500 --> 00:15:08.500]   (Laughter)
[00:15:08.500 --> 00:15:11.500]   I just see her tripping out and I'm thinking, laughing.
[00:15:11.500 --> 00:15:14.500]   Oh, my gosh.
[00:15:14.500 --> 00:15:17.500]   And it's funny. It's funny now.
[00:15:17.500 --> 00:15:20.500]   And there are times when I hear Bia talking to the baby
[00:15:20.500 --> 00:15:22.500]   and I hear what she's saying.
[00:15:22.500 --> 00:15:24.500]   And the baby's crying and she's doing other things,
[00:15:24.500 --> 00:15:27.500]   so she'll run over there, she's like, "I'm sorry, you're crying."
[00:15:27.500 --> 00:15:29.500]   And then if she falls asleep, she's like,
[00:15:29.500 --> 00:15:32.500]   "Oh, I promise I love you, I care for you."
[00:15:32.500 --> 00:15:36.500]   I think about that right now when I read this passage.
[00:15:36.500 --> 00:15:40.500]   Even though Bia and I love and adore this precious baby--
[00:15:40.500 --> 00:15:43.500]   he's cute, okay? We love and adore this baby.
[00:15:43.500 --> 00:15:47.500]   Even though we want to, even though it's in our intention,
[00:15:47.500 --> 00:15:50.500]   even though we so desire to be there every single moment for him,
[00:15:50.500 --> 00:15:54.500]   you do realize we are incapable.
[00:15:54.500 --> 00:15:56.500]   Right?
[00:15:56.500 --> 00:15:59.500]   Bia and I fall short of this.
[00:15:59.500 --> 00:16:03.500]   And when I read in the Scriptures that God, our Father,
[00:16:03.500 --> 00:16:06.500]   is more than willing, he is fully capable,
[00:16:06.500 --> 00:16:08.500]   he does not sleep, he does not slumber,
[00:16:08.500 --> 00:16:13.500]   he has his eye on you like a good shepherd,
[00:16:13.500 --> 00:16:15.500]   that brings such assurance to my heart.
[00:16:15.500 --> 00:16:18.500]   I could even tell my wife,
[00:16:18.500 --> 00:16:20.500]   "I love you, but the Lord loves you more.
[00:16:20.500 --> 00:16:22.500]   He keeps his watchful eye on you."
[00:16:22.500 --> 00:16:25.500]   Josiah, I love you, but the Lord is going to watch you in ways,
[00:16:25.500 --> 00:16:29.500]   infinite ways, greater than I can.
[00:16:29.500 --> 00:16:33.500]   Let your heart be reassured by the fact that the Lord
[00:16:33.500 --> 00:16:36.500]   has a watchful eye on you.
[00:16:36.500 --> 00:16:39.500]   We keep moving here. I'll read from verse 3 and down.
[00:16:39.500 --> 00:16:41.500]   Because that's the way the passage actually moves.
[00:16:41.500 --> 00:16:43.500]   It's ascending, okay?
[00:16:43.500 --> 00:16:46.500]   Verse 3, "He will not allow your foot to slip.
[00:16:46.500 --> 00:16:48.500]   He who keeps you will not slumber.
[00:16:48.500 --> 00:16:52.500]   Behold, he who keeps Israel will neither slumber nor sleep.
[00:16:52.500 --> 00:16:55.500]   The Lord is your keeper.
[00:16:55.500 --> 00:16:57.500]   The Lord is your shade on your right hand.
[00:16:57.500 --> 00:17:01.500]   The sun will not smite you by day, nor the moon by night."
[00:17:01.500 --> 00:17:04.500]   And we'll stop there.
[00:17:04.500 --> 00:17:06.500]   The Lord is our keeper.
[00:17:06.500 --> 00:17:09.500]   I'd like to label verse 5 and 6,
[00:17:09.500 --> 00:17:13.500]   that the Lord is keeping you as a guard with treasure.
[00:17:13.500 --> 00:17:16.500]   As a guard with treasure.
[00:17:16.500 --> 00:17:19.500]   That's his watchful eye over us, people.
[00:17:19.500 --> 00:17:22.500]   Do you understand that a guard, if he sees precious treasure,
[00:17:22.500 --> 00:17:24.500]   what is he going to do?
[00:17:24.500 --> 00:17:26.500]   He's going to make sure that there's someone watching.
[00:17:26.500 --> 00:17:28.500]   He's going to make sure that there's nothing lost.
[00:17:28.500 --> 00:17:29.500]   He makes account of it.
[00:17:29.500 --> 00:17:32.500]   He makes sure there's protection, right?
[00:17:32.500 --> 00:17:35.500]   Like a good guard, he makes sure there's ample protection.
[00:17:35.500 --> 00:17:38.500]   A case, a room, whatever it may be,
[00:17:38.500 --> 00:17:40.500]   he's going to guard that thing.
[00:17:40.500 --> 00:17:45.500]   Likewise, it says here, "The Lord is your keeper."
[00:17:45.500 --> 00:17:49.500]   He takes that position willingly of being your keeper.
[00:17:49.500 --> 00:17:52.500]   And it says here that he offers that kind of protection,
[00:17:52.500 --> 00:17:54.500]   a kind of protection that's close.
[00:17:54.500 --> 00:17:56.500]   He says, "The shade is by your right hand side.
[00:17:56.500 --> 00:18:01.500]   That is very near and close to you, readily available."
[00:18:01.500 --> 00:18:04.500]   That's the kind of protection God offers.
[00:18:04.500 --> 00:18:06.500]   He protects you from all the common things.
[00:18:06.500 --> 00:18:08.500]   I know for the travelers, again,
[00:18:08.500 --> 00:18:11.500]   you just picture this nation moving by tent.
[00:18:11.500 --> 00:18:14.500]   For them, the heat was an immense, immense concern.
[00:18:14.500 --> 00:18:16.500]   You know that the kind of land that they lived in,
[00:18:16.500 --> 00:18:19.500]   if you've ever heard people talk about the land of Jerusalem
[00:18:19.500 --> 00:18:21.500]   when they go out there, they're like, "Oh, yeah, it's fantastic.
[00:18:21.500 --> 00:18:22.500]   What was it like?"
[00:18:22.500 --> 00:18:25.500]   "Well, it was like dry desert."
[00:18:25.500 --> 00:18:28.500]   It's hot. It's like desert land.
[00:18:28.500 --> 00:18:31.500]   So you think about the shade. That was pivotal.
[00:18:31.500 --> 00:18:33.500]   The Lord says, "I provide that kind of protection for you."
[00:18:33.500 --> 00:18:35.500]   And I like what he says.
[00:18:35.500 --> 00:18:40.500]   It's, "By day and by night, there is no time in which the Lord is leaving their side."
[00:18:40.500 --> 00:18:41.500]   You see that?
[00:18:41.500 --> 00:18:46.500]   There is no time in which the Lord is not by their side.
[00:18:46.500 --> 00:18:50.500]   So the Lord is their protector, their guardian.
[00:18:50.500 --> 00:18:53.500]   And so we move forward. It says, "The Lord is your keeper.
[00:18:53.500 --> 00:18:55.500]   The Lord is your shade on your right side.
[00:18:55.500 --> 00:18:59.500]   The sun will not smite you by day, nor the moon by night."
[00:18:59.500 --> 00:19:00.500]   Verse 7 and 8.
[00:19:00.500 --> 00:19:03.500]   "The Lord will protect you from all evil.
[00:19:03.500 --> 00:19:05.500]   He will keep your soul.
[00:19:05.500 --> 00:19:08.500]   The Lord will guard your going out and your coming in
[00:19:08.500 --> 00:19:13.500]   from this time forth and forevermore."
[00:19:13.500 --> 00:19:15.500]   Let's look once again in verse 7.
[00:19:15.500 --> 00:19:19.500]   He says, "The Lord will protect you from all evil."
[00:19:19.500 --> 00:19:23.500]   The Lord is our spiritual savior, friends.
[00:19:23.500 --> 00:19:26.500]   This reminds me of the passage here.
[00:19:26.500 --> 00:19:29.500]   In 1 Corinthians 10, 13, it says,
[00:19:29.500 --> 00:19:32.500]   "No temptation has overtaken you, but such as is common to man,
[00:19:32.500 --> 00:19:35.500]   God is faithful,
