
[00:00:00.000 --> 00:00:05.360]   Okay, thank you.
[00:03:24.220 --> 00:03:29.220]   tendency is we get caught up and tangled with, you know, everyday things and raising children,
[00:03:29.220 --> 00:03:34.340]   paying bills, concerned about what's going on, whether it's political, economical.
[00:03:34.340 --> 00:03:37.820]   And so our natural tendency is to just kind of drift from God.
[00:03:37.820 --> 00:03:44.340]   So God tells the nation of Israel all these things that he plays, all these rituals and
[00:03:44.340 --> 00:03:51.220]   sacrifices and festivals in order to cause them to stop, break into their normal routine,
[00:03:51.220 --> 00:03:57.300]   and for them to remember what God has done because their natural tendency is to forget,
[00:03:57.300 --> 00:03:58.900]   especially this year, right?
[00:03:58.900 --> 00:04:03.220]   Because the pandemic, you know, when we survey the church, when we survey what's going on
[00:04:03.220 --> 00:04:07.660]   outside the church, we hear a lot of people saying that they're fatigued, they're tired,
[00:04:07.660 --> 00:04:09.220]   they're distracted.
[00:04:09.220 --> 00:04:12.540]   And I'm sure most of you are sick and tired of being on the Zoom.
[00:04:12.540 --> 00:04:15.900]   You know, we're just waiting for us to get to, what is it, orange and then hopefully
[00:04:15.900 --> 00:04:21.140]   yellow soon, you know, and then whatever normal is to get back to normal so we don't have
[00:04:21.140 --> 00:04:26.380]   to be wearing these silly masks, you know, that we'd be done away with.
[00:04:26.380 --> 00:04:32.180]   But in the midst of all that's been going on, and it's not just because of the pandemic,
[00:04:32.180 --> 00:04:38.460]   our natural tendency is when we are not striving after God, we don't drift toward God.
[00:04:38.460 --> 00:04:42.220]   We don't sit there and get entangled and get busy and take care of our children and then
[00:04:42.220 --> 00:04:46.040]   wake up six months later, it's like, "Oh, I feel this passion for Christ."
[00:04:46.040 --> 00:04:47.620]   We don't drift toward God.
[00:04:47.620 --> 00:04:49.540]   We drift away from God.
[00:04:49.540 --> 00:04:53.960]   So if we're not deliberate about keeping our heart focused on Christ, if we're not deliberate
[00:04:53.960 --> 00:04:59.840]   about anchoring ourselves to Christ, we naturally have a tendency to drift.
[00:04:59.840 --> 00:05:04.480]   And so these times are very important for us in order for us to renew our first love.
[00:05:04.480 --> 00:05:06.940]   We can go through the rituals, like, "Yeah, I've been coming up to Bible study.
[00:05:06.940 --> 00:05:11.240]   I haven't missed church, and I haven't missed this, and I haven't missed that."
[00:05:11.240 --> 00:05:15.980]   But again, our natural tendency is to the minimum.
[00:05:15.980 --> 00:05:17.680]   We just kind of go through the motion.
[00:05:17.680 --> 00:05:23.160]   We check out the box, but at the end, we find our hearts so hardened away from God, and
[00:05:23.160 --> 00:05:28.580]   sometimes we get so hardened that we even question, "Do I even believe this?"
[00:05:28.580 --> 00:05:35.720]   So we want to take this time this week, Monday through Friday, going over each day, and I
[00:05:35.720 --> 00:05:41.500]   hope that what you get out of it this week is not simply logically, "Oh, this is what
[00:05:41.500 --> 00:05:42.940]   happened in history.
[00:05:42.940 --> 00:05:45.660]   This is what he did in the first day, second day, third day."
[00:05:45.660 --> 00:05:50.060]   Hopefully through each of these events that you recognize that Christ was deliberately
[00:05:50.060 --> 00:05:56.020]   walking toward the cross and how each one of these events led him to that point.
[00:05:56.020 --> 00:06:00.260]   So that when we come and have communion on Friday, that communion, that we really have
[00:06:00.260 --> 00:06:04.700]   a rich understanding of what it is that we're participating, and we're hoping that by next
[00:06:04.700 --> 00:06:10.400]   Sunday when we come to celebrate Easter, that our singing would be louder than normal, right?
[00:06:10.400 --> 00:06:14.920]   That our praising will be louder than our usual way of singing, that hopefully it'll
[00:06:14.920 --> 00:06:20.940]   kind of cause us to be focused and to renew our first love toward Christ.
[00:06:20.940 --> 00:06:22.700]   So today is Palm Sunday.
[00:06:22.700 --> 00:06:27.020]   Palm Sunday is the kickoff of the day where Jesus is deliberately riding on his donkey
[00:06:27.020 --> 00:06:29.620]   headed toward Jerusalem.
[00:06:29.620 --> 00:06:35.060]   And the reason why this is so significant is up to this point, Jesus was very, very
[00:06:35.060 --> 00:06:37.260]   quiet about his identity.
[00:06:37.260 --> 00:06:44.580]   Even though the crescendo of excitement toward him has been growing and it's headed toward
[00:06:44.580 --> 00:06:52.700]   that place, his riding on the donkey was a very deliberate act where he's going to start
[00:06:52.700 --> 00:06:58.340]   the, you know, knock the first domino, and then each domino that, again, that's going
[00:06:58.340 --> 00:07:03.060]   to fall is going to ultimately lead him toward that cross.
[00:07:03.060 --> 00:07:09.500]   You know, in the Bible, in the four Gospels, there's maybe about 10 to 12 major events
[00:07:09.500 --> 00:07:12.040]   that are recorded on all four Gospels.
[00:07:12.040 --> 00:07:16.660]   So we know that every one of these events are extremely important because as you guys
[00:07:16.660 --> 00:07:22.420]   know, each one of these Gospels are different eyewitnesses, different testimonies, where
[00:07:22.420 --> 00:07:26.940]   you have Matthew, Mark, Luke, and John giving different, a Jewish angle, a Gentile angle,
[00:07:26.940 --> 00:07:30.100]   you know, Jesus's humanity angle, his deity angle.
[00:07:30.100 --> 00:07:34.400]   And so each one of these angles highlight different aspects of Jesus's identity and
[00:07:34.400 --> 00:07:35.460]   what he has done.
[00:07:35.460 --> 00:07:39.240]   That's why even though they're talking about the same life of Jesus, that you're going
[00:07:39.240 --> 00:07:40.720]   to hear different things.
[00:07:40.720 --> 00:07:44.340]   So when something is repeated, you know it's important.
[00:07:44.340 --> 00:07:47.740]   It was important enough that they all highlighted it.
[00:07:47.740 --> 00:07:52.640]   The triumphal entry is one of those events, one of those dozen events that are highlighted.
[00:07:52.640 --> 00:07:57.100]   But among, even among the same events, if you look at the four Gospels, you will notice
[00:07:57.100 --> 00:08:00.740]   that there are certain things that one person emphasizes and certain things that another
[00:08:00.740 --> 00:08:03.420]   person does not include.
[00:08:03.420 --> 00:08:07.500]   This triumphal entry, even though they have, they talk about different angles, there's
[00:08:07.500 --> 00:08:14.120]   one event in the triumphal entry that is mentioned in detail in all four Gospels.
[00:08:14.120 --> 00:08:20.440]   And that detail is Jesus getting the donkey and riding that donkey into Jerusalem.
[00:08:20.440 --> 00:08:25.400]   So all the things that could have been highlighted in him coming into Jerusalem, telling his
[00:08:25.400 --> 00:08:29.460]   disciples to go get the donkey, and then to tell them, they're going to say, "Why are
[00:08:29.460 --> 00:08:30.460]   you taking my donkey?"
[00:08:30.460 --> 00:08:32.660]   He said, "Well, the Lord has need of it."
[00:08:32.660 --> 00:08:34.900]   And it's all okay.
[00:08:34.900 --> 00:08:37.280]   That's recorded in all four Gospels.
[00:08:37.280 --> 00:08:42.320]   So what is the significance of this donkey that is highlighted in this detail in all
[00:08:42.320 --> 00:08:43.420]   four Gospels?
[00:08:43.420 --> 00:08:49.820]   So what I want to go over this morning is to go over the three aspects that Jesus was
[00:08:49.820 --> 00:08:53.660]   declaring and he was fulfilling in the riding of the donkey.
[00:08:53.660 --> 00:08:56.060]   There is, it is not some random event that takes place.
[00:08:56.060 --> 00:08:57.440]   "Oh, he came into Jerusalem.
[00:08:57.440 --> 00:08:59.540]   He just happened to be riding on a donkey."
[00:08:59.540 --> 00:09:00.540]   Right?
[00:09:00.540 --> 00:09:03.460]   No, there's something about this riding of the donkey that was highlighted for us that
[00:09:03.460 --> 00:09:08.820]   we are to take some time to examine carefully what is its significance.
[00:09:08.820 --> 00:09:11.980]   So first one, why did he ride the donkey?
[00:09:11.980 --> 00:09:17.540]   Number one, Jesus rode the donkey to fulfill biblical prophecy.
[00:09:17.540 --> 00:09:21.420]   In Zechariah 9, verse 9, it says, "Rejoice greatly, O daughter of Zion.
[00:09:21.420 --> 00:09:23.420]   Shout in triumph, O daughter of Jerusalem.
[00:09:23.420 --> 00:09:25.380]   Behold, your king is coming to you.
[00:09:25.380 --> 00:09:30.860]   He is just and endowed with salvation, humble and mounted on a donkey, even on a colt, the
[00:09:30.860 --> 00:09:32.740]   fold of a donkey."
[00:09:32.740 --> 00:09:36.320]   He was fulfilling that particular prophecy.
[00:09:36.320 --> 00:09:40.980]   He was declaring to all the people who have gathered together, "I am that guy.
[00:09:40.980 --> 00:09:42.180]   I am the Messiah."
[00:09:42.180 --> 00:09:45.860]   Up to this point, Jesus was very hush-hush about his identity.
[00:09:45.860 --> 00:09:50.380]   Remember, every time he would fulfill some sort of miracle, he would tell his disciples
[00:09:50.380 --> 00:09:52.420]   to keep it quiet.
[00:09:52.420 --> 00:09:55.620]   Remember the very first miracle of turning water into wine?
[00:09:55.620 --> 00:09:58.280]   Jesus tells his mother, "Why do you involve me?
[00:09:58.280 --> 00:10:00.380]   It is not my time."
[00:10:00.380 --> 00:10:04.580]   So up to this point, he would perform these miracles and people would say, "He must be.
[00:10:04.580 --> 00:10:06.260]   He must be."
[00:10:06.260 --> 00:10:10.300]   But he never clearly said publicly to everybody that this is who he is.
[00:10:10.300 --> 00:10:16.820]   He kind of kept it quiet because he knew once his identity came out, that the first domino
[00:10:16.820 --> 00:10:21.060]   falls that it's going to lead him directly to the cross.
[00:10:21.060 --> 00:10:24.540]   But this prophecy of him riding on a donkey was not just in Zechariah.
[00:10:24.540 --> 00:10:31.700]   In fact, even before that, all the way up to Genesis 49, verse 10 through 11, Jacob
[00:10:31.700 --> 00:10:35.860]   at the end of his life is giving blessing to his 12 children.
[00:10:35.860 --> 00:10:41.100]   And in his blessing, he gets to Judah and he says this, "The scepter shall not depart
[00:10:41.100 --> 00:10:42.100]   from Judah."
[00:10:42.100 --> 00:10:44.020]   In other words, you're going to be a kingly line.
[00:10:44.020 --> 00:10:48.540]   "Nor the ruler's staff between his feet until Shiloh comes."
[00:10:48.540 --> 00:10:51.060]   And Shiloh is in reference to the Messiah.
[00:10:51.060 --> 00:10:54.020]   "And to him shall be the obedience of the peoples.
[00:10:54.020 --> 00:10:58.460]   He ties his fold to the vine and his donkey's coat to the choice vine.
[00:10:58.460 --> 00:11:02.340]   He washes his garments in wine and his robes in the blood of grapes."
[00:11:02.340 --> 00:11:03.740]   Did you see that?
[00:11:03.740 --> 00:11:08.740]   Even as early as his blessing to Judah, it's clearly spelled out that when the Messiah
[00:11:08.740 --> 00:11:12.100]   comes, he's going to be riding on a donkey.
[00:11:12.100 --> 00:11:17.600]   He's going to, again, talking about the vine and the wine, meaning his blood being spilled,
[00:11:17.600 --> 00:11:22.380]   that he's going to come and to take his place.
[00:11:22.380 --> 00:11:25.900]   So this was not new to the Jews.
[00:11:25.900 --> 00:11:28.420]   They've been saying, "How are you going to recognize the Messiah?"
[00:11:28.420 --> 00:11:30.680]   Well, he's going to have the words of God.
[00:11:30.680 --> 00:11:32.180]   He's going to perform some miracles.
[00:11:32.180 --> 00:11:37.180]   But when you see a man coming into Jerusalem riding on a donkey, you know that that is
[00:11:37.180 --> 00:11:39.140]   going to be fulfilled.
[00:11:39.140 --> 00:11:44.220]   So Jesus, for the first time in ministry, is publicly declaring to everybody there,
[00:11:44.220 --> 00:11:47.100]   "I am that man."
[00:11:47.100 --> 00:11:52.460]   See, it was a very deliberate act.
[00:11:52.460 --> 00:11:57.340]   What happens this week didn't happen to him.
[00:11:57.340 --> 00:12:01.660]   It wasn't that he made some poor choices and maybe he shouldn't have cleansed the temple
[00:12:01.660 --> 00:12:05.580]   and he got the leaders angry and that's why they did that.
[00:12:05.580 --> 00:12:08.980]   Maybe he shouldn't have chosen Judas and betrayed him.
[00:12:08.980 --> 00:12:11.040]   Maybe he shouldn't have been praying out there at night.
[00:12:11.040 --> 00:12:12.940]   It didn't happen to him.
[00:12:12.940 --> 00:12:16.620]   Jesus says, by his own words, "No one takes my life.
[00:12:16.620 --> 00:12:20.420]   I lay it down on my own accord and I take it up."
[00:12:20.420 --> 00:12:21.540]   He says he did it.
[00:12:21.540 --> 00:12:22.540]   He planned to do it.
[00:12:22.540 --> 00:12:29.380]   In fact, the Bible has over 300 different prophecies about Jesus' life, his disciples,
[00:12:29.380 --> 00:12:34.980]   his birth, the place of birth, betrayal, crucifixion, how he's going to be crucified, his resurrection,
[00:12:34.980 --> 00:12:40.340]   over 300 prophecies that were given in the Old Testament that Jesus fulfilled in his
[00:12:40.340 --> 00:12:44.940]   birth, life, ministry, death, and resurrection.
[00:12:44.940 --> 00:12:52.820]   Meaning every part of what Jesus was doing was planned and was very deliberate.
[00:12:52.820 --> 00:12:58.420]   In Numbers 23, verse 19, it says, "God is not man that he should lie, nor the son of
[00:12:58.420 --> 00:13:00.020]   man that he should repent.
[00:13:00.020 --> 00:13:06.420]   Has he said and will he not do it, or has he spoken and will he not make it good?"
[00:13:06.420 --> 00:13:09.620]   Whenever you go on a job interview, you want to know, is he faithful?
[00:13:09.620 --> 00:13:11.780]   Can we rely on that person?
[00:13:11.780 --> 00:13:14.740]   Does he say what he says he's going to do?
[00:13:14.740 --> 00:13:19.300]   Or maybe you have friends or maybe you have people in your community who say, "If he says
[00:13:19.300 --> 00:13:20.420]   it, you can trust him.
[00:13:20.420 --> 00:13:22.020]   If she says it, you can trust him."
[00:13:22.020 --> 00:13:28.220]   So this statement in and of itself is a beautiful statement that God does what he says he's
[00:13:28.220 --> 00:13:29.820]   going to do.
[00:13:29.820 --> 00:13:35.500]   So without any context, that statement alone is a very honorable, respectable character
[00:13:35.500 --> 00:13:36.500]   to have.
[00:13:36.500 --> 00:13:43.140]   But when you put that in the context of Israel's history, when you put that in the context
[00:13:43.140 --> 00:13:49.980]   of our own history, that because God said he will do it, think about how many times
[00:13:49.980 --> 00:13:54.700]   in Israel's history that God would have had every right to revoke his promise.
[00:13:54.700 --> 00:13:58.260]   I mean, we don't have to go that far.
[00:13:58.260 --> 00:14:03.580]   Every single king in Israel's history, almost every single king, was evil and they led them
[00:14:03.580 --> 00:14:04.580]   astray.
[00:14:04.580 --> 00:14:08.520]   They committed horrendous acts of idolatry.
[00:14:08.520 --> 00:14:12.940]   Any part of Israel's history during the kings, he could have just stepped in and said, "That's
[00:14:12.940 --> 00:14:13.940]   not true."
[00:14:13.940 --> 00:14:18.620]   The book of Judges, any one of those times, was that, "Oh, maybe through the desert they
[00:14:18.620 --> 00:14:19.620]   were faithful."
[00:14:19.620 --> 00:14:22.540]   Have you read the book of Numbers?
[00:14:22.540 --> 00:14:29.220]   If you look at Israel's history from the moment that they are conceived until the end of the
[00:14:29.220 --> 00:14:36.020]   Old Testament, every part of it is a list of every curse that they deserve.
[00:14:36.020 --> 00:14:40.260]   So before they go in, God said, "If you live righteously, here's a blessing.
[00:14:40.260 --> 00:14:42.460]   If you live unrighteously, here's a curse."
[00:14:42.460 --> 00:14:47.100]   And so if you look at the history from that point on, it's curse after curse after curse
[00:14:47.100 --> 00:14:49.280]   after curse.
[00:14:49.280 --> 00:14:54.460]   So when you look at the statement, Numbers 23 verse 19, in the context of Israel's history,
[00:14:54.460 --> 00:14:56.820]   not even when they were in Egypt were they faithful.
[00:14:56.820 --> 00:14:58.820]   Not even prior to Egypt were they faithful.
[00:14:58.820 --> 00:15:05.060]   Even the patriarchs, if we study them carefully, they weren't necessarily great men.
[00:15:05.060 --> 00:15:10.380]   And yet God says, "Because I made my promise, I will fulfill it."
[00:15:10.380 --> 00:15:12.340]   We don't even have to look at the Israelites.
[00:15:12.340 --> 00:15:14.620]   Look at ourselves.
[00:15:14.620 --> 00:15:15.620]   Look at ourselves.
[00:15:15.620 --> 00:15:20.560]   Not only before we met Christ, after we met Christ.
[00:15:20.560 --> 00:15:26.260]   When you look at your life carefully, how many events in your life can you examine and
[00:15:26.260 --> 00:15:27.260]   say, "You know what?
[00:15:27.260 --> 00:15:30.100]   I didn't deserve the grace of God.
[00:15:30.100 --> 00:15:32.940]   God shouldn't have been patient with me."
[00:15:32.940 --> 00:15:36.780]   How many times in our lives could we stand before God saying, "You know what?
[00:15:36.780 --> 00:15:38.420]   I did good.
[00:15:38.420 --> 00:15:39.420]   I am righteous.
[00:15:39.420 --> 00:15:41.580]   I deserve the grace of God."
[00:15:41.580 --> 00:15:45.300]   If we're honest with ourselves, we're no different than the Israelites.
[00:15:45.300 --> 00:15:50.500]   And the only reason why we celebrate this week is because God said He would be faithful
[00:15:50.500 --> 00:15:52.380]   despite us.
[00:15:52.380 --> 00:15:58.180]   And so everything that takes place in this week is God's intentional plan to go to the
[00:15:58.180 --> 00:16:00.500]   cross for our sins.
[00:16:00.500 --> 00:16:05.100]   See, this Palm Sunday is the first domino that falls.
[00:16:05.100 --> 00:16:08.180]   You know, it's kind of like the cat's out of the bag, right?
[00:16:08.180 --> 00:16:15.180]   When we have DTR, the determining the relationship, those of you who are young and cool and hip,
[00:16:15.180 --> 00:16:20.660]   okay, DTR, when you have feelings for somebody and you contemplate, "Should I tell her?
[00:16:20.660 --> 00:16:22.020]   Should I not tell her?"
[00:16:22.020 --> 00:16:23.700]   And then so you say, "When's the right time?
[00:16:23.700 --> 00:16:24.700]   Should I?
[00:16:24.700 --> 00:16:25.700]   Am I going to get rejected?"
[00:16:25.700 --> 00:16:29.620]   And so you contemplate all of that and you weigh the pros and cons and, you know, you
[00:16:29.620 --> 00:16:32.940]   gear up and then, because you know once it comes out of your mouth, you can't take it
[00:16:32.940 --> 00:16:33.940]   back, right?
[00:16:34.060 --> 00:16:38.780]   So again, I've shared before about how I approached Esther.
[00:16:38.780 --> 00:16:42.060]   And so I waited a year and a half of praying, "Is it the right time?
[00:16:42.060 --> 00:16:43.060]   Not right time?"
[00:16:43.060 --> 00:16:46.960]   Resisting, and then finally she's going to go to Boston to go to some dumb college.
[00:16:46.960 --> 00:16:51.020]   And so I thought maybe this is the right time.
[00:16:51.020 --> 00:16:54.620]   And thinking that maybe we're on the same page, maybe she's dropping hints.
[00:16:54.620 --> 00:16:56.740]   And so, okay, okay, I'm taking her.
[00:16:56.740 --> 00:16:59.420]   And then I asked her, "What are you thinking about me?"
[00:16:59.420 --> 00:17:00.420]   And she's like, "Like a brother."
[00:17:00.420 --> 00:17:02.980]   Right?
[00:17:02.980 --> 00:17:04.420]   It wasn't what I wanted to hear.
[00:17:04.420 --> 00:17:07.080]   And so there was obviously misunderstanding.
[00:17:07.080 --> 00:17:15.540]   But I remember when she said that, my heart just dropped because I prepared for so long.
[00:17:15.540 --> 00:17:19.500]   And it's like, man, if I knew that this was the answer that was going to come, I probably
[00:17:19.500 --> 00:17:22.080]   wouldn't have gone through the trouble to say this.
[00:17:22.080 --> 00:17:23.700]   But too late.
[00:17:23.700 --> 00:17:25.020]   The cat's out of the bag.
[00:17:25.020 --> 00:17:29.060]   So I used to have a discipler.
[00:17:29.060 --> 00:17:34.980]   He used to always say, "If a guy takes out a sword, he should at least cut his toenails."
[00:17:34.980 --> 00:17:36.220]   You have to let it sink in.
[00:17:36.220 --> 00:17:43.140]   In other words, if you're ready for battle, you should at least cut your toenails.
[00:17:43.140 --> 00:17:44.140]   You should use the sword.
[00:17:44.140 --> 00:17:49.500]   Anyway, if you don't understand what that means, I remember him saying that and saying,
[00:17:49.500 --> 00:17:50.860]   "Well, the cat's out of the bag.
[00:17:50.860 --> 00:17:53.180]   Might as well go forward."
[00:17:53.180 --> 00:17:55.060]   And so that's how we got started.
[00:17:55.060 --> 00:17:56.860]   And I just told her, "Well, it's too late now.
[00:17:56.860 --> 00:17:59.180]   So this is how I feel, and I want to marry you."
[00:17:59.180 --> 00:18:01.540]   What do you think about that?
[00:18:01.540 --> 00:18:08.000]   So I went forward, and that's how we got here, by the grace of God.
[00:18:08.000 --> 00:18:15.480]   So this Palm Sunday is God deliberately knocking down the first domino.
[00:18:15.480 --> 00:18:21.580]   And this is going to cause the crowds to be stirred, the leaders to pay attention, because
[00:18:21.580 --> 00:18:24.340]   they've been trying to get to Him for a long time.
[00:18:24.340 --> 00:18:26.260]   But now Jesus is saying, "Here I am."
[00:18:26.260 --> 00:18:29.900]   And there's a reason why He goes to the temple as soon as He goes to Jerusalem, because He's
[00:18:29.900 --> 00:18:34.980]   challenging the leaders and publicly saying, "I'm here.
[00:18:34.980 --> 00:18:35.980]   You've been looking for me.
[00:18:35.980 --> 00:18:38.020]   I'm here."
[00:18:38.020 --> 00:18:39.420]   This is Palm Sunday.
[00:18:39.420 --> 00:18:44.180]   Jesus deliberately and willfully walking into danger because He knows that this is going
[00:18:44.180 --> 00:18:46.940]   to lead Him to the cross.
[00:18:46.940 --> 00:18:55.040]   He's riding on His donkey to fulfill that promise, that prophecy, to let people know
[00:18:55.040 --> 00:18:56.580]   that it's time.
[00:18:56.580 --> 00:19:02.380]   Secondly, Jesus rode the donkey to establish His kingdom.
[00:19:02.380 --> 00:19:07.180]   You know, people often think like Jesus is the humble servant, right?
[00:19:07.180 --> 00:19:10.780]   But in Zechariah 9, verse 9 and 10, it says, "Rejoice greatly, O daughter of Zion!
[00:19:10.780 --> 00:19:12.580]   Shout in triumph, O daughter of Jerusalem!
[00:19:12.580 --> 00:19:17.420]   Behold, your King is coming to you!"
[00:19:17.420 --> 00:19:18.900]   Your King is coming to you.
[00:19:18.900 --> 00:19:22.700]   He is just and endowed with salvation, humble and mounted on a donkey, even on a colt, the
[00:19:22.700 --> 00:19:23.700]   fall of a donkey.
[00:19:23.700 --> 00:19:27.980]   "I will cut off the chariot from Ephraim and the horse from Jerusalem, and the bow
[00:19:27.980 --> 00:19:33.180]   of war will be cut off, and He will speak peace to the nations, and His dominion will
[00:19:33.180 --> 00:19:36.580]   be from sea to sea and from the river to ends of the earth."
[00:19:36.580 --> 00:19:45.400]   See, during times of war, typically the King would be riding on His horse to exemplify
[00:19:45.400 --> 00:19:47.300]   power and authority.
[00:19:47.300 --> 00:19:50.800]   But in times of peace, the King would be riding on a donkey.
[00:19:50.800 --> 00:19:54.960]   So it wasn't unusual for a King to be on a donkey.
[00:19:54.960 --> 00:20:02.500]   In fact, in 1 Kings 1.33-34, when David is anointing his son Solomon to be king, he puts
[00:20:02.500 --> 00:20:04.540]   him on a donkey and parades him.
[00:20:04.540 --> 00:20:08.800]   In 1 Kings 1.33, it says, "The king said to them, 'David said to them, "Take with
[00:20:08.800 --> 00:20:14.020]   you the servants of your Lord, and have my son Solomon ride on my own mule, and bring
[00:20:14.020 --> 00:20:15.840]   him down to Gihon.
[00:20:15.840 --> 00:20:20.440]   Let Zadok the priest and Nathan the prophet anoint him there as king over Israel, and
[00:20:20.440 --> 00:20:23.880]   blow the trumpet and say, 'Long live King Solomon.'"
[00:20:23.880 --> 00:20:29.400]   So it was a very common practice in Israel to have the kings riding on the donkey to
[00:20:29.400 --> 00:20:30.880]   be anointed.
[00:20:30.880 --> 00:20:34.980]   So when Jesus came on a donkey, He wasn't simply refusing His kingdom.
[00:20:34.980 --> 00:20:39.660]   He was actually declaring the King has arrived.
[00:20:39.660 --> 00:20:43.300]   He was making it very clear that that's who He is.
[00:20:43.300 --> 00:20:48.960]   You have to understand that the people were very eager to make Him king.
[00:20:48.960 --> 00:20:52.480]   See, they weren't resisting Him as a king because they wanted Him to be king.
[00:20:52.480 --> 00:20:55.600]   Remember, after He feeds the 5,000?
[00:20:55.600 --> 00:20:58.620]   They're so enamored with Him, they wanted to forcefully make Him king.
[00:20:58.620 --> 00:21:01.440]   So Jesus had to break away from them.
[00:21:01.440 --> 00:21:05.160]   So they didn't have a problem with making Him king because they thought if they made
[00:21:05.160 --> 00:21:10.320]   Him king, I mean, He's opening the eyes of blind people.
[00:21:10.320 --> 00:21:14.000]   Women who are hemorrhaging for years get healed.
[00:21:14.000 --> 00:21:19.560]   Lepers who couldn't join their families were walking back into their homes and able to
[00:21:19.560 --> 00:21:20.560]   go to the temple.
[00:21:20.560 --> 00:21:25.640]   Anybody who's hungry, He just breaks the bread and just give it to them, and they eat.
[00:21:25.640 --> 00:21:27.900]   You get free Medicare.
[00:21:27.900 --> 00:21:30.760]   You get free food, right?
