
[00:00:00.000 --> 00:00:03.340]   ♪ Godless righteousness ♪
[00:07:43.900 --> 00:07:50.100]   ♪ Worthy of every breath we could ever breathe ♪
[00:07:50.100 --> 00:07:55.100]   ♪ We lift to You ♪
[00:07:55.100 --> 00:08:04.420]   ♪ Jesus, the name above every other name ♪
[00:08:06.260 --> 00:08:11.260]   ♪ Jesus, the only one we could ever save ♪
[00:08:11.260 --> 00:08:17.520]   ♪ Worthy of every breath we could ever breathe ♪
[00:08:17.520 --> 00:08:20.420]   ♪ We lift to You ♪
[00:08:20.420 --> 00:08:25.420]   ♪ Oh, we lift to You, holy ♪
[00:08:25.420 --> 00:08:30.420]   ♪ Oh, there is no one like You ♪
[00:08:30.420 --> 00:08:33.980]   ♪ There is none besides You ♪
[00:08:33.980 --> 00:08:38.980]   ♪ Open up my eyes in wonder ♪
[00:08:38.980 --> 00:08:42.300]   ♪ And show me who You are ♪
[00:08:42.300 --> 00:08:45.640]   ♪ And fill me with Your heart ♪
[00:08:45.640 --> 00:08:50.640]   ♪ And lead me in Your love to those around me ♪
[00:08:50.640 --> 00:08:55.420]   (gentle music)
[00:08:55.420 --> 00:08:58.000]   (gentle music)
[00:08:58.000 --> 00:09:08.140]   ♪ Worthy ♪
[00:09:08.140 --> 00:09:13.140]   ♪ Worthy of every song we could ever sing ♪
[00:09:13.140 --> 00:09:19.940]   ♪ Worthy of all the praise we could ever bring ♪
[00:09:21.780 --> 00:09:26.060]   ♪ Worthy of every breath we could ever breathe ♪
[00:09:26.060 --> 00:09:28.900]   ♪ We lift to You ♪
[00:09:28.900 --> 00:09:33.900]   ♪ Oh, we lift to You, Jesus ♪
[00:09:33.900 --> 00:09:39.260]   ♪ Jesus, the name above every other name ♪
[00:09:39.260 --> 00:09:41.100]   - All right, well, good evening, everyone.
[00:09:41.100 --> 00:09:43.180]   Welcome to Praise and Prayer.
[00:09:43.180 --> 00:09:45.560]   This is something we do once a month or so,
[00:09:45.560 --> 00:09:47.820]   and it's cool because we can all gather together
[00:09:47.820 --> 00:09:50.480]   as a church, and I'm sure people are still tuning in
[00:09:50.480 --> 00:09:53.820]   virtually here, and our hope is that we become
[00:09:53.820 --> 00:09:56.060]   more and more of a prayerful church,
[00:09:56.060 --> 00:10:00.500]   a one who comes before our God to request to Him
[00:10:00.500 --> 00:10:03.580]   different things, but in a very personal, intimate way
[00:10:03.580 --> 00:10:05.700]   that we can actually pray to Him.
[00:10:05.700 --> 00:10:08.460]   And so before we begin, I'll pray for the night,
[00:10:08.460 --> 00:10:10.420]   and then we're gonna be singing a few songs.
[00:10:10.420 --> 00:10:11.980]   Would you bow your heads with me?
[00:10:11.980 --> 00:10:16.080]   Heavenly Father, we thank You.
[00:10:17.020 --> 00:10:21.080]   After long weeks, we get to the end on these Fridays,
[00:10:21.080 --> 00:10:23.540]   and God, sometimes we're just so tired.
[00:10:23.540 --> 00:10:27.360]   But Lord, we know where our rest is,
[00:10:27.360 --> 00:10:30.600]   and God's right here in prayer,
[00:10:30.600 --> 00:10:35.040]   and in the throne room of grace where we can come
[00:10:35.040 --> 00:10:37.640]   to our Father and talk with You.
[00:10:37.640 --> 00:10:40.960]   Father, would You strengthen us?
[00:10:40.960 --> 00:10:43.500]   Would You help us, God, not to see prayer as duty?
[00:10:43.500 --> 00:10:46.920]   Would You help it to be an intimate affair,
[00:10:46.920 --> 00:10:49.280]   and Father, something that we love to do?
[00:10:49.280 --> 00:10:54.240]   God, would You help us to exercise
[00:10:54.240 --> 00:10:56.600]   this discipline in our lives?
[00:10:56.600 --> 00:10:59.000]   Would You help us to grow and to love You
[00:10:59.000 --> 00:11:00.440]   and others more through it?
[00:11:00.440 --> 00:11:02.900]   And God, most of all, would You cause us
[00:11:02.900 --> 00:11:06.100]   to be a prayerful church that we might understand
[00:11:06.100 --> 00:11:09.440]   that all things are in Your hands and not in ours?
[00:11:09.440 --> 00:11:11.080]   So Lord, as we sing these songs to You,
[00:11:11.080 --> 00:11:12.880]   would You be honored and worshiped?
[00:11:12.880 --> 00:11:14.320]   In Jesus' name we pray, amen.
[00:11:16.120 --> 00:11:19.120]   Church family, why don't we all stand together for worship?
[00:11:19.120 --> 00:11:25.700]   (upbeat music)
[00:11:25.700 --> 00:11:40.980]   ♪ You are holy ♪
[00:11:40.980 --> 00:11:43.220]   ♪ You are holy ♪
[00:11:43.220 --> 00:11:45.420]   ♪ You are holy ♪
[00:11:45.420 --> 00:11:47.680]   ♪ You are mighty ♪
[00:11:47.680 --> 00:11:49.820]   ♪ You are mighty ♪
[00:11:49.820 --> 00:11:52.160]   ♪ You are worthy ♪
[00:11:52.160 --> 00:11:53.920]   ♪ You are worthy ♪
[00:11:53.920 --> 00:11:56.160]   ♪ Worthy of praise ♪
[00:11:56.160 --> 00:11:58.960]   ♪ Worthy of praise ♪
[00:11:58.960 --> 00:12:01.200]   ♪ I will follow ♪
[00:12:01.200 --> 00:12:03.400]   ♪ I will follow ♪
[00:12:03.400 --> 00:12:05.700]   ♪ And I will listen ♪
[00:12:05.700 --> 00:12:07.880]   ♪ I will listen ♪
[00:12:07.880 --> 00:12:10.140]   ♪ I will love You ♪
[00:12:10.140 --> 00:12:12.100]   ♪ I will love You ♪
[00:12:12.100 --> 00:12:14.340]   ♪ All of my days ♪
[00:12:14.340 --> 00:12:16.940]   ♪ All of my days ♪
[00:12:16.940 --> 00:12:19.180]   ♪ I will sing to You ♪
[00:12:19.180 --> 00:12:21.480]   ♪ And worship You ♪
[00:12:21.480 --> 00:12:25.920]   ♪ The King is worthy ♪
[00:12:25.920 --> 00:12:28.160]   ♪ I will love You ♪
[00:12:28.160 --> 00:12:30.420]   ♪ Adore You ♪
[00:12:30.420 --> 00:12:32.660]   ♪ I will bow to You ♪
[00:12:32.660 --> 00:12:34.860]   ♪ Before Him ♪
[00:12:34.860 --> 00:12:37.100]   ♪ I will sing to You ♪
[00:12:37.100 --> 00:12:39.400]   ♪ And worship You ♪
[00:12:39.400 --> 00:12:43.840]   ♪ The King is worthy ♪
[00:12:43.840 --> 00:12:46.080]   ♪ I will love You ♪
[00:12:46.080 --> 00:12:48.240]   ♪ Adore You ♪
[00:12:48.240 --> 00:12:50.480]   ♪ I will bow to You ♪
[00:12:50.480 --> 00:12:52.620]   ♪ Before Him ♪
[00:12:52.620 --> 00:12:54.820]   ♪ You're my Prince at least ♪
[00:12:54.820 --> 00:12:58.660]   ♪ I will live my life for You ♪
[00:12:58.660 --> 00:13:06.100]   Sing, You are holy.
[00:13:06.100 --> 00:13:08.400]   ♪ You are holy ♪
[00:13:08.400 --> 00:13:10.660]   ♪ You are holy ♪
[00:13:10.660 --> 00:13:12.940]   ♪ You are mighty ♪
[00:13:12.940 --> 00:13:15.140]   ♪ You are mighty ♪
[00:13:15.140 --> 00:13:17.440]   ♪ You are worthy ♪
[00:13:17.440 --> 00:13:19.140]   ♪ You are worthy ♪
[00:13:19.140 --> 00:13:21.340]   ♪ Worthy of praise ♪
[00:13:21.340 --> 00:13:24.080]   ♪ Worthy of praise ♪
[00:13:24.080 --> 00:13:26.380]   ♪ I will follow ♪
[00:13:26.380 --> 00:13:28.580]   ♪ I will follow ♪
[00:13:28.580 --> 00:13:30.880]   ♪ I will listen ♪
[00:13:30.880 --> 00:13:33.060]   ♪ I will listen ♪
[00:13:33.060 --> 00:13:35.360]   ♪ I will love You ♪
[00:13:35.360 --> 00:13:37.320]   ♪ I will love You ♪
[00:13:37.320 --> 00:13:40.100]   ♪ All of my days ♪
[00:13:40.100 --> 00:13:42.040]   ♪ I will sing ♪
[00:13:42.040 --> 00:13:44.340]   ♪ I will sing to You ♪
[00:13:44.340 --> 00:13:46.540]   ♪ And worship You ♪
[00:13:46.540 --> 00:13:50.980]   ♪ The King is worthy ♪
[00:13:50.980 --> 00:13:53.240]   ♪ I will love You ♪
[00:13:53.240 --> 00:13:55.440]   ♪ Adore You ♪
[00:13:55.440 --> 00:13:57.680]   ♪ I will bow to You ♪
[00:13:57.680 --> 00:14:00.020]   ♪ Before Him ♪
[00:14:00.020 --> 00:14:02.220]   ♪ I will sing to You ♪
[00:14:02.220 --> 00:14:04.420]   ♪ And worship You ♪
[00:14:04.420 --> 00:14:08.900]   ♪ The King is worthy ♪
[00:14:08.900 --> 00:14:11.100]   ♪ I will love You ♪
[00:14:11.100 --> 00:14:13.300]   ♪ Adore You ♪
[00:14:13.300 --> 00:14:15.560]   ♪ I will bow to You ♪
[00:14:15.560 --> 00:14:17.800]   ♪ Before Him ♪
[00:14:17.800 --> 00:14:20.000]   ♪ You're my Prince of Peace ♪
[00:14:20.000 --> 00:14:23.840]   ♪ I will live my life for You ♪
[00:14:23.840 --> 00:14:31.340]   - Let's sing, You're the Lord of Lords.
[00:14:31.340 --> 00:14:33.520]   ♪ You're the Lord of Lords ♪
[00:14:33.520 --> 00:14:35.780]   ♪ You're the King of Kings ♪
[00:14:35.780 --> 00:14:38.060]   ♪ You are mighty God ♪
[00:14:38.060 --> 00:14:40.260]   ♪ Lord of everything ♪
[00:14:40.260 --> 00:14:42.520]   ♪ You're Emmanuel ♪
[00:14:42.520 --> 00:14:44.760]   ♪ You're the great I Am ♪
[00:14:44.760 --> 00:14:47.000]   ♪ You're the Prince of Peace ♪
[00:14:47.000 --> 00:14:49.260]   ♪ Who is the Lamb ♪
[00:14:49.260 --> 00:14:51.500]   ♪ You're the living God ♪
[00:14:51.500 --> 00:14:53.740]   ♪ You're my saving grace ♪
[00:14:53.740 --> 00:14:56.000]   ♪ You will reign forever ♪
[00:14:56.000 --> 00:14:58.240]   ♪ You are ancient of days ♪
[00:14:58.240 --> 00:15:00.780]   ♪ You are Alpha Omega ♪
[00:15:00.780 --> 00:15:02.740]   ♪ Beginning and end ♪
[00:15:02.740 --> 00:15:05.280]   ♪ You're my Savior, Messiah ♪
[00:15:05.280 --> 00:15:07.180]   ♪ Redeemer and friend ♪
[00:15:07.180 --> 00:15:09.320]   ♪ You're my Prince of Peace ♪
[00:15:09.320 --> 00:15:14.320]   ♪ And I will live my life for You ♪
[00:15:14.320 --> 00:15:18.160]   ♪ You're my Prince of Peace ♪
[00:15:18.160 --> 00:15:22.160]   ♪ And I will live my life for You ♪
[00:15:22.160 --> 00:15:30.340]   ♪ And all of You ♪
[00:15:30.340 --> 00:15:34.580]   ♪ Is more than enough for ♪
[00:15:34.580 --> 00:15:37.340]   ♪ All of me ♪
[00:15:37.340 --> 00:15:41.880]   ♪ For every thirst and ♪
[00:15:41.880 --> 00:15:44.620]   ♪ Every need ♪
[00:15:44.620 --> 00:15:49.160]   ♪ You satisfy me ♪
[00:15:49.160 --> 00:15:52.200]   ♪ With Your love ♪
[00:15:52.200 --> 00:15:55.800]   ♪ And all I have in You ♪
[00:15:55.800 --> 00:15:58.960]   ♪ Is more than enough ♪
[00:15:58.960 --> 00:16:01.540]   (upbeat music)
[00:16:01.540 --> 00:16:14.540]   ♪ You are my supply ♪
[00:16:14.540 --> 00:16:18.720]   ♪ My breath of life ♪
[00:16:18.720 --> 00:16:23.680]   ♪ Still more awesome than I know ♪
[00:16:23.680 --> 00:16:27.120]   ♪ You're my smile reward ♪
[00:16:27.120 --> 00:16:31.360]   ♪ Worth living for ♪
[00:16:31.360 --> 00:16:34.960]   ♪ Still more awesome than I know ♪
[00:16:34.960 --> 00:16:37.240]   ♪ And all of You ♪
[00:16:37.240 --> 00:16:40.940]   ♪ Is more than enough for ♪
[00:16:40.940 --> 00:16:43.300]   ♪ All of me ♪
[00:16:43.300 --> 00:16:47.180]   ♪ For every thirst and ♪
[00:16:47.180 --> 00:16:49.620]   ♪ Every need ♪
[00:16:49.620 --> 00:16:53.520]   ♪ You satisfy me ♪
[00:16:53.520 --> 00:16:56.160]   ♪ With Your love ♪
[00:16:56.160 --> 00:16:59.320]   ♪ And all I have in You ♪
[00:16:59.320 --> 00:17:02.560]   ♪ Is more than enough ♪
[00:17:02.560 --> 00:17:05.140]   (upbeat music)
[00:17:05.140 --> 00:17:14.040]   ♪ You're my sacrifice ♪
[00:17:14.040 --> 00:17:17.640]   ♪ You're my sacrifice ♪
[00:17:17.640 --> 00:17:21.880]   ♪ A greatest prize ♪
[00:17:21.880 --> 00:17:26.620]   ♪ Still more awesome than I know ♪
[00:17:26.620 --> 00:17:29.820]   ♪ You're my coming King ♪
[00:17:29.820 --> 00:17:34.460]   ♪ You are everything ♪
[00:17:34.460 --> 00:17:38.000]   ♪ Still more awesome than I know ♪
[00:17:38.000 --> 00:17:40.300]   ♪ And all of You ♪
[00:17:40.300 --> 00:17:44.040]   ♪ Is more than enough for ♪
[00:17:44.040 --> 00:17:46.400]   ♪ All of me ♪
[00:17:46.400 --> 00:17:50.340]   ♪ For every thirst and ♪
[00:17:50.340 --> 00:17:52.800]   ♪ Every need ♪
[00:17:52.800 --> 00:17:56.680]   ♪ You satisfy me ♪
[00:17:56.680 --> 00:17:59.380]   ♪ With Your love ♪
[00:17:59.380 --> 00:18:04.380]   ♪ And all I have in You ♪
[00:18:04.380 --> 00:18:07.760]   ♪ More than all I want ♪
[00:18:07.760 --> 00:18:12.560]   ♪ More than all I need ♪
[00:18:12.560 --> 00:18:17.240]   ♪ You are more than enough for me ♪
[00:18:17.240 --> 00:18:20.400]   ♪ More than all I know ♪
[00:18:20.400 --> 00:18:25.140]   ♪ More than all I can say ♪
[00:18:25.140 --> 00:18:29.820]   ♪ You are more than enough ♪
[00:18:29.820 --> 00:18:32.980]   ♪ More than all I want ♪
[00:18:32.980 --> 00:18:36.980]   ♪ More than all I need ♪
[00:18:36.980 --> 00:18:38.160]   ♪ Yeah ♪
[00:18:38.160 --> 00:18:42.500]   ♪ You are more than enough for me ♪
[00:18:42.500 --> 00:18:45.660]   ♪ More than all I know ♪
[00:18:45.660 --> 00:18:50.660]   ♪ More than all I can say ♪
[00:18:50.660 --> 00:18:54.040]   ♪ You are more than enough ♪
[00:18:54.040 --> 00:18:56.300]   ♪ All of You ♪
[00:18:56.300 --> 00:19:00.000]   ♪ Is more than enough for ♪
[00:19:00.000 --> 00:19:02.380]   ♪ All of me ♪
[00:19:02.380 --> 00:19:06.340]   ♪ For every thirst and ♪
[00:19:06.340 --> 00:19:08.720]   ♪ Every need ♪
[00:19:08.720 --> 00:19:12.680]   ♪ You satisfy me ♪
[00:19:12.680 --> 00:19:15.060]   ♪ With Your love ♪
[00:19:15.060 --> 00:19:17.260]   ♪ And all I have in You ♪
[00:19:17.260 --> 00:19:21.160]   ♪ All I have ♪
[00:19:21.160 --> 00:19:26.160]   ♪ And all I have in You ♪
[00:19:26.160 --> 00:19:30.940]   ♪ And all I have in You ♪
[00:19:30.940 --> 00:19:35.940]   ♪ Is more than enough ♪
[00:19:35.940 --> 00:19:40.280]   ♪ More than enough ♪
[00:19:40.280 --> 00:19:43.120]   ♪ More than enough ♪
[00:19:43.120 --> 00:19:54.360]   (gentle music)
[00:19:54.360 --> 00:20:06.300]   ♪ What gift of grace ♪
[00:20:06.300 --> 00:20:10.440]   ♪ Is Jesus my Redeemer ♪
[00:20:10.440 --> 00:20:12.940]   ♪ There is no more ♪
[00:20:12.940 --> 00:20:17.080]   ♪ For heaven now to give ♪
[00:20:17.080 --> 00:20:19.580]   ♪ He is my joy ♪
[00:20:19.580 --> 00:20:23.780]   ♪ My righteousness and freedom ♪
[00:20:23.780 --> 00:20:26.320]   ♪ My steadfast love ♪
[00:20:26.320 --> 00:20:30.460]   ♪ My deep and boundless peace ♪
[00:20:30.460 --> 00:20:33.000]   ♪ To this I hold ♪
[00:20:33.000 --> 00:20:37.540]   ♪ My hope is only Jesus ♪
[00:20:37.540 --> 00:20:42.540]   ♪ For my life is wholly bound to His ♪
[00:20:42.540 --> 00:20:47.540]   ♪ Oh how strange and divine ♪
[00:20:47.540 --> 00:20:49.220]   ♪ I can sing ♪
[00:20:49.220 --> 00:20:52.520]   ♪ All is mine yet not I ♪
[00:20:52.520 --> 00:20:56.020]   ♪ But through Christ in me ♪
[00:20:56.880 --> 00:20:59.460]   (gentle music)
[00:20:59.460 --> 00:21:09.560]   ♪ The night is dark ♪
[00:21:09.560 --> 00:21:13.760]   ♪ But I am not forsaken ♪
[00:21:13.760 --> 00:21:16.260]   ♪ For by my side ♪
[00:21:16.260 --> 00:21:20.480]   ♪ The Savior He will stay ♪
[00:21:20.480 --> 00:21:22.940]   ♪ I labor on ♪
[00:21:22.940 --> 00:21:26.980]   ♪ In weakness and rejoicing ♪
[00:21:26.980 --> 00:21:29.480]   ♪ For in my need ♪
[00:21:29.480 --> 00:21:33.620]   ♪ His power is displayed ♪
[00:21:33.620 --> 00:21:36.160]   ♪ To this I hold ♪
[00:21:36.160 --> 00:21:40.760]   ♪ My shepherd will defend me ♪
[00:21:40.760 --> 00:21:45.760]   ♪ Through the deepest valley He will lead ♪
[00:21:45.760 --> 00:21:50.740]   ♪ Oh the night has been won ♪
[00:21:50.740 --> 00:21:54.080]   ♪ And I shall overcome ♪
[00:21:54.080 --> 00:21:55.780]   ♪ Yet not I ♪
[00:21:55.780 --> 00:21:59.380]   ♪ But through Christ in me ♪
[00:21:59.380 --> 00:22:01.980]   (gentle music)
[00:22:01.980 --> 00:22:12.960]   ♪ No fate I dread ♪
[00:22:12.960 --> 00:22:17.100]   ♪ I know I am forgiven ♪
[00:22:17.100 --> 00:22:19.560]   ♪ The future sure ♪
[00:22:19.560 --> 00:22:23.700]   ♪ The price it has been paid ♪
[00:22:23.700 --> 00:22:26.200]   ♪ For Jesus bled ♪
[00:22:26.200 --> 00:22:30.380]   ♪ And suffered for my pardon ♪
[00:22:30.380 --> 00:22:32.840]   ♪ And He was raised ♪
[00:22:32.840 --> 00:22:36.920]   ♪ To overthrow the grave ♪
[00:22:36.920 --> 00:22:39.520]   ♪ To this I hold ♪
[00:22:39.520 --> 00:22:44.060]   ♪ My sin has been defeated ♪
[00:22:44.060 --> 00:22:49.060]   ♪ Jesus now and ever is my friend ♪
[00:22:50.060 --> 00:22:53.660]   ♪ Oh the chains are released ♪
[00:22:53.660 --> 00:22:57.040]   ♪ I can sing I am free ♪
[00:22:57.040 --> 00:22:58.700]   ♪ Yet not I ♪
[00:22:58.700 --> 00:23:02.280]   ♪ But through Christ in me ♪
[00:23:02.280 --> 00:23:04.880]   (gentle music)
[00:23:04.880 --> 00:23:15.720]   ♪ With every breath ♪
[00:23:15.720 --> 00:23:19.960]   ♪ I long to follow Jesus ♪
[00:23:19.960 --> 00:23:22.660]   ♪ For He has said ♪
[00:23:22.660 --> 00:23:26.900]   ♪ That He will bring me home ♪
[00:23:26.900 --> 00:23:29.300]   ♪ And day by day ♪
[00:23:29.300 --> 00:23:33.540]   ♪ I know He will renew ♪
[00:23:33.540 --> 00:23:35.980]   ♪ Until I stand ♪
[00:23:35.980 --> 00:23:38.680]   ♪ With joy before the throne ♪
[00:23:38.680 --> 00:23:40.120]   ♪ To this I hold ♪
[00:23:40.120 --> 00:23:42.580]   ♪ To this I hold ♪
[00:23:42.580 --> 00:23:47.180]   ♪ My hope is only Jesus ♪
[00:23:47.180 --> 00:23:52.200]   ♪ All the glory evermore to Him ♪
[00:23:52.200 --> 00:23:57.160]   ♪ When the race is complete ♪
[00:23:57.160 --> 00:24:00.640]   ♪ Still my lips shall repeat ♪
[00:24:00.640 --> 00:24:02.260]   ♪ Yet not I ♪
[00:24:02.260 --> 00:24:05.240]   ♪ But through Christ in me ♪
[00:24:05.240 --> 00:24:06.780]   ♪ To this I hold ♪
[00:24:06.780 --> 00:24:09.280]   ♪ To this I hold ♪
[00:24:09.280 --> 00:24:13.880]   ♪ My hope is only Jesus ♪
[00:24:13.880 --> 00:24:18.880]   ♪ All the glory evermore to Him ♪
[00:24:18.880 --> 00:24:23.820]   ♪ When the race is complete ♪
[00:24:23.820 --> 00:24:27.220]   ♪ Still my lips shall repeat ♪
[00:24:27.220 --> 00:24:28.960]   ♪ Yet not I ♪
[00:24:28.960 --> 00:24:33.960]   ♪ But through Christ in me ♪
[00:24:33.960 --> 00:24:37.240]   ♪ When the race is complete ♪
[00:24:37.240 --> 00:24:40.780]   ♪ Still my lips shall repeat ♪
[00:24:40.780 --> 00:24:42.580]   ♪ Yet not I ♪
[00:24:42.580 --> 00:24:47.580]   ♪ But through Christ in me ♪
[00:24:47.580 --> 00:24:49.380]   ♪ Yet not I ♪
[00:24:49.380 --> 00:24:54.380]   ♪ But through Christ in me ♪
[00:24:54.380 --> 00:24:56.260]   ♪ Yet not I ♪
[00:24:56.260 --> 00:24:59.860]   ♪ But through Christ in me ♪
[00:24:59.860 --> 00:25:02.440]   (gentle music)
[00:25:02.440 --> 00:25:15.560]   - Amen, you may be seated.
[00:25:15.560 --> 00:25:18.140]   (gentle music)
[00:25:18.140 --> 00:25:24.680]   All right.
[00:25:24.680 --> 00:25:26.520]   Okay, again, welcome back.
[00:25:28.400 --> 00:25:30.340]   These prayer nights are very special
[00:25:30.340 --> 00:25:33.700]   because when we think about prayer,
[00:25:33.700 --> 00:25:36.920]   it could be as simple as us just sending these things
[00:25:36.920 --> 00:25:38.700]   to you via a Word document,
[00:25:38.700 --> 00:25:41.420]   and then you can just pray at home by yourself.
[00:25:41.420 --> 00:25:44.700]   But I love these nights because there's something
[00:25:44.700 --> 00:25:47.620]   about us knowing that we're all praying together,
[00:25:47.620 --> 00:25:51.380]   and there is a unity of heart and mind and spirit
[00:25:51.380 --> 00:25:55.140]   in prayer that I think is more than worth the drive
[00:25:55.140 --> 00:25:57.720]   that you make here to come together,
[00:25:57.720 --> 00:25:59.480]   to pray together for these topics.
[00:25:59.480 --> 00:26:03.880]   And so I hope that it's an enjoyable thing.
[00:26:03.880 --> 00:26:07.360]   As hard as it is, I hope that we leave very encouraged
[00:26:07.360 --> 00:26:10.260]   and refreshed because in prayer,
[00:26:10.260 --> 00:26:13.480]   there is a great uniting of hearts
[00:26:13.480 --> 00:26:16.520]   that I think happens in the midst of it.
[00:26:16.520 --> 00:26:19.040]   So same thing as what we've been doing,
[00:26:19.040 --> 00:26:21.880]   we're gonna be giving you a lot of time tonight,
[00:26:22.340 --> 00:26:27.340]   a good chunk of time kind of undisturbed for you to pray.
[00:26:27.340 --> 00:26:29.540]   But before that, just a quick word.
[00:26:29.540 --> 00:26:32.620]   When we think about prayer
[00:26:32.620 --> 00:26:34.920]   and when we think about what we're doing here,
[00:26:34.920 --> 00:26:38.060]   there are many facets of prayer
[00:26:38.060 --> 00:26:40.180]   that we can kind of wiggle around
