
[00:00:00.000 --> 00:00:05.560]   Yeah, last sermon.
[00:06:12.000 --> 00:06:15.080]   you will find a donkey tied and a colt with her.
[00:06:15.080 --> 00:06:17.400]   Untie them and bring them to me.
[00:06:17.400 --> 00:06:21.600]   If anyone says anything to you, you shall say, 'The Lord needs them,' and he will send
[00:06:21.600 --> 00:06:23.100]   them at once."
[00:06:23.100 --> 00:06:27.200]   And so the first observation that Bartimaeus and his friend would notice is that Jesus
[00:06:27.200 --> 00:06:28.880]   is a commander.
[00:06:28.880 --> 00:06:33.960]   He gave a command to his disciples, and it's an imperative here in the Greek.
[00:06:33.960 --> 00:06:39.560]   It says, "Go into the village, untie and bring them to me."
[00:06:39.560 --> 00:06:45.360]   Again, the time was coming for Jesus to accomplish his purpose on earth.
[00:06:45.360 --> 00:06:51.000]   From Luke, in Luke 9, 51, it states that Jesus set his face towards Jerusalem.
[00:06:51.000 --> 00:06:56.160]   Now again, when you hear that phrase, "set his face," it brings about an image of just
[00:06:56.160 --> 00:06:57.880]   determination.
[00:06:57.880 --> 00:07:01.560]   There is a purpose, and Jesus will not fail to accomplish it.
[00:07:01.560 --> 00:07:09.320]   He is setting his face towards Jerusalem to accomplish his ultimate purpose.
[00:07:09.320 --> 00:07:16.480]   In Mark chapter 10, verses 32 to 34, it describes Jesus and his disciples walking towards Jerusalem
[00:07:16.480 --> 00:07:19.520]   for the final week of Jesus' life.
[00:07:19.520 --> 00:07:22.600]   And Jesus walked ahead of his disciples.
[00:07:22.600 --> 00:07:27.440]   And for whatever the reason, in Mark chapter 10, verses 32 and 34, the disciples noticed
[00:07:27.440 --> 00:07:29.440]   something different about Jesus.
[00:07:29.440 --> 00:07:34.760]   In fact, it was so different that they were amazed and afraid.
[00:07:34.760 --> 00:07:37.640]   Something holy was taking place here.
[00:07:37.640 --> 00:07:42.640]   I mean, they've walked with Jesus for three years, so what's so special about this time?
[00:07:42.640 --> 00:07:45.760]   Like, did Jesus have a special cloak on him?
[00:07:45.760 --> 00:07:48.400]   Did he have extra swagger with him that day?
[00:07:48.400 --> 00:07:53.720]   I mean, what was different that would make the disciples amazed and afraid?
[00:07:53.720 --> 00:07:59.960]   And I would argue that the reason why is because they understood, maybe partially, but they
[00:07:59.960 --> 00:08:03.720]   understood that something great was about to happen.
[00:08:03.720 --> 00:08:07.000]   Something tremendous was about to happen.
[00:08:07.000 --> 00:08:12.760]   Something life-altering was about to happen to the world.
[00:08:12.760 --> 00:08:18.040]   And these are important details because we know Christ was purposeful.
[00:08:18.040 --> 00:08:23.400]   That he wouldn't just simply send his disciples into this village, commanding them to take
[00:08:23.400 --> 00:08:27.800]   the donkey and the colt, for no reason.
[00:08:27.800 --> 00:08:31.320]   There was a reason behind his commands.
[00:08:31.320 --> 00:08:36.240]   And all throughout the Gospel accounts, and even throughout Scripture, we find Jesus was
[00:08:36.240 --> 00:08:38.840]   not afraid to give commands.
[00:08:38.840 --> 00:08:45.360]   He was not afraid to act upon his role as a commander.
[00:08:45.360 --> 00:08:50.000]   In Matthew chapter 4, verse 17, he commands the masses to repent and to believe because
[00:08:50.000 --> 00:08:53.280]   the kingdom of God is near.
[00:08:53.280 --> 00:09:01.600]   In Matthew chapter 4, verse 19, he commands his disciples to follow him wherever he goes.
[00:09:01.600 --> 00:09:09.240]   In Matthew chapter 5, verse 27 to 30, he commands the kingdom people not to lust.
[00:09:09.240 --> 00:09:15.320]   In Matthew chapter 28, verse 18, he commands his church to go and make disciples of all
[00:09:15.320 --> 00:09:17.480]   nations.
[00:09:17.480 --> 00:09:23.600]   So Jesus is not afraid of passing off commands.
[00:09:23.600 --> 00:09:28.000]   And all the commands of Christ, found not only in the Gospel, but throughout the Scriptures,
[00:09:28.000 --> 00:09:33.120]   they are designed to draw God's people nearer to him.
[00:09:33.120 --> 00:09:34.200]   Right?
[00:09:34.200 --> 00:09:39.480]   Again, whether they're drawing near to God through salvation, right, when they hear Jesus'
[00:09:39.480 --> 00:09:44.680]   command to repent and to believe, or whether they're obeying some sort of command that
[00:09:44.680 --> 00:09:51.200]   is designed to sanctify the individual, like love your neighbor as yourself.
[00:09:51.200 --> 00:09:56.840]   All these things, all these commands that Christ lays out before us, these imperatives,
[00:09:56.840 --> 00:09:59.000]   all have a purpose.
[00:09:59.000 --> 00:10:08.160]   I know, when we hear the word command or commander, it conjures up a negative type of reaction,
[00:10:08.160 --> 00:10:09.160]   right?
[00:10:09.160 --> 00:10:14.560]   Sometimes when we hear the word command, we get the idea of it being burdensome or unwanted,
[00:10:14.560 --> 00:10:15.560]   right?
[00:10:15.560 --> 00:10:18.320]   You know, I moved back in with my mom, and I love my mom to death.
[00:10:18.320 --> 00:10:19.920]   I mean, I love her a lot.
[00:10:19.920 --> 00:10:22.560]   She's invested in me so much.
[00:10:22.560 --> 00:10:26.480]   But even this morning, as I got up this morning to just, you know, kind of finalize this sermon,
[00:10:26.480 --> 00:10:29.600]   she was giving me my commands, like, "Oh, you need to clean up before you go.
[00:10:29.600 --> 00:10:30.880]   Oh, you need to eat this vitamin.
[00:10:30.880 --> 00:10:31.960]   It's good for you."
[00:10:31.960 --> 00:10:35.040]   You know, and, "Oh, you do this, do that, do that."
[00:10:35.040 --> 00:10:41.480]   I'm just like, "Okay, Mom."
[00:10:41.480 --> 00:10:42.480]   I'm 31 years old.
[00:10:42.480 --> 00:10:46.160]   I know what to do.
[00:10:46.160 --> 00:10:50.280]   At those times, when she's passing out those commands, it's burdensome.
[00:10:50.280 --> 00:10:53.240]   It's unwanted.
[00:10:53.240 --> 00:11:01.360]   But I think that it's not the commands itself that are burdensome.
[00:11:01.360 --> 00:11:07.280]   I think oftentimes it's who the command is coming from that can make the commands burdensome
[00:11:07.280 --> 00:11:09.920]   and unwanted, right?
[00:11:09.920 --> 00:11:15.600]   So for example, when I was in high school, I played a year of high school football.
[00:11:15.600 --> 00:11:17.920]   And our freshman team, I mean, our freshman team was pretty good.
[00:11:17.920 --> 00:11:20.760]   I mean, we were almost undefeated.
[00:11:20.760 --> 00:11:22.480]   We lost one game.
[00:11:22.480 --> 00:11:23.480]   And it was fun.
[00:11:23.480 --> 00:11:27.360]   You know, I mean, whenever the coach told us to run a play, we ran the play.
[00:11:27.360 --> 00:11:30.160]   When the coach told us to do something, we would go and do it.
[00:11:30.160 --> 00:11:32.000]   And we wouldn't just simply do it.
[00:11:32.000 --> 00:11:39.440]   We would do it with passion, with conviction, with focus, to execute the plan to be complete.
[00:11:39.440 --> 00:11:43.120]   Now, I came a little bit late into the season.
[00:11:43.120 --> 00:11:48.640]   And so obviously all the positions that I would want to play were already taken.
[00:11:48.640 --> 00:11:50.280]   But the JV team needed spots.
[00:11:50.280 --> 00:11:52.480]   And so I didn't get promoted to JV.
[00:11:52.480 --> 00:11:57.760]   I was just simply sent there to be like an extra body, you know, just to be used.
[00:11:57.760 --> 00:12:02.040]   Now that JV team was, it wasn't as awesome as our freshman team.
[00:12:02.040 --> 00:12:04.320]   I mean, the record was pretty bad.
[00:12:04.320 --> 00:12:06.200]   They're winless.
[00:12:06.200 --> 00:12:11.920]   And you know, you could tell by the players on the JV team that when the coach was giving
[00:12:11.920 --> 00:12:20.120]   them a play to accomplish or to execute, that they weren't as eager or they weren't as focused
[00:12:20.120 --> 00:12:25.440]   or they weren't as precise in executing that play.
[00:12:25.440 --> 00:12:29.560]   When the coach would tell them to do something, you could tell they were dragging their feet.
[00:12:29.560 --> 00:12:32.920]   All because they didn't trust the coach.
[00:12:32.920 --> 00:12:36.640]   The coach has led them into this path where they were winless and they didn't have anything
[00:12:36.640 --> 00:12:38.320]   to be proud about.
[00:12:38.320 --> 00:12:40.100]   And so they didn't listen to him.
[00:12:40.100 --> 00:12:45.120]   So his commands became burdensome, became unwanted.
[00:12:45.120 --> 00:12:51.160]   In the same way too, depending on who gives the commands affects our focus, affects our
[00:12:51.160 --> 00:12:56.000]   passion, affects the way we want to execute these commands.
[00:12:56.000 --> 00:13:03.800]   And we know with Christ as the great commander, that he will never lead us astray.
[00:13:03.800 --> 00:13:06.920]   I don't think there's anyone in this room that will come up and say that Jesus led me
[00:13:06.920 --> 00:13:08.160]   astray.
[00:13:08.160 --> 00:13:12.080]   I followed Jesus and my life turned out being the worst for it.
[00:13:12.080 --> 00:13:18.160]   I think all of us could safely say that Jesus is good.
[00:13:18.160 --> 00:13:21.840]   And what he commands us to do is going to be good for me.
[00:13:21.840 --> 00:13:25.520]   And it's going to be honoring to God.
[00:13:25.520 --> 00:13:29.400]   And so we need to understand that Jesus is a commander.
[00:13:29.400 --> 00:13:35.200]   He will command us however he sees fit and it will be good.
[00:13:35.200 --> 00:13:41.080]   So Bartimaeus and his buddy, they're looking at Jesus and saying, "Okay, he's a commander.
[00:13:41.080 --> 00:13:42.240]   Great."
[00:13:42.240 --> 00:13:50.120]   Now the second thing that I would assume Bartimaeus would observe is that Jesus is a fulfiller.
[00:13:50.120 --> 00:13:51.960]   He is a fulfiller.
[00:13:51.960 --> 00:13:53.840]   Jesus keeps his word.
[00:13:53.840 --> 00:13:56.000]   He will keep his promises.
[00:13:56.000 --> 00:14:00.840]   Unlike politicians and other world leaders that we may know of, or maybe even our bosses
[00:14:00.840 --> 00:14:06.720]   at work, sometimes they may say one thing, but then they do something else, right?
[00:14:06.720 --> 00:14:10.120]   Well with Jesus, we understand that he will keep his word.
[00:14:10.120 --> 00:14:12.640]   He will fulfill it to the very end.
[00:14:12.640 --> 00:14:13.640]   John 1.1, right?
[00:14:13.640 --> 00:14:18.460]   Jesus is the word of God made manifest in the flesh.
[00:14:18.460 --> 00:14:23.940]   And Jesus was very purposeful in selecting Zechariah 9.9 as the text to be fulfilled
[00:14:23.940 --> 00:14:26.420]   on this day.
[00:14:26.420 --> 00:14:31.860]   Again, Matthew refers to Christ fulfilling some portion of Old Testament prophecies at
[00:14:31.860 --> 00:14:35.540]   least 15 times in the gospel account.
[00:14:35.540 --> 00:14:41.500]   And so when you consider the timing of this entrance and you consider the word, the promises
[00:14:41.500 --> 00:14:48.020]   found in Zechariah 9.9, again, it is another time in which Christ is declaring, "I am your
[00:14:48.020 --> 00:14:49.020]   Messiah.
[00:14:49.020 --> 00:14:54.100]   I am your Savior."
[00:14:54.100 --> 00:14:59.340]   Now we read in verse 4 and 5, you know, that he did all these things to fulfill what is
[00:14:59.340 --> 00:15:00.340]   spoken by the prophets.
[00:15:00.340 --> 00:15:04.900]   It says, "Say to the daughter of Zion, 'Behold, your king is coming to you, humble and mounted
[00:15:04.900 --> 00:15:08.620]   on a donkey, on a colt, the foal of a beast of burden.'"
[00:15:08.620 --> 00:15:13.340]   And so I think it would be good for us to unpack what Zechariah 9.9 is trying to get
[00:15:13.340 --> 00:15:14.340]   at here.
[00:15:14.340 --> 00:15:16.540]   And then we'll come back to Matthew chapter 21.
[00:15:16.540 --> 00:15:21.060]   So again, flip your Bibles over to Zechariah chapter 9.
[00:15:21.060 --> 00:15:25.740]   Again, it's just two books before the book of Matthew.
[00:15:25.740 --> 00:15:28.380]   Zechariah 9.9.
[00:15:28.380 --> 00:15:34.260]   Again, to give us a little context here, Zechariah was a book written to the nation of Israel
[00:15:34.260 --> 00:15:36.540]   when they returned from their exile.
[00:15:36.540 --> 00:15:37.540]   Right?
[00:15:37.540 --> 00:15:39.020]   For 70 years, they were gone.
[00:15:39.020 --> 00:15:40.980]   They were kicked out of their land.
[00:15:40.980 --> 00:15:46.580]   And so now being part of the, under the regime of the Persians, they allow, King Cyrus allowed
[00:15:46.580 --> 00:15:51.660]   them to come back to the land and to kind of like rebuild it, to restore it.
[00:15:51.660 --> 00:15:54.580]   And so Zechariah was a book written during this time.
[00:15:54.580 --> 00:16:01.620]   And Zechariah, the book itself, is filled with a lot of hope and a lot of positive prophecies
[00:16:01.620 --> 00:16:07.780]   as a means to motivate the Israelites to continue to rebuild the temple, to rebuild their lives
[00:16:07.780 --> 00:16:10.520]   in this land.
[00:16:10.520 --> 00:16:13.220]   And specifically Zechariah 9.
[00:16:13.220 --> 00:16:18.820]   Zechariah 9 starts off with this judgment upon, not Israel, okay?
[00:16:18.820 --> 00:16:22.660]   I know we read a lot of the Old Testament prophets and we just simply assume all judgment
[00:16:22.660 --> 00:16:26.340]   is on Israel because they're just a bad, bad people, you know?
[00:16:26.340 --> 00:16:29.380]   But this time, no, it's judgment upon Israel's enemies.
[00:16:29.380 --> 00:16:30.380]   Okay?
[00:16:30.380 --> 00:16:35.120]   Again, this prophecy is designed to be hopeful for the nation of Israel at this time.
[00:16:35.120 --> 00:16:39.660]   And so here we have God basically prophesying, "Your enemies will be judged.
[00:16:39.660 --> 00:16:40.660]   They will be punished.
[00:16:40.660 --> 00:16:47.580]   They will be, um, um, they will no longer exist."
[00:16:47.580 --> 00:16:54.340]   And then after all that in verses, chapter 9, verses 1 through 8, we go to verse 9.
[00:16:54.340 --> 00:16:58.060]   In verse 9, here we have a positive prophecy.
[00:16:58.060 --> 00:17:00.580]   It says, "Rejoice greatly, O daughter of Zion.
[00:17:00.580 --> 00:17:03.220]   Shout aloud, O daughter of Jerusalem.
[00:17:03.220 --> 00:17:06.260]   Behold, your King is coming to you.
[00:17:06.260 --> 00:17:09.060]   Righteous and having salvation is He.
[00:17:09.060 --> 00:17:13.860]   Full and mounted on a donkey, on a colt, the foal of a donkey."
[00:17:13.860 --> 00:17:22.100]   Remember, during Zechariah's time, they did not have a king.
[00:17:22.100 --> 00:17:27.980]   In Israel's, in context of Israel's mindset, having a king, having a Davidic king on a
[00:17:27.980 --> 00:17:31.180]   throne was essential.
[00:17:31.180 --> 00:17:33.780]   That's how they knew they were God's people.
[00:17:33.780 --> 00:17:35.820]   They look at the throne and there's no one sitting there.
[00:17:35.820 --> 00:17:39.740]   They have a governor, but he's not a king.
[00:17:39.740 --> 00:17:43.100]   And so, put yourself in the shoes of these Israelites.
[00:17:43.100 --> 00:17:44.100]   They're coming into a land.
[00:17:44.100 --> 00:17:46.340]   They have to rebuild everything.
[00:17:46.340 --> 00:17:49.580]   They don't know how their, how their government's going to be, what their government's going
[00:17:49.580 --> 00:17:51.900]   to look like.
[00:17:51.900 --> 00:17:57.420]   And here's a prophecy that a king is coming to them.
[00:17:57.420 --> 00:18:01.020]   And he's going to be identified as one riding on a young colt.
[00:18:01.020 --> 00:18:07.740]   Again, that image of riding on this colt or this young animal indicates a peaceful transition,
[00:18:07.740 --> 00:18:08.740]   right?
[00:18:08.740 --> 00:18:11.500]   It's supposed to indicate that there's peace coming.
[00:18:11.500 --> 00:18:14.420]   Victory is coming.
[00:18:14.420 --> 00:18:20.520]   And so, you know, putting ourselves in Barnabas' shoes, we're seeing that Jesus is a commander.
[00:18:20.520 --> 00:18:23.700]   He commands His disciples to do stuff and they follow and obey.
[00:18:23.700 --> 00:18:24.700]   Great.
[00:18:24.700 --> 00:18:26.460]   Oh, look at this.
[00:18:26.460 --> 00:18:27.980]   He's asking for a colt.
[00:18:27.980 --> 00:18:30.460]   And that's fulfilling Zechariah 9.9.
[00:18:30.460 --> 00:18:31.940]   Great.
[00:18:31.940 --> 00:18:35.620]   Maybe with our newfound eyes, we could actually go back to Zechariah 9.9 and let's read a
[00:18:35.620 --> 00:18:36.620]   little bit here.
[00:18:36.620 --> 00:18:39.820]   Oh, look, there is a king that is coming, right?
[00:18:39.820 --> 00:18:41.500]   And so, that's my third observation here.
[00:18:41.500 --> 00:18:46.980]   If I was Barnabas and his friend, newly given sight, I would take notice that there is a
[00:18:46.980 --> 00:18:48.300]   king.
[00:18:48.300 --> 00:18:51.220]   Jesus is the king.
[00:18:51.220 --> 00:18:56.300]   And there are three characteristics that are listed off for here, listed off to us in Zechariah
[00:18:56.300 --> 00:19:02.180]   9.9 that I want us to pay close attention to.
[00:19:02.180 --> 00:19:06.060]   The first characteristic of this king is he is righteous.
[00:19:06.060 --> 00:19:08.220]   He is a righteous king.
[00:19:08.220 --> 00:19:14.480]   The Hebrew word is "zaddik," which means to conform to a moral or ethical standard.
[00:19:14.480 --> 00:19:20.940]   And as believers of the Word of God, we know that all human beings, mankind, has been created
[00:19:20.940 --> 00:19:22.820]   in the image of God.
[00:19:22.820 --> 00:19:27.940]   And so, the standard, the moral and ethical standard that all mankind is under is not
[00:19:27.940 --> 00:19:33.020]   man's own making.
[00:19:33.020 --> 00:19:37.740]   We all affirm that the standard, the moral and ethical standard that we live by is set
[00:19:37.740 --> 00:19:41.060]   by the Creator Himself, God.
[00:19:41.060 --> 00:19:46.880]   And so, that is the standard in which this king that is coming in Zechariah 9.9 is living
[00:19:46.880 --> 00:19:47.880]   up to.
[00:19:47.880 --> 00:19:48.980]   He is righteous.
[00:19:48.980 --> 00:19:53.860]   He lives up to the standard of God's righteousness.
[00:19:53.860 --> 00:20:00.020]   In other words, the king that is described here in Zechariah 9.9 is someone who knows
[00:20:00.020 --> 00:20:05.860]   how to respond rightly in all and every situations.
[00:20:05.860 --> 00:20:08.740]   He knows how to respond rightly.
[00:20:08.740 --> 00:20:12.020]   If the situation calls for mercy, the king will show mercy.
[00:20:12.020 --> 00:20:17.220]   If the situation calls for correction, the king will correct.
[00:20:17.220 --> 00:20:21.820]   And this is something that should really stand out to us as sinners, right?
[00:20:21.820 --> 00:20:25.940]   Because all of us are in different situations, in different areas of our lives.
[00:20:25.940 --> 00:20:31.580]   And sometimes we respond correctly, but I would say most of the time we don't respond
[00:20:31.580 --> 00:20:33.780]   correctly, right?
[00:20:33.780 --> 00:20:38.340]   And so, this is an amazing characteristic that this king has.
[00:20:38.340 --> 00:20:39.660]   He is righteous.
[00:20:39.660 --> 00:20:43.940]   He knows how to respond.
[00:20:43.940 --> 00:20:50.740]   If we contrast this to Israel's kings, right, then we know that Israel's kings, even though
[00:20:50.740 --> 00:20:56.740]   they strive after righteousness, they were never righteous completely, right?
[00:20:56.740 --> 00:21:01.820]   Saul, the first king of Israel, not righteous at all, right?
[00:21:01.820 --> 00:21:05.780]   Even though he was the first king of Israel, he led Israel astray.
[00:21:05.780 --> 00:21:08.180]   David was the second king.
[00:21:08.180 --> 00:21:13.380]   He had his moments of righteousness, but ultimately we understand that his life was not characterized
[00:21:13.380 --> 00:21:16.060]   by righteousness completely.
[00:21:16.060 --> 00:21:19.780]   Solomon, the man with wisdom, right?
[00:21:19.780 --> 00:21:26.140]   We have so many stories in the Old Testament where his wisdom allowed him to respond rightly
[00:21:26.140 --> 00:21:27.940]   to different things.
[00:21:27.940 --> 00:21:32.540]   And yet, when you look at his marriage, and you look at where his heart was given over
[00:21:32.540 --> 00:21:35.180]   to, we know that fell short.
[00:21:35.180 --> 00:21:37.380]   He wasn't righteous.
[00:21:37.380 --> 00:21:43.660]   And every king afterwards that came after Solomon, you know, first kings 1422, first
[00:21:43.660 --> 00:21:49.740]   kings 1526, so on and so forth, there was a phrase that described these kings.
[00:21:49.740 --> 00:21:54.540]   And the phrase is, "They did what was evil in the sight of the Lord."
[00:21:54.540 --> 00:21:56.340]   They were unrighteous.
[00:21:56.340 --> 00:21:59.940]   They did not live up to the moral and ethical standards of God.
[00:21:59.940 --> 00:22:07.020]   If you want to put another phrase, another spin to it, they didn't live up to God's holiness.
[00:22:07.020 --> 00:22:14.900]   Again, as these blind men regained their sight, they noticed that he is righteous.
[00:22:14.900 --> 00:22:18.020]   He does everything rightly.
[00:22:18.020 --> 00:22:22.860]   Christ's righteousness is consistent and it never wavers.
[00:22:22.860 --> 00:22:29.740]   Unlike Israel's kings, Christ's righteousness is consistent and never wavers.
[00:22:29.740 --> 00:22:32.240]   He responds correctly to the masses with needs.
[00:22:32.240 --> 00:22:36.540]   He responds to the religious leaders by with correction.
[00:22:36.540 --> 00:22:42.380]   He responds to his disciples with compassion and sometimes correction as well.
[00:22:42.380 --> 00:22:49.500]   All in all, that's how his righteousness is manifested, the way he responds.
[00:22:49.500 --> 00:22:51.700]   So this king is righteous.
[00:22:51.700 --> 00:22:55.660]   Secondly, this king is a saving king.
[00:22:55.660 --> 00:22:56.660]   He saves.
[00:22:56.660 --> 00:23:00.860]   Zechariah 9.9 says, "Behold, your king is coming to you.
[00:23:00.860 --> 00:23:05.940]   Righteous and having salvation is he."
[00:23:05.940 --> 00:23:13.460]   The word salvation here, saving, right, in the Hebrew depicts an image of making something
[00:23:13.460 --> 00:23:14.460]   wide.
[00:23:14.460 --> 00:23:15.820]   Right?
[00:23:15.820 --> 00:23:17.360]   Making something wide.
[00:23:17.360 --> 00:23:23.340]   It pictures an individual surrounded by enemies, dangers, being oppressed.
