
[00:00:00.000 --> 00:00:06.440]   All right, good morning.
[00:03:54.100 --> 00:03:58.400]   Whatever it may be, my guess is you're not going to be frivolous.
[00:03:58.400 --> 00:04:01.720]   That every word that you say is going to have meaning.
[00:04:01.720 --> 00:04:05.160]   You're going to think through all the things that you have learned, all the things that
[00:04:05.160 --> 00:04:08.580]   you wish that your children would understand.
[00:04:08.580 --> 00:04:11.600]   And most likely you're going to give them some instructions, whether they understand
[00:04:11.600 --> 00:04:14.300]   it or not, you're going to give some instructions to them.
[00:04:14.300 --> 00:04:18.500]   My guess is that you're not going to be telling a joke for your last thing that you want to
[00:04:18.500 --> 00:04:20.860]   say, right?
[00:04:20.860 --> 00:04:26.700]   You know, this week we, our brother Lee, his father passed away last week and had a funeral
[00:04:26.700 --> 00:04:28.040]   on Monday.
[00:04:28.040 --> 00:04:32.500]   And we were, a few of us, the pastors and a few people were able to participate from
[00:04:32.500 --> 00:04:36.900]   a distance, obviously because of all that was going on.
[00:04:36.900 --> 00:04:41.980]   And one of the things that he said was that his father, before he passed away, was in
[00:04:41.980 --> 00:04:45.860]   the state of mind where he was able to write a letter to each one of his children and his
[00:04:45.860 --> 00:04:51.940]   loved one and just telling them that he loves them and then just giving them fatherly advice,
[00:04:51.940 --> 00:04:52.940]   last fatherly advice.
[00:04:52.940 --> 00:04:57.100]   And when I heard that, I said, wow, that's really, you know, awesome.
[00:04:57.100 --> 00:05:01.420]   And each one of those letters are probably something that each of their children and
[00:05:01.420 --> 00:05:03.940]   loved ones are going to cherish for the rest of their lives.
[00:05:03.940 --> 00:05:07.780]   And I was just kind of curious what he wrote because, you know, whatever he writes there,
[00:05:07.780 --> 00:05:08.780]   it's going to be very weighty.
[00:05:08.780 --> 00:05:12.740]   It's going to take a lot, he probably took a lot of time thinking about this, you know,
[00:05:12.740 --> 00:05:18.820]   80 plus, 87 years or so of his life that he's accumulated through all the sufferings and
[00:05:18.820 --> 00:05:23.980]   through the Korean War, immigration and the hardship and, you know, living as a faithful
[00:05:23.980 --> 00:05:26.900]   Christian man for so many decades.
[00:05:26.900 --> 00:05:31.580]   It's all of that accumulated in that one letter instructing their children that make sure
[00:05:31.580 --> 00:05:33.820]   that you understand this.
[00:05:33.820 --> 00:05:41.100]   Well, the text that we're looking at this morning in a way is Jesus's last teaching
[00:05:41.100 --> 00:05:43.740]   that he's leaving to his disciples.
[00:05:43.740 --> 00:05:49.180]   You know, what he says here is taking place right after he has the Lord's Supper.
[00:05:49.180 --> 00:05:52.180]   And then he's instructed them that one of them are going to betray them.
[00:05:52.180 --> 00:05:58.500]   And so Judas takes off to go get the temple guards so that they can come in the middle
[00:05:58.500 --> 00:06:00.460]   of the night to take him away.
[00:06:00.460 --> 00:06:04.020]   And so it was in between that time before they go to the Garden of Gethsemane where
[00:06:04.020 --> 00:06:08.940]   he wrestles in prayer and then he gets arrested after that and then he heads to the cross.
[00:06:08.940 --> 00:06:13.660]   So really this is the last thing that he says to his disciples until after he resurrects
[00:06:13.660 --> 00:06:17.340]   and then he commissions them to the Great Commission.
[00:06:17.340 --> 00:06:22.160]   So you can imagine how important these words are because this was not given to the public.
[00:06:22.160 --> 00:06:27.660]   This was given specifically to his disciples as instructions that after I leave you make
[00:06:27.660 --> 00:06:31.660]   sure that you do this.
[00:06:31.660 --> 00:06:36.740]   Now this is the seventh, the last of the I Am statements, the seven I Am statements that
[00:06:36.740 --> 00:06:38.180]   we went through.
[00:06:38.180 --> 00:06:42.060]   And if you look at it superficially you may say, "Wow, you know, there's so many profound
[00:06:42.060 --> 00:06:45.380]   and great things that Jesus says in the I Am statements."
[00:06:45.380 --> 00:06:51.220]   And I would think that maybe a good way to leave and the last thing that he would say
[00:06:51.220 --> 00:06:55.620]   to his disciples is, "I am the resurrection and the life."
[00:06:55.620 --> 00:06:59.220]   You know, because he's about to go to the cross, he's about to die and to leave them
[00:06:59.220 --> 00:07:01.820]   with that, "I am the resurrection and the life."
[00:07:01.820 --> 00:07:05.380]   Or maybe even what he said last week, "I am the way, the truth, and the life.
[00:07:05.380 --> 00:07:08.140]   No one goes to the Father but through me."
[00:07:08.140 --> 00:07:12.860]   But those were the fifth and sixth and then the seventh, the last one, "I am divine."
[00:07:12.860 --> 00:07:15.460]   And this was the last thing that he says to them.
[00:07:15.460 --> 00:07:19.540]   This is the last thing that he wanted to make sure he clarifies to his disciples before
[00:07:19.540 --> 00:07:21.260]   he goes to the cross.
[00:07:21.260 --> 00:07:27.220]   I mean, it almost sounds mundane superficially if you don't really understand what he is
[00:07:27.220 --> 00:07:28.220]   saying.
[00:07:28.220 --> 00:07:29.660]   He's not simply saying that, "I am divine.
[00:07:29.660 --> 00:07:31.660]   You need to be connected to me if you want to bear fruit."
[00:07:31.660 --> 00:07:39.140]   And again, as important as that is, the reason why he says that is because he's preparing
[00:07:39.140 --> 00:07:41.340]   them to leave.
[00:07:41.340 --> 00:07:47.500]   He's preparing to leave them and he wanted them to make sure that they understood.
[00:07:47.500 --> 00:07:51.740]   My guess is that if you were to write a last letter that you're going to write to your
[00:07:51.740 --> 00:07:57.060]   children, you're going to have a lot of maybe life wisdom to teach them how to be successful
[00:07:57.060 --> 00:07:59.220]   in life.
[00:07:59.220 --> 00:08:01.380]   Work hard.
[00:08:01.380 --> 00:08:04.360]   Make sure you're good to people.
[00:08:04.360 --> 00:08:06.180]   Make sure you're kind.
[00:08:06.180 --> 00:08:09.520]   Whatever it is, life instructions, you're probably going to leave behind things that
[00:08:09.520 --> 00:08:14.380]   you think are going to help your children to be successful.
[00:08:14.380 --> 00:08:19.020]   Well, chapter 15 is all about bearing fruit.
[00:08:19.020 --> 00:08:23.460]   He just told them that he's about to leave, but he's also instructing them that after
[00:08:23.460 --> 00:08:28.420]   I leave, if you want to continue to bear fruit, this is what you need to do.
[00:08:28.420 --> 00:08:32.300]   And so the whole chapter 15 is about Christians bearing fruit.
[00:08:32.300 --> 00:08:36.940]   After he leaves, he wanted them to continue to do the work that he started, to continue
[00:08:36.940 --> 00:08:40.860]   to spread the gospel, build churches.
[00:08:40.860 --> 00:08:46.940]   But he's telling them that you cannot bear this fruit on your own.
[00:08:46.940 --> 00:08:53.220]   As Christians, and not even just as Christians, in anything that we do, if you start a business
[00:08:53.220 --> 00:08:56.940]   and it doesn't do well, you're not bearing fruit.
[00:08:56.940 --> 00:08:59.860]   You're not going to do that for too long.
[00:08:59.860 --> 00:09:04.100]   If you have a relationship that doesn't bear fruit, meaning that it's not reciprocated,
[00:09:04.100 --> 00:09:07.860]   it's just completely one-sided, you're not going to endure it for too long.
[00:09:07.860 --> 00:09:12.820]   If you go to school and you put in your time and you go to school and you're staying up
[00:09:12.820 --> 00:09:16.820]   at night and trying to do your paper, and at the end of it, you're not making any progress,
[00:09:16.820 --> 00:09:20.220]   you're not passing your classes, and it's like, "Maybe this is not for me."
[00:09:20.220 --> 00:09:25.300]   Whatever it is that you do, whether it's sports, business, relationship, or school, whatever
[00:09:25.300 --> 00:09:31.980]   you do, if you don't see tangible fruit, eventually you'll lose interest, and you'll probably
[00:09:31.980 --> 00:09:35.000]   pack up your bags and try to do something else.
[00:09:35.000 --> 00:09:37.880]   And it is no different with our faith.
[00:09:37.880 --> 00:09:43.100]   If at some point in our endeavor, memorizing scripture and trying to pray, coming to church,
[00:09:43.100 --> 00:09:48.780]   if we don't begin to see some progress in the things that we are doing, eventually we
[00:09:48.780 --> 00:09:50.940]   lose interest.
[00:09:50.940 --> 00:09:56.780]   We may not physically walk out of the church, but internally, we have no expectations.
[00:09:56.780 --> 00:10:01.700]   We just kind of do it, hopefully we can just make it, and we just become very nominal Christians
[00:10:01.700 --> 00:10:06.940]   without any goals, without any purpose, and no expectations to ever bear fruit, and we
[00:10:06.940 --> 00:10:11.380]   kind of use cliche things like, "God loves us exactly the way we are."
[00:10:11.380 --> 00:10:16.340]   All of these things may be true, but we kind of revert back to that in order to excuse
[00:10:16.340 --> 00:10:18.980]   a life that is fruitless.
[00:10:18.980 --> 00:10:21.320]   And so internally, we don't have any excitement.
[00:10:21.320 --> 00:10:25.660]   Maybe that died way back in college, or maybe when you were younger, maybe before you had
[00:10:25.660 --> 00:10:32.940]   kids, maybe before you started, had a full-time job, whatever it might be, this vision, this
[00:10:32.940 --> 00:10:37.980]   idea that we're going to bear fruit, we're going to expand or get the kingdom of God
[00:10:37.980 --> 00:10:46.660]   all over the world, for whatever the reason, many Christians fall away from that, and then
[00:10:46.660 --> 00:10:49.460]   they just kind of learn to go through the motion.
[00:10:49.460 --> 00:10:54.220]   I just do my part, and I just make it to next year, and then outside of just going to church
[00:10:54.220 --> 00:11:00.420]   on Sunday and then participating in events, there really isn't this striving after God.
[00:11:00.420 --> 00:11:07.460]   What Jesus is saying here is not a distinguishing mark between a good Christian and a bad Christian.
[00:11:07.460 --> 00:11:09.800]   That's the first thing that we need to understand.
[00:11:09.800 --> 00:11:15.060]   He's making a distinguishing mark between a Christian and a non-Christian, because he
[00:11:15.060 --> 00:11:19.160]   doesn't say, "If you want to bear fruit, you should do these things, and hopefully you
[00:11:19.160 --> 00:11:22.140]   can do a good job and bear more fruit."
[00:11:22.140 --> 00:11:27.780]   John 15, 2, it says, "Every branch of me that does not bear fruit, he takes away," meaning
[00:11:27.780 --> 00:11:28.780]   it gets chopped down.
[00:11:28.780 --> 00:11:34.580]   "And every branch that bears fruit, he prunes it so that it may bear more fruit."
[00:11:34.580 --> 00:11:39.420]   Again in chapter 15, verse 16, "If anyone does not abide in me, he is thrown away as
[00:11:39.420 --> 00:11:44.060]   a branch and dries up, and they gather them and cast them into the fire, and they are
[00:11:44.060 --> 00:11:45.060]   burned."
[00:11:45.060 --> 00:11:52.500]   Again, many people misunderstand this text as in God is giving wise instructions as to
[00:11:52.500 --> 00:11:57.460]   Christians so that we can bear more fruit, which is also true.
[00:11:57.460 --> 00:12:01.500]   But fundamentally what Jesus is telling his disciples, the distinguishing mark between
[00:12:01.500 --> 00:12:05.180]   a Christian and a non-Christian is that a Christian bears fruit, and a non-Christian
[00:12:05.180 --> 00:12:06.740]   bears no fruit.
[00:12:06.740 --> 00:12:10.780]   There is no evidence of their faith in their life.
[00:12:10.780 --> 00:12:20.620]   So what he is saying to his disciples are the identifying mark of a true believer.
[00:12:20.620 --> 00:12:26.620]   So again, it's very, very important that we understand what he is saying.
[00:12:26.620 --> 00:12:34.020]   But as important as bearing fruit is, as an identifying mark of a Christian, the imperative
[00:12:34.020 --> 00:12:36.620]   in this passage is not bear fruit.
[00:12:36.620 --> 00:12:41.700]   Meaning God's ultimate command is not "Go bear fruit."
[00:12:41.700 --> 00:12:49.500]   Because if you're not a fruit tree, and you're trying to bear fruit, how are you going to
[00:12:49.500 --> 00:12:51.540]   feel?
[00:12:51.540 --> 00:12:54.540]   What kind of success are you going to have?
[00:12:54.540 --> 00:12:56.340]   Zero.
[00:12:56.340 --> 00:13:04.380]   You don't plant a grape vine, or a peach tree, or an apple tree, and then expect pineapples
[00:13:04.380 --> 00:13:05.380]   to come out.
[00:13:05.380 --> 00:13:10.980]   You're going to be frustrated when only pineapples come out, or maybe no fruits come out.
[00:13:10.980 --> 00:13:14.900]   The imperative in this passage is not "Go bear fruit."
[00:13:14.900 --> 00:13:18.780]   The imperative in this passage is "How do we bear fruit?"
[00:13:18.780 --> 00:13:23.380]   So that's why he says, "I am the true vine."
[00:13:23.380 --> 00:13:26.140]   He's telling them how to bear fruit.
[00:13:26.140 --> 00:13:30.460]   That after I leave, up to now, you've been just doing whatever I told you to do.
[00:13:30.460 --> 00:13:32.900]   If I went to Jerusalem, you came with me.
[00:13:32.900 --> 00:13:34.300]   If I healed the sick, you helped me.
[00:13:34.300 --> 00:13:38.580]   If I fed the people who were hungry, you carried it and you did my work.
[00:13:38.580 --> 00:13:40.820]   But now I'm going to leave."
[00:13:40.820 --> 00:13:45.060]   And they're all freaking out, like, "Where are you going?"
[00:13:45.060 --> 00:13:48.660]   So he's answering that question, "Why can't we go with you?"
[00:13:48.660 --> 00:13:50.500]   The disciples are distraught.
[00:13:50.500 --> 00:13:53.260]   "What's going to happen to us after you leave?
[00:13:53.260 --> 00:13:56.960]   How are we going to continue the work?"
[00:13:56.960 --> 00:14:02.900]   So he's telling them that in order to bear fruit, you must remain in me.
[00:14:02.900 --> 00:14:07.860]   That's the "I am" statement that he's making to his disciples, that "I am the vine."
[00:14:07.860 --> 00:14:11.340]   If you want to bear fruit, you must abide in me.
[00:14:11.340 --> 00:14:17.660]   In fact, John himself uses the word "meno," which is translated for "abide" in this passage,
[00:14:17.660 --> 00:14:21.340]   50 times in his letters, 50 times.
[00:14:21.340 --> 00:14:27.260]   So John repeats it in his letters over and over and over again, that if we want to bear
[00:14:27.260 --> 00:14:29.500]   fruit, we must abide in Christ.
[00:14:29.500 --> 00:14:35.540]   That's in this text alone, in chapter 15, he uses the word "meno" to abide 11 separate
[00:14:35.540 --> 00:14:37.180]   times.
[00:14:37.180 --> 00:14:40.660]   So if you were to read chapter 11 and you have a highlighter, go every time he uses
[00:14:40.660 --> 00:14:45.100]   the word "abide," highlight it.
[00:14:45.100 --> 00:14:48.740]   Because it'll tell you every time you flip that chapter, chapter 15, the highlighter
[00:14:48.740 --> 00:14:51.500]   will tell you, "Oh, he's talking about abiding in Christ."
[00:14:51.500 --> 00:14:54.340]   It's not necessarily, "Go bear fruit."
[00:14:54.340 --> 00:14:58.100]   It's like, "No, you can't bear fruit unless you abide."
[00:14:58.100 --> 00:15:04.240]   So this word "abide" is a very key word because Jesus is saying that distinguishing mark between
[00:15:04.240 --> 00:15:08.380]   a Christian and a non-Christian is abiding.
[00:15:08.380 --> 00:15:13.160]   For you to be able to bear fruit and continue to do the work that I am sending you to do,
[00:15:13.160 --> 00:15:14.700]   you must abide.
[00:15:14.700 --> 00:15:21.420]   In order for you to have any success in your Christian walk with God, you must abide.
[00:15:21.420 --> 00:15:27.040]   So this word "abide" is a key word in our walk with God.
[00:15:27.040 --> 00:15:29.420]   Just like the word "love," right?
[00:15:29.420 --> 00:15:32.840]   We have "agape" and in the Bible it's very precise.
[00:15:32.840 --> 00:15:37.480]   So you have family love, you have romantic love, right?
[00:15:37.480 --> 00:15:40.400]   You have different familial love, right?
[00:15:40.400 --> 00:15:43.660]   But the love that God gives us is the "agape," unconditional love.
[00:15:43.660 --> 00:15:45.020]   So it's a very precise word.
[00:15:45.020 --> 00:15:48.900]   So if you've been a Christian for a while, you probably already have heard many times
[00:15:48.900 --> 00:15:53.220]   the word "agape" because it's crucial.
[00:15:53.220 --> 00:15:56.660]   It's foundation to our understanding of our relationship with God.
[00:15:56.660 --> 00:15:59.100]   He "agape" us.
[00:15:59.100 --> 00:16:06.660]   This word "meno" is just as crucial because we are children of God because He "agape"
[00:16:06.660 --> 00:16:11.300]   us and then the instruction that He leaves with the disciples, "If you do not meno" with
[00:16:11.300 --> 00:16:15.540]   me, you cannot bear fruit.
[00:16:15.540 --> 00:16:17.620]   You cannot walk with God.
[00:16:17.620 --> 00:16:20.460]   There is no assurance of salvation.
[00:16:20.460 --> 00:16:23.860]   So how important is this word "meno"?
[00:16:23.860 --> 00:16:27.980]   In fact, just like the word "agape," you know, in English we say "love," whether it's family,
[00:16:27.980 --> 00:16:30.840]   chocolate, or you know, God's love, we use the same word.
[00:16:30.840 --> 00:16:33.740]   So we have to explain the word, right?
[00:16:33.740 --> 00:16:39.560]   Well this word, again, it's a rich word that really can't be translated with one word.
[00:16:39.560 --> 00:16:44.140]   So in the NASB, it's translated "abide."
[00:16:44.140 --> 00:16:49.540]   In some of the other translations, it's translated "to remain."
[00:16:49.540 --> 00:16:54.500]   Then in other parts of the Bible, in other translations, it'll say "to dwell."
[00:16:54.500 --> 00:16:57.820]   In some other translations, it'll say "to continue."
[00:16:57.820 --> 00:17:01.980]   You'll see about five or six or even seven different translations of this word, and some
[00:17:01.980 --> 00:17:05.460]   of them are very similar and some of them are very different.
[00:17:05.460 --> 00:17:09.440]   But the reason why it's so different, and whenever you study the Bible and you look
[00:17:09.440 --> 00:17:14.160]   at the different translations and the word that is translated sounds very different,
[00:17:14.160 --> 00:17:19.620]   that already indicates to you that that Greek word doesn't have a precise translation in
[00:17:19.620 --> 00:17:23.700]   the English, and that's why they did their best for whatever context that they used to
[00:17:23.700 --> 00:17:24.700]   use that word.
[00:17:24.700 --> 00:17:30.420]   Well, this word "meno" is translated five or six different ways in different translations.
[00:17:30.420 --> 00:17:36.320]   So it is a very rich word that connects us to God, connects us to Christ, that causes
[00:17:36.320 --> 00:17:39.180]   us to bear fruit.
[00:17:39.180 --> 00:17:44.180]   So we're going to be talking about, again, three, you know, just to kind of give you
[00:17:44.180 --> 00:17:46.340]   an outline, we're going to give you three insights.
[00:17:46.340 --> 00:17:51.100]   The most important part of it is the first one, but under each of these, there's going
[00:17:51.100 --> 00:17:54.380]   to be sub-points, so just kind of stay with me.
[00:17:54.380 --> 00:17:56.940]   If you look at the children's outline, it'll show you what the outline is.
[00:17:56.940 --> 00:18:02.820]   The first thing that I want to point out is that Jesus is divine, so we must abide in
[00:18:02.820 --> 00:18:05.940]   him, and he says, "I am the true vine," right?
[00:18:05.940 --> 00:18:08.980]   The last of the seven "I am" statements.
[00:18:08.980 --> 00:18:14.460]   But the immediate question that the disciples probably would have asked is, "You just told
[00:18:14.460 --> 00:18:21.140]   us that you're going to leave, and we cannot follow you."
[00:18:21.140 --> 00:18:24.900]   And then when we said, "Well, why can't we follow you?
[00:18:24.900 --> 00:18:25.900]   What about us?"
[00:18:25.900 --> 00:18:29.060]   And you answer, "You have to abide in me.
[00:18:29.060 --> 00:18:30.140]   You have to stay with me.
[00:18:30.140 --> 00:18:31.500]   You have to continue with me.
[00:18:31.500 --> 00:18:32.980]   You have to dwell with me.
[00:18:32.980 --> 00:18:34.340]   You have to remain with me."
[00:18:34.340 --> 00:18:38.180]   Well, how do we do that if you're going to leave?
[00:18:38.180 --> 00:18:40.940]   Why are you teasing us?
[00:18:40.940 --> 00:18:43.340]   If you're leaving, we can't abide in you.
[00:18:43.340 --> 00:18:47.780]   See, it's that question that he's trying to answer.
[00:18:47.780 --> 00:18:52.420]   What does it mean to abide in Christ in the context of him leaving?
[00:18:52.420 --> 00:18:56.500]   So again, if you didn't get a lot of sleep last night, and you're kind of coming in and
[00:18:56.500 --> 00:19:00.100]   out, and you missed this, I'm telling you right now, you're going to miss the whole
[00:19:00.100 --> 00:19:01.100]   sermon.
[00:19:01.100 --> 00:19:05.660]   Not only are you going to miss the whole sermon, I told you this word "meno" is key to your
[00:19:05.660 --> 00:19:08.060]   walk with God.
[00:19:08.060 --> 00:19:09.980]   And so you're not going to understand.
[00:19:09.980 --> 00:19:14.460]   You could possibly, and again, I don't mean to over-exaggerate, but if you don't understand
[00:19:14.460 --> 00:19:23.020]   this, you can possibly spend all your life trying to bear fruit by your own power and
[00:19:23.020 --> 00:19:28.740]   be frustrated, which is where many of you might be today.
[00:19:28.740 --> 00:19:31.660]   I'm trying so hard, but I don't feel like I'm going anywhere.
[00:19:31.660 --> 00:19:32.660]   Why is this?
[00:19:32.660 --> 00:19:35.860]   Well, Jesus is going to answer that.
[00:19:35.860 --> 00:19:38.020]   What does it mean to abide in Christ to bear fruit?
[00:19:38.020 --> 00:19:42.580]   If he's the true vine, and I need to connect with him.
[00:19:42.580 --> 00:19:48.860]   Well, if you've ever studied the Gospel of John, you may already know that chapter 14,
[00:19:48.860 --> 00:19:55.540]   15, and 16 of the Gospel of John has one of the most extensive and the clearest teaching
[00:19:55.540 --> 00:19:57.580]   of the role of the Holy Spirit.
[00:19:57.580 --> 00:20:04.260]   Typically, when we think of the Holy Spirit, we think of him as an "it," like some power
[00:20:04.260 --> 00:20:07.420]   source, like the electricity.
[00:20:07.420 --> 00:20:11.140]   But we already know, if you've been a Christian for a while, that he is the third person of
[00:20:11.140 --> 00:20:12.140]   the Trinity.
[00:20:12.140 --> 00:20:17.620]   He is a being, like Christ is a being, like God the Father is a being.
[00:20:17.620 --> 00:20:21.460]   But we take a glimpse of, usually the Holy Spirit is kind of mentioned in the background,
[00:20:21.460 --> 00:20:24.620]   doing the work, and so we kind of see him as electricity.
[00:20:24.620 --> 00:20:32.260]   But again, the clearest teaching about the personhood of the Holy Spirit that's condensed
[00:20:32.260 --> 00:20:34.060]   is in chapter 14, 15, and 16.
[00:20:34.060 --> 00:20:39.980]   The reason why I say this is because Jesus is connecting the dwelling that he is telling
[00:20:39.980 --> 00:20:44.220]   them to dwell with him with the fulfillment in the Holy Spirit.
[00:20:44.220 --> 00:20:46.020]   Let me say this again.
[00:20:46.020 --> 00:20:52.300]   He is going to leave, but someone else is going to come who's going to dwell in you
[00:20:52.300 --> 00:20:53.420]   that you must dwell.
[00:20:53.420 --> 00:20:56.980]   So you're going to dwell in me by dwelling with him.
[00:20:56.980 --> 00:20:57.980]   Hopefully you caught that.
[00:20:57.980 --> 00:21:01.700]   So if you missed that part, the rest of it is going to be confusing.
[00:21:01.700 --> 00:21:04.780]   Not confusing, but it'll be harder than normal.
[00:21:04.780 --> 00:21:08.780]   So again, stay with me.
[00:21:08.780 --> 00:21:09.780]   This is what he says.
[00:21:09.780 --> 00:21:14.700]   "I am the true vine," and then in verse 14 he explains, knowing that the disciples may
[00:21:14.700 --> 00:21:16.380]   be asking, "How are we going to abide in you?
[00:21:16.380 --> 00:21:19.060]   How are we going to stay with you if you're leaving?"
[00:21:19.060 --> 00:21:24.740]   He says, verse 16, chapter 14 of John, "I will ask the Father, and he will give you
[00:21:24.740 --> 00:21:30.140]   another helper that he may be with you forever."
[00:21:30.140 --> 00:21:31.460]   Now why does he say that?
[00:21:31.460 --> 00:21:33.380]   Because he said he's going to leave.
[00:21:33.380 --> 00:21:35.820]   If you leave, how are we going to abide?
[00:21:35.820 --> 00:21:39.860]   Another one's going to come, but that other one who's going to come isn't going to ever
[00:21:39.860 --> 00:21:41.260]   leave you.
[00:21:41.260 --> 00:21:45.060]   I have to leave you, but he comes and he's going to stay with you forever.
[00:21:45.060 --> 00:21:51.260]   That is the spirit of truth, whom the world cannot receive because this does not see him
[00:21:51.260 --> 00:21:57.100]   or know him, but you know him because he abides with you and will be in you, and I will not
[00:21:57.100 --> 00:21:58.540]   leave you as orphans.
[00:21:58.540 --> 00:22:01.820]   I will come to you.
[00:22:01.820 --> 00:22:03.940]   So notice what he says here.
[00:22:03.940 --> 00:22:07.780]   He says, first of all, he says, "I am leaving.
[00:22:07.780 --> 00:22:09.540]   You need to abide in me if you want to bear fruit."
[00:22:09.540 --> 00:22:12.540]   So, well, how are we going to do that?
[00:22:12.540 --> 00:22:14.940]   Well, God's going to send another helper.
[00:22:14.940 --> 00:22:19.460]   When he comes, he's going to stay with you forever, so even though I may leave, what
