
[00:00:00.000 --> 00:00:04.040]   [BLANK_AUDIO]
[00:08:43.720 --> 00:08:46.000]   is Christ who comes, right, the Holy One of God.
[00:08:46.000 --> 00:08:57.280]   So what caused the people, including their religious leaders, to err?
[00:08:57.280 --> 00:09:02.600]   So again, the next few verses, verses nine through 13, I think it's nine through seven,
[00:09:02.600 --> 00:09:06.880]   and seven through 13, is a description of the sin of the leaders of Israel.
[00:09:08.160 --> 00:09:09.960]   And they go into pretty detail, right?
[00:09:09.960 --> 00:09:11.920]   The leaders are drunk with the world and
[00:09:11.920 --> 00:09:13.960]   are not able to give sound judgment, verse seven.
[00:09:13.960 --> 00:09:18.360]   These also reel with wine and stagger with strong drink.
[00:09:18.360 --> 00:09:20.200]   The priests and the prophets reel with strong drink.
[00:09:20.200 --> 00:09:21.880]   They are swallowed by wine.
[00:09:21.880 --> 00:09:23.520]   They stagger from strong drink.
[00:09:23.520 --> 00:09:24.500]   They reel in vision.
[00:09:24.500 --> 00:09:26.760]   They stumble in giving judgment, right?
[00:09:26.760 --> 00:09:30.520]   In other words, they're so drunk, and again, it could be literal drunk,
[00:09:30.520 --> 00:09:34.680]   being drunk, but also spiritually, they're just not sober.
[00:09:34.680 --> 00:09:38.680]   And as a result of that, they don't hear the word of God, right?
[00:09:38.680 --> 00:09:40.360]   And they're not able to make sound judgment, and
[00:09:40.360 --> 00:09:42.440]   they're not able to give sound advice.
[00:09:42.440 --> 00:09:43.760]   And that's basically what it's saying.
[00:09:43.760 --> 00:09:46.280]   So the leaders are not able to lead because they're drunk with the world.
[00:09:46.280 --> 00:09:53.800]   And so what they're saying is that what they were doing in private,
[00:09:53.800 --> 00:09:55.200]   in other words, being drunk and
[00:09:55.200 --> 00:09:57.480]   being carried away, is gonna affect their ministry.
[00:09:57.480 --> 00:09:59.080]   They're not gonna be able to lead the people.
[00:10:03.440 --> 00:10:08.600]   And then, verses nine through 13, he goes into detail, right?
[00:10:08.600 --> 00:10:12.360]   Verse eight says, for all tables are full of filthy vomit with no space left.
[00:10:12.360 --> 00:10:19.320]   And then, if you look at verse ten and on, it says, for
[00:10:19.320 --> 00:10:23.440]   it's precepts upon precepts upon precepts, line upon line upon line,
[00:10:23.440 --> 00:10:24.800]   here little, there little.
[00:10:24.800 --> 00:10:25.960]   What do you think that's in reference to?
[00:10:25.960 --> 00:10:32.440]   For by people of strange lips and with foreign tongues,
[00:10:32.440 --> 00:10:35.280]   the Lord will speak to this people to whom he has said.
[00:10:35.280 --> 00:10:38.680]   So one, who is God speaking to about this?
[00:10:38.680 --> 00:10:41.800]   Israel.
[00:10:41.800 --> 00:10:45.600]   Specifically, who is he pointing out?
[00:10:45.600 --> 00:10:46.880]   Who is this in reference to?
[00:10:46.880 --> 00:10:50.160]   The leaders.
[00:10:50.160 --> 00:10:55.680]   So when they say their teaching is but precepts upon precepts upon precepts upon
[00:10:55.680 --> 00:11:00.920]   precepts, line upon line upon line upon line, a little here, a little there.
[00:11:00.920 --> 00:11:01.800]   What is that in reference to?
[00:11:01.800 --> 00:11:07.640]   I already put it up here, right?
[00:11:07.640 --> 00:11:10.520]   They only teach basic and
[00:11:10.520 --> 00:11:14.760]   shallow things in repetition over and over again because they're staggering,
[00:11:14.760 --> 00:11:17.160]   they're drunk, they're not able to make sound judgment.
[00:11:17.160 --> 00:11:19.800]   So even their teaching is very shallow, right?
[00:11:19.800 --> 00:11:24.920]   And he says, in the end, for by people of strange lips with foreign tongue,
[00:11:24.920 --> 00:11:27.600]   the Lord will speak to this people to whom he has said.
[00:11:27.600 --> 00:11:30.320]   Anybody remember, again,
[00:11:30.320 --> 00:11:33.440]   a particular passage in the New Testament that says something similar to this?
[00:11:33.440 --> 00:11:37.320]   >> [INAUDIBLE]
[00:11:37.320 --> 00:11:39.120]   >> Yes, could be.
[00:11:39.120 --> 00:11:41.040]   The period of the Gentiles.
[00:11:41.040 --> 00:11:43.960]   Remember the Roman chapter 9 through 11 talks about that?
[00:11:43.960 --> 00:11:47.920]   That Israel has experienced a partial hardening of the heart, right?
[00:11:47.920 --> 00:11:50.160]   Until the fullness of the Gentiles has come in.
[00:11:50.160 --> 00:11:55.280]   So again, it says something similar, that now the Gentiles are leading and
[00:11:55.280 --> 00:11:59.960]   God is using the Gentiles, so the period of the church is a period of the Gentiles.
[00:11:59.960 --> 00:12:00.680]   Right?
[00:12:00.680 --> 00:12:04.520]   And then so because they wouldn't listen to God through the prophets,
[00:12:04.520 --> 00:12:07.640]   people of strange lips like foreigners, Gentiles are gonna come and
[00:12:07.640 --> 00:12:10.680]   they're gonna end up teaching you instead of you teaching them.
[00:12:10.680 --> 00:12:11.760]   That's what he's saying, right?
[00:12:11.760 --> 00:12:18.160]   This is rest, give rest to the weary, and this is repose, yet they would not hear.
[00:12:18.160 --> 00:12:21.800]   In other words, God gave these things so that you would be an avenue.
[00:12:21.800 --> 00:12:25.040]   He said, I will bless you, and through you, many others will be blessed.
[00:12:25.040 --> 00:12:28.520]   But instead of, because you rebelled against God, the Gentiles are gonna come
[00:12:28.520 --> 00:12:31.800]   in and they're gonna do what I called you to do, right?
[00:12:31.800 --> 00:12:36.440]   The church is going to carry out what I called you to do, basically, right?
[00:12:36.440 --> 00:12:39.680]   And the world, verse 13, and the word of the Lord will be to them,
[00:12:39.680 --> 00:12:44.880]   precepts upon precepts upon precepts, and upon line upon line, upon here little,
[00:12:44.880 --> 00:12:48.480]   there little, that they may go and fall backward and broken and snared and
[00:12:48.480 --> 00:12:49.920]   taken, right?
[00:12:49.920 --> 00:12:53.600]   So if you look at verse 9, to whom will he teach knowledge and
[00:12:53.600 --> 00:12:55.320]   to whom will he explain the message?
[00:12:55.320 --> 00:12:57.960]   Those who are weaned from the milk, those taken from the breast.
[00:12:57.960 --> 00:13:02.400]   In other words, right, their teaching is so shallow that only people that
[00:13:02.400 --> 00:13:06.920]   are able to listen and get anything out of it are infants, right?
[00:13:06.920 --> 00:13:10.480]   Because they're not able to teach, they're so drunk with the world.
[00:13:10.480 --> 00:13:15.720]   So all of this, again, is a rebuke that there's a shallowness of the teaching
[00:13:15.720 --> 00:13:20.240]   that's causing them, not only them, but the nation of Israel to stray away from God.
[00:13:20.240 --> 00:13:21.400]   Right?
[00:13:21.400 --> 00:13:27.840]   And then the Gentiles that they basically hate are gonna be the ones
[00:13:27.840 --> 00:13:28.560]   who are gonna be leading.
[00:13:28.560 --> 00:13:35.000]   And that was, if you look at the early church, the biggest problem in the early
[00:13:35.000 --> 00:13:40.160]   church was that Jews could not accept the Gentiles into the church, right?
[00:13:40.160 --> 00:13:42.120]   They said, you need to submit to us.
[00:13:42.120 --> 00:13:45.800]   But what God was doing was flipping the table completely upside down, right?
[00:13:45.800 --> 00:13:50.240]   It started with the Jews, but eventually, after they get out of the first century,
[00:13:50.240 --> 00:13:53.600]   it wasn't the Jews who were carrying the church, it was completely the Gentiles.
[00:13:53.600 --> 00:13:54.100]   Right?
[00:13:54.100 --> 00:14:02.720]   When he says, made a covenant, who did he make the covenant?
[00:14:02.720 --> 00:14:04.480]   What were they hoping to escape?
[00:14:04.480 --> 00:14:05.560]   Right?
[00:14:05.560 --> 00:14:07.840]   The rulers of Jerusalem made a covenant with death,
[00:14:07.840 --> 00:14:11.320]   meaning that they have no idea that their covenant with other pagan nations for
[00:14:11.320 --> 00:14:14.440]   protection was really a covenant with death.
[00:14:14.440 --> 00:14:18.240]   They have made lies their refuge and in falsehood their shelter.
[00:14:18.240 --> 00:14:22.040]   So verse 14 and 15, it says, therefore hear the word of the Lord,
[00:14:22.040 --> 00:14:25.560]   you scoffers who ruled his people in Jerusalem, because you have said,
[00:14:25.560 --> 00:14:30.040]   we have made a covenant with death and with Sheol, we have an agreement.
[00:14:30.040 --> 00:14:32.800]   When the overwhelming will pass us through, it will not come to us.
[00:14:32.800 --> 00:14:36.880]   So obviously, they didn't make an actual covenant with death, right?
[00:14:36.880 --> 00:14:41.240]   It's kind of a hyperbole that not realizing that the things that you
[00:14:41.240 --> 00:14:44.400]   are holding on to is actually a covenant with death.
[00:14:44.400 --> 00:14:46.680]   In other words, the covenant you made with Egypt,
[00:14:46.680 --> 00:14:49.960]   the covenant you made with Assyria and to Babylon,
[00:14:49.960 --> 00:14:53.440]   is ultimately gonna lead to a covenant of death, right?
[00:14:53.440 --> 00:14:56.560]   A covenant that you made with the world, right?
[00:14:56.560 --> 00:15:01.080]   I'm gonna follow your pattern, and ultimately is a pattern of death.
[00:15:01.080 --> 00:15:02.480]   But that's basically what he's saying.
[00:15:02.480 --> 00:15:10.440]   And so as a result of that, what will the Lord lay in Zion?
[00:15:10.440 --> 00:15:12.760]   Who would therefore not act hastily?
[00:15:12.760 --> 00:15:17.760]   He said, Lord,
[00:15:17.760 --> 00:15:25.240]   I laid a sure father unlike what Israel was relying on.
[00:15:25.240 --> 00:15:29.040]   So in other words, the covenant of death that you've made with all these other
[00:15:29.040 --> 00:15:33.280]   nations, thinking that somehow you're gonna find life, right?
[00:15:33.280 --> 00:15:35.200]   And that's why they made a covenant with Egypt.
[00:15:35.200 --> 00:15:37.400]   That's why they made a covenant with Babylon.
[00:15:37.400 --> 00:15:42.800]   You will give you so much and you guys protect us.
[00:15:42.800 --> 00:15:45.720]   But in your thinking of seeking life,
[00:15:45.720 --> 00:15:48.440]   ultimately the reality is you're actually seeking death.
[00:15:48.440 --> 00:15:51.560]   But he says, but the Lord is going to come.
[00:15:51.560 --> 00:15:54.920]   Even in the midst of this judgment, he has a promise of the Messiah who's going to
[00:15:54.920 --> 00:16:00.000]   come, and the foundation he's going to lay is gonna actually lead to life, right?
[00:16:00.000 --> 00:16:04.600]   So all these words, the tested stone, the precious cornerstone,
[00:16:04.600 --> 00:16:07.200]   the sure foundation, all descriptions of the Messiah.
[00:16:07.200 --> 00:16:10.920]   And if you look at the language in verse 16,
[00:16:10.920 --> 00:16:15.640]   I mean it's pretty clear that this is in reference to Christ, right?
[00:16:15.640 --> 00:16:19.480]   Therefore that says the Lord God, behold, I am the one who has laid as
[00:16:19.480 --> 00:16:22.440]   a foundation in Zion, a stone, a tested stone,
[00:16:22.440 --> 00:16:24.880]   a precious cornerstone of a sure foundation.
[00:16:24.880 --> 00:16:30.280]   Whoever believes will not be in haste, like what we talked about on Sunday, right?
[00:16:30.280 --> 00:16:34.560]   The path to salvation he talks about is to believe, right?
[00:16:35.000 --> 00:16:40.000]   And then he says that again in verse 18, right?
[00:16:40.000 --> 00:16:45.240]   The covenant with death will then be annulled for those who believe, verse 18.
[00:16:45.240 --> 00:16:49.800]   Then your covenant with death will be annulled and
[00:16:49.800 --> 00:16:52.200]   your agreement with Sheol will not stand.
[00:16:52.200 --> 00:16:56.360]   So clearly this is in reference to the gospel, right?
[00:16:56.360 --> 00:17:00.040]   But despite all of this, despite you turning against God and
[00:17:00.040 --> 00:17:04.240]   seeking after these, when the judgment comes and you choose to return and
[00:17:04.240 --> 00:17:08.680]   you recognize the Messiah, right, and you repent and you believe,
[00:17:08.680 --> 00:17:14.880]   he says the covenant of death will be annulled, John 5, 24, right?
[00:17:14.880 --> 00:17:19.000]   [COUGH]
[00:17:19.000 --> 00:17:20.880]   But when this judgment comes, verse 20, for
[00:17:20.880 --> 00:17:23.480]   the bed is too short to stretch oneself on.
[00:17:23.480 --> 00:17:26.640]   In other words, there's no rest, right?
[00:17:26.640 --> 00:17:28.320]   That his judgment is gonna, oops, sorry.
[00:17:28.320 --> 00:17:31.440]   His judgment is gonna be so thorough, there's no rest, right?
[00:17:33.040 --> 00:17:37.000]   But here's something he says, for the Lord will rise up on Mount Perizim,
[00:17:37.000 --> 00:17:42.280]   as in the valley of Gibeon, he will be roused to do his deeds.
[00:17:42.280 --> 00:17:47.920]   Strange is his deed, and to work his work, alien is his work, okay?
[00:17:47.920 --> 00:17:51.680]   I want you guys to take a minute to discuss in your group, what does that mean?
[00:17:51.680 --> 00:17:54.560]   Maybe some of you guys took some time to,
[00:17:54.560 --> 00:17:57.080]   even though I didn't necessarily ask this question.
[00:17:57.080 --> 00:18:00.160]   What does that mean, his deeds are strange and his work is alien?
[00:18:02.640 --> 00:18:04.880]   Take some time to discuss in your group.
[00:18:04.880 --> 00:18:14.880]   [INAUDIBLE]
[00:18:14.880 --> 00:18:24.880]   [INAUDIBLE]
[00:18:24.880 --> 00:18:34.880]   [INAUDIBLE]
[00:18:34.880 --> 00:18:44.880]   [INAUDIBLE]
[00:18:44.880 --> 00:18:54.880]   [INAUDIBLE]
[00:18:54.880 --> 00:19:04.880]   [INAUDIBLE]
[00:19:04.880 --> 00:19:14.880]   [INAUDIBLE]
[00:19:14.880 --> 00:19:24.880]   [INAUDIBLE]
[00:19:24.880 --> 00:19:34.880]   [INAUDIBLE]
[00:19:34.880 --> 00:19:44.880]   [INAUDIBLE]
[00:19:44.880 --> 00:19:54.880]   [INAUDIBLE]
[00:19:54.880 --> 00:20:04.880]   [INAUDIBLE]
[00:20:04.880 --> 00:20:14.880]   [INAUDIBLE]
[00:20:14.880 --> 00:20:24.880]   [INAUDIBLE]
[00:20:24.880 --> 00:20:34.880]   [INAUDIBLE]
[00:20:34.880 --> 00:20:49.240]   All right, what are your thoughts on this?
[00:20:49.240 --> 00:20:55.960]   Why is he describing the Lord's deed as strange and his work as alien?
[00:20:55.960 --> 00:20:59.960]   Any thoughts?
[00:21:09.960 --> 00:21:19.960]   [INAUDIBLE]
[00:21:19.960 --> 00:21:34.960]   So, trying to comprehend why God would judge even his own people,
[00:21:34.960 --> 00:21:36.960]   is that what you're saying?
[00:21:36.960 --> 00:21:37.960]   Yes.
[00:21:37.960 --> 00:21:38.960]   Okay.
[00:21:38.960 --> 00:21:39.960]   Okay, right.
[00:21:39.960 --> 00:21:40.960]   [INAUDIBLE]
[00:21:40.960 --> 00:21:41.960]   Yeah.
[00:21:41.960 --> 00:21:42.960]   Yeah.
[00:21:42.960 --> 00:21:45.960]   There's wrong answers, but there's no right answers, right?
[00:21:45.960 --> 00:21:48.960]   [INAUDIBLE]
[00:21:48.960 --> 00:21:52.960]   [LAUGHTER]
[00:21:52.960 --> 00:21:54.960]   Just let it percolate, let it sink in.
[00:21:54.960 --> 00:21:56.960]   [LAUGHTER]
[00:21:56.960 --> 00:21:57.960]   All right.
[00:21:57.960 --> 00:22:00.960]   No, that could, I mean, when we're looking at this passage,
[00:22:00.960 --> 00:22:01.960]   could it mean that?
[00:22:01.960 --> 00:22:03.960]   Of course, yeah, it could mean that.
[00:22:03.960 --> 00:22:05.960]   Looking at God's judgment in the context of this,
[00:22:05.960 --> 00:22:08.960]   like, what is God doing, right?
[00:22:08.960 --> 00:22:11.960]   Why is he, you know, judging his people?
[00:22:11.960 --> 00:22:13.960]   That could be it, right?
[00:22:13.960 --> 00:22:17.960]   The Jews, I mean, Jews couldn't understand it, right?
[00:22:17.960 --> 00:22:19.960]   I mean, it was alien and strange to them.
[00:22:19.960 --> 00:22:20.960]   Like, why would God judge us?
[00:22:20.960 --> 00:22:23.960]   We're the apple of his eye, right?
[00:22:23.960 --> 00:22:25.960]   So, that's why when the false prophets came in,
[00:22:25.960 --> 00:22:27.960]   remember when Jeremiah kept on saying, like,
[00:22:27.960 --> 00:22:28.960]   judgment's coming, judgment's coming?
[00:22:28.960 --> 00:22:30.960]   He's like, why would God judge us?
[00:22:30.960 --> 00:22:32.960]   We're his people.
[00:22:32.960 --> 00:22:34.960]   So, in that sense, yes, it was alien.
[00:22:34.960 --> 00:22:36.960]   It was strange.
[00:22:36.960 --> 00:22:37.960]   Mm-hmm?
[00:22:37.960 --> 00:22:38.960]   >> Question.
