
[00:00:00.000 --> 00:00:04.000]   Alright, we got like 10 minutes.
[00:09:39.500 --> 00:09:42.220]   to just gather for Bible study.
[00:09:42.220 --> 00:09:43.940]   Lord, to study through your word,
[00:09:43.940 --> 00:09:48.420]   and just to have this time of worship as well to praise you.
[00:09:48.420 --> 00:09:53.660]   God, I pray that tonight as we study and as we sing,
[00:09:53.660 --> 00:09:56.300]   Lord, we would not just be going through the motions.
[00:09:56.300 --> 00:10:02.460]   Lord, we would not just be engaged in a mental exercise,
[00:10:02.460 --> 00:10:06.100]   but God, that we would be truly worshiping you,
[00:10:06.100 --> 00:10:08.340]   even through study, even through our singing,
[00:10:08.340 --> 00:10:13.340]   and just reflecting on the words that we read and we hear.
[00:10:13.340 --> 00:10:16.620]   So God, I just thank you again for this time.
[00:10:16.620 --> 00:10:18.900]   I pray all this in Jesus' name, amen.
[00:10:18.900 --> 00:10:20.740]   Let's all stand for a time of praise.
[00:10:20.740 --> 00:10:27.360]   (gentle music)
[00:10:27.360 --> 00:10:34.540]   Come thou fount.
[00:10:34.540 --> 00:10:39.540]   ♪ Come thou fount of every blessing ♪
[00:10:39.540 --> 00:10:45.020]   ♪ Tune my heart to sing thy grace ♪
[00:10:45.020 --> 00:10:50.300]   ♪ Streams of mercy never ceasing ♪
[00:10:50.300 --> 00:10:55.900]   ♪ Call for songs of loudest praise ♪
[00:10:55.900 --> 00:11:01.140]   ♪ Teach me some melodious sonnet ♪
[00:11:01.540 --> 00:11:06.540]   ♪ Sung by flaming tongues above ♪
[00:11:06.540 --> 00:11:11.980]   ♪ Praise the mount I'm fixed upon it ♪
[00:11:11.980 --> 00:11:16.220]   ♪ Mount of thy redeeming love ♪
[00:11:16.220 --> 00:11:30.860]   ♪ Here I raise my Ebenezer ♪
[00:11:31.380 --> 00:11:36.380]   ♪ Hither by thy help I've come ♪
[00:11:36.380 --> 00:11:41.780]   ♪ And I hope by thy good pleasure ♪
[00:11:41.780 --> 00:11:47.060]   ♪ Safely to arrive at home ♪
[00:11:47.060 --> 00:11:52.540]   ♪ Jesus saw me when a stranger ♪
[00:11:52.540 --> 00:11:57.980]   ♪ Wandering from the fold of God ♪
[00:11:58.260 --> 00:12:03.260]   ♪ He to rescue me from danger ♪
[00:12:03.260 --> 00:12:07.740]   ♪ Interposed his precious blood ♪
[00:12:07.740 --> 00:12:22.220]   ♪ Oh to grace how great a debtor ♪
[00:12:22.220 --> 00:12:27.580]   ♪ Daily I'm constrained to be ♪
[00:12:27.900 --> 00:12:32.900]   ♪ Let thy goodness like a fetter ♪
[00:12:32.900 --> 00:12:38.260]   ♪ Bind my wandering heart to thee ♪
[00:12:38.260 --> 00:12:43.500]   ♪ Prone to wander Lord I feel it ♪
[00:12:43.500 --> 00:12:48.860]   ♪ Prone to leave the God I love ♪
[00:12:48.860 --> 00:12:54.220]   ♪ Here's my heart oh take and seal it ♪
[00:12:54.540 --> 00:12:58.460]   ♪ Seal it for thy courts above ♪
[00:12:58.460 --> 00:13:13.020]   ♪ Oh that day when freed from sinning ♪
[00:13:13.020 --> 00:13:18.380]   ♪ I shall see thy lovely face ♪
[00:13:18.380 --> 00:13:23.660]   ♪ Clothed then in blood washed linen ♪
[00:13:24.020 --> 00:13:29.020]   ♪ How I'll sing thy sovereign grace ♪
[00:13:29.020 --> 00:13:34.340]   ♪ Come my Lord no longer tarry ♪
[00:13:34.340 --> 00:13:39.660]   ♪ Take my ransomed soul away ♪
[00:13:39.660 --> 00:13:44.860]   ♪ Send thine angels now to carry ♪
[00:13:44.860 --> 00:13:50.460]   ♪ Me to realms of endless day ♪
[00:13:50.740 --> 00:13:55.740]   ♪ Come my Lord no longer tarry ♪
[00:13:55.740 --> 00:14:01.100]   ♪ Take my ransomed soul away ♪
[00:14:01.100 --> 00:14:06.380]   ♪ Send thine angels now to carry ♪
[00:14:06.380 --> 00:14:10.820]   ♪ Me to realms of endless day ♪
[00:14:10.820 --> 00:14:13.240]   (soft music)
[00:14:13.240 --> 00:14:37.420]   ♪ Now why this fear and unbelief ♪
[00:14:37.500 --> 00:14:42.300]   ♪ Has not the Father put to grief ♪
[00:14:42.300 --> 00:14:47.300]   ♪ His spotless Son for us ♪
[00:14:47.300 --> 00:14:53.460]   ♪ And will the righteous judge of men ♪
[00:14:53.460 --> 00:14:58.100]   ♪ Condemn me for that debt of sin ♪
[00:14:58.100 --> 00:15:03.100]   ♪ Now canceled at the cross ♪
[00:15:04.780 --> 00:15:09.780]   ♪ Jesus ♪
[00:15:09.780 --> 00:15:14.820]   ♪ All my trust is in your blood ♪
[00:15:14.820 --> 00:15:24.180]   ♪ Jesus ♪
[00:15:24.180 --> 00:15:29.180]   ♪ You've rescued us through your great love ♪
[00:15:29.180 --> 00:15:34.180]   ♪ Great love ♪
[00:15:34.180 --> 00:15:43.300]   ♪ Complete atonement you have made ♪
[00:15:43.300 --> 00:15:48.020]   ♪ And by your death have fully paid ♪
[00:15:48.020 --> 00:15:53.020]   ♪ The debt your people owe ♪
[00:15:53.020 --> 00:15:58.980]   ♪ No wrath remains for us to face ♪
[00:15:58.980 --> 00:16:03.740]   ♪ Sheltered by your saving grace ♪
[00:16:03.740 --> 00:16:08.740]   ♪ And sprinkled with your blood ♪
[00:16:08.740 --> 00:16:15.060]   ♪ Jesus ♪
[00:16:15.060 --> 00:16:20.060]   ♪ All my trust is in your blood ♪
[00:16:24.660 --> 00:16:29.380]   ♪ Jesus ♪
[00:16:29.380 --> 00:16:34.380]   ♪ You've rescued us through your great love ♪
[00:16:34.380 --> 00:16:37.700]   How sweet the sound.
[00:16:37.700 --> 00:16:43.500]   ♪ How sweet the sound of saving grace ♪
[00:16:43.500 --> 00:16:47.500]   ♪ How sweet the sound of saving grace ♪
[00:16:47.500 --> 00:16:52.500]   ♪ Christ died for me ♪
[00:16:52.940 --> 00:16:57.700]   ♪ How sweet the sound of saving grace ♪
[00:16:57.700 --> 00:17:01.580]   ♪ How sweet the sound of saving grace ♪
[00:17:01.580 --> 00:17:04.660]   ♪ Christ died for me ♪
[00:17:04.660 --> 00:17:17.020]   ♪ Be still my soul and know this peace ♪
[00:17:17.020 --> 00:17:21.780]   ♪ The merits of your great high peace ♪
[00:17:21.780 --> 00:17:26.780]   ♪ Have bought your liberty ♪
[00:17:26.780 --> 00:17:32.980]   ♪ Relying on his precious blood ♪
[00:17:32.980 --> 00:17:37.580]   ♪ To fear your banishment from God ♪
[00:17:37.580 --> 00:17:42.580]   ♪ Since Jesus sets you free ♪
[00:17:42.580 --> 00:17:49.300]   ♪ Jesus ♪
[00:17:49.300 --> 00:17:54.300]   ♪ All my trust is in your blood ♪
[00:17:54.300 --> 00:18:03.580]   ♪ Jesus ♪
[00:18:03.580 --> 00:18:08.580]   ♪ You've rescued us through your great love ♪
[00:18:08.580 --> 00:18:17.740]   ♪ How sweet the sound of saving grace ♪
[00:18:17.740 --> 00:18:21.700]   ♪ How sweet the sound of saving grace ♪
[00:18:21.700 --> 00:18:26.700]   ♪ Christ died for me ♪
[00:18:26.700 --> 00:18:31.900]   ♪ How sweet the sound of saving grace ♪
[00:18:31.900 --> 00:18:35.820]   ♪ How sweet the sound of saving grace ♪
[00:18:35.820 --> 00:18:40.820]   ♪ Christ died for me ♪
[00:18:40.820 --> 00:18:46.780]   ♪ Jesus ♪
[00:18:46.900 --> 00:18:51.900]   ♪ All my trust is in your blood ♪
[00:18:51.900 --> 00:19:01.540]   ♪ Jesus ♪
[00:19:01.540 --> 00:19:06.540]   ♪ You've rescued us through your great love ♪
[00:19:06.540 --> 00:19:11.220]   You may be seated.
[00:19:11.220 --> 00:19:14.300]   (audience murmuring)
[00:19:14.300 --> 00:19:22.860]   - All right.
[00:19:22.860 --> 00:19:32.220]   Let me go ahead and read our passage today for us.
[00:19:32.220 --> 00:19:39.980]   It's 1 Peter 3, verses 8 to 16.
[00:19:40.340 --> 00:19:45.340]   "To sum up, all of you be harmonious, sympathetic,
[00:19:45.340 --> 00:19:51.540]   "brotherly, kindhearted, and humble in spirit,
[00:19:51.540 --> 00:19:55.340]   "not returning evil for evil or insult for insult,
[00:19:55.340 --> 00:19:57.980]   "but giving a blessing instead.
[00:19:57.980 --> 00:20:00.220]   "For you were called for the very purpose
[00:20:00.220 --> 00:20:01.920]   "that you might inherit a blessing.
[00:20:01.920 --> 00:20:05.900]   "For the one who desires life to love and see good days
[00:20:05.900 --> 00:20:07.420]   "must keep his tongue from evil
[00:20:07.420 --> 00:20:10.060]   "and his lips from speaking deceit.
[00:20:10.060 --> 00:20:11.860]   "He must turn away from evil and do good.
[00:20:11.860 --> 00:20:14.380]   "He must seek peace and pursue it.
[00:20:14.380 --> 00:20:16.920]   "For the eyes of the Lord are toward the righteous
[00:20:16.920 --> 00:20:19.360]   "and his ears attend to their prayer.
[00:20:19.360 --> 00:20:22.820]   "But the face of the Lord is against those who do evil.
[00:20:22.820 --> 00:20:23.980]   "Who is there to harm you
[00:20:23.980 --> 00:20:26.420]   "if you prove zealous for what is good?
[00:20:26.420 --> 00:20:27.640]   "But even if you should suffer
[00:20:27.640 --> 00:20:30.900]   "for the sake of righteousness, you are blessed.
[00:20:30.900 --> 00:20:35.160]   "And do not fear their intimidation and do not be troubled.
[00:20:35.160 --> 00:20:38.400]   "But sanctify Christ as Lord in your hearts,
[00:20:38.400 --> 00:20:40.620]   "always being ready to make a defense
[00:20:40.620 --> 00:20:42.600]   "to everyone who asks you to give an account
[00:20:42.600 --> 00:20:44.420]   "for the hope that is in you.
[00:20:44.420 --> 00:20:47.660]   "Yet with gentleness and respect, or reverence,
[00:20:47.660 --> 00:20:48.860]   "and keep a good conscience
[00:20:48.860 --> 00:20:51.180]   "so that in the thing in which you are slandered,
[00:20:51.180 --> 00:20:54.180]   "those who revile your good behavior in Christ
[00:20:54.180 --> 00:20:55.620]   "will be put to shame."
[00:20:55.620 --> 00:21:00.620]   So that's gonna be our lengthiest passage for 1 Peter.
[00:21:00.620 --> 00:21:02.580]   Okay, so normally you guys know we do
[00:21:02.580 --> 00:21:04.980]   about five or six verses, but today is nine.
[00:21:04.980 --> 00:21:14.600]   So the first two questions you guys know,
[00:21:14.600 --> 00:21:16.360]   they're just your observations and your questions
[00:21:16.360 --> 00:21:18.600]   from the nine verses.
[00:21:18.600 --> 00:21:20.660]   But question number three, it reads,
[00:21:20.660 --> 00:21:23.960]   "What is the context of these Old Testament quotes?"
[00:21:23.960 --> 00:21:26.760]   Okay, I'm not sure how much you guys
[00:21:26.760 --> 00:21:28.560]   were able to go into those,
[00:21:28.560 --> 00:21:31.360]   but they are somewhat significant, okay?
[00:21:31.360 --> 00:21:35.440]   So if you guys have time, please do discuss that.
[00:21:35.440 --> 00:21:39.080]   And then at 8.20, we'll see you again, okay,
[00:21:39.080 --> 00:21:41.620]   for our brief time of wrap-up.
[00:21:41.620 --> 00:21:42.860]   But let me pray for us,
[00:21:42.860 --> 00:21:45.260]   and then we'll go into our time as small group.
[00:21:45.260 --> 00:21:51.800]   Lord, we thank you for just giving us
[00:21:51.800 --> 00:21:54.760]   just a week and a half just to reflect,
[00:21:54.760 --> 00:22:01.320]   to not only reflect on our union with Christ in his death,
[00:22:01.320 --> 00:22:03.640]   but also as we've celebrated this weekend,
[00:22:03.640 --> 00:22:06.840]   just our union with Christ in his resurrection.
[00:22:06.840 --> 00:22:10.080]   And that means everything.
[00:22:10.080 --> 00:22:13.600]   And so as we reflect on the ramifications
[00:22:13.600 --> 00:22:15.720]   of our union with you in your resurrection,
[00:22:15.720 --> 00:22:18.440]   I pray for much grace on our conversation,
[00:22:18.440 --> 00:22:20.580]   on our discussion.
[00:22:20.580 --> 00:22:26.040]   Help us, Lord God, really to be a people of conviction,
[00:22:26.040 --> 00:22:31.080]   of grace, of gentleness, and humility.
[00:22:31.080 --> 00:22:34.080]   And would you guide and facilitate our time
[00:22:34.080 --> 00:22:37.080]   so that all of our conversation is edifying.
[00:22:37.080 --> 00:22:40.400]   And I pray, Lord, that you would just bless our time
[00:22:40.400 --> 00:22:41.960]   and help us to glean much from it.
[00:22:41.960 --> 00:22:43.840]   In Jesus' name we pray.
[00:22:43.840 --> 00:22:46.320]   All right, we'll see you guys at 8.20.
[00:22:46.320 --> 00:22:49.320]   (people chattering)
[00:22:49.320 --> 00:23:19.300]   [ Pause ]
[00:23:19.300 --> 00:23:49.280]   [ Pause ]
[00:23:49.280 --> 00:24:19.260]   [ Pause ]
[00:24:19.260 --> 00:24:49.240]   [ Pause ]
[00:24:49.240 --> 00:25:19.220]   [ Pause ]
[00:25:19.220 --> 00:25:49.200]   [ Pause ]
[00:25:49.200 --> 00:26:19.180]   [ Pause ]
[00:26:19.180 --> 00:26:49.160]   [ Pause ]
[00:26:49.160 --> 00:27:19.140]   [ Pause ]
[00:27:19.140 --> 00:27:49.120]   [ Pause ]
[00:27:49.120 --> 00:28:19.100]   [ Pause ]
[00:28:19.100 --> 00:28:49.080]   [ Pause ]
[00:28:49.080 --> 00:29:19.060]   [ Pause ]
[00:29:19.060 --> 00:29:49.040]   [ Pause ]
[00:29:49.040 --> 00:30:19.020]   [ Pause ]
[00:30:19.020 --> 00:30:49.000]   [ Pause ]
[00:30:49.000 --> 00:31:18.980]   [ Pause ]
[00:31:18.980 --> 00:31:48.960]   [ Pause ]
[00:31:48.960 --> 00:32:18.940]   [ Pause ]
[00:32:18.940 --> 00:32:48.920]   [ Pause ]
[00:32:48.920 --> 00:33:18.900]   [ Pause ]
[00:33:18.900 --> 00:33:48.880]   [ Pause ]
[00:33:48.880 --> 00:34:18.860]   [ Pause ]
[00:34:18.860 --> 00:34:48.840]   [ Pause ]
[00:34:48.840 --> 00:35:18.820]   [ Pause ]
[00:35:18.820 --> 00:35:48.800]   [ Pause ]
[00:35:48.800 --> 00:36:18.780]   [ Pause ]
[00:36:18.780 --> 00:36:48.760]   [ Pause ]
[00:36:48.760 --> 00:37:18.740]   [ Pause ]
[00:37:18.740 --> 00:37:48.720]   [ Pause ]
[00:37:48.720 --> 00:38:18.700]   [ Pause ]
[00:38:18.700 --> 00:38:48.680]   [ Pause ]
[00:38:48.680 --> 00:39:18.660]   [ Pause ]
[00:39:18.660 --> 00:39:48.640]   [ Pause ]
[00:39:48.640 --> 00:40:18.620]   [ Pause ]
[00:40:18.620 --> 00:40:48.600]   [ Pause ]
[00:40:48.600 --> 00:41:18.580]   [ Pause ]
[00:41:18.580 --> 00:41:48.560]   [ Pause ]
[00:41:48.560 --> 00:42:18.540]   [ Pause ]
[00:42:18.540 --> 00:42:48.520]   [ Pause ]
[00:42:49.520 --> 00:43:18.500]   [ Pause ]
[00:43:18.500 --> 00:43:48.480]   [ Pause ]
[00:43:49.480 --> 00:44:18.460]   [ Pause ]
[00:44:19.460 --> 00:44:48.440]   [ Pause ]
[00:44:48.440 --> 00:45:18.420]   [ Pause ]
[00:45:18.420 --> 00:45:48.400]   [ Pause ]
[00:45:48.400 --> 00:46:18.380]   [ Pause ]
[00:46:18.380 --> 00:46:48.360]   [ Pause ]
[00:46:48.360 --> 00:47:18.340]   [ Pause ]
[00:47:18.340 --> 00:47:48.320]   [ Pause ]
[00:47:48.320 --> 00:48:18.300]   [ Pause ]
[00:48:18.300 --> 00:48:48.280]   [ Pause ]
[00:48:48.280 --> 00:49:18.260]   [ Pause ]
[00:49:18.260 --> 00:49:48.240]   [ Pause ]
[00:49:48.240 --> 00:50:18.220]   [ Pause ]
[00:50:18.220 --> 00:50:48.200]   [ Pause ]
[00:50:48.200 --> 00:51:18.180]   [ Pause ]
[00:51:18.180 --> 00:51:48.160]   [ Pause ]
[00:51:48.160 --> 00:52:18.140]   [ Pause ]
[00:52:18.140 --> 00:52:48.120]   [ Pause ]
[00:52:48.120 --> 00:53:18.100]   [ Pause ]
[00:53:18.100 --> 00:53:48.080]   [ Pause ]
[00:53:48.080 --> 00:54:18.060]   [ Pause ]
[00:54:18.060 --> 00:54:48.040]   [ Pause ]
[00:54:48.040 --> 00:55:18.020]   [ Pause ]
[00:55:18.020 --> 00:55:48.000]   [ Pause ]
[00:55:48.000 --> 00:56:17.980]   [ Pause ]
[00:56:17.980 --> 00:56:47.960]   [ Pause ]
[00:56:47.960 --> 00:57:17.940]   [ Pause ]
[00:57:17.940 --> 00:57:47.920]   [ Pause ]
[00:57:47.920 --> 00:58:17.900]   [ Pause ]
[00:58:17.900 --> 00:58:47.880]   [ Pause ]
[00:58:47.880 --> 00:59:17.860]   [ Pause ]
[00:59:17.860 --> 00:59:47.840]   [ Pause ]
[00:59:47.840 --> 01:00:17.820]   [ Pause ]
[01:00:17.820 --> 01:00:47.800]   [ Pause ]
[01:00:47.800 --> 01:01:17.780]   [ Pause ]
[01:01:17.780 --> 01:01:47.760]   [ Pause ]
[01:01:47.760 --> 01:02:17.740]   [ Pause ]
[01:02:17.740 --> 01:02:47.720]   [ Pause ]
[01:02:47.720 --> 01:03:17.700]   [ Pause ]
[01:03:17.700 --> 01:03:47.680]   [ Pause ]
[01:03:47.680 --> 01:04:17.660]   [ Pause ]
[01:04:17.660 --> 01:04:47.640]   [ Pause ]
[01:04:47.640 --> 01:05:17.620]   [ Pause ]
[01:05:17.620 --> 01:05:47.600]   [ Pause ]
[01:05:47.600 --> 01:06:17.580]   [ Pause ]
[01:06:17.580 --> 01:06:47.560]   [ Pause ]
[01:06:47.560 --> 01:07:17.540]   [ Pause ]
[01:07:17.540 --> 01:07:47.520]   [ Pause ]
[01:07:47.520 --> 01:08:17.500]   [ Pause ]
[01:08:17.500 --> 01:08:47.480]   [ Pause ]
[01:08:47.480 --> 01:09:17.460]   [ Pause ]
[01:09:17.460 --> 01:09:47.440]   [ Pause ]
[01:09:47.440 --> 01:10:17.420]   [ Pause ]
[01:10:17.420 --> 01:10:47.400]   [ Pause ]
[01:10:47.400 --> 01:11:17.380]   [ Pause ]
[01:11:17.380 --> 01:11:47.360]   [ Pause ]
[01:11:47.360 --> 01:12:17.340]   [ Pause ]
[01:12:17.340 --> 01:12:47.320]   [ Pause ]
[01:12:47.320 --> 01:13:17.300]   [ Pause ]
[01:13:17.300 --> 01:13:47.280]   [ Pause ]
[01:13:47.280 --> 01:14:17.260]   [ Pause ]
[01:14:17.260 --> 01:14:47.240]   [ Pause ]
[01:14:47.240 --> 01:15:17.220]   [ Pause ]
[01:15:17.220 --> 01:15:47.200]   [ Pause ]
[01:15:47.200 --> 01:16:17.180]   [ Pause ]
[01:16:17.180 --> 01:16:47.160]   [ Pause ]
[01:16:47.160 --> 01:17:17.140]   [ Pause ]
[01:17:17.140 --> 01:17:47.120]   [ Pause ]
[01:17:47.120 --> 01:18:17.100]   [ Pause ]
[01:18:17.100 --> 01:18:47.080]   [ Pause ]
[01:18:47.080 --> 01:19:17.060]   [ Pause ]
[01:19:17.060 --> 01:19:47.040]   [ Pause ]
[01:19:47.040 --> 01:20:17.020]   [ Pause ]
[01:20:17.020 --> 01:20:47.000]   [ Pause ]
[01:20:47.000 --> 01:21:16.980]   [ Pause ]
[01:21:16.980 --> 01:21:46.960]   [ Pause ]
[01:21:46.960 --> 01:22:16.940]   [ Pause ]
[01:22:16.940 --> 01:22:46.920]   [ Pause ]
[01:22:46.920 --> 01:23:16.900]   [ Pause ]
[01:23:16.900 --> 01:23:28.880]   [ Pause ]
[01:23:29.360 --> 01:23:53.340]   [ Pause ]
[01:23:53.340 --> 01:23:54.340]   >> All right.
[01:23:54.340 --> 01:23:57.740]   Let's gather our thoughts together.
[01:23:57.740 --> 01:24:03.940]   And let me pray for us before we jump into the wrap up.
[01:24:03.940 --> 01:24:12.660]   Father, this was a very lengthy and a meaty passage.
[01:24:12.660 --> 01:24:17.460]   But Lord, there is so much for us to glean from it.
[01:24:17.460 --> 01:24:20.460]   Help us not to just look at these adjectives and look
[01:24:20.460 --> 01:24:26.260]   at these exhortations and just skim through them.
[01:24:26.260 --> 01:24:29.940]   But help us, Lord God, to just dive deeply,
[01:24:29.940 --> 01:24:32.900]   to remember Christ's own example.
[01:24:32.900 --> 01:24:38.180]   And Lord, to appropriately apply these verses
[01:24:38.180 --> 01:24:41.940]   in our hearts and in our lives.
[01:24:41.940 --> 01:24:50.860]   Not for our enjoyment or any acclaim for ourselves.
[01:24:50.860 --> 01:24:54.860]   But really, Lord God, that your name would be honored
[01:24:54.860 --> 01:24:58.300]   through not only our life, but our doctrine as well.
[01:24:58.300 --> 01:25:00.300]   So we pray for your help.
[01:25:00.300 --> 01:25:03.780]   And we ask all of these things in Jesus' name.
