
[00:00:00.000 --> 00:00:09.120]   - Hello, everyone.
[00:03:47.440 --> 00:03:50.080]   What's more, to imitate God as children.
[00:03:50.080 --> 00:03:54.400]   Then again, to walk in love, and then also to make sure that we're putting off certain
[00:03:54.400 --> 00:03:57.040]   things that were of our former selves.
[00:03:57.040 --> 00:04:00.400]   Likewise, categorically tonight, he's going to challenge us, the scripture's going to
[00:04:00.400 --> 00:04:03.600]   challenge us to walk as children of light.
[00:04:03.600 --> 00:04:07.560]   The way that I like to outline our passage today is in three sections.
[00:04:07.560 --> 00:04:08.600]   Okay?
[00:04:08.600 --> 00:04:16.880]   And sometimes the sections don't go as clearly, but what I observed were the commands for
[00:04:16.880 --> 00:04:20.560]   us to not partake, but to walk in the light.
[00:04:20.560 --> 00:04:25.200]   And then a repeated command, essentially saying the same thing, but giving a different rationale,
[00:04:25.200 --> 00:04:28.840]   saying don't partake, but rather expose it in the light.
[00:04:28.840 --> 00:04:35.480]   And then verse 14, giving us a gospel call to wake up as the light of Christ shines.
[00:04:35.480 --> 00:04:41.520]   So as we take a look at our passage, I do want to highlight that there is such a flow
[00:04:41.520 --> 00:04:46.280]   of thought that continued from the beginning of chapter five into this section.
[00:04:46.280 --> 00:04:51.840]   And you'll notice as I highlight these key terms where it says, therefore do this, or
[00:04:51.840 --> 00:04:54.840]   more specifically here, therefore don't do this, right?
[00:04:54.840 --> 00:04:56.560]   To not be partakers.
[00:04:56.560 --> 00:04:59.440]   And then it says for your formerly darkness.
[00:04:59.440 --> 00:05:03.360]   And what's more in verse nine, for the fruit of light consists of these.
[00:05:03.360 --> 00:05:07.160]   And then in verse 12, for it is disgraceful even to speak.
[00:05:07.160 --> 00:05:14.040]   So what I observed and noticed within that portion was that within the context, there
[00:05:14.040 --> 00:05:16.800]   are commands and there are rationales.
[00:05:16.800 --> 00:05:17.800]   Okay?
[00:05:17.800 --> 00:05:18.800]   Commands and rationales.
[00:05:18.800 --> 00:05:22.960]   So by way of observation, I want to highlight those things.
[00:05:22.960 --> 00:05:25.520]   And let's first talk about the command.
[00:05:25.520 --> 00:05:26.520]   Okay?
[00:05:26.520 --> 00:05:29.880]   The command for us here is to not be partakers with them.
[00:05:29.880 --> 00:05:35.400]   Previously he was talking about those who are immoral, impure, greedy, covetous, and
[00:05:35.400 --> 00:05:37.760]   idolatrous people.
[00:05:37.760 --> 00:05:42.840]   Previously he said, because for certain you know that the wrath of God is going to come.
[00:05:42.840 --> 00:05:46.240]   And all those who are disobedient are going to be judged by God.
[00:05:46.240 --> 00:05:47.240]   Right?
[00:05:47.240 --> 00:05:52.440]   That's the way that Apostle Paul framed last week's teaching or that section.
[00:05:52.440 --> 00:05:53.600]   Okay?
[00:05:53.600 --> 00:05:57.880]   Here Apostle Paul reiterates and says, if you know these things, right?
[00:05:57.880 --> 00:06:02.840]   If you know that the wrath of God is coming, then make sure you're not partakers with them.
[00:06:02.840 --> 00:06:06.520]   Now by way of just looking up the idea of what does it mean to be a partaker?
[00:06:06.520 --> 00:06:09.480]   Does that mean just like avoid them?
[00:06:09.480 --> 00:06:11.080]   Don't even walk near them?
[00:06:11.080 --> 00:06:17.160]   Should we go as far as maybe, you know, the Jews of old who are like, I'm not even going
[00:06:17.160 --> 00:06:18.320]   to walk near their city.
[00:06:18.320 --> 00:06:20.240]   Like what should we be thinking?
[00:06:20.240 --> 00:06:24.960]   Well, in terms of just a pure definition, it's talking about a partnership.
[00:06:24.960 --> 00:06:30.800]   It's talking about an associate who has essentially, if you think of an associate of a company,
[00:06:30.800 --> 00:06:35.760]   associate even as a individual who's working for the same sale, for the same cause or the
[00:06:35.760 --> 00:06:38.920]   purpose, that kind of idea.
[00:06:38.920 --> 00:06:43.080]   But I want to highlight some other passages because you know that the scriptures actually
[00:06:43.080 --> 00:06:48.880]   talk about this quite a bit in terms of walking with the world, friendship with the world.
[00:06:48.880 --> 00:06:50.520]   There's so much to say.
[00:06:50.520 --> 00:06:52.880]   Now I'd like to highlight just two passages here.
[00:06:52.880 --> 00:06:58.480]   The first one comes from Psalm chapter one and it says this, "Blessed is the man who
[00:06:58.480 --> 00:07:05.640]   walks not in the counsel of the wicked, nor stands in the way of sinners, nor sits in
[00:07:05.640 --> 00:07:10.440]   the seat of scoffers, but his delight is in the law of the Lord and on his law he meditates
[00:07:10.440 --> 00:07:11.440]   day and night.
[00:07:11.440 --> 00:07:16.400]   He is like a tree planted by streams of water that yields its fruit in its season and its
[00:07:16.400 --> 00:07:17.960]   leaf does not wither.
[00:07:17.960 --> 00:07:20.000]   In all that he does, he prospers.
[00:07:20.000 --> 00:07:25.000]   The wicked are not so, but are like chaff that the wind drives away."
[00:07:25.000 --> 00:07:30.520]   I want to ask you, when you think about do not be partakers with them, if you're thinking
[00:07:30.520 --> 00:07:36.200]   so long as I don't fulfill their actions, so long as I don't do exactly as they do,
[00:07:36.200 --> 00:07:38.720]   are you not partakers with them?
[00:07:38.720 --> 00:07:47.040]   Well here in wisdom, right, the book of Psalms challenges us not to sit there underneath
[00:07:47.040 --> 00:07:52.880]   their counsel, not to stand there with them, and not to sit with them in scoffers.
[00:07:52.880 --> 00:07:57.960]   And there's like a progression as you walk and be a part of their whole mentality and
[00:07:57.960 --> 00:07:58.960]   worldview.
[00:07:58.960 --> 00:08:00.960]   Here's another interesting passage.
[00:08:00.960 --> 00:08:03.360]   First Corinthians chapter five, verse nine through 11.
[00:08:03.360 --> 00:08:08.640]   "I wrote you in my letter not to associate with immoral people.
[00:08:08.640 --> 00:08:14.000]   I did not at all mean with the immoral people of this world or with the covetous and swindlers
[00:08:14.000 --> 00:08:17.200]   or with idolaters, for then you would have to go out of the world."
[00:08:17.200 --> 00:08:21.080]   So one might say, well, Jesus dined with sinners.
[00:08:21.080 --> 00:08:22.440]   Very true, right?
[00:08:22.440 --> 00:08:24.840]   Jesus ministered to the lost.
[00:08:24.840 --> 00:08:28.480]   Jesus was found to be talking with an adulterous woman.
[00:08:28.480 --> 00:08:32.040]   Jesus was found ministering together with former tax collectors.
[00:08:32.040 --> 00:08:35.960]   I mean, you think about individuals who are sinners, can you be in their proximity?
[00:08:35.960 --> 00:08:41.080]   The answer is yes, otherwise you would have to go out, right, into the wilderness or something.
[00:08:41.080 --> 00:08:45.560]   But verse 11 says, "But actually I wrote to you not to associate with any so-called brother
[00:08:45.560 --> 00:08:51.920]   if he is an immoral person or covetous, an idolater or reviler or a drunkard or a swindler,
[00:08:51.920 --> 00:08:54.320]   not even to eat with such a one."
[00:08:54.320 --> 00:08:55.560]   So I want you to think about that.
[00:08:55.560 --> 00:09:03.840]   We have to have a kind of growing understanding of what apostle Paul wants us to do.
[00:09:03.840 --> 00:09:08.960]   And there is this idea, it's first and foremost, he says, you understand where they're headed,
[00:09:08.960 --> 00:09:09.960]   right?
[00:09:09.960 --> 00:09:12.120]   That's exactly what he was previously saying.
[00:09:12.120 --> 00:09:15.720]   You have these individuals who are living by their desires, living by what they believe
[00:09:15.720 --> 00:09:20.840]   is right, living by their own greed, and what you know for certain is where they're headed
[00:09:20.840 --> 00:09:23.440]   and how God views that.
[00:09:23.440 --> 00:09:28.240]   I don't want you condoning anything that is pertaining to what God disapproves of, what
[00:09:28.240 --> 00:09:31.360]   God is going to judge and pour His wrath on.
[00:09:31.360 --> 00:09:33.200]   And so I want you to also think about this.
[00:09:33.200 --> 00:09:39.640]   Yes, it's true, you can be in close proximity, but when you think about Christ, his intentionality
[00:09:39.640 --> 00:09:46.040]   for why he would be in proximity with individuals, it's very different from this generation.
[00:09:46.040 --> 00:09:50.840]   What's more, when you think about this passage in 1 Corinthians 5, there is clearly this
[00:09:50.840 --> 00:09:57.040]   adamant, I guess, admonition that if you just simply walk with individuals who are so-called
[00:09:57.040 --> 00:10:02.560]   brothers who are supposed to be walking in the light, and yet you act and walk with them
[00:10:02.560 --> 00:10:07.800]   as though everything is okay, that is in fact not okay.
[00:10:07.800 --> 00:10:12.480]   You can't give any kind of credence to their lifestyle if they're called a so-called brother.
[00:10:12.480 --> 00:10:14.480]   There has to be consequences, essentially.
[00:10:14.480 --> 00:10:18.760]   There has to be ramifications for the fact that they live in such a manner.
[00:10:18.760 --> 00:10:23.440]   Okay, now, one of the things, again, that I was trying to highlight for you earlier
[00:10:23.440 --> 00:10:29.800]   by showing you the therefores and the fores was that this passage was chock full of rationales.
[00:10:29.800 --> 00:10:31.640]   The why.
[00:10:31.640 --> 00:10:40.080]   Why am I supposed to have that kind of clarity between me and the individuals of the world?
[00:10:40.080 --> 00:10:43.680]   Why am I supposed to have that kind of clear distinction?
[00:10:43.680 --> 00:10:49.260]   Are we supposed to be drawing lines and creating boundaries within the world between Christians
[00:10:49.260 --> 00:10:50.760]   and non-Christians?
[00:10:50.760 --> 00:10:57.720]   May I say from the beginning, whether we see it or not, there is already a massive divide
[00:10:57.720 --> 00:11:01.480]   between those who are called by Christ and those who are not.
[00:11:01.480 --> 00:11:04.760]   Not in any kind of arrogant or self-righteous way.
[00:11:04.760 --> 00:11:09.080]   It is the state of spiritual reality, right?
[00:11:09.080 --> 00:11:15.840]   Here, rationale one, it says, "For you were formerly darkness, but now you are light in
[00:11:15.840 --> 00:11:17.880]   the world."
[00:11:17.880 --> 00:11:21.680]   Here is a motivation as to why we're not supposed to be particulars with them.
[00:11:21.680 --> 00:11:26.000]   As a matter of fact, again, the passage is chock full of them and I numbered them here.
[00:11:26.000 --> 00:11:31.160]   When you guys see a pattern or a list, I recommend that you take a moment to list all the things
[00:11:31.160 --> 00:11:32.160]   that are there.
[00:11:32.160 --> 00:11:35.520]   "For you were formerly darkness, but now you are light.
[00:11:35.520 --> 00:11:39.680]   For the fruit of light consists of all goodness, righteousness, and truth.
[00:11:39.680 --> 00:11:45.120]   For it is disgraceful even to speak of the things which are done by them in secret.
[00:11:45.120 --> 00:11:49.880]   For everything that becomes visible is light."
[00:11:49.880 --> 00:11:56.640]   What I'm going to do now is take those motivations and highlight them for you.
[00:11:56.640 --> 00:12:03.640]   Motivation number one, the dark to light transformation is your identity.
[00:12:03.640 --> 00:12:07.080]   The dark to light transformation is your identity.
[00:12:07.080 --> 00:12:09.000]   What do I mean by that?
[00:12:09.000 --> 00:12:13.320]   He tells you what you were formerly and what you are now.
[00:12:13.320 --> 00:12:17.000]   The whole of that is your identity.
[00:12:17.000 --> 00:12:21.840]   When you look at your past and you're super discouraged, that is not the whole of your
[00:12:21.840 --> 00:12:22.840]   identity.
[00:12:22.840 --> 00:12:27.000]   Your identity includes everything about who you were and who you are now.
[00:12:27.000 --> 00:12:31.840]   It's not as though because we're emphasizing who we are now that everything about the past
[00:12:31.840 --> 00:12:34.440]   becomes completely, completely forgotten.
[00:12:34.440 --> 00:12:39.360]   No, we remember the fallenness.
[00:12:39.360 --> 00:12:43.800]   We recall the pits from which Christ has saved us.
[00:12:43.800 --> 00:12:51.000]   All of that to us then is a powerful identity where we can say, "We are the transformed.
[00:12:51.000 --> 00:12:53.400]   We are the renewed."
[00:12:53.400 --> 00:12:58.560]   If you recall that contrast, we're supposed to actually, I guess, appreciate.
[00:12:58.560 --> 00:13:03.600]   The longer we live, we're supposed to be able to see in more grand picture, "Oh my goodness,
[00:13:03.600 --> 00:13:06.040]   look how far I was from God.
[00:13:06.040 --> 00:13:08.580]   Look how deserving I was of His judgment.
[00:13:08.580 --> 00:13:14.640]   Look how utterly incapable, utterly impossible it was for me to attain to anything, to fix
[00:13:14.640 --> 00:13:15.640]   anything.
[00:13:15.640 --> 00:13:17.920]   Look how great His grace is."
[00:13:17.920 --> 00:13:21.760]   That kind of divide, we're supposed to appreciate more and more as we live.
[00:13:21.760 --> 00:13:22.760]   Why?
[00:13:22.760 --> 00:13:27.560]   Because that contrast shows to us a great, great powerful motivation as to why we need
[00:13:27.560 --> 00:13:30.200]   to be all the more walking in the light.
[00:13:30.200 --> 00:13:36.840]   That contrast, he shows us by describing the fruit of righteousness, or sorry, fruit of
[00:13:36.840 --> 00:13:38.720]   light, which is righteousness.
[00:13:38.720 --> 00:13:40.320]   The fruit of light of righteousness.
[00:13:40.320 --> 00:13:45.800]   The way that he says it is, "The fruit of light consists of these, all goodness, righteousness,
[00:13:45.800 --> 00:13:46.800]   and truth."
[00:13:46.800 --> 00:13:49.920]   What are we saying here?
[00:13:49.920 --> 00:13:55.240]   What he's talking about is the various things that we want, greater good, greater righteousness
[00:13:55.240 --> 00:13:58.680]   in the world, greater adherence to truth.
[00:13:58.680 --> 00:14:02.240]   All of these things come from being in the light.
[00:14:02.240 --> 00:14:05.280]   It doesn't come from just simply having positions of power.
[00:14:05.280 --> 00:14:08.560]   It doesn't come from using our intellect.
[00:14:08.560 --> 00:14:11.400]   It comes from being in the light of Christ.
[00:14:11.400 --> 00:14:13.520]   It comes from the Lord.
[00:14:13.520 --> 00:14:17.840]   One of the challenges I want to give to you is this, when we think about the things that
[00:14:17.840 --> 00:14:22.920]   we engage in, whether it be the context of our home, whether it be, let's say, difficult
[00:14:22.920 --> 00:14:27.480]   scenarios, let's say in marriage, whether it be situations and circumstances at work
[00:14:27.480 --> 00:14:33.600]   where it's all tricky and dicey, I want you to ask this question, "What am I trying to
[00:14:33.600 --> 00:14:34.600]   accomplish?
[00:14:34.600 --> 00:14:36.960]   What fruit am I trying to grow?"
[00:14:36.960 --> 00:14:43.520]   Because we have this tendency to get so distracted with wanting a specific, I guess, outcome,
[00:14:43.520 --> 00:14:44.520]   a goal.
[00:14:44.520 --> 00:14:50.240]   Like we're anticipating a certain kind of circumstance that we would like to see.
[00:14:50.240 --> 00:14:55.280]   And sometimes it just gets us so, so distracted.
[00:14:55.280 --> 00:14:59.600]   One of the ways by which we can continue to test, "Are we walking in the light?" is by
[00:14:59.600 --> 00:15:01.200]   using this.
[00:15:01.200 --> 00:15:04.920]   It's both a motivation and essentially a test for us.
[00:15:04.920 --> 00:15:09.440]   It's motivation because the only way to righteousness, as we were talking about this past Sunday,
[00:15:09.440 --> 00:15:10.440]   is the light.
[00:15:10.440 --> 00:15:14.560]   But what's more, to check to see if we are in the light, we should be asking, "What is
[00:15:14.560 --> 00:15:16.880]   it that I actually want to accomplish?"
[00:15:16.880 --> 00:15:21.760]   Now, I've said to myself before, I don't want to necessarily use my children too much as
[00:15:21.760 --> 00:15:29.800]   an example, but yesterday night I was just at home and little Emmett came up and he was
[00:15:29.800 --> 00:15:32.720]   trying to tell me, "Oh, Abba.
[00:15:32.720 --> 00:15:38.240]   Yoshi and I, Heng and I, we were messing around and then his foot smacked my face and left
[00:15:38.240 --> 00:15:39.240]   my nose all runny."
[00:15:39.240 --> 00:15:42.760]   Now, Yoshi came running over and he was all scared.
[00:15:42.760 --> 00:15:44.240]   So he was like, "No, it's not true."
[00:15:44.240 --> 00:15:45.240]   And I was like, "What?
[00:15:45.240 --> 00:15:46.240]   What's not true?
[00:15:46.240 --> 00:15:47.240]   Your foot did it in his face?"
[00:15:47.240 --> 00:15:48.240]   He was like, "No.
[00:15:48.240 --> 00:15:50.160]   He's just trying to get me in trouble.
[00:15:50.160 --> 00:15:51.160]   I didn't mean to."
[00:15:51.160 --> 00:15:52.840]   And he was defending himself.
[00:15:52.840 --> 00:15:55.160]   And he was coming at me.
[00:15:55.160 --> 00:15:56.880]   And I remember thinking, "Whoa, whoa, hold on.
[00:15:56.880 --> 00:15:59.880]   All Emmett said was that you guys were horsing around.
[00:15:59.880 --> 00:16:00.880]   You're not in trouble sometimes.
[00:16:00.880 --> 00:16:03.080]   You guys horse around and you guys get hurt.
[00:16:03.080 --> 00:16:04.080]   Nobody's in trouble."
[00:16:04.080 --> 00:16:06.080]   And he's like, "No, but that's not what happened."
[00:16:06.080 --> 00:16:08.080]   And I was like, "What?
[00:16:08.080 --> 00:16:09.080]   Stop.
[00:16:09.080 --> 00:16:12.880]   Like, Emmett didn't say that you were a bad, bad man.
[00:16:12.880 --> 00:16:16.920]   He was just saying that your foot smacked you in the face, right?
[00:16:16.920 --> 00:16:19.240]   I mean, smacked him in the face."
[00:16:19.240 --> 00:16:21.920]   And he just kept coming at me like he's trying to defend himself.
[00:16:21.920 --> 00:16:22.920]   And I was just like, "Stop."
[00:16:22.920 --> 00:16:24.480]   And I started giggling and laughing.
[00:16:24.480 --> 00:16:26.760]   I was like, "What are you doing?
[00:16:26.760 --> 00:16:31.800]   If your point is I shouldn't be in trouble, you're not in trouble.
[00:16:31.800 --> 00:16:34.600]   The reality is you're not in trouble."
[00:16:34.600 --> 00:16:36.360]   And I started laughing at him.
[00:16:36.360 --> 00:16:40.120]   And then all of a sudden he realized like, "Okay, why are you laughing?"
[00:16:40.120 --> 00:16:43.240]   And I just asked him, "What's the reality?
[00:16:43.240 --> 00:16:46.680]   The reality is your foot smacked him in the face.
[00:16:46.680 --> 00:16:49.280]   Also the reality is you're not in trouble.
[00:16:49.280 --> 00:16:51.160]   What are you arguing about?"
[00:16:51.160 --> 00:16:55.840]   And then we just started laughing together because he was like, "Okay."
[00:16:55.840 --> 00:16:59.560]   But the fear, like the goal was I don't want to be in trouble.
[00:16:59.560 --> 00:17:00.560]   I don't deserve this, right?
[00:17:00.560 --> 00:17:04.400]   The fear of, "Oh my goodness, my brother's going to tattle-tale and he's going to get
[00:17:04.400 --> 00:17:06.360]   me in trouble because he's going to lie," or something like that.
[00:17:06.360 --> 00:17:13.720]   The fear to try to preemptively protect himself caused him to argue with me pointlessly.
[00:17:13.720 --> 00:17:19.920]   And I wanted him to see that like, "Listen, think about what you're trying to accomplish.
[00:17:19.920 --> 00:17:23.080]   You're just trying to accomplish like, 'I better know what happened.'"
[00:17:23.080 --> 00:17:26.360]   Like you weren't even listening to what I was saying.
[00:17:26.360 --> 00:17:32.260]   And so I realized sometimes even in like marriage conflict, even in like workplace scenario,
[00:17:32.260 --> 00:17:35.160]   if your goal is like, "You know, I just need to speak my piece."
[00:17:35.160 --> 00:17:38.800]   Like, if your goal is like, "I just want to make sure I get due credit for this."
[00:17:38.800 --> 00:17:41.680]   Like, think about the fruit.
[00:17:41.680 --> 00:17:43.880]   Is the fruit goodness?
[00:17:43.880 --> 00:17:45.560]   Is the fruit more honesty?
[00:17:45.560 --> 00:17:48.120]   Is the fruit like better mutual understanding?
[00:17:48.120 --> 00:17:50.280]   Like, are you listening?
[00:17:50.280 --> 00:17:52.840]   Is the fruit more righteousness between the two of us?
[00:17:52.840 --> 00:17:56.400]   Like, is the fruits greater joy?
[00:17:56.400 --> 00:18:01.160]   Is the fruit like greater working together in harmony for the good of the company?
[00:18:01.160 --> 00:18:05.080]   So that, you know, yes, we're going to try to, you know, sell more products and do good
[00:18:05.080 --> 00:18:06.320]   for the public too, right?
[00:18:06.320 --> 00:18:09.520]   Like whatever it may be, we want to provide good services, whatever it may be.
[00:18:09.520 --> 00:18:12.240]   Are you actually producing good?
[00:18:12.240 --> 00:18:13.920]   Or is the fruit actually destructive?
[00:18:13.920 --> 00:18:15.560]   Is the fruit just for yourself?
[00:18:15.560 --> 00:18:20.440]   And that's why later on in verse 11, this passage says the deeds of darkness is not
[00:18:20.440 --> 00:18:22.040]   like heinously vile.
[00:18:22.040 --> 00:18:23.040]   You know what it says?
[00:18:23.040 --> 00:18:25.240]   The deeds of darkness is unfruitful.
[00:18:25.240 --> 00:18:32.480]   Like there's such vanity wrapped up in thinking like the world and pursuing the world's objectives.
[00:18:32.480 --> 00:18:36.440]   And so we have to ask, what kind of fruits are we producing with what we are engaging
[00:18:36.440 --> 00:18:37.440]   in?
[00:18:37.440 --> 00:18:44.360]   What's more, motivation number three, why should we not partake in the darkness, but
[00:18:44.360 --> 00:18:50.240]   continue to walk in greater light is because the fruits of darkness is actually disgraceful.
[00:18:50.240 --> 00:18:51.240]   Okay.
[00:18:51.240 --> 00:18:53.040]   Meaning there's shame.
[00:18:53.040 --> 00:18:54.040]   Okay.
[00:18:54.040 --> 00:18:59.640]   Definitions wise, that the term for disgraceful is dishonorable, act indecent, completely
[00:18:59.640 --> 00:19:06.000]   inappropriate or used in another context in one of the first Timothy passage about elders
[00:19:06.000 --> 00:19:08.520]   looking for sword gain.
[00:19:08.520 --> 00:19:11.000]   It's inappropriate, dishonest gain.
[00:19:11.000 --> 00:19:12.000]   Okay.
[00:19:12.000 --> 00:19:18.280]   And what I'd like to highlight here is the scriptures essentially tell you that the deeds
[00:19:18.280 --> 00:19:20.440]   of darkness is shameful.
[00:19:20.440 --> 00:19:21.800]   Okay.
[00:19:21.800 --> 00:19:25.800]   And the fact of the matter is I do believe scripture has challenged every single one
[00:19:25.800 --> 00:19:26.800]   of us.
[00:19:26.800 --> 00:19:31.200]   Now, when you are a Christian, you are exposed to the light and you have greater insight
[00:19:31.200 --> 00:19:34.240]   as to what things are actually appropriate.
[00:19:34.240 --> 00:19:35.900]   When we are not in the light, we're like kids.
[00:19:35.900 --> 00:19:37.440]   We have no idea what's appropriate or not.
[00:19:37.440 --> 00:19:40.640]   You know, when little kids, they just come out there and they're like, Oh, look at my
[00:19:40.640 --> 00:19:41.640]   shirt.
[00:19:41.640 --> 00:19:43.120]   They just take off their shirt and expose themselves.
[00:19:43.120 --> 00:19:46.720]   And the parents are like, Oh no, you know, shame.
[00:19:46.720 --> 00:19:51.440]   You got to have some sense when we are outside of Christ, essentially when we're outside
[00:19:51.440 --> 00:19:55.000]   of even, especially even the Christian community.
[00:19:55.000 --> 00:19:58.240]   Sometimes I like to call it the, I'm buff in my own room syndrome.
[00:19:58.240 --> 00:20:00.520]   I've used this analogy a lot.
[00:20:00.520 --> 00:20:04.640]   When you are kind of confined to your own space in your own room, certain things seem
[00:20:04.640 --> 00:20:08.840]   so because of like scale so different.
[00:20:08.840 --> 00:20:11.000]   When you're in your own room, you flex in front of that mirror.
[00:20:11.000 --> 00:20:12.960]   You look huge, right?
[00:20:12.960 --> 00:20:16.480]   When you're in front of your closet door and then your room is only like a 10 by 10 room
[00:20:16.480 --> 00:20:19.560]   and you just like flexing, you're like, Oh, I'm huge.
[00:20:19.560 --> 00:20:20.560]   Right?
[00:20:20.560 --> 00:20:23.080]   You go out into the world and you realize, you know what?
[00:20:23.080 --> 00:20:24.480]   I'm actually below average.
[00:20:24.480 --> 00:20:27.880]   You're just a lot smaller than a lot of people.
[00:20:27.880 --> 00:20:31.640]   But if we're not exposed to the Christian community and what's more actually exposed
[00:20:31.640 --> 00:20:35.160]   to the light of Christ, our frame of reference is always off.
[00:20:35.160 --> 00:20:36.840]   Our scaling is all off.
[00:20:36.840 --> 00:20:37.840]   Right?
[00:20:37.840 --> 00:20:40.760]   And so what ends up happening is we don't know what's appropriate.
[00:20:40.760 --> 00:20:46.560]   What's more scripture actually rebukes people through all generations because sometimes
[00:20:46.560 --> 00:20:49.600]   their reaction to shame is one of two things.
[00:20:49.600 --> 00:20:54.440]   One is to take their kind of guilt and shame radar and just be like pounded to the ground.
[00:20:54.440 --> 00:20:56.160]   But like, I'm not going to feel guilty about this.
[00:20:56.160 --> 00:20:57.160]   I'll do what I want.
[00:20:57.160 --> 00:20:58.160]   Right?
[00:20:58.160 --> 00:20:59.440]   Like that's one reaction.
[00:20:59.440 --> 00:21:03.520]   The other reaction is to just keep hiding deeper and deeper into your hole because your
[00:21:03.520 --> 00:21:05.480]   shame just grows.
[00:21:05.480 --> 00:21:07.240]   Either way, it's not good.
[00:21:07.240 --> 00:21:11.280]   And here's an interesting passage from scripture from Jeremiah chapter six, verse 15, where
[00:21:11.280 --> 00:21:16.120]   it says, "Were they ashamed because of the abomination they have done?
[00:21:16.120 --> 00:21:18.360]   They were not even ashamed at all.
