
[00:00:00.000 --> 00:00:02.740]   (audio cuts out)
[00:04:11.400 --> 00:04:12.960]   Think about my preaching to you.
[00:04:12.960 --> 00:04:18.220]   Like, how and what did I teach you when I preached to you?
[00:04:19.060 --> 00:04:20.420]   Okay?
[00:04:20.420 --> 00:04:22.660]   And this is the section that we're studying
[00:04:22.660 --> 00:04:25.180]   in verses one through five of chapter two,
[00:04:25.180 --> 00:04:26.740]   preaching God's wisdom, okay?
[00:04:26.740 --> 00:04:28.140]   And I wrote a little mark.
[00:04:28.140 --> 00:04:32.060]   I know, sorry, I had you guys study verses all up until 12,
[00:04:32.060 --> 00:04:34.540]   but lo and behold, we can only,
[00:04:34.540 --> 00:04:36.380]   I think we can only cover the first five verses.
[00:04:36.380 --> 00:04:37.500]   All right.
[00:04:37.500 --> 00:04:40.300]   So let's begin here by reading this section in verse two.
[00:04:40.300 --> 00:04:43.180]   I'm gonna read the whole section,
[00:04:43.180 --> 00:04:45.700]   a paragraph, verses one through five.
[00:04:45.700 --> 00:04:47.780]   And when I came to you, brethren,
[00:04:47.780 --> 00:04:51.180]   I did not come with superiority of speech or of wisdom,
[00:04:51.180 --> 00:04:53.780]   proclaiming to you the testimony of God.
[00:04:53.780 --> 00:04:55.860]   For I determined to know nothing among you
[00:04:55.860 --> 00:04:58.800]   except Jesus Christ and him crucified.
[00:04:58.800 --> 00:05:01.100]   I was with you in weakness and in fear
[00:05:01.100 --> 00:05:03.940]   and in much trembling, and my message and my preaching
[00:05:03.940 --> 00:05:05.800]   were not in persuasive words of wisdom,
[00:05:05.800 --> 00:05:08.820]   but in demonstration of the spirit and of power,
[00:05:08.820 --> 00:05:12.940]   so that your faith would not rest on the wisdom of men,
[00:05:12.940 --> 00:05:15.420]   but on the power of God.
[00:05:15.420 --> 00:05:16.500]   Okay?
[00:05:16.500 --> 00:05:17.340]   All right.
[00:05:17.340 --> 00:05:20.180]   In this section, we wanna begin with verse one.
[00:05:20.180 --> 00:05:22.180]   And he essentially, you know, as typically
[00:05:22.180 --> 00:05:23.780]   when you write an essay, the first sentence
[00:05:23.780 --> 00:05:26.420]   of the paragraph essentially gives you the punch.
[00:05:26.420 --> 00:05:27.640]   It gives you its proposition.
[00:05:27.640 --> 00:05:29.820]   And likewise, Apostle Paul does the same.
[00:05:29.820 --> 00:05:31.180]   He says, when I came to you, brethren,
[00:05:31.180 --> 00:05:34.580]   I did not come with superiority of speech or with wisdom,
[00:05:34.580 --> 00:05:37.840]   proclaiming to you the testimony of God.
[00:05:37.840 --> 00:05:40.540]   Now this is one of those verses where it's just plain.
[00:05:40.540 --> 00:05:44.500]   There's a simplicity to it.
[00:05:44.500 --> 00:05:47.860]   But I would like us to try and put it in our own words,
[00:05:47.860 --> 00:05:48.800]   so to speak.
[00:05:48.800 --> 00:05:51.940]   So let me ask you guys, in your own words,
[00:05:51.940 --> 00:05:53.540]   what is he simply trying to say?
[00:05:53.540 --> 00:06:08.580]   Anybody?
[00:06:12.420 --> 00:06:13.900]   This one's one of those, you know,
[00:06:13.900 --> 00:06:15.820]   just clear statements, hey, I'm,
[00:06:15.820 --> 00:06:18.540]   what's he saying, I'm,
[00:06:18.540 --> 00:06:21.300]   (laughs)
[00:06:21.300 --> 00:06:24.120]   I'm leaving it to you to just summarize for me.
[00:06:24.120 --> 00:06:26.260]   If you were to put it in your own lingo, so to speak,
[00:06:26.260 --> 00:06:27.300]   how would you say it?
[00:06:27.300 --> 00:06:40.620]   Great.
[00:06:40.620 --> 00:06:42.700]   Commenting at you plain and simple.
[00:06:42.700 --> 00:06:43.540]   Excellent.
[00:06:43.540 --> 00:06:44.380]   Anywhere else to put it?
[00:06:44.380 --> 00:06:45.900]   Or any, anywhere else to put it?
[00:06:45.900 --> 00:06:53.180]   He's just kinda saying,
[00:06:53.180 --> 00:06:56.980]   I actually haven't really been eloquent with you,
[00:06:56.980 --> 00:06:59.860]   but I just gave you the truth, right?
[00:06:59.860 --> 00:07:01.580]   And the reason why I'm saying this,
[00:07:01.580 --> 00:07:04.420]   in terms of asking you guys to kinda give me the obvious,
[00:07:04.420 --> 00:07:05.820]   I know it's a little awkward.
[00:07:05.820 --> 00:07:06.700]   (laughs)
[00:07:06.700 --> 00:07:07.980]   Those are always our most fearful.
[00:07:07.980 --> 00:07:10.220]   It's like, teacher asks you a,
[00:07:10.220 --> 00:07:11.720]   I was in seminary one time, and,
[00:07:11.720 --> 00:07:15.700]   you know, I was in the class for the book of Hebrews.
[00:07:15.700 --> 00:07:17.100]   Teacher looked at me, and he said,
[00:07:17.100 --> 00:07:20.180]   who do you think the book of Hebrews were written to?
[00:07:20.180 --> 00:07:22.680]   And I went, oh my God, oh my God, oh my God, you know?
[00:07:22.680 --> 00:07:25.100]   It's too easy to say, I don't know.
[00:07:25.100 --> 00:07:26.260]   (laughs)
[00:07:26.260 --> 00:07:27.900]   And I said, pass.
[00:07:27.900 --> 00:07:29.340]   (laughs)
[00:07:29.340 --> 00:07:31.300]   It's like utter fail moment in my life.
[00:07:31.300 --> 00:07:33.640]   But sometimes it feels like that.
[00:07:33.640 --> 00:07:35.940]   But the reason why I'm asking you for an obvious answer
[00:07:35.940 --> 00:07:38.660]   is because sometimes the Bible's really plain and simple.
[00:07:38.660 --> 00:07:39.780]   But the fact of the matter is,
[00:07:39.780 --> 00:07:41.280]   I wanna ask you this question.
[00:07:41.280 --> 00:07:44.700]   There is a perspective to gain.
[00:07:44.700 --> 00:07:46.100]   It's a plain and simple statement.
[00:07:46.100 --> 00:07:49.680]   It's like, you know, I don't use the eloquence
[00:07:49.680 --> 00:07:51.340]   that all these other guys use.
[00:07:51.340 --> 00:07:53.540]   And although you might seek, some of you Greeks,
[00:07:53.540 --> 00:07:56.580]   the kind of philosophy and wisdom that your other,
[00:07:56.580 --> 00:07:59.740]   you know, orators and articulators might practice,
[00:07:59.740 --> 00:08:01.140]   I don't have that stuff.
[00:08:01.140 --> 00:08:02.820]   He could, actually, but he says,
[00:08:02.820 --> 00:08:03.940]   I'm not gonna do it like that.
[00:08:03.940 --> 00:08:07.260]   I just gave you the truth, plain and simple, right?
[00:08:07.260 --> 00:08:08.500]   And I think the thing about it is,
[00:08:08.500 --> 00:08:11.780]   though, as he's saying this, there is a perspective.
[00:08:11.780 --> 00:08:15.580]   There is a, what I like to call, worldview reality
[00:08:15.580 --> 00:08:18.900]   of what he is doing, how he paints himself.
[00:08:18.900 --> 00:08:20.780]   And so I wanna ask you this question,
[00:08:20.780 --> 00:08:21.860]   letter B in your packet,
[00:08:21.860 --> 00:08:24.520]   in what context do people give a testimony?
[00:08:24.520 --> 00:08:28.660]   What sort of context do people give a testimony?
[00:08:28.660 --> 00:08:30.820]   He says there, I came to you,
[00:08:30.820 --> 00:08:32.980]   I didn't use impurity of speech or wisdom,
[00:08:32.980 --> 00:08:35.260]   proclaim to you testimonies of God.
[00:08:37.180 --> 00:08:39.820]   In what context do people give testimonies?
[00:08:39.820 --> 00:08:43.980]   Courtroom, exactly, okay?
[00:08:43.980 --> 00:08:46.780]   And that's essentially what I would like you to envision.
[00:08:46.780 --> 00:08:49.260]   There is this kind of question, you know,
[00:08:49.260 --> 00:08:53.900]   Apostle Paul, you were kind of like a privileged few.
[00:08:53.900 --> 00:08:58.460]   You had an incredible education, you had nobility status,
[00:08:58.460 --> 00:09:00.140]   you had the greatest teachers.
[00:09:00.140 --> 00:09:01.780]   So essentially, if you think about it in our day,
[00:09:01.780 --> 00:09:03.620]   if you think of Harvard,
[00:09:03.620 --> 00:09:05.700]   and then the best professors at Harvard,
[00:09:05.700 --> 00:09:07.300]   he was mentored by them,
[00:09:07.300 --> 00:09:09.500]   and then here he is, speaking plainly,
[00:09:09.500 --> 00:09:11.060]   like somebody who wasn't, you know,
[00:09:11.060 --> 00:09:13.780]   just like average Joe, so to speak.
[00:09:13.780 --> 00:09:15.980]   And so you gotta ask, why?
[00:09:15.980 --> 00:09:19.260]   Well, in my mind, the why comes from him revealing the fact
[00:09:19.260 --> 00:09:21.180]   that he essentially says, what I'm doing
[00:09:21.180 --> 00:09:24.020]   is I'm giving a testimony of God.
[00:09:24.020 --> 00:09:27.260]   And when you think testimony, you think courtroom.
[00:09:27.260 --> 00:09:30.060]   As you guys know, and when I say as you guys know,
[00:09:30.060 --> 00:09:31.180]   people have said this a lot,
[00:09:31.180 --> 00:09:33.180]   and I know Pastor Peter has said it a bunch,
[00:09:33.180 --> 00:09:35.020]   that when you think testimony,
[00:09:35.020 --> 00:09:39.060]   there's a Greek word that basically is a root
[00:09:39.060 --> 00:09:41.860]   for where we get the term martyr.
[00:09:41.860 --> 00:09:46.260]   And that root is from the word that signifies a witness.
[00:09:46.260 --> 00:09:48.980]   Someone is giving a testimony as a witness.
[00:09:48.980 --> 00:09:50.300]   So we're called witnesses,
[00:09:50.300 --> 00:09:52.140]   which means we have a story to tell,
[00:09:52.140 --> 00:09:53.580]   but is it any old story?
[00:09:53.580 --> 00:09:55.520]   No.
[00:09:55.520 --> 00:09:58.780]   Does a witness go on the stand
[00:09:58.780 --> 00:10:01.660]   to give a dramatic presentation,
[00:10:01.660 --> 00:10:03.100]   and then they go off saying,
[00:10:03.100 --> 00:10:05.140]   and the sound was like whoosh, you know, whatever?
[00:10:05.140 --> 00:10:06.780]   No, they just need to give the what?
[00:10:06.780 --> 00:10:08.460]   The straight facts.
[00:10:08.460 --> 00:10:09.860]   They need to tell how it happened,
[00:10:09.860 --> 00:10:12.020]   exactly how it happened.
[00:10:12.020 --> 00:10:14.460]   Their job isn't to make the crowd
[00:10:14.460 --> 00:10:16.220]   as the audience of the courtroom
[00:10:16.220 --> 00:10:19.540]   to be wooed and wowed or the judge be impressed by you.
[00:10:19.540 --> 00:10:23.100]   You just need to give your statement.
[00:10:23.100 --> 00:10:29.060]   That Greek term is also sometimes used to signify a proof.
[00:10:29.060 --> 00:10:31.680]   Like if you were to have a case to make,
[00:10:31.680 --> 00:10:34.340]   and here is the proof behind it,
[00:10:34.340 --> 00:10:36.960]   sometimes that's the word that's used.
[00:10:36.960 --> 00:10:39.740]   So how does Apostle Paul view himself
[00:10:39.740 --> 00:10:42.280]   and perceive his reality when he is preaching?
[00:10:42.280 --> 00:10:47.580]   Does he see himself like the leaders of their day?
[00:10:47.580 --> 00:10:52.300]   The people might want, you know,
[00:10:52.300 --> 00:10:54.300]   the Hermes, the messengers,
[00:10:54.300 --> 00:10:55.660]   and they want the philosophers,
[00:10:55.660 --> 00:10:56.740]   they want the Aristotle's,
[00:10:56.740 --> 00:10:58.300]   and they want all these people.
[00:10:59.260 --> 00:11:02.560]   Apostle Paul dare not try to fill that role.
[00:11:02.560 --> 00:11:07.600]   What was his perspective, his worldview on his reality?
[00:11:07.600 --> 00:11:08.800]   He was a witness.
[00:11:08.800 --> 00:11:13.240]   He got slapped, you know, like knocked off his horse.
[00:11:13.240 --> 00:11:14.720]   He had a dramatic experience.
[00:11:14.720 --> 00:11:19.360]   I have a story to tell, and the story is Christ redeemed me.
[00:11:19.360 --> 00:11:20.440]   Christ saved me.
[00:11:20.440 --> 00:11:23.180]   I encountered the Lord, right?
[00:11:23.180 --> 00:11:25.800]   And so here is Apostle Paul saying,
[00:11:25.800 --> 00:11:28.620]   and remember the way I taught you.
[00:11:29.560 --> 00:11:32.480]   Think about what I was accomplishing, okay?
[00:11:32.480 --> 00:11:33.720]   And that's really important.
[00:11:33.720 --> 00:11:37.560]   So in this first verse, it's just a plain verse saying,
[00:11:37.560 --> 00:11:39.640]   I didn't use the stuff of the culture,
[00:11:39.640 --> 00:11:42.040]   I didn't use the stuff of eloquence,
[00:11:42.040 --> 00:11:43.920]   the purity of speech and wisdom,
[00:11:43.920 --> 00:11:46.840]   but I proclaim to you the testimony of God.
[00:11:46.840 --> 00:11:49.240]   But he gives us a greater reason
[00:11:49.240 --> 00:11:51.360]   why he did it the way he did.
[00:11:51.360 --> 00:11:53.360]   So let's take a look at the next verses.
[00:11:53.360 --> 00:11:56.140]   Oh, actually, ugh, sorry.
[00:11:56.140 --> 00:11:57.960]   Before we get there,
[00:11:57.960 --> 00:12:00.600]   I wanted to ask you this question.
[00:12:00.600 --> 00:12:06.160]   There's a sense in which a lot of verses
[00:12:06.160 --> 00:12:08.540]   actually are plain Jane and easy.
[00:12:08.540 --> 00:12:10.080]   There are a lot of verses that are hard.
[00:12:10.080 --> 00:12:13.560]   But I believe the vast majority of the scriptures,
[00:12:13.560 --> 00:12:16.440]   the important thing is God repeats in our plain.
[00:12:16.440 --> 00:12:19.940]   But isn't it true that sometimes it's hard to apply, right?
[00:12:19.940 --> 00:12:22.680]   Let's brainstorm a little bit.
[00:12:22.680 --> 00:12:24.540]   Just from this first verse,
[00:12:24.540 --> 00:12:28.420]   just from that kind of worldview of reality,
[00:12:28.420 --> 00:12:32.420]   what are some applications that can come
[00:12:32.420 --> 00:12:34.480]   from thinking like a apostle Paul thinks?
[00:12:34.480 --> 00:12:48.140]   - Be straightforward and witness.
[00:12:48.140 --> 00:12:51.060]   - Okay, when you witness to non-Christians,
[00:12:51.060 --> 00:12:52.100]   there's a sense in which you need
[00:12:52.100 --> 00:12:54.180]   to be quite straightforward, okay?
[00:12:54.180 --> 00:12:55.020]   What else?
[00:12:55.020 --> 00:13:01.380]   What else can you guys think of?
[00:13:01.380 --> 00:13:03.740]   Just from this straightforward verse,
[00:13:03.740 --> 00:13:08.140]   what are some applications that you guys can think of?
[00:13:08.140 --> 00:13:21.580]   Sorry, a little here and here, go ahead.
[00:13:21.580 --> 00:13:23.580]   - Everyone think about the gospel.
[00:13:23.580 --> 00:13:25.900]   - Okay, there's a sense in which everybody
[00:13:25.900 --> 00:13:27.580]   is equipped to share the gospel.
[00:13:27.580 --> 00:13:30.220]   Why, because every single one of you are witnesses.
[00:13:30.220 --> 00:13:35.220]   And that means you all have a story to tell, right?
[00:13:35.220 --> 00:13:37.980]   And so for the people who think evangelizing
[00:13:37.980 --> 00:13:40.100]   is very not much, meaning I'm getting real shy
[00:13:40.100 --> 00:13:42.100]   and I don't know what to say, I just mumble my words.
[00:13:42.100 --> 00:13:44.180]   So I'm gonna give them money, I'm gonna give support,
[00:13:44.180 --> 00:13:46.020]   but I just never wanna do it.
[00:13:46.020 --> 00:13:49.320]   You don't have to be a everyday street preacher,
[00:13:49.320 --> 00:13:51.180]   but you're a witness.
[00:13:51.180 --> 00:13:53.860]   You have a personal encounter, you have a story to tell.
[00:13:53.860 --> 00:13:55.860]   Okay, so everybody's equipped to share the gospel.
[00:13:55.860 --> 00:13:56.700]   What else?
[00:13:56.700 --> 00:14:03.500]   You actually don't have to fear not being eloquent.
[00:14:03.500 --> 00:14:05.380]   I think one of the greatest fears that people have
[00:14:05.380 --> 00:14:09.380]   is getting stuck, not knowing what to say, right?
[00:14:09.380 --> 00:14:11.020]   But what are some other applications
[00:14:11.020 --> 00:14:12.660]   that can just come from this?
[00:14:12.660 --> 00:14:16.920]   (audience member speaking faintly)
[00:14:16.920 --> 00:14:30.820]   Okay, good.
[00:14:30.820 --> 00:14:34.020]   So there is a place for apologetics.
[00:14:34.020 --> 00:14:36.060]   In this specific circumstance,
[00:14:36.060 --> 00:14:37.940]   that was not Paul's approach, right?
[00:14:37.940 --> 00:14:40.580]   Okay, yes?
[00:14:40.580 --> 00:14:44.920]   (audience member speaking faintly)
[00:14:44.920 --> 00:14:59.760]   Yeah.
[00:14:59.760 --> 00:15:08.300]   Right.
[00:15:08.300 --> 00:15:12.640]   (audience member speaking faintly)
[00:15:12.640 --> 00:15:15.700]   Right.
[00:15:15.700 --> 00:15:18.960]   So there is, your question is actually pretty huge.
[00:15:18.960 --> 00:15:22.060]   I can't answer it right now.
[00:15:22.060 --> 00:15:23.940]   That's not to say it's a bad question,
[00:15:23.940 --> 00:15:25.500]   it's a great question.
[00:15:25.500 --> 00:15:26.540]   Huh?
[00:15:26.540 --> 00:15:28.460]   Definitely, we'll go out to lunch, we'll talk.
[00:15:28.460 --> 00:15:30.260]   But just to, did you guys hear his question?
[00:15:30.260 --> 00:15:31.260]   It's like, how do you balance?
[00:15:31.260 --> 00:15:32.420]   And there is a balance.
[00:15:32.420 --> 00:15:36.140]   But let me say this, though.
[00:15:37.460 --> 00:15:41.740]   Hands down, I believe in the sufficiency of scripture.
[00:15:41.740 --> 00:15:44.260]   And there's a sense in which,
[00:15:44.260 --> 00:15:46.580]   should you know the revelation of God,
[00:15:46.580 --> 00:15:49.460]   you have all that is necessary to win a soul.
[00:15:49.460 --> 00:15:51.340]   Right?
[00:15:51.340 --> 00:15:53.700]   That's my personal take.
[00:15:53.700 --> 00:15:56.940]   But I'll also reference to some books.
[00:15:56.940 --> 00:15:58.840]   There's books that's just written on the topic
[00:15:58.840 --> 00:16:00.420]   of where is the place of apologetics
[00:16:00.420 --> 00:16:01.580]   in our Christian ministry.
[00:16:01.580 --> 00:16:03.380]   And there is a place, you know?
[00:16:03.380 --> 00:16:04.920]   There is a place of understanding
[00:16:04.920 --> 00:16:08.040]   both science, history, culture, social,
[00:16:08.040 --> 00:16:09.500]   you know, economics, all this kind of stuff
[00:16:09.500 --> 00:16:12.640]   in order to give a good defense of the Christian faith.
[00:16:12.640 --> 00:16:14.960]   But I also believe that, you know,
[00:16:14.960 --> 00:16:17.300]   the scriptures, when we say it's sufficient,
[00:16:17.300 --> 00:16:19.600]   I don't think of it as, oh, it's sufficient.
[00:16:19.600 --> 00:16:22.160]   I think of it as it's powerfully sufficient
[00:16:22.160 --> 00:16:24.800]   to overcome any thought, okay?
[00:16:24.800 --> 00:16:25.640]   All right.
[00:16:25.640 --> 00:16:26.640]   It's a great question.
[00:16:26.640 --> 00:16:29.960]   Mm-hmm.
[00:16:29.960 --> 00:16:34.240]   Mm-hmm.
[00:16:34.240 --> 00:16:39.240]   (audience member speaking indistinctly)
[00:16:39.240 --> 00:16:42.080]   Yeah.
[00:16:42.080 --> 00:16:44.920]   Well, that's not the only answer to that.
[00:16:44.920 --> 00:16:47.480]   That plays a role, but it's not the only answer to that.
[00:16:47.480 --> 00:16:50.160]   Yeah, but, you know,
[00:16:50.160 --> 00:16:53.320]   just kind of thinking about the question, though,
[00:16:53.320 --> 00:16:56.640]   a little bit about, you know, the application of this,
[00:16:56.640 --> 00:17:00.480]   I think, let me put it this way.
[00:17:00.480 --> 00:17:02.920]   You know, for me, I really think that
[00:17:02.920 --> 00:17:04.680]   one of the easier ways to apply this,
[00:17:04.680 --> 00:17:06.520]   and for me, you know, I'm an individual
[00:17:06.520 --> 00:17:09.040]   that's ultra-cautious of my words.
[00:17:09.040 --> 00:17:11.880]   When I was, you know, my very first year
[00:17:11.880 --> 00:17:14.920]   in preaching, almost every single sermon that I gave,
[00:17:14.920 --> 00:17:16.800]   I had a full-on manuscript that I almost,
[00:17:16.800 --> 00:17:18.400]   like, kind of memorized.
[00:17:18.400 --> 00:17:20.520]   It was like 12 pages, and that was bad, okay?
[00:17:20.520 --> 00:17:22.080]   That was a bad way to do it,
[00:17:22.080 --> 00:17:23.800]   but because I'm ultra-cautious,
[00:17:23.800 --> 00:17:26.720]   and I always had this fear of, man,
[00:17:26.720 --> 00:17:30.400]   how do I, you know, communicate in a way that's winsome?
[00:17:31.560 --> 00:17:34.960]   That's important, but to me, the application of this,
[00:17:34.960 --> 00:17:37.080]   and in line with what you're saying is,
[00:17:37.080 --> 00:17:38.800]   I'm trying to shoot for clarity.
[00:17:38.800 --> 00:17:41.880]   Clarity.
[00:17:41.880 --> 00:17:43.720]   And to shoot for clarity, I just need to be
[00:17:43.720 --> 00:17:46.360]   super-duper accurate to reality,
[00:17:46.360 --> 00:17:49.240]   spiritual reality, to the Bible.
[00:17:49.240 --> 00:17:51.080]   I don't need to necessarily overcome
[00:17:51.080 --> 00:17:54.160]   every single argument of the guy that's talking to me.
[00:17:54.160 --> 00:17:57.080]   I approach it with my apologics the way I do it is,
[00:17:57.080 --> 00:17:59.280]   he might throw at me 50 questions,
[00:17:59.280 --> 00:18:01.640]   but for me, I just need to have this guy
[00:18:01.640 --> 00:18:03.840]   clearly understand spiritual reality,
[00:18:03.840 --> 00:18:05.640]   so I'm only going to tell him what I think
[00:18:05.640 --> 00:18:10.140]   is going to help him be clear and accurate to scripture.
[00:18:10.140 --> 00:18:13.320]   So my ultimate goal in my speaking,
[00:18:13.320 --> 00:18:16.440]   in evangelizing, in counseling,
[00:18:16.440 --> 00:18:20.320]   I want you to understand accurately what God sees.
[00:18:20.320 --> 00:18:23.280]   My goal is not to answer all your 100 questions.
[00:18:23.280 --> 00:18:25.640]   I'm not your, you know, whatever that is,
[00:18:25.640 --> 00:18:28.800]   the little, like, wind-up, yeah, I'm not Siri.
[00:18:28.800 --> 00:18:32.040]   So, that being the case, that's how I reconcile
[00:18:32.040 --> 00:18:33.880]   some of the difference between the two.
[00:18:33.880 --> 00:18:36.360]   I am, I want to be ready to, you know,
[00:18:36.360 --> 00:18:39.560]   take hold of every false thought and, you know,
[00:18:39.560 --> 00:18:41.880]   all that kind of stuff, but my goal ultimately is,
[00:18:41.880 --> 00:18:45.320]   I just need to have you accurately understand what God says.
[00:18:45.320 --> 00:18:52.920]   But this one verse has a lot to say, you know,
[00:18:52.920 --> 00:18:54.280]   has a lot to say.
