
[00:00:00.000 --> 00:00:07.000]   All right.
[00:06:05.220 --> 00:06:09.140]   So if they were shocked that Jesus was hanging around with tax collectors, imagine the shock
[00:06:09.140 --> 00:06:16.100]   when Jesus actually encountered lepers, what they must have been thinking.
[00:06:16.100 --> 00:06:22.220]   Lepers lived in a community with other lepers until they either got better or died, one
[00:06:22.220 --> 00:06:23.400]   or the other.
[00:06:23.400 --> 00:06:27.140]   This was the only way that people knew to contain the spread of contagious forms of
[00:06:27.140 --> 00:06:28.140]   leprosy.
[00:06:28.140 --> 00:06:31.160]   So they were so afraid of leprosy.
[00:06:31.160 --> 00:06:37.820]   They put them in isolation, and again, the only remedy that they had, there was no medicine,
[00:06:37.820 --> 00:06:43.780]   there was nothing else they could do other than put them in isolation and see if this
[00:06:43.780 --> 00:06:49.100]   is eventually going to lead them to die, which in most cases it did.
[00:06:49.100 --> 00:06:55.580]   So the disease in itself was a horrible, horrible disease, where you would have all kinds of
[00:06:55.580 --> 00:07:02.100]   boils and we're going to just lightly touch upon some of the things that chapter 13 says,
[00:07:02.100 --> 00:07:06.960]   but beyond just that, there was absolutely no compassion.
[00:07:06.960 --> 00:07:11.340]   Imagine if today, if somebody was diagnosed with cancer and the first thing that they
[00:07:11.340 --> 00:07:14.300]   do is they ship you out of the house.
[00:07:14.300 --> 00:07:18.860]   They clean up your bed, they pack up all your stuff, they burn everything that you owned,
[00:07:18.860 --> 00:07:22.940]   and then you were thrown out and then you couldn't have contact with your family members.
[00:07:22.940 --> 00:07:26.340]   That was the first thing that happened to a leper.
[00:07:26.340 --> 00:07:33.740]   So it wasn't simply that they had to go through this physical ailment, this difficulty of
[00:07:33.740 --> 00:07:37.100]   even just surviving and breathing, like socially.
[00:07:37.100 --> 00:07:41.180]   Not only that socially, spiritually, they just automatically assumed you must have done
[00:07:41.180 --> 00:07:42.740]   something to deserve this.
[00:07:42.740 --> 00:07:50.660]   So it was like the worst condemnation, worst news that you can possibly get.
[00:07:50.660 --> 00:07:57.380]   In chapter 13, God gives specific orders for the priests basically to function as doctors.
[00:07:57.380 --> 00:08:03.660]   They don't have the cure, but they are called to be the people who diagnose whether they
[00:08:03.660 --> 00:08:05.220]   had this or not.
[00:08:05.220 --> 00:08:09.260]   So they function like a public health officer.
[00:08:09.260 --> 00:08:10.300]   And it wasn't on a whim.
[00:08:10.300 --> 00:08:13.020]   It wasn't just something that they looked and you determined for yourself.
[00:08:13.020 --> 00:08:16.620]   That's why in chapter 13, there's detailed information.
[00:08:16.620 --> 00:08:23.460]   So I'm guessing that if you were diligent that you read through it, or even if you did
[00:08:23.460 --> 00:08:27.820]   read through it, you probably just remember portions of it, but I'm guessing that you
[00:08:27.820 --> 00:08:31.420]   didn't dissect and exposit this text.
[00:08:31.420 --> 00:08:39.500]   But you just kind of knew enough to actually, wow, this is horrendous.
[00:08:39.500 --> 00:08:43.180]   The chapter is divided into two large portions.
[00:08:43.180 --> 00:08:50.660]   The first portion is about diagnosing the abnormalities in the human skin, which is
[00:08:50.660 --> 00:08:51.660]   verse 1 through 46.
[00:08:51.660 --> 00:08:57.700]   And like I told you, my goal today is not to comb through the details of what God told
[00:08:57.700 --> 00:09:02.220]   them to look for, but what it ultimately points to.
[00:09:02.220 --> 00:09:06.140]   The second part of it is diagnostic against abnormalities in the clothing and similar
[00:09:06.140 --> 00:09:13.040]   articles, which we would probably today call it molding.
[00:09:13.040 --> 00:09:16.260]   But they were concerned about anything that was rotting and it was unclean, and if it
[00:09:16.260 --> 00:09:21.400]   had any touch or came anywhere near leopard, they were so afraid of it, they said the only
[00:09:21.400 --> 00:09:25.740]   way to deal with that is to completely burn it.
[00:09:25.740 --> 00:09:28.460]   So that's how the chapter 13 is divided.
[00:09:28.460 --> 00:09:32.700]   When we get to chapter 14, he's going to be talking about how to cleanse it, how does
[00:09:32.700 --> 00:09:36.080]   a leper come back into society, right?
[00:09:36.080 --> 00:09:40.940]   But today it's mostly about how to diagnose it and how to determine and what to do with
[00:09:40.940 --> 00:09:45.460]   them once that is determined.
[00:09:45.460 --> 00:09:51.380]   If a person who had these symptoms, leprous symptoms, and they weren't exactly sure if
[00:09:51.380 --> 00:09:54.340]   they were clean, immediately they were isolated.
[00:09:54.340 --> 00:10:00.020]   So even if you looked like you might have it, even if it wasn't full blown, that they
[00:10:00.020 --> 00:10:04.380]   were concerned that they saw some kind of abnormality in your skin or some kind of boil
[00:10:04.380 --> 00:10:13.320]   or whiteness on the tip of your hair, whatever it might be, immediately you went into isolation.
[00:10:13.320 --> 00:10:19.420]   So the person being examined could be isolated for as long as two weeks, just because they
[00:10:19.420 --> 00:10:23.060]   might, they were afraid, right?
[00:10:23.060 --> 00:10:27.700]   And I know that, again, today if somebody has a cold and we have a rule in our church,
[00:10:27.700 --> 00:10:34.180]   if your child is sick, not to bring them into the nursery because you don't want this spreading.
[00:10:34.180 --> 00:10:38.740]   But usually it's until you have medicine or you get better and they come back.
[00:10:38.740 --> 00:10:41.140]   But they were so afraid of this disease.
[00:10:41.140 --> 00:10:46.780]   Again, even God said if there was even a chance that you might have it, they went immediately
[00:10:46.780 --> 00:10:50.500]   into isolation, up to two weeks, to make sure that you didn't have it.
[00:10:50.500 --> 00:10:58.980]   And if you did have it, then the full blown thing of what God tells them to do.
[00:10:58.980 --> 00:11:02.940]   Now again, as I mentioned to you, I'm not going to be going through like verse 1 through
[00:11:02.940 --> 00:11:07.740]   8, God says to look at this leprosy in this way and then, you know, that's not what I'm
[00:11:07.740 --> 00:11:08.740]   going to be doing today.
[00:11:08.740 --> 00:11:14.200]   I'm going to be looking at the broad picture of what this ultimately points to.
[00:11:14.200 --> 00:11:23.700]   The Bible clearly points to this leprosy as an illustration of human sin.
[00:11:23.700 --> 00:11:30.620]   And there's nothing that paints that picture more than what we see in chapter 13 and chapter
[00:11:30.620 --> 00:11:34.140]   14 about how it ultimately relates to sin.
[00:11:34.140 --> 00:11:38.460]   So what I'm going to be doing today is in what way does this point to sin?
[00:11:38.460 --> 00:11:43.700]   What are some specific things God told them to do and how does that ultimately reveal
[00:11:43.700 --> 00:11:49.340]   what's how God views sin?
[00:11:49.340 --> 00:11:53.140]   So leprosy has a symbolism that ultimately points to sin.
[00:11:53.140 --> 00:11:57.520]   Again, there was nothing taught in the Old Testament law that symbolized the devastating
[00:11:57.520 --> 00:12:04.620]   effect of sin more than the disease of leprosy.
[00:12:04.620 --> 00:12:10.780]   If you remember in Jeremiah's day, God's condemnation against the prophets of Israel was that they
[00:12:10.780 --> 00:12:14.820]   took the sins of Israel lightly.
[00:12:14.820 --> 00:12:18.380]   In Jeremiah 6, verse 14 says, "They have healed the wound of my people lightly, saying, 'Peace,
[00:12:18.380 --> 00:12:20.740]   peace,' when there is no peace."
[00:12:20.740 --> 00:12:25.740]   And that was the primary condemnation of God's prophets during that period in Jeremiah's
[00:12:25.740 --> 00:12:26.740]   time.
[00:12:26.740 --> 00:12:35.180]   In other words, the way God saw sin and the way the prophets saw sin was not even close.
[00:12:35.180 --> 00:12:42.940]   In fact, the whole point of the gospel, the whole point of the law was to bring us, remember,
[00:12:42.940 --> 00:12:46.420]   to show us what?
[00:12:46.420 --> 00:12:48.900]   The utter sinfulness of sin.
[00:12:48.900 --> 00:12:54.020]   It's at the whole point of all of these laws, not just about leprosy, but in particular
[00:12:54.020 --> 00:12:55.020]   leprosy.
[00:12:55.020 --> 00:13:00.000]   But everything that he was doing up to the coming of Christ is to reveal just how ugly
[00:13:00.000 --> 00:13:06.660]   and deadly and devastating sin is, so that when Christ comes, that they would all recognize
[00:13:06.660 --> 00:13:09.420]   a dire need for a Savior.
[00:13:09.420 --> 00:13:15.580]   So someone who does not see sin as God sees sin, their repentance is always going to be
[00:13:15.580 --> 00:13:16.580]   superficial.
[00:13:16.580 --> 00:13:18.540]   They just feel bad.
[00:13:18.540 --> 00:13:20.380]   They didn't do the right thing.
[00:13:20.380 --> 00:13:23.980]   But it doesn't bring them to a point of devastation where they're beating their chest like the
[00:13:23.980 --> 00:13:30.740]   tax collector and can't even lift up their head because they see a holy, holy, holy God.
[00:13:30.740 --> 00:13:38.100]   So the whole point of all the laws was to reveal to us just how devastating this sin
[00:13:38.100 --> 00:13:39.100]   is.
[00:13:39.100 --> 00:13:41.740]   And that this sin is not outside.
[00:13:41.740 --> 00:13:44.500]   It's inside of us.
[00:13:44.500 --> 00:13:50.500]   And nothing highlights that more than this particular disease of leprosy.
[00:13:50.500 --> 00:13:59.220]   And so again, the sin of the prophets in the time of Jeremiah, the time of Isaiah, it wasn't
[00:13:59.220 --> 00:14:02.380]   that they didn't recognize sin in Israel.
[00:14:02.380 --> 00:14:06.720]   They just didn't think it was that big of a deal.
[00:14:06.720 --> 00:14:10.940]   And that's the first mistake that any Christian makes is that we sin.
[00:14:10.940 --> 00:14:13.140]   It's like, well, where do you draw the line?
[00:14:13.140 --> 00:14:14.940]   And then we start to excuse sin.
[00:14:14.940 --> 00:14:16.460]   We start to trivialize sin.
[00:14:16.460 --> 00:14:25.700]   And next thing you know, the cross and Christ and our salvation also becomes trivial.
[00:14:25.700 --> 00:14:29.140]   There are several things that this particular disease points to.
[00:14:29.140 --> 00:14:32.980]   Sin is deeper than the skin.
[00:14:32.980 --> 00:14:37.420]   So what they recognize, whether it was the boils or whether it was the whiteness on their
[00:14:37.420 --> 00:14:43.940]   hair and various things that God tells them to recognize, it ultimately points to a decaying
[00:14:43.940 --> 00:14:47.660]   of something that's happening inward.
[00:14:47.660 --> 00:14:50.160]   It wasn't just a simple skin disease.
[00:14:50.160 --> 00:14:54.660]   This rotting was taking place inwardly, but the symptoms were being shown outwardly.
[00:14:54.660 --> 00:14:58.180]   And that's exactly how the sin is described.
[00:14:58.180 --> 00:15:06.940]   The symptoms that he mentions in chapter 13, swelling in a rash, a whiteness, raw flesh,
[00:15:06.940 --> 00:15:09.580]   boils, burns, various skin eruptions.
[00:15:09.580 --> 00:15:16.340]   And as disgusting as all of those things are, all of those things only pointed to the decay
[00:15:16.340 --> 00:15:18.740]   that was happening within the body.
[00:15:18.740 --> 00:15:25.460]   So it wasn't simply a surface disease that if they found the right ointment and they
[00:15:25.460 --> 00:15:29.160]   cleansed themselves, that somehow this disease was going to go away.
[00:15:29.160 --> 00:15:31.300]   They had no cure for this.
[00:15:31.300 --> 00:15:35.460]   So all the external things that it points to was ultimately pointing to something that
[00:15:35.460 --> 00:15:37.500]   was happening much deeper within them.
[00:15:37.500 --> 00:15:41.540]   In Jeremiah 17, 9, it says, "The heart is deceitful above all things and desperately
[00:15:41.540 --> 00:15:42.540]   sick.
[00:15:42.540 --> 00:15:43.540]   Who can understand it?"
[00:15:43.540 --> 00:15:48.020]   So God describes sin as not simply an act.
[00:15:48.020 --> 00:15:54.700]   It is an act that follows a heart that has already fallen and decayed.
[00:15:54.700 --> 00:16:03.820]   Again, as you know, Jesus told us that sin comes from the corruption of the heart.
[00:16:03.820 --> 00:16:08.380]   The act of sinning is simply an expression of the sinful decay within.
[00:16:08.380 --> 00:16:13.460]   So when we talk about sanctification and discipleship, we can get somebody who's not reading the
[00:16:13.460 --> 00:16:15.460]   Bible to read the Bible.
[00:16:15.460 --> 00:16:17.860]   We can get somebody who's not evangelizing to evangelize.
[00:16:17.860 --> 00:16:20.340]   We can get somebody who's not giving to give.
[00:16:20.340 --> 00:16:24.460]   But it doesn't deal with what's happening inside.
[00:16:24.460 --> 00:16:30.860]   Somebody who's corrupt in nature can go through all of that and have no change in their life.
[00:16:30.860 --> 00:16:33.900]   It just becomes—they just become more disciplined.
[00:16:33.900 --> 00:16:40.360]   They become better at acting out their righteousness without actually being righteous.
[00:16:40.360 --> 00:16:45.420]   So this particular disease, again, the surface thing only points to the outside, but the
[00:16:45.420 --> 00:16:49.420]   real decay was happening inside, just like sin.
[00:16:49.420 --> 00:16:50.820]   Sin is something that happens within.
[00:16:50.820 --> 00:16:56.020]   So until there is an encounter with God, where God opens our eyes to see the glory of who
[00:16:56.020 --> 00:17:03.020]   he is, and there is no change happening inwardly, all that stuff that we do on the outside,
[00:17:03.020 --> 00:17:06.380]   it only covers up the decay.
[00:17:06.380 --> 00:17:09.160]   It's just like putting Band-Aid on somebody who has leprosy.
[00:17:09.160 --> 00:17:13.900]   So the first thing that the disease of leprosy points to is that it goes in.
[00:17:13.900 --> 00:17:20.020]   The outer things are only a symptom of what is happening inside.
[00:17:20.020 --> 00:17:24.980]   Secondly, sin is never dormant.
[00:17:24.980 --> 00:17:31.220]   So all those passages that I listed there in chapter 13 and on, every part of that examination
[00:17:31.220 --> 00:17:32.940]   is to examine carefully to see.
[00:17:32.940 --> 00:17:37.700]   The reason why they are in isolation is to watch them carefully to see if all the skin
[00:17:37.700 --> 00:17:39.980]   disease are spreading.
[00:17:39.980 --> 00:17:42.760]   If there wasn't a hand, does it eventually show up?
[00:17:42.760 --> 00:17:44.900]   Just like cancer, right?
[00:17:44.900 --> 00:17:49.860]   First thing that they notice to see how serious this cancer is, is the cancer spreading?
[00:17:49.860 --> 00:17:52.820]   That's exactly what they were watching for this disease.
[00:17:52.820 --> 00:17:58.740]   So all of these passages that I noted here was instructions to carefully watch to see
[00:17:58.740 --> 00:18:01.220]   if it spreads.
[00:18:01.220 --> 00:18:06.120]   So again, the purpose of the close examination and time that they needed to observe these
[00:18:06.120 --> 00:18:09.460]   symptoms on the skin was to see if it is going to spread.
[00:18:09.460 --> 00:18:13.220]   Leprosy was not a dormant disease, but one that eventually spread throughout the rest
[00:18:13.220 --> 00:18:15.300]   of the body.
[00:18:15.300 --> 00:18:20.060]   And that's exactly how sin is described in James chapter 1, 14 to 15.
[00:18:20.060 --> 00:18:24.820]   When each person is tempted, when he is lured and enticed by his own desire, then desire
[00:18:24.820 --> 00:18:28.740]   when it has conceived gives birth to sin, and sin when it is fully grown brings forth
[00:18:28.740 --> 00:18:29.740]   death.
[00:18:29.740 --> 00:18:32.460]   Sin is never dormant.
[00:18:32.460 --> 00:18:38.420]   So whenever we compromise a little bit, that little bit usually grows.
[00:18:38.420 --> 00:18:43.540]   Whether it is lost, whether it is lying, whether it is compromise, whether it's bitterness,
[00:18:43.540 --> 00:18:46.420]   whether it's slander, it never stays dormant.
[00:18:46.420 --> 00:18:49.460]   You never decide and say, "I'm going to do this much."
[00:18:49.460 --> 00:18:54.340]   But when you give room for sin, that sin has a tendency to spread.
[00:18:54.340 --> 00:19:00.040]   And not only spreads within us, it spreads around to whoever we are with.
[00:19:00.040 --> 00:19:05.340]   And that's why the Bible describes somebody who is divisive and somebody who is teaching
[00:19:05.340 --> 00:19:08.060]   false doctrine, they spread like gangrene.
[00:19:08.060 --> 00:19:15.460]   In other words, they have a corrupting quality about them because they're embracing sin.
[00:19:15.460 --> 00:19:19.980]   And so that's how sin is described in the scripture.
[00:19:19.980 --> 00:19:27.140]   It not only points to something deeper, but sin has a way of spreading.
[00:19:27.140 --> 00:19:31.380]   And it spreads to the people who are the closest to us.
[00:19:31.380 --> 00:19:37.200]   So if you're a husband and you compromise in sin, it affects your wife.
[00:19:37.200 --> 00:19:39.940]   If you're a wife, it affects your husband.
[00:19:39.940 --> 00:19:45.540]   And if it's a husband and wife that's compromising, it affects your children.
[00:19:45.540 --> 00:19:49.220]   No matter how much we try to disciple our kids, they're going to model whatever they
[00:19:49.220 --> 00:19:51.120]   see at home.
[00:19:51.120 --> 00:19:57.380]   So if slandering is a part of the environment, if compromising is a part of the environment
[00:19:57.380 --> 00:20:01.740]   at home, no matter how much you try to send them to VBS and teach them scripture, they're
[00:20:01.740 --> 00:20:03.740]   going to catch that.
[00:20:03.740 --> 00:20:06.900]   And that's a tendency of how sin works.
[00:20:06.900 --> 00:20:10.860]   So again, leprosy was never dormant.
[00:20:10.860 --> 00:20:18.300]   If you had true leprosy, they isolated them to watch to see if it was going to grow.
[00:20:18.300 --> 00:20:22.740]   Sin ultimately defiles.
[00:20:22.740 --> 00:20:26.360]   There was a corrupting nature.
[00:20:26.360 --> 00:20:30.140]   The word "unclean" is used 54 times in Leviticus.
[00:20:30.140 --> 00:20:34.680]   It describes a ceremonial defilement that makes the victim unfit for social life or
[00:20:34.680 --> 00:20:38.100]   for participation in worship at the house of God.
[00:20:38.100 --> 00:20:51.100]   Because of this corruption, they weren't able to participate in worship.
[00:20:51.100 --> 00:20:57.700]   So if you read Psalm 51, let's turn our Bibles to Psalm 51.
[00:20:57.700 --> 00:21:02.300]   David describes his sin in detail.
[00:21:02.300 --> 00:21:06.940]   And I want you guys to, I've already written it down for you, but if you can look at Psalm
[00:21:06.940 --> 00:21:21.140]   51, he describes how his sin has defiled his eyes, his mind, his ears, his bones, his heart,
[00:21:21.140 --> 00:21:25.140]   his mouth, in every part of his life.
[00:21:25.140 --> 00:21:28.100]   So it didn't just affect his heart, it didn't just affect his mind.
[00:21:28.100 --> 00:21:31.500]   He says, "Have mercy on me, O God, according to your steadfast love, according to your
[00:21:31.500 --> 00:21:32.500]   abundant mercy.
[00:21:32.500 --> 00:21:36.300]   Blot out my transgressions, wash me thoroughly from my iniquity, and cleanse me from my sin.
[00:21:36.300 --> 00:21:42.100]   For I know my transgressions, that my sin is ever before me.
[00:21:42.100 --> 00:21:46.300]   And against you and you only have I sinned and done what is evil in your sight, so that
[00:21:46.300 --> 00:21:50.420]   you may be justified in your word and blameless in your judgment."
[00:21:50.420 --> 00:21:54.940]   Verse 6, "Behold, you delight in truth and inward being, and you teach me wisdom in secret
[00:21:54.940 --> 00:21:55.940]   heart."
[00:21:55.940 --> 00:21:59.200]   So over and over again, it describes all the different parts.
[00:21:59.200 --> 00:22:04.660]   He basically goes through every different part of his being, and he describes how sin
[00:22:04.660 --> 00:22:08.940]   and his guilt affected every part of it.
[00:22:08.940 --> 00:22:13.620]   So sin in our lives, a lot of times we think it affects our heart, but it affects our ability
[00:22:13.620 --> 00:22:17.220]   to reason.
[00:22:17.220 --> 00:22:23.540]   So to be able to understand even the Bible logically, there has to be a regeneration.
[00:22:23.540 --> 00:22:27.060]   To be able to discern truth and what is right and what is wrong.
[00:22:27.060 --> 00:22:30.620]   You can say, "Well, I don't trust my heart, but I trust my intellect.
[00:22:30.620 --> 00:22:31.620]   I trust my judgment."
[00:22:31.620 --> 00:22:34.900]   No, the scripture says it affects all of us.
[00:22:34.900 --> 00:22:36.700]   It affects our ability to understand.
[00:22:36.700 --> 00:22:39.780]   It affects our vision.
[00:22:39.780 --> 00:22:42.100]   It affects our appetite.
[00:22:42.100 --> 00:22:46.340]   It affects what makes us happy.
[00:22:46.340 --> 00:22:50.740]   Sometimes people say, "Maybe these movies are inappropriate."
[00:22:50.740 --> 00:22:54.900]   And every once in a while, somebody will say, "Well, it doesn't bother me."
[00:22:54.900 --> 00:22:58.500]   Because sin has affected your conscience.
[00:22:58.500 --> 00:23:06.180]   So the way that leprosy is described in scripture, it has a corrupting nature of every part of
[00:23:06.180 --> 00:23:08.180]   who we are.
[00:23:08.180 --> 00:23:10.580]   And so whatever sin touches, it defiles.
[00:23:10.580 --> 00:23:14.380]   Only the blood of Jesus Christ can wash away that defilement.
[00:23:14.380 --> 00:23:17.220]   That's not something that we just will ourselves away from.
[00:23:17.220 --> 00:23:22.180]   Once you become defiled by sin, the only way that we can be cleansed from that, according
[00:23:22.180 --> 00:23:27.460]   to scripture, is by the blood of Christ.
[00:23:27.460 --> 00:23:32.740]   And then ultimately, sin isolates.
[00:23:32.740 --> 00:23:42.940]   In Leviticus 13, 45-46, "The leper's person who has the disease shall wear torn clothes
[00:23:42.940 --> 00:23:48.420]   and let the hair of his head hang loose, and he shall cover his upper lip and cry out,
[00:23:48.420 --> 00:23:49.460]   'Unclean, unclean!'
[00:23:49.460 --> 00:23:52.640]   He shall remain unclean as long as he has the disease.
[00:23:52.640 --> 00:23:53.640]   He is unclean.
[00:23:53.640 --> 00:23:54.780]   He shall live alone.
[00:23:54.780 --> 00:23:58.820]   His dwelling shall be outside the camp."
[00:23:58.820 --> 00:24:02.220]   So think about that.
[00:24:02.220 --> 00:24:09.820]   If you were suspected of having this disease, there was no treatment, there was no doctors,
[00:24:09.820 --> 00:24:12.060]   there was no compassion.
[00:24:12.060 --> 00:24:19.340]   The first reaction that you got from the priest was, "Get all his clothes and put it in
[00:24:19.340 --> 00:24:22.060]   isolation and burn it."
[00:24:22.060 --> 00:24:27.780]   The second thing is to inform his parents and take whatever necessities and send them
[00:24:27.780 --> 00:24:30.300]   outside the camp.
[00:24:30.300 --> 00:24:32.260]   And he has to live, what it says, alone.
[00:24:32.260 --> 00:24:35.460]   By the law of God, he becomes alone.
[00:24:35.460 --> 00:24:41.900]   Do you remember what happens in Adam and Eve, the first thing that happens when they sin?
[00:24:41.900 --> 00:24:43.500]   They get isolated.
[00:24:43.500 --> 00:24:49.220]   They're not physically gone, but they're together, but they cover themselves.
[00:24:49.220 --> 00:24:51.980]   So they're emotionally, socially, spiritually, they're completely isolated.
[00:24:51.980 --> 00:24:55.140]   They're isolated from God, and they're isolated from each other.
