
[00:00:00.000 --> 00:00:07.000]   Love and sorrow meet
[00:07:42.000 --> 00:07:48.000]   That I may fear your name
[00:07:48.000 --> 00:07:55.000]   Give me an undivided heart
[00:07:56.000 --> 00:08:02.000]   No other God, no other God
[00:08:02.000 --> 00:08:07.000]   No other God before you
[00:08:07.000 --> 00:08:13.000]   Teach me your way, O Lord
[00:08:13.000 --> 00:08:19.000]   And I will walk in your truth
[00:08:23.000 --> 00:08:27.000]   Show me your path, O Lord
[00:08:27.000 --> 00:08:32.000]   For I am devoted to you
[00:08:32.000 --> 00:08:39.000]   Purify my heart's desire
[00:08:39.000 --> 00:08:45.000]   I long to be your servant
[00:08:45.000 --> 00:08:52.000]   Give me an undivided heart
[00:08:53.000 --> 00:08:58.000]   That I may fear your name
[00:08:58.000 --> 00:09:05.000]   Give me an undivided heart
[00:09:05.000 --> 00:09:12.000]   No other God, no other love
[00:09:12.000 --> 00:09:17.000]   No other God before you
[00:09:18.000 --> 00:09:24.000]   Give me an undivided heart
[00:09:24.000 --> 00:09:31.000]   That I may fear your name
[00:09:31.000 --> 00:09:38.000]   Give me an undivided heart
[00:09:38.000 --> 00:09:45.000]   No other God, no other love
[00:09:46.000 --> 00:09:50.000]   No other God before you
[00:09:50.000 --> 00:09:55.000]   No other God, no other God
[00:09:55.000 --> 00:09:59.000]   No other love
[00:09:59.000 --> 00:10:06.000]   No other God before you
[00:10:13.000 --> 00:10:16.000]   Well, good morning. Welcome to our Sunday service.
[00:10:16.000 --> 00:10:21.000]   If you guys have your phones, you can kind of follow along with the announcements there.
[00:10:21.000 --> 00:10:29.000]   The first one that we have is this week, there's not going to be our weekly Bible study,
[00:10:29.000 --> 00:10:33.000]   but instead we're going to have an all church praise and prayer on Friday.
[00:10:33.000 --> 00:10:37.000]   So please work your schedule around that.
[00:10:37.000 --> 00:10:39.000]   It's at 7.30, not at 7.00.
[00:10:39.000 --> 00:10:42.000]   Okay, so this Friday we have all church praise and prayer.
[00:10:42.000 --> 00:10:46.000]   If you're a college student, on Saturday the 14th of November,
[00:10:46.000 --> 00:10:49.000]   we're going to actually have a college car rally.
[00:10:49.000 --> 00:10:55.000]   And so if you are interested, you can go ahead and sign up on the Google Doc.
[00:10:55.000 --> 00:10:57.000]   That's available for you there.
[00:10:57.000 --> 00:11:03.000]   And earlier in that morning, we have a church maintenance day.
[00:11:03.000 --> 00:11:08.000]   So if you guys are handy, you're into cleaning, you're into serving,
[00:11:08.000 --> 00:11:13.000]   by taking care of our sanctuary and our building on the whole,
[00:11:13.000 --> 00:11:15.000]   please do sign up for that.
[00:11:15.000 --> 00:11:18.000]   And the link is provided for you there as well.
[00:11:18.000 --> 00:11:25.000]   And I'm sure all of you guys are aware of the different social justice issues,
[00:11:25.000 --> 00:11:28.000]   racial tensions and differing views that everyone has.
[00:11:28.000 --> 00:11:32.000]   And the leaders have been fielding a lot of questions about these things.
[00:11:32.000 --> 00:11:40.000]   And so on the 15th of November, we're going to host a seminar after the service at 1.30,
[00:11:40.000 --> 00:11:44.000]   titled "The Worldview of Secular Social Justice, Critical Race Theory."
[00:11:44.000 --> 00:11:47.000]   And so if you are interested, this isn't open only to members.
[00:11:47.000 --> 00:11:51.000]   This is just -- you can just sign up and bring a friend as well.
[00:11:51.000 --> 00:11:54.000]   But you do need to sign up, okay?
[00:11:54.000 --> 00:12:00.000]   And so save the date for that and go ahead and fill out the Google form that's
[00:12:00.000 --> 00:12:02.000]   provided for you in that link.
[00:12:02.000 --> 00:12:07.000]   This Saturday, if you guys haven't done so already --
[00:12:07.000 --> 00:12:12.000]   actually, I think the registration is closed, but we are having a trunk formation night.
[00:12:12.000 --> 00:12:15.000]   It's going to come in two waves, and the kids are going to be coming
[00:12:15.000 --> 00:12:20.000]   and learning about a reformer, hearing a brief gospel presentation,
[00:12:20.000 --> 00:12:24.000]   and enjoying all the activities and candy and stuff.
[00:12:24.000 --> 00:12:29.000]   And so if you guys want to support this, please do.
[00:12:29.000 --> 00:12:31.000]   Just pray for this event.
[00:12:31.000 --> 00:12:37.000]   And we also have 40 days of devotion for the family ministry for the married men.
[00:12:37.000 --> 00:12:43.000]   So if you guys are interested in that, you can sign up on the link or talk to Jason Choi
[00:12:43.000 --> 00:12:44.000]   if you have other questions.
[00:12:44.000 --> 00:12:45.000]   All right?
[00:12:45.000 --> 00:12:47.000]   Right now we're going to take a time of offering.
[00:12:47.000 --> 00:12:50.000]   The offering basket, if you brought a physical offering, it is in the back.
[00:12:50.000 --> 00:12:55.000]   Or as we usually do, we can Venmo, PayPal, and whatever have you.
[00:12:55.000 --> 00:12:57.000]   But we are going to take a time of offering.
[00:12:57.000 --> 00:13:03.000]   So let's pray together, and we'll proceed with our service.
[00:13:03.000 --> 00:13:08.000]   Father, we are thankful that you give us the freedom to come and to worship,
[00:13:08.000 --> 00:13:15.000]   and we want to just offer to you just our hearts of gratitude and our gifts.
[00:13:15.000 --> 00:13:21.000]   And so we pray for your blessing over our service, over our day.
[00:13:21.000 --> 00:13:24.000]   Help us just to be faithful and grateful people.
[00:13:24.000 --> 00:13:25.000]   We love you, Lord.
[00:13:25.000 --> 00:13:27.000]   And we pray these things in Jesus' name.
[00:13:28.000 --> 00:13:31.000]   [MUSIC PLAYING]
[00:13:31.000 --> 00:13:34.000]   [MUSIC PLAYING]
[00:13:35.000 --> 00:13:38.000]   [MUSIC PLAYING]
[00:13:39.000 --> 00:13:42.000]   [MUSIC PLAYING]
[00:14:07.000 --> 00:14:09.000]   Let us all rise as we sing these praises.
[00:14:09.000 --> 00:14:17.000]   [MUSIC - "OUR GOD IS GREAT"]
[00:14:17.000 --> 00:14:25.000]   Our God is great.
[00:14:25.000 --> 00:14:31.000]   Our God is great, the Father of creation,
[00:14:31.000 --> 00:14:37.000]   His strength that fills the earth.
[00:14:37.000 --> 00:14:43.000]   The lightning crash, the thunder sings His praises.
[00:14:43.000 --> 00:14:49.000]   The galaxies cannot match out His plan.
[00:14:49.000 --> 00:14:55.000]   Our soul must sing to You, not the wind.
[00:14:55.000 --> 00:15:00.000]   How great You are.
[00:15:00.000 --> 00:15:07.000]   Our soul must sing, oh, let the heavens ring.
[00:15:07.000 --> 00:15:11.000]   How great You are.
[00:15:11.000 --> 00:15:13.000]   Oh, how great You are.
[00:15:13.000 --> 00:15:16.000]   [MUSIC PLAYING]
[00:15:24.000 --> 00:15:30.000]   You hold me fresh, God's promise to the fallen,
[00:15:30.000 --> 00:15:35.000]   came with power to save.
[00:15:35.000 --> 00:15:42.000]   The light of life was crushed for our rebellion.
[00:15:42.000 --> 00:15:47.000]   God, our God, the rose of hope and grace.
[00:15:47.000 --> 00:15:54.000]   My soul must sing to You, not the rain.
[00:15:54.000 --> 00:15:59.000]   How great You are.
[00:15:59.000 --> 00:16:05.000]   My soul must sing, oh, let the heavens ring.
[00:16:05.000 --> 00:16:10.000]   How great You are.
[00:16:10.000 --> 00:16:12.000]   Oh, how great You are.
[00:16:12.000 --> 00:16:15.000]   [MUSIC PLAYING]
[00:16:15.000 --> 00:16:18.000]   [MUSIC - "THE KING WILL COME"]
[00:16:18.000 --> 00:16:22.000]   The king will come.
[00:16:22.000 --> 00:16:28.000]   The king will come, with trumpets blasting,
[00:16:28.000 --> 00:16:34.000]   to claim His blood-washed pride.
[00:16:34.000 --> 00:16:40.000]   He'll rent the skies, descending in His glory.
[00:16:40.000 --> 00:16:46.000]   Then an instant, a thankful church will sound.
[00:16:46.000 --> 00:16:52.000]   My soul must sing to You, not the rain.
[00:16:52.000 --> 00:16:57.000]   How great You are.
[00:16:57.000 --> 00:17:04.000]   My soul must sing, oh, let the heavens ring.
[00:17:04.000 --> 00:17:07.000]   How great You are.
[00:17:07.000 --> 00:17:09.000]   My soul must sing.
[00:17:09.000 --> 00:17:16.000]   My soul must sing to You, not the rain.
[00:17:16.000 --> 00:17:21.000]   How great You are.
[00:17:21.000 --> 00:17:28.000]   My soul must sing, oh, let the heavens ring.
[00:17:28.000 --> 00:17:32.000]   How great You are.
[00:17:32.000 --> 00:17:34.000]   Oh, how great You are.
[00:17:34.000 --> 00:17:37.000]   [MUSIC PLAYING]
[00:17:38.000 --> 00:17:41.000]   [MUSIC PLAYING]
[00:17:41.000 --> 00:17:54.000]   [MUSIC - "THE KING WILL COME"]
[00:18:06.000 --> 00:18:09.000]   Though the nations rage.
[00:18:09.000 --> 00:18:18.000]   Though the nations rage, kingdoms rise and fall.
[00:18:18.000 --> 00:18:27.000]   There is still one King reigning over all.
[00:18:27.000 --> 00:18:36.000]   So I will not fear, for this truth remains,
[00:18:36.000 --> 00:18:42.000]   that my God is the Ancient of Days.
[00:18:42.000 --> 00:18:54.000]   None above Him, none before Him, all outside in this place.
[00:18:54.000 --> 00:19:00.000]   For His throne it shall remain, never stay.
[00:19:00.000 --> 00:19:13.000]   All the power, all the glory, I will trust in His hand.
[00:19:13.000 --> 00:19:19.000]   All my God is in His Ancient of Days.
[00:19:22.000 --> 00:19:31.000]   Though the dread of night overwhelms my soul,
[00:19:31.000 --> 00:19:35.000]   He is here with me.
[00:19:35.000 --> 00:19:40.000]   I am not alone.
[00:19:40.000 --> 00:19:49.000]   Oh, His love is sure, and He knows my name.
[00:19:49.000 --> 00:19:56.000]   For my God is the Ancient of Days.
[00:19:56.000 --> 00:20:07.000]   None above Him, none before Him, all outside in this place.
[00:20:07.000 --> 00:20:13.000]   For His throne it shall remain, never stay.
[00:20:16.000 --> 00:20:26.000]   All the power, all the glory, I will trust in His hand.
[00:20:26.000 --> 00:20:32.000]   And my God is the Ancient of Days.
[00:20:33.000 --> 00:20:47.000]   [Instrumental]
[00:20:47.000 --> 00:20:57.000]   O soul, I may not see what the future brings.
[00:20:57.000 --> 00:21:06.000]   I will watch and wait for the Savior King.
[00:21:06.000 --> 00:21:15.000]   In my joy come rain, descending face to face.
[00:21:15.000 --> 00:21:22.000]   In the presence of the Ancient of Days.
[00:21:22.000 --> 00:21:33.000]   None above Him, none before Him, all outside in this place.
[00:21:33.000 --> 00:21:40.000]   For His throne it shall remain, never stay.
[00:21:43.000 --> 00:21:52.000]   All the power, all the glory, I will trust in His hand.
[00:21:52.000 --> 00:21:59.000]   For my God is the Ancient of Days.
[00:21:59.000 --> 00:22:08.000]   For my God is the Ancient of Days.
[00:22:08.000 --> 00:22:25.000]   [Instrumental]
[00:22:25.000 --> 00:22:26.000]   You may be seated.
[00:22:26.000 --> 00:22:35.000]   Will you guys pray together with me?
[00:22:35.000 --> 00:22:41.000]   [Silence]
[00:22:41.000 --> 00:22:47.000]   Speak O Lord, for your servants are gathered here today and we are listening.
[00:22:47.000 --> 00:22:52.000]   We pray that your truth will be proclaimed.
[00:22:52.000 --> 00:22:57.000]   That we will be fed, that we will be changed.
[00:22:57.000 --> 00:23:01.000]   That we will grow in holiness and gratefulness.
[00:23:01.000 --> 00:23:10.000]   That we will be more and more effective in our witness as we look more and more like Jesus after today.
[00:23:10.000 --> 00:23:18.000]   I pray that you would open up our ears, open up our eyes to the wonderful things in your law.
[00:23:18.000 --> 00:23:21.000]   Speak, for we are listening.
[00:23:21.000 --> 00:23:24.000]   In Jesus' name we pray. Amen.
[00:23:24.000 --> 00:23:30.000]   If you guys have your Bibles with me, the bulk of today's message will be coming from Deuteronomy 8.
[00:23:30.000 --> 00:23:38.000]   It's going to be up here for you, but I do find it helpful when I actually have the text open just throughout the sermon.
[00:23:38.000 --> 00:23:45.000]   So, Deuteronomy 8, verses 1-7, and I'm going to be reading out of the NASB.
[00:23:45.000 --> 00:23:52.000]   All the commandments that I am commanding you today, you shall be careful to do.
[00:23:52.000 --> 00:23:59.000]   That you may live and multiply and go in and possess the land which the Lord swore to give to your forefathers.
[00:23:59.000 --> 00:24:06.000]   You shall remember all the way with which the Lord your God has led you in the wilderness these 40 years.
[00:24:06.000 --> 00:24:13.000]   That he might humble you, testing you to know what was in your heart, whether you would keep his commandments or not.
[00:24:13.000 --> 00:24:20.000]   He humbled you and let you be hungry and fed you with manna which you did not know, nor did your fathers know.
[00:24:20.000 --> 00:24:28.000]   That he might make you understand that man does not live by bread alone, but man lives by everything that proceeds out of the mouth of the Lord.
[00:24:28.000 --> 00:24:33.000]   Your clothing did not wear out on you, nor did your foot swell these 40 years.
[00:24:33.000 --> 00:24:40.000]   Thus you are to know in your heart that the Lord your God was disciplining you just as a man disciplines his son.
[00:24:40.000 --> 00:24:46.000]   Therefore you shall keep the commandments of the Lord your God to walk in his ways and to fear him.
[00:24:46.000 --> 00:24:56.000]   For the Lord your God is bringing you into a good land, a land of brooks of water, of fountains and springs, flowing forth in valleys and hills.
[00:24:56.000 --> 00:25:02.000]   Every nation has significant events or moments in their history.
[00:25:02.000 --> 00:25:11.000]   And many of the events are either annually celebrated or they are so painful that they are rarely talked about or discussed.
[00:25:11.000 --> 00:25:20.000]   So no book on Chinese history will leave out the Cultural Revolution, the Opium Wars, the Great Wall of China being built by the Ming Dynasty.
[00:25:20.000 --> 00:25:28.000]   And the books on the US will discuss at length the American Revolution, the Great Depression, or the Civil Rights Movement.
[00:25:28.000 --> 00:25:38.000]   So every nation has significant moments in its history that its people remember proudly or events that they would rather forget.
[00:25:38.000 --> 00:25:43.000]   So the same is true for the people of Israel in both the Old and the New Testaments.
[00:25:43.000 --> 00:25:49.000]   The nation of Israel had many significant events that they were called to remember.
[00:25:49.000 --> 00:25:54.000]   The Passover is a big one. The building of Solomon's Temple is another.
[00:25:54.000 --> 00:25:58.000]   The Babylonian captivity is an especially painful one.
[00:25:58.000 --> 00:26:04.000]   And you have the entire book of Lamentations emotionally devoted to that event.
[00:26:04.000 --> 00:26:12.000]   One of the most significant ones, though, in Israel's history is the Wilderness Wanderings in the time of Moses.
[00:26:12.000 --> 00:26:19.000]   So it's so significant that you have about 40 of the books of the Bible reference the Wilderness Wandering.
[00:26:19.000 --> 00:26:23.000]   And Israel is often called to reflect on it.
[00:26:23.000 --> 00:26:30.000]   So they had left Egypt with so much hope. They crossed the Red Sea in awe of God's power.
[00:26:30.000 --> 00:26:34.000]   And they were excited about Canaan, the land flowing with milk and honey.
[00:26:34.000 --> 00:26:38.000]   And then came this wilderness.
[00:26:38.000 --> 00:26:41.000]   And the wilderness had been hard.
[00:26:41.000 --> 00:26:44.000]   It had been a horrible experience for the Israelites.
[00:26:44.000 --> 00:26:53.000]   And of the 600,000 plus of the people who had left Egypt, only two actually made it through the wilderness and into the Promised Land.
[00:26:53.000 --> 00:27:02.000]   So everyone else was either struck down, bitten by venomous serpents, or literally the earth swallowed them whole.
[00:27:02.000 --> 00:27:08.000]   And the Wilderness Wandering wasn't just hard, it was also seemingly endless.
[00:27:08.000 --> 00:27:14.000]   The journey from Egypt to Canaan should have taken about 11 days, but it took them 40 years.
[00:27:14.000 --> 00:27:18.000]   And 40 years is a long time.
[00:27:18.000 --> 00:27:23.000]   You guys are very familiar with COVID and pandemic, right?
[00:27:23.000 --> 00:27:28.000]   You know, we've been in lockdown for 31 weeks now.
[00:27:28.000 --> 00:27:31.000]   I counted. 31 weeks, like two days.
[00:27:31.000 --> 00:27:39.000]   And 40 weeks would be a horribly long time under any kind of suffering or wilderness wandering.
[00:27:39.000 --> 00:27:43.000]   But the Israelites were there for 40 years.
[00:27:43.000 --> 00:27:46.000]   What was your life like 40 years ago?
[00:27:46.000 --> 00:28:00.000]   I was living in Korea, sporting a fresh bowl cut, eating choco pie, and toddling around and falling and eating dirt, probably.
[00:28:00.000 --> 00:28:06.000]   You guys, most of you have not been around that long. Most of our church is under 40.
[00:28:06.000 --> 00:28:11.000]   So the wilderness was hard, and it was 40 years long.
[00:28:11.000 --> 00:28:22.000]   So as I said, the Wilderness Wandering of the people of Israel was one of the most significant and most painful chapters in their history, and they were constantly exhorted to reflect on it.
[00:28:22.000 --> 00:28:28.000]   And in the scriptures, you and I as new covenant people of God are also called to reflect on it.
[00:28:28.000 --> 00:28:31.000]   And that's what we're going to be doing a little bit this morning.
[00:28:31.000 --> 00:28:35.000]   And I just read for you in the beginning, the opening of Deuteronomy, Chapter 8.
[00:28:35.000 --> 00:28:42.000]   The book of Deuteronomy is written toward the end of the end of the wanderings with the land of Canaan in view.
[00:28:42.000 --> 00:28:47.000]   And the people of God are finally about to enter into the promised land.
[00:28:47.000 --> 00:28:55.000]   Deuteronomy is addressed to the second generation of the people of Israel, almost all of whom had never known life in Egypt.
[00:28:55.000 --> 00:29:01.000]   And in Chapter 8, we have Moses' own commentary and reflection on this 40-year journey.
[00:29:01.000 --> 00:29:07.000]   So for you guys who are taking notes, we're going to be looking at four biblical truths about the Wilderness Wandering.
[00:29:07.000 --> 00:29:12.000]   And we're going to be looking at four things Deuteronomy teaches us about this Wilderness Wandering.
[00:29:12.000 --> 00:29:16.000]   And I'm going to give you three up front, three truths or points up front.
[00:29:16.000 --> 00:29:20.000]   And then we're going to tackle the fourth one at the end in application.
[00:29:20.000 --> 00:29:25.000]   One, the Wilderness Wandering was on purpose.
[00:29:25.000 --> 00:29:27.000]   It was on purpose.
[00:29:27.000 --> 00:29:31.000]   Number two, the Wilderness Wandering was for testing.
[00:29:31.000 --> 00:29:39.000]   And the third point that we glean is that the Wilderness Wandering was for training.
[00:29:39.000 --> 00:29:43.000]   It was on purpose for testing and for training.
[00:29:43.000 --> 00:29:47.000]   So the first point, the Wilderness Wandering was on purpose.
[00:29:47.000 --> 00:29:50.000]   Deuteronomy 8.1, I'm going to read that for you again.
[00:29:50.000 --> 00:30:04.000]   "All the commandments that I am commanding you today, you shall be careful to do, that you may live and multiply, and go in and possess the land which the Lord swore to give to your forefathers."
[00:30:04.000 --> 00:30:12.000]   So Moses begins by telling the people that God will soon deliver on his promise to give them the land of Canaan.
[00:30:12.000 --> 00:30:16.000]   He calls their attention to God's covenant with Abraham.
[00:30:16.000 --> 00:30:25.000]   And in Genesis 15, that's where God makes this covenant with Abraham, swearing that Abraham will have many descendants and they will possess the land of Canaan.
[00:30:25.000 --> 00:30:31.000]   In Genesis 15, Abraham is already physically living in the land of Canaan.
[00:30:31.000 --> 00:30:39.000]   But the narrative tells us that Abraham believed God, trusted in this promise, and his faith was credited to him as righteousness.
[00:30:39.000 --> 00:30:48.000]   And then later in that chapter, God proceeds to tell him the things that will happen before all of these things are fulfilled.
[00:30:48.000 --> 00:31:01.000]   So Genesis 15, 13-16, God said to Abraham, "Know for certain that your descendants will be strangers in a land that is not theirs, where they will be enslaved and oppressed for a hundred years.
[00:31:01.000 --> 00:31:08.000]   But I will also judge the nation whom they will serve, and afterward they will come out with many possessions.
[00:31:08.000 --> 00:31:14.000]   As for you, you shall go to your fathers in peace; you will be buried at a good old age.
[00:31:14.000 --> 00:31:22.000]   And then in the fourth generation, they will return here, for the iniquity of the Amorite is not yet complete."
[00:31:22.000 --> 00:31:34.000]   So using the words, "Know for certain," God tells Abraham that with absolute certainty, one, his descendants will be enslaved and oppressed for a hundred years.
[00:31:34.000 --> 00:31:41.000]   Two, with absolute certainty, they're going to leave Egypt, having plundered them, having become very wealthy.
[00:31:41.000 --> 00:31:50.000]   And three, they will return to the very land that he is standing on, once the iniquity of the Amorite is complete.
[00:31:50.000 --> 00:31:54.000]   The Amorites were living in the land of Canaan during the time of Israel's wanderings.
[00:31:54.000 --> 00:32:08.000]   And just a little bit of an insight, Amos 2.10 reads, "It was I who brought you up from the land of Egypt, and I led you in the wilderness forty years, that you might take possession of the land of the Amorite."
[00:32:08.000 --> 00:32:21.000]   So, the four hundred years in Egypt, the exodus out of Egypt, the wilderness wandering, and the return to the land of Canaan are all spelled out in advance for Abraham in the book of Genesis.
[00:32:21.000 --> 00:32:29.000]   So, how did they end up in Egypt? We see that the Israelites were not in Egypt as slaves because of their sins.
[00:32:29.000 --> 00:32:41.000]   There's no record of any particular sins at the end of the book of Genesis or at the beginning of Exodus that give us reason to believe that the slavery period was judgment on the people.
[00:32:41.000 --> 00:32:47.000]   We read in Exodus 1.8 that the new king of Egypt did not remember Joseph.
[00:32:47.000 --> 00:32:54.000]   So, that's the only reason given for the explanation, like that's the only explanation given for the reason why they're slaves.
[00:32:54.000 --> 00:32:58.000]   Pharaoh never learned about Joseph.
[00:32:58.000 --> 00:33:05.000]   So, all of this was on purpose. The famine that initially forced the patriarchs out of Canaan into Egypt, on purpose.
[00:33:05.000 --> 00:33:12.000]   The four hundred years of slavery, on purpose. And the journey through the wilderness was also on purpose.
[00:33:12.000 --> 00:33:20.000]   And through all of this, God desired worship, and he wanted his people to know that he was worthy of it.
[00:33:20.000 --> 00:33:26.000]   So, in his confrontations with Pharaoh, what is Moses commanded to say to him?
[00:33:26.000 --> 00:33:41.000]   Exodus 7.16, "You shall say to him, 'The Lord, the God of the Hebrews, sent me to you, saying, 'Let my people go, that they may serve me in the wilderness.'"
[00:33:41.000 --> 00:33:50.000]   It wasn't, "Let my people go so that they may serve me after they get into the land of Canaan." It was, "That they may serve me in the wilderness."
[00:33:50.000 --> 00:33:56.000]   So, they were in the wilderness for the purpose of worship and service to God.
[00:33:56.000 --> 00:34:03.000]   So, the books of Exodus and Numbers make it seem like the reason for the wilderness is Israel's sin.
[00:34:03.000 --> 00:34:10.000]   But here in Deuteronomy, God says that he deliberately led them there.
[00:34:10.000 --> 00:34:15.000]   Israel's sin caused them to wander in the wilderness. That's biblical truth.
[00:34:15.000 --> 00:34:20.000]   God's good purpose caused them to wander in the wilderness. That's biblical truth.
[00:34:20.000 --> 00:34:27.000]   Now, is this a contradiction? No, it's a paradox.
[00:34:27.000 --> 00:34:34.000]   It is a truth that cannot be explained without some degree of logical or emotional discomfort.
[00:34:34.000 --> 00:34:42.000]   And there are at times very difficult circumstances and events in our lives that God has deliberately purposed.
[00:34:42.000 --> 00:34:47.000]   Sometimes these circumstances and events are consequences of our sins.
[00:34:47.000 --> 00:34:54.000]   Sometimes they are events divinely ordained for our good or for the good of his people.
[00:34:54.000 --> 00:35:02.000]   Sometimes they are both. But whichever the case, James 1, verse 2, many of you guys know this passage.
[00:35:02.000 --> 00:35:08.000]   "Consider it all joy, my brethren, when you encounter various trials."
[00:35:08.000 --> 00:35:13.000]   Why? Because our good God has purposed them.
[00:35:13.000 --> 00:35:20.000]   So, there are seasons of trial ordained by God that sometimes feel like 40 years. They're endless.
[00:35:20.000 --> 00:35:27.000]   If a trial just lasted a day or two, most of you guys would embrace them.
[00:35:27.000 --> 00:35:31.000]   Trials are good for us. Builds character.
[00:35:31.000 --> 00:35:37.000]   But sometimes a season of God-ordained trials seem to last an eternity.
[00:35:37.000 --> 00:35:44.000]   And the longer these trials go, we are left to wonder if they are a result of our sins.
[00:35:44.000 --> 00:35:49.000]   And when the trials do not go away somewhat quickly, or after we've prayed many prayers,
[00:35:49.000 --> 00:35:55.000]   we might wonder, "Why is God not providing immediate relief?"
[00:35:55.000 --> 00:35:59.000]   We wonder if it's because of our lack of faith.
[00:35:59.000 --> 00:36:07.000]   Perhaps, maybe, I'm not praying enough. Or I'm not praying the right prayers well enough.
[00:36:07.000 --> 00:36:12.000]   And we wonder if God is indeed a God of love.
[00:36:12.000 --> 00:36:15.000]   If he is indeed good.
[00:36:15.000 --> 00:36:23.000]   So, no normal human being enjoys the tests of the wilderness.
[00:36:23.000 --> 00:36:28.000]   But we'll see in Scripture, the wilderness wandering of Israel was on purpose.
[00:36:28.000 --> 00:36:35.000]   And the wilderness wanderings ordained for us in our lives are also always on purpose.
[00:36:35.000 --> 00:36:43.000]   So regardless of the who, what, why, when, and where the wilderness that you may currently be in now,
[00:36:43.000 --> 00:36:54.000]   one thing is for certain, God, in his sovereignty and in his goodness, has purposed it. Amen?
[00:36:54.000 --> 00:36:58.000]   Second, the wilderness wandering was for testing.
[00:36:58.000 --> 00:37:06.000]   Deuteronomy 8, 2-3, "You shall remember all the way which the Lord your God has led you in the wilderness each forty years,
[00:37:06.000 --> 00:37:13.000]   that he might humble you, testing you to know what was in your heart, whether you would keep his commandments or not.
[00:37:13.000 --> 00:37:21.000]   He humbled you and let you be hungry, and fed you with manna which you did not know, nor did your fathers know.
[00:37:21.000 --> 00:37:31.000]   That he might make you understand that man does not live by bread alone, but man lives by everything that proceeds out of the mouth of the Lord."
[00:37:31.000 --> 00:37:39.000]   So we read here that God led them into the wilderness on purpose to test them and to humble them.
[00:37:39.000 --> 00:37:45.000]   And ultimately the test was to see if they would trust him, if they would obey him.
[00:37:45.000 --> 00:37:54.000]   The test was to see if they would have faith in the God who had led them out of slavery, destroyed their enemies and all their strongholds,
