
[00:00:00.000 --> 00:00:05.000]   - Hi everybody.
[00:02:27.240 --> 00:02:29.760]   whatever it may be, but for us,
[00:02:29.760 --> 00:02:34.040]   we see the scriptures in an entirely different light, right?
[00:02:34.040 --> 00:02:36.480]   Through faith, we see the reality that what we have
[00:02:36.480 --> 00:02:40.160]   is not simply the collection of old sayings.
[00:02:40.160 --> 00:02:43.520]   What we have is not simply a collection of tradition.
[00:02:43.520 --> 00:02:45.960]   When we say, and we actually,
[00:02:45.960 --> 00:02:48.320]   we refer to the text that we have,
[00:02:48.320 --> 00:02:51.080]   we call it the word of God.
[00:02:51.080 --> 00:02:54.220]   And by faith, what we're saying is this is the voice
[00:02:54.220 --> 00:02:57.080]   of the God we've been trying to see more accurately.
[00:02:57.080 --> 00:02:58.260]   Does that make sense?
[00:02:58.260 --> 00:03:01.320]   And so as we think about that,
[00:03:01.320 --> 00:03:03.080]   we have to ask this question.
[00:03:03.080 --> 00:03:06.880]   How do we view and treat the sacred scriptures,
[00:03:06.880 --> 00:03:09.480]   the word of God, the voice of the Lord?
[00:03:09.480 --> 00:03:12.480]   And for your blank there, as an introductory way of saying,
[00:03:12.480 --> 00:03:15.580]   how you treat the word of God is indicative
[00:03:15.580 --> 00:03:18.400]   of how you treat God himself.
[00:03:18.400 --> 00:03:20.400]   Okay, let me repeat that.
[00:03:20.400 --> 00:03:24.040]   How you treat the word of God is indicative
[00:03:24.040 --> 00:03:26.880]   of how you treat God himself.
[00:03:26.880 --> 00:03:29.920]   Should you neglect?
[00:03:29.920 --> 00:03:31.080]   Should you cherish?
[00:03:31.080 --> 00:03:32.720]   Should you love?
[00:03:32.720 --> 00:03:34.680]   Should you be in tune with?
[00:03:34.680 --> 00:03:37.520]   Whatever the relational term there is between you
[00:03:37.520 --> 00:03:39.560]   and his word is going to be indicative
[00:03:39.560 --> 00:03:43.560]   of your relationship directly with God himself.
[00:03:43.560 --> 00:03:45.700]   And so today, again, we're gonna be diving deep
[00:03:45.700 --> 00:03:49.560]   into how we are to then relate to the scriptures.
[00:03:49.560 --> 00:03:53.340]   Let's take a moment to pray as we jump into this study.
[00:03:53.340 --> 00:03:58.360]   Our God, we pray now, Lord,
[00:03:58.360 --> 00:04:02.940]   that we would all be granted attentiveness
[00:04:02.940 --> 00:04:06.620]   and God, a heart that's desiring to learn.
[00:04:06.620 --> 00:04:09.340]   Father God, I pray that by your spirit,
[00:04:09.340 --> 00:04:13.100]   you would continue just to do your work of conviction.
[00:04:13.100 --> 00:04:15.140]   God, that through faith, we might be able
[00:04:15.140 --> 00:04:19.820]   to have such a deep-rooted devotion to go to your truth,
[00:04:19.820 --> 00:04:23.820]   to desire, to regularly take of what you have to teach us.
[00:04:23.820 --> 00:04:25.700]   And God, would you be with those of us
[00:04:25.700 --> 00:04:28.860]   who perhaps are tired tonight after a long days of work
[00:04:28.860 --> 00:04:31.160]   that you grant to us continued strength
[00:04:31.160 --> 00:04:32.860]   and attention and alertness.
[00:04:32.860 --> 00:04:34.380]   Father, we lift this time to you.
[00:04:34.380 --> 00:04:36.420]   It's in Christ's name, amen.
[00:04:36.420 --> 00:04:40.180]   Okay, the route that we're gonna take tonight
[00:04:40.180 --> 00:04:42.460]   is again, centering on this idea
[00:04:42.460 --> 00:04:44.660]   of how we should view, how we should treat
[00:04:44.660 --> 00:04:46.540]   and relate to the word of God.
[00:04:46.540 --> 00:04:49.600]   And the way we're gonna take is take major stories
[00:04:49.600 --> 00:04:52.300]   from the Old Testament and different parts of scripture
[00:04:52.300 --> 00:04:54.420]   to talk about that issue.
[00:04:54.420 --> 00:04:57.300]   First, turn your Bibles over to Jeremiah chapter 23,
[00:04:57.300 --> 00:04:59.820]   verse 28 through 32.
[00:04:59.820 --> 00:05:03.940]   Okay, Jeremiah chapter 23, verse 28 through 32.
[00:05:03.940 --> 00:05:09.220]   As you turn there, I'm gonna set the stage a bit here.
[00:05:09.220 --> 00:05:13.700]   And the time is the reign of Josiah, okay, Josiah.
[00:05:13.700 --> 00:05:17.620]   Josiah came at a very interesting time
[00:05:17.620 --> 00:05:21.140]   because the previous kings before him,
[00:05:21.140 --> 00:05:24.660]   they were engaged in a power struggle, okay.
[00:05:24.660 --> 00:05:26.740]   And what happens in that power struggle
[00:05:26.740 --> 00:05:29.580]   is there were assassinations of the kings before him.
[00:05:29.580 --> 00:05:34.580]   So, Josiah actually began to rule at age eight.
[00:05:34.580 --> 00:05:37.020]   Can you imagine that?
[00:05:37.020 --> 00:05:39.380]   Eight years old and he was beginning to rule.
[00:05:39.380 --> 00:05:42.540]   Josiah had a lengthy reign, over 30 years, okay.
[00:05:42.540 --> 00:05:44.260]   So he actually sat on the throne
[00:05:44.260 --> 00:05:46.820]   of the nation of Judah for a long time.
[00:05:46.820 --> 00:05:49.020]   During that time, the primary prophet
[00:05:49.020 --> 00:05:53.440]   that was to come and speak was Jeremiah, okay.
[00:05:53.440 --> 00:05:57.100]   Before King Josiah and after King Josiah,
[00:05:57.100 --> 00:06:02.100]   the landscape was dismal because there was so much
[00:06:02.100 --> 00:06:06.100]   neglect of the word of God and there was so much idolatry
[00:06:06.100 --> 00:06:08.100]   and so much, as you would say,
[00:06:08.100 --> 00:06:12.300]   of just simply going astray from worship of God.
[00:06:12.300 --> 00:06:14.820]   And to that kind of context, Jeremiah's coming in
[00:06:14.820 --> 00:06:16.820]   and speaking the word of God, okay.
[00:06:16.820 --> 00:06:19.900]   So, let me read from verse 28 down to verse 32
[00:06:19.900 --> 00:06:21.500]   and it says this.
[00:06:21.500 --> 00:06:24.700]   Let the prophet who has a dream tell the dream,
[00:06:24.700 --> 00:06:28.700]   but let him who has my word speak my word faithfully.
[00:06:28.700 --> 00:06:32.580]   What has straw in common with wheat, declares the Lord,
[00:06:32.580 --> 00:06:36.180]   is not my word like fire, declares the Lord,
[00:06:36.180 --> 00:06:40.160]   and like a hammer that breaks the rock in pieces.
[00:06:40.160 --> 00:06:42.260]   Therefore, behold, I am against the prophets,
[00:06:42.260 --> 00:06:45.100]   declares the Lord, who steal my words from one another.
[00:06:45.100 --> 00:06:47.580]   Behold, I am against the prophets, declares the Lord,
[00:06:47.580 --> 00:06:51.140]   who use their tongues and declare, declares the Lord.
[00:06:51.140 --> 00:06:54.140]   Behold, I am against those who prophesy lying dreams,
[00:06:54.140 --> 00:06:56.060]   declares the Lord, and who tells them
[00:06:56.060 --> 00:06:58.220]   and lead my people astray by their lies
[00:06:58.220 --> 00:06:59.540]   and their recklessness.
[00:06:59.540 --> 00:07:01.460]   When I did not send them or charge them,
[00:07:01.460 --> 00:07:04.940]   so they do not profit this people at all,
[00:07:04.940 --> 00:07:06.180]   declares the Lord.
[00:07:06.180 --> 00:07:10.260]   So, here's a specific segment in which Jeremiah
[00:07:10.260 --> 00:07:14.420]   is rebuking, right, the tone is clearly very rebuking,
[00:07:14.420 --> 00:07:17.780]   but he's rebuking the people because they're speaking
[00:07:17.780 --> 00:07:19.820]   of stuff that God never told them to say.
[00:07:19.820 --> 00:07:25.220]   There is a twisting, there is false teaching,
[00:07:25.220 --> 00:07:28.780]   and to this generation, Jeremiah is telling them
[00:07:28.780 --> 00:07:32.020]   that they need to turn around from this kind of falsehood
[00:07:32.020 --> 00:07:34.100]   and that God is absolutely displeased
[00:07:34.100 --> 00:07:35.660]   with what they're doing.
[00:07:35.660 --> 00:07:40.040]   So, specifically speaking, when he's rebuking them,
[00:07:40.040 --> 00:07:42.480]   there is a verse he kind of highlights
[00:07:42.480 --> 00:07:45.180]   as to what they are doing, and it is verse 29
[00:07:45.180 --> 00:07:49.820]   when he says, "Is not my word like fire and like a hammer?"
[00:07:49.820 --> 00:07:53.780]   The entire generation fails to understand
[00:07:53.780 --> 00:07:56.120]   the nature of God's word.
[00:07:56.120 --> 00:07:59.220]   They fail to understand the intensity of God's word.
[00:07:59.220 --> 00:08:03.340]   They fail to understand the power of God's word.
[00:08:03.340 --> 00:08:06.220]   And so, that's gonna be our first point for us.
[00:08:06.220 --> 00:08:10.140]   It's a simple point, that the word of the Lord is powerful.
[00:08:10.140 --> 00:08:14.720]   The blank there, the word of the Lord is powerful.
[00:08:14.720 --> 00:08:18.420]   Now, what I'm gonna do for you really quickly here
[00:08:18.420 --> 00:08:23.420]   is I could go on and on about different case examples
[00:08:23.420 --> 00:08:27.100]   of how God's word is so powerful, okay?
[00:08:27.100 --> 00:08:29.520]   And kind of like in a boxing match,
[00:08:29.520 --> 00:08:31.720]   somebody who throws lots of little jabs,
[00:08:31.720 --> 00:08:33.800]   we're gonna look at a bunch of verses
[00:08:33.800 --> 00:08:38.520]   that point to how powerful the word of God is, okay?
[00:08:38.520 --> 00:08:42.400]   So, first, the first blank you have there,
[00:08:42.400 --> 00:08:46.600]   the word of the Lord is eternal, okay, eternal.
[00:08:46.600 --> 00:08:49.400]   Scripture says, both in the New and Old Testament,
[00:08:49.400 --> 00:08:51.820]   in Matthew 24, it says, "Heaven and earth will pass away,
[00:08:51.820 --> 00:08:54.900]   "but my words will never pass away."
[00:08:54.900 --> 00:09:00.800]   Okay, number two, the word of God is powerful to create.
[00:09:00.800 --> 00:09:03.220]   I don't have to even reference the passages there,
[00:09:03.220 --> 00:09:07.520]   but with powerful words, God spoke into existence
[00:09:07.520 --> 00:09:09.580]   things that never were.
[00:09:09.580 --> 00:09:11.800]   In Latin, it's the idea of ex nihilos,
[00:09:11.800 --> 00:09:13.620]   it's that out of nothing,
[00:09:13.620 --> 00:09:16.960]   God was able to speak things into existence.
[00:09:17.880 --> 00:09:22.880]   Next, God's word is powerful to transform, transform.
[00:09:22.880 --> 00:09:26.740]   In 1 Peter 1, verse 23, it says,
[00:09:26.740 --> 00:09:29.900]   "For you have been born, not of perishable seed,
[00:09:29.900 --> 00:09:32.820]   "but of imperishable, through the living
[00:09:32.820 --> 00:09:35.200]   "and enduring word of God."
[00:09:35.200 --> 00:09:37.700]   Okay, you've been born again.
[00:09:37.700 --> 00:09:41.640]   Number four, God's word is powerful to judge.
[00:09:41.640 --> 00:09:47.480]   He is the one who declares and calls things as it is,
[00:09:47.480 --> 00:09:50.820]   and his word declares things either righteous
[00:09:50.820 --> 00:09:52.800]   or unrighteous.
[00:09:52.800 --> 00:09:58.060]   Next, God's word is powerful to produce
[00:09:58.060 --> 00:09:59.840]   its intended purpose.
[00:09:59.840 --> 00:10:03.580]   Scripture teaches us that God's word never goes out
[00:10:03.580 --> 00:10:06.620]   and then returns void, but rather, it says here
[00:10:06.620 --> 00:10:08.220]   that it will not return to me empty,
[00:10:08.220 --> 00:10:10.540]   but will accomplish what I desire
[00:10:10.540 --> 00:10:13.820]   and achieve the purpose for which I sent it.
[00:10:15.720 --> 00:10:19.900]   Number six, the word of God is powerful to equip.
[00:10:19.900 --> 00:10:22.540]   It has power to equip.
[00:10:22.540 --> 00:10:26.380]   That it is capable of correcting us,
[00:10:26.380 --> 00:10:28.820]   it is capable of training us,
[00:10:28.820 --> 00:10:31.340]   and it's capable of presenting us complete
[00:10:31.340 --> 00:10:33.580]   so that we'd be equipped for every good work.
[00:10:33.580 --> 00:10:37.660]   So, we just went through kind of what you call
[00:10:37.660 --> 00:10:39.260]   a laundry list, right?
[00:10:39.260 --> 00:10:41.340]   Bum, bum, bum, bum, bum, bum.
[00:10:41.340 --> 00:10:42.900]   And I hope, you know, I didn't make you guys
[00:10:42.900 --> 00:10:44.380]   feel too flustered trying to fill in
[00:10:44.380 --> 00:10:46.100]   all the little blanks.
[00:10:46.100 --> 00:10:48.700]   But the idea is, we could just keep going
[00:10:48.700 --> 00:10:51.480]   on and on and on and on.
[00:10:51.480 --> 00:10:53.760]   A classic passage that I had you guys read
[00:10:53.760 --> 00:10:56.300]   for one of your devotions is a passage
[00:10:56.300 --> 00:10:57.580]   in Psalm chapter 19.
[00:10:57.580 --> 00:10:58.520]   Let's turn there.
[00:10:58.520 --> 00:11:02.120]   Psalm chapter 19, verse seven through 14.
[00:11:02.120 --> 00:11:08.620]   And I believe as we just go down this list
[00:11:08.620 --> 00:11:10.740]   of the various attributes and power
[00:11:10.740 --> 00:11:13.020]   that the word of God contains,
[00:11:13.020 --> 00:11:16.000]   that it would be safe for us to conclude
[00:11:16.000 --> 00:11:19.300]   God's word is perfect in power.
[00:11:19.300 --> 00:11:21.300]   Take a look at this passage.
[00:11:21.300 --> 00:11:23.220]   It says, "The law of the Lord is perfect,
[00:11:23.220 --> 00:11:25.180]   "reviving the soul.
[00:11:25.180 --> 00:11:26.840]   "The testimony of the Lord is sure,
[00:11:26.840 --> 00:11:28.080]   "making wise the simple.
[00:11:28.080 --> 00:11:29.580]   "The precepts of the Lord are right,
[00:11:29.580 --> 00:11:31.140]   "rejoicing the heart.
[00:11:31.140 --> 00:11:33.240]   "The commandments of the Lord is pure.
[00:11:33.240 --> 00:11:34.620]   "It enlightens the eyes.
[00:11:34.620 --> 00:11:36.080]   "The fear of the Lord is clean,
[00:11:36.080 --> 00:11:37.400]   "enduring forever.
[00:11:37.400 --> 00:11:38.880]   "The rules of the Lord are true
[00:11:38.880 --> 00:11:40.700]   "and righteous altogether.
[00:11:40.700 --> 00:11:43.460]   "More to be desired are they than gold,
[00:11:43.460 --> 00:11:44.700]   "even much fine gold,
[00:11:44.700 --> 00:11:45.960]   "sweeter also than honey
[00:11:45.960 --> 00:11:47.740]   "and drippings of the honeycomb.
[00:11:47.740 --> 00:11:50.320]   "Moreover, by them is your servant warned.
[00:11:50.320 --> 00:11:53.860]   "In keeping them, there is great reward."
[00:11:53.860 --> 00:11:55.420]   Right?
[00:11:55.420 --> 00:11:57.340]   So as we think about this for a moment,
[00:11:57.340 --> 00:11:59.220]   let's just take some time to just
[00:11:59.220 --> 00:12:01.380]   kind of grapple with that laundry list
[00:12:01.380 --> 00:12:02.740]   we just went through.
[00:12:02.740 --> 00:12:05.060]   We can sit there and doctrinally go through
[00:12:05.060 --> 00:12:06.740]   so many different passages,
[00:12:06.740 --> 00:12:09.220]   so many different proofs of the fact
[00:12:09.220 --> 00:12:12.100]   that God's word is absolutely powerful.
[00:12:12.100 --> 00:12:14.660]   But the question to us, for us to ponder
[00:12:14.660 --> 00:12:16.340]   and then evaluate our heart,
[00:12:16.340 --> 00:12:18.220]   is do you believe it?
[00:12:18.220 --> 00:12:22.940]   Do you believe God's word to be powerful?
[00:12:22.940 --> 00:12:26.540]   And for all of us, I know we're gonna answer
[00:12:26.540 --> 00:12:28.500]   that yes or no question with,
[00:12:28.500 --> 00:12:30.160]   yes I do.
[00:12:30.160 --> 00:12:31.000]   Right?
[00:12:31.000 --> 00:12:33.740]   I believe God's word to be God's word.
[00:12:33.740 --> 00:12:36.500]   I believe God's word to be inspired.
[00:12:36.500 --> 00:12:38.180]   We went through that in BCC.
[00:12:38.180 --> 00:12:40.540]   I signed off on it on my membership covenant
[00:12:40.540 --> 00:12:42.340]   and we talk about it all the time.
[00:12:42.340 --> 00:12:44.220]   I believe it.
[00:12:44.220 --> 00:12:46.700]   But now here's a follow up question to that.
[00:12:46.700 --> 00:12:48.220]   To what degree?
[00:12:48.220 --> 00:12:50.980]   Right?
[00:12:50.980 --> 00:12:53.120]   I think one of the great things for us
[00:12:53.120 --> 00:12:54.860]   in going through a review of some of these
[00:12:54.860 --> 00:12:56.940]   foundational doctrines,
[00:12:56.940 --> 00:13:01.340]   is it challenges my concept in terms of degrees.
[00:13:01.340 --> 00:13:02.740]   I believe God's holy,
[00:13:02.740 --> 00:13:05.780]   but I am reminded when I review
[00:13:05.780 --> 00:13:07.500]   the depth of his holiness,
[00:13:07.500 --> 00:13:09.380]   the extent of his righteousness,
[00:13:09.380 --> 00:13:13.580]   the purity, that concept is huge.
[00:13:13.580 --> 00:13:14.780]   Right?
[00:13:14.780 --> 00:13:16.980]   Likewise today as we review this doctrine
[00:13:16.980 --> 00:13:20.660]   of God's word being sure, perfect and powerful,
[00:13:20.660 --> 00:13:22.100]   my question to you is,
[00:13:22.100 --> 00:13:24.460]   in your grasp of the truth,
[00:13:24.460 --> 00:13:28.460]   to what degree do you believe God's word to be powerful?
[00:13:28.460 --> 00:13:31.880]   And another way I can ask that question,
[00:13:31.880 --> 00:13:34.380]   is do you believe God's word to be powerful
[00:13:34.380 --> 00:13:37.620]   to the degree that it grasps your attention?
[00:13:37.620 --> 00:13:42.420]   That it demands your focus?
[00:13:42.420 --> 00:13:46.900]   A little illustration to highlight that is this.
[00:13:46.900 --> 00:13:52.300]   Back when I was playing basketball in high school,
[00:13:52.300 --> 00:13:53.940]   I played basketball in high school, believe it or not.
[00:13:53.940 --> 00:13:55.780]   I'm not very good, but I played.
[00:13:55.780 --> 00:13:57.800]   But I was so bad that as a sophomore
[00:13:57.800 --> 00:13:59.180]   I was on the freshman team.
[00:13:59.180 --> 00:14:01.820]   They had pity on me and said,
[00:14:01.820 --> 00:14:04.140]   you can play on the freshman team, right?
[00:14:04.140 --> 00:14:05.360]   Anyway, I had a lot of fun.
[00:14:05.360 --> 00:14:06.780]   I wasn't very good, but I had a lot of fun
[00:14:06.780 --> 00:14:08.600]   because I was a scrappy player.
[00:14:08.600 --> 00:14:09.820]   I tried hard.
[00:14:09.820 --> 00:14:12.620]   So back when I was a sophomore,
[00:14:12.620 --> 00:14:15.500]   I thought I was huge 'cause I had an early growth spurt.
[00:14:15.500 --> 00:14:17.020]   Everybody else was still kinda shorter
[00:14:17.020 --> 00:14:18.040]   and some kids are taller,
[00:14:18.040 --> 00:14:19.980]   but I had an early growth spurt
[00:14:19.980 --> 00:14:21.100]   and I thought I was huge,
[00:14:21.100 --> 00:14:23.340]   so I would typically get a lot of rebounds.
[00:14:23.340 --> 00:14:28.300]   When during one of the practices,
[00:14:28.300 --> 00:14:29.780]   I went up for a rebound,
[00:14:29.780 --> 00:14:31.340]   another guy kinda grabbed it
[00:14:31.340 --> 00:14:34.180]   and then he did the thing where he threw his shoulder.
[00:14:34.180 --> 00:14:35.420]   I got so upset.
[00:14:35.420 --> 00:14:36.700]   I completely lost it.
[00:14:36.700 --> 00:14:39.660]   Like I didn't see anything in my world except just him.
[00:14:39.660 --> 00:14:43.100]   I grabbed the ball and I kinda bumped him with my hip
[00:14:43.100 --> 00:14:44.900]   and I almost picked him up off the ground.
[00:14:44.900 --> 00:14:47.180]   And then we started rolling on the floor
[00:14:47.180 --> 00:14:48.460]   and we were going all scrappy
[00:14:48.460 --> 00:14:49.600]   and then I could hear everybody's like,
[00:14:49.600 --> 00:14:51.260]   stop, stop, stop, stop.
[00:14:51.260 --> 00:14:53.940]   And then, you know, like the guy who I was wrestling,
[00:14:53.940 --> 00:14:55.580]   he's like, stop, stop, knock it off.
[00:14:55.580 --> 00:14:57.340]   And I was like, you stop.
[00:14:57.340 --> 00:14:58.580]   And we were just going at it
[00:14:58.580 --> 00:15:01.300]   and then I hear the coach like right in my ear.
[00:15:01.300 --> 00:15:03.620]   I didn't realize he ran up on the court
[00:15:03.620 --> 00:15:05.020]   and was yelling in my ear.
[00:15:05.020 --> 00:15:05.860]   (grunting)
[00:15:05.860 --> 00:15:06.680]   I was like.
[00:15:06.680 --> 00:15:07.520]   (laughing)
[00:15:07.520 --> 00:15:08.780]   You know what I mean?
[00:15:08.780 --> 00:15:10.780]   The reason why I give you that analogy
[00:15:10.780 --> 00:15:14.180]   is because there are competing voices.
[00:15:14.180 --> 00:15:16.700]   There are my teammates yelling, stop, stop, stop.
[00:15:16.700 --> 00:15:18.420]   There's the guy in front of me who,
[00:15:18.420 --> 00:15:19.780]   obviously I'm not gonna listen to him.
[00:15:19.780 --> 00:15:21.980]   He's like, get off, get off, get off.
[00:15:21.980 --> 00:15:24.060]   But then as soon as I hear my coach's voice,
[00:15:24.060 --> 00:15:25.460]   what do I do?
[00:15:25.460 --> 00:15:26.580]   Right?
[00:15:26.580 --> 00:15:28.220]   That's how we are when we're kids
[00:15:28.220 --> 00:15:29.140]   and we're messing around
[00:15:29.140 --> 00:15:29.980]   and then, you know,
[00:15:29.980 --> 00:15:30.820]   our papa comes in, we're like,
[00:15:30.820 --> 00:15:31.660]   dude, he did it.
[00:15:31.660 --> 00:15:32.620]   You know, like,
[00:15:32.620 --> 00:15:35.180]   the voice of somebody who is an authoritative figure
[00:15:35.180 --> 00:15:36.500]   demands attention.
[00:15:36.500 --> 00:15:40.020]   But the thing about it is we have to ask ourselves,
[00:15:40.020 --> 00:15:45.020]   to what degree does God's word demand my attention?
[00:15:45.020 --> 00:15:48.700]   Because that degree is going to be indicative
[00:15:48.700 --> 00:15:52.020]   of how much I believe that voice is powerful.
[00:15:52.020 --> 00:15:54.200]   Right?
[00:15:54.200 --> 00:15:57.940]   Does it demand that kind of attention from you
[00:15:57.940 --> 00:16:00.060]   in this world where there are so many
[00:16:00.060 --> 00:16:02.380]   competing voices in our lives?
[00:16:02.380 --> 00:16:04.180]   Are there competing voices in our lives?
[00:16:04.180 --> 00:16:05.020]   Yes.
[00:16:05.020 --> 00:16:06.700]   There's your voice.
[00:16:06.700 --> 00:16:08.020]   There's the voice of the people
[00:16:08.020 --> 00:16:09.700]   who you give a lot of credit to.
[00:16:09.700 --> 00:16:11.140]   There's the voice of the world.
[00:16:11.140 --> 00:16:12.540]   There's the voice of Satan.
[00:16:12.540 --> 00:16:15.900]   There's the voice of the culture and the generation
[00:16:15.900 --> 00:16:17.100]   of their expectation.
[00:16:17.100 --> 00:16:19.460]   They're telling you what they wanna see in you.
[00:16:19.460 --> 00:16:22.980]   But my question is,
[00:16:22.980 --> 00:16:27.300]   to what degree does God's voice have power in your life?
[00:16:27.300 --> 00:16:29.900]   Above and beyond those other voices.
[00:16:29.900 --> 00:16:30.740]   Right?
[00:16:30.740 --> 00:16:34.300]   Now, as we think about that,
[00:16:34.300 --> 00:16:39.420]   my main point there is God's word is powerful.
[00:16:39.420 --> 00:16:43.740]   And it demands that kind of attention in our lives.
[00:16:43.740 --> 00:16:47.700]   But the second point is gonna be that God also demands
[00:16:47.700 --> 00:16:50.020]   such attention to his word.
[00:16:50.020 --> 00:16:53.860]   Can we please all go over to Deuteronomy chapter 28,
[00:16:53.860 --> 00:16:55.460]   verse one through six?
[00:16:56.580 --> 00:16:57.620]   Okay?
[00:16:57.620 --> 00:16:58.500]   And as you turn there,
[00:16:58.500 --> 00:17:01.860]   I wanna give you a little bit of context here too.
[00:17:01.860 --> 00:17:03.820]   I wanna say this to you guys that
[00:17:03.820 --> 00:17:08.340]   the book of Deuteronomy is so crucial.
[00:17:08.340 --> 00:17:11.460]   I mean, all of the scripture is so crucial.
[00:17:11.460 --> 00:17:13.620]   But the book of Deuteronomy stands out
[00:17:13.620 --> 00:17:17.420]   as one of these extra important books of the Bible
[00:17:17.420 --> 00:17:22.300]   that gives you a focus of what God expects from the nation.
[00:17:22.300 --> 00:17:23.140]   Why?
[00:17:23.140 --> 00:17:24.700]   Because remember, this whole story is
[00:17:24.700 --> 00:17:26.260]   they do the disobedience thing
[00:17:26.260 --> 00:17:28.780]   and not trusting God to go into the promised land.
[00:17:28.780 --> 00:17:31.940]   So then God makes them wander for 40 years.
[00:17:31.940 --> 00:17:34.540]   They go through a whole lot of losing
[00:17:34.540 --> 00:17:35.740]   a lot of their loved ones,
[00:17:35.740 --> 00:17:38.460]   losing almost an entire generation of people.
[00:17:38.460 --> 00:17:41.500]   And then they go through a lot of ups and downs,
[00:17:41.500 --> 00:17:42.660]   lot of downs really.
[00:17:42.660 --> 00:17:44.140]   And then they come to the point
[00:17:44.140 --> 00:17:45.620]   where they're on the plains of Moab
[00:17:45.620 --> 00:17:47.500]   looking into the land of Canaan,
[00:17:47.500 --> 00:17:48.900]   expecting like, oh my gosh,
[00:17:48.900 --> 00:17:51.060]   we're gonna finally get to go.
[00:17:51.060 --> 00:17:52.220]   Right?
[00:17:52.220 --> 00:17:55.460]   The book of Deuteronomy is a repeat of,
[00:17:55.460 --> 00:17:58.140]   like it's basically a review.
[00:17:58.140 --> 00:17:58.980]   Where Moses is saying,
[00:17:58.980 --> 00:18:02.860]   everybody, we've got this second chance
[00:18:02.860 --> 00:18:05.580]   and we need to focus, right?
[00:18:05.580 --> 00:18:07.540]   And all of the book of Deuteronomy is
[00:18:07.540 --> 00:18:09.640]   Moses reviewing with the people,
[00:18:09.640 --> 00:18:11.580]   this is how God has treated you,
[00:18:11.580 --> 00:18:13.340]   this is what God taught you,
