
[00:00:00.000 --> 00:00:07.000]   [silence]
[00:06:48.260 --> 00:06:53.140]   ♪ Sing like never before ♪
[00:06:53.140 --> 00:06:58.140]   ♪ O my soul, I'll worship your holy name ♪
[00:07:01.700 --> 00:07:06.700]   ♪ Yes, I will worship your holy name ♪
[00:07:06.700 --> 00:07:13.120]   ♪ Lord, I'll worship your holy name ♪
[00:07:13.120 --> 00:07:18.660]   - All right, good morning
[00:07:18.660 --> 00:07:20.980]   and welcome to Bruin Community Church.
[00:07:20.980 --> 00:07:22.260]   All right, let me get to a few announcements
[00:07:22.260 --> 00:07:23.100]   before we get started.
[00:07:23.100 --> 00:07:26.340]   First of all, our FIG, Family in God Ministry.
[00:07:26.340 --> 00:07:28.700]   This is, if you're not in the FAM 245,
[00:07:28.700 --> 00:07:30.060]   you're not in the Jubilee,
[00:07:30.060 --> 00:07:34.980]   they're taking a second round Bible reading fellowship
[00:07:34.980 --> 00:07:38.180]   that they're gonna be reading from Acts through Philippians.
[00:07:38.180 --> 00:07:39.540]   And so if you're in it,
[00:07:39.540 --> 00:07:41.700]   you can re-sign up for the second portion of it.
[00:07:41.700 --> 00:07:43.260]   If you're not in it, you can sign up
[00:07:43.260 --> 00:07:45.500]   and then they'll direct you
[00:07:45.500 --> 00:07:47.960]   to the right fellowship for that.
[00:07:47.960 --> 00:07:49.620]   The Jubilee is also doing the same thing
[00:07:49.620 --> 00:07:52.100]   and I misannounced it on the first service.
[00:07:52.100 --> 00:07:53.540]   They're doing the same thing except they're doing
[00:07:53.540 --> 00:07:56.260]   from Genesis to somewhere.
[00:07:56.260 --> 00:07:57.660]   I forgot exactly where they're going,
[00:07:57.660 --> 00:07:59.040]   but starting at Genesis.
[00:07:59.040 --> 00:08:01.640]   So if you are already signed up,
[00:08:01.640 --> 00:08:03.980]   you can re-sign up for the second session
[00:08:03.980 --> 00:08:05.900]   or if you're not in it, you can sign up for it
[00:08:05.900 --> 00:08:09.020]   and Elder Philip will direct you to the right path for that.
[00:08:09.020 --> 00:08:13.100]   All the other stuff, I'm just gonna let you
[00:08:13.100 --> 00:08:16.100]   look it up online, but I was told
[00:08:16.100 --> 00:08:21.100]   that our auction was able to raise 28,000 plus
[00:08:21.100 --> 00:08:22.680]   for our summer mission.
[00:08:22.680 --> 00:08:24.660]   So we're very thankful for your generosity,
[00:08:24.660 --> 00:08:28.340]   for those of you who've donated your gifts
[00:08:28.340 --> 00:08:30.820]   and various things and those of you
[00:08:30.820 --> 00:08:32.940]   who overbid for some of these things.
[00:08:32.940 --> 00:08:35.580]   And we know why you did it.
[00:08:35.580 --> 00:08:37.500]   It was obviously you were trying to give to the funds
[00:08:37.500 --> 00:08:38.900]   and it was a creative way to do that.
[00:08:38.900 --> 00:08:40.300]   And then this is one of those things
[00:08:40.300 --> 00:08:44.900]   that I'm so thankful that got started a few years ago.
[00:08:44.900 --> 00:08:47.500]   Our sister Rachel and Andy kind of introduced it
[00:08:47.500 --> 00:08:50.160]   to the church and not only are you raising funds,
[00:08:50.160 --> 00:08:52.060]   you're serving the church and the church
[00:08:52.060 --> 00:08:54.140]   is able to fellowship through it.
[00:08:54.140 --> 00:08:55.540]   You get to go over to people's houses
[00:08:55.540 --> 00:08:56.580]   and enjoy meals together.
[00:08:56.580 --> 00:09:00.260]   So it's just a win, win, win, win, win situation
[00:09:00.260 --> 00:09:01.100]   for everybody.
[00:09:01.100 --> 00:09:02.660]   So thank you very much and just wanted
[00:09:02.660 --> 00:09:05.780]   to give you information that we were told
[00:09:05.780 --> 00:09:07.940]   that that's what they raised.
[00:09:07.940 --> 00:09:10.860]   This morning, I'm gonna take some time.
[00:09:10.860 --> 00:09:14.020]   We'll pray and then give you an opportunity to give.
[00:09:14.020 --> 00:09:15.660]   Again, if you're gonna give online,
[00:09:15.660 --> 00:09:17.300]   please give through Subsplash.
[00:09:17.300 --> 00:09:20.380]   If not, we have a physical offering box in the back.
[00:09:20.380 --> 00:09:23.340]   Then after our praise time, our brother Aaron Tong
[00:09:23.340 --> 00:09:24.740]   is gonna come up, give his testimony
[00:09:24.740 --> 00:09:26.020]   and be baptized this morning.
[00:09:26.020 --> 00:09:27.140]   All right, let's pray.
[00:09:27.140 --> 00:09:33.460]   Father, we thank you so much for your grace
[00:09:33.460 --> 00:09:36.360]   that sustains us, that empowers us,
[00:09:36.360 --> 00:09:40.960]   that causes us, Lord God, to persevere and to look to you.
[00:09:40.960 --> 00:09:44.980]   Help us, Lord God, that in our weakness
[00:09:44.980 --> 00:09:47.100]   that you would cause us to lift up our eyes
[00:09:47.100 --> 00:09:49.700]   to recognize the true King,
[00:09:49.700 --> 00:09:53.220]   the only one worthy of all our full attention.
[00:09:53.220 --> 00:09:57.020]   Help us, Lord, to run to Christ as our refuge,
[00:09:57.020 --> 00:10:00.300]   to cling to him, Lord God, for our sustenance
[00:10:00.300 --> 00:10:05.040]   and to look to him as the object of our worship.
[00:10:05.040 --> 00:10:06.740]   I pray that the offering that we give
[00:10:06.740 --> 00:10:08.900]   would be an extension of this worship
[00:10:08.900 --> 00:10:12.780]   and may it be handled with wisdom and biblically
[00:10:12.780 --> 00:10:15.140]   that it may be multiplied for the sake of your glory
[00:10:15.140 --> 00:10:16.220]   and your kingdom.
[00:10:16.220 --> 00:10:17.960]   In Jesus' name we pray, amen.
[00:10:17.960 --> 00:10:22.280]   (gentle music)
[00:10:22.280 --> 00:10:25.700]   (gentle music continues)
[00:10:26.520 --> 00:10:29.940]   (gentle music continues)
[00:10:29.940 --> 00:10:33.360]   (gentle music continues)
[00:10:33.360 --> 00:10:58.460]   Would you rise and take a minute
[00:10:58.460 --> 00:10:59.900]   to greet those around you
[00:10:59.900 --> 00:11:01.680]   and we will continue our worship.
[00:11:01.680 --> 00:11:04.260]   (gentle music)
[00:11:04.260 --> 00:11:24.300]   (upbeat music)
[00:11:25.000 --> 00:11:28.420]   (upbeat music continues)
[00:11:28.420 --> 00:11:34.100]   ♪ Oh Lord my God ♪
[00:11:34.100 --> 00:11:38.500]   ♪ When I in awesome wonder ♪
[00:11:38.500 --> 00:11:43.500]   ♪ Consider all the worlds thy hands have made ♪
[00:11:43.500 --> 00:11:51.860]   ♪ I see the stars ♪
[00:11:51.860 --> 00:11:56.240]   ♪ I hear the rolling thunder ♪
[00:11:56.240 --> 00:12:01.240]   ♪ Thy power throughout the universe displayed ♪
[00:12:01.240 --> 00:12:08.520]   ♪ This is my soul ♪
[00:12:08.520 --> 00:12:13.520]   ♪ My Savior God to thee ♪
[00:12:13.520 --> 00:12:18.540]   ♪ How great thou art ♪
[00:12:18.540 --> 00:12:23.020]   ♪ How great thou art ♪
[00:12:23.020 --> 00:12:26.260]   ♪ This is my soul ♪
[00:12:26.260 --> 00:12:31.260]   ♪ My Savior God to thee ♪
[00:12:31.260 --> 00:12:36.220]   ♪ How great thou art ♪
[00:12:36.220 --> 00:12:41.220]   ♪ How great thou art ♪
[00:12:45.160 --> 00:12:50.160]   ♪ How great thou art ♪
[00:12:50.160 --> 00:12:57.920]   ♪ When I think and when I think ♪
[00:12:57.920 --> 00:13:02.760]   ♪ That God his Son not sparing ♪
[00:13:02.760 --> 00:13:06.240]   ♪ Sent him to die ♪
[00:13:06.240 --> 00:13:11.240]   ♪ I scarce can take it ♪
[00:13:11.760 --> 00:13:16.200]   ♪ That on the cross ♪
[00:13:16.200 --> 00:13:20.700]   ♪ My burden gladly bearing ♪
[00:13:20.700 --> 00:13:24.040]   ♪ He bled and died ♪
[00:13:24.040 --> 00:13:29.040]   ♪ To take away my sin ♪
[00:13:29.040 --> 00:13:32.980]   ♪ This is my soul ♪
[00:13:32.980 --> 00:13:37.980]   ♪ My Savior God to thee ♪
[00:13:38.560 --> 00:13:42.960]   ♪ How great thou art ♪
[00:13:42.960 --> 00:13:47.460]   ♪ How great thou art ♪
[00:13:47.460 --> 00:13:50.720]   ♪ This is my soul ♪
[00:13:50.720 --> 00:13:55.720]   ♪ My Savior God to thee ♪
[00:13:55.720 --> 00:14:00.720]   ♪ How great thou art ♪
[00:14:00.720 --> 00:14:03.720]   ♪ How great thou art ♪
[00:14:03.720 --> 00:14:08.720]   ♪ How great thou art ♪
[00:14:08.720 --> 00:14:12.560]   ♪ How great thou art ♪
[00:14:12.560 --> 00:14:22.840]   ♪ What joy shall fill ♪
[00:14:22.840 --> 00:14:27.360]   ♪ With shouts of acclamation ♪
[00:14:27.360 --> 00:14:30.660]   ♪ And take me home ♪
[00:14:30.660 --> 00:14:35.660]   ♪ What joy shall fill my heart ♪
[00:14:35.660 --> 00:14:40.720]   ♪ Then I shall bow ♪
[00:14:40.720 --> 00:14:45.160]   ♪ In humble adoration ♪
[00:14:45.160 --> 00:14:48.480]   ♪ And there proclaim ♪
[00:14:48.480 --> 00:14:52.160]   ♪ My God, how great thou art ♪
[00:14:52.160 --> 00:14:54.000]   ♪ This is my soul ♪
[00:14:54.000 --> 00:14:57.360]   ♪ This is my soul ♪
[00:14:57.360 --> 00:15:02.360]   ♪ My Savior God to thee ♪
[00:15:02.360 --> 00:15:07.320]   ♪ How great thou art ♪
[00:15:07.320 --> 00:15:11.700]   ♪ How great thou art ♪
[00:15:11.700 --> 00:15:15.040]   ♪ This is my soul ♪
[00:15:15.040 --> 00:15:20.040]   ♪ My Savior God to thee ♪
[00:15:20.040 --> 00:15:25.080]   ♪ How great thou art ♪
[00:15:25.080 --> 00:15:30.080]   ♪ How great thou art ♪
[00:15:30.080 --> 00:15:39.000]   ♪ How great thou art ♪
[00:15:39.000 --> 00:15:46.200]   ♪ This is my soul ♪
[00:15:46.200 --> 00:15:51.200]   ♪ My Savior God to thee ♪
[00:15:52.240 --> 00:15:57.240]   ♪ How great thou art ♪
[00:15:57.240 --> 00:16:00.560]   ♪ How great thou art ♪
[00:16:00.560 --> 00:16:04.300]   Amen.
[00:16:04.300 --> 00:16:06.880]   (gentle music)
[00:16:06.880 --> 00:16:10.300]   (gentle music continues)
[00:16:10.300 --> 00:16:29.500]   ♪ For my weeping breath ♪
[00:16:29.500 --> 00:16:34.500]   ♪ For my daily breath ♪
[00:16:35.160 --> 00:16:39.900]   ♪ I depend on you ♪
[00:16:39.900 --> 00:16:43.960]   ♪ I depend on you ♪
[00:16:43.960 --> 00:16:48.720]   ♪ For the sun to rise ♪
[00:16:48.720 --> 00:16:53.720]   ♪ For my sleep at night ♪
[00:16:53.720 --> 00:16:58.740]   ♪ I depend on you ♪
[00:16:58.740 --> 00:17:03.740]   ♪ Oh, I depend on you ♪
[00:17:04.340 --> 00:17:09.080]   ♪ You're the way, the truth, and the life ♪
[00:17:09.080 --> 00:17:13.940]   ♪ You're the well that never runs dry ♪
[00:17:13.940 --> 00:17:18.620]   ♪ I'm the branch and you are the vine ♪
[00:17:18.620 --> 00:17:23.120]   ♪ Draw me close and teach me to abide ♪
[00:17:31.980 --> 00:17:36.760]   ♪ Through the stillness ♪
[00:17:36.760 --> 00:17:41.760]   ♪ As I'm following ♪
[00:17:41.760 --> 00:17:47.100]   ♪ I depend on you ♪
[00:17:47.100 --> 00:17:51.180]   ♪ I depend on you ♪
[00:17:51.180 --> 00:17:55.900]   ♪ For the victory's ♪
[00:17:55.900 --> 00:18:00.900]   ♪ Still in front of me ♪
[00:18:01.580 --> 00:18:05.980]   ♪ I depend on you ♪
[00:18:05.980 --> 00:18:10.980]   ♪ Yes, I depend on you ♪
[00:18:10.980 --> 00:18:16.320]   ♪ You're the way, the truth, and the life ♪
[00:18:16.320 --> 00:18:21.180]   ♪ You're the well that never runs dry ♪
[00:18:21.180 --> 00:18:25.920]   ♪ I'm the branch and you are the vine ♪
[00:18:25.920 --> 00:18:30.760]   ♪ Draw me close and teach me to abide ♪
[00:18:30.760 --> 00:18:35.540]   ♪ Be my strength, my song in the night ♪
[00:18:35.540 --> 00:18:40.340]   ♪ Be my all, my treasure, my prize ♪
[00:18:40.340 --> 00:18:45.140]   ♪ I am yours forever, you're mine ♪
[00:18:45.140 --> 00:18:49.640]   ♪ Draw me close and teach me to abide ♪
[00:18:58.420 --> 00:19:03.140]   ♪ When I pass through death ♪
[00:19:03.140 --> 00:19:08.140]   ♪ As I enter rest ♪
[00:19:08.140 --> 00:19:13.180]   ♪ I depend on you ♪
[00:19:13.180 --> 00:19:17.580]   ♪ Oh, I depend on you ♪
[00:19:17.580 --> 00:19:22.300]   ♪ For eternal life ♪
[00:19:22.300 --> 00:19:27.300]   ♪ To be raised with Christ ♪
[00:19:27.940 --> 00:19:32.260]   ♪ I depend on you ♪
[00:19:32.260 --> 00:19:37.260]   ♪ Yes, I depend on you ♪
[00:19:37.260 --> 00:19:42.700]   ♪ You're the way, the truth, and the life ♪
[00:19:42.700 --> 00:19:47.580]   ♪ You're the well that never runs dry ♪
[00:19:47.580 --> 00:19:52.320]   ♪ I'm the branch and you are the vine ♪
[00:19:52.320 --> 00:19:57.180]   ♪ Draw me close and teach me to abide ♪
[00:19:57.180 --> 00:20:01.940]   ♪ Be my strength, my song in the night ♪
[00:20:01.940 --> 00:20:06.780]   ♪ Be my all, my treasure, my prize ♪
[00:20:06.780 --> 00:20:11.500]   ♪ I am yours forever, you're mine ♪
[00:20:11.500 --> 00:20:16.400]   ♪ Draw me close and teach me to abide ♪
[00:20:16.400 --> 00:20:21.140]   ♪ Be my strength, my song in the night ♪
[00:20:21.140 --> 00:20:26.020]   ♪ Be my all, my treasure, my prize ♪
[00:20:26.020 --> 00:20:30.920]   ♪ I am yours forever, you're mine ♪
[00:20:30.920 --> 00:20:35.500]   ♪ Draw me close and teach me to abide ♪
[00:20:35.500 --> 00:20:47.140]   Amen, you may be seated.
[00:20:47.140 --> 00:20:49.640]   (bell chimes)
[00:20:49.640 --> 00:20:58.340]   - Hello, okay.
[00:20:58.340 --> 00:21:02.380]   Good morning, church family.
[00:21:02.380 --> 00:21:03.860]   My name is Aaron Tong.
[00:21:03.860 --> 00:21:08.300]   I was raised in a God-fearing family of five,
[00:21:08.300 --> 00:21:12.220]   going to church on Sundays and youth group on Wednesdays.
[00:21:12.220 --> 00:21:15.620]   I was a very defiant, stubborn, and disobedient child
[00:21:15.620 --> 00:21:18.700]   who wanted to control everything.
[00:21:18.700 --> 00:21:21.340]   Whenever my mom would spank me for my treason,
[00:21:21.340 --> 00:21:24.260]   she would pray for my repentance and my salvation
[00:21:24.260 --> 00:21:26.460]   in hopes that I'd receive the Holy Spirit,
[00:21:26.460 --> 00:21:29.140]   who'd be her ally in raising me.
[00:21:29.140 --> 00:21:31.660]   I professed Jesus Christ as my Lord and Savior
[00:21:31.660 --> 00:21:33.620]   when I was just six years old.
[00:21:33.620 --> 00:21:35.500]   At the time, I knew that I was a sinner
[00:21:35.500 --> 00:21:37.140]   and that Jesus was the only one
[00:21:37.140 --> 00:21:39.100]   who could save me from my sins.
[00:21:39.100 --> 00:21:42.660]   However, I didn't know the cross's implications on my life
[00:21:42.660 --> 00:21:45.780]   besides being a ticket to heaven and an escape from hell.
[00:21:45.780 --> 00:21:50.820]   In 2012, our family moved from Texas to Arkansas,
[00:21:50.820 --> 00:21:54.240]   where I switched schools and ended up at a new church.
[00:21:54.240 --> 00:21:55.760]   I continued to attend youth group
[00:21:55.760 --> 00:21:58.600]   and to do all of the things a Christian would do.
[00:21:58.600 --> 00:21:59.900]   I was a pretty good kid.
[00:21:59.900 --> 00:22:02.540]   I got good grades, parents and teachers liked me,
[00:22:02.540 --> 00:22:04.620]   and I stayed out of trouble.
[00:22:04.620 --> 00:22:07.680]   Simultaneously, though, I started to grow up.
[00:22:07.680 --> 00:22:09.620]   I couldn't help but notice that the world
[00:22:09.620 --> 00:22:12.460]   had a lot to offer, popularity, money,
[00:22:12.460 --> 00:22:15.100]   entertainment, and sexual pleasures.
[00:22:15.100 --> 00:22:17.660]   I couldn't help but wonder why God would tell me
[00:22:17.660 --> 00:22:18.820]   not to love the world.
[00:22:18.820 --> 00:22:20.300]   Didn't he create the world?
[00:22:20.300 --> 00:22:23.340]   Christianity became this big rule book,
[00:22:23.340 --> 00:22:27.100]   and I only felt constrained by its demands and teachings.
[00:22:27.100 --> 00:22:28.460]   By the time I entered high school,
[00:22:28.460 --> 00:22:31.580]   my life was indistinguishable from unbelievers.
[00:22:31.580 --> 00:22:34.420]   Away from my parents, I cursed, gossiped about others,
[00:22:34.420 --> 00:22:35.960]   and was deep in sexual sin.
[00:22:35.960 --> 00:22:39.580]   Because of the pandemic, but more so my selfishness,
[00:22:39.580 --> 00:22:42.340]   I stopped going to church for a long period of time
[00:22:42.340 --> 00:22:44.680]   and became disconnected from my youth group.
[00:22:44.680 --> 00:22:46.340]   My friends would ask about Christianity's
[00:22:46.340 --> 00:22:49.180]   strict rules and practices, and I would cop out
[00:22:49.180 --> 00:22:51.740]   by calling my faith just a personal relationship,
[00:22:51.740 --> 00:22:54.180]   not a religion, completely ignoring the call
[00:22:54.180 --> 00:22:57.140]   to take up my cross and pursue holiness.
[00:22:57.140 --> 00:23:01.260]   I tried to run to forgiveness and grace without repentance.
[00:23:01.260 --> 00:23:04.380]   In high school, I also chased excellence
[00:23:04.380 --> 00:23:07.300]   in athletics and academics, putting my identity
[00:23:07.300 --> 00:23:11.040]   in championship rings, GPA, and follower counts.
[00:23:11.040 --> 00:23:13.300]   Whenever I would pray, it was just to be heard
[00:23:13.300 --> 00:23:16.980]   and to build my own kingdom, not to listen to God's will.
[00:23:16.980 --> 00:23:19.340]   I would cheesily say I can do all things
[00:23:19.340 --> 00:23:22.920]   through Christ who strengthens me before races and tests.
[00:23:22.920 --> 00:23:24.540]   I tried to be the God of my life
[00:23:24.540 --> 00:23:26.900]   and thought that God existed to serve me.
[00:23:26.900 --> 00:23:30.860]   By God's grace, I was forced to move across the country
[00:23:30.860 --> 00:23:33.860]   to California during my junior year of high school.
[00:23:33.860 --> 00:23:36.420]   With my whole life uprooted right before my prime years
[00:23:36.420 --> 00:23:38.740]   of high school, I suddenly became the new kid.
[00:23:38.740 --> 00:23:41.940]   Having been raised in the South, I was a banana
[00:23:41.940 --> 00:23:44.260]   and didn't fit in with all the Asian kids.
[00:23:44.260 --> 00:23:46.380]   I made it my mission to just get good grades
[00:23:46.380 --> 00:23:48.000]   and get into a good college.
[00:23:48.000 --> 00:23:49.460]   I didn't feel like making new friends
[00:23:49.460 --> 00:23:51.140]   and starting over again.
[00:23:51.140 --> 00:23:53.580]   I wallowed in self-pity, licking my wounds,
[00:23:53.580 --> 00:23:55.180]   and using the pain as motivation
[00:23:55.180 --> 00:23:57.820]   to beat everyone else in college admissions.
[00:23:57.820 --> 00:23:59.780]   I thought that if I just dug deep
[00:23:59.780 --> 00:24:02.460]   and maximized my potential by grinding,
[00:24:02.460 --> 00:24:04.500]   that I'd somehow find fulfillment.
[00:24:05.820 --> 00:24:07.900]   When senior year rolled around,
[00:24:07.900 --> 00:24:10.620]   I realized having no friends meant that I had no friends
[00:24:10.620 --> 00:24:12.780]   to go to prom or grad bash with.
[00:24:12.780 --> 00:24:14.700]   To solve this problem, I started to show up
[00:24:14.700 --> 00:24:16.580]   to our school's Christian club.
[00:24:16.580 --> 00:24:18.640]   Despite my selfish motivations,
[00:24:18.640 --> 00:24:21.860]   God used my time there to magnify who he was.
[00:24:21.860 --> 00:24:24.220]   The friends I made there actually lived out their faith,
[00:24:24.220 --> 00:24:26.820]   and I was deeply intrigued by their love for me,
[00:24:26.820 --> 00:24:28.820]   a complete stranger.
[00:24:28.820 --> 00:24:31.980]   During March, college decisions came out.
[00:24:31.980 --> 00:24:33.740]   I had been wait-listed or rejected
[00:24:33.740 --> 00:24:36.620]   from every single dream school I had applied to.
[00:24:36.620 --> 00:24:40.340]   This spanking from God hurt far more than my mom's hand.
[00:24:40.340 --> 00:24:42.460]   My whole life felt like a failure
[00:24:42.460 --> 00:24:46.480]   because I thought everything revolved around my will.
[00:24:46.480 --> 00:24:49.220]   I was bitter and jealous of my peers.
[00:24:49.220 --> 00:24:51.780]   This last straw took me to a dark place,
[00:24:51.780 --> 00:24:53.580]   the lowest of lows, where God allowed me
[00:24:53.580 --> 00:24:55.860]   to feel the weight of my sin and brokenness.
[00:24:55.860 --> 00:25:01.100]   Though I thought my lust, my pride, and my selfishness
[00:25:03.180 --> 00:25:06.060]   would fill me, they left me empty.
[00:25:06.060 --> 00:25:09.740]   I had exchanged the glory of the creator for created things
[00:25:09.740 --> 00:25:12.600]   and was on the broad road to destruction.
[00:25:12.600 --> 00:25:15.860]   Over the summer, I was blessed to hang out
[00:25:15.860 --> 00:25:17.520]   a lot with my friends that I had made
[00:25:17.520 --> 00:25:19.160]   from the Christian club.
[00:25:19.160 --> 00:25:20.740]   Their encouragement led me to believe
[00:25:20.740 --> 00:25:22.180]   that there was something far greater
[00:25:22.180 --> 00:25:24.480]   than myself in this world.
[00:25:24.480 --> 00:25:26.860]   One day, as I was scrolling Instagram reels,
[00:25:26.860 --> 00:25:28.380]   I saw a reel that said I could find
[00:25:28.380 --> 00:25:31.120]   the meaning of life in Ecclesiastes.
[00:25:31.120 --> 00:25:35.300]   For the first time in years, I decided to open my Bible.
[00:25:35.300 --> 00:25:38.100]   Ecclesiastes punctured my heart and heart
[00:25:38.100 --> 00:25:41.980]   and made me realize that my whole life was vanity.
[00:25:41.980 --> 00:25:45.180]   There is nothing under the sun that would ever be enough,
[00:25:45.180 --> 00:25:48.000]   but everything God does will endure forever.
[00:25:48.000 --> 00:25:51.640]   I started to understand that my concept of God
[00:25:51.640 --> 00:25:53.740]   had been flipped my whole life.
[00:25:53.740 --> 00:25:55.640]   Everything exists for his glory,
[00:25:55.640 --> 00:25:58.500]   not my laughable greatness.
[00:25:58.500 --> 00:26:00.740]   As I've been at Berean, God has graciously
[00:26:00.740 --> 00:26:04.580]   allowed me to repent and place my faith in Christ.
[00:26:04.580 --> 00:26:06.820]   I've learned that loving the Lord with all my heart
[00:26:06.820 --> 00:26:09.720]   means all my heart and not 50%.
[00:26:09.720 --> 00:26:14.020]   If I try to love God and love this world,
[00:26:14.020 --> 00:26:17.060]   I'll surely lose both.
[00:26:17.060 --> 00:26:25.060]   I've learned the commands he's given aren't constraints,
[00:26:25.060 --> 00:26:26.900]   they're ways I get to delight in the freedom
[00:26:26.900 --> 00:26:29.020]   Christ has given me from sin.
[00:26:29.020 --> 00:26:30.580]   I've learned that I can do all things
[00:26:30.580 --> 00:26:32.140]   through Christ who strengthens me.
