
[00:00:00.000 --> 00:00:02.740]   (audio cuts out)
[00:02:14.660 --> 00:02:17.040]   "'If anyone is hungry, let him eat at home
[00:02:17.040 --> 00:02:20.700]   "'so that you will not come together for judgment.
[00:02:20.700 --> 00:02:23.240]   "'The remaining matters I'll arrange when I come.'"
[00:02:23.240 --> 00:02:25.000]   All right, let's take a moment to pray
[00:02:25.000 --> 00:02:28.480]   and ask for the Lord's blessing on our study tonight.
[00:02:28.480 --> 00:02:31.160]   Father God, I thank you so much for your grace.
[00:02:31.160 --> 00:02:32.360]   I thank you, God, that again,
[00:02:32.360 --> 00:02:34.080]   we have the privilege of coming together.
[00:02:34.080 --> 00:02:35.960]   I pray for every single one of us.
[00:02:35.960 --> 00:02:38.680]   If there's any of us who are feeling weak or tired
[00:02:38.680 --> 00:02:42.440]   from the weeks, I pray, God, that you would strengthen us.
[00:02:42.440 --> 00:02:44.440]   Lord, I pray that you, through your spirit,
[00:02:44.440 --> 00:02:47.440]   would continue to empower us to persevere
[00:02:47.440 --> 00:02:51.600]   through the busy weeks, persevere through our own fatigue.
[00:02:51.600 --> 00:02:55.120]   I also pray, God, that you would continue to inspire us.
[00:02:55.120 --> 00:02:58.040]   Lord, as you, through your scripture,
[00:02:58.040 --> 00:03:01.320]   show us what it means to live for the sake of your glory,
[00:03:01.320 --> 00:03:03.680]   live also in a way that is pleasing
[00:03:03.680 --> 00:03:05.360]   and honoring to you in the church.
[00:03:05.360 --> 00:03:06.960]   I pray, God, that we would be inspired.
[00:03:06.960 --> 00:03:09.360]   We thank you in Christ's name, amen.
[00:03:09.360 --> 00:03:15.440]   Okay, so I hope you guys had good discussion in your tables.
[00:03:15.440 --> 00:03:17.560]   The first section that we wanna cover
[00:03:17.560 --> 00:03:19.460]   is verse 17 through 22.
[00:03:20.360 --> 00:03:25.200]   And in looking at this passage, I ask you this question.
[00:03:25.200 --> 00:03:30.200]   Apostle Paul is obviously displeased, to say the least.
[00:03:30.200 --> 00:03:34.160]   And he says, "I will not praise you," okay?
[00:03:34.160 --> 00:03:36.040]   "Because you come together not for the better,
[00:03:36.040 --> 00:03:36.880]   "but for the worse."
[00:03:36.880 --> 00:03:39.880]   And then he repeats it later on in verse 22.
[00:03:39.880 --> 00:03:42.560]   In this, "I will not praise you."
[00:03:42.560 --> 00:03:44.560]   So I see that as a little section.
[00:03:44.560 --> 00:03:49.200]   Now my, I guess, activity or the warmup
[00:03:49.200 --> 00:03:51.640]   that I had you guys do is try to list
[00:03:51.640 --> 00:03:54.240]   some of the problems and sin in this passage.
[00:03:54.240 --> 00:03:58.320]   Circle the words and phrases and identify the problem, okay?
[00:03:58.320 --> 00:04:01.240]   So real quick, can some of you guys just throw out,
[00:04:01.240 --> 00:04:02.640]   again, it's just observation,
[00:04:02.640 --> 00:04:05.920]   so throw out the various sins and problems that you see.
[00:04:05.920 --> 00:04:10.080]   - Divisions exist.
[00:04:10.080 --> 00:04:11.560]   - Divisions exist.
[00:04:11.560 --> 00:04:13.880]   - Drunkenness.
[00:04:13.880 --> 00:04:15.080]   - Drunkenness.
[00:04:15.080 --> 00:04:16.320]   - Drunkenness.
[00:04:16.320 --> 00:04:21.120]   - What else do you guys see?
[00:04:21.120 --> 00:04:26.640]   People just running and getting a bunch first.
[00:04:26.640 --> 00:04:29.480]   - They come with the wrong motives.
[00:04:29.480 --> 00:04:31.160]   - Coming with the wrong motives.
[00:04:31.160 --> 00:04:33.760]   What else?
[00:04:33.760 --> 00:04:39.360]   Okay, shaming those who have nothing, shaming the poor.
[00:04:39.360 --> 00:04:40.660]   What else do you guys see?
[00:04:40.660 --> 00:04:44.120]   That's pretty good.
[00:04:45.120 --> 00:04:47.040]   Pretty good list we have working there.
[00:04:47.040 --> 00:04:49.400]   Now if you were to take those multiple things
[00:04:49.400 --> 00:04:51.360]   he's mentioning, saying, "Oh, you guys are doing this
[00:04:51.360 --> 00:04:52.800]   "and you guys are doing that,"
[00:04:52.800 --> 00:04:55.440]   and you try to hone in on,
[00:04:55.440 --> 00:04:57.680]   is there perhaps a summary term
[00:04:57.680 --> 00:05:00.600]   or at least a focal point to which he's getting at
[00:05:00.600 --> 00:05:03.120]   when he sees this problem in the church?
[00:05:03.120 --> 00:05:04.280]   What do you guys think?
[00:05:04.280 --> 00:05:06.440]   (silence)
[00:05:06.440 --> 00:05:18.080]   What was that?
[00:05:18.080 --> 00:05:18.920]   - Selfishness.
[00:05:18.920 --> 00:05:21.040]   - Selfishness, okay.
[00:05:21.040 --> 00:05:21.880]   Interesting.
[00:05:21.880 --> 00:05:23.920]   Yeah, there's definitely a whole lot of selfishness there
[00:05:23.920 --> 00:05:26.680]   when you see the people going out and getting things first,
[00:05:26.680 --> 00:05:28.000]   thinking of themselves, and he's like,
[00:05:28.000 --> 00:05:30.720]   "Man, if you wanted just to do things for yourself,
[00:05:30.720 --> 00:05:32.240]   "couldn't you do it at home?"
[00:05:33.240 --> 00:05:34.640]   (clears throat)
[00:05:34.640 --> 00:05:36.720]   But for me, that's not, I guess,
[00:05:36.720 --> 00:05:39.840]   that's definitely an element in there,
[00:05:39.840 --> 00:05:42.480]   which I guess you could say even a cause of it,
[00:05:42.480 --> 00:05:44.400]   but there is a big problem that he sees
[00:05:44.400 --> 00:05:48.400]   as a major problem in this scenario.
[00:05:48.400 --> 00:05:49.500]   What is that problem?
[00:05:49.500 --> 00:05:53.680]   - Having no reverence for the Lord's Supper.
[00:05:53.680 --> 00:05:56.160]   - Okay, having no reverence for the Lord's Supper.
[00:05:56.160 --> 00:05:57.420]   Good.
[00:05:57.420 --> 00:05:58.840]   Let's jot down a few.
[00:05:58.840 --> 00:06:00.200]   I have on your packet,
[00:06:01.840 --> 00:06:02.680]   let's see here.
[00:06:02.680 --> 00:06:14.480]   Two major, I guess, lines.
[00:06:14.480 --> 00:06:21.600]   Okay, two major lines for that.
[00:06:21.600 --> 00:06:23.840]   And the first line,
[00:06:23.840 --> 00:06:27.480]   can you guys put what Alex had mentioned,
[00:06:27.480 --> 00:06:29.760]   that there is irreverence?
[00:06:31.760 --> 00:06:33.160]   That there is irreverence.
[00:06:33.160 --> 00:06:37.000]   So, in one way, you can look at all the stuff
[00:06:37.000 --> 00:06:39.480]   that they're doing, whether it be like,
[00:06:39.480 --> 00:06:41.320]   all you guys are getting drunk,
[00:06:41.320 --> 00:06:43.840]   or some of you guys are running down the aisle.
[00:06:43.840 --> 00:06:44.680]   It's pretty hilarious.
[00:06:44.680 --> 00:06:46.800]   I told you guys, I think I shared a story one time
[00:06:46.800 --> 00:06:50.240]   about my first experience with communion,
[00:06:50.240 --> 00:06:53.480]   and this was hilarious, because I went with my buddy,
[00:06:53.480 --> 00:06:55.600]   and we weren't Christian at the time,
[00:06:55.600 --> 00:06:58.440]   and back when I was at that church,
[00:06:58.440 --> 00:06:59.760]   we were in youth group, and this was my,
[00:06:59.760 --> 00:07:02.080]   I think, end of junior year in high school.
[00:07:02.080 --> 00:07:06.400]   The way that we did communion at that time
[00:07:06.400 --> 00:07:08.360]   was essentially, everybody would line up,
[00:07:08.360 --> 00:07:10.920]   the pastor at the front would hold a huge loaf,
[00:07:10.920 --> 00:07:13.240]   and then another pastor would hold a cup.
[00:07:13.240 --> 00:07:15.440]   Well, what's funny is, you take,
[00:07:15.440 --> 00:07:17.400]   the pastor breaks the piece of bread for you,
[00:07:17.400 --> 00:07:18.760]   and then you're supposed to dip it in the cup,
[00:07:18.760 --> 00:07:20.240]   and you're supposed to eat it.
[00:07:20.240 --> 00:07:22.960]   Well, I just remember, because of the scene,
[00:07:22.960 --> 00:07:24.880]   the both of us, as soon as the pastor said,
[00:07:24.880 --> 00:07:26.720]   "Hey, we're opening up the communion, now come down,"
[00:07:26.720 --> 00:07:27.840]   we just ran.
[00:07:27.840 --> 00:07:29.400]   Boof, we came running down.
[00:07:29.400 --> 00:07:31.280]   Mainly it was 'cause we were bored out of our minds,
[00:07:31.280 --> 00:07:32.760]   and we were hungry.
[00:07:32.760 --> 00:07:35.440]   We came running down, and then the guy in front of me,
[00:07:35.440 --> 00:07:37.280]   he went first, he grabbed it, he dipped it, he ate it,
[00:07:37.280 --> 00:07:38.440]   but I wasn't paying attention,
[00:07:38.440 --> 00:07:40.320]   'cause I was a little nervous, too.
[00:07:40.320 --> 00:07:42.560]   And what I did was, I just grabbed the bread and ate it,
[00:07:42.560 --> 00:07:45.160]   and I got to the cup, and I was like, "What do I do?"
[00:07:45.160 --> 00:07:46.160]   So I just grabbed the cup,
[00:07:46.160 --> 00:07:47.920]   and I tried to drink it like this,
[00:07:47.920 --> 00:07:49.920]   and the pastor shoved my hand out of the way,
[00:07:49.920 --> 00:07:51.000]   and said, "What are you doing?
[00:07:51.000 --> 00:07:53.320]   "Just go, just go," and I was like, "Oh."
[00:07:53.320 --> 00:07:56.240]   He just got rejected from my first communion.
[00:07:56.240 --> 00:07:57.800]   It was pretty hilarious.
[00:07:57.800 --> 00:08:01.360]   But I do remember taking that communion
[00:08:01.360 --> 00:08:04.840]   with a kind of a sense, like a ignorance,
[00:08:04.840 --> 00:08:06.920]   a sense of just naive, like we're just kids,
[00:08:06.920 --> 00:08:08.720]   just doing whatever, you know?
[00:08:08.720 --> 00:08:09.560]   Just a little bit.
[00:08:09.560 --> 00:08:10.920]   (laughs)
[00:08:10.920 --> 00:08:13.080]   And there's a sense in which,
[00:08:13.080 --> 00:08:15.040]   the reason why I tell that story is because
[00:08:15.040 --> 00:08:16.520]   you could maybe read this as saying,
[00:08:16.520 --> 00:08:19.960]   "Hey, the people are acting like fools.
[00:08:19.960 --> 00:08:22.460]   "They're acting naive, they're acting like kids.
[00:08:22.460 --> 00:08:24.000]   "You know, it's kind of like a bunch of kids
[00:08:24.000 --> 00:08:26.240]   "running to the dinner table, some of them are first,
[00:08:26.240 --> 00:08:29.860]   "they're just selfish," which they are, which is true.
[00:08:29.860 --> 00:08:31.240]   He says it.
[00:08:31.240 --> 00:08:32.320]   But the fact of the matter is,
[00:08:32.320 --> 00:08:34.120]   all that points to a greater problem,
[00:08:34.120 --> 00:08:36.440]   in that there is irreverence.
[00:08:36.440 --> 00:08:39.240]   When you look at that term in verse 17,
[00:08:39.240 --> 00:08:41.880]   for they come together, not for the better,
[00:08:41.880 --> 00:08:46.880]   but for the worse, that word for the worse in Greek,
[00:08:46.880 --> 00:08:52.240]   is a word that represents moral wickedness, okay?
[00:08:52.240 --> 00:08:53.480]   Moral wickedness.
[00:08:53.480 --> 00:08:55.240]   And so as he's thinking about this,
[00:08:55.240 --> 00:08:57.120]   yes, he's talking about selfish indulgence,
[00:08:57.120 --> 00:08:58.840]   shaming the brother, et cetera,
[00:08:58.840 --> 00:09:00.440]   but there's a sense in which
[00:09:00.440 --> 00:09:03.000]   the people are scandalizing the church,
[00:09:03.000 --> 00:09:05.200]   because there is wickedness and irreverence
[00:09:05.200 --> 00:09:09.320]   for that which is holy in the church, okay?
[00:09:09.320 --> 00:09:13.020]   So the first major problem that he's seeing here
[00:09:13.020 --> 00:09:16.520]   is not simply, "Man, you guys just are a mess.
[00:09:16.520 --> 00:09:17.720]   "Every time you guys have communion,
[00:09:17.720 --> 00:09:19.420]   "you guys are just unorganized,
[00:09:19.420 --> 00:09:20.800]   "and you guys are just selfish,
[00:09:20.800 --> 00:09:22.040]   "you guys are a bunch of kids."
[00:09:22.040 --> 00:09:23.160]   That's one way to look at it.
[00:09:23.160 --> 00:09:24.800]   The other way to look at it is,
[00:09:24.800 --> 00:09:27.520]   you guys are irreverent, right?
[00:09:27.520 --> 00:09:29.040]   So that's what's happening here.
[00:09:29.040 --> 00:09:34.040]   Now, the second thing, as I guess almost a result of that,
[00:09:34.040 --> 00:09:38.520]   you notice from the entire passage that we read,
[00:09:38.520 --> 00:09:41.240]   there is another problem, like a big problem,
[00:09:41.240 --> 00:09:43.800]   that almost concludes from that, which is?
[00:09:43.800 --> 00:09:50.360]   Divisions, okay?
[00:09:50.360 --> 00:09:52.840]   So the second blank really played in divisions.
[00:09:54.580 --> 00:09:57.460]   Divisions, yeah.
[00:09:57.460 --> 00:10:02.840]   So if you were to read chapter 11,
[00:10:02.840 --> 00:10:04.880]   and then you go all the way to chapter 14,
[00:10:04.880 --> 00:10:06.720]   and you read the whole thing,
[00:10:06.720 --> 00:10:09.340]   you're gonna find that Apostle Paul
[00:10:09.340 --> 00:10:12.880]   takes it upon himself to talk about division in the church
[00:10:12.880 --> 00:10:14.760]   with an emphatic tone of,
[00:10:14.760 --> 00:10:18.320]   "We cannot have division as a body of Christ."
[00:10:18.320 --> 00:10:21.660]   And if you remember back even from chapter one,
[00:10:21.660 --> 00:10:24.440]   Apostle Paul desired us to be of the same mind.
[00:10:24.440 --> 00:10:27.920]   Apostle Paul desired us to be united, right?
[00:10:27.920 --> 00:10:32.800]   What's very interesting is when he says in the passage,
[00:10:32.800 --> 00:10:33.860]   for that in the first place,
[00:10:33.860 --> 00:10:36.340]   when you come together as a church,
[00:10:36.340 --> 00:10:39.400]   I hear that divisions exist among you.
[00:10:39.400 --> 00:10:41.680]   And he says, "I believe it."
[00:10:41.680 --> 00:10:45.760]   The rest of the verse almost shows
[00:10:45.760 --> 00:10:48.080]   why Apostle Paul believes that there are divisions.
[00:10:48.080 --> 00:10:50.720]   He sends the thing, "Look at the division.
[00:10:50.720 --> 00:10:53.240]   "I believe it, I see it, here it is."
[00:10:53.240 --> 00:10:56.280]   And so he sees as a major problem
[00:10:56.280 --> 00:10:58.520]   the division that's taking place in the church.
[00:10:58.520 --> 00:11:01.320]   And really, what's interesting about it too,
[00:11:01.320 --> 00:11:03.440]   is he uses descriptive words,
[00:11:03.440 --> 00:11:07.680]   because the term for division is schismata,
[00:11:07.680 --> 00:11:11.080]   which means tearing or cutting apart, okay?
[00:11:11.080 --> 00:11:14.720]   And I just want you guys to think about it a little bit.
[00:11:14.720 --> 00:11:18.720]   He says in this verse,
[00:11:18.720 --> 00:11:21.980]   "You guys are coming together as a church."
[00:11:22.940 --> 00:11:26.820]   And for those of you guys who are in BCC class,
[00:11:26.820 --> 00:11:29.920]   what does the church, or what is the church?
[00:11:29.920 --> 00:11:40.480]   Or, what?
[00:11:40.480 --> 00:11:44.540]   - I think Ed said body of Christ.
[00:11:44.540 --> 00:11:46.140]   - Okay, good.
[00:11:46.140 --> 00:11:48.140]   It is the body of Christ.
[00:11:48.140 --> 00:11:49.580]   And the Greek term for that,
[00:11:49.580 --> 00:11:51.580]   that we cover in BCC class, ekklesia,
[00:11:51.580 --> 00:11:55.020]   which means those who are called out, right?
[00:11:55.020 --> 00:11:57.060]   And that, but just more formally speaking,
[00:11:57.060 --> 00:11:59.460]   is the assemblies, those who are unified
[00:11:59.460 --> 00:12:02.060]   by the fact that they're called out by God and for God.
[00:12:02.060 --> 00:12:05.060]   And so he's saying, "You guys, by nature, are the church,
[00:12:05.060 --> 00:12:07.020]   "and you're coming together as a church,
[00:12:07.020 --> 00:12:09.020]   "but then there's divisions among you."
[00:12:09.020 --> 00:12:13.460]   And so Apostle Paul is making a huge point here
[00:12:13.460 --> 00:12:16.920]   that this, again, is not a small problem, but a big one.
[00:12:17.820 --> 00:12:21.180]   So, in thinking about this for a moment here,
[00:12:21.180 --> 00:12:23.240]   I want us to,
[00:12:23.240 --> 00:12:30.500]   I guess, take a moment to think about the church
[00:12:30.500 --> 00:12:32.980]   and the divisions that exist, all right?
[00:12:32.980 --> 00:12:36.680]   And then I'm gonna introduce an interesting thought, okay?
[00:12:36.680 --> 00:12:37.860]   So right now I'm making the point
[00:12:37.860 --> 00:12:41.140]   that the church and Corinth, they're digressing,
[00:12:41.140 --> 00:12:43.980]   they are broken in many ways,
[00:12:43.980 --> 00:12:48.980]   they are divided, and there's irreverence for the Lord, okay?
[00:12:48.980 --> 00:12:54.300]   In verse 19, he makes an interesting statement.
[00:12:54.300 --> 00:12:57.320]   He says, "For there must also be fractions among you,
[00:12:57.320 --> 00:12:59.900]   "so that those who are approved by,
[00:12:59.900 --> 00:13:01.760]   "so that those who are approved
[00:13:01.760 --> 00:13:04.420]   "may become evident among you."
[00:13:04.420 --> 00:13:07.860]   And here is an interpretive challenge for us,
[00:13:07.860 --> 00:13:11.900]   because I'm making the point, look how bad it's going.
[00:13:11.900 --> 00:13:13.760]   The church is in a horrible state.
[00:13:13.760 --> 00:13:16.820]   They're irreverent towards God, and there's fractions.
[00:13:16.820 --> 00:13:18.980]   But then, in verse 19, it reads,
[00:13:18.980 --> 00:13:22.060]   "For there must also be fractions among you,"
[00:13:22.060 --> 00:13:26.340]   almost like saying, this is just how it is.
[00:13:26.340 --> 00:13:28.140]   Or is that really what he is saying?
[00:13:28.140 --> 00:13:31.740]   So, let's do a little exercise here.
[00:13:31.740 --> 00:13:35.300]   And I want you guys to look at the passage,
[00:13:35.300 --> 00:13:38.460]   and let's observe some of the phrases that are there, okay?
[00:13:38.460 --> 00:13:41.980]   First,
[00:13:42.920 --> 00:13:46.920]   we realize that there's that term,
[00:13:46.920 --> 00:13:49.400]   you know, where there's a for there,
[00:13:49.400 --> 00:13:51.080]   and then we ask, like, what does the for do?
[00:13:51.080 --> 00:13:53.160]   It connects with the previous thought.
[00:13:53.160 --> 00:13:55.700]   He says there's these divisions among them,
[00:13:55.700 --> 00:13:58.240]   which, again, as a church, there shouldn't be.
[00:13:58.240 --> 00:14:00.760]   But then he says, "I believe it."
[00:14:00.760 --> 00:14:04.440]   So perhaps this, again, this verse in verse 19,
[00:14:04.440 --> 00:14:06.680]   is just connecting that Apostle Paul
[00:14:06.680 --> 00:14:09.500]   believes there's fraction because of this, right?
[00:14:10.680 --> 00:14:13.640]   But then, there's that word, must.
[00:14:13.640 --> 00:14:16.160]   Must.
[00:14:16.160 --> 00:14:20.540]   And there's a question as to, what does he mean by must?
[00:14:20.540 --> 00:14:22.480]   Now, in some of your other translations,
[00:14:22.480 --> 00:14:24.760]   like the NIV translation, he says,
[00:14:24.760 --> 00:14:28.060]   "No doubt there have been differences among you."
[00:14:28.060 --> 00:14:30.920]   Kind of like saying, huh, I believe it,
[00:14:30.920 --> 00:14:32.920]   'cause I just assumed.
[00:14:32.920 --> 00:14:35.620]   So is he kind of saying, like,
[00:14:35.620 --> 00:14:37.440]   oh, there must be divisions among you,
[00:14:37.440 --> 00:14:39.840]   saying, like, of course there are, you're human,
[00:14:39.840 --> 00:14:41.760]   no doubt, everybody knows that, you know,
[00:14:41.760 --> 00:14:43.720]   there's gonna be divisions.
[00:14:43.720 --> 00:14:45.040]   What is he saying?
[00:14:45.040 --> 00:14:48.000]   What's a possible interpretation of this verse?
[00:14:48.000 --> 00:14:50.640]   But then we notice that there is a purpose clause,
[00:14:50.640 --> 00:14:55.160]   in order, okay, in order, which shows purpose,
[00:14:55.160 --> 00:14:56.960]   and it says, "Those who are approved
[00:14:56.960 --> 00:15:00.240]   "may be evident among you."
[00:15:00.240 --> 00:15:01.760]   Interesting.
[00:15:01.760 --> 00:15:03.280]   So here's my question to you now.
[00:15:03.280 --> 00:15:05.480]   I list for you several possibilities
[00:15:05.480 --> 00:15:08.000]   that I've seen in different commentaries.
[00:15:08.000 --> 00:15:11.040]   The first one, is he giving a statement of reality?
[00:15:11.040 --> 00:15:13.700]   Hey, division is unavoidable.
[00:15:13.700 --> 00:15:16.200]   Where there are people, you're gonna have drama.
[00:15:16.200 --> 00:15:17.960]   And where there is drama, you're gonna have people
[00:15:17.960 --> 00:15:18.880]   who don't like each other,
[00:15:18.880 --> 00:15:20.880]   and there's gonna be divisions.
[00:15:20.880 --> 00:15:23.280]   Or is he sarcastically saying,
[00:15:23.280 --> 00:15:25.640]   I heard there's division, and I believe it,
[00:15:25.640 --> 00:15:26.520]   because look at y'all, you know,
[00:15:26.520 --> 00:15:29.280]   he's kind of sarcastically saying something.
[00:15:29.280 --> 00:15:32.040]   Is this a statement that division is a natural cause
[00:15:32.040 --> 00:15:34.360]   of men trying to stand out?
[00:15:34.360 --> 00:15:37.840]   So that interpretation takes a focus on
[00:15:37.840 --> 00:15:41.160]   men who are approved wanting to be evident?
[00:15:41.160 --> 00:15:44.040]   Is this an issue where people want to become evident,
[00:15:44.040 --> 00:15:46.000]   so as they're competing with each other,
[00:15:46.000 --> 00:15:48.000]   of course there's divisions?
[00:15:48.000 --> 00:15:51.640]   Or letter E, the division exists so that the truth
[00:15:51.640 --> 00:15:54.660]   about the spiritual nature of men would be known.
[00:15:54.660 --> 00:15:58.600]   What do you guys think is a proper interpretation
[00:15:58.600 --> 00:16:00.840]   of that verse?
[00:16:00.840 --> 00:16:06.080]   - Four.
[00:16:06.960 --> 00:16:08.120]   - You like number four?
[00:16:08.120 --> 00:16:12.200]   - The division exists so that the truth
[00:16:12.200 --> 00:16:14.760]   about the spiritual nature of men would be known.
[00:16:14.760 --> 00:16:17.840]   - Okay, interesting, and why do you like that one?
[00:16:17.840 --> 00:16:24.480]   - Because as you said, he gives the purpose,
[00:16:24.480 --> 00:16:30.520]   there's an outcome of these divisions,
[00:16:30.520 --> 00:16:32.680]   and the outcome is that those who are genuine
[00:16:32.680 --> 00:16:34.680]   among you may be recognized.
[00:16:34.680 --> 00:16:35.520]   - Gotcha.
[00:16:35.520 --> 00:16:40.520]   - And so, I mean I think he's saying
[00:16:40.520 --> 00:16:48.760]   that the church is a mixture of people who are genuine
[00:16:48.760 --> 00:16:52.440]   and people who are not genuine, the weak and the terror.
[00:16:52.440 --> 00:16:56.760]   And there has to be a separation,
[00:16:56.760 --> 00:16:59.160]   there'll still be some mixture until the end,
[00:16:59.160 --> 00:17:02.520]   but there will be divisions that separate some of them.
[00:17:02.520 --> 00:17:04.480]   - Right, okay.
[00:17:04.480 --> 00:17:06.400]   Okay, good.
[00:17:06.400 --> 00:17:10.800]   So David is focusing on the second part of the verse
[00:17:10.800 --> 00:17:14.160]   to help us interpret the verse appropriately, right?
[00:17:14.160 --> 00:17:16.080]   So, which is a good practice to,
[00:17:16.080 --> 00:17:19.220]   so sometimes certain things help us to understand it
[00:17:19.220 --> 00:17:20.920]   because of what it says.
[00:17:20.920 --> 00:17:22.920]   So yeah, I agree in the sense that
[00:17:22.920 --> 00:17:25.960]   that latter half of the verse tells you a purpose
[00:17:25.960 --> 00:17:27.440]   of why he's saying that statement of,
[00:17:27.440 --> 00:17:29.360]   hey, there must be divisions.
[00:17:29.360 --> 00:17:32.040]   And if you read it again and again,
[00:17:32.040 --> 00:17:34.760]   it's kind of hard to tell if you just think of like,
[00:17:34.760 --> 00:17:37.060]   I wonder how he's saying these things,
[00:17:37.060 --> 00:17:40.800]   but if you focus on the purpose, I agree.
[00:17:40.800 --> 00:17:43.520]   That this passage is not saying like,
[00:17:43.520 --> 00:17:45.560]   hey, what can we do, or like,
[00:17:45.560 --> 00:17:47.360]   so what I'm saying is,
[00:17:47.360 --> 00:17:49.800]   I kind of don't like the NIV translation of that.
[00:17:49.800 --> 00:17:52.000]   It's like, hey, no doubt, of course, you know?
[00:17:52.000 --> 00:17:53.840]   I think more so along the lines,
[00:17:53.840 --> 00:17:58.840]   it is this idea that in a church that's striving for unity,
[00:18:00.560 --> 00:18:03.840]   there is still going to be division, okay?
[00:18:03.840 --> 00:18:06.880]   And so, let's talk about that a little bit,
[00:18:06.880 --> 00:18:08.240]   and let's think about that.
[00:18:08.240 --> 00:18:10.600]   And I'm not sure if I'm doing the best job
[00:18:10.600 --> 00:18:12.160]   explaining this, okay?
[00:18:12.160 --> 00:18:15.920]   Church should be united,
[00:18:15.920 --> 00:18:19.520]   and the fact that there is division is bad, okay?
[00:18:19.520 --> 00:18:21.240]   But then the statement we have is,
[00:18:21.240 --> 00:18:23.840]   there is division, there must be.
[00:18:23.840 --> 00:18:25.240]   And then there is a greater purpose
[00:18:25.240 --> 00:18:27.840]   that God uses that vision, the division,
