
[00:00:00.000 --> 00:00:09.200]   All right, let's start.
[00:03:59.880 --> 00:04:04.100]   It is limited to those who do not have the seal of God on them, meaning that Christians
[00:04:04.100 --> 00:04:06.280]   are covered during this period, right?
[00:04:06.280 --> 00:04:11.840]   I don't believe that they are raptured, but it's going to come upon the unbelievers, and
[00:04:11.840 --> 00:04:15.220]   it's going to be, again, intense torment.
[00:04:15.220 --> 00:04:21.360]   The second woe is going to come with a demonic army riding horses, a 200 million mounted
[00:04:21.360 --> 00:04:25.600]   troops, which will ultimately wipe a third of the unrepentant humanity.
[00:04:25.600 --> 00:04:31.600]   So again, if the first woe is tormenting the people even actually seeking death, the second
[00:04:31.600 --> 00:04:39.520]   woe that's coming, the sixth trumpet, is actually going to bring a third of humanity to a stop.
[00:04:39.520 --> 00:04:43.120]   They're actually going to be terminated.
[00:04:43.120 --> 00:04:46.240]   So again, it kind of gives you an outline of the severity of the judgment that we're
[00:04:46.240 --> 00:04:52.160]   looking at.
[00:04:52.160 --> 00:05:00.760]   So the fifth trumpet, the first woe, it says in verse 9-1, "The fallen star in 9-1, right?
[00:05:00.760 --> 00:05:05.000]   A fifth angel blew his trumpet, and I saw a star fallen from heaven to earth, and he
[00:05:05.000 --> 00:05:09.360]   was given the key to the shaft of the bottomless pit."
[00:05:09.360 --> 00:05:12.000]   Who is this angel that's falling?
[00:05:12.000 --> 00:05:18.400]   Is it a person or is it a thing?
[00:05:18.400 --> 00:05:22.000]   It's clearly different than the fallen angel that we see in chapter 8, verse 10, because
[00:05:22.000 --> 00:05:28.400]   chapter 8, verse 10, the angel falls and what happens?
[00:05:28.400 --> 00:05:30.120]   The water is contaminated.
[00:05:30.120 --> 00:05:37.160]   So it seems like, at least the way it's described in chapter 8, verse 10, that it's a mass of
[00:05:37.160 --> 00:05:42.200]   molten material that falls on the water and contaminates, it's undrinkable.
[00:05:42.200 --> 00:05:45.720]   So it doesn't seem like it's some kind of a being, but some kind of a star, maybe an
[00:05:45.720 --> 00:05:51.920]   asteroid, maybe a nuclear fallout, we don't know exactly what it is, but it's described
[00:05:51.920 --> 00:05:56.320]   as a star falling.
[00:05:56.320 --> 00:06:01.720]   But in 9-1, it seems to represent a person or a being because a key is given to this
[00:06:01.720 --> 00:06:08.320]   being, and this being basically initiates this judgment by opening up the – I use
[00:06:08.320 --> 00:06:11.440]   the word "abyss" because some of your translation has the word "abyss."
[00:06:11.440 --> 00:06:14.960]   The ESV, I think, uses the word "bottomless pit," but again, the significance, the meaning
[00:06:14.960 --> 00:06:17.240]   is the same.
[00:06:17.240 --> 00:06:21.920]   Now before we go any further in describing the abyss, the abyss that is being described
[00:06:21.920 --> 00:06:24.120]   here is not hell.
[00:06:24.120 --> 00:06:25.120]   It is not hell.
[00:06:25.120 --> 00:06:28.140]   It is not a permanent place of torment.
[00:06:28.140 --> 00:06:33.920]   This is, again, different people have different ideas of what this may be, but clearly it
[00:06:33.920 --> 00:06:40.760]   is a place, a holding place of possibly demonic beings that they're being released for a
[00:06:40.760 --> 00:06:44.080]   period of time to accomplish God's purpose.
[00:06:44.080 --> 00:06:48.640]   And then when that period is done, at the very end, at the White Throne Judgment, they
[00:06:48.640 --> 00:06:52.320]   will be bound for, again, before the White Throne Judgment, it says they will be bound
[00:06:52.320 --> 00:06:58.320]   for a thousand years, possibly back in the abyss, and then when they are finally judged,
[00:06:58.320 --> 00:07:00.160]   they will go into Gehenna.
[00:07:00.160 --> 00:07:01.160]   Okay?
[00:07:01.160 --> 00:07:02.320]   And that will be hell.
[00:07:02.320 --> 00:07:04.760]   So what we're seeing here is not hell.
[00:07:04.760 --> 00:07:08.320]   They didn't – they weren't captured in hell, and then for a period released, and then they
[00:07:08.320 --> 00:07:11.120]   go back to hell, and then they come back, and then they go back.
[00:07:11.120 --> 00:07:12.120]   Okay?
[00:07:12.120 --> 00:07:13.480]   So the abyss is different than Gehenna.
[00:07:13.480 --> 00:07:17.680]   It is different than hell, just for your information.
[00:07:17.680 --> 00:07:20.320]   Now who is this 9/1, this fallen angel?
[00:07:20.320 --> 00:07:25.840]   Again, it doesn't describe here, but just kind of putting two and two together, again,
[00:07:25.840 --> 00:07:28.960]   different people, depending on how you approach the book of Revelation, will have different
[00:07:28.960 --> 00:07:30.840]   opinions about this.
[00:07:30.840 --> 00:07:34.960]   But I think we talked about this before, especially when we studied through Isaiah.
[00:07:34.960 --> 00:07:38.160]   Remember Isaiah, chapter 14, 12 through 21?
[00:07:38.160 --> 00:07:39.160]   Okay?
[00:07:39.160 --> 00:07:41.400]   Why don't we turn our Bibles there?
[00:07:41.400 --> 00:07:43.360]   I'm not going to read the whole thing, but at least a portion of it.
[00:07:43.360 --> 00:07:46.880]   Isaiah chapter 14, 12 through 21.
[00:07:46.880 --> 00:07:47.920]   Okay?
[00:07:47.920 --> 00:07:54.400]   Turn your Bibles to Isaiah chapter 14.
[00:07:54.400 --> 00:07:59.720]   Now some of you guys who are A students, how many of you remember the context of Isaiah
[00:07:59.720 --> 00:08:01.720]   chapter 14?
[00:08:01.720 --> 00:08:03.720]   Who is this in reference to?
[00:08:03.720 --> 00:08:04.720]   What nation?
[00:08:04.720 --> 00:08:05.720]   Anybody remember?
[00:08:05.720 --> 00:08:15.200]   I know some of you guys were in the book of Isaiah.
[00:08:15.200 --> 00:08:19.480]   What kingdom?
[00:08:19.480 --> 00:08:24.960]   Starts with a B. Okay, Babylon, right?
[00:08:24.960 --> 00:08:29.900]   So chapter 14 is a judgment against Babylon, their hardiness, their arrogance.
[00:08:29.900 --> 00:08:37.320]   And so some think that chapter 14, 12 to 21, again, in the immediate context is talking
[00:08:37.320 --> 00:08:41.740]   about Nebuchadnezzar, that in his arrogance, God's going to judge him and bring him down.
[00:08:41.740 --> 00:08:45.460]   But remember when we studied through this, starting from verse 12, that if you look at
[00:08:45.460 --> 00:08:49.220]   the language, there are certain things that are stated here that can't be talking about
[00:08:49.220 --> 00:08:51.540]   a finite human being.
[00:08:51.540 --> 00:08:55.500]   How are you fallen from heaven, O day star, son of dawn?
[00:08:55.500 --> 00:08:58.500]   How you are cut down to the ground, you who laid the nations low.
[00:08:58.500 --> 00:09:01.900]   You said in your heart, I will ascend to heaven above the stars of God.
[00:09:01.900 --> 00:09:03.220]   I will set my throne on high.
[00:09:03.220 --> 00:09:06.500]   I will sit on the Mount of Assembly in the far reaches of the north.
[00:09:06.500 --> 00:09:09.100]   I will ascend above the heights of the clouds.
[00:09:09.100 --> 00:09:13.060]   I will make myself the most high, but you are brought down to Sheol, to the far reaches
[00:09:13.060 --> 00:09:14.060]   of the pit.
[00:09:14.060 --> 00:09:15.140]   And he goes on and on.
[00:09:15.140 --> 00:09:19.300]   So many believe that this is in reference to the fall of Satan.
[00:09:19.300 --> 00:09:24.100]   So possibly that the text that we're looking at in chapter 9, verse 1 is describing of
[00:09:24.100 --> 00:09:25.620]   the fall of Satan.
[00:09:25.620 --> 00:09:31.220]   Again, in Luke chapter 10, 18, after Jesus sends out the disciples and they come back
[00:09:31.220 --> 00:09:33.460]   and they say, you know, we couldn't cast out the demons.
[00:09:33.460 --> 00:09:38.540]   And in that context, again, Jesus says to them, I saw Satan fall like lightning from
[00:09:38.540 --> 00:09:39.540]   heaven.
[00:09:39.540 --> 00:09:43.100]   Again, in reference to Satanic fall as he's being kicked out of heaven.
[00:09:43.100 --> 00:09:46.420]   Again, the description that we see here in Isaiah.
[00:09:46.420 --> 00:09:52.340]   And again, in Revelation chapter 12, verse 4, it talks about how the dragon, as he is
[00:09:52.340 --> 00:09:55.700]   again being kicked out of heaven, he drags a third of the angels with him.
[00:09:55.700 --> 00:10:02.300]   And this is why the common belief that a third of heaven, a third of all the created angels,
[00:10:02.300 --> 00:10:04.540]   they fell along with Satan.
[00:10:04.540 --> 00:10:06.700]   Meaning that Satan was that powerful.
[00:10:06.700 --> 00:10:10.260]   He was the chief of the angels.
[00:10:10.260 --> 00:10:14.500]   Who's the chief of the angels now?
[00:10:14.500 --> 00:10:15.980]   We talked about that last week.
[00:10:15.980 --> 00:10:21.340]   We have Gabriel and Michael, Archangel Michael, right?
[00:10:21.340 --> 00:10:25.700]   So Archangel Michael is the chief of the angels, but even Archangel Michael in the book of
[00:10:25.700 --> 00:10:31.220]   Jude says that he doesn't directly disrespect Satan because of his power.
[00:10:31.220 --> 00:10:33.380]   And he says, but the Lord rebuke you, right?
[00:10:33.380 --> 00:10:37.740]   And he cautions the church not to challenge him directly because we don't have that kind
[00:10:37.740 --> 00:10:39.020]   of power.
[00:10:39.020 --> 00:10:43.000]   So in other words, he describes where that this is a very powerful being.
[00:10:43.000 --> 00:10:48.980]   So in creation before the fall, Satan sat above Archangel Michael, right?
[00:10:48.980 --> 00:10:50.740]   So that's how powerful he is.
[00:10:50.740 --> 00:10:54.480]   So when he fell, a third of the angels fell down with him.
[00:10:54.480 --> 00:11:01.180]   So in chapter, again, going back to Revelation chapter 9, verse 1, okay?
[00:11:01.180 --> 00:11:05.160]   If you're not there, go back to chapter 9, verse 1.
[00:11:05.160 --> 00:11:10.420]   So the beginning of the fifth or the fourth trumpet or the fifth trumpet, star fallen
[00:11:10.420 --> 00:11:14.700]   from heaven to earth, and he was given the key to the shaft of the bottomless pit.
[00:11:14.700 --> 00:11:18.980]   Now we don't know exactly who gave it to him, but considering that he is Satan, it's probably
[00:11:18.980 --> 00:11:22.780]   some, either the Lord himself, right?
[00:11:22.780 --> 00:11:29.220]   Either the Lord himself, Jesus himself, or in a messenger from God is giving him permission
[00:11:29.220 --> 00:11:31.500]   to do this, right?
[00:11:31.500 --> 00:11:36.280]   So it's not like this conflict between God and Satan and we're going to try to figure
[00:11:36.280 --> 00:11:37.580]   out who wins.
[00:11:37.580 --> 00:11:42.080]   Even the Satanic work that is revealed in the book of Revelation is within the context
[00:11:42.080 --> 00:11:44.720]   of God's sovereignty, right?
[00:11:44.720 --> 00:11:52.360]   God is giving him permission to carry this out.
[00:11:52.360 --> 00:11:56.740]   So the first of the three woes, they seem very similar.
[00:11:56.740 --> 00:11:59.800]   If you've read through the book of Joel, and I think I mentioned this maybe last week
[00:11:59.800 --> 00:12:07.220]   or the week before, the book of Joel is a judgment that is proclaimed upon a nation
[00:12:07.220 --> 00:12:09.020]   of Israel before the fall.
[00:12:09.020 --> 00:12:16.040]   I mean, the Babylonians, they come in, they march against Israel, the southern kingdom,
[00:12:16.040 --> 00:12:20.100]   and before they fall, Joel is sent basically saying, "Because of your idolatry, God is
[00:12:20.100 --> 00:12:22.640]   going to judge you."
[00:12:22.640 --> 00:12:26.660]   So if you look at the language of the book of Joel of the locust judgment, you're going
[00:12:26.660 --> 00:12:30.640]   to see that there's a lot of languages very similar to what he mentions here because the
[00:12:30.640 --> 00:12:36.800]   book of Joel, we're going to review, if you've ever studied through the minor prophets, you'll
[00:12:36.800 --> 00:12:41.440]   know that the book of Joel has one of the most intense judgments recorded.
[00:12:41.440 --> 00:12:48.180]   Some of the judgments recorded in Amos, in Isaiah, in some of the other prophets, I mean,
[00:12:48.180 --> 00:12:49.360]   they have bits and pieces of it.
[00:12:49.360 --> 00:12:54.800]   The book of Joel from chapter one to the end, it's about the intensity of this judgment
[00:12:54.800 --> 00:12:59.120]   that keeps increasing, and that's what we're seeing here with this fourth judgment.
[00:12:59.120 --> 00:13:02.460]   We're only about halfway through, right?
[00:13:02.460 --> 00:13:09.340]   But the most intense judgment described in the book of Joel is only halfway, meaning
[00:13:09.340 --> 00:13:14.420]   he's going to get even greater than this, and I'm going to give you some example.
[00:13:14.420 --> 00:13:17.340]   So just to kind of give you a background of the book of Joel because it relates to what
[00:13:17.340 --> 00:13:23.220]   we're looking at, Israelites at this particular time in their history, before the fall, before
[00:13:23.220 --> 00:13:28.260]   the Babylonians come and take them, they were eagerly waiting for the day of the Lord.
[00:13:28.260 --> 00:13:31.380]   And they knew that the day of the Lord was going to be a day that he was going to come
[00:13:31.380 --> 00:13:37.900]   and judge, but they just assumed that the judgment was going to be against their enemies,
[00:13:37.900 --> 00:13:42.380]   whether it was the Babylonians or the Assyrians or whoever was at the superpower.
[00:13:42.380 --> 00:13:47.340]   So they were praying and waiting and begging the Lord for the day of the Lord.
[00:13:47.340 --> 00:13:50.980]   But when Joel finally shows up saying the day of the Lord is going to come, he says,
[00:13:50.980 --> 00:13:56.300]   "You're not going to escape this judgment either, that all who disobeyed, all who strayed
[00:13:56.300 --> 00:14:03.660]   from God, you're not going to be saved because you were born under a certain line."
[00:14:03.660 --> 00:14:07.660]   So Joel comes in and he warns them, "The day of the Lord is going to come, but he's not
[00:14:07.660 --> 00:14:08.780]   going to come to deliver you.
[00:14:08.780 --> 00:14:10.020]   He's actually going to come to judge you."
[00:14:10.020 --> 00:14:13.340]   And that's what we see in the book of Revelation.
[00:14:13.340 --> 00:14:18.340]   Those who have the mark of the Lord will be saved, but even within the Jewish community,
[00:14:18.340 --> 00:14:24.340]   even within the church, remember he starts out the first two chapters of Revelation,
[00:14:24.340 --> 00:14:26.300]   he basically indicts the church.
[00:14:26.300 --> 00:14:31.140]   And he's talking to people who may assume to be Christians, but he's saying then, "But
[00:14:31.140 --> 00:14:35.700]   those who overcome, those who conquer."
[00:14:35.700 --> 00:14:36.700]   Within the church.
[00:14:37.540 --> 00:14:41.260]   He doesn't just say, "All these churches have some problems that you need to fix."
[00:14:41.260 --> 00:14:44.940]   And he points out all of these things that they're guilty of and he says, "Only those
[00:14:44.940 --> 00:14:50.620]   who conquer, only those who persevere, only those who open the door and repent," he said,
[00:14:50.620 --> 00:14:52.340]   "they shall be saved."
[00:14:52.340 --> 00:14:56.340]   So the day of the Lord is being revealed, but this day of the Lord is going to come
[00:14:56.340 --> 00:14:59.720]   and it's going to surprise a lot of people.
[00:14:59.720 --> 00:15:05.020]   Some people who thought that they were safe may find out that that wasn't the case.
[00:15:05.020 --> 00:15:09.900]   And so that's the background behind the book of Joel.
[00:15:09.900 --> 00:15:13.620]   Again Joel comes, declares the day of the Lord will not only bring judgment upon Israel's
[00:15:13.620 --> 00:15:17.900]   enemies but also upon Israel themselves.
[00:15:17.900 --> 00:15:22.020]   So I want to show you just to kind of some of the language that's very similar to the
[00:15:22.020 --> 00:15:25.540]   book of Revelation and the book of Joel.
[00:15:25.540 --> 00:15:30.120]   So one, Joel chapter 2, 1, it begins, or at least a part of it, it says, "Blow the trumpet
[00:15:30.120 --> 00:15:31.120]   in Zion."
[00:15:31.120 --> 00:15:34.720]   So we had some discussion last week as to the meaning of the trumpets.
[00:15:34.720 --> 00:15:41.420]   You know how it was used to gather people to beginning of the year, various ceremonies.
[00:15:41.420 --> 00:15:45.980]   But if you look at book of Joel chapter 2, 1, "Blow the trumpet in Zion, sound the alarm
[00:15:45.980 --> 00:15:46.980]   on my holy mountain.
[00:15:46.980 --> 00:15:50.700]   Let all the inhabitants of the land tremble for the day of the Lord is coming.
[00:15:50.700 --> 00:15:55.620]   It is near a day of darkness and gloom, a day of clouds and thick darkness."
[00:15:55.620 --> 00:16:01.780]   So again if you read through or studied through chapter 9 before you came, you already know
[00:16:01.780 --> 00:16:06.480]   that the language of "blow the trumpet" and how that's going to bring trembling and darkness
[00:16:06.480 --> 00:16:09.560]   is going to, darkness and gloom is coming.
[00:16:09.560 --> 00:16:21.800]   Again it's a very similar language to what we see here, right, in chapter 9.
[00:16:21.800 --> 00:16:24.740]   We see the escalation of this judgment.
[00:16:24.740 --> 00:16:29.960]   So if you look at Joel chapter 1, verse 4, "What the cutting locust left, the swarming
[00:16:29.960 --> 00:16:34.920]   locust has eaten; what the swarming locust left, the hopping locust has eaten; and what
[00:16:34.920 --> 00:16:38.360]   the hopping locust left, the destroying locust has eaten."
[00:16:38.360 --> 00:16:41.120]   What is the point of this?
[00:16:41.120 --> 00:16:44.480]   What is the point that he's trying to make?
[00:16:44.480 --> 00:16:46.920]   It's going to be thorough, right?
[00:16:46.920 --> 00:16:47.920]   It's thorough.
[00:16:47.920 --> 00:16:51.240]   So that's, up to this point, isn't that what we've been seeing?
[00:16:51.240 --> 00:16:54.160]   Like he would bring judgment upon the land and then he would bring judgment upon the
[00:16:54.160 --> 00:16:58.660]   mountains, he would bring judgment upon the sky, he's bringing judgment upon the sea.
[00:16:58.660 --> 00:17:01.980]   And then the wolves are going to bring judgment in torment.
[00:17:01.980 --> 00:17:08.000]   And then the second, the fifth judgment is going to bring judgment upon man directly,
[00:17:08.000 --> 00:17:09.180]   right?
[00:17:09.180 --> 00:17:11.580]   And so it's kind of escalation.
[00:17:11.580 --> 00:17:15.620]   That this judgment isn't going to just bypass just anybody.
[00:17:15.620 --> 00:17:18.460]   It's going to be a thorough judgment.
[00:17:18.460 --> 00:17:22.940]   There's not going to be left any judgment for the future.
[00:17:22.940 --> 00:17:24.940]   Remember how Jesus says that?
[00:17:24.940 --> 00:17:31.940]   He comes in the New Testament, he says that he left certain things unpunished, right?
[00:17:31.940 --> 00:17:36.340]   The wrath of God is being stored up, the language in the New Testament.
[00:17:36.340 --> 00:17:41.060]   Well, when we get to the day of the Lord, there's nothing being stored up anymore.
[00:17:41.060 --> 00:17:47.460]   That it's finally going to be unleashed and it's going to be absolutely thorough.
[00:17:47.460 --> 00:17:52.540]   Even the description of the locust itself is very similar to chapter 9, 7 through 11
[00:17:52.540 --> 00:17:53.540]   or so.
[00:17:53.540 --> 00:17:56.340]   Let me read it real quick.
[00:17:56.340 --> 00:18:01.660]   In appearance, the locusts were like horses prepared for battle on their heads and were
[00:18:01.660 --> 00:18:03.420]   what looked like crowns of gold.
[00:18:03.420 --> 00:18:07.780]   Their faces were like human faces, their hair like women's hair and their teeth like lion's
[00:18:07.780 --> 00:18:08.780]   teeth.
[00:18:08.780 --> 00:18:12.580]   They had breastplates like breastplates of iron and the noise of their wings was like
[00:18:12.580 --> 00:18:16.300]   the noise of many chariots with horses rushing into battle.
[00:18:16.300 --> 00:18:20.220]   They have tails and stings like scorpions and their power to hurt people for five months
[00:18:20.220 --> 00:18:21.620]   is in their tails.
[00:18:21.620 --> 00:18:25.140]   They have as kings over them an angel with a bottomless pit.
[00:18:25.140 --> 00:18:34.260]   His name in Hebrew is Abaddon and in Greek he is called Apollonion or however that is
[00:18:34.260 --> 00:18:36.700]   pronounced.
[00:18:36.700 --> 00:18:43.980]   So if you look at the description of the satanic or demonic army that he is unleashing upon
[00:18:43.980 --> 00:18:48.740]   mankind, again in Joel chapter 6, 1, "The nation has come upon you against my…"
[00:18:48.740 --> 00:18:52.140]   Again, this is talking about the locust army, "powerful and beyond number.
[00:18:52.140 --> 00:18:54.380]   Its teeth are like lion's teeth."
[00:18:54.380 --> 00:18:56.700]   Remember reading that right there?
[00:18:56.700 --> 00:19:00.340]   And it has fangs of a lioness.
[00:19:00.340 --> 00:19:02.460]   Their appearance is like the appearance of horses.
[00:19:02.460 --> 00:19:04.420]   So all of this is right here.
[00:19:04.420 --> 00:19:07.180]   And like war horses, they run as with the rumbling of chariots.
[00:19:07.180 --> 00:19:11.880]   They leap on the top of the mountains like the crackling of the flame and all of this.
[00:19:11.880 --> 00:19:18.100]   So again, the prophet Joel was specifically in historical context talking to the nation
[00:19:18.100 --> 00:19:21.900]   of Israel about the Babylonians coming and conquering.
[00:19:21.900 --> 00:19:28.060]   But remember when we studied about Isaiah, that there is always threefold application
[00:19:28.060 --> 00:19:30.160]   of much of these prophecies.
[00:19:30.160 --> 00:19:34.900]   One is the immediate historical context, which at that time was the Babylonians about to
[00:19:34.900 --> 00:19:35.900]   come in.
[00:19:35.900 --> 00:19:40.220]   There is always a Christological fulfillment, meaning when Christ comes that he is going
[00:19:40.220 --> 00:19:42.520]   to partially fulfill some of these things.
[00:19:42.520 --> 00:19:46.700]   And then the ultimate fulfillment is at the day of the Lord.
[00:19:46.700 --> 00:19:52.020]   So we see the exact same language that was used about Babylon is now being used about
[00:19:52.020 --> 00:19:53.460]   the end times when he comes.
[00:19:53.460 --> 00:19:57.540]   So the purpose of all of this language is the intensity and the thoroughness.
[00:19:57.540 --> 00:20:00.740]   Now we can go in here and study like what does the woman's hair mean?
[00:20:00.740 --> 00:20:02.540]   What does the lioness teeth mean?
[00:20:02.540 --> 00:20:07.180]   And we can go through all of that and just kind of guess.
[00:20:07.180 --> 00:20:12.380]   Everybody has different educated guess behind what the meaning behind all of this.
[00:20:12.380 --> 00:20:17.660]   But the overall arching meaning behind all of this is the intensity, the escalation,
[00:20:17.660 --> 00:20:24.540]   the thoroughness of the judgment that's coming upon mankind.
[00:20:24.540 --> 00:20:32.060]   So the locust army is released and given the power of the scorpions, but he specifically
[00:20:32.060 --> 00:20:35.020]   limits them saying, "but not to kill."
[00:20:35.020 --> 00:20:37.140]   But to torment, but not to kill.
[00:20:37.140 --> 00:20:43.660]   And the reason behind that ultimately is to give them opportunity to repent.
[00:20:43.660 --> 00:20:48.460]   And again, that's exactly the language that we see in the book of Joel.
[00:20:48.460 --> 00:20:53.140]   As intense as the judgment is, he says the judgment is coming upon Israel in order that
[00:20:53.140 --> 00:20:54.140]   they would repent.
[00:20:54.140 --> 00:20:57.980]   So let me just put this up there first.
[00:20:57.980 --> 00:21:05.260]   So the limitation that the Lord makes on this demonic army is that they are there to torture,
[00:21:05.260 --> 00:21:11.940]   but it's limited to five months and ultimately not to kill.
[00:21:11.940 --> 00:21:19.660]   The book of Joel says in 1 5, "Awake you drunkards and weep and wail, all you drinkers of wine,
[00:21:19.660 --> 00:21:21.940]   because of the sweet wine for it is cut off from your mouth."
[00:21:21.940 --> 00:21:28.100]   In other words, the point of Joel's intense prophecy is that through the judgment, through
[00:21:28.100 --> 00:21:33.020]   the warning, that they would wake up and repent.
[00:21:33.020 --> 00:21:38.180]   And that's the same motive here, that up to this point, again, this is not hell.
[00:21:38.180 --> 00:21:39.980]   People are not being sent to hell, right?
[00:21:39.980 --> 00:21:42.860]   Or at least the ones who survive.
[00:21:42.860 --> 00:21:45.940]   The goal of this is ultimately to bring them to repentance.
[00:21:45.940 --> 00:21:49.900]   Joel 1 14, "Consecrate a fast, call a solemn assembly."
[00:21:49.900 --> 00:21:57.180]   And then he says in Joel 2 12-14, "Yet even now, even after all of this, declares the
[00:21:57.180 --> 00:22:01.540]   Lord, return to me with all your heart, with fasting, with weeping, with mourning.
[00:22:01.540 --> 00:22:05.540]   Then your hearts and not your garments return to the Lord your God, for he is gracious and
[00:22:05.540 --> 00:22:11.100]   merciful, slow to anger and abounding in steadfast love, and he relents over disaster.
[00:22:11.100 --> 00:22:14.940]   Who knows whether he will not turn and relent and leave a blessing behind him, a grain of
[00:22:14.940 --> 00:22:20.420]   offering and a drink offering for the Lord your God."
[00:22:20.420 --> 00:22:25.420]   So even through all of this, even through all the tormenting and all the disasters,
[00:22:25.420 --> 00:22:31.980]   he's still trying to bring people to repentance, ultimately.
[00:22:31.980 --> 00:22:36.180]   I remember when I was, again, when we visit India, we're talking to the Indian pastors
[00:22:36.180 --> 00:22:40.700]   and we're talking about the persecution in India, how it's rising.
[00:22:40.700 --> 00:22:45.140]   And I asked them, "So how is this affecting you guys and how is it affecting the churches?"
