
[00:00:00.000 --> 00:00:06.000]   [ Inaudible ]
[00:02:58.000 --> 00:03:04.000]   The cream of the crop, all the guys, the cream of the crop and our sisters would get together.
[00:03:04.000 --> 00:03:06.000]   And so we were there from the very beginning, like I said.
[00:03:06.000 --> 00:03:12.000]   I think Pastor Aaron wouldn't be able to do what he's doing without the support of his godly wife.
[00:03:12.000 --> 00:03:16.000]   So if you haven't seen her, Tina is in the back with her children.
[00:03:16.000 --> 00:03:18.000]   Pastor Aaron is somebody that I've known.
[00:03:18.000 --> 00:03:22.000]   I met his parents before I met him when I was a youth pastor.
[00:03:22.000 --> 00:03:26.000]   He was a third or fourth grade, and I don't even remember his face.
[00:03:26.000 --> 00:03:32.000]   I just heard of his name because I was the English education director at the time.
[00:03:32.000 --> 00:03:36.000]   And the Sunday school teacher actually mentioned it to me that there was a rascal in the room
[00:03:36.000 --> 00:03:40.000]   that was causing all kinds of trouble, that his name came up.
[00:03:40.000 --> 00:03:42.000]   So I knew his name. I didn't know his face.
[00:03:42.000 --> 00:03:44.000]   And then I disappeared from the church for about a year.
[00:03:44.000 --> 00:03:48.000]   I was in another church. I came back in 1997.
[00:03:48.000 --> 00:03:54.000]   And then our youth pastor at the time told me that Pastor Aaron, who was a student at the time,
[00:03:54.000 --> 00:03:56.000]   was actually one of the student leaders.
[00:03:56.000 --> 00:03:58.000]   And I remember the name very vaguely.
[00:03:58.000 --> 00:04:02.000]   It couldn't be that Aaron that I remember from third grade.
[00:04:02.000 --> 00:04:06.000]   And he said, "Sure enough." He said that Aaron became a student leader,
[00:04:06.000 --> 00:04:08.000]   and he was the only student leader in high school.
[00:04:08.000 --> 00:04:12.000]   So ever since then, we took notice that he eventually went to college.
[00:04:12.000 --> 00:04:18.000]   And I think most of us would say that one of his primary gifts is in leadership.
[00:04:18.000 --> 00:04:22.000]   And we saw that even since he was young, even among his friends.
[00:04:22.000 --> 00:04:32.000]   He went to UCSD, and he became the AEM, which is basically the student leader of that group.
[00:04:32.000 --> 00:04:40.000]   And I remember very vividly one of the things that he said to me when he graduated college.
[00:04:40.000 --> 00:04:42.000]   You may not remember.
[00:04:42.000 --> 00:04:47.000]   But after college, he came to me, and he was obviously finally coming home.
[00:04:47.000 --> 00:04:50.000]   And the whole time he was at UCSD, the majority of the time,
[00:04:50.000 --> 00:04:54.000]   he actually drove back home just to attend church.
[00:04:54.000 --> 00:04:58.000]   And at that time, our church was so small, and we had a lot of collegiates
[00:04:58.000 --> 00:05:00.000]   who were so committed to our church.
[00:05:00.000 --> 00:05:05.000]   In fact, a lot of their email names were "Brian Soldier," "Brian Honors,"
[00:05:05.000 --> 00:05:08.000]   and his email was "Brian Kid."
[00:05:08.000 --> 00:05:11.000]   So a lot of people thought that we were cultists because our college students
[00:05:11.000 --> 00:05:13.000]   were so committed to our church.
[00:05:13.000 --> 00:05:18.000]   And Councilor Aaron was equally committed, or even more committed at that time.
[00:05:18.000 --> 00:05:21.000]   So he would drive back home every weekend.
[00:05:21.000 --> 00:05:24.000]   And I remember when he graduated, one of the first things that he said to me,
[00:05:24.000 --> 00:05:28.000]   an encouragement, he said, "You know, because he was a leader on campus,
[00:05:28.000 --> 00:05:32.000]   he realized just how difficult it was to organize people and to satisfy."
[00:05:32.000 --> 00:05:36.000]   And a lot of people pointing out, "You should do this, you should do that."
[00:05:36.000 --> 00:05:39.000]   And I never prompted him, but one of the things that I remember,
[00:05:39.000 --> 00:05:43.000]   just straight out of college--so he was still very young--he came to me and he said,
[00:05:43.000 --> 00:05:48.000]   "I know what it's like to lead and how you're always looking for people."
[00:05:48.000 --> 00:05:52.000]   He said, "I'm going to make sure that without you telling me whatever lead there is,
[00:05:52.000 --> 00:05:54.000]   I'm going to set it."
[00:05:54.000 --> 00:05:56.000]   And I remember hearing that and being so encouraged.
[00:05:56.000 --> 00:06:00.000]   I thought, "This guy is straight out of college, and he's able to recognize that."
[00:06:00.000 --> 00:06:02.000]   And he was trying to encourage me.
[00:06:02.000 --> 00:06:04.000]   So that's one of the first things that I remember.
[00:06:04.000 --> 00:06:09.000]   The other thing that I remember was as an ADM, at the end of the senior year,
[00:06:09.000 --> 00:06:14.000]   he had to give a sermon at the end of his fourth year.
[00:06:14.000 --> 00:06:17.000]   And so we were kind of reviewing what he wanted to preach,
[00:06:17.000 --> 00:06:23.000]   and he came to me and he said he wanted to preach on the priesthood of Melchizedek in Christ,
[00:06:23.000 --> 00:06:26.000]   the king priesthood of Christ.
[00:06:26.000 --> 00:06:30.000]   I said, "You sure you want to make that your first sermon that you ever give?"
[00:06:30.000 --> 00:06:35.000]   And then he was telling me, he was like, "That's the sermon that he remembered me giving
[00:06:35.000 --> 00:06:37.000]   on the Book of Hebrews."
[00:06:37.000 --> 00:06:41.000]   And of all the things that I talked about, he said that's the thing that really stuck with him.
[00:06:41.000 --> 00:06:43.000]   And then I told him, "Oh, go prepare your sermon."
[00:06:43.000 --> 00:06:47.000]   He came out with a 14-page manuscript, and I remember telling him,
[00:06:47.000 --> 00:06:49.000]   "You're not going to be able to preach this."
[00:06:49.000 --> 00:06:51.000]   He said, "I'm going to try."
[00:06:51.000 --> 00:06:54.000]   And then he went and he preached, and I said, "How did it go?"
[00:06:54.000 --> 00:06:57.000]   He said, "Yeah, I couldn't preach it."
[00:06:57.000 --> 00:07:00.000]   I forgot how much he went through.
[00:07:00.000 --> 00:07:04.000]   You know, I tell you that story because even when he was young,
[00:07:04.000 --> 00:07:07.000]   he really had a heart for the deep things of God.
[00:07:07.000 --> 00:07:09.000]   And those are the things that attracted him.
[00:07:09.000 --> 00:07:13.000]   And ever since then, that's what he reads, that's what he teaches,
[00:07:13.000 --> 00:07:19.000]   and he really dives into these deep things of God, even to this day.
[00:07:19.000 --> 00:07:27.000]   He's been a great encouragement to me personally during periods of the roughest periods of our church early on.
[00:07:27.000 --> 00:07:30.000]   And yes or no, how many times I would come home and say,
[00:07:30.000 --> 00:07:36.000]   "Man, I thank God that Aaron is serving me because he was my right-hand man."
[00:07:36.000 --> 00:07:40.000]   And he went through all the difficult times in our church.
[00:07:40.000 --> 00:07:46.000]   When we were out trying to find facilities to rent, and we were only about 25, 30 people,
[00:07:46.000 --> 00:07:49.000]   he was probably the biggest proponent of our church.
[00:07:49.000 --> 00:07:52.000]   That's why so many people outside of our church thought it was a cult
[00:07:52.000 --> 00:07:55.000]   because they were speaking so highly of our church.
[00:07:55.000 --> 00:07:59.000]   And then when they would come and visit, it's like there's only 25 people here.
[00:07:59.000 --> 00:08:02.000]   They made it sound like it was a mega church outside the church.
[00:08:02.000 --> 00:08:04.000]   I mean, he was so excited.
[00:08:04.000 --> 00:08:08.000]   But again, Pastor Aaron, through those years, like many, many times,
[00:08:08.000 --> 00:08:12.000]   I've shared with him as much as I've shared with my wife.
[00:08:12.000 --> 00:08:14.000]   Maybe a bit too much.
[00:08:14.000 --> 00:08:16.000]   That's how much I leaned on him.
[00:08:16.000 --> 00:08:21.000]   So all the frustrations, anxieties, and struggles that I went through,
[00:08:21.000 --> 00:08:25.000]   even things that I would have held from Esther, I would tell him
[00:08:25.000 --> 00:08:31.000]   because I didn't want to poison Esther, but him, I thought it would be okay.
[00:08:31.000 --> 00:08:32.000]   So I wanted somebody.
[00:08:32.000 --> 00:08:37.000]   He told me, he's like, "Don't ever hold back because I want to know exactly what you're going through."
[00:08:37.000 --> 00:08:42.000]   Because he was also head of the TORC ministry, so I wanted him to see all the good and the bad,
[00:08:42.000 --> 00:08:44.000]   not only in the church but even in me.
[00:08:44.000 --> 00:08:46.000]   And so I shared with him everything.
[00:08:46.000 --> 00:08:49.000]   So he was my right-hand man in the earlier part of the church
[00:08:49.000 --> 00:08:54.000]   and was a source of huge encouragement to me.
[00:08:54.000 --> 00:08:56.000]   He was sent out to BMC about five years ago.
[00:08:56.000 --> 00:09:04.000]   They had their anniversary service, a fifth-year anniversary service.
[00:09:04.000 --> 00:09:10.000]   He took a small team out there and specifically targeted that area of San Francisco
[00:09:10.000 --> 00:09:12.000]   because they were lacking churches.
[00:09:12.000 --> 00:09:15.000]   In fact, our denomination, the Southern Baptists,
[00:09:15.000 --> 00:09:20.000]   has recognized San Francisco as one of the least churched areas in the country.
[00:09:20.000 --> 00:09:25.000]   So because of that, they're focused on trying to really recruit people to go and plant churches.
[00:09:25.000 --> 00:09:28.000]   The reason why that's the case is because they're not receptive.
[00:09:28.000 --> 00:09:33.000]   And so a lot of churches that get planted, they fold up in a year or less and they move out.
[00:09:33.000 --> 00:09:36.000]   And so less and less churches are coming into that area.
[00:09:36.000 --> 00:09:41.000]   Well, Pastor Aaron, knowing that that's one of the areas that needs to be targeted,
[00:09:41.000 --> 00:09:44.000]   and not only in San Francisco, Millbrae, in the middle of nowhere.
[00:09:44.000 --> 00:09:49.000]   So for those of you guys who don't know where Millbrae is, it's because of these boobies.
[00:09:49.000 --> 00:09:52.000]   At least even in San Francisco. It's not San Francisco, it's not San Jose.
[00:09:52.000 --> 00:09:54.000]   It's right in the middle.
[00:09:54.000 --> 00:09:57.000]   And this is not an area that people actually move into.
[00:09:57.000 --> 00:10:00.000]   This is an area that people move out from because it's too expensive.
[00:10:00.000 --> 00:10:03.000]   Well, that's why they planted a church. It's been five years.
[00:10:03.000 --> 00:10:09.000]   It's growing. Over 200-plus members who are coming into the church, and it's growing every day.
[00:10:09.000 --> 00:10:13.000]   And they're going through growing pains because of lack of space.
[00:10:13.000 --> 00:10:21.000]   And again, ultimately, God is using him and his wife and his team to be fruitful over there.
[00:10:21.000 --> 00:10:27.000]   But I think none of us here who've known him for as long as we have are surprised that he's being fruitful
[00:10:27.000 --> 00:10:30.000]   because he was very fruitful here before he left.
[00:10:30.000 --> 00:10:34.000]   And so when our church got to a point where we felt like it was time for us to plant a church,
[00:10:34.000 --> 00:10:38.000]   there was absolutely no question in our church who would be the best person to lead this team,
[00:10:38.000 --> 00:10:40.000]   and it was Pastor Aaron.
[00:10:40.000 --> 00:10:44.000]   So because of his leadership and because he was so fruitful and beloved in our church,
[00:10:44.000 --> 00:10:50.000]   it wasn't that hard to recruit people to go with him because he was pastoring and encouraging so many people already.
[00:10:50.000 --> 00:10:54.000]   So with that team, he got planted up there, and they're bearing much fruit.
[00:10:54.000 --> 00:10:58.000]   And so every time we turn around, as much as our church is growing,
[00:10:58.000 --> 00:11:03.000]   I think they're growing even faster than we are in percentage-wise.
[00:11:03.000 --> 00:11:06.000]   And so we're really encouraged to have him here.
[00:11:06.000 --> 00:11:14.000]   And like I said, our church, especially the earlier part of the church,
[00:11:14.000 --> 00:11:18.000]   for a large part of who we are was because of Pastor Aaron.
[00:11:18.000 --> 00:11:24.000]   Pastor Aaron had a huge impact, and many of you are here as a result of his ministry,
[00:11:24.000 --> 00:11:28.000]   those of you who were college students when he was ministering here, and even his peers.
[00:11:28.000 --> 00:11:32.000]   And so again, none of these things that I'm saying is exaggerated
[00:11:32.000 --> 00:11:35.000]   because everybody who's in this room knows exactly what I'm saying.
[00:11:35.000 --> 00:11:40.000]   And so obviously when he left to plant the church, it left a huge hole in our church.
[00:11:40.000 --> 00:11:46.000]   And we left it vacant on purpose because we didn't want to fill that with another pastor.
[00:11:46.000 --> 00:11:50.000]   We wanted to make sure that our church was able to fill in that gap.
[00:11:50.000 --> 00:11:55.000]   And I'm very encouraged that many of you stepped up,
[00:11:55.000 --> 00:11:59.000]   and as a result of the hole that was left with him and the team that left,
[00:11:59.000 --> 00:12:02.000]   that many of you are more involved in ministry and doing the work.
[00:12:02.000 --> 00:12:05.000]   But again, it's a testament to his role in our church
[00:12:05.000 --> 00:12:09.000]   because he made such a big impact in our church that it left a huge hole.
[00:12:09.000 --> 00:12:14.000]   And that's how it should be when somebody is that dedicated and that fruitful in the church
[00:12:14.000 --> 00:12:18.000]   that you shouldn't be able to just slip out and nobody notices.
[00:12:18.000 --> 00:12:22.000]   And so I could go on and on, but you're not here to hear me.
[00:12:22.000 --> 00:12:26.000]   I wanted to introduce Pastor Aaron because it is his first time,
[00:12:26.000 --> 00:12:29.000]   and he's not new to our church, but I know he's new to many of you,
[00:12:29.000 --> 00:12:33.000]   and so we want to make sure that you guys know who he is before he comes out.
[00:12:33.000 --> 00:12:34.000]   Okay?
[00:12:34.000 --> 00:12:36.000]   Let's welcome Pastor Aaron.
[00:12:36.000 --> 00:12:45.000]   [applause]
[00:12:45.000 --> 00:12:47.000]   All right.
[00:12:47.000 --> 00:12:50.000]   Well, it's good to be here.
[00:12:50.000 --> 00:12:54.000]   I don't like seeing him at retreats because I find them to be exhausting,
[00:12:54.000 --> 00:12:57.000]   but Pastor Peter asked me, and he's the only person I couldn't say no to,
[00:12:57.000 --> 00:12:59.000]   so I reluctantly agreed.
[00:12:59.000 --> 00:13:04.000]   But I am thankful to be here just to be able to reconnect with so many old friends.
[00:13:04.000 --> 00:13:06.000]   And even in the short time that we've been here so far,
[00:13:06.000 --> 00:13:08.000]   we've been able to meet a lot of new faces too,
[00:13:08.000 --> 00:13:13.000]   and so we're looking forward to doing that throughout the course of this weekend.
[00:13:13.000 --> 00:13:15.000]   Bad news is I'm not Pastor Ray Posse.
[00:13:15.000 --> 00:13:17.000]   I think you guys probably noticed that.
[00:13:17.000 --> 00:13:18.000]   [laughter]
[00:13:18.000 --> 00:13:19.000]   You guys are spoiled.
[00:13:19.000 --> 00:13:22.000]   Pastor Ray has come here at the retreat the last two summers.
[00:13:22.000 --> 00:13:24.000]   He's an excellent preacher.
[00:13:24.000 --> 00:13:28.000]   Pastor Ray is a real treat to listen to, I think.
[00:13:28.000 --> 00:13:30.000]   He's one of my favorite preachers.
[00:13:30.000 --> 00:13:34.000]   And I got texts from all these people, all my friends here at the church,
[00:13:34.000 --> 00:13:38.000]   as soon as they started announcing at BCC that I was going to be a retreat speaker,
[00:13:38.000 --> 00:13:41.000]   they would send me these little messages like, "Hey, don't disappoint us.
[00:13:41.000 --> 00:13:43.000]   You're falling out today."
[00:13:43.000 --> 00:13:44.000]   [laughter]
[00:13:44.000 --> 00:13:47.000]   "You're missing," and all this kind of stuff.
[00:13:47.000 --> 00:13:49.000]   Pastor Ray is like, "Who's Chris?"
[00:13:49.000 --> 00:13:51.000]   You know, he's a special treat.
[00:13:51.000 --> 00:13:53.000]   I'm like, "Hanera."
[00:13:53.000 --> 00:13:55.000]   [laughter]
[00:13:55.000 --> 00:13:57.000]   But you won't start, hopefully.
[00:13:57.000 --> 00:13:59.000]   [laughter]
[00:13:59.000 --> 00:14:02.000]   And that's going to be our goal for this weekend.
[00:14:02.000 --> 00:14:07.000]   So with that, let's go to the hour of our heads and ask for the Lord's blessing.
[00:14:07.000 --> 00:14:13.000]   Our Heavenly Father, we are so grateful to be here in the presence of your people this weekend
[00:14:13.000 --> 00:14:15.000]   for this retreat.
[00:14:15.000 --> 00:14:21.000]   We're grateful for your grace and your kindness and your love to us in Christ.
[00:14:21.000 --> 00:14:28.000]   We're thankful, Lord God, that in your mercy you extended your love out to us
[00:14:28.000 --> 00:14:32.000]   by allowing us to have a relationship with you.
[00:14:32.000 --> 00:14:38.000]   Father, as you send us weekend, thinking over what it means to be the church,
[00:14:38.000 --> 00:14:44.000]   that you would help us to be guided and directed in the right directions.
[00:14:44.000 --> 00:14:50.000]   Father, what we're doing here at Berean would not be an empty exercise,
[00:14:50.000 --> 00:14:56.000]   but one, Lord God, that really results in much fruit, much glory to be given.
[00:14:56.000 --> 00:15:01.000]   So with that, Lord, we pray that you would illumine our hearts and our minds this morning
[00:15:01.000 --> 00:15:03.000]   as we have the work of the Lord before us.
[00:15:03.000 --> 00:15:06.000]   We ask these things in Jesus' name. Amen.
[00:15:06.000 --> 00:15:15.000]   In the early months of 1940, not long after World War II began,
[00:15:15.000 --> 00:15:19.000]   Nazi soldiers began making their way throughout continental Europe
[00:15:19.000 --> 00:15:22.000]   with astonishing and devastating speed,
[00:15:22.000 --> 00:15:26.000]   destroying virtually everything and everyone in their path,
[00:15:26.000 --> 00:15:31.000]   hit their troops completely over all by Allied forces,
[00:15:31.000 --> 00:15:36.000]   pushing them all the way to the brink of France's northern coast.
[00:15:36.000 --> 00:15:41.000]   Thousands upon thousands of British, French, and Belgian soldiers
[00:15:41.000 --> 00:15:48.000]   found themselves cornered and trapped along the beaches of a port city called Dunkirk.
[00:15:48.000 --> 00:15:50.000]   And there they were stuck.
[00:15:50.000 --> 00:15:55.000]   In front of them stood the Nazis who continued their vicious onslaught,
[00:15:55.000 --> 00:15:59.000]   and behind them were the frigid waters of the English Channel.
[00:15:59.000 --> 00:16:03.000]   There was simply nowhere else for them to turn.
[00:16:03.000 --> 00:16:07.000]   So what would the Allies do next? Well, they elected to do something
[00:16:07.000 --> 00:16:11.000]   that might have seemed at first glance counterproductive,
[00:16:11.000 --> 00:16:15.000]   especially when you consider the fact that they were trying to win the war.
[00:16:15.000 --> 00:16:20.000]   Here's what they did. They decided to retreat.
[00:16:20.000 --> 00:16:28.000]   A full-scale sea evacuation code name, Operation Diamond, was initiated.
[00:16:28.000 --> 00:16:33.000]   And over the course of the next nine days, a rat-tag fleet consisting of
[00:16:33.000 --> 00:16:39.000]   British naval ships, merchant buses, ferries, paddle steamers,
[00:16:39.000 --> 00:16:42.000]   and privately owned fishing boats and yachts
[00:16:42.000 --> 00:16:47.000]   slowly began transporting Allied ships back to the English mainland.
[00:16:47.000 --> 00:16:54.000]   By the time this retreat was finished, over 300,000 soldiers had safely escaped,
[00:16:54.000 --> 00:17:00.000]   and many of those men would later play critical roles in the latter stages of the Second World War
[00:17:00.000 --> 00:17:04.000]   as Hitler and Nazi forces were eventually brought down and destroyed.
[00:17:04.000 --> 00:17:10.000]   And that's the reason why Operation Diamond is still widely regarded to this day
[00:17:10.000 --> 00:17:19.000]   as one of the most epic and successful retreats to have ever taken place in military history.
[00:17:19.000 --> 00:17:24.000]   Well, obviously I'm sharing that story with you guys because I think what happened at Dunkirk
[00:17:24.000 --> 00:17:32.000]   nearly 80 years ago serves as a fitting illustration of what we're trying to accomplish here this weekend at this retreat.
[00:17:32.000 --> 00:17:38.000]   This weekend, we have retreated. Retreated from the busyness of our home lives,
[00:17:38.000 --> 00:17:45.000]   of life in the office, of life at school, in a way that we might regroup as a church body.
[00:17:45.000 --> 00:17:53.000]   It's our hope and our prayer that by our retreating, that we have the opportunity to catch up with our spiritual youth
[00:17:53.000 --> 00:18:00.000]   so that we might be able to forge ahead and to do God's work once we return home.
[00:18:00.000 --> 00:18:04.000]   And the theme for this weekend's retreat is "Back to Basics."
[00:18:04.000 --> 00:18:10.000]   And I can think of nothing more basic to address with you than the fourfold vision of this church.
[00:18:10.000 --> 00:18:14.000]   Now I understand it's been a while since you guys actually reviewed the fourfold vision.
[00:18:14.000 --> 00:18:20.000]   In fact, I had a chance to look at your sermon archives online, and I think it's been about three and a half years.
[00:18:20.000 --> 00:18:23.000]   And so hopefully you guys are going to profit from hearing these messages,
[00:18:23.000 --> 00:18:27.000]   even if you've been a member at Berean for an extended period of time.
[00:18:27.000 --> 00:18:34.000]   The fourfold vision of Berean Community Church reads as follows, including what we have on the screen.
[00:18:34.000 --> 00:18:42.000]   Here at Berean, our vision is to glorify God by establishing a church that engages in God-centered worship and not man-centered.
[00:18:42.000 --> 00:18:48.000]   Number two, a church that equips every believer with God's inherent worth.
[00:18:48.000 --> 00:18:53.000]   Number three, a church that builds a community through love and accountability.
[00:18:53.000 --> 00:19:02.000]   And number four, a church that reaches out to its community globally and globally with the gospel of Jesus Christ.
[00:19:02.000 --> 00:19:06.000]   My family and I, we had a chance to go out to Hawaii for a wedding just a week ago.
[00:19:06.000 --> 00:19:10.000]   In fact, there are a handful of people here who are also at the wedding.
[00:19:10.000 --> 00:19:18.000]   And as we made our way back on the plane, every single seat was equipped with a television line.
[00:19:18.000 --> 00:19:24.000]   And of course, there's always that one channel on every plane that displays a virtual flight plan.
[00:19:24.000 --> 00:19:26.000]   I think you guys know what I'm talking about.
[00:19:26.000 --> 00:19:33.000]   It's that channel that displays all the different stats and data about your flight in real time.
[00:19:33.000 --> 00:19:44.000]   Altitude, speed, ETA, along with a map showing your city of origin, final destination, how much progress you've made so far on your trip.
[00:19:44.000 --> 00:19:50.000]   Well, I want you guys to think of Berea's fourfold vision as a flight plan for us.
[00:19:50.000 --> 00:20:01.000]   These four statements that you see posted on screen provide a summary of the direction and path that all of us are trying to head toward as a church body.
[00:20:01.000 --> 00:20:07.000]   They're the foundational truths which undergird and shape the ministry here at Berea.
[00:20:07.000 --> 00:20:21.000]   And I think reviewing them can help us to assess what we're doing, where we're going, and what kind of adjustments we need to make in order to reach our final destination of glorifying God.
[00:20:21.000 --> 00:20:29.000]   Reviewing the fourfold vision can also help us to combat our complexity to drift toward auto-life.
[00:20:29.000 --> 00:20:35.000]   As you guys know, any time you do something again and again and again, it becomes a matter of routine.
[00:20:35.000 --> 00:20:37.000]   And I don't think it's any different with church.
[00:20:37.000 --> 00:20:46.000]   You find yourself going to church Sunday after Sunday after Sunday, and before you know it, you will find yourself going through the motions.
[00:20:46.000 --> 00:20:49.000]   Sort of mindlessly and thoughtlessly.
[00:20:49.000 --> 00:20:59.000]   So then to counteract this prevailing habit of our hearts to default into cruise control, I'm hoping that reviewing the fourfold vision will be profitable.
[00:20:59.000 --> 00:21:02.000]   That it will be beneficial for us.
[00:21:02.000 --> 00:21:07.000]   And I wanted to start off this morning by talking about vision number one.
[00:21:07.000 --> 00:21:14.000]   That is to build a church that engages in God-centered worship and not man-centered.
[00:21:14.000 --> 00:21:27.000]   Pastor John Carver writes this, quote, "Perhaps the greatest need in all of Christendom is for a clear understanding of the biblical teaching about worship.
[00:21:27.000 --> 00:21:39.000]   If the church fails to worship properly, it fails in every other area of the kingdom, and the world is suffering because of its failure." End quote.
[00:21:39.000 --> 00:21:42.000]   What is worship?
[00:21:42.000 --> 00:21:47.000]   What is this thing that we call worship?
[00:21:47.000 --> 00:21:53.000]   Well, at its most basic core, worship is simply the act of ascribing worth to something.
[00:21:53.000 --> 00:21:59.000]   In fact, that's where we get the word worship from. It comes from an old English term, worth-ship.
[00:21:59.000 --> 00:22:07.000]   But in addition to this idea of ascribing worth to something, I think the concept of worship has several layers to it.
[00:22:07.000 --> 00:22:10.000]   Worship can be thought of in a number of different ways.
[00:22:10.000 --> 00:22:20.000]   For example, I think many of us, when we use the word worship, we simply use it as another way of referring to the physical gathering of the local church.
[00:22:20.000 --> 00:22:25.000]   What are you doing this weekend? Oh, I'm going to Sunday worship.
[00:22:25.000 --> 00:22:36.000]   That definition of worship is one that's bound to a specific time and place, 9am or 11, 15am, depending on which worship service you happen to attend.
[00:22:36.000 --> 00:22:49.000]   Others of us may have an even more narrow understanding of worship, whereby we limit worship to the specific portion of the Sunday service where music is being played and where songs are being sung.
[00:22:49.000 --> 00:22:55.000]   And indeed, music and singing are important parts of what local worship is all about.
[00:22:55.000 --> 00:23:04.000]   But properly speaking, worship is much more broad, much more comprehensive, much more expansive than any of those.
[00:23:04.000 --> 00:23:12.000]   Because you see, worship is not merely an activity that we do. Worship is a manner of life.
[00:23:12.000 --> 00:23:20.000]   That is, worship encompasses every single part and facet of who we are as human beings.
[00:23:20.000 --> 00:23:26.000]   And it doesn't just happen at church. And it doesn't just take place on Sunday morning.
[00:23:26.000 --> 00:23:31.000]   But worship is something that happens all the time and everywhere.
[00:23:31.000 --> 00:23:35.000]   At the office, in our homes, and out in the world.
[00:23:35.000 --> 00:23:44.000]   We might even put it this way, all of life is worship. And all people are worshipers.
[00:23:44.000 --> 00:23:51.000]   See, worship isn't something that's limited to Christians alone. It's not an activity that's just filled with religions.
[00:23:51.000 --> 00:23:58.000]   Rather, worship is a universal thing that all of humanity participates.
[00:23:58.000 --> 00:24:03.000]   The American novelist, David Foster Wallace, described it well.
[00:24:03.000 --> 00:24:12.000]   He said this, quote, "Everybody worships. The only choice you get is what to worship."
[00:24:12.000 --> 00:24:21.000]   And the compelling reason for maybe choosing some sort of god to worship is that pretty much anything else you worship will eat you alive.
[00:24:21.000 --> 00:24:28.000]   If you worship money and things, if they don't let you tap into meaning in life, then you will never have enough.
[00:24:28.000 --> 00:24:35.000]   Worship your own body and beauty and sexual merit, and you will always feel alone.
