
[00:00:00.000 --> 00:00:06.120]   - Good morning, okay.
[00:05:10.320 --> 00:05:15.440]   I don't think anyone follows those commandments perfectly.
[00:05:15.440 --> 00:05:18.000]   I don't think anyone follows those commandments perfectly.
[00:05:18.000 --> 00:05:19.280]   We're called to love one another.
[00:05:19.280 --> 00:05:20.280]   We're called to be patient.
[00:05:20.280 --> 00:05:21.280]   We're called to be kind.
[00:05:21.280 --> 00:05:22.280]   We're called to exhort.
[00:05:22.280 --> 00:05:23.280]   We're called to rebuke.
[00:05:23.280 --> 00:05:27.880]   We're called to do much more, and no one does it perfectly.
[00:05:27.880 --> 00:05:35.000]   And so there, the idea of accountability is born implicitly, but also very explicitly,
[00:05:35.000 --> 00:05:36.080]   right?
[00:05:36.080 --> 00:05:40.320]   Just so that we don't take anything for granted, I want to read to you a lot of verses.
[00:05:40.320 --> 00:05:42.120]   There's going to be a lot of verses on the screen.
[00:05:42.120 --> 00:05:45.160]   You don't have to turn there because I'm going to be going through a lot, okay?
[00:05:45.160 --> 00:05:47.680]   But just try to follow with me mentally, okay?
[00:05:47.680 --> 00:05:55.440]   1 Thessalonians 5.11 says this, "Therefore, encourage one another and build up one another
[00:05:55.440 --> 00:05:58.000]   just as you also are doing."
[00:05:58.000 --> 00:06:03.440]   Proverbs 27.17 says this, "Iron sharpens iron, so one man sharpens another."
[00:06:03.440 --> 00:06:08.520]   Ecclesiastes 4.9-10, "Two are better than one because they have a good return for their
[00:06:08.520 --> 00:06:09.520]   labor.
[00:06:09.520 --> 00:06:12.760]   For if either of them falls, the one will lift up his companion.
[00:06:12.760 --> 00:06:16.520]   But woe to the one who falls when there is not another to lift him up."
[00:06:16.520 --> 00:06:20.200]   Luke 17.3-4, "Be on your guard.
[00:06:20.200 --> 00:06:22.720]   If your brother sins, rebuke him.
[00:06:22.720 --> 00:06:25.120]   If he repents, forgive him.
[00:06:25.120 --> 00:06:30.720]   And if he sins against you seven times a day and returns to you seven times saying, 'I
[00:06:30.720 --> 00:06:33.680]   repent,' forgive him."
[00:06:33.680 --> 00:06:35.600]   Explicit commands.
[00:06:35.600 --> 00:06:37.960]   And the verses go on.
[00:06:37.960 --> 00:06:41.020]   Now, so the commands are apparent.
[00:06:41.020 --> 00:06:42.560]   The commands are apparent.
[00:06:42.560 --> 00:06:47.800]   But in order to fully understand accountability, I want to talk about the why for a second.
[00:06:47.800 --> 00:06:49.480]   I want to talk about the why.
[00:06:49.480 --> 00:06:52.200]   The why in conjunction with the context.
[00:06:52.200 --> 00:06:55.840]   In order to do that, let's go to the beginning.
[00:06:55.840 --> 00:07:04.320]   When you and I became a Christian, when you and I were converted, what happened?
[00:07:04.320 --> 00:07:07.520]   We went from darkness to light, right?
[00:07:07.520 --> 00:07:09.160]   You've all seen pitch darkness.
[00:07:09.160 --> 00:07:11.080]   You can't see a thing.
[00:07:11.080 --> 00:07:17.000]   You went from that state, darkness, complete, utter darkness, right?
[00:07:17.000 --> 00:07:18.360]   You were a dead horse.
[00:07:18.360 --> 00:07:22.300]   You weren't just a bad man or a bad woman, right, that God made good.
[00:07:22.300 --> 00:07:25.400]   You were a dead man that is now alive.
[00:07:25.400 --> 00:07:28.160]   A dead woman that is now alive.
[00:07:28.160 --> 00:07:31.720]   That is how the scriptures speak of conversion.
[00:07:31.720 --> 00:07:37.320]   So naturally what flows from that is that things change about your life.
[00:07:37.320 --> 00:07:43.080]   The way you view things, your value system, your interests, your hobbies, your pursuits.
[00:07:43.080 --> 00:07:47.560]   Because your pursuits and your interests and your hobbies and your value system before
[00:07:47.560 --> 00:07:51.760]   were that of a dead man, were that of a blind man, right?
[00:07:51.760 --> 00:07:53.560]   But now you are alive.
[00:07:53.560 --> 00:07:55.080]   Now you can see.
[00:07:55.080 --> 00:07:58.200]   You are in the light.
[00:07:58.200 --> 00:08:00.040]   But the problem is this.
[00:08:00.040 --> 00:08:01.920]   The problem is this.
[00:08:01.920 --> 00:08:09.160]   Even though the scriptures clearly speak of our salvation as one that is final and victorious,
[00:08:09.160 --> 00:08:13.840]   I don't need to convince you that we still stumble.
[00:08:13.840 --> 00:08:16.640]   We still stumble.
[00:08:16.640 --> 00:08:19.680]   We live in this fallen tent.
[00:08:19.680 --> 00:08:22.280]   We still live in the flesh.
[00:08:22.280 --> 00:08:27.240]   If you were to read portions of scripture in a vacuum, and you're not a human being,
[00:08:27.240 --> 00:08:31.680]   you're just some apparition, you're reading portions of scripture in a vacuum, you might
[00:08:31.680 --> 00:08:37.600]   not understand that the believer is still living in the fallen flesh.
[00:08:37.600 --> 00:08:38.600]   But we are.
[00:08:38.600 --> 00:08:41.600]   But we are.
[00:08:41.600 --> 00:08:48.400]   Ephesians 2, 5 through 6, and 21 through 22 gives this juxtaposition a little bit more
[00:08:48.400 --> 00:08:49.400]   clear, okay?
[00:08:49.400 --> 00:08:51.760]   Let me read it to you and you'll see what I'm talking about.
[00:08:51.760 --> 00:08:54.320]   Ephesians 2, 5 through 6 says this.
[00:08:54.320 --> 00:08:58.960]   Even when we were dead in our transgressions, made us alive together with Christ, by grace
[00:08:58.960 --> 00:09:02.960]   we have been saved, and raised us up with him, and seated us with him in the heavenly
[00:09:02.960 --> 00:09:04.960]   places in Christ Jesus.
[00:09:04.960 --> 00:09:10.520]   In the same chapter, in verses 21 through 22, it says this.
[00:09:10.520 --> 00:09:18.560]   In whom the whole building, being fitted together, is growing into a holy temple in the Lord,
[00:09:18.560 --> 00:09:26.080]   in whom also, you also, are being built together into a dwelling of God in the Spirit.
[00:09:26.080 --> 00:09:30.440]   If you were to read 2, 5, 6 in a vacuum, Ephesians 2, 5, 6, you would think, "Well, we're with
[00:09:30.440 --> 00:09:34.800]   him in the heavenly places, and that's it."
[00:09:34.800 --> 00:09:41.760]   But at the same time, we are being fitted together, we're growing into a holy temple,
[00:09:41.760 --> 00:09:48.580]   and we are being built together into a dwelling of God by Spirit.
[00:09:48.580 --> 00:09:53.240]   We live in the fallen tent.
[00:09:53.240 --> 00:09:59.920]   But even though our salvation is one of complete victory, there is the now that we have to
[00:09:59.920 --> 00:10:04.560]   contend with that is very much true.
[00:10:04.560 --> 00:10:13.360]   But on top of that, on top of living in a fallen tent, we also live in a fallen world.
[00:10:13.360 --> 00:10:16.320]   Now let me be clear here.
[00:10:16.320 --> 00:10:22.320]   God is in complete control of every single event since the creation of time.
[00:10:22.320 --> 00:10:27.400]   Every single atom that bumps into another atom, he's in control of.
[00:10:27.400 --> 00:10:30.440]   Everything has been already preordained.
[00:10:30.440 --> 00:10:37.760]   But within that umbrella, within that umbrella of God's omniscience and sovereignty, there
[00:10:37.760 --> 00:10:43.240]   is an aspect in which this world is under the control of the evil one.
[00:10:43.240 --> 00:10:50.720]   If it was in every angle in control of Christ, there would be no sin in this world.
[00:10:50.720 --> 00:10:55.840]   But it is still in control of the evil one.
[00:10:55.840 --> 00:11:00.440]   On top of that, you have the wicked one himself.
[00:11:00.440 --> 00:11:08.280]   So we are victorious in Christ, but we live in a fallen tent, we live in a fallen world,
[00:11:08.280 --> 00:11:11.240]   and we still have to contend with the wicked one.
[00:11:11.240 --> 00:11:18.680]   Ephesians 2.2 and 6.12 says this, "The prince of the power of the air, of the spirit that
[00:11:18.680 --> 00:11:21.240]   is now working, and the sons of disobedience."
[00:11:21.240 --> 00:11:26.040]   6.12 says this, "For our struggle is not against flesh and blood, but against rulers, against
[00:11:26.040 --> 00:11:31.560]   powers, against the world forces of this darkness, against the spiritual forces of wickedness
[00:11:31.560 --> 00:11:33.960]   in the heavenly places."
[00:11:33.960 --> 00:11:42.440]   It is in that context that Peter says in 1 Peter 5.8, "Be of sober spirit, be on the
[00:11:42.440 --> 00:11:43.440]   alert.
[00:11:43.440 --> 00:11:51.440]   Be not like Jerry the devil, prowls around like a roaring lion, seeking someone to devour."
[00:11:51.440 --> 00:11:53.280]   That is the reality.
[00:11:53.280 --> 00:11:55.680]   Why accountability?
[00:11:55.680 --> 00:11:57.880]   Why accountability?
[00:11:57.880 --> 00:11:59.900]   Because that is the reality.
[00:11:59.900 --> 00:12:01.920]   Let me add another layer to this.
[00:12:01.920 --> 00:12:07.840]   Jeremiah 17.9 says this, "The heart is more deceitful than all else, and is desperately
[00:12:07.840 --> 00:12:08.840]   sick."
[00:12:08.840 --> 00:12:10.440]   Who can understand it?
[00:12:10.440 --> 00:12:14.960]   The heart is deceitful, more deceitful than all else, and is desperately sick.
[00:12:14.960 --> 00:12:16.000]   Who can understand it?
[00:12:16.000 --> 00:12:21.360]   Now at this point in time, I don't want to go into, I get Jeremiah, and I get that we
[00:12:21.360 --> 00:12:25.680]   have the mind of Christ, I don't want to go into the theological implications of that.
[00:12:25.680 --> 00:12:39.360]   However, the principle behind this, that sin is so sublime, so subtle, so beguiling, that
[00:12:39.360 --> 00:12:47.520]   it can trick you, that it can trick me, that is the very nature of sin.
[00:12:47.520 --> 00:12:51.400]   Maybe you know, or maybe you don't know.
[00:12:51.400 --> 00:12:55.300]   Maybe you're wise, maybe you're not wise.
[00:12:55.300 --> 00:13:01.040]   Maybe you know the scripture, maybe you don't know the scripture.
[00:13:01.040 --> 00:13:04.040]   So yes, we are absolutely saved.
[00:13:04.040 --> 00:13:07.000]   We are seated with Him in the heavenly places.
[00:13:07.000 --> 00:13:11.440]   But what is also true at the same time is we are being sanctified right now, we are
[00:13:11.440 --> 00:13:17.320]   being fitted together, so we still live in a fallen tent, in a fallen world, under the
[00:13:17.320 --> 00:13:24.040]   control of the wicked one, and sin is that deceitful.
[00:13:24.040 --> 00:13:26.680]   Why accountability?
[00:13:26.680 --> 00:13:29.480]   Why accountability?
[00:13:29.480 --> 00:13:38.600]   If you're of sober spirit, and you understand the reality that is, this will not be a question
[00:13:38.600 --> 00:13:40.560]   for you.
[00:13:40.560 --> 00:13:41.960]   This will not be a question for you.
[00:13:41.960 --> 00:13:46.320]   I'm not saying that you better get plugged into some church program.
[00:13:46.320 --> 00:13:51.040]   There's not enough programs at church to plug everyone into an accountability group.
[00:13:51.040 --> 00:13:55.400]   But in the pursuit of Christ and the abstaining of sin, what is also true is that you and
[00:13:55.400 --> 00:13:57.320]   I both have blind spots.
[00:13:57.320 --> 00:14:02.440]   And if we are called to be in a body, that means none of us can live in isolation, and
[00:14:02.440 --> 00:14:07.120]   that we cannot practice our Christianity individually.
[00:14:07.120 --> 00:14:10.120]   That necessitates such concepts.
[00:14:10.120 --> 00:14:17.240]   And then if that is the case, if your pursuit of Christ is all-encompassing, why not follow
[00:14:17.240 --> 00:14:22.680]   the commands that is already laid out in scripture to seek accountability?
[00:14:22.680 --> 00:14:28.080]   Aren't there things in your life that you don't see that other people see?
[00:14:28.080 --> 00:14:33.120]   There are things in my life that I do not see that other people see.
[00:14:33.120 --> 00:14:38.080]   Maybe there are things in your life that you don't see, but you don't understand the severity.
[00:14:38.080 --> 00:14:40.460]   Let me say one other point about accountability.
[00:14:40.460 --> 00:14:46.160]   If you are in an accountability group already, I really hope that it's centered on the word.
[00:14:46.160 --> 00:14:49.960]   I really hope that it is centered on the word.
[00:14:49.960 --> 00:14:53.800]   Not a, "You're good, and I'm good, it's like the blind leading the blind, we're all good,
[00:14:53.800 --> 00:14:54.800]   and everything's fine."
[00:14:54.800 --> 00:15:03.840]   But a pursuit of Christ using the very lamp of God, which is his word.
[00:15:03.840 --> 00:15:09.880]   Because if we are in darkness, if we are in darkness, which the Bible says we are, and
[00:15:09.880 --> 00:15:16.440]   if the word of God is a lamp, then what else would you use to guide whether or not your
[00:15:16.440 --> 00:15:21.520]   pursuits, your value system, the things you spend your time and money on, all those things
[00:15:21.520 --> 00:15:24.240]   are actually in accord with Christ.
[00:15:24.240 --> 00:15:27.280]   Is it gonna be the blind man next to you?
[00:15:27.280 --> 00:15:31.640]   Or is it going to be the actual word of God?
[00:15:31.640 --> 00:15:32.640]   Let me go further here.
[00:15:32.640 --> 00:15:37.920]   James chapter three, verse two, says that we all stumble in many ways.
[00:15:37.920 --> 00:15:40.040]   We all stumble in many ways.
[00:15:40.040 --> 00:15:45.160]   Second Corinthians 5.10 says this, that we must all appear before the judgment seat of
[00:15:45.160 --> 00:15:46.160]   Christ.
[00:15:46.160 --> 00:15:52.680]   If we all stumble in many ways, and we will all appear before the judgment seat of Christ,
[00:15:52.680 --> 00:15:54.840]   then why accountability?
[00:15:54.840 --> 00:15:57.760]   Then why accountability?
[00:15:57.760 --> 00:16:00.400]   Or maybe you think you can do it on your own.
[00:16:00.400 --> 00:16:08.880]   And I've gotta tell you, if you do think that, you stand in contradiction to scripture.
[00:16:08.880 --> 00:16:15.800]   So let's keep each other accountable with our intake of the word, with our prayer life,
[00:16:15.800 --> 00:16:19.600]   where we spend our time, the things that we value.
[00:16:19.600 --> 00:16:25.720]   Let's keep each other accountable, because we cannot see clearly all the time.
[00:16:25.720 --> 00:16:31.720]   And when we do so, let's hold it up to the measure of the word.
[00:16:31.720 --> 00:16:34.160]   Now the word of God is a double-edged sword.
[00:16:34.160 --> 00:16:39.040]   And I gotta tell you, as I'm saying this to you, it's cutting me.
[00:16:39.040 --> 00:16:41.800]   It's cutting me.
[00:16:41.800 --> 00:16:48.960]   And it is clear from scripture that it doesn't matter how long you've been a Christian for.
[00:16:48.960 --> 00:16:49.960]   Okay?
[00:16:49.960 --> 00:16:50.960]   It doesn't matter.
[00:16:50.960 --> 00:16:53.280]   I've been a Christian for 20 years.
[00:16:53.280 --> 00:16:54.280]   I don't need accountability.
[00:16:54.280 --> 00:16:57.600]   Now you never actually say that, but you think it, right?
[00:16:57.600 --> 00:16:59.600]   It doesn't matter how long you've been a Berean for.
[00:16:59.600 --> 00:17:01.320]   It doesn't matter if you're a small group leader.
[00:17:01.320 --> 00:17:04.400]   It certainly doesn't matter if you're an elder.
[00:17:04.400 --> 00:17:05.400]   That doesn't matter.
[00:17:05.400 --> 00:17:07.560]   Acts 10.34 says this.
[00:17:07.560 --> 00:17:14.520]   I most certainly understand now that God is not one to show partiality.
[00:17:14.520 --> 00:17:16.600]   I love the King James Version.
[00:17:16.600 --> 00:17:21.240]   God is no respecter of persons.
[00:17:21.240 --> 00:17:27.720]   I don't think it's gonna go well for me if I appear before Christ and I tell him that
[00:17:27.720 --> 00:17:33.280]   I didn't really think I needed accountability because I was voted by men as an elder.
[00:17:33.280 --> 00:17:36.680]   So I just felt like it wasn't really necessary.
[00:17:36.680 --> 00:17:37.880]   I don't know.
[00:17:37.880 --> 00:17:42.120]   That might not work, right?
[00:17:42.120 --> 00:17:47.960]   As we think about this BCC covenant point, and as you think about accountability, think
[00:17:47.960 --> 00:17:51.600]   very soberly about what is reality.
[00:17:51.600 --> 00:17:56.520]   And as you consider what reality is, don't look to your own understanding of what reality
[00:17:56.520 --> 00:17:59.080]   is because that's how sublime sin is.
[00:17:59.080 --> 00:18:00.600]   That's how subtle it is.
[00:18:00.600 --> 00:18:02.520]   That's how powerful it is.
[00:18:02.520 --> 00:18:04.480]   And that's how deceptive it is.
[00:18:04.480 --> 00:18:11.160]   Look to what the Word of God says as to what reality is, and then make a decision as to
[00:18:11.160 --> 00:18:15.640]   whatever choice you make in life, especially as it relates to accountability.
[00:18:15.640 --> 00:18:22.600]   So if you are mired in sin, if you are mired in sin, consider getting accountability.
[00:18:22.600 --> 00:18:27.960]   If you are in a place where you clearly know that your accountability group is not running
[00:18:27.960 --> 00:18:33.200]   on the wheels of scripture, consider getting out.
[00:18:33.200 --> 00:18:40.560]   And in all things, are you moving towards the upward call of God in Christ Jesus?
[00:18:40.560 --> 00:18:42.760]   Point number two.
[00:18:42.760 --> 00:18:47.160]   Point number two, submission to elders.
[00:18:47.160 --> 00:18:48.160]   Submission to elders.
[00:18:48.160 --> 00:18:55.440]   Now, I'm smiling here because I'm an elder, right?
[00:18:55.440 --> 00:19:03.120]   And anything I say at this point, it could come off self-aggrandizing, self-rewarding,
[00:19:03.120 --> 00:19:08.960]   pompous, maybe even shameless, right?
[00:19:08.960 --> 00:19:16.320]   Because what I'm about to tell you could be taken as, "Submit to me."
[00:19:16.320 --> 00:19:19.880]   And as I was preparing this portion of the sermon, I thought to myself, "Man, this is
[00:19:19.880 --> 00:19:22.920]   going to go over well, right?"
[00:19:22.920 --> 00:19:30.160]   But in the spirit of 2 Corinthians 11, 1, in the spirit of 2 Corinthians 11, 1, I wish
[00:19:30.160 --> 00:19:34.360]   that you would bear with me in a little foolishness, but indeed you are bearing with me.
[00:19:34.360 --> 00:19:37.980]   I hope you would bear with me in a little foolishness.
[00:19:37.980 --> 00:19:39.780]   Just bear with me a little bit.
[00:19:39.780 --> 00:19:45.640]   Because what I'm going to give you at this point is not what I say, but what the Word
[00:19:45.640 --> 00:19:46.960]   of God says.
[00:19:46.960 --> 00:19:49.560]   So let's get to those verses right now.
[00:19:49.560 --> 00:19:56.160]   1 Corinthians 16, 15 to 16 says this, "Now I urge you, brethren, you know the household
[00:19:56.160 --> 00:20:00.280]   of Stephanas, that they were the first roots of Achaia, and that they have devoted themselves
[00:20:00.280 --> 00:20:04.720]   for ministry to the saints, that you also be in subjection to such men, and to everyone
[00:20:04.720 --> 00:20:07.000]   who helps in the work and labors."
[00:20:07.000 --> 00:20:12.240]   1 Thessalonians 5, 11 through 12 says this, "But we request of you, brethren, that you
[00:20:12.240 --> 00:20:16.440]   appreciate those who diligently labor among you, and have charge over you in the Lord,
[00:20:16.440 --> 00:20:21.320]   and give you instruction, and that you esteem them very highly in love because of their
[00:20:21.320 --> 00:20:22.320]   work.
[00:20:22.320 --> 00:20:23.720]   Live in peace with one another."
[00:20:23.720 --> 00:20:29.800]   1 Peter 5, 5 says this, "You younger men likewise, be subject to your elders, and all
[00:20:29.800 --> 00:20:32.760]   of you clothe yourselves with humility toward one another.
[00:20:32.760 --> 00:20:37.680]   For God is opposed to the proud, but gives grace to the humble."
[00:20:37.680 --> 00:20:43.720]   Hebrews 13, 17 says this, "Obey your leaders and submit to them, for they keep watch over
[00:20:43.720 --> 00:20:46.000]   your souls as those who will give an account."
[00:20:46.000 --> 00:20:52.680]   Let them do this with joy and not with grief, for this would be unprofitable for you.
[00:20:52.680 --> 00:20:58.640]   A note on Hebrews 13 with respect to the Greek words obey and submit.
[00:20:58.640 --> 00:21:05.600]   The word for obey that's used here in Hebrews 13 and 17 is the same word that's used in
[00:21:05.600 --> 00:21:09.480]   relation to Jesus trusting in God in Matthew 27, 43.
[00:21:09.480 --> 00:21:12.320]   It's the same exact word here.
[00:21:12.320 --> 00:21:13.640]   Let me give you some definitions.
[00:21:13.640 --> 00:21:19.520]   They would include, but are not limited to, to be assured of, to have confidence in, to
[00:21:19.520 --> 00:21:26.280]   be convinced of, to be persuaded, to trust, and to be induced by one's word to believe
[00:21:26.280 --> 00:21:30.360]   absolutely.
[00:21:30.360 --> 00:21:33.720]   I didn't get this from an elders dictionary.
[00:21:33.720 --> 00:21:36.800]   I got this from a Greek dictionary.
[00:21:36.800 --> 00:21:39.060]   Please look it up yourself.
[00:21:39.060 --> 00:21:44.120]   This is from Strong's Concordance dictionary.
[00:21:44.120 --> 00:21:49.080]   The word for submit means to yield and to surrender.
[00:21:49.080 --> 00:21:52.920]   The word for submit here means to yield and surrender.
[00:21:52.920 --> 00:22:00.400]   So in Hebrews 13 and 17 it says, "Obey your leaders and submit to them."
[00:22:00.400 --> 00:22:04.520]   Now let me say that again, okay?
[00:22:04.520 --> 00:22:06.840]   That's what the word of God says.
[00:22:06.840 --> 00:22:08.320]   I didn't say it.
[00:22:08.320 --> 00:22:09.600]   That's what the word of God says.
[00:22:09.600 --> 00:22:14.860]   First Corinthians 16, First Thessalonians 5, First Peter 5, Hebrews 13.
[00:22:14.860 --> 00:22:17.280]   That is from the word of God.
[00:22:17.280 --> 00:22:19.560]   But let me address the elephant in the room for a minute, okay?
[00:22:19.560 --> 00:22:22.220]   Let me address this for a second.
[00:22:22.220 --> 00:22:27.580]   When you and I hear the word submission, when you and I hear the word submission, it's kind
[00:22:27.580 --> 00:22:31.920]   of a dirty word because it comes with a lot of cultural baggage.
[00:22:31.920 --> 00:22:35.720]   Now a lot of it is reasonable, okay?
[00:22:35.720 --> 00:22:37.980]   And I feel the same exact way.
[00:22:37.980 --> 00:22:40.000]   You know what words I love?
[00:22:40.000 --> 00:22:42.240]   I love independence.
[00:22:42.240 --> 00:22:43.360]   I love independence.
[00:22:43.360 --> 00:22:44.960]   I love July 4th, right?
[00:22:44.960 --> 00:22:47.080]   I love what it represents and what it stands for.
[00:22:47.080 --> 00:22:48.720]   I love independence.
[00:22:48.720 --> 00:22:50.680]   You know what other word I love?
[00:22:50.680 --> 00:22:51.680]   Autonomy.
[00:22:51.680 --> 00:22:53.880]   Yes, I love autonomy.
[00:22:53.880 --> 00:22:57.440]   Let me do what I want, right?
[00:22:57.440 --> 00:23:00.360]   You know what word I very much dislike?
[00:23:00.360 --> 00:23:01.360]   Supervision.
[00:23:01.360 --> 00:23:02.360]   Supervision.
[00:23:02.360 --> 00:23:05.360]   I'm like, "Ugh, supervision."
[00:23:05.360 --> 00:23:06.360]   Right?
[00:23:06.360 --> 00:23:09.480]   Oh, you and I dislike supervision.
[00:23:09.480 --> 00:23:12.720]   But you know what word we dislike even more than supervision?
[00:23:12.720 --> 00:23:13.720]   Submission.
[00:23:13.720 --> 00:23:14.720]   Submission.
[00:23:14.720 --> 00:23:21.720]   When you go to a wedding and you hear vows and you hear the word submission, you know
[00:23:21.720 --> 00:23:22.720]   it's a Christian wedding, right?
[00:23:22.720 --> 00:23:28.920]   Ain't no one going to say that word unless they're believers in the Bible.
[00:23:28.920 --> 00:23:32.120]   In this culture, forget about it, right?
[00:23:32.120 --> 00:23:35.480]   You are a chauvinist and you are a Neanderthal.
[00:23:35.480 --> 00:23:43.680]   So unless you have complete loyalty to the word of God, that word submission is not happening.
[00:23:43.680 --> 00:23:48.880]   And even when you have submission to the word of God, that word might not be used even then
[00:23:48.880 --> 00:23:51.200]   in a wedding ceremony, right?
[00:23:51.200 --> 00:23:54.520]   So there's a lot of cultural baggage that comes with that.
[00:23:54.520 --> 00:23:57.040]   The reasonable part is this, okay?
[00:23:57.040 --> 00:24:01.080]   If you and I were to wake up next morning, we turn on the news and we hear of a corrupt
[00:24:01.080 --> 00:24:05.080]   politician, no one's going to be surprised.
[00:24:05.080 --> 00:24:09.680]   No one's going to be like, "Oh, I never heard of such a thing.
[00:24:09.680 --> 00:24:10.680]   Someone abused their power."
