
[00:00:00.000 --> 00:00:02.000]   I
[00:04:11.760 --> 00:04:18.840]   Philemon had every legal right to put him in prison to beat him to to to mark him as a runaway slave
[00:04:18.840 --> 00:04:22.480]   Telling everybody the whole world. This is a this is a man that you cannot trust
[00:04:22.480 --> 00:04:25.440]   and so only reason why
[00:04:25.440 --> 00:04:29.980]   Onesimus would even return is because he'd been deeply affected by the cross
[00:04:29.980 --> 00:04:37.180]   Same thing with Philemon. Why would this man who who lost a great deal because of this runaway slave?
[00:04:37.940 --> 00:04:39.940]   We even receive him
[00:04:39.940 --> 00:04:42.020]   What did he have to gain for doing this?
[00:04:42.020 --> 00:04:46.660]   So Philemon even though it's a very short letter only have 25 verses
[00:04:46.660 --> 00:04:52.200]   It is a powerful testimony of what happens when people are affected by the cross
[00:04:52.200 --> 00:04:57.420]   Basically Philemon is a letter about forgiveness
[00:04:57.420 --> 00:05:01.100]   It's about forgiving those who's trespassed against you
[00:05:01.100 --> 00:05:05.580]   The idea of forgiving somebody is not natural to us
[00:05:06.460 --> 00:05:10.020]   You know how often have you fantasized?
[00:05:10.020 --> 00:05:15.980]   Like somebody in the past who've wronged you maybe they said something to you. Maybe they cheated you in business
[00:05:15.980 --> 00:05:22.740]   You know how often have you thought and fantasize man if I were to go back in time and and if I was to do
[00:05:22.740 --> 00:05:29.460]   Something differently how often they have he's fantasized about taking vengeance on that person and and seeking justice. We rarely sit around
[00:05:29.460 --> 00:05:36.220]   Fantasizing about being gracious. You know I go back and I should have been more gracious in that situation
[00:05:36.700 --> 00:05:42.380]   I think that's why if you look at majority of the action movies at the core of the action movies
[00:05:42.380 --> 00:05:44.380]   There is this idea of vengeance
[00:05:44.380 --> 00:05:46.380]   right
[00:05:46.380 --> 00:05:52.620]   You just going out and blowing up stuff isn't fun. You have to blow up people who wronged you so
[00:05:52.620 --> 00:05:56.700]   Usually the action movie begins by somebody being wronged
[00:05:56.700 --> 00:06:05.660]   Right your family is killed or something's taking you know like somebody's taking hostage or something happens whether it's personal or whether it happens
[00:06:05.660 --> 00:06:09.660]   As a government level and then the rest of the movie is trying to pay back
[00:06:09.660 --> 00:06:13.820]   Right and I think there was a movie called payback, right?
[00:06:13.820 --> 00:06:19.300]   Think about some of the movies maybe some of I don't know to me. This is new and fresh
[00:06:19.300 --> 00:06:22.020]   So - I don't know if it is to you, but gladiator
[00:06:22.020 --> 00:06:26.100]   V for vendetta is this new
[00:06:26.100 --> 00:06:32.900]   Kill Bill, I just looked up online to see okay count of Monte Cristo
[00:06:32.900 --> 00:06:35.900]   I don't I didn't see that but I read it and it was about vengeance
[00:06:35.900 --> 00:06:37.940]   quantum solace
[00:06:37.940 --> 00:06:39.780]   by James Bond movie
[00:06:39.780 --> 00:06:46.500]   Man on fire and I can go on and on and on if you basically Google and look at action movies the basic you know the
[00:06:46.500 --> 00:06:53.380]   The outline of it is somebody is wrong, and then they're gonna pay them back right. That's a natural human response
[00:06:53.380 --> 00:06:57.100]   to ask somebody to forgive somebody and
[00:06:57.100 --> 00:06:59.620]   to get nothing back
[00:06:59.620 --> 00:07:01.100]   it's
[00:07:01.100 --> 00:07:03.900]   It's not natural because that's not how we function
[00:07:03.900 --> 00:07:06.700]   In fact just yesterday
[00:07:06.700 --> 00:07:07.460]   I was
[00:07:07.460 --> 00:07:08.820]   driving my car in a parking lot
[00:07:08.820 --> 00:07:13.420]   you know and I was putting air my tire and then I was in a hurry to get out of the parking lot and and
[00:07:13.420 --> 00:07:20.100]   I made a left turn and this guy it's kind of stepped out and he wasn't he wasn't right in front of the car
[00:07:20.100 --> 00:07:25.580]   I would say the distance was probably from here to maybe about that door and I saw him come out and so I could have
[00:07:25.580 --> 00:07:30.900]   Easily just kind of went by him, but I stopped the car and I waved toward I was being gracious. It's like okay
[00:07:30.900 --> 00:07:37.100]   You know go you know and I'll wait for you so as he was crossing. He was mumbling something
[00:07:37.100 --> 00:07:41.860]   So I thought in my mind. I was like oh, he's saying. Thank you. Thank you for being gracious and letting me go
[00:07:41.860 --> 00:07:47.260]   But as as I was going he was saying something that I cannot repeat
[00:07:47.260 --> 00:07:50.900]   He was looking straight at me. He was cursing me out, and I was like what?
[00:07:50.900 --> 00:07:54.620]   You know I just I was so gracious to let him go
[00:07:54.620 --> 00:08:00.740]   And I remember as he was passing by I was watching like what why would you be what I don't get it
[00:08:00.740 --> 00:08:07.260]   Like I was just letting you pass and and somehow I don't know what the miscommunication was but something was
[00:08:07.260 --> 00:08:11.660]   Miscommunicated and he got mad and he started cussing at me
[00:08:11.660 --> 00:08:16.660]   And then he walked into the store and as I was driving off. I was thinking what just happened here I
[00:08:16.660 --> 00:08:21.340]   Was allowing him to pass by and then I got cussed out for it
[00:08:21.340 --> 00:08:26.320]   And the whole way that I was going to I was going to the girls softball tournament and the whole drive down
[00:08:26.320 --> 00:08:28.580]   I was thinking what is wrong with this guy
[00:08:29.300 --> 00:08:33.660]   You know and I just I tried to like we are gonna listen to sermon and turn on Christian radio
[00:08:33.660 --> 00:08:37.500]   But I just couldn't get it out of my head. What is wrong with this guy right?
[00:08:37.500 --> 00:08:40.700]   You know in the back of my mind. I'm thinking man if I wasn't a pastor
[00:08:40.700 --> 00:08:42.580]   What should I what would I have done if I wasn't a pastor?
[00:08:42.580 --> 00:08:46.420]   If I wasn't a Christian what if I got out of my car and scared this guy?
[00:08:46.420 --> 00:08:51.100]   I'm thinking that all this scenario and even all the way down to softball
[00:08:51.100 --> 00:08:56.340]   I was thinking like Peter you're Christian calm down tomorrow. You're gonna be talking about forgiveness
[00:08:57.580 --> 00:08:59.580]   You better calm down
[00:08:59.580 --> 00:09:01.860]   It's just humanly speaking
[00:09:01.860 --> 00:09:05.260]   That's not natural our natural response isn't forgiveness
[00:09:05.260 --> 00:09:10.820]   and that's why when God says to nation of Israel I for an eye tooth for tooth is not a
[00:09:10.820 --> 00:09:14.760]   Formula to carry out vengeance is to withhold our vengeance
[00:09:14.760 --> 00:09:18.860]   Because our natural response if you take my eyes, I'm gonna rip your head off
[00:09:18.860 --> 00:09:22.280]   Right you can teach you never to mess with me
[00:09:23.940 --> 00:09:30.180]   See this letter here in Philemon what Paul is asking Philemon to do is supernatural
[00:09:30.180 --> 00:09:36.440]   Because what he's asking him to do is here's this runaway slave at the minimum was financially
[00:09:36.440 --> 00:09:41.660]   He robbed from him at the minimum. It may have been may have been embarrassing for him
[00:09:41.660 --> 00:09:43.940]   You know imagine what that would have done
[00:09:43.940 --> 00:09:47.540]   Maybe I don't know if he did it before he was a before Philemon became a Christian or not
[00:09:47.540 --> 00:09:52.700]   But whatever it was it's clear that he was the one who was wronged
[00:09:53.620 --> 00:09:56.700]   and on estimates was the one who wronged him and
[00:09:56.700 --> 00:10:02.980]   Paul is not saying if you receive him back, you know, he's gonna pay you back
[00:10:02.980 --> 00:10:06.020]   You know, he wronged you maybe he owes you a hundred grand
[00:10:06.020 --> 00:10:10.420]   He's gonna work his tail off and he's gonna give you everything that he has if you can forgive him
[00:10:10.420 --> 00:10:13.380]   Paul's not asking any of that Paul says forgive him
[00:10:13.380 --> 00:10:18.420]   In other words he's saying just drop it just humanly speaking
[00:10:19.220 --> 00:10:26.980]   Just drop it. In fact, not only just drop it you lost him as a runaway slave, but now would you please receive him as
[00:10:26.980 --> 00:10:29.700]   a brother in Christ
[00:10:29.700 --> 00:10:32.700]   To love him like you are loving the other brothers in the church
[00:10:32.700 --> 00:10:40.060]   Humanly speaking it's impossible. How can we possibly even dare to ask somebody expect that of somebody?
[00:10:40.060 --> 00:10:45.460]   But at the core of what you and I believe is about forgiveness
[00:10:46.420 --> 00:10:51.060]   At the very core of why we are here. It's about forgiveness
[00:10:51.060 --> 00:10:59.340]   Ephesians 4 32 says be kind to one another tender-hearted forgiving one another as God in Christ forgave you
[00:10:59.340 --> 00:11:04.580]   In essence, that's that's the core of the gospel
[00:11:04.580 --> 00:11:07.660]   Because he forgave us
[00:11:07.660 --> 00:11:10.180]   Now you forgive each other
[00:11:11.580 --> 00:11:19.020]   Again in Colossians 3 13 is his bearing with one another if one has a complaint against another forgive each other as the Lord has
[00:11:19.020 --> 00:11:21.500]   Forgiven you so you also must forgive
[00:11:21.500 --> 00:11:25.700]   We all know love that passage in Romans 5 8
[00:11:25.700 --> 00:11:32.020]   Where it says God demonstrates his own love toward us while we were yet sinners Christ died for us
[00:11:32.020 --> 00:11:37.060]   In a part of the reason why it's so difficult for us to forgive is
[00:11:38.220 --> 00:11:45.900]   Because we tend to see other sins other people's sins greater than ours, you know, we always say well
[00:11:45.900 --> 00:11:50.260]   You know, I'm not perfect but that guy and that's usually when somebody says I'm not perfect
[00:11:50.260 --> 00:11:57.900]   But that guy that's kind of a setup to like I'm justified in hating that person. I know I'm not perfect, but that guy deserves this
[00:11:57.900 --> 00:12:01.320]   You know, I think part of the reason why
[00:12:01.320 --> 00:12:04.500]   athletic superstars don't make good coaches is
[00:12:05.460 --> 00:12:10.100]   Because they're superstars and they can't stand mediocrity, you know
[00:12:10.100 --> 00:12:15.700]   And so because they function at such a high level when they're coaching other people who are kind of on the average
[00:12:15.700 --> 00:12:19.540]   You know, they don't have the patience or the grace to to build them up
[00:12:19.540 --> 00:12:22.980]   So you don't perform this up to here. I can't have you
[00:12:22.980 --> 00:12:26.220]   But here's a problem
[00:12:26.220 --> 00:12:29.420]   Spiritually, there's not one Michael Jordan
[00:12:29.420 --> 00:12:32.980]   No, Kobe Bryant's
[00:12:33.260 --> 00:12:36.460]   The scripture says all have sin and fall short in the glory of God
[00:12:36.460 --> 00:12:39.300]   but the problem is
[00:12:39.300 --> 00:12:44.580]   We don't really see that the gravity of what it is that Christ has saved us from
[00:12:44.580 --> 00:12:54.540]   Because the motivation and the power to forgive others comes from understanding the forgiveness that Christ has given us
[00:12:54.540 --> 00:13:00.420]   So when we don't understand the gravity of where we stood before God and where we are without him
[00:13:00.420 --> 00:13:02.660]   It is difficult to be forgiving
[00:13:03.020 --> 00:13:05.500]   Because it just sounds like take it
[00:13:05.500 --> 00:13:09.180]   Just forgive just drop just drop it
[00:13:09.180 --> 00:13:16.620]   One of the scripture says that while we were yet sinners Christ died for us, you know, typically, you know
[00:13:16.620 --> 00:13:19.000]   If you've been at a Bible teaching church for a while
[00:13:19.000 --> 00:13:24.240]   You know that the most common word for sin is hamartian and what does hamartian mean?
[00:13:24.240 --> 00:13:27.940]   Yeah, I hear mumbling but I hear
[00:13:28.700 --> 00:13:34.900]   to miss the mark right and again if you've been a Christian for all you already know that the basic meaning of
[00:13:34.900 --> 00:13:37.860]   Sin means to miss the mark
[00:13:37.860 --> 00:13:43.860]   But in and of itself we don't get the gravity of what that word means because it just sounds like you know
[00:13:43.860 --> 00:13:45.860]   We were shooting at something and we missed
[00:13:45.860 --> 00:13:48.620]   It doesn't sound too bad
[00:13:48.620 --> 00:13:51.220]   Right. It's kind of like when you were at school
[00:13:51.220 --> 00:13:57.060]   you tried so hard to get an a and you stayed up all night and you worked and you studied and you
[00:13:57.220 --> 00:13:59.620]   Turned in your paper on time and you got a B
[00:13:59.620 --> 00:14:02.180]   It doesn't sound that bad
[00:14:02.180 --> 00:14:04.620]   It's just we just couldn't do it like I was trying to stay on this path
[00:14:04.620 --> 00:14:08.160]   But I fell asleep and I just kind of fell off and I missed the mark
[00:14:08.160 --> 00:14:11.540]   See we have to understand what mr
[00:14:11.540 --> 00:14:15.100]   Mark is in a context of what the scripture says about what sin is
[00:14:15.100 --> 00:14:20.780]   In fact, if you look at scripture, there are more than 40 different words used to describe sin
[00:14:20.780 --> 00:14:24.060]   The most common word is hamartian in the Greek
[00:14:24.980 --> 00:14:27.580]   But when we examine these words
[00:14:27.580 --> 00:14:32.780]   It gives us a broader and deeper picture of what it is that we have been saved from
[00:14:32.780 --> 00:14:38.140]   And I'm just gonna go over a few words with you because we're not gonna sit here and go through all 40
[00:14:38.140 --> 00:14:43.420]   In Hebrew, there's a word called Raha, which means wicked or evil
[00:14:43.420 --> 00:14:46.940]   anything that goes against God's nature is
[00:14:46.940 --> 00:14:49.460]   Raha or
[00:14:49.460 --> 00:14:54.740]   Avon it means to be crooked or twisted and the root word means to be perverted
[00:14:54.740 --> 00:15:01.420]   It doesn't it doesn't just mean that we shot for something and we missed it. It means that there's a perversion
[00:15:01.420 --> 00:15:07.020]   There's something crooked inside of who we are for sure. The word means to rebel
[00:15:07.020 --> 00:15:14.460]   It's not just somebody who was walking the narrow path and then just stepped on something or tripped over something
[00:15:14.460 --> 00:15:19.580]   It is a willful rebellion to shake your fist at God's a I don't want you
[00:15:19.580 --> 00:15:22.540]   That's the word for sure
[00:15:22.540 --> 00:15:25.740]   another word a sham to be offensive
[00:15:25.740 --> 00:15:28.940]   To offend him. We didn't just mr
[00:15:28.940 --> 00:15:36.560]   Mark, we didn't just live up to a certain standard that he had the scripture says that we were offensive the word ha ha
[00:15:36.560 --> 00:15:40.560]   In Hebrew, it means to deliberately deceive to hide
[00:15:41.580 --> 00:15:46.720]   Because we want to go this path and God says to go here and so we would deceive
[00:15:46.720 --> 00:15:50.080]   Deceive ourselves deceive others and deceive God
[00:15:50.080 --> 00:15:57.940]   See that in Hebrew the word for sin is not simply we just missed the mark. It means there's wickedness
[00:15:57.940 --> 00:16:03.860]   There's badness corruptness in our nature. There's perversion. There's a willful rebellion
[00:16:03.860 --> 00:16:08.060]   There's offensiveness to this God and we deceive to hide all of this
[00:16:08.940 --> 00:16:12.420]   In the Greek the word Martian again to mr. Mark
[00:16:12.420 --> 00:16:17.620]   But perhaps basis basis is to violate something
[00:16:17.620 --> 00:16:25.720]   Whenever somebody is wronged, you know was L we've been sinned against but when it's when it's been really perverted when it was really deep
[00:16:25.720 --> 00:16:29.000]   And offensive we say that person has been violated
[00:16:29.000 --> 00:16:31.820]   Well, that's the word in Greek
[00:16:31.820 --> 00:16:34.860]   another word for sin to violate a
[00:16:34.860 --> 00:16:36.740]   Sabia
[00:16:36.740 --> 00:16:38.740]   ungodly
[00:16:39.580 --> 00:16:41.580]   Ponras diseased
[00:16:41.580 --> 00:16:46.540]   Corrupted in nature Kakos depraved
[00:16:46.540 --> 00:16:50.060]   Adhikas
[00:16:50.060 --> 00:16:52.060]   unjust
[00:16:52.060 --> 00:16:53.340]   anomos
[00:16:53.340 --> 00:16:57.500]   To have no law lawlessness plana to go astray
[00:16:57.500 --> 00:17:04.260]   These are some of the words that describe sin and when the scripture says all have sin and fall short of the glory of God
[00:17:04.260 --> 00:17:07.220]   He's not just saying that we tried but we couldn't make it
[00:17:08.380 --> 00:17:13.340]   The Bible describing a willful rebellion against God. I don't want you as my God
[00:17:13.340 --> 00:17:19.140]   I'd rather experience this pleasure now than to submit myself to you
[00:17:19.140 --> 00:17:22.980]   Deliberately rebelling deliberately offensive
[00:17:22.980 --> 00:17:25.820]   disease in our nature and
[00:17:25.820 --> 00:17:32.180]   That's why Romans chapter 3 verse 10 when it says no one seeks God. No one does good
[00:17:32.180 --> 00:17:36.780]   It seems like an exaggeration but in reality, that's what the scripture says we were
[00:17:37.940 --> 00:17:40.580]   when we don't understand the degree of
[00:17:40.580 --> 00:17:46.360]   Sin that we were seeped in that he saved us from that's why the Bible describes us
[00:17:46.360 --> 00:17:54.060]   It describes us as dead in our trespasses not just sick not just corrupted but dead in our trespasses
[00:17:54.060 --> 00:18:00.500]   There's nothing that we could have done to move out of there. It was it was a we're so deep into this quicksand
[00:18:00.500 --> 00:18:04.380]   There was nothing that we could have grasped by ourselves that we could have come out
[00:18:04.380 --> 00:18:10.220]   He says so when the scripture says God demonstrates his own love toward us in that while we were yet
[00:18:10.220 --> 00:18:12.740]   sinners yet depraved yet
[00:18:12.740 --> 00:18:16.000]   Wicked yet in rebellion
[00:18:16.000 --> 00:18:19.580]   Christ died for us. I
[00:18:19.580 --> 00:18:23.780]   Think the more we live
[00:18:23.780 --> 00:18:31.820]   You know what it means to grow as a as a Christian is to recognize what it is that we have in Christ
[00:18:33.180 --> 00:18:35.900]   And the deeper we recognize what we have in Christ
[00:18:35.900 --> 00:18:41.980]   We give a reasonable response. So everything that we give to God is a response
[00:18:41.980 --> 00:18:45.820]   It's not something that we we muster up within
[00:18:45.820 --> 00:18:49.140]   It's not something that if we meditate enough if we memorize scripture
[00:18:49.140 --> 00:18:53.780]   It is simply a reaction towards some seeing something and experience something
[00:18:53.780 --> 00:19:00.160]   Beyond ourselves and that's why Romans chapter 12 in view of God's mercy. It says
[00:19:01.060 --> 00:19:03.060]   Presents your body as a living sacrifice
[00:19:03.060 --> 00:19:10.100]   You know Luke chapter 18 11th 14, you know that password Jesus is basically rebuking the Pharisee for his self-righteousness
[00:19:10.100 --> 00:19:12.380]   And this is what he says
[00:19:12.380 --> 00:19:17.240]   The Pharisee standing by himself prayed thus God. I thank you that I am NOT like other men
[00:19:17.240 --> 00:19:22.000]   extortioners unjust adulterers or even like this tax collector
[00:19:22.000 --> 00:19:25.480]   Before we judge the Pharisee too quickly
[00:19:25.480 --> 00:19:29.980]   Everything he said was true in this passage. He didn't extort
[00:19:29.980 --> 00:19:32.300]   He he was not an extortioner
[00:19:32.300 --> 00:19:36.940]   He was an obeyer of the law. He kept it so precisely
[00:19:36.940 --> 00:19:40.380]   He memorized scripture
[00:19:40.380 --> 00:19:45.180]   Jesus said that they would travel miles and miles just to proselytize people
[00:19:45.180 --> 00:19:49.860]   He prayed and he gave and he was at the temple constantly
[00:19:49.860 --> 00:19:55.100]   So on the surface everything he says was true. He was not an extortioner. He was not unjust
[00:19:56.380 --> 00:20:02.300]   He wasn't he was not an adulterer and he wasn't like the tax collector. He didn't betray his country
[00:20:02.300 --> 00:20:05.220]   He wasn't going around and taking money from people unjustly
[00:20:05.220 --> 00:20:07.780]   so on the surface
[00:20:07.780 --> 00:20:11.260]   He can look at it. We can look at that and says yeah, I mean what he's saying is true
[00:20:11.260 --> 00:20:14.860]   He but the corruption is much deeper than that
[00:20:14.860 --> 00:20:22.660]   You look at this tax collector in verse 12 is I fast twice a day or he he himself the Pharisee said I face twice
[00:20:22.660 --> 00:20:27.260]   I said that I give tithes all that I get in verse 13, but the tax collector standing far off
[00:20:27.260 --> 00:20:34.500]   Would not even lift up his eyes to heaven but beat his breast saying God be merciful to me a sinner
[00:20:34.500 --> 00:20:41.100]   Our relationship with God begins when we recognize that that's me
[00:20:41.100 --> 00:20:44.340]   That's me. I'm that sinner
[00:20:44.340 --> 00:20:47.300]   I'm the one who rebelled against God
[00:20:47.300 --> 00:20:52.380]   I'm the one who's constantly wanting to deceive. I'm the one who's going astray
[00:20:53.140 --> 00:20:55.940]   I'm the one who was not deserving of this grace and
[00:20:55.940 --> 00:20:59.300]   He forgave me
[00:20:59.300 --> 00:21:04.140]   Peter asked a question in Matthew 18 21 to 35
[00:21:04.140 --> 00:21:06.980]   Peter says
[00:21:06.980 --> 00:21:12.920]   Lord, how often will my brother sin against me and I forgive him as many as seven times?
[00:21:12.920 --> 00:21:15.580]   Now, I know you guys know that passage. I
[00:21:15.580 --> 00:21:18.740]   don't think Peter was asking a
[00:21:18.740 --> 00:21:21.860]   hypothetical question I
[00:21:22.140 --> 00:21:27.500]   Think he was wronged now. I don't know who it might have been James. It might have been John maybe Judas
[00:21:27.500 --> 00:21:33.100]   You know, it might have been maybe people from the outside, but I think Peter was genuinely wronged
[00:21:33.100 --> 00:21:36.100]   And he was probably thinking to himself
[00:21:36.100 --> 00:21:38.740]   I'm not gonna be stepped on anymore
[00:21:38.740 --> 00:21:44.700]   How can I possibly just let this go probably Jesus kept on telling him like what do I do with this guy this guy?
[00:21:44.700 --> 00:21:49.760]   You know every time we cook fish we come back and he eats all of it, you know
[00:21:50.700 --> 00:21:53.180]   Like this guy this guy is just so insensitive
[00:21:53.180 --> 00:21:56.500]   You know the things that he says all the time
[00:21:56.500 --> 00:21:58.580]   He's not aware of what he's saying what he's doing
[00:21:58.580 --> 00:22:02.500]   and so Peter was probably wrong and he was probably asking this question because
[00:22:02.500 --> 00:22:06.740]   Every time he came to Jesus Jesus said to him forgive him
[00:22:06.740 --> 00:22:10.700]   So I believe it's in that context not knowing
[00:22:10.700 --> 00:22:13.300]   Exactly what it was
[00:22:13.300 --> 00:22:17.000]   He's actually a personal practical question
[00:22:17.380 --> 00:22:20.700]   How often do you really expect me to forgive them?
[00:22:20.700 --> 00:22:25.940]   All right. So again, it was not hypothetical. He's not asking a broad theological question
[00:22:25.940 --> 00:22:33.180]   He's just asking do you really expect me to forgive them this many times and Jesus says and he says seven times again seven times
[00:22:33.180 --> 00:22:38.680]   Being like, okay, you know, I've already given them forgiving them three times because you kept on telling me up to seven times
[00:22:38.680 --> 00:22:43.920]   That's not human, but you're the Messiah. So we're gonna live a higher standard, but seven times
[00:22:45.900 --> 00:22:50.780]   Jesus's response to him said I do not say to you seven times but 70 times seven
[00:22:50.780 --> 00:22:55.260]   It doesn't record for us Peter's response
[00:22:55.260 --> 00:22:58.940]   But you could imagine what Peter was probably thinking
[00:22:58.940 --> 00:23:06.340]   You know up to seven time. Okay, I said seven because you know, I'm already I'm already up to here with this guy, you know
[00:23:06.340 --> 00:23:15.380]   Three times four times. Okay, seven times maybe because you're from God. You're the Messiah, you know, but 70 times seven
[00:23:16.380 --> 00:23:21.620]   It doesn't say anything there's there's no response from Peter and he probably was dumbfounded
[00:23:21.620 --> 00:23:30.180]   But Jesus responds to him in that answer and he gives him the why this is reasonable
[00:23:30.180 --> 00:23:37.620]   Completely unreasonable in any other circumstance to expect any of you who've been wrong to forgive seven times
[00:23:37.620 --> 00:23:44.920]   Completely unreasonable. I would never ask that of you, but that's exactly what Jesus says and then he gives a reasoning behind it
[00:23:45.080 --> 00:23:50.720]   And you know the parable he gives a story about his this man who old this King
[00:23:50.720 --> 00:23:55.620]   10,000 talents and he could not possibly pay this back
[00:23:55.620 --> 00:24:02.280]   So he begs for mercy and so the king decides to show mercy to him and he allows him to go
[00:24:02.280 --> 00:24:04.840]   completely free and
[00:24:04.840 --> 00:24:12.360]   Then he goes back home and then here's another servant that comes to him and he owes him a hundred denarii and he same situation
[00:24:12.880 --> 00:24:17.520]   Except this this time. He's the one who was wrong and he asked for forgiveness
[00:24:17.520 --> 00:24:20.840]   He said how can I forgive you you have to pay me back?
[00:24:20.840 --> 00:24:25.080]   And if you don't I'm gonna put you in jail and that's what he practices in it end of it
[00:24:25.080 --> 00:24:27.080]   Jesus says you wicked servant
[00:24:27.080 --> 00:24:33.160]   You've been forgiven ten thousand talents and you couldn't forgive him a hundred denarii
[00:24:33.160 --> 00:24:40.080]   Now in order to understand the gravity of what he is saying, you have to understand the amount that he's talking about
[00:24:40.760 --> 00:24:48.080]   He's not talking about ten thousand talents like what he he forgave you ten thousand dollars and this guy only if only have a hundred
[00:24:48.080 --> 00:24:49.880]   dollars a
[00:24:49.880 --> 00:24:55.840]   Single talent was equivalent to 20 years of an average laborers pay
[00:24:55.840 --> 00:24:58.560]   Okay, 20 years
[00:24:58.560 --> 00:25:01.600]   Average laborers pay now. I'm not gonna do the math
[00:25:01.600 --> 00:25:05.480]   Okay, cuz I'm gonna be mocked for it at the end no matter how hard I work
[00:25:05.480 --> 00:25:10.800]   I it's probably not gonna come out right you do the math. Okay, it comes out to somewhere near in
[00:25:10.800 --> 00:25:13.080]   hundreds of millions
