
[00:00:00.000 --> 00:00:20.000]   For my God is the Ancient of Days. For my God is the Ancient of Days.
[00:02:48.280 --> 00:02:52.280]   [MUSIC PLAYING]
[00:02:52.280 --> 00:02:56.280]   [MUSIC PLAYING]
[00:02:56.280 --> 00:03:00.280]   [MUSIC PLAYING]
[00:03:00.280 --> 00:03:04.280]   [MUSIC PLAYING]
[00:03:05.280 --> 00:03:08.280]   [MUSIC PLAYING]
[00:03:08.280 --> 00:03:12.280]   [MUSIC PLAYING]
[00:03:12.280 --> 00:03:16.280]   [MUSIC PLAYING]
[00:03:16.280 --> 00:03:20.280]   [MUSIC PLAYING]
[00:03:20.280 --> 00:03:24.280]   [MUSIC PLAYING]
[00:03:24.280 --> 00:03:28.280]   [MUSIC PLAYING]
[00:03:28.280 --> 00:03:32.280]   [MUSIC PLAYING]
[00:03:33.280 --> 00:03:36.280]   [MUSIC PLAYING]
[00:03:36.280 --> 00:03:40.280]   [MUSIC PLAYING]
[00:03:40.280 --> 00:03:44.280]   [MUSIC PLAYING]
[00:03:44.280 --> 00:03:48.280]   [MUSIC PLAYING]
[00:03:48.280 --> 00:03:52.280]   [MUSIC PLAYING]
[00:03:52.280 --> 00:03:56.280]   [MUSIC PLAYING]
[00:03:56.280 --> 00:04:00.280]   [MUSIC PLAYING]
[00:04:01.280 --> 00:04:04.280]   [MUSIC PLAYING]
[00:04:04.280 --> 00:04:08.280]   [MUSIC PLAYING]
[00:04:08.280 --> 00:04:12.280]   [MUSIC PLAYING]
[00:04:12.280 --> 00:04:16.280]   [MUSIC PLAYING]
[00:04:16.280 --> 00:04:20.280]   [MUSIC PLAYING]
[00:04:20.280 --> 00:04:24.280]   [MUSIC PLAYING]
[00:04:24.280 --> 00:04:28.280]   [MUSIC PLAYING]
[00:04:29.280 --> 00:04:32.280]   [MUSIC PLAYING]
[00:04:32.280 --> 00:04:36.280]   [MUSIC PLAYING]
[00:04:36.280 --> 00:04:40.280]   [MUSIC PLAYING]
[00:04:40.280 --> 00:04:44.280]   [MUSIC PLAYING]
[00:04:44.280 --> 00:04:48.280]   [MUSIC PLAYING]
[00:04:48.280 --> 00:04:52.280]   [MUSIC PLAYING]
[00:04:52.280 --> 00:04:56.280]   [MUSIC PLAYING]
[00:04:57.280 --> 00:05:00.280]   [MUSIC PLAYING]
[00:05:00.280 --> 00:05:04.280]   [MUSIC PLAYING]
[00:05:04.280 --> 00:05:08.280]   [MUSIC PLAYING]
[00:05:08.280 --> 00:05:12.280]   [MUSIC PLAYING]
[00:05:12.280 --> 00:05:16.280]   [MUSIC PLAYING]
[00:05:16.280 --> 00:05:20.280]   [MUSIC PLAYING]
[00:05:20.280 --> 00:05:24.280]   [MUSIC PLAYING]
[00:05:25.280 --> 00:05:28.280]   [MUSIC PLAYING]
[00:05:28.280 --> 00:05:32.280]   [MUSIC PLAYING]
[00:05:32.280 --> 00:05:36.280]   [MUSIC PLAYING]
[00:05:36.280 --> 00:05:40.280]   [MUSIC PLAYING]
[00:05:40.280 --> 00:05:44.280]   [MUSIC PLAYING]
[00:05:44.280 --> 00:05:48.280]   [MUSIC PLAYING]
[00:05:48.280 --> 00:05:52.280]   [MUSIC PLAYING]
[00:05:53.280 --> 00:05:56.280]   [MUSIC PLAYING]
[00:05:56.280 --> 00:06:00.280]   [MUSIC PLAYING]
[00:06:00.280 --> 00:06:04.280]   [MUSIC PLAYING]
[00:06:04.280 --> 00:06:08.280]   [MUSIC PLAYING]
[00:06:08.280 --> 00:06:12.280]   [MUSIC PLAYING]
[00:06:12.280 --> 00:06:16.280]   [MUSIC PLAYING]
[00:06:16.280 --> 00:06:20.280]   [MUSIC PLAYING]
[00:06:21.280 --> 00:06:24.280]   [MUSIC PLAYING]
[00:06:24.280 --> 00:06:28.280]   [MUSIC PLAYING]
[00:06:28.280 --> 00:06:32.280]   [MUSIC PLAYING]
[00:06:32.280 --> 00:06:36.280]   [MUSIC PLAYING]
[00:06:36.280 --> 00:06:40.280]   [MUSIC PLAYING]
[00:06:40.280 --> 00:06:44.280]   [MUSIC PLAYING]
[00:06:44.280 --> 00:06:48.280]   [MUSIC PLAYING]
[00:06:49.280 --> 00:06:52.280]   [MUSIC PLAYING]
[00:06:52.280 --> 00:06:56.280]   [MUSIC PLAYING]
[00:06:56.280 --> 00:07:00.280]   [MUSIC PLAYING]
[00:07:00.280 --> 00:07:04.280]   [MUSIC PLAYING]
[00:07:04.280 --> 00:07:08.280]   [MUSIC PLAYING]
[00:07:08.280 --> 00:07:12.280]   [MUSIC PLAYING]
[00:07:12.280 --> 00:07:16.280]   [MUSIC PLAYING]
[00:07:17.280 --> 00:07:20.280]   [MUSIC PLAYING]
[00:07:20.280 --> 00:07:24.280]   [MUSIC PLAYING]
[00:07:24.280 --> 00:07:28.280]   [MUSIC PLAYING]
[00:07:28.280 --> 00:07:32.280]   [MUSIC PLAYING]
[00:07:32.280 --> 00:07:36.280]   [MUSIC PLAYING]
[00:07:36.280 --> 00:07:40.280]   [MUSIC PLAYING]
[00:07:40.280 --> 00:07:44.280]   [MUSIC PLAYING]
[00:07:45.280 --> 00:07:48.280]   [MUSIC PLAYING]
[00:07:48.280 --> 00:07:52.280]   [MUSIC PLAYING]
[00:07:52.280 --> 00:07:56.280]   [MUSIC PLAYING]
[00:07:56.280 --> 00:08:00.280]   [MUSIC PLAYING]
[00:08:00.280 --> 00:08:04.280]   [MUSIC PLAYING]
[00:08:04.280 --> 00:08:08.280]   [MUSIC PLAYING]
[00:08:08.280 --> 00:08:12.280]   [MUSIC PLAYING]
[00:08:13.280 --> 00:08:16.280]   [MUSIC PLAYING]
[00:08:16.280 --> 00:08:20.280]   [MUSIC PLAYING]
[00:08:20.280 --> 00:08:24.280]   [MUSIC PLAYING]
[00:08:24.280 --> 00:08:28.280]   [MUSIC PLAYING]
[00:08:28.280 --> 00:08:32.280]   [MUSIC PLAYING]
[00:08:32.280 --> 00:08:36.280]   [MUSIC PLAYING]
[00:08:36.280 --> 00:08:40.280]   [MUSIC PLAYING]
[00:08:41.280 --> 00:08:44.280]   [MUSIC PLAYING]
[00:08:44.280 --> 00:08:48.280]   [MUSIC PLAYING]
[00:08:48.280 --> 00:08:52.280]   [MUSIC PLAYING]
[00:08:52.280 --> 00:08:56.280]   [MUSIC PLAYING]
[00:08:56.280 --> 00:09:00.280]   [MUSIC PLAYING]
[00:09:00.280 --> 00:09:04.280]   [MUSIC PLAYING]
[00:09:04.280 --> 00:09:08.280]   [MUSIC PLAYING]
[00:09:09.280 --> 00:09:12.280]   [MUSIC PLAYING]
[00:09:12.280 --> 00:09:16.280]   [MUSIC PLAYING]
[00:09:16.280 --> 00:09:20.280]   [MUSIC PLAYING]
[00:09:20.280 --> 00:09:24.280]   [MUSIC PLAYING]
[00:09:24.280 --> 00:09:28.280]   [MUSIC PLAYING]
[00:09:28.280 --> 00:09:32.280]   [MUSIC PLAYING]
[00:09:32.280 --> 00:09:36.280]   [MUSIC PLAYING]
[00:09:37.280 --> 00:09:40.280]   [MUSIC PLAYING]
[00:09:40.280 --> 00:09:44.280]   [MUSIC PLAYING]
[00:09:44.280 --> 00:09:48.280]   [MUSIC PLAYING]
[00:09:48.280 --> 00:09:52.280]   [MUSIC PLAYING]
[00:09:52.280 --> 00:09:56.280]   [MUSIC PLAYING]
[00:09:56.280 --> 00:10:00.280]   [MUSIC PLAYING]
[00:10:00.280 --> 00:10:04.280]   [MUSIC PLAYING]
[00:10:05.280 --> 00:10:08.280]   [MUSIC PLAYING]
[00:10:08.280 --> 00:10:12.280]   [MUSIC PLAYING]
[00:10:12.280 --> 00:10:16.280]   [MUSIC PLAYING]
[00:10:16.280 --> 00:10:20.280]   [MUSIC PLAYING]
[00:10:20.280 --> 00:10:24.280]   [MUSIC PLAYING]
[00:10:24.280 --> 00:10:28.280]   [MUSIC PLAYING]
[00:10:28.280 --> 00:10:32.280]   [MUSIC PLAYING]
[00:10:33.280 --> 00:10:36.280]   [MUSIC PLAYING]
[00:10:36.280 --> 00:10:40.280]   [MUSIC PLAYING]
[00:10:40.280 --> 00:10:44.280]   [MUSIC PLAYING]
[00:10:44.280 --> 00:10:48.280]   [MUSIC PLAYING]
[00:10:48.280 --> 00:10:52.280]   [MUSIC PLAYING]
[00:10:52.280 --> 00:10:56.280]   [MUSIC PLAYING]
[00:10:56.280 --> 00:11:00.280]   [MUSIC PLAYING]
[00:11:01.280 --> 00:11:04.280]   [MUSIC PLAYING]
[00:11:04.280 --> 00:11:08.280]   [MUSIC PLAYING]
[00:11:08.280 --> 00:11:12.280]   [MUSIC PLAYING]
[00:11:12.280 --> 00:11:16.280]   [MUSIC PLAYING]
[00:11:16.280 --> 00:11:20.280]   [MUSIC PLAYING]
[00:11:20.280 --> 00:11:24.280]   [MUSIC PLAYING]
[00:11:24.280 --> 00:11:28.280]   [MUSIC PLAYING]
[00:11:29.280 --> 00:11:32.280]   [MUSIC PLAYING]
[00:11:32.280 --> 00:11:36.280]   [MUSIC PLAYING]
[00:11:36.280 --> 00:11:40.280]   [MUSIC PLAYING]
[00:11:40.280 --> 00:11:44.280]   [MUSIC PLAYING]
[00:11:44.280 --> 00:11:48.280]   [MUSIC PLAYING]
[00:11:48.280 --> 00:11:52.280]   [MUSIC PLAYING]
[00:11:52.280 --> 00:11:56.280]   [MUSIC PLAYING]
[00:11:57.280 --> 00:12:00.280]   [MUSIC PLAYING]
[00:12:00.280 --> 00:12:04.280]   [MUSIC PLAYING]
[00:12:04.280 --> 00:12:08.280]   [MUSIC PLAYING]
[00:12:08.280 --> 00:12:12.280]   [MUSIC PLAYING]
[00:12:12.280 --> 00:12:16.280]   [MUSIC PLAYING]
[00:12:16.280 --> 00:12:20.280]   [MUSIC PLAYING]
[00:12:20.280 --> 00:12:24.280]   [MUSIC PLAYING]
[00:12:25.280 --> 00:12:28.280]   [MUSIC PLAYING]
[00:12:28.280 --> 00:12:32.280]   [MUSIC PLAYING]
[00:12:32.280 --> 00:12:36.280]   [MUSIC PLAYING]
[00:12:36.280 --> 00:12:40.280]   [MUSIC PLAYING]
[00:12:40.280 --> 00:12:44.280]   [MUSIC PLAYING]
[00:12:44.280 --> 00:12:48.280]   [MUSIC PLAYING]
[00:12:48.280 --> 00:12:52.280]   [MUSIC PLAYING]
[00:12:53.280 --> 00:12:56.280]   [MUSIC PLAYING]
[00:12:56.280 --> 00:13:00.280]   [MUSIC PLAYING]
[00:13:00.280 --> 00:13:04.280]   [MUSIC PLAYING]
[00:13:04.280 --> 00:13:08.280]   [MUSIC PLAYING]
[00:13:08.280 --> 00:13:12.280]   [MUSIC PLAYING]
[00:13:12.280 --> 00:13:16.280]   [MUSIC PLAYING]
[00:13:16.280 --> 00:13:20.280]   [MUSIC PLAYING]
[00:13:21.280 --> 00:13:24.280]   [MUSIC PLAYING]
[00:13:24.280 --> 00:13:28.280]   [MUSIC PLAYING]
[00:13:28.280 --> 00:13:32.280]   [MUSIC PLAYING]
[00:13:32.280 --> 00:13:36.280]   [MUSIC PLAYING]
[00:13:36.280 --> 00:13:40.280]   [MUSIC PLAYING]
[00:13:40.280 --> 00:13:44.280]   [MUSIC PLAYING]
[00:13:44.280 --> 00:13:48.280]   [MUSIC PLAYING]
[00:13:49.280 --> 00:13:52.280]   [MUSIC PLAYING]
[00:13:52.280 --> 00:13:56.280]   [MUSIC PLAYING]
[00:13:56.280 --> 00:14:00.280]   [MUSIC PLAYING]
[00:14:00.280 --> 00:14:04.280]   [MUSIC PLAYING]
[00:14:04.280 --> 00:14:08.280]   [MUSIC PLAYING]
[00:14:08.280 --> 00:14:12.280]   [MUSIC PLAYING]
[00:14:12.280 --> 00:14:16.280]   [MUSIC PLAYING]
[00:14:17.280 --> 00:14:20.280]   [MUSIC PLAYING]
[00:14:20.280 --> 00:14:24.280]   [MUSIC PLAYING]
[00:14:24.280 --> 00:14:28.280]   [MUSIC PLAYING]
[00:14:28.280 --> 00:14:32.280]   [MUSIC PLAYING]
[00:14:32.280 --> 00:14:36.280]   [MUSIC PLAYING]
[00:14:36.280 --> 00:14:40.280]   [MUSIC PLAYING]
[00:14:40.280 --> 00:14:44.280]   [MUSIC PLAYING]
[00:14:45.280 --> 00:14:48.280]   [MUSIC PLAYING]
[00:14:48.280 --> 00:14:52.280]   [MUSIC PLAYING]
[00:14:52.280 --> 00:14:56.280]   [MUSIC PLAYING]
[00:14:56.280 --> 00:15:00.280]   [MUSIC PLAYING]
[00:15:00.280 --> 00:15:04.280]   [MUSIC PLAYING]
[00:15:04.280 --> 00:15:08.280]   [MUSIC PLAYING]
[00:15:08.280 --> 00:15:12.280]   [MUSIC PLAYING]
[00:15:13.280 --> 00:15:16.280]   [MUSIC PLAYING]
[00:15:16.280 --> 00:15:20.280]   [MUSIC PLAYING]
[00:15:20.280 --> 00:15:24.280]   [MUSIC PLAYING]
[00:15:24.280 --> 00:15:28.280]   [MUSIC PLAYING]
[00:15:28.280 --> 00:15:32.280]   [MUSIC PLAYING]
[00:15:32.280 --> 00:15:36.280]   [MUSIC PLAYING]
[00:15:36.280 --> 00:15:40.280]   [MUSIC PLAYING]
[00:15:41.280 --> 00:15:44.280]   [MUSIC PLAYING]
[00:15:44.280 --> 00:15:48.280]   [MUSIC PLAYING]
[00:15:48.280 --> 00:15:52.280]   [MUSIC PLAYING]
[00:15:52.280 --> 00:15:56.280]   [MUSIC PLAYING]
[00:15:56.280 --> 00:16:00.280]   [MUSIC PLAYING]
[00:16:00.280 --> 00:16:04.280]   [MUSIC PLAYING]
[00:16:04.280 --> 00:16:08.280]   [MUSIC PLAYING]
[00:16:09.280 --> 00:16:12.280]   [MUSIC PLAYING]
[00:16:12.280 --> 00:16:16.280]   [MUSIC PLAYING]
[00:16:16.280 --> 00:16:20.280]   [MUSIC PLAYING]
[00:16:20.280 --> 00:16:24.280]   [MUSIC PLAYING]
[00:16:24.280 --> 00:16:28.280]   [MUSIC PLAYING]
[00:16:28.280 --> 00:16:32.280]   [MUSIC PLAYING]
[00:16:32.280 --> 00:16:36.280]   [MUSIC PLAYING]
[00:16:37.280 --> 00:16:40.280]   [MUSIC PLAYING]
[00:16:40.280 --> 00:16:44.280]   [MUSIC PLAYING]
[00:16:44.280 --> 00:16:48.280]   [MUSIC PLAYING]
[00:16:48.280 --> 00:16:52.280]   [MUSIC PLAYING]
[00:16:52.280 --> 00:16:56.280]   [MUSIC PLAYING]
[00:16:56.280 --> 00:17:00.280]   [MUSIC PLAYING]
[00:17:00.280 --> 00:17:04.280]   [MUSIC PLAYING]
[00:17:05.280 --> 00:17:08.280]   [MUSIC PLAYING]
[00:17:08.280 --> 00:17:12.280]   [MUSIC PLAYING]
[00:17:12.280 --> 00:17:16.280]   [MUSIC PLAYING]
[00:17:16.280 --> 00:17:20.280]   [MUSIC PLAYING]
[00:17:20.280 --> 00:17:24.280]   [MUSIC PLAYING]
[00:17:24.280 --> 00:17:28.280]   [MUSIC PLAYING]
[00:17:28.280 --> 00:17:32.280]   [MUSIC PLAYING]
[00:17:33.280 --> 00:17:36.280]   [MUSIC PLAYING]
[00:17:36.280 --> 00:17:40.280]   [MUSIC PLAYING]
[00:17:40.280 --> 00:17:44.280]   [MUSIC PLAYING]
[00:17:44.280 --> 00:17:48.280]   [MUSIC PLAYING]
[00:17:48.280 --> 00:17:52.280]   [MUSIC PLAYING]
[00:17:52.280 --> 00:17:56.280]   [MUSIC PLAYING]
[00:17:56.280 --> 00:18:00.280]   [MUSIC PLAYING]
[00:18:01.280 --> 00:18:04.280]   [MUSIC PLAYING]
[00:18:04.280 --> 00:18:08.280]   [MUSIC PLAYING]
[00:18:08.280 --> 00:18:12.280]   [MUSIC PLAYING]
[00:18:12.280 --> 00:18:16.280]   [MUSIC PLAYING]
[00:18:16.280 --> 00:18:20.280]   [MUSIC PLAYING]
[00:18:20.280 --> 00:18:24.280]   [MUSIC PLAYING]
[00:18:24.280 --> 00:18:28.280]   [MUSIC PLAYING]
[00:18:29.280 --> 00:18:32.280]   [MUSIC PLAYING]
[00:18:32.280 --> 00:18:36.280]   [MUSIC PLAYING]
[00:18:36.280 --> 00:18:40.280]   [MUSIC PLAYING]
[00:18:40.280 --> 00:18:44.280]   [MUSIC PLAYING]
[00:18:44.280 --> 00:18:48.280]   [MUSIC PLAYING]
[00:18:48.280 --> 00:18:52.280]   [MUSIC PLAYING]
[00:18:52.280 --> 00:18:56.280]   [MUSIC PLAYING]
[00:18:57.280 --> 00:19:00.280]   [MUSIC PLAYING]
[00:19:00.280 --> 00:19:04.280]   [MUSIC PLAYING]
[00:19:04.280 --> 00:19:08.280]   [MUSIC PLAYING]
[00:19:08.280 --> 00:19:12.280]   [MUSIC PLAYING]
[00:19:12.280 --> 00:19:16.280]   [MUSIC PLAYING]
[00:19:16.280 --> 00:19:20.280]   [MUSIC PLAYING]
[00:19:20.280 --> 00:19:24.280]   [MUSIC PLAYING]
[00:19:25.280 --> 00:19:28.280]   [MUSIC PLAYING]
[00:19:28.280 --> 00:19:32.280]   [MUSIC PLAYING]
[00:19:32.280 --> 00:19:36.280]   [MUSIC PLAYING]
[00:19:36.280 --> 00:19:40.280]   [MUSIC PLAYING]
[00:19:40.280 --> 00:19:44.280]   [MUSIC PLAYING]
[00:19:44.280 --> 00:19:48.280]   [MUSIC PLAYING]
[00:19:48.280 --> 00:19:52.280]   [MUSIC PLAYING]
[00:19:53.280 --> 00:19:56.280]   [MUSIC PLAYING]
[00:19:56.280 --> 00:20:00.280]   [MUSIC PLAYING]
[00:20:00.280 --> 00:20:04.280]   [MUSIC PLAYING]
[00:20:04.280 --> 00:20:08.280]   [MUSIC PLAYING]
[00:20:08.280 --> 00:20:12.280]   [MUSIC PLAYING]
[00:20:12.280 --> 00:20:16.280]   [MUSIC PLAYING]
[00:20:16.280 --> 00:20:20.280]   [MUSIC PLAYING]
[00:20:21.280 --> 00:20:24.280]   [MUSIC PLAYING]
[00:20:24.280 --> 00:20:28.280]   [MUSIC PLAYING]
[00:20:28.280 --> 00:20:32.280]   [MUSIC PLAYING]
[00:20:32.280 --> 00:20:36.280]   [MUSIC PLAYING]
[00:20:36.280 --> 00:20:40.280]   [MUSIC PLAYING]
[00:20:40.280 --> 00:20:44.280]   [MUSIC PLAYING]
[00:20:44.280 --> 00:20:48.280]   [MUSIC PLAYING]
[00:20:49.280 --> 00:20:52.280]   [MUSIC PLAYING]
[00:20:52.280 --> 00:20:56.280]   [MUSIC PLAYING]
[00:20:56.280 --> 00:21:00.280]   [MUSIC PLAYING]
[00:21:00.280 --> 00:21:04.280]   [MUSIC PLAYING]
[00:21:04.280 --> 00:21:08.280]   [MUSIC PLAYING]
[00:21:08.280 --> 00:21:12.280]   [MUSIC PLAYING]
[00:21:12.280 --> 00:21:16.280]   [MUSIC PLAYING]
[00:21:17.280 --> 00:21:20.280]   [MUSIC PLAYING]
[00:21:20.280 --> 00:21:24.280]   [MUSIC PLAYING]
[00:21:24.280 --> 00:21:28.280]   [MUSIC PLAYING]
[00:21:28.280 --> 00:21:32.280]   [MUSIC PLAYING]
[00:21:32.280 --> 00:21:36.280]   [MUSIC PLAYING]
[00:21:36.280 --> 00:21:40.280]   [MUSIC PLAYING]
[00:21:40.280 --> 00:21:44.280]   [MUSIC PLAYING]
[00:21:45.280 --> 00:21:48.280]   [MUSIC PLAYING]
[00:21:48.280 --> 00:21:52.280]   [MUSIC PLAYING]
[00:21:52.280 --> 00:21:56.280]   [MUSIC PLAYING]
[00:21:56.280 --> 00:22:00.280]   [MUSIC PLAYING]
[00:22:00.280 --> 00:22:04.280]   [MUSIC PLAYING]
[00:22:04.280 --> 00:22:08.280]   [MUSIC PLAYING]
[00:22:08.280 --> 00:22:12.280]   [MUSIC PLAYING]
[00:22:13.280 --> 00:22:16.280]   [MUSIC PLAYING]
[00:22:16.280 --> 00:22:20.280]   [MUSIC PLAYING]
[00:22:20.280 --> 00:22:24.280]   [MUSIC PLAYING]
[00:22:24.280 --> 00:22:28.280]   [MUSIC PLAYING]
[00:22:28.280 --> 00:22:32.280]   [MUSIC PLAYING]
[00:22:32.280 --> 00:22:36.280]   [MUSIC PLAYING]
[00:22:36.280 --> 00:22:40.280]   [MUSIC PLAYING]
[00:22:41.280 --> 00:22:44.280]   [MUSIC PLAYING]
[00:22:44.280 --> 00:22:48.280]   [MUSIC PLAYING]
[00:22:48.280 --> 00:22:52.280]   [MUSIC PLAYING]
[00:22:52.280 --> 00:22:56.280]   [MUSIC PLAYING]
[00:22:56.280 --> 00:23:00.280]   [MUSIC PLAYING]
[00:23:00.280 --> 00:23:04.280]   [MUSIC PLAYING]
[00:23:04.280 --> 00:23:08.280]   [MUSIC PLAYING]
[00:23:09.280 --> 00:23:12.280]   [MUSIC PLAYING]
[00:23:12.280 --> 00:23:16.280]   [MUSIC PLAYING]
[00:23:16.280 --> 00:23:20.280]   [MUSIC PLAYING]
[00:23:20.280 --> 00:23:24.280]   [MUSIC PLAYING]
[00:23:24.280 --> 00:23:28.280]   [MUSIC PLAYING]
[00:23:28.280 --> 00:23:32.280]   [MUSIC PLAYING]
[00:23:32.280 --> 00:23:36.280]   [MUSIC PLAYING]
[00:23:37.280 --> 00:23:40.280]   [MUSIC PLAYING]
[00:23:40.280 --> 00:23:44.280]   [MUSIC PLAYING]
[00:23:44.280 --> 00:23:48.280]   [MUSIC PLAYING]
[00:23:48.280 --> 00:23:52.280]   [MUSIC PLAYING]
[00:23:52.280 --> 00:23:56.280]   [MUSIC PLAYING]
[00:23:56.280 --> 00:24:00.280]   [MUSIC PLAYING]
[00:24:00.280 --> 00:24:04.280]   [MUSIC PLAYING]
[00:24:05.280 --> 00:24:08.280]   [MUSIC PLAYING]
[00:24:08.280 --> 00:24:12.280]   [MUSIC PLAYING]
[00:24:12.280 --> 00:24:16.280]   [MUSIC PLAYING]
[00:24:16.280 --> 00:24:20.280]   [MUSIC PLAYING]
[00:24:20.280 --> 00:24:24.280]   [MUSIC PLAYING]
[00:24:24.280 --> 00:24:28.280]   [MUSIC PLAYING]
[00:24:28.280 --> 00:24:32.280]   [MUSIC PLAYING]
[00:24:33.280 --> 00:24:36.280]   [MUSIC PLAYING]
[00:24:36.280 --> 00:24:40.280]   [MUSIC PLAYING]
[00:24:40.280 --> 00:24:44.280]   [MUSIC PLAYING]
[00:24:44.280 --> 00:24:48.280]   [MUSIC PLAYING]
[00:24:48.280 --> 00:24:52.280]   [MUSIC PLAYING]
[00:24:52.280 --> 00:24:56.280]   [MUSIC PLAYING]
[00:24:56.280 --> 00:25:00.280]   [MUSIC PLAYING]
[00:25:01.280 --> 00:25:04.280]   [MUSIC PLAYING]
[00:25:04.280 --> 00:25:08.280]   [MUSIC PLAYING]
[00:25:08.280 --> 00:25:12.280]   [MUSIC PLAYING]
[00:25:12.280 --> 00:25:16.280]   [MUSIC PLAYING]
[00:25:16.280 --> 00:25:20.280]   [MUSIC PLAYING]
[00:25:20.280 --> 00:25:24.280]   [MUSIC PLAYING]
[00:25:24.280 --> 00:25:28.280]   [MUSIC PLAYING]
[00:25:29.280 --> 00:25:32.280]   [MUSIC PLAYING]
[00:25:32.280 --> 00:25:36.280]   [MUSIC PLAYING]
[00:25:36.280 --> 00:25:40.280]   [MUSIC PLAYING]
[00:25:40.280 --> 00:25:44.280]   [MUSIC PLAYING]
[00:25:44.280 --> 00:25:48.280]   [MUSIC PLAYING]
[00:25:48.280 --> 00:25:52.280]   [MUSIC PLAYING]
[00:25:52.280 --> 00:25:56.280]   [MUSIC PLAYING]
[00:25:57.280 --> 00:26:00.280]   [MUSIC PLAYING]
[00:26:00.280 --> 00:26:04.280]   [MUSIC PLAYING]
[00:26:04.280 --> 00:26:08.280]   [MUSIC PLAYING]
[00:26:08.280 --> 00:26:12.280]   [MUSIC PLAYING]
[00:26:12.280 --> 00:26:16.280]   [MUSIC PLAYING]
[00:26:16.280 --> 00:26:20.280]   [MUSIC PLAYING]
[00:26:20.280 --> 00:26:24.280]   [MUSIC PLAYING]
[00:26:25.280 --> 00:26:28.280]   [MUSIC PLAYING]
[00:26:28.280 --> 00:26:32.280]   [MUSIC PLAYING]
[00:26:32.280 --> 00:26:36.280]   [MUSIC PLAYING]
[00:26:36.280 --> 00:26:40.280]   [MUSIC PLAYING]
[00:26:40.280 --> 00:26:44.280]   [MUSIC PLAYING]
[00:26:44.280 --> 00:26:48.280]   [MUSIC PLAYING]
[00:26:48.280 --> 00:26:52.280]   [MUSIC PLAYING]
[00:26:53.280 --> 00:26:56.280]   [MUSIC PLAYING]
[00:26:56.280 --> 00:27:00.280]   [MUSIC PLAYING]
[00:27:00.280 --> 00:27:04.280]   [MUSIC PLAYING]
[00:27:04.280 --> 00:27:08.280]   [MUSIC PLAYING]
[00:27:08.280 --> 00:27:12.280]   [MUSIC PLAYING]
[00:27:12.280 --> 00:27:16.280]   [MUSIC PLAYING]
[00:27:16.280 --> 00:27:20.280]   [MUSIC PLAYING]
[00:27:21.280 --> 00:27:24.280]   [MUSIC PLAYING]
[00:27:24.280 --> 00:27:28.280]   [MUSIC PLAYING]
[00:27:28.280 --> 00:27:32.280]   [MUSIC PLAYING]
[00:27:32.280 --> 00:27:36.280]   [MUSIC PLAYING]
[00:27:36.280 --> 00:27:40.280]   [MUSIC PLAYING]
[00:27:40.280 --> 00:27:44.280]   [MUSIC PLAYING]
[00:27:44.280 --> 00:27:48.280]   [MUSIC PLAYING]
