
[00:00:00.000 --> 00:00:07.000]   Testing, testing.
[00:11:39.000 --> 00:11:41.000]   about the church.
[00:11:41.000 --> 00:11:42.000]   The church is abusive.
[00:11:42.000 --> 00:11:44.000]   How many of you guys have heard that?
[00:11:44.000 --> 00:11:47.000]   The church leaders are authoritarian.
[00:11:47.000 --> 00:11:49.000]   But God ordained the church, all right?
[00:11:49.000 --> 00:11:53.000]   So before I throw out a blanket statement like that, even if the
[00:11:53.000 --> 00:11:57.000]   church is abusive, it's the institution that God ordained.
[00:11:57.000 --> 00:11:59.000]   I wanna be very careful.
[00:11:59.000 --> 00:12:03.000]   Okay, remember, eisegesis is I'm putting my interpretation into
[00:12:03.000 --> 00:12:04.000]   a text.
[00:12:04.000 --> 00:12:07.000]   Exegesis is I'm looking at the text, I'm taking it out, seeing
[00:12:07.000 --> 00:12:11.000]   what God means and trying to submit to it.
[00:12:11.000 --> 00:12:14.000]   Regardless of what the culture around me or what churchianity
[00:12:14.000 --> 00:12:17.000]   around me suggests that I do, all right?
[00:12:17.000 --> 00:12:19.000]   So I'm gonna leave you here spiritually constipated and I
[00:12:19.000 --> 00:12:21.000]   have peace about that, okay?
[00:12:21.000 --> 00:12:23.000]   So deal with it.
[00:12:23.000 --> 00:12:29.000]   Verse 14, "Myths and arrogant commands," but I just titled it
[00:12:29.000 --> 00:12:30.000]   that.
[00:12:30.000 --> 00:12:32.000]   I might change it tomorrow, I don't know.
[00:12:32.000 --> 00:12:34.000]   But that's kinda where I landed.
[00:12:34.000 --> 00:12:35.000]   And what is this?
[00:12:35.000 --> 00:12:37.000]   We don't know for sure, okay?
[00:12:37.000 --> 00:12:38.000]   It could be many things.
[00:12:38.000 --> 00:12:44.000]   Religiosity dictates all kinds of stuff and it evolves, okay?
[00:12:44.000 --> 00:12:47.000]   So some people think it's just genealogies, okay, but what is
[00:12:47.000 --> 00:12:48.000]   that?
[00:12:48.000 --> 00:12:50.000]   Not sure exactly.
[00:12:50.000 --> 00:12:54.000]   It could be rabbinic teachings based on the Old Testament that
[00:12:54.000 --> 00:12:57.000]   are a little bit overly legalistic like the Pharisees,
[00:12:57.000 --> 00:12:58.000]   okay?
[00:12:58.000 --> 00:13:01.000]   There's some that say that's numerology.
[00:13:01.000 --> 00:13:04.000]   They're taking like these Hebrew words, you add them up, they
[00:13:04.000 --> 00:13:08.000]   give them a value and there's predictions of like all kinds of
[00:13:08.000 --> 00:13:10.000]   different stuff, okay?
[00:13:10.000 --> 00:13:13.000]   So some people think it's this.
[00:13:13.000 --> 00:13:16.000]   There's a Colossian heresy that was contemporaneous to this.
[00:13:16.000 --> 00:13:20.000]   "Do not handle, do not taste, do not touch, which all refer to
[00:13:20.000 --> 00:13:22.000]   things destined to perish with use in accordance with the
[00:13:22.000 --> 00:13:24.000]   commandments and teachings of men.
[00:13:24.000 --> 00:13:26.000]   These are matters which have to be sure, the appearance of
[00:13:26.000 --> 00:13:29.000]   wisdom and self-made religion and self-abasement and severe
[00:13:29.000 --> 00:13:31.000]   treatment of the body, but of no value against fleshly
[00:13:31.000 --> 00:13:33.000]   indulgence."
[00:13:33.000 --> 00:13:35.000]   Okay, so this is basically asceticism.
[00:13:35.000 --> 00:13:39.000]   Remember, I mentioned hedonism, which is like just giving in to
[00:13:39.000 --> 00:13:41.000]   whatever pleasure, and asceticism are two sides of the
[00:13:41.000 --> 00:13:42.000]   same coin.
[00:13:42.000 --> 00:13:46.000]   Legalism and cheap grace liberalism, two sides of the same
[00:13:46.000 --> 00:13:47.000]   coin.
[00:13:47.000 --> 00:13:49.000]   Both biblical illiteracy.
[00:13:49.000 --> 00:13:51.000]   You guys following this?
[00:13:51.000 --> 00:13:56.000]   Okay, so when we are exegeting, we're trying to figure out what
[00:13:56.000 --> 00:13:59.000]   God has to say rather than imposing our perspective on the
[00:13:59.000 --> 00:14:00.000]   text.
[00:14:00.000 --> 00:14:04.000]   So there's all kinds of stuff going on, alright?
[00:14:04.000 --> 00:14:09.000]   We don't know exactly what that is, but it's religious practice
[00:14:09.000 --> 00:14:14.000]   that is seeking the approval of God, okay?
[00:14:14.000 --> 00:14:15.000]   I'm just going to leave it at that.
[00:14:15.000 --> 00:14:18.000]   I'm going to come back to that, alright?
[00:14:18.000 --> 00:14:22.000]   So I referred you guys before to Mark 7 and Matthew 15, and I'm
[00:14:22.000 --> 00:14:24.000]   just going to read you a passage.
[00:14:24.000 --> 00:14:26.000]   Some of you might have already discussed this.
[00:14:26.000 --> 00:14:30.000]   This is Jesus confronting the Pharisees and then explaining to
[00:14:30.000 --> 00:14:33.000]   the disciples, "But in vain do they worship me, teaching as
[00:14:33.000 --> 00:14:35.000]   doctrines the precepts of men.
[00:14:35.000 --> 00:14:39.000]   Neglecting the commandment of God, you hold to the tradition
[00:14:39.000 --> 00:14:40.000]   of men."
[00:14:40.000 --> 00:14:44.000]   He was also saying to them, "You are experts at setting aside the
[00:14:44.000 --> 00:14:47.000]   commandment of God in order to keep your tradition."
[00:14:47.000 --> 00:14:51.000]   And he was saying, "That which proceeds out of the man, that is
[00:14:51.000 --> 00:14:53.000]   what defiles a man.
[00:14:53.000 --> 00:14:56.000]   For from within, out of the heart of man, proceed the evil
[00:14:56.000 --> 00:15:01.000]   thoughts, fornications, thefts, murder, adulteries, deeds of
[00:15:01.000 --> 00:15:04.000]   coveting and wickedness, as well as deceit, sensuality, envy,
[00:15:04.000 --> 00:15:07.000]   slander, pride, and foolishness.
[00:15:07.000 --> 00:15:11.000]   All these evil things proceed from within and defile the man."
[00:15:11.000 --> 00:15:12.000]   Okay?
[00:15:12.000 --> 00:15:14.000]   So what is this commandment of God?
[00:15:14.000 --> 00:15:16.000]   And these are just my words, alright?
[00:15:16.000 --> 00:15:21.000]   I just tried to put together like a definition that I would say.
[00:15:21.000 --> 00:15:27.000]   "All who have fallen short of the glory of God must humble
[00:15:27.000 --> 00:15:31.000]   themselves in repentance and faith and be justified freely
[00:15:31.000 --> 00:15:36.000]   and only by his grace and thus be restored to their creator and
[00:15:36.000 --> 00:15:39.000]   worship him eternally in spirit and in truth."
[00:15:39.000 --> 00:15:41.000]   That's my definition.
[00:15:41.000 --> 00:15:43.000]   What is the commandment of God?
[00:15:43.000 --> 00:15:44.000]   To love him.
[00:15:44.000 --> 00:15:47.000]   We were created by God and for God to love God and to serve God.
[00:15:47.000 --> 00:15:48.000]   Amen?
[00:15:48.000 --> 00:15:50.000]   That's our purpose.
[00:15:50.000 --> 00:15:51.000]   He doesn't exist for us.
[00:15:51.000 --> 00:15:52.000]   We exist for him.
[00:15:52.000 --> 00:15:55.000]   Amen?
[00:15:55.000 --> 00:15:58.000]   We were created by God and for God to love God and to serve
[00:15:58.000 --> 00:16:02.000]   God and that is our purpose and sin is not doing that.
[00:16:02.000 --> 00:16:03.000]   Hamartia.
[00:16:03.000 --> 00:16:04.000]   That's what it is.
[00:16:04.000 --> 00:16:05.000]   Okay?
[00:16:05.000 --> 00:16:10.000]   And what Jewish myths and commandments of men are doing,
[00:16:10.000 --> 00:16:14.000]   it's to try to tell you that there's a back door.
[00:16:14.000 --> 00:16:19.000]   You can be restored to God by your own effort.
[00:16:19.000 --> 00:16:23.000]   And that's pretty much the premise of all false religions.
[00:16:23.000 --> 00:16:24.000]   It's works based.
[00:16:24.000 --> 00:16:29.000]   You can get to God is every premise for every false religion.
[00:16:29.000 --> 00:16:31.000]   Does that make sense?
[00:16:31.000 --> 00:16:32.000]   Okay?
[00:16:32.000 --> 00:16:36.000]   Anything that tells you that you can be good on your own is a
[00:16:36.000 --> 00:16:37.000]   false religion.
[00:16:37.000 --> 00:16:39.000]   It's heretical.
[00:16:39.000 --> 00:16:42.000]   And I want to emotionally spell this out for you and my favorite
[00:16:42.000 --> 00:16:45.000]   illustration is a mosquito.
[00:16:45.000 --> 00:16:47.000]   You guys have seen this before.
[00:16:47.000 --> 00:16:50.000]   Here's my question.
[00:16:50.000 --> 00:16:54.000]   What can Mr. Mosquito do to earn your love and be adopted as your
[00:16:54.000 --> 00:16:59.000]   beloved child?
[00:16:59.000 --> 00:17:02.000]   Never bite anybody ever again?
[00:17:02.000 --> 00:17:06.000]   Suck out blood from only bad people and then spit it out into
[00:17:06.000 --> 00:17:08.000]   a blood bank?
[00:17:08.000 --> 00:17:13.000]   What can Mr. Mosquito do to earn your love and be adopted as your
[00:17:13.000 --> 00:17:15.000]   beloved child?
[00:17:15.000 --> 00:17:19.000]   Even if he doesn't bite you and he's flying around,
[00:17:19.000 --> 00:17:21.000]   all of us, what are we going to do?
[00:17:21.000 --> 00:17:24.000]   Eeeeee!
[00:17:24.000 --> 00:17:26.000]   That's what we're going to do.
[00:17:26.000 --> 00:17:29.000]   And how many of you guys would be upset if someone next to you
[00:17:29.000 --> 00:17:31.000]   kills one of these?
[00:17:31.000 --> 00:17:32.000]   Nobody.
[00:17:32.000 --> 00:17:35.000]   If you got upset, I would judge you.
[00:17:36.000 --> 00:17:39.000]   If there's a mosquito in here flying around and someone kills
[00:17:39.000 --> 00:17:41.000]   it, I would laud you.
[00:17:41.000 --> 00:17:44.000]   I wouldn't be like, eeeeee!
[00:17:44.000 --> 00:17:46.000]   Do you guys understand this?
[00:17:46.000 --> 00:17:50.000]   It'd be weird if someone was affectionate toward this mosquito.
[00:17:50.000 --> 00:17:55.000]   Especially if this area had dengue, Zika, right?
[00:17:55.000 --> 00:17:57.000]   Malaria.
[00:17:57.000 --> 00:18:02.000]   So what can Mr. Mosquito do to earn your love and be adopted as
[00:18:02.000 --> 00:18:05.000]   your beloved child?
[00:18:05.000 --> 00:18:09.000]   No matter what it does, that will never happen.
[00:18:09.000 --> 00:18:12.000]   You guys following this?
[00:18:12.000 --> 00:18:18.000]   The distance between me and God, the distance between me and
[00:18:18.000 --> 00:18:24.000]   mosquito, what is the greater distance?
[00:18:24.000 --> 00:18:27.000]   Infinitely between me and God is a greater distance.
[00:18:27.000 --> 00:18:36.000]   So for man to say that I can appease holy God somehow is the
[00:18:36.000 --> 00:18:38.000]   heartbeat of every heresy.
[00:18:38.000 --> 00:18:41.000]   It's the heartbeat of the Jewish myths.
[00:18:41.000 --> 00:18:44.000]   It's the heartbeat of circumcision.
[00:18:44.000 --> 00:18:46.000]   It's based a little bit on truths that we may have heard in
[00:18:46.000 --> 00:18:48.000]   the past.
[00:18:48.000 --> 00:18:54.000]   But there's no thing that you and I can do to make ourselves
[00:18:54.000 --> 00:18:56.000]   more lovable.
[00:18:56.000 --> 00:19:01.000]   And to teach that we can is utter arrogance and heresy.
[00:19:01.000 --> 00:19:03.000]   That's the emotion of it.
[00:19:03.000 --> 00:19:06.000]   Not sure if you guys get that.
[00:19:06.000 --> 00:19:08.000]   What can he do?
[00:19:08.000 --> 00:19:10.000]   What if he buys you a flower?
[00:19:10.000 --> 00:19:12.000]   First of all, that's impossible.
[00:19:12.000 --> 00:19:15.000]   He would get killed on the way there, okay?
[00:19:15.000 --> 00:19:17.000]   Impossible.
[00:19:17.000 --> 00:19:20.000]   But that's our lot.
[00:19:20.000 --> 00:19:22.000]   This is us.
[00:19:22.000 --> 00:19:25.000]   Poopah.
[00:19:25.000 --> 00:19:28.000]   It's called poopah but I prefer the term poopah.
[00:19:28.000 --> 00:19:30.000]   It helps to emphasize.
[00:19:30.000 --> 00:19:32.000]   This is us.
[00:19:32.000 --> 00:19:36.000]   Ephesians 2 calls us children, the technon of wrath.
[00:19:36.000 --> 00:19:38.000]   We only deserve wrath.
[00:19:38.000 --> 00:19:43.000]   So to say that these guys can do something good to you is utter
[00:19:43.000 --> 00:19:45.000]   stupidity.
[00:19:45.000 --> 00:19:49.000]   Us to please holy, holy, holy God by some kind of morning
[00:19:49.000 --> 00:19:54.000]   prayer, by some kind of cutting, by some kind of donation or
[00:19:54.000 --> 00:19:57.000]   offering, by some kind of service, by some kind of
[00:19:57.000 --> 00:20:02.000]   manipulation is not just utter stupidity, it's arrogance.
[00:20:02.000 --> 00:20:06.000]   And that's why that kind of teaching needs to be slapped in
[00:20:06.000 --> 00:20:08.000]   the face.
[00:20:08.000 --> 00:20:10.000]   In love.
[00:20:10.000 --> 00:20:11.000]   Okay?
[00:20:11.000 --> 00:20:15.000]   So how does one become sound in the faith?
[00:20:15.000 --> 00:20:18.000]   We have no hope outside of Christ.
[00:20:18.000 --> 00:20:20.000]   And this is not just me proselytizing here.
[00:20:20.000 --> 00:20:22.000]   This is Titus.
[00:20:22.000 --> 00:20:24.000]   And I'll show you where.
[00:20:24.000 --> 00:20:27.000]   The problem is in the heart.
[00:20:27.000 --> 00:20:31.000]   So sinners cannot purify their own hearts through ritual, deed
[00:20:31.000 --> 00:20:32.000]   or effort.
[00:20:32.000 --> 00:20:33.000]   Amen?
[00:20:33.000 --> 00:20:35.000]   You guys following that?
[00:20:35.000 --> 00:20:37.000]   You can do nothing.
[00:20:37.000 --> 00:20:40.000]   You need a new heart is what the Bible teaches.
[00:20:40.000 --> 00:20:43.000]   Fortunately God gives it to you.
[00:20:43.000 --> 00:20:45.000]   He takes away your heart of what?
[00:20:45.000 --> 00:20:47.000]   Stone gives you a heart of flesh.
[00:20:47.000 --> 00:20:50.000]   Not only that, he changes your spiritual DNA.
[00:20:50.000 --> 00:20:56.000]   He implants himself into you to effect change.
