
[00:00:00.000 --> 00:00:08.640]   [ Applause ]
[00:04:08.120 --> 00:04:10.260]   And I was filled with joy.
[00:04:10.260 --> 00:04:12.500]   No longer was I living for the world.
[00:04:12.500 --> 00:04:14.580]   I was now living for the Almighty God.
[00:04:14.580 --> 00:04:18.240]   And afterwards, Pastor Mark told me that those in heaven are cheering in joy,
[00:04:18.240 --> 00:04:20.500]   and that put a big smile on my face.
[00:04:20.500 --> 00:04:27.700]   After conversion, God has blessed me with an eternal perspective
[00:04:27.700 --> 00:04:32.680]   that has killed the silly opinions I held before that I won't go into.
[00:04:33.360 --> 00:04:37.540]   This eternal perspective has affected every aspect of my life,
[00:04:37.540 --> 00:04:41.540]   daily activities, my purpose, my pleasures.
[00:04:41.540 --> 00:04:47.340]   By the Holy Spirit, I may now fight to kill the sins and idols that once enslaved me.
[00:04:47.340 --> 00:04:52.540]   I feel the joy in fellowshipping with my brothers and sisters in Christ.
[00:04:52.540 --> 00:04:56.100]   And most importantly, I'm excited to learn the truths of the Bible
[00:04:56.100 --> 00:04:59.100]   and to hear what God has to say to me every day.
[00:05:00.260 --> 00:05:05.260]   Looking back at all my defiance to God, it deserved eternity in hell.
[00:05:05.260 --> 00:05:07.980]   And that's the truth of it.
[00:05:07.980 --> 00:05:11.960]   Despite all of it, God has been present in my life
[00:05:11.960 --> 00:05:16.020]   through all the uncles and aunts who stressed the importance of faith,
[00:05:16.020 --> 00:05:22.020]   through my parents who never failed to remind me that God comes first,
[00:05:22.020 --> 00:05:26.020]   and to my own brother, a younger brother, who prayed for my salvation.
[00:05:27.320 --> 00:05:31.320]   I know now that Jesus, the perfectly obedient Son of God,
[00:05:31.320 --> 00:05:35.320]   took on the Father's wrath for me, the wretched sinner,
[00:05:35.320 --> 00:05:37.320]   and for that, I give my life to Him.
[00:05:37.320 --> 00:05:39.320]   Thank you.
[00:05:39.320 --> 00:05:41.320]   (Applause)
[00:05:41.320 --> 00:05:52.320]   - You can sit.
[00:05:55.320 --> 00:05:57.320]   All right, Kevin, give me your left hand.
[00:05:57.320 --> 00:06:01.320]   Kevin, do you understand that when you go into the water,
[00:06:01.320 --> 00:06:03.320]   you are uniting with Christ in His death,
[00:06:03.320 --> 00:06:07.320]   and that when you come out, you're uniting with Him in His resurrection,
[00:06:07.320 --> 00:06:09.320]   so that you too may live a new life?
[00:06:09.320 --> 00:06:10.320]   - Yes, sir.
[00:06:10.320 --> 00:06:16.320]   - I baptize you in the name of the Father, and of the Son, and of the Holy Spirit.
[00:06:16.320 --> 00:06:22.320]   (Applause)
[00:06:22.320 --> 00:06:24.320]   (Cheers)
[00:06:24.320 --> 00:06:27.320]   - It's cold, huh?
[00:06:27.320 --> 00:06:41.320]   (Cheers)
[00:06:41.320 --> 00:06:49.320]   - Hi, my name is Alyssa Nguyen.
[00:06:50.320 --> 00:06:52.320]   Actually, I'm kind of scared, so if I cry, sorry.
[00:06:52.320 --> 00:06:54.320]   (Laughter)
[00:06:54.320 --> 00:06:58.320]   I was blessed to have been born into a Christian home
[00:06:58.320 --> 00:07:00.320]   and learn about God from a young age.
[00:07:00.320 --> 00:07:05.320]   I remember going to church every day, or every Sunday,
[00:07:05.320 --> 00:07:10.320]   but I thought it was just a place to hang out with friends and eat snacks all the time.
[00:07:10.320 --> 00:07:18.320]   In Sunday school, I thought that these stories about the Bible and God were cool,
[00:07:18.320 --> 00:07:21.320]   but I also thought it was something that I just had to learn,
[00:07:21.320 --> 00:07:23.320]   something like math or spelling.
[00:07:23.320 --> 00:07:29.320]   As I got into high school, I started to serve more at church,
[00:07:29.320 --> 00:07:35.320]   but I thought that that was something that I just had to do as a good Christian.
[00:07:35.320 --> 00:07:42.320]   I thought that I could define my own idea of right and wrong,
[00:07:42.320 --> 00:07:48.320]   that compared to other people, I wasn't a bad person,
[00:07:48.320 --> 00:07:52.320]   that I didn't do the things that outwardly seemed bad,
[00:07:52.320 --> 00:07:55.320]   that looking at other people, that they did.
[00:07:55.320 --> 00:08:00.320]   I thought that the mark of a good Christian, yeah, was not doing bad things,
[00:08:00.320 --> 00:08:05.320]   but trying to do good or going to all the events and all of that.
[00:08:05.320 --> 00:08:09.320]   So I had a very small view of what it meant to be good,
[00:08:09.320 --> 00:08:13.320]   and I didn't see that I wasn't good on my own.
[00:08:13.320 --> 00:08:18.320]   So as a result of me thinking that I could be good on my own,
[00:08:18.320 --> 00:08:22.320]   my own heart was filled with a lot of pride,
[00:08:22.320 --> 00:08:27.320]   that in my service, I was taking all the glory for myself,
[00:08:27.320 --> 00:08:33.320]   and thinking that all the good things I was doing was for myself,
[00:08:34.320 --> 00:08:41.320]   and that deep down, it was all just in an effort to have people think well of me.
[00:08:41.320 --> 00:08:46.320]   I really idolized how people regarded me,
[00:08:46.320 --> 00:08:51.320]   and that was the main motivation for a lot of the things that I did in high school.
[00:08:51.320 --> 00:08:57.320]   And yeah, I didn't want to see or acknowledge the fact that I was a sinner,
[00:08:57.320 --> 00:09:03.320]   and at the same time of not wanting to acknowledge the fact that I was a sinner,
[00:09:03.320 --> 00:09:08.320]   I saw how I continued to struggle with different things,
[00:09:08.320 --> 00:09:12.320]   just an inability to be patient,
[00:09:12.320 --> 00:09:15.320]   especially with regards to my family.
[00:09:15.320 --> 00:09:27.320]   I saw that on my own, I couldn't refrain from doing these things.
[00:09:28.320 --> 00:09:33.320]   And so the summer after my senior year of college, I think my brother came home,
[00:09:33.320 --> 00:09:38.320]   and on the outside he looked the same, same guy,
[00:09:38.320 --> 00:09:43.320]   but I saw how he had changed in the little ways of being disciplined,
[00:09:43.320 --> 00:09:49.320]   in his prayer and devos, and that was something that I hadn't seen before,
[00:09:49.320 --> 00:09:53.320]   and it was something that I wanted for myself as well,
[00:09:53.320 --> 00:09:58.320]   but I also wanted to continue to hold on to that idea that I could be good on my own.
[00:09:58.320 --> 00:10:03.320]   In college I started to learn more church,
[00:10:03.320 --> 00:10:07.320]   and started to see the gospel even more fully,
[00:10:07.320 --> 00:10:12.320]   and that I saw who God was and is,
[00:10:12.320 --> 00:10:16.320]   that he is holy and perfect and just God,
[00:10:16.320 --> 00:10:20.320]   and that I saw who I was before God.
[00:10:20.320 --> 00:10:25.320]   I truly saw that I was a sinner, that I wasn't good on my own,
[00:10:25.320 --> 00:10:29.320]   that I was in need of a savior,
[00:10:29.320 --> 00:10:35.320]   that I was an enemy of God in the ways that I live for myself and for my own glory.
[00:10:35.320 --> 00:10:41.320]   And it was during this time, just learning all of these things,
[00:10:41.320 --> 00:10:44.320]   that God revealed to me my sinful nature,
[00:10:44.320 --> 00:10:47.320]   and through his grace and mercy,
[00:10:47.320 --> 00:10:51.320]   he humbled me in my pride, allowing me to see all these things,
[00:10:51.320 --> 00:10:58.320]   that it wasn't by my own ideas of being good that I was saved,
[00:10:58.320 --> 00:11:01.320]   but only through Christ.
[00:11:01.320 --> 00:11:05.320]   And so I repented of my sins,
[00:11:05.320 --> 00:11:09.320]   and began to acknowledge Christ as Lord over my life.
[00:11:09.320 --> 00:11:13.320]   It was during this year that I saw the beauty of the gospel,
[00:11:13.320 --> 00:11:21.320]   that sinners like me can be forgiven, redeemed, and adopted through Christ in his life, death, and resurrection.
[00:11:21.320 --> 00:11:27.320]   And after this, I saw a change in the way that I was able to view my family,
[00:11:27.320 --> 00:11:32.320]   that I was able to fight these sins of anger and impatience,
[00:11:32.320 --> 00:11:36.320]   something that I was not able to do before,
[00:11:36.320 --> 00:11:39.320]   because before I was enslaved to these sins,
[00:11:39.320 --> 00:11:46.320]   but now with the Holy Spirit, I was able to respond in love and patience to them.
[00:11:46.320 --> 00:11:49.320]   So yeah, I'm so thankful to God,
[00:11:49.320 --> 00:11:53.320]   to how he has continued to be faithful in my life,
[00:11:53.320 --> 00:11:58.320]   and just allowing me to see him and my need for a savior.
[00:11:58.320 --> 00:12:01.320]   And it says in Galatians 2.20,
[00:12:01.320 --> 00:12:06.320]   "I have been crucified with Christ, and it is no longer I who live, but Christ who lives in me.
[00:12:06.320 --> 00:12:10.320]   And the life which I now live in the flesh I live by faith in the Son of God,
[00:12:10.320 --> 00:12:12.320]   who loved me and gave himself up for me."
[00:12:12.320 --> 00:12:13.320]   Thank you.
[00:12:13.320 --> 00:12:22.320]   [applause]
[00:12:22.320 --> 00:12:27.320]   It's a little cold.
[00:12:27.320 --> 00:12:30.320]   All right, give me your left hand, Melissa.
[00:12:30.320 --> 00:12:33.320]   You all right there? Okay.
[00:12:33.320 --> 00:12:35.320]   Melissa, do you understand that when you go into the water,
[00:12:35.320 --> 00:12:37.320]   you're uniting with Christ in his death,
[00:12:37.320 --> 00:12:40.320]   and when you come out of the water, you're uniting with him in his resurrection?
[00:12:40.320 --> 00:12:41.320]   Yes.
[00:12:41.320 --> 00:12:42.320]   Okay.
[00:12:42.320 --> 00:12:51.320]   I baptize you in the name of the Father, and of the Son, and of the Holy Spirit.
[00:12:51.320 --> 00:13:16.320]   [applause]
[00:13:16.320 --> 00:13:19.320]   Hi. Oh, this is tall.
[00:13:19.320 --> 00:13:25.320]   For those of you that don't know me, my name's Abby.
[00:13:25.320 --> 00:13:28.320]   I'm from San Francisco.
[00:13:28.320 --> 00:13:32.320]   I grew up in a pretty conservative Chinese church.
[00:13:32.320 --> 00:13:37.320]   We have one grand piano and a lot of hymnaries.
[00:13:37.320 --> 00:13:42.320]   But, yeah, so this is my testimony.
[00:13:42.320 --> 00:13:46.320]   I previously believed that I was saved around the third grade,
[00:13:46.320 --> 00:13:49.320]   that I prayed this prayer of salvation,
[00:13:49.320 --> 00:13:55.320]   and though sometimes I felt unsure, all that was on my mind was "once saved, always saved."
[00:13:55.320 --> 00:13:59.320]   This prayer of salvation was based on Romans 9-10,
[00:13:59.320 --> 00:14:01.320]   that if you confess with your mouth Jesus is Lord,
[00:14:01.320 --> 00:14:04.320]   and believe in your heart that God raised him from the dead, you will be saved.
[00:14:04.320 --> 00:14:07.320]   With the heart a person believes, resulting in righteousness,
[00:14:07.320 --> 00:14:11.320]   and with the mouth he confesses, resulting in salvation.
[00:14:11.320 --> 00:14:15.320]   This part in verse 10, "Jesus as Lord," meaning Jesus as your master,
[00:14:15.320 --> 00:14:18.320]   as the one who you live to serve,
[00:14:18.320 --> 00:14:24.320]   I don't think I truly understood the meaning of what I was praying, or the weight.
[00:14:24.320 --> 00:14:29.320]   It was during the beginning of my study of James here, in like October,
[00:14:29.320 --> 00:14:32.320]   that first prompted me to question when I was saved.
[00:14:32.320 --> 00:14:37.320]   Specifically, James 1-26, "If anyone thinks himself to be religious,
[00:14:37.320 --> 00:14:40.320]   and yet does not bridle his tongue, but deceives his own heart,
[00:14:40.320 --> 00:14:42.320]   this man's religion is worthless."
[00:14:42.320 --> 00:14:47.320]   I read this, and I was kind of like, "Oh shoot, that kind of sounds like me."
[00:14:47.320 --> 00:14:52.320]   It was really making me reflect on the way I was living my life,
[00:14:52.320 --> 00:14:57.320]   and the motivations behind my decisions.
[00:14:57.320 --> 00:15:00.320]   I was thinking back to high school, or even prior to high school,
[00:15:00.320 --> 00:15:04.320]   I know that I never bridled my tongue when I was angry,
[00:15:04.320 --> 00:15:06.320]   which was a lot of the time.
[00:15:06.320 --> 00:15:09.320]   I definitely was very vocal about it.
[00:15:09.320 --> 00:15:13.320]   I would grumble a lot, I would slander others.
[00:15:13.320 --> 00:15:17.320]   Just thinking about who I was in high school, and how clear-cut this verse is,
[00:15:17.320 --> 00:15:19.320]   really made me do a lot of thinking, and made me realize
[00:15:19.320 --> 00:15:25.320]   that I did not truly confess Jesus as my Lord, or as my master.
[00:15:25.320 --> 00:15:30.320]   I realized that I lived life as a nominal Christian,
[00:15:30.320 --> 00:15:34.320]   under the title of Christian, while my actions said otherwise.
[00:15:34.320 --> 00:15:39.320]   I lived for myself. I did things for my own glory and pride,
[00:15:39.320 --> 00:15:41.320]   and for my own benefit.
[00:15:41.320 --> 00:15:48.320]   I never really saw fault in myself because of those things.
[00:15:48.320 --> 00:15:52.320]   I rarely ever apologized for anything, and I wasn't reading his word,
[00:15:52.320 --> 00:15:56.320]   or praying, nor did I care to at the time.
[00:15:56.320 --> 00:16:00.320]   In Judges 17.6, it says, "In those days, there was no king in Israel,
[00:16:00.320 --> 00:16:03.320]   and every man did what was right in his own eyes."
[00:16:03.320 --> 00:16:08.320]   That is how I was living, not recognizing Jesus as my true king.
[00:16:08.320 --> 00:16:16.320]   After 18 years of being a professed believer, I knew that I did not know God.
[00:16:16.320 --> 00:16:20.320]   Through all this living in sin, God was never on my mind,
[00:16:20.320 --> 00:16:22.320]   throughout my day or week.
[00:16:22.320 --> 00:16:26.320]   I was really content with my life, which I felt was separate from God.
[00:16:26.320 --> 00:16:32.320]   This life that I thought was a result of my own works and efforts,
[00:16:32.320 --> 00:16:36.320]   I did not attribute to God any of it.
[00:16:36.320 --> 00:16:41.320]   I don't believe I ever truly confessed or repented any sin that I committed.
[00:16:41.320 --> 00:16:44.320]   I remember going to all these conferences and retreats,
[00:16:44.320 --> 00:16:47.320]   and feeling this spiritual high,
[00:16:47.320 --> 00:16:52.320]   praying and confessing these sins of ignoring God or not reading.
[00:16:52.320 --> 00:16:59.320]   However, when I returned back to, for lack of better words, the real world,
[00:16:59.320 --> 00:17:06.320]   my life didn't look any different than it did before I went to the conference,
[00:17:06.320 --> 00:17:10.320]   or it probably changed for like two days.
[00:17:10.320 --> 00:17:14.320]   Living my life with this false notion that I did not need God
[00:17:14.320 --> 00:17:19.320]   contributed to a big sin that I struggle with, which is pride.
[00:17:19.320 --> 00:17:22.320]   My first two weeks of college were pretty difficult for me,
[00:17:22.320 --> 00:17:25.320]   academically and socially.
[00:17:25.320 --> 00:17:29.320]   I wasn't understanding any of my basic courses for my major,
[00:17:29.320 --> 00:17:32.320]   and my non-believing roommates, which I chose,
[00:17:32.320 --> 00:17:39.320]   were fulfilling their earthly desires that may not have been so legal
[00:17:39.320 --> 00:17:42.320]   in the dorm room at 3 a.m.
[00:17:42.320 --> 00:17:46.320]   It was pretty loud on school nights.
[00:17:46.320 --> 00:17:48.320]   It was really hard to sleep.
[00:17:48.320 --> 00:17:52.320]   I have videos if you want to see them later.
[00:17:52.320 --> 00:17:59.320]   I had never felt such feelings of loneliness and inadequacy that deeply before,
[00:17:59.320 --> 00:18:01.320]   but I am really thankful to the Lord for that experience
[00:18:01.320 --> 00:18:04.320]   because it was then that I truly turned to the Lord
[00:18:04.320 --> 00:18:06.320]   and saw my helplessness and my brokenness
[00:18:06.320 --> 00:18:10.320]   and realized that my identity in Christ is more than sufficient.
[00:18:10.320 --> 00:18:13.320]   I remember my first service here,
[00:18:13.320 --> 00:18:17.320]   I think it was the second to last message before Pastor Peter left for India.
[00:18:17.320 --> 00:18:19.320]   It was about the wheat and the tares,
[00:18:19.320 --> 00:18:22.320]   and I think he said something like this.
[00:18:22.320 --> 00:18:26.320]   If he didn't, sorry.
[00:18:26.320 --> 00:18:28.320]   But I think he said something like,
[00:18:28.320 --> 00:18:31.320]   "Sometimes the wide way is to keep going to church
[00:18:31.320 --> 00:18:34.320]   if that's what you've been doing your whole life."
[00:18:34.320 --> 00:18:38.320]   And just remembering that makes me so thankful that God revealed himself to me
[00:18:38.320 --> 00:18:40.320]   and opened my eyes to the sin that is in me
[00:18:40.320 --> 00:18:43.320]   and that I didn't continue this path of thinking that I was on the narrow way,
[00:18:43.320 --> 00:18:46.320]   when in fact I was headed for destruction.
[00:18:46.320 --> 00:18:48.320]   During that experience, in my first couple weeks here,
[00:18:48.320 --> 00:18:51.320]   my eyes were truly opened to how nothing is of my own works
[00:18:51.320 --> 00:18:54.320]   and that everything is by God's grace and mercy.
[00:18:54.320 --> 00:18:58.320]   He humbled me, and I believe that I experienced true reconciliation with Christ
[00:18:58.320 --> 00:19:00.320]   through the repentance of my pride.
[00:19:00.320 --> 00:19:06.320]   I believe that that is the moment that I truly acknowledge Jesus as the master of my life.
[00:19:06.320 --> 00:19:08.320]   I remember in table groups on a Friday night,
[00:19:08.320 --> 00:19:15.320]   we talked about how we need to make sure our reliance on Jesus is not based on emotion.
[00:19:15.320 --> 00:19:19.320]   This again got me thinking because the experience was very fresh.
[00:19:19.320 --> 00:19:23.320]   I wanted to make sure that I was acknowledging Jesus as my master,
[00:19:23.320 --> 00:19:26.320]   not just because my circumstances were really difficult,
[00:19:26.320 --> 00:19:29.320]   but I did come to see how easy it was to rely on God
[00:19:29.320 --> 00:19:33.320]   when my earthly circumstances were harder or didn't go my way.
[00:19:33.320 --> 00:19:38.320]   But I was reminded that God isn't like a safety net that is only useful if I fall.
[00:19:38.320 --> 00:19:40.320]   He is God Almighty.
[00:19:40.320 --> 00:19:43.320]   He doesn't need us, and there is nothing that we can offer him
[00:19:43.320 --> 00:19:47.320]   or that he would need that he cannot achieve himself within the blink of an eye.
[00:19:47.320 --> 00:19:53.320]   Yet he loves us and cares for us so much that he sent his only son to be mocked and spat upon,
[00:19:53.320 --> 00:19:56.320]   put to death in the most humiliating and gruesome way.
[00:19:56.320 --> 00:20:00.320]   It is because of God's unfathomable love that I am able to stand here
[00:20:00.320 --> 00:20:05.320]   and proclaim that I have died to my former self and now live this new life in Christ.
[00:20:05.320 --> 00:20:15.320]   [applause]
[00:20:15.320 --> 00:20:23.320]   All right, Abbey, give me your left hand.
[00:20:23.320 --> 00:20:26.320]   Abbey, do you understand that when you go into the water,
[00:20:26.320 --> 00:20:29.320]   you're uniting with Christ in his death, and when you're coming out,
[00:20:29.320 --> 00:20:33.320]   you're uniting with him in his resurrection so that you too can live a new life?
[00:20:33.320 --> 00:20:40.320]   Okay, I baptize you in the name of the Father, and of the Son, and of the Holy Spirit.
[00:20:40.320 --> 00:20:55.320]   [applause]
[00:20:59.320 --> 00:21:05.320]   [applause]
[00:21:05.320 --> 00:21:10.320]   Hi, my name is Joe, and my Chinese name is Fang Qizhou.
[00:21:10.320 --> 00:21:22.320]   I grew up in China, and I came to the United States in 2016.
[00:21:22.320 --> 00:21:32.320]   My mom converted to Christianity at that time, but I haven't heard anything about the gospel before I came here.
[00:21:32.320 --> 00:21:40.320]   I agree with her about the existence of God and supernatural beings,
[00:21:40.320 --> 00:21:45.320]   but I don't think I have anything to do with the one who created me.
[00:21:45.320 --> 00:21:53.320]   He just has authority over me and everything else that he created.
[00:21:53.320 --> 00:21:59.320]   Growing up as the only child, the world was all about myself.
[00:21:59.320 --> 00:22:05.320]   As a self-conscious person, I didn't care about others at all,
[00:22:05.320 --> 00:22:13.320]   but I pretended to be considerate and nice to others so that they would speak highly of me.
[00:22:13.320 --> 00:22:18.320]   I felt jealous of those who were more popular than I am.
[00:22:18.320 --> 00:22:24.320]   I hated them and slandered them when I was behind them.
[00:22:24.320 --> 00:22:32.320]   When I was in junior high school in China, I often showed off how smart I was
[00:22:32.320 --> 00:22:37.320]   by talking endlessly during class discussions.
[00:22:37.320 --> 00:22:47.320]   One day I was enjoying others' worshiping, amazement, and appreciation of how much I knew.
[00:22:47.320 --> 00:22:56.320]   However, other students who equally wanted to look smart and become popular
[00:22:56.320 --> 00:23:02.320]   interrupted me and shouted loudly,
[00:23:02.320 --> 00:23:08.320]   "You don't have the right to speak because you are not a good student,"
[00:23:08.320 --> 00:23:12.320]   parenthesis, "than I do, than me."
[00:23:12.320 --> 00:23:18.320]   Afterwards, I discovered a conflict.
[00:23:18.320 --> 00:23:23.320]   I seek out my own glory, so do others.
[00:23:23.320 --> 00:23:32.320]   I realized I hurt others while pursuing my own reputation the same way they did to me.
[00:23:32.320 --> 00:23:38.320]   Then I began to reserve my opinions and distrust people,
[00:23:38.320 --> 00:23:43.320]   for I knew they don't really care about me.
[00:23:43.320 --> 00:23:50.320]   When I came to the U.S. as an international student, I felt increasingly left out.
[00:23:50.320 --> 00:23:56.320]   It turned out that although I missed my friends,
[00:23:56.320 --> 00:24:03.320]   they don't really consider me as part of their life that they couldn't afford to lose.
[00:24:03.320 --> 00:24:10.320]   I felt no one loves me except for myself,
[00:24:10.320 --> 00:24:19.320]   but even myself hated just me most of the time.
[00:24:19.320 --> 00:24:22.320]   Because I noticed my hypocrisy.
[00:24:22.320 --> 00:24:28.320]   I'm being selfish while acting to make people think I'm altruistic,
[00:24:28.320 --> 00:24:33.320]   being arrogant while trying to make people think I'm humble.
[00:24:33.320 --> 00:24:38.320]   I began to refuse talking with people, even if I had to.
[00:24:38.320 --> 00:24:43.320]   I talked sarcastically and aggressively.
[00:24:43.320 --> 00:24:48.320]   I felt hopeless. I lost my passions and my goals.
[00:24:48.320 --> 00:24:55.320]   The only thing I was sure about my life was death, which would happen sooner or later.
[00:24:55.320 --> 00:25:05.320]   I had to escape reality by playing video games excessively.
[00:25:05.320 --> 00:25:13.320]   Last April, my bike was stolen, and I was sitting on a bench trying to recall where I lost it.
[00:25:13.320 --> 00:25:20.320]   A staff from Bridges, his name is Justin, he's here.
[00:25:20.320 --> 00:25:28.320]   He came to ask if I was okay, and he invited me to his home for their Friday dinner,
[00:25:28.320 --> 00:25:34.320]   which is for international students.
[00:25:34.320 --> 00:25:41.320]   People are nice at Bridges, which is the name for their ministry,
[00:25:41.320 --> 00:25:51.320]   and I get to truly act as if I'm at home, even though I'm not at home.
[00:25:51.320 --> 00:25:55.320]   At the dinner, a student shared her testimony.
[00:25:55.320 --> 00:26:01.320]   She said we are all sentenced to death, which I totally agree with.
[00:26:01.320 --> 00:26:08.320]   However, she told us that Christ died in our place and took the punishment for us
[00:26:08.320 --> 00:26:17.320]   so that we don't need to die anymore, and our relationship with God is restored through Christ.
[00:26:17.320 --> 00:26:22.320]   I thought my relationship with the supernatural being was not restorable,
[00:26:22.320 --> 00:26:27.320]   for I thought I was unworthy, but when I heard there is life,
[00:26:27.320 --> 00:26:34.320]   my hope was reignited, and I no longer felt I was living in a nightmare of fear,
[00:26:34.320 --> 00:26:39.320]   of the fear of death every day.
[00:26:39.320 --> 00:26:44.320]   I also wondered why other Christians seemed to care about me.
[00:26:44.320 --> 00:26:52.320]   I thought it was impossible for them to care about me unless they are loved by their God,
[00:26:52.320 --> 00:27:00.320]   and I can see their prayers for me are sincere.
[00:27:00.320 --> 00:27:08.320]   As I learned more about God, I began to know that I was not the abandoned kid I thought I was.
[00:27:08.320 --> 00:27:14.320]   Even though the world would love its own, John 15, 19,
[00:27:14.320 --> 00:27:19.320]   God loves me, for God so loved the world that he gave his only begotten son,
[00:27:19.320 --> 00:27:26.320]   that whoever believes in him shall not perish but have eternal life, John 3, 16.
[00:27:26.320 --> 00:27:37.320]   Although I didn't deserve anything, it's only his grace which is far greater than all my brokenness,
[00:27:37.320 --> 00:27:43.320]   and then I decided to follow him and see how deep he loves us.
[00:27:43.320 --> 00:27:50.320]   As I understand more about how holy and faithful God is,
[00:27:50.320 --> 00:27:57.320]   in contrast to how unbelieving and ungrateful I am, I began to appreciate God's love more.
[00:27:57.320 --> 00:28:04.320]   I became more willing to admit my weaknesses and trust God more.
[00:28:04.320 --> 00:28:10.320]   I am able to love others without thinking too much how they will repay me,
[00:28:10.320 --> 00:28:18.320]   and able to love those who are hard to love because that is how I am loved by God.
[00:28:18.320 --> 00:28:22.320]   I don't slander other people behind them.
[00:28:22.320 --> 00:28:27.320]   I'm not willing to talk with people and build relationships with them
