
[00:00:00.000 --> 00:00:05.000]   - Hello everyone.
[00:05:25.480 --> 00:05:28.580]   that we just saw as an overview,
[00:05:28.580 --> 00:05:30.160]   which one is most important
[00:05:30.160 --> 00:05:32.600]   or which one takes most emphasis?
[00:05:32.600 --> 00:05:34.800]   And what's interesting is within this paragraph,
[00:05:34.800 --> 00:05:38.420]   we realize his challenge on a broad scale
[00:05:38.420 --> 00:05:42.440]   is be careful in what you're doing, right?
[00:05:42.440 --> 00:05:43.620]   Take a look at this.
[00:05:43.620 --> 00:05:47.180]   In the Greek, there's a kind of strange,
[00:05:47.180 --> 00:05:50.240]   or I guess, but more emphatic formation
[00:05:50.240 --> 00:05:52.020]   of this command and challenge for us
[00:05:52.020 --> 00:05:53.960]   to be careful how we walk.
[00:05:53.960 --> 00:05:57.400]   If you were to take literal translation of each word,
[00:05:57.400 --> 00:05:59.060]   it reads like this.
[00:05:59.060 --> 00:06:03.440]   See then accurately how you walk around, okay?
[00:06:03.440 --> 00:06:05.040]   See then accurately.
[00:06:05.040 --> 00:06:08.420]   And the challenge for us then is to be not haphazard,
[00:06:08.420 --> 00:06:12.240]   is to not just be on autopilot or cruise control,
[00:06:12.240 --> 00:06:14.460]   but to make sure that we're giving special attention
[00:06:14.460 --> 00:06:15.740]   to what we're doing.
[00:06:15.740 --> 00:06:18.220]   And therefore, by immediate just kind of reflection
[00:06:18.220 --> 00:06:19.180]   upon this commandment,
[00:06:19.180 --> 00:06:21.500]   we need to be asking ourselves and meditating,
[00:06:21.500 --> 00:06:23.460]   am I paying attention?
[00:06:23.460 --> 00:06:26.420]   And do I have the humility to examine what I'm doing
[00:06:26.420 --> 00:06:29.280]   and to assess, is this wise?
[00:06:29.280 --> 00:06:31.380]   Are we asking the question,
[00:06:31.380 --> 00:06:35.040]   are we doing anything that's actually like wasteful?
[00:06:35.040 --> 00:06:37.960]   Are we doing anything that's actually hurtful?
[00:06:37.960 --> 00:06:39.640]   And by further meditation,
[00:06:39.640 --> 00:06:41.600]   I should be asking myself the question,
[00:06:41.600 --> 00:06:45.040]   if the challenges don't be unwise, but be wise,
[00:06:45.040 --> 00:06:47.640]   so you have this compare and contrast,
[00:06:47.640 --> 00:06:50.600]   do I know what's in these buckets, right?
[00:06:50.600 --> 00:06:53.720]   Meaning, what does it mean to be unwise?
[00:06:53.720 --> 00:06:55.920]   What's the stuff that happens when you're not careful
[00:06:55.920 --> 00:06:57.480]   and you're not wise?
[00:06:57.480 --> 00:06:59.100]   So you take time to meditate upon that.
[00:06:59.100 --> 00:07:00.600]   And I have a couple of things for you
[00:07:00.600 --> 00:07:03.340]   as consequences of a foolish life.
[00:07:03.340 --> 00:07:04.580]   What do I mean?
[00:07:04.580 --> 00:07:06.040]   Think about anything that you're doing.
[00:07:06.040 --> 00:07:08.620]   Think about even just putting together furniture.
[00:07:08.620 --> 00:07:10.880]   Think about trying to fix something in your house.
[00:07:10.880 --> 00:07:12.880]   Think about a project that you're involved with.
[00:07:12.880 --> 00:07:14.440]   Think about church ministry.
[00:07:14.440 --> 00:07:17.160]   Think about, you know, whatever it may be,
[00:07:17.160 --> 00:07:19.140]   different major facets of your life.
[00:07:19.140 --> 00:07:22.340]   What happens if you're not careful?
[00:07:22.340 --> 00:07:24.760]   Typically, when the scripture describes a fool
[00:07:24.760 --> 00:07:26.420]   and when you're not cautious,
[00:07:26.420 --> 00:07:28.760]   you end up hurting yourself, right?
[00:07:28.760 --> 00:07:30.920]   You're walking, you're not careful, you stub your toe,
[00:07:30.920 --> 00:07:31.760]   right?
[00:07:31.760 --> 00:07:33.460]   You're working, you're not careful, you cut your own hand.
[00:07:33.460 --> 00:07:35.080]   You end up hurting yourself.
[00:07:35.080 --> 00:07:37.480]   And that's what the scripture calls you fool.
[00:07:37.480 --> 00:07:38.520]   You don't understand.
[00:07:38.520 --> 00:07:42.640]   You do these things, you pursue these, you know, ends,
[00:07:42.640 --> 00:07:43.600]   you have these agendas.
[00:07:43.600 --> 00:07:45.400]   And in the end, it's counterproductive.
[00:07:45.400 --> 00:07:46.920]   You end up hurting yourself.
[00:07:46.920 --> 00:07:50.760]   But worse than that, you end up hurting others, right?
[00:07:50.760 --> 00:07:53.160]   If you're not careful, you're swinging your ax,
[00:07:53.160 --> 00:07:55.000]   you're swinging your hammer, you're doing the cut,
[00:07:55.000 --> 00:07:57.760]   whatever it may be, what project that you're doing,
[00:07:57.760 --> 00:07:59.760]   you end up hurting others.
[00:07:59.760 --> 00:08:02.660]   What's more, scriptures many times calls the fool,
[00:08:02.660 --> 00:08:04.480]   the fool who's not paying attention
[00:08:04.480 --> 00:08:07.320]   and so is absolutely wasteful.
[00:08:07.320 --> 00:08:09.560]   Right now, I'm doing my personal devotions
[00:08:09.560 --> 00:08:12.080]   in the book of Ecclesiastes and King Solomon
[00:08:12.080 --> 00:08:14.320]   is just constantly asking the question,
[00:08:14.320 --> 00:08:17.200]   and what do you actually produce through that?
[00:08:17.200 --> 00:08:18.560]   What's the point?
[00:08:18.560 --> 00:08:20.400]   Vanity, vanity, vanity, right?
[00:08:20.400 --> 00:08:23.440]   Like the call for us to pay attention
[00:08:23.440 --> 00:08:26.020]   is a call for us to not simply waste our time
[00:08:26.020 --> 00:08:27.680]   and opportunities.
[00:08:27.680 --> 00:08:29.980]   As a matter of fact, I mean, you think about even again,
[00:08:29.980 --> 00:08:32.300]   maybe building a piece of Ikea furniture,
[00:08:32.300 --> 00:08:33.160]   it's very simple.
[00:08:33.160 --> 00:08:34.440]   So you just think, you know what, I'm just gonna do it.
[00:08:34.440 --> 00:08:36.200]   You start going and then you realize,
[00:08:36.200 --> 00:08:37.680]   ah, I missed a step.
[00:08:37.680 --> 00:08:40.080]   And so you have to make a choice now.
[00:08:40.080 --> 00:08:41.520]   I have to dismantle the whole thing
[00:08:41.520 --> 00:08:43.800]   to make sure that peg's in there and make it strong.
[00:08:43.800 --> 00:08:45.960]   Or you know what, ah, it'll just stand.
[00:08:45.960 --> 00:08:47.160]   And next thing you know, you're working
[00:08:47.160 --> 00:08:49.600]   with a really insecure,
[00:08:49.600 --> 00:08:52.300]   or I guess unfinished piece of furniture.
[00:08:52.300 --> 00:08:53.520]   What a waste.
[00:08:53.520 --> 00:08:56.120]   And we end up having to do things twice.
[00:08:56.120 --> 00:08:58.320]   What's more, if we're not careful,
[00:08:58.320 --> 00:09:00.280]   the scripture says you just run with the world.
[00:09:00.280 --> 00:09:03.680]   You run with the masses, you pursue worldly desires,
[00:09:03.680 --> 00:09:05.480]   you pursue worldly ends.
[00:09:05.480 --> 00:09:06.320]   And next thing you know,
[00:09:06.320 --> 00:09:08.440]   you're not even about God's business anymore.
[00:09:08.440 --> 00:09:10.680]   So here are the things again,
[00:09:10.680 --> 00:09:13.400]   that the scripture many times talks about
[00:09:13.400 --> 00:09:17.600]   as a challenge for us, pay attention.
[00:09:17.600 --> 00:09:20.480]   And for me personally, I feel like in recent days,
[00:09:20.480 --> 00:09:22.680]   in these last several weeks even,
[00:09:22.680 --> 00:09:24.520]   whether it's from just the community groups,
[00:09:24.520 --> 00:09:26.040]   the fellowship time with the guys,
[00:09:26.040 --> 00:09:28.120]   this personal interaction, I've been really challenged.
[00:09:28.120 --> 00:09:31.320]   Like, am I paying attention to what I'm doing?
[00:09:31.320 --> 00:09:34.080]   For example, sometimes you, and we all get busy.
[00:09:34.080 --> 00:09:36.320]   Like every single one of us gets busy
[00:09:36.320 --> 00:09:40.040]   and we have this desire to make sure everything gets done.
[00:09:40.040 --> 00:09:45.040]   But in busyness, the danger is you want to get things done
[00:09:45.040 --> 00:09:47.940]   for the end goal of just getting it done.
[00:09:47.940 --> 00:09:50.420]   You're not even desiring in the specific task,
[00:09:50.420 --> 00:09:52.320]   in the specific moment,
[00:09:52.320 --> 00:09:55.720]   am I actually filling the need of the people?
[00:09:55.720 --> 00:09:58.040]   Am I actually filling the need of the hour?
[00:09:58.040 --> 00:10:00.560]   Scripture says that even when we're talking,
[00:10:00.560 --> 00:10:02.000]   even when we're speaking,
[00:10:02.000 --> 00:10:04.400]   your words should be filled with grace,
[00:10:04.400 --> 00:10:07.120]   which means there's an intentional love in there.
[00:10:07.120 --> 00:10:10.720]   And what's more, it should meet the needs of the hour.
[00:10:10.720 --> 00:10:14.120]   Like, you don't just flippantly throw out careless words.
[00:10:14.120 --> 00:10:17.360]   And I got to confess sometimes like in a means to just,
[00:10:17.360 --> 00:10:18.800]   and there was a time where I was just actually
[00:10:18.800 --> 00:10:21.220]   taking metrics, like I know some of you guys,
[00:10:21.220 --> 00:10:22.880]   I've been so slow to get to email.
[00:10:22.880 --> 00:10:23.880]   So I've been taking metrics.
[00:10:23.880 --> 00:10:26.080]   How long does it take me to respond to a message
[00:10:26.080 --> 00:10:27.480]   or an email, right?
[00:10:27.480 --> 00:10:29.040]   Sometimes it's like two days and I'm like,
[00:10:29.040 --> 00:10:32.140]   oh man, somebody holds the record at our church
[00:10:32.140 --> 00:10:36.200]   for longest time before Pastor Mark replies
[00:10:36.200 --> 00:10:37.200]   was two months.
[00:10:37.200 --> 00:10:39.480]   I'm sorry, okay, you know who you are.
[00:10:39.480 --> 00:10:42.640]   But sometimes my goal ends up becoming,
[00:10:42.640 --> 00:10:45.560]   at the end of the day, my inbox should be empty
[00:10:45.560 --> 00:10:48.960]   as opposed to, right, greater goals.
[00:10:48.960 --> 00:10:49.800]   At the end of the day,
[00:10:49.800 --> 00:10:52.240]   I made sure that the project was going well,
[00:10:52.240 --> 00:10:53.920]   that if we're working together,
[00:10:53.920 --> 00:10:55.760]   if we're serving together, that everything actually,
[00:10:55.760 --> 00:10:58.080]   people are in the know of what's going on,
[00:10:58.080 --> 00:11:00.560]   that they're feeling a sense of being fulfilled,
[00:11:00.560 --> 00:11:02.680]   or contributing to this project,
[00:11:02.680 --> 00:11:05.160]   and all this kind of stuff, you know?
[00:11:05.160 --> 00:11:08.320]   And so I got to confess, sometimes realize just like
[00:11:08.320 --> 00:11:11.500]   there is a carelessness and in the end, again, what happens?
[00:11:11.500 --> 00:11:14.280]   We kind of miss the goal.
[00:11:14.280 --> 00:11:16.200]   And I think one of the greatest things that happens
[00:11:16.200 --> 00:11:19.400]   when we're not careful is that the priorities of God
[00:11:19.400 --> 00:11:22.320]   get subjugated and neglected
[00:11:22.320 --> 00:11:24.920]   because we have these other things going on.
[00:11:24.920 --> 00:11:26.480]   And that's such a huge challenge, right?
[00:11:26.480 --> 00:11:28.600]   People talk about like, oh, I don't have enough time,
[00:11:28.600 --> 00:11:29.640]   and I don't have enough of this.
[00:11:29.640 --> 00:11:32.240]   And actually, scripture is saying, no, no, no.
[00:11:32.240 --> 00:11:34.700]   You never have enough time for everything.
[00:11:34.700 --> 00:11:36.360]   What you need is not just more time.
[00:11:36.360 --> 00:11:39.280]   You just, if you had three more hours, four more hours,
[00:11:39.280 --> 00:11:40.440]   well, what's three more hours
[00:11:40.440 --> 00:11:42.880]   if your priorities are all over the place?
[00:11:42.880 --> 00:11:45.640]   What's four more hours if your heart is all over the place
[00:11:45.640 --> 00:11:47.860]   and you just want to do everything else?
[00:11:47.860 --> 00:11:51.800]   What you need is focus because instilled in the reality
[00:11:51.800 --> 00:11:53.920]   of every single one of our lives
[00:11:53.920 --> 00:11:56.520]   is we don't have enough time for everything.
[00:11:56.520 --> 00:11:58.800]   And what's more, I think scripturally,
[00:11:58.800 --> 00:12:01.600]   when the Bible talks to us and commands us
[00:12:01.600 --> 00:12:05.200]   to exercise wisdom, it's precisely talking about the fact
[00:12:05.200 --> 00:12:08.720]   that we need to watch our life and our doctrine
[00:12:08.720 --> 00:12:11.000]   and what's coming out of our mouths closely.
[00:12:11.000 --> 00:12:13.480]   We need to be wise.
[00:12:13.480 --> 00:12:16.960]   And if you think about 1 Corinthians 2,
[00:12:16.960 --> 00:12:17.840]   you don't have to turn there,
[00:12:17.840 --> 00:12:20.120]   but I just want to talk about the general wisdom.
[00:12:20.120 --> 00:12:23.120]   Scripture says that this world has its own wisdom
[00:12:23.120 --> 00:12:25.760]   or what it thinks is valuable, what it thinks is priority.
[00:12:25.760 --> 00:12:27.960]   But you, you now have the mind of God.
[00:12:27.960 --> 00:12:29.840]   You know what you think, sorry,
[00:12:29.840 --> 00:12:32.120]   you know what God thinks is wise.
[00:12:32.120 --> 00:12:35.080]   And so therefore, everything that we're participating in,
[00:12:35.080 --> 00:12:39.020]   everything that we're doing is actually spiritually appraised.
[00:12:39.020 --> 00:12:40.840]   It's spiritually valued.
[00:12:40.840 --> 00:12:43.560]   And therefore for us, that to us,
[00:12:43.560 --> 00:12:46.180]   when we exercise that is our wisdom.
[00:12:46.180 --> 00:12:47.760]   So I wanted to spend a lot of time on that
[00:12:47.760 --> 00:12:49.640]   because that is the thrust.
[00:12:49.640 --> 00:12:52.960]   That's the main exhortation as a propositional statement
[00:12:52.960 --> 00:12:56.480]   at the beginning of the paragraph, you need to be careful.
[00:12:56.480 --> 00:13:00.460]   Secondly, the commandment is to redeem the time.
[00:13:00.460 --> 00:13:03.840]   Notice here in verse 16, the passage says,
[00:13:03.840 --> 00:13:07.740]   "Making the most of your time because the days are evil."
[00:13:07.740 --> 00:13:11.000]   So let's make an observation here.
[00:13:11.000 --> 00:13:12.900]   What does it mean to make the most of your time?
[00:13:12.900 --> 00:13:15.000]   I mean, we can just use synonymous and say,
[00:13:15.000 --> 00:13:18.120]   "Hey, maximize your time, don't waste it."
[00:13:18.120 --> 00:13:20.720]   So essentially we remember when we were in school,
[00:13:20.720 --> 00:13:23.680]   our parents would tell us, "Prioritize,
[00:13:23.680 --> 00:13:26.400]   prioritize and make sure you're using your time wisely.
[00:13:26.400 --> 00:13:30.000]   Do your work first before you play, focus."
[00:13:30.000 --> 00:13:32.980]   That's the kind of maybe exhortation we may feel.
[00:13:32.980 --> 00:13:34.960]   But here and now there's more to that.
[00:13:34.960 --> 00:13:38.440]   The term to maximize, or I guess make the most,
[00:13:38.440 --> 00:13:41.920]   actually means more literally to buy it all out.
[00:13:42.960 --> 00:13:46.080]   So when you look at those dictionary entries
[00:13:46.080 --> 00:13:48.580]   of what a word means, a lot of times they're comparing
[00:13:48.580 --> 00:13:51.280]   how is this word used in other Greek literature?
[00:13:51.280 --> 00:13:53.040]   How is it used more specifically
[00:13:53.040 --> 00:13:55.080]   in other passages of the Bible?
[00:13:55.080 --> 00:13:56.360]   And in other passages of the Bible,
[00:13:56.360 --> 00:14:00.120]   this term is used to purchase it all.
[00:14:00.120 --> 00:14:04.520]   Or it's also used of Christ when he's purchased us.
[00:14:04.520 --> 00:14:07.420]   So when you think about this then,
[00:14:07.420 --> 00:14:10.880]   there's more to it than, "Yeah, just use your time wisely."
[00:14:10.880 --> 00:14:14.040]   There is this heart where you want to,
[00:14:14.040 --> 00:14:15.800]   imagine you're into something,
[00:14:15.800 --> 00:14:18.400]   like let's say you're into woodworking.
[00:14:18.400 --> 00:14:21.480]   Now all of a sudden your heart is into wanting to buy
[00:14:21.480 --> 00:14:24.800]   all the necessary tools to get this done.
[00:14:24.800 --> 00:14:26.480]   Because this project that you have,
[00:14:26.480 --> 00:14:29.120]   let's say you're building a piece of furniture like a chair,
[00:14:29.120 --> 00:14:32.360]   you wanna make sure you have all the paint brushes
[00:14:32.360 --> 00:14:34.520]   for the finish, including the drill bits,
[00:14:34.520 --> 00:14:37.460]   including the nails, including like all of that, right?
[00:14:38.360 --> 00:14:41.080]   And in that sense, whenever your heart is into something,
[00:14:41.080 --> 00:14:43.960]   you want to make sure you have all the pieces.
[00:14:43.960 --> 00:14:46.440]   And for those of you guys who are into like tools,
[00:14:46.440 --> 00:14:49.360]   you want all the tools for every scenario, right?
[00:14:49.360 --> 00:14:52.860]   You know what that feels like, buy it all, right?
[00:14:52.860 --> 00:14:53.700]   Don't go buy it all.
[00:14:53.700 --> 00:14:54.520]   You know what I'm saying?
[00:14:54.520 --> 00:14:57.680]   Here is the heart behind wanting to make the most
[00:14:57.680 --> 00:15:01.140]   of the time, you're all in in that moment.
[00:15:01.140 --> 00:15:04.880]   What's more, other passages of scripture really tell us
[00:15:04.880 --> 00:15:07.240]   to make the most of every opportunity.
[00:15:07.240 --> 00:15:08.480]   Colossians chapter four,
[00:15:08.480 --> 00:15:11.040]   "Conduct yourselves with wisdom towards outsiders,
[00:15:11.040 --> 00:15:13.080]   making the most of the opportunity.
[00:15:13.080 --> 00:15:15.360]   Let your speech always be with grace,
[00:15:15.360 --> 00:15:16.580]   as though seasoned with salt,
[00:15:16.580 --> 00:15:21.240]   so that you will know how you should respond to each person."
[00:15:21.240 --> 00:15:24.240]   Galatians six, "So then while we have opportunity,
[00:15:24.240 --> 00:15:26.360]   let us do good to all people,
[00:15:26.360 --> 00:15:28.680]   and especially to those who are of the household
[00:15:28.680 --> 00:15:30.520]   of the faith."
[00:15:30.520 --> 00:15:33.600]   What a challenge for us to redeem the time
[00:15:33.600 --> 00:15:37.480]   that we want to make sure we are maximizing
[00:15:37.480 --> 00:15:38.600]   the moment that we have.
[00:15:38.600 --> 00:15:40.240]   And I wanna highlight that because
[00:15:40.240 --> 00:15:42.040]   when we look at this passage, oops,
[00:15:42.040 --> 00:15:44.720]   it says, "Because the days are evil,"
[00:15:44.720 --> 00:15:48.160]   and we should take a moment to meditate on that, right?
[00:15:48.160 --> 00:15:51.880]   The timeframe, the days that we have are evil.
[00:15:51.880 --> 00:15:54.200]   And I'm gonna leave that to your discussion.
[00:15:54.200 --> 00:15:55.720]   But in terms of what does that mean?
[00:15:55.720 --> 00:15:59.080]   Does that mean like the generation that we're in,
[00:15:59.080 --> 00:16:01.080]   just like Jesus said, what a wicked generation,
[00:16:01.080 --> 00:16:02.400]   a perverse generation.
[00:16:03.400 --> 00:16:04.560]   It was wicked and perverse then,
[00:16:04.560 --> 00:16:06.000]   it's wicked and perverse now, right?
[00:16:06.000 --> 00:16:07.600]   Is that what he means?
[00:16:07.600 --> 00:16:09.800]   Well, what's really interesting is another thing to notice
[00:16:09.800 --> 00:16:12.560]   is that when he uses the word time here,
[00:16:12.560 --> 00:16:16.460]   so right here on make the most of your time,
[00:16:16.460 --> 00:16:18.080]   when he uses this idea of time,
[00:16:18.080 --> 00:16:19.400]   it doesn't mean like the hours
[00:16:19.400 --> 00:16:20.360]   and the moments that you have.
[00:16:20.360 --> 00:16:21.800]   I want you to go make a schedule
[00:16:21.800 --> 00:16:24.440]   and every single moment needs to have some kind of
[00:16:24.440 --> 00:16:25.840]   like things slotted into it.
[00:16:25.840 --> 00:16:27.080]   Maybe you could, right?
[00:16:27.080 --> 00:16:29.620]   It'd be great if we could read and pray and evangelize
[00:16:29.620 --> 00:16:30.460]   and do nothing else.
[00:16:30.460 --> 00:16:31.720]   But honestly speaking,
[00:16:31.720 --> 00:16:33.480]   there are so many other things and responsibilities
[00:16:33.480 --> 00:16:35.040]   in your life, right?
[00:16:35.040 --> 00:16:38.000]   You gotta take care of your family, you have to work, right?
[00:16:38.000 --> 00:16:40.400]   You have to do all these kinds of things.
[00:16:40.400 --> 00:16:43.000]   But the idea is you should understand
[00:16:43.000 --> 00:16:45.380]   that there is a period of time you have.
[00:16:45.380 --> 00:16:47.660]   And that's the word used, the Greek word used,
[00:16:47.660 --> 00:16:51.360]   it actually is more specific to not chronos,
[00:16:51.360 --> 00:16:53.560]   but it's more specific to the time that you have
[00:16:53.560 --> 00:16:56.200]   as a period, it's a season, okay?
[00:16:56.200 --> 00:16:58.240]   So we recognize that we have limitations
[00:16:59.120 --> 00:17:02.280]   and we have to be careful then with those limitations.
[00:17:02.280 --> 00:17:04.360]   As just an encouragement to you,
[00:17:04.360 --> 00:17:05.480]   for me as I think about it,
[00:17:05.480 --> 00:17:07.360]   I personally was very challenged by this
[00:17:07.360 --> 00:17:10.400]   because I love learning stuff.
[00:17:10.400 --> 00:17:12.760]   And some people have commented
